1.1.1	Brahma indeed was here at first.
3.2.1	One who has fasted for three nights should offer a thousand oblations with the mantra, "May Agni, the auspicious one, not be offered." One obtains a thousand.
3.2.2	One should offer a thousand times with the oblations of Ficus glomerata wood smeared with ghee. One obtains cows.
3.2.3	One should make oblations of rice and barley into the fire. One obtains grain.
3.2.4	One who has fasted for twelve nights should offer a thousand oblations with the mantra, "O Vīrayu, you are indeed fasting." One attains a village and all these desires.
3.2.5	One who recites the eight hymns attains gold by the first, grain by the second, cattle by the third, sons by the fourth, villages by the fifth, fame by the sixth, brahminical lustre by the seventh, and heaven by the eighth.
3.2.6	One should offer a cow's mouthful for a year, saying, "The cows are indeed the same as the people." By this one attains the end and prosperity.
3.2.7	One who constantly recites the eight verses on beauty enjoys Lakshmi.
3.2.8	Standing in water up to the knees, or up to the navel, or up to one's waist, or up to mouth.
3.2.9	Up to the navel, one obtains grain; up to the waist, cattle; up to the mouth, sons and a village.
3.2.10	One who has not been expected, one who has made a dwelling, one who has sung, and one who has crossed over, obtains a thousand.
3.2.11	One should offer a thousand oblations with the ending "svāhā."
3.2.12	Among these methods, the more there are, the better it is.
3.3.1	When the cows are being driven out and brought in, he should stand at the door reciting the verses, "O Agni, the giver of wealth, O Agni, the giver..." They become many.
3.3.2	When food is served, he should offer the first portion into the fire with the verse, "O Agni of the shining sun, O Agni..." He should offer oblations with the verse beginning with "O Agni of shining sun..." and the verse beginning with "O Agni..." He becomes one who has many cattle, wealth, and grain.
3.3.3	One who has fasted for eight nights should offer a well-prepared meat dish to Maṇibhadra under a single tree in a forest, with milk, on the new moon day. This is the offering of honey for you, O Indra. With this, one obtains a golden pot.
3.3.4	One who has fasted for three nights should offer the meat of a black antelope or milk pudding on the fourteenth day of the bright fortnight. "He prospers through these divine nourishments, and his activities become many."
3.3.5	One who has fasted for three nights should offer fish on the fourteenth day of Krishna to the great king, with the verse "May the Asuras flourish with the verse "Sanśravas". His work becomes very extensive and he performs rites with it.
3.3.6	Now, then, the pacification of Vastu.
3.3.7	He should offer oblations to the directions, and also in the intermediate directions where the threads meet. He should smear the places where the threads meet with the leaves of Sami, Palasha, and Shriparni. He should sprinkle the places where the lines meet with unbroken rice, flowers, and the eastern Proshthapada constellation. Having established the fire in the house, he should sing the song "Dhanavantam karambhinam" and offer cooked rice to the fire. The offerings to the directions should be placed in the middle of Palasha leaves, with the mantra "To Prajapati, svāhā." The offerings to the intermediate directions should be placed with the mantras "To Indra," "To Vayu," "To Varuna," "To the Great King," "To Soma," "To Mahendra," "To Vasuki," and "To the sky." The auspicious and meritorious house becomes one with many cattle, wealth, grain, gold, long-lived men, heroic sons, well-favored women, and no widows. The rite should be performed for four months or again for a year.
3.4.1	Now, then, the unseen vision.
3.4.2	Having brought the grass from a place where there is a mixture of species, having placed the unbroken grains, perfumes, and flowers in a basket, having sat down facing east in a clean place, having placed the head towards the east, having sung this (verse), "Who has invoked this one?" one should sleep with restrained speech. One sees.
3.4.3	Or, having placed a mirror in a hollow, one should recite this: "May you come with good fortune." Having recited this, one should sleep with controlled speech. One sees.
3.4.4	One should make a virgin observe a fast and not see menstrual blood. "This mirror is the best fire." Having recited this at dawn, having wiped it with this, one should say, "Look." One sees.
3.4.5	He should make the people observe fast for eleven days. When the night has dawned, he should recite the verse, "To Mitra, to Aryaman" and then wipe (the face) and say, "Look." He sees.
3.4.6	Or, having smeared two bamboo-sticks with perfumes, he should keep them in the middle of the night, and having sung with this (verse) and wiped them, he should say to the two Brahmachari-s, "Hold them", and knowing their success by bowing down.
3.4.7	Having made the stick four inches long with the last (finger), one should keep it fasting. When the night has passed, having wiped it with this (stick) and having rubbed it, one should measure it with the joints of the fingers. When they are filled, it succeeds.
3.4.8	On the full moon day of Āṣāḍha, having kept the seeds, one should observe fasting. One should recite the verse "Indra is the deity of the scales" at dusk and then recite it again, wiping and sprinkling the seeds. The heavier ones will succeed.
3.4.9	He should make two heaps of the unhusked grains for the presence and absence of the sacrifice. When the night has dawned, he should sprinkle with the verse, "We have faith in the oblation to the gods," and then recite, "Do you partake." When one partakes of the presence, it is accomplished.
3.4.10	He should make two heaps of glowing coals without smoke, as many as are required, and should sprinkle them simultaneously with ghee with this verse: "O Agni, may I be the first to obtain the nine." The one that blazes first, moving clockwise with a smokeless flame, should be known as the victor.
3.4.11	He should make the Jyotishkas with human fat, freshly churned out, and should light them with this verse: "O Soma, the god-invoker!" The one who goes out last lives long. The one who goes last lives long.
3.5.1	One should consecrate a king on Pushya or Shravana.
3.5.2	Having brought water from the rivers, the oceans, and from the plants of Vrīhi, Yava, Tila, and Māṣa, and from the fragrant flowers, he should anoint himself on the auspicious seat of Udumbara, on the skin of a tiger with the hair pointing upwards, while seated, with the horns of living cows, saying, "May I be without enemies." This is the secret.
3.5.3	If one wishes that he should be the sole king and his army should not be defeated, one should consecrate him with a single bull.
3.5.4	One should give a village, a hundred female slaves, and a thousand (cows) to the consecrator, and he should be under his control.
3.5.5	If there is a miracle, one should offer a heap of barley with the mantra "May the wind blow as a remedy." It is pacified by this.
3.5.6	He should offer black sesamum seeds into fire with the mantra, "Agni is the giver of wealth." The rites do not harm him. They return to him.
3.5.7	He should offer rice and barley into fire with the five-fold Agnihotra mantra. The rites do not hurt him. They return.
3.5.8	Having made a seal of copper, silver, gold, or iron, one should offer the fourth oblation with the formula, "May the oblations be successful." One should hold the seal with the right hand. The oblations do not harm him, they return to him, they return.
3.6.1	One who is about to fight should offer water with the formula, "Soma, the king, Varuna." Then he should make him drink with the formula, "He who is the king of the people." If there are important ones among them, one should consecrate them with the eastern formula.
3.6.2	Then one should arm him with the verse, "The commander-in-chief."
3.6.3	Then he should yoke his chariot with the verse, "May a thousand, may a hundred come to you."
3.6.4	With the verses "Brihat" and "Rathantara," he should perform the consecration with the Vamadevya verse.
3.6.5	He should perform the consecration of the chariot with the verse "That bull of a chariot," and should sing along with him as he departs, starting with the verse "Indra's heroic deeds."
3.6.6	Having gone to the head, one should offer three arrows with the verse, "May Soma press you." One wins with this and does not lose.
3.6.7	One should offer a pot of ghee to a cow with a calf of similar color, in the presence of Dhūmrā. One wins with the secret verse, "Truth is thus" and does not lose.
3.6.8	He should offer a thousand oblations of twigs with ghee, saying, "May those who have drunk you before," and make the Vasat-call his final offering. He conquers and is not conquered.
3.6.9	He should offer a thousand oblations of sticks made of iron, smeared with ghee, reciting the verse "May I conquer like Indra, crushing the Dasyus." He should conclude with the verse "May he conquer and not be defeated."
3.6.10	One who has fasted for seven nights, with the intention of the seven principal ones, should offer one thousand oblations with mustard oil for seven days. They will not be there for seven nights.
3.6.11	Having made effigies of elephants, horses, chariots, and foot-soldiers out of flour, having sweated them in flour, having anointed them with mustard oil, having shaved off their limbs with a razor, one should offer them into the fire with the secret mantra "O hero, I praise you." If the word "hi" is used, then all become (affected) by the offering.
3.6.12	Having fasted for three nights, on the fourteenth day of Krishna (the dark fortnight), having brought charcoal from a corpse, having arranged a sacrificial wood in a crossroad, having offered a thousand oblations with a ladle made of Vibhitaka wood and mustard oil, where there is the sound of a buzzing, a man with a spear in his hand stands up. He should say, "Kill him!" He kills him.
3.6.13	Or, having cut off the limbs of the embryo with a razor, one should offer it into fire, while mentally contemplating the enemy with the four classes of Kshakas, he becomes immediately nonexistent. He becomes immediately nonexistent.
3.7.1	Now he who would like to wander around all the places of birth without being confused, should always use this (verse) at the time of dawn and remember it at the end of the day. He wanders around all the places without being confused.
3.7.2	Now he who desires, "May fire blaze everywhere for me," should carry fire on his head for a year. He should stand with the first (verse), "O Agni, come, O Vītayas!" He should go around with the second, and attend with the third. It blazes everywhere for him, and burns whatever he desires.
3.7.3	Now, he who desires to see the Pisācas as his own kinsmen, should eat at the fourth time of the day for a year, wandering for alms with a skull, and reciting the mantra "The child is the life-force" a thousand times at the end.
3.7.4	By using this method without begging, one can see the ancestors.
3.7.5	One who eats for a year, using his hands for the purpose of a vessel, and reciting these two verses, "O Vritra, I am seeking your abode" and "I am seeking your abode", a thousand times each, sees Gandharvas and Apsaras.
3.7.6	One who uses this method without begging, sees the gods.
3.7.7	The one who recites "May there be radiance" should recite this for four years according to this method. The treasures that belong to the gods become revealed to him.
3.7.8	One should fast for one month and eat only what is begged. Reciting "May there be brilliance in me," one should recite this for three years according to this rule. The treasures that are on the earth become revealed to him.
3.7.9	One who has fasted for eight nights should offer ghee in the mouth on the new moon day, reciting the two mantras "Agniṃ nara" and "Agniṃ naram" with mental recitation at the end, and offer it into the fire with the word "svāhā". When the night has passed, he will have five paṇas. Those spent will return again. One should not let the original amount become depleted.
3.7.10	The one who is at the rear of the cows entering, having wiped her head and tail, having withdrawn her hands, standing without moving, repeating the entire night, the second time, the Jāmbhakas become desirous of all desires, they become desirous of all.
3.8.1	Now he who desires, "May I not be reborn again,"
3.8.2	I take refuge in the night, in the earth, in Maya, in the maiden with the crest of hair, in the one with the noose in her hand, in the young woman, in the unmarried girl. The sun for the eyes, the wind for the breath, Soma for smell, water for affection, the mind for permission, the body for the earth.
3.8.3	She said to him, "You will die in this year, in this half-year, in this season, in this month, in this fortnight, in this twelve-day period, in this six-day period, this three-day period, two-day period, day and night, this day, this night, this time, this hour. Come, go to the heavenly world, to the world of gods, to the world Brahma, to the world Kshatra. Stand shining. Enter the womb of the shining one.
3.8.4	I shall not enter the womb of the supreme being, the daughter of Brahma, who is clothed in passion. One is born, dies and is bound.
3.8.5	May the night protect me. The night is the sky, the limit of flowers. The ancient space is there. May my place be there for non-return, for non-rebirth. This much is the vow of the night and the vow of the day.
3.9.1	Having eaten milk for four months, having followed the cows to the forest, having made a hut in a pure place in the forest, he should enter it, taking a water pot for sprinkling water. Having fasted for three or seven nights without water, reciting the two verses "I praise the Rg and the Sama" a thousand times each, if he sees the deities, it is accomplished. Then he should rise. The deities of the atmosphere become accomplished for him, and he can travel through the atmosphere. His doors also become opened.
3.9.2	One who recites this mantra with the second method becomes a lover of sensual pleasures and attains the speed of mind.
3.9.3	One should observe all the bright days, being pure, wearing white clothes, anointed with sandalwood paste, holding auspicious flowers, and reciting the mantra one thousand times before each day. One attains the sensual pleasures of humans.
3.9.4	One who uses this method for the second time goes to those gods.
3.9.5	One who uses this method of fasting for one month, eating only what is begged, and reciting "May I have radiance" for four years goes to the lordship of the three worlds, and even his old age is like that of one.
3.9.6	Now, those whose desires are not mentioned, their desires are to be known by the Smṛtis and the signs as mentioned in the scriptures.
3.9.7	The act is intentional.
3.9.8	This is the Prajapati-vidhi. Prajapati taught it to Brihaspati, Brihaspati to Narada, Narada to Visvaksena, Visvaksena to Vyasa, Vyasa to Jaimini, Jaimini to Pausijya, Pausijya to Parasarayan, Parasarayan to Badarayan, Badarayan to Tandisha and Satyayani, and they to many.
3.9.9	This should be told to a student who is returning after completing his studies.
3.9.10	Having given a village, a thousand cows, and a white horse to the preceptor, and having obtained permission, he obtains whatever he desires.
3.9.11	Vidyatirtha Maheshvara, by dispelling the darkness of the heart with the illumination of the meaning of the Vedas, has given the four goals of man.
