6.1.1	Prajapati was this (universe).
11.1.33	One who vomits Soma is deprived of the Soma-drink by the power of Indra.
11.1.34	The Brahman is the deity of Soma.
11.1.35	The Soma-drink is the power of Indra, since it is Saumeendra.
11.1.36	He thus makes him prosper with the Soma-drink itself.
11.1.37	Soma-drink is not retained by him who vomits Soma.
11.1.38	He should collect the rice-grains.
11.1.39	He should cook them and pour them back.
11.1.40	He thus retains the Soma-drink in him.
11.1.41	One desiring sight should offer to Agni Jyotishmat a cake on eight potsherds and a rice-pap to Surya, and above that a cake on eight potsheds to Agni Jyotismat.
11.1.42	Men see with the eye at night by Agni,
11.1.43	and by day by Surya.
11.1.44	They are the givers of sight.
11.1.45	He approaches them with their own share.
11.1.46	They give him sight.
11.1.47	The deity of the Samani is divided into two; therefore the eye is divided into two.
11.1.48	Therefore the Samani and the Anuvakya are used in the same sacrifice.
11.1.49	He offers in the middle of the Sūrya.
11.1.50	He does this here.
11.1.51	What is between the eyes.
11.1.52	For the separation of the eyes.
11.1.53	He gives three balls.
11.1.54	He has yoked the seven-steed chariot of the seven-steeds, the knower of beings.
11.1.55	He gives him that very eye.
11.1.56	This is the Rajani sacrifice.
11.1.57	By this sacrifice, Kuneya, the son of Kratujit, performed the sacrifice for Janaki who desired to have eyes.
11.1.58	One who desires eyes should perform this sacrifice.
11.1.59	One who desires to prosper should offer a cake on eight potsherds to Agni, a cake on eleven potsherds to Indra, and a cake on eight potsherds to Brhaspati.
11.1.60	Indra, being unsupported, became weak.
11.1.61	He sought refuge in Agni and Brhaspati. They made him attain prosperity.
11.1.62	They made him attain prosperity with this sacrifice.
11.1.63	Because it is dedicated to Agni,
11.1.64	he placed his brilliance in front of him.
11.1.65	What is Indra-related?
11.1.66	He bestows on him the power of Indra in the middle.
11.1.67	What is related to Brhaspati?
11.1.68	He bestoves on him the brilliance of Brahman above.
11.1.69	Then indeed he became.
11.1.70	One who desires to prosper should offer with this.
11.1.71	What is Agni-related?
11.1.72	Agni is brilliance.
11.1.73	He bestows brilliance on him in front with that.
11.1.74	What is Indra-related;
11.1.75-84	Indra is the sense-organ. By that he places the sense-organ in the middle. If it is dedicated to Brhaspati, Brhaspati is indeed Brahman. By that it places the Brahmanic lustre above. It becomes indeed. He places the navel of the other two in the middle of Indra. He places sense-organ in him in the middle. The middle one is dedicated to Indra. The other two are around.
11.1.85	Agni is indeed brilliance.
11.1.86	Indra is indeed power.
11.1.87	Brihaspati is indeed Brahman.
11.1.88	He thus takes power and Brahman-splendour on both sides of himself.
11.1.89	The offering and the response are threefold.
11.1.90	For prosperity.
11.1.91	This is the oblation called Tri-dhatu.
11.1.92	For he endowed himself with three kinds of power through it.
11.2.1-4	One should offer an oblation to Agni on eight potsherds, to Savitr on eight potsher ds, barley gruel to Vayu, and an oblation to Bhumi on one potsherd, for one whose gold has been stolen or taken away, or for one who desires, "May I obtain gold." Agni first obtained gold. Savitr then invited him.
11.2.5	There is no wind that does not reach it.
11.2.6	They find it in this (earth).
11.2.7	They purify it in this (water).
11.2.8	What is Agni's,
11.2.9	It is indeed by means of wealth.
11.2.10	For indeed, he is the knower of wealth.
11.2.11	Savitr is for the sake of conception.
11.2.12	Vayu's is for the sake (of) proclamation.
11.2.13	They find this in this (earth)
11.2.14	They purify it here (in this water).
11.2.15	These indeed are the deities that rule over gold.
11.2.16	He approaches them with the same oblations.
11.2.17	They give him gold.
11.2.18	When he obtains gold, he should offer this oblation.
11.2.19	The deities who give him gold, he makes them his sharers.
11.2.20	For the sake of non-injury to himself.
11.2.21	One should offer an oblation to Agni on eight potsherds and to Indra on eleven potsherds.
11.2.22	Curd, honey, ghee, cooked rice, and rice grains, all mixed together.
11.2.23	One should offer this to obtain cattle.
11.2.24	The Agniya (offering) is for prosperity.
11.2.25	The Indra (offering) is
11.2.26	Indra is the giver of cattle.
11.2.27	One approaches him with his own share.
11.2.28	He gives cattle to him.
11.2.29	What is mixed together?
11.2.30	Cattle are mixed together.
11.2.31	He indeed wins cattle.
11.2.32	One should perform the rite for Indra.
11.2.33	Indra is the bestower of cattle.
11.2.34	If one were to perform two rites for Indra, there would be a quarrel.
11.2.35	One should do the rite for Prajapati.
11.2.36	Prajapati is the source of cattle.
11.2.37	He indeed generates them from their own source.
11.2.38	Prajapata is the bestower.
11.2.39	He indeed approaches him with his own share.
11.2.40	He gives him cattle.
11.2.41	The Revati is the Yajya and Anuvakya of one who has mixed (the two sets of verses).
11.2.42	The Shakvari is of the other.
11.2.43	Cattle are the Revati.
11.2.44	Cattle are Shakvari.
11.2.45	He indeed wins cattle.
11.2.46	These five are mixed.
11.2.47	Two are the other.
11.2.48	They are seven.
11.2.49	The Shakvari has seven feet.
11.2.50	Cattle are Shakaras.
11.2.51	He indeed wins cattle.
11.2.52	It becomes a verse.
11.2.53	A man is a verse.
11.2.54	Having become all, he approaches the cattle.
11.2.55	Ghee becomes (the offering).
11.2.56	Ghee is indeed Agni's.
11.2.57	Agni is the one who causes to flow.
11.2.58	He indeed causes it to flow with that.
11.2.59	Honey becomes (the offering)
11.2.60	Honey is indeed Soma's.
11.2.61	Soma is the one who nourishes semen.
11.2.62	He indeed nourishes semen with that.
11.2.63-71	and rice-grains. The rice-grains are the form of the day. The rice grains are the form of night. Animals are born in accordance with the day and night. They are born either at night or during the day. He thus causes them to be born in accordance with day and night. There is curd. Animals have this form. Curd is
11.2.72	He obtains cattle of the same kind.
11.2.73	One should not offer honey.
11.2.74	Honey is life.
11.2.75	One should offer life to the fire.
11.2.76	One would become short-lived.
11.2.77	One should perform this sacrifice for longevity.
11.2.78	One obtains cattle and attains longevity.
11.2.79	If one does not perform this sacrifice, one should give a boon.
11.2.80	One obtains a boon by means of a boon.
11.2.81	One should give two.
11.2.82	For there are two, Prāṇa and Apāna.
11.2.83	One should give three.
11.2.84	For there is three, Prāṇa, Vyāna and Apāna. 
11.2.85	He places them in the sacrificer.
11.2.86	One should only give one.
11.2.87	But it is Trivṛt.
11.2.88	For Trivṛt is Prāṇa.
11.2.89	It is indeed much.
11.2.90	One offers something different from another.
11.2.91	He is the lord of another form, the nourisher.
11.2.92	He should give a cow with a calf.
11.2.93	For the redemption of forms.
11.2.94	One should give all kinds of animals.
11.2.95	One obtains all kinds of animals indeed.
11.2.96	If one does not hope for offspring, one should give a cow that is pregnant.
11.2.97	She indeed has all kinds of animals within her.
11.2.98	Because she bears a calf, she is a calf.
11.2.99	Because she is a calf, she has animals.
11.2.100	The one who is the most venerable among us is the one who is the oldest.
11.2.101	He himself releases all the animals.
11.2.102	The waters here are pure.
11.2.103	Only Manu remained.
11.2.104	He saw this sacrifice.
11.2.105	He performed it.
11.2.106	He performed with it.
11.2.107	He prospered with it.
11.2.108	With it he attained this earth.
11.2.109	He goes to that very same place which Manu went to, he who knowing thus offers with this (verse).
11.3.1	The gods did not know (each other).
11.3.2	They went forth in four ways: Agni with the Vasus, Soma with the Rudras, Indra with the Maruts, Varuna with the Adityas.
11.3.3	Brihaspati said to them:
11.3.4	"Offer sacrifices to you."
11.3.5	"We shall indeed know each other."
11.3.6	"You will be the officiating priest at my house."
11.3.7	Indra said,
11.3.8	"You will be known for your supremacy."
11.3.9	He offered to Agni Vasumat a cake on eight potsherds, to Soma Rudravat a rice-pap, to Indra Marutvat an oblation on eleven potsherds, and to Varuna Adityavat a rice-pap.
11.3.10	He officiated for Indra at his house.
11.3.11	Then they became known.
11.3.12	They knew that Indra was the best.
11.3.13	He made the two verses of the Tristubh metre to be the Yajya and Anuvakya.
11.3.14	The Tristubh metre is indeed Indra's own metre.
11.3.15	The Tristup metre is strength and valour.
11.3.16	He placed his own metre, strength and valour in him.
11.3.17	Therefore Indra is the strongest among the gods.
11.3.18	Those who do not know their own (true) nature, one should sacrifice to them with this (verse).
11.3.19	One for whom one desires (this),
11.3.20	(he should sacrifice) in his house.
11.3.21	They know (their true nature) together.
11.3.22	These very deities, knowing their share, make him know (his true nature).
11.3.23	One should perform the Yagya and Anuvakya verses in the Tristubh metre.
11.3.24	The Tristubh metre is strength and energy.
11.3.25	He places strength and vigour in them.
11.3.26	At the Samvartani (sacrifice) one should offer the Samyag-homa.
11.3.27	For prosperity.
11.3.28	This is the sacrifice called Samjnaani.
11.3.29	They indeed know (the truth).
11.3.30	Prajapati gave his daughters to Soma, the king, as stars.
11.3.31	He dwelt only with Rohini.
11.3.32	They, being followed, went back.
11.3.33	Therefore, a woman who is not given away goes back to her own home.
11.3.34	He followed them.
11.3.35	He again asked for them.
11.3.36	They did not give them back to him.
11.3.37	He said:
11.3.38	"Let us live together everywhere."
11.3.39	Then they said, "We will give them back to you."
11.3.40	He lived only with Rohini.
11.3.41	Then that falsehood seized him.
11.3.42	Soma, the king of the moon,
11.3.43	When the king was seized by the disease, that was the origin of the disease of kings.
11.3.44	He dried up like grass.
11.3.45	He became helpless.
11.3.46	He said:
11.3.47	"You should stay with all of us."
11.3.48	"Then I will release you."
11.3.49	Therefore the moon dwells with all the stars.
11.3.50	He performed the rite of the moon on the night of the new moon with a cake to Visvedevas.
11.3.51	By that he was freed from consumption.
11.3.52	He grew along with it.
11.3.53	One who is afraid of consumption should perform the rite of the new moon night with a cake to the Visvedevas.
11.3.54	He is released from consumption.
11.3.55	He grows along with him who is growing.
11.4.1	One who is the youngest among his brothers should offer a cake to Brhaspati on barley grains.
11.4.2	Brhaspati was the youngest among the gods.
11.4.3	He attained the foremost position.
11.4.4	Brhaspatī is the deity of one who is the youngest.
11.4.5	He offers it to him.
11.4.6	He makes him offer it first.
11.4.7	Brahma is Brihaspati.
11.4.8	Brahma, the father of the Brahmanas,
11.4.9	is the lord of his son, whether he is in front or behind.
11.4.10	Brahma himself makes him offer it.
11.4.11	These are the last grains of rice.
11.4.12	He makes them offer it first.
11.4.13-21	He offers the oblation. He approaches them. They lead him to the front. The sacrificial grass becomes fresh again. The kindling wood becomes fresh again. For prosperity. One desiring progeny should offer a cake on eight potsherds to Brhaspati. His offering and offering-prayer should be in the form of a group. The Brāhmaṇa is the deity of Brhaspati.
11.4.22	He offers to his own deity.
11.4.23	The Yajya and Anuvakya verses are in the form of a group.
11.4.24	He makes him a member of the group.
11.4.25	One should offer cooked rice to Brahmaṇaspati.
11.4.26	The Yājya and Anuvākyā verses should be in the form of Maruts. One who desires
11.4.27	should say, "May there be Brahma's strength."
11.4.28	Brahmaṇaspati is Brahma.
11.4.29	The Maruts are the semen.
11.4.30	He destroys the enemies in the Brahman.
11.4.31	Brahman becomes the strength.
11.4.32	One should offer a cake to Aryaman for one who desires,
11.4.33	"My offspring should be desirous of giving."
11.4.34	Aryaman is the one who gives.
11.4.35	The offspring live on giving.
11.4.36	They become desirous of giving to him.
11.4.37	He should offer cooked rice dedicated to Indra and Brhaspati for a royal person who desires to prosper.
11.4.38	The gods were afraid of the royal person who was being born.
11.4.39	They bound him with a rope and threw him into the water.
11.4.40	The royal person is born as one who is not bound by water.
11.4.41	If he were to be born without being bound by water, nothing would exist.
11.4.42	He would rule over all these creatures.
11.4.43	The kingly one is connected with Indra as the deity.
11.4.44	Brahma is Brihaspati.
11.4.45	He releases him from the waters by means of Brahma.
11.4.46	He flows forth for vigour, not being obstructed by the waters.
11.4.47	The fee is gold doubled.
11.4.48	It is for the sake of removing the bondage of the waters.
11.4.49	One desiring life should offer a cake to Prajapati, with a hundred black beans and ghee.
11.4.50	The gods were afraid of death.
11.4.51	They were without a protector.
11.4.52	He sacrificed to them with this Iṣṭi.
11.4.53	Gold is immortality.
11.4.54	He placed immortality in them with immortality.
11.4.55	Then they became immortal.
11.4.56	One who is afraid of death should sacrifice with this.
11.4.57	Gold is indeed immortality.
11.4.58	He places immortality in it with immortality.
11.4.59	It becomes a hundred black-bees.
11.4.60	Man has a hundred years of life, a hundred powers.
11.4.61	He obtains life and power.
11.4.62	A Vaiśvadeva (offering) should be performed.
11.4.63	For he worshipped all the gods.
11.4.64	A Prājāpatya (offering) should also be performed.
11.4.65	Prajapati is the womb.
11.4.66	One indeed stands firm in the womb.
11.4.67	Four and four kṛṣṇalas make an Avadāna.
11.4.68	For prosperity.
11.4.69	They offer it to Brahman.
11.4.70	Brahman is Brahman.
11.4.71	He places in it the one-year-long life with Brahman.
11.4.72	One who desires should offer with this,
11.4.73	"He should say, "May I be more powerful."
11.4.74	This indeed is the heaven of man, that one becomes more powerful in this world.
11.4.75	He who, knowing this, offers with this (rite), prospers and becomes more prosperous.
11.4.76	One who has lost his prosperity should offer a cake on eight potsherds to Surya.
11.4.77	His covering should be of green gold.
11.4.78	Silver should be below it.
11.4.79	This sun is the end; man, having gone to the end of prosperity, turns back.
11.4.80	He seizes it from the end.
11.4.81	He does not become worse than he was when he performed the sacrifice.
11.4.82	This (sun) was here.
11.4.83	He moved, burning this (world).
11.4.84	The gods, having surrounded him with these (worlds), brought him to this world.
11.4.85	He did not shine.
11.4.86	They offered five golden coins in the Prayāja offerings.
11.4.87	Gold is splendour.
11.4.88-95	They placed the brilliance in him. Then he indeed grasped the brilliance. He became brilliant in these five directions. This one is silver, that one is golden. He indeed goes to this world, having been surrounded by these two. He does not shine, they say. He does indeed shine.
11.4.96	At the Prayājas, one should offer five golden coins.
11.4.97	Gold is indeed brilliance.
11.4.98	He thus unites him with brilliance.
11.4.99	He becomes brilliant in these five directions.
11.5.1	One desiring Brahmic glory should offer a cake to Soma-Rudra, cooked on white rice, from a white cow with a white calf, and churned ghee.
11.5.2	Svabhanu, the demon, covered the sun with darkness.
11.5.3	He did not shine.
11.5.4	The gods wanted to atone for him.
11.5.5	They offered him this sacrifice.
11.5.6-11	By that he removes darkness from him. He who is covered by darkness, though fit for brahmic lustre, does not have brahmic lustre. He removes darkness from him alone. He unites him with brahmic lustre. The offering is of ghee from a white cow with a white calf, and white grains of rice. Brahmic lustre is like this.
11.5.12	He thus establishes (the sacrificer) in the lustre of Brahman.
11.5.13	They sprinkle with ghee.
11.5.14	They cleanse with ghee.
11.5.15	For non-tranquillity.
11.5.16	For tranquillity are the waters.
11.5.17	They should not bring water to his house on that night.
11.5.18	One should perform the sacrifice in a house surrounded by a wall.
11.5.19	For the purpose of encompassing the lustre of Brahman.
11.5.20	The oblation should be raised to the height of a span. Thus it is raised sideways.
11.5.21	This is the size of a man.
11.5.22	As far as his life is, as far as his self is, so far he removes darkness.
11.5.23	They move together with the rays.
11.5.24	The sun rising from here removes darkness.
11.5.25	One should perform the Tisya and Pūrṇamāsa sacrifices.
11.5.26	Tisya is Rudra, the Moon, Soma.
11.5.27	From that, the plants are eastern.
11.5.28	The Raudri ones are western.
11.5.29	They wither eastern.
11.5.30	They wither western.
11.5.31	He prospers them directly.
11.5.32	One who performs this sacrifice becomes the lord of the bad-skinned.
11.5.33	For he destroys them excessively.
11.5.34	One should recite the verses of Manu in the Sāmidhenī verses.
11.5.35	Whatever Manu said was indeed a remedy.
11.5.36	He makes it a remedy for him.
11.5.37	The rivers flow down, being rich in honey.
11.5.38	One should place the Nārāśaṃsa verses.
11.5.39	For peace.
11.5.40	It becomes six-footed.
11.5.41	There are six seasons.
11.5.42	He stands firm in the seasons.
11.5.43	But the lord is indeed very difficult to approach.
11.5.44	For he is indeed ascending the rays.
11.5.45	One desiring cattle should offer a cake on eight potsherds to Soma and Pūṣan.
11.5.46	Soma is indeed the divine deity of the Brahman.
11.5.47	Pūṣan is cattle.
11.5.48	He makes his own deity prosper with cattle.
11.5.49	He makes it skin.
11.5.50	One should offer a cake to Soma and Rudra, using black rice, for the purpose of harming.
11.5.51	Soma is the lord of these creatures.
11.5.52	Rudra is the lord of Agni, the lord of the killed and the unkilled.
11.5.53	Having requested the lord, he places him in Rudra.
11.5.54	It is made of black rice.
11.5.55	Black is like darkness.
11.5.56	Darkness is death.
11.5.57	He binds him with death itself.
11.5.58	The sacrificial grass is made of reeds.
11.5.59	For prosperity.
11.5.60	The kindling wood is of the vaibhītaka tree.
11.5.61	For separation.
11.5.62	One should offer a cake on eight potsherds to Soma-Rudra for enmity or for a second (enemy).
11.5.63	Half of it should be half, all should be all.
11.5.64	Half of the rice should be white, half black. Half of the sacrificial grass should be made of reeds, half of darbha grass. Half of the wood for the fire should be made of the vaibhitaka tree, half of another tree.
11.5.65	Soma is the deity of the Brahman.
11.5.66	He generates a second son in his own deity.
11.5.67	Because it is half and half.
11.5.68	It is for the sake of being a second.
11.5.69	One should offer a cake to Soma-Rudra for one suffering from a disease.
11.5.70	Soma is for the living, Agni for the dead.
11.5.71	He who is suffering from a disease is neither living nor dead.
11.5.72	He redeems him with his own share.
11.5.73	It is in milk.
11.5.74	Milk is milk.
11.5.75	A man is milk.
11.5.76	He who suffers from a disease suffers from milk.
11.5.77	His milk is mixed with milk.
11.5.78	He who becomes the Hotṛ priest, he indeed throws out what has been swallowed by Soma and Rudra.
11.5.79	He is the lord of the two worlds.
11.5.80	One should give a bull to him.
11.5.81	One should kill him.
11.5.82	One may eat of him.
11.5.83	That itself is the atonement there.
11.5.84	One should offer a cake to Soma and Rudra for one who desires offspring or cattle.
11.5.85	Soma indeed is the seed-giver.
11.5.86	Rudra is Agni, he is the begetter.
11.5.87	Soma indeed gives him seed.
11.5.88	Agni begets.
11.5.89	One obtains offspring or cattle, whichever one desires, for which one offers.
11.6.1	One should offer a cake to the Adityas, the upholders, when one is being obstructed or when one is about to be obstructed.
11.6.2	The Adityas are the saviors.
11.6.3	The Adityas are the non-obstructors.
11.6.4	He approaches them with the oblation.
11.6.5	They protect him.
11.6.6	One who desires to prosper should offer cooked rice to the Adityas, the possessors of the world.
11.6.7	Aditi cooked rice for the sake of offspring.
11.6.8	She ate the leftovers.
11.6.9	She conceived.
11.6.10	From that the Adityas were born.
11.6.11	"May those who are better than me be born first, and may I be born last."
11.6.12	She cooked it for herself.
11.6.13	She ate it from both sides, from the front and from above.
11.6.14	She conceived.
11.6.15	The embryo spoke from within.
11.6.16	The Adityas thought,
11.6.17	"This one will be born,
11.6.18	and he alone will be this."
11.6.19	They killed him.
11.6.20	He was expelled and lay down.
11.6.21	She cooked the third (meal).
11.6.22	For the Adityas alone.
11.6.23	"Let it be so, for he from whom you were born, from whom you were created."
11.6.24	They put him together.
11.6.25	What of him was dead, that they removed.
11.6.26	He became an elephant.
11.6.27	What of it was living, that became Vivasvan, the sun.
11.6.28	He did not become as he should have been.
11.6.29	He offered a cake to the Adityas and the Bhuvadvatas.
11.6.30	The Self is the friend of the Self, the most affectionate.
11.6.31	He approached his own (relatives).
11.6.32	Then he became (as he should have been).
11.6.33	The Adityas are these creatures, the friend of the self, the most affectionate of the self.
11.6.34	He approaches his own share.
11.6.35-42	for prosperity. It is indeed so. "He says, "I shall offer a share to the Adityas." He should say while offering. "He should say, "He is going to be known in the family of so-and-so, the son of so-andso, in the family of such-and-such." He says while making a share for them. He offers cooked rice to the Adityasthe Adityas are the divine class.
11.6.43-48	The divine class is the lord of the human class. The divine class alone leads him to the human class. The seven-horse-shaped rays are made. He sprinkles them on the sacrificial post. They lie on the altar when it is set up. When the middle one is set up, he strikes them.
11.6.49	"This do I bind for the Ādityas, for the son of so-and-so, for the sake of his attainment."
11.6.50	If he does not attain them by the seventh day, having made a bundle of them, he should offer with the second and third (offerings).
11.6.51	The Ādityas are three times seven.
11.6.52	He binds as many as there are Ādityas.
11.6.53	They, being bound, release him and make him understand.
11.6.54	The strength of the Vishas indeed departed.
11.6.55	It entered the ashvattha tree.
11.6.56	Therefore it stands with all its leaves falling, not holding them.
11.6.57	When they are ashvattha trees.
11.6.58	He binds strength in them.
11.6.59	"Here is the truth, here is the mind."
11.6.60	One should take the place of the restrained.
11.6.61	He makes them without a mind.
11.6.62	"He should go to them, saying, "O Maruts, come to us with your own power, and with the king who is the lord of the people."
11.6.63	He should go to the people, destroying the wind and the enemy.
11.6.64	He makes them with a mind.
11.6.65	If there is a village-dweller who speaks beyond, they should bring rice from his house."
11.6.66-73	They should search for the white and black ones. Those who are white, one should offer a cake to the Adityas. Those who were black, they should be kept. The Adityas are the divine class. The divine class is the lord of the human class. The human class itself makes him enter the divine class. He has entered this class." They say:
11.6.74	Now, where is the Kshatra?
11.6.75	When one knows the Kshatra, then one knows.
11.6.76	If one were to know (it), one should offer a cake to Varuna to those who are black.
11.6.77	Varuna is the Kshattra.
11.6.78	Varuna himself makes one know the Kshatra.
11.6.79	One knows both the classes, the class of gods and the class of men.
11.6.80	Because he offers to the white ones in the sun,
11.6.81	therefore the Vaishya is born white.
11.6.82	Because to the black ones in the water,
11.6.83	therefore the Kshatriya is born smoky.
11.8.1	One who is going to perform this sacrifice should offer a cake on eleven potsherds to Agni-Vishnu, a cooked oblation to Sarasvati, and a cooked oblation of barley to Brihaspati on the previous day.
11.8.2	Agni is all the deities.
11.8.3	Vishnu is the sacrifice.
11.8.4	Speech is Sarasvati.
11.8.5	Brahma is Brihaspati.
11.8.6	These are the deities that are taken on the previous day.
11.8.7	The deities are the vital airs.
11.8.8	Having taken the vital airs, one observes fast.
11.8.9	One who is suffering from a disease should offer an oblation of eight potfuls to Agni, a rice-cake to Soma, a rice- cake to Aditi, a rice-cakes made of barley to Varuna, and a rice-cake of twelve potfuls to Agni-Vaisvānara.
11.8.10	The flesh of a man who has died goes to Agni.
11.8.11	The juice goes to Soma.
11.8.12	The body goes to the earth.
11.8.13	This is Aditi.
11.8.14	For she is the one on whom one lies.
11.8.15	These are the deities that rule over man.
11.8.16	He makes him move towards them alone.
11.8.17	The living one is indeed connected with Soma.
11.8.18	The dead one is connected with Agni.
11.8.19	The one who is sick is neither living nor dead.
11.8.20	He redeems him with a share of those two.
11.8.21	The one that is sick is seized by Varuna.
11.8.22	The one connected with Varuna.
11.8.23	He releases him from Varuna.
11.8.24	It is made of barley.
11.8.25	It is the size of a span.
11.8.26	The year is Agni Vaiśvānara.
11.8.27	Life is the year.
11.8.28	He establishes him in life itself.
11.8.29	He attains all life.
11.8.30	These are the five oblations.
11.8.31	Man has five parts.
11.8.32	He attains man.
11.8.33	"You are the life of Agni."
11.8.34	He puts gold in ghee.
11.8.35	Gold is born from Agni.
11.8.36	Men are born from Agni. They are the life-givers.
11.8.37	He puts life in him by them.
11.8.38	"He says, "The breath of Indra."
11.8.39	The breaths belong to this deity.
11.8.40	He puts them in him.
11.8.41	The directions belong to this deity
11.8.42	He directs him towards the directions according to the deity.
11.8.43	He offers five times.
11.8.44	Man has five limbs.
11.8.45	He makes him whole.
11.8.46	All the priests offer in succession.
11.8.47	All the rites are performed for him.
11.8.48	They offer in succession at the hand of the Brahman.
11.8.49	Brahman is Brahman.
11.8.50	They make him live for one life by means of Brahman.
11.8.51	"If he does not move, then (he says), "May he move."
11.8.52	This is the birth of ghee, it declares the kinship and power.
11.8.53	With the Pavamāna hymn, he says.
11.8.54	This much is there, as much as the Grahas, Stomas and Chandas.
11.8.55	He treats him with as much as there is.
11.8.56	Just as one takes out, releases, and lifts up a victim, so does he take him out, release him, and lift him up.
11.8.57	"The gods are the life-giving ones."
11.8.58	He gives (the Soma).
11.8.59	These indeed are the gods who give life.
11.8.60	By them he gives him life.
11.8.61	He drinks it.
11.8.62	He drinks life.
11.8.63	Whatever he takes from it, he should take it as if from gold.
11.8.64	Gold is indeed brilliance.
11.8.65	Ghee is life.
11.8.66	He thus places brilliance and life in himself.
11.8.67	"He says, "O Agni, make this (person) live for life and brilliance."
11.8.68	He binds the gold.
11.8.69	Agni is indeed all the deities.
11.8.70	Life is gold.
11.8.71	He binds him with all the deities.
11.8.72	"He binds him with the verse, "O Varuna, thou hast sharpened thy sharp power."
11.8.73	He binds him together.
11.8.74	"He makes him a shelter like his mother Aditi."
11.8.75	This is Aditi.
11.8.76	He establishes him in this very (Aditi).
11.8.77	"The verse, "May the All-gods be as old as the old-sighted one."
11.8.78	He makes him immortal.
11.8.79	The breath of the Asvins, the breath of Mitra-Varuna, the breath of Brihaspati.
11.8.80	These are the deities of the breaths.
11.8.81	He places them in him.
11.8.82	He spreads them over him.
11.8.83	He makes them not to depart from him.
11.10.1	The skin of a black antelope, honey, and the fruits of the Karira tree, and the strap of a black horse.
11.10.2	Having placed them at the end of the eastern Agni, having caused the sacrificer to wear a black garment, and having invoked him, he offers these (oblations).
11.10.3	These are indeed the names of the wind.
11.10.4	This indeed is the lord of the year.
11.10.5	When he swells, when he blows, when he causes to rain, then it rains.
11.10.6	He approaches him with his own share.
11.10.7	He, being pleased, causes him to rain.
11.10.8	He offers eight times.
11.10.9	There are eight directions and eight sub-directions.
11.10.10	He thus causes rain to fall in the directions.
11.10.11	He mixes it with black antelope skin.
11.10.12	He makes it an oblation.
11.10.13	He mixes with honey.
11.10.14	Honey is indeed the juice of water and plants.
11.10.15	He causes rain from water and plants.
11.10.16	When it rains, he directs the rain to the plants from the water.
11.10.17	"Manda, Vasha."
11.10.18	These are the names of the waters.
11.10.19	As he says:
11.10.20	"Come, O Asa, come, O Asa."
11.10.21	In this way, he directs them to the sky by their names.
11.10.22	"No other."
11.10.23	They say:
11.10.24	The Somiya Ahuti is capable of causing rain from heaven.
11.10.25	The Yatis were eaten by the Salavrikas.
11.10.26	Their heads fell down.
11.10.27	They became Kharjuras.
11.10.28	The Soma-drink fell upwards.
11.10.29	They became Kariras.
11.10.30	When Kariras are eaten,
11.10.31	the Somiya Ahuti causes rain from heaven.
11.10.32-41	Therefore, one should not give the karīra fruit to a woman. One should not give it to a Śūdra. Because he does not drink Soma. You are the gift of Indra. I bind you for rain. Because the horse is a bull. Because Parjanya is a bull. For prosperity. The rope of the black horse is made. Because he becomes like a black horse when it is going to rain.
11.10.42-49	The Vasus are the gods. The Sharmanis are the gods. The gods are the drinkers of the same drink. These are the deities who rule over the rain. It is with them that he desires rain for him every day. He puts on a black antelope skin. The black antelope skin is the form of the Rg and the Sama. With the Rg and Sama, he desires rain for himself.
11.10.50-57	If it rains, then he should perform the Iṣṭi. If it does not rain, then they should stay like that. Indeed, Mitra and Varuna are day and night. Parjanya rains according to day and night. It rains either at night or during the day. These two are the lords of rain. One approaches them with the same oblation. They, being pleased, bestow rain on him.
11.10.58	One should offer a cake on eight potsherds to Agni Dhāmacchādha, a rice-pap to Maruts and a cake on one potsherd to Surya.
11.10.59	Agni causes rain to fall from here.
11.10.60	Having become like the one who covers the abode, he causes rain to fall.
11.10.61	The Maruts cause the rain that has been released to flow.
11.10.62	When the sun turns back with its rays, then it rains.
11.10.63	These are the deities who rule over the year.
11.10.64	He approaches them with the same share.
11.10.65	They, being pleased with him, send down rain.
11.10.66	If it is not raining, he offers these six oblations when it is raining.
11.10.67	There are six seasons.
11.10.68	He releases rain from the seasons.
11.10.69	What is the seventh?
11.10.70	By this (rite) he causes rain to cease in a year.
11.10.71	Now these four Marutīya rites for the Pitrs, of them one performs with three, and puts aside one. The verses are the Anuvākyā, the Yajus is the Yājyā.
11.10.72	The Maruts indeed rule over rain.
11.10.73	He thus makes a greater share for them.
11.10.74	The one which is the fourth, that one he offers when the water has settled.
11.10.75	"Pour forth rain from heaven."
