1.1.1	Agni is the lowest of the gods, Vishnu is the highest, and between them are all the other gods.
2.16.1	Prajapati himself, as the Hotri, will recite the morning hymn. All the deities will be hoping, "He will recite me first, he will recite me first." Prajapati thought, "If I recite only one deity, by whom will the other deities be approached?" He saw this verse, "The waters are the Revatis." The waters are all the deities, and the Revatis are all the deities. With this verse, he recited the morning hymn. Those deities were delighted, "He recited me first, he recited me first."
2.16.2	All the deities rejoice when he recites the morning hymn.
2.16.3	He who knows this, is initiated by all the deities.
2.16.4	The gods were afraid, thinking, "The Asuras will take away our morning sacrifice. They are stronger and more powerful than we." Indra said to them, "Do not be afraid. I will strike them with the thunderbolt three times tomorrow. This is the verse he spoke then. The thunderbolt is in the Apampatri (verse), the thunderbolt is in the Tristubh (verse), the voice is in the Gayatri (verse). He struck them with that. He killed them with that. Then the gods became victorious and the Asuras were defeated.
2.16.5	He who knows this becomes his own self, and his enemy, sin, becomes his foe.
2.16.6	They say, "He who would generate all the metres in this verse should be the Hotri." This is indeed the three times repeated verse. It contains all the metres. This is the generation of the metres.
2.17.1	The hundred (verses) recited in succession are for one who desires long life. Man has a hundred years of life, a hundred powers, a hundred senses; he thus places him in life, in power, in the senses.
2.17.2	The three hundred and sixty (verses) recited successively are for one who wishes sacrifice. There are three hundred and sixty days in a year, so long is the year, the year is Prajapati, Prajapati is sacrifice.
2.17.3	The sacrifice bows to him who knows this, and he recites three hundred and sixty.
2.17.4	The twenty-seven hundred (verses) are for one who desires offspring and cattle. The twenty-seven hundreds are the days and nights of the year. The year is so much. The year is Prajapati. He who is born, this entire form follows him. He thus follows Prajapati, who is born, with offspring and cattle, for propagation.
2.17.5	He who knows this is born with offspring and cattle.
2.17.6	One should perform the sacrifice for one who has spoken wrongly or been accused by a non-Brahman, for one who has been accused of a crime, for one who is afflicted by sin. The Gayatri has eight syllables. The gods destroyed sin and impurity with the Gayatri. It destroys his sin and impurity.
2.17.7	He who knows this destroys sin.
2.17.8	The thousandfold recitation is for one who desires heaven. The heaven world is here in the autumn. For the attainment, success, and union of the heaven world.
2.17.9	The Prātaranuvāka is the praise of Prajapati, in it all desires are fulfilled. When he recites the Apamita hymn, all desires are fulfilled for him.
2.17.10	He who knows this, fulfills all desires.
2.17.11	Therefore one should recite the Apamita.
2.17.12	He recites the seven Agniya metres. The worlds of the gods are seven.
2.17.13	He who knows this prospers in all the worlds of the gods.
2.17.14	He recites the seven Ushasya metres. The domestic animals are seven.
2.17.15	One who knows this obtains the domestic animals.
2.17.16	The seven Savanas (offerings) are the metres. Speech spoke in seven ways. Speech spoke in that way. For the complete acquisition of all speech, of all Brahman.
2.17.17	Three deities are recited. These three worlds are threefold. For the conquest of these worlds.
2.18.1	They say, how is the morning recitation to be recited?
2.18.2	The Prātaranuvāka should be recited according to the desire. These are the limbs of Prajapati, namely the Vedas. He who sacrifices is indeed Prajapati. Therefore, it is for the benefit of the sacrificer.
2.18.3	The Prātaranuvaka should be recited at the end. Animals have four feet. For the purpose of securing animals.
2.18.4	The Anuvāka is recited in half verses, because it is recited in this way. It is indeed for the sake of stability. Man is indeed two-footed, animals are four-footed. He thus establishes the sacrificer who is two-footed in animals who are four-footed.
2.18.5	They say, "How does the morning recitation become un-extended?" One should say, "If it is not extended in the middle."
2.18.6	The oblations are offered to the deities of the oblations, the Stoma and the Chanda are offered to the Stoma and Chanda. Those oblations which are offered in the fire, by them the deities of the offerings are gratified. And when they praise and recite, by that the Stoma and deities of the Chanda are gratified.
2.18.7	The deities of both kinds are gratified and pleased for him who knows this.
2.18.8	The thirty-three gods are the Soma-drinkers, the thirty-three are the non-Soma-drinkers. The eight Vasus, the eleven Rudras, the twelve Adityas, Prajapati and the Vasat-call are the Soma-drinking gods. The eleven Prayajas, the eleven Anuyajas, the eleven Upayajas are the non-drinking gods. They are the recipients of the animal sacrifice. With Soma he pleases the Soma-drink-ers, with the animal he pleases the non-Soma drinkers.
2.18.9	Both these deities are pleased and become the desired ones for him who knows this.
2.18.10	"He recites, "Uṣas has become the one with shining cattle." He recites with the last verse."
2.18.11	They say, "How can all three sacrifices be completed when he recites them with one verse? The Agni, Uṣas and Aśvina sacrifices."
2.18.12	"The dawn was the shining animal" is the form of the dawn. "Agni, the seasonal one, was placed" is the form for Agni. "Your chariot, O you two possessing strength, is immortal, sweet, for the two Asvins." "May my call be heard" is the form to be used for the Asvins. Thus, when one offers with a single verse, all three rites are offered.
2.19.1	The sages were performing a sacrifice on the Sarasvati. They brought Kavasa Ailusha from Soma. The son of a slave, a gambler, was not a brahmin. How did he initiate us in the middle? They carried him outside the river. Here he was afflicted by thirst. "The Sarasvati said, "Do not step on me." He was carried outside the river. He was afflicted by thirst and saw this water of the great-grandson. "He said, "May the singer go to the divine Brahman." By that he approached the beloved abode of the waters. The waters followed him. The Sarasvati flowed around him on all sides."
2.19.2	Therefore, even now, it is called Parisaara (encircling) because Sarasvati encircled it on all sides.
2.19.3	Those sages said, "The gods know him. We shall call him." They said, "So be it." They called him. Having called him, they made him the Apampatriya (the one who is dear to the waters). "May he go to the divine Brahman, the singer." By that he approached the dear abode of the waters, and the gods.
2.19.4	He goes to the dear abode of the gods, he conquers the supreme world, he who knows this and he who knowing this performs this Apamāna rite.
2.19.5	One should recite it continuously.
2.19.6	Where one who knows this recites this continuously, there the rain falls continuously and the Parjanya becomes continuous for the offspring.
2.19.7	If one were to recite the verse with a hiatus, then the rain-bearing Parjanya would be harmful to the creatures. Therefore, it should be recited continuously.
2.19.8	He recites the first three verses continuously. Thus, the entire verse is recited continuously.
2.20.1	These ten verses are recited continuously.
2.20.2	"O Hina, do not obstruct our sacrifice, O god-worshipper!" (is recited) on the tenth day.
2.20.3	The rivers are turned back, flowing in two directions, in the rivers that flow in two directions.
2.20.4	The rivers are seen flowing, in the rivers seen flowing.
2.20.5	The cows are coming with milk for a swift purpose, in the rivers coming towards one.
2.20.6	Some are coming together, others are coming towards, in the rivers flowing together.
2.20.7	The waters contended, saying, "We shall offer the sacrifice first." Those who are taken on the previous day and those who are taken in the morning, Bhṛgu saw them contending. He made them know by this verse, "They go together, others approach together." They came to know.
2.20.8	Those who know this, the waters, carry the sacrifice. He who knows this,
2.20.9	"The waters, the goddesses, approach the Hotri," thus he recites when the waters are being mixed together in the Hotri's cup, in the waters of the Vasatīvarī, which are of one kind.
2.20.10	"The waters are the Adhvaryu," thus the Hotri asks the Adhvaryus.
2.20.11	"The sacrifice is the waters," thus he says.
2.20.12	The Adhvaryu replies, "Are these not the food-givers?"
2.20.13	He means to say, "Are these seen?"
2.20.14	O Adhvaryu, pour the Soma for Indra, sweet, rain-giving, strong, very strong, for the Vasus, Rudras, Adityas, the Rishis, the All-gods, for whom Indra, having drunk, has slain the foes. He rises up with the verse, "He who has saved his own offspring from the flood."
2.20.15	The waters rise up to meet him who approaches them, because the superior approaches them. Therefore they rise up to meet (the worshipper).
2.20.16	(The worshipper) should approach them without turning his back on them.
2.20.17	The superior approaches them without turning his face away from them. Therefore one should approach them without facing away from them. One should follow the one who recites (the mantra) without turning away from him.
2.20.18	If the lord of sacrifice is different from the sacrificer, then the Hotṛ is the one who desires fame. Therefore, one should follow the one who recites.
2.20.19	One should follow the one reciting the verse, "The sons of Amba go on the paths."
2.20.20	"The sons of Jama go on the paths, drinking with honey and milk."
2.20.21	One who desires fame and wishes to be famous should recite this.
2.20.22	Those who are above the sun, or with whom the sun shines together, he who desires brilliance, he who desires brahmic glory.
2.20.23	The goddesses of the waters, I invoke them, where the cows drink, he who desires cattle.
2.20.24	One should recite all these verses in succession, for the attainment of these desires.
2.20.25	He who knows this attains these desires.
2.20.26	"These have come to the auspicious, the blessed with life," so one should recite while the Vasatīvarī waters are being mixed together.
2.20.27	"The waters have come, the auspicious ones, to this sacrificial grass," so one should place them in the prepared waters.
2.21.1	The morning recitation is the head of the sacrifice, the Upāṁśu and Antaryāma are the Prāṇa and Apāna. The Upāṁśus and Antaryāmas are the thunderbolt. The Hotr should release speech at the Upāṁshu and Antaryāmu offerings.
2.21.2	If the Hotṛ were to release speech at the Upāṁśu and Antaryāma offerings, he would strike the sacrificer with the thunderbolt of speech. If someone were to tell him, "You have struck the sacrificer with speech as a thunderbolt, he will lose his life," it would be so. Therefore the Hotṛ should not release speech at the offerings of Upāṁśus and Antaryāmas.
2.21.3	"He should recite the Upāṁśu-mantra, "O Prāṇa, give me life." He should recite the Antar-yāma-mantra, "O Apāna, give me life." Having touched the Upāṁshu-savaṇa-gravāṇa, he releases speech with the words, "For Vyāna to you."
2.21.4	The Upaṁśusavana is the Self. The Hotr, having withdrawn the breaths into himself, releases speech. For all life, for all life.
2.21.5	He who knows this attains all life.
2.22.1	They say, "Should one go or not go?" Some say, "One should go." Those who say this say, "This is the share of both gods and men, namely, the Bahispavamāna. Therefore, they approach him."
2.22.2	One should not pay attention to this.
2.22.3	If he were to recite a verse, he should make it follow the Sama. If someone were to say to him, "The Hotr has become the follower of the Sama-knower, he has taken away the fame from the Udgâtri, and has taken away from the permanent place," then it would be so.
2.22.4	Therefore, sitting there itself, he should recite.
2.22.5	"He who is the drinking of the gods here, at the sacrifice, on the sacrificial grass, on the altar, of that also do thou eat."
2.22.6	Thus indeed, he is not obstructed from the drinking of Soma.
2.22.7	Then he should say, "Thou art the mouth, may I become the mouth."
2.22.8	The Bahispavamāna is indeed the mouth of this sacrifice.
2.22.9	One becomes the mouth of one's own, the best of one's kinsmen, he who knows this.
2.22.10	The Asura Diirghaljihvi (Long-tongue) stole the morning Soma-pressing of the gods. The gods then knew it. They said to Mitra and Varuna, "Do you two remove this." They said, "So be it." They said, "Choose a boon from us." They chose this boon, that in the morning pressing they should have Payasya (milk-rice) and that they should be exempt from the Sviṣṭakrt (oblation). This is the boon that was chosen by them, because they removed it by means of her. Whatever was deficient in her, that became abundant for her, for they removed it by her.
2.23.1	The gods' offerings were not being held together. They saw these cakes and poured them out after the offerings for the holding together of the offerings. Then they were held together.
2.23.2	In that the cakes are poured out after the offerings, it is for the holding together (of the offerings). Thus they were held together.
2.23.3	The gods indeed placed them in front, hence the name Puròdasha.
2.23.4	They say: One should offer the Puròdasha oblations after the Soma-pressing. The oblation should be of eight potsherds at the morning pressing, of eleven potsherds at midday pressing and of twelve potsherds at third pressing. Thus the form of the pressings is so and the form of the metres is so.
2.23.5	Now, they should not be ignored. All these are offered to Indra. The Anusavana cakes are offered to Indra, therefore one should offer them in eleven potsherds.
2.23.6	They say, "If there is no anointing with ghee, one should eat of the cake from that place. For the protection of the Soma drink. For Indra killed Vritra with the thunderbolt of ghee."
2.23.7	Now, that (food) should not be disregarded. This is indeed an oblation, for it is well-cooked. This is indeed the drinking of Soma, for it is cooked. Therefore, one should eat it from wherever one gets it. All these offerings of food, viz. ghee, cooked rice, gruel, soup, cake, milk-rice, come to the sacrificer.
2.23.8	All the offerings come to him from all sides, who knows this.
2.24.1	He who knows the sacrifice as the row of oblations, attains the sacrifice as the oblations. The oblations are: the cooked rice, the gruel, the libation, the cake, and the milk-rice. This is the sacrifice as the line of oblations. He attains the sacrifice as oblations, who knows this.
2.24.2	He who knows the sacrifice as the row of syllables, and who succeeds in the sacrifice as the rows of syllables, he indeed succeeds in the sacrifice, the row of syllables. He who knows thus, succeeds in the sacrifice.
2.24.3	He who knows the sacrifice as the series of Narasamsa, prospers with the sacrifice as the Narasamsa series. The morning pressing is twice Narasamsa, the midday pressing is twice Naramasa, and the third pressing is once Narasamsa. This indeed is the sacrifice as the Narsamsa series. He prospers with the Narasamsa sacrifice who knows thus.
2.24.4	He who knows the sequence of the Savanas in the sacrifice, he prospers with the sacrifice having the sequence of the savanas. The animal is tied up on the Upavasatha day. The three Savanas are the animal. The animal is the sequence. This indeed is the sacrifice having the Savana sequence. He prospers with the sequence of the sacrifice who knows thus.
2.24.5	The oblations are offered in the order of Harivaṃ, Indra, Dhānas, Pūṣan, Karambha, Sarasvatī, Bharata, Parivāpa, Indra's cake.
2.24.6	The Rk and Sāman are the two horses of Indra.
2.24.7	Pashus is Pūṣan; Anna is Karambha.
2.24.8	Sarasvatī and Bharata are the same as speech and breath.
2.24.9	The Parivap is food, the Apup is food.
2.24.10	He goes to the world of those deities, to their union, to their likeness, to their world. He goes to the union of the best, he goes to the best, he who knows thus.
2.24.11	The Havir Agni Vihī is the Anusavan, the Purorasa Svishtakrit offers.
2.24.12	Avatsara, by means of this, approached the dear abode of Agni, and conquered the supreme world.
2.24.13	He who knows this goes to the dear abode of Agn, and conquers the supreme world. He who, knowing this, offers with this oblation-row, offers, and offers.
2.25.1	The gods, when they were drinking the Soma of King Soma, did not agree among themselves, saying, "I shall drink first," "I shall drink." When they were agreeing, they said, "Let us play a game of dice. He who wins shall drink first." They agreed. When they had started to play, Vayu was the first to reach the goal. Then Indra, then Mitra-Varuna, then the Asvins.
2.25.2	He knew that Indra would win. He followed him, saying, "Let us both win together." He said, "No." He said, "I will win alone." "Let us win together in the third." "He said, "No." He said, "Let us win together on the fourth." "Yes," he said. He won on the fourth. Indra became the fourth part, Vayu the third part.
2.25.3	Together with Indra and Vayu, they have risen up, together with Mitra and Varuna, together with the Asvins. These are their shares as they have risen up: first to Indra and Vayu; then to Mitra and Varuna; then to the Asvins.
2.25.4	This is the Indra-share that is taken when the Indra-Vayu libation is offered.
2.25.5	The Rishi, seeing this, recited: "Indra, the charioteer, has been driven by the Niyutvas."
2.25.6	Therefore even now the Bharatas, in the fourth, the collectors say, "By this very light, Indra, having become like a charioteer, conquered."
2.26.1	Those who are the two-deity deities are indeed the vital airs.
2.26.2	Speech and breath are Indra-Vayu, sight and mind are Mitra-Varuna, hearing and self are Asvins.
2.26.3	Some perform the Anushtubh verses in the Puronuvakya of this Indra-Vayu hymn and the Gāyatrī verses in the Yajya.
2.26.4	The Indra-Vayu cup is the union of speech and breath. I shall unite them as they are united in the metres.
2.26.5	That should not be disregarded. What is done at a sacrifice is defective if the Puronuvākyā is greater than the Yājyā. Where the Yājyās are greater, that is prosperous. And where they are equal, one should do it for that purpose. Herein, the Prāṇa and the Vāc have been obtained.
2.26.6	The Vāyavya is the Puronuvākyā, the Indra-Vāyavya the Yājyā. The Vāyavyā is the Prāṇa, the Vāyu being the Prāṇa; and the Indra-Vayavya is the Vāc, the Indra being the Vāc. He obtains that desire which is in the Prāṇa and the Vāc; he does not make the sacrifice uneven.
2.27.1	The two-deity offerings are taken in one vessel; hence the Prāṇas have one name. They are offered in two vessels; hence the Prānās are in pairs.
2.27.2	The Adhvaryu gives (the Soma) with the same Yajus with which the Hotṛ receives it.
2.27.3	This is Vasu, the many-treasured, here is Vasu, many-treasured; Vasu, many treasured, is in me. O Vasu, many treasures, protect my speech. He consumes the Indra-Vayu offering.
2.27.4	The voice has been invoked with the breath. May the voice invoke me with the breath. The divine sages, the guardians of the body, born of austerities, have been invoked for the body. May the divine sages, the body-guardians, born of austerity, invoke me for the body.
2.27.5	The Rishis are the vital airs, the divine ones, the protectors of the body, born of the body, of austerity. He thus invokes them.
2.27.6	"This is Vasu, the knower of wealth, here is Vasu, knower of wealth; may Vasu, knowers of wealth, protect my eyes. He eats the Maitrāvaruṇa cake. The eyes have been invoked along with the mind. May the eyes invoke me along with the mind." "The divine seers, the protectors of the body, born of Tapas, have been invoked. May the divine seers, protectors of the body and born of Tapas, invoke me." "The divine breathers are the seers, protectors, born of Tapas. He invokes them."
2.27.7	"This is Vasu, the possessor of wealth, the wealth-possessor here, the wealth-possessed in me, the wealth-holder. The hearer, protect my hearing." He consumes the Asvin (Soma). "The invited hearing, along with the self, may call me. The invited divine sages, the body-protectors, born of Tapas, may call me, the body-protector, born of Tapas." The divine sages are the vital airs, the body-protectos, born of Tapas. He thus invites them.
2.27.8	He eats the Indra-Vayu portion first. Therefore, the vital airs Prāṇa and Apāna are in front. He eats the Mitra-Varuna portion first. Therefore the eyes are in front. The Asvin portion is eaten all round. Therefore men and animals hear speech from all sides.
2.28.1	The two-deity sacrifices are the vital breaths. One should offer to the two-deity deities for the continuity and non-interruption of the vital breaths.
2.28.2	The two-deity offerings are the vital breaths; one should not offer the Vaṣaṭ-call after the two-deities.
2.28.3	If one were to offer the Anuvṣṭakāra for the two deities, one would establish the unstable vital airs. The Anuvṣṭkāra is indeed a stable (rite). If someone were to say to him, "You have established the unstable vital airs," he would be so. Therefore, one should not offer the Anuvṛṣṭakāra to the two deities.
2.28.4	They say, "The Maitrāvaruṇa recites twice, the Pratiprasthātṛ recites twice, and the Hotṛ recites once. What is the Hotṛ's recitation?"
2.28.5	The Pranas are the two-deity-sacrifices. The thunderbolt is the Hotr. If the Hotr were to offer the two-deities-sacrifices in between, the thunderbolt would destroy the sacrificer's life. If someone were to say to him, "The thunderbolt has destroyed the sacrificer' life," then it would be so. Therefore the Hotr should not offer the two- deities-sacrifices in-between.
2.28.6	Now, the mind is the sacrifice, the Maitrāvaruṇa is the speech, the Hotr is the sacrifice, speech speaks with the mind. Whatever speech one utters with a different mind, that speech is not bright, not pleasing to the gods. Whatever the Maitrāvaruņa recites twice, that is the Hotr's recitation.
2.29.1-3	The Rtu-offerings are the vital airs. When they perform the Rtu-offer- ings, they place the vital airs in the sacrificer. They offer six times to the seasons. They place the vital airs into the sacrificer. They offer four times to the seasons, they place the out-breath into the sacrificer.
2.29.4	Twice they offer to the seasons. They thus place the Vyana in the sacrificer above.
2.29.5	This breath is threefold, namely, Prāṇa, Apāna and Vyāna. When they offer to the season and to the seasons, it is for the continuity of the breaths and for the non-interruption of the breaths.
2.29.6	The Rtuyaajas are the vital airs. One should say "Svāhā" after the Rtuyaajas. The seasons are not fixed. Each one is alone.
2.29.7	If one were to recite the Anuvṣṭakāra for the seasonal offerings, one would establish the seasons which are not established. The Anuvṣṭkāra is indeed a settled (rite). If someone were to say to him, "You have established the seasons which are unsettled. There will be a bad harvest," it would be so. Therefore, one should not recite the Anuvșṭakāra for seasonal offerings.
2.30.1	The Pranas are the two-deity deities, the animals are Ida. Having eaten the two-deities, he invokes Ida. Ida is the animals. He invokes the animals. He places the animals in the sacrificer.
2.30.2	They say, one should eat Ida first, and then eat the Hotr's goblet.
2.30.3	The Hotr should first partake of the Avantya cup and then partake of the Hotr's cup.
2.30.4	Now, when he eats the two-deity offerings first, then his Soma-drinking is eaten first. Therefore one should eat the Avantara-cup first, and then the Hotr's cup. Thus he takes up the food on both sides. For the taking up of the food by the Soma-drinking.
2.30.5	The two-deity sacrifices are the vital breaths. The Hotr's cup is the self. The two-deities' sacrifices are the Hotr's cups. He pours them into the Hotr' s cup. Thus the Hotr pours the vital breaths into the self. For all life, for all life-span.
2.30.6	He who knows this attains all life.
2.31.1	The gods and the Asuras did the same things in the sacrifice. They were of equal strength and did not deviate. Then the gods saw this silent praise. The Asuras did not follow it. Silent praise is a silent offering.
2.31.2	The gods, when they were about to strike the Asuras with the thunderbolt, were discovered by them. Then the gods saw this silent hymn as the thunderbolt, and when they struck the Asuras with it, they were not discovered by them. They struck them with it, and killed them while they were still asleep. Then the gods became victorious, the Asuras were defeated.
2.31.3	He who knows this becomes the self of others, and his enemy, sin, becomes his foe.
2.31.4	The gods, thinking themselves victorious, performed the sacrifice. The Asuras approached them, saying, "We shall take away the sacrificial gifts from them." They saw them standing all around, in great numbers, and said, "Let us establish this sacrifice. Let the Asuras not kill our sacrifice." They said, "So be it." They established it silently, saying, "Agni is the earth, Agni is the light." They established it in the Ajyaprauga (verse), saying, "Indra is the light, the light is Indra." They established it at the Niskevalya and Marutvat (verses), saying, "The sun is the light, Surya is the light." Translation: The gods, thinking they were victorious, performed the sacrificial rite. The Asuras came to them, saying, “We will take away the sacrificial offerings from them.” They saw them standing around in great numbers and said, “Let us establish this sacrificial rite. Let the Asura not kill our sacrifice.” They said, “So be it.” They established it silently with the words, “Agni is the Earth, Agni is the Light.” They established it in Ajyapraugah (verse) with the words, "Indra, the Light, the Light is Indra." They performed it at the Nishevalya and Maruta verses with the words, "The Sun is the Light, the Sun is the Light." They performed it at Vaishvadeva and Agni-Marut verses with the words "The Sun is Light, the Sun Light." Having established it silently, they attained the goal without any harm.
2.31.5	Then indeed that sacrifice is completed when the Hotṛ recites the silent Sāmans.
2.31.6	If someone were to speak or utter a word to him while he is reciting the Sastras silently, he should say, "He will certainly meet with this calamity. Tomorrow we shall recite the Sastras for him silently. We shall establish him so that he may be able to perform his duties like one who has returned home. In the same way, he will be able to perform them now." He who knows this and speaks or utters a word while reciting the Sastra silently, certainly meets with that calamity. Therefore, knowing this, one should not speak or utter a statement while reciting the Sastra silently.
2.32.1	The Tushni-shansas are the eyes of the Savanas. "The eye of the morning Savana is Agni, the light, the light is Agni." "The eye of midday Savana is Indra, the light, light is Indra." "The eye at the third Savana is Surya, the light, Surya is the light."
2.32.2	He attains the worlds of the gods with the worlds of the eyes, he attains the heavenly world with the worlds of eyes, he who knows thus.
2.32.3	This is the eye of the sacrifice, that which is silently praised. The single truth is uttered in two ways. Therefore the single eye is twofold.
2.32.4	Now this is the root of the sacrifice, namely, the silent praise. If one should desire of him, 'May he be without a home,' then one should not praise the silent praise at his sacrifice. The sacrifice, indeed, is uprooted, and he who follows it is also uprooted.
2.32.5	They say, "The officiating priests are not pleased when the Hotṛ silently recites. The sacrifice is established in the officiating priests, and the sacrificer in the sacrifice. Therefore, one should recite, one should recite.
2.33.1	The Brahman is the invocation, the Kshatra is the Nidvida, the Vid is the Sukta. He invokes the Nidvida and then establishes the Sukta. Thus he unites the Kshatra with the Brahman. Having chanted the Nidvida, he chants the Sukta. The Nidvida is the Kshatra, the Sukta is the Vid. Thus he unites Kshatra with Vis.
2.33.2	If one wishes to weaken him with the Kshatra, one should recite the Sukta in the middle of this Nidhi. The Nidhi is the Kshatra. The Sukta is the Vritra. One weakens him with the Ksatra.
2.33.3	If one wishes to weaken a clan, one should recite a Nidhi in the middle of that Sukta. The Nidhi belongs to the Kshatra and the Sukta to the Vritra, one weakens it with the clan.
2.33.4	If one wishes that everything of his be as it was before, straightened and arranged, then one should call him, then offer a gift, then recite the hymn. That is the arrangement of everything.
2.33.5	Prajapati was the only one here in the beginning. He desired, "May I beget, may I be more." He practised austerity. He controlled speech. After a year he spoke twelve times. This is a twelve-fold arrangement. He spoke this very arrangement. All beings followed it.
2.33.6	The sage, seeing this, recited it in the form of a hymn: "The Creator, with his former intention, created these creatures, the subjects of Manu."
2.33.7	And when he places this hymn before the hymn, it is for propagation.
2.33.8	He who knows this is propagated with offspring and cattle.
2.34.1	"He recites, 'Agni is kindled by the gods.' Agni is indeed kindled by the gods, for the gods kindle him. He thus brings him to this world.
2.34.2	He recites, ‘Agni is kindled in the mind.’ Agni is indeed kindled in the mind, for men kindle him. He brings him to this very world.
2.34.3	Agni is the well-kindled one. He praises Agni as the well-kindler. Agni is Vayu. Vayu himself kindles himself. Vayu kindles everything that is here. Vayu extends the world of the atmosphere.
2.34.4	"The Hotri is surrounded by the gods," he says. The Hotri is indeed surrounded by the gods, for he is surrounded by the deities on all sides. He thus extends him to this world.
2.34.5	"The Hotri is encircled by men," he says. Agni is indeed encircled by men, for he is encircled by men on all sides. Thus he extends Agni to this world.
2.34.6	"The wind is the leader of sacrifices" - thus he praises. The wind is the leader (of sacrifices). When the wind blows, then the sacrifice takes place. Then the Agnihotra. Thus he extends the wind to the world of the atmosphere.
2.34.7	"He praises him as 'the charioteer of sacrifices.' He is indeed the charioteer of the sacrifices. For he moves like a charioteer. He thus extends him to this world.
2.34.8	He praises him as the 'unfailing Hotri.' Agni indeed is the unfailing Hotri. For no one can cross him transversely. He thus extends Agni to this world.
2.34.9	He praises him as "Tūrni, the bearer of oblations." Vayu is Tūrni, the carrier of oblations. Vayu is all this. He crosses it quickly. Whatever there is, Vayu carries oblations to the gods. He thus extends Vayu, the world of the atmosphere.
2.34.10	"May the god convey the gods" - thus he praises. This indeed is the god who conveys the gods. He thus brings him to this world.
2.34.11	"May Agni, the god, convey the gods" thus he praises. Agni indeed is the god here who conveys the gods to the sacrifice. He thus brings Agni to this world.
2.34.12	He makes the sacrifice, O Jātavedas, he praises. Vāyu is Jātavedā. Vāyu makes everything here that is here. He extends Vāyu itself to the world of the atmosphere.
2.35.1	For you, O god Agni, are the Anushtubh verses.
2.35.2	He wanders in the first foot. Therefore a woman's thighs wander.
2.35.3	Therefore the man joins the thighs. That is the pair. He makes it a pair in the Utkamukha (Sāman). For propagation.
2.35.4	He who knows this is propagated with offspring and cattle.
2.35.5	The first foot of the Anushtubh verse is "Pra vo devāy agnaye" (O Agni, for you, O Gods). He thus makes the thunderbolt more and more powerful. He then unites the latter foot. The thunderbolt is indeed the beginning, the end, and the middle. He thus strikes the thunderbolt at his hateful brother, at him who has concealed himself.
2.36.1	The gods and the Asuras fought for these worlds. The gods made their abode in the Sadas (the hall of assembly). They conquered the Sadas. They approached the Agnidhra (the priest in charge of the fire). They were not defeated from there. Therefore they observe fast at the Agnidhra. Not at the Sadas, for they placed it at the Agnidhrā. What they placed at the Agnidhara, that is the Agnidhra's Agnidhrahood.
2.36.2	The Asuras, the adversaries of the gods, extinguished the fires of the gods in the assembly. The gods then made the fires of the assembly blaze forth from the Agnidhra. With them they destroyed the Asura-protectors. In the same way the sacrificer now makes the fires of the Assembly blaze forth from the Agni-dhr. With them he destroys the Asura-protectos.
2.36.3	They won by means of the morning-libations. They came back. Because they won by means of morning-libations, they came back, therefore the morning-libation is called "ajya".
2.36.4	Of those Hotresses who are coming, who are conquering, the one called Aśāvakīya was the last. Indra and Agni were seated on that (Hotress). Indra and Agni are the strongest, the most powerful, the most enduring, the most excellent, the most capable of the gods. Therefore the Aśāvakas chant the Indra-Agni (Sūkta) at the morning pressing, for Indra and Agni were indeed seated on that (Sūkta).
2.36.5	Therefore, the other Hotr-priests go to the Sadas before him, and the Shavasaka goes last, for the inferior one goes after.
2.36.6	Therefore, the one who is a Brahman, a learned one, and powerful should perform the Shavasakiya for him, and he becomes successful.
2.37.1	The sacrifice is indeed a divine chariot, and the two ends of it are the two offerings of clarified butter. When he recites the Pavamāna hymn with clarified butter, he makes the two ends of the divine chariot move in the form of the two offerings of butter.
2.37.2	The two ends of the human chariot also move in the form (of the two offerings of) butter, for the sake of non-greed.
2.37.3	The chariot of the gods does not tempt him, nor the chariot of men, he who knows thus.
2.37.4	They say, "Just as the praise, so the hymn, the singers of the Pavamana hymns praise in the same way." The Hotṛ recites the Agniya offering. How do the Pavamana verses become recited?
2.37.5	He who is Agni, he is Pavamana.
2.37.6	This is also said by the sage, Agni is the sage Pavamana.
2.37.7	Thus, for one who is undertaking with the Agniyeeyi verses, the Pavamantya verses become prescribed.
2.37.8	They say, "Just as the Stotra is sung in the Gāyatrī verses, so the Sastra is sung in the Anushtubh verses. The Hotṛ recites the Ajya in the Anushtup. How do the Gāyatrīs become recited?"
2.37.9	One should say, "For prosperity."
2.37.10	These seven Anushtubh verses, three of them in the first and three in the last, make eleven. The Yajya is the Viraj, the twelfth. The metres are not completed with one syllable, nor with two. They are sixteen Gāyatrī verses.
2.37.11	Thus, indeed, he who is proceeding with Anushtubh, has the Gāyatrī prescribed for him.
2.37.12	Agni and Indra are the two who conquer the house of the giver. He offers to Agni and Indra.
2.37.13	Indra and Agni do not conquer each other. These two conquer each other. In that he offers to Agni and Inda, it is for the sake of conquest.
2.37.14	It is Viraj, consisting of thirty-three syllables. The thirty-three gods are the Vasus, the Rudras, the Adityas, Prajapati, and the Vasat call. He thus makes the deities partake of the syllables in the first Upakrama. The deities drink the syllables one by one. The deities are satisfied with the divine vessel.
2.37.15	They say, "Just as the weapon is (used) in battle, so the Hotṛ recites the Ajya-verse of Agni. Then why does he offer to Agni-Indra?"
2.37.16	Agni-Indra is the same as Indra-Agni. This hymn is Indra-Agni with the Graha and the silent recitation.
