1.1.1.1	For you, O Agni, for the well-being.
1.6.9.59	The gift is Aryaman.
1.6.9.60	The people are desirous of giving to him.
1.6.9.61	The full moon and the new moon are indeed the two breasts of Prajapati.
1.6.9.62	If one establishes the fire on the full moon or the new moon, one milks Prajapati as if he were a cow.
1.6.9.63	The full moon and the new moon are the two seats of the gods.
1.6.9.64	If one installs the fire on the full moon or the new moon, both are auspicious days, both are fit for sacrifice.
1.6.10.1	One should not churn before the sun rises.
1.6.10.2	The fire installed by the Asuras is not known.
1.6.10.3	One should churn when the rays have risen.
1.6.10.4	The gods and Indra, the two, are placed in the form of the two days.
1.6.10.5	It is to be placed in twenty-four steps.
1.6.10.6	The Gāyatrī has twenty-four syllables.
1.6.10.7	The Gâyatrî is the metre of Agni.
1.6.10.8	He places it in its own womb, in its own metre.
1.6.10.9	If one desires it, one should place it in an unlimited (space).
1.6.10.10	The limited is indeed the Ksheshnu.
1.6.10.11	He obtains for him an unlimited life.
1.6.10.12	Agni, created by Prajapati, went out.
1.6.10.13	Prajapati was afraid, thinking, "He is not here, this is me."
1.6.10.14	Having gone out after him, he offered.
1.6.10.15	Now indeed, when he is deposited, he is created.
1.6.10.16	They say that one should offer the Agnihotra after having followed the Amna.
1.6.10.17	One should not do it like that.
1.6.10.18	That is the right way.
1.6.10.19	If one were to do the opposite of that, one would be unable to procreate.
1.6.10.20	One should offer the evening Agnihotra after having placed the oblations first.
1.6.10.21	Agni is light, light is Agni, svāhā.
1.6.10.22	Thus in the evening he places the semen in the middle with light.
1.6.10.23	The sun is light, light the sun, svāhā,
1.6.10.24	Thus in the morning.
1.6.10.25	Thus in evening and morning he places the semen with light in the middle, and in the morning it is for procreation.
1.6.10.27	The gods and the Asuras were engaged in a contest.
1.6.10.28	Then Indra placed Agni.
1.6.10.29	The gods were afraid.
1.6.10.30	"He will be the protector of the fire, the protector of the Agnihotra."
1.6.10.31	He will not come near us.
1.6.10.32	He will not conquer us."
1.6.10.33	They said, "Whatever you do, whatever you win, whatever you obtain, we will make that your Agnihotra. Come."
1.6.10.34	He came.
1.6.10.35-36	Therefore, the Agnihotra of the king should not be offered. Whatever he does, whatever he kills, whatever he conquers, whatever he obtains, whatever his subjects attend upon, that should be the Agnihotra of a king. They debate whether the Agnihotra of kings should be offered or not.
1.6.10.37	If one does not offer after having offered, one would cut off the sacrifice, one would be defeated or one would be lost.
1.6.10.38	One should offer on the full moon or new moon.
1.6.10.39	One should also recite the Agnihotra.
1.6.10.40	By that his Darsha-Pūrnamāsa sacrifices become continuous and uninterrupted.
1.6.11.1	If one desires, "May he be rich in cattle," then they should bring the fire from the house of one who is rich in cattle.
1.6.11.2	Just as when he was created, the cattle followed him, so when he is brought, the cattle follow him.
1.6.11.3	For this is Rudra, namely, Agni.
1.6.11.4	Now, if one desires that he should be the eater of food, they should bring the fire from the right side of the shed.
1.6.11.5	This is indeed the eater of food among the fires.
1.6.11.6	The shed is the maker of food.
1.6.11.7	He obtains food for himself.
1.6.11.8	They say, "Just as a low-caste person or a leper would treat, so is he."
1.6.11.9	He is indeed the one who is churned.
1.6.11.10	He becomes auspicious for the sacrificer and auspicious for the cattle.
1.6.11.11	If one who is going to perform a Soma sacrifice were to kindle the fire, he should not offer oblations of barley before a year.
1.6.11.12	Rudra would be hostile to his cattle.
1.6.11.13	These are indeed cattle, namely, barley and rice.
1.6.11.14	And having cooked rice in four pots, he should offer it to the Brahmanas, like grains for the living.
1.6.11.15	If he does not offer to those deities, he would be deprived of them.
1.6.11.16	One who is brooding would become hungry.
1.6.11.17	One should offer clarified butter to them.
1.6.11.18	By that he is not deprived of them.
1.6.11.19-24	He becomes free from anger and free from hatred. He offers oblations for a year. Rudra, who has entered the year, does not harm his cattle. He offered Agnihotra for a year. He knew that it was austerity. He ascended to heaven together with all.
1.6.11.25	Viraj, indeed, thrice stepped forth, the Garhapatya, the Ahavaniya and the Sabhya.
1.6.11.26	That is Viraj, indeed.
1.6.11.27	Viraj is food.
1.6.11.28	Food, indeed, is Viraj.
1.6.11.29	One should offer in the middle of the altar with the Varuna verse of the king.
1.6.11.30	Varuna is the king of the gods.
1.6.11.31	He obtains the kingdom.
1.6.11.32	Having placed gold, one offers.
1.6.11.33	He offers in the Agni-abundant (fire) and in the abode-abundant (place).
1.6.11.34	If he were to offer in a place without an abode, the Adhvaryu would be blind.
1.6.11.35	He should give him a hundred dice.
1.6.11.36	He should divide them.
1.6.11.37	Man has a hundred years of life, a hundred powers.
1.6.11.38	He obtains life and power.
1.6.11.39	On that day they should gamble with his cow in the assembly.
1.6.11.40	They should not injure her limbs.
1.6.11.41	One should offer her to the two assemblies.
1.6.11.42	Whatever she takes, that should be given to the Brahmins.
1.6.11.43	One obtains the food of the assembly.
1.6.12.1	If one is going to kindle the fire the next morning, then he should cook rice in four pots and offer it to Brahmins as food for the living.
1.6.12.2	Aditi cooked rice for the sake of offspring.
1.6.12.3	She ate the remaining rice.
1.6.12.4	From her were born Dhatri and Aryaman.
1.6.12.5	She cooked rice again.
1.6.12.6	She ate what remained.
1.6.12.7	From her were born Mitra and Varuna.
1.6.12.8	She cooked the other.
1.6.12.9	He ate the remainder.
1.6.12.10	From her were born Anśa and Bhaga.
1.6.12.11	She cooked another.
1.6.12.12	She thought:
1.6.12.13	"When I eat the remainder, two are born.
1.6.12.14	Now it would be better for me to eat before them."
1.6.12.15	She ate before them and brought it.
1.6.12.16	They, being in the womb, spoke thus:
1.6.12.17	"We shall be like the Adityas."
1.6.12.18	They desired a destroyer among them.
1.6.12.19	They were destroyed by Ansha and Bhaga.
1.6.12.20	Therefore they are not worshipped in the sacrifice.
1.6.12.21	Amsa-prasha is the share of Amsa.
1.6.12.22	Bhaga went to the people.
1.6.12.23	Therefore they say:
1.6.12.24	People should go.
1.6.12.25	There, he meets with Bhaga.
1.6.12.26	He, indeed, Indra, having gone upwards, followed the breath.
1.6.12.27	The other egg, which was dead, fell down.
1.6.12.28	That indeed is the Sun, whose progeny are these men.
1.6.12.29	Aditi ran to the Adityas.
1.6.12.30	"Let it be mine."
1.6.12.31	"Let it not fall in vain on me."
1.6.12.32	They said, "Let him speak to us, but do not insult us."
1.6.12.33	Indeed, that very one is Vivasvat, the sun, for whom Manu is Vaivasvata and Yama. Manu is in this world, Yama in the other world.
1.6.12.34	Indeed, these (gods) protect the path leading to the gods, namely, the Adityas. They drive away one who is about to die.
1.6.12.35	Or, if one were to kindle the fire without informing them, they would drive him away from the heavenly world.
1.6.12.36	The Adityas are the remaining portions.
1.6.12.37	When he has turned back after the remaining portion, he offers the kindling-sticks. This is the kindling of the fire for the Adityas.
1.6.12.38	They do not drive him away from this world.
1.6.12.39	One who is about to kindle the fire should abandon it for a year.
1.6.12.40	They should not take the fire from his house.
1.6.12.41	They should not take it from another.
1.6.12.42	After a year, the foetus is born.
1.6.12.43	He places it on the grown-up one.
1.6.12.44	One should abstain for twelve nights.
1.6.12.45	Twelve nights are the image of the year.
1.6.12.46	After a full year, the foetal is born.
1.6.12.47	It places it on the one who has grown.
1.6.12.48	One should offer three.
1.6.12.49	There are three worlds.
1.6.12.50	One attains these worlds.
1.6.12.51	One should offer one.
1.6.12.52	Prajapati is one.
1.6.12.53	One attains Prajapati.
1.6.12.54	Pururava of the Idas found the goddess Urvashi.
1.6.12.55	Her life was born.
1.6.12.56	He went to heaven and sang to the gods.
1.6.12.57	They said, "Where will this man go?"
1.6.12.58	He said, "There are many of my equals. They will say, 'Did this son of the goddess bring anything from the gods, his mother's brothers?' Let there be something for me."
1.6.12.59	Therefore Agni gave him the sacrificial body.
1.6.12.60	He placed her on his lap and brought her.
1.6.12.61	He placed her in the pot.
1.6.12.62	That ashvattha became the altar.
1.6.12.63	That pot became the shami tree.
1.6.12.64	Therefore, these two are the places of sacrifice.
1.6.12.65	Because they are born of merit.
1.6.12.66	Agni approached Varuna for study, when he was about to leave.
1.6.12.67	His wife became pregnant.
1.6.12.68	He ran away from him as he was coming forward.
1.6.12.69	He knew that all the power, the semen, was being taken away by the one who was stealing.
1.6.12.70	He stole it back to prevent its loss.
1.6.12.71	What was semen became the Aśvattha tree.
1.6.12.72	What was the membrane became the Śamī tree.
1.6.12.73	Therefore, these two are the sacrificial trees.
1.6.12.74	Because they are born of merit.
1.6.12.75	Prajapati, having created the creatures, thought of copulating.
1.6.12.76	He became a horse and stood on the ground, placing his head on the ground for a year.
1.6.12.77	From his head, the ashvattha tree sprang up.
1.6.12.78	That is the reason for the ashvattha being called ashvattha.
1.6.12.79	Therefore, it is fit for sacrifice.
1.6.12.80	Because it belongs to Prajapati.
1.6.13.1	Manu, desiring to beget offspring, was about to kindle the fire, and offered to one deity and another.
1.6.13.2	Then from the offering to Mitra-Varuna a sprout sprang up.
1.6.13.3	From its foot ghee oozed out.
1.6.13.4	It belonged to Mitra-Varuṇa.
1.6.13.5	They said to it, "You were born from our offering. You belong to Manu. Go to him."
1.6.13.6	She went to Manu.
1.6.13.7	He said, "These Asuras are performing the Agnihotra rite. Go away from them."
1.6.13.8	She went away.
1.6.13.9	They performed the Agnihotra rite on this one, then on that one, then on this one.
1.6.13.10	She came back.
1.6.13.11	He asked her, "Where did you go?"
1.6.13.12	She said, "They performed the Agnihotras on this one, on that one, on this one.
1.6.13.13	He said, "The Asuras have reached the end of the wealth only once, but the others will be superior."
1.6.13.14	He said, "The gods here are offering Agni with merit, go to them."
1.6.13.15	She went to them.
1.6.13.16	They offered this one first, then that one, then this one.
1.6.13.17	She returned again.
1.6.13.18	He asked her, "What did you go for?"
1.6.13.19	She said, "This one is the foremost, then that one, then this one."
1.6.13.20	He said, "Indeed, the gods all together ascended to heaven from here, and those who give will live by the sacrifice."
1.6.13.21	He who would give everything should take this one first, then that one and then this one.
1.6.13.22	Just as all the gods ascended to heaven together with Agni, so does the sacrificer ascend to heaven together with all (his kinsmen) who knows this and lays Agni.
1.6.13.23	He said, "These sages are laying Agni with merit. Go to them."
1.6.13.24	She went to them.
1.6.13.25	They laid him first, then this one, then that one.
1.6.13.26	She again said:
1.6.13.27	She asked her: "What did you know?"
1.6.13.28	She said: "This one first, then this one, then this one."
1.6.13.29	He said: "I indeed knew the Agnihotra. The sages have settled in all these worlds."
1.6.13.30-35	He who, knowing this, lays down the fire, stands firm with offspring and cattle. If one were to lay down the fire of the east after having laid down the fire of this world, one would lay down the fire in the wrong place. If one would lay down this fire after having laid down that fire, one would lay it down in the wrong place.
1.6.13.36	Thus is the prosperity of the house established.
1.6.13.37	The house is to be built in the east of the middle house.
1.6.13.38	Thus is the prosperity of that house established.
1.6.13.39	That which was the Praharvi became the cow.
1.6.13.40	The Seda, the human, the one with feet of ghee, the one belonging to Mitra and Varuna.
1.7.1.1	Whatever you, angry, have poured out with anger, O Agni, with good intention, good thought, we again offer that to you.
1.7.1.2	Whatever you have done, O Indra, when your mind was inflamed, and you have wandered over the earth, the Adityas, all the gods, the Vasus have restored it.
1.7.1.3	Whatever you have done, when you were angry, the Vasus, Indra and Agni have restored it.
1.7.1.4	May the Adityas, Rudras, Vasus, and Brahmans again kindle thee. O Agni, with ghee, mayst thou increase thy body. May the prosperity of wealth be with the sacrificer.
1.7.1.5	The thirty-three threads which are spread out, and which give this sacrifice with nectar, with them we cover up the hole, if there is any. May the sacrifice go to the gods.
1.7.1.6	May the mind, the light, enjoy the ghee. May it join this broken sacrifice. May the gods come to this sacrifice, spread out with seven threads, with good intentions.
1.7.1.7	May Brihaspati with the oblation of ghee, may he join this interrupted sacrifice. Those that are to be worshipped and those that are to be sacrificed, I join them with the mind and ghee.
1.7.1.8	O Agni, turning back, turn back to me with life, with radiance, with offspring, with wealth, with knowledge, with prosperity, with nourishment.
1.7.1.9	O Agni, Angiras, may there be a hundred of your coverings, a thousand of your coverings. Now, with the nourishment of nourishment, make us whole again, make us whole with wealth again.
1.7.1.10	Return with energy, O Agni, return with life, return, protect us from harm.
1.7.1.11	Return with wealth, O Agni, swell with the stream of all-nourishing, all-pervading.
1.7.1.12	Salila, Saliga, Sagara, may these Adityas, enjoying the oblation, be satisfied. Svāhā. Ketu, Suketu, Saketa, may these Aditvas, enjoying the obla- tion, be satisfied. Svaha. Devajuta, Vivasvan, Aditya, may these gods, enjoying the oblations, be satisfied. May the gods grant us the true invocation of the gods among the gods. To the Adityas, svāhā.
1.7.2.1	The share of Agni is the Punarādheya.
1.7.2.2	He who seeks this share, he injures.
1.7.2.3	If one who is setting up thinks, "May it be successful," he should set it up again after having destroyed it.
1.7.2.4	He injures the very share he seeks. Having obtained it, he injures it.
1.7.2.5	Everything is done for Agni.
1.7.2.6	Having given a share to Agni of everything that is done, one obtains all prosperity.
1.7.2.7	They say, "The materials should not be collected, the Yajus should not be performed."
1.7.2.8	For this is the collection of materials, the performance of the Yajus.
1.7.2.9	They say, "The Yajus should be performed after the materials have been collected."
1.7.2.10	The garment should be given again, the chariot should be new again, the bull should be released again.
1.7.2.11	These are the forms of the re-establishment.
1.7.2.12	He obtains and wins the forms of Agni.
1.7.2.13	Agni, when sinking, sinks with the plants.
1.7.2.14	Darbha grass is the plants of the waters.
1.7.2.15	When the darbha grass is the upolpa, he obtains and wins him from the waters and plants.
1.7.2.16	The gods, while winning the Asuras, deposited their dear forms in Agni.
1.7.2.17	If they should conquer us, we shall advance against them; if we should conquer them, we shall turn back."
1.7.2.18	Those gods, having conquered, desired:
1.7.2.19	"All of us together."
1.7.2.20	Agni said, "He who will install me with my deity, he will be born with these bodies."
1.7.2.21	The gods installed him.
1.7.2.22-28	They became united with these forms. Cattle are the dear forms of the gods. They became united with cattle. He who, knowing this, performs the re-erection, becomes united with these forms of Agni. Cattle are indeed the dear forms of gods. He becomes united with cattle. Manu, desiring prosperity, performed the re-erecti
1.7.2.29	He nourished these animals.
1.7.2.30	By that he prospered.
1.7.2.31	Tvashtra, desiring cattle, created.
1.7.2.32	These animals were born as Tvashtras.
1.7.2.33	By that they prospered.
1.7.2.34	Prajapati, desiring offspring, created.
1.7.2.35	This offspring was born as Prajapatyas.
1.7.2.36	By that it prospered.
1.7.2.37	He who created it first became prosperous by it.
1.7.2.38	That is the reason for the name of Punarvasu.
1.7.2.39	Therefore, the offering should be made in Punarvasu constellation.
1.7.2.40	For he was again united with that wealth.
1.7.2.41	He who offered it prospered.
1.7.2.42	Therefore, it should be offered in Anuradha constellation for prosperity.
1.7.2.43	One prospers and also for the sake of a pair.
1.7.3.1	Agni, when he is sinking, sinks for a year.
1.7.3.2	The seventeen Sāmidhenī verses should be employed.
1.7.3.3	There are five seasons.
1.7.3.4	There are twelve months.
1.7.3.5	This is the year.
1.7.3.6	Having obtained it from the year, he secures it.
1.7.3.7	They say: The fifteen Sāmidhenīs should be employed, not the seventeen.
1.7.3.8	This is indeed the most difficult to cross in the year.
1.7.3.9	By this one obtains what is left.
1.7.3.10	The fifteen Sāmidhenī verses.
1.7.3.11	The fifteen nights of the half-month.
1.7.3.12	They are obtained by them.
1.7.3.13	As many syllables as there are in the Sāmidhenīs, so many days are there in the year.
1.7.3.14	They are attained by them.
1.7.3.15	Agni, when he is sinking, sinks into the year.
1.7.3.16	The six seasons are the year.
1.7.3.17	Therefore, there are six divisions.
1.7.3.18	The year is indeed Agni Vaisvānara.
1.7.3.19	Since there are six divisions, he obtains him from the year itself and binds him.
1.7.3.20	And because Agni is distributed in many ways, he nourishes these nourishments.
1.7.3.21	Therefore Agni took these many forms, no other deity. And when they are made to be of two syllables and four syllables,
1.7.3.22	because animals are in pairs, in twos.
1.7.3.23	The Prajās are the seasons.
1.7.3.24	Food is the seasons.
1.7.3.25	If one were to interrupt the Prajās, one would interrupt food.
1.7.3.26	The Prājas are the mouth of the sacrifice.
1.7.3.27-33	If one were to obstruct the Prayājas, one would obstruct the mouth of the sacrifice. If one were to desire that, one should perform the Vibaktis after the Prayājas. The Prayājas are indeed virility. The Vibaktis are virility. One utters the Vasat-call over virility. He advances towards prosperity. The Agniya is performed separately.
1.7.3.34	Now why are the saha-vibhaktis (i.e. the saha-vibhāgas) with the Prayājas?
1.7.3.35	The Prayājas are performed for a year.
1.7.3.36	Why is the Agniya rite performed?
1.7.3.37	Therefore the Agniya is different.
1.7.4.1	Return again with energy, return, O Agni, with life, return, protect us from evil.
1.7.4.2	One should offer this before the Prayājas.
1.7.4.3	With wealth do thou return, O Agni, with thy stream, with all thy wealth, from every side.
1.7.4.4	Thus one should offer the Uparyājas.
1.7.4.5	He falls down with his cattle and energy.
1.7.4.6	"Return with energy again." Thus he again obtains energy and cattle.
1.7.4.7	And he makes them sharers.
1.7.4.8-13	Then indeed he prospers on both sides of the sacrifice. The Agniya is performed separately. Now why are the oblations of clarified butter offered? The oblations of clarified butters are the eyes of the sacrifice. If the oblations of clari- fied butter were to be offered in between, one would obstruct the eyes of the sacri- fice. One should do it in the world of Soma: "O Agni, do thou purify the life-breaths." By that it is Agniya.
1.7.4.14	Whatever is Pavamānī, that is Soma.
1.7.4.15	It is not done in various ways.
1.7.4.16	They do not enter Soma.
1.7.4.17	One who desires offspring or cattle should perform in the world of Soma, saying, "Agni is the head of heaven, the crest."
1.7.4.18	Whatever is in pairs, that is generative.
1.7.4.19	Whatever is full of semen, that is Soma-like.
1.7.4.20	One who extinguishes the fire is obstructed by the sacrifice.
1.7.4.21	The sacrifice is fivefold.
1.7.4.22	When one again offers the sacrifice with five potsherds, one again offers the same sacrifice.
1.7.4.23	One should offer in eight potsherds.
1.7.4.24	For Agni is the Gāyatrī, and the Gāyatrīs are the metres.
1.7.4.25	This is done for Agni, namely the re-installation.
1.7.4.26	Therefore it is offered in eight potsherards.
1.7.4.27	One should not be afraid of that.
1.7.4.28	One should only offer in five potsherds.
1.7.4.29	Or from the fifth season, the sixth season came into being.
1.7.4.30	This is the same as the fifth and sixth seasons.
1.7.4.31	When he takes him from the five-spooned (puroḍāśa) and the year, he takes him from himself.
1.7.4.32	The seasons are procreation.
1.7.4.33	Agni is the procreator.
1.7.4.34	When he is five-spooned, the procreator procreates him from procreation.
1.7.5.1	The one who puts out the fire is indeed the hero of the gods.
1.7.5.2	The hero is the giver of a hundred.
1.7.5.3	Since these are verses of a hundred syllables, he indeed makes the hero of the deities.
1.7.5.4	One should place it for someone else, and then again for someone else.
1.7.5.5	One does not attain what is placed for someone else, for whom it is again placed.
1.7.5.6	By the re-installation (of the fire) he again obtains it.
1.7.5.7	The life of the gods is old age.
1.7.5.8	For so many months does one live, as many syllables are in these verses, as much life and strength one obtains.
1.7.5.9	He obtains it.
1.7.5.10	He obtains (it).
1.7.5.11	One who puts out the fire is deprived of life and strength.
1.7.5.12-19	Life, strength, gold. He who gives gold, he prospers him in life and strength. It is of a hundred (coins). Man has a life of a hundred years, a strength of a hundred. He obtains life and strength. The Adityas went to heaven from here. They became anxious. The gods live on the sacrifice from here.
1.7.5.20-24	They again established it. They prospered. The Adityas prospered in this world, the Adityas in the other world. Cattle in this world, seasons in the other world.
1.7.5.25-27	Salila, Saliga, Sagara, may they, the Adityas, enjoy our oblation. Svāhā. Ketu, Suketu, Saketa, may they, the Adityas, enjoy our oblation. O Devjūta, O Vivasvan, O Aditya, may the gods, the Adityan, grant us the true invocation of the gods. To the Adityas svāhā. With these they again established him.
1.7.5.28	They succeeded.
1.7.5.29	When he again lays them down with these (verses), then he succeeds.
1.7.5.30	The re-laying is indeed of the Adityas.
1.8.1.1	Prajapati created the creatures.
1.8.1.2	He created Agni first, from the head.
1.8.1.3	From where he created Agni, that became the limit.
1.8.1.4	From there he brought down the blood.
1.8.1.5	That became the limit. 
1.8.1.6	Then the Udumbara (tree) came into existence.
1.8.1.7	From that, the Udumbara became Prajapati's.
1.8.1.8	From that the red fruit ripens.
1.8.1.9	He, created from that, went away, desiring his share.
1.8.1.10	He did not find that which Prajapati had intended.
1.8.1.11	He took his own eye and offered it.
1.8.1.12	Agni is light, light is Agni, svāhā.
1.8.1.13	Thus they think that the eye is the sun.
1.8.1.14	They think that this is the sacrifice in him who offers.
1.8.1.15	The eye is truth.
1.8.1.16	He who knows this and offers Agnihotra with truth,
1.8.1.17	he becomes true. He who knows this becomes true.
1.8.1.18	"The Brahmins say, "To whom should Agnihotra be offered?"
1.8.1.19	This is offered to Agni for protection and concealment.
1.8.1.20	When one offers in the evening, one supports it by the night.
1.8.1.21	When one makes the offering in the morning, one supports it with the day.
1.8.1.22	All the sacrifices are established in the fire.
1.8.1.23	Now why is this alone called Agnihotra? The Brahmavādins say:
1.8.1.24	Hotrā (the priest) had gone away from the gods, desiring a share in the Agnihotra.
1.8.1.25	When he says "Agnihotra", he shares it with Hotrā.
1.8.1.26	He makes them sharers with that.
1.8.1.27	This was the first offering to Agni.
1.8.1.28	That is why it is called Agnihotra.
1.8.1.29	He was created from this, desiring his own share.
1.8.1.30	He did not find that which Prajapati had intended.
1.8.1.31	His own speech addressed him, saying, "Offer!"
1.8.1.32	He offered it here, wiping it away, with "Svāhā."
1.8.1.33	For his own speech addressed him.
1.8.1.34	That is the origin of the word "Svāhā".
1.8.1.35	Therefore at the Agnihotra, the word "Svāhākāra" is used.
1.8.1.36	Therefore there is no hair on the forehead and on the hand.
1.8.1.37	For this reason he took it and offered it.
1.8.1.38	Therefore they say of him whose hair is combed on the right side that he is the eldest, the one with good fortune.
1.8.1.39	For Prajapati himself first combed his hair on the right side.
1.8.1.40	The ladle should be made according to this measure.
1.8.1.41	By this (verse) Agni was first offered oblation.
1.8.1.42	From that oblation, a man was created.
1.8.1.43	He offered a second oblation.
1.8.1.44	Then a horse was created.
1.8.1.45	Therefore a horse eats both (kinds of food).
1.8.1.46	Because it was created after the man, without any intervening (oblation).
1.8.1.47-54	Therefore they think of him as standing facing them, saying, "The horse is the man." He offered the third. Then the cow was created. He offered the fourth. Then the sheep was created. Then the goat was created. The fifth. Then the camel was created. Sixth. Then the barley was created.
1.8.1.55	He offered the seventh oblation.
1.8.1.56	Then barley was created.
1.8.1.57	These seven domestic animals were created.
1.8.1.58	He who, knowing this, offers the Agnihotra, obtains them.
1.8.2.1	He offered the eighth oblation.
1.8.2.2	Spring was created then.
1.8.2.3	He offered ninth oblation.
1.8.2.4	Summer was created then.
1.8.2.5-13	He offered the tenth oblation. Then the rainy season was created. He offered the eleventh oblation. Thereafter the autumn was created. The twelfth oblation was offered. Then the winter was created. An oblation was ready for the thirteenth (day). Then the cold season was created. Therefore this is the most fierce and unstable of the seasons.
1.8.2.14	From the unoffered (oblation) it came into being.
1.8.2.15	From the unoffered ( oblation) it was created.
1.8.2.16	They say, the Brahmavādins, that the seasons were created first, and then the animals.
1.8.2.17	One should say, 'The seasons and the animals.'
1.8.2.18	For both of them were created together.
1.8.2.19	It entered him again from here.
1.8.2.20	This is the Agni-place of the hand, namely the palm.
1.8.2.21	Therefore, from this, the fire burns the hand that is bent down.
1.8.2.22	When one is being burnt, if one stretches out the hands, one desires to bend down to the fire.
1.8.2.23	The animals enter the fire, the fire enters the animals.
1.8.2.24	The animals indeed enter him who knows this, and he enters the animals.
1.8.2.25	Now indeed Narada said this: "Where one sees a cow lying down, dead, he thinks, 'She is dead,' not knowing."
1.8.2.26	For they enter Agni, Agni enters them.
1.8.2.27	Therefore all the animals approach Agni in all seasons.
1.8.2.28	For there is no season apart from Agni.
1.8.2.29	Whatever he found when he was born, that is the knowledge of the one who was born.
1.8.2.30	He poured it into the waters.
1.8.2.31	It followed the waters and burned.
1.8.2.32	They became Agni's thunderbolt.
1.8.2.33	Therefore one should sprinkle the oblations, but not Agni.
1.8.2.34	If one were to sprinkle him, one would worship with a harmful sacrifice.
1.8.2.35-42	Prajapati desired her. He found her in the waters. He placed her in the plants. Therefore plants grow without being sprinkled. From plants, animals; From animals, men. He who knows this grows without being sprinkled. The one who is in the spring and winter should be taken up.
1.8.2.43	This indeed is the dear abode of Agni.
1.8.2.44	This indeed is the offering that shines forth.
1.8.2.45	By means of this one indeed approaches the dear abode of the Agni.
1.8.2.46	And one becomes possessed of cattle.
1.8.2.47	And by means of this one purifies oneself.
1.8.2.48	Agni and Surya were together in the same womb, in the red iron.
1.8.2.49	He, the sun, flowed upwards.
1.8.2.50	His semen fell down.
1.8.2.51	That Agni, the male, grasped from the womb.
1.8.2.52	That burned him.
1.8.2.53	Therefore iron, a chisel, and milk burn.
1.8.2.54	Therefore they offer this.
1.8.2.55	The semen of animals is indeed barley and rice.
1.8.2.56	Therefore they offer this.
1.8.2.57	It should not be overcooked.
1.8.2.58	It should dry up the semen.
1.8.2.59	If it were to drip, his offspring would be mad.
1.8.2.60	This is the semen of the sun that is offered here.
1.8.2.61	It is impure if not cooked.
1.8.2.62	It should be cooked until it is thick.
1.8.2.63	That is cooked, pure, and generative.
1.8.3.1	It is milked in a pot.
1.8.3.2-9	By this (water) they approach (the gods). For this (water) does not flow away from here or there, for the sake of non-flowing away. It becomes a noble vessel, with the upper part of the skull, for the sake (of attaining) the divine world. For that is the divine world. The pot made by a potter, having the form of a wheel, is indeed the divine vessel. If it were to flow away, one should pour it into water. Water is indeed peace. Water is the remedy.
1.8.3.10	The waters are the medicines.
1.8.3.11	Wherever they are used, the herbs grow there more abundantly and more bountiful.
1.8.3.12	If the milk is spilled while being milked, it should be milked into another vessel.
1.8.3.13	For the sacrifice is the atonement for the sacrifice.
1.8.3.14	If the Soma is spilled while being deposited, or while being taken down, or after being taken down, while being carried forward, or after being carried forward, while being brought forward for the Homa, it should be brought again and milked from another plant.
1.8.3.15	For the sacrifice is the atonement for the sacrifice.
1.8.3.16	Having recited the Varuni verse, one should offer the Varuni oblation.
1.8.3.17	Varuna indeed takes possession of the sacrifice when he takes possession of it.
1.8.3.18	This is indeed the atonement, the expiation.
1.8.3.19	If one is to be excluded, it should be for one who desires brilliance, who desires brahmic glory.
1.8.3.20	Or for one who desires to be praised.
1.8.3.21	Or for him who desires, 'May a hero be born to me.'
1.8.3.22	The Gharma is indeed excluded; brilliance, brahmic glory,
1.8.3.23	He becomes brilliant and endowed with brahmic glory.
1.8.3.24	One should sprinkle him whom one desires to sprinkle.
1.8.3.25	One is born as a hero.
1.8.3.26	One should offer with ghee if there is no pouring out.
1.8.3.27	This is the pouring out.
1.8.3.28	There is no expiation for what has been spilled.
1.8.3.29	And one does not become like one who has no cattle.
1.8.3.30	This is indeed the milk of cattle that is being poured out.
1.8.3.31	He bestows purity on the animals.
1.8.3.32	The fierce fire burns the animals.
1.8.3.33	Therefore, it should be sprinkled with water.
1.8.3.34	If one sprinkles with water, it would be extinguished.
1.8.3.35	One should sprinkle with the Gāndohasa rite.
1.8.3.36	That is neither water nor milk.
1.8.3.37	They say, "It may leak out."
1.8.3.38	When it is taken away from the milking, then it is spilled.
1.8.3.39	For the trees have disappeared from it. Therefore, it should be sprinkled with water.
1.8.3.40	One who gives a little bit does not win.
1.8.3.41	It pacifies the impurity of cattle.
1.8.3.42	Cattle are indeed brilliance and brahminical splendour.
1.8.3.43	Water and milk are a pair.
1.8.3.44	From the pair, indeed, offspring and cattle are born.
1.8.3.45	That is the pair.
1.8.3.46	From that very pair, the sacrificer is born with offspring and cattle.
1.8.3.47	One should offer rice-gruel to one who is to be anointed.
1.8.3.48	This is the anointed, the peaceful, the worthy of sacrifice, the pair, the procreator.
1.8.4.1	Prajapati created offspring.
1.8.4.2	They created them by means of austerity.
1.8.4.3	He restrained speech alone.
1.8.4.4	He who restrains speech approaches austerity.
1.8.4.5	The Agnihotra is the creation of offspring.
1.8.4.6	He creates offspring from both sides, from here and from there.
1.8.4.7	Speech should be restrained when the sun has set, or when it is being milked, or when it has been deposited.
1.8.4.8-13	They should be offered as soon as they are brought. That is the most secret. He should look at the rising (sun) with the verse, "May I be born with offspring and cattle." For the creation of offspring and cattle. And he anoints him for the sake of being fit. At the Agnihotra, the husband and wife commit adultery.
1.8.4.14	The former world is of the sacrificer, the latter of the wife.
