#Text:Śatapathabrāhmaṇa
#Edition:Weber
#Notes:Sentence splits: 3, 4.1-4 (O. Hellwig), 7 (S. Sellmer), 8 (K. Amano), 9 (O. Hellwig); text and sentence splits from DCS: 10. Following the conventions used for other texts, we assign a separate line id to each sentence.
#Todo:Insert 4.5ff. From the DCS. ŚBM: 5, 14: sentence splits needed. 6.1.1-6.7.1: sentence splits needed. 6.7.2ff. can be taken from the DCS.


3.1.1.1.1	devayajanaṃ joṣayante
4.2.1.7.1	api hovāca yājñavalkyo no svid devatābhya eva gṛhṇīyāmā3
4.2.1.7.2	vijitarūpam iva hīdam iti
4.2.1.7.3	tad vai sa tan mīmāṃsām eva cakre
4.2.1.7.4	net tu cakāra
4.2.1.8.1	imām u haike śukrasya purorucaṃ kurvanty ayaṃ venaś codayat pṛśnigarbhā jyotirjarāyū rajaso vimāna iti
4.2.1.8.2	tad etasya rūpaṃ kurmo ya eṣa tapatīti yad āha jyotirjarāyur iti
4.2.1.9.1	imāṃ tv eva śukrasya purorucaṃ kuryāt tam pratnathā pūrvathā viśvathemathā jyeṣṭhatātim barhiṣadaṃ svarvidam iti
4.2.1.9.2	attā hy etam anu
4.2.1.9.3	attā hi jyeṣṭhaḥ
4.2.1.9.4	tasmād āha jyeṣṭhatātim barhiṣadaṃ svarvidam pratīcīnaṃ vṛjanaṃ dohase dhunim āśuṃ jayantam anu yāsu vardhase
4.2.1.9.5	upayāmagṛhīto 'si śaṇḍāya tvā
4.2.1.9.6	eṣa te yonir vīratām pāhīti sādayati
4.2.1.9.7	attā hy etam anu
4.2.1.9.8	attā hi vīraḥ
4.2.1.9.9	tasmād āhaiṣa te yonir vīratām pāhīti
4.2.1.9.10	dakṣiṇārdhe sādayati
4.2.1.9.11	etāṃ hy eṣa diśam anu saṃcarati
4.2.1.10.1	atha manthinaṃ gṛhṇāty ayaṃ venaś codayat pṛśnigarbhā jyotirjarāyū rajaso vimāne
4.2.1.10.2	imam apāṃ saṃgame sūryasya śiśuṃ na viprā matibhī rihanti
4.2.1.10.3	upayāmagṛhīto 'si markāya tveti
4.2.1.11.1	taṃ saktubhiḥ śrīṇāti
4.2.1.11.2	tad yat saktubhiḥ śrīṇāti
4.2.1.11.3	varuṇo ha vai somasya rājño 'bhīvākṣi pratipipeṣa
4.2.1.11.4	tad aśvayat
4.2.1.11.5	tato 'śvaḥ samabhavat
4.2.1.11.6	tad yacchvayathāt samabhavat tasmād aśvo nāma
4.2.1.11.7	tasyāśru prāskandat
4.2.1.11.8	tato yavaḥ samabhavat
4.2.1.11.9	tasmād āhur varuṇyo yava iti
4.2.1.11.10	tad yad evāsyātra cakṣuṣo 'mīyata tenaivainam etat samardhayati kṛtsnaṃ karoti
4.2.1.11.11	tasmāt saktubhiḥ śrīṇāti
4.2.1.12.1	sa śrīṇāti mano na yeṣu havaneṣu tigmaṃ vipaḥ śacyā vanutho dravantā
4.2.1.12.2	ā yaḥ śaryābhis tuvinṛmṇo asyāśrīṇītādiśaṃ gabhastau
4.2.1.12.3	eṣa te yoniḥ prajāḥ pāhīti sādayati
4.2.1.12.4	ādyo hy etam anu
4.2.1.12.5	ādyā hīmāḥ prajā viśaḥ
4.2.1.12.6	tasmād āhaiṣa te yoniḥ prajāḥ pāhīti
4.2.1.13.1	dvau prokṣitau yūpaśakalau bhavato dvāv aprokṣitau
4.2.1.13.2	prokṣitaṃ caivādhvaryur ādatte 'prokṣitaṃ ca
4.2.1.13.3	evam eva pratiprasthātā prokṣitaṃ caivādatte 'prokṣitaṃ ca
4.2.1.13.4	śukram evādhvaryur ādatte manthinam pratiprasthātā
4.2.1.14.1	so 'dhvaryur aprokṣitena yūpaśakalenāpamārṣṭy apamṛṣṭaḥ śaṇḍa iti
4.2.1.14.2	evam eva pratiprasthātāpamṛṣṭo marka iti
4.2.1.14.3	tad ādadānāv evāsurarakṣase apahataḥ
4.2.1.14.4	devās tvā śukrapāḥ praṇayantv ity evādhvaryur niṣkrāmati devās tvā manthipāḥ praṇayantv iti pratiprasthātā
4.2.1.14.5	tad etau devatābhya eva praṇayataḥ
4.2.1.15.1	tau jaghanenāhavanīyam aratnī saṃdhattaḥ
4.2.1.15.2	tā uttaravedau sādayataḥ
4.2.1.15.3	dakṣiṇāyām eva śroṇāv adhvaryuḥ sādayaty uttarāyām pratiprasthātānanusṛjantāv evānādhṛṣṭāsīti
4.2.1.15.4	tad rakṣobhir evaitad uttaravedim anādhṛṣṭāṃ kurutaḥ
4.2.1.15.5	viparyeṣyantau vā etāv agniṃ bhavato 'tyeṣyantau
4.2.1.15.6	tasmā evaitan nihnuvāte
4.2.1.15.7	tatho hainau vipariyantāv agnir na hinasti
4.2.1.16.1	so 'dhvaryuḥ paryeti suvīro vīrān prajanayan parīhīti
4.2.1.16.2	attā hy etam anu
4.2.1.16.3	attā hi vīraḥ
4.2.1.16.4	tasmād āha suvīro vīrān prajanayan parīhīti
4.2.1.16.5	abhi rāyaspoṣeṇa yajamānam iti
4.2.1.16.6	tad yajamānāyāśiṣam āśāste yad āhābhi rāyaspoṣeṇa yajamānam iti
4.2.1.17.1	atha pratiprasthātā paryeti suprajāḥ prajāḥ prajanayan parīhīti
4.2.1.17.2	ādyo hy etam anu
4.2.1.17.3	ādyā hīmāḥ prajā viśaḥ
4.2.1.17.4	tasmād āha suprajāḥ prajāḥ prajanayan parīhīti
4.2.1.17.5	abhi rāyaspoṣeṇa yajamānam iti
4.2.1.17.6	tad yajamānāyāśiṣam āśāste yad āhābhi rāyaspoṣeṇa yajamānam iti
4.2.1.18.1	tāv apidhāya niṣkrāmataḥ
4.2.1.18.2	tira evaināv etat kurutaḥ
4.2.1.18.3	tasmād imau sūryācandramasau prāñcau yantau na kaścana paśyati
4.2.1.18.4	tau purastāt parītyāporṇutaḥ
4.2.1.18.5	purastāt tiṣṭhantau juhutaḥ
4.2.1.18.6	āvir evaināv etat kurutaḥ
4.2.1.18.7	tasmād imau sūryācandramasau pratyañcau yantau sarva eva paśyati
4.2.1.18.8	tasmāt parāg retaḥ sicyamānaṃ na kaścana paśyati
4.2.1.18.9	tad u paścāt prajāyamānaṃ sarva eva paśyati
4.2.1.19.1	tau jaghanena yūpam aratnī saṃdhatto yady agnir nodbādheta
4.2.1.19.2	yady u agnir udbādhetāpy agreṇaiva yūpam aratnī saṃdadhyātām
4.2.1.19.3	saṃjagmāno divā pṛthivyā śukraḥ śukraśociṣety evādhvaryuḥ
4.2.1.19.4	saṃjagmāno divā pṛthivyā manthī manthiśociṣeti pratiprasthātā
4.2.1.19.5	cakṣuṣor evaite āramaṇe kurutaḥ
4.2.1.19.6	cakṣuṣī evaitat saṃdhattaḥ
4.2.1.19.7	tasmād ime abhito 'sthinī cakṣuṣī saṃhite
4.2.1.20.1	so 'dhvaryur aprokṣitaṃ yūpaśakalaṃ nirasyati nirastaḥ śaṇḍa iti
4.2.1.20.2	evam eva pratiprasthātā nirasto marka iti
4.2.1.20.3	tat purāhutibhyo 'surarakṣase apahataḥ
4.2.1.21.1	athādhvaryuḥ prokṣitaṃ yūpaśakalam āhavanīye prāsyati śukrasyādhiṣṭhānam asīti
4.2.1.21.2	evam eva pratiprasthātā manthino 'dhiṣṭhānam asīti
4.2.1.21.3	cakṣuṣor evaite samidhau
4.2.1.21.4	cakṣuṣī evaitat saminddhe
4.2.1.21.5	tasmād ime samiddhe cakṣuṣī
4.2.1.22.1	tatra japaty achinnasya te deva soma savīryasya rāyaspoṣasya daditāraḥ syāmeti
4.2.1.22.2	āśīr evaiṣaitasya karmaṇaḥ
4.2.1.22.3	āśiṣam evaitad āśāste
4.2.1.23.1	athāśrāvyāha prātaḥprātaḥ savasya śukravato madhuścuta indrāya somān prasthitān preṣyeti
4.2.1.23.2	vaṣaṭkṛte 'dhvaryur juhoti tad anu pratiprasthātā tad anu camasādhvaryavaḥ
4.2.1.24.1	tau vai purastāt tiṣṭhantau juhutaḥ
4.2.1.24.2	cakṣuṣī vā etau
4.2.1.24.3	tat purastād evaitac cakṣuṣī dhattaḥ
4.2.1.24.4	tasmād ime purastāc cakṣuṣī
4.2.1.25.1	abhito yūpaṃ tiṣṭhantau juhutaḥ
4.2.1.25.2	yathā vai nāsikaivaṃ yūpaḥ
4.2.1.25.3	tasmād ime abhito nāsikāṃ cakṣuṣī
4.2.1.26.1	tau vai vaṣaṭkṛtau santau mantreṇa hūyete
4.2.1.26.2	eteno haitau tad udaśnuvāte yad enau sarvaṃ savanam anuhūyate
4.2.1.26.3	yad v evaitau sarvaṃ savanam anuhūyata etau vai prajāpateḥ pratyakṣatamām
4.2.1.26.4	cakṣuṣī hy etau
4.2.1.26.5	satyaṃ vai cakṣuḥ
4.2.1.26.6	satyaṃ hi prajāpatiḥ
4.2.1.26.7	tasmād enau sarvaṃ savanam anuhūyate
4.2.1.27.1	sa juhoti sa prathamā saṃskṛtir viśvavārā sa prathamo varuṇo mitro agniḥ sa prathamo bṛhaspatiś cikitvāṃs tasmā indrāya sutam ājuhota svāheti
4.2.1.28.1	sa yaj juhoti sā prathamā sa prathama iti śaśvaddha vai retasaḥ siktasya
4.2.1.28.2	cakṣuṣī eva prathame saṃbhavataḥ
4.2.1.28.3	tasmāj juhoti sā prathamā sa prathama iti
4.2.1.29.1	atha sampreṣyati praitu hotuś camasaḥ pra brahmaṇaḥ prodgātṝṇāṃ pra yajamānasya
4.2.1.29.2	prayantu sadasyānāṃ hotrāṇāṃ camasādhvaryavaḥ
4.2.1.29.3	upāvartadhvam
4.2.1.29.4	śukrasyābhyunnayadhvam iti
4.2.1.29.5	sampraiṣa evaiṣa
4.2.1.29.6	paryetya pratiprasthātādhvaryoḥ pātre saṃsravam avanayati
4.2.1.29.7	attra evaitad ādyam baliṃ hārayati
4.2.1.29.8	tam adhvaryur hotṛcamase 'vanayati bhakṣāya
4.2.1.29.9	vaṣaṭkartur hi bhakṣaḥ
4.2.1.29.10	prāṇo vai vaṣaṭkāraḥ
4.2.1.29.11	so 'smād etad vaṣaṭkurvataḥ parāṅ ivābhūt
4.2.1.29.12	prāṇo vai bhakṣaḥ
4.2.1.29.13	tat prāṇam punar ātman dhatte
4.2.1.30.1	atha yad ete pratīcī pātre na haranti haranty anyān grahāṃś cakṣuṣī hy ete
4.2.1.30.2	saṃsravam eva hotṛcamase 'vanayati
4.2.1.31.1	atha hotrāṇāṃ camasān abhyunnayanti
4.2.1.31.2	hutocchiṣṭā vā ete saṃsravā bhavanti nālam āhutyai
4.2.1.31.3	tān evaitat punar āpyāyayanti
4.2.1.31.4	tathālam āhutyai bhavanti
4.2.1.31.5	tasmāddhotrāṇāṃ camasān abhyunnayanti
4.2.1.32.1	atha hotrāḥ saṃyājayanti
4.2.1.32.2	hotrā ha vai yuktā devebhyo yajñaṃ vahanti
4.2.1.32.3	tā evaitat saṃtarpayanti tṛptāḥ prītā devebhyo yajñaṃ vahān iti
4.2.1.32.4	tasmāddhotrāḥ saṃyājayanti
4.2.1.33.1	sa prathamāyāṃ vā hotrāyām iṣṭāyām uttamāyāṃ vānumantrayate tṛmpantu hotrā madhvo yāḥ sviṣṭā yāḥ suprītāḥ suhutā yat svāheti
4.2.1.33.2	hotrāṇām evaiṣā tṛptiḥ
4.2.1.33.3	athetya pratyaṅṅ upaviśaty ayāḍ agnīd iti
4.2.1.33.4	agnīddhy atra yajatām uttamaḥ saṃyajati
4.2.1.33.5	tasmād āhāyāḍ agnīd iti
4.2.2.1.1	ātmā ha vā asyāgrayaṇaḥ
4.2.2.1.2	so 'syaiṣa sarvam eva
4.2.2.1.3	sarvaṃ hy ayam ātmā
4.2.2.1.4	tasmād anayā gṛhṇāti
4.2.2.1.5	asyai hi sthālī bhavati
4.2.2.1.6	sthālyā hy enaṃ gṛhṇāti
4.2.2.1.7	sarvaṃ vā iyam
4.2.2.1.8	sarvam eṣa grahaḥ
4.2.2.1.9	tasmād anayā gṛhṇāti
4.2.2.2.1	pūrṇaṃ gṛhṇāti
4.2.2.2.2	sarvaṃ vai pūrṇam
4.2.2.2.3	sarvam eṣa grahaḥ
4.2.2.2.4	tasmāt pūrṇaṃ gṛhṇāti
4.2.2.3.1	viśvebhyo devebhyo gṛhṇāti
4.2.2.3.2	sarvaṃ vai viśve devāḥ
4.2.2.3.3	sarvam eṣa grahaḥ
4.2.2.3.4	tasmād viśvebhyo devebhyo gṛhṇāti
4.2.2.4.1	sarveṣu savaneṣu gṛhṇāti
4.2.2.4.2	sarvaṃ vai savanāni
4.2.2.4.3	sarvam eṣa grahaḥ
4.2.2.4.4	tasmāt sarveṣu savaneṣu gṛhṇāti
4.2.2.5.1	sa yadi rājopadasyet tam ata eva tanvīrann ataḥ prabhāvayeyuḥ
4.2.2.5.2	ātmā vā āgrayaṇaḥ
4.2.2.5.3	ātmano vā imāni sarvāṇy aṅgāni prabhavanti
4.2.2.5.4	etasmād antato hāriyojanaṃ grahaṃ gṛhṇāti
4.2.2.5.5	tad ātmany evāsyām pratiṣṭhāyām antato yajñaḥ pratitiṣṭhati
4.2.2.6.1	atha yasmād āgrayaṇo nāma
4.2.2.6.2	yāṃ vā amūṃ grāvāṇam ādadāno vācaṃ yacchaty atra vai sāgre 'vadat
4.2.2.6.3	tad yat sātrāgre 'vadat tasmād āgrayaṇo nāma
4.2.2.7.1	rakṣobhyo vai tām bhīṣā vācam ayacchan
4.2.2.7.2	ṣaḍ vā ataḥ prāco grahān gṛhṇāti
4.2.2.7.3	athaiṣa saptamaḥ
4.2.2.7.4	ṣaḍ vā ṛtavaḥ saṃvatsarasya
4.2.2.7.5	sarvaṃ vai saṃvatsaraḥ
4.2.2.8.1	tāṃ devāḥ sarvasmin vijite 'bhaye 'nāṣṭre 'trāgre vācam avadan
4.2.2.8.2	tatho evaiṣa etāṃ sarvasmin vijite 'bhaye 'nāṣṭre 'trāgre vācaṃ vadati
4.2.2.9.1	athāto gṛhṇāty eva ye devāso divy ekādaśa stha pṛthivyām adhy ekādaśa stha // apsukṣito mahinaikādaśa stha te devāso yajñam imaṃ juṣadhvam // upayāmagṛhīto 'sy āgrayaṇo 'si svāgrayaṇa iti
4.2.2.9.2	vācam evaitad ayātayāmnīṃ karoti
4.2.2.9.3	tasmād anayā samānaṃ sad viparyāsaṃ vadaty ajāmitāyai
4.2.2.9.4	jāmi ha kuryād yad āgrayaṇo 'sy āgrayaṇo 'sīti gṛhṇīyāt
4.2.2.9.5	tasmād āhāgrayaṇo 'si svāgrayaṇa iti
4.2.2.10.1	pāhi yajñam pāhi yajñapatim iti vācam evaitad utsṛṣṭām āha
4.2.2.10.2	gopāya yajñam iti pāhi yajñapatim iti vācam evaitad utsṛṣṭām āha
4.2.2.10.3	gopāya yajamānam iti
4.2.2.10.4	yajamāno hi yajñapatiḥ
4.2.2.10.5	viṣṇus tvām indriyeṇa pātu viṣṇuṃ tvam pāhīti vācam evaitad utsṛṣṭām āha
4.2.2.10.6	yajño vai viṣṇuḥ
4.2.2.10.7	yajñas tvāṃ vīryeṇa gopāyatv iti viṣṇuṃ tvam pāhīti vācam evaitad utsṛṣṭām āha
4.2.2.10.8	yajñaṃ tvaṃ gopāyety abhi savanāni pāhīti tad etaṃ graham āha
4.2.2.10.9	sarvāṇi hy eṣa savanāni prati
4.2.2.11.1	atha daśāpavitram upagṛhya hiṅkaroti
4.2.2.11.2	sā haiṣā vāg anudyamānā tatāma
4.2.2.11.3	tasyāṃ devā vāci tāntāyāṃ hiṅkāreṇaiva prāṇam adadhuḥ
4.2.2.11.4	prāṇo vai hiṅkāraḥ
4.2.2.11.5	prāṇo hi vai hiṅkāraḥ
4.2.2.11.6	tasmād apigṛhya nāsike na hiṅkartuṃ śaknoti
4.2.2.11.7	saitena prāṇena samajihīta
4.2.2.11.8	yadā vai tāntaḥ prāṇaṃ labhate 'tha sa saṃjihīte
4.2.2.11.9	tatho evaiṣa etad vāci tāntāyāṃ hiṅkāreṇaiva prāṇaṃ dadhāti
4.2.2.11.10	saitena prāṇena saṃjihīte
4.2.2.11.11	triṣkṛtvo hiṅkaroti
4.2.2.11.12	trivṛddhi yajñaḥ
4.2.2.12.1	athāha somaḥ pavata iti
4.2.2.12.2	sa yām evāmūm bhīṣāsurarakṣasebhyo na nirabruvaṃs tām evaitat sarvasmin vijite 'bhaye 'nāṣṭre 'tra nirāha
4.2.2.12.3	tām āviṣkaroti
4.2.2.12.4	tasmād āha somaḥ pavata iti
4.2.2.13.1	asmai brahmaṇe 'smai kṣatrāyeti tad brahmaṇe ca kṣatrāya cāha
4.2.2.13.2	asmai sunvate yajamānāya pavata iti tad yajamānāyāha
4.2.2.14.1	tad āhur etāvad evoktvā sādayet
4.2.2.14.2	etāvad vā idaṃ sarvaṃ yāvad brahma kṣatraṃ viṭ
4.2.2.14.3	indrāgnī vā idaṃ sarvam
4.2.2.14.4	tasmād etāvad evoktvā sādayed iti
4.2.2.15.1	tad u brūyād eva bhūya iṣa ūrje pavata iti
4.2.2.15.2	vṛṣṭyai tad āha yad āheṣa iti
4.2.2.15.3	ūrja iti yo vṛṣṭād ūrg raso jāyate tasmai tad āha
4.2.2.15.4	adbhya oṣadhībhyaḥ pavata iti tad adbhyaś cauṣadhībhyaś cāha
4.2.2.15.5	dyāvāpṛthivībhyām pavata iti tad ābhyāṃ dyāvāpṛthivībhyām āha yayor idaṃ sarvam adhi
4.2.2.15.6	subhūtāya pavata iti sādhave pavata ity evaitad āha
4.2.2.16.1	tad u haika āhur brahmavarcasāya pavata iti
4.2.2.16.2	tad u tathā na brūyāt
4.2.2.16.3	yad vā āhāsmai brahmaṇa iti tad eva brahmavarcasāyāha
4.2.2.16.4	viśvebhyas tvā devebhya eṣa te yonir viśvebhyas tvā devebhya iti sādayati
4.2.2.16.5	viśvebhyo hy enaṃ devebhyo gṛhṇāti
4.2.2.16.6	taṃ vai madhye sādayati
4.2.2.16.7	ātmā hy asyaiṣa
4.2.2.16.8	madhya iva hy ayam ātmā
4.2.2.16.9	dakṣiṇokthyasthālī bhavaty uttarādityasthālī
4.2.3.1.1	ayaṃ ha vā asyaiṣo 'nirukta ātmā yad ukthyaḥ
4.2.3.1.2	so 'syaiṣa ātmaiva
4.2.3.1.3	ātmā hy ayam aniruktaḥ prāṇaḥ
4.2.3.1.4	so 'syaiṣa āyur eva
4.2.3.1.5	tasmād anayā gṛhṇāti
4.2.3.1.6	asyai hi sthālī bhavati
4.2.3.1.7	sthālyā hy enaṃ gṛhṇāti
4.2.3.1.8	ajarā hīyam amṛtā
4.2.3.1.9	ajaraṃ hy amṛtam āyuḥ
4.2.3.1.10	tasmād anayā gṛhṇāti
4.2.3.2.1	taṃ vai pūrṇaṃ gṛhṇāti
4.2.3.2.2	sarvaṃ vai tad yat pūrṇam
4.2.3.2.3	sarvaṃ tad yad āyuḥ
4.2.3.2.4	tasmāt pūrṇaṃ gṛhṇāti
4.2.3.3.1	tasyāsāv eva dhruva āyuḥ
4.2.3.3.2	ātmaivāsyaitena saṃhitaḥ parvāṇi saṃtatāni
4.2.3.3.3	tad vā agṛhīta evaitasmād acchāvākāyottamo graho bhavati
4.2.3.4.1	atha rājānam upāvaharati
4.2.3.4.2	tṛtīyaṃ vasatīvarīṇām avanayati
4.2.3.4.3	tat parva samaiti
4.2.3.4.4	prathamam ahottarasya savanasya karoty uttamam pūrvasya
4.2.3.4.5	sa yad uttarasya savanasya tat pūrvaṃ karoti yat pūrvasya tad uttamam
4.2.3.4.6	tad vyatiṣajati
4.2.3.4.7	tasmād imāni parvāṇi vyatiṣaktāni
4.2.3.4.8	idam ittham atihānam idam ittham
4.2.3.5.1	evam eva mādhyandine savane
4.2.3.5.2	agṛhīta evaitasmād acchāvākāyottamo graho bhavati
4.2.3.5.3	atha tṛtīyaṃ vasatīvarīṇām avanayati
4.2.3.5.4	tat parva samaiti
4.2.3.5.5	prathamam ahottarasya savanasya karoty uttamam pūrvasya
4.2.3.5.6	sa yad uttarasya tat pūrvaṃ karoti yat pūrvasya tad uttamam
4.2.3.5.7	tad vyatiṣajati
4.2.3.5.8	tasmād imāni parvāṇi vyatiṣaktāni
4.2.3.5.9	idam ittham atihānam idam ittham
4.2.3.5.10	tad yad asyaitenātmā saṃhitas tenāsyaiṣa āyuḥ
4.2.3.6.1	saiṣā kāmadughaivendrasyoddhāraḥ
4.2.3.6.2	tribhya evainam prātaḥsavana ukthebhyo vigṛhṇāti tribhyo mādhyandine savane
4.2.3.6.3	tat ṣaṭ kṛtvaḥ
4.2.3.6.4	ṣaḍ vā ṛtavaḥ
4.2.3.6.5	ṛtavo vā imānt sarvān kāmān pacanti
4.2.3.6.6	eteno haiṣā kāmadughaivendrasyoddhāraḥ
4.2.3.7.1	taṃ vā apurorukkaṃ gṛhṇāti
4.2.3.7.2	ukthaṃ hi puroruk
4.2.3.7.3	ṛgghi puroruk
4.2.3.7.4	ṛgghy uktham
4.2.3.7.5	sāma grahaḥ
4.2.3.7.6	atha yad anyaj japati tad yajuḥ
4.2.3.7.7	tā haitā abhyardha evāgra ṛgbhya āsur abhyardho yajurbhyo 'bhyardhaḥ sāmabhyaḥ
4.2.3.8.1	te devā abruvan hantemā yajuḥṣu dadhāma
4.2.3.8.2	tatheyam bahulatareva vidyā bhaviṣyatīti
4.2.3.8.3	tā yajuḥṣv adadhuḥ
4.2.3.8.4	tata eṣā bahulatareva vidyābhavat
4.2.3.9.1	taṃ yad apurorukkaṃ gṛhṇāti
4.2.3.9.2	ukthaṃ hi puroruk
4.2.3.9.3	ṛgghi puroruk
4.2.3.9.4	ṛgghyuktham
4.2.3.9.5	sa yad evainam ukthebhyo vigṛhṇāti teno hāsyaiṣa puroruṅmān bhavati
4.2.3.9.6	tasmād apurorukkaṃ gṛhṇāti
4.2.3.10.1	athāto gṛhṇāty evopayāmagṛhīto 'sīndrāya tvā bṛhadvate vayasvata iti
4.2.3.10.2	indro vai yajñasya devatā
4.2.3.10.3	tasmād āhendrāya tveti
4.2.3.10.4	bṛhadvate vayasvata iti vīryavata ity evaitad āha yad āha bṛhadvate vayasvata iti
4.2.3.10.5	ukthāvyaṃ gṛhṇāmīti
4.2.3.10.6	ukthebhyo hy enaṃ gṛhṇāti
4.2.3.10.7	yat ta indra bṛhad vaya iti yat ta indra vīryam ity evaitad āha
4.2.3.10.8	tasmai tvā viṣṇave tveti
4.2.3.10.9	yajñasya hy enam āyuṣe gṛhṇāti
4.2.3.10.10	tasmād āha tasmai tvā viṣṇave tveti
4.2.3.10.11	eṣa te yonir ukthebhyas tveti sādayati
4.2.3.10.12	ukthebhyo hy enaṃ gṛhṇāti
4.2.3.11.1	taṃ vigṛhṇāti devebhyas tvā devāvyaṃ yajñasyāyuṣe gṛhṇāmīti
4.2.3.11.2	praśāsanaṃ sa kuryād ya evaṃ kuryāt
4.2.3.11.3	yathādevataṃ tv eva vigṛhṇīyāt
4.2.3.12.1	mitrāvaruṇābhyāṃ tvā devāvyaṃ yajñasyāyuṣe gṛhṇāmīty eva maitrāvaruṇāya
4.2.3.12.2	maitrāvaruṇīṣu hi tasmai stuvate
4.2.3.12.3	maitrāvaruṇīr anuśaṃsati
4.2.3.12.4	maitrāvaruṇyā yajati
4.2.3.13.1	indrāya tvā devāvyaṃ yajñasyāyuṣe gṛhṇāmīty eva brāhmaṇācchaṃsine
4.2.3.13.2	aindrīṣu hi tasmai stuvate
4.2.3.13.3	aindrīr anuśaṃsati
4.2.3.13.4	aindryā yajati
4.2.3.14.1	indrāgnibhyāṃ tvā devāvyaṃ yajñasyāyuṣe gṛhṇāmīty evācchāvākāya
4.2.3.14.2	aindrāgnīṣu hi tasmai stuvate
4.2.3.14.3	aindrāgnīr anuśaṃsati
4.2.3.14.4	aindrāgnyā yajati
4.2.3.14.5	indrāya tvety eva mādhyandine savane
4.2.3.14.6	aindraṃ hi mādhyandinaṃ savanam
4.2.3.15.1	tad u ha carakādhvaryavo vigṛhṇanty upayāmagṛhīto 'si devebhyas tvā devāvyam ukthebhya ukthāvyaṃ mitrāvaruṇābhyāṃ juṣṭaṃ gṛhṇāmi
4.2.3.15.2	eṣa te yonir mitrāvaruṇābhyāṃ tveti sādayati
4.2.3.15.3	punarhavir asīti sthālīm abhimṛśati
4.2.3.16.1	upayāmagṛhīto 'si devebhyas tvā devāvyam ukthebhya ukthāvyam indrāya juṣṭaṃ gṛhṇāmy eṣa te yonir indrāya tveti sādayati
4.2.3.16.2	punarhavir asīti sthālīm abhimṛśati
4.2.3.17.1	upayāmagṛhīto 'si devebhyas tvā devāvyam ukthebhya ukthāvyam indrāgnibhyāṃ juṣṭaṃ gṛhṇāmy eṣa te yonir indrāgnibhyāṃ tveti sādayati
4.2.3.17.2	nātra punarhavir asīti sthālīm abhimṛśati
4.2.3.17.3	indrāya tvendrāya tvety eva mādhyandine savane
4.2.3.17.4	aindraṃ hi mādhyandinaṃ savanam
4.2.3.17.5	dvir ha punarhavir asīti sthālīm abhimṛśati
4.2.3.17.6	tūṣṇīṃ tṛtīyaṃ nidadhāti
4.2.3.18.1	taṃ vai nopayāmena gṛhṇīyān na yonau sādayet
4.2.3.18.2	agre hy evaiṣa upayāmena gṛhīto bhavaty agre yonau sanno jāmitāyai
4.2.3.18.3	jāmi ha kuryād yad enam atrāpy upayāmena gṛhṇīyād yad yonau sādayet
4.2.3.18.4	atha yat punarhavir asīti sthālīm abhimṛśati punar hy asyai grahaṃ grahīṣyan bhavati
4.2.3.18.5	na tad ādriyeta
4.2.3.18.6	tūṣṇīm eva nidadhyāt
4.2.4.1.1	ayaṃ ha vā asyaiṣa prāṇo yo 'yam purastāt sa vai vaiśvānara eva
4.2.4.1.2	atha yo 'yam paścāt sa dhruvaḥ
4.2.4.1.3	tau ha smaitau dvāv evāgre grahau gṛhṇanti dhruvavaiśvānarāv iti
4.2.4.1.4	tayor ayam apy etarhy anyatara eva gṛhyate dhruva eva
4.2.4.1.5	sa yadi taṃ carakebhyo vā yato vānubruvīta yajamānasya taṃ camase 'vanayet
4.2.4.1.6	athaitam eva hotṛcamase
4.2.4.2.1	yad vā asyāvācīnaṃ nābhes tad asyaiṣa ātmanaḥ so 'syaiṣa āyur eva
4.2.4.2.2	tasmād anayā gṛhṇāti
4.2.4.2.3	asyai hi sthālī bhavati
4.2.4.2.4	sthālyā hy enaṃ gṛhṇāti
4.2.4.2.5	ajarā hīyam amṛtā
4.2.4.2.6	ajaraṃ hy amṛtam āyuḥ
4.2.4.2.7	tasmād anayā gṛhṇāti
4.2.4.3.1	taṃ vai pūrṇaṃ gṛhṇāti
4.2.4.3.2	sarvaṃ vai tad yat pūrṇam
4.2.4.3.3	sarvaṃ tad yad āyuḥ
4.2.4.3.4	tasmāt pūrṇaṃ gṛhṇāti
4.2.4.4.1	vaiśvānarāya gṛhṇāti
4.2.4.4.2	saṃvatsaro vai vaiśvānaraḥ
4.2.4.4.3	saṃvatsara āyuḥ
4.2.4.4.4	tasmād vaiśvānarāya gṛhṇāti
4.2.4.5.1	sa prātaḥsavane gṛhīta aitasmāt kālād upaśete
4.2.4.5.2	tad enaṃ sarvāṇi savanāny atinayati
4.2.4.6.1	taṃ na stūyamāne 'vanayet
4.2.4.6.2	na ha saṃvatsaraṃ yajamāno 'tijīved yat stūyamāne 'vanayet
4.2.4.7.1	taṃ śasyamāne 'vanayati
4.2.4.7.2	tad enaṃ dvādaśaṃ stotram atinayati
4.2.4.7.3	tathā paraṃparam āyuḥ samaśnute
4.2.4.7.4	tatho ha yajamāno jyog jīvati
4.2.4.7.5	tasmād brāhmaṇo 'gniṣṭomasat syāt
4.2.4.7.6	aitasya homān na sarpen na prasrāvayeta
4.2.4.7.7	tathā sarvam āyuḥ samaśnute
4.2.4.7.8	āyur vā asyaiṣa
4.2.4.7.9	tathā sarvam āyur eti
