#Text:Kāṭhakasaṃhitā
#Notes:Prose parts; digital split version provided by K. Amano



6.1.1	prajāpatir vā idam āsīt
8.15.37	sa imān poṣān apuṣyat
8.15.38	tenarddhāḥ
8.15.39	prajāpatiḥ prajākāma ādhatta
8.15.40	tā imāḥ prājāpatyāḥ prajāḥ prājāyanta
8.15.41	tenarddhāḥ
8.15.42	yo vai tam ādhatta sa tena vasunā samabhavat
8.15.43	tasmāt punarvasuḥ
8.15.44	tasmāt punarvasā ādheyaḥ
8.15.45	ārdhnod vai sa yas tam ādhatta
8.15.46	tasmād anūrādhāḥ
8.15.47	tasmād anūrādheṣv ādheyaḥ
9.1.1	agnir vā utsīdan saṃvatsaram anūtsīdati
9.1.2	saptadaśa sāmidhenīḥ kāryāḥ
9.1.3	saptadaśo vai saṃvatsaraḥ pañcartavo dvādaśa māsāḥ
9.1.4	eṣa vāva sa saṃvatsaraḥ
9.1.5	saṃvatsarād evainam adhy avarunddhe
9.1.6	tad āhuḥ
9.1.7	pañcadaśaiva kāryā na saptadaśeti
9.1.8	etaddhi saṃvatsarasya saṃkramaṇataraṃ yat pañcadaśa
9.1.9	pañcadaśa sāmidhenīr anūcyante
9.1.10	pañcadaśārdhamāsasya rātrayaḥ
9.1.11	tābhir eva tā āpyante
9.1.12	yāvanti vai sāmidhenīnām akṣarāṇi tāvanti saṃvatsarasyāhāni
9.1.13	tair eva tāny āpyante
9.1.14	agnir vā utsīdan saṃvatsaram anūtsīdati
9.1.15	ṣaḍ vā ṛtavas saṃvatsaraḥ
9.1.16	yat ṣaḍ vibhaktayaḥ
9.1.17	saṃvatsarād evainam adhyavarunddhe
9.1.18	saṃvatsaro vā agnir vaiśvānaraḥ
9.1.19	ṣaḍ ṛtavaḥ
9.1.20	tasmāt ṣaḍ vibhaktayaḥ
9.1.21	yad dvyakṣarās satīś caturakṣarāḥ kriyante
9.1.22	ācaturaṃ hīme paśavaḥ
9.1.23	dvandvaṃ mithunāḥ
9.1.24	te vīryakṛtaḥ
9.1.25	yad vā idam agniṃ bahudhā viharanti yad imān poṣān pupoṣa
9.1.26	tasmād agnir evaitāvatīr vibhaktīr aśnute nānyā devatāḥ
9.1.27	yajñamukhaṃ vai prayājāḥ
9.1.28	yat prayājān antariyād yajñamukham antariyāt
9.1.29	annaṃ vai prayājāḥ
9.1.30	yat prayājān antariyād annam antariyāt
9.1.31	yaṃ kāmayeta
9.1.32	ṛdhnuyād iti
9.1.33	tasyopariṣṭāt prayājānāṃ vibhaktīḥ kuryāt
9.1.34	vīryaṃ vai prayājāḥ
9.1.35	vīryaṃ vibhaktayaḥ
9.1.36	vīryād evādhi vaṣaṭkaroti
9.1.37	ajiram ṛddhim abhikrāmati
9.1.38	nānāgneyaṃ kriyata iti
9.1.39	āhuḥ
9.1.40	kasmāt savibhaktayaḥ prayājā bhavantīti
9.1.41	saṃvatsaraṃ vā ete parījyante
9.1.42	yat prayājāḥ
9.1.43	tenāgneyam
9.1.44	tena nānāgneyaṃ kriyate
9.1.45	punar ūrjā nivartasva punar agna iṣāyuṣā
9.1.46	punar naḥ pāhy aṃhasa iti
9.1.47	purastāt prayājānāṃ juhuyāt
9.1.48	saha rayyā nivartasva
9.1.49	agne pinvasva dhārayā viśvapsnyā viśvatas parīti
9.1.50	upariṣṭād anuyājānāṃ juhuyāt
9.1.51	ūrjā vā eṣa paśubhir utsīdan sahotsīdati
9.1.52	punar evorjaṃ paśūn avarunddhe
9.1.53	atho ubhayata eva yajñasyāśiṣardhnoti
9.2.1	nānāgneyaṃ kriyata iti
9.2.2	āhuḥ
9.2.3	kasmād ājyabhāgau yajantīti
9.2.4	cakṣuṣī vā ete yajñasya yad ājyabhāgau
9.2.5	yad ājyabhāgā antariyāc cakṣuṣī yajñasyāntariyāt
9.2.6	agna āyūṃṣi pavasa iti
9.2.7	etāṃ somasyājyabhāgasya loke kuryāt
9.2.8	yad āgneyam
9.2.9	tenāgneyī
9.2.10	yat pāvamānam
9.2.11	tena saumī
9.2.12	nānāgneyaṃ kriyate
9.2.13	na somam antareti
9.2.14	agnir mūrdhā divaḥ kakud iti
9.2.15	etāṃ somasyājyabhāgasya loke kuryāt prajākāmasya vā paśukāmasya vā
9.2.16	yan mithunā
9.2.17	tena prajananavatī
9.2.18	yad retasvatī
9.2.19	tena saumī
9.2.20	nānāgneyaṃ kriyate
9.2.21	na somam antareti
9.2.22	vīrahā vā eṣa devānāṃ yo 'gnim utsādayate
9.2.23	śatadāyo vīraḥ
9.2.24	yad etāś śatākṣarā akṣarapaṅktayaḥ
9.2.25	vīram evaitad devānām avadayate
9.2.26	anyasyai vai pramāyā ādheyo 'nyasyai punarādheyaḥ
9.2.27	na vai tām ādheyena spṛṇoti yasyai punarādheyaḥ
9.2.28	punarādheyena vāva tāṃ spṛṇoti
9.2.29	jarā vai devahitam āyuḥ
9.2.30	tāvatīr hi samā jīvati
9.2.31	tasmād āhuḥ
9.2.32	śatadāyo vīra iti
9.2.33	yad etāś śatākṣarā akṣarapaṅktayo bhavanti
9.2.34	yāvad eva vīryaṃ tad āpnoti
9.2.35	tat spṛṇoti
9.2.36	āyuṣā vā eṣa vīryeṇa vyṛdhyate yo 'gnim utsādayate
9.2.37	śatāyur vai puruṣaś śatavīryaḥ
9.2.38	āyur vīryaṃ hiraṇyam
9.2.39	yaddhiraṇyaṃ śatamānaṃ dadāti
9.2.40	āyur eva vīryaṃ punar ālabhate
9.3.1	yajñena vā eṣa vyṛdhyate yo 'gnim utsādayate
9.3.2	pāṅkto yajñaḥ
9.3.3	yat pañcakapālaḥ
9.3.4	yajñam evālabhate
9.3.5	tad āhuḥ
9.3.6	aṣṭākapāla eva kāryo na pañcakapāla iti
9.3.7	aṣṭākṣarā gāyatrī
9.3.8	gāyatro 'gnir gāyatracchandāḥ
9.3.9	āgneyam etat kriyate yat punarādheyam
9.3.10	tasmād aṣṭākapālaḥ
9.3.11	tat tan na sūrkṣyam
9.3.12	pañcakapāla eva kāryaḥ
9.3.13	agnir vā utsīdan saṃvatsaram anūtsīdati
9.3.14	pañca vā ṛtavas saṃvatsaraḥ
9.3.15	pañcathād vā adhy ṛtoṣ ṣaṣṭha ṛtur babhūva
9.3.16	samānam etad yat pañcathaś cartuṣ ṣaṣṭhaś ca
9.3.17	yat pañcakapālaḥ
9.3.18	saṃvatsarād evainam adhy avarunddhe
9.3.19	pañca vā ṛtavaḥ
9.3.20	prajananam ṛtavaḥ
9.3.21	yat pañcakapālaḥ
9.3.22	prajananāya
9.3.23	prajananaṃ vā ṛtavo 'gniḥ prajanayitā
9.3.24	yat pañcakapālaḥ
9.3.25	prajananād evainaṃ prajanayitā prajanayati
9.3.26	ādityā vā itas sarveṇaiva sahāmuṃ lokam āyan
9.3.27	te 'muṃ lokaṃ gatvā vyatṛṣyan
9.3.28	te 'viduḥ
9.3.29	amutaḥpradānād vā ihājagāmeti
9.3.30	ta etaṃ punar ādadhata
9.3.31	tenārdhnuvan
9.3.32	ādityā vā asmiṃl loka ṛddhāḥ
9.3.33	ādityā amuṣmin
9.3.34	paśavo 'smin
9.3.35	ṛtavo 'muṣmin
9.3.36	ubhayor eva lokayor ṛdhnoti ya evaṃ vidvān etam ādhatte
9.3.37	ketas suketas saketas te na ādityā juṣāṇā asya haviṣo vyantu svāhā
9.3.38	salilas saligas sagaras te na ādityā juṣāṇā asya haviṣo vyantu svāhā
9.3.39	divo jyotir vivasva āditya te no devā deveṣu satyāṃ devahūtim āsuvadhvam
9.3.40	ādityebhyas svāheti
9.3.41	etair vai te tam ādadhata
9.3.42	tenārdhnuvan
9.3.43	yadā vā etair ādhatte 'thāhitaḥ
9.3.44	ādityo hi punarādheyaḥ
9.11.1	prajāpatir akāmayata
9.11.2	syāt prajāyeyeti
9.11.3	sa daśadhātmānaṃ vyadhatta
9.11.4	tasya cittis srug āsīc cittam ājyaṃ vāg vedir ādhītaṃ barhiḥ keto agnir vijñātam agnid vācaspatir hotā mana upavaktā prāṇo havis sāmādhvaryuḥ
9.11.5	sa daśadhātmānaṃ vidhāya mithunaṃ kṛtvā sa āyatanam aicchat
9.11.6	sa trivṛtam evāyatanam acāyat prāṇān
9.11.7	tataḥ prajā asṛjata
9.11.8	tata ūrdhvo 'nya udatṛṇat pañcadaśo 'vāṅ anyo 'vātṛṇat pañcadaśaḥ
9.11.9	ya ūrdhva udatṛṇat sa pūrvapakṣaḥ
9.11.10	tena devān asṛjata
9.11.11	tam ūrdhvam āpyāyamānaṃ devā ūrdhvā anvāpyāyanta
9.11.12	yo 'vāṅ avātṛṇat so 'parapakṣaḥ
9.11.13	tenāsurān asṛjata
9.11.14	tam apadhvaṃsamānam asurā avāñco 'nuprādhvaṃsanta
9.11.15	dakṣiṇaṃ hastam anu devān asṛjata
9.11.16	te vīryāvanto 'bhavan
9.11.17	savyaṃ hastam anv asurān
9.11.18	te mṛddhā abhavan
9.11.19	tasmād dakṣiṇo 'rdha ātmano vīryāvattaraḥ
9.11.20	satyena devān asṛjata te satyam abhavan
9.11.21	anṛtenāsurāṃs te 'nṛtam abhavan
9.11.22	ahnā devān asṛjata te śuklaṃ varṇam apuṣyan
9.11.23	rātryāsurāṃs te kṛṣṇā abhavan
9.11.24	sa vai tad evaicchat
9.11.25	yasmin hoṣyāmīti
9.11.26	sa indram eva vīryam antarātmann apaśyat
9.11.27	sarvam anyaj jātam āsīt
9.11.28	sa indraṃ
9.11.29	gaccha svāheti
9.11.30	apānīt
9.11.31	vīryaṃ vai prāṇo vīryam indraḥ
9.11.32	vīrya eva vīryam ādadhāt
9.11.33	te caturhotrā somagṛhapatayo nyasīdan
9.11.34	indraṃ janayāmeti
9.11.35	teṣāṃ pṛthivī hotāsīd dyaur adhvaryus tvaṣṭāgnin mitra upavaktā
9.11.36	ta etau grahā agṛhṇata
9.11.37	ta āyatanam aicchan
9.11.38	ta ekaviṃśam evāyatanam acāyan
9.11.39	ta indram ajanayan
9.11.40	te pañcahotrā varuṇagṛhapatayo nyasīdan
9.11.41	svar ayāmeti
9.11.42	teṣām agnir hotāsīd aśvinādhvaryū yad aśvinā tena pañcahotrā rudro 'gnid bṛhaspatir upavaktā
9.11.43	ta etau grahā agṛhṇata
9.11.44	ta āyatanam aicchan
9.11.45	te triṇavam evāyatanam acāyan
9.11.46	te svar āyan
9.11.47	taṃ setuṃ kṛtvā tat paśavo 'sṛjyanta
9.11.48	tān devatābhyo 'nayan yamāyāśvam agnaye hiraṇyaṃ rudrāya gāṃ bṛhaspataye vāsa uttānāyāṅgirasāyāprāṇat prajāpataye puruṣam
9.12.1	tasya yamasyāśvaṃ pratijagṛhuṣo 'rdham indriyasyāpākrāmat
9.12.2	sa etena pratyagṛhṇāt
9.12.3	so 'rdham indriyasyopādhatta
9.12.4	ya etad vidvān aśvaṃ pratigṛhṇāty ardham indriyasyopadhatte
9.12.5	ya etad avidvān pratigṛhṇāty ardham asyendriyasyāpakrāmati
9.12.6	tasyāgner hiraṇyaṃ pratijagṛhuṣas tṛtīyam indriyasyāpākrāmat
9.12.7	sa etena pratyagṛhṇāt
9.12.8	sa tṛtīyam indriyasyopādhatta
9.12.9	ya etad vidvān hiraṇyaṃ pratigṛhṇāti tṛtīyam indriyasyopadhatte
9.12.10	ya etad avidvān pratigṛhṇāti tṛtīyam asyendriyasyāpakrāmati
9.12.11	tasya rudrasya gāṃ pratijagṛhuṣaś caturtham indriyasyāpākrāmat
9.12.12	sa etena pratyagṛhṇāt
9.12.13	sa caturtham indriyasyopādhatta
9.12.14	ya etad vidvān gāṃ pratigṛhṇāti caturtham indriyasyopadhatte
9.12.15	ya etad avidvān pratigṛhṇāti caturtham asyendriyasyāpakrāmati
9.12.16	tasya bṛhaspater vāsaḥ pratijagṛhuṣaḥ pañcamam indriyasyāpākrāmat
9.12.17	sa etena pratyagṛhṇāt
9.12.18	sa pañcamam indriyasyopādhatta
9.12.19	ya etad vidvān vāsaḥ pratigṛhṇāti pañcamam indriyasyopadhatte
9.12.20	ya etad avidvān pratigṛhṇāti pañcamam asyendriyasyāpakrāmati
9.12.21	tasyottānasyāṅgirasasyāprāṇat pratijagṛhuṣaḥ ṣaṣṭham indriyasyāpākrāmat
9.12.22	sa etena pratyagṛhṇāt
9.12.23	sa ṣaṣṭham indriyasyopādhatta
9.12.24	ya etad vidvān aprāṇat pratigṛhṇāti ṣaṣṭham indriyasyopadhatte
9.12.25	ya etad avidvān pratigṛhṇāti ṣaṣṭham asyendriyasyāpakrāmati
9.12.26	tasya prajāpateḥ puruṣaṃ pratijagṛhuṣas saptamam indriyasyāpākrāmat
9.12.27	sa etena pratyagṛhṇāt
9.12.28	sa saptamam indriyasyopādhatta
9.12.29	ya etad vidvān puruṣaṃ pratigṛhṇāti saptamam indriyasyopadhatte
9.12.30	ya etad avidvān pratigṛhṇāti saptamam asyendriyasyāpakrāmati
9.12.31	ka idaṃ kasmā adāt
9.12.32	kāmaḥ kāmāyeti
9.12.33	kāmo hi dātā
9.12.34	kāmaḥ pratigrahītā
9.12.35	kāmas samudram āviśad iti
9.12.36	samudra iva hi kāmo 'parimitaḥ
9.12.37	kāmena tvā pratigṛhṇāmi
9.12.38	kāmaitat ta iti
9.12.39	kāmenaiva pratigṛhṇāti
9.12.40	kāme pratiṣṭhāpayati
9.12.41	na ha vai tasminn amuṣmiṃl loke dakṣiṇām icchanti
9.12.42	ya evaṃ vidvān dakṣiṇāṃ pratigṛhṇāti yas taṃ devaṃ veda yo 'gre dakṣiṇā anayat pra tāvad āpnoti yāvad dakṣiṇānāṃ netram
9.12.43	ya u tān veda yebhyas sa tad anayad dakṣiṇīyo bhavati
9.12.44	yas taṃ pratigrahaṃ veda yena te pratyagṛhṇan vasīyān bhavati pratigṛhya
9.12.45	vasīyāṃso hi te pratigṛhyābhavan
9.12.46	te devās svar itvā vyatṛṣyan
9.12.47	te 'viduḥ
9.12.48	amutaḥpradānād vā ihājagāmeti
9.12.49	ta ṛṣīn abruvan
9.12.50	ato no yūyaṃ prayacchateti
9.12.51	saptahotṝn kenāyataneneti
9.12.52	atraiva vetsyatheti
9.12.53	te saptahotrāryamagṛhapatayo nyasīdan
9.12.54	saṃtanavāmeti
9.12.55	teṣāṃ mahāhavir hotāsīt satyahavir adhvaryur acittapājā agnid acittamanā upavaktānādhṛṣyaś cāpratidhṛṣyaś cābhigarā ayāsya udgātā
9.12.56	ta etaṃ graham agṛhṇata
9.12.57	ta āyatanam aicchan
9.12.58	te trayastriṃśam evāyatanam acāyan
9.12.59	tenedaṃ samatanvan
9.12.60	trayastriṃśena ca ha vā idaṃ saptahotrā ca saṃtataṃ yad idaṃ devamanuṣyā anyonyasmai pradadati
9.12.61	saṃtatam asmā avicchinnaṃ pradīyate ya evaṃ veda
9.13.1	prajāpatir daśahotā
9.13.2	darśapūrṇamāsau caturhotā
9.13.3	cāturmāsyāni pañcahotā
9.13.4	saumyo 'dhvaras saptahotā
9.13.5	agnihotraṃ daśahotā
9.13.6	darśapūrṇamāsau caturhotā
9.13.7	paśuyajñaṣ ṣaḍḍhotā
9.13.8	saumyo 'dhvaras saptahotā
9.13.9	prāṇo daśahotā
9.13.10	cakṣuś caturhotā
9.13.11	śrotraṃ pañcahotā
9.13.12	vāk cātmā ca saptahotā
9.13.13	āyuṣe kam agnihotraṃ hūyate sarvam āyur eti ya evaṃ veda
9.13.14	cakṣuṣe kaṃ pūrṇamā ijyate na cakṣuṣo gṛhaye ya evaṃ veda
9.13.15	śrotrāya kam amāvasyejyate na śrotrasya gṛhaye ya evaṃ veda
9.13.16	vāce cātmane ca kaṃ saumyo 'dhvara ijyate na vāco nātmano gṛhaye ya evaṃ veda
9.13.17	prajāpatir daśahotā
9.13.18	ekas san bhūyiṣṭhabhāg vyāhṛtīnām utaikas san bahur bhavati ya evaṃ veda
9.13.19	tejase kaṃ pūrṇamā ijyate
9.13.20	āgneyo vai brāhmaṇaḥ
9.13.21	gāyatro 'gnir gāyatracchandāḥ
9.13.22	sve eva devate saprasthe akaḥ
9.13.23	nāsyānyo yogakṣemasyeśe ya evaṃ veda
9.13.24	āyuṣe kam amāvasyejyate
9.13.25	sarvam āyur eti ya evaṃ veda
9.13.26	svargāya kaṃ saumyo 'dhvara ijyate
9.13.27	svargam eva tenaiti
9.14.1	yaḥ prajayā paśubhir naiva prabhaved varāsīṃ paridhāya taptaṃ piban dvādaśa rātrīr adhaś śayīta
9.14.2	dvādaśyāḥ prātaḥ prāṅ uddrutya daśahotāraṃ vyācakṣīta
9.14.3	amithuno hi vā eṣo 'tha na prabhavati
9.14.4	prajāpatir daśahotā
9.14.5	daśadhaivātmānaṃ vidhāya mithunaṃ kṛtvā pra prajayā pra paśubhir jāyate
9.14.6	caturhotrā yājayet putrakāmam
9.14.7	caturhotrā vai devā indram ajanayan
9.14.8	indriyaṃ putraḥ
9.14.9	putram evāsmai janayati
9.14.10	na tv enam aparo 'nujāyate
9.14.11	sarveṇa hīndriyeṇa sarveṇa vīryeṇa jāyate
9.14.12	varo dakṣiṇā
9.14.13	varo hi putraḥ
9.14.14	caturhotrā yājayed rājānaṃ saṃgrāme saṃyatte
9.14.15	caturhotrā vai devā indram ajanayan
9.14.16	yatareṣām indro bhavati te saṃgrāmaṃ jayanti
9.14.17	indram evāsmai janayati
9.14.18	jayati saṃgrāmam
9.14.19	yat tatra vindate tato dakṣiṇā
9.14.20	samṛddhyai
9.14.21	pañcahotrā yājayet paśukāmam
9.14.22	pañcahotrā vai devāḥ paśūn asṛjanta
9.14.23	sarvān evāsmai paśūñ janayati
9.14.24	tasyaitāś catasro dakṣiṇā aśvo hiraṇyaṃ gaur vāsaḥ
9.14.25	saptahotrā yājayed yo yajñasya saṃsthām anu pāpīyān syāt
9.14.26	vi vā eṣa cchinatti yo yajñasya saṃsthām anu pāpīyān bhavati
9.14.27	parāṅ eva saṃkrāmati
9.14.28	saptahotrā vai devās svar āyan
9.14.29	saptahotredaṃ samatanvan
9.14.30	sam eva tanoti
9.14.31	na tataḥ pāpīyān bhavati yādṛṅ san yajate
9.14.32	yaś caturhotṝn anusavanaṃ tarpayitavyān veda tṛpyati prajayā paśubhir upainaṃ somapītho namati
9.14.33	daśahotāraṃ vyākhyāya bahiṣpavamānenodgāyet
9.14.34	prajāpatir daśahotā
9.14.35	praiva janayati
9.14.36	caturhotāraṃ vyākhyāyājyair udgāyet
9.14.37	caturhotrā vai devā indram ajanayan
9.14.38	indram evāsmai janayati
9.14.39	sendraṃ tat savanaṃ karoti
9.14.40	pañcahotāraṃ vyākhyāya mādhyaṃdinena pavamānenodgāyet
9.14.41	pañcahotrā vai devā asurān prāṇudanta
9.14.42	pañcahotrā paśūn asṛjanta
9.14.43	bhrātṛvyam eva parāṇudya paśūn sṛjate
9.14.44	saptahotāraṃ vyākhyāyārbhaveṇa pavamānenodgāyet
9.14.45	saptahotrā vai devās svar āyan
9.14.46	saptahotredaṃ samatanvan
9.14.47	sam eva tanoti
9.14.48	daśahotāraṃ sāmidhenīṣv anūcyamānāsu vyācakṣīta
9.14.49	prajāpatir daśahotā
9.14.50	praiva janayati
9.14.51	caturhotāraṃ prayājānāṃ purastād vyācakṣīta
9.14.52	caturhotrā vai devā indram ajanayan
9.14.53	indram evāsmai janayati
9.14.54	sendraṃ yajñaṃ karoti
9.14.55	pañcahotāraṃ haviṣām avadīyamāne vyācakṣīta
9.14.56	pañcahotrā vai devā asurān prāṇudanta
9.14.57	pañcahotrā paśūn asṛjanta
9.14.58	bhrātṛvyam eva parāṇudya paśūn sṛjate
9.14.59	saptahotāram anuyājānām upariṣṭād vyācakṣīta
9.14.60	saptahotrā vai devās svar āyan
9.14.61	saptahotredaṃ samatanvan
9.14.62	sam eva tanoti
9.14.63	caturhotrā pūrṇamāse havīṃṣy āsannāny abhimṛśet
9.14.64	caturhotrā vai devā indram ajanayan
9.14.65	prajananaṃ pūrṇamāḥ
9.14.66	praiva janayati
9.14.67	pañcahotrāmāvasyāyāṃ havīṃṣy āsannāṇy abhimṛśet
9.14.68	pañcahotrā vai devās svar āyan
9.14.69	svargyāmāvasyā
9.14.70	svargasyaivaiṣa lokasya parigrahaḥ
9.15.1	annaṃ vai caturhotāraḥ
9.15.2	annavān bhavati ya evaṃ veda
9.15.3	yad eka eva caturhoteti
9.15.4	āhuḥ
9.15.5	kasmāt sarve caturhotāra ucyanta iti
9.15.6	catvāro vā ete yajñāḥ
9.15.7	teṣāṃ catvāro hotāraḥ
9.15.8	tad eṣāṃ caturhotṛtvam
9.15.9	saṃvatsaraṃ caturṇām eko nāśnīyāt
9.15.10	tad eṣāṃ vratam
9.15.11	eṣā vā anāhitāgner iṣṭir yac caturhotāraḥ
9.15.12	annādyāyaivaitāṃ viduḥ
9.15.13	tejase vīryāya
9.15.14	sarparājñyā ṛgbhir daśame 'hann udgātodgāyet
9.15.15	iyaṃ vai sarparājñī
9.15.16	annaṃ caturhotāraḥ
9.15.17	annam evāptvānnam avarunddhe
9.15.18	aprayuktā vā ete 'navaruddhā yac caturhotāraḥ
9.15.19	yac caturhotṝn hotā vadati
9.15.20	tān eva prayuṅkte
9.15.21	tān avarunddhe
9.15.22	etad vai devānāṃ stotram aniruktaṃ yat sarparājñyā ṛcaḥ
9.15.23	tasyai tad uktham aniruktaṃ yac caturhotāraḥ
9.15.24	manasā prastauti manasodgāyati manasā pratiharati
9.15.25	reta evaitad udgātāraḥ prasiñcanti
9.15.26	yac caturhotṝn hotā vadati
9.15.27	reta eva prasiktaṃ hotā prajanayati
9.15.28	agnyādheye vyācakṣīta
9.15.29	brahmaṇo vā etad udaraṇaṃ yad agnyādheyam
9.15.30	brahmaṇa etad udaraṇaṃ yac caturhotāraḥ
9.15.31	brahmaṇa etad udaraṇaṃ yad asā āditya udeti
9.15.32	sarvam eva brahma sṛjate
9.15.33	athaite saṃbhārāḥ
9.15.34	saha vai devānāṃ cāsurāṇāṃ ca yajñau pratatā āstām
9.15.35	yad eva devā akurvata tad asurā akurvata
9.15.36	te devā yajñam ādāya vyakrāman
9.15.37	tam upari samabharan
9.15.38	tenāsurān parābhāvayan
9.15.39	yat samabharaṃs tat saṃbhārāṇāṃ saṃbhāratvam
9.15.40	samṛtasoma eteṣāṃ caturbhiścaturbhiḥ pracariṣyañ juhuyāt
9.15.41	pūrva eva yajñaṃ pūrvo devatā gṛhṇāti
9.15.42	sayajño bhavaty ayajña itaraḥ
9.15.43	dīkṣāyāṃ vācayet
9.15.44	etāvān vai yajñaḥ
9.15.45	yāvān eva yajñas taṃ gṛhītvā dīkṣate
9.15.46	dvādaśāhe vācayet
9.15.47	etāvān vai yajño yāvān dvādaśāhaḥ
9.15.48	yāvān eva yajño yāvān dvādaśāhas taṃ gṛhītvā dīkṣate
9.15.49	athaitāḥ patnyaḥ
9.15.50	dakṣiṇato vai devānām asurā yajñam abhyajayan
9.15.51	teṣām āgnīdhram anabhijitam āsīt
9.15.52	tad devāḥ patnībhis samprāpadyanta
9.15.53	te 'surā hlīkāḥ patnīḥ prakhyāya punar āvartanta
9.15.54	tān devās tato 'nūtthāya mādhyaṃdinena pavamānenābhyajayan
9.15.55	yasya patnīr vidvān agnid bhavati
9.15.56	abhi bhrātṛvyasya gṛhān abhi paśūn ārohati
9.15.57	nāsya bhrātṛvyo gṛhān na paśūn abhyārohati
9.15.58	yasya patnīr vidvān agnit pātnīvatasya yajati
9.15.59	vidvān patnīṃ tarpayati
9.15.60	tṛptā patnī reto dhatte
9.15.61	retasaḥ prajāḥ prajāyante
9.15.62	prajaniṣṇuḥ prajayā ca paśubhiś ca bhavati
9.16.1	prajās sṛṣṭvā so 'kāmayata
9.16.2	yajñaṃ sṛjeyeti
9.16.3	sa etaṃ saptahotāram apaśyat
9.16.4	taṃ manasānūddrutyājuhot
9.16.5	tena yajñam asṛjata
9.16.6	so 'smād yajñas sṛṣṭaḥ parāṅ ait
9.16.7	taṃ graheṇānūddrutyāgṛhṇāt
9.16.8	tad grahasya grahatvam
9.16.9	dīkṣiṣyamāṇas saptahotrā purastāj juhuyāt
9.16.10	yajñam eva sṛṣṭvālabhya pratanute
9.16.11	graho bhavati
9.16.12	yajñasya sṛṣṭasya dhṛtyai
9.16.13	yajñaṃ sṛṣṭvā so 'kāmayata
9.16.14	darśapūrṇamāsau sṛjeyeti
9.16.15	sa etaṃ caturhotāram apaśyat
9.16.16	taṃ manasānūddrutyājuhot
9.16.17	tena darśapūrṇamāsā asṛjata
9.16.18	tā asmād darśapūrṇamāsau sṛṣṭau parāñcā aitām
9.16.19	tau graheṇānūddrutyāgṛhṇāt
9.16.20	tad grahasya grahatvam
9.16.21	darśapūrṇamāsā ālapsyamānaś caturhotrā purastāj juhuyāt
9.16.22	darśapūrṇamāsā eva sṛṣṭvālabhya pratanute
9.16.23	graho bhavati
9.16.24	darśapūrṇamāsayos sṛṣṭayor dhṛtyai
9.16.25	darśapūrṇamāsau sṛṣṭvā so 'kāmayata
9.16.26	cāturmāsyāni sṛjeyeti
9.16.27	sa etaṃ pañcahotāram apaśyat
9.16.28	taṃ manasānūddrutyājuhot
9.16.29	tena cāturmāsyāny asṛjata
9.16.30	tāny asmāc cāturmāsyāni sṛṣṭāni parāñcy āyan
9.16.31	tāni graheṇānūddrutyāgṛhṇāt
9.16.32	tad grahasya grahatvam
9.16.33	cāturmāsyāny ālapsyamānaḥ pañcahotrā purastāj juhuyāt
9.16.34	cāturmāsyāny eva sṛṣṭvālabhya pratanute
9.16.35	graho bhavati
9.16.36	cāturmāsyānāṃ sṛṣṭānāṃ dhṛtyai
9.16.37	abhicaran daśahotrā juhuyāt
9.16.38	nava vai puruṣe prāṇā nābhir daśamī
9.16.39	prāṇān evāsyopadāsayati
9.16.40	svakṛta iriṇe pradare vā juhuyāt
9.16.41	etad vā asyā nirṛtigṛhītam
9.16.42	nirṛtyaivainaṃ grāhayati
9.16.43	vaṣaṭkaroti
9.16.44	etad vai vācaḥ krūram
9.16.45	vāca evainaṃ krūreṇa pravṛścati
9.16.46	aṅgirasaś ca vā ādityāś ca svarge loke 'spardhanta
9.16.47	ta ādityā etaṃ pañcahotāram apaśyan
9.16.48	taṃ manasānūddrutyājuhavuḥ
9.16.49	tata ādityās svargaṃ lokam āyan
9.16.50	apāṅgiraso 'bhraṃśanta
9.16.51	te 'ṅgirasa ādityān abruvan
9.16.52	kva stha kathaṃ vo havyaṃ vakṣyāma iti
9.16.53	chandassv iti
9.16.54	abruvan
9.16.55	gāyatryāṃ vasavas triṣṭubhi rudrā jagatyām ādityā iti
9.16.56	atra vai devebhyas sadbhyo havyam uhyate
9.16.57	ya evaṃ devān upadeśanād vedopadeśanavān bhavati
9.16.58	yas svargakāmas syāt sa etaṃ pañcahotāraṃ manasānūddrutya juhuyāt
9.16.59	pañca vā ṛtavaḥ
9.16.60	ṛtavas saṃvatsaraḥ
9.16.61	saṃvatsaras svargo lokaḥ
9.16.62	ṛtuṣv eva saṃvatsare pratiṣṭhāya svargaṃ lokam eti
9.16.63	yo 'brāhmaṇo vidyām anūcya neva roceta sa etāṃś caturhotṝn araṇyaṃ paretya darbhastambam udgrathya brāhmaṇaṃ dakṣiṇato niṣādya vyācakṣīta
9.16.64	etad vai devānāṃ brahmāniruktaṃ yac caturhotāraḥ
9.16.65	tad enaṃ nirucyamānaṃ prakāśaṃ gamayati
9.16.66	darbhastambam udgrathya vyācaṣṭe
9.16.67	agnir vai darbhastambaḥ
9.16.68	agnimaty eva vyācaṣṭe
9.16.69	brāhmaṇo dakṣiṇata āste
9.16.70	brāhmaṇo vai prajānām upadraṣṭā
9.16.71	upadraṣṭṛmaty eva vyācaṣṭe
9.16.72	īśvaraṃ vā etā ubhau yaśo 'rtor yo vyācaṣṭe yaś ca dakṣiṇata āste
