#Text:Sāmavidhānabrāhmaṇa
#Edition:Sharma 1980; DCS version
#Data entry:H. Falk



1.1.1	brahmā ha vā idam agra āsīt
2.6.10	tailaṃ vaināṃ yācitvā pāṇī parimṛdnann agnau pratāpayed agna āyāhi vītaya iti dvitīyena / nānāgatāyāṃ viramet
2.6.11	gojarāyukam ahastaspṛṣṭaṃ śoṣayitvā priyaṅgukāṃ sahāṃ sahadevāmadhyaṇḍāṃ bhūmipāśakāṃ sacāṅkācapuṣpīm ity etā utthāpya tad ahaś cūrṇāni kārayed ā no viśvāsu havyam ity etena triḥ saṃpātāṃścūrṇeṣu kṛtvāgna āyāhi vītaya iti rahasyena adbhiḥ saṃyūya tāni nāśuciḥ paśyed vopaspṛśed vā tad anulepanam / tenānulipto yāṃ yām upaspṛśate sā sainaṃ kāmayate
2.6.12	gamyāṃ nāsnāta upaspṛśet
2.6.13	utpale buddhe priyaṅgukā āvapet / yadā parṇāni saṃhared athainam utthāpya caturaṅgulam ubhayataḥ paricchidya madhyam uddharet / tad anulepanam / tenānulimped avāṃśaṃ ca ni tvā nakṣya viśpata ity etenāsya veśasthāḥ pravrajitāś ca vaśyā bhavanti
2.6.14	kanyāpravahaṇa ekarātropoṣito 'māvāsyāyāṃ niśi catuṣpatha ehy ū ṣu bravāṇi ta ity etenābhiṣiñcet trir abhiṣiktā pradīyate
2.6.15	ā te vatsā iti puṃsaḥ
2.6.16	trirātropoṣitaḥ kṛṣṇācaturdaśyāṃ śavād aṅgāram āhṛtya catuṣpathe bādhakam idhmam upasamādhāya matsyaṃ kṛkaram ity etau juhuyāt / agne mṛḍa mahāṁ asīti pūrveṇāgnir vṛtreti dvitīyām / te āhutī kośe kṛtvā haritālena gohṛdayaśoṇitena cottareṇa saṃnayed yaṃ dviṣyāt pramaṃhiṣṭhīyenāsya śayyām avakiret agāraṃ ca bhasmanā / naikagrāme vasati
2.6.17	athāto yaśasyānāṃ tvam indrayaśā asi pavate haryato harir ity eteṣām ekam anekaṃ vā sarvāṇi vā prayuñjāno yaśasvī bhavati
2.6.18	priyaṅgukā vā puṣyeṇābhijuhuyāt yaśo meti / tad anulepanam / tenānulimpet saṃvatsaram / yaśasvī bhavati / yaśasvī bhavati
2.7.1	athāto brahmavarcasyānām / rathantaraṃ vāmadevyaṃ śyaitaṃ mahānāmnyo yajñāyajñīyam ity eteṣām ekam anekaṃ vā sarvāṇi vā prayuñjāno brahmavarcasvī bhavati
2.7.2	kas tam indreti dvikaṃ prayuñjāno brahmavarcasvī bhavati / śraddhā cāsya bhavati
2.7.3	jagṛhmā ta iti ṣaḍvargaṃ prayuñjāno brahmavarcasvī bhavati
2.7.4	aṣṭarātropoṣito brāhmīm utthāpya prajāpater hṛdayenābhigīya sahasrakṛtvaḥ prāśnīyācchrutinigādī bhavati
2.7.5	puṣpāṇi vāsyā udakena saṃvatsaraṃ yaṇvena prāśnīyācchrutinigādī bhavati
2.7.6	māsaṃ somabhakṣaḥ syāt sadasaspatim adbhutam ity etena śrutinigādī bhavati
2.7.7	sadā vaitat prayuñjīta / śrutinigādī bhavati
2.7.8	bhāradvājikāyā jihvām utthāpya tad ahaś cūrṇaṃ kārayitvā madhusarpirbhyāṃ saṃyūya prāg annaprāśanāt kumāraṃ prāśayed indram id gāthino bṛhad ity etena śrutinigādī bhavati
2.7.9	haridrāyās tulāvarārddhaṃ cūrṇayitvaitenaiva kalpena saṃvatsaraṃ yaṇvena prāśnīyācchrutinigādī bhavati
2.7.10	vacām etena kalpena vāco vratena pūrveṇa prāśnīyācchrutinigādī bhavati
2.7.11	matsyākṣakaśaṅkhapuṣpīvacākeraḍīghṛtāni bārhadgireṇābhijuhuyāt sahasrakṛtvaḥ śatāvaram / etenaiva prāśnīyāt / śrutinigādī bhavati
2.7.12	vacāyās trivṛtaṃ kārayen maṇim agniṃ pratiṣṭhāpyāvṛtā hutvā maṇiṃ nidhāya vāco vratenottareṇābhijuhuyāt sahasrakṛtvaḥ śatāvaram / taṃ maṇiṃ kaṇṭhena śirasā vā dhārayan kathāsu śreyān bhavati
2.7.13	vacāṃ madhukam ity ete āsye 'vadhāyāpāṃ phenenety etan manasānudrutyānte svāhākāreṇa nigīrya rājanvān aham arājakas tvam asīty uktvā vivadet / parṣadi rājani cottaravādī bhavaty uttaravādī bhavati
2.8.1	athātaḥ putriyāṇām
2.8.2	na tvā nakṣya ni tvām agne pra yo rāye 'yam agniḥ suvīryasya jātaḥ pareṇa na hi vaś caramaṃ ca na somaḥ pavate janitā matīnām iti sarvāṇy apa tyaṃ nityavatsā rathantaraṃ vyāhṛtivargo 'rūrucad iti dve eteṣām ekam anekaṃ vā sarvāṇi vā prayuñjānaḥ surūpān dīrghāyuṣaḥ putrāṃl labhate
2.8.3	rohiṇyāṃ vā rohiṇyā goḥ sarūpavatsāyāḥ payasi raktaśālīnāṃ sthālīpākaṃ śrapayitvā parameṣṭhinaḥ prājāpatyasya vratenābhijuhuyāt sahasrakṛtvaḥ śatāvaram / etenaivābhigīyoddhṛtya sabhāryaḥ prāśnīyāt / surūpān dīrghāyuṣaḥ putrāṃl labhate
2.8.4	kṛṣṇāyā goḥ sarūpavatsāyāḥ payasi kṛṣṇaṣaṣṭikānāṃ sthālīpākaṃ śrapayitvā kṛṣṇapañcamyām udite some tvam imā oṣadhīr ity etenābhijuhuyāt sahasrakṛtvaḥ śatāvaram / etenaivābhigīyoddhṛtya sabhāryaḥ prāśnīyāt / surūpān dīrghāyuṣaḥ putrāṃl labhate
2.8.5	kaumbhyaṃ ghṛtaṃ puruṣavratenābhijuhuyād anugānaśaḥ / uttareṇa sadā prāśnīyāt / surūpān dīrghāyuṣaḥ putrāṃllabhate
2.8.6	uḍaṅgavānāṃ yo 'gre gacchet taṃ gṛhītvā tad ahas trivṛtaṃ kārayen maṇim agniṃ pratiṣṭhāpyāvṛtā hutvā maṇiṃ nidhāyoccā te jātam andhasa iti tṛtīyenābhijuhuyāt sahasrakṛtvaḥ śatāvaram / taṃ maṇiṃ kaṇṭhena śirasā vā dhārayañchatānucaro bhavati śatānucaro bhavati
3.1.1	athāto dhānyānām
3.1.2	śuklavāsasā prayogaḥ snānam avalekhanam aniṣṭhīvanaṃ sadā cāñjanaṃ satyavacanaṃ sumanasāṃ dhāraṇaṃ keśaśmaśrulomanakhānāṃ tu nānyatra vratād dārān evopeyāt kāle / evaṃvrato yad udīrata ā haryatāyeti varga eteṣām ekam anekaṃ vā sarvāṇi vā prayuñjānaḥ śrīmān yaśasvī puṣṭimān dhanyo bhavati
3.1.3	girvaṇaḥ pāhi naḥ sutam iti caitat sadā prayuñjīta / mayi śrīr iti cāsya nidhanaṃ kuryāc chrīmān bhavati
3.1.4	trīn vodakāñjalīnt sadācāmed ayaṃ sahasramānava ity etābhyāṃ śrīr iti cottarasya nidhanaṃ kuryāt / śrīmān bhavati
3.1.5	saktumanthaṃ dadhimadhughṛtamiśram ā tvā viśantv indava ity etena saṃnayet / ā mā viśantv indavo na mām indrātiricyata ity etena pibet / alakṣmīṃ nudate
3.1.6	tiṣyeṇa ghṛtaṃ krīṇīyāt / āyāhi suṣumā hi ta ity etena pibet / alakṣmīṃ nudate
3.1.7	gaurānt sarṣapāṃs tiṣyeṇa cūrṇaṃ kārayitvendrehi matsyandhasa ity etena saṃyūya tair mukhaṃ pāṇī ca sarvāṇi cāṅgāni sarvāṃś ca saṃśleṣānutsādayann alakṣmīṃ nudate
3.1.8	gaurānt sarṣapān agnau juhuyād yad vīḍāv indra yat sthira ity etena hiraṇyaṃ labhate
3.1.9	vrīhiyavān agnau juhuyāt sunītho gha sa martya ity etena / dhānyaṃ labhate
3.1.10	vrīhiyavau sarpirmadhumiśrāv āsye 'vadhāya sa pūrvyo mahonām ity etan manasānudrutyānte svāhākāreṇa nigiret / evaṃ sadā prayuñjānaḥ sahasraṃ labhate
3.1.11	ima u tvā vicakṣata ity etenāhutisahasraṃ juhuyāt / sahasraṃ labhate
3.1.12	māsopoṣito bilvānāṃ dadhimadhughṛtāktānāṃ śrāyantīyenāṣṭasahasraṃ juhuyāt / siddhe sauvarṇāny asiddhe rājatāni
3.1.13	naiyagrodhaṃ dantapavanaṃ ghṛtamadhuliptaṃ gavyo ṣu ṇa ity etābhyām aniṣṭhīvant saṃvatsaraṃ bhakṣayant sahasraṃ labhate sahasraṃ labhate
3.2.1	trirātropoṣito bhadro no agnir āhuta ity etenāhutisahasraṃ juhuyāt / sahasraṃ labhate
3.2.2	audumbarīr vā samidho ghṛtāktāḥ sahasraṃ juhuyāt / gā labhate
3.2.3	vrīhiyavān agnau juhuyāt / dhānyaṃ labhate
3.2.4	dvādaśarātropoṣita evā hy asi vīrayur ity etenāhutisahasraṃ juhuyāt / grāmaṃ labhate / etāṃś ca sarvān kāmān avāpnoti
3.2.5	śrattaṣṭakaṃ prayuñjānaḥ prathamena hiraṇyaṃ labhate dvitīyena dhānyaṃ tṛtīyena paśūn caturthena putrān pañcamena grāmān ṣaṣṭhena yaśaḥ saptamena brahmavarcasam aṣṭamena svargaṃ lokam avāpnoti
3.2.6	saṃvatsaraṃ gogrāsam āhared gāvaś ciddha samanyava ity etenānantyāṃ vindate śriyam
3.2.7	vairūpāṣṭakaṃ nityaṃ prayuñjāno lakṣmīṃ juṣate
3.2.8	antyaṃ vā jānudaghna udake tiṣṭhan
3.2.9	nābhidaghne dhānyaṃ kakṣadaghne paśūn āsyadaghne putrān grāmaṃ ca
3.2.10	anapekṣito vāsakṛd gītvottīrṇaḥ sahasraṃ labhate
3.2.11	āhutisahasraṃ vā juhuyāt sāmānteṣu svāhākāraiḥ
3.2.12	eteṣāṃ kalpānāṃ yathā bhūyas tathā śreyas tathā śreyaḥ
3.3.1	gāḥ prakālyamānāś copakālyamānāś ca sadopatiṣṭheta gavyo ṣu ṇa ity etābhyāṃ sphīyante / bahulā bhavanti
3.3.2	sadā bhojanasyopanītasyāgram agnau juhuyād agne vivasvad uṣasa iti pūrveṇa / baliṃ cottareṇa kuryād bahupaśudhanadhānyo bhavati
3.3.3	aṣṭarātropoṣito 'māvāsyāyāṃ niśy ekavṛkṣe kṣīriṇy araṇye māṃsaṃ susaṃskṛtam ekatṛptyavarārdhyaṃ māṇibhadrāyopahared eṣa sya te madhumāṁ indra soma ity etena / hiraṇyadroṇaṃ labhate
3.3.4	trirātropoṣitaḥ śuklacaturdaśyāṃ śaunaṃ māṃsaṃ pāyasaṃ vopaharet trir asmai sapta dhenavo duduhira ity etena / daivān poṣān puṣyati / bahupuruṣaṃ cāsya bhavati / kriyāś cānena kurute
3.3.5	trirātropoṣitaḥ kṛṣṇacaturdaśyāṃ matsyān upaharen mahārājāya saṃśravasa iti vargeṇāsurān poṣān puṣyati / bahupuruṣaṃ cāsya bhavati / kriyāś cānena kurute
3.3.6	athāto vāstuśamanam
3.3.7	pradakṣiṇaṃ pratidiśaṃ rajjvā yacchet / avāntaradeśeṣu ca / yatrābhisameyus tatropalimpet / rajjvanteṣu ca śamīpalāśaśrīparṇināṃ patrair vāstūpakiret / akṣataiś ca sumanobhiś ca / pūrvaiḥ proṣṭhapadair gṛhe 'gniṃ pratiṣṭhāpya dhānāvantaṃ karambhiṇam ity etad gītvā pāyasam agnau juhuyāt / pareṣāṃ ca palāśaparṇamadhyameṣu balyupahāraḥ prajāpataye svāheti madhya upahared indrāyeti purastād vāyava ity avāntaradeśe varuṇāyeti paścān mahārājāyety avāntaradeśe somāyety uttarato mahendrāyety avāntaradeśe vāsukaya ity adhastād ūrdhvaṃ namo brahmaṇa iti divi bahupaśudhanadhānyahiraṇyam āyuṣmatpuruṣaṃ vīrasūsubhagāvidhavastrīkaṃ śivaṃ puṇyaṃ vāstu bhavati / caturṣu māseṣu prayogaḥ / saṃvatsare vā punaḥ prayogaḥ punaḥ prayogaḥ
3.4.1	athāto 'dṛṣṭadarśanam
3.4.2	saṃkarāt saṃkarevāsinīm āvahecchūrpeṇākṣatān gandhānt sumanasaś cātra kṛtvā saṃviṣṭiḥ prākśirāḥ śucau deśe śirastaḥ kṛtvā ka imam u huvety etad gītvā vāgyataḥ prasvapet paśyati ha
3.4.3	garagolikāṃ vā samudge 'vadhāyāyāhi suṣamā hi ta ity etad gītvā vāgyataḥ prasvapet paśyati ha
3.4.4	kanyāṃ vopavāsayed adṛṣṭarajasam ādarśaṃ cāyam agniḥ śreṣṭhatama ity etena / vyuṣṭāyāṃ rātrāv etenaivābhigīya parimṛjya brūyāt paśyeti / paśyati ha
3.4.5	udaśarāvaṃ vopavāsayet pra mitrāya prāryamṇa ity etena vyuṣṭāyāṃ rātrāv etenaivābhigīya parimṛjya brūyāt paśyeti / paśyati ha
3.4.6	vaṃśamayyau vā śalāke gandhaiḥ pralipya madhyamenopavāsayed vyuṣṭāyāṃ rātrāv etenaivābhigīya parimṛjya brahmacāriṇau brūyād dhārayatam iti saṃnamatyoḥ siddhiṃ vidyāt
3.4.7	yaṣṭiṃ vāntyena caturaṅgulaśo nimāyopavāsayet / vyuṣṭāyāṃ rātrāv etenaivābhigīya parimṛjya pramiṇuyād aṅguliparvabhiḥ pūryamāṇeṣu sidhyati
3.4.8	āṣāḍhyāṃ paurṇamāsyāṃ bījāni dhārayitvopavāsayet tulāṃ cendram id devatātaya ity etena / vyuṣṭāyāṃ rātrāv etenaivābhigīya parimṛjya prokṣya dhārayet / yāni garīyāṃsi tāny ṛdhyante
3.4.9	akṣatānāṃ dvau rāśī kuryād bhāvābhāvayor ā no viśvāsu havyam ity etena / vyuṣṭāyāṃ rātrāv etenaivābhigīya prokṣya brūyād ālabhasveti / bhāvam ālabhamāne sidhyati
3.4.10	jyotiṣmatāṃ vidhūmānām aṅgārāṇāṃ dvau rāśī kuryāt / yāvanto vā syus tenārthinaḥ śruṣṭy agne navasya ma ity etenainān yugapad ghṛtenābhiṣiñcet / yaḥ pūrvaḥ prajvalito vidhūmenārciṣā pradakṣiṇam abhiparyāvartate sa jayatīti vidyāt
3.4.11	jyotiṣkān kuryān mānuṣīṇāṃ ghṛtena sadyomathitena pra soma devavītaya ity etenainān jvalayet / yaḥ paścāc chāmyati sa ciraṃ jīvati sa ciraṃ jīvati
3.5.1	rājānam abhiṣecayet / tiṣyeṇa śravaṇena vā
3.5.2	vrīhiyavais tilamāṣair dadhimadhusumanojātarūpair yaśasvinībhyo nadībhyaḥ samudrāc codakāny āhṛtyaudumbare bhadrāsane vaiyāghre carmaṇy uttaralomny āsīnaṃ jīvantīnāṃ gavāṃ śṛṅgakośair abhiṣiñced abhrātṛvya iti rahasyena
3.5.3	yaṃ kāmayetaikarājaḥ syān nāsya cakraṃ pratihanyetety ekavṛṣeṇābhiṣiñcet
3.5.4	abhiṣektre dadyād grāmavaraṃ dāsīśataṃ sahasraṃ tadadhīnaś ca bhavet
3.5.5	adbhute yavadroṇaṃ juhuyād vāta ā vātu bheṣajam ity etena śāmyati ha
3.5.6	kṛṣṇāṃs tilān agnau juhuyāt pra daivodāso agnir ity etena / nainaṃ kṛtāni hiṃsanti / tāny eva pratigacchanti
3.5.7	vrīhiyavān agnau juhuyāt pañcanidhanena vāmadevyena / nainaṃ kṛtāni hiṃsanti / tāny eva pratigacchanti
3.5.8	tāmrarajatajātarūpāyasīṃ mudrāṃ kārayitvoccā te jātam andhasa iti caturthenābhijuhuyāt sahasrakṛtvaḥ śatāvaram / tāṃ mudrāṃ dakṣiṇena pāṇinā dhārayet / nainaṃ kṛtāni hiṃsanti / tāny eva pratigacchanti / tāny eva pratigacchanti
3.6.1	saṃgrāmaṃ yuyutsamānasyodakam abhijuhuyāt somaṃ rājānaṃ varuṇam ity etena / tata enaṃ pāyayed yo rājā carṣaṇīnām iti pūrveṇa / ye cātra mukhyāḥ syus tān uttareṇābhiṣiñcet
3.6.2	atha hainaṃ saṃnāhayet pra senānīr iti vargeṇa
3.6.3	athāsya rathaṃ yuñjyād ā tvā sahasram ā śatam iti vargeṇa
3.6.4	bṛhadrathantarābhyāṃ cakre vāmadevyenādhiṣṭhānam
3.6.5	sa gha taṃ vṛṣaṇaṃ ratham ity etenādhitiṣṭhet / prayāntaṃ cainam anugāyed indrasya nu vīryāṇītyādi
3.6.6	śīrṣaṃ gatvā trīn iṣūn asyed ut tvā mandantu soma ity etena / jayati na parājīyate
3.6.7	saṃdarśane dhūmrāyāḥ goḥ sarūpavatsāyā ghṛtadroṇaṃ juhuyāt satyam itthety rahasyena / jayati na parājīyate
3.6.8	bādhakamayīnāṃ samidhāṃ ghṛtāktānāṃ sahasraṃ juhuyād abhi tvā pūrvapītaya iti / vaṣaṭkāraṃ cāsya nidhanaṃ kuryāt / jayati na parājīyate
3.6.9	saidhrakamayīnāṃ samidhāṃ ghṛtāktānāṃ sahasraṃ juhuyād abhi tyaṃ meṣam itīndra iva dasyūṁ pramṛṇa iti cāsya nidhanaṃ kuryāt / jayati na parājīyate
3.6.10	saptarātropoṣitaḥ saptamukhyān uddiśya sadyaḥpīḍitena sarṣapatailena saptahenāhutisahasraṃ juhuyāt / saptarātrān na bhavanti
3.6.11	hastyaśvarathapadātīnāṃ piṣṭamayīḥ pratikṛtīḥ kṛtvā piṣṭasvedaṃ svedayitvā sarṣapatailenābhyajya tāsāṃ kṣureṇāṅgāny avadāyāgnau juhuyād abhi tvā śūra nonuma iti rahasyena yatra hīśabdaḥ / yāvatāṃ juhoti sarve na bhavanti
3.6.12	trirātropoṣitaḥ kṛṣṇacaturdaśyāṃ śavād aṅgāram āhṛtya catuṣpathe bādhakam idhmam upasamādhāya vaibhītakena sruveṇa sarṣapatailenāhutisahasraṃ juhuyāt saṃmīlyena yatra vṛścaśabdaḥ syāt / tatra puruṣaḥ śūlahasta uttiṣṭhati / taṃ brūyād amuṃ jahīti / hanty enam
3.6.13	āmagarbhasya vā kṣureṇāṅgāny avadāyāgnau juhuyāt kakṣavargādyaiś caturbhiḥ sapatnaṃ manasā dhyāyant sadyo na bhavati sadyo na bhavati
3.7.1	atha yaḥ kāmayetāmuhyant sarvāṇy ā janitrāṇi parikrāmeyam iti mahe no adya bodhayety etat sadā prayuñjītāntavelāyāṃ caitat smared amuhyant sarvāṇy ā janitrāṇi parikrāmati
3.7.2	atha yaḥ kāmayeta sarvatrāgnir me jvaled iti saṃvatsaraṃ śirasāgniṃ dhārayed agna āyāhi vītaya iti prathamenopatiṣṭhed dvitīyena pariharet tṛtīyena paricaret / sarvatra hāsya jvalati yad icchati tad dahati
3.7.3	atha yaḥ kāmayeta piśācān guṇībhūtān paśyeyam iti saṃvatsaram caturthe kāle bhuñjānaḥ kapālena bhaikṣaṃ caran prāṇāḥ śiśur ityantyaṃ sadā sahasrakṛtvaḥ āvartayan paśyati
3.7.4	ayācitam etena kalpena dvitīyaṃ prayuñjānaḥ pitṝn paśyati
3.7.5	saṃvatsaram aṣṭame kāle bhuñjānaḥ pāṇibhyāṃ pātrārthaṃ kurvāṇo vṛtrasya tvā śvasathādīṣamāṇā ity etayoḥ pūrvaṃ sadā sahasrakṛtva āvartayan gandharvāpsarasaḥ paśyati
3.7.6	ayācitam etena kalpena dvitīyaṃ prayuñjāno devān paśyati
3.7.7	yad varca iti diśāṃ vrataṃ daśānugānam etena kalpena catvāri varṣāṇi prayuñjīta / nidhayo 'sya prakāśante ye daivās tāṃs tena
3.7.8	māsam upavased ekam ekam ayācitaṃ bhuñjīta mayi varca ity etena kalpena catvāri varṣāṇi prayuñjīta / nidhayo 'sya prakāśante ye pṛthivyām
3.7.9	aṣṭarātropoṣito 'māvāsyāyāṃ mukha ājyaṃ kṛtvā agniṃ nara ity etayoḥ pūrvaṃ manasānudrutyānte svāhākāreṇāgnau juhuyāt / vyuṣṭāyāṃ rātrau bhūtau pañca hāsya kārṣāpaṇā bhavanti / vyayakṛtāś ca punar āyanti / mūlam aśūnyaṃ kuryāt
3.7.10	gavāṃ praviśantīnāṃ yā paścāt syāt tasyāḥ śiro 'bhyanumṛjya puccham anumṛjya pāṇī saṃhṛtyānaṅgamejayas tiṣṭhet sarvāṃ rātriṃ dvitīyam āvartayan / jambhakā hāsya sārvakāmikā bhavanti sārvakāmikā bhavanti
3.8.1	atha yaḥ kāmayeta punar na pratyājāyeyam iti
3.8.2	rātriṃ prapadye punarbhūṃ mayobhūṃ kanyāṃ śikhaṇḍinīṃ pāśahastāṃ yuvatiṃ kumāriṇīm ādityaś cakṣuṣe vātaḥ prāṇāya somo gandhāyāpaḥ snehāya mano 'nujñāya pṛthivyai śarīram
3.8.3	sā hainam uvācāsmint saṃvatsare mariṣyasy asminn ayane 'sminn ṛtāv asmin māse 'sminn arddhamāse 'smin dvādaśarātre 'smin ṣaḍrātre 'smiṃs trirātre 'smin dvirātre 'sminn ahorātre 'sminn ahany asyāṃ rātrāv asyāṃ velāyām asmin muhūrte mariṣyasy ehi svargaṃ lokaṃ gaccha devalokaṃ vā brahmalokaṃ vā kṣatralokaṃ vā virocamānas tiṣṭha virocamānām ehi yoniṃ praviśa
3.8.4	nāhaṃ yoniṃ pravekṣyāmi bhūtottamāyā brahmaṇo duhituḥ saṃrāgavastrāyā jāyate mriyate saṃdhīyate ca
3.8.5	rātris tu mā punātu rātriḥ kham etat puṣpāntaṃ yat purāṇam ākāśaṃ tatra me sthānaṃ kurv apunarbhavāyāpunarjanmana etāvad eva rātrau rātrer vrataṃ ca rātrer vrataṃ ca
3.9.1	caturo māsān payobhakṣo gā anugatvāraṇye śucau deśe maṭhaṃ kṛtvā tatra praviśet / kamaṇḍalum udakopasparśanārtham ādāya trīnt saptarātrān anudaka upavasann ṛcaṃ sāma yajāmaha ity etayoḥ pūrvaṃ sadā sahasrakṛtva āvartayan yadi devatāḥ paśyati siddhaṃ tad iti / athotthānam / antarikṣyā hāsya siddhā bhavanty antarikṣakramaṇaṃ ca / dvārāṇi cāsya vivlīyante
3.9.2	dvitīyam etena kalpena prayuñjānaḥ kāmacārī manojavo bhavati
3.9.3	śuklān upavaset sarvān kālān mṛṣṭaḥ śuklavāsāś candanenānuliptaḥ sumanaso dhārayaṃstyamūṣu pūrvaṃ sadā sahasrakṛtva āvartayan ye mānuṣāḥ kāmās tān avāpnoti
3.9.4	dvitīyam etena kalpena prayuñjāno ye daivās tāṃs tena
3.9.5	māsam upavased ekam ekam ayācitaṃ bhuñjīta mayi varca ity etena kalpena catvāri varṣāṇi prayuñjānas trayāṇāṃ lokānām ādhipatyaṃ gacchati vṛddhāv apy asyaikasya
3.9.6	atha yāny anādiṣṭakāmakalpāni teṣāṃ yathāśruti smṛtiliṅgaiḥ kāmāḥ kṣurasaṃyuktāḥ
3.9.7	ābhiprāyikaṃ karma
3.9.8	so 'yaṃ prājāpatyo vidhis tam imaṃ prajāpatir bṛhaspataye provāca bṛhaspatir nāradāya nārado viṣvaksenāya viṣvakseno vyāsāya pārāśaryāya vyāsaḥ pārāśaryo jaiminaye jaiminiḥ pauṣpiñjyāya pauṣpiñjyaḥ pārāśaryāyaṇāya pārāśaryāyaṇo bādarāyaṇāya bādarāyaṇas tāṇḍiśāṭyāyanibhyāṃ tāṇḍiśāṭyāyaninau bahubhyaḥ
3.9.9	so 'yam anūcānāya brahmacāriṇe samāvartamānāyākhyeyaḥ
3.9.10	upādhyāyāya grāmavaraṃ sahasraṃ śvetaṃ cāśvaṃ pradāyānujñāto vā yaṃ kāmaṃ kāmayate tam āpnoti tam āpnoti
3.9.11	vedārthasya prakāśena tamo hārdaṃ nivārayan / pumarthāś caturo deyād vidyātīrthamaheśvaraḥ
