#Text:Maitrāyaṇīsaṃhitā
#Notes:Prose parts; digital split version provided by K. Amano



1.1.1.1	iṣe tvā subhūtāya
2.2.4.2	prajāpatiḥ paśūn asṛjata
2.2.4.3	te 'smāt sṛṣṭāḥ parāñca āyan
2.2.4.4	tān bṛhaspatiś cānvaitām
2.2.4.5	te yatrāvasaṃs tataḥ śakno garmud ajāyata
2.2.4.6	taṃ vā abravīt
2.2.4.7	anena mā yājayeti
2.2.4.8	tena vā enam ayājayat
2.2.4.9	taṃ paśava upāvartanta
2.2.4.10	yaḥ paśukāmaḥ syāt tam etena yājayet
2.2.4.11	upa hainaṃ paśavā āvartante
2.2.4.12	yadā hi sa tam etenāyājayad atha taṃ paśava upāvartanta
2.2.4.13	saumāpauṣṇaṃ caruṃ nirvaped gārmutaṃ paśukāmaḥ
2.2.4.14	prajāpatiḥ paśūn asṛjata
2.2.4.15	te 'smāt sṛṣṭāḥ parāñca āyan
2.2.4.16	teṣāṃ pūṣaṇam adhipām akarot
2.2.4.17	te yatrāvasaṃs tataḥ śakno garmud ajāyata
2.2.4.18	taṃ vā āharat
2.2.4.19	anena me pratiṣṭheti
2.2.4.20	sa somo 'bravīt
2.2.4.21	mama vā akṛṣṭapacyam iti
2.2.4.22	taṃ saumāpauṣṇaṃ niravapat
2.2.4.23	taṃ paśava upāvartanta
2.2.4.24	yaḥ paśukāmaḥ syāt tam etena yājayet
2.2.4.25	upa hainaṃ paśavā āvartante
2.2.4.26	yadā hi sa tam etenāyājayad atha taṃ paśava upāvartanta
2.2.4.27	somo vai retodhāḥ
2.2.4.28	pūṣā paśūnāṃ prajanayitā
2.2.4.29	soma evāsmai reto dadhāti
2.2.4.30	pūṣā paśūn prajanayati
2.2.4.31	prājāpatyaṃ caruṃ nirvaped gārmutaṃ paśukāmaḥ pṛśnīnāṃ gavāṃ dugdhe pṛśnīnāṃ
2.2.4.32	gavām ājyaṃ syāt
2.2.4.33	tatrāpi gomūtrasyāścotayeyuḥ
2.2.4.34	pṛśnir vai yad aduhat sa garmud abhavat
2.2.4.35	iyaṃ vai pṛśnir vāg vā
2.2.4.36	tasyā vā etañ śiro yad garmutaḥ
2.2.4.37	tasmād etad āṇḍam iva pīyūṣa iva
2.2.4.38	taṃ prājāpatyaṃ caruṃ nirvapet paśukāmaḥ
2.2.4.39	prājāpatyā vai paśavaḥ
2.2.4.40	prajāpatiḥ paśūnāṃ prajanayitā
2.2.4.41	tam eva bhāgadheyenopāsarat
2.2.4.42	so 'smai paśūn prajanayati
2.2.4.43	vāstvamayaṃ raudraṃ caruṃ nirvaped yatra rudraḥ prajāḥ śamāyeta
2.2.4.44	vāstor vai vāstvaṃ jātam
2.2.4.45	vāstvamayaṃ khalu vai rudrasya
2.2.4.46	svenaivainaṃ bhāgadheyena śamayati
2.2.4.47	tayā niṣādasthapatiṃ yājayet
2.2.4.48	sā hi tasyeṣṭiḥ
2.2.4.49	kūṭaṃ dakṣiṇā karṇo vā gardabhaḥ
2.2.5.1	parameṣṭhine dvādaśakapālaṃ nirvaped yaḥ kāmayeta parameṣṭhī syām iti
2.2.5.2	parameṣṭhī vā eṣa devānāṃ yaḥ parameṣṭhī
2.2.5.3	parameṣṭhī rājanyo manuṣyāṇām
2.2.5.4	tam eva bhāgadheyenopāsarat
2.2.5.5	sa enaṃ parameṣṭhinaṃ karoti
2.2.5.6	tasmai dhanuś ca tisraś ca prayacchet
2.2.5.7	agniṣ ṭe tejaḥ prayacchatv indra indriyaṃ pitryāṃ bandhutām iti
2.2.5.8	agnir evāsmai tejaḥ prayacchati
2.2.5.9	indra indriyaṃ pitryāṃ bandhutām
2.2.5.10	vaiśvadevaṃ dvādaśakapālaṃ nirvaped bhrātṛvyavān
2.2.5.11	taṃ barhiṣadaṃ kṛtvā samayā sphyena vyūhet
2.2.5.12	idam ahaṃ māṃ cāmuṃ ca vyūhāmīti
2.2.5.13	yaṃ dviṣyāt tam
2.2.5.14	yad adho 'vamṛdyeta yac ca sphya āśliṣyet tad viṣṇava urukramāyāvadyet
2.2.5.15	viṣṇur evainā antarā vikramate
2.2.5.16	taṃ punaḥ samūhet
2.2.5.17	idam ahaṃ māṃ cāmuṃ ca samūhāmīti
2.2.5.18	yo 'sya priyaḥ syāt tam
2.2.5.19	vaiśvadevīr vā imāḥ prajāḥ
2.2.5.20	tābhir evetaraṃ vyūhati
2.2.5.21	tābhir ātmānaṃ samūhati
2.2.5.22	indrāṇyai caruṃ nirvapet senāyām uttiṣṭhantyām
2.2.5.23	senā vā indrāṇī
2.2.5.24	brahmaṇaivaināṃ purastān mukhato jityai saṃśyati
2.2.5.25	balbajā apīdhme syuḥ
2.2.5.26	śakno vā ete 'dhyutthitāḥ
2.2.5.27	nyāyenaivainām abhinayati
2.2.5.28	yat tasyāṃ senāyāṃ vindeta sā dakṣiṇā
2.2.5.29	vācaspataye caruṃ nirvapeñ śrīkāmaḥ
2.2.5.30	yo vai vāco 'dhyakṣaḥ sa vācaspatiḥ
2.2.5.31	tañ śrīkaraṇam evaitat
2.2.6.1	agnaye vasumate satīnānām aṣṭākapālaṃ nirvapet / somāya rudravate śyāmākaṃ carum / indrāya marutvate naivāram ekādaśakapālam / varuṇāyādityavate yavamayaṃ carum / devā anyonyasya śraiṣṭhye 'tiṣṭhamānāś caturdhā vyudakrāman / agnir vasubhiḥ somo rudrair indro marudbhir varuṇa ādityaiḥ / tān vā etayā bṛhaspatir ayājayat saṃjñānyā / ta indram evābhisamāvartanta / indram abhisamajānata / tad ya etayā yajate tam evābhisamāvartante / tam abhisaṃjānate / tad āhuḥ / aindra ekādaśakapālaḥ kāryā iti / indraṃ hi te 'bhisamāvartanta / indram abhisamajānata
2.2.6.2	saṃjñānaṃ no divā paśoḥ saṃjñānaṃ naktam arvataḥ / saṃjñānaṃ naḥ svebhyaḥ saṃjñānam araṇebhyaḥ / saṃjñānam aśvinā yuvam ihāsmabhyaṃ niyacchatam
2.2.6.3	sam indra rāyā sam iṣā rabhemahi saṃ vājaiḥ puruścandrair abhidyubhiḥ / saṃ devyā pramatyā vīraśuṣmayā goagrayāśvavatyā rabhemahi
2.2.6.4	indravāyū susaṃdṛśā suhaveha havāmahe / yathā naḥ sarvā ij janaḥ saṃgame sumanā asat
2.2.6.5	saṃ vo manāṃsi saṃ vratā sam ākūtīr anaṃsata / amī ye vivratāḥ stha tān vaḥ saṃnamayāmasi
2.2.6.6	samānā vā ākūtāni samānā hṛdayāni vaḥ / samānam astu vo mano yathā vaḥ susahāsati
2.2.6.7	samāno mantraḥ samitiḥ samānī samānaṃ vrataṃ saha cittam eṣām / samānaṃ kratum abhimantrayadhvaṃ samānena vo haviṣā juhomi
2.2.6.8	saṃgacchadhvaṃ saṃjānīdhvaṃ saṃ vo manāṃsi jānatām / devā bhāgaṃ yathā pūrve saṃjānānā upāsate
2.2.7.1	āgneyam aṣṭākapālaṃ nirvapet sāvitraṃ caruṃ vāyavyāṃ yavāgūṃ pratidhug vā bhaumam ekakapālaṃ yasya hiraṇyaṃ naśyed yo vā hiraṇyaṃ vindet
2.2.7.2	agnir vā agre hiraṇyam avindat
2.2.7.3	sa savitrāmantrayata
2.2.7.4	na khalu vai kiṃ cana vāyunānabhigatam asti
2.2.7.5	asyāṃ vai sa tad avindat
2.2.7.6	vittyā evāgneyaḥ
2.2.7.7	prasavāya sāvitraḥ
2.2.7.8	abhinītyai vāyavyā
2.2.7.9	atha yad bhaumaḥ
2.2.7.10	asyāṃ hi sa tad avindat
2.2.7.11	ete vai pradātāraḥ
2.2.7.12	tān eva bhāgadheyenopāsarat
2.2.7.13	te 'smai prayacchanti
2.2.7.14	sa yadā vinded athaitebhya eva nirvapet
2.2.7.15	yair evāvindat tān bhāginaḥ karoti
2.2.7.16	ahiṃsāyai
2.2.7.17	prajāpatir vai somāya rājñe duhitṝr adadān nakṣatrāṇi
2.2.7.18	sa rohiṇyām evāvasan netarāsu
2.2.7.19	tā anupeyamānāḥ punar agacchan
2.2.7.20	taṃ rājayakṣmeṇāgrahayat
2.2.7.21	sa nirasravat
2.2.7.22	tasmād rājayakṣmagṛhīto niḥsravati
2.2.7.23	sa vai prajāpatim evopādhāvat
2.2.7.24	taṃ prajāpatir abravīt
2.2.7.25	ṛtaṃ brūhīti
2.2.7.26	sa ṛtam abravīt
2.2.7.27	yathā sarvāsv eva samāvad vasānīti
2.2.7.28	tasmād eṣa sarvāsv eva samāvad vasati
2.2.7.29	tasmai vai prajāpatiḥ prāyaścittim aicchat
2.2.7.30	tasmā amāvāsyāyāṃ vaiśvadevaṃ caruṃ niravapat
2.2.7.31	tenāsmai prāyaścittim avindat
2.2.7.32	so 'mum āpyāyamānam anvāpyāyata
2.2.7.33	vasīyān abhavat
2.2.7.34	yo rājayakṣmagṛhītaḥ syāt tasmā amāvāsyāyāṃ vaiśvadevaṃ caruṃ nirvapet
2.2.7.35	etena vai sa tasmai prāyaścittim avindat
2.2.7.36	tenaivāsmai prāyaścittiṃ vindati
2.2.7.37	amum evāpyāyamānam anvāpyāyate
2.2.7.38	vasīyān bhavati
2.2.8.1	prajāpatir vai devebhyo bhāgadheyāni vyakalpayat
2.2.8.2	sa indro 'bravīt
2.2.8.3	yad atiricyate tan mameti
2.2.8.4	tad vā indriyam evātyaricyata
2.2.8.5	tad imāṃl lokān ūrdhvam anūdaśrayata
2.2.8.6	tan naikenāpnon na dvābhyām
2.2.8.7	tat tṛtīyenāptvāvārunddha
2.2.8.8	yat trayaḥ puroḍāśā bhavanty ebhyo vā etal lokebhya indriyaṃ vīryam āptvāvarunddhe
2.2.8.9	uttara uttaraḥ puroḍāśo jyāyān bhavati
2.2.8.10	uttara uttaro hi loko jyāyān
2.2.8.11	indrāya rājñe prathamaḥ
2.2.8.12	indrāya svarājñe madhyamaḥ
2.2.8.13	indrāyādhirājāyottamaḥ
2.2.8.14	etāni vai sarvāṇīndro 'bhavad rājyaṃ svārājyam ādhirājyam
2.2.8.15	etāni sarvāṇi bhavati ya etair yajate
2.2.8.16	sarvam etad bhavati ya evaṃ veda
2.2.8.17	prathamām anūcya madhyamayā yajet
2.2.8.18	madhyamām anūcyottamayā yajet
2.2.8.19	uttamām anūcya prathamayā yajet
2.2.8.20	evam asya sarvā anuvākyā bhavanti sarvā yājyāḥ
2.2.8.21	eṣāṃ lokānāṃ pratiprajñātyai
2.2.8.22	atho anusaṃtatyai
2.2.8.23	indrāya gharmavate sūryavatā ekādaśakapālaṃ nirvapet tejaskāmaḥ
2.2.8.24	tejo vai gharmaḥ
2.2.8.25	tejaḥ sūryaḥ
2.2.8.26	teja evāvarunddhe
2.2.8.27	indrāyendriyavatā ekādaśakapālaṃ nirvapet paśukāmaḥ
2.2.8.28	indriyaṃ vai paśavaḥ
2.2.8.29	indra indriyasya pradātā
2.2.8.30	tam eva bhāgadheyenopāsarat
2.2.8.31	so 'smā indriyaṃ paśūn prayacchati
2.2.9.1	indrāyārkavate 'śvamedhavatā ekādaśakapālaṃ nirvapet
2.2.9.2	niruddhaṃ yājayet
2.2.9.3	antaṃ vā eṣa gato yo niruddhaḥ
2.2.9.4	anto 'rkaḥ
2.2.9.5	anto 'śvamedhaḥ
2.2.9.6	antenaivāsmā ante kalpayati
2.2.9.7	vaśā dakṣiṇā
2.2.9.8	vaśaṃ mā nayād iti
2.2.9.9	indrāyārkavate 'śvamedhavatā ekādaśakapālaṃ nirvaped yaḥ kāmayeta jane ma ṛdhyeteti
2.2.9.10	anto vā eṣā ṛddhīnāṃ yaj janaḥ
2.2.9.11	anto 'rkaḥ
2.2.9.12	anto 'śvamedhaḥ
2.2.9.13	antenaivāsmā ante kalpayati
2.2.9.14	vaśā dakṣiṇā
2.2.9.15	vaśaṃ mā nayād iti
2.2.9.16	indrāyārkavate 'śvamedhavatā ekādaśakapālaṃ nirvaped gataśrīḥ
2.2.9.17	yadā vai śriyo 'ntaṃ gacchaty atha pāpīyān bhavati
2.2.9.18	anto 'rkaḥ
2.2.9.19	anto 'śvamedhaḥ
2.2.9.20	antam evālabdha
2.2.9.21	na pāpīyān bhavati
2.2.9.22	indrāyārkavate 'śvamedhavatā ekādaśakapālaṃ nirvaped yaḥ kāmayeta mahāyajño mopanamed iti
2.2.9.23	ete vā indrasya yajñiye tanvau yad arkaś cāśvamedhaś ca
2.2.9.24	te evālabdha
2.2.9.25	tābhyāṃ mahāyajñam ālabhate
2.2.9.26	indrāya gharmavate sūryavatā ekādaśakapālaṃ nirvapet
2.2.9.27	indrāya manyumate manasvatā ekādaśakapālam
2.2.9.28	indrāyendriyavatā ekādaśakapālam
2.2.9.29	indrāyārkavate 'śvamedhavatā ekādaśakapālam
2.2.9.30	bhūtikāmaṃ yājayet
2.2.9.31	idaṃ vā indrasya gharmaś ca sūryaś ca
2.2.9.32	idam asya manyuś ca manaś ca
2.2.9.33	idam asyendraś cendriyaṃ ca
2.2.9.34	idam asyārkaś cāśvamedhaś ca
2.2.9.35	etāni vai sarvāṇīndro 'bhavat
2.2.9.36	etāni sarvāṇi bhavati ya etair yajate
2.2.9.37	sarvam etad bhavati ya evaṃ veda
2.2.10.1	indrāyāṃhomucā ekādaśakapālaṃ nirvapet
2.2.10.2	āmayāvinaṃ yājayet
2.2.10.3	eṣā vā indrasya bheṣajā tanūr yad aṃhomuk
2.2.10.4	tam eva bhāgadheyenopāsarat
2.2.10.5	sa enam aṃhaso muñcati
2.2.10.6	indrāya trātra ekādaśakapālaṃ nirvaped yo jyānyā māraṇād aparodhād vā bibhīyāt
2.2.10.7	indro vai trātā
2.2.10.8	indro 'paroddhā
2.2.10.9	tam eva bhāgadheyenopāsarat
2.2.10.10	sa enaṃ trāyate
2.2.10.11	indrāyānvṛjavā ekādaśakapālaṃ nirvapej jyeṣṭhabandhuḥ
2.2.10.12	indriyaṃ vai jyeṣṭhabandhuḥ
2.2.10.13	indriyeṇaivainān anvṛjūn kurute
2.2.10.14	indrāya pravabhrāyaikādaśakapālaṃ nirvapet saṃgrāme
2.2.10.15	pravabhro vā indro vṛtrāya vajraṃ prāharat
2.2.10.16	pravabhra evaibhyo vajraṃ praharati
2.2.10.17	indrāya vaimṛdhāyaikādaśakapālaṃ nirvapet saṃgrāme
2.2.10.18	mṛdho vā eṣa vihanti yaḥ saṃgrāmaṃ jayati
2.2.10.19	mṛdha eva vihate
2.2.10.20	indrāyābhimātighna ekādaśakapālaṃ nirvapet saṃgrāme
2.2.10.21	abhimātīr vā eṣa hanti yaḥ saṃgrāmaṃ jayati
2.2.10.22	abhimātīr eva hate
2.2.10.23	indrāyābhimātiṣāhā ekādaśakapālaṃ nirvaped yaḥ kāmayeta
2.2.10.24	viṣaheya
2.2.10.25	abhayaṃ me syād iti
2.2.10.26	indro vai vṛtrāya vajram udayacchat
2.2.10.27	taṃ dānavā nānvamanyanta
2.2.10.28	tam etena bhāgadheyenānvamanyanta
2.2.10.29	tato vai so 'bhimātīr ahan
2.2.10.30	vṛtram ahan
2.2.10.31	vṛtraṃ khalu vā eṣa hanti yaḥ saṃgrāmaṃ jayati
2.2.10.32	tad vārtraghnam evaitat
2.2.11.1	aindram ekakapālaṃ nirvapet
2.2.11.2	niruddhaṃ yājayet
2.2.11.3	ā prehi paramasyāḥ parāvatā iti yājyānuvākye syātām
2.2.11.4	parāvataṃ vā eṣa gato yo niruddhaḥ
2.2.11.5	parāvata evainam adhy āptvāvagamayati
2.2.11.6	aindraṃ trayodaśakapālaṃ nirvapet
2.2.11.7	niruddhaṃ yājayet
2.2.11.8	atiriktaṃ vai trayodaśam
2.2.11.9	atirikto niruddhaḥ
2.2.11.10	atiriktād evainam atiriktam āptvāvagamayati
2.2.11.11	indrāya vajriṇā ekādaśakapālaṃ nirvapet
2.2.11.12	indrāya vṛtraghna ekādaśakapālam
2.2.11.13	indrāya vṛtratūrā ekādaśakapālaṃ yasya bhrātṛvyaḥ somena yajeta
2.2.11.14	vajraṃ vā eṣa bhrātṛvyāyoñśrayati yaḥ somena yajate
2.2.11.15	yad vajriṇe
2.2.11.16	vajreṇaivāsya vajraṃ stṛṇute
2.2.11.17	yad vṛtraghne
2.2.11.18	bhrātṛvyo vai vṛtraḥ
2.2.11.19	hanty evainam
2.2.11.20	yad vṛtratūre
2.2.11.21	bhrātṛvyo vai vṛtraḥ
2.2.11.22	taraty evainam
2.2.11.23	indrāya kṣetraṃjayāyaikādaśakapālaṃ nirvaped yaḥ kṣetre paśuṣu vā vivadeta
2.2.11.24	indro vai devānāṃ kṣetraṃjayaḥ
2.2.11.25	tam eva bhāgadheyenopāsarat
2.2.11.26	so 'smai kṣetraṃ paśūn jayati
2.2.11.27	indrāyādhirājāyaikādaśakapālaṃ nirvaped yatra rājānaḥ sadṛśā iva syuḥ
2.2.11.28	indro vai devānām adhirājaḥ
2.2.11.29	tam eva bhāgadheyenopāsarat
2.2.11.30	sa enam ādhirājyaṃ gamayati
2.2.12.1	indrāya manyumate manasvatā ekādaśakapālaṃ nirvapet saṃgrāme
2.2.12.2	manyunā vai vīryaṃ kriyata indriyeṇa jayati
2.2.12.3	vīryaṃ caivaiṣv indriyaṃ ca jityai dadhāti
2.2.12.4	manyave caruṃ nirvapet saṃgrāme
2.2.12.5	manyunā vai vīryaṃ kriyate
2.2.12.6	vīryam evaiṣu jityai dadhāti
2.2.12.7	yaṃ jīvagrāhaṃ gṛhṇīyus taṃ vikṛnteyuḥ
2.2.12.8	manyoḥ svid eva satyam akaḥ
2.2.12.9	indrāya manasvatā ekādaśakapālaṃ nirvaped yaḥ kāmayeta puṇyaḥ syām anādhṛṣya iti
2.2.12.10	mano vai śrīs tviṣiḥ
2.2.12.11	śriyam evāsmiṃs tviṣiṃ dadhāti
2.2.12.12	saṃvatsaraṃ nu purā manaso na kīrtayet
2.2.12.13	saṃvatsareṇa vā anāptam āpyate
2.2.12.14	saṃvatsareṇaivāsmā āptvā śriyaṃ tviṣiṃ dadhāti
2.2.13.1	yasya sānnāyyaṃ candramā abhyudiyād ye puroḍāśyāḥ syus tāṃs tredhā kuryāt
2.2.13.2	ye madhyamās tam agnaye dātre 'ṣṭākapālaṃ nirvapet
2.2.13.3	ye sthaviṣṭhās tam indrāya pradātre dadhaṃś carum
2.2.13.4	ye kṣodiṣṭhās taṃ viṣṇave śipiviṣṭāya śṛte carum
2.2.13.5	agnir vai madhyamasya dātā
2.2.13.6	indro jyeṣṭhasya pradātā
2.2.13.7	atha yat kṣodiṣṭhaṃ tañ śipiviṣṭam
2.2.13.8	tad āpnoti
2.2.13.9	paśūn eva
2.2.13.10	somo vā etasyātiricyate yasya sānnāyyaṃ candramā abhyudeti
2.2.13.11	sa vai paśūn evābhyatiricyate
2.2.13.12	yaḥ paśukāmaḥ syāt so 'māvāsyām iṣṭvā vatsān apākuryāt
2.2.13.13	ye puroḍāśyāḥ syus tāṃs tredhā kuryāt
2.2.13.14	ye kṣodiṣṭhās tam agnaye sanimate 'ṣṭākapālaṃ nirvapet
2.2.13.15	ye madhyamās taṃ viṣṇave śipiviṣṭāya śṛte carum
2.2.13.16	ye sthaviṣṭhās tam indrāya pradātre dadhaṃś carum
2.2.13.17	agnir evāsmai tad vindati yad iha
2.2.13.18	viṣṇus tad yad antarikṣe
2.2.13.19	indras tad yad divi
2.2.13.20	satvāno gā icchanti
2.2.13.21	yad ete taṇḍulā vibhājyante
2.2.13.22	satvāno vā eta eṣṭāraḥ
2.2.13.23	abhiroddhāra eva
2.2.13.24	āgneyam aṣṭākapālaṃ nirvaped gataśrīḥ
2.2.13.25	tasya gaur dhenur dakṣiṇā
2.2.13.26	sa prāṅ prayāya vaiṣṇavaṃ trikapālam
2.2.13.27	tasya vaḍabā dhenur dakṣiṇā
2.2.13.28	sa prāṅ prayāya giriṃ gatvāpo vā prājāpatyaṃ ghṛte carum
2.2.13.29	tasya puruṣī dhenur dakṣiṇā
2.2.13.30	yad āgneya imāṃ tenākramate
2.2.13.31	yad vaiṣṇavo 'ntarikṣaṃ tena
2.2.13.32	yat prājāpatyo 'muṃ tena lokam
2.2.13.33	yat prāṅ prayāty abhi svid evākramīt
2.2.13.34	yad giriṃ gacchaty apo vāntaṃ svid evāgan
2.2.13.35	yat tisro dhenavo dakṣiṇā
2.2.13.36	trayo vā ime lokāḥ
2.2.13.37	imān asmai lokān dhenur akaḥ
2.2.13.38	imān asmai lokān pradāpayati
2.2.13.39	prattān ha vā asmā imāṃl lokān duhe ya evaṃ veda
2.2.13.40	saumendraṃ caruṃ nirvapeñ śyāmākaṃ somavāmine
2.2.13.41	indro vai tvaṣṭuḥ somam apibad anupahūyamānaḥ
2.2.13.42	tasyordhvaḥ somapītho 'patat
2.2.13.43	te śyāmākā abhavan
2.2.13.44	somapīthena vā eṣa vyṛdhyate yaḥ somaṃ vamiti
2.2.13.45	yat saumyaḥ
2.2.13.46	somapīthenaivainaṃ samardhayati
2.2.13.47	indriyeṇa vā eṣa vīryeṇa vyṛdhyate yaḥ somaṃ vamiti
2.2.13.48	yad aindraḥ
2.2.13.49	indriyeṇaivainaṃ vīryeṇa samardhayati
2.2.13.50	śithira iva hi vā etasya somapīthaḥ
2.2.13.51	athaiṣa somaṃ vamiti
2.2.13.52	yañ śyāmākataṇḍulaiḥ śrīṇāti somapīthasya dhṛtyai
2.3.1.1	āgneyam aṣṭākapālaṃ nirvapen maitrāvaruṇīṃ payasyām
2.3.1.2	āmayāvinaṃ yājayet
2.3.1.3	ṛddhyā evāgneyaḥ
2.3.1.4	atho asthanvantam evainaṃ kṛtvā pratiṣṭhāpayati
2.3.1.5	īśvarā vai payasyā ṛte paśor aśāntā nirmṛjaḥ
2.3.1.6	paśur apy ālabhyaḥ
2.3.1.7	śāntyā anirmārgāya
2.3.1.8	ete vai paśavo yad vrīhayaś ca yavāś ca
2.3.1.9	yad vrīhimayaḥ puroḍāśo bhavati tenaiva paśur ālabhyate
2.3.1.10	śāntyā anirmārgāya
2.3.1.11	maitrāvaruṇī brāhmaṇasya syāt
2.3.1.12	maitrāvaruṇo hi brāhmaṇo devatayā
2.3.1.13	aindravāruṇī rājanyasya syāt
2.3.1.14	aindravāruṇo hi rājanyo devatayā
2.3.1.15	āgnivāruṇī vaiśyasya syāt
2.3.1.16	agnir vai sarvā devatāḥ
2.3.1.17	atra vaiśyasyāpi devatā
2.3.1.18	āmayāvinaṃ yājayet
2.3.1.19	svām eva devatāṃ prāyaścittyā upāsarat
2.3.1.20	varuṇagṛhīto vā eṣa ya āmayāvī
2.3.1.21	varuṇād evainaṃ tena muñcati
2.3.1.22	payo vai puruṣaḥ paya etasyāmayati
2.3.1.23	payasaivāsya payo niṣkrīṇāti
2.3.1.24	yad vyūhati
2.3.1.25	vikṛtya hi śalyaṃ madhyato nirharanti
2.3.1.26	tad yakṣmaṃ vāvāsyaitan madhyato nirharanti
2.3.1.27	atha yat punaḥ samuhyāgnaye samavadyati
2.3.1.28	yathā śalyaṃ nirhṛtyoṣṇīṣeṇa veṣṭayanty evaṃ tad bhūtikāmaṃ yājayet
2.3.1.29	svām eva devatāṃ prāyaścittyā upāsarat
2.3.1.30	varuṇagṛhīto vā eṣa yo bhūtikāmaḥ
2.3.1.31	varuṇād evainaṃ tena muñcati
2.3.1.32	payo vai puruṣaḥ
2.3.1.33	paya eṣa icchati yo bhūtim icchati
2.3.1.34	payasaivāsmai payo 'varunddhe
2.3.1.35	yad vyūhati
2.3.1.36	yajñasya gopīthāya
2.3.1.37	atha yat punaḥ samūhati
2.3.1.38	bhūtyaivainaṃ samūhati
2.3.1.39	grāmakāmaṃ yājayet
2.3.1.40	svām eva devatāṃ prāyaścittyā upāsarat
2.3.1.41	varuṇagṛhīto vā eṣa yo grāmakāmaḥ
2.3.1.42	varuṇād evainaṃ tena muñcati
2.3.1.43	payo vai puruṣaḥ
2.3.1.44	paya eṣa icchati yo grāmam icchati
2.3.1.45	payasaivāsmai payo 'varunddhe
2.3.1.46	yad vyūhati
2.3.1.47	yajñasya gopīthāya
2.3.1.48	atha yat punaḥ samūhati
2.3.1.49	grāmeṇaivainaṃ samūhati
2.3.1.50	ekakapālān juhoti
2.3.1.51	atrātra vai varuṇasya pāśāḥ
2.3.1.52	tata enaṃ muñcati
2.3.1.53	yan nānā juhuyād vikarṣaḥ sa yajñasya
2.3.1.54	agnau sarve hotavyāḥ
2.3.1.55	samṛddhyai
2.3.1.56	yā vāṃ mitrāvaruṇā ojasyā tanūs tayā vāṃ vidhema
2.3.1.57	tayemam amuṃ muñcatam aṃhasaḥ
2.3.1.58	yā vāṃ mitrāvaruṇau sahasyā tanūs tayā vāṃ vidhema
2.3.1.59	tayemam amuṃ muñcatam aṃhasaḥ
2.3.1.60	yā vāṃ mitrāvaruṇau yātavyā tanūs tayā vāṃ vidhema
2.3.1.61	tayemam amuṃ muñcatam aṃhasaḥ
2.3.1.62	yā vāṃ mitrāvaruṇau rakṣasyā tanūs tayā vāṃ vidhema
2.3.1.63	tayemam amuṃ muñcatam aṃhasaḥ
2.3.1.64	yā vāṃ mitrāvaruṇā ojasyā sahasyā yātavyā rakṣasyā tanūs tayā vām avidhāma
2.3.1.65	tayemam amum amauktam aṃhasaḥ
2.3.1.66	yas te rājan varuṇa deveṣu pāśas taṃ ta etenāvayaje
2.3.1.67	tasmai te svāhā
2.3.1.68	yas te rājan varuṇānne pāśas taṃ ta etenāvayaje
2.3.1.69	tasmai te svāhā
2.3.1.70	yas te rājan varuṇa dvipātsu catuṣpātsu paśuṣu pāśas taṃ ta etenāvayaje
2.3.1.71	tasmai te svāhā
2.3.1.72	yas te rājan varuṇauṣadhīṣu vanaspatiṣv apsu pṛthivyāṃ dikṣu pāśas taṃ ta etenāvayaje
2.3.1.73	tasmai te svāhā
2.3.1.74	ete vai varuṇasya pāśāḥ
2.3.1.75	tata enaṃ muñcati
2.3.2.1	vaiśvadevaṃ caruṃ nirvaped bhrātṛvyavān
2.3.2.2	devāś ca vā asurāś cāspardhanta
2.3.2.3	te devāḥ saṃgrahaṇenāyajanta
2.3.2.4	te yat kiṃ cāsurāṇāṃ svam āsīt tat samagṛhṇan
2.3.2.5	manāṃsi vāvaiṣāṃ tat samagṛhṇan
2.3.2.6	te 'manasaḥ parābhavan
2.3.2.7	bhrātṛvyavān yajeta
2.3.2.8	manograhaṇaṃ vā etat
2.3.2.9	manāṃsi vā etad bhrātṛvyāṇāṃ saṃgṛhṇāti
2.3.2.10	te 'manasaḥ parābhavanti
2.3.2.11	grāmakāmo yajeta
2.3.2.12	manograhaṇaṃ vā etat
2.3.2.13	manāṃsi vā etat sajātānāṃ saṃgṛhṇāti
2.3.2.14	te 'smān manogṛhītā nāpayanti
2.3.2.15	sarveṣāṃ sajātānāṃ gṛhād ājyam āhareyuḥ
2.3.2.16	yāvatām eva kiyatāṃ ca gṛhād ājyam āharanti teṣāṃ sarveṣāṃ manāṃsi saṃgṛhṇāti
2.3.2.17	te 'smān manogṛhītā nāpayanti
2.3.2.18	āmanena juhoti
2.3.2.19	āmanasa evainān karoti
2.3.2.20	āmanasya deva ye sajātāḥ samanasas tān ahaṃ kāmaye hṛdā
2.3.2.21	te māṃ kāmayantāṃ hṛdā
2.3.2.22	tān mā āmanasas kṛdhi svāhā
2.3.2.23	āmanasya deva ye putrāḥ samanasas tān ahaṃ kāmaye hṛdā
2.3.2.24	te māṃ kāmayantāṃ hṛdā
2.3.2.25	tān mā āmanasas kṛdhi svāhā
2.3.2.26	āmanasya deva yāḥ striyaḥ samanasas tā ahaṃ kāmaye hṛdā
2.3.2.27	tā māṃ kāmayantāṃ hṛdā
2.3.2.28	tā mā āmanasas kṛdhi svāhā
2.3.2.29	āmanasya deva ye paśavaḥ samanasas tān ahaṃ kāmaye hṛdā
2.3.2.30	te māṃ kāmayantāṃ hṛdā
