1.1.1	Now we shall explain the Agnihotra.
2.5.10	The oblation to Agni is the begetter of offspring. He consumes it with the ladle held with the handle towards the east. The oblation to Surya is the begetter. He cleanses it twice in the morning.
2.5.11	He cleanses the ladle with darbha-blades, fills it with water and releases the water towards the north of the Ahavaniya with the verse, "O you who are purifying, do you purify me."
2.6.1	Having heated the Agnihotra ladle, having cleansed it again with water, having filled it again with water and having recited the verse, "I sprinkle thee for the serpents, may the serpents prosper thee", one should pour it down in the east. "Thou art the sacrificial grass", one should say in the middle of the altar. "I sprinkle thee to the houses, may the houses prosper thee", one says to the wife in the palm.
2.6.2	"Satisfy the seven sages." One should release the remaining water to the north of the Garhapatya.
2.6.3	With the ladle, to Agni Gṛhapati, svāhā. Thus in the Garhapatya fire. To Agni Āditya, svāhā, in the Anvāhārya-pācana fire. To Agni Bhūr Bhuvaḥ Suvaḥ, svāhā in the Sabhya fire. To Agni Annapati, svāha, in the Āvasatya fire. Having offered, to Viṣṇu, svāhā; he offers the second oblation.
2.6.4	Again, he sprinkles as before.
2.6.5	Having washed the ladle etc., having discharged the water towards the north, he should deposit them on the altar.
2.6.6	The body of light, the Self, is within the heart, burning upwards, located in the middle of the flame of fire, and in the middle of that flame is the supreme Self, says the Veda.
2.6.7	Then, at the end of the Homa, having sprinkled oneself everywhere, the performer should take ash from the Garhapatya fire and make a mark on the forehead, heart, abdomen, arms, and throat in the form of a flame, four fingers long, like a lamp, with the tip pointing upwards.
2.6.8	By that, one attains auspiciousness and ultimately attains self-realization.
2.7.1	The sacrificer, having risen from his seat, approaches the Havirdhana fire, as if it were a door, and stands facing it, reciting the Anuvaka, "Adhvaram."
2.7.2	There, in the morning, he recites the Agni-Soma hymn, "O Agni-Soma, do this for me," and the Agni-Soma-Indra hymn, "O both of you, Agni-Indra," in the bright fortnight. In the dark fortnight, he recites in the same place.
2.7.3	He worships with the six subsequent verses, "O Agni, do thou lengthen our life."
2.7.4	He worships the Garhapatya fire in each year with the verses, "O Agnı, do thou lengthen life, O Agni, do thou purify." One should offer oblations to Pavamana.
2.7.5	"O Agni, giver of life, give me life," he says, standing by the Ahavaniya fire. "O Citravasa, may I attain your protection." He stands by the fire at night.
2.7.6	"O Agni, the kindlers, a hundred winters," he says, kindling the fire.
2.7.7	"May you be united with Agni," he says, while standing by the Ahavanīya fire, reciting the remaining verses of the Anuvāka.
2.7.8	"I see the creatures," he says, looking at his house and cattle.
2.7.9	"O water, O water!" (thus) he recites while standing in the cattle-shed.
2.7.10	"May you rejoice!" (thus) reciting, he stands between the two fires.
2.7.11	"May the collection be united!" (thus) touching the calf of the Agnihotra cow or the Agnihotra cow herself.
2.7.12	With three Gāyatrī verses beginning with "O Agni, may you protect me from above" and two verses beginning with "You, O Agni, are the one," he attends the Garhapatya fire.
2.8.1	"I see your energy." (Thus) the houses and cattle.
2.8.2	"The most desirable of Savitar." (Thus) one should offer to the Ahavanīya fire. "The Soma, the sound." (Thus) to the Soma.
2.8.3	"Never do you become old." (Thus) at night.
2.8.4	"We have surrounded thee, O Agni, with thy house." Thus he says to the Gārhapatya fire. "O Agni, the lord of the house," thus he says to the Āśītiṣā fire. "May we obtain the luminous one for our son," thus he says if he has no son. "May we attain the luminous one for his son," thus he (the father) says if he has a son. "For him and for him," thus he says as long as his sons are born. "May we have the luminous one," thus he says at the end.
2.8.5	"You are the world, you are the thousand-nourisher, you are the nourisher." He again embraces the calf. (He does so) for the Agnihotra-cow.
2.8.6	"May there be the greatness of the three worlds." With the Mahitri verse consisting of three feet, he worships the fire-pit.
2.8.7	One who is far away and desires welfare should see him with this verse consisting of three lines.
2.8.8	May he return safely. One who desires prosperity should recite this mantra at any other place except the sacrificial ground.
2.8.9	Or one should stand facing the east in the evening, reciting "May there be prosperity. May I have good offspring."
2.8.10	Or one should recite "From the sky" in the evening and morning, standing facing the east.
2.9.1	One desiring to be liberated should offer with milk, one desiring prosperity with ghee, one desiring brilliance with curd, one desiring control with barley-gruel, one desiring a village with cooked rice, one desiring food with rice, one desiring strength with flour, one desiring to destroy sin or one desiring knowledge with flour, one desirous of brahmic glory with Soma.
2.9.2	The offering of Soma, rice and curds is not to be placed on the fire.
2.9.3	At the time of offering, one should place the fresh Darbha grass and ghee.
2.9.4	The Agnihotra of the king is offered on the new moon day.
2.9.5	Every day, food is given to Brahmins.
2.9.6	This is the Agnihotra offered in between.
2.9.7	Agni should always be attended to.
2.9.8	One who sacrifices to Soma should always offer Agnihotra.
2.9.9	The sacrificer himself or his disciple should offer Agnihotra every day.
2.9.10	He kindles the fires with the mantras, "Let it shine, let it shine, you are shining for me, svāhā."
2.9.11	"O Agni, thou hast come to thy own body. O Heaven and Earth, bestow on us strength." Having smeared the sacrificial grass in the Agnihotra vessel, he strikes it on the Ahavaniya.
2.9.12	For that is the completion of the Agnihotra.
2.9.13	One should not strike the sacrificial grass.
2.9.14	It is known that the Agnihotra is an incomplete sacrifice.
2.10.1	The sacrificer, about to go away, orders the fires to be placed together.
2.10.2	Standing in his own place, pure, he says to the blazing Āhavanīya, "My name is first, O Jātavedas." Having approached it, he should remain silent near it, or he should release (the speech) away from it.
2.10.3	He should sleep below, with three means.
2.10.4	He does not go away beyond the tenth day.
2.10.5	Not on a festival day.
2.10.6	At the time of the vow, he performs the vow.
2.10.7	Facing the dwelling, he stands before the fires, saying, "Here you are, O Agni, there you are, O Agnis."
2.10.8	If he goes away without standing before them, he should recite this facing the dwelling.
2.10.9	Having gone away, carrying the kindling woods, and having seen the roof, he should go to the fires, disregarding any.
2.10.10-14	"He says, 'Now I have brought the world', and having approached the fire-places, he restrains speech near them and releases it near them. Having ordered, 'Arrange the fires', he says, 'May your name and my name be known to Jātavedas.' He approaches the Āhavanīya. He says, 'Salutations to Agni, the invincible.' He approaches the Garhapatya. He recites, 'Your fathers.' He approaches the Anvāhāryapacaniya.
2.10.15	This Agni is the best of all. Thus he says again to the Ahavaniya.
2.10.16	If there is a lapse in the vow, one should offer the oblation with the words, "May the mind and the light be accepted."
2.10.17	Some say that one should approach the fire with the Viraj verses when setting out on a journey or returning from a journey.
2.10.18	Some say that the Adhvaryu should not kindle the fires when setting out on an expedition.
2.10.19-21	Who will awaken the superior one who is asleep? "He who does not kindle the fire, he who is the bestower of fearlessness, may he grant me fearlessness. May I be well. I am going to depart." "He who is going to depart stands up, saying, "He who is the bestowal of fearlessness has granted me fearlessness. I am well. I am departing." When he returns from his absence, he says, "I have returned." Some say that one should bow to the fires silently and then depart.
2.10.22	"Do not be afraid of the house!" He enters the house with five (verses).
2.10.23	They should report any crime committed earlier on that day, and he should not condemn them.
2.10.24	"He enters the house, saying, "I am the house."
2.10.25	He looks at his wife, saying, "All of us together with you"
2.11.1	Now, when one is about to go away with his house, if he has stayed for five, nine or ten nights in a place where the Samhitā is recited, or if he has stayed there for nine nights for some reason, and then returns and stays there for one night, and is about to go again, he should offer this oblation to Vastaṣpati.
2.10.1	If the vessel is not to be carried, he puts it down without reciting any formula. If it is not possible to carry it, they take it up again without offering.
2.10.2	The one yoked to Agni is on the right, the one not yoked is on the left. Then having recited the Anudruta verse "To Vasta and Pat" he offers on the Garhapatya with the northern verse.
2.10.3	He does not offer again.
2.10.4	They do not bring down what is less.
2.10.5	They do not go without sprinkling the fire-places.
2.10.6	"He places the fires separately in the kindling woods with the formula, "This is thy natural place." Or with the formula, "O Agni, that form of thine which is fit for sacrifice," having heated the hand on himself, he brings it to the mouth. Having descended, O Jātavedas," having made the one who has ascended himself descend on the kindling woods, he should churn before sunset.
2.10.7	Or, having said, "Let him descend in the worldly fire," he offers, saying, "This is the best."
3.1.1	The Darsha-Pūrnamāsa are for all desires.
3.1.2	One should desire them simultaneously.
3.1.3	Or, if one desires separately, one should offer separately.
3.1.4	One should perform the Darsha-Paurnamasa sacrifices throughout one's life, or for thirty years, or one should stop when one is old, say some.
3.1.5	It is understood that one attains the highest state through these.
3.1.6	These two are taught together.
3.1.7	They are distinguished by the statement.
3.1.8	The sacrificer himself is the performer of all the rites. The hearing of the desires, the celibacy, the placing of the materials, the giving of Dakṣiṇā, the performance of rites without mantras, and the blessings are directed towards the sacrificer.
3.1.9	Having known the moon to be full, he shaves his hair and beard and observes fast, saying, "I shall perform the sacrifice on the full-moon day of the previous fortnight."
3.1.10	Having ascertained whether the moon is afflicted or not, he observes the fast, saying, "I shall perform the Darśa sacrifice."
3.1.11	Having offered the morning Agnihotra, having followed it, having taken it up, having meditated on Narayana when the sun has risen, having recited "Who knows Vishnu's name?" and having taken the fire from the Garhapatya to the Ahavaniya, having established the fire in the Ahavaniya place, having recited "The gods who know the path," he adds the kindling wood with the verse "O Agni, give me brilliance."
3.2.1	The sacrificer says, "I take Agni, the Vasus, the Rudras, and this energy." He recites these three verses when the Āhavanīya is being carried forward. At the full moon, he says, "The offering of the full moon." At the new moon, he says "The offering of new moon."
3.2.2	"The animals are between the fires," he recites while standing between the fires.
3.2.3	The Adhvaryu places the Garhapatya with the formula, "The gods are mine."
3.2.4	The sacrificer mutters the formula, "Here are the offspring, here are the cattle."
3.2.5	The Adhvaryu puts the Anvähäryapacaniya with the formula, “The gods are in me.”
3.2.6	The sacrificer murmurs the formula, “This is the place of the Pitrs.”
3.2.7	Some put it with the Vyähṛtis.
3.2.8	The Adhvaryu recites the Sabya verse, "You are always the protector of the assembly."
3.2.9	The sacrificer mutters the same.
3.2.10	The Adhvaryu mutters the Avasathyam verse, "Food is the Avasathy."
3.2.11	The sacrificers mutters the same verse.
3.2.12	When the Adhvaryu has recited the verses, he sits down to the north and mutters, "This is for the Agni-Jyesthas."
3.2.13-14	The plants are rich in milk. At the full moon, the couple should eat a mixture of ghee, curd and milk, excluding peas and meat, before the calves. They should eat to their heart's content.
3.2.15	Having touched water with the formula, "Thou art lightning," he moves towards the north of the Ahavaniya and sips water with the formula "The plants are yielding milk."
3.2.16	He attends upon the deities with the formula, “O gods, do you exert among the gods."
3.2.17	He places five kindling woods on the Ahavaniya with the formulas, "O Agni, lord of vows,"
3.2.18-20	Thinking of the ocean in his mind, he says, "O Agni, lord of vows, I shall observe the vow." He approaches the deities according to their respective signs and observes the vow. He approaches the sun, saying, "You are the supreme lord." If one observes the vow after sunset, one approaches the Ahavanīya fire with this.
3.2.21	On the Parvan days, the sacrificer himself offers the Agnihotra. At the New-moon sacrifice, he puts the remnant of the Agnihotra offering in a vessel for the morning Agnihotra.
3.2.22	He who is truthful, has three means, and is waiting for the evening, eats the food of the village, eats the food from the forest, or eats water, or eats nothing.
3.2.23	One should not eat that by which one would be performing the morning Agnihotra.
3.3.1	The Adhvaryu, having taken the twig of Palasa or Sami, with its leaves and branches intact, with its tip not dry, growing towards the east or the north, cuts it with the formula, "For Iṣe thee!" He anoints it with the formula "For Urge thee!" and bends it.
3.3.2	He brings it with the formula,"This is the eastern one."
3.3.3	He drives away the three calves with the formula, "For Vayu thee!"
3.3.4	Some say with the Darbha grass.
3.3.5	"The gods have come" (he says) and then "O mother of calves, go to the pasture."
3.3.6	"The pure waters" (he says), and then he instructs.
3.3.7	"The firm ones are here" (he says). He looks at the sacrificer.
3.3.8	Having taken a branch from the Ahavaniya fire, he places it on the southern side of the Garhapatya fire, saying, "Protect the animals of the sacrificer." He places it on the eastern side of the fire or on the girdle.
3.3.9	"For the god thee." He consecrates the horse-shoe and the axe, saying, "Thou art the sound of the sacrifice." He approaches the Garhapaty fire.
3.3.10	"He sprinkles it with the formula, 'The evil one is repelled.'
3.3.11	He goes to the heaven of the gods with the formula, ‘One goes to the heaven.’ He goes to the Ahavanīya with the formula, “One goes to the sky.”
3.4.1	He looks towards the altar with the formula, "The grass has been spread here."
3.4.2	Having gone to the direction where the sacrificial grass is to be given, having thrown one stalk, saying, "Thou art the mound of Vishnu," and having thrown another, saying, "thou art the enclosure of the gods."
3.4.3	Having released the grass-rope of the animal, he should say, "I release your share of the animals." Having touched the animal that has been released, he should say "This is of the gods." Having touched the released animal, he should hold the animal that has not been released, saying, "For the god." Having wiped upwards, he should say "For the gods." Having placed the animal that has already been released, he says, "For the gods." The cutter should cut the animal at the joints, giving a fistful of flesh with the nails.
3.4.4	That is the Prastara.
3.4.5	He gives three, five or seven handfuls of grass, or bundles of grass, except for the Parisa and the Utsarjana, with this very (verse).
3.4.6	He touches the Avraścana grasses with the verse, "O Devabharis,
3.4.7	Having touched himself with the thousand-streamed, he says, "The sun is my crest-jewel." Having wound the bronze (vessel) clockwise, he places it in the three-layered or five-layered (vessel), saying, "The womb is protected."
3.4.8	He recites the mantra at each layer.
3.4.9	"Protect the union of the earth." Having recited this, he places the bricks in the form of a line, with the tip facing east and the top facing north, reciting the verse, "May there be an abundance of them." He then collects the lumps of clay or the bricks, which have been cut according to the prescribed size, reciting the verse "May you be well-collected."
3.4.10	"The womb is not cut." This is said about the last layer of bricks.
3.4.11	The grass for the sacrificial grass is taken up with the formula, "The pure water is fit for sacrifice." For the Pitrs, it is taken up with "The grass is fit for sacrifice, the root is fit for sacrifice," or with "The grass has been cut once, the root has been cut once." Having taken up the grass for the sacrificial strew, he silently collects it. He also collects the grass for the Parivit.
3.4.12	"The armour for Indra's wife," he ties all (the bundles) together. "Pūṣan has tied them," he ties them together in a clockwise direction.
3.4.13	"May it be firm for you," he covers the knot at the back, facing east.
3.4.14	"You are the water, O Asvins," he touches (the head of the sacrificer).
3.4.15	"For Indra thee," he says while lifting it up; "for Brihaspati," he says while carrying it with the head.
3.4.16	"Follow the broad sky," he says while returning; "with the Adityas," he says while placing it on the other side of the Ahavaniya fire.
3.4.17	"You are going to the gods," he says while reciting this; "The Adityas place you on the back," he says while depositing it in the vicinity of the Garhapatya fire, as if above.
3.5.1	Having made the three-metal-alloy silent, he places it on the fire, saying, "This is the black form." Having collected a bundle of wood consisting of twenty-one pieces of Palāśa, Khadira, or Yāsika wood, he binds it, saying, "The black one is in the pit." Having made a knot clockwise, he places it with the sacrificial grass, saying, "Pūṣan is here."
3.5.2	Having made the sacrificial grass into a three-layered head, he places it on the ground from the tip of the Veda.
3.5.3	The tips of the Veda, along with the scraping of the wood, are placed together.
3.5.4	Here some say, "Having made the altar on the new moon day, one should bring the wood and sacrificial grass."
3.5.5	Having cut off the leaves of the branch from the root, having bound the branch, he says, "You are the Upaveṣa." Having placed the root of the branch near the Garhapatya, he says, "
3.5.6	Taking the third part of the thread, and placing it in a safe place, he says, "You are the sacred thread of the Vasus, with a hundred strands." Having made a three-stranded sacred thread of Darbha grass on the branch, he says, "Three-stranded, Palasha, Darbha." On the branch, he loosens the roots, and the tips are at the front.
3.5.7	He does not make a knot.
3.5.8	In the fire-room, the smearing of the fire-places, and the decorations of the deities, and the couple should be adorned.
3.6.1	Here, on the Upavasatha day, in the afternoon, or when the sun is behind the tree, one performs the Pindapitryajna.
3.6.2	Having offered the evening Agnihotra, he places the Agnihotra-vessel, the pot, the ladle, the strainer, the vessel for pouring, the vessel for churning, the wooden vessel, the iron vessel, the vessels for the Saṁnāyya oblation, having washed them, he covers the Garhapatya with Darbha grass from the north and places the vessels with their mouths turned towards the south.
3.6.3	Having made two darbha-blades, about the size of a span, into a filter, he cuts them with the formula, "You are the filters."
3.6.4	Having recited the formula, "These are the Prāṇa and Apāna," and having wiped them with water with the formula, “You are pure in the mind of Visnu,” he instructs the cow-herder with the formula, "Do the milking with the filter."
3.6.5	Having brought the Agnihotra-vessel with the Pavitras inside, and having sprinkled it three times with the Pavitrathe Gāyatrī verses beginning with "Devā v" and ending with "Uttani" and having sprinkled it with the Pavitrot the Gāyatrī verse beginning with "Devīr" and ending with Uttani, he sprinkles the vessels with the formula, "Purify yourselves."
3.6.6	Having placed the purified and protected (materials) in the Ācārya-vessel, he waits for the coming of the Āyatis. Having heated the Sānāyya-vessels, taking up the Upavesha with the formula, "Thou art Dhṛṣṭi," having spread the embers from the Garhapatya towards the north with the formula, "Thou art the creation of Bhṛgu and Angiras," having placed the pot on them, he encircles it with the embers with the formula, “Thou art the creation
3.7.1	"Thou art the purifying of the Vasus, with a hundred streams," with this formula he places the twig of the purifying grass, with its tip towards the east, in the evening, in the pot. "Thou art the purifier of the Vasus with a thousand streams," with this he places the twig with its tip towards north, in the morning.
3.7.2	Standing near the pot, he holds the purifying grass, restraining speech.
3.7.3	He instructs, "Tell me when the pot is filled."
3.7.4	Having said, "I am letting loose," he takes the rope with the words, "You are the rope of the sun."
3.7.5	He lets loose the calf with the words, “You are Pūṣan.”
3.7.6	He instructs, “Do not let the cow and the calf go between me and the resting place.”
3.7.7	If they go between, he should mutter, “Do not destroy the Saṁnāyya.”
3.7.8	He consecrates with the words, "I am letting loose you with the Yakṣma disease and progeny.
3.7.9	The milker approaches with the verse, "Thou art the stream of milk."
3.7.10	He recites the verse, "The heaven and this earth" while the milk is being milked. "The milkers are milking the pot" when the sound of the stream is heard. "The drop is offered, the particle is offered" when the drops fall. "To the heaven and earth" when the milk is spilled.
3.7.11	The milker asks the one who is taking back the milk with the verse, “Thou art the wish-yielding cow.”
3.7.12	The milker replies, "This one."
3.7.13	The Adhvaryu praises the cow with the verse, "She is the life of the universe."
3.7.14	He brings the milk into the pot with the verse, "May the god Savitr."
3.7.15	He says, "Which one?" It has been said, "The third one."
3.7.16	He praises the second cow with the verse "She is the creator of the universe" and the third cow with the verse "
3.7.17	Thus having milked three times, he says thrice, "For Indra, the lord of cattle, to the gods."
3.7.18	One who sacrifices to Indra should be known as one who sacrifices to Indra, and one who sacrifices to Mahendra should be known as a sacrificer to Mahendra.
3.7.19	Having spoken, without repeating, he silently milks the remaining milk.
3.8.1	Having brought the milk from all the cows, having washed it with the formula, "May heaven and earth unite this sacrifice," having mixed it, having brought it in the pot, having cooked it, having poured clarified butter over it silently, having churned it as if drawing it, he sprinkles it.
3.8.2	Having cooled down the milk of one, two or three cows, which was continuously milked for two or three days, he prepares the Soma-pressing stone with that curd. He presses it with the formula, "I press with Soma and curd."
3.8.3	"Thou art the continuity of the sacrifice" (he says) with the remnant of the Agnihotra, with the words "This is the milk for the evening" he anoints the leaves with grass. With rice grains, with rotten herbs, with Kvala grass or with Darbha grass.
3.8.4	"The waters are the oblations" (he says), having brought it in an iron vessel or a wooden vessel, he places it with the words "Thou art the setting, for Vishnu thee."
3.8.5	If it is made of clay, grass or wood.
3.8.6	Having released these two, namely, leaves and darbha grass, he places the sacred thread of the branches in a safe place, and says, "O Vishnu, protect the oblation." He places it in the vicinity of the Garhapatya fire, covered above.
3.9.1	In the morning, having brought them with the eastern branch, he releases the calves for milking.
3.9.2-8	Having placed the skulls, he should milk in the morning as he would in the evening. One should not wash. One who does not offer Soma should not perform the Soma sacrifice. Some say, one who does not offer the Soma should perform the Soma sacrifice.
3.9.9	The Brāhmaṇas, the Kṣatriyas, the Vaiśyas and the Śūdras should offer oblations to Mahendra.
3.9.10	He strews the fires with Darbha grass.
3.9.11	Having kindled the Āhavanīya and Garhapatya fires, he recites the verse "The two fires are kindled by the sacrificer."
3.9.12	He should sleep below the Āhavanīyī fire or the Garhapatya fire.
3.9.13	One should keep awake at night on the new moon day, or as much as one can.
3.9.14	One should be engaged in the vow.
3.9.15	One should not go beyond the boundary of the hermitage.
3.9.16	All this is to be done on the new moon.
3.9.17	On the full moon day, one should kindle the fire the previous day, and arrange the sacrificial grass and wood. One should also sweep the fire place.
3.9.18	It becomes all at once. It becomes.
4.1.1	The Agnihotra is offered the next day, the day after, or in the morning, when the sun has risen, one begins the procedure of the full moon on the day before sunrise.
4.1.2	There are four priests in the sacrifices of the new and full moon: the Brahman, the Hotri, the Adhvaryu, and the Agnidhra.
4.1.3	Having washed the hand with the formula, "For your action," he spreads the grass-blade from the Garhapatya towards the Ahavaniya with the formula, "Thou art the continuity of the sacrifice." Silently he spreads the grass from the southern to the northern side.
4.1.4	He places the seats of the Brahman and the sacrificer to the south of the Ahavaniya, the former for the Brahman and the latter for the sacrificer.
4.1.5	Having spread darbha-grass to the north of the Garhapatya fire, he places the sacrificial requisites in pairs. The five pairs are: the wooden sword and the potsherds, the Agnihotra ladle and the winnowing basket, the black antelope skin and the pestle, the pestle and the mortar, and the stone and the grinding stone.
4.1.6	The five pairs are: the ladle made of Khadira wood, the Juhu ladle made of Palasa wood, the Upamant ladle made of Ashvattha wood, the Dhruva ladle made of Vaikankata wood, the Veda vessel, the vessel for the Prasitra, the vessel for Idas, the vessel for Priniita and the vessel for Pratiprasthata. The eight wooden vessels which are used in the Homa are: the vessel for ghee, the vessel for Anvahaarya, the stone, the vessel for Sannayyas, the vessel of Kumbi, the Shakhapavitra, the vessel for Abhijani, the vessel for Nidana, the vessel for Dohada. The vessel for Paviitra is prepared on the previous day.
4.1.7	Here the sacrificer, having approached the Brahmanical preceptor, who is the most eminent among Brahmins, and having gone around the Ahavaniya fire on the right side, and having crossed it on the south, sits down facing north.
4.2.1	Having washed his hands and feet, having sipped water, having gone round the Ahavaniya fire from left to right, having stood to the south, having saluted the Brahmasadan, having approached the Brahmasadan saying "O Dadhi-savyas", having removed the grass from the seat, having sat down saying "I go up, I go up, I am going up", having looked at the heaven and earth saying "May heaven and earth protect me", having recited the three verses "Bhuvah, Bhuvah, Suvah, Who is this Brahman?" and "I am the lord of the earth", having recited these two verses,
4.2.2	In the rites involving mantras, he restrains speech.
4.2.3	If he recites the Vedic verse dedicated to Vishnu and then recites the Vyahrtis, he restrains his speech.
4.2.4	Here, the Adhvaryu, having brought the Pavitra, and having said "For Daksha you", takes the cup for the Praṇītā offering and sprinkles it three times with water, saying, "You are of the forest."
4.2.5	With the milking of cows for one desiring cattle, with affection for one desiring food, with a pot made of clay for one desiring food and with a pan for one desiring brahmic glory.
4.2.6	He brings it from the other side of the Garhapatya fire, with the strainer hidden in the vessel, saying, "Who among you will take you? May he take you."
4.2.7	Thinking, "I shall take this earth with this," he fills it with water, and reciting the mantra "The god is the water," as before, he consecrates it.
4.3.1	He instructs, "Brahman, I shall offer the water; the sacrificer should restrain speech."
4.3.2	The sacrificer, having been instructed by the Brahman, restrains speech while offering the oblations, and the sacrificer also restrains speech.
4.3.3	"Who is your friend?" "He who is your friend." Having bound with the Sphyi, he pours down together with the breath, without spilling.
4.3.4	The sacrificer, while being led, recites with two verses, "Those who are in front, and the earth and the sky," and with this verse, "You are purified by Brahman."
4.3.5	The Adhvaryu, having placed the potsherds on the Darbha-grass to the north of the Ahavaniya fire, covers them with Darbha-grass.
4.3.6	The pots are carried forward without being shaken.
4.3.7	Taking the strainers, he touches the pots with his hands holding the strainers, saying, "May they enter together."
4.3.8	Taking the Agnihotra ladle, he says, "For Daksha thee, thou art of the forest." Taking the winnowing basket with the left hand, he says, “For Veshtha thee.” Having roasted the barley grains on the Gārhapatya fire, he says, "I shall offer the oblation for the sacrificer."
4.3.9	"Om! Let it be offered!" Having been urged by the sacrificer, the Agni goes away, saying, "I shall offer the oblation." Having said this, he goes along the sky.
4.4.1	To the west of the Garhapatya, a cart is placed facing east, filled with rice or barley, together with a winnowing basket.
4.4.2	"He touches the right axle of the cart with the formula, "Thou art the axle." "And the left one with the formula, "Thou art the left one of the gods." "Having recited the formula, "Viṣṇu has pressed thee," he places the right foot on the left foot, thinking of himself as Viṣṇu. Or with the formula, “Thou art the step of Viṣṇu.”
4.4.3	He ascends with the formula, "
4.4.4	Having seen the Mitra-svarāṇā and other verses, he should remove the door of the fire with the verse "May the wind blow for your friend." Having seen the Mitra and other verses, and having touched with the verse "Bestow strength," he should remove the grass or chaff with the verse "Remove the evil." Having touched the water, one who is about to offer the oblation should recite the Dashotr verse.
4.4.5	Having placed the ladle in the Pavitra, he fills the fist with the ladle and pours it into the Havani. Having placed the ladle into the Pavitra, having poured four handfuls according to the deity, the fourth one silently, thrice with the mantra.
4.4.6	Having poured, he pours again.
4.4.7	In this way he pours the subsequent cake.
4.4.8	The sacrificer, while offering the oblation, recites the verse, "We invoke Agni, the Hotar, here."
4.4.9	He looks at everything while reciting, "Who yokes you? May he yoke you."
4.5.1	If the cart is not available, then placing the wooden sword to the west of the Garhapatya, placing the vessel in it, pouring the rice-cake into it, touching the eastern half of it with the formula, "This is the wooden sword," reciting all the formulas pertaining to the cart,
4.5.2	he touches the rice-cake which has been placed with the formula, “This is for the gods.”
4.5.3	The place where the rice-cake is placed is called “the place of placing.”
4.5.4	The words "to Sphyati" are already explained.
4.5.5	Taking the Puronuvakya oblations, he goes out with the words, "I am freed from Varuna's noose."
4.5.6	Looking at the entire sacrificial rite with the words, “I am shining towards the heaven.”
4.5.7	The Agniya oblation of eight potfuls, the Upāṃśuyāja, the Ajya oblation, the Prajāpatya, the Viṣṇu, the Agniṣṭoma, the Agniṣomiya, the Ekādaśakapāla Agniṣṭoma oblations are the principal oblations at the Full Moon.
4.5.8	Some say that there is no Agniṣṭoma offering for a non-Soma-sacrificer.
4.5.9	The Agniya eight-spooned oblation and the Saṁnāyya oblation to Indra are offered at the new moon.
4.5.10	If they are not offered, then the Agniya eight-spooned oblation, the Indra-Agni eleven-spooned or twelve-spooned oblations are offered.
4.5.11	These are the other offerings.
4.5.12	At the full moon, one should offer an oblation to Indra-Vṛtra-slayer on eleven or twelve spoons.
4.5.13	If the Vairāja Soma is performed according to the same procedure, then one should offer to Agni-Soma and Indra-Vairāja.
4.5.14	Some say that one should offer to Indra-Vairāja after the full moon has been completed.
4.6.1	He waits for the Āhavanīya fire, saying, "The fire of Vaiśvānara."
4.6.2	He descends, saying, "May the roads be firm."
4.6.3	"Svāhā to heaven and earth." Having recited this, he places the bones on the ground with the verse, "May I find the space between heaven and earth." He then places the bones on a cloth with the verse, "May the sun place you on its lap." He then places them in front of the Garhapatya fire according to the deity, with the verse, "Protect the offering for Agni." He then stands in front of the Gārhapatya fire with the verse,
4.6.4-6	Having sprinkled the fire-places with the sprinkling water, having placed the sacrificial grass and the sacrificial grass-blades, having placed the Prokṣaṇī vessel in the fire-places, having sprinkled the Prokṣani vessel, having sprinkled the fire-place, having sprinkled the sacrificial grass and sacrificial grass-blades in the fire-place with the Prokṣanī vessel, having sprinkled all around, having sprinkled the vessel of clarified butter, having sprinkled the wooden sword, having sprinkled the ladle, having sprinkled the spoon, having sprinkled the potsherd, having sprinkled the strainer, having sprinkled the Iḍā-vessel, having sprinkled the Ājyabhāga-vessel, having placed the wooden sword in the fire-pit, having placed the ladle in the fire-hole, having placed the spoon in the fire-chamber, having placed the potsherd in the fire-house, having placed the strainer in the fire-shed, having placed the Iḍā vessel in the fire shed, having placed the Ājyabhāja vessel in the fire house, having placed the vessel of clarified-butter in the fire-room, having placed the Sruva in the fire-hut, having placed the Dhruva in the house of fire, having placed the Upabhṛt in the house of the fire, having placed all the vessels in the house of Agni, having placed the Veda in the house of Veda, having placed the Brāhmaṇa in the house of Brāhma
4.6.7	"Thou art the wind's garment," taking the black antelope skin, he shakes it three times on the rubbish-heap, with the formula, "Thou art the garment of the wind, thou art the garment of Aditi."
4.6.8	"Thou art the skin of Aditi," he spreads it out in front, with the neck turned towards the west, with the wool uppermost.
4.6.9	"Thou art a support," not letting it go, he places the mortar on it.
4.6.10	"Thou art the body of Agni", saying this, he pours the oblation into the mortar three times with the mantra and once silently.
4.6.11	"Thou art a mountain", taking up the pestle, he strikes three times, saying, "May I strike the enemy of heaven, the Rakshas."
4.6.12	"O Havis-maker, come!" thus he thrice calls the Havis-maker. "O Havis maker, come to the Brahman!" thus he says. "O Havas-maker, come to the king!" thus he says to the king. "O Haviş-maker, come quickly!" thus he says (to the Brahman). "O Havismaker, come quickly to the king!" "O Havis - maker, come quickly!" "O Haviṣ-maker, come running!" thus he says, to the artisan.
4.6.13	Having released speech, the sacrificer yokes the sacrifice with the union of the sacrifice, saying, "Who yokes thee? May he yoke thee!"
4.7.1	When the rice grains have appeared, he orders, "Strike loudly."
