1.1.1	We shall explain the Darśa-Pūrṇamāsa sacrifices.
5.4.8	Having taken it with the verse, "Do you ascend the ten," he recites with the two verses.
5.4.9	Then he restrains speech with the verse, “I approach truth from untruth.”
5.4.10	Speech is restrained from the churning of Agni.
5.4.11	Then the Adhvaryu and the sacrificer take Agni in themselves with the two verses, "I take Agni first in myself."
5.4.12	He throws away the fire-places, saying, "I throw away the unclean thing of this (house)."
5.4.13	Having thrown it away, he sprinkles it with the verse, "The goddesses have favoured us."
5.4.14	He scatters the materials on dry and windy places.
5.4.15	Having divided them into two parts, he puts half in the former and half in the latter.
5.4.16	"The ashes of Agni, the excrement of Agni." He puts sand in the place of the Garhapatya.
5.4.17	Thus in the place of Anvähäryapacani, thus in the place of Ahavaniya, thus in the places of Sabhya and Aväsathya.
5.4.18	Thus the rites are performed in order.
5.5.1	He puts the earthen pots one by one.
5.5.2	You are the knower, the fulfiller of desires. So say the Ushanas.
5.5.3	"When he scatters it, he thinks mentally, "Whatever black moon there is, may that be here."
5.5.4	"Rise, O Agni!" (he says) while scattering the mound of ants.
5.5.5	"Whatever is immortal on earth," he scatters the mound of ants in the Garhapatya fire-place.
5.5.6	"Whatever immortal is in the sky," he scat-ters in the Anvähäryapacaniya fire-place.
5.5.7	What is not nectar in heaven, that is in others.
5.5.8	From the sea, indeed, is the Sudha.
5.5.9	As far as the tip was, that is the Boar-slain.
5.5.10	The Goddess is here.
5.5.11	One who is casting sand should meditate on the one whom he hates.
5.5.12	Having placed gold pieces to the north of the provisions, he recites, "Those auspicious forms of yours, O Jātavedas."
5.5.13	Having placed each one, he gives it to the hated one.
5.5.14	If he does not find the hated one, he should throw it away.
5.5.15	Having mixed them thus, he sows them with the verse, "The first to be born was Agni," etc.
5.5.16	All the materials are brought together. The two verses, "May your bodies be united, may your hearts be united" are recited.
5.6.1	The ashes of the BrahmauDanika fire are collected and placed in a vessel. The Dashotrani fire is placed in a vessel and is placed near the fire. The horse is rubbed with the fire. The verse, "Be born with the fire, O Agni" is recited.
5.6.2	When the fire is being rubbed, the Yajamana is made to recite the four Hotr verses.
5.6.3	When born, he gives a boon.
5.6.4	"When born, he breathes, saying, 'I breathe thee with the breath of Prajapati.'
5.6.5	Then he takes him in his arms, saying, 'The immortal was born by the mortal.'
5.6.6	Then, having raised him eastward, before sunrise, while the Rathantara is being sung, seated in the sacrificial requisites, he places the Garhapatya."
5.6.7	"He should place (the pot) of the Bhrigus, saying, 'I place thee in the vow of the lord of vows of the Bhrigas.' He should place (the one) of the Angiras, saying, ' I place thee in the vows of the lord of the vows of the Angiras.' He should place the one of the Brahmanas of the Angiras. He should place (one) of the Adityas, saying, 'l place thee in the vowa of the lord of vowa of the Adityaa, the gods.' He should place one of the other Brahmana women. He should place the king, saying, ' l place thee in the VOWS of the lord of VOWS of Varuna, the king.' He should place a Kshatriya, saying, '1 place thee in the Vows of the lord of Vows of Indra, the lord of strength.'
5.6.8	He places all the fires in the materials.
5.7.1	Having placed them in the manner of the Rṣyādhāna, he places them with the Vyāhṛtis, "Bhūr Bhuvaḥ."
5.7.2	Then with the two verses, "Bhuḥ Bhūmane" and "Bhūmiḥ Bhūmane,"
5.7.3	The sacrificer stands by what has been placed with these two.
5.7.4	Then with the verse, "Gharmasirasaḥ, Gharmasirasaḥ,"
5.7.5	The sacrificer stands by it after having placed it.
5.7.6	Then he places them at the end with these (verses):
5.7.7	"I spread the truth, the dung, for the well-placed Garhapatya." With these two (verses)
5.7.8	The sacrificer stands by the placed (bricks) with "I am yours.
5.7.9	Then he makes the sacrificer recite the Agni-form at the right ear of the horse: "O horse, bring that dear form of Agni, the purifier, which is among the animals. O horse, bring that form of Agni, which is dear to the water, which is purifying. O horse, that dear form of the sun, which is pure, bring it."
5.7.10	Having kindled the Garhapatya fire, he should take up the kindling wood for the Ahavaniya fire, saying, "For strength and power I take thee up."
5.7.11	While the kindling wood is being taken up, he chants the Vamadevya hymn.
5.7.12	One should take up the fire from above while taking it up.
5.7.13	One should not take it up too far.
5.7.14	The kindling wood is taken up and held in place.
5.7.15	Then he places the Anvāhāryapacana ladle, having brought it from somewhere or other, on the fire.
5.7.16	Or having churned with the two kindling woods.
5.7.17	Having placed it with the Rṣyādhāna ladle, he places it with the Vyāhṛtis, saying "Bhuvaḥ".
5.7.18	Then with the two serpents, "Bhūmiḥ bhūmane" with this third one.
5.7.19	The sacrificer worships what has been placed with these two.
5.7.20	Then the wind, with the head of heat, is Prāṇa.
5.7.21	The sacrificer stands up with this very (wind).
5.8.1	Then he goes forward with the horses at the head, towards the east, with the verse, "Go, O wise one, along the eastern direction," and with these four verses, "From heaven, from earth, from the atmosphere."
5.8.2	He takes it from the knee-joint, then from the navel, then from the mouth.
5.8.3	One should not separate Agni and Aditya.
5.8.4	He takes Agni first and follows it afterwards.
5.8.5	Brahma turns the chariot to the right or the wheel of the chariot, saying, "O Brihaspati, I go around with the chariot."
5.8.6	Some say that the Brahman recites this verse of the invincible one.
5.8.7	Thus he turns the chariot as long as the wheel revolves three times.
5.8.8	If one has an enemy or a rival, then one should again turn the wheel three times.
5.8.9	At the end of the journey, he gives a boon.
5.8.10	Having placed the gold on the path of the Samaya, he crosses (the altar) with the verse, "Thou art the sky, the path of the sun, the support of the sacrificer."
5.8.11	He makes the horse step forward towards the east with the foot on the north side of the pile of wood, with the verse, “It has been established.”
5.8.12	Having turned to the right on this very step, he makes it step back towards the north.
5.8.13-17	He should step aside so that the embers of the fire, as they are placed, would fall on the foot. If there is no horse, one should perform this rite with a bull. It is known that the foot of the goat is to be placed. Some say that the foot of a pot is to be placed.
5.9.1	When the sun has risen half-way, he places the Āhavanīya fire.
5.9.2	If one desires Brahmic glory, one should place it when the sun has risen completely.
5.9.3	Having placed it with the Rṣyādhāna (mantra), one places it with the Vyāhṛtis: Bhūḥ, Bhuvaḥ, Suvaḥ.
5.9.4	Then with the Sarpāñjī (mantra) and the fourth one: Bhūmiḥ, Bhūmnī.
5.9.5	The sacrificer stands by with these two (mantras).
5.9.6	Then the sun is placed on the head of the hot-headed one, and the eye.
5.9.7	The sacrificer stands with this alone.
5.9.8	With two (verses) beginning with 'I place thee, O breath, in the immortal.'
5.9.9	Having placed at the end, he stands with 'Thou hast eaten, thou hast eaten.'
5.9.10	When the (Agni) is placed, he sings the Vāravantīśa (Sāman).
5.9.11	One should not touch the fire which is not for one's own good and which is not offered with oblations. One should pacify it with ghee and herbs. This is understood.
5.9.12	The form of thine, O Agni, which is dear among the cattle, which is in the earth, which is in Agni, which is in Rathantara, which is in Gayatri, that I have taken for thee. To that be svāhā. The form of thine which is dear among waters, which is in heaven, which is in Vayu, which is in Vaimate, which is in Trishtup, that I have for thee. To it be svāhā! The form of thine that is dear in the sun, which is in Heaven, which is in Aditya, which is in Brihat, which is in Jagat, which is in Anushtup, that have taken for thee.
5.10.1	Having pacified the Āhavanīya with ghee and herbs, he places the Sāṃbhāvasthāyī in the Ṛṣyādhāna.
5.10.2	Or having churned with the two kindling woods.
5.10.3	In the assembly hall, the Sāṃbhava is placed. In the dwelling place, the Sāvasthāyin.
5.10.4	It is known that the Sāṃbhavasthāyīs are in the Dakṣiṇāgni.
5.10.5	One says, "One should sing the Yajñāyajñiya," while another says, "In all."
5.10.6	It is known that one should sing the Sāman hymns at the installation of the fire.
5.10.7	Some say that one should not sing the Sāmans at the installation of fire.
5.10.8	With the three Agni Pavamānī verses, he places three Samidh twigs of the ashvattha tree, with these three verses: "O Agni, you purify the life-giving forces."
5.10.9	The three kindling-sticks of the Sami-wood, smeared with ghee, are placed with the three verses, "From the ocean, with the rays," etc.
5.10.10	"Agni, well-kindled, shine forth in front," is the Udumbara-wood; "We worship thee, O Agni, in thy highest birth," is the Vaikankata-wood; "O Savitar, the desirable, the variegated," is the Sami-wood.
5.10.11	One each for all.
5.10.12	In the morning, he silently offers the Agnihotra without reciting any mantras.
5.10.13	In the forest, the sacrificer stands near the Āhavanīya fire with terrible mantras and forms, saying, "With those terrible forms of yours, O Agni, go to him whom you hate."
5.11.1	Having poured out the clarified butter across the strainer, having purified the spoon and the Juhu, having heated them and having wiped them, having filled the spoon with four spoonfuls, he offers the Pūrṇāhuti with twelve spoonfuls. Having recited the verse "Seven are thy Agni, O Agni, seven thy tongues", he offers at the end of it with the Svāhā-call.
5.11.2	When the Pūrṇāhutis have been offered, he gives a boon.
5.11.3	In the same way, he pours out, sprinkles, burns, and cleanses in the subsequent Darvihoma offerings, and finally makes the offering with the Svāhā sound.
5.11.4	If one were to ask, "Which offerings are made in the Darvihoma offerings?"
5.11.5	Then the sacrificer approaches the Āhavanīya fire with the remaining portion of the Anuvāka, "O Agni, those two auspicious forms of yours, the Viraṭ and the Svarāṭ."
5.11.6	Then he offers this oblation, "Those who are to Agni in heaven and on earth."
5.11.7	Then he worships the five fires in order, beginning with the Āhavanīya, with the following verses: "The Āhavanīya is worshipped with the verse, "May the shining one protect me." The Anvāhāryapacchana is worshipped with the words, "May the father protect my progeny." The Garhapatya is worshipped with, "May the man protect my offspring." The Āhavanīya is worshipped, "May the praiseworthy one protect my cattle." The Sabhya is worshipped, "The Sabhya may protect my assembly." The Avāsathiya is worshipped, "May the one who knows the truth protect my mantra." All the five fires are worshipped with the words "May the five fires protect me."
5.12.1	He begins the procedure of the Agniya (offering).
5.12.2	It is similar to the offering of the Agniya.
5.12.3	One offers the Agniya cake on eight potsherds.
5.12.4	The oblation is offered after having been placed, sanctified, and sprinkled. Then, having taken it from between the Sāṃbhāravāsathya (sacrifices), and having sprinkled it, he places the dice on the dice-board, puts gold on the dice, arranges them, and offers with the verse, "He who has sat down with firm vows."
5.12.5	When he is giving a hundred dice to the sacrificer, he says, "Let us play with the barley grains. Let us not injure the joints."
5.12.6	The sacrificer rises up after having won the game.
5.12.7	They should play with the cow on that day in the assembly hall.
5.12.8	They should not injure its joints.
5.12.9	One should offer it to the members of the assembly.
5.12.10	Whatever she takes, both the food and the cooked food should be offered to Brahmins.
5.12.11	In the middle of the assembly hall, having placed gold, he offers with this verse: "Pra Nūnam Brahmaṇaspati"
5.12.12	Then the sacrificer stands by the fires with these two verses: "May heaven and earth be auspicious, those who are Agni, of one mind."
5.12.13	The Dakṣiṇā is equal to the time of the Dakṣiṇās.
5.12.14	It is understood that the Dakṣiṇa should be given in increasing amounts.
5.12.15	The Agnīdhra gives the first Upasparśana, the Sārasūtra,
5.12.16	and a goat and a horse to the Brahman.
5.12.17	A cow to the Hotṛ,
5.12.18	a bull to the Adhvaryu,
5.12.19	and a pair of cows, a garment, and a chariot to all.
5.12.20	The sacrificial fee for the Agni-installation is either six, twelve or twenty-four.
5.12.21	One should collect the sacrificial fee as prescribed. So says one.
5.13.1	Except for the prescribed sacrificial fee, says another.
5.13.2	If one installs the fires without wealth, one should give a cow as sacrificial fee.
5.13.3	The Iṣṭi comes to an end with success.
5.13.4	When about to offer the evening Agnihotra, he offers the Grahas in the Ahavaniya fire, having mentally followed the Dashahotar.
5.13.5	He offers the Agnihotra for twelve days in the Ajashres.
5.13.6	He observes the vow.
5.13.7	One should offer oneself or another should offer for twelve nights.
5.13.8	One should not go away.
5.13.9	One should wear fresh clothes.
5.13.10	One should oneself offer on the thirteenth day.
5.13.11	The cow from which the first milking is taken for the Agnihotra is the fee for the Agnihotra.
5.13.12	One should offer the Agnihotra with these Vyāhṛtis: Bhūr Bhuvah Suvah.
5.13.13	When the year is over, one should offer it with these Vyāhritis.
5.13.14	Āśmarathya says that the first year itself. Ālekhaṇa says that the year is the year.
5.13.15	When the twelve (days) are over, he offers the Tanu-oblations.
5.13.16	To Agni Pavamāna, a cake on eight potsherds; as Dakṣiṇā, gold weighing thirty (mānas).
5.13.17	The Iṣṭi comes to an end with success.
5.13.18	Then to Agni Pāvaka, to Agni Śuci, as Dakṣiṇa, gold weighing thirty, forty.
5.13.19	The Iṣți comes to an end successfully.
5.13.20	One may offer the Tanu-offerings the next day.
5.13.21	Some say that one may offer them at the end of half a month, a month, a season, or a year.
5.13.22	The rites are similar to those of Agni.
5.13.23	One who is going to perform a Soma sacrifice is not known.
5.14.1	One may offer the Tanuh-offerings before a year.
5.14.2	Or having offered oblations to Agni Pavamāna, Agni Pāvaka, and Agni Śuci, one may offer to the deities of Soma.
5.14.3	Above the oblations to the Tanas, one should offer an Ekādaśakapāla oblation to Agni-Soma, an Ekādaśapāla oblation dedicated to Indra-Agni, and a Ghṛta cake to Aditi.
5.14.4	The animal sacrifice to Agni-Soma is to be performed by the Brāhmaṇa alone, not by the other castes.
5.14.5	The procedure is the same till the cooking of the rice.
5.14.6	The rice cooked and kept aside is taken out with the mantra for distribution.
5.14.7	He mixes it with the other rice.
5.14.8	The procedure up to the covering of the pot is the same.
5.14.9	Having covered the pot of the animal sacrifice to Indra-Agni, he places the pot of cooked rice with the first pot-mantra.
5.14.10	"You are firm." He recites the mantra "You are firm" or "You are firm".
5.14.11	He pours the ground rice into the covered pot and pours it out.
5.14.12	Having poured the ghee with the Yajus, he brings it to the pot of cooked rice.
5.14.13	He recites the mantra according to the authority.
5.14.14	He pours the cooked rice with the mantra for placing on the fire.
5.14.15	He places the cooked rice in the pot itself.
5.14.16	This is the procedure for the offerings of cooked food, except for the taking of clarified butter.
5.14.17	There are seventeen Sāmidhenī verses.
5.14.18	The offering of oblations is similar.
5.15.1	He recites the Anumantrana verse for the oblation offered to Aditya: "May I attain stability through sacrifice, O Aditya, by worshipping the gods."
5.15.2	In the same way, he recites the Anumantrayana verse for all the oblations to Aditya.
5.15.3	At the time of dividing the oblation of the sun into four parts, he offers everything to Brahma.
5.15.4	The four officiating priests who are students of the Vedas eat it.
5.15.5	For them, having eaten, he gives a cow as a gift.
5.15.6	Some say that the offerings to the deities are performed silently.
5.15.7	The Iṣṭi comes to an end successfully.
5.15.8	One who is about to perform the Darsa-Pūrnamāsa sacrifices should offer two oblations to Sarasvati before the commencement of the rites, the Pūrna oblation first and then the Yat te devā adadhur oblation.
5.15.9	He performs the Anvarambhaniya Iṣṭi.
5.15.10	He offers an oblation of eleven potfuls to Agni-Visnu, a rice-pap to Sarasvati, and a cake on twelve potfuls to Sarasvata.
5.15.11	One desiring prosperity should offer to Agni Bhaga a cake on eight potsherds as the fourth oblation.
5.15.12	The offerings are similar.
5.15.13	One recites the mantra "May I prosper with the divine worship of Sarasvati, speech and food" while offering to Sarasvati.
5.15.14	In the same way, one recites the mantra while offering to all the deities associated with Sarasvati.
5.15.15	In front of him, he offers the Jayas to Sviṣṭakṛt, reciting the twelve verses beginning with "Cittam and Citti" and ending with "May Prajapati grant me victory." He should offer the thirteenth verse, "May Prajapति grant me victory."
5.16.1	The fourteenth verse, "O Agni, the giver of strength," is for one desiring brahminical splendor.
5.16.2	His fame becomes bright among the people, and his own self becomes like a spotted cow.
5.16.3	The sacrificial fee is a pair of cows.
5.16.4	The Iṣṭi comes to an end with the Siddha (oblation).
5.16.5	One who is about to perform the Darśa-Pūrṇamāsa sacrifices, having mentally followed the four Hotṛ-priests, offers the Graha in the Āhavanīya.
5.16.6	One undertakes the Darśa and Pūrṇamāasa sacrifices.
5.16.7	The Pūrṇamāsī first.
5.16.8	For one who sets up the fire on the new moon day, this is the unmodified procedure.
5.16.9	But at the Pūrṇamasi, on the earlier Parvan, there is the Iṣṭi with Anvarambhaṇīya, immediately after the Sadyaspavrjiya.
5.16.10-16	He performs the Full-moon sacrifice on the next day. Now these are the observances of one who has established the sacred fires. He should not speak untruth. A brahmin should not stay in his house without being invited. He should honour a guest who arrives at sunset. He should eat neither in the evening nor in the morning without having offered the Agnihotra oblation.
5.16.17	He should not give anything other than food at night.
5.16.18	One who gives food at night should give it in the morning.
5.16.19	One should not eat food cooked with barley flour.
5.16.20	One should avoid using wet wood.
5.16.21	One should refrain from eating food that is kept inside a boat.
5.16.22	One should build a boat on one's own.
5.16.23	One should never offer silver or gold on a sacrificial grass.
5.16.24	He should approach his wife silently, making the sound "hīṃ".
5.17.1	We shall now explain the Punaḥādheya (re-installation of fire).
5.17.2	The procedure for the installation of fire has been explained.
5.17.3	We shall now discuss the modifications.
5.17.4	It is understood that one who does not perform the Agniādheya (installation of fire) performs the Punaḥādhēya (re-establishment of fire).
5.17.5	When the son of Jānyā was born, when the moon was eclipsed by Rāhu, then one should light the fire again, so say some.
5.17.6	One who desires offspring, one who desires cattle, one who desires food, one who desires stability should light the fire once again, so it is known.
5.17.7	Āśmarathya says that the time for the renewal of the vow does not expire as long as one lives. Ālekhaṇa says that it expires after a year.
5.17.8	One who is about to consign the fire to the fire-altar should offer an oblation of eight potsherds to Agni and an oblation of twelve potsherds to Vaiśvānara.
5.17.9	In front of him he offers this oblation to Svishtakrit: "O Agni, with that form of yours which is dear to the cattle, which is purifying, do thou enter the earth together with it, with the Rathantara Sāman, in the Gayatri metre, svāhā."
5.18.1	The body of thine, O Agni, which hath fallen into the waters, which is dear to thee, with that enter the atmosphere, with the Vāmadevya hymn, with the Tristubh metre. From that bestow on us food and strength, and increase the householder's rites. Svāhā. The body of thine which hath fallen into sun, which is dear and pure to thee, with it enter heaven, with the Brihat hymn, with the Jagat metre. From that restrain the rain. Svāhā! The forms of thine, O Indra, which were divided, which the Boar brought forth,
5.18.2	He deposits the burning fires on the full-moon day.
5.18.3	One says that the fire should be released for a year, another says that it should be released for an unlimited time.
5.19.1	Now these are the stars for the re-installation: Rohini, Punarvasu, Anurādha.
5.19.2	One should install in the rainy season or autumn.
5.19.3	It is known that the installation is at midday.
5.19.4	All of them should be placed at midday, says one. The Ahavaniya and the Sabhya and the Avasihya are the other two.
5.19.5	All of them are similar up to the placing of the Garhapatya.
5.19.6	One places the Garhapaty with all the serpents.
5.19.7	All of these are similar up to raising the Ahavaniya.
5.19.8	The sacrificial grass is made of Upolava grass, which is cut in the autumn and dried in the sun. Having kindled the fire on that kindling wood, he places the Ahavaniya fire.
5.19.9	He places the Anvähäryapacani fire with the verse, "What the angry one has cast away from you."
5.19.10	He places the Ahavani ya fire with the verse "What has been cast away from your mind."
5.19.11	He stands by each fire placed with the verse, "May the mind and light be pleased."
5.19.12	The silence is the same as in the Agnihotra.
5.19.13	One offers the Agnihotra silently, saying, "Seven are thy kindling woods, O Agni, seven thy tongues."
5.19.14	The silence is the same in the offering.
5.19.15	He offers a cake on eight potsherds to Agni.
5.19.16	This is his place for the eight potsherds.
5.19.17	There are fifteen kindling verses or seventeen.
5.19.18	At the beginning of the Anuyājas, they perform silently, except at the Sviṣṭakṛt.
5.19.19	Up to the Prayājas, it is common.
5.19.20	At the four Prayājas, he places four Vibhakti-s.
5.20.1	Agnagne, Agnāv agne, Agninā agne, Agnim agne.
5.20.2	One should offer the oblation above the Yajamaha. This is one view. The other view is that one should offer it before the invocation.
5.20.3	If one wishes to injure someone, one should offer the oblations above the Prayājas and before the Vasat-utterance.
5.20.4	The Prayāja is the best, because it is self-sufficient.
5.20.5	The two Ajyabhāgas are common.
5.20.6	The Agnivaan offering of clarified butter is offered with the verse, "We invoke Agni with praise."
5.20.7	The Pavamanvaan offering of Soma is offered with the words, "O Agni, you purify the life-giving (waters)."
5.20.8	He offers with the words, "May Agni, the purifier, enjoy this offering of clarified butter."
5.20.9	One who desires offspring or cattle should offer the Soma in the world of Agni with the words, "Agni is the head."
5.20.10	The two oblations and the two Svishtakrit offerings are the two verses beginning with "O Agni, today..."
5.20.11	One offers oblations around the cake with the verses "Again with energy and prosperity..."
5.20.12	The Dakshina is given at the same time as the Agni-installation.
5.20.13	One gives Dakshina for both the Agni-installation and the re-installation.
5.20.14	These are the Dakshina for the re-installation.
5.21.1	The chariot is again made, the garment is again woven, the bull is again let loose, the gold is again melted.
5.21.2	The Anuyājas are similar.
5.21.3	In the case of two Anuyājas, he places two Vibaktis, 'To the god Agni' and 'To the god Agnis'.
5.21.4	The Vibaktis have been explained.
5.21.5	The Anūyājā is self-sufficient.
5.21.6	The Iṣṭi comes to an end with success.
5.21.7	He offers the cake on eleven potsherds to Agni and Varuṇa.
5.21.8	This (cake) indeed occupies the place of the Agnisomiya (cake).
5.21.9	One who offers the cakes to all deities,
5.21.10	The Punaḥādheya comes to an end.
5.21.11	One who would kindle the fire after the Punaḥādheyā, should offer these oblations: Lakaḥ, Salakaḥ, Sulakaḥ.
5.21.12	They know the place of the oblations to Agni in the kindling woods.
5.21.13	If one who has ascended the kindling woods perishes, one should perform the installation again, says Aśmarathya. It is the installation of Agni, says Ālekhana.
5.21.14	If one knows that both have followed him, one should perform it again.
6.1.1	We shall explain the attending of the fire.
6.1.2	At the time of kindling, the wife and the sacrificer observe the vow until the offering.
6.1.3	When the oblation is being carried, the sacrificer follows it until the offering. 
6.1.4	Some say that one should stand when the oblation is carried.
6.1.5	One who is about to offer should touch water with the verse, "You are lightning, remove my sin. I approach truth from truth, with faith."
6.1.6	You are the rain. Bestow on me. I have come from truth to truth. In the waters, in faith. Having offered thus,
6.1.7	one who is about to perform all the sacrificial rites, having performed the rites, touches water.
6.1.8	Having not risen from the northern oblation, he stands by the Ahavaniya fire with the verses, "Those who are approaching the sacrifice" and the other six.
6.1.9	"May my lustre be in the contests." With these four verses, one should worship Agni in the waning fortnight.
6.1.10	Then in the waxing fortnight, having recited the verse "O Agni, you are the most excellent of all," and having worshipped with the remaining verses, one should finally worship with the verse "O mother of the sky, you have borne the lord."
6.1.11	In the year, he attends on the Garhapatya with the Agni Pavamānī verses.
6.1.12	He attends on the Ahavanīya with these six verses, "O Agni, do thou purify the life-breaths."
6.2.1	"O Agni, may I have life; may I have life for thee." Thus he addresses himself to Citravasu. In the evening he says, "May I have thy welfare in the end." In the morning he says, "O Arvavasu, may I have thy welfare at the end."
6.2.2	One addresses oneself to Citravasa three times and to Arvavasu three times.
6.2.3	He places the kindling-sticks on the Āhavaniya fire, saying, "O Agni, thou art the kindling-stick; protect me from the curse." The second, "Thou art the kindling stick of Soma; protect me from injury." The third, "Thou art kindling-stick of Yama; protect me from death." The fourth, "The kindlers have protected thee for a hundred winters." Having placed them, he stands up reciting the remainder of the Anuvāka, "Thou hast reached the lustre of the sun, O Agni.
6.2.4	The mouth is cleansed, O Soma, in thy rite. We have borne thy mind in our bodies and have become progeny-bearing.
6.2.5	He stands near the cowshed, reciting, "I see my progeny." He recites the last verse, "May they be many."
6.2.6	Some say that he stands between the fires and recites.
6.2.7	Having touched the calf with the formula, "O Agni, thou art the collection of all forms", he attends upon the Garhapatya with these six formulas, "O Agni come to us from heaven, from heaven, from the sky, from the sky."
6.3.1	He attends upon the cow-pen with the formula, “I see you with energy, may you see me with energy. May your wealth be established in me." With the last one.
6.3.2	Some say that he touches the calf.
6.3.3-6	He stands by the Ahavaniya with the verse, "This is the most excellent of Savitar." He concludes with the verse, "The breaker of the yoke, the breaker of the yoke." He stands by the Garhapatya with the verse "O Agni, the lord of the house." He concludes with "A hundred snows." He takes the name of the son. The rite for the son who is born and the rite for the son not born have been explained.
6.3.7	Then he says, "The divine thread is cut. May the human not cut it. May you not cut it from the divine abode. May you not from the human."
6.3.8	Having kindled the fires between them, he sits down with the words, "For the thread of light, for you."
6.3.9	In the same way, he attends in the evening with the Agni-upasthāna.
6.3.10	In the morning, with the Avam-neka. In the morning, with Pratah.
6.3.11	The two hands are placed on the head while being sprinkled. The verses of sprinkling are recited.
6.3.12	He stands by the Āhavaniya with the remaining verses.
6.3.13	One should recite four northern verses for the Agniṣṭoma and Viṣṭoma, and two Yājyā and Anuvākyā verses for the Āgneya.
6.3.14	Some prescribe the Agni-upasthāna with Vyāhṛtis.
6.4.1	Some say, “I am able to support.”
6.4.2	Some say, “I can support, may my faith not fail.”
6.4.3	Some say out of affection.
6.4.4	Some say that it is with the three-fold Mahitrī. May the three mighty ones be friendly. May the friendly one of Mitra, the Aryaman, the hard to assail one of Varuna, for they have no adversary in the battles, in the contests. The enemy does not rule over them. For they are the sons of Aditi, the givers of wealth, who bestow constantly. They give to the worshipper the good things.
6.4.5	Thus is the rite of approaching the fire when one is going away.
6.4.6	The Adhvaryu should perform those rites which are common to all.
6.4.7	The sacrificer should recite the mantras facing the direction (of the fire).
6.4.8	When going away, he says, "Prepare the fires."
6.4.9	He approaches the fire with the verses of Viraj and Bhasva, as in the case of the installation of fire.
6.4.10	He places the kindling-wood on the Ahavaniya with the verse, "May the first-born Jātavedas know my name."
6.4.11	Standing between the fires, he mutters, "May Mitra-Varuna protect these houses of mine, may they be protected by you, may Pūṣan guard them, may they be safe from harm, may they be restored to us when we return."
6.5.1	He goes forth with speech restrained, saying, "Do not let us go astray from the path, O Indra, from the sacrifice of the Soma-presser. Let not the evil spirits be within. Lead us to the higher regions. O Agni, lead us to the higher realms with ghee unoffered. With prosperity and many children."
6.5.2	He restrains speech near the fires and releases it far away.
6.5.3	One who is observing a vow goes away.
6.5.4	He stands facing the season.
6.5.5	If the fire is not present, he stands facing it, saying, "I am here, I am there, I am here, I stand facing you, O Agni, with breath, speech, and mind. Do not let my life be cut off. I stand facing you with the light of the all-pervading Agni."
6.5.6	Having made the kindling-sticks, he approaches the fires with the verse, "Those who bring the all-giving (fire) with an untroubled mind, O Agni, may your dwelling-place not be harmed. Salutations to you, O Agni, salutations to your dwelling-place. O Agni, shine forth your body. May I be united with prosperity."
6.5.7	He restrains speech near the fires and releases it far away.
6.5.8	He says, "Arrange the fires," when returning from a journey.
6.5.9	He worships Bhavasvat with the Viraj verses as in the Agni-adhyaya.
6.5.10	He recites the mantra, "May Mitra-Varuna protect my house."
6.6.1	"May Mitra-Varuṇa protect my house, may Pūṣan protect it for our return."
6.6.2	He puts three kindling-sticks on the Āhavaniya fire, saying, "Thou art the kindling-stick of Agni."
6.6.3	Having put them down, he stands up, saying, "My name and thine, O Jātavedas," with these four verses.
6.6.4	He offers the oblation on the Proṣṭhapada day, saying, "May the mind and light be pleased," with this verse.
6.6.5	One should not offer on the tenth day.
6.6.6	Now when one has stayed for nine and a half nights and then departs with his house, all the other carts are yoked together.
6.6.7	Then the one belonging to Agni is yoked on the right, the one belonging to Vāstoshpati on the left.
6.6.8	Then he offers to Vāstospati.
6.6.9	"O Vastospati, do thou know us well." Having recited this verse, he offers with the subsequent verse.
6.6.10	He does not offer what has not been offered.
6.6.11	Having sprinkled the ashes, he places the fires separately on the two fire-sticks, as many as are to be kept permanently, with the verse, "This is thy permanent abode."
6.6.12	Or else he says, "O Agni, come here with that body of thine which is fit for sacrifice." He thus places him in himself.
6.6.13	He who is going to strike, mutters, "Come down, O Jātavedas."
6.6.14	If the horse is not brought forward, they should bring it forward first. They should take it away.
6.6.15	If it is lost, they should not bring it back. It is known that they should not bring back.
6.7.1	We shall explain the Agnihotra.
6.7.2	The sacrificer instructs in the evening, "Lift up the Ahavaniya," and in the morning, "Lift up."
6.7.3	The Adhvaryu or the Brahmacarin or the Kshirahotra priest, taking the Upavesha, recites over the Garhapatya with the verse, "Thou art Dhriti, thou art Brahma, thou art the protector."
6.7.4	Then he awakens him, saying, "Wake up, O Agni, and be watchful. May the done and the undone be united. May the All-gods and the sacrificer be seated in this upper place."
6.7.5	Formerly, from the Garhapatya fire, which had been kindled by the union of the shadow, he draws out the blazing Ahavaniya fire, saying, "With thy voice I draw thee with the Hotr, with thy breath with the Udgâtri, with thy eye with the Adhvaryu, with thy mind with the Brahman, with thy ear with the Agnidh, with these five divine priests I draw thee."
6.7.6	When the sacrificial post is being raised, the sacrificer mutters: "Bhūr Bhuvah Suvar Om! Being raised, may it raise me from sin. Whatever I have done unknowingly or knowingly, whatever evil has been done by me, may I be freed from all that and released from it." In the evening, he recites: "Whatever evil has been done knowingly or unknowingly, may I be released from all that and freed from it." In morning.
