1.1.1	When one is about to offer a sacrifice with the New-Moon or Full-Moon oblation,
6.24.19	Then they turn back within the altar.
6.24.20	Then having placed a stick at a distance of a span in front of the hall, he sprinkles it, saying, "Obeisance to Viṣṇu, may you be purified."
6.24.21	Then he says, "Come, O sacrificer."
6.24.22	Having entered the hall by the eastern door, having melted clarified butter over the Garhapatya fire, having purified it, having taken four spoonfuls in the ladle, he offers to Savitr at the mouth of the hall, when the sacrificer has begun, with the verse, "They yoke the mind and they yoke the thoughts, the seers, the wise ones, of the great sage. He has placed himself in the office of Hotr, knowing the union. He is the one who knows the great praise of the god Savitr. Svāhā!"
6.24.23	Having taken up another four spoonfuls, he asks for the vessel of clarified butter with the ladle, the wooden sword, the water-pot, the sacrificial grass and gold.
6.24.24	Having taken this, he says, "Come, O sacrificer!"
6.24.25	The sacrificer and his wife, having taken the third step, go out by the eastern door, approach the southern axle of the southern Havirdhāna, throw the grass with the wooden sword on the southern axle, place the gold, spread it around, and offer with the formula, "This Viṣṇu strode thrice, he placed his foot in three places. His foot is spread over the dust. Svāhā."
6.24.26	Then he pours the half of these grains of barley into the water for the wives.
6.24.27	Then he pours them with the dripping (water).
6.24.28	She touches the right axle-pin with her hand stretched out towards the east, saying, "May a hero be born to us, the most capable, whom all of us may follow, who shall be the lord of many."
6.24.29	Taking another four spoonfuls, he moves towards the northern Havirdhāna, and having placed the gold on the northern axle, having sprinkled it with the wooden sword, having spread it around, he offers with the verse, "May the cow, the giver of food, the giver of wealth, the giver of fame, the giver of good fortune, the giver of progeny, the giver of heaven, the giver of all, the giver of everything, the giver of the world, the giver of life, the giver of strength, the giver of beauty, the giver of happiness, the giver of peace, the giver of prosperity, the giver of abundance, the giver of milk, the giver of butter, the giver of honey, the giver of grain, the giver of water, the giver of earth, the giver of fire, the giver of wind, the giver of space, the giver of light, the giver of darkness, the giver of time, the giver of truth, the giver of falsehood, the giver of knowledge, the giver of ignorance, the giver of virtue, the giver of vice, the giver of pleasure, the giver of pain, the giver of joy, the giver of sorrow, the giver of love, the giver of hatred, the giver of friendship, the giver of enmity, the giver of affection, the giver of anger, the giver of fear, the giver of courage, the giver of hope, the giver of despair, the giver of faith, the giver of doubt, the giver of devotion, the giver of non-devotion, the giver of worship, the giver of disrespect, the giver of praise, the giver of blame, the giver of success, the giver of failure, the giver of victory, the giver of defeat, the giver of birth, the giver of death, the giver of existence, the giver of absence, the giver of creation, the giver of destruction, the giver of union, the giver of
6.24.30	Here he pours down the ashes of these (sacrificial) substances in the water of the wife.
6.24.31	Then he pours them down with the Saṃsrava (oblation).
6.24.32	She puts the axle of the wheel on the right side with the right hand stretched out.
6.24.33	The anointing is common.
6.24.34	Then the Pratiprasthātṛ hands over these implements.
6.24.35	They lead the wife, call the Hotr.
6.24.36	Then, having taken hold of it, he says to the Praiṣa-reciter:
6.25.1	"Recite while the Havirdhāna carts are being turned around."
6.25.2	When it is recited three times, they turn around, saying, "Turning towards the east, we establish the sacrifice. Lead the sacrifice upwards, do not be sluggish."
6.25.3	If the dice are cast, he mutters, "O god, the dice have spoken well."
6.25.4	Then the Adhvaryu and the Pratiprasthātṛ approach the two Anjasas.
6.25.5	Having gone around along the north of the Havirdhāna, having gone beyond the eastern ones, having gone beyond from the middle of the northern altar, having moved towards the east, they take three steps towards the west.
6.25.6	May you delight in the delight of these two, who are in the sky, and are sporting on the neck. O Varṣman, may you delight in the earth.
6.25.7	Then the Adhvaryu strikes the southern door-post of the Havirdhāna with the verse beginning with "O Vishnu, whether in heaven or on earth" (Taitt. Sam. 1. 1.1).
6.25.8	Then he binds it with the Spandyā, well-fastened, reciting the verse, "Which of the powers of Vishnu shall I praise?"
6.25.9	In the same way, the Pratiprasthātṛ binds the Methi on the northern side of the northern Havirdhāna cart.
6.25.10	Then he binds it with Spandyā, also well-fastened. With the same verse.
6.25.11	Then the Adhvaryu, having measured a span towards the east from the corner of the southern Havirdhāna, places it on the ground and digs a pit.
6.25.12	Then, having measured a hand towards the east from near the southern yoke, places it on ground and digs a hole.
6.25.13	Both of them dig another hole towards the north.
6.25.14	In the same way, the Adhvaryu digs three pits towards the north.
6.25.15	In the same way, towards the south.
6.25.16	In them are erected the posts with their ears towards the east.
6.25.17	On them are fixed two bamboos.
6.25.18	He places the Rarați in front, saying, "Thou art the Rarați of Visnu."
6.25.19	He places the middle covering-board, saying, "This is the back of Visnu."
6.25.20	"O Vishnu, you are the protector." Those who are on both sides.
6.25.21	They spread on the right and left sides.
6.25.22	They make the eastern and western doors.
6.25.23	Then, holding a handful of Kusha grass at the right door frame, he recites, "O Vishnu, your needle is here."
6.25.24	"He makes the knot, saying, 'Thou art firm for Vishnu.'
6.25.25	Immediately after that he loosens it, saying, 'Those who make knots without skill, they stand still.'
6.25.26	In the same way the other door-posts.
6.25.27	In the same manner the other door-frames stand still.
6.25.28	Then he touches it, saying, ‘Thou art for Vishnu, for Vishnu thee.’
6.25.29	Then the Adhvaryu, having turned by the right, having hastened towards the west, having touched the tip of the sacrificial grass at the door of the hall, and having taken six steps towards the east, he takes seven steps towards the south.
6.25.30	He places the wooden sword there.
6.25.31	This is the time for the Udumbara (wood).
6.25.32	From the time of the Udumbara, he takes the wooden sword.
6.26.1	"I take thee in the impulse of the divine Savitr, with the arms of the Asvins, with the hands of Pusan."
6.26.2	Having taken it, he recites: "Thou art a ladle, thou art a woman."
6.26.3	He draws a line around the pit with the Udumbara twig, saying, "The Rakshas is encircled, the evil spirits are encircled. I cut off the neck of the Rakshas who hates us and whom we hate."
6.26.4	Then he says to the Udgātṛ, "Come, O Udgātṛ! Dig this pit for the Udumbara post, and remove the dung."
6.26.5	He digs it himself or makes someone else dig it.
6.26.6	He measures the Sadas (the hall) from that (pit).
6.26.7	The front side is three times the height of a man.
6.26.8	The side towards the east is three times the width of a man.
6.26.9	Or else, as in the case of two parts to the north of the line and one to the south.
6.26.10	He digs out the pits for the three rows.
6.26.11	Having run towards the east, he measures the distance of the eastern axle of the southern Havirdhāna cart from the eastern axle of its northern counterpart, and makes the holes for the axles, with their mouths towards the east and their bottoms towards the west, of the size of a span.
6.26.12	Then he says to the Unnetr, "Come, dig these pits, of the size of a span, with the mouth towards the east, with the feet inside the span, of the size upto the elbow, not breaking the ground above and below, and filled with grass."
6.26.13	He digs them or causes them to be dug.
6.26.14	Then he scatters the soil of these pits in front of the southern Havirdhāna pillar.
6.26.15	He makes it square.
6.26.16	Then he makes it into a receptacle for water with sand.
6.26.17	Then he takes the upper part of the mortar from the time of the Kalā. "He takes it with the formula, "I take thee in the impulse of god Savitr, with the arms of the Asvins, with the hands of Pūshan."
6.26.18	Taking it, he recites over it, "Thou art the mortar, thou art the woman.
6.26.19	With that he draws the line around the sacrificial post, so that half of it is within the altar and half outside. "The Rakshas are drawn around, the evil ones are drawn around. I cut off the neck of the Rakshas, he who hates us and whom we hate. I cut off his neck."
6.26.20	Then he says to the Agnidhra, "Come, O Agnidhra, dig this pit for the sacrificial post, four fingers above the ground, and dig it so that the soil may be thrown out towards the east."
6.26.21	He digs it himself or makes someone else dig it.
6.26.22	The Adhvaryu performs the rite as long as he does. The Pratiprasthātṛ makes the Udumbara post touch the sacrificer with the formula, "The uninterrupted wealth is well-guarded."
6.26.23	Then the Adhvaryu, having turned by the right, having hastened towards the west, asks for the barley-sprout-sprinkled water, the sacrificial grass, the ladle, the vessel of clarified butter with the spoon, the staff of Maitrāvaruṇa, gold, and the water-pot.
6.26.24	Having taken these, he says, "Come, O sacrificer."
6.26.25	The Udumbara post, having been washed and brought, lies down towards the east, near the hole.
6.26.26	He sprinkles it beyond and towards the east.
6.27.1	"For heaven thee, for atmosphere thee, for earth thee."
6.27.2	He pours water into the pit with the verse, "May the world be purified, the abode of the Pitrs."
6.27.3	He scatters barley with the verse, “Thou art barley; may barley remove our enemies, may barley remove our adversaries.”
6.27.4	Having placed the grass across the hand, he spreads it with the verse, "Thou art the abode of the Fathers.
6.27.5	Then, having concealed the gold, he offers it with a ladleful, saying, "Svāhā to the Fathers."
6.27.6	Then he raises it, saying, "Stand up to heaven, fill the atmosphere, and hold the earth."
6.27.7	Then he lays it down with the ears towards the east, saying, "May the Maruts, the sky-goers, lay thee down on the firm law of Mitra-Varuna.
6.27.8	Then he encloses it with dung, reciting, "I enclose thee for the sake of Brahman, for the sake of Ksatra, for the sake progeny, for the sake prosperity."
6.27.9	With the Maitrāvaruṇa staff he strikes, reciting, "Firm up Brahman, firm up Ksatra, firm up progeny, firm up prosperity."
6.27.10	Having placed the pot of water in a place that is neither too low nor too high, and having brought it near,
6.27.11	Then, having placed gold in it, he offers with the ladle, reciting, "O heaven and earth, fill yourselves with ghee. Svāhā!"
6.27.12	He pours it down to the bottom.
6.27.13	He anoints the sacrificer with the bottom itself. So says the Brāhmaṇa.
6.27.14	Then he announces it to the Udgātṛs.
6.27.15	They perform on it what they know.
6.27.16	The poles are erected with the top towards the east.
6.27.17	They put in the bamboos towards the south.
6.27.18	They cover the middle roof, saying, "Thou art the hall of Indra."
6.27.19	The two on either side are called the shade of the people.
6.27.20	One who desires brilliance should cover with nine roofs.
6.27.21	All have three each.
6.27.22	He makes the southern ones the northern ones.
6.27.23	He makes the southern ones southern ones and the northern ones northern ones.
6.27.24	They are made to be inside by turning away.
6.27.25	He places the grass-blades at the joints.
6.27.26	They are inside.
6.27.27	Then they spread it around, with the verse, "May these songs of the giver be around thee; may the praises be around thee, the old, may the loved ones be around thee, those that are loved."
6.27.28	They spread it around on the right and left sides.
6.27.29	They make the eastern and western doors.
6.27.30	Then, holding the grass in his right hand, he makes the grass-cutter cut. "He says, "You are the thread of Indra."
6.27.31	He makes the knot, saying, "You are Indra's firm one."
6.27.32	Then, immediately after loosening it, he says, "Those who make knots without skill, let them stand!"
6.27.33	In the same way, the left door-post."
6.27.34	Thus the other two door-posts are placed.
6.27.35	Then he touches it with the formula, "Thou art Indra, for Indra thee."
6.27.36	Then from the northern end of the altar, he measures eighteen steps towards the west, at the end of the altar.
6.27.37	He measures out the shed of the Agnidhra in such a way that half of it would be within the altar and half outside.
6.27.38	Then having collected it, they pile it up.
6.27.39	They make the southern door of it.
6.27.40	The side of the Āgnīdhra house is five cubits.
6.27.41	This explains the Mārgālīya.
6.27.42	They make its northern door.
6.28.1	Now, standing here, he asks for the wooden sword, the barley grains, the sprinkling water, the sacrificial grass, the ladle, the vessel of clarified butter with the strainer, the strainer, the skin, the strainer-board, the six potsherds, the stone for pressing, the gold, the water-pot.
6.28.2	Taking all this, he goes (to the sacrificial place) saying, "O sacrificer, come!"
6.28.3	Having taken the oblation-holder through the eastern door, he spreads the skin on the seat of the southern oblation-holder.
6.28.4	The other (oblation-holders) are placed in front of it.
6.28.5	Then at the time of the upper-most (oblation-holder), he takes the wooden sword with the formula, "I take thee in the impulse of god Savitr, with the arms of Asvins, with the hands of Pusan."
6.28.6	Taking them, he recites: "You are the ladle, you are the woman."
6.28.7	He draws a line above them, first drawing the southern one. "Rakshas is drawn, the enemies are drawn. I cut off the neck of the Rakshas who hates us and whom we hate. I cut off his neck." He cuts off all of them in order.
6.28.8	He digs (the pit) with the formula, "I dig out the Rakshas, the Valaghanas, the Vaishvanaras." He digs them all in due order.
6.28.9	Then he removes the earth from them with the formula, “I remove this Vala which is common to us and which is not common. I make it lower down. It is the one which is common to and which is not-common to us and which causes harm. With the Gayatri metre."
6.28.10	He scatters the dust from the feet of the sacrificer towards the south of the eastern ones with the formula, "O Vala, thou art removed."
6.28.11	From the southern ones of the western ones with the formula "For the Tristubh metre."
6.28.12	From the northern ones of the western with the formula, “For the Jagati metre.”
6.28.13	From the northern of the eastern ones, with the formula, "For the Anushtubh metre."
6.28.14	Here he scatters the dust of the feet in the non-moving direction.
6.28.15	Here, the sacrificer mentally thinks of the one whom he hates.
6.28.16	Then having touched water, the Adhvaryu and the sacrificer rub them. The Adhvaryu rubs the southern one and the sacrificer the northern one.
6.28.17	Then the sacrificer asks, "O Adhvaryu, what is here?"
6.28.18	"Good."
6.28.19	"That is ours together."
6.28.20	Then the Adhvaryu asks the sacrificer, "What is here?"
6.28.21	"Good," he says.
6.28.22	"That we together."
6.28.23	The Adhvaryu abandons the one whom the sacrificer has abandoned.
6.28.24	The Adhvaryu abandons the one on the right side, the sacrificer the one on the left side.
6.28.25	The Adhvaryu asks here.
6.28.26	Then the sacrificer.
6.28.27	The Adhvaryu recites the formula over the two northern ones, the sacrificer over the two southern ones.
6.28.28	The sacrificer asks here.
6.28.29	Then the Adhvaryu.
6.28.30	The Adhvaryu first recites the formula on the two northern ones and the sacrificer on the two southern ones,
6.28.31	The Adhvaryu asks here.
6.28.32	The sacrificers asks.
6.28.33	The sacrificier first asks and the sacrificer last.
6.28.34	Then he touches them with the formula, "Thou art Viraj, the slayer of foes; thou art Samraj, the slayer of enemies; thou art Svaraj, the slayer of adversaries; thou art Visvaraj, the slayer, of all the demons." Thus successively all.
6.28.35	Then he sprinkles them with water with the formula, “I sprinkle the Vaisnavas, the destroyers of Rakshas and Valagas.” Thus successively all.
6.28.36	Then he pours water on them with the formula, "I pour down the waters, destroying the Rakshas, destroying the Vala. They are of Visnu." On all of them in due order.
6.28.37	Then he scatters barley on them with the verse, "Thou art barley. Thou hast made our enemies and foes to be barley." On all ofthem in due order.
6.28.38	Then he strews them on the sacrificial grass, saying, "I strew the Rakṣas-destroying, the Vala-destroying, for Vishnu." All in due order.
6.28.39	Then, having placed gold among them, he offers them with a spoon-offering, saying, "For Vishnu I offer the Rakṣas destroying, the Vala destroying, Svāhā." All in due sequence.
6.28.40	Then these two are placed on the long Soma-tray, which is not yet placed (on the altar), and which is for one day.
6.28.41	He places them touching each other, with the formulas, "I place the Rakṣa-destroying, the Vala-destroying, belonging to Visnu."
6.28.42	Then he encloses them with two stakes in front, two behind, and two on either side, to prevent their moving.
6.28.43	Then he covers them with dung, reciting, "I cover the two (stones) that destroy the Rakshas and the Valgas, the two that belong to Vishnu."
6.28.44	Then he strews them with grass, reciting, "The two that destroy the Raksha and the Valgas I strew, the two that are Vishnu's."
6.28.45	Then he touches them, reciting, "Those that destroy the Rakasha and the Valgas are Vishnu's.
6.28.46	Then he spreads the skin with the neck towards the east and the hairy side upwards, saying, "May the sacrifice be established," or silently.
6.28.47	He cleanses the stones on the skin.
6.29.1	"Thou art great, the great stone; speak the great speech to Indra."
6.29.2	He spreads the skin on the nest.
6.29.3	He puts the stone in the stones.
6.29.4	Then he places a bundle of sacrificial grass in front of the southern Havirdhāna cart with the verse, "For the Stotras."
6.29.5	Then he asks for a wooden sword, a pot of water, sand from the Ātvala, and gravel.
6.29.6	Taking these, he says, "Come, O sacrificer!"
6.29.7	Having run to the Āgnīdhra (shed), having taken out the soil with the wooden sword, and having sprinkled it, he puts down the soil and sand in the Cātvāla saying, "Thou art Vibhu, thou art Pravahana, protect me with Rudra's army. O Agni, do thou nourish me, do thou not injure me."
6.29.8	He makes the Dhishniya mound circular.
6.29.9	Then he makes it smooth with sand.
6.29.10	Then he pours down the Dhishnya-grasses in the inner chamber, beginning with the Hotri's, with the formula, "Thou art the first fire, the bearer of oblations."
6.29.11	"Thou art the dog, the wise one," to the right of the Maitrāvaruṇa.
6.29.12	"Thou art Tutha, the knower of all," to the left of the Brāhmaṇācchaṃsin.
6.29.13	"Thou are the Ushaj, the wise one" to the left of Potri.
6.29.14	"Thou Art Anghari, the bearer of Bambha," to the left ofthe Nestr.
6.29.15	"Thou art Avayu, the giver of wealth," on the north side of the Acchavaka.
6.29.16	Then on the southern end of the altar he places the Marjalin mound, saying, "Thou art the purifier, the Marjalin."
6.29.17	He places it in all (the mounds), following the Rudra (mound).
6.29.18	He places it at the end of the Agnidhra mound, for the purpose of being near water.
6.29.19	He places it, saying, "He obtained eight."
6.29.20	Then he offers eight oblations in the intermediate directions.
6.29.21	"He stands by the Ahavaniya with the formula, "Thou art the lord, the shining one."
6.29.22	"He stands near the Asravaṇa with the formula, "Thou art the Parisadi, the Pavamana."
6.29.23	"He goes to the Cātvāla with the formula, “Thou art the Pratakva, the shining one.”
6.29.24	"He stands at the place of offering of animal-sacrifice with the formula, "Thou art the unoffered, the eater of oblations."
6.29.25	Then, standing at the door of the assembly hall, he worships the Udumbara tree with the verse, "You are the abode of truth, the abode of light."
6.29.26	"You are the abode, the abode of Brahman."
6.29.27	Then, standing here itself, he worships Garhapatya with the verse, "You are the goat, the one-footed one."
6.29.28	"You are a serpent, the one to be worshipped."
6.30.1	Then, standing here only, he gives the directions: "Spread the sacrificial grass, give the vow, call the ones who have not yet taken the vow, spread the many-layered seat, spread the many layers at the sacrificial post and the sacrificial grass, O Upholder, place the Vāyavya offerings in the Dronakalaśa and the Dasāpāvitra, place them in the Patnīśāla, O Agnīd, place the clarified butter, O Pratiprasthātṛ, cleanse the ladles and bring the curds for the Pṛṣadājya."
6.30.2	They do as they are told.
6.30.3	Then at the end of the southern altar, he strews a handful of grass, saying, "O divine grass, I strew you with wool and flax, for the welfare of the gods."
6.30.4	They go forward, strewing the grass in abundance.
6.30.5	Then having taken the clarified butter and the oblations for the inner hall, and having given them to the attendants, the Brahman gives the king to the Brahman.
6.30.6	The Brahman, having taken it, stands to the north.
6.30.7	Standing towards the north, he makes the Agni move forward with the verse, "O Agni, standing up, do thou rise up to me, in union with all the divine and sacrificial deities. Do thou place the sacrificer in the heaven world. Do thou not be absent at the time of the offering which we are about to make."
6.30.8	Then he places the kindling wood.
6.30.9	They prepare the Upopayamanis from the Catvāla.
6.30.10	Having taken up the oblations in the ladle, he offers the oblations at the door of the house with the formulas, "O Soma, you are the protector from the enemies created by others. You are the protector from those created by others. Svāhā."
6.30.11	With the ladle he pours out the melted butter, saying, "May the one who is eager to enjoy the butter enjoy it, svāhā."
6.30.12	Taking another four spoonfuls, he gives the instruction, "Recite the Agni-Soma verses as they are being carried forward."
6.30.13	They take up when the verses have been recited three times.
6.30.14	They proceed under the control of the Hotṛ.
6.30.15	Now indeed it is said,
6.30.16	They carry the Agni-fire in front, and bring in the wife. The Anvāsas (priests) proceed in succession.
6.30.17	Whatever weapon there is here, they first use it to approach the fire.
6.30.18	Then they proceed with Agni at the head, with the Agnis, with the Ajyas, with the Anvagnas, with the Vāyavyas,
6.30.19	The former (Agni) goes out by the door. May this Agni be our protector. May this one go forth, breaking the foes. May this one conquer the enemies, rejoicing. May this one win the prize, for the sake of winning the prize.
6.30.20	Having gone around the Sadas from the north, having placed the fire in the Agnidhra house, he offers at the Agnidhra place with the Naya-verse, "O Agni, lead us on the good path, O god, knowing all the ways, do thou unite us with the most extensive oblation. We offer unto thee the most extensive praise, svāhā."
6.30.21	Here only they place the Grava-vessel in the north and then proceed. With the king and the clarified butter.
6.30.22	He offers a spoonful on the Ahavaniya with the verse, "O Vishnu, do thou extend thyself far, do thou extend for our prosperity. Drink the ghee, O ghee-born one, do thou go to the lord of sacrifice. Svāhā."
6.31.1	Then he rises with the Prokṣaṇī water.
6.31.2	He sprinkles the kindling wood.
6.31.3	He sprinkles on the altar.
6.31.4	He sprinkles the sacrificial grass.
6.31.5	Having sprinkled the sacrificial grass near the fire, having brought it near, he takes up the wooden sword with the end of the sacrificial grass in front.
6.31.6	Having spread the sacrificial grass in five layers, having taken the wooden sword in hand, having approached towards the east, he places the enclosing sticks made of wood of the Caru tree.
6.31.7	He places the two kindling woods upright.
6.31.8	He places down the sacrificial grass of the Aksha tree in a slanting position.
6.31.9	Having held the ladle, the Prāstara.
6.31.10	On the Prāstāra, the Juhu.
6.31.11	The Barhis is superior.
6.31.12	Having touched them with the formula, "They have sat down," and having touched water, he takes the king of Brahmans and leads him to the Havirdhana through the eastern door with the verse, "Soma, the knower of the path, has reached the place of the gods, the seat of truth."
6.31.13	Then he spreads the black antelope skin on the southern Havirdhāna cart, with the formula, "Thou art the seat of Aditi."
6.31.14	"Thou sittest on the seat of Aditis" - on the black antelope skin, the king.
6.31.15	Then he hands him over to the deities with the formula, "This Soma belongs to you, O divine Savitr. Protect him, lest he should be harmed by you.
6.31.16	"He stands up with the tradition, 'Thou, O Soma, hast approached the gods; I, a man, have approached men, with offspring, with prosperity.'
6.31.17	He makes the salutation towards the east with the formula, 'Salutations to the gods.'
6.31.18	He makes a downward movement towards the south with the formula, ‘Svāhā to the Pitrs.’
6.31.19	Then he comes out with the formula, “I am released from Varuna’s noose.”
6.31.20	Then he attends upon the Ahavaniya with the verse, "I seek to reach the heaven, the fire of all beings, the light."
6.31.21	Then he dismisses the sacrificer to the intermediate consecration: "O Agni, lord of vows, you are the lord of vows. Whatever form of mine was in you, that is here in me. Whatever form of yours was in me, that is there in you. As befits us, O lord of vows, the vows of us who are vow-holders."
6.31.22	Then he instructs him: "Release the girdle, loosen the knots, hand over the staff to the Maitrāvaruṇa, give the staff to the sacrificer." Let them call your name. May Subrahmaṇya call you in the Subrahmaṇyā rite.
6.31.23	He does all this in the same way.
6.31.24	Then having offered the oblation to the sacrificial post, he makes the sacrificial post with a Yajus formula.
6.31.25	He makes the sacrificial post hole with a Yajur formula.
6.31.26	This is the extent of the sacrificial post hole.
6.32.1	Then having covered the sacrificial post, one raises the sacrificial post.
6.32.2	Having released the sacrificial post reaching the heaven, one prepares the animal for Agni-Soma.
6.32.3	Having performed the Vapa rite, having thrown the Vapaśrapaṇī, having gone out, they cleanse themselves in the Cātvāla.
6.32.4	Then he asks for the pot which has been broken.
6.32.5	Taking it, he goes out between the Cātvāļa and the mound, facing north, to the place where there is water.
6.32.6	He does not go beyond the limit of the flowing water.
6.32.7	He takes it from the moving water, not from the standing water.
6.32.8	Standing facing the east, he takes it.
6.32.9	At the junction of shade and sunlight, he takes it, saying, "These waters are full of oblations, the god is full of oblations. The sacrifice is full of obulations. May the sun be full of oblations."
6.32.10	Then having taken them, having gone round by the right, having placed them on the left shoulder, having returned by the same way, having gone round the Āgnīdhriya mound by the north, having gone round (the mound) by the north, and having entered the shed by the eastern door, having placed them near the Garhapatya, having touched the Upa-sada-vedi, he places them with the formulas, "I place you in the seat of Agni, the house-holder, for good will, for good will. May you be good-willed towards me."
6.32.11	Then he offers the Pasupurodāsa oblation.
6.32.12	The Pasupurodāsā oblation is concluded with the Iḍāntas.
6.32.13	The animal sacrifice is concluded with the Patnīsaṃyājas.
6.32.14	Some say that it is concluded with the Hṛdayaśūlas.
6.33.1	Then, while about to remove the Vasatīvarī waters, he says, "Move away, do not come in my way."
6.33.2	The sacrificer sits down at the sacrificer's place.
6.33.3	The wife sits behind the Garhapatya.
6.33.4	Then having taken them, having taken them out by the southern door, having placed them on the left shoulder, having gone around the Sadas by the right, having taken the Marjalyana Dhishniya by the right, and having placed them touching the southern sacrificial post, he says, "You are the share of Indra and Agni."
6.33.5	Then having taken them, having turned towards the north, having placed them on the right shoulder, having returned by the same route by which he had gone, having touched the sacrificial post at the southern end of the Upavasatha altar, he places them with the formula, "You are the share of Mitra-Varuna."
6.33.6	Then having taken them, having taken them out through the eastern door, having placed them on the southern shoulder, having gone around the Sadas along the north, having taken them around the Agni-dheya mound along the north, he places them touching the northern sacrificial post with the formula, "Thou art the share of all gods."
6.33.7	Then having taken them, having gone round by the right, having placed them on the left shoulder, having returned by the same way, having touched the Agnidhra-throne with the back, he places them with the verse, "At the sacrifice, at the vigil".
6.34.1	Then they prepare the milk-products for the Visas, the Soma-drains, for the Adhvaryu, curds for the Dadhigra, for the sacrificer, for the Amikṣa, for the wife, for the Ashira, milk and barley-meal, for the Shratāṅgya, curds for Aditya-graha, cakes for the Purorasa, for the Dhānas, for the Hāriyojana, four vessels, three Udanas, one vessel, three Avamānas, eleven Paramas, four Rasanas, four Vapa-strainer, two kinds of sacrificial grass and wood, and the great Pari-dhis of Udumbara wood. The Subrahmanya should call out to the Subrahmanya.
6.34.2-9	They do as they are told. Then he brings in the water-pots. The Ādhavanīya pot is placed on the northern Havirdhāna mound. The Pūtabhṛt pot is placed on a cart. They have a common water-pot. The Agnīdhra has one water-pot. The Mārgālīya has one water- pot. The Agnidhra spends the night with the sacrificer.
6.34.10	The king is protected in the Havirdhana hall.
7.1.1	Now, then, they become aware of the great night.
7.1.2	The priests instruct the Adhvaryu, the Hotṛ, the Brahman, the Udgātṛ, the Pratiprasthātṛ, the Prastôtṛ, the Praśâstṛ, the Brāhmaṇācchaṃsin, the Acchavâka, the Neṣṭṛ, the Prâstôtṛ, those who are members of the assembly, the Unnetṛ, the Agnidh, the Gravastut, the Subrahmaṇya, the Pratihârin, and those who are other assistants.
7.1.3	Having washed their hands and feet, they approach the sacrificer in the Agnidhra chamber.
7.1.4	Then the Adhvaryu touches his hands, saying, "May I be able to perform the rite for you, O gods."
7.1.5	Then standing here only, he says to the Hotṛ, "Do thou place the drops of Soma in the Vāyavya vessel, having poured them into the ten-fold strainer. The Agnīdhra should place clarified butter in front of the southern Havirdhāna vessel. The Pratiprasthātṛ should cleanse the spoons and bring curds for the Pṛṣadājya."
7.1.6	They perform as they are directed.
7.1.7	Then the Adhvaryu touches the Agnidhra with the Agniyesti verse, "Agni is the head of heaven."
7.1.8	With the Vaishnavati verse, the Havirdhana, "O Vishnu, you are our last refuge."
7.1.9	With the Agniyesti, the ladles, "This Agni is a thousandfold."
7.1.10	With the Vayuvatti, the Vayu offerings, "O Vayu, a hundred of your steeds."
7.1.11	"The Indras have increased the world by the Indra-way."
7.1.12	Then, having taken up the clarified butter with the sacrificial grass, he rises up with the sprinkling water.
7.1.13	He sprinkles the wood.
7.1.14	He sprinkles on the altar.
7.1.15	He sprinkles upon the sacrificial grass.
7.1.16	Having sprinkled the sacrificial grass near the altar, and having brought it near, he takes up the Prastara in front.
7.1.17-20	Having spread the sacrificial grass in one way, with the Prāstara in his hand, he approaches the east and places the big Uḍumbara cups in a circle, with the constant placing of the cups. Then he yokes them with the yoke. "He yokes thee with the earth and light," (saying) to the middle one. "I yoke thee with the wind and the sky," (saying) to the southern one.
7.1.21	I unite speech with the sun, that is the northern one.
7.1.22	Then he touches the ladles with the formula, "I unite the three separate parts of the sun, that are."
7.1.23	Then having touched water, he says, "Come, O sacrificer."
7.1.24	Having entered the Havirdhāna shed by the eastern door, he spreads the skin with the neck towards the east and the hairy side upwards, saying, "The sacrifice stands firm" or silently.
7.1.25	Having placed the Gravas in front of him, he brings the king to the middle of the southern Havirdhana chamber, saying, "To the heart thee, to the mind thee, O Soma, king, come down" with two verses.
7.1.26	Then he announces him to the Udgātṛs.
7.1.27	They perform there whatever they know.
7.1.28	Then having touched water, he says, "Come, O sacrificer."
7.1.29	Having run to the Āgnīdhra (shed), having taken four spoonfuls in the spoon, having mentally followed the Pañcahotṛ, he offers in the Āgnīdhrā shed, when the sacrificer has begun, with "Svāhā."
7.1.30	Having taken another four spoonfuls, he offers in Āgnīdhara, when the Āsaniya has begun, with, "Protect me from any curse, Svāhā."
7.1.31	Then he places a piece of wood smeared with ghee on the Ahavaniya silently.
7.1.32	Then standing here only, he gives the instructions:
7.2.1	"O Hotṛ, recite the Prātaryāva prayers to the gods. O Brahman, restrain speech. O Subrahmaṇya, invite the Subrahmaṇyā. O Agnīdh, pour out the Savanīya oblations. O Pratiprasthātṛ, yoke the vessels on the Khara."
7.2.2-7	They do as they are told. The Hotṛ recites the Prātaranuvāka as he is directed. The Brahman releases speech. The Subrahmaṇya calls out to the Subrahmaṇyā. When she is called, the Brahman releases speech. The Agnīdhra pours out the eleven Indrāṇī vessels.
7.2.8	He offers the oblation of rice.
7.2.9	They take up barley.
7.2.10	Then the Pratiprasthātṛ yokes the vessels on the cart.
7.2.11	He places the Upāṃśu-cup in the eastern half of the cart with its mouth towards the south, the Upāṃshu-vessel towards the south and the Antaryāma-vessel towards the north, touching each other.
7.2.12	If it is for one who is not touched, he places them touching each other.
