1.1.1	Now, therefore, the authority.
5.3.6	And the pair of rams.
5.3.7	One should wash the wool of the sheep and mix it with them.
5.3.8	Or kusha wool in the absence of that.
5.3.9	He makes a Vedi in front of the Ahavaniya fire.
5.3.10	The space between is a cubit.
5.3.11	Or a span.
5.3.12	The northern one is the size of a chariot.
5.3.13	Or four cubits in length, seven in width, and six in breadth, or three in breadth.
5.3.14	In the middle of them is a peg.
5.3.15	Or unlimited.
5.3.16	He makes it with a spade up to touching.
5.3.17	There is one mound for both.
5.3.18	The Prastôttr's path is towards the Veda from the other side.
5.3.19	He pours down the northern Veda on the northern side.
5.3.20-26	Having taken the wooden sword, he measures the sacrificial ground, leaving the heap of grass on the east. He places the wooden sword towards the north. Towards the east. Towards the south, towards the east. And towards the north. He draws the line within with the wooden sword, saying, "For the one who is heated." He strikes the sacrificial ground with the wooden sword saying, "May Agni know," when the wooden sword is engaged.
5.3.27	Agni Angiras, thus he carries the ashes with his hand.
5.3.28	He puts down the ashes in the eastern half along with the peg, saying, "He who is here."
5.3.29	The Agnid carries the ashes silently along with the ashes of the sacrificial grass.
5.3.30	Thus twice, the second and the third time.
5.3.31	The difference is that he says, "The second and the third."
5.3.32	Having brought the fourth (portion) according to the truth, saying, "After you," he arranges the northern altar, which is the size of a palm.
5.4.2	Having taken the Soma in five portions in the morning, he offers it to the fires with the two Dhruva verses, having placed them on the Upayamas.
5.4.3	All this is to be divided, because of its naturalness.
5.4.4	The offering is to be done from Soma, because of its being mentioned.
5.4.5	Or because of its being natural.
5.4.6	The taking is for the sake of qualities, because of the placement of the Veda and Agni in the north.
5.4.7	Having taken up the ladle for pouring clarified butter, he says (to the Hotr) "Do you recite the formula to the two fires being carried forward." "Do you follow with the single-spoon."
5.4.8	The carrying forward is done three times as per the Vedic injunction.
5.4.9	The Pratiprasthātṛ draws (the line) with the wooden sword upto the edge of the altar.
5.4.10	Or upto the northern altar.
5.4.11	Standing in the Vedi, he sprinkles the northern part of the Vedi with the formula, "Indra's roar." For each direction, he sprinkles as per the prescribed order.
5.4.12	He sprinkles the remaining water along with the southern shoulder outside the Vedi with the verse, "This is the heated water."
5.4.13	If he is performing the rite of subjugation, he sprinkles with the verse, “This one.”
5.4.14	He offers the five-graha-oblations at the navel, the buttocks, and the shoulders, with the exception of the right shoulder, the buttocks, the buttocks, in the middle, and on the left shoulder. He sees gold and says, "You are a lion."
5.4.15	He lifts up the ladle with the verse, "For the beings."
5.4.16	He places the navel with the Paiṭhḍāravas, saying, "You are steady," with each verse.
5.4.17	He pours down the ashes of Agni with the verse, "The ashes of Agni are fragrant like Guggula." If the head-covering is not available, then other coverings may be used.
5.4.18	He places the fire in them.
5.4.19	If the fire is raised and sprinkled, then on the right side.
5.4.20	He pours down the restraining cords.
5.4.21	From the place where the water is taken.
5.4.22	If the Vrata-food is offered,
5.4.23	The offerings to Indra-Agni are more than the regular ones. The offering to Varuna is of milk. The offering to Maruts is of meat. The offering to Ka is of rice. The offering to Ekakapala is of rice.
5.4.24	The pouring of different kinds of clarified butter.
5.4.25	To the right of the Pratiprasthātṛ.
5.4.26	Clarified butter mixed with curd, taken five times, is placed in front of the Dhruva vessel, with the verse, "You are the light."
5.4.27	For the Anuyājas, everywhere.
5.4.28	The placing of the Upabṛt vessel.
5.4.29	Or, because of the teaching of the special case, it is the beloved one.
5.4.30	Or, because of the time of the later sacrifice.
5.4.31	The Pratiprasthātṛ also.
5.4.32	Or not?
5.4.33	The Pratiprathātṛ does not perform the following rites: the wife of the Praṇītā, the churning of the fire, the hearing and repeating of the Prāṣa, the recitation of the Yajamāna, the Hotr, the covering of the Sadana, the Prāṣitra, the Anguliparvan, the Anjana, the Antareḍa, the Bhaga, the Aparyagni, and the Avabhṛtha.
5.4.34	The other rites are performed as prescribed.
5.5.1	At the Vājinī-sāman, the Adhvaryu sows the seeds of Karira mixed with Śami and Palāśa at the two ends.
5.5.2	The sheep and the goat.
5.5.3	The sheep at the Marutī-sāma.
5.5.4	All the oblations are placed on the northern side.
5.5.5	The Pratiprasthātṛ places the Marutī oblation along with the Ajya on the southern side.
5.5.6	When the one sent to sweep has not swept, the one who is to bring the wife says, "With whom are you going?"
5.5.7	She tells him the names of those praised.
5.5.8	He takes up the grass and says, "Agreed."
5.5.9	Because it is heard that what is not declared is harmful to relatives.
5.5.10	When declared, he makes her recite, "To the one who is praised," while leading her.
5.5.11	He offers the Karambha-vessels, having placed them on the head with a winnowing basket, in the southern fire, facing the west, the husband and wife, having brought them from the southern direction, by the sacred path, either to the east or to the west of the altar. "He says, "Where is the village?"
5.5.12	The sacrificer mutters, "Mo ṣū ṇ."
5.5.13	He makes her recite, "We have done the rite," while taking her back.
5.5.14	When the Adhvaryu has come, (the Pratiprasthātṛ) remains with the ladle in his hand, after having wiped (the ladle) and having taken the portions of clarified butter.
5.5.15	The Pratiprasthātr remains with the ladle held in his hand.
5.5.16	He moves around with the oblations.
5.5.17	At the time of moving around the Payasyā, they exchange the two rams.
5.5.18	With one of the two offerings, the ram.
5.5.19	Taking the two ladles in his left hand, the Pratiprasthätṛ recites the Marutvatīya hymn with the garment in his right hand.
5.5.20	The offering is made in the manner of the Varuṇapraghāsas.
5.5.21	Having performed with oblations, both of them, beginning with the Svishtakrit.
5.5.22	Having taken up the Ida, he gives it to the Pratiprasthātṛ.
5.5.23	There the Pratiprasthatṛ takes the Marutya.
5.5.24	The Adhvaryu and Pratiprasthātr arrange the ladles.
5.5.25	Having sprinkled, they eat the Vājin.
5.5.26	The Pratiprasthätṛ eats at the offerings due to the modification of the Adhvaryu.
5.5.27	The Maitrāvaruṇa also eats due to the modification in the Hotr and Adhvaryu.
5.5.28	The Samits and the Yajus are silent.
5.5.29	The Avabhrtha is performed with the Varunani-sravas.
5.5.30	Having come silently, he plunges into the Avabhrtha, saying, "Avabhrtha."
5.5.31	The husband and wife, having bathed, do not plunge.
5.5.32	They run on each other's backs.
5.5.33	Others put on their clothes.
5.5.34	One should give first to those in charge, if one wishes.
5.5.35	Having come back in the same way, he places the kindling wood on the Āhavanīya with the formula, "Thou art the kindling wood of the gods."
5.5.36	The wife silently on the Garhapatya.
5.5.37	A cow is the Dakṣiṇā.
5.5.38	A horse.
5.5.39	Six.
5.5.40	Twelve.
5.6.1	The Sākamedha sacrifice is performed for two days in the month of Kārttika.
5.6.2	On the first day in the morning, a cake on eight potsherds to Agni Anīkavān.
5.6.3	At midday, a rice-cake to the Maruts, the Scorchers.
5.6.4	It ends with the Samit-offering.
5.6.5	The Barhis is without the Anuharaṇa.
5.6.6	Having placed the girdle of chips in place of the wood, a rice-paddy to the Maruts the House-worshippers in the evening in milk.
5.6.7	Like the Saṁnāyya.
5.6.8	Silently, because of the single injunction.
5.6.9	And because of the statement.
5.6.10	Having melted and poured over, he takes out from the two pots.
5.6.11	Or from the two pots that have fallen down.
5.6.12	Having placed in the middle for sprinkling, he sprinkles clarified butter for the purpose of ghee.
5.6.13	As much as has been said from here.
5.6.14	Having touched the altar with the Satarani-verse, or silently, because of being done, the placing of the enclosing sticks.
5.6.15	Having placed the pieces, he places them in the two pots that are taken out.
5.6.16	He cleans the ladle and the spoon.
5.6.17	Or, having removed the cleaning (of the ladle and the spoons),
5.6.18	He offers the two portions of clarified butter.
5.6.19	The offering to Agni from the south,
5.6.20	The offering to Soma from the north.
5.6.21	The offerings to the householder and Svishtakrit are similar to the offerings of clarified butter. They are offered together.
5.6.22	There is no pouring over (of the ladle).
5.6.23	Or, having taken it up,
5.6.24	He places the clarified butter together.
5.6.25	Having dismissed both, he obtains both.
5.6.26	No remnant of the oblation.
5.6.27	It ends with the Iḍā.
5.6.28	Having invited the eastern Marjālīya,
5.6.29	they eat together.
5.6.30	If there are many, the sacrificer, his household, the remnants of the oblation, the priests, and other Brahmins.
5.6.31	He places the empty pot.
5.6.32	Having placed the Sāntapaniya pot,
5.6.33	in the morning or due to the remaining state.
5.6.34	Having united the calves with their mothers, he binds them to the posts.
5.6.35	The offering of barley-gruel is the Agnihotra-offering.
5.6.36	Having offered in the morning or not having offered, he takes it in a vessel with a ladle, saying, "The ladle is full."
5.6.37	He should call out to the bull and say,
5.6.38	"Homage to the bull!"
5.6.39	The Brahman recites, "Offer!"
5.6.40	He offers, saying, "Give to me!"
5.6.41	The Dakshina is a bull.
5.7.1	To the Maruts, the playful ones, a cake on seven potsherds.
5.7.2	A rice-pap to Aditi.
5.7.3	Also elsewhere.
5.7.4	The two are with the same sacrificial grass, because of the similarity of the rites.
5.7.5	The great oblation is to be offered after churning out.
5.7.6	Or on the previous day.
5.7.7	The rites for the gods are more than those for the ancestors.
5.7.8	To Indra and Agni.
5.7.9	A rice pap to the Great Indra.
5.7.10	The oblation to Visvakarman is on one potsherd.
5.7.11	The Agnihotra-oblations are offered in the northern part of the fire-place. The churning of the fire and the offering of the first portion of clarified butter are as in the Varunapraghasa-rite.
5.7.12	A bull is the fee.
5.8.1	The Pitryajna is performed in a low voice.
5.8.2	The offering is made in front.
5.8.3	It is also offered to Brahma and Yajaman.
5.8.4	Or as before.
5.8.5	One without a wife.
5.8.6	The Dakshina-fire is as the Ahavaniya.
5.8.7	He carries around the offerings to the east of the Ahavaniya.
5.8.8	And also for the sake of wealth.
5.8.9	To the Pitrs who are Soma-drinkers, a cake on six potsherds.
5.8.10	To Soma, the Pitr-minded.
5.8.11	To the Barhis-possessing Pitrs, cooked rice.
5.8.12	To the Agni-sviṣṭa Pitrs, gruel.
5.8.13	Or fourfold taking.
5.8.14	In front of the Garhapatya, the offering and grinding.
5.8.15	The ladle is placed on the southern half.
5.8.16	The rice is roasted on the southern fire.
5.8.17	The rules of roasting and grinding are reversed.
5.8.18	Having touched, one should grind half and then churn in milk with a single ladle.
5.8.19	There is no mention of churning, because it is heard that half is ground.
5.8.20	Or, there is mention because of the injunction.
5.8.21	To the south of the southern fire, which is surrounded by the Veda, and which has the door towards the north, he makes the altar in the middle, having the directions as its spokes.
5.8.22	He places the southern fire in the middle of it.
5.8.23	The carrying of the Praṇītā water.
5.8.24	The Brahman and the sacrificer follow.
5.8.25	He takes up the Sphyi and other things.
5.8.26	The taking of the clarified butter with the Yajñopavīta.
5.8.27	Twice in the Upabṛttha.
5.8.28	The sacrificial grass is tied together at the beginning.
5.8.29	Taking the grass from the front, he goes around the fire three times, scattering it.
5.8.30	Leaving a space the size of a stone, he goes around it again.
5.8.31	He scatters the grass without holding it.
5.8.32	The placing of the oblations in front.
5.8.33	All of them wear the sacred thread, starting with the offering of the Samidheni verses and the two Ajyabhaga offerings.
5.8.34	Then the Brahman and the Yajamana are on the right side.
5.8.35	The Agnidhra is in front.
5.8.36	Having called out, he should say only "Sit down, O Hotar."
5.8.37	The Prajāpas are without sacrificial grass.
5.8.38	So are the Anuyājas.
5.8.39	The absence of sacrificial grass is due to the union with the sacrificial grass.
5.8.40	One offers having gone back.
5.9.1	Those who are going to offer with oblations turn back.
5.9.2	He offers to all the deities, as before, to the Soma-drinking deities, once each from the middle.
5.9.3	He offers together.
5.9.4	He pours twice.
5.9.5	He does not transgress.
5.9.6	To Soma, the father of the fathers.
5.9.7	Thus to those who have grass, to the north of the cooked rice and cakes.
5.9.8	To the Agni-sviṣṭa deities, to the south of the cooked rice, cakes and cooked rice.
5.9.9	In front of the fire, to Agni Kavyanayana, as before.
5.9.10	This is the Svishtakrit.
5.9.11	"Om, svadha! Let it be svadha!" This is said when the sound is not heard or is heard again.
5.9.12	"Svādhe namaḥ" is the Vasat-call.
5.9.13	Having called the Mantha, the Hotr, Adhvaryu, Brahman, Agnidhra and Avaghayan put it down.
5.9.14	Having taken the Prasitra, they eat it.
5.9.15	All eat it.
5.9.16	The Adhvaryu or the sacrificer sprinkles the Vedi three times with a pot of water.
5.9.17	Having sprinkled the Sraktis and the Pitra-avana, he sprinkles again as before.
5.9.18	First on the north-east corner.
5.9.19	Having placed the hands on the left side, he gives the balls of dough to all as they are placed. "This is yours."
5.9.20	"Here are the fathers," he says, having rubbed the hands on the north-west corner.
5.9.21-23	All of them, wearing the sacrificial thread, having gone out, facing north, they stand by the Āhavaniya fire and recite the two verses: "We invoke the mind." Thus they stand by the Garhapatya fire with three verses. Having entered facing east, the donor recites: "They have drunk."
5.9.24	Having shaken the garment as before, having let it fall down, he makes the salutation with the formula, "Salutations to you."
5.9.25	Six salutations.
5.9.26	"Our fathers have given us the house."
5.9.27	Having performed the Brahma-invocation etc. and having arranged the sacrificial ladles, having reversed the order of wearing the sacrificial thread as in the Prayāja offerings,
5.9.28	he does not take up the Prastara.
5.9.29	When he says, "Strike!" he does not strike anything.
5.9.30	He touches himself silently.
5.9.31	Having touched the enclosing sticks, he does not strike.
5.9.32	It ends with peace.
5.9.33	He puts the sacrificial grass and enclosing sticks into the fire.
5.9.34	The remnants of the oblation.
5.9.35	In the water.
5.9.36	To be drunk.
5.10.1	The Triyambaka hymns.
5.10.2-9	He offers the Raudra oblations on one potsherd, as many as there are in the sacrificer's house, plus one. Or four. Facing north, everything. The gods and the Hotr priests and the Avashtakara and the anointed or Having placed it in a vessel, taking the Palasha leaf in the middle, one should offer in the crossroads with the Palasha leaf.
5.10.10-15	The offering of all is made separately, except for the excess. The mixing of the offerings is done separately. One offers with the formula, "This is yours." One scatters the excess with the formula, "This is yours." One recites the formula, "We have approached Rudra." One circumambulates Agni three times, reciting the formula, "Triambaka, like the fathers, striking the left thighs."
5.10.16	And with this (water) he sprinkles the southern quarter like a god.
5.10.17	And the maidens, with the northern quarter, those who desire a husband or a lover.
5.10.18	The sacrificer offers the fierce ones with joined palms, the offering of the cow.
5.10.19	He receives them.
5.10.20	If it is impossible to sprinkle,
5.10.21	Having placed the two ends of the bamboo-stick in the well, he places it on any one of the following: a tree-trunk, a clump of grass, or an anthill, in such a way that it can be lifted up. This is the procedure.
5.10.22	One wears a deer-skin.
5.10.23	Approaching without any expectation, they touch the water.
5.11.1	This is the practice of Shunahshepa.
5.11.2	If one wishes,
5.11.3	The rites of the full moon are followed, except for the sacrificial grass.
5.11.4	The offerings to the gods are more than those to the ancestors.
5.11.5	The twelve-pot offering to Indra is made with the Shunahshepa and Shunahshepa mantras.
5.11.6	The offering to Vayu is made with milk.
5.11.7	The offering is made according to the Vedic tradition.
5.11.8	Because there is no contradiction.
5.11.9	And because it is seen in the original text.
5.11.10	Or barley gruel.
5.11.11	The one-pot offering to Surya.
5.11.12	The six-yojana land as Dakshina.
5.11.13	Or the two-yojana land.
5.11.14-19	A white horse is the substitute for the Soma. If the Soma is not available, a cow is the substitute. One who desires a year should offer a sacrifice with the Soma or with the animal sacrifice on the full moon day after having performed the Sunasirya sacrifice on the Phalguni day. The repetition is for one who has not performed the sacrifice. The Sunasirya is performed on the Phalguna day of fasting. The Vaishvadeva is performed in the morning. The animal sacrifice is performed in the principal sacrifices.
5.11.20	The animal for the Vaiśvadeva sacrifice is to be killed on the previous day.
5.11.21	Or on the same day.
5.11.22	The animal for the Vaišvadeva sacrifice.
5.11.23	He offers oblations after the Pasupurodāsa.
5.11.24	Because of the predominance of the Sviṣṭakṛt.
5.11.25	As stated, there is no contradiction.
5.11.26	The killing is at the end of the heart-stick.
5.11.27	In the Varuna-prastha offerings, the Varuna.
5.11.28	In the Mahahaviṣi, the Maheśvara.
5.12.18	The fifteen Sāmidhenī verses.
5.12.19	The two Ajyabhāga verses are "May we obtain wealth through Agni, prosperity, and fame, day by day, the most heroic, the most glorious, the one who covers with darkness, the one who carries away no harm, the one who bestows wealth, the one who increases prosperity, the one who is friendly to us."
5.12.20	The Anuvākyā of the oblation is Agni, Soma, Varuna, Mitra, Indra, Brihaspati, Savitar, the thousand-rayed, Pusan, Sarasvati with cows, Tvashtri, the disposer of forms, with sacrifices.
5.12.21	May Sarasvati, the giver of forms, the giver of the sacred thread, Pusan, the giver of good fortune, Savitar, may Brihaspati, the giver, Indra, the giver of strength, Mitra, the giver of nobility, Varuna, Soma, Agni, the giver of fire, give me.
5.13.1	May Tvashtri, the creator of forms, the lord of forms, give animals in this sacrifice to me by means of form, svāhā.
5.13.2	The two Viras are the offerings at the end of the sacrifice.
5.13.3	O Agni, give us a thousandfold, a thousandfold offspring, a thousandfold prosperity, a thousandfold wealth, a thousandfold light, the highest, most excellent, most desirable, most brilliant, most auspicious, most agreeable, most desirable, the most desirable, the best, the most desirable. O Brahman, the most desirable among the praises, the most desirable of the gods, may we be the most desirable. May the Marut-increasing Agni, the most desirable in a thousand ways, be the most desirable for us.
5.13.4	The fee is ten.
5.13.5	Or a thousand.
6.1.1	The animal sacrifice is performed every year during the rainy season.
6.1.2	Or at the beginning and end of the rainy season. 
6.1.3	In the house.
6.1.4	One offers a libation to the sacrificial post with four spoonfuls of clarified butter, reciting "To Vishnu."
6.1.5	Taking the remaining clarified butter, one goes forth.
6.1.6	One touches the sacrificial post, reciting "May it be superior to others."
6.1.7	Standing facing east, one recites the mantra.
6.1.8	The Palasha wood should be taken with many leaves, not dried at the tip, with the branches pointing upwards, with the tip bent downwards, and without any blemish.
6.1.9	If not available, Khadira, Bilva, and Rauhitaka woods may be used.
6.1.10	If Khadira wood is not available, Soma wood may be used. The other woods may be used in the absence of all.
6.1.11	One sprinkles with the ladle, saying, "To Vishnu thee."
6.1.12	Placing the fresh Kuśa grass aside, saying, "O herb," one strikes with an axe, saying, "For my own self."
6.1.13	One places the first branch.
6.1.14	He cuts the sacrificial post without a knot.
6.1.15	One-headed.
6.1.16	He recites the verse "Do not fall down" to the falling (post).
6.1.17	(The post) should not fall towards the south.
6.1.18	"This is yours" is the purification.
6.1.19	Or the recitation of the verse is the purification, because of the injunction of a special rite.
6.1.20	"This belongs to you" is the offering at the time of cutting.
6.1.21	Or on the sacrificial post, because of its sanctification.
6.1.22	On the tree, because of the Vedic statement.
6.1.23	The cutting off of the parivāsa is again.
6.1.24	Three cubits.
6.1.25	Or four cubits.
6.1.26	Some say one cubit and so on.
6.1.27	He makes it eight-cornered, except for the upper part.
6.1.28	The cup at the top is one cubit in size and eight-cornered in the middle.
6.1.29	He releases it upwards at the top.
6.1.30	The sacrificial post should be two or three cubits above the ground.
6.1.31	The Soma sacrifice is performed with a post of five cubits, up to fifteen cubits, excluding ten, seven and fourteen cubits.
6.1.32	Or it may be of unlimited size.
6.1.33	In the Vajapeya sacrifice, the post is seventeen cubits.
6.1.34	In the horse sacrifice, it is twenty-one cubits.
6.1.35	The size of the post is according to the size of the sacrifice.
6.1.36	When he is about to make the altar, he offers one oblation, having mentally followed the six Hotr priests and the fivefold Soma. "He says, "O Vācaspati, with the flawless speech, with the flawless offering, you have brought the divine Hotr-priest, which increases in heaven, with the words 'Svāhā.'"
6.2.1	He makes the altar like the Varunapraghasa.
6.2.2	From the placing of the fire, he takes up the ladle.
6.2.3	He offers one oblation with the kindling wood.
6.2.4	He should perform the rites of the Haviryajna, such as the Vrata, the Upayana, the offering of the ladle, the offering of portions, the pouring of the oblations, and the full vessel, and the Vishnu-steps.
6.2.5	Having performed the sprinkling of the clarified butter, the offering of clarified butter, and the placing of the clarified butter (in the ladle), he performs the northern grasping (of the ladle) and other rites, because of the taking of the clarified butter.
6.2.6	The taking of the clarified (butter) is with the Prisni-graha.
6.2.7	He strews the sacrificial grass on the sacrificial grass.
6.2.8	Taking up the wooden sword with the formula, "For the god thee," he marks the pit for the sacrificial post. He says, "This is I" in front of the Ahavaniya, half within the altar.
6.2.9	He digs up to the root.
6.2.10	He scatters the dust towards the east.
6.2.11	He places it in front of the sacrificial post facing east.
6.2.12	A handful of Kusha grass on it.
6.2.13	The first part.
6.2.14	The tip towards the north of the cup.
6.2.15	"He pours the barley into water, sprinkling it with the formula, "Thou art barley." He sprinkles the tip, middle and root parts with the formulas, "For heaven thee."
6.2.16	Since everywhere there is a desire to sprinkle, one says, "I sprinkle."
6.2.17	One sprinkles the remaining (water) in the pit, saying, "May they be purified."
6.2.18	One places the sacrificial grass facing east and west, saying, "This is the abode of the ancestors."
6.2.19	And the first bundle is the leader, saying, "It is the leader."
6.2.20	One offers into the pit with the ladle silently.
6.2.21	The Adhvaryu or the sacrificer anoints the sacrificial post, having gone around along the front, sitting towards the north.
6.3.1	He recites the Anuvāka for the sacrificial post being anointed.
6.3.2	He anoints with "You are a god."
6.3.3	The cup is on both sides.
6.3.4	He releases the speech with "For the well-sprouting."
6.3.5	Having placed the Agniṣṭha-portion, having touched all around the place for the Parivyañjana-portion, the Adhvaryu should not release (the Soma) till the Parivyañaṇa-portion.
6.3.6	He recites while the Soma is being churned.
6.3.7	He churns with the verse, "The heaven with the front."
6.3.8	He mixes with the verse, "She who is the earth."
6.3.9	The Agniṣṭha portion is brought near the Ahavaniya.
6.3.10	He sprinkles with the verse, "O Brahmanaspati, do thou sprinkle."
6.3.11-14	Having sprinkled the ground with water, he recites the verse, "The deeds of Vishnu." Looking at the sacrificial post, he recites, "That is Vishnu's." While the post is being wrapped, he recites.
6.3.15	The rope is three-fold, three-span long, and is wound around the navel. It is wound around the three-fold (rope) three times.
6.3.16	Having joined the two ends, he puts it in the end.
6.3.17	He puts the piece of the sacrificial post in it, with the verse, "Thou art the son of heaven."
6.3.18	In the case of many (sacrificial posts), as in the case of each one.
6.3.19	Having taken grass, he touches the animal with it, saying, "You have been seated."
6.3.20	The goat is mentioned in the mantra.
6.3.21	The animal with horns.
6.3.22	The animal without defects.
6.3.23	The sprinkling is according to the number of words in the mantra. This is the view of some.
6.3.24	Because it is not mentioned.
6.3.25	One performs the churning of the fire before the offering.
6.3.26	Either at the time of taking up or at the time of churning.
6.3.27	Having made a noose of two cubits of hemp with a double string, he ties it between the horns, turning towards the right, with the verse, "For thee, O truth."
6.3.28	"For thee, O divine" on the sacrificial post.
6.3.29	It may be dedicated to Indra-Agni, Surya or Prajapati.
6.3.30	One who desires
6.3.31	Having sprinkled the animal with the sprinkling water with the verse, “For thee, O waters,”
6.3.32	"The water is the great one," he says, taking up the mouth.
6.3.32	"The goddesses are the waters," he sprinkles below.
6.4.1	He performs the sending forth of the kindling wood and so on for the Aprayaja offerings.
6.4.2	Having offered the Uttaraghara, he anoints the animal first on the forehead, shoulders, and hips, repeating the mantra "May they be united."
6.4.3	Having called out to the Hotṛ to begin, he says, "Agni is the leader of the divine clans, this sacrificer is the leader of men. Pouring out." At the pouring out, they shine brightly, the two Garhapatya fires, the two who are not separated, the two who have not been separated.
6.4.4	He hands over the staff to Maitrāvaruṇa, saying, "I hand over to you the staff of Mitra-Varuna, the two rulers."
6.4.5	The staff is made of Udumbara wood, and is of the size of the mouth of the sacrificer.
6.4.6	The staff of the initiated is used in Soma sacrifices.
6.4.7	Or it is bought.
6.4.8	There are eleven Prayājas.
6.4.9	And Anuyājas.
6.4.10	At the time of sending the Maitrāvaruṇa to the Yajathana place, he says, "Send the Maitrāvaruņa."
6.4.11	Having offered ten Prāyājas, he says, "Bring the Sasa."
6.4.12	Taking the Svāru, he anoints both the Juhū and the Upabhṛt with it, touching the forehead of the animal with them, saying, "Anointed with ghee."
6.4.13	Having covered the Svāru with grass, he says, while handing over the knife, "This is your known resting place."
6.4.14	Having placed the two ladles, he draws a line towards the north of the Sāmītra.
6.5.1	He recites the Anuvāka for the Parigni.
6.5.2	Taking the Āhavanīya fire-brand, the Agnīd recites the Anvāhārya thrice around the animals, clarified butter, Sāmītra, Yūpa, Cātvāla and Āhavanīya.
6.5.3	Or the animals, clarified-butter and Sāmītra only.
6.5.4	He recrosses the fire-brand as far as the Pratiprastha.
6.5.5	Then, having taken it again, he proceeds towards the north.
6.5.6	The animal follows behind.
6.5.7	The Adhvaryu begins with the Vapa and Sramani, made of Karshmarya wood, with two Vishakas.
6.5.8	The Adhvayu
6.5.9	The sacrificer to the Adhvaryu
6.5.10	Having taken the Veda grass, the Adhvaryus calls out and says, "O Hotar, offer the oblations to the gods."
6.5.11	He makes the sacrificer recite, "O Revati, the sacrificer."
6.5.12	One should not cross the boundary of the fire-altar.
6.5.13	One places the fire-altar within the boundary.
6.5.14	Some place the fire-stirring wood.
6.5.15	One places grass behind, saying, "May it be more rainy."
6.5.16	They kill him there, with his head towards the west and feet towards the north.
6.5.17	Or with his head towards east.
6.5.18	They cover his face, which is not to be seen.
6.5.19	or with a stick.
6.5.20	Having approached, they sit around the Āhavanīya fire.
6.5.21	One should say, "Do you know?"
6.5.22	One offers with "Svāhā to the gods."
6.5.23	When the animal is announced, one says, "Let it lie down for a moment."
6.5.24	One offers with, "To the gods, svāhā."
6.5.25	One should not offer.
6.5.26	The Adhvaryu places the ladle and the spoon in the Cātvāla with the formula, "May the earth be firm."
6.5.27	He says, "The wife should be brought back from the Pratiprasthātr."
6.5.28	The sacrificer says, "The Adhvaryu."
6.6.1	He makes the sacrificer recite the formula, "Leading, salutations to the stretched out one."
6.6.2	The wife purifies the vital breaths of the animal.
6.6.3	Having withdrawn the mouth, the nose, the eyes, the ears, the navel, the penis, the anus, and the feet, I purify your speech.
6.6.4	The sacrificer and the one who is reciting the mantra pour the remaining water on the head and other parts.
6.6.5	"The head is purified with the mantra, "Your mind."
6.6.6	The limbs are purified with the mantra "Whatever is cruel in you."
6.6.7	Water is poured behind the animal with the mantra "May there be peace to the days."
6.6.8	Having made the animal lie down with its head towards the east, he places a blade of grass near the navel, saying, "Oṣadha."
6.6.9	Having placed it with the known formula, "Svadhiti," and having cut off the tip, he places the left (side) on the right (side), anointing both sides with blood, saying, "Rakṣasām."
6.6.10	Having pushed it away, he says, "Nirastham."
6.6.11	The sacrificer stands here, saying, "This is mine."
6.6.12-15	Having taken out the ladle, he pours the ladle and the ladle-stand into the clarified butter with the formula, "O heaven and earth, you are clarified butter." Having covered (the ladle) in the Cātvāla, he heats it on the Shamitra. The Adhvaryu places a portion of the Shamitra on the Āhavaniya with the formula, “O Agnīd, do thou place the portion of the Shami-tra on the Āha-vaniya." The Adhvaryu places the tip of a grass on the Vayu with the formula, "O Vayu, do thou be pleased with this."
6.6.16	Standing to the north, he heats the omentum between the sacrificial post and the fire. Having taken it to the south, the Pratiprasthātṛ cooks it. Having gone around,
6.6.17	he pours clarified butter over the omentum with the ladle, saying, "Agni is the ladle of clarified butter."
6.6.18	He recites the Stoka formulas.
6.6.19	When cooked, the Pratiprathātṛ says, "Let the cooked one proceed."
6.6.20	"Let the one for Svāhā-shaped offerings be sent."
6.6.21	Having offered the omentum, he pours clarified butter over it.
6.6.22	If the Dhruva vessel is the first to receive the share of clarified butter, then
6.6.23	one should offer the shares of clarified butter here.
6.6.24	One who is going to offer the omentum should place gold and offer the omentus, saying, "Recite for the omentum of the goat to Indra-Agni."
6.6.25	Placing gold and pouring twice over the omentum is for Soma.
6.6.26	Having called out to Indra and Agni, he should offer the fat of the goat, saying, "May it be offered."
6.6.26	And when the animal has been dispatched, he should say, "It has been dispatched."
6.6.27	Having offered the fat and the ladle, he should place them in the east and west, saying, "For Svāhā."
6.6.28	They cleanse themselves in the sacrificial pit, with their wives, saying, "These waters flow."
6.7.1	Another person should strike the animal.
6.7.2-6	The sacrificer alone is the officiating priest, because he is not duly appointed. Because of the non-appearance of the officiating priests. But the seller is another, because of the contact with a Śūdra. He cuts off the limbs, the heart, the tongue, the chest, the left thigh, the left arm, the sides, the liver, the kidneys, the anus, the middle, the right hip. These are the Jāhvāṇī organs.
6.7.7	The right thigh, the front part of the knee, the anus, the third part of the buttocks, the left hip - these are the parts of the body that are offered to the Upabhrti deities.
6.7.8	The best part is offered to the Upadha deities.
6.7.9	At the time of offering, there is a division.
6.7.10	The lower part of the abdomen and the buttocks are offered.
6.7.11	The spleen, the kidneys, the liver, and the intestines are covered.
6.7.12	If one is thin, one offers the remaining fat of the abdomen to the anus.
6.7.13	Having placed a pit in the ground, he puts down the blood of the Rakshasas in it.
6.7.14	Having pierced the heart with a spear, he cooks it in a pot.
