1.1.1	Now, we shall explain the Darsha-Pūrnamāsa sacrifices.
4.12.2	Both recite the Vājavatī verses.
4.12.3	"He offers the Paridhi-sticks, one by one, with the formulas, "May I be united with the Vasus, the Rudras, the Adityas, the gods, through the sacrifice." He offers the sacrificial grass, mixed with clarified butter, with the verse, "May the sacrificial grass be united with the Adityas and Vasus, with the Maruts, with Indra, with all the gods. May it go to the divine sky. Svāhā." He offers a piece of wood, mixed with clarified
4.12.4	"I follow the prosperity of Agni." Thus one should recite the verses according to the sequence of the deities.
4.12.5	When the Hotṛ priest recites his name, then one should say, "We have come to the blessings, desiring to milk."
4.12.6	May the truth of my vow lead me to the gods, to the most agreeable, to the most desirable, to the most pleasing. May my mind lead me to the Gods. May the sacrifice lead the Gods. May it come to me today." Thus does the reciter of the Sūkta take the name of whatever he desires.
4.12.7	"The Agni-bearer, with the words, "May Agni go to the deity," should throw the Prastara grass as each verse is recited.
4.12.8	"The peg of heaven has come down, it has risen up from the earth; with that thousand-branched one we torment the hater; may the hater be tormented by me, O herb; may I not be tormented." Thus should the Agni-bearer throw the Prastāra grass.
4.12.9	I release you. When the boundaries are being released.
4.12.10	"O Vishnu, O Shambu! O Shambu! To the sacrifice, salutations to you, O sacrifice, salutations and salutations to you. O sacrifice, may you be accomplished with auspiciousness, with prosperity, with good fortune, with brahminical splendour. May you be accomplished with the prosperity of the sacrifice. O sacrifice, salutings to you, salutings to your salutings, salutings to salutings to you. The sacrifice is desired by the Bhrigus, bestows wealth by the ascetics, bestows blessings by the Vasus, bestows blessings with the Atharvas. Of that desired and accomplished one, may there be the coming of wealth." The libation is poured out.
4.13.1	"By the Soma-sacrifice I shall beget the seed of the gods." Thus he offers the offerings to the wives in accordance with the signs.
4.13.2	"By the sacrifice to Raka, may I beget offspring; by the sacrifice to Sinivali, may I be rich in cattle; by the sacrifice of Kuhu, may I be prosperous and rich in cattle." These are the optional offerings.
4.13.3	By the sacrifice to Rāka may I be blessed with offspring; by the sacrifice to Sinīvālī may I be blessed by cattle; by the sacrifice of Kuhu may I be blessed, prosperous and cattle-rich. The wife recites this.
4.13.4	May Ida protect us with ghee, in whose abode the divine-desirers are purified. The goddess of the world, the Sakvari, the nourisher, has come to the sacrifice. The goddess of all, the Ida of ghee.
4.13.5	Placing the Veda within the altar, he touches it, saying, "You are the Veda."
4.13.6-7	If one were to think of the name of one's enemy in the past, one would take that name and know that one would take away everything of his. Having offered the oblation at the end of the Homa, the mouth is examined. "O Sarasvati, the one who bestows wealth, may I be blessed with your grace. May I be devoted to you."
4.13.8	Vasu is the sacrifice, the sacrifice is Vasu. May I come to the sacrifice, to the Vasu, to the Vasumant. May it come to me. He recites the Samisht-yajus and offers the oblation. He takes the name of the deity he desires.
4.13.9	"The sacrificer is the lord of blessings." He eats the portion of the sacrificer.
4.14.1-3	One should not eat the Saṁnāyya without a Brāhmaṇa. The Adhvaryu pours a continuous stream of water on the offerings placed within the altar, reciting, "May I be present in the assembly." He recites this while the offerings are being brought.
4.14.4	"May the gods, the priests, sprinkle in the eastern direction." Having sprinkled with these (formulas) according to the indications, he says, "I send you to the ocean. Go to your own place. May I be without a break in progeny. May my milk not be spilled." Having taken the remaining water inside the altar, he says, "Whatever honey is in the water, O Sarasvati, in the cows, in the horses, with that, O Sarasvati who bestows strength, anoint my mouth. O Sarasvati who is in Vaishmbalya, bestow it on me. May I be the most partaker of it." Having cleansed the mouth,
4.14.5	Both of them recite the Kṛṣṇāyāmṛta.
4.14.6	"He says, "Thou art the step of Viṣṇu," and steps four steps of Viṣṇus, going eastwards with his right foot, each step being longer than the preceding one, and not exceeding the left one."
4.14.7	He does not cross the Ahavanīya.
4.14.8	Standing up, he recites the fourth verse.
4.14.9	Some recite the verses in the order of Vishnu, Vishnu-transcending, and transcending-transcending. Some recite them in the order of transcending-transcendings, transcending-transcedings, and Vishnu-transcendings.
4.14.10	"The verses beginning with "I conquer the battle with the god Agni" are Vishnu-transcendents, and those beginning with "Those who are the gods, the destroyers of sacrifice" are transcending-transcendeṇts."
4.14.11	"He recites the verses beginning with ".
4.15.1	May the rising sun today, the friend, destroy my enemies. Destroy them with lightning from the sky, and make them fall below. Rising today, may it divide us like a father among his sons. May it grant us long life. O Sun, rising today, the friend. Rising to the highest heaven, O Sun, remove my heart disease and also my jaundice. I place my jaundice in the parrots and in the plants. And I place my jaundice also in the yellow garments. The sun has risen, together with all the world. May it destroy my enemies. May I destroy my enemies. He who curses us, and he who curses those who curse us, may both of them be destroyed. May both Dawn and Night destroy all evil for him.
4.15.2	He turns around, reciting, "I have turned around the enclosure of Indra."
4.15.3	If he is practising sorcery, he should recite, "I am withdrawing the life of so-and-so, son of so-andso," and crush the right foot with his heel.
4.15.4	Having said, "May the auspicious ones prosper, may the sinful ones be defeated," he turns back, reciting, "May I be united with offspring, may my offspring be united with me."
4.15.5	"May the kindled Agni shine for me. May I shine for thee, O Agni, when kindled." Thus he kindles the Ahavaniya. "May the sacrifice be prosperous, may I be more prosperous." Thus he stands up.
4.16.1	"May the gods destroy our enemy, the man who hates us, as one destroys a firebrand. May there be no remnant of him."
4.16.2	"O Agni, do thou purify the life-forces", with these two verses addressed to Agni, he attends upon the Garhapatya fire. "O Agni, the lord of the house", with this verse.
4.16.3	He takes the name of the son, hoping for that blessing. "The threads" if the son is not born; "The one who is born" if the son has been born.
4.16.4	In the science of astrology, he says, "May the divine thread not be cut, may the human thread not be cut. May you not cut from the divine abode, may you not cut from human." He takes the name of the beloved son.
4.16.5	"O Agni, O Vahni, may it be pleasing to our son, may it cook for the father, may it be auspicious for the offspring and body." He says this to the southern fire.
4.16.6	"He sits down within the altar with the formula, "Thou art the light, thou art the thread." The name is taken as before.
4.16.7	Having sat down with the formula, "Thou art the light; thou art the thread," he recites.
4.16.8	Having placed the Veda on the altar, he sits down within the Veda and recites the Atimochaka formulas.
4.16.9	Here some prescribe the spreading of the Veda and the eating of the portion of the sacrificer.
4.16.10	"Who binds thee, may he release thee." He releases the sacrifice.
4.16.11	"O Agni, lord of vows, I have observed the vow." He releases the vow.
4.16.12	"The sacrifice has been performed." He recites this for the renewal of the sacrifice.
4.16.13	He recites "O Agni, lord over cattle" facing east. He recites "O cattle, lord over cattle."
4.16.14	Here one should eat the share of the sacrificer.
4.16.15	May the sacrifice be auspicious to me, may the sacrifice be for me, may the life be mine, may the strength be mine, may my sacrifice be auspicious, may my sacrifice prosper, may my sacrifice not be defective. Having performed the Darsa-Pūrṇamāsa sacrifices, Soma sacrifice and animal sacrifice, he mutters.
4.16.16	You are the rain. Bestow on me (the rain). I have approached the truth from the untruth. Having recited this, he touches water. This touching of water is done in all sacrifices.
4.16.17	Having offered oblations to the Brahmanas, he instructs them.
4.16.18	When going out, facing the direction of his residence, he mutters the Yajamana-mantra.
4.16.19	He steps forward with the steps of Vishnu.
4.16.20	He recites the formula while going towards the east, reciting the formula while going to the Gomati river.
5.1.1	We shall explain the Agnihotra.
5.1.2	He brings the kindling wood of the ashvattha tree which has the embryo of the shami tree, saying, "I bring you with the Brahman and the sacrificial banners." He brings the kindling woods of the ashvatthha tree which has the shami tree as its embryo.
5.1.3	The Vājasaneyins say that even if it does not have the shami tree embryo.
5.1.4	I collect the sacrificial body of Agni, born from the horse-sacrificial fire, from the womb of peace, the embryo of the Shami tree, for Agni, the begetter, for the life-giver. May you bestow life upon me, and may the sacrificer have life." Having thus invoked the kindling woods, he brings seven earthly materials.
5.1.5	Or more earthly materials.
5.1.6	The Vajasaneyaka says, "One should not accumulate the requisites."
5.1.7	May the sand enter the pleasant form of the all-pervading fire on the earth. The sand that is here, the sand that is there, the sand that exists between heaven and earth, may they be united. May the black sand protect the black (sand). May the black sand come to both the sacrifices. The one who makes the sand, when he moves over the earth, having perceived the form of the boar, which is hidden, they bring it here, saying, "May we live a hundred autumns, having many heroes." They bring the boar's dung, the energy, the juice of the earth, saying, "We may live a hundred autumnal years, having many (heroes)." The hearing that is hidden in the holes, which is blessed by the female boars, may we not be deaf. The Varāhaka-vihata (obstruction) is the one whose form, when he found this earth entered into the middle of the body, that is hidden here, and is removed. It is said, "They are spread out here."
5.2.1-2	Those by which the firm foundation of the world, this earth, the support of all men, was established, may all those auspicious sands be for us. Thus are the sands. O Agni, the seed, the moon, the gold, arisen from the waters, the immortal, in the creatures, gathering it, having placed it above, giving it away, he crosses the difficult path. Thus is the gold. Thus are the earthly ones.
5.2.3	If there are five pieces of iron, the fifth is the one that is not used.
5.2.4	The horse, having assumed the form of a horse, stood for a year at the Ashvattha tree, and the gods, gathering it here, said, "Let us live a hundred autumns, O heroes." The Udumbara tree has risen from the earth, O tree, with a hundred shoots, grow, with you we may enjoy food and strength, in the prosperity of wealth. The leaf of the Udumbara tree that fell when it was being carried away in the Gayatri metre, that is this leaf. For the leaf of the Udambara tree is born from the Soma-drinking tree, therefore I bring it for the sake of obtaining the drinking of Soma. The divine Brahma-talk that you heard when the gods were speaking, you are indeed known as Shruta. Let that Brahma-splendour enter me. Gathering it, I obtain it directly. With these two leaves. Prajapati pacified the arrow of the Agni that was created by you. I bring this Shami tree for peace, not for destruction. The light that reached you when the Agni that was born from you became crooked, with that light, may you illuminate our extensive world. The Vikankata tree. The Maruts, having cut out the heart of the Agni that had become crooked, and having darkened it with water, I bring this for you to eat. May Agni have a soul and a heart. The tree that was struck by lightning, in the middle of the body, he saw the earth, the support of the world. That leaf is born from the abode of the lotus, I bring the spreading of the earth. The leaf of a lotus.
5.3.1	"He places it with the formula, "O Jātavedas, I have collected thee as the body is placed in the elements. Thou art collected, be auspicious to the creatures. Thou knowest our extensive world, thou hast extended it."
5.3.2	Now the stars.
5.3.3	One should place the fire in the Kṛttikā constellation. He becomes the chief and most lustrous among Brahmanas.
5.3.4	His house becomes fire-scorched.
5.3.5	Having placed all the stars in Rohini, one prospers.
5.3.6	In Mrigashirsha, one who desires brahminical glory or desires sacrifice.
5.3.7	One who was formerly good but becomes worse again in Punarvasu.
5.3.8	One who desires in the two eastern Phalguni stars, "May my offspring be desirous of giving."
5.3.9	One who desires the two western Phalguni stars "May I be fortunate and have food."
5.3.10	This is the same, but in reverse.
5.3.11	If one places the former on the latter, one becomes worse, and if the latter on the former, one becomes better.
5.3.12	If one desires in the hand, "May it be given to me!"
5.3.13	If one has an enemy, one should do it in Citra.
5.3.14	If one wants offspring, one should do so in Anuradha. If one wants prosperity, one should do in Sravan. If one wants nourishment, one should do on the northern Pushya. If one wants establishment, one should do
5.3.15	All of them are eternal, according to some.
5.3.16	Having said that one should perform the Falgunipūrṇamāsa (new moon) rite, he says, "If one were to perform the Falgunīpūrṇamāśa rite, one would place it at the beginning of the year, two days before or on the same day."
5.3.17	It should be performed on the new moon or full moon day.
5.3.18	Spring is for the Brāhmaṇa, summer for the Kṣatriya, autumn or winter for the Vaiśya, and the rainy season for the artisan.
5.3.19	Those of the three castes who perform this rite, their time is this.
5.3.20	The winter season is for all castes.
5.3.21	One who is about to perform a Soma sacrifice should not choose a constellation for dancing.
5.3.22	One who has decided to go away should perform the rite of setting up the fire. One who has not decided should go on a pilgrimage.
5.3.23	Or one should go for one day.
5.4.1	The impure matter of this (victim) is being thrown away. May it remove the sin of the sacrificer. May the four directions be auspicious to us. May our mother, the earth, be auspicious to us, the offspring. Having thrown away the sacrificial place sloping towards the east, he says, "May the auspicious goddesses, the waters, be auspicious to drink for us. May they flow towards the auspicious." Having sprinkled it with water, he makes the pole sloping towards the north in it.
5.4.2	In front of it is the middle post, the place for the Garhapatya.
5.4.3	From this, the place for Ahavaniya is eight steps eastwards for a Brāhmaṇa, eleven for a Kṣatriya and twelve for a Vaiśya.
5.4.4	In the twenty-four steps or as far as the eye can see, the place for Āhavanīya is to be fixed. This is heard in general.
5.4.5	The place of the Dakṣiṇāgni is to the south of the Garhapatya, in the third space from it, towards the west.
5.4.6	The place of the Āhavanīya is different from that of the Garha-patya.
5.4.7	The Sāṃbhārya is in front of the Āhavaneya, in the Sāṃbhāra hall.
5.4.8	The Āvasathyā is in front of that, in the Āvasatha hall.
5.4.9	He shaves his hair and beard, cuts his nails, and bathes. The wife does the same, except the hair.
5.4.10	The husband and wife, wearing linen garments, should kindle the fire.
5.4.11	At the time of giving the Dakshina, they should give it to the Adhvaryu.
5.4.12	In the afternoon, when the sun is above the trees, having brought the fire from the Upavasana fire, he places the Brahmauvanika fire to the right of the Garhapatya fire.
5.4.13	The Upavasana is all.
5.4.14	Or the Nirmathya.
5.4.15	If one were to bring all the offerings for the Upavasatha rite, one should bring the Apūpa made of barley and rice, and place it between two leaves of the Udumbara tree. One should place the barley Apūpa at the back and the rice Apūpa at front.
5.4.16	If one were to bring everything for the Upavaṭha rite, one should offer the Apūpa and the Apūpa-like offerings.
5.5.1	On the eastern side of the fire, on a red skin, on a goat with its head towards the east, with its hair turned upwards, or on a mat, at night, he offers the Brahma-rice in four pots.
5.5.2	Having recited "For the god thee," he offers the first pot, saying, "I offer what is dear to Brahma, to the Prāṇa." The second, saying, "To Apāna." The third, saying, "For Vyāna." The fourth, saying, "What is dear to Brahma."
5.5.3	Or all of them may be silent.
5.5.4	He cooks in four kinds of vessels.
5.5.5	He does not wash or drain.
5.5.6	Some say that it becomes milk.
5.5.7	It is understood that it is cooked like live rice.
5.5.8	Having taken up the Brahmoḍana with the ladle, he recites the verse, "To the wise, to the poet, to the bull, to the lord of bulls, from whom comes fear, may that be our protection. Let us worship the gods who are to be worshipped." He offers or recites the mantra.
5.5.9	Having divided the Brahmasūtra into four parts, having sprinkled it with plenty of ghee, having pressed it and not having cut it, he offers it to the four Ārsheya priests.
5.5.10	The first balls are not touched, they are untouched. Then, having collected the remaining of the Brahma-rice, he brings the remaining ghee to it and offers three moist, unsplit, palm-sized twigs of the variegated ashvattha tree in it, which are not split by a stick.
5.6.1	The Brihatis, collected from Citriyas and Asvatthas, are arranged in the body, they are three, measured by the Yajnaमुख, the Prajapati, the three-fold, the pairs, for procreation.
5.6.2	Then he places them with ghee-bearing, Agni-related, Gāyatrī verses, the Tristubh verses for the Brāhmaṇa, the Jagatī verses for the Rājanya, and the Jagatī for the Vaiśya.
5.6.3	The Agni is worshipped with the kindling-sticks. This is the verse: "O Agni, may the bestower of gifts, the golden-coloured ones, come to thee. Accept the kindling-wood. I, with the kindling wood, O Angiras, increase thee with ghee. The most excellent, the most brilliant, the most powerful." This is the first duty of the Brahman when the fire is being kindled. "The all-embracing, the golden-haired, the ghee-flowing, the shining one, the well-sacrificing Agni, the giver of life, is being kindled with ghee. The Agni who is being kindled with the ghee, ghee is his food. The rivers carry thee, the ghee-dripper, with ghee. Drinking ghee, do thou worship the gods. O Agni, thou art the giver of life." This is the verse for the king. "O Agni, the most excellent, the messenger of the gods, the bearer of oblations, the long-living, the ghee-born, the offered, the shining one have made thee their eye. The Agni who shines in the sky, the most excellent one, the giver of light, the giver of food, the giver of wealth, the giver of happiness, the giver of strength, the giver of offspring, the giver of heaven, the giver of all good things, the giver of everything, the giver of the highest heaven, the giver, the giver of immortality, the giver of long life, the giver of prosperity, the giver of fame, the giver of glory, the giver of power, the giver of protection, the giver of safety, the giver of peace, the giver of tranquillity, the giver of bliss, the giver of joy, the giver of delight, the giver of pleasure, the giver of satisfaction, the giver of enjoyment, the giver of good fortune, the giver of success, the giver of victory, the giver of Agni, the giver, is being kindled by the Sūmans with ghee. He, having grown with the plants, stands in the long-lasting, the wide-spreading, the earth-covering, the ghee-receiving, the shining one. The Agni who has been kindled with the ghee is the friend of truth. The Agni who was kindled shines in the sacrificial places. The bright-coloured one raises our understanding." This is the Brahman's verse.
5.7.1	He gives three heifers to the three fires.
5.7.2	Brahmins eat rice.
5.7.3	To those who have eaten, he gives a common boon.
5.7.4	If one is going to kindle the fire in a particular constellation, one should place these kindling woods in that constellation, twelve days, two days, or three days before the year.
5.7.5	They should be placed by one who is kindling the fire.
5.7.6	Then he performs the vow, does not eat meat, does not approach a woman, his fire is not taken out of the house, and is not brought from elsewhere.
5.7.7	One should live for a year with the Brahmau-danika.
5.7.8	If one is a student, his fire rituals are performed in this (fire).
5.7.9	One should not go.
5.7.10	One should not follow.
5.7.11	If he were to go away or follow him, having cooked a Brahmoḍana, he should place the kindling woods with the same (mantra).
5.7.12	If in a year he does not approach him for the Agnihotra, having cooked a Brahmaṇḍana and placed the kindling woods, he should approach him and then place (the fire).
5.7.13	The maintenance of the fire is as one wishes.
5.7.14	One should perform the rite for twelve days or for one day.
5.7.15	He who is going to kindle the fire again, cooks the Brahmic rice.
5.7.16	He who is going to rekindle the fire, observes this vow on that night: he does not eat meat, does not approach a woman.
5.7.17	He binds a black goat to the north of the Garhapatya-fire with the verse, "O Agni, do thou unite the subjects and the quarters together with the cattle. Do thou place the countries which were of Savitr's Savana."
5.8.1	Then the sacrificer undertakes the vow and restrains speech. He says, "I undertake truth from untruth, I undertake divine from human, I restrain divine speech."
5.8.2	They keep him awake all night with the sound of the lute and the bow.
5.8.3	Or he does not keep awake or restrain his speech.
5.8.4	He sits and kindles the fire with shells all night, saying, "I kindle the fire with shells. I shall attain both worlds. I shall cross death by attaining both worlds."
5.8.5	In that (fire-pan) he kindles the fire-wood on the fire-pan. "The knower of beings, pour here the seed of the world, from which Agni will be born through Tapas. The Agni, the carrier of oblations, born from the ashvattha tree, from the embryo of the Shami tree, who is the source of light, is generated from this your natural seat." With these two verses.
5.8.6	The Agni, the immortal, the shining, the pure, the purifying, the worthy of praise, having recited this, the great one, the mistress of the house, the one who is on the side of truth, the one who has the womb, the one who knows the offspring, the one who generates the sacrifices, the leader, having recited this while the kindling woods are being brought, the sacrificer waits.
5.8.7	"You are the milker, you are the milked, you are the cow. I give you your share." He gives it to the sacrificer.
5.8.8	"Come up, O ten, O Śakvarīrs, with the immortal Agni, with life and lustre, may we live longer and longer. May I see the full moon and the new moon, and may I perform the sacrifice as it should be performed." Having accepted (the oblation), she stands with the Rtvīya-verse, "Agni is the seed, you two are the womb, you two will deposit the seed. I give you that truth, that you bear a hero, that you will generate a hero. You two will generate me in the morning, you two will generate me when generated, with offspring, cattle, and brahminical lustre, with the heavenly world." Having accepted (it), the sacrificer recites (the following):
5.9.1	"He takes up the fire from me first, saying, 'The Agni who is our father.' Both recite the formula. Having taken it out of the house, he says, 'Go away, go away.' Having taken it out, he sprinkles it with water, saying, 'May the goddesses protect us.'
5.9.2	In the same way for the Dakṣiṇāgni, Āhavanīya, Sabhya and Avāsathya fires.
5.9.3	Thus the rites are performed in due order.
5.9.4	Having divided half of the sand into two parts, he pours half into the Garhapatya fire-place and half into the Dakshina fire-place. Having divided half into three parts, he pours the first part into the eastern fire-place.
5.9.5	In this very manner, he pours all the earthen (bricks).
5.9.6	"The ashes of Agni" (he says) while strewing sand; "the sign" (he says), while strewing ashes.
5.9.7	While strewing them, he mentally thinks: "Whatever is black in the moon, may that be here."
5.9.8	"O Agni, rise up from the womb of the earth, enter the great abode. The gods who have brought thee, the bearer of oblations, the protector of the world, have placed thee in the anthill." He pours the anthill-earth in the place of the Garhapatya fire.
5.9.9	"What is in the sky" (is said) for the southern fire; "What is in heaven" (is said for) the eastern fires.
5.9.10	The wave of honey from the ocean has come, bearing the sovereignty, and those who are generous and we, may we collect the honey-sweet food. "You were the first to be in the kitchen" (is said). It is the boar-killed.
5.9.11	The Goddess, the first, who is separate from the gods, has spread out her greatness. You have established (her) with the sand. You have conquered the three worlds and the four directions. The sand is what is to be hated, and one meditates on it with the mind.
5.10.1	I spread the truth, the dung, on the earth. I place Agni in truth. I place Agni on truth. He arranges the materials in the places.
5.10.2	"May your bodies be united." With this (verse) he unites them. "May your hearts be united. May your mind be united. May the breath be united." Having united the Vānaspatya (plants), he scatters sand with this verse, "Agni was born first."
5.10.3	Those thy auspicious forms, O Jātavedas, which are in the sky, in heaven, on earth, having united with them, with thy retinue, with thy friends, O Agni, born of gold, do thou carry the oblation. In the place of the Garhapatya fire, he places a golden piece of gold to the north of the sacrificial materials.
5.10.4	The moon, Agni, the moon-chariot, the tawny-skinned, the all-consuming, the water-seated, the gold-knowing, the plunging, the swift, surrounded by powers, the tawny, the gods here have placed the very glorious. Thus he praises the Upasthya. He gives silver to the hated.
5.10.5	If he does not obtain the object of his hatred, he should drive it away in the direction where the object of his hate would be.
5.10.6	Thus he does it in all directions.
5.10.7	Having removed the ashes from the Brahmauḍanika, he kindles the fire from the embryo of the Sami tree.
5.10.8	When the rays are rising, he places the fire-stirring stone of Dashotr.
5.10.9	"He stands with the Agni-mantra, 'Be born with Agni, with wealth, with prosperity, with offspring, with cattle, with Brahmic lustre.' He makes the Agni-mantras while tending the horse.
5.10.10	The horse is white, with uninjured eyes, or red, with a black knee. Or any horse with a black spot.
5.10.11	When the fire is being churned, he recites the Sāman of Śakata in the Sāṅkṛti metre. When smoke arises, he recites Gaṭhin of Kausika. The fire is placed on the sacrificial wood.
5.10.12	When the fire is being brought down, he recites "O Jātavedas, come down."
5.11.1	Here he makes the sacrificer recite the four Hotr verses.
5.11.2-4	Agni, born before all, pure, purifying, worthy of praise, is born. The sacrificer gives a boon to the one who is born. A cow is a boon, another is a boon beyond that; a milch cow is a boon; another is a boon; a bull is a boon; another is a boon; an ewe is a boon;
5.11.5	The sacrificer breathes over it, saying, "I breathe thee with the breath of Prajapati, with the nourishment of Pusan, for long life, for a hundred autumns, for a hundred years, for life, for splendour, for the good, for the auspicious."
5.11.6	The mortals have generated the immortal, the flowing, the crushing, the strong. The ten sisters, the bright ones, have come together, they have embraced the man who has been born. Having taken the born one with joined palms, he says, "You are the emperor, you are the universal emperor. May the two fires of Sarasvati kindle you. May you be the eater of food, may you be the lord of food." Having performed the Upasampidhana, having lifted him up facing east, while seated, with the last of all the mantras, while the Rathantara is being sung, and the Yajnayajniya, with the first Yrshadhana, with the first two Vyahrtis, or with the first two serpents, and with the first Gharmashira.
5.11.7	"He should place (the pot) of the Bhrigus on the Brāhmaṇa, saying, "I place you in the vow of the Bhrigas, the gods, the lords of vows." He should place (the one) of the Angiras on the Brāhman who is an Angiras, saying, " "I place you in vow of the Angiras, the gods, lords of vows." "He should place (one) of the Adityas on the Brāhmāṇī of other castes, saying, " "I place (you) in the vow of Adityas, the gods." He should put (the pot) on the king, saying, " “I place you in Varuṇa's vow, the king, the lord of vows." On the Kṣatriya, he should place (the jar) saying, " " "I put you in the vow Indra, the lord of Indra, the lord." On the Vaiśya, he should put (the jar) of the Manos, saying, " "I place you in Manos, the lords of villages, the lords of the vow." On the Rāthakāra, he should place the jar of the Rbhus, saying, " 'I place you in Rbhus, the gods, in the vow, the lords of vow.' This is the placing of the jars.
5.12.1	Bhūr Bhuvah Suvar are the Vyahrtis. Bhumi is the name of the earth. The serpent king is the name of Agni. The head is the name of heat. This Agni is dear to cattle. He has become. The vomit is for the offspring and the son. The wind is the name of life. This Agni is the dear one to cattle. He is the one who has become. The offering is for the offspring, the son, and the father. The sun is the name of fire. This Agni is what is dear to cattle, he has become. The light is for the offspring. The father is the name of cooking. The eye is the name of Arka. This is the sun. This Agni is that which is dear to cattle.
5.12.2	The auspicious forms of yours, O Jātavedas, which are in the sky and on the earth, all those, having come together, with the host, with the same intention, O Agni, born of gold, do thou carry the oblation. I place thee, the vital breath, the immortal, the eater of food, for the eater of food; the protector for protection; with the strength of heaven, with the greatness of earth, with the nourishment of the atmosphere, with the brilliance of cattle, I have placed thee, the lord of all cattle. O Agni, lord of the house, I have placed you in the assembly, in the assembly of heaven, earth, and atmosphere. Find the world for the sacrificer. I place thee on the head of the earth, in the sacrificial world. The one who is near us, O Agni, and the one who is far away, this one I place upon thee.
5.12.3	"Agni, burning the evil ones, the evil ones, bestowing the best of the dawns, driving away the enemies, bestow on us prosperity, food, and strength." Thus one addresses the one being placed. The Adhvaryu makes him recite the verses beginning with "O Agni, the head of the sacrifice."
5.13.1	When the sun has risen half, one places the Ahavaniya fire.
5.13.2	When the sun has risen, for one who desires Brahmic glory.
5.13.3	He lights a fire of ashvattha wood on the Garhapatya fire and prepares sand and a ladle.
5.13.4	He is the one who strives for strength, for power, for virility, for life, for radiance, for the destruction of enemies, for the destruction (of the demon) Vritra. The glory that is yours among the gods, the heaven, the self that has entered into the cattle, the prosperity that is yours among men, with that, O Agni, come to us, consenting. From heaven, from earth, from the atmosphere, from the wind, from the cattle, from the plants, wherever, O all-knowing one, you have been born, from there, O Agni, do come to us, willing. "The All-gods have raised you up." With these four verses.
5.13.5	He lifts up the fire as if from above.
5.13.6	He holds the lifted up and the held up.
5.13.7	Then at the right ear of the horse, he makes the sacrificer recite (the formula), "O Agni, bring that dear form of yours which is in the animals, which is purifying, which is dear. O Agni, bring that form of yours which in the waters, which is purifying and dear. O Agni bring that form of thine which is in the sun, which is pure and dear." He thus makes Agni abide.
5.13.8	Then the Agnidhra, having brought the domestic fire, having churned it, and sitting with knees raised, he places the southern fire, while the Yajñāyajñīya is being chanted, with the second Vyāhṛti, with the three Sarprajñī verses, and with the second Gharmashira, "Whatever thy auspicious forms, O Jātavedas, are in the sky, on the earth, and in the atmosphere, all those, united, with thy retinue, with thy friends, O Agni, born of gold, do thou carry the oblation. I place thee, the vital breath, the eater of food, the eater of what is eaten, the protector, the protector, by the strength of heaven, by the greatness of earth, by the nourishment of the atmosphere, by the brilliance of cattle, I place thee, Agni, the eater of oblations, the giver of food, the giver of good food, the eater from heaven, from earth, from the atmosphere, I place thee in the world of sacrifice, the eater of the oblation, the giver of the oblation. The one who is near us, O Agni, and the one who is far away, this one I place upon thee." He places it in the sacrificial materials.
5.14.1	If a Brāhmaṇa, a Kṣatriya, a Vaiśya, or a Śūdra, like a demon, is very prosperous, then one should take from his house and offer it to one who desires prosperity.
5.14.2	One should not eat from his house.
5.14.3	If one desires food, from the top of a tree that is burning, like Ambarīṣa. If one desires brahmic glory, from the topmost branch of a tree that has been struck by lightning.
5.14.4	One should recite the Vāmadevya hymn when the Āhavanīya fire is being carried away.
5.14.5	"Go to the east, to the directions!" This is the (verse). Be victorious, O great one! I know you among men. Be awake in the three worlds. May I have offspring and wealth. May these goddesses stand near me for wealth. May I dwell here with these offspring. May Ida stand here, of universal form. In the middle of wealth, shine, O all-knowing one!" The horses go forward, facing the east.
5.14.6	To the right, Brahma makes the chariot or chariot wheel turn as many times as the wheel turns three times.
5.14.7	Six times for the hated one.
5.14.8	Holding it at the knee-height, he carries the third fire to the navel-height, the third to the mouth-height, and does not take it beyond the ear-height.
5.14.9	If he were to take it up and hold it, he would hold it with his mouth.
5.14.10	He should not pass between the fire and the sun.
5.14.11	Taking it from the right side, he carries it.
5.14.12	At half the distance, the sacrificer gives a gift.
5.14.13	At half distance, having placed gold, he crosses, saying, "You are the sky, the firm foundation, the passage."
5.14.14	He places the horse facing east, with the right foot towards the north, and steps over the fuel as it is placed, so that the embers of the fire as it was placed may come under the right foot.
5.14.15	Having turned to the right, he again steps over, with the verse, "What thou didst cry out."
5.14.16	He holds the horse facing west in front.
5.14.17	The horse is placed in the east.
5.14.18	In the absence of that, the cowherd of the village performs these rites. This is the Paiṅgīya Brāhmaṇa.
5.15.1	One should place the foot of the water pot. This is the Bahvṛca Brāhmaṇa; one should place the foot on the goat. This is the Vājasaneyaka.
5.15.2	Then the sacrificer mutters the auspicious verses: "Those two auspicious forms of yours, O Agni, are Viraj and Svaraj, may they enter me, may they enliven me. Those two auspicious forms of you, O Agni, Samraj and Abhibhu, may they enter, may they enliven. Those two auspicious forns of yours, O Agn, Vibhu and Paribhu, may they en ter, may they enliven." Those two auspicious forms, O Agni, Prabhvi and Prabhuti, may they enter you, may they enliven you. Those two auspicious form of yours, O Agne, may they enter and enliven you.
5.15.3	"O Agni, with those terrible forms of yours, go to him!" The sacrificer sends forth to the one he hates. With them he destroys him.
5.15.4	The Anuvākyās are in the forest.
