1.1.1.1	The Upacharavidhi is the Upacharavidhana.
1.4.3.17	O Agni, lord of vows, I have observed the vow. I have told you about it. I was not able to do it. I was unable to do it. That is why I am releasing the vow. He places the kindling woods in the fire and releases the vow.
1.4.3.18	He became the sacrifice, he became the light, he became the offspring, he became the growth, he became the lord of the gods. May he make us lords. May we be lords of wealth. He recites the verse again.
1.4.3.19	"He recites the verse, "O Agni, may I be a cow-owner, a sheep-owner, a horse-owner, a sacrificer." Having stepped forward, he recites the verse.
1.4.3.20	The sacrificer eats the Samit-oblations at the end of the Samit-offerings. The Brahman eats the Saṁnāyya-oblations.
1.5.1.1	One should perform the Agnihotra in spring, the Brahman, in summer, the king, in autumn, the Vaishya. Winter is for all.
1.5.1.2	One who is going to perform a Soma sacrifice, the time is not fixed, but it is in the constellation.
1.5.1.3	On the full moon day of Phālguna, one should perform the rite a day or two before.
1.5.1.4	A brahmin whose son is born should perform the rite on the Kṛttikā constellation.
1.5.1.5	The constellations of Rohiṇī, Phālguni, and Citrā are mentioned.
1.5.1.6	One should perform the rite in the constellation of Mṛgaśiras.
1.5.1.7	After Punarvasu, the asterism of Pushya is the worst. One who desires progeny should perform a rite in the asterism of Vishakha. One who desires prosperity should perform a rite on the asterism of Anuradha. One who desires stability should perform a rite under the asterism of Prishthapada.
1.5.1.8	One should perform a rite at the time of the full moon or new moon.
1.5.1.9	The one who has ascended the Ashvattha tree with the embryo of the Shami, I bring you with the Brahman and the sacrificial banners. He brings the Ashvattha of the Shami-ascent.
1.5.1.10	He recites, "Place life in me, place life in the sacrificer."
1.5.1.11	The sprinkling is as in the Darsha-Paurnamasa sacrifices.
1.5.1.12	Having bathed and put on a fresh cotton cloth, he eats his meal.
1.5.1.13	In the evening, he performs the rite of marking the shadow in the hall with a northern slope and a southern beam, from the middle of the beam.
1.5.1.14	Having removed and sprinkled, he places the sacrificial grass and sacrificial wood in it, or the fire for the sacrificial hall.
1.5.1.15	The priests are invited before the offering.
1.5.1.16	He offers with the verse, "To the wise, to the poet, to the bull, to the giver of wealth, I offer this praise. From where there is fear, may there be safety for us. May we worship the gods. Svāhā!"
1.5.1.17	On a red hide with four corners, on a goat skin with the head towards the east, the flesh is offered after removing the hair.
1.5.1.18	At night, he should be guarded.
1.5.1.19	He cooks Brahma rice and living rice.
1.5.1.20	He pours it with ghee that is not boiled or with fresh ghee that is boiled, and then places it on the northern side.
1.5.1.21	Having taken the rice-balls in a vessel, having heated a large quantity of clarified butter elsewhere, and having placed it around the Brahmic rice, the priests and the invited guests sit down, the Brahman to the right, the Hotṛ behind, the Udgātṛ to the north, and the Adhvaryu in front.
1.5.1.22	Having taken the rice-cakes and having sprinkled them with clarified butter, they eat.
1.5.1.23	To them he gives a cow.
1.5.1.24	He places them with these three formulas ending with svāhā, in the Gāyatrī metre for the Brāhmaṇa, in the Tristubh metre for the Kṣatriya, and in the Jagatī metre for the Vaiśya.
1.5.1.25	One should offer the Agnihotra continuously for a year, or for twelve nights, or for three nights, or for one night.
1.5.1.26	One should not take the Agnihotra from one's house, or bring it from elsewhere.
1.5.1.27	One should go nowhere.
1.5.1.28	One should speak no untruth.
1.5.1.29	One should eat no meat.
1.5.1.30	One should approach no woman.
1.5.1.31	One who is going to kindle the fires should observe a fast on the day before the full moon or the new moon, or on an asterism.
1.5.1.32	The priests who are observing the vow live together.
1.5.1.33	"In the northeast direction, he ties a black goat, saying, "O Agni, may the offspring be united."
1.5.2.1	"He kindles the fire with the scales, thinking, 'I am kindling the two worlds; I am prospering in both worlds; I am crossing over death.' They kindle the fire with the (sacrificial) scales.
1.5.2.2	The sacrificer gives the sacrificial fee.
1.5.2.3	The earth, the wife of the sky, the nearest to the abode of truth, the most distant of the streams of wealth, the mother of the born Jātavedas, the leader of the sacrifices, he receives (the Soma).
1.5.2.4	"You are the one who has the seasons, Agni is the one who has semen, you two have semen for nourishment and reproduction. The truth is that you two are the heroes who will beget a hero. In the morning I will beget you two who will beget. You two who have been born will beget. With offspring and cattle, I approach truth from untruth, the divine from the human. Having said this, he restrains speech."
1.5.2.5	The wife of the southern fire makes the kindling-wood in her hand.
1.5.2.6	The one who is attentive to speech, with the kindling-woods in his hands, is awake.
1.5.2.7	He kindles the kindling-sticks of the Brahmauḍanika fire in the morning.
1.5.2.8	He places them on the kindling- woods with the verse, "This is your natural place."
1.5.2.9	Having taken the ashes, he makes the mark of the Garhapatya, having taken it up and sprinkled it, to the right, in front of the Dakshina Agni, at a distance of three cubits from the mark of the Gārhapatya, in a straight line towards the east, towards the Āhavanīya.
1.5.2.10	He places the materials in the order of the marks.
1.5.2.11	The wave of honey has come up from the oceans, bearing the means of sovereignty. We who are the most generous and you, may we gather the sweet honey of strength. Thus he sprinkles water on the foot-prints.
1.5.2.12	"Here was the highest (place); from here the Goddess was first separated from the gods, when they deposited her with greatness." Having deposited the earth dug out by the Boar, he silently deposits the earth dug out from the anthill.
1.5.2.13	May the knower of beings, who has come to the same source as this heaven and this earth, may he be seated on its back, may he be auspicious to the creatures. May he be our wealth here. Thus, while sowing the Uśan seeds, one should mentally contemplate the dark moon, thinking, "May it be here."
1.5.2.14	The Moon, Agni, the Moon-chariot, surrounded by the Maruts, the All-pervading, the Water-seated, the Knower of Heaven, the Plunger, the Swift, surrounded by the Powers, the Shining, the Gods have placed here the Splendour of the Shining One. Thus he scatters the sand, which is very bright.
1.5.2.15	The stones are not firm, the three-streaked ones, the unconquered ones, the ones who conquer the worlds and the four directions. He puts down the brown stones.
1.5.2.16	One should mentally think of the one whom one hates.
1.5.2.17	"Rise up, O Agni, from thy mother earth, enter the great assembly-place. The worshippers have placed thee on thy chariot, the bearer of oblations, the guardian of the world." So he says when he puts down the Aakhu-kiri.
1.5.2.18	Silently he puts down the lotus-leaf, the Udumbara, the Vikankata, the Shami, the Ashvattha, the Palasha, and the seventh, the one struck by lightning.
1.5.2.19	I unite your hearts, I unite your minds, I unite your breaths, I unite your bodies. Thus he unites the materials.
1.5.2.20	"This cow, the speckled one, has gone forth" (he says) while touching the materials for the Garhapatya fire. "It moves within" (he says), while touching the materials of the Dakshina fire. "It has thirty-two flames" (he says,) while touching the materials (for the Ahavaniya fire).
1.5.2.21	He places the horse, which is to be trained, in front, facing west.
1.5.3.1	Having placed the two testicles of the Garhapatya fire, which is characterised by the Muñja grass, on the fire-place, he places the two fire-sticks, with their ends not cut off, facing east, with the formula, "Thou art Urvashi." He places the lower fire-stick, which is made of cotton, facing west, and the upper fire-stick, made of roots, facing north. Having placed the fire-sticks, he makes the sacrificer recite the formulas of four Hotr priests.
1.5.3.2	"The man kindles the fire with the kindling-sticks, with the rays of light." Thus he sends forth (the fire).
1.5.3.3	"He is born from the two joined ones." Thus he rubs (the fire-sticks).
1.5.3.4	"Thy smoke is shining." Thus when the smoke has arisen.
1.5.3.5	"Thou art seen, the best of singers." Thus when it has arisen.
1.5.3.6	"O Prajapati, I breathe upon thee with the breath; for the nourishment of Pusan, for my long life, for a hundred autumns." Thus he breathes upon the born.
1.5.3.7	"He who is our Agni, the father," beginning from the region of the heart, the sacrificer, having taken up the ladle, sprinkles three times with the full-mouthed ladle.
1.5.3.8-9	Whatever nectar there is in the earth, that Agni gave to Agni. Let this be deposited in that. The Brahman, seated on the right side, should deposit a golden chip in the collected materials. The sacrificer should give silver to his enemy. If it is not available, he should throw it away.
1.5.3.10	"What is in the sky" he says for the Dakṣiṇāgni; "What is in heaven" he says for Āhavanīya.
1.5.3.11	"You are the milker and the milked" he recites.
1.5.3.12	"Heat is the head" he makes the sacrificer recite.
1.5.3.13	"I take it in me" the Adhvaryu and the sacrificer resolve the heart.
1.5.3.14	"He places it in the Angirasa rite of the gods, saying, 'In the Angirasa (rite) I place thee.' In the case of others he says, 'In Indra (I place thee).' In the case of a king he says, 'in the mind (I place thee)'; in the case of a Vaishya he says, ' in the shade (I place thee)'. Everywhere he follows with 'In the shade (I follow thee).'
1.5.3.15	He places the burning (fire) with the formula, 'Thou art placed in the lap.'
1.5.3.16	He follows it with the Vāravantīya Sāman.
1.5.3.17	Agni, you purify the life-forces. Agni is the sage. Agni, do purify. With these (verses) he places three kindling-sticks of ashvattha, three of shalmali and one of udumbara.
1.5.3.18	He places each one with the formula, "To Agni, the anointed, svāhā."
1.5.3.19	Having placed the kindling-sticks for Agni in the Garhapatya fire,
1.5.4.1	"O Agni, the steed," he recites over the horse.
1.5.4.2	"What has been uttered," the sacrificer mutters in the right ear of the horse.
1.5.4.3	Having made the remaining embers into a ladle, he lifts up the fire, saying, "For strength and power to you."
1.5.4.4	Having given it to the Agnidhra, he churns the southern fire facing north, either from the Bhrstara or the Garhapatya.
1.5.4.5-9	"He places it with the formula, "Bhuvaḥ." He follows it with the formula recited by Vamadeva. Taking the Agni-bringing formulas, he goes towards the east, reciting, "The wise one goes towards the eastern direction." The horses go towards the east, with the horses at the front. The sacrificer goes behind the Agni being brought, The Brahman recites the formula, "The wheel of the chariot moves," or "The wheel of a chariot moves."
1.5.4.10	"Thou art the sky, thou art the firmament, thou art the firm foundation, the place of rest." Having placed gold in the middle of the altar and having made it stand, the sacrificer gives a boon.
1.5.4.11	Having gone around the altar by the northern side, he says, "All the armies are here." Having stepped on the horse with the right foot from the side of the materials, he makes it turn around and goes around.
1.5.4.12	Having obtained the horse to be turned back, having placed the Agni-carrying (bricks) up to the ankles, he should take them up to the knees, to the navel, to the shoulders.
1.5.4.13-15	He places it on the ground, saying, "May it be heaven, as the sages have said." "Whatever light, bright, shining, bright, is yours, by that I place you. We are on the place of Ida." He stands facing east, facing west, standing upright, on the side of the foot, saying, "Heaven." He follows the chanting with the Yajnayajniya hymn.
1.5.4.16	One who has enemies or rivals should turn the chariot wheel three times in the sacrificial enclosure.
1.5.4.17	The sacrificer approaches the fires, the Garhapatya fire as the king and the lord, the Dakshina fire as the emperor and the lord, and the Ahavaniya fire as the possessor and the possessor of the world.
1.5.4.18	Having surrounded the fires, having sprinkled them, having spread them, having melted clarified butter over the southern fire, having placed it over the Garhapatya fire, having purified it, they perform the rites for the one who is thus.
1.5.4.19	He places three Sami wood-sticks smeared with ghee, with the three verses, "From the ocean the wave," ending with "Svāhā." He places the un-smeared Udumbara wood-stick with the verse, "Those Agni-s who are of one mind."
1.5.4.20	He offers the full oblation with the verse, “O Agni, seven are thy kindling woods.” He offers the Agni-parāṇayaniya oblation with the verses, “Those Agni-s in heaven, those Agni-s on earth.”
1.5.4.21	The sacrificer releases the speech with the words, "I give a horse to the Adhvaryu." He also rejects the boon.
1.5.5.1	The procedure of the Darsha-Paurnamasa sacrifices and the Iṣṭis is as follows:
1.5.5.2	We shall describe the modifications in sequence.
1.5.5.3	One should understand the deities as mentioned in the texts gradually.
1.5.5.4	The deities of the Agni-installation rites are all performed silently. They are performed immediately.
1.5.5.5	Having placed the Agniya animal sacrifice with eight potsherds, having released the goat in front of the sprinkling, having taken it up in front of the Ahavaniya, having sprinkled it, he places it on the Sabhya from the Ahavaniya. From the Sabhya, the one for the Avasyatha.
1.5.5.6	Having sprinkled it from the north, he spreads it for the Adhidevana. The former for the invitation.
1.5.5.7	In the Adhidevanas, having spread out the cloth, he scatters four hundred dice on it.
1.5.5.8	The noble gamblers sit around.
1.5.5.9	In the middle of the Adhidevan, having collected the dice, having placed gold, he sits down, having taken the vow, he offers the oblation.
1.5.5.10-14	The sacrificer wins the cow. He gives him a hundred dice. They should be distributed. Having won the dice, the sacrificer wins the cattle. He sends (the dice) saying, "Do this." The parts of that (cow) should not be injured. They should be released like the limbs.
1.5.5.15	Having pierced it, he should offer it to the assembly.
1.5.5.16	Whatever he takes with that, he should give to the priests at the time of giving Dakṣiṇā. They should consult here itself.
1.5.5.17	"He offers in the Avasathya (fire) with the verse, "O king, this is yours." In the invocation, he says, "Praṇūnam Brahmaṇaspatiḥ."
1.5.5.18	The sacrificer stands by the fires, reciting, "The heat is the head," towards the Garhapatya, facing east. "The wind is the breath," towards the Dakshina Agni, facing north. Standing in the middle, facing east, he recites, "May heaven and earth be united, the fires that are in unison." Thus he stands by the fires.
1.5.5.19	The consecration is concluded with the sprinkling. The sacrifice is concluded with success.
1.5.6.1	If the fire is extinguished, one should offer a cake on eight potsherds to Agni Pavamāna.
1.5.6.2	The Dakṣiṇā is gold weighing thirty mānas.
1.5.6.3	If the fire is extinguished again, one should offer two cakes on eight potsherads to Agni Pāvaka and Agni Śuci.
1.5.6.4	The Daksiṇā is gold weighin seventy mānas.
1.5.6.5	When the fire is extinguished for the third time, one should offer an Ekādaśakapāla oblation to Agni-Viṣṇu and a rice-gruel cooked in ghee to Viṣṇu Śipiviṣṭa.
1.5.6.6	For Aditi, a cake on eleven potsherds, for Agni and Soma, for the Brahman, cooked in the Brahman's share, with the ladle.
1.5.6.7	The Brahman takes the cake for Aditi together with the Brahman's and the Sacrificer's shares.
1.5.6.8	At the time of the Dakṣiṇā, he gives a goat to the Agnidh, a blanket to the Sūtradhārin, a bull to the Adhvaryu, a cow to the Hotṛ, two calves, one of which is a bull, a chariot yoked with a hundred horses, and a garment to the Adhvaryu at the end of the sacrifice.
1.5.6.9	The four priests eat the oblation to Aditya after the Samisht-yajus. He gives a calf to them.
1.5.6.10	One who is going to perform a Soma sacrifice, having installed the fires, should feed the priests with rice cooked in four pots of water.
1.5.6.11	He should offer oblations to the deities of the Ajyastis.
1.5.6.12	He offers oblations in the Samvatsara.
1.5.6.13	A Brāhmaṇa should not live in a house where he is not fed.
1.5.6.14	One should not eat food cooked by a Rībīsa.
1.5.6.15	One should avoid drinking water that is inside a vessel.
1.5.6.16	One should never place wet wood on fire.
1.5.6.17	One should sit in a self-made shelter.
1.5.6.18	One should go to a place where one is invited, but not without being invited. One should go to a village where one is invited in the afternoon.
1.5.6.19	He who is about to perform the Darsa and Paurnamāsa sacrifices, offers the Ārambhaṇīya sacrifice, namely, a cake on eleven potsherds to Agni-Viṣṇu, a cake on eight potsherds to Agnī-Bhaga, a cooked rice to Sarasvatī, and a cake on twelve potsherds to Sarasvata.
1.5.6.20	Having placed the twelvefold offering in the ladle before the Svishtakrit offering, he offers the twelve oblations beginning with "To Akoota, svāhā! To Kūta, svāha!" and ending with "To Jaya, svāha!". If one desires, "May he be the foremost and most brilliant," then the thirteenth oblation is offered. If one desires, "May he be the most powerful among the gods," then the fourteenth oblation is offered.
1.5.6.21	He offers the cooked rice with the ladle of Ficus glomerata at the Sviṣṭakṛt offering and to Idā.
1.5.6.22	The sacrificial fee is a pair of cows.
1.5.6.23	One should offer the ladle of Fīcus glomerata at the Suktavāka.
1.5.6.24	Having set up the full-moon sacrifice, having performed the Ārambhaṇīya rite, one should offer the full-moon oblation on the same day.
1.5.6.25	Having placed it on the new-moon day or on a lunar asterism, one should perform the Upasads on the new- moon day, and offer the sacrifice on the full-moon day.
1.6.1.1	Having said "Take up the Ahavaniya," one should take the blazing Ahavaniya from the Garhapatya in the evening when the Upasads are being performed, and in the morning.
1.6.1.2	With speech as Hotr, with breath as Udgâtri, with sight as Adhvaryu, with mind as Brahman, with hearing as Agnidh, with these five gods as priests, I draw thee up. So he draws it up.
1.6.1.3	"When I am being lifted up, lift me from sin, whatever I have done in ignorance or in knowledge. Whatever sin I have committed during the day, release me from all that. Whatever sin I may have committed during the night, release me from that."
1.6.1.4	I offer the oblation of immortality to the immortal Agni in the earth for the conquest of immortality. O Agni, with you I conquer the desire. Prajapati first conquered Agni. To Agni in Agni, svāhā. In the evening he places it thus. In the morning he places it thus: "Sun in Agni."
1.6.1.5	One should take it at night.
1.6.1.6	The Brahman who has lost his glory, the householder who has lost his semen, the king who has lost his kingdom, the Vaishya who has lost his wealth, these are the ones who are always held back.
1.6.1.7	He places the Mahd in the Ahavaniya.
1.6.1.8	The Agnihotra should be offered at dusk and in the morning when the sun has risen.
1.6.1.9-11	"He cleanses the Āhavaniya fire with the formula, "O Agni, do thou be purified." He cleanses the Garhapatya fire with the verse, "O lord of the house, do thou be pure." He cleanseses the Dakṣiṇāgni fire with the verse "O Agni Vahn, do thou be cleansed." He cleansess the fires with the verses, "I cleanse thee with truth and reality" in the evening and "With truth and reality" in the morning. He spreads the fires.
1.6.1.12	Then he strews Darbha-grass towards the north of the Ahavaniya.
1.6.1.13	He places the kindling-wood, the spoon, the Agnihotra-vessel and the Aryakriti-vessel on the ground strewn with Darbha-grass to the north of the Garhapatya.
1.6.1.14	He makes the calf to graze to the north, and the Aryakrti cow to sit facing east. The cow is milked by a non-Brāhmaṇa facing north.
1.6.1.15	Having removed the embers from the Gārhapatya towards the north, having placed the embers in the Iḍā-place, having sprinkled ghee, having placed the oblation, having recited the verse, "O Jātavedas, do thou accept this oblation. Those domestic animals of various forms, may their sevenfold prosperity be here."
1.6.1.15	Thus he places it.
1.6.1.16	He should look at it with the verse, "The origin is here."
1.6.1.17	"May I be exalted with offspring and cattle," he says, and heats it with the Uddalaka.
1.6.1.18	"May I not be separated from you," he says, taking it back to the fire with the Udabindu.
1.6.1.19	"You are the universal light," he says, lighting it again.
1.6.1.20	"The Rakshas is hidden, the evil spirits are hidden," he makes three rounds of the fire with grass.
1.6.1.21	Come forth, O Veda, and increase us with offspring. May our hatred be averted. Let there be no fear for us. Do not injure us. Let there be neither curse nor sorcery. In the auspicious region, in the unbending, in the unconquered, he sends forth to the north, making a path.
1.6.1.22	"The enemy is repelled, the fear is repelled, the armies are repelled, the destroyers are repelled." He repels the embers and destroys the path.
1.6.1.23	He offers with milk, curds, barley-gruel or ghee.
1.6.1.24	There should be no placing of curds and ghee, nor heating.
1.6.1.25	He heats the ladle and the spoon on the Garhapatya fire with the verse, "The Rakshas are heated, the evil spirits are heated."
1.6.1.26	Having placed the kindling-wood on the ladle, having said "I shall take up", he takes it up with the formula, "May I take up the earth, the Ida, the heaven, the Ida, and the people, the Ida." He takes it up with each formula, the subsequent one being more and more extensive, complete and supreme, or all equal.
1.6.1.27	Having taken it up with the verse, "This is the abode of the gods", he touches it with the verse, "This is our abode." The remaining (kindling-wood) is taken up.
1.6.1.28	He places the animals on darbha grass with the formula, "May the animals be offered to me." The animals are placed in front of the Hotr.
1.6.1.29	He touches the Agnihotra-milk that has been taken up with the formula, “O Agni, do thou be tenfold for me."
1.6.1.30	Having placed a fire-stick above the ladle, he takes the Samīdha with the formula, "Do thou go to the atmosphere." He takes the Samīdhi.
1.6.1.31	He places it in the middle of the Samīdhi with the formula, Svāhā to Agni Vaisvānara."
1.6.1.32	He takes it up with the formula "To Vāyu thee."
1.6.1.33	He places the darbha grass with the verse, "May my life be long."
1.6.1.34	He places the kindling wood with the verse, “This is your kindling wood, O Agni. May you grow and flourish by it, and may we grow and flourish by you. Svāhā!”
1.6.1.35	One should meditate on the prāṇa and apāna at the time of blinking.
1.6.1.36	One should offer the kindling wood at a distance of two fingers from the burning fire.
1.6.1.37	In the evening he offers with the formula, "Bhūr Bhuvah Svah, Agnihotra, Agni, Light, Light, Agni, Svāhā." In the morning he offers with the verse, "Bhūr, Bhuvah, Svah, Agnihotram, Surya, Light, Light Surya, Svāhā".
1.6.1.38	He places the darbha grass with the verse, “May my radiance be bestowed.”
1.6.1.39	He looks at the Garhapatya fire with the verse, "O Prajapati, may my cattle be bestowed.
1.6.1.40	"Svāhā to Prajapati" - this is the most important mantra.
1.6.1.41	Having instructed the most important, he sprinkles the Samagni three times towards the north, saying "Mṛḍā Dhūrti"
1.6.1.42	"For Iṣa, for you" - he sprinkles downwards in the evening. "For Urja, for you" he sprinkles upwards from the sky.
1.6.1.43	"May you grant me offspring" - he places the stick pointing towards the north.
1.6.1.44	"He anoints the darbha grass with the formula, "Do thou invigorate the plants."
1.6.1.45	He places his right hand stretched out towards the south with the formula, "To the Pitrs, svadha!"
1.6.1.46	He eats twice with the formula, "Pusha is thee!" touching the teeth.
1.6.1.47	He cleans his teeth with the formula, “To the other people, svāhā!” In the morning with the formula, ”To the Gandharvas and other people, svāhà!”
1.6.1.48	Having sprinkled the unwashed blade, he thrice throws out water towards the east with the formula, "I gratify the serpents and ants for the serpents and ants, svāhā."
1.6.1.49	Having sprinkled the blade after washing it with Darbha-grass, he thrice throws it out silently.
1.6.1.50	Having taken the full (cup), he offers with the formula, "I offer the Prāṇa in the immortal, svāhā." After that, he places it towards the north of the Āhavanīya with the formula, “I offer the Prāna in the immortal, Svāhā."
1.6.1.51	Having heated the Agnihotra ladle, he places it on the ground. Having heated the Agnihotra vessel, he places it in the Agnihotra ladle and takes it up and places it towards the east.
1.6.1.52	He offers with the ladle at the two (fires) with the formula, "O Agni, the lord of the house" at the Garhapatya, "Svāhā" at the remaining half of the ladle. "O lord of food, do thou give us food" at the Dakṣiṇāgni, "Svāha" at the remaining part of the ladle. Or there may be no offering at the two (places).
1.6.1.53	The cow from which the first Agnihotra is milked is the Dakṣiṇa, or milk.
1.6.1.54	The Rajanya should offer Agnihotra, and on the Parva days he should give food to a Brāhmaṇa.
1.6.2.1	When the food is being placed on the fire, or when the hands are being washed, or when the food is being offered, he should recite the four verses of Vihavya.
1.6.2.2	"Having stood facing the south, facing the east, and facing upwards, he says, 'I shall offer.' When this is said, he says, "Bhuvah, Bhuvah, Svarah, Om, offer." The teacher permits.
1.6.2.3	Having sat down, he touches the first Agnihotra with the ten Hotr verses and the Vyahrtis.
1.6.2.4	In the year after year, having offered the former (oblation), having risen and approached, he recites twice, "The sacrifice is approaching," and then he attends the Agni-Soma sacrifice with the verse, "These are your young ones," and the Indra-Agni sacrifice with the verse "This is the first to come here, sent by the creators."
1.6.2.5	He recites four verses before the Agni-Soma and Vihavya sacrifices.
1.6.2.6	With the verses beginning with "O Agni-Soma, do you both protect this (sacrifice) well" and ending with "O Agni, do you protect this (sacrifice)" he offers three kindling woods.
1.6.2.7	"O Citravasa, may we attain your auspicious end." He recites this three times.
1.6.2.8	"May I eat the water and the grass." He offers the calf.
1.6.2.9	With eight verses beginning with "I approach you, O Agni, day by day" he worships the Garhapatya.
1.6.2.10	"He offers the cow with the formula, "I see you with energy."
1.6.2.11	He attends upon the Ahavaniya fire with the formula, "May there be greatness in the three worlds."
1.6.2.12	He attends on the fire with the formula as prescribed in the Brāhmaṇa, "Thou art the one who is depressed."
1.6.2.13	He attends each one with the formula, "Pūṣan, the protector of the path, may protect me." He attends upon the earth, the atmosphere and the heaven.
1.6.2.14	"The direction East, Agni is the deity." Thus in each direction, as mentioned. "May Dharma protect me from Dharma." Thus as mentioned.
1.6.2.15	Having sat down between the fires, he recites, "For the light, for the thread."
1.6.2.16	In the evening, the wife attends; not in the morning.
1.6.2.17	Tomorrow, the goddesses, the wives of the sun, the approaching Ushas, may they anoint me with the lustre of the sacrifice, with lustre and wealth. May the goddesses anoint me. May those who hate me be destroyed. May I not destroy those who hate me. I am the sage, the single hero. I am Viraj, the conqueror of men. I am the one who is in front, the one who is behind. I am the thunderbolt, the destroyer of enemies. I have destroyed enemies, the ill-wishers. The ill-wishers are destroyed. Let us move about without harm. Having said "Arvāgvāsu" three times, he recites the four verses of Vihavya.
1.6.2.18	The sacrificer who is not better should approach with the Vihavyas.
1.6.3.1	Having stayed for ten nights or less, the sacrificer who is about to depart with his wealth, having placed the animals to be offered, having removed the animals to be removed, having offered the morning Agnihotra when all are yoked, having recited the verses "O Vastospati, O Vastospati", he offers the oblation with the verse, "All these worlds, O Angiras, are separate, Agni has been created for the desire of each." This is the second verse.
1.6.3.2	"This is your natural place of sacrifice," he places it on the kindling woods. If he has gone away, then on all.
1.6.3.3	"O Agni, with that form of yours which is fit for sacrifice, come here. Having united yourself with yourself, creating wealth, becoming a sacrifice, you have come to your own sacrifice. Having been born in your own place, come to your own place." He places it on himself.
1.6.3.4	Having dismissed the Adhvaryu, having gone to the Samavidha, the Yajamana goes to the Yajamāna.
1.6.3.5	"Having gone down, O Jātavedas, again carry the offerings to the gods, knowing, bestow on us life, offspring, and wealth, be imperishable, shine for us in the house."
1.6.3.6	Thus, going to the next day, he places it on the cart and says, "Having gone down."
1.6.3.7	Having said, "May the fires be luminous," he stands near the blazing fire when he is about to depart. He stands near the domestic fire, saying, "May the serpent-born one protect my mantra. May he protect it for my return." He stands near the fire in the assembly hall, saying, "Protect my assembly. May it protect me for my return." "Protect my cattle," he says near the fire for cattle. "Protect my offspring," he says near Gārhapatya. "Protect my food," he says near Dakṣiṇāgni.
1.6.3.8	"May Mitra and Varuna protect these my houses." Standing between the two fires, he recites this.
1.6.3.9	"My name first, O Jātavedas, my father and mother gave it to me. You have it now. Bring it back to me. I shall keep your name, O Agni." Standing near the Ahavaniya fire, he says this.
1.6.3.10	Let us not go astray from the path, let us not go astray, O Indra, from the sacrifice of the Soma-presser. Let not the evil spirits stand in our way. Thus he gives up speech near the fire, or in a place where there is no fire.
1.6.3.11	When going away, one stands facing the directions at the time of the Homa.
1.6.3.12	"With the thought of one who is not sick, they bring the world-wide (fire). O Agni, may I not be harmed by your presence." Having returned, he brings the kindling woods, and puts down the speech in a place not too far from the fire, and releases it near the fire.
1.6.3.13	Having said, "Place the Agni," he stands near the ashes.
1.6.3.14	"He stands by the Avasatha fire, saying, "Do not despise my mantra, O Ahibudhnya, give it to me again." He stands by the Sabhya fire, saying, "Do not despise my Sabha, give it to my again." He says, "Do not scorn my cattle, O Shansya," standing by the Ahavaniya fire, saying, "Do not scorn my progeny, O Naraya," standing by Garhapatya fire, saying "Do not despise food, O Budhya," standing by Dakshina Agni.
1.6.3.15	"May Mitra and Varuna protect these houses of mine." Standing between the two fires, he mutters this.
1.6.3.16	"You and I, O Jātavedas, are like two garments that have been worn and are now being worn again. You are the one who sustains us for greatness and life, as befits us. O Jātaveda, you have done this for us." Placing the kindling sticks silently in the fires of the assembly hall and the dwelling place.
1.6.3.17	If the fire has been extinguished, one should rekindle it with the same kindling woods and the other materials. If one is unable to do so, one should return and rekindle it.
1.6.3.18	If the fire has been neglected and one goes away, one should re kindle it here with the thought, "I am carrying you, O Agni, in my heart, in my speech, in my mind. Do not let my sacrifice be hidden from you. I stand before the eye of the all-consuming fire." One stands before it.
1.6.4.1	One should perform the Aggrayan sacrifice on the Parvan day, in spring with barley and in autumn with rice.
1.6.4.2	One should eat the new grain after having offered the first fruits.
1.6.4.3	It is settled until the offering.
1.6.4.4	One offers to Agni-Indra, to the All-gods, and to the Heaven-Earth.
1.6.4.5	In autumn, to Soma, of Syamasaka rice in another vessel.
1.6.4.6	We shall prescribe the rites for the seeds of various kinds and for the offerings of Vasat-utterance and for the single potsherds.
1.6.4.7	The seeds of various kinds are to be touched separately.
1.6.4.8	The principal oblations are to be called.
1.6.4.9	From the time of pouring down the oblations till the time of making the cakes, the barley grains are to be made into cakes one by one.
1.6.4.10	The Opadana is to be prepared.
1.6.4.11	He places twelve potsherds for Agni-Indra and one for Dyāvāpṛthivi.
1.6.4.12	The rite is concluded by the placing of the potsherds.
1.6.4.13	Having placed the potsherds for Agnendra, he places the potsherds of the oblation for Visve Devāḥ.
1.6.4.14	Having brought in the water and having spread the rice grains, he places it on the ground, the size of the joint of the thumb or the size of the leaf of a palm tree, and places the Soma cake.
1.6.4.15	Having brought in the water, having spread the rice-grains, he cooks the rice-cake clockwise with the ladle.
1.6.4.16	It is cooked when it is taken out.
1.6.4.17	He places the one-spoonful on another vessel, decorating and filling it.
1.6.4.18	At the time of offering, having placed it on the sacrificial grass and spreading it, he offers all at once with the one-spoon.
1.6.4.19	Having sprinkled the vessel twice, having offered with the one- spoon, at the Vaṣaṭ-call, he offers in the middle with his hand. He offers directly to the upright one with the vessel.
1.6.4.20	If it were to change, it would be explained by the Brahmins.
