1.1.1.1	In the performance, the benefit of the man and the knowledge of the sacrifice.
1.2.2.1	He makes a bundle of darbha grass. For one desiring cattle, he makes it with a calf. For one desiring brahmic lustre, he makes it three-layered. For one desiring food, he makes it for the sake of food.
1.2.2.2-4	Having made the sacrificial grass, having placed the calf-pen, having placed the sacrificial grass at the beginning of the Veda, having tied the head of the Veda three times, having tied the northern part, having tied the southern part, having tied it in the northern direction, having tied it from the northern direction, Having tied it from the southern direction, having tied the eastern direction, having tied from the eastern direction, Having tied the western direction, having tied in the western direction, Having tied from the western direction, he ties the southern direction, Having tied in the southern direction, he ties from the southern direction. Having tied the northern direction, he ties in the northern direction. Having tied from the northern direction. Having made the sacrificial grass the size of a span, he places the roots on the mound. Here itself, on the new moon day, he makes the altar. Everything is done on the full moon day.
1.2.2.5	He should cut the Palāśa twigs from the root and place them within the altar. He should also arrange the seats.
1.2.2.6	He makes a Pavitra of Darbha grass from the branch, without knots, three-leaved, and unbroken.
1.2.2.7	Having offered the Agnihotra, having collected and spread (the grass), having spread the vessels to the north of the Garhapatya, he arranges the pairs of vessels for the Snannayya in the ladle, the milking pot, the pot for the Kumbhi, and the twig for purification.
1.2.2.8	He makes the two blades of grass, which are the purifiers of the sacrificial grass, cut at the end, and of the size of a span.
1.2.2.9	"Having cut (the grass) with the formula, "You are pure, you are in the Vishnu-grass,", and having wiped it three times with water with the formula, "You are pure in the mind of Vishnu," he prepares the sprinkling water.
1.2.2.10	"May the god Savitr purify you." Having recited the Gayatri verse three times, having purified the water from the back, having recited the verse "The divine waters are the foremost," he sprinkles the vessels three times with the verse "Purify yourselves for the divine rite."
1.2.2.11	He instructs, "Tell me about the grazing ground and the village that has been attacked, and do not let them pass between us."
1.2.2.12	Having heated the pot, he says, "The Rakshas are heated, the enemies are heated." Having heated the pot and having placed the strainer with its mouth towards the east, he says, “You are the strainer of the Vasus.”
1.2.2.13	Having recited, "You are the sky," he places it, reciting, "You are Matarisvan's pot."
1.2.2.14	He begins the recitation and restrains speech.
1.2.2.15	He does not release it empty.
1.2.2.16-19	When the calf is being let loose, he recites, "For nourishment to you." "May I unite you with prosperity and abundance." "May you be united with the prosperity of cattle." "May they be united with the nourishment of cattle." When being led away, he recites "You are the cord of Aditi." "May the living ones come to you, swelling with nourishment and ghee, the living ones."
1.2.2.20	They milk the cow, the pot with four holes, the cow Idā, rich in honey, for welfare. May Indra and Agni stimulate it, for truth, and may it place the sacrificer also in the heavenly world. Thus is the sound of the stream.
1.2.2.21	The milker asks, "Who is being milked?" She tells him her name.
1.2.2.22	He recites the formula, "May she be the bestower of all life." He recites the second formula, "May be the bestower on all." He recites third formula, "May he be the bestower for all."
1.2.2.23	He pours out the milk.
1.2.2.24	He milks three times with the formulas and three times silently.
1.2.2.25	When the milk is collected three times, he thrice releases his speech loudly.
1.2.2.26	"Many are the lords of cows who offer oblations to the gods." Thus he instructs. "To Mahendra" - those who sacrifice to Mahendra.
1.2.2.27	Having released his speech, without being interrupted, he milks the northern (cow).
1.2.2.28	"Do ye unite yourselves with the truthful ones, the most sweet with the waves, drinking with milk, the slow one with milk, for the sake of wealth." Thus he brings the rinsing of the pot.
1.2.2.29	He recites the expiation for the spilled oblation, "Huta stoka."
1.2.2.30	While making the path, he sprinkles water towards the north, reciting, "Firm the cows, firm the cow-owner. May not the lord of sacrifice be injured."
1.2.2.31	He anoints the cold ground with curd or with milk kept the previous day.
1.2.2.32	He anoints, saying, "For Indra, I anoint your share with Soma." For those who sacrifice to Mahendra, he says, "For Mahendra."
1.2.2.33	He offers the gruel of barley, and puts back the ball of it, saying, "To Tamas, to Vishnu thee!"
1.2.2.34	Having deposited it, he says, "Protect the offering, O Vishnu!" and then, "Let him who is awake guard the water," with a vessel full of water, made of clay.
1.2.2.35	If it is made of clay, he should put in grass or wood.
1.2.2.36	With that rite, in the morning, he releases the calves for milking.
1.2.2.37	The Soma-sacrificers who perform the Soma-sacrifice at the new moon, they are always performing the Soma-sacrifice according to their desire.
1.2.2.38	The one who has heard (the Vedas) is the leader, the one who is a king is the one who has lost his glory.
1.2.2.39	The one named Aurva, Gautama, and Bharadvaja, they perform the sacrifice to the great Indra, and they are the ones who have lost their glory.
1.2.2.40	Those who have not performed the Iṣṭi to Indra for a year, should offer to Agni Vratapati an oblation of eight potfuls of cooked rice and then perform the Mahendra sacrifice.
1.2.3.1	At the time of the evening meal on the new moon day, one should offer a single oblation to the Pitrs in the east-south direction. "May the Asuras who have taken the form of the Pitrs and are moving around after abandoning their own forms, and who are supporting the cities of others and their own cities, be driven away from this world by Agni."
1.2.3.2	Having taken up the Veda from the north, he removes it with the wooden sword, once, towards the east, with the formula, "May the Asuras who are seated among the Fathers be removed."
1.2.3.3	Having spread the fire-places towards the east and south with their tips towards the south, he places each of the vessels to the south of the fire, namely, the pot for cooked rice, the ladle, the vessel for keeping the balls, the mortar and pestle, the black antelope skin, and the winnowing basket.
1.2.3.4	Having cut the grass once, having made it into one strainer, having sprinkled it silently, having purified it, he sprinkles the vessels once.
1.2.3.5	Having put the grass into one strainer, he pours the rice into the fire, having filled it, having wiped it, he puts it on the black antelope skin, facing east, with his face towards the south, having gone away.
1.2.3.6	He cooks the oblations, which have been made once, in the southern fire, in the order of their being eaten, the rice for the living.
1.2.3.7	He takes it back when cooked.
1.2.3.8	Having poured clarified butter, either unchurned or churned, over the cooked oblation, having taken it down towards the south, having sprinkled it in a single ladle, he sprinkles it once, having cut it.
1.2.3.9	Having spread the single-layered (grass), he places the rice-pap, the ladle, and the vessel for the cakes, one by one, on the sacrificial grass.
1.2.3.10	He spreads the grass from the side of the sun.
1.2.3.11	Having spread the grass with the seat and the cover behind the fire, he invokes the Pitrs with the verse, "Come, O Pitrs."
1.2.3.12	The sacrificer, wearing the sacrificial thread, offers three oblations with the ladle to Soma, the father, to Yama, the son of Angiras, to Agni, the carrier of oblations.
1.2.3.13	He strikes the ladle smeared with water into the fire.
1.2.3.14	The sacrificer sprinkles water three times, saying, "The departed fathers have gone beyond this." He takes the vessel back three times.
1.2.3.15	He offers three water libations, saying, "May the fathers drink."
1.2.3.16	He places three balls on the sacrificial grass, saying, "This is for you, O father, this is for you, my grandfather, this is for your great-grandfather." Having taken the name of the father, he says, "This is yours, my grandfather, and this is for your father." Having taken the names of the grandfather and great-grandfather, he says, “This is for your greatgrandfather.”
1.2.3.17	He should say, "And for those who follow you, may there be well-being."
1.2.3.18	When the sacrificer is going away, the Adhvaryu says, "This is for your father so and so, this is for your grandfather so and so, and this is for your great-grandfather so and so."
1.2.3.19	If he does not know the names, he should say, "Svāhā to the fathers seated on earth, svāhā to the Fathers seated in the sky, svāhā, to the Fathers seated on heaven."
1.2.3.20	The offering of the ball of rice to the living father should be omitted.
1.2.3.21	One should not give to the living.
1.2.3.22	If the grandfather is alive, then the ball of rice should be offered to the father alone.
1.2.3.23	The father should be smeared with paste.
1.2.3.24	Similarly, water, eye ointment, and unguent should be offered.
1.2.3.25	He smears the paste on the sacrificial grass, saying, "O fathers, may you enjoy this oblation according to your share."
1.2.3.26	Here the Pitrs are pleased. Having turned towards the north and sat facing the east, they say, "We who are alive, may we be the most prosperous of those Pitrs who are here." The Pitrs are pleased." Having placed the pieces of wood in the fire, he places the sticks smeared with oil, one by one, saying, "May this one be anointed." "May this one also be anointed."
1.2.3.27	"This is your father," he places the tuft of grass or the handful of grass. "These are ours," he looks at the remaining (grass).
1.2.3.28	One should place it on the head when the hair is growing. "May our fathers not abandon us."
1.2.3.29	"Then, with that formula, he sprinkles and cleanses the Barhis, saying, "May the Fathers be cleansed, may the Grandfathers be cleansed, may those who are beyond the Grandfathers be cleanse." Having offered three libations of water on the Barhis, he makes obeisance, saying, "Obeisance to you, O Fathers, to your mind; obeisance to you, Fathers, to your food; obeisance to your energy; obeisance to the nourishment; obeisance to strength; obeisance to what is living among you; obeisance to that which is terrible among you; obeisances to you, O fathers, to your nourishment; obeisances, obeisances to those Fathers who are dead here, to those who are living here; may we be the most venerable among those who are dead here; may I be the most venerable of those who are living."
1.2.3.30	He should smell the remaining (food). One who desires food should eat it.
1.2.3.31	"He rises with the words, "O Prajapati, not thee."
1.2.3.32	The sacrificer recites the Pravahaṇī verse, "O departed one."
1.2.3.33	"O both of you, O you who are endowed with mind, we invoke the mind." These are three verses.
1.2.3.34	We, O Soma, bearing your mind in our bodies, have become procreators. Thus they thought and rejoiced.
1.2.3.35	Having reached the Agni, he stands near the Garhapatya, saying, "O Agni, you are the giver of wealth."
1.2.3.36	The wife should eat the middle portion. The fathers placed the embryo, the young man with the lotus garland, saying, "May he be a man." The other two should be offered to the fires or a brahmin should eat them or be thrown into water.
1.2.3.37	Having sprinkled the two vessels twice, one takes them back.
1.2.3.38	One who has not kindled the sacred fires should perform the offering to the departed ancestors, having set up a fire for that purpose in the place of the Garhapatya and Dakṣiṇāgni fires.
1.2.4.1	Having offered the Agnihotra in the morning, having washed the hands with the formula, "For you two, O Agni and Soma," having spread the fires, having spread the fires for the Brahman-sacrificer and the sacrificer on the right side, he spreads the continuous Prṣṭhyas with the formula, "Thou art the continuity of the sacrifice from the Garhapatya to the Āhavanīya. I spread thee for the continuity of the sacrificer."
1.2.4.2	Having placed the utensils on the northern side of the sacrificial grass, he yokes the utensils in pairs: the wooden sword, the potsherds, the Agnihotra ladle, the winnowing basket, the black antelope skin, the pestle, the mortar, the stone for grinding, the Khadira ladle, the Palāśa Juhu, the Upabhṛt of the Aśvattha tree, the Dhruva of the Vaikankata tree, the Vārātrī of the Śamī tree.
1.2.4.3	The other vessels are made of wood.
1.2.4.4	The vessels are the pot, the ladle, the Veda, the Veda-like sound, the wooden ladle, the vessel for keeping clarified butter, the cooked rice, the vessel for taking the oblation, the vessel for the Prāśitra, the vessel for offering to the wife, the vessel for morning offerings, and the vessel for evening offerings.
1.2.4.5	One offers water with a vessel made of copper for one desiring Brahmic lustre, with a vessel made from a cow's horn for one desiring cattle, with a vessel of clay for one desiring stability, and with an iron vessel for one desiring to conquer.
1.2.4.6	Taking up the cup with the formula, "Thou art of the wood," he cleanses the cup with the verse, "Do thou cleanse for the gods."
1.2.4.7	"Thou art of the earth," he cleanses other cups with the verse, "
1.2.4.8	Then he takes up the water from the Garhapatya fire, with the strainer in between, meditating on the earth in his mind, saying, "Whatever is yours, O Revanta, is Revanta, whatever is yours, O Havisya, is Havisya, whatever is your strength and valour, I take that wave, sweet for the sake of offering to the gods."
1.2.4.9	Having consecrated the sprinkling water with the formulas, he says, "O Brahman, I shall sprinkle the water." Having thus addressed, he sprinkles the water with the darbha-grass along with the wooden sword. He sprinkles it with the formula, "He who sustains you all equally with his breath, he sprinkles you. He for whom you are sprinkled, for him you are sprinkled. Brihaspati sprinkles you for nourishment."
1.2.4.10	Having taken up the wooden sword from the north of the Ahavaniya fire, he places it (in the fire). "He says, "Who yokes you? May he yoke you. For whom do you get yoked? For him may you get yoked. May Brhaspati yoke you for all desires for the sake of offering to gods."
1.2.4.11	The Adhvaryu and the sacrificer should restrain speech. The one who has prepared the oblations should not speak.
1.2.4.12	With the sprinkling of water, with his hands purified, he touches the vessels, saying, "May the divine powers be appeased."
1.2.4.13	He takes the Agnihotra ladle, saying, "You are of the forest."
1.2.4.14	He takes up the winnowing basket, saying, "Thou art grown in the rain."
1.2.4.15	He goes to the village, saying, "Do thou win the earth."
1.2.4.16	"Having placed the oblations in the Āhavanīya fire, he says, 'The protection is repelled.' He addresses the sacrificer, saying, 'I shall offer the oblation.'
1.2.4.17	If he has to go away, he should say, 'O Agni, I shall offer.'
1.2.4.18	Having performed the Vṛṣṭi sacrifice with barley, one should offer with barley or with wheat."
1.2.4.19	Then the cart at the Agni-sthala, made of wood, covered, with a load, is yoked.
1.2.4.20	From that he pours out.
1.2.4.21	Having placed the wooden ladle on the ground, he murmurs the mantras.
1.2.4.22	"Thou art the yoke," he touches the yoke.
1.2.4.23	Having touched the northern yoke, he murmurs, "Thou art the most brilliant of the gods."
1.2.4.24	"Thou art the step of Vishnu," he places the foot.
1.2.4.25	"Thou art not to be shaken," he ascends.
1.2.4.26	"For the wide wind," he pushes.
1.2.4.27	"With the eye of Mitra, I look," he looks at the sacrificial food.
1.2.4.28	Having placed the Agnihotra ladle on the fire, he pours out with a handful of grains, saying, "For Agni Devaputra, for Agni Devaputra." Three times with the formula, once silently. "For Agni Devapatra, for Agni Devapatra."
1.2.4.29	"This is for the gods," he touches the ones that have been arranged. "This is for us to bear," he touches the remaining ones.
1.2.4.30	"For protection, for the cow-pen," he touches the arranged ones. "For the cow-pen, for protection," he touches the others.
1.2.4.31	"May the roads be firm," he descends.
1.2.4.32	"Svāhā to heaven and earth," he mutters the expiation for spilling.
1.2.4.33	"For release from Varuna," he makes the cart come out.
1.2.4.34	He looks at the sky, saying, "The heaven is manifest."
1.2.4.35	He says, "The light is Vaisvânara," to the Âhavanîya.
1.2.4.36	He places it behind the Garhapatya, saying, "Thou art the earth, the atmosphere; I place thee on Aditi's lap."
1.2.4.37	He places it in front, saying, "O Agni, protect the offering."
1.2.4.38	Having sprinkled the Prokṣaṇī water over the uncleaned Agnihotra ladle, he sprinkles the oblation without touching it, saying, "I sprinkle for Agni for your own sake, I sprinkle for Agni for his own sake." Three times with the Yajus, and once silently.
1.2.4.39	Having turned the vessels upside down three times, saying, "If you have been defiled by me,"
1.2.4.40	"Thou art the skin of Aditi." Having taken up the black antelope skin, he shakes it three times on the heap, saying, "Protect from the falling down." The neck is turned upwards.
1.2.4.41	"Thou art the skin, thou art the skin of the Aditi."
1.2.4.42	He spreads it behind the heap, with the neck towards the west, with the hair upwards, with the head towards the west, and with the mouth towards the east.
1.2.4.43	Not discarding the Kṛṣṇājin, he places the mortar, saying, "May it be large."
1.2.4.44	He does not discard it empty.
1.2.4.45	He sows the seeds of Havis, saying, "Agni's tongue," three times with the Yajus, and the fourth time silently.
1.2.4.46	Taking the pestle, saying, "Large pestle," or "May it be upright, belonging to the tree."
1.2.4.47	"He drives away the Rakshas, the destroyer of oblations, come hither." He drives away the second one, saying, "The destroyer of oblations has been driven away, come hither." The third one, saying, "The destroyer of obrations has been driven away; the Yatudhanas have been driven away; come hither."
1.2.4.48	"The destroyer of oblation has come hither." The king says this. "The destroyer of offerings has come hither." This is said by the Vaishya.
1.2.4.49	The wife drives away.
1.2.4.50	The Adhvaryu, having taken the Kuṭaru, says (to the sacrificer), "Do thou strike the stone." They strike the stone. He says, "Do thou strike (the stone) for strength." He says, "For the second time do thou strike for prosperity." He strikes the stone.
1.2.4.51	Three times with this rite.
1.2.4.52	"Thou art grown with the rain," he says, taking up the winnowing basket.
1.2.4.53	"You are grown with the rain." He looks at the sacrificial food.
1.2.4.54	"We know thee, O thou who art grown with the rain," he says while pouring out.
1.2.4.55	"Thou art purified, guard (us)," he says while pouring down the water from the northern side.
1.2.4.56	He places the pot of the Puronuvākyā cake on the black antelope skin, and says, "The share of the Rakshas is removed.
1.2.4.57	"This I strike down, O Rakshas, this I lead to the lowest darkness." With his heel he strikes down the chaff.
1.2.4.58	Having touched water, he separates (the grains) with the formula, "May god Savitr separate you. Be separated, be separated."
1.2.4.59	He sows the separated grains.
1.2.4.60	He separates the grains three times with the formula, “Purify for the gods.”
1.2.4.61-64	With that verse he spreads the Kṛṣṇājina (black antelope skin) and places the Dhṛṣṇā stone, saying, "You are Dhṛṣṇāsī Parvatī." He places the Dhṛti stone, saying, "Parvatī knows you." He draws the Dhṛti stones, saying, "You are the pillar of Aditi." He draws the Śamya stone, saying, "You are the Śamya." He draws the Upaśamya stone, saying, "You are Upaśamye." He draws the Upala stone, saying, "You are Upale." He draws the Pratiṣṭhā stone, saying, “You are Pratiṣṭhe.” He draws the Prāṇī stone, saying, Translation: With that verse he lays down the Dhṛṣṭṇā stone, reciting, "You are the Dhṛṣṇa stone, Parvati." He places the Prati-Dhṛti stone, reciting, "Parvati knows you." He pulls the Śamya stones, saying, "Thou art the pillar of Adithi." He pulls the Upaśambha stones, saying, "Thou art the Upaśamba." He pulls the Upala stones, saying, "Thou art the Upala." He pulls the Pratiṣthā stones, saying, “Thou art the Pratiṣtha.” He pulls the Prāṇi stones, saying,
1.2.4.65	"For Prāṇa thee" (he says) while drawing the eastern brick; "For Apāna thee" (he draws) the western brick; "For Vyāna thee" (the draws) the middle brick.
1.2.4.66	"For the long course" (he says), while placing it.
1.2.4.67	"For Mitra's sight I look" (he says while looking at the pounded bricks).
1.2.4.68	The god Savitr, with golden hands, may he receive (the oblations). He receives the oblations as they are being scattered.
1.2.4.69	A slave or wife scatters (the oblations)
1.2.4.70	He instructs (the sacrificer), saying, "Make them small."
1.3.1.1	Taking up the Upavesa (grass), he says, "Thou art Dhriti, thou protectest Brahman," and puts the embers from the Garhapatya, saying, "O Agni, do thou remove the Agni that is cooked.
1.3.1.2	"Remove the evil spirits!" thus he removes one of them.
1.3.1.3	Having placed the second one in its place, he places the skull on it, with the verse, "Thou art firm, thou expandest the earth."
1.3.1.4	Without letting go of the skull, he turns the charcoal over it, with the words, "Burned the Rakshas!"
1.3.1.5	"He places the Dhāruṇa (stone) first, the Dhātrā (stone) in the eastern half, the Dharmā (stone) in its middle, the Cid (stone) in (its) northern half, the Paricid (stone) in eastern half, the Visvasu (stone) in all directions, the Apam (stone) in western half. " "He places the stones in the eastern half of the altar, saying, "May the kinsmen of this sacrificer surround him. May the kinsmen surround this sacrificer."
1.3.1.6	The Aṣṭākapāla is for Agni, the Ekādaśakapāla is for Indra-Agni, and the Indra.
1.3.1.7	Having placed eight in the northern direction according to this rule, he places the remaining ones with the formula, "You are the Cit, you are the Paricit."
1.3.1.8	Having placed the embers of Vasus and Rudras, and having placed the cooked rice on the heated embers, he milks the cow in the morning as he did in the evening.
1.3.1.9	He places the strainer above.
1.3.1.10	He cooks it, not boiling it.
1.3.1.11	Having taken out the morning milk, he pours the flour into the strainer, having placed it in a vessel that has been heated and cooled down, with the formula, "For the god Agni." He pours thrice with the formula, "For the god so and so."
1.3.1.12	The heated waters are being drunk, having purified the oblation, he purifies it again with the Gāyatrī verse.
1.3.1.13	He brings them with the ladle, having made the Veda the Upāṃśu,
1.3.1.14	He mixes them with the verse, "May the plants be mixed with water."
1.3.1.15	"May you be surrounded by water, may you be united with water," with the waters being drunk.
1.3.1.16	"May they be seated in peace," he places them.
1.3.1.17	Having recited the formula, "Thou art the head of the sacrifice," he places the lump. "May Pūṣan, the knower of all, divide you according to your share. May you turn away equally." He makes them equal.
1.3.1.18	"This is for Agni" - for Agni. "This is for Agni-Soma" - having recited this formula, at the Full Moon.
1.3.1.19	According to the deity at the New Moon.
1.3.1.20	"Thou art heat" - he places it.
1.3.1.21	"May it spread widely," he says, spreading it as much as the tortoise-shell is suitable, the size of a horse's hoof.
1.3.1.22	"May your body and mine be united," he says, rubbing it with paste without breaking it.
1.3.1.23	He pours clarified butter on the right side.
1.3.1.24	Taking up the ladle of ghee with the formula, "Thou art Aditi, not cut off from the leaves," and having melted it in the southern fire, and having placed it between the Pavitras, he offers the milk of the cow with the formula, "The milk of the cow is at the head, the milk of the goat is at the head. This is thy milk, O Agni, which is being diminished, being increased, being nourished. I pour out the ghee for thee, for thy enjoyment, for thy worship, for thy sacrifice."
1.3.1.25	He thrice encircles the ghee and the oblation with the formula, "Parivājaspati," along with the paste.
1.3.1.26	"May the god Savitr cook thee." Having heated it with the fire-brand, he says, "O Agni, take the Brahman." Having let go the fire-brand and having taken the skin with darbha-blades, he says, "May Agni not injure thy skin." Without removing the flames,
1.3.1.27	"Mayst thou be united with Brahman." Having mixed the embers with the Veda, he says,
1.3.1.28	Having thrown the embers, he releases speech, saying, "Do not burn."
1.3.1.29	Having drawn three lines towards the east inside the altar with the wooden sword, he makes a good smear, saying, "To the one, svāhā! To the two, svāhā!" and "To the three, svāhā" in turn, heating it with the fire-wood from the Āhavaniya fire.
1.3.1.30	He makes the altar.
1.3.1.31	He takes up the Khadira-wood, the Sphyi and the Bhrishti with the Vitra.
1.3.1.32	Having rubbed with the Darbha grass, "Thou art the arm of Indra", he places the Darbha grass on the eastern third part of the altar and cuts it across with the Sphyi, "Thou art a protector of the earth, O Devayajani, the third and fourth parts of the earth".
1.3.1.33	"Go to the cattle-pen", taking the tip of the grass and digging out the dust.
1.3.1.34-36	May Parjanya rain for you. He looks at the altar with the verse, "O god Savitr, bind." He removes the grass and dust with the wooden sword. The Agnidhra takes the chaff and the roots of the altar and encloses it.
1.3.1.37	This is the house for him who among you, O gods, practices the holy life. The wise one, meditating in the directions, the ascetic, the secret messenger, moves among men. Thus he puts it into his hand and mouth.
1.3.1.38	"He who hates us and whom we hate," says the attacker.
1.3.1.39	"May the auspicious plants be for you," says the second.
1.3.1.40	The third (verse) is 'Drapsaḥ sa iti'.
1.3.1.41	With this rite, he carries (the earth) three times with the Yajus, and the fourth time silently.
1.3.1.42	He places the heap of earth with the spade, saying, "Exhausted is the Rakshas, exhausted is the evil-doer, exhausted are the Yatudhanas."
1.3.1.43	With the wooden sword he encloses the altar in front of the Garhapatya and behind the Ahavaniya, making it as wide as the sacrificer and as long as the oblations can be placed close together.
1.3.1.44	He draws a line towards the east from the western half, saying, "Thou art true existence." From the southern half towards the east, saying, "thou art truth." From the northern half towards the east,
1.3.1.45	For one who desires a firm foundation, one should do it in the sky.
1.3.1.46	Having dug two inches deep with a spade, one should remove the roots and throw them on a heap.
1.3.1.47	For one who desires cattle, one should do the removal of excrement.
1.3.2.1	Having come to this altar, men make it agreeable to the gods, near Aditi. May all the gods enjoy it, may they enter the patron with prosperity. Having smoothed it, he raises the shoulders towards the east, the hips towards the west, the back sloping towards the east, with the middle bent down, the buttocks close by.
1.3.2.2	This much is done on the previous day.
1.3.2.3	Having washed his hands, he washes the wooden sword without looking at its tip.
1.3.2.4	Having sprinkled the altar, he takes it up from the north, saying, "O Brahman, I am taking up the altar." Having said this, he takes it, saying, "The Vasus are yours" from the west, "The Rudras are yours" from south, "The Adityas are yours" from north.
1.3.2.5	"Thou art the giver, thou art the giver of life, thou art the broad, thou art the bountiful, thou art the loving, thou art before the cruel one." Having rubbed the altar with the wooden sword, having placed the wooden sword transversely on the third layer of the altar, having placed the sprinkling water, having placed the kindling wood and the sacrificial grass, having besmeared the spoon and the ladles, having bound the wife, having caused to be brought clarified butter, he instructs (the sacrificer), saying, "Do thou come."
1.3.2.6	The Agnidhra performs as he is directed.
1.3.2.7	Having filled the Prokṣaṇī vessel, having drawn water near the tip of the wooden sword, having drawn the wooden sword towards himself, he places it on the path of the wooden sword.
1.3.2.8	One should take up the wooden sword before the Sadana rite.
1.3.2.9	One strikes the mound with the wooden sword, saying, "Thou art the slayer of the hater," towards the east, towards oneself.
1.3.2.10	Having sprinkled, one places it back.
1.3.2.11	The kindling wood of the Ahavaniya is on the right, the sacrificial grass on the left.
1.3.2.12	He cleanses the ladles with the sound of the Veda, dividing them into four parts or not dividing them.
1.3.2.13	He burns the Rakshas away from the Ahavaniya or the Garhapatya, with the words "The Rakshas are burnt away." The ends of the bundles are at the front, the sides at the back, the faces at the front, and the roots at the back.
1.3.2.14	"He burns the Sammārga with the verse, 'Life, breath' (he burns) from all sides. With the verse, 'I burn thee with the most brilliant heat of Agni' (he burns).
1.3.2.15	'Eye, ear' (he burns), the Juhu, inside, towards the east, towards the west, outside.
1.3.2.16	'Speech, cattle' (he burns the Upabṛt), inside, towards the west; towards the east, outside.
1.3.2.17	‘Sacrifice, progeny' (he burns all around) the Dhruva.
1.3.2.18	Having sprinkled the broom, he strikes it into the fire with the verse, "The art of heaven has come down, resting on the corner of the earth. With that thousand-rayed one, you torment the hater. May the hater be tormented much. May it not come to us. The tormenting herbs, svāhā!"
1.3.2.19	O Agni, the Householder, do thou invite me. Do ye, the wives of the gods, invite me. The wife approaches the Garhapatya fire with this verse. This is thy world, O wife. Let there be salutations to thee. Do thou not injure me.
1.3.2.20	We have approached you, O Agni, the well-born, the well-wife, the destroyer of enemies, the invincible, the very heroic, sitting to the right, behind the Garhapatya, bending the knees.
1.3.2.21	The wife, with the yoke, binds the inner garment, desiring good fortune, offspring, good fortune, and the body of Agni. Having become obedient to Agni, she binds it for good deeds.
1.3.2.22	"He makes a knot, saying, "Pūṣan may your knot be firm."
1.3.2.23	"He imagines a knot on the right side, saying, "May it be yours."
1.3.2.24	Having touched water, he offers clarified butter with the Veda.
1.3.2.25	Looking at it, he says, "I look at you with an undaunted eye for prosperity, for good offspring, like Aditi, like Indra's wife, without a husband, may I be prosperous with offspring."
1.3.2.26	"This is Vishnu" he places on the Gārhapatya and Dakṣiṇāgni.
1.3.2.27	"Thou art splendour." This is the second (verse) to be recited after the Garhapatya.
1.3.2.28	"Thou art splendour, do thou descend," he says while carrying (the oblations).
1.3.2.29	"Do not let Agni take thee away," he says while placing it on the Ahavaniya, and then settles the path of the wooden sword towards the north of the sprinkling water.
1.3.2.30	"Thou are splendour." Having melted the clarified butter three times with the verses in order, he pours it back, and then with the Gāyatrī verse.
1.3.2.31	"He looks at the clarified butter with the formula, "Thou art nectar."
1.3.2.32	He takes the clarified butter in the ladle within the altar, covering the Veda, having placed the strainer. Taking it with the formula, "Thou art the abode," he takes four spoonfuls in the Juhu, eight in the Upabhṛt and the least in the Dhruva.
1.3.2.33	The fifth is the largest; for one desiring cattle.
1.3.3.1	"O waters, do ye flow together, do ye be united with honey. Do ye be placed in the place of the sacrificial grass. Do ye be brought in the manner of the Prokṣaṇī water." Thus he recites over the Prokṣani water. "O goddesses, ye are pure waters." Thus he recitates.
1.3.3.2	"O Brahman, I shall sprinkle the kindling wood, the altar, and the sacrificial grass." Having thus addressed, he sprinkles the kindling wood and the enclosing sticks, except the Paridhi.
1.3.3.3	"Krishna is the best of the Khara (i.e. the Khara class of deities). The Veda is the sacrificial grass. The Veda is the altar. The sacrificial grass is the altar. He sprinkles thrice.
1.3.3.4	Having reached the altar, he sprinkles the sacrificial grass thrice, saying, "You are the way to the gods." The tip is for heaven, the middle for the atmosphere, and the root for the earth.
1.3.3.5	Having sprinkled the knot of the foremost, sprinkle the roots.
1.3.3.6	"O Agni, be the strength of those who have the sacrificial grass. Be the life of the Fathers who are heated by the sun." Having poured the remaining water for sprinkling towards the south of the altar, and having loosened the knot with the formula, "Pūṣan may loosen thy knot," he says, "I place the Prāṇa and Apāna in the sacrificer" after releasing the strainer. Taking up the wooden sword along with the strainer with the formula, "Thou art the wooden sword of Visnu," he takes it from the Āhavanīya without shaking and without rubbing.
1.3.3.7	Having gone around in front of the Ahavaniya fire, he gives it to the Brahman or the sacrificer on the right side, saying, "I make you with Prāṇa and Apāna."
1.3.3.8	He receives it, saying, "Prāṇa and Apānas are in me."
1.3.3.9	Having covered the Darbha grass, he spreads the Soma-pressing stone on the right side with the verse, "May the stone be spread on the north, may the grass be spread on the south."
1.3.3.10	He should place the grass with its tip towards the west and its root towards the east, for one who is without a wife.
1.3.3.11	"He spreads the covering grass with the formula, "Do thou spread widely."
1.3.3.12	He spreads the grass with the eastern part towards the east or the western part towards the west.
1.3.3.13	He covers the roots with the eastern part and the altar with the western part.
1.3.3.14	With a bundle of grass in his hand, he lays down the Āhavaniya with the Paridhi-stones, with the formula, "Thou art Gandharva." The last one towards the west, the next one towards the north, with the formula "Thou art Indra's arm." The next one towards the east, with the formula "Thou art Mitra-Varuna."
1.3.3.15	Having removed the topmost portion of the kindling wood, he places the two kindling woods above it, with the formula,"Thou art the constant Hotar." The northern one silently.
1.3.3.16	Having approached the Āhavaniya fire, he spreads two darbha-blades with their tips uncut and without any inner-growth, with their tips towards the north, on the sacrificial grass, with the formula, "You are the supports of the world of Viśvajan."
1.3.3.17	He places the Prastara on the southern half of the sacrificial grass with the formula, “You are the supports for Vasus and Rudras."
1.3.3.18	"You are the heaven," on the Prastara, the Juhu ladle.
