1.1.1	We shall explain the (Vedic) sacrifice.
4.21.11	With (the formula): "May the Rudras, whose king is Indra, paṛtake of thee" (he takes) from the northern part (and smears it) on the northern part.
4.21.12	With (the formula): "May the All-Gods, whose king is Prajāpati, paṛtake of thee" (he takes) from the middle (and throws it) upwards.
4.21.13	Each time once with the mantras, twice without a mantra.
4.21.14-15	Having paṛtaken of it with each of the three great utterances (bhūḥ, bhuvaḥ, svaḥ), he then paṛtakes for the fourth time (with the three vyāhṛtis combined).
4.21.16-18	The remains should be given to a brāhmaṇa, or the whole of it should be drunk, or the remains should be thrown into the water.
4.21.19	He then touches his breast with the three verses: "Hail to us the Goddesses".
4.21.20-21	Simiḍār are the touching of the (openings of his) vital breaths and the wiping of the mouth.
4.21.22	(Thereupon he is) silent unto the giving of the cow.
4.21.23-24	When he has been addressed (by the host) with (the word): "The cow" he either (answers): "Om, slay (her)", or he first mutters the verse: "The mother of the Rudras" and then says loudly "Set her free, let her eat grass".
4.21.25	He should announce to the guest successively: "The bundle", "The foot-water", "The aṛghya-water", "The water for sipping", "The honey-mixture", "The cow".
5.1.1	When he is going to undeṛtake a soma-sacrifice, he chooses as his officiating priests (brāhmaṇas) who derive their descent from a ṛṣi, who are young, and well-versed in the Vedas.
5.1.2	(He chooses solemnly) (only) the four (principal priests) or all of them.
5.1.3	“The moon is my divine brahman" whisperingly, “Thou art my human (brahman)" loudly.
5.1.4	In this manner he chooses them all.
5.1.5	“The Sun is my divine udgātṛ, thou art the human”.
5.1.6	“The Fire is my divine hotṛ, thou art the human”.
5.1.7	“The Wind is my divine adhvaryu, thou art the human”.
5.1.8	“The Prajāpati is my divine sadasya, thou art the human”.
5.1.9	“The seasons are my divine hotṛasamsins, ye are the human”.
5.1.10	(Each of them, who is thus solemnly) chosen mutters (the formula): “Splendour thou hast announced to me. Good thou hast announced to me. Prosperity thou hast announced to me. Fortune thou hast announced to me. Glory thou hast announced to me. In me (may be) splendour, in me good, in me prosperity, in me fortune, in me glory”. Then he asks: "I surmise that it is not an ahīna, nor a subsequently appointed one, nor one where the priestship has been abandoned, nor one of blameable sacrificial fees”?, and (according to the answer) he accepts or refuses.
5.2.1	The place of worship (must be one that) slopes to the east.
5.2.2	For one who is desirous of sacrifices to the north-east.
5.2.3	For one who is desirous of priestly lustre (it must be a place), where the hotṛ, whilst reciting (his verses) can see the Āhāvaniya, the Sun and waters (a river, or a pond).
5.2.4	The consecration (dīkṣā) (should take place) during the bright half (of the month) under a favourable lunar mansion, likewise the conclusion.
5.3.1	At afternoon (takes place) the sacrifice connected with the consecration, and intended for Agni and Viṣṇu.
5.3.2	It is a modification of the sacrifice of full-moon.
5.3.3	It has fifteen kindling-verses.
5.3.4	The (offering of the) sacrificial substance is (performed) whisperingly.
5.3.5	Virāj (verses are the invīting- and offering-verses) for (the sacrifice to Agni) Sviṣṭakṛt.
5.3.6	Or the standing ones.
5.3.7	Up to the iḍā ceremony of the cake which is offered at the third pressing the wishes at the iḍā ceremony and at the sūktavāka are replaced by the words: “Called is this sacrificer: he hopes to reach the end of the sacrifice’s approval" (at the iḍā ceremony); and: “This sacrificer hopes: May I reach the end of the sacrifice’s approval” (at the sūktavāka).
5.3.8	Up to the (sacrifice) of the (he-goat) on the pressing day, he should at the sūktavāka (of each iṣṭi) not mention the name of the sacrificer.
5.3.9	It closes with the patnīsaṃyājas.
5.4.1	Having taken hold of the adhvaryu from behind, when he offers the elevatory libations, it falls to the share of the sacrificer (to mutter over these libations the formulas): “ May my mind be consecrated by the mind. May my voice be consecrated by the voice. May my breath be consecrated by the breath. May my eye be consecrated by the eye. May my ear be consecrated by the ear”.
5.4.2	Or he (the sacrificer) may offer (himself) these libations.
5.4.3	At a soma-sacrifice which is preceded by one (day of) dīkṣā, the solemn addressing (of the fires falls to the share of the sacrificer).
5.4.4-6	of the Āhāvaniya with (the formula): "I approach the mind as dīkṣā"; of the Gārhapatya with (the formula ): "I approach the word as dlksa"; of the Dakṣiṇagni with (the formula): "I approach the breath as dīkṣā".
5.4.7	The days of consecration are unlimited. At their completion the introductory sacrifice (is performed).
5.5.1	To Pathyā svasti, to Agni, to Soma and to Savitṛ with liquified butter, to Aditi with a mess of boiled rice.
5.5.2	The invīting- and offering-verses (for Pathyā svasti) are: "Hail to us on the ways"; "Hail on the long journey"; for (Agni): "O Agni, lead us"; "O Agni, bring us over"; (for Soma): "Thou, O Soma, skilled in thought"; "Which favourite resorts of thee with havis"; (for Savitṛ): "This desirable glory of thee, O Savitṛ"; "Savitṛ, who all these beings"; (for Aditi): "The well-protecting Earth"; "We would call to our aid".
5.5.3	It (this rite) has fifteen kindling verse.
5.5.4	The offering of the sacrificial substance is performed whisperingly.
5.5.5	There are no butter-portions.
5.5.6	(The invīting- and offering-verses) for (the sacrifice to Agni) Sviṣṭakṛt are: "Thee of most resplendent fame"; "What is carrying best".
5.5.7	The rite closes with the (muttering of) the śaṃyu (formula).
5.6.1-2	When the Soma has been bought and deposited into the cart and he (the hotṛ) has been addressed (by the adhvaryu) with (the words): "For Soma which is being conveyed around (recite)" he (first) recites standing between the two wheel-tracks (the verse): "From good to better, do thou advance forward. May Bṛhaspati be thy leader. Then settle down on this best (spot) of the earth. Drive, accompanied by heroes, the foes far away".
5.6.3	Accompanying the others and moving forwards between the two tracks (he recites) the (verses): "This prayer, O God, of the befriending"; "Over the woods he hath extended the intermediate region", and the four (beginning): "O Soma, thy wondrous help".
5.6.4	Having caused to stop the cart before the shed they introduce the Soma.
5.6.5	The hotṛ should accompany them, along the way they enter into the shed.
5.6.6	With (the verse): "Which favourite resorts with havis" he enters after (them).
5.6.7	The closing (verse): "The God hath come" he recites standing before the Āhāvanlya with bis face turned to the south.
5.6.8	Having touched (water), he is dismissed.
5.6.9	From this moment on until the bringing forward of Agni and Soma, they use boiling water, wherever water is wanted (for sipping or touching).
5.7.1	The guest-offering (is) destined for Viṣṇu.
5.7.2	It is a modification of the sacrifice on full-moon day.
5.7.3	(The invīting- and offering-verses are): " Of Viṣṇu I will proclaim " Therefore Viṣṇu is lauded’’.
5.7.4	(The invīting- and offering-verses for the sacrifice) to (Agni) Sviṣṭakṛt (are): " Him, the hotṛ of bright chariot"; "He who provided with good horses’’.
5.7.5	(At the moment) when the sacrificial substance has been deposited (on the vedi) he recites the verses to accompany the churning of the fire.
5.7.6	The offering of the sacrificial substance is performed whisperingly.
5.7.7	It closes with the iḍā ceremony.
5.8.1-2	All (the officiating priests and the sacrificer) having touched (water) touch simultaneously with (the formula): “Thou art the strength of the Gods, unassailed, unassaiḍāble, uncursed, curse-averting, uncursable. May I straightway go to the truth. Establish me in welfare’’ the liquified butter dedicated to Tanūnaptṛ in the dhruva spoon, in which (a piece) of gold has been deposited, which has been put in a vessel on the strew (of the vedi).
5.8.3	Having touched (the lustral boiling water) they pass before the Āhāvanlya and whilst touching the stalks of the Soma they make him swell by reciting (the following verses): “May stalk on stalk of thee, O God Soma, swell for Indra, the winner of a part of the riches. May Indra swell for thee, do thou swell for Indra. Make to swell us, the friends; through gain and wisdom. May I attain prosperously, O God Soma, the conclusion, the pressing of thee’’.
5.8.4	Thereupon they touch their breast with (the verse): "The stalk which the Ādityas make swell, the imperishable, which the imperishable drink, through that may king Varuṇa, may Bṛhaspati, may the guardians of the world make us swell ’’.
5.8.5	Having (again) touched (the water) they lay their hand on the prastara-(bunch) so that the palm of the right one is turned upwards; at afternoon so that the palm of the left hand is turned upwards. Holding their hands in this position they make amends reciting (the formula): "Desired are riches, exceedingly (desired) for food, for good fortune, the right for the rightsaying ones. Homage to Heaven and Earth".
5.8.6	(The rites) from the causing to swell the Soma on (take place) at the completion of each upasad.
5.9.1	The first sacrifice (of Soma one undeṛtakes, is performed) without pravaṛgya.
5.9.2	For a learned brāhmaṇa there is option.
5.9.3-4	When the utensils required for the pravaṛgya ceremony are being put together, he (the hotṛ) enters the shed through the eastern door, passes along the north side of the Āhāvanlya, the two mounds and the utensils, sits down near and behind (them) and, when he has been addressed (by the adhvaryu) with (the words): "Perform the praise on (the pravaṛgya) he recites, without taking breath, each verse connecting them with the prāṇava.
5.9.5	"The Brahman, first born, hath of old been unclosed by Vena from the shining edge. He unclosed its fundamental highest shapes: the womb of the existent and of the non-existent."
5.9.6	"This queen goeth first to the father for the first birth standing in the creation; to it (him?) have I sent this wellshining sinuous one; they mix the hot drink for the first one of the milk”(?).
5.9.7	"Onto that God Savitṛ, the sage within the two bowls, I sing, unto him of true impulses, the bestower of treasures, unto the wise friend, he at whose impulse the resplendent light shone high, the golden-handed sage hath measured the heaven with beauty".
5.9.8	(The verse): "Whom they annoint" (he recites at the moment) when the aperture (of the pravaṛgya vessel) is being annointed (by the adhvaryu).
5.9.9	(The verse): "Sit thee down” when it is being set down (on the mound).
5.9.10	(The verses): "Be thou well-disposed to us, O Agni"; "Burn thou well, O Agni; " The (foe) who lies in ambush, O Agni” he recites while the coals are being brought near (the vessel).
5.9.11	(Then follow) the five (verses): "Take on brilliancy".
5.9.12	(The two verses): "Around thee, the singer” and "In the two ”.
5.9.13	(The two verses): "Pure is one of them"; "Worthily dost thou bear".
5.9.14	(Then) the two hymns: "The bird annointed" and "At the rim of the drop".
5.9.15	(Then) the two (verses): "Thy strainer hath been spread out for thee".
5.9.16	(Then the verse): "The dhiṣaṇā’s spread out the strainer, holding the cauldron, which glowed at the (titterings of the) syllable om. In the midst of the ocean the living creatures meditated three times a day on the bright name of the Sun".
5.9.17	(Then) the hymn: "This Vena," without the verse "In the sky the eagle".
5.9.18	(Then) the hymn: "Thee, the lord of the troops".
5.9.19	For (a woman) who is desirous of obtaining a male child he should, at (the words): "May we, having good sons, speak loudly in the assembly" think of a son.
5.9.20	(Then) the nine (verses beginning): "What will win your favour".
5.9.21	(Then) the three (verses): “Come to us with all help, 0 Aśvins”.
5.9.22-23	(Then) at morning the hymn: “The two who come at morning"; at afternoon the hymn: “'Agni shineth”.
5.9.24-26	Then the whole (hymn): “I praise Heaven and Earth" Letting free his voice, he recites over (the cauldron) omitting the last verse (of the last-mentioned hymn, at the moment) when (by the adhvaryu) has been said “Glowing is the cauldron” (the verse): “He hath made aglow”, and then closes this part of his recitation with the last verse.
5.9.27	Having touched (the lustral water) he rises, pays reverence to the mahāvīra with the chapter of verses ‘destined for gazing at ' touches (the water) and sits down.
5.10.1	(The verse): “I call unto me”, (he recites) at the moment when the cow is called near.
5.10.2	(The verse): ‘‘Making him'" when she comes near.
5.10.3	(The verse): “Towards thee, O God Savitṛ”, when the rope is put round her (horns).
5.10.4	(The two verses): “Like a calf with the mother-(cow)” and "With the mother-(cow) like a calf'’, when the calf is admitted to the cow.
5.10.5	With (the verse): “Thy teat”, when the calf catches the udder of the mother-cow.
5.10.6	The verse: “The cow hath bellowed" when the calf is being removed (from the mother).
5.10.7	(The two verses): “Sit ye down near, with homage” and “Agreeing together they sit down”, when he (the milker) sits down near (the cow).
5.10.8	Whilst the cow is milked (he recites the verses): “As at the milking the cow”; “Seven milk”; “By the ten”; “The living cloud” - “Enkindled is the fire, O Aśvins; heated for ye is the cauldron, come hither! The cows, the milch-cows, O ye two bulls, are being milked here; ye two wondrous ones, the singers are reveling”. “Enkindled is the fire, O ye two bulls, the charioteer of heaven; heated is the cauldron, sweet (milk) is milked for your food. For we, singers many in number, call on you, O Aśvins, in the joint revelings”; and “This is his most evident deed”.
5.10.9	(The verses): “He hath milked”, and “Rise up, O Brāhmaṇaspati", when he (the milker) arises.
5.10.10	(The verse): “Come up swiftly with the milk, 0 milker of the cow; pour into the cauldron the milk of the ruddy (cow). Savitṛ, the friend of the house, has irradiated the firmament; (and) after (that) Heaven and Earth of safe guiḍānce," (he recites) when both kinds of milk are brought near.
5.10.11	(The two verses): “Pour out the admixture into the pressed (Soma)," and “Now the seer hath for the Aśvins" when these two (kinds of milk) are poured into (the mahāvīra-pot).
5.10.12	(The verse): “This God Savitṛ has lifted up with the golden” when it (the mahāvīra-pot) is being lifted up.
5.10.13	In case these acts are reversed (he recites his verse) according to the act.
5.10.14	(The verse): “Let Brāhmaṇaspati, move forward" as they move forward (to the Āhāvaniya).
5.10.15	(The verse): “The eagle flying in the vault", he recites whilst accompanying them.
5.10.16-18	Then he sits down upon the hotṛ’s seat and, when he has been addressed (by the adhvaryu) with (the words): “Recite the offering-verse for the heated milk", (he recites as offering-verse) the two verses joined: “Both drink, O Aśvins”; and: “The heated gharma having its own hotṛ, attains to you: your adhvaryu moves forward offering libation. Of the sweet milk, O Aśvins, for the sake of offering (?) accept ye; drink ye of the milk of the ruddy (cow)'’, whereupon he pronounces the vaṣaṭ-call.
5.10.19	The second vaṣaṭ-call is: "O Aśvins, accept the hot milk". This is the rite for the pravaṛgya at morning.
5.10.20	Now the rite at the afternoon.
5.10.21	(Here he recites as offering-verse) the two combined: "Drink ye both, O Aśvins, of this" and "The offered butter, the milk that is in the ruddy (cows) that is your right portion here, O Aśvins, come! Ye sweet ones, maintainers of the council, good lords, drink ye the heated gharma in the shining space of the sky", whereupon he makes the vaṣaṭ-call.
5.10.22	The second vaṣaṭ-call is the same.
5.10.23	He (continues) his recitation in honour (of the gharma): "The pure cauldron over which the svaḥa-call has been uttered among the Gods, the Aśvins’ bowl that is for the Gods to drink of, that all the immoṛtals, enjoying, lick by the Gandharva’s mouth".
5.10.24	"O friend, do thou turn towards the friend"' (he recites) as he (the adhvaryu?) returns.
5.10.25	"The Gandharva here guardeth this abode", as if the cauldron is placed (on the mound).
5.10.26	The verse belonging to a pragātha: "Him, indeed do his worshippers” as he (the adhvaryu) is going to turn the cauldron upside down.
5.10.27	The verse: "Havis, full of havis”, he recites before the libation.
5.10.28-29	To the hotṛ falls the paṛtaking (of the remains) by smelling at it, to the sacrifiner the direct paṛtaking.
5.10.30	The same (rule prevails) at the dadhigharma.
5.10.31	The mantra for paṛtaking (runs): "The havis is offered, the sweet (drink) is offered in the fire that is most full of Indra. May we eat of thee, O divine cauldron, that art full of sweetness, full of vigour, full of nourishment”.
5.10.32	When the vessels of the mahāvīra are being put together,' he recites on (them the verse): "He to whom ascend the seven Vasavas; of first ascent, the seer of farthest hearing, (is) gharma, the guest of Indra”.
5.10.33	He closes his recital with the verse : “Feeding in good pasture’’.
5.10.34	After having touched (the hot water) he is dismissed.
5.10.35	Or (instead of on the days proceeding the sacrifice of Soma) the pravaṛgya ceremony may be performed on the day of soma-pressing (itself) in the agnīdhriya-shed (and at the following moments: for the first time) after the performance of the out-ofdoors laud (and for the second time) after the performance of the midday-pavamāna laud.
5.10.36	Having made the ‘amends’ over the prastara, they go on with the upasad; if the soma-sacrifice is combined with the pravaṛgya, then after the completion of the pravaṛgya.
5.11.1	At forenoon he recites as kindling-(verses) the three (beginning) : “Offer ye havis to the generous one who must be adored’’; he recites each verse three times, without inhaling, connecting them with the prāṇava.
5.11.2	At afternoon the three (verses): “This kindling-stick of mine, O Agni, this homage (upasad) do thou accept".
5.11.3	With the thrice repeated recitation of the first (verse) he connects the last (verse) and then makes a pause.
5.11.4	With the (last) prāṇava he connects (immediately : the summons to the deities to come near) : “Bring Agni hither'’, “Bring Soma hither”, “Bring Viṣṇu hither”.
5.11.5-6	Having uṛged (the adhvaryu) by uttering the appropriate formula to take up the two offering-spoons, he recites the verses for the sacrifice whimperingly.
5.11.7	(The invīting- and offering-verses for the oblation to Agni are): “May Agni slay the foes”; “He who is dread as it were”. (For the oblation to Soma) : “Thou with insight, O Soma”;
5.11.8	He should perform only as much as has been enjoined.
5.11.9	At afternoon the invīting- and offering-verses are reversed.
5.11.10	(The verses) : “This kindling-stick of mine, O Agni” are the three kindling-verses on the second day at forenoon.
5.11.11	(The verses): “Offer ye havis to the generous one” at afternoon (of the second day).
5.11.12	Those of the first day are applied at the third day.
5.11.13	But they (the upasads and their days) may be lengthened, having their proper time.
5.11.14	Or inveṛṣion may take place day after day.
5.12.1	Having, on the day which immediately precedes the day of the sacrifice of Soma itself, finished at forenoon both performances (of the upasad of forenoon and of that of afternoon), the bringing forward of the fire takes place, in case the soma-sacrifice has not been combined with the pravaṛgya.
5.12.2	If it has been combined with the pravaṛgya, the removal of the mahāvīra vessels (takes place).
5.12.3	At this occasion the prastotṛ sings a saman.
5.12.4	Here the hotṛ performs the finale.
5.12.5	The bringing forward of the fire has been explained.
5.13.1-3	When summoned (by the adhvaryu) for the moving forward of the two soma-carts, he takes his stand between the northern track of the southern cart and the southern track of the northern cart and when he has been addressed (by the adhvaryu) with (the words): “Recite for the soma-carts that are being moved forward” he throws with the forepart of his right foot a lump of earth in the western direction with (the verse): “Hence (drive forth) the danger which comes from foreign (people) and from others than men, O slayer of Vṛtra. The wheels of (the foes) have wended away.”
5.13.4	He then recites standing (as first verse of his anuvācana): “Let the two go forward with zeal for the sacrifice.”
5.13.5	Thereupon, following along, resorting to the left track of the southern cart (the three verses): “May Heaven and Earth grant us this”; “The milk rich in ghee of these both”; “As you came like two twins striving.” 
5.13.6	(The verse): “In the two hast thou placed” as the cover is put over (the two carts).
5.13.7	(The verse): “All forms the sage doth assume” as the two carts are being enclosed (with mats etc.).
5.13.8	(The verse): “In your lap may sit the Gods” as the carts are made to repose on the nave-boards.
5.13.9	In case these acts are reversed, he recites his verses according to the act.
5.13.10	He closes his recitation (with the verse): “Around thee, O Singer.”
5.13.11	On the spot where he has recited the first verse, (to this having returned) there standing he is dismissed.
5.14.1	When the localities for the sacrifice have been meted out (and erected) they lead forward Agni and Soma (the fire and the soma) forward.
5.14.2	From this moment on, until the end of the sacrifice of the barren cow, the way of coming and going is between the catvala and the utkara.
5.14.3-6	Having stepped forward along this way, he passes at the northern side the agnīdhriya-shed and the sadas, enters, to the north of the two adhvaryus and the vessels for the sacrifice, through the eastern door into the śālā, and sits down to the west of the Śālāmukhīya fire.
5.14.7-8	When he has been addressed (by the adhvaryu) with (the words): “(Recite) for Agni and Soma being conveyed forward” he recites, sitting, (the verse): “For thou hast impelled, O God, for the first father: height for him, width for him; and now unto us, O Savitṛ, entirely do thou day after day impel abundance of cattle”.
5.14.9-11	(Then he recites the verses): “Rise, O lord of the brahman”; “Let the lord of the brahman move forward”; the two triṣṭichs “The hotṛ, the God”, “To thee, O Agni”.
5.14.12	At the words: “The embryo of beings I bring in” he should fix his thoughts on the unborn child of his (wife), if she desires a child, whilst he accompanies the cortege to the north of the sadas.
5.14.13	They deposit the fire in the agnldhriya-shed (on the hearth).
5.14.14	(The verse): “O Agni, accept gracefully” he then recites (at the moment) when the libation is being performed by the adhvaryu.
5.14.15	Accompanying the cortege on the north side of the fire in the agnīdhriya-shed (on its way to the Āhāvaniya) (he recites) the triṣṭich: “Soma goeth, who knoweth the way”.
5.14.16	(The verse): “Unto the dear one” (he recites at the moment) when the oblation is being offered (in the Āhāvaniya).
5.14.17	(The verse): “This of him, O king Varuṇa”, whilst he (the Soma) is brought (through the eastern door into the havirdhaua-shed).
5.14.18	(Reciting the verse): “Within thou hast come forward”, he enters (into the shed) after (the others).
5.14.19	As the Soma has been deposited in the southern havirdhāna cart (he recites) standing to the north with his face directed southwards the verses: “Like an eagle his host”; “Thee, the lord of hosts”; “He has fixed the sky”.
5.14.20	He concludes (his anuvācana) with (the verse): “Do thou welcome Varuṇa”.
5.14.21	Turning himself round on his left shoulder as axle, he takes his seat at the eastern door of the havirdhāna shed (outside).
5.14.22	In case the Soma is brought (into the shed) through the western door, the hotṛ follows (and enters through the same door).
5.14.23-24	The recitation is the same, but now he turns round his right shoulder, leaves the shed by the western door, turns round his left shoulder, passes now at the north side the havirdhāna shed and takes his seat on the same place (at the eastern door of the shed).
5.15.1	On the day which precedes the sacrifice of Soma, the-sacrifice of a he goat to Agni and Soma takes place.
5.15.2	When he has been addressed (by the adhvaryu) (with the words) "(Recite) to the sacrificial post being anointed", he recites (the verse): "They anoint thee".
5.15.3	When he has been addressed (with the words): "(Recite) to the (post) being erected" he proceeds with the verses: "Be erected, O lord of the forest"; "Rising before the kindled"; "Born is he born"; "Aloft to our aid"; "Aloft us".
5.15.4	When addressed (by the words): "Recite to the post being girded" he concludes (his recitation) (with the verse): "The youth, well-clad". Standing he recites the verses to accompany the churning of the fire.
5.15.5	He concludes them with (the verse): "By the sacrifice the sacrifice". Then he recites the kindling-verses.
5.15.6	Immediately after he has summoned the deity for whom the animal is destined, he summons Vanaspati.
5.15.7	Having touched simultaneously the two adhvaryus, he remains standing.
5.15.8	(Now) the sacrificer delivers the maitrāvaruṇa-staff to the maitrāvaruṇa with (the formula): "I deliver thee by the direction of Mitra and Varuṇa, the prasastrs, for the security of the sacrifice".
5.15.9	With the same mantra, (changing it) according to the aim he (the maitrāvaruṇa) accepts it and enters (the sadas), before (the hotṛ), making a turn to the right to the south of the hotṛ.
5.15.10	Having passed to the north of the havirdhāna-shed and to the south of the agnīdhriya-shed he (the maitrāvaruṇa) enters the sadas by the eastern door, sits down behind his own dhisnya and performs the rite for the eleven fore-offerings.
5.16.1	The promptings fall to the share of the maitrāvaruṇa.
5.16.2	Likewise the invīting-verses at an (act) combined with prompting.
5.16.3	Equally the recitation (anuvācana).
5.16.4	Standing and bending forward, leaning on his staff (he utters these texts). When addressed (by the adhvaryu) with the words: "Prompt the (hotṛ to recite to the) kindling-sticks" he (the maitrāvaruṇa) prompts him (to recite the offering-verse for the first fore-offering) with (the formula): "Let the hotṛ worship (also ‘pronounce his offering verse to’) Agni by the kindling-stick".
5.16.5	The āprī (verses) are the offering-verses for the fore-offerings, (to be taken) in accordance with the ṛṣi-descent of the sacrificer.
5.16.6	Or the (āprī hymn) beginning: "Enkindled now is the human God" may be taken for all (descendants of different ṛṣis).
5.16.7	But his own Nārāśaṃsa verse is to be taken for one who performs this fore-offering.
5.16.8	When he has performed (his part of) ten (of the eleven fore-offerings) he recites, as soon as he has been addressed (by the adhvaryu) with (the words): "Recite to the fire being carried around" the three verses: "Agni, the hotṛ is being carried around at our sacrifice".
5.16.9	When he (the maitrāvaruṇa) has been addressed (by the adhvaryu) with the words: "Do by-prompt the hotṛ, he recites his by-prompting": "Agni has vanquished".
5.16.10	When the by-prompting has been uttered, the hotṛ (recites) the adhrigu (formula).
5.17.1	"Ye divine quieters (slaughterers) as well as ye that are human, commence! Lead ye the victim to the doors of the sacrifice, commending (it) to the two lords of the sacrifice.
5.17.2	"Lead ye the fire forwards for it. Spread the strew. Let its mother, let its father, let its brother from the same womb, let its comrade from the same flock assent.
5.17.3	"Direct its feet to the north. Make its eye go to the sun, let loose its breath to the wind, its life to the intermediate region, its hearing to the quarters, its bones to the earth.
5.17.4	"Flay off its skin in one piece; before ripping up the navel, extract the omentum, keep its breath within.
5.17.5	"Make his breast as a falcon as it were, his upper forelegs as hatchets, his lower forelegs as spikes, his shoulder-blades as tortoises, his loins make (leave) unbroken, his thighs door-leaves, his knees oleander-leaves.
5.17.6	"Twenty-six are its ribs, these loosen one after another. Each limb make (leave) entire.
5.17.7	"Dig in the earth a hole for the undigested food in the stomach and bowels.
5.17.8	"Unite the ogress with the blood.
5.17.9	"Do not cut its rectum, deeming it an uruka, lest in your family and offspring a howler may howl, O quieters (O slaughterers)," and (after this passage comes) in the adhrigu (formula) the ninth (time for) taking breath.
5.17.10	He concludes with the thrice repeated: "O Adhrigu, do ye quiet (slay), do ye quiet well, do ye quiet, do ye quiet, O Adhrigu!" and thereupon mutters whisperingly (the designation of both: (Adhrigu) and apāpa).
5.17.11	He may not look on the victim whilst it is being slaughtered.
5.17.12	The gazing on the curdled butter (prsadājya) is the ‘good making’ (prāyaścitta).
5.17.13	Or he mutters a verse addressed to Viṣṇu.
5.18.1	When he (the maitrāvaruṇa) has been addressed (by the adhvaryu) with the words: "To the drops (recite)", he recites (the verse): "Accept graciously our most extending" and the hymn beginning: "Bring this our sacrifice".
5.18.2	When he (always the maitrāvaruṇa) has been addressed (by the adhvaryu) with the words: "For the svaḥa-calls (prompt the hotṛ to recite his offering-verses)", he prompts (the hotṛ) with (the formula): "Let the hotṛ worship Agni, svaḥa of the butter".
5.18.3	The offering-verse is the last of the āprī verses.
5.18.4	Between the last fore-offering and the (offering of the) omentum the voice must be restrained.
5.18.5	He does not perform the butter-portions (at the sacrifice of the omentum).
5.18.6	Or (they may be performed and then) the verses to be used are those containing the word ‘growing’.
5.18.7	The insertings are those of the sacrifices at full- and new-moon day. At these the two (i.e. butter-portions and the two deities to whom these are offered) enter (or, ‘are inserted’).
5.18.8	Not in the promptings.
5.18.9	The invīting-(verse) for the (sacrifice of the) omentum is: "O Agni and Soma hear this my call".
5.18.10	The prompting is: “Let the hotṛ worship Agni and Soma”.
5.18.11	The offering-verse is: “You both have brought these lights”.
5.18.12	Having left (the sadas) as they had entered it, they (the hotṛ and maitrāvaruṇa) wash over the catvala (the pit) (their hands) with the triṣṭich: “Here, O Waters, carry ye off” and are (temporarily) dischaṛged.
5.19.1	When summoned (by the adhvaryu) for the oblation of the victimal cake, they (the hotṛ and maitrāvaruṇa) pass at the north side of the agnīdhriya shed and the hotṛ’s dhisnya and sit down according to their dhisnya (each behind his own dhisnya).
5.19.2	The aims of the (sacrifice of the) victim bring about, on account of their foṚce, the aim (of the cake).
5.19.3	Even if there is collision of cake and Sviṣṭakṛt.
5.19.4	Of (sacrificial substances) of unequal quality the practice (is brought about) by not-adapting.
5.19.5	There are no insertings of the (deities of those rites) that are enjoined in the connected performance of the animal sacrifice.
5.19.6	The invīting-(verse) for the cake is: "O Agni and Soma, he who today".
5.19.7	The prompting is: "Let the hotṛ worship Agni and Soma. (Let them graciously accept the sacrificial substance of the cake. Hotr, recite the offering-verse)".
5.19.8	The offering-verse is: "O Agni and Soma, save our coursers".
5.19.9	The invīting-(verse) for (the sacrifice to) Agni Sviṣṭakṛt is: "Potent nourishment, O Agni".
5.19.10	The prompting is: "Hotr, worship Agni".
5.19.11	The offering-verse is: "Praising the flaming fire".
5.19.12	Having invoked the iḍā (at the end of the oblation of the cake) they proceed with (the offering of the parts of) the animal (victim itself).
5.19.13	When he has been addressed (by the adhvaryu) with the words: "(Recite the invīting-verse) for the sacrificial substance (being cut in portions) for manotā", he recites the manotā-hymn (beginning): "For thou art the first thinker".
5.19.14	The invīting-verse for the oblation of (the parts of) the victim is: "He who granted you the oblation, O Agni and Soma".
5.19.15	The prompting is: "Let the hotṛ worship Agni and Soma".
5.19.16	In the middle of the offering-verse: "O Agni and Soma, paṛtake ye of the sacrificial substance" he pauses (and waits) until the oblation of the gravy.
5.19.17	After it has been poured into the fire, he (recites the second half of the verse and) utters the vaṣaṭ call.
5.19.18	The invīting-verse for (the oblation to) the lord of the forest is: "Convey ever to the Gods, O gold-leafed lord of the forest, the sacrificial substances, thy aim (?) girding thyself sunwise with the rope, along the right paths of the ṛta".
5.19.19	The prompting is: "Let the hotṛ worship the lord of the forest".
5.19.20	The offering-verse is: "O lord of the forest, by the rope".
5.19.21	The invīting-verse for (the oblation to Agni) Sviṣṭakṛt is: "Delight the Gods".
5.19.22	The prompting is: "Let the hotṛ worship Agni Sviṣṭakṛt".
5.19.23	The offering-(verse) is (the same as that which is used ordinarily in this sacrifice), without the prose insertion.
5.19.24	When he has invoked the iḍā, he performs the rite of the eleven after-offerings.
5.20.1	He (the maitrāvaruṇa) prompts (the hotṛ to recite his offering-verse) without taking breath (with the praiṣas, the first of which runs): "The divine barhis (the strew) may be connected with the Gods".
5.20.2	The offering-verses are the same as at the caturmāsyas.
5.20.3-4	Between the eighth and the ninth come the two incidental ones, viz.: "Let the God Vanaspati, for bestowing wealth, accept our good gift"; "Let the divine barhis, of the water (herbs), for bestowing wealth, accept our good gift".
5.20.5	When (the maitrāvaruṇa) has been addressed (by the adhvaryu with the words): "Prompt (the hotṛ to recite) the good words" he utters the prompting for the sūktavāka with the formula: "This sacrificer hath today Agni as his hotṛ".
