1.1.1	Now we shall explain the sacraments beginning with conception.
1.13.4	He offers the kindling wood with the verse, "O kindling wood, svāhā!"
1.14.3	Having recited the mantra sixty times, one should offer the kindling wood, saying, "This is the kindling wood," on the fire of scattered embers.
1.14.4	The deity to whom the oblation is offered, he offers it mentally contemplating on that deity. The Suṣumṇā, luminous, having Prāṇa, carrying the semen, having taken the oblation, the four rays should be joined with the Pṛṣṇī. He who carries the pure and nectar-bearing, the purifying of the world, with these he nourishes the Moon.
1.13.5	Taking ghee with the ladle, he says, "O nectar, you are hidden." He says, "You are hidden." He recites, "You are concealed." He takes ghee, reciting, "You are to be offered." He offers ghee, reciting, "You are to be worshipped." He offers ghee with the ladle. He offers ghee, saying, "You are the lord of the fire." He offers ghee three times, reciting the three verses beginning with "You are the Lord of the Fire."
1.14.5	The king Soma, the nourishing, the root-going, the giver of nectar, the beloved of the gods, with these nectars he propitiates the deity.
1.15.1	Having touched the sacrificial vessels with the ladle, he should offer two libations, saying "To Prajapati Svāhā" from the northwest to the northeast, and "To Indra Svāhā" to the southeast from the southwest.
1.14.1	Having sprinkled the kindling woods with the Gayatri verse, having taken the kindling woods which are of the size of twenty-one oblations or which are filled with the hand, having touched ghee with the root and tip, having worshipped, having placed the Aksata, ghee and cooked rice, touching the root, middle and tip, having lowered, having joined the lower part and the middle part.
1.15.2	Having known the eyes, he offers the two portions of clarified butter to Agni and Soma, respectively, to the north and south.
1.14.2	"With the divine rite, with the water of the south, the eastern end, O Aditi, do thou approve. With the western end, the northern end, O Anumati, do thou approve." With the northern end, the eastern end of Sarasvati, do thou approve, O God Savitar, do thou approve! He sprinkles in the eastern direction, the northern end and the southern end, and in all directions clockwise.
1.15.3	"Having recited the verse, "Having recited the mantra, "Having recited this mantra, "Having offered the oblation, "Having offered oblations, "Having offered this oblation, "The Agnihotra is offered in the morning and evening, "Having offered Agnihotra, "Having offered to Agni, "Having offered with this mantra, "The Agnihotri offers Agnihotra, "The Agnihotrī offers Agnihotra,
1.15.4	Brahmin scholars say that this is the mouth of Agni.
1.14.3	Having recited the mantra sixty times, one should offer the kindling wood, saying, "This is the kindling wood," on the fire of scattered embers.
1.14.4	The deity to whom the oblation is offered, he offers it mentally contemplating on that deity. The Suṣumṇā, luminous, having Prāṇa, carrying the semen, having taken the oblation, the four rays should be joined with the Pṛṣṇī. He who carries the pure and nectar-bearing, the purifying of the world, with these he nourishes the Moon.
1.15.5	Having touched with truth, he offers with ghee, to Agni svāhā, to Soma svāhā, Agni and Soma svāhā. To Prajapati svāhā, Brahma svāhā, Indra svāhā, Vasus svāhā, Maruts svāhā, Rudras svāhā, Viṣṇu svāhā, Brihaspati svāhā, Mitra svāhā, Varuna svāhā, Adityas svāhā, Asvins svāhā, Pūṣan svāhā, Kakṣa svāhā, the deity of Kakṣa svāhākṣa, to the Upāsana sacrifice svāhā, Yajna deity, to all the gods svāhā, having offered up to the end, pouring with the ladle, taking the rice with the Savitri verse, he offers the Vyāhṛtis with the Juhu.
1.14.5	The king Soma, the nourishing, the root-going, the giver of nectar, the beloved of the gods, with these nectars he propitiates the deity.
1.15.1	Having touched the sacrificial vessels with the ladle, he should offer two libations, saying "To Prajapati Svāhā" from the northwest to the northeast, and "To Indra Svāhā" to the southeast from the southwest.
1.15.2	Having known the eyes, he offers the two portions of clarified butter to Agni and Soma, respectively, to the north and south.
1.15.6	Therefore, one should offer oblations with the mantra "This is Vishnu" for prosperity.
1.15.7	Having offered oblations with the mantras "To the ancestors, to the gods, svāhā" and "To the divine deities, to all the gods, svāhākāra," one should offer cooked oblations.
1.15.8	Thus, the beginning of all oblations is known.
1.16.1	Now, the general mantras for oblations in rituals:
1.15.3	"Having recited the verse, "Having recited the mantra, "Having recited this mantra, "Having offered the oblation, "Having offered oblations, "Having offered this oblation, "The Agnihotra is offered in the morning and evening, "Having offered Agnihotra, "Having offered to Agni, "Having offered with this mantra, "The Agnihotri offers Agnihotra, "The Agnihotrī offers Agnihotra,
1.15.4	Brahmin scholars say that this is the mouth of Agni.
1.16.2	May Dhatr grant us wealth, may Dhatr grant wealth to our offspring, may Dhatri grant us wealth. May Dhatr give us the eastern direction, may Dhatar give to the one who gives. May Anumati follow us today, may Anumati follow me. May I be united with the wealth of Vaja. May Anumata follow me. To whom this Rakam belongs, to whom this Rakam is yours, O Sinivali, to whom this Supani belongs, to whom Kuhu belongs, to whom the gods belong. Dhatr and the others are sixteen.
1.17.1	This is my truth, O Varuna. You are the one who knows. O Agni, you are the one who is to be known. You are the Agni who is to be approached. You are the approaching one. This is the fivefold Varuna hymn.
1.17.2	O Prajapati, you are not to be conquered by Prajapati. This is the Upamshu Yajus hymn for Prajapati.
1.15.5	Having touched with truth, he offers with ghee, to Agni svāhā, to Soma svāhā, Agni and Soma svāhā. To Prajapati svāhā, Brahma svāhā, Indra svāhā, Vasus svāhā, Maruts svāhā, Rudras svāhā, Viṣṇu svāhā, Brihaspati svāhā, Mitra svāhā, Varuna svāhā, Adityas svāhā, Asvins svāhā, Pūṣan svāhā, Kakṣa svāhā, the deity of Kakṣa svāhākṣa, to the Upāsana sacrifice svāhā, Yajna deity, to all the gods svāhā, having offered up to the end, pouring with the ladle, taking the rice with the Savitri verse, he offers the Vyāhṛtis with the Juhu.
1.17.3	Mind, mind, intention, intention, knowledge, non-knowledge, mind, and the Shakaris, Darsha, Purnamasa, Brihat, Rathantara, and Svāhā - these are the twelve Jayas beginning with mind.
1.15.6	Therefore, one should offer oblations with the mantra "This is Vishnu" for prosperity.
1.15.7	Having offered oblations with the mantras "To the ancestors, to the gods, svāhā" and "To the divine deities, to all the gods, svāhākāra," one should offer cooked oblations.
1.15.8	Thus, the beginning of all oblations is known.
1.16.1	Now, the general mantras for oblations in rituals:
1.17.5	Soma is the lord of plants, Savitar of births, Rudra of animals, Tvashtar of forms, Vishnu of mountains, the Maruts of groups. May these fathers, grandfathers, and great-grandfathers protect us. The eighteen fires beginning with Bhutatara are the invocations.
1.16.2	May Dhatr grant us wealth, may Dhatr grant wealth to our offspring, may Dhatri grant us wealth. May Dhatr give us the eastern direction, may Dhatar give to the one who gives. May Anumati follow us today, may Anumati follow me. May I be united with the wealth of Vaja. May Anumata follow me. To whom this Rakam belongs, to whom this Rakam is yours, O Sinivali, to whom this Supani belongs, to whom Kuhu belongs, to whom the gods belong. Dhatr and the others are sixteen.
1.17.1	This is my truth, O Varuna. You are the one who knows. O Agni, you are the one who is to be known. You are the Agni who is to be approached. You are the approaching one. This is the fivefold Varuna hymn.
1.17.2	O Prajapati, you are not to be conquered by Prajapati. This is the Upamshu Yajus hymn for Prajapati.
1.17.3	Mind, mind, intention, intention, knowledge, non-knowledge, mind, and the Shakaris, Darsha, Purnamasa, Brihat, Rathantara, and Svāhā - these are the twelve Jayas beginning with mind.
1.17.4	May Agni, the lord of beings, protect me. May Indra, the lord of the eldest, Yama of the earth, Vayu of the atmosphere, Surya of the heaven, the moon of the stars, Brihaspati of the Brahman, Mitra of the truths, Varuna of the waters, the ocean of the streams, food of the kingdoms, may the lord of the kingdoms protect me.
1.17.5	Soma is the lord of plants, Savitar of births, Rudra of animals, Tvashtar of forms, Vishnu of mountains, the Maruts of groups. May these fathers, grandfathers, and great-grandfathers protect us. The eighteen fires beginning with Bhutatara are the invocations.
1.18.1	The Gandharva Rtasad, the Apsarases Usas and Usasad, the Gandharva Gandharva, the Apsarase Rta and Rtadhama, the Gandharve Rta and Rta, the Apsarasa Rta and Rtasad, the Gandharva Visvasama, the Apsarises Marici and Marici, the Gandharvas Marici and Maricini, the Apsaruses Marici and Marichi, the Gandarva Susumna, the Apsaroses Surya and Surya, the Gandharves Surya and Surya, the Gandharm Suparna, the Apsarades Dakshina and Dakshina, the Gandharv Suparna, the Gandharma Prajapati, the Apsarides Rksama and Rksama, the Gandharvs Rksama and Rsama, the Apsaraises Rsama and Rsama. The Gandharva Vata, the Apsarages Vayu and Vayu, the Gandharvo Vata, the Gandharvos Vata and Vata, the Apasaraises Vata and Vayu, the Gandarma Bhuvanapati, the Apsarales Bhuvanapati and Bhuvanapati, the Gandarm Mritu, the Apsarates Mritu and Mritu, the Gandharm Kama, the Apsarites Kama and Kama, the Gandharvam Kama and Kama, the Gandherva Charu, the Apsarais Charu and Charu, the Gandharwa Charu and Charui, the Apsarices Charu and Charuhi, the Gandhavam Mrida, the Apsaraces Mrida and Mrida, the Gandharma Mrida and Mridani, the Apsarces Mrida and Mridi, the Gandham Mrida, the Apasaras Mrida and Mridas, the Gandharmas Mrida and Mridos, the Apsarasses Mrida and Mridis, the Gandhara Mrida, the Apareses Mrida and Mrides, the Gandharwas Mrida and Mrido, the Apsarisses Mrida and Mridee, the Gandharam Mrida, the Apesarases Mrida and Mrishi, the Gandharwes Mrida and Mrisa, the Apsarsses Mrida and Mrise, the Gandhanam Mrida, the Apareses Mrida and Mrishti, the Gandharmes Mrida and Mrishin, the Apsaresses Mrida and Mrishi, the Gandhatva Mrida, the Aprarases Mrida, the Mrida and Mrin, the Gandharws Mrida and Mrit, the Apsarresses Mrida and Mriti, the Gandhalva Mrida, the Gandhas Mrida, the Aparases Mrida and Mrud, the Gandharms Mrida and Mrut, the Apsarassas Mrida and Mruda, the Gandhu Mrida, the Aperases Mrida and Murda, the Gandharas Mrida and Murd, the Apsarass Mrida and Murdi, the Ganda Mrida, the Apiarases Mrida ad Murda, the Ganda Mrida and Murdha, the Apsarss Mrida and Murdhi, the Gandhe Mrida, the Aporeses Mrida, the Murda and Murda, the Gandhes Mrida, the Aptarases Mrida,
1.18.2	The Ritashads, the Ritas, and the Bhuvanas, except for the one beginning with "Na," are the twelve Antarashtrins.
1.18.3	Thus, the root homa begins with Prajapati.
1.18.4	The Vyahrti was performed at the end of the ancestral rites.
1.19.1	Now, the mantras for the final homa:
1.19.2	Whatever is offered to Agni Sviṣṭakṛt, Agni Annadā, Agni Annapati, Prajāpati, Indra, all the gods, and all the deities, everywhere to Agni.
1.19.3	To Agni Sviṣțakṛt, to the lord of the house. This is the form of Agni Sviṣtakar.
1.19.4	"Whatever is offered to Agni, to the self, to the eye again." This is the offering to Agni Mindahuti.
1.19.5	The Vyāhṛtis are at the end of the ten verses beginning with "Obeisance to the desired ones."
1.19.6	The Brahma is invoked, and the end is marked by "Obeisance."
1.19.7	"The mind of the careless one is the light," and "O Agni, if I am in this," and "O Indra, if we are in this," and the interrupted "May we increase the prosperity of this," and "Svāhā to the Bālava."
1.19.8	You are the kindling, you are the brilliance, bestow brilliance on me. Svāhā to the Palāśa tree.
1.19.9	We meditate on Yama, may Death protect me. Svāha to the Nyagrodha tree.
1.19.10	We meditate on the Sun, may the eye protect me. Svāh to the Aśvattha tree.
1.19.11	We contemplate Soma, may the mind protect me. Svähā to the Udumbara tree.
1.19.12	We think of Vayu, may the vital airs protect me. Svâhâ to the Śamî tree.
1.18.1	The Gandharva Rtasad, the Apsarases Usas and Usasad, the Gandharva Gandharva, the Apsarase Rta and Rtadhama, the Gandharve Rta and Rta, the Apsarasa Rta and Rtasad, the Gandharva Visvasama, the Apsarises Marici and Marici, the Gandharvas Marici and Maricini, the Apsaruses Marici and Marichi, the Gandarva Susumna, the Apsaroses Surya and Surya, the Gandharves Surya and Surya, the Gandharm Suparna, the Apsarades Dakshina and Dakshina, the Gandharv Suparna, the Gandharma Prajapati, the Apsarides Rksama and Rksama, the Gandharvs Rksama and Rsama, the Apsaraises Rsama and Rsama. The Gandharva Vata, the Apsarages Vayu and Vayu, the Gandharvo Vata, the Gandharvos Vata and Vata, the Apasaraises Vata and Vayu, the Gandarma Bhuvanapati, the Apsarales Bhuvanapati and Bhuvanapati, the Gandarm Mritu, the Apsarates Mritu and Mritu, the Gandharm Kama, the Apsarites Kama and Kama, the Gandharvam Kama and Kama, the Gandherva Charu, the Apsarais Charu and Charu, the Gandharwa Charu and Charui, the Apsarices Charu and Charuhi, the Gandhavam Mrida, the Apsaraces Mrida and Mrida, the Gandharma Mrida and Mridani, the Apsarces Mrida and Mridi, the Gandham Mrida, the Apasaras Mrida and Mridas, the Gandharmas Mrida and Mridos, the Apsarasses Mrida and Mridis, the Gandhara Mrida, the Apareses Mrida and Mrides, the Gandharwas Mrida and Mrido, the Apsarisses Mrida and Mridee, the Gandharam Mrida, the Apesarases Mrida and Mrishi, the Gandharwes Mrida and Mrisa, the Apsarsses Mrida and Mrise, the Gandhanam Mrida, the Apareses Mrida and Mrishti, the Gandharmes Mrida and Mrishin, the Apsaresses Mrida and Mrishi, the Gandhatva Mrida, the Aprarases Mrida, the Mrida and Mrin, the Gandharws Mrida and Mrit, the Apsarresses Mrida and Mriti, the Gandhalva Mrida, the Gandhas Mrida, the Aparases Mrida and Mrud, the Gandharms Mrida and Mrut, the Apsarassas Mrida and Mruda, the Gandhu Mrida, the Aperases Mrida and Murda, the Gandharas Mrida and Murd, the Apsarass Mrida and Murdi, the Ganda Mrida, the Apiarases Mrida ad Murda, the Ganda Mrida and Murdha, the Apsarss Mrida and Murdhi, the Gandhe Mrida, the Aporeses Mrida, the Murda and Murda, the Gandhes Mrida, the Aptarases Mrida,
1.19.13	We meditate on the divine intellect of Brahma. Protect me. Svāhā. Khadira (wood) is the seven kindling woods.
1.19.14	Seven are your seasons, O Agni.
1.19.15	Agni has eaten. Having taken ghee from the ladle, Agni has eaten. Having removed the cooked rice from the ladle, having offered, he offers the entire sacrificial grass, saying, "Agni has eaten."
1.18.2	The Ritashads, the Ritas, and the Bhuvanas, except for the one beginning with "Na," are the twelve Antarashtrins.
1.18.3	Thus, the root homa begins with Prajapati.
1.18.4	The Vyahrti was performed at the end of the ancestral rites.
1.19.1	Now, the mantras for the final homa:
1.19.16	Then, holding the ladle in the left hand and the vessel of clarified butter in the right hand, placing it above the fire, one should offer the remaining clarified butter with the mantra "Indrāya svāhā".
1.19.2	Whatever is offered to Agni Sviṣṭakṛt, Agni Annadā, Agni Annapati, Prajāpati, Indra, all the gods, and all the deities, everywhere to Agni.
1.19.3	To Agni Sviṣțakṛt, to the lord of the house. This is the form of Agni Sviṣtakar.
1.19.4	"Whatever is offered to Agni, to the self, to the eye again." This is the offering to Agni Mindahuti.
1.20.1	Having taken it in the vessel, having covered it with the spoon, he offers it with the formula, "May Agni be satisfied." He offers it to the west of the altar with the formula, “May the altar be satisfied.” To the sky with the formula, "May heaven be satisfied." To the earth with the formula, "May the earth be satisfied." He makes the offering to the south with the formula, 'May Brahma and others be satisfied.'
1.20.2	Having taken water in the southern direction, he makes offerings to the gods, herbs, trees, Gandharvas and Apsaras with the verse, "May they be satisfied." He makes offerings to them on the northern altar.
1.19.5	The Vyāhṛtis are at the end of the ten verses beginning with "Obeisance to the desired ones."
1.19.6	The Brahma is invoked, and the end is marked by "Obeisance."
1.19.7	"The mind of the careless one is the light," and "O Agni, if I am in this," and "O Indra, if we are in this," and the interrupted "May we increase the prosperity of this," and "Svāhā to the Bālava."
1.20.3	Then, taking water in the left hand, he offers libations to the ancestors, saying, "May the ancestors, grandfathers, and great-grandfathers be satisfied with the imperishable." He offers libations to them in the south.
1.19.8	You are the kindling, you are the brilliance, bestow brilliance on me. Svāhā to the Palāśa tree.
1.19.9	We meditate on Yama, may Death protect me. Svāha to the Nyagrodha tree.
1.19.10	We meditate on the Sun, may the eye protect me. Svāh to the Aśvattha tree.
1.19.11	We contemplate Soma, may the mind protect me. Svähā to the Udumbara tree.
1.19.12	We think of Vayu, may the vital airs protect me. Svâhâ to the Śamî tree.
1.19.13	We meditate on the divine intellect of Brahma. Protect me. Svāhā. Khadira (wood) is the seven kindling woods.
1.19.14	Seven are your seasons, O Agni.
1.19.15	Agni has eaten. Having taken ghee from the ladle, Agni has eaten. Having removed the cooked rice from the ladle, having offered, he offers the entire sacrificial grass, saying, "Agni has eaten."
1.19.16	Then, holding the ladle in the left hand and the vessel of clarified butter in the right hand, placing it above the fire, one should offer the remaining clarified butter with the mantra "Indrāya svāhā".
1.20.1	Having taken it in the vessel, having covered it with the spoon, he offers it with the formula, "May Agni be satisfied." He offers it to the west of the altar with the formula, “May the altar be satisfied.” To the sky with the formula, "May heaven be satisfied." To the earth with the formula, "May the earth be satisfied." He makes the offering to the south with the formula, 'May Brahma and others be satisfied.'
1.20.2	Having taken water in the southern direction, he makes offerings to the gods, herbs, trees, Gandharvas and Apsaras with the verse, "May they be satisfied." He makes offerings to them on the northern altar.
1.21.3	"Having removed the enclosing sticks towards the west, he should remove them towards the south and north.
1.21.4	"Towards the west is Vishnu's abode." Having spread the sacrificial grass towards the south, north, and east, he should offer the oblation with the verse, "May they be nourished."
1.21.5	"Having spread the grass without interruption, he should say, "May the abode of the ancestors be purified, may the abode of the gods be purified." He should burn it in the southwest direction."
1.21.6	With unbroken brahmic splendor.
1.20.3	Then, taking water in the left hand, he offers libations to the ancestors, saying, "May the ancestors, grandfathers, and great-grandfathers be satisfied with the imperishable." He offers libations to them in the south.
1.21.7	Taking the ashes with the words "Bhūtiḥ sme" and applying them on the forehead, heart, arms, throat, etc., with the words "Adityaḥ somaḥ namaḥ" and the tip pointing upwards, sprinkling with the words "Apah stha" and "Om ca me svar iti", and "Balakṛtam veti", having worshipped the fire and the sun as before, and then approaching the root of the altar, having worshipped the fire with the Vaisvānara Sūkta, one should perform the prostration. The Homa is performed at the end of the ritual.
1.21.8	"Oṃ, may my voice be auspicious." This is known as the dismissal of the worldly fire.
2.1.1	Then, in the rites related to the body, one should perform the Nāndīmukha rite, except during the conjunction of the seasons.
2.1.2	The day on which one performs the rites of Garbhādāna and others, saying "I shall do it tomorrow," is called Nāndī.
1.20.4	Having performed the Pravahana with the four verses ending with "Praasaaviri", taking the sacred thread and unbroken grains with the right, left, and thumb fingers, he offers the sacred thread with the verses "You are the sacred thread, you are the full, you are in the assembly, you are all." Having moved the left Praṇidhi, he sprinkles in the eastern, southern, western, northern, upward, and downward directions with the verses "This is the water, this is the sacred thread, this is the unbroken, this is the pure, this is the auspicious, this is the supreme, this is the highest, this is the lowest, this is the lower, this is the very lower." Having taken "I am the offspring", he sprinkles a little water from the right Praṇidhi. He sprinkles the water from the left Praṇidhi into the water vessel with the verse "This is your own place".
2.1.3	The face of that (woman) is sacred to all gods, ancestors and deities. The auspicious beginning of the rite of Śrāddha is done like the divine one.
2.1.5	They offer the oblation of white rice, white mustard seeds, ghee and cooked rice, saying "This is the fourfold white offering." Taking this, he offers oblations to Agni, Soma, Prajāpati, the Viśve Devas, the sages, the ancestors, the beings, and all the deities, ending with "Salutations." Having worshipped with flowers and other offerings in his name, he offers the oblation.
1.21.3	"Having removed the enclosing sticks towards the west, he should remove them towards the south and north.
1.21.4	"Towards the west is Vishnu's abode." Having spread the sacrificial grass towards the south, north, and east, he should offer the oblation with the verse, "May they be nourished."
1.21.5	"Having spread the grass without interruption, he should say, "May the abode of the ancestors be purified, may the abode of the gods be purified." He should burn it in the southwest direction."
1.21.6	With unbroken brahmic splendor.
2.2.1	Having offered rice-cakes and other things, he fills the water-pot with water, saying, "Salutations to the good-smelling one." To remove sin, he places on it a lotus-leaf, a seat, a sacred thread, and an ornament.
1.21.7	Taking the ashes with the words "Bhūtiḥ sme" and applying them on the forehead, heart, arms, throat, etc., with the words "Adityaḥ somaḥ namaḥ" and the tip pointing upwards, sprinkling with the words "Apah stha" and "Om ca me svar iti", and "Balakṛtam veti", having worshipped the fire and the sun as before, and then approaching the root of the altar, having worshipped the fire with the Vaisvānara Sūkta, one should perform the prostration. The Homa is performed at the end of the ritual.
1.21.8	"Oṃ, may my voice be auspicious." This is known as the dismissal of the worldly fire.
2.1.1	Then, in the rites related to the body, one should perform the Nāndīmukha rite, except during the conjunction of the seasons.
2.1.2	The day on which one performs the rites of Garbhādāna and others, saying "I shall do it tomorrow," is called Nāndī.
2.1.3	The face of that (woman) is sacred to all gods, ancestors and deities. The auspicious beginning of the rite of Śrāddha is done like the divine one.
2.2.2	Having collected the sacrificial grass, the sacrificial grass of Kuṭa, the sacrificial grass, or the three-leaved sacrificial grass, and having taken it, one should offer oblations with the verses "Agni leads us today, Agni, the deity of Agni, Soma, the deity of Soma, the deity Brahma, the deity of Brahma, Rudra, the deity of Rudra, the deities, the deity of Vishnu, the deities of the universe, the deity of the universe, "From where you are your own," the deity of the seven sages, "The beings," the deity of beings, the Vyāhṛtis, to Agni, the carrier of Kavya, to Soma, the father of the Pitrs, to Yama, the father of Angiras. These Pitrs who are here, may she give us. The verses are the deity of the Pitrs. To the Pitrs who have gone to the earth, to the Pitrs who are in the sky, to the great-grandfathers who are in heaven, to the great great-grandfathers, Svāhā, Svāhā to the Pitrs. Having offered the Vyāhṛti to the Pitrs in general, one offers to those eight deities.
2.1.4	On the previous day, in the morning, he should feed a pair of Brahmins who have washed their hands and feet well, who are learned in the Vedas, and then sprinkle water on them. Having smeared the ground with cow dung, he should arrange seats with Darbha grass for those seated. He adorns them with flowers and other things as much as possible.
2.2.3	Having poured the ghee into the vessels, he sprinkles it twice with the ladle, and throws the remnant of the gods to the ancestors. Then he touches the cooked rice with his thumb.
2.2.4	Then, having bowed down, he should feed the Brahmins with milk or curd, saying "By truth, by Rajas."
2.2.5	Having made the group of people rise, having cleaned the leftovers, having honoured the Brahmins, having recited the auspicious verse, having touched her with the Svasti-sutra, he binds the counter-verse, "May she be the bestower of welfare, the lord of the universe."
2.1.5	They offer the oblation of white rice, white mustard seeds, ghee and cooked rice, saying "This is the fourfold white offering." Taking this, he offers oblations to Agni, Soma, Prajāpati, the Viśve Devas, the sages, the ancestors, the beings, and all the deities, ending with "Salutations." Having worshipped with flowers and other offerings in his name, he offers the oblation.
2.2.1	Having offered rice-cakes and other things, he fills the water-pot with water, saying, "Salutations to the good-smelling one." To remove sin, he places on it a lotus-leaf, a seat, a sacred thread, and an ornament.
2.3.1	Then, in the fifth year from conception, one should initiate a Brahmin who desires Vedic learning, in the eighth year one who desires longevity, in the ninth year one who desires prosperity, in the spring, a Brahmin, in the eleventh year a Kshatriya in the summer, in the twelfth year a Vaishya in the autumn. Or, a Brahmin up to the sixteenth year, a Kshatriya up to the twenty-second year, and a Vaishya up to the twentyfourth year.
2.3.2	Those who have fallen from Savitri become so.
2.3.3	Their expiation is Uddalaka.
2.3.4	For two months one should live on milk, for a month on milk-rice, for half a month on barley-gruel, for eight nights on ghee, for six nights on begged food, for three nights on water, and for one night on fasting. This is Uddalaki.
2.3.5	By this rite of the horse-sacrifice, or by the rite of the Vratyas, or by the Vratyas-stoma, having performed the rites of Garbha-dhana and others, they become fit for Upanayana, and fall from Savitri.
2.2.2	Having collected the sacrificial grass, the sacrificial grass of Kuṭa, the sacrificial grass, or the three-leaved sacrificial grass, and having taken it, one should offer oblations with the verses "Agni leads us today, Agni, the deity of Agni, Soma, the deity of Soma, the deity Brahma, the deity of Brahma, Rudra, the deity of Rudra, the deities, the deity of Vishnu, the deities of the universe, the deity of the universe, "From where you are your own," the deity of the seven sages, "The beings," the deity of beings, the Vyāhṛtis, to Agni, the carrier of Kavya, to Soma, the father of the Pitrs, to Yama, the father of Angiras. These Pitrs who are here, may she give us. The verses are the deity of the Pitrs. To the Pitrs who have gone to the earth, to the Pitrs who are in the sky, to the great-grandfathers who are in heaven, to the great great-grandfathers, Svāhā, Svāhā to the Pitrs. Having offered the Vyāhṛti to the Pitrs in general, one offers to those eight deities.
2.2.3	Having poured the ghee into the vessels, he sprinkles it twice with the ladle, and throws the remnant of the gods to the ancestors. Then he touches the cooked rice with his thumb.
2.2.4	Then, having bowed down, he should feed the Brahmins with milk or curd, saying "By truth, by Rajas."
2.4.1	The staff of a Brahmin should be made of Palasha or Bhallataka wood, reaching to the tip of the hair, without any wounds, well-polished, not causing any irritation, resembling a sacrificial post, straight, and made of black antelope skin. The girdle should be made of Muñja grass.
2.4.2	The staff of a Kshatriya should be made of Nyagrodha wood, reaching to his forehead, made of Ruru antelope skin, and the girdle should be made with Muñja grass.
2.2.5	Having made the group of people rise, having cleaned the leftovers, having honoured the Brahmins, having recited the auspicious verse, having touched her with the Svasti-sutra, he binds the counter-verse, "May she be the bestower of welfare, the lord of the universe."
2.4.3	The staff of a Vaishya should be of Udumbara wood, ending at the tip of the nose. The antelope skin should be of Bastava and the girdle of Shaani.
2.4.4	Om bhurbhuvah suvar tat savitur iti savitri Om bhurbhuvah svar tat savitur ap jyotir ras iti pranayama Om bhurbhuvar suvar svah iti vyaahriti.
2.2.6	To the ancestors of the Nandimukha clan, salutations to the ancestors of the Pitamaha clan, salutations. To the ancestors of Prapitamaha clan, salutlations. When this is said, the ancestors reply "May there be prosperity." The devotee then releases the ancestors.
2.2.7	The next day, one should bathe with that pot of water.
2.2.8	It is known as Nandimukha.
2.4.5	There are two verses beginning with "to Agni, the kindling wood", four verses beginning with "Agni, the kindling woods", and one verse beginning with "Agnaye samidha". These are the verses for kindling the fire by a Brahmana.
2.4.6	"Om, earth, atmosphere, heaven, that is Savitri." This is the Savitri verse.
2.4.7	"Om earth, atmosphere, that is Savitr's radiance, the light, the essence." This is the Pranayama verse.
2.4.8	"Oṃ bhūḥ, bhuvaḥ, svāhā." This is the Vyāhṛti verse.
2.3.1	Then, in the fifth year from conception, one should initiate a Brahmin who desires Vedic learning, in the eighth year one who desires longevity, in the ninth year one who desires prosperity, in the spring, a Brahmin, in the eleventh year a Kshatriya in the summer, in the twelfth year a Vaishya in the autumn. Or, a Brahmin up to the sixteenth year, a Kshatriya up to the twenty-second year, and a Vaishya up to the twentyfourth year.
2.3.2	Those who have fallen from Savitri become so.
2.3.3	Their expiation is Uddalaka.
2.3.4	For two months one should live on milk, for a month on milk-rice, for half a month on barley-gruel, for eight nights on ghee, for six nights on begged food, for three nights on water, and for one night on fasting. This is Uddalaki.
2.4.9	"Two verses, "To Agni the kindling wood" and "To Agni the wood", are for kindling the fire. These are for the Kshatriya.
2.4.10	"Om, this is the earth, that is Savitar" is the Savitri.
2.4.11	"Om this is the earth; that is Savitar; Agni is the light; the essence is" is the Pranayama.
2.4.12	"Om earth, svāhā" is the Vyāhṛti.
2.4.13	"To Agni the kindler" and "To the kindler" are for kindling. These are for Vaishya.
2.3.5	By this rite of the horse-sacrifice, or by the rite of the Vratyas, or by the Vratyas-stoma, having performed the rites of Garbha-dhana and others, they become fit for Upanayana, and fall from Savitri.
2.4.1	The staff of a Brahmin should be made of Palasha or Bhallataka wood, reaching to the tip of the hair, without any wounds, well-polished, not causing any irritation, resembling a sacrificial post, straight, and made of black antelope skin. The girdle should be made of Muñja grass.
2.4.2	The staff of a Kshatriya should be made of Nyagrodha wood, reaching to his forehead, made of Ruru antelope skin, and the girdle should be made with Muñja grass.
2.5.1	The asterisms of Prishthapada, Hasta, Ashvini, Anuradha, Pushya, Pushya, Mrigashira, or whatever asterisms have masculine names, there, having collected the materials of Agni, Vayu, the girdle of antelope skin, the staff with a garment, the pot, the stone, the kindling wood, the darbha grass, etc., on the darbha grass and having sprinkled with "May you be united," he sprinkles.
2.4.3	The staff of a Vaishya should be of Udumbara wood, ending at the tip of the nose. The antelope skin should be of Bastava and the girdle of Shaani.
2.4.4	Om bhurbhuvah suvar tat savitur iti savitri Om bhurbhuvah svar tat savitur ap jyotir ras iti pranayama Om bhurbhuvar suvar svah iti vyaahriti.
2.5.2	Having offered the Aghāra oblation with ghee, having placed the child, who has been bathed and is auspicious, having placed two Darbha grass blades with their tips towards the east and north at the head of the fire in the south-east direction, having cut the Darbha grass with the four verses "Indra's weapon" and "By which razor one shaves", he shaves all around, except below the collar bone.
2.4.5	There are two verses beginning with "to Agni, the kindling wood", four verses beginning with "Agni, the kindling woods", and one verse beginning with "Agnaye samidha". These are the verses for kindling the fire by a Brahmana.
2.4.6	"Om, earth, atmosphere, heaven, that is Savitri." This is the Savitri verse.
