1.1.1	Now we shall declare the method.
4.3.5	"Dasavṛkṣa" is said by Śākalya.
4.3.6	Ten friends recite and touch.
4.2.17	He makes him drink.
4.2.18	Having fed him with yellow rice, having smeared the excrement with excrement, having bound the left thigh with a green thread on a mat as prescribed by the mantra, he bathes him.
4.2.19	He makes him go.
4.2.20	He makes the attendant stand.
4.2.21	Having smeared the hair of the armpits with jute, he covers it with gold.
4.3.7	"In the case of the Kṣatriya, he should bind the Kāmipila grass at the crossroads and sprinkle it with the Pinjūlī grass.
4.3.8	He sprinkles.
4.3.9	In the case of a king, he should sit on the ground with the Udyati and Pṛṣṭa-saṃhitā."
4.2.22	The mantra says, "Born at night, the Suparna is born." Having rubbed the feces and blood, he anoints.
4.2.23	He cuts off the gray hair.
4.2.24	He covers the wounds with ointment.
4.2.25	Reciting the mantra "What is Agni," he heats, boils, and sprinkles the axe.
4.2.26	He binds the four reeds of the white flower and the heroic one, saying, "He has come forward."
4.2.27	The three-burnt reed is the gem.
4.2.28	In the firebrand, the auspicious beginning.
4.2.29	Having offered the fragrant powders of the names of the mothers, he anoints the remaining part.
4.3.10-13	He makes the sick person sit on a branch facing east, and the healthy person facing west. He makes the sick one drink water by churning it with the Upamaṃthani ladle on his head, saying, "May he who is thirsty drink." He makes him drink water, saying, "This is water." He makes the sick one sit on a branch, facing east, and makes the healthy one sit on a different branch, facing west. He then makes the sick one sip water, saying, “May he who is thirsting drink.” He makes him sip water, saying "This is water". The mantra says "with the sick one and the healthy one".
4.2.30-33	On the cross-roads, on the head, on the two darbha-blades, in the charcoal-pot, the following are placed. The one who is going away from the others, the other one sprinkles from behind. Having sprinkled in a vessel of raw hide, he binds it in the three-footed place of birth, saying, "The goddess Varana, the destroyer of diseases, the tawny one."
4.3.14	"The oblations of the Anga-fires, mixed with ghee, are offered with the formula, "Indra's great power."
4.3.15	He binds the young ones with the left side around the black-coloured stalk.
4.3.16	He shines.
4.3.17	He places.
4.3.18	Facing south, he scatters the dust with the left hand and sprinkles it.
4.3.19	He presses.
4.3.20	He places."
4.3.21-28	The rising sun is called 'Udyan' (rising). He said, 'They are killed at the end of the hymn.' He sprinkles with Darbha grass. At midday. Towards the west in the afternoon. Cutting off the tuft of a young calf, he sprinkles the ground. With the words, 'From your eyes,' he sprinkles. He sprinkles with a pot of water that has been sprinkled.
4.2.34	With the best (i.e. the fifth) he anoints with four fingers of Palasha.
4.2.35	With the first, he binds as mentioned in the mantra.
4.2.36	With the second, he anoints the flowing water as mentioned in the
4.2.37	mantra.
4.2.38	With the third, he binds as stated in the mantra. With the fourth, he places it.
4.2.39	With the fifth, he brings the flowing water on the head of one afflicted by Varuna.
4.2.40	With the best (i..e. the fifth), he places the Shakala.
4.3.29	He pours down the seeds of the deer in the evening star, with the fire of the binding, pouring, sipping, and the stake.
4.3.30	He pours down the barley grains taken once from the measureless vessel.
4.3.31	He gives the cooked food.
4.3.32	"He releases you," he says, with the putrid fish of the village, to the rice.
4.3.33	He pours it down in the evening star with the fire of sesame, mustard, and cowdung, in the forest.
4.2.41	"He sprinkles (the seed) with the verse, 'The sun has risen' when it is being sown outside."
4.2.42	"He sprinkles (the seeds) with the verse 'This is not drinkable' when it is sown in a place where water is not available."
4.2.43	"Having drawn the shape of a mound of earth as prescribed by the mantra, he sews and binds it in the living pit with the verse 'The crow'."
4.3.1	"He sprinkles the yoke of the plough on his head with the verse 'Salutations to your ploughs'."
4.3.34	The deer-hunter releases (the arrow) with the words, "Release!" and sprinkles (the arrow).
4.4.1	The Brahmin, having made a salutation in the city of Takshaka, recites and performs the ritual ablution, sprinkling (the arrow). The arrow is released with the words, "Release!"
4.4.2	The arrow is released with a sound like the crackling of a bamboo cane.
4.3.2	Salutations to the gods with the sun and the moon. Thus, in an empty hall, he offers libations of water.
4.3.3	In the northern part, in the well of old age, with grass from the house.
4.3.4	In that, he performs ablutions and sprinkles water.
4.3.5	"Dasavṛkṣa" is said by Śākalya.
4.3.6	Ten friends recite and touch.
4.4.3	Having churned the water-pot with the two fruits of the Udumbara tree, having scattered the balls of Retadhara (semen-holding) in accordance with the verses, he vomits.
4.4.4	He makes her drink Haridra mixed with ghee.
4.4.5	He sprinkles her under the Rohini constellation.
4.4.6	He makes the calf drink and anoints it.
4.4.7	He ties a gem with a flower of Sada tree, saying "One sees."
4.3.7	"In the case of the Kṣatriya, he should bind the Kāmipila grass at the crossroads and sprinkle it with the Pinjūlī grass.
4.3.8	He sprinkles.
4.3.9	In the case of a king, he should sit on the ground with the Udyati and Pṛṣṭa-saṃhitā."
4.4.8	Having made seven pots full of water, with the names of Bhava and Sarva, and having sprinkled them with the right hand, he throws them away afterwards.
4.4.9	With the words "You are full", he gives food to the Shami powder with the pot.
4.4.10	In the ornament.
4.4.11	He surrounds the house.
4.4.12	He gives food to the one who has taken more than his share with the words "You have become immortal".
4.3.10-13	He makes the sick person sit on a branch facing east, and the healthy person facing west. He makes the sick one drink water by churning it with the Upamaṃthani ladle on his head, saying, "May he who is thirsty drink." He makes him drink water, saying, "This is water." He makes the sick one sit on a branch, facing east, and makes the healthy one sit on a different branch, facing west. He then makes the sick one sip water, saying, “May he who is thirsting drink.” He makes him sip water, saying "This is water". The mantra says "with the sick one and the healthy one".
4.4.13	He anoints the patient with a mixture of kuṣṭha-seeds and ghee.
4.4.14	He makes the patient drink a decoction of lac-seeds and milk.
4.4.15	He recites the Brāhma-jānanam for the treatment of childbirth complications.
4.4.16	He offers water for sipping and standing in front of the sun.
4.4.17	He offers four libations in a pot of water, reciting "To the sky, svāhā, this barley."
4.4.18	Two libations on the earth,
4.3.14	"The oblations of the Anga-fires, mixed with ghee, are offered with the formula, "Indra's great power."
4.3.15	He binds the young ones with the left side around the black-coloured stalk.
4.3.16	He shines.
4.3.17	He places.
4.3.18	Facing south, he scatters the dust with the left hand and sprinkles it.
4.3.19	He presses.
4.3.20	He places."
4.4.19	Having taken them back, he sprinkles them.
4.4.20	And with the northern one, he binds the barley.
4.5.1	"For the barley, it is said, "For the barley."
4.5.2	With the second one, he binds.
4.5.3	He moves to the left.
4.5.4	He binds the stalks of the grass with the grass.
4.5.5	With the third one, he binds together.
4.5.6	With the fourth one, he says, "To the right," and having drawn the snake with the grass, he places it.
4.3.21-28	The rising sun is called 'Udyan' (rising). He said, 'They are killed at the end of the hymn.' He sprinkles with Darbha grass. At midday. Towards the west in the afternoon. Cutting off the tuft of a young calf, he sprinkles the ground. With the words, 'From your eyes,' he sprinkles. He sprinkles with a pot of water that has been sprinkled.
4.5.7	From where he was bitten.
4.5.8	On the fifth day, with a burning flame of a woolen ball.
4.5.9	On the sixth day, with a rope of the shadow of the sun.
4.5.10	He makes the victim drink two kinds of honey.
4.5.11	On the ninth day, he makes him eat dog feces.
4.5.12	On the tenth day, he makes the victim eat meat three times with white (food).
4.5.13	On the eleventh day, he makes a vow.
4.5.14	On the twelfth day, he binds the navel.
4.3.29	He pours down the seeds of the deer in the evening star, with the fire of the binding, pouring, sipping, and the stake.
4.3.30	He pours down the barley grains taken once from the measureless vessel.
4.3.31	He gives the cooked food.
4.3.32	"He releases you," he says, with the putrid fish of the village, to the rice.
4.3.33	He pours it down in the evening star with the fire of sesame, mustard, and cowdung, in the forest.
4.5.15	He makes her drink the juice of Khala-tala leaves mixed with honey and molasses.
4.5.16	She eats with the northern verses.
4.5.17	He releases the door.
4.5.18	He makes her drink rice mixed with honey with the verse, "Agni is the remover of impurity."
4.5.19	He brings down the oblations on the head with a red vessel in the fire.
4.5.20	With the verse, "May it be for me," he applies the root of Karira with a stalk to one side.
4.3.34	The deer-hunter releases (the arrow) with the words, "Release!" and sprinkles (the arrow).
4.4.1	The Brahmin, having made a salutation in the city of Takshaka, recites and performs the ritual ablution, sprinkling (the arrow). The arrow is released with the words, "Release!"
4.4.2	The arrow is released with a sound like the crackling of a bamboo cane.
4.5.21	From the village, the ashes.
4.5.22	After that, on the lap of the mother, with a pestle and a ladle, he heats the palate three times with ghee.
4.5.23	With sesame seeds mixed with ghee, apply it.
4.5.24	The mantra says, "I break twenty-one ushira (a type of grass)."
4.5.25	He gives the ushira.
4.5.26	He sprinkles it with twenty-one (times).
4.4.3	Having churned the water-pot with the two fruits of the Udumbara tree, having scattered the balls of Retadhara (semen-holding) in accordance with the verses, he vomits.
4.4.4	He makes her drink Haridra mixed with ghee.
4.4.5	He sprinkles her under the Rohini constellation.
4.4.6	He makes the calf drink and anoints it.
4.4.7	He ties a gem with a flower of Sada tree, saying "One sees."
4.5.27	He eats the rice-gruel cooked in the milk, in which the seed has been soaked, with the verse, "He who enters the house."
4.5.28	He makes the child drink honey-mixture with the verse, “Like the sky.”
4.5.29	And also with the verse,
4.5.30	He sprinkles the bones with the verse, "The bones have fallen down."
4.6.1	He binds the mustard oil with the verse, "The bones have fallen."
4.6.2	Having smeared the stick,
4.6.3	He gives the cooked vegetables.
4.4.8	Having made seven pots full of water, with the names of Bhava and Sarva, and having sprinkled them with the right hand, he throws them away afterwards.
4.4.9	With the words "You are full", he gives food to the Shami powder with the pot.
4.4.10	In the ornament.
4.4.11	He surrounds the house.
4.4.12	He gives food to the one who has taken more than his share with the words "You have become immortal".
4.6.4	He gives four kinds of vegetables and fruits.
4.6.5	He anoints with milk.
4.6.6	He eats.
4.6.7	It is said in the case of a forest fire: "Like Agni."
4.6.8	"These three that are here," he sprinkles with fire on the ground where trees grow.
4.6.9	With the heads of the plants.
4.6.10	With the nearest ones.
4.6.11	"The black garment," he sprinkles with herbs.
4.6.12	The abode of the Maruts.
4.4.13	He anoints the patient with a mixture of kuṣṭha-seeds and ghee.
4.4.14	He makes the patient drink a decoction of lac-seeds and milk.
4.4.15	He recites the Brāhma-jānanam for the treatment of childbirth complications.
4.4.16	He offers water for sipping and standing in front of the sun.
4.4.17	He offers four libations in a pot of water, reciting "To the sky, svāhā, this barley."
4.4.18	Two libations on the earth,
4.6.13	The waters of the Himālaya, flowing in the right direction, are brought in by the Valīkas.
4.6.14	And the five which are, he lights up the fifty-five Parasuparnas with wood.
4.6.15	He anoints the skull with wood.
4.6.16	With the Kista, Asvaja, Jāmbīla, Udakarakṣika, and Masaka, he bites.
4.6.17	In the forest, he says, "Do not harm me, O sinless one." Having collected the tittiris, he throws them away.
4.4.19	Having taken them back, he sprinkles them.
4.4.20	And with the northern one, he binds the barley.
4.5.1	"For the barley, it is said, "For the barley."
4.5.2	With the second one, he binds.
4.5.3	He moves to the left.
4.5.4	He binds the stalks of the grass with the grass.
4.5.5	With the third one, he binds together.
4.5.6	With the fourth one, he says, "To the right," and having drawn the snake with the grass, he places it.
4.5.7	From where he was bitten.
4.5.8	On the fifth day, with a burning flame of a woolen ball.
4.5.9	On the sixth day, with a rope of the shadow of the sun.
4.5.10	He makes the victim drink two kinds of honey.
4.5.11	On the ninth day, he makes him eat dog feces.
4.5.12	On the tenth day, he makes the victim eat meat three times with white (food).
4.5.13	On the eleventh day, he makes a vow.
4.5.14	On the twelfth day, he binds the navel.
4.7.3	Having recited the mantra three times while circumambulating the fire, he offers the cake.
4.7.4	One should offer the cake to Agni.
4.7.5	The offerings are made with the Vaisvānara mantras.
4.7.6	Having recited the mantra, one should offer the cake with the ladle that has fallen down and is filled with water.
4.7.7	"O Rudra, the one with the spear, the spear."
4.5.15	He makes her drink the juice of Khala-tala leaves mixed with honey and molasses.
4.5.16	She eats with the northern verses.
4.5.17	He releases the door.
4.5.18	He makes her drink rice mixed with honey with the verse, "Agni is the remover of impurity."
4.5.19	He brings down the oblations on the head with a red vessel in the fire.
4.5.20	With the verse, "May it be for me," he applies the root of Karira with a stalk to one side.
4.7.8	"O Sun, thou art shining forth." (With these words) he sprinkles the leaves of the Shimbi tree, which have fallen down.
4.7.9	"The sky and I are one." (With these) he sprinkles and wipes.
4.7.10	He sprinkles on the pillar.
4.7.11	"This is the best." (With these ) he sprinkles the urine and froth.
4.7.12	He throws it down.
4.7.13	He washes it.
4.7.14	"Remove the dirt from your teeth."
4.7.15	"Remove the dust from the pillar."
4.7.16	"May the dust be removed." (With these verses) he sprinkles the dust of the posts.
4.5.21	From the village, the ashes.
4.5.22	After that, on the lap of the mother, with a pestle and a ladle, he heats the palate three times with ghee.
4.5.23	With sesame seeds mixed with ghee, apply it.
4.5.24	The mantra says, "I break twenty-one ushira (a type of grass)."
4.5.25	He gives the ushira.
4.5.26	He sprinkles it with twenty-one (times).
4.7.17	He spits out the red salt.
4.7.18	He walks with the mantra "In the sky" and "The wing is defeated."
4.7.19	He fumigates with insects.
4.7.20	He fumigates it with the mantra "Glau" and "Akshata."
4.7.21	He sprinkles with the mantra "Vīhi svām" and "Unknown" with the water of peace, mentally with the mantra.
4.7.22	He fumigated with the mantra "Those herbs" and "The herbs."
4.5.27	He eats the rice-gruel cooked in the milk, in which the seed has been soaked, with the verse, "He who enters the house."
4.5.28	He makes the child drink honey-mixture with the verse, “Like the sky.”
4.5.29	And also with the verse,
4.5.30	He sprinkles the bones with the verse, "The bones have fallen down."
4.6.1	He binds the mustard oil with the verse, "The bones have fallen."
4.6.2	Having smeared the stick,
4.6.3	He gives the cooked vegetables.
4.7.23	He makes him drink the milk of a cow with white spots.
4.7.24	The milk of a cow having white spots.
4.7.25	Both.
4.7.26	"The gods have not done it." With a mound, binding, drinking, rinsing, and anointing with hot (water).
4.7.27	"As the mind is in heaven." With a pestle.
4.7.28	The mantra "The goddess in the goddess, O Jamadagni" is recited for the fruit mentioned. On the new moon day, wearing black clothes and eating black food, one sprinkles water under the constellation Avakṣatra before the fall of crows.
4.8.1	"Which is your breast?" One gives breast to the one who is held by the thighs.
4.8.2	One makes the one drink rice cooked with Priyangu and milk.
4.8.3	Agni-Vishnu, Soma-Rudra, Sinivali, I release you from the binding of the Munj grass. Having bound with the Munj grass at the joints, he sprinkles with the Pinjula.
4.8.4	He sprinkles.
4.8.5	The mantra says "on the sides of the king."
4.8.6	Having drawn the shape of a mound of earth,
4.8.7	The offerings.
4.6.13	The waters of the Himālaya, flowing in the right direction, are brought in by the Valīkas.
4.6.14	And the five which are, he lights up the fifty-five Parasuparnas with wood.
4.6.15	He anoints the skull with wood.
4.6.16	With the Kista, Asvaja, Jāmbīla, Udakarakṣika, and Masaka, he bites.
4.6.17	In the forest, he says, "Do not harm me, O sinless one." Having collected the tittiris, he throws them away.
4.8.8	The mantra is as stated in the mantra.
4.8.9	With the fourth, he pierces and penetrates.
4.8.10	With the string and the flame of the lamp.
4.8.11	He binds the string of the vīṇā of the Pīśīlas with the mantra "Yaḥ kīkasaḥ".
4.8.12	The string is made of earth.
4.8.13	The vīriṇā is self-wilted, and is bound three times.
4.8.14	In the middle of the water flowing in the two directions, he sprinkles with the Pinjula-sticks.
4.8.15	He sprinkles.
4.8.16	Hot, falling together, not falling together.
4.8.17	"Obeisance to Ruru." Having bound the heron, the frog, and the snake with the two threads of blue and red, he sprinkles.
4.8.18	He touches the head with the verse, "Obeisance to the head."
4.8.19	He worships the sun with the two supreme verses.
4.7.3	Having recited the mantra three times while circumambulating the fire, he offers the cake.
4.7.4	One should offer the cake to Agni.
4.7.5	The offerings are made with the Vaisvānara mantras.
4.7.6	Having recited the mantra, one should offer the cake with the ladle that has fallen down and is filled with water.
4.7.7	"O Rudra, the one with the spear, the spear."
4.8.20	"The first of Indra" is said to be the Taxaka.
4.8.21	Having drawn the right thumb, he anoints the right nostril.
4.8.22	He anoints the right ear with the left thumb.
4.8.23	"From limb to limb" up to the heel.
4.8.24	Having heated the best of fangs, he places the snake.
4.8.25	From where it was bitten.
4.7.8	"O Sun, thou art shining forth." (With these words) he sprinkles the leaves of the Shimbi tree, which have fallen down.
4.7.9	"The sky and I are one." (With these) he sprinkles and wipes.
4.7.10	He sprinkles on the pillar.
4.7.11	"This is the best." (With these ) he sprinkles the urine and froth.
4.7.12	He throws it down.
4.7.13	He washes it.
4.7.14	"Remove the dirt from your teeth."
4.7.15	"Remove the dust from the pillar."
4.7.16	"May the dust be removed." (With these verses) he sprinkles the dust of the posts.
4.8.26	The plants and trees are mentioned in the text. The medicines are those which are not prohibited.
4.8.27	With the verses having the word 'aṃhala' (i.e., aṃhalaṃ, aṃhalā, aṃhalam).
4.8.28	At the end of the water, one sprinkles the head of the one who is calm for the son of the one who desires a son.
4.8.29	One gives the oblations, the cake, and the ornaments to the one who has returned from the forest.
4.7.17	He spits out the red salt.
4.7.18	He walks with the mantra "In the sky" and "The wing is defeated."
4.7.19	He fumigates with insects.
4.7.20	He fumigates it with the mantra "Glau" and "Akshata."
4.7.21	He sprinkles with the mantra "Vīhi svām" and "Unknown" with the water of peace, mentally with the mantra.
4.7.22	He fumigated with the mantra "Those herbs" and "The herbs."
4.9.1	"Obeisance to thee, O Pusan!" Having brought four cups of water, he puts four Muñja grass on the head, pointing towards the east.
4.9.2	The blades of grass are pointed towards the west.
4.9.3	There is doubt when they are being cut.
4.9.4	He sprinkles with hot water from the right side of the hair-tuft.
4.9.5	He loosens the knots of the bundles.
4.7.23	He makes him drink the milk of a cow with white spots.
4.7.24	The milk of a cow having white spots.
4.7.25	Both.
4.7.26	"The gods have not done it." With a mound, binding, drinking, rinsing, and anointing with hot (water).
4.7.27	"As the mind is in heaven." With a pestle.
4.9.6	He ties the rope with two loops.
4.9.7	"If you are the king Soma, I buy you from Soma, the king; if you are the king Varuna, I buy you Varuna, the king." With twenty-one grains of corn he scatters the garland.
4.9.8	Let one of you speak to another, let one of you sit down to another. Having become of the same mind and of the same vow, let them come to this power.
4.7.28	The mantra "The goddess in the goddess, O Jamadagni" is recited for the fruit mentioned. On the new moon day, wearing black clothes and eating black food, one sprinkles water under the constellation Avakṣatra before the fall of crows.
4.8.1	"Which is your breast?" One gives breast to the one who is held by the thighs.
4.8.2	One makes the one drink rice cooked with Priyangu and milk.
4.9.9	May it not injure thee, for whom we dig thee up. May it not injure us, the bipeds and the quadrupeds, O divine plant, thou art called a garland. Prajapati dug thee up for himself to remove the arrow. We dig thee up for him. We dig thee for him to remove the arrow.
4.8.3	Agni-Vishnu, Soma-Rudra, Sinivali, I release you from the binding of the Munj grass. Having bound with the Munj grass at the joints, he sprinkles with the Pinjula.
4.8.4	He sprinkles.
4.8.5	The mantra says "on the sides of the king."
4.8.6	Having drawn the shape of a mound of earth,
4.8.7	The offerings.
4.9.10	Here he puts down the root with the words, "May it be successful for you."
4.9.11	Here he takes up the root with the word, "For me here."
4.9.12	The prince is in one place, not eaten by a snake.
4.9.13	Having encircled with darbha grass, he cuts off the hair.
4.9.14	Thus indeed, in the case of the great Shaka bull.
4.9.15	Having thrown down the placenta, they take it up.
4.9.16	The digging of medicinal herbs with a garland has been explained.
4.8.8	The mantra is as stated in the mantra.
4.8.9	With the fourth, he pierces and penetrates.
4.8.10	With the string and the flame of the lamp.
4.8.11	He binds the string of the vīṇā of the Pīśīlas with the mantra "Yaḥ kīkasaḥ".
4.8.12	The string is made of earth.
4.8.13	The vīriṇā is self-wilted, and is bound three times.
4.9.17	The four fruits of Uma are poured into the hand with water.
4.9.18	When the world is about to be destroyed, the boy
4.9.19	touches the limbs of the brahmin.
4.9.20	When the name of the boy is mentioned,
4.10.1	"This is Janaasa." At the end of the Shimshapa tree branches, she pours water silently over the head.
4.10.2	To the one who has returned.
4.8.14	In the middle of the water flowing in the two directions, he sprinkles with the Pinjula-sticks.
4.8.15	He sprinkles.
4.8.16	Hot, falling together, not falling together.
4.8.17	"Obeisance to Ruru." Having bound the heron, the frog, and the snake with the two threads of blue and red, he sprinkles.
4.8.18	He touches the head with the verse, "Obeisance to the head."
4.8.19	He worships the sun with the two supreme verses.
4.8.20	"The first of Indra" is said to be the Taxaka.
4.8.21	Having drawn the right thumb, he anoints the right nostril.
4.8.22	He anoints the right ear with the left thumb.
4.8.23	"From limb to limb" up to the heel.
4.8.24	Having heated the best of fangs, he places the snake.
4.8.25	From where it was bitten.
4.10.10	Then, having placed the sacrificial grass and sacrificial grass-blades around the fire, he causes the Udumbara-sticks to be placed on them.
4.10.11	For the one who has gone to the farthest village.
4.10.12	The rites of Pativedana.
4.10.13	"O Agni, come to us," he places the cooked rice.
4.10.14	From the deer-skin, from the altar, he gives the oblations mentioned in the mantras at the door.
4.8.26	The plants and trees are mentioned in the text. The medicines are those which are not prohibited.
4.8.27	With the verses having the word 'aṃhala' (i.e., aṃhalaṃ, aṃhalā, aṃhalam).
4.8.28	At the end of the water, one sprinkles the head of the one who is calm for the son of the one who desires a son.
4.8.29	One gives the oblations, the cake, and the ornaments to the one who has returned from the forest.
4.10.15	Having offered water and barley to the cow at night, one proceeds towards the south.
4.10.16	Having washed and sprinkled (the cow), one carries the boat of Bhaga, as mentioned in the mantra.
4.10.17	The cow with seven names and carrying the boat, carries the calves back.
4.10.18	One anoints the bull with a new and carrying boat.
4.9.1	"Obeisance to thee, O Pusan!" Having brought four cups of water, he puts four Muñja grass on the head, pointing towards the east.
4.9.2	The blades of grass are pointed towards the west.
4.9.3	There is doubt when they are being cut.
4.9.4	He sprinkles with hot water from the right side of the hair-tuft.
4.9.5	He loosens the knots of the bundles.
4.9.6	He ties the rope with two loops.
4.9.7	"If you are the king Soma, I buy you from Soma, the king; if you are the king Varuna, I buy you Varuna, the king." With twenty-one grains of corn he scatters the garland.
4.10.19	He makes the disease go away in which direction.
4.10.20	"The one who comes here, to Yama, is the one who is weak from the beginning."
4.10.21	"These are your sisters."
4.10.22	"This one is coming," he offers to Aryaman before the crowing of the cock.
4.10.23	The strong ones are taken away in the inner chambers.
4.10.24	From where they fall.
4.11.1	The male groves.
4.11.2	In the female constellation, in the male constellation of Rajaudvāsā.
4.9.8	Let one of you speak to another, let one of you sit down to another. Having become of the same mind and of the same vow, let them come to this power.
4.11.3	With which he strikes the head of the enemy, and binds it.
4.11.4	Having churned the rice and barley in a ladle of the shape of a plough, having mixed it with the milk of a cow of similar colour, having strained it through a sieve of Bṛhatī and Palāśa, he puts it in a pot like a basket.
4.11.5	From the mountain to heaven, he puts the cooked rice.
4.11.6	With the second one, which has fallen together with the first one, he puts it.
4.9.9	May it not injure thee, for whom we dig thee up. May it not injure us, the bipeds and the quadrupeds, O divine plant, thou art called a garland. Prajapati dug thee up for himself to remove the arrow. We dig thee up for him. We dig thee for him to remove the arrow.
4.11.7	Having bound the flax-stalks in the air, and having put them on the penis after rubbing them, he enters the village.
4.11.8	Having churned fire as prescribed by the mantra "Ashvattha is the Sami", he anoints the penis with clarified butter from a woman's cow.
4.11.9	He makes her drink honey-churned (clarified butter).
4.11.10	Having bound it, he binds it with black wool.
4.11.11	He binds it as prescribed by the mantras "Yanta asi".
4.9.10	Here he puts down the root with the words, "May it be successful for you."
4.9.11	Here he takes up the root with the word, "For me here."
4.9.12	The prince is in one place, not eaten by a snake.
4.9.13	Having encircled with darbha grass, he cuts off the hair.
4.9.14	Thus indeed, in the case of the great Shaka bull.
4.9.15	Having thrown down the placenta, they take it up.
4.9.16	The digging of medicinal herbs with a garland has been explained.
4.11.12	The mantra "Rddhi" is one. "As this earth is firm, so may the embryo be firm." These are the strengthening of the embryo.
4.11.13	He binds the bowstring three times after taking it from the bow.
4.11.14	He eats the clods of earth according to the verse.
4.11.15	He spreads the bed with dark-colored sand.
4.9.17	The four fruits of Uma are poured into the hand with water.
4.9.18	When the world is about to be destroyed, the boy
4.9.19	touches the limbs of the brahmin.
4.9.20	When the name of the boy is mentioned,
4.10.1	"This is Janaasa." At the end of the Shimshapa tree branches, she pours water silently over the head.
4.10.2	To the one who has returned.
4.11.16	If one wishes to generate a hero, one recites the Dhātrī verses over the belly.
4.11.17	If one desires offspring, one offers at the base of the mother.
4.11.18	One places the red and white flesh.
4.11.19	The last ones.
4.11.20	One binds with the verses mentioned in the mantra.
4.10.3	He brings the libations in the water at the eastern and western doors of the three measured (places) to the one who is without a house, to the one who wears black garments.
4.10.4	In the palāśa, lead, and northern (directions), he places the lead.
4.10.5	Having placed it, he sprinkles it.
4.10.6	Having placed the black (lead), he goes away.
4.10.7	Having ignited it, Brahma (does so).
4.10.8	Thus in the two eastern directions, having separately collected the materials,
4.10.9	The verse is recited in the branches.
4.11.21	"As this is on the ground, as this is on the tree, as this is in the cart, so may this be for me." When two things are touched, such as a tree and a stump, and the hand is placed between them, the grass that has been crushed by the heat of the oil, the black and white mustard, and the madhuka, having been brought together with ghee, one touches it.
4.11.22	"One touches it, saying, 'You are the one who touches.' One touches it, saying 'You are the remover of the limbs.'"
4.10.10	Then, having placed the sacrificial grass and sacrificial grass-blades around the fire, he causes the Udumbara-sticks to be placed on them.
4.10.11	For the one who has gone to the farthest village.
4.10.12	The rites of Pativedana.
4.10.13	"O Agni, come to us," he places the cooked rice.
4.10.14	From the deer-skin, from the altar, he gives the oblations mentioned in the mantras at the door.
4.11.23	He places twenty-one well-decorated and unmentioned Priyangu thorns.
4.11.24	The ends of the thorns are joined together with a thread.
4.11.25	He applies fresh Kustha paste three times a day and bakes it for three nights.
4.11.26	Holding a long lotus, he lies down.
4.11.27	He lies down with his feet in warm water, pressing with his thumbs.
4.10.15	Having offered water and barley to the cow at night, one proceeds towards the south.
4.10.16	Having washed and sprinkled (the cow), one carries the boat of Bhaga, as mentioned in the mantra.
4.10.17	The cow with seven names and carrying the boat, carries the calves back.
4.10.18	One anoints the bull with a new and carrying boat.
4.11.28	He pierces the heart with a replica, a writing brush, a darbha grass, a piece of wood, a thorn, a wound, an owl feather, and a bamboo cane.
4.12.1	"The thousand-horned one" is a sleep-inducing spell.
4.12.2	Having sprinkled the house with a pot of water, he places it upside down on the other side of the door.
4.12.3	Thus, naked.
4.10.19	He makes the disease go away in which direction.
4.10.20	"The one who comes here, to Yama, is the one who is weak from the beginning."
4.10.21	"These are your sisters."
4.10.22	"This one is coming," he offers to Aryaman before the crowing of the cock.
4.10.23	The strong ones are taken away in the inner chambers.
4.10.24	From where they fall.
4.11.1	The male groves.
4.11.2	In the female constellation, in the male constellation of Rajaudvāsā.
4.12.10	This is the head and ears that are recited with the verse, "This is the head and the ears."
4.12.11	He wears the hair.
4.12.12	"With the verse, 'May this be deposited in my lap,' having placed a white flower of Sauvarcala grass on his head, he enters the village."
4.12.13	"With the words, 'The conqueror of the chariot,' he sows the seeds of the Masha plant."
4.11.3	With which he strikes the head of the enemy, and binds it.
4.11.4	Having churned the rice and barley in a ladle of the shape of a plough, having mixed it with the milk of a cow of similar colour, having strained it through a sieve of Bṛhatī and Palāśa, he puts it in a pot like a basket.
4.11.5	From the mountain to heaven, he puts the cooked rice.
4.11.6	With the second one, which has fallen together with the first one, he puts it.
4.11.7	Having bound the flax-stalks in the air, and having put them on the penis after rubbing them, he enters the village.
4.11.8	Having churned fire as prescribed by the mantra "Ashvattha is the Sami", he anoints the penis with clarified butter from a woman's cow.
4.11.9	He makes her drink honey-churned (clarified butter).
4.11.10	Having bound it, he binds it with black wool.
4.11.11	He binds it as prescribed by the mantras "Yanta asi".
4.12.14-16	The burning embers of the fire are spread out in the directions, and the ashes are applied with the Avalekhanya. The hair is combed with the Malani-pramandadhavana, and the hair is combed with a comb made of the hair of the cow. The hair is combed with an Anustaranya made of the hair. The hair is tied up with a knot. The hair is cut with a razor. The hair is shaved with a razor. Having combed the hair, one should recite the following verse: "Obeisance to the Lord of the universe, the Supreme Being, the Supreme Lord, the Supreme Soul, the Supreme Being."
4.11.12	The mantra "Rddhi" is one. "As this earth is firm, so may the embryo be firm." These are the strengthening of the embryo.
4.11.13	He binds the bowstring three times after taking it from the bow.
4.11.14	He eats the clods of earth according to the verse.
4.11.15	He spreads the bed with dark-colored sand.
4.12.17	Having tied three locks of hair with a black thread, he places them on the three-cornered stone in an alternating manner.
4.12.18	Then he digs out his own navel, saying, "I dig out the navel that they dug out for you on the three-sided stone and the four-sided stone, for the sake of offspring and wealth."
