1.1.1	He should observe the vow from the time of his Upanayana onwards.
1.11.15	The Jayā oblations are "To Ākūta, svāhā", the Ātānā oblations are addressed to the eastern direction and the spring season, the Santatihoma oblations are "From Prāṇa to Apāna, I continue", and the Rāṣṭrabhृत् oblations are "The twelve Rta-possessing ones, the Rta-possessors".
1.11.16	Indra, the protector, the All-gods, in auspicious rites.
1.11.17	The fried grains, with Kama, the fourth Svishtakrit.
1.11.18	Then he makes her advance seven steps towards the east, one for food, two for strength, three for offspring, four for prosperity, five for existence, six for the seasons, seven for friendship. May Sarasvati be your companion, may she be gentle. May you not be seen in the sky. May Vishnu raise you up. He follows her everywhere.
1.11.13	Thus, the god Pūṣan or the god Varuna.
1.11.14	The oblations at the beginning of the ceremony are called "Jayā", "Ātānā", "Santatihoma", and "Rāṣṭrabhṛt".
1.11.15	The Jayā oblations are "To Ākūta, svāhā", the Ātānā oblations are addressed to the eastern direction and the spring season, the Santatihoma oblations are "From Prāṇa to Apāna, I continue", and the Rāṣṭrabhृत् oblations are "The twelve Rta-possessing ones, the Rta-possessors".
1.11.19	Then, on the red skin of a goat, with the hair pointing towards the east, having spread darbha grass, he makes the bride sit on them, or on the darbha grass alone.
1.11.16	Indra, the protector, the All-gods, in auspicious rites.
1.11.17	The fried grains, with Kama, the fourth Svishtakrit.
1.11.18	Then he makes her advance seven steps towards the east, one for food, two for strength, three for offspring, four for prosperity, five for existence, six for the seasons, seven for friendship. May Sarasvati be your companion, may she be gentle. May you not be seen in the sky. May Vishnu raise you up. He follows her everywhere.
1.11.20	"He binds the rope of the yoke at the end of the garment, saying, 'I loosen this noose of Varuna, which Savitar, the upholder of truth, has bound me in the place of good deeds in this world. May I be without misfortune with my husband.'
1.11.21	With the Anumantis and the Vyahrtis, 'You are Agni, you are Agni, you alone are Agni.'
1.11.19	Then, on the red skin of a goat, with the hair pointing towards the east, having spread darbha grass, he makes the bride sit on them, or on the darbha grass alone.
1.11.22	Having offered the three oblations with the three formulas ending with "svāhā," he offers the three oblations of clarified butter with the three formulas beginning with "oṃ" and ending with "svadhā."
1.11.23	Having offered the oblations of unbroken barley grains, curd, and ghee, he offers the oblations of ghee with the three formulas, "This oblation is for procreation," "I release your rope," and "I release your rays." Having offered the oblations, he offers the clarified butter with the formulas, "I release your purifying herbs," and "I offer the clarified butter."
1.11.20	"He binds the rope of the yoke at the end of the garment, saying, 'I loosen this noose of Varuna, which Savitar, the upholder of truth, has bound me in the place of good deeds in this world. May I be without misfortune with my husband.'
1.11.21	With the Anumantis and the Vyahrtis, 'You are Agni, you are Agni, you alone are Agni.'
1.11.22	Having offered the three oblations with the three formulas ending with "svāhā," he offers the three oblations of clarified butter with the three formulas beginning with "oṃ" and ending with "svadhā."
1.11.23	Having offered the oblations of unbroken barley grains, curd, and ghee, he offers the oblations of ghee with the three formulas, "This oblation is for procreation," "I release your rope," and "I release your rays." Having offered the oblations, he offers the clarified butter with the formulas, "I release your purifying herbs," and "I offer the clarified butter."
1.11.24	"He places the kindling-wood with the formula, "Thou art kindling-wood, we kindle thee." He places the second one with the formula, "Thou art kindling wood, we kindle thee."
1.11.25	They stand up with the formula, "Today I have followed the waters."
1.11.26	They sprinkle themselves with water from the pot with the formula,"Thou art the most purifying of waters."
1.11.27	The gift is a bull.
1.12.1	"This is the auspicious bride. Look at her. Having given her good fortune, go away." Thus he instructs the spectators who are going away.
1.12.2	Here itself she performs the rite of Simanta with a three-pronged twig or with a darbha grass, with the verse "Senā, by name..."
1.12.3	Then they anoint the hair, being pleased, for progeny, for fame, for many sons, for the absence of evil, for the auspicious, for the long life of the mother-in-law and the father-in-law.
1.11.24	"He places the kindling-wood with the formula, "Thou art kindling-wood, we kindle thee." He places the second one with the formula, "Thou art kindling wood, we kindle thee."
1.11.25	They stand up with the formula, "Today I have followed the waters."
1.11.26	They sprinkle themselves with water from the pot with the formula,"Thou art the most purifying of waters."
1.11.27	The gift is a bull.
1.12.1	"This is the auspicious bride. Look at her. Having given her good fortune, go away." Thus he instructs the spectators who are going away.
1.12.2	Here itself she performs the rite of Simanta with a three-pronged twig or with a darbha grass, with the verse "Senā, by name..."
1.12.4	"He binds the hair, the locks of hair, the locks without sin, the locks without terror, to all his friends. Be auspicious to all. Be auspicious. Being honoured by a good family, be auspicious to people. Be auspicious to the vehicles."
1.12.5	Then they eat honey and curds together, or whatever sacrificial food there may be.
1.12.6	Having recited the benediction, they recite together the verses, "May our wishes be the same."
1.12.3	Then they anoint the hair, being pleased, for progeny, for fame, for many sons, for the absence of evil, for the auspicious, for the long life of the mother-in-law and the father-in-law.
1.12.7	Both eat together.
1.13.1	One yokes on an auspicious day.
1.13.2	One recites the two verses, "They yoke the chariot" while yoking the right and then the left wheel.
1.13.3	One cleans the chariot with a new cloth or darbha grass.
1.12.4	"He binds the hair, the locks of hair, the locks without sin, the locks without terror, to all his friends. Be auspicious to all. Be auspicious. Being honoured by a good family, be auspicious to people. Be auspicious to the vehicles."
1.12.5	Then they eat honey and curds together, or whatever sacrificial food there may be.
1.12.6	Having recited the benediction, they recite together the verses, "May our wishes be the same."
1.12.7	Both eat together.
1.13.1	One yokes on an auspicious day.
1.13.2	One recites the two verses, "They yoke the chariot" while yoking the right and then the left wheel.
1.13.3	One cleans the chariot with a new cloth or darbha grass.
1.13.4	The two wheels of the chariot, the two axles, the two naves, the two spokes, the two rims, the two yokes, the two shafts, the two poles, the two flags, the two banners, the two flags of the banners, the two flagstaffs, the two flagpoles, the two flag-poles, the two flags on the flagpoles, the flag-pole, the flag-staff, the flag, the flag-rope, the flag-halter, the flag-pin, the flag-cord, the flag-string, the flag-line, the flag-belt, the flag-girdle, the flag-strap, the flag-band, the flag-tie, the flag-knot, the flag-loop, the flag-ring, the flag-clasp, the flag-hook, the flag-peg, the flag-post, the flag-hole, the flag-opening, the flag-door, the flag-gate, the flag-passage, the flag-way, the flag-path, the flag-road, the flag-course, the flag-track, the flag-trail, the flag-route, the flag-crossing, the flag-junction, the flag-intersection, the flag-crossroads, the flag-meeting-place, the flag-gathering-place, the place of the flag, the place of flags, the place of flag-poles,
1.13.5	O Vanaspati,
1.13.6	"Climb, O Sun, to the world of immortality, the peaceful, to the lord, to carry him. Thus he makes him climb.
1.13.7	"May the deities follow me, may the Brahman, the good strength, may the nobility, whatever power there is, may the fame that is mine follow me." Having gone forward, he turns around to the right.
1.13.4	The two wheels of the chariot, the two axles, the two naves, the two spokes, the two rims, the two yokes, the two shafts, the two poles, the two flags, the two banners, the two flags of the banners, the two flagstaffs, the two flagpoles, the two flag-poles, the two flags on the flagpoles, the flag-pole, the flag-staff, the flag, the flag-rope, the flag-halter, the flag-pin, the flag-cord, the flag-string, the flag-line, the flag-belt, the flag-girdle, the flag-strap, the flag-band, the flag-tie, the flag-knot, the flag-loop, the flag-ring, the flag-clasp, the flag-hook, the flag-peg, the flag-post, the flag-hole, the flag-opening, the flag-door, the flag-gate, the flag-passage, the flag-way, the flag-path, the flag-road, the flag-course, the flag-track, the flag-trail, the flag-route, the flag-crossing, the flag-junction, the flag-intersection, the flag-crossroads, the flag-meeting-place, the flag-gathering-place, the place of the flag, the place of flags, the place of flag-poles,
1.13.5	O Vanaspati,
1.13.8	May the deities, the Brahman, the good power, the strength of the Kshatra, whatever fame there is, come to me. Thus he recites as the sun sets.
1.13.9	If one crosses an inauspicious place, one recites "May they come to me"
1.13.10	"Salutations to Rudra, the village-dweller" in the village, and "These are for Rudra" also.
1.13.6	"Climb, O Sun, to the world of immortality, the peaceful, to the lord, to carry him. Thus he makes him climb.
1.13.7	"May the deities follow me, may the Brahman, the good strength, may the nobility, whatever power there is, may the fame that is mine follow me." Having gone forward, he turns around to the right.
1.13.11	Obeisance to Rudra who dwells in the single tree. Those who are in the single tree are called Saspinjara.
1.13.12	Obeisance to Rudra, who dwells in the cremation ground. Those who are at the cremation ground are called the lords of the spirits.
1.13.13	Obeisaence to Rudra, the dweller in the crossroads. Those who are on the crossroads are called the protectors of the paths.
1.13.14	Obeisance to Rudra, the abode of the holy places. Those who move in the holy places at the holy places.
1.13.8	May the deities, the Brahman, the good power, the strength of the Kshatra, whatever fame there is, come to me. Thus he recites as the sun sets.
1.13.9	If one crosses an inauspicious place, one recites "May they come to me"
1.13.10	"Salutations to Rudra, the village-dweller" in the village, and "These are for Rudra" also.
1.13.11	Obeisance to Rudra who dwells in the single tree. Those who are in the single tree are called Saspinjara.
1.13.12	Obeisance to Rudra, who dwells in the cremation ground. Those who are at the cremation ground are called the lords of the spirits.
1.13.13	Obeisaence to Rudra, the dweller in the crossroads. Those who are on the crossroads are called the protectors of the paths.
1.13.15	Where there is water to be crossed, he offers water-libations with the formula, "Salutations to the lord of the ocean, the lord of the rivers, the lord of all rivers, the enjoyer of all works. This oblation to the waters, svāhā." He offers water-libation with the formula, “I offer immortality in the mouth, life in the breath, immortality with Brahman, one overcomes death with the help of the Prashāha." He wipes thrice and sips water with the formulas, "May I be freed from the evil, may I be freed from misfortune, may I be released from all fear, svāhā.
1.13.14	Obeisance to Rudra, the abode of the holy places. Those who move in the holy places at the holy places.
1.13.16	If the boat were to cross the river, one should recite "May the boat cross the river."
1.13.17	If the axle of the chariot or any other chariot part were to break, having established the fire there and offering with the Jaya and other mantras, one should recite, "This auspicious bride is seen together with the bride."
1.13.18	"Go forth, O path, with speed, with the auspicious, with the fire of the altar, with the Iḍa in front. The teacher goes forth by whichever path he goes, and both go forth together."
1.13.19	At sunset they enter the village with the cows, at the command of the Brahmanas.
1.14.1	At the other twilight he should return to his house.
1.14.2	"He descends, saying, 'To Brahma, to Brahma.'"
1.13.15	Where there is water to be crossed, he offers water-libations with the formula, "Salutations to the lord of the ocean, the lord of the rivers, the lord of all rivers, the enjoyer of all works. This oblation to the waters, svāhā." He offers water-libation with the formula, “I offer immortality in the mouth, life in the breath, immortality with Brahman, one overcomes death with the help of the Prashāha." He wipes thrice and sips water with the formulas, "May I be freed from the evil, may I be freed from misfortune, may I be released from all fear, svāhā.
1.14.3	Auspicious things happen.
1.14.4	He spreads the rope of the cowpen.
1.14.5	From the chariot, from the worship, in which he goes when he departs, in which there is great joy, we invoke them. May they know that we have come. With that he approaches.
1.13.16	If the boat were to cross the river, one should recite "May the boat cross the river."
1.13.17	If the axle of the chariot or any other chariot part were to break, having established the fire there and offering with the Jaya and other mantras, one should recite, "This auspicious bride is seen together with the bride."
1.14.6	I go to the houses with a good mind, for the hero is the best of heroes. Carrying the goddess who produces ghee, I shall dwell there with a good mind. Thus he approaches the house with fire, water, and medicine. He enters the house with the Rohini or Mula asterism, or on an auspicious day.
1.13.18	"Go forth, O path, with speed, with the auspicious, with the fire of the altar, with the Iḍa in front. The teacher goes forth by whichever path he goes, and both go forth together."
1.13.19	At sunset they enter the village with the cows, at the command of the Brahmanas.
1.14.1	At the other twilight he should return to his house.
1.14.2	"He descends, saying, 'To Brahma, to Brahma.'"
1.14.7	Then, on the red skin of a goat, having spread darbha grass with the tips towards the east, he makes the bride sit on them, or on the darbha grass itself.
1.14.8	Then he makes her sit on the lap of a celibate, saying, "With Soma, O Aditya, you are strong. With Soma, the earth is great. This is the seat of the stars. Soma is placed here."
1.14.3	Auspicious things happen.
1.14.4	He spreads the rope of the cowpen.
1.14.5	From the chariot, from the worship, in which he goes when he departs, in which there is great joy, we invoke them. May they know that we have come. With that he approaches.
1.14.9	Then, having filled the palms of his hands with sesamum seeds and rice mixed with fruits, he should rise up and show her the fixed star Arundhati, the living Saptarishis.
1.14.10	While she is looking at them, he recites: "May we see the fixed star from all sides. These are the fixed mountains. This woman is fixed in her husband's house."
1.14.6	I go to the houses with a good mind, for the hero is the best of heroes. Carrying the goddess who produces ghee, I shall dwell there with a good mind. Thus he approaches the house with fire, water, and medicine. He enters the house with the Rohini or Mula asterism, or on an auspicious day.
1.14.11	On the next day, having cooked a potful of rice in milk, he offers it. Having taken curd and mixed it with the remaining ghee, he offers it with that.
1.14.12	The husband and wife eat the rice three times, saying, "May your mind be with me, the Cakravaka is the means of conciliation, that is the means of our conciliation." The wife eats the remaining silently.
1.14.7	Then, on the red skin of a goat, having spread darbha grass with the tips towards the east, he makes the bride sit on them, or on the darbha grass itself.
1.14.8	Then he makes her sit on the lap of a celibate, saying, "With Soma, O Aditya, you are strong. With Soma, the earth is great. This is the seat of the stars. Soma is placed here."
1.14.13	The afternoon meal is the sacrifice to the departed ancestors.
1.14.14	One who has observed celibacy for a year should perform the rite for twelve nights, three nights, or one night.
1.14.15	Then he should give her away in marriage.
1.14.9	Then, having filled the palms of his hands with sesamum seeds and rice mixed with fruits, he should rise up and show her the fixed star Arundhati, the living Saptarishis.
1.14.10	While she is looking at them, he recites: "May we see the fixed star from all sides. These are the fixed mountains. This woman is fixed in her husband's house."
1.14.11	On the next day, having cooked a potful of rice in milk, he offers it. Having taken curd and mixed it with the remaining ghee, he offers it with that.
1.14.12	The husband and wife eat the rice three times, saying, "May your mind be with me, the Cakravaka is the means of conciliation, that is the means of our conciliation." The wife eats the remaining silently.
1.14.16	He should join the yoke and the noose. I see you with my mind, Chekitana, born of austerities, originating from austerities. Seeking offspring and wealth here, beget offspring. I see your mind, thinking of your own body, harming the one who is worthy. The young woman has become high above me. Beget offspring. Prajapati, accept my body. Tvashtra, Indra, with the gods, Vishvedevas, with the seasons, May I be the mothers of many men. I placed the embryo in the plants, In all the worlds. I generated offspring from the earth, I gave birth to sons in the various wombs.
1.14.13	The afternoon meal is the sacrifice to the departed ancestors.
1.14.14	One who has observed celibacy for a year should perform the rite for twelve nights, three nights, or one night.
1.14.15	Then he should give her away in marriage.
1.14.17	"He touches it with the words, 'Karad' (O thou who hast hands).
1.14.18	He touches it with 'Janani' (O thou, the mother).
1.14.19	He touches with 'Brihat' (O thou that art great).
1.14.20	With this rite he should make the two seasons meet.
1.15.1	In the third month of pregnancy, having brought the kindling woods, having offered oblations with Jaya and others in the sixth or eighth month, then having released all the hair of the wife seated on the Darbha grass behind the fire, having anointed her with ghee, having cut the hair with a three-edged blade and a branch of the Sami tree with leaves, again the wife is given to Agni. Thus the parting of the hair is done.
1.14.16	He should join the yoke and the noose. I see you with my mind, Chekitana, born of austerities, originating from austerities. Seeking offspring and wealth here, beget offspring. I see your mind, thinking of your own body, harming the one who is worthy. The young woman has become high above me. Beget offspring. Prajapati, accept my body. Tvashtra, Indra, with the gods, Vishvedevas, with the seasons, May I be the mothers of many men. I placed the embryo in the plants, In all the worlds. I generated offspring from the earth, I gave birth to sons in the various wombs.
1.16.1	In the eighth month of pregnancy, having offered oblations with Jaya and others, having bathed with fruits, having covered with a fresh cloth with the Anuvaka "O those herbs", having adorned with fragrant flowers, having tied fruits around the neck, one should circumambulate the fire.
1.16.2	Having performed the worship with the mantra "Protect my offspring, O Nari", one should feed the virtuous Brahmins.
1.14.17	"He touches it with the words, 'Karad' (O thou who hast hands).
1.14.18	He touches it with 'Janani' (O thou, the mother).
1.14.19	He touches with 'Brihat' (O thou that art great).
1.14.20	With this rite he should make the two seasons meet.
1.16.3	He should give fruits as Dakṣiṇā.
1.16.4	Then he should perform the Svastyayana (rite).
1.16.5	He should honour the Guru.
1.17.1	When a son is born, he gives a boon.
1.17.2	Having churned fire from two fire-sticks, he offers oblations for longevity in that (fire).
1.17.3	He offers twenty-one oblations of ghee one by one with the Anuvāka "Agne āyuḥ asi" (Agni is the life).
1.15.1	In the third month of pregnancy, having brought the kindling woods, having offered oblations with Jaya and others in the sixth or eighth month, then having released all the hair of the wife seated on the Darbha grass behind the fire, having anointed her with ghee, having cut the hair with a three-edged blade and a branch of the Sami tree with leaves, again the wife is given to Agni. Thus the parting of the hair is done.
1.17.4	Having offered the remnant of ghee with curds, honey and a piece of gold, he makes the sacrificer eat it three times.
1.17.5	He says, "Be a stone, be an axe, be gold spread out. You are named Veda, son, live for a hundred autumns." He points in all directions, starting from the east and going clockwise, with the span of his hand.
1.16.1	In the eighth month of pregnancy, having offered oblations with Jaya and others, having bathed with fruits, having covered with a fresh cloth with the Anuvaka "O those herbs", having adorned with fragrant flowers, having tied fruits around the neck, one should circumambulate the fire.
1.16.2	Having performed the worship with the mantra "Protect my offspring, O Nari", one should feed the virtuous Brahmins.
1.17.6	Having inserted the middle leaf of the Palāśa tree, one should recite with it in the ears, "I give you Bhūḥ" in the right ear, "I give Bhuvaḥ" in the left ear, "I bestow Svāhā" in the right, "I give Bhūḥ, Bhuvaḥ, Svāhā" to the left.
1.17.7	Having washed the breasts with "Iṣaṃ Pinva, Urjaṃ Pinva," one should let them drip.
1.16.3	He should give fruits as Dakṣiṇā.
1.16.4	Then he should perform the Svastyayana (rite).
1.16.5	He should honour the Guru.
1.17.1	When a son is born, he gives a boon.
1.17.2	Having churned fire from two fire-sticks, he offers oblations for longevity in that (fire).
1.17.3	He offers twenty-one oblations of ghee one by one with the Anuvāka "Agne āyuḥ asi" (Agni is the life).
1.18.1	On the tenth night, he should give his son a name, beginning with a sound, ending with a sound, and containing two or four or three letters, and ending with a vowel.
1.18.2	Having abandoned the name of his father, which is to be saluted, he should give a name that is glorious, based on a deity, based on a constellation, and directly prohibited for the deity.
1.18.3	Having bathed, he approaches with his son.
1.17.4	Having offered the remnant of ghee with curds, honey and a piece of gold, he makes the sacrificer eat it three times.
1.17.5	He says, "Be a stone, be an axe, be gold spread out. You are named Veda, son, live for a hundred autumns." He points in all directions, starting from the east and going clockwise, with the span of his hand.
1.18.4	Then he touches him, saying, "O Agni, I touch thee with thy lustre, with the brilliance of the sun, with the resolve of all the gods." Having washed his hands, having anointed with fresh butter, having heated in the fire, having told to the Brahman, one should touch, says the text.
1.18.5	The giver gives a boon to the maker.
1.17.6	Having inserted the middle leaf of the Palāśa tree, one should recite with it in the ears, "I give you Bhūḥ" in the right ear, "I give Bhuvaḥ" in the left ear, "I bestow Svāhā" in the right, "I give Bhūḥ, Bhuvaḥ, Svāhā" to the left.
1.17.7	Having washed the breasts with "Iṣaṃ Pinva, Urjaṃ Pinva," one should let them drip.
1.18.6	You are born from limb to limb, you are born from the heart. You are named the Self. Live for a hundred autumns. Thus one should recite on the head of the son after returning from exile.
1.18.7	One should not eat meat or drink wine until the animal sacrifice.
1.18.8	And in the year of the sheep, one should offer to Agni and Dhanvantari.
1.19.1	Now the viewing of the sun.
1.19.2	In the fourth month, having cooked rice in milk, he offers it.
1.19.3	The sun has risen in the east, the swan is pure, when he comes to him. Thus he offers to the sun.
1.18.1	On the tenth night, he should give his son a name, beginning with a sound, ending with a sound, and containing two or four or three letters, and ending with a vowel.
1.18.2	Having abandoned the name of his father, which is to be saluted, he should give a name that is glorious, based on a deity, based on a constellation, and directly prohibited for the deity.
1.18.3	Having bathed, he approaches with his son.
1.18.4	Then he touches him, saying, "O Agni, I touch thee with thy lustre, with the brilliance of the sun, with the resolve of all the gods." Having washed his hands, having anointed with fresh butter, having heated in the fire, having told to the Brahman, one should touch, says the text.
1.18.5	The giver gives a boon to the maker.
1.19.4	"He should show the sun facing it, reciting the verses, "O Jātavedas, you are rising up." "He should then say, "May there be salutations to you, O Blessed One, O Shatarashmi, O remover of darkness. O God, remove my misfortune. Join me with good fortune."
1.19.5	Then comes the offering to the Brahmins.
1.19.6	The Dakshina is a bull.
1.20.1	Then comes the eating of food.
1.18.6	You are born from limb to limb, you are born from the heart. You are named the Self. Live for a hundred autumns. Thus one should recite on the head of the son after returning from exile.
1.18.7	One should not eat meat or drink wine until the animal sacrifice.
1.18.8	And in the year of the sheep, one should offer to Agni and Dhanvantari.
1.19.1	Now the viewing of the sun.
1.20.2	In the fifth or sixth month, having cooked a potful of rice in milk, having bathed and adorned him, having covered him with a new garment, having offered oblations with the verse "O Lord of Food, grant us food", one should make him eat with gold, reciting the verse "From the flowing of food".
1.20.3	One should show weapons with gems and gold handles.
1.20.4	If one wishes, one should take them up.
1.19.2	In the fourth month, having cooked rice in milk, he offers it.
1.19.3	The sun has risen in the east, the swan is pure, when he comes to him. Thus he offers to the sun.
1.20.5	Then the meal for the Brahmins.
1.20.6	The fee is a garment.
1.21.1	When most of the third year has passed, one should have the tonsure done at the rising of the sun, on an auspicious lunar day, except the ninth, on an auspicious constellation.
1.19.4	"He should show the sun facing it, reciting the verses, "O Jātavedas, you are rising up." "He should then say, "May there be salutations to you, O Blessed One, O Shatarashmi, O remover of darkness. O God, remove my misfortune. Join me with good fortune."
1.19.5	Then comes the offering to the Brahmins.
1.19.6	The Dakshina is a bull.
1.20.1	Then comes the eating of food.
1.21.2-3	Having offered with the hot (water), the wind, the water, the sacrificer's life, Savitar, Varuna, bestowing, to the sacrificer who gives, he recites the hot water with the mantra, "Aditi may let loose the hair, the waters may flow for life, may Prajapati again and again hold for welfare." He lets loose the hair with this.
1.20.2	In the fifth or sixth month, having cooked a potful of rice in milk, having bathed and adorned him, having covered him with a new garment, having offered oblations with the verse "O Lord of Food, grant us food", one should make him eat with gold, reciting the verse "From the flowing of food".
1.20.3	One should show weapons with gems and gold handles.
1.20.4	If one wishes, one should take them up.
1.21.4	"O herb, protect him!" He places a darbha grass at the southern end of the hair.
1.21.5	"O one who is self-established, do not harm him!" He applies the razor.
1.20.5	Then the meal for the Brahmins.
1.20.6	The fee is a garment.
1.21.1	When most of the third year has passed, one should have the tonsure done at the rising of the sun, on an auspicious lunar day, except the ninth, on an auspicious constellation.
1.21.2-3	Having offered with the hot (water), the wind, the water, the sacrificer's life, Savitar, Varuna, bestowing, to the sacrificer who gives, he recites the hot water with the mantra, "Aditi may let loose the hair, the waters may flow for life, may Prajapati again and again hold for welfare." He lets loose the hair with this.
1.21.6	With which Savitar shaved the hair of King Soma and Varuna, with that may the Brahman shave (his hair) for long life. This is the old-fashioned way. With which Pusan shaved the hair of Brihaspati and Indra for long life, with that I shave thee for long life, for long life, and for living. With which this (Brahman) goes forth again and again and sees the sun more clearly, with that I now shave thee for long-life, for good fame, and for welfare. He shaves three times with three (verses).
1.21.7	"He gives the razor made of iron to the barber, saying, 'Thou, with thy sharp razor, shalt shave the hair; thou shalt cleanse the head; thou shalt not take away the life.'
1.21.8	'May thy hair not follow thee; may this be thy lustre. May Indra, Varuna, Brihaspati, Savitar bestow lustre on thee.' He recites this verse while the barber is shaving.
1.21.4	"O herb, protect him!" He places a darbha grass at the southern end of the hair.
1.21.5	"O one who is self-established, do not harm him!" He applies the razor.
1.21.9	He takes the hair of the head in the lump of green cow-dung, saying, "May the hair of the sacrificer grow again."
1.21.10	"Having shaved the hair, Varuna, the king, Brihaspati, Savitar, Vishnu, Agni, not finding a place of deposit among the great ones, saw between heaven and earth." He recites this verse when the hair is being taken away towards the east.
1.21.6	With which Savitar shaved the hair of King Soma and Varuna, with that may the Brahman shave (his hair) for long life. This is the old-fashioned way. With which Pusan shaved the hair of Brihaspati and Indra for long life, with that I shave thee for long life, for long life, and for living. With which this (Brahman) goes forth again and again and sees the sun more clearly, with that I now shave thee for long-life, for good fame, and for welfare. He shaves three times with three (verses).
1.21.11	The Śruti says that one should embrace one's wife in the house that is not empty.
1.21.12	The groom gives a gift to the bride, such as a garment, a lump of jaggery, and a bundle of sesame seeds.
1.21.13	According to this method, the Agnihotra rite is performed in the sixteenth year, or when one is about to seek fire, the Agnihotra fire is offered by the Maitrāyaṇī Śruti.
1.21.14	"May Aditi shave the beard," (thus) he shaves the beard with the Uha verse, "May the mouth be purified."
1.22.1	The return gift is given on the seventh or ninth day.
1.21.7	"He gives the razor made of iron to the barber, saying, 'Thou, with thy sharp razor, shalt shave the hair; thou shalt cleanse the head; thou shalt not take away the life.'
1.21.8	'May thy hair not follow thee; may this be thy lustre. May Indra, Varuna, Brihaspati, Savitar bestow lustre on thee.' He recites this verse while the barber is shaving.
1.22.2	We have come to you, O Agni, for the first time. May we be free from grief. May we move about without harm. May we move in the directions with welfare. May we move with welfare from our homes. Having bathed with his hair grown, anointed, smeared, adorned, wearing the sacred thread, he recites together.
1.21.9	He takes the hair of the head in the lump of green cow-dung, saying, "May the hair of the sacrificer grow again."
1.21.10	"Having shaved the hair, Varuna, the king, Brihaspati, Savitar, Vishnu, Agni, not finding a place of deposit among the great ones, saw between heaven and earth." He recites this verse when the hair is being taken away towards the east.
1.22.3	Then he gives him a garment, saying, "Those who did not cut, those who did not weave, those who did, those who brought, and those divine goddesses who stretched out to the ends, may those goddesses give you life for old age. Wear this garment for life." Having put on the new garment, having offered the two portions of clarified butter, having brought curds, he eats curds three times, saying, "I have done the curds for Dadhkravan."
1.22.4	Who was he? He says.
1.21.11	The Śruti says that one should embrace one's wife in the house that is not empty.
1.21.12	The groom gives a gift to the bride, such as a garment, a lump of jaggery, and a bundle of sesame seeds.
1.21.13	According to this method, the Agnihotra rite is performed in the sixteenth year, or when one is about to seek fire, the Agnihotra fire is offered by the Maitrāyaṇī Śruti.
1.21.14	"May Aditi shave the beard," (thus) he shaves the beard with the Uha verse, "May the mouth be purified."
1.22.1	The return gift is given on the seventh or ninth day.
1.22.2	We have come to you, O Agni, for the first time. May we be free from grief. May we move about without harm. May we move in the directions with welfare. May we move with welfare from our homes. Having bathed with his hair grown, anointed, smeared, adorned, wearing the sacred thread, he recites together.
1.22.5	When the name is mentioned, he says, "I take hold of your hand in the impulse of Savitr, the god, with the arms of the Asvins, with the hands of Pusan." Taking hold of the hand, he takes the name. Standing facing east, facing west, standing upright, sitting, the right hand is stretched out, with the right hand he takes hold of the hand that is not empty, with the one that is not empty. Savitr has taken hold of your hand. This Agni is your preceptor. O god Savitr, this is your student. You protect him. Who is your student? You are the student of Praṇa. Who brings you to whom? To whom do I give you? To whom do you give yourself? To whom do we give you? To him do we give you. We give you to Bhaga. We give you over to Aryaman. We give you up to Savitr. We give you down to Sarasvati. We give you away to Indra and Agni. We give you out to all the gods. We give you around to all the gods." Thus he gives him over.
1.22.3	Then he gives him a garment, saying, "Those who did not cut, those who did not weave, those who did, those who brought, and those divine goddesses who stretched out to the ends, may those goddesses give you life for old age. Wear this garment for life." Having put on the new garment, having offered the two portions of clarified butter, having brought curds, he eats curds three times, saying, "I have done the curds for Dadhkravan."
1.22.4	Who was he? He says.
1.22.6	"Thou art the knot of Brahman; may it not be loosened." Beginning from the heart region, he recites. "Thou art the Knot of the Vital Forces." Beginning from the vital force region.
1.22.7	The protector of truth, the destroyer of austerities, the slayer of demons, the conqueror of enemies, she who protects us on all sides, O auspicious one, O thou who art well-to-do, O thou who hast the girdle, may we not be injured. Thus he takes the girdle, which is the earth, having three strings.
1.22.8	"The young man in new clothes" thus he girdles himself, going round thrice to the right.
1.22.9	He ties three knots on the girdle.
1.22.10	This (goddess) has come to me, purifying the ancient speech, restraining the ill-spoken. She who worships with the vital airs, the auspicious goddess, the auspicious Mekhala, may she not injure me. When she is girt, he recites: "May your heart be in my vow, may your mind be in accordance with my mind. May you accept my speech. May Brihaspati unite you with me."
1.22.5	When the name is mentioned, he says, "I take hold of your hand in the impulse of Savitr, the god, with the arms of the Asvins, with the hands of Pusan." Taking hold of the hand, he takes the name. Standing facing east, facing west, standing upright, sitting, the right hand is stretched out, with the right hand he takes hold of the hand that is not empty, with the one that is not empty. Savitr has taken hold of your hand. This Agni is your preceptor. O god Savitr, this is your student. You protect him. Who is your student? You are the student of Praṇa. Who brings you to whom? To whom do I give you? To whom do you give yourself? To whom do we give you? To him do we give you. We give you to Bhaga. We give you over to Aryaman. We give you up to Savitr. We give you down to Sarasvati. We give you away to Indra and Agni. We give you out to all the gods. We give you around to all the gods." Thus he gives him over.
1.22.6	"Thou art the knot of Brahman; may it not be loosened." Beginning from the heart region, he recites. "Thou art the Knot of the Vital Forces." Beginning from the vital force region.
