1.1.1	Now we shall describe the domestic rites.
1.17.3	After that, the one who is going to perform the rite places a cow-dung cake and Śamī leaves in a new pot near the mother's side.
1.17.4	The mother's father takes twenty-one bundles of Kuśa grass and places them to the south.
1.17.12	With that by which Dhātā, Brihaspati, Agni, and Indra, extended their life, with that I extend your life for good fame and welfare. The second.
1.17.13	With that by which one sees the sun more and longer in the day, with that I prolong your life for good reputation and welfare. The third.
1.17.14	The fourth with all mantras.
1.17.5	Brahma alone should hold these.
1.17.6	After having made the arrangement for the subsequent rites, one should bring together cold and hot water and say, "May the hot wind and water be united."
1.17.7	Taking the butter or curd drops from them, one should sprinkle the head clockwise three times, saying, "Aditi may let loose her hair, may the waters sprinkle the radiance."
1.17.8	On the right side of the head, he places three tufts of Kusha grass, with their tips pointing inwards, saying, "O herb, protect him."
1.17.9	Having pressed it, with an iron razor, he says, "May you not harm him."
1.17.15	Thus three times to the north.
1.17.16	"He who shaves with the razor's edge, the razor-wielder, the well-endowed, the cutter, cuts the hair for the sake of purity, may he not diminish the life of the head."
1.17.17	The barber, while performing his work with cold and hot water, should say, "May I do it well without hurting."
1.17.18	One should have one's hair cut according to the family custom.
1.17.10	The Brahman cuts off the hair with the razor, knowing the king Soma and Varuna. With that he cuts off the hair. This is for the long life of the one who is cutting.
1.17.11	Having cut off the hair, he gives the tips to his mother along with the Samī leaves. He places them in cowdung.
1.17.19	The girl is covered.
1.18.1	By this, the giving of the cow.
1.18.2	At the age of sixteen.
1.18.3	But in the word "hair," the word "beard" should be used.
1.18.4	The beard is shaved.
1.18.5	"May your head and mouth be purified, may your life not be lost."
1.18.6	He instructs, "Make the hair, beard, body hair, and nails to be in the water."
1.17.12	With that by which Dhātā, Brihaspati, Agni, and Indra, extended their life, with that I extend your life for good fame and welfare. The second.
1.17.13	With that by which one sees the sun more and longer in the day, with that I prolong your life for good reputation and welfare. The third.
1.17.14	The fourth with all mantras.
1.18.7	Having bathed and stood properly, he should speak to the teacher, saying, "I give the boon."
1.18.8	A pair of cows is the fee.
1.18.9	One should teach for a year.
1.19.1	One should initiate a Brahmin at the age of eight.
1.19.2	Or at the age of the eighth month.
1.19.3	A Kshatriya at the age of eleven.
1.19.4	A Vaishya at the age of twelve.
1.19.5	For a Brahmin, the time limit is up to the age of sixteen.
1.19.6	Up to the twentieth year for a Kṣatriya.
1.19.7	Up to the twenty-fourth year for a Vaiśya.
1.19.8	Beyond that, they become fallen Savitris.
1.19.9	One should not initiate them, teach them, perform sacrifices for them, or transact business with them.
1.17.15	Thus three times to the north.
1.17.16	"He who shaves with the razor's edge, the razor-wielder, the well-endowed, the cutter, cuts the hair for the sake of purity, may he not diminish the life of the head."
1.17.17	The barber, while performing his work with cold and hot water, should say, "May I do it well without hurting."
1.17.18	One should have one's hair cut according to the family custom.
1.19.10	The boy is adorned, his head is well-combed, he is covered with a new cloth, a Brāhmaṇa with a woolen cloth, a Kṣatriya with a silk cloth, and a Vaiśya with a cotton cloth.
1.19.11	If they wear clothes, they wear red clothes. A Brāhmaṇa wears saffron, a Kṣatra wears yellow, and a Vaiṣya wears orange.
1.17.19	The girl is covered.
1.18.1	By this, the giving of the cow.
1.18.2	At the age of sixteen.
1.18.3	But in the word "hair," the word "beard" should be used.
1.18.4	The beard is shaved.
1.18.5	"May your head and mouth be purified, may your life not be lost."
1.18.6	He instructs, "Make the hair, beard, body hair, and nails to be in the water."
1.18.7	Having bathed and stood properly, he should speak to the teacher, saying, "I give the boon."
1.18.8	A pair of cows is the fee.
1.18.9	One should teach for a year.
1.19.1	One should initiate a Brahmin at the age of eight.
1.19.2	Or at the age of the eighth month.
1.19.3	A Kshatriya at the age of eleven.
1.19.4	A Vaishya at the age of twelve.
1.19.5	For a Brahmin, the time limit is up to the age of sixteen.
1.19.12	The girdle of the Brahmana is made of muñja grass, of that of the Kshatriya of the bow-string, and of that of the Vaishya of the bamboo.
1.19.13	The staff of the Brahmana should be made of Palasa wood, of the Kshatriyas of Udumbara wood, and of the Vaishyas of Bilva wood.
1.20.1	All may be used by all.
1.20.2	Having performed the Samanvarabdha rite, the Acharya stands facing the east, to the north of the fire.
1.20.3	The other stands facing the west.
1.19.6	Up to the twentieth year for a Kṣatriya.
1.19.7	Up to the twenty-fourth year for a Vaiśya.
1.19.8	Beyond that, they become fallen Savitris.
1.19.9	One should not initiate them, teach them, perform sacrifices for them, or transact business with them.
1.20.4	Having filled the palms of the waters, he should say, "I choose the Savitr's blessing." With the full one, he should pour out the full one, saying, "Having sprinkled, I take your hand in the impulse of the divine Savitr, with the arms of the Ashvins, with the hands of Pusan. This one." He should take the hand with the thumb.
1.19.10	The boy is adorned, his head is well-combed, he is covered with a new cloth, a Brāhmaṇa with a woolen cloth, a Kṣatriya with a silk cloth, and a Vaiśya with a cotton cloth.
1.19.11	If they wear clothes, they wear red clothes. A Brāhmaṇa wears saffron, a Kṣatra wears yellow, and a Vaiṣya wears orange.
1.20.5	Savitar has taken your hand. This is the second.
1.20.6	Agni is your preceptor. This is the third.
1.20.7	Look at the sun. O god Savitar, this is your student. Protect him. May he not die. The preceptor says this.
1.20.8	"Who is your student? You are the student of Praṇa. Who is taking you? To whom am I giving you?"
1.20.9	The young one, well-dressed, comes around, thus with half a verse he should circumambulate him.
1.20.10	Having placed his hands on his shoulders, he should touch the region of the heart with the northern direction.
1.20.11	Having encircled the fire, the celibate should silently place the kindling wood. It is known that the kindling wood belongs to Prajapati, and the celibate is Prajapati.
1.19.12	The girdle of the Brahmana is made of muñja grass, of that of the Kshatriya of the bow-string, and of that of the Vaishya of the bamboo.
1.19.13	The staff of the Brahmana should be made of Palasa wood, of the Kshatriyas of Udumbara wood, and of the Vaishyas of Bilva wood.
1.20.1	All may be used by all.
1.20.2	Having performed the Samanvarabdha rite, the Acharya stands facing the east, to the north of the fire.
1.20.3	The other stands facing the west.
1.21.1	With the mantra, "I offer the kindling wood to Agni, the great, the all-knowing, with that, O Agni, you grow, with the kindling wood and with the Brahman, we offer salutations."
1.21.2	Having offered the kindling wood, he touches the fire and smears his mouth three times with the mantra, "May I be united with your brilliance."
1.21.3	It is known that one unites oneself with brilliance.
1.20.4	Having filled the palms of the waters, he should say, "I choose the Savitr's blessing." With the full one, he should pour out the full one, saying, "Having sprinkled, I take your hand in the impulse of the divine Savitr, with the arms of the Ashvins, with the hands of Pusan. This one." He should take the hand with the thumb.
1.20.5	Savitar has taken your hand. This is the second.
1.20.6	Agni is your preceptor. This is the third.
1.20.7	Look at the sun. O god Savitar, this is your student. Protect him. May he not die. The preceptor says this.
1.20.8	"Who is your student? You are the student of Praṇa. Who is taking you? To whom am I giving you?"
1.21.4	May Agni bestow on me intelligence, may Indra bestow on me intelligence and progeny, may the Sun bestow on me intelligence. May Agni bestow on us intelligence, may Indra bestows on us intelligence and progeny, may the Sun bestow on us intelligence. Whatever is your brilliance, O Agni, by that may I be brilliant. Whatever is your splendour, O Agni, by that may I be splendid. Whatever is your radiance, O Agni, may I be radiant by that. Having risen, having sat down, having touched the knees, having taken up, he should say, "Learn, O Savitri, learn, O Anusavitri."
1.21.5	Holding his hands with the cloth, he recites Savitri in the reverse order, half by half.
1.21.6	One should recite as much as one is able.
1.20.9	The young one, well-dressed, comes around, thus with half a verse he should circumambulate him.
1.20.10	Having placed his hands on his shoulders, he should touch the region of the heart with the northern direction.
1.20.11	Having encircled the fire, the celibate should silently place the kindling wood. It is known that the kindling wood belongs to Prajapati, and the celibate is Prajapati.
1.21.7	He places his hand with the fingers pointing upwards on the heart of the person who is taking the vow, saying, "I place your heart in my vow. May your mind be in accordance with my mind. May you accept my speech. May you be of one vow. May Brihaspati unite you with me."
1.22.1	Having tied the girdle and given the staff, he should instruct him to observe celibacy.
1.21.1	With the mantra, "I offer the kindling wood to Agni, the great, the all-knowing, with that, O Agni, you grow, with the kindling wood and with the Brahman, we offer salutations."
1.21.2	Having offered the kindling wood, he touches the fire and smears his mouth three times with the mantra, "May I be united with your brilliance."
1.21.3	It is known that one unites oneself with brilliance.
1.22.2	Let him drink the water of a Brahmachari. Let him do his duties. Let him not sleep during the day. Let him study the Veda under the control of his teacher.
1.22.3	The Vedic student-life lasts for twelve years, or till the grasping of the meaning of the Veda.
1.22.4	He should beg for alms in the evening and morning.
1.22.5	He should put on the sacrificial grass in the evening and in the morning.
1.22.6	He shall beg for alms from one who does not refuse.
1.22.7	Or from one who does
1.21.4	May Agni bestow on me intelligence, may Indra bestow on me intelligence and progeny, may the Sun bestow on me intelligence. May Agni bestow on us intelligence, may Indra bestows on us intelligence and progeny, may the Sun bestow on us intelligence. Whatever is your brilliance, O Agni, by that may I be brilliant. Whatever is your splendour, O Agni, by that may I be splendid. Whatever is your radiance, O Agni, may I be radiant by that. Having risen, having sat down, having touched the knees, having taken up, he should say, "Learn, O Savitri, learn, O Anusavitri."
1.22.8	"You should give alms."
1.22.9	Or, "It is to be announced."
1.22.10	He should inform the teacher of this.
1.22.11	He should wait until the end of the day.
1.22.12	When the sun has set, he should cook the Brahma rice and announce it to the teacher.
1.22.13	The teacher, having begun, should offer the oblation with the verse, "To the lord of the assembly, the wonderful one."
1.22.14	The second verse is Savitri.
1.21.5	Holding his hands with the cloth, he recites Savitri in the reverse order, half by half.
1.21.6	One should recite as much as one is able.
1.22.15	Whatever is not mentioned above, that is to be done.
1.22.16	The third is for the sages.
1.22.17	The fourth is for Sauviṣṭakṛt.
1.22.18	Having fed the Brahmins, one should recite the conclusion of the Veda.
1.22.19	From now on, one should eat without salt and without grains, sleep on the ground, and observe the vow for three nights, twelve nights, or a year.
1.21.7	He places his hand with the fingers pointing upwards on the heart of the person who is taking the vow, saying, "I place your heart in my vow. May your mind be in accordance with my mind. May you accept my speech. May you be of one vow. May Brihaspati unite you with me."
1.22.1	Having tied the girdle and given the staff, he should instruct him to observe celibacy.
1.22.20	It causes the generation of intelligence for one who has practiced vows.
1.22.2	Let him drink the water of a Brahmachari. Let him do his duties. Let him not sleep during the day. Let him study the Veda under the control of his teacher.
1.22.3	The Vedic student-life lasts for twelve years, or till the grasping of the meaning of the Veda.
1.22.4	He should beg for alms in the evening and morning.
1.22.5	He should put on the sacrificial grass in the evening and in the morning.
1.22.6	He shall beg for alms from one who does not refuse.
1.22.7	Or from one who does
1.22.21	In the direction of the uncensured one, he makes him recite the verse, "Thou art well-known, thou art well-known. As thou art well-renowned, well-renowned, so make me well-renowned, renowned. As thou art the guardian of the sacrifice of the gods, so may I be the guardian of the Veda of men."
1.22.22	This explains the initiation of the vow, beginning with the bathing and ending with the giving.
1.22.23	Thus for one who has not been initiated before.
1.22.24	Now for one who has been initiated before. 
1.22.25	The shaving of the head is done or not done.
1.22.26	It also generates intelligence.
1.22.27	The giving is not specified.
1.22.28	And the time.
1.22.29	One should recite the Savitri mantra, "I choose the Savitri of Savitar."
1.22.8	"You should give alms."
1.22.9	Or, "It is to be announced."
1.22.10	He should inform the teacher of this.
1.22.11	He should wait until the end of the day.
1.22.12	When the sun has set, he should cook the Brahma rice and announce it to the teacher.
1.22.13	The teacher, having begun, should offer the oblation with the verse, "To the lord of the assembly, the wonderful one."
1.22.14	The second verse is Savitri.
1.23.1	The priests are chosen by the sacrificer, who are not deficient or in excess, and who are born of mothers and fathers as mentioned before.
1.23.2	Some say that the priests should be chosen as young.
1.23.3	The Brahman is chosen first, then the Hotri, then the Adhvaryu, then the Udgâtri.
1.23.4	Or all those who perform sacrifices with the Ahina and Ekâha rites.
1.22.15	Whatever is not mentioned above, that is to be done.
1.22.16	The third is for the sages.
1.22.17	The fourth is for Sauviṣṭakṛt.
1.22.18	Having fed the Brahmins, one should recite the conclusion of the Veda.
1.22.19	From now on, one should eat without salt and without grains, sleep on the ground, and observe the vow for three nights, twelve nights, or a year.
1.22.20	It causes the generation of intelligence for one who has practiced vows.
1.23.5	The Koushitikins mention the seventeenth member as the observer of the rites.
1.23.6	This has been stated in two verses: "The priests arrange him in many ways."
1.23.7	He first chooses the Hotar.
1.23.8	"May Agni be my Hotar, he is my Hotar. I choose you as the Hotar."
1.22.21	In the direction of the uncensured one, he makes him recite the verse, "Thou art well-known, thou art well-known. As thou art well-renowned, well-renowned, so make me well-renowned, renowned. As thou art the guardian of the sacrifice of the gods, so may I be the guardian of the Veda of men."
1.23.9	The Moon is my Brahman; he is my Brahman. I choose thee, Brahman, as Brahman. The Sun is my Adhvaryu. The Adhvaryu is mine.
1.23.10	Parjanya is my Udgata. The Udgata is mine.
1.23.11	The Waters are my Hotrakas, the Hotrakas are mine.
1.23.12	The Rays are my Camasadharvas, the Camasadharva is mine.
1.22.22	This explains the initiation of the vow, beginning with the bathing and ending with the giving.
1.22.23	Thus for one who has not been initiated before.
1.22.24	Now for one who has been initiated before. 
1.22.25	The shaving of the head is done or not done.
1.22.26	It also generates intelligence.
1.22.27	The giving is not specified.
1.22.28	And the time.
1.22.29	One should recite the Savitri mantra, "I choose the Savitri of Savitar."
1.23.13	"The sky is my friend." Thus he makes a friend.
1.23.14	He should recite the following verses: "You have told me the greatness, you have told me the radiance, you have told the glory, you have told fame, you have told praise, you have told nourishment, you have told enjoyment, you have told satisfaction, you have told everything."
1.23.1	The priests are chosen by the sacrificer, who are not deficient or in excess, and who are born of mothers and fathers as mentioned before.
1.23.2	Some say that the priests should be chosen as young.
1.23.3	The Brahman is chosen first, then the Hotri, then the Adhvaryu, then the Udgâtri.
1.23.4	Or all those who perform sacrifices with the Ahina and Ekâha rites.
1.23.15	Having recited, "Agni is your Hotṛ, he is your Hotṛ. I am your Hotṛ, O human one," the Hotṛ accepts.
1.23.16	"The moon is your Brahman, he is your Brahman. Brahman."
1.23.17	Similarly, the others as per their respective positions.
1.23.18	"May that protect me, may that enter me, may I eat with that." So says one who is going to perform the sacrifice.
1.23.5	The Koushitikins mention the seventeenth member as the observer of the rites.
1.23.6	This has been stated in two verses: "The priests arrange him in many ways."
1.23.7	He first chooses the Hotar.
1.23.8	"May Agni be my Hotar, he is my Hotar. I choose you as the Hotar."
1.23.9	The Moon is my Brahman; he is my Brahman. I choose thee, Brahman, as Brahman. The Sun is my Adhvaryu. The Adhvaryu is mine.
1.23.10	Parjanya is my Udgata. The Udgata is mine.
1.23.11	The Waters are my Hotrakas, the Hotrakas are mine.
1.23.12	The Rays are my Camasadharvas, the Camasadharva is mine.
1.23.19-21	The duties of the officiating priests have been laid down. The duties of the sacrificer have been laid down.
1.23.13	"The sky is my friend." Thus he makes a friend.
1.23.14	He should recite the following verses: "You have told me the greatness, you have told me the radiance, you have told the glory, you have told fame, you have told praise, you have told nourishment, you have told enjoyment, you have told satisfaction, you have told everything."
1.23.22	They should not eat meat, nor approach a woman, until the end of the ritual.
1.23.23	Having offered a libation of ghee to the southern fire, one should depart as one pleases, saying, "O Agni, may you grow with this Brahman."
1.23.24	Thus, one who has not established the sacred fire should depart with this verse: "O Agni, you have examined this refuge of ours."
1.23.15	Having recited, "Agni is your Hotṛ, he is your Hotṛ. I am your Hotṛ, O human one," the Hotṛ accepts.
1.23.16	"The moon is your Brahman, he is your Brahman. Brahman."
1.23.17	Similarly, the others as per their respective positions.
1.23.18	"May that protect me, may that enter me, may I eat with that." So says one who is going to perform the sacrifice.
1.24.1	The officiating priests, having taken the Madhuparka, should offer it.
1.24.2	To the one who has bathed and is seated.
1.24.3	To the king.
1.24.4	To the preceptor, father-in-law, maternal uncle, and maternal aunt.
1.24.5	Having brought curd and honey.
1.24.6	Or ghee if honey is not available.
1.24.7	These are mentioned three times each: bedding, water for washing the feet, water for sipping, Madhuparka, and cow.
1.24.8	I am the protector of my kinsmen, like the sun of lightning. This I place over him, whoever may attack me." If one sits in front of the sun,
1.24.9	or steps on it,
1.24.10	one should wash one's feet.
1.24.11	One should offer the right foot first to a brahmin,
1.24.12	the left to a shudra.
1.24.13	Having washed his feet, he receives the Arghya with folded hands and then sips water with the Achamaniya water, saying, "You are the covering of nectar."
1.24.14	He looks at the Madhuparka being brought, saying, "I wait for you with the eye of a friend."
1.23.19-21	The duties of the officiating priests have been laid down. The duties of the sacrificer have been laid down.
1.23.22	They should not eat meat, nor approach a woman, until the end of the ritual.
1.23.23	Having offered a libation of ghee to the southern fire, one should depart as one pleases, saying, "O Agni, may you grow with this Brahman."
1.23.24	Thus, one who has not established the sacred fire should depart with this verse: "O Agni, you have examined this refuge of ours."
1.24.15	"With the impulse of the divine Savitr, with the arms of the Asvins, with the hands of Pusan, I receive thee." Having received it thus in the form of a cup, and having placed it in the left hand, he looks at it with the verse, "The honey-bees are in the sky, in the heaven, in the wind, in the truth." Having turned it three times to the right with the little finger and the thumb, he smears it in front with the verse, "The Vasus consume thee with the Gayatri metre.
1.24.16	"May the Rudras consume thee with the Tristubh metre," on the right side.
1.24.17	"May the Adityas consume thee with the Jagati metre," on the west side.
1.24.18	" May the Visve Devas consume thee with the Anushtubh metre," on north side.
1.24.19	"For the Bhutas," taking it three times from the middle.
1.24.1	The officiating priests, having taken the Madhuparka, should offer it.
1.24.2	To the one who has bathed and is seated.
1.24.3	To the king.
1.24.4	To the preceptor, father-in-law, maternal uncle, and maternal aunt.
1.24.5	Having brought curd and honey.
1.24.6	Or ghee if honey is not available.
1.24.7	These are mentioned three times each: bedding, water for washing the feet, water for sipping, Madhuparka, and cow.
1.24.8	I am the protector of my kinsmen, like the sun of lightning. This I place over him, whoever may attack me." If one sits in front of the sun,
1.24.9	or steps on it,
1.24.10	one should wash one's feet.
1.24.11	One should offer the right foot first to a brahmin,
1.24.12	the left to a shudra.
1.24.13	Having washed his feet, he receives the Arghya with folded hands and then sips water with the Achamaniya water, saying, "You are the covering of nectar."
1.24.14	He looks at the Madhuparka being brought, saying, "I wait for you with the eye of a friend."
1.24.28	Then, while sipping water for rinsing the mouth, he says, "You are the covering of immortality."
1.24.29	"May truth, fame, and prosperity be in me. Prosperity be in me." This is the second verse.
1.24.30	Those who have sipped water for rinsing the mouths inform the cow.
1.24.31	Having recited, "Sin is destroyed, sin is destroyed in me," he says, "Do it."
1.24.32	Having recited "Mother of the Rudras, daughter of the Vasus," one should release the water.
1.24.33	One becomes a part of the Soma sacrifice.
2.1.1	On the full moon day of Sravan, the Sravan ritual is performed.
2.1.2	Having filled a new pot with unbroken grains and barley, and placing a ladle and a vessel for offering oblations in a new basket,
1.24.15	"With the impulse of the divine Savitr, with the arms of the Asvins, with the hands of Pusan, I receive thee." Having received it thus in the form of a cup, and having placed it in the left hand, he looks at it with the verse, "The honey-bees are in the sky, in the heaven, in the wind, in the truth." Having turned it three times to the right with the little finger and the thumb, he smears it in front with the verse, "The Vasus consume thee with the Gayatri metre.
1.24.16	"May the Rudras consume thee with the Tristubh metre," on the right side.
1.24.17	"May the Adityas consume thee with the Jagati metre," on the west side.
1.24.18	" May the Visve Devas consume thee with the Anushtubh metre," on north side.
1.24.19	"For the Bhutas," taking it three times from the middle.
2.1.3	Having made the oblations of unbroken grains, he anoints them with half of the clarified butter.
2.1.4	Having cooked the oblation in a pot and the oblation for the east in one pot after the sun has set, having offered the oblation with the four verses beginning with "O Agni, lead us on the good path" separately, he offers the oblation in one pot with the verse "To the unfallen, to the one on the ground, svāhā."
2.1.5	If he is floating or has a back injury,
2.1.6	"Do not let Agni release us to the wicked one," he offers him with a wish.
2.1.7	"May the horses be auspicious for us in our prayers," the oblations are offered with a handful.
2.1.8	One should give the other oblations to those who are not advisers.
1.24.20	"He should eat the first portion, saying, 'Thou art the milking of Viraj.'
1.24.21	The second portion, saying, ‘Thou art the milking that Viraj has milked.’
1.24.22	The third portion, saying, “The milking is in me for the sake of Viraj.’
1.24.23	Not all.
1.24.24	He should not go to satiety.
1.24.25	He should give the leftovers to a brahmin facing north.
1.24.26	If there is no brahmin, then in water.
1.24.27	All.
2.1.9	Having filled the ladle with parched grains from the pot, having gone out towards the east, having sprinkled water in a clean place, having offered oblation to the serpents and the people of serpents with the formula, "Svāhā to them", he offers salutations with the formula, “Those serpents who are on the earth, in the atmosphere, in the heaven, in the directions, to them I offer this oblation. I offer this obolation to them.”
1.24.28	Then, while sipping water for rinsing the mouth, he says, "You are the covering of immortality."
1.24.29	"May truth, fame, and prosperity be in me. Prosperity be in me." This is the second verse.
1.24.30	Those who have sipped water for rinsing the mouths inform the cow.
1.24.31	Having recited, "Sin is destroyed, sin is destroyed in me," he says, "Do it."
2.1.10	Having circumambulated, he sits behind Bala. "You are a serpent, you are the lord of serpents. You protect men with food, serpents with cakes, gods with sacrifice. May those who are in you be safe. May those who have been bitten by serpents be safe. I give you this firm (earth).
1.24.32	Having recited "Mother of the Rudras, daughter of the Vasus," one should release the water.
1.24.33	One becomes a part of the Soma sacrifice.
2.1.1	On the full moon day of Sravan, the Sravan ritual is performed.
2.1.2	Having filled a new pot with unbroken grains and barley, and placing a ladle and a vessel for offering oblations in a new basket,
2.1.11	"The king says to his ministers, 'This is yours, this is yours,' in order.
2.1.12	'This is yours, O Dhruva,' he says to himself at the end.
2.1.13	They do not interrupt him until the giving is finished.
2.1.14	He should offer oblations to the serpent gods in the evening and morning, saying, 'Svāhā!' until the descent (of the moon).
2.1.15	Some, having counted, offer oblations on that day itself.
2.1.3	Having made the oblations of unbroken grains, he anoints them with half of the clarified butter.
2.1.4	Having cooked the oblation in a pot and the oblation for the east in one pot after the sun has set, having offered the oblation with the four verses beginning with "O Agni, lead us on the good path" separately, he offers the oblation in one pot with the verse "To the unfallen, to the one on the ground, svāhā."
2.1.5	If he is floating or has a back injury,
2.2.1	The Aśvayujīya rite is performed on the Aśvayujya day.
2.2.2	Having adorned the house, having bathed and put on clean clothes, they should offer a cooked oblation to Pashupati and perform the oblation with the mantra, "To Pashupati, to Shiva, to Shankara, to Prishataka, svāhā."
2.2.3	One should offer the Prishataka with a handful, reciting the mantra, "May what is insufficient be filled, may what is filled be abundant, to Prishatakaya svāhā."
2.1.6	"Do not let Agni release us to the wicked one," he offers him with a wish.
2.1.7	"May the horses be auspicious for us in our prayers," the oblations are offered with a handful.
2.1.8	One should give the other oblations to those who are not advisers.
2.2.4	With the seasons, with the ordinances, with Indra and Agni, svāhā. With the seasons, With the ordinances, with heaven and earth, svāhā - this is the offering of the pot-cooked meal in the Āgrayana for one who has established the fire.
2.2.5	For one who has not established the fire, it is also in the Śālā fire.
2.3.1	The descent is on the fourteenth day in the month of Māgha.
2.3.2	Or on the full moon day.
2.1.9	Having filled the ladle with parched grains from the pot, having gone out towards the east, having sprinkled water in a clean place, having offered oblation to the serpents and the people of serpents with the formula, "Svāhā to them", he offers salutations with the formula, “Those serpents who are on the earth, in the atmosphere, in the heaven, in the directions, to them I offer this oblation. I offer this obolation to them.”
2.1.10	Having circumambulated, he sits behind Bala. "You are a serpent, you are the lord of serpents. You protect men with food, serpents with cakes, gods with sacrifice. May those who are in you be safe. May those who have been bitten by serpents be safe. I give you this firm (earth).
2.3.3-4	Having again repaired the house, and having plastered it, and having spread it with carpets and coverings, they should offer oblations of milk-rice at sunset, saying, "O white one, destroy the serpent, and the seven Varuni goddesses, and all the royal relatives, svāhā." "No white serpent has harmed anyone in the house." "Salutations to the white one, the son of Vaidārbha, and to Svāhā." There is no Sauviṣṭakṛt here.
2.1.11	"The king says to his ministers, 'This is yours, this is yours,' in order.
2.1.12	'This is yours, O Dhruva,' he says to himself at the end.
2.1.13	They do not interrupt him until the giving is finished.
2.1.14	He should offer oblations to the serpent gods in the evening and morning, saying, 'Svāhā!' until the descent (of the moon).
2.1.15	Some, having counted, offer oblations on that day itself.
2.3.5	May we have freedom from fear from the Prajapati-s. Thus he recites while looking at the fire.
2.3.6	May Agni be favourable to us. Thus he recitess while thinking of the winter season.
2.3.7	After this, he sits on a seat spread behind the fire, reciting, "May the earth be soft." He then lies down with his head towards the east and facing the north.
2.3.8	The others lie down according to the space available.
2.3.9	The elder or the next elder should be the preceptor.
2.3.10	Those who know mantras should recite mantras.
2.3.11	The gods who have come together should protect us. This should be recited three times.
2.3.12	Facing south, facing west, and facing north, the fourth should be recited.
2.3.13	Having recited the solar hymns and the auspicious hymns, having sanctified the food, having fed the Brahmins, one should recite the auspicious hymns.
2.2.1	The Aśvayujīya rite is performed on the Aśvayujya day.
2.2.2	Having adorned the house, having bathed and put on clean clothes, they should offer a cooked oblation to Pashupati and perform the oblation with the mantra, "To Pashupati, to Shiva, to Shankara, to Prishataka, svāhā."
2.2.3	One should offer the Prishataka with a handful, reciting the mantra, "May what is insufficient be filled, may what is filled be abundant, to Prishatakaya svāhā."
2.4.1	The Aṣṭakās are performed on the eighth day of the four fortnights of the winter and the cold season.
2.4.2	Or on one day.
2.4.3	On the previous day, one should offer oblations to the ancestors.
2.4.4	Rice cooked with milk, rice cooked with ghee, and milk pudding.
2.4.5	Or cakes made from flour of four measures.
2.4.6	Having offered oblations with the eight verses beginning with "May the lower one rise up, may the higher one fall down," or as many as one desires,
2.2.4	With the seasons, with the ordinances, with Indra and Agni, svāhā. With the seasons, With the ordinances, with heaven and earth, svāhā - this is the offering of the pot-cooked meal in the Āgrayana for one who has established the fire.
2.2.5	For one who has not established the fire, it is also in the Śālā fire.
2.3.1	The descent is on the fourteenth day in the month of Māgha.
2.3.2	Or on the full moon day.
2.4.7	Then on the next day, the Aṣṭaka rites are performed with an animal and a cooked meal of rice.
2.4.8	One should bring fodder for the cow.
2.4.9	One should fast in the fire-place.
2.4.10	This is my Aṣṭaka rite."
2.4.11	But one should not be without the Aṣṭakā rite.
2.3.3-4	Having again repaired the house, and having plastered it, and having spread it with carpets and coverings, they should offer oblations of milk-rice at sunset, saying, "O white one, destroy the serpent, and the seven Varuni goddesses, and all the royal relatives, svāhā." "No white serpent has harmed anyone in the house." "Salutations to the white one, the son of Vaidārbha, and to Svāhā." There is no Sauviṣṭakṛt here.
2.4.12	Some call it the goddess of the universe, some the goddess of Agni, some the goddess Surya, some the goddess Prajapati, some the goddess Night, some the goddess Stars, some the goddess Season, some the goddess Fathers, some the goddess Animals.
2.4.13	Having consecrated the animal according to the animal rite, and having removed the Vapa (the animal) without sprinkling and covering, he should offer it with the verse, "O Jatavedas, do thou offer the Vapa to the Pitrs, where thou knowest them to be deposited far away. May the streams of fat flow towards them. May all these blessings be true. Svāhā."
2.3.5	May we have freedom from fear from the Prajapati-s. Thus he recites while looking at the fire.
2.3.6	May Agni be favourable to us. Thus he recitess while thinking of the winter season.
2.3.7	After this, he sits on a seat spread behind the fire, reciting, "May the earth be soft." He then lies down with his head towards the east and facing the north.
2.3.8	The others lie down according to the space available.
2.3.9	The elder or the next elder should be the preceptor.
2.3.10	Those who know mantras should recite mantras.
2.3.11	The gods who have come together should protect us. This should be recited three times.
2.3.12	Facing south, facing west, and facing north, the fourth should be recited.
2.3.13	Having recited the solar hymns and the auspicious hymns, having sanctified the food, having fed the Brahmins, one should recite the auspicious hymns.
2.4.1	The Aṣṭakās are performed on the eighth day of the four fortnights of the winter and the cold season.
2.4.2	Or on one day.
2.4.3	On the previous day, one should offer oblations to the ancestors.
2.4.4	Rice cooked with milk, rice cooked with ghee, and milk pudding.
2.4.5	Or cakes made from flour of four measures.
2.4.6	Having offered oblations with the eight verses beginning with "May the lower one rise up, may the higher one fall down," or as many as one desires,
2.4.14	Therefore, for the oblations and the Sthalipaka, lead us to the path of the gods. The seasons of summer and autumn are auspicious. May the rains be auspicious and free from fear. The year is the lord, the giver of life. May the day and night grant us long life. Svāhā. May the earth be peaceful, the sky auspicious. May the sky be free from fear. May the directions, the intermediate directions, and the upper directions be auspicious. May the waters and lightning protect us from all sides. Svāhā! May the waters and rays carry us. May the creator remove evil. May the past and future be free from fear for all beings. May Brahma be protected, with the right syllables. Svāhā ! May the All-gods, the Adityas, Vasus, and the Maruts, the protectors, be present. May the creator, nourishing the living beings, the nectar, and the supreme Prajapati, bestow on me. Svāhā !" Prajapati, none other than you.
