1.1.1	We shall explain the Upanayana.
1.18.6	Then having offered the oblation of the Sthalipaka oblation, he offers with the formula, "To Agni svāhā, to Agni Agnivata svāhā, To Agni Annada svāhā, Agni Svishtakṛt svāhā."
1.18.7	One should serve this Agni with barley or wheat throughout one's life, in the evening and morning.
1.18.8	In the evening, he offers the first oblation with the formula, “To Agni svāha.”
1.18.9	"Om, to Prajapati, svāhā!"
1.18.10	They recite the Sūrya hymn in the morning.
1.18.11	One should always wear the Upavasana garment.
1.18.12	One should wear the garment after being anointed. It should be worn by a student from the house of a Brāhmaṇa.
1.18.13	One should fast on this day.
1.19.1	One should observe fast on the eighth lunar days and on Parva days.
1.19.2	One performs the Parva rites with the Agniyeṇa Sthālyapāka rite.
1.19.9	Then at the end of the fourth watch, having kindled fire in the inner chamber, having offered the oblations of Jaya and Abhyatana, he offers these oblations: "O Agni, you are the atonement, you are the atonemeht of the gods. O Brahman, I seek refuge in you out of desire for protection. The body that causes the death of the husband, the death of offspring, the death of cattle, the death of prosperity, the death of the paramour - I make that body of her perish. Svāhā. O Vayu, you are the atonemnt, O Aditya, you are the aotnement, O Prajapati, you are the atoenmeht, you are the antonement of the gods. I seek refuge in the Brahman out of desire for proection. The body that is censured - we destroy that body from here. Svāhā."
1.19.3	Restrained in speech, he waits for the rising of the stars.
1.19.4	When the stars have risen, he raises the calf, following it, with the verse, "Thou hast risen, O life, for my life."
1.19.5	Then he looks at the fixed star Arundhatī and the other stars with the verse, “Salutations to Brahman, to the fixed, to the unmoving."
1.20.1	Then, having made her silent, and having approached with restrained speech, he says, "I am the male, you are the female. You are the sky, I am the earth. You are the Sama Veda, I am the Rig Veda. Come, let us both generate the semen together for a son, for a male, for a son who knows, for prosperity, for good offspring, for good strength."
1.19.6	Dhruva is the firm one, the firm-standing one, the firm one, firm-born, firm-established. You are the firm one, you protect me from the enemy.
1.19.7	The seven sages, having brought Arundhati to the first of the Krittikas, the firm one. "They carry the six Krittikas. May this eighth one shine for us." Arundhati.
1.19.8	For three nights they eat without salt or condiments, sleep on the ground, and observe celibacy.
1.20.2	Then, having placed her face to face with the face of the one whose meaning has been reversed, she breathes, saying, "This breath is the out-breath."
1.20.3	She responds to it with the out-breath.
1.20.4	Then, having washed her hands with the water in which she has sipped, she touches her with the formula, "I touch thee with the hand which holds the five-branched auspicious, non-hating, thousand-armed, glorious, and prosperous (hand) for the sake of good progeny."
1.20.5	When she is wearing dirty clothes, then he instructs her about the vows prohibited by the Brahmanas, saying, "When one is wearing dirty clothes."
1.19.9	Then at the end of the fourth watch, having kindled fire in the inner chamber, having offered the oblations of Jaya and Abhyatana, he offers these oblations: "O Agni, you are the atonement, you are the atonemeht of the gods. O Brahman, I seek refuge in you out of desire for protection. The body that causes the death of the husband, the death of offspring, the death of cattle, the death of prosperity, the death of the paramour - I make that body of her perish. Svāhā. O Vayu, you are the atonemnt, O Aditya, you are the aotnement, O Prajapati, you are the atoenmeht, you are the antonement of the gods. I seek refuge in the Brahman out of desire for proection. The body that is censured - we destroy that body from here. Svāhā."
1.20.6	On the fourth day, she bathes, wears a pure garment, and converses with Brahmins, and concludes with this Anuvaka: "May your mind be with my mind."
1.20.7	All the offerings should be accompanied by mantras, says Ashmarathi.
1.20.8	What is at the beginning and what is at the end, says Alekhana.
1.21.1	Then, in the fourth month of her first pregnancy, they perform the Sīmantonnayana ceremony for her.
1.21.2	In the bright fortnight, on an auspicious day, in the moonlit night, having cooked the oblation of rice and pulse, having kindled the fire within the house, having offered the oblations of Jaya and Abhyatana, and having offered the oblation to the protector of the kingdom, he offers these four oblations: "Bhūr Bhuvah Suvah Prajapati".
1.20.1	Then, having made her silent, and having approached with restrained speech, he says, "I am the male, you are the female. You are the sky, I am the earth. You are the Sama Veda, I am the Rig Veda. Come, let us both generate the semen together for a son, for a male, for a son who knows, for prosperity, for good offspring, for good strength."
1.20.2	Then, having placed her face to face with the face of the one whose meaning has been reversed, she breathes, saying, "This breath is the out-breath."
1.20.3	She responds to it with the out-breath.
1.21.3	With the three-pronged fork, he takes up three darbha-grass-tufts, and the shalalu-grass, and then, having determined the boundary, he raises it above the line. "The earth, the atmosphere, the heaven, the sky, the stars, the moon, the king Soma, the Brahmanas, the subjects, the wheel of the chariot turned back, seated on the bank of the Yamuna, on the bank of yours." On the bank of which one resides.
1.20.4	Then, having washed her hands with the water in which she has sipped, she touches her with the formula, "I touch thee with the hand which holds the five-branched auspicious, non-hating, thousand-armed, glorious, and prosperous (hand) for the sake of good progeny."
1.20.5	When she is wearing dirty clothes, then he instructs her about the vows prohibited by the Brahmanas, saying, "When one is wearing dirty clothes."
1.21.4	Having placed these in front of the fire, having taken out three cooked rice-balls, having sprinkled them with clarified butter, he places them. He places the fourth in a vessel with ten corners.
1.21.5	He asks each of them, looking at them, "What do you see?"
1.21.6	They reply, "Sons and cattle."
1.21.7	He should feed Brahmanas with one, Brahmani with one, and with one along with the boys. She eats.
1.20.6	On the fourth day, she bathes, wears a pure garment, and converses with Brahmins, and concludes with this Anuvaka: "May your mind be with my mind."
1.20.7	All the offerings should be accompanied by mantras, says Ashmarathi.
1.20.8	What is at the beginning and what is at the end, says Alekhana.
1.21.1	Then, in the fourth month of her first pregnancy, they perform the Sīmantonnayana ceremony for her.
1.21.8	Restrained in speech, he remains until the rising of the stars.
1.21.9	When the stars have risen, it is the same.
1.22.1	Now the rite for begetting a son.
1.22.2	In the third month, or on the fourth day, or with the asterism of Pushya, or with Hasta, or with Anuradha, or with the northern Prishthapada.
1.21.2	In the bright fortnight, on an auspicious day, in the moonlit night, having cooked the oblation of rice and pulse, having kindled the fire within the house, having offered the oblations of Jaya and Abhyatana, and having offered the oblation to the protector of the kingdom, he offers these four oblations: "Bhūr Bhuvah Suvah Prajapati".
1.22.3	Having brought the Nyagrodha wood, and having pounded it with a maiden who has not bathed, and having kindled fire in the house, and having offered oblations to Jaya and Ātānā, and to the Rāṣṭrabhṛt, one offers these four oblations: "He who has struck you with his heart," and so on.
1.22.4	Having placed her with her face towards the east, with her body stretched out, and having touched her right nostril with her thumb, he says, "May this be a male child."
1.22.5	She says, "Yes."
1.22.6	He generates a male child.
1.22.7	Now the quickening of the embryo.
1.21.3	With the three-pronged fork, he takes up three darbha-grass-tufts, and the shalalu-grass, and then, having determined the boundary, he raises it above the line. "The earth, the atmosphere, the heaven, the sky, the stars, the moon, the king Soma, the Brahmanas, the subjects, the wheel of the chariot turned back, seated on the bank of the Yamuna, on the bank of yours." On the bank of which one resides.
1.22.8	Having put on the sacrificial thread, having sipped water, having brought water from a stream in a pot not liked by others, having placed the pot on the ground, having dried the head, he touches it with ten fingers, saying, "I touch you with ten fingers, for the one with ten mouths, for the one who is pressed."
1.21.4	Having placed these in front of the fire, having taken out three cooked rice-balls, having sprinkled them with clarified butter, he places them. He places the fourth in a vessel with ten corners.
1.21.5	He asks each of them, looking at them, "What do you see?"
1.21.6	They reply, "Sons and cattle."
1.21.7	He should feed Brahmanas with one, Brahmani with one, and with one along with the boys. She eats.
1.22.9	Then he sprinkles her with water, saying, "As the wind blows and as the ocean moves, so may the child move and be born with the placenta."
1.22.10	If it does not fall down, then taking water in his hand, he sprinkles her on the head, saying, "Be born with the sesame seeds. You are not flesh, you are not a leaf. Be born."
1.21.8	Restrained in speech, he remains until the rising of the stars.
1.21.9	When the stars have risen, it is the same.
1.22.1	Now the rite for begetting a son.
1.22.2	In the third month, or on the fourth day, or with the asterism of Pushya, or with Hasta, or with Anuradha, or with the northern Prishthapada.
1.22.11	If the embryo is miscarried, he should rub it three times upwards of the navel with a moist hand, saying, "May Tvashtri bind thee with bonds, not too tight, not too loose, but just right. May the ten months be thy seasons, and may there be no barrenness."
1.23.1	He gives the gift to the one who has given birth.
1.22.3	Having brought the Nyagrodha wood, and having pounded it with a maiden who has not bathed, and having kindled fire in the house, and having offered oblations to Jaya and Ātānā, and to the Rāṣṭrabhṛt, one offers these four oblations: "He who has struck you with his heart," and so on.
1.23.2	Having placed the fire in the southern half of the house, having taken up mustard seeds mixed with the remnants of the oblation, and having offered them in a handful, he offers with the formula, "May Śaṇḍa, Mārka, Upavīra, Tuṇḍikera, Ulukha, and Cyavana perish from here, svāhā."
1.23.3	Thus the second, thus the third.
1.22.4	Having placed her with her face towards the east, with her body stretched out, and having touched her right nostril with her thumb, he says, "May this be a male child."
1.22.5	She says, "Yes."
1.22.6	He generates a male child.
1.22.7	Now the quickening of the embryo.
1.22.8	Having put on the sacrificial thread, having sipped water, having brought water from a stream in a pot not liked by others, having placed the pot on the ground, having dried the head, he touches it with ten fingers, saying, "I touch you with ten fingers, for the one with ten mouths, for the one who is pressed."
1.22.9	Then he sprinkles her with water, saying, "As the wind blows and as the ocean moves, so may the child move and be born with the placenta."
1.22.10	If it does not fall down, then taking water in his hand, he sprinkles her on the head, saying, "Be born with the sesame seeds. You are not flesh, you are not a leaf. Be born."
1.22.11	If the embryo is miscarried, he should rub it three times upwards of the navel with a moist hand, saying, "May Tvashtri bind thee with bonds, not too tight, not too loose, but just right. May the ten months be thy seasons, and may there be no barrenness."
1.23.1	He gives the gift to the one who has given birth.
1.23.4-7	Then the second one, the third one. Then the fourth one, the fifth one. Then another one, the sixth one. Then again another one, the seventh one. Then yet another one, the eighth one. Then still another one, the ninth one. Then one more, the tenth one. Then a further one, the eleventh one. Then once more, the twelfth one. Then finally, the thirteenth one. Then, "May the one who is the lord of the earth, the lord of the sky, the lord of heaven, the lord of all, the lord of everything, the lord of this world, the lord of that world, the lord who is the lord, the lord who has lordship, the lord who rules, the lord who governs, the lord who controls, the lord who commands, the lord who directs, the lord who guides, the lord who leads, the lord who protects, the lord who saves, the lord who rescues, the lord who liberates, the lord who frees, the lord who releases, the lord who sets free, the lord who grants freedom, the lord who bestows freedom, the lord of freedom, the lord, the supreme lord, the lord of lords, the lord of supreme lords, the lord who possesses lordship, the lord of lordship, the lord, may he be pleased with me." Then another one: "May the one whose name is Keśinī, Śvalomi, Khājā, and Bhoja
1.23.2	Having placed the fire in the southern half of the house, having taken up mustard seeds mixed with the remnants of the oblation, and having offered them in a handful, he offers with the formula, "May Śaṇḍa, Mārka, Upavīra, Tuṇḍikera, Ulukha, and Cyavana perish from here, svāhā."
1.23.3	Thus the second, thus the third.
1.23.8	Then the demons, sent by the king of demons, wearing mixed garments, going to the village with their sons, desiring to take those who are not given, saying, "Kill these, seize these," this Brahman messenger, Agni surrounded them, Indra surrounded them, Brihaspati surrounded them, I know them, the Brahman, the ones who break the teeth, the ones with long breasts, the ones with hanging breasts, Svāhā. The ones who move at night, the ones who own the waist, the ones with spears in their hands, the ones who drink from skulls, the one who moves at dawn, the one who looks at the family with a joint, the one who wakes up the sleeping one, the one whose mind is attached to the one who has given birth, you are the one who has the dark path, the one who has a weak heart, the liver, Agni burns the eyes, Svāhā.
1.23.9	In the same way, he comes out and enters in, day after day, until the tenth day.
1.24.1	If she gives birth to a male child, she touches him, saying, "May he grow."
1.24.2	Wrapping the middle leaf of a palāśa leaf, he whispers into his right ear, "May the earth be upon you."
1.24.3	"May the Bhuva be upon you" into the left ear.
1.23.4-7	Then the second one, the third one. Then the fourth one, the fifth one. Then another one, the sixth one. Then again another one, the seventh one. Then yet another one, the eighth one. Then still another one, the ninth one. Then one more, the tenth one. Then a further one, the eleventh one. Then once more, the twelfth one. Then finally, the thirteenth one. Then, "May the one who is the lord of the earth, the lord of the sky, the lord of heaven, the lord of all, the lord of everything, the lord of this world, the lord of that world, the lord who is the lord, the lord who has lordship, the lord who rules, the lord who governs, the lord who controls, the lord who commands, the lord who directs, the lord who guides, the lord who leads, the lord who protects, the lord who saves, the lord who rescues, the lord who liberates, the lord who frees, the lord who releases, the lord who sets free, the lord who grants freedom, the lord who bestows freedom, the lord of freedom, the lord, the supreme lord, the lord of lords, the lord of supreme lords, the lord who possesses lordship, the lord of lordship, the lord, may he be pleased with me." Then another one: "May the one whose name is Keśinī, Śvalomi, Khājā, and Bhoja
1.24.4	I place the Suva in you.
1.24.5	Or else, the left one twice and the right one once.
1.24.6	Then he recites over him: "Be thou a stone, be thou an axe, be thou gold spread out. Thou art named after Veda, son, mayst thou live a hundred autumns. May Savitar, the god, Sarasvati, the goddess, the two Asvins, the Pushkarasrajas, have bestowed on thee wisdom. Thou art named Veda, son, thou mayst live a hundred autums."
1.24.7	Then having mixed it with curd, honey and ghee, he makes him eat it three times with three darbha-grass-blades or with gold. He says, "I am eating the juice of water and plants. I am placing your life, lustre, fame and intellect in you. You are born by Savitri. Tvashtra has placed the hero. May you live for a hundred years. Bhuvah Suvah."
1.24.8	Then with his right hand he grasps the right hand of the sacrificer, with the thumb and the hair, with these mantras: "Agni is the life-giver."
1.24.9	Having anointed the hands with fresh butter, and holding gold in the hand,
1.23.8	Then the demons, sent by the king of demons, wearing mixed garments, going to the village with their sons, desiring to take those who are not given, saying, "Kill these, seize these," this Brahman messenger, Agni surrounded them, Indra surrounded them, Brihaspati surrounded them, I know them, the Brahman, the ones who break the teeth, the ones with long breasts, the ones with hanging breasts, Svāhā. The ones who move at night, the ones who own the waist, the ones with spears in their hands, the ones who drink from skulls, the one who moves at dawn, the one who looks at the family with a joint, the one who wakes up the sleeping one, the one whose mind is attached to the one who has given birth, you are the one who has the dark path, the one who has a weak heart, the liver, Agni burns the eyes, Svāhā.
1.25.1	Having heated it in the fire, he touches it with the formula, "I touch thee with the brilliance of Agni, with the lustre of Surya, with the strength of Indra, with the resolve of all the gods. Thou art born from limb to limb, thou art generated from the heart. Thou art the name of the son, thou art the self. Live for a hundred autumns."
1.25.2	Then he touches him with the Vatsapra formula, with the Anuvaka beginning with "Having gone around the heaven".
1.23.9	In the same way, he comes out and enters in, day after day, until the tenth day.
1.24.1	If she gives birth to a male child, she touches him, saying, "May he grow."
1.24.2	Wrapping the middle leaf of a palāśa leaf, he whispers into his right ear, "May the earth be upon you."
1.24.3	"May the Bhuva be upon you" into the left ear.
1.24.4	I place the Suva in you.
1.24.5	Or else, the left one twice and the right one once.
1.25.3	Where he lies down, he touches it and says, "I know your heart, O Earth, resting in the sky and the moon. I know the protector of the nectar of knowledge, the infant Rudra, the grandson of Agni."
1.25.4	Then he places him near his mother's lap and says, "May Rakshas not harm your son. May the cow not be too distant. May it be dear to the wealth, increasing in its own power."
1.24.6	Then he recites over him: "Be thou a stone, be thou an axe, be thou gold spread out. Thou art named after Veda, son, mayst thou live a hundred autumns. May Savitar, the god, Sarasvati, the goddess, the two Asvins, the Pushkarasrajas, have bestowed on thee wisdom. Thou art named Veda, son, thou mayst live a hundred autums."
1.25.5	He puts the breast to his mouth, saying, "May this boy suck the breast, may he have long life." "Thou hast given him life, splendour, fame and strength."
1.25.6	He makes her give the breast when she is seated, saying, "Where we speak and where we touch."
1.24.7	Then having mixed it with curd, honey and ghee, he makes him eat it three times with three darbha-grass-blades or with gold. He says, "I am eating the juice of water and plants. I am placing your life, lustre, fame and intellect in you. You are born by Savitri. Tvashtra has placed the hero. May you live for a hundred years. Bhuvah Suvah."
1.25.7	He places the pot of water on the head, reciting, "The waters are awake while the sleeping ones are asleep. Drive away the Rākṣasas from here."
1.25.8	They do not use these waters for drinking.
1.25.9	If she does not give birth for a long time, he should show her this garland.
1.25.10	When the garland is released, he should quickly remove it.
1.24.8	Then with his right hand he grasps the right hand of the sacrificer, with the thumb and the hair, with these mantras: "Agni is the life-giver."
1.24.9	Having anointed the hands with fresh butter, and holding gold in the hand,
1.25.11	Whenever there is a disease of childbirth, he moistens the right foot with hot water and then rubs that place where it hurts. "One hundred times he hears, 'O man, you are the one who has caused this disease. You are the one who is the lord of this disease.' He says, 'This is the remedy for the disease of childbirth.'
1.26.1	They carry away the fire of childbirth, and the fire of the house.
1.26.2	This is for the purpose of heating.
1.26.3	No rite is performed in it.
1.26.4	On the tenth day, the mother and son take a bath.
1.26.5	They make a clean room.
1.26.6	They carry away the fire from the house and the fire of childbirth.
1.26.7	Having kindled fire in the house, having offered oblations with the Jātavedas and the Jātaveda formulas, he offers these two oblations: "May Dhātā grant us wealth." Eight oblations.
1.26.8	On the tenth day, he gives the name to the son, consisting of two or four syllables, beginning with a sound, ending with a long vowel.
1.26.9	It is known as "established".
1.25.3	Where he lies down, he touches it and says, "I know your heart, O Earth, resting in the sky and the moon. I know the protector of the nectar of knowledge, the infant Rudra, the grandson of Agni."
1.25.4	Then he places him near his mother's lap and says, "May Rakshas not harm your son. May the cow not be too distant. May it be dear to the wealth, increasing in its own power."
1.25.5	He puts the breast to his mouth, saying, "May this boy suck the breast, may he have long life." "Thou hast given him life, splendour, fame and strength."
1.25.6	He makes her give the breast when she is seated, saying, "Where we speak and where we touch."
1.26.10	The father and mother should address him as "O son!"
1.26.11	"May my name be known first. The father and mother gave it to me first."
1.26.12	One should have two names.
1.26.13	"And from that, a brahmin is known as 'one with two names' or 'one who knows half'."
1.26.14	The second name should be after a constellation.
1.26.15	One of the two names should be secret, and they should address him with the other.
1.25.7	He places the pot of water on the head, reciting, "The waters are awake while the sleeping ones are asleep. Drive away the Rākṣasas from here."
1.25.8	They do not use these waters for drinking.
1.25.9	If she does not give birth for a long time, he should show her this garland.
1.25.10	When the garland is released, he should quickly remove it.
1.25.11	Whenever there is a disease of childbirth, he moistens the right foot with hot water and then rubs that place where it hurts. "One hundred times he hears, 'O man, you are the one who has caused this disease. You are the one who is the lord of this disease.' He says, 'This is the remedy for the disease of childbirth.'
1.27.1	Having gone away, the doe, having brought the Dūrvā grass, comes to the house. May the houses not be afraid, may they not be frightened. We come bearing nourishment. Bearing nourishment, with good will, with good radiance, I come to the houses, delighted in mind. To those whose absence is desired, to those where there is much delight, we invoke the houses. May they, the knowers, know us. These houses have returned to life, bearing nourishment, well-behaved for the world. Let the calf cry here, let the boy cry. The cows are many, always with their young. The cattle and horses are invoked, the goats and sheep are invoked. And also the broth of food is invoked in my house. We come bearing sustenance. I mix you with sustenance. Be happy. Do not be afraid.
1.26.1	They carry away the fire of childbirth, and the fire of the house.
1.26.2	This is for the purpose of heating.
1.26.3	No rite is performed in it.
1.26.4	On the tenth day, the mother and son take a bath.
1.26.5	They make a clean room.
1.26.6	They carry away the fire from the house and the fire of childbirth.
1.27.2	He throws it on the grass.
1.27.3	"He touches the door-posts, saying, "May Śiva be praised and measured."
1.27.4	" "He approaches, saying, "For your welfare, for your peace, I am approaching." He looks towards the south-east.
1.27.5	" "He recites the verse, "May you have safety, may I have safety." while his wife is approaching him. He recites the verse "May we all be with you."
1.26.7	Having kindled fire in the house, having offered oblations with the Jātavedas and the Jātaveda formulas, he offers these two oblations: "May Dhātā grant us wealth." Eight oblations.
1.26.8	On the tenth day, he gives the name to the son, consisting of two or four syllables, beginning with a sound, ending with a long vowel.
1.26.9	It is known as "established".
1.27.6	When the son is about to be born, he recites the formula, "You are born from limb to limb."
1.27.7	Then he should thrice smell the head of the child, reciting, "I smell you with the sound of animals, I smell you with the cry of Prajapati. May Prajapati grant you life. May you live for a hundred years. Earth, Heaven, Space.
1.26.10	The father and mother should address him as "O son!"
1.26.11	"May my name be known first. The father and mother gave it to me first."
1.26.12	One should have two names.
1.26.13	"And from that, a brahmin is known as 'one with two names' or 'one who knows half'."
1.26.14	The second name should be after a constellation.
1.26.15	One of the two names should be secret, and they should address him with the other.
1.27.8	"You have been born from all the vital airs, live for a hundred autumns." Thus to his daughter.
1.27.9	Then in the sixth month he makes him eat food.
1.27.10	His eating rite is the same as that which generates intelligence. He first makes him eat with the words "This is the earth," then the second with "This is the heaven," and the third with "This is Suvar."
1.28.1	Then they make the crown of the year-long boy, as the sage or as the teacher knows.
1.28.2	And it is known where the arrows fall, like the arrows of the young men, like many arrows.
1.27.1	Having gone away, the doe, having brought the Dūrvā grass, comes to the house. May the houses not be afraid, may they not be frightened. We come bearing nourishment. Bearing nourishment, with good will, with good radiance, I come to the houses, delighted in mind. To those whose absence is desired, to those where there is much delight, we invoke the houses. May they, the knowers, know us. These houses have returned to life, bearing nourishment, well-behaved for the world. Let the calf cry here, let the boy cry. The cows are many, always with their young. The cattle and horses are invoked, the goats and sheep are invoked. And also the broth of food is invoked in my house. We come bearing sustenance. I mix you with sustenance. Be happy. Do not be afraid.
1.28.3	Then having prepared the food and having fed the Brahmanas and having made them recite the benediction, having kindled the fire in the inner chamber, having offered the oblations of Jaya and Abhyanana and Rashtrabhrit, he offers these two oblations: "O Varuna, may this be fulfilled. I seek thee. Thou art Agni. Thou art Agni, O Agni. Thou art the Agni who goes without being blamed. Whatever transgression there is of this rite, O Prajapati."
1.28.4	Having offered the best (oblation), he gives a boon to the teacher.
1.28.5	Having placed a lump of cow-dung near the fire, and having placed the best of all seeds on the lump of cow- dung, having brought cold and hot water, he sprinkles it with the water, saying, "May the waters flow for your life, for long life, for prosperity."
1.27.2	He throws it on the grass.
1.27.3	"He touches the door-posts, saying, "May Śiva be praised and measured."
1.27.4	" "He approaches, saying, "For your welfare, for your peace, I am approaching." He looks towards the south-east.
1.27.5	" "He recites the verse, "May you have safety, may I have safety." while his wife is approaching him. He recites the verse "May we all be with you."
1.28.6	Having bound the three darbha-blades with a string, he places them with their tips upwards.
1.27.6	When the son is about to be born, he recites the formula, "You are born from limb to limb."
1.27.7	Then he should thrice smell the head of the child, reciting, "I smell you with the sound of animals, I smell you with the cry of Prajapati. May Prajapati grant you life. May you live for a hundred years. Earth, Heaven, Space.
1.28.7	"Having placed a red iron razor horizontally, he makes the offering with the formula, "O plant, protect him. O one who is self-existent, do not injure him." " He makes the offering with this formula, "The three-year life of the sages, the three-year life (of the life) of Jamadagni and Kasyapa, the three-years life of the gods, may that be my three-year life." " By which Pusan made the offering for the life of Brihaspati, Agni and Indra, by that I make the offering for your long life and prosperity." " In the same way, he makes the subsequent offering of the cow."
1.27.8	"You have been born from all the vital airs, live for a hundred autumns." Thus to his daughter.
1.27.9	Then in the sixth month he makes him eat food.
1.27.10	His eating rite is the same as that which generates intelligence. He first makes him eat with the words "This is the earth," then the second with "This is the heaven," and the third with "This is Suvar."
1.28.1	Then they make the crown of the year-long boy, as the sage or as the teacher knows.
1.28.2	And it is known where the arrows fall, like the arrows of the young men, like many arrows.
1.28.8	Having made the hair of the head soft, he places it in a ball of cow-dung.
1.28.9	Then he places that ball of cow- dung in the cow-pen, near water, at the foot of a fig tree, or on a clump of darbha grass.
1.28.10	Then they adorn him after bathing.
2.1.1	We shall explain the rite of hearing.
2.1.2	On the full moon day of Sravan, he prepares unbroken grains, unbroken barley-flour, and black collyrium.
2.1.3-4	Having kindled the fire in the inner chamber after the sun has set, having offered the oblations of victory and prosperity, having mixed together the rice grains and barley grains, he offers with the formula, "To Agni, the white lord of the earth, svāhā." He offers the first oblation.
1.28.3	Then having prepared the food and having fed the Brahmanas and having made them recite the benediction, having kindled the fire in the inner chamber, having offered the oblations of Jaya and Abhyanana and Rashtrabhrit, he offers these two oblations: "O Varuna, may this be fulfilled. I seek thee. Thou art Agni. Thou art Agni, O Agni. Thou art the Agni who goes without being blamed. Whatever transgression there is of this rite, O Prajapati."
1.28.4	Having offered the best (oblation), he gives a boon to the teacher.
1.28.5	Having placed a lump of cow-dung near the fire, and having placed the best of all seeds on the lump of cow- dung, having brought cold and hot water, he sprinkles it with the water, saying, "May the waters flow for your life, for long life, for prosperity."
2.1.5	The second one with the formula, "To the white Vāyu, the lord of the intermediate directions, svāhā."
2.1.6	The third one with the formula "To the lord of the divine directions, svāhã."
2.1.7	Having come out, he offers these oblations on the sacrificial grass.
2.1.8	Or, he offers the oblations with the formula, “You are the eastern direction named Samīci.”
1.28.6	Having bound the three darbha-blades with a string, he places them with their tips upwards.
2.1.9	The Dhānas for eating are prepared. The Dhānas with unbroken grains and unbroken barley grains are placed on a mound and is recited with the three verses, "Salutations to the serpents."
2.1.10	Then he sprinkles the ground as far as he wishes, saying, "May the serpents not come here." He sprinkles it with the water of the river flowing continuously, saying, "O white-footed one, destroy! Both before and after, and these seven human enemies and these three royal enemies. No serpent bit the teacher of Śveta. Obeisance to Śveta, the son of Vaidarbha.
1.28.7	"Having placed a red iron razor horizontally, he makes the offering with the formula, "O plant, protect him. O one who is self-existent, do not injure him." " He makes the offering with this formula, "The three-year life of the sages, the three-year life (of the life) of Jamadagni and Kasyapa, the three-years life of the gods, may that be my three-year life." " By which Pusan made the offering for the life of Brihaspati, Agni and Indra, by that I make the offering for your long life and prosperity." " In the same way, he makes the subsequent offering of the cow."
2.1.11	Then they eat the cooked rice, as much as is left over after the oblation.
2.1.12	Then for four months they offer oblations to the serpents.
2.1.13	They make the grains of barley useless, or whatever food is prepared.
2.2.1	Then on the full moon day of Āgrahāyaṇa, this rite is performed in the same way.
2.2.2	Whatever is done apart from the offering of cooked rice to Agni, all that is done.
2.2.3	One performs the rites on the Parvan days with the cooked rice offering to Agni.
1.28.8	Having made the hair of the head soft, he places it in a ball of cow-dung.
1.28.9	Then he places that ball of cow- dung in the cow-pen, near water, at the foot of a fig tree, or on a clump of darbha grass.
1.28.10	Then they adorn him after bathing.
2.1.1	We shall explain the rite of hearing.
2.1.2	On the full moon day of Sravan, he prepares unbroken grains, unbroken barley-flour, and black collyrium.
2.1.3-4	Having kindled the fire in the inner chamber after the sun has set, having offered the oblations of victory and prosperity, having mixed together the rice grains and barley grains, he offers with the formula, "To Agni, the white lord of the earth, svāhā." He offers the first oblation.
2.2.4	He offers these oblations in front of him. The place of Ida, moving and moving on ghee, O Jātavedas, accept this oblation. Whatever domestic animals there are of various forms, may their seven enjoyments be here for prosperity. Svāhā. The night which the gods welcome like a coming cow, the wife of the year, may she be auspicious for us. Svāhā, the Full Moon, increasing, passing from one half-month to another, may she protect us with fullness. Svāhā! May she be auspicious for the cattle, for the wives, auspicious at night, auspicious by day, arranging the year, may you be a wish-yielding cow for us. Svāhâ. You have come to fullness from behind, O Agni, O Prajāpati.
2.1.5	The second one with the formula, "To the white Vāyu, the lord of the intermediate directions, svāhā."
2.1.6	The third one with the formula "To the lord of the divine directions, svāhã."
2.1.7	Having come out, he offers these oblations on the sacrificial grass.
2.1.8	Or, he offers the oblations with the formula, “You are the eastern direction named Samīci.”
2.2.5	Thus three. Then he offers to Agni Svishtakrit with the formula, "Svāhā to Agni Svishta-krit."
2.2.6	Now the descent in the winter season.
2.1.9	The Dhānas for eating are prepared. The Dhānas with unbroken grains and unbroken barley grains are placed on a mound and is recited with the three verses, "Salutations to the serpents."
2.2.7	Where he is about to descend, he stands up. He says, "I stand in the kingdom, I stand in the country, I stand in horses, I stand in cows, I stand in progeny, in the auspicious and soft earth, may you be our protector, free from harm, the one who establishes, may you give us protection and prosperity."
2.3.1	We shall explain the rites related to the hall.
2.1.10	Then he sprinkles the ground as far as he wishes, saying, "May the serpents not come here." He sprinkles it with the water of the river flowing continuously, saying, "O white-footed one, destroy! Both before and after, and these seven human enemies and these three royal enemies. No serpent bit the teacher of Śveta. Obeisance to Śveta, the son of Vaidarbha.
2.1.11	Then they eat the cooked rice, as much as is left over after the oblation.
2.1.12	Then for four months they offer oblations to the serpents.
2.1.13	They make the grains of barley useless, or whatever food is prepared.
2.2.1	Then on the full moon day of Āgrahāyaṇa, this rite is performed in the same way.
2.3.2	When he is about to build a house, he should feed Brahmins on the full-moon day of a meritorious asterism, and then, having written down the Dhruva verse, he should erect the house. May the house stand firm, with ghee flowing. May all the heroes, the well-heroes, the unharmed-heroes follow you, O house. He erects the southern door-pillar: May the house stand firmly here, with horses, with cows, with truth, with energy, with milk, with ghee. May it be erected for great prosperity.
2.2.2	Whatever is done apart from the offering of cooked rice to Agni, all that is done.
2.2.3	One performs the rites on the Parvan days with the cooked rice offering to Agni.
2.3.3	"O Uttara, the young calf, the youthful one, has come to you with the moving (earth). The jar has come to you from the pot, the pitcher has come to you." He touches (the earth) at the junction.
