1.1.1	Now, the rites of the domestic fire.
1.15.4	Having cooked the rice-gruel mixed with sesamum and mudga-beans, having offered it to Prajapati, having sat on the auspicious seat behind the fire, with a pair of stalks of sugarcane, with a bunch of grapes, with three darbha-blades, with a three-stringed thread, with a Vīratara peg, with a full vessel, he draws the line upwards, saying, "Bhūr Bhuvah Svar."
1.15.5	with the great formulas.
1.15.6	He binds it with three (knots), saying, "This tree, the source of strength, may bear fruit for strength."
1.15.7	Then he says, "Let the singers of the vīṇā sing to the king, or whoever is more heroic."
1.14.4	Some say that it is the Kusha grass, the Soma-rays, and the Kūrma-bile.
1.14.5	If he desires that the semen should be vigorous, he should transform it and recite the mantra, "You are Suparna," before the steps of Vishnu.
1.15.1	Then comes the ceremony of the parting of the hair.
1.15.2	As in the Pumsavana rite.
1.15.3	In the sixth or eighth month of the first pregnancy.
1.15.8	Some recite this verse: "Soma alone is our king, these human beings. May he be released from the wheel, may he be on the bank for you." When one has settled near a river, one takes its name.
1.15.9	Then there is a meal for the Brahmins.
1.16.1	One sprinkles the bride with water, saying, "May she be released from the ten months." One says, "This is her."
1.15.4	Having cooked the rice-gruel mixed with sesamum and mudga-beans, having offered it to Prajapati, having sat on the auspicious seat behind the fire, with a pair of stalks of sugarcane, with a bunch of grapes, with three darbha-blades, with a three-stringed thread, with a Vīratara peg, with a full vessel, he draws the line upwards, saying, "Bhūr Bhuvah Svar."
1.16.2	Then let the lower part of the placenta fall down. Let the placenta be attached to the dog, the spotted one, for the sake of old age. Let the placenta not be attached to the flesh or to any place. Let the placenta fall down."
1.16.3	For the newly born child, when the umbilical cord is cut, he performs the rite of generating intelligence and longevity.
1.15.5	with the great formulas.
1.15.6	He binds it with three (knots), saying, "This tree, the source of strength, may bear fruit for strength."
1.15.7	Then he says, "Let the singers of the vīṇā sing to the king, or whoever is more heroic."
1.16.4	With the little finger hidden in gold, he makes her eat honey and ghee. He says, "May the earth be in you, may the Bhuva be in you, the Suva be in you. May the earth, the Bhuva, the Suva, everything be in you."
1.16.5	Then he performs the longevity rite for her.
1.15.8	Some recite this verse: "Soma alone is our king, these human beings. May he be released from the wheel, may he be on the bank for you." When one has settled near a river, one takes its name.
1.15.9	Then there is a meal for the Brahmins.
1.16.1	One sprinkles the bride with water, saying, "May she be released from the ten months." One says, "This is her."
1.16.2	Then let the lower part of the placenta fall down. Let the placenta be attached to the dog, the spotted one, for the sake of old age. Let the placenta not be attached to the flesh or to any place. Let the placenta fall down."
1.16.3	For the newly born child, when the umbilical cord is cut, he performs the rite of generating intelligence and longevity.
1.16.4	With the little finger hidden in gold, he makes her eat honey and ghee. He says, "May the earth be in you, may the Bhuva be in you, the Suva be in you. May the earth, the Bhuva, the Suva, everything be in you."
1.16.5	Then he performs the longevity rite for her.
1.16.6	He recites (the verse) at the navel or at the right ear: "Agni is the life-giver, he is the life-giving with the trees, with that life-giving I make you life-giving. Soma is the life-g iver, he is the lifc-giving with the herbs, with that lifegiving I make you lifc-giving. Brahma is the life-givcr, that is the life-giviug with the Brahmins, with that lifegivcr I make you lifegiving. The gods are the life-givers, they are the life-giving by immortality, with that lifegiver I make you lifegiver. The sages are the life-givers, they are the lifc-givers by vows, with that life giver I make you life giver. The fathers are the life-g iv ers, they are the li fe-givers by the offerings, with that life giving I make you life giving. The sacrifice is the life- giver, it is the life- giving by the gifts, with that life givcr I make you lifcgiving. The ocean is the life-give r, it is the lifcgiving by the flowing rivers, with that life gi ver I make you life gi ver."
1.16.7	Three times, three times, for three years of life.
1.16.8	If he wishes, "May he live the whole span of life," he should touch him with the Vatsapra.
1.16.9	He recites the last verse of this section, "From heaven."
1.16.10	Having placed five Brahmanas in each direction, he should say, "Inhale this."
1.16.11	The first one should say, "Breath."
1.16.12	The one on the right says, "Vyanam."
1.16.13	The one on the left says, "Apana."
1.16.14	The one in the north says, "Udana."
1.16.15	The fifth one, looking upwards, says, "Samana."
1.16.16	Or one can do it oneself if the others are not present.
1.16.6	He recites (the verse) at the navel or at the right ear: "Agni is the life-giver, he is the life-giving with the trees, with that life-giving I make you life-giving. Soma is the life-g iver, he is the lifc-giving with the herbs, with that lifegiving I make you lifc-giving. Brahma is the life-givcr, that is the life-giviug with the Brahmins, with that lifegivcr I make you lifegiving. The gods are the life-givers, they are the life-giving by immortality, with that lifegiver I make you lifegiver. The sages are the life-givers, they are the lifc-givers by vows, with that life giver I make you life giver. The fathers are the life-g iv ers, they are the li fe-givers by the offerings, with that life giving I make you life giving. The sacrifice is the life- giver, it is the life- giving by the gifts, with that life givcr I make you lifcgiving. The ocean is the life-give r, it is the lifcgiving by the flowing rivers, with that life gi ver I make you life gi ver."
1.16.17	He recites over the place where he is born, "I know your heart, O Earth, which is in Heaven and in the Moon. May he know that. May we see a hundred autumns, may we live a hundred autumns. May we hear a hundred autumns."
1.16.7	Three times, three times, for three years of life.
1.16.8	If he wishes, "May he live the whole span of life," he should touch him with the Vatsapra.
1.16.9	He recites the last verse of this section, "From heaven."
1.16.10	Having placed five Brahmanas in each direction, he should say, "Inhale this."
1.16.11	The first one should say, "Breath."
1.16.18	Then he touches him with the formula, "Be a stone, be an axe, be gold that does not melt. You are the son of the Self. Live for a hundred autumns."
1.16.19	Then he recites the formula for his mother, "You are the Ida, the wife of Mitra and Varuna. You have generated a hero. You have become the one who has heroes. You have made us the ones who have heroes."
1.16.12	The one on the right says, "Vyanam."
1.16.13	The one on the left says, "Apana."
1.16.14	The one in the north says, "Udana."
1.16.15	The fifth one, looking upwards, says, "Samana."
1.16.16	Or one can do it oneself if the others are not present.
1.16.20	Then she gives her the right breast, saying, "This is the breast."
1.16.21	The other one, saying, "Which is your breast?"
1.16.22	She places a vessel of water on the head, saying, "The waters are awake among the gods. As the waters are awake among gods, so be awake in this woman who has given birth to a son."
1.16.17	He recites over the place where he is born, "I know your heart, O Earth, which is in Heaven and in the Moon. May he know that. May we see a hundred autumns, may we live a hundred autumns. May we hear a hundred autumns."
1.16.18	Then he touches him with the formula, "Be a stone, be an axe, be gold that does not melt. You are the son of the Self. Live for a hundred autumns."
1.16.19	Then he recites the formula for his mother, "You are the Ida, the wife of Mitra and Varuna. You have generated a hero. You have become the one who has heroes. You have made us the ones who have heroes."
1.16.23	Having placed the fire of childbirth at the door, he throws mustard seeds mixed with fruit into the fire at the time of rising and the joints, saying, "May Shanda, Maraka, Upvira, Shoundikeya, Ulukhala, Malimlucha, Dronasa, and Chyavana perish from here, svāhā. May the one who draws, the one who is motionless, the one who speaks, the one who listens, the one who has a lion's eyes, the one who holds a pot, the one who strikes, the one who opens the mouth, the one who resembles mustard seeds, and Chyavana be destroyed from here, svāhā."
1.16.20	Then she gives her the right breast, saying, "This is the breast."
1.16.21	The other one, saying, "Which is your breast?"
1.16.22	She places a vessel of water on the head, saying, "The waters are awake among the gods. As the waters are awake among gods, so be awake in this woman who has given birth to a son."
1.16.24	If the boy is afflicted, he should be covered with a net or a cloth and his father should recite the following mantra: "Kuurkura, Sukuurkura, Kuurkura, the child-binding one, if you are a dog, release him. May you be blessed. The one who speaks lies, the one who is called the dog, that is true. The gods have given you a boon. You can choose either the boy or the dog. If you are a dog..." "May you be blessed. May the one who speaks lies be released. That is true. Your mother is Saramā, your father is Sīsara, your brothers are Śyāmashābala. If you are..."
1.16.23	Having placed the fire of childbirth at the door, he throws mustard seeds mixed with fruit into the fire at the time of rising and the joints, saying, "May Shanda, Maraka, Upvira, Shoundikeya, Ulukhala, Malimlucha, Dronasa, and Chyavana perish from here, svāhā. May the one who draws, the one who is motionless, the one who speaks, the one who listens, the one who has a lion's eyes, the one who holds a pot, the one who strikes, the one who opens the mouth, the one who resembles mustard seeds, and Chyavana be destroyed from here, svāhā."
1.16.25	He does not touch, does not bend, does not cry, does not rejoice, does not become languid, where we say and where he touches.
1.17.1	On the tenth day, having raised him, having fed the Brahmanas, the father gives a name.
1.17.2	A two-syllable or four-syllable name, with sound at the beginning, middle and end, with long vowels, should be given, not one that is harmful.
1.17.3	The feminine form of a word ending in ā is formed by adding the affix taddhita.
1.17.4	The word śarman is for a brahmin, varman is for a kshatriya, and guhni is for a vaishya.
1.17.5	In the fourth month, there is the ceremony of leaving the house.
1.17.6	One looks at the sun and says, "This is your eye."
1.18.1	Having gone out, one stands in front of the house as before.
1.16.24	If the boy is afflicted, he should be covered with a net or a cloth and his father should recite the following mantra: "Kuurkura, Sukuurkura, Kuurkura, the child-binding one, if you are a dog, release him. May you be blessed. The one who speaks lies, the one who is called the dog, that is true. The gods have given you a boon. You can choose either the boy or the dog. If you are a dog..." "May you be blessed. May the one who speaks lies be released. That is true. Your mother is Saramā, your father is Sīsara, your brothers are Śyāmashābala. If you are..."
1.18.2	Seeing the son, he recites: "You arise from limb to limb, you are born from the heart. Your name is Ātman, may you live for a hundred autumns."
1.18.3	Then he smells his head, saying: "I smell you with the sound of Prajapati, may you live a thousand years and live for a hundred years."
1.16.25	He does not touch, does not bend, does not cry, does not rejoice, does not become languid, where we say and where he touches.
1.17.1	On the tenth day, having raised him, having fed the Brahmanas, the father gives a name.
1.17.2	A two-syllable or four-syllable name, with sound at the beginning, middle and end, with long vowels, should be given, not one that is harmful.
1.18.4	"He mutters three times, 'I invoke thee with the lowing of cows,' at his right ear. 'O Indra, thou who art bountiful, thou who art rich in strength, do thou bestow on us the wealth of the lord of the universe. Grant us a hundred autumns for life. Grant us heroes, O Indra, ever and ever.'
1.17.3	The feminine form of a word ending in ā is formed by adding the affix taddhita.
1.17.4	The word śarman is for a brahmin, varman is for a kshatriya, and guhni is for a vaishya.
1.17.5	In the fourth month, there is the ceremony of leaving the house.
1.17.6	One looks at the sun and says, "This is your eye."
1.18.1	Having gone out, one stands in front of the house as before.
1.18.2	Seeing the son, he recites: "You arise from limb to limb, you are born from the heart. Your name is Ātman, may you live for a hundred autumns."
1.18.3	Then he smells his head, saying: "I smell you with the sound of Prajapati, may you live a thousand years and live for a hundred years."
1.19.2	Having cooked the oblation of rice, having poured the portions of clarified butter, he offers oblations of clarified butter, reciting the verse, "The gods generated speech, the goddess. All beings speak in various forms. May she, the cow, the nourisher of strength, the milker, come to us with good praise. Svāhā."
1.19.3	And the second one, "May we be victorious today."
1.18.4	"He mutters three times, 'I invoke thee with the lowing of cows,' at his right ear. 'O Indra, thou who art bountiful, thou who art rich in strength, do thou bestow on us the wealth of the lord of the universe. Grant us a hundred autumns for life. Grant us heroes, O Indra, ever and ever.'
1.19.4	He offers the cooked rice with the formula, "May I eat food with Prāṇa, Svāhā. May I eat scents with Apāna, Svāhā; may I eat forms with Cakṣus, Svāhā, may I eat fame with Śrotra, Svāhā."
1.19.5	At the end of eating, having taken all the tastes and all the food together, he should make him eat.
1.19.6	Or silently, as it is heard that men say "Hantā" (i.e. "Let it be done").
1.18.5	O Indra, bestow on us the best of riches, the mind of the Dakshina, the prosperity of the auspicious, the nourishment of the wealth, the safety of the bodies, the sweetness of speech, and the good day of the day. On the left.
1.18.6	To the woman, he kisses only the head silently.
1.19.1	In the sixth month, the child is fed with food.
1.19.7	For one who desires to spread his speech, with the flesh of Bharadvaja.
1.19.8	For one who desires food, with the flesh Kapinjala.
1.19.9	For one desiring speed, with fish.
1.19.10	For one desirous of longevity, with the flesh Krikasa.
1.19.11	For one longing for brahmic glory, with the flesh Ata.
1.19.12	For one with all desires, with all.
1.19.13	The food of Brahmanas is a synonym for food.
1.19.2	Having cooked the oblation of rice, having poured the portions of clarified butter, he offers oblations of clarified butter, reciting the verse, "The gods generated speech, the goddess. All beings speak in various forms. May she, the cow, the nourisher of strength, the milker, come to us with good praise. Svāhā."
1.19.3	And the second one, "May we be victorious today."
2.1.1	The ceremony of tonsuring the head of a Samvatsarika (a person who has completed his 16th year).
2.1.2	Or in the third year, when he is invincible.
2.1.3	The hair is cut off when he is sixteen years old.
2.1.4	Or according to the auspicious time of all.
2.1.5	Having fed the Brahmins, the mother takes the boy, dresses him in new clothes, holds him in her lap, and sits behind the fire.
1.19.4	He offers the cooked rice with the formula, "May I eat food with Prāṇa, Svāhā. May I eat scents with Apāna, Svāhā; may I eat forms with Cakṣus, Svāhā, may I eat fame with Śrotra, Svāhā."
1.19.5	At the end of eating, having taken all the tastes and all the food together, he should make him eat.
1.19.6	Or silently, as it is heard that men say "Hantā" (i.e. "Let it be done").
2.1.6	Having offered the oblations of ghee, he sprinkles the cold water with hot water at the end of eating, saying, "O Aditi, sprinkle the hair with hot water and wind."
2.1.7	"Hair and beard" is said at the end of hair.
2.1.8	Here he places a lump of ghee, a lump of clarified butter, or curd.
2.1.9	Then taking the right hand, he sprinkles the cow with the verse, "May the divine waters, born of Savitri, sprinkle your body for long life and prosperity."
2.1.10	Placing three fresh blades of grass in the middle, he arranges them with a three-pronged fork, saying, "O herb."
1.19.7	For one who desires to spread his speech, with the flesh of Bharadvaja.
1.19.8	For one who desires food, with the flesh Kapinjala.
1.19.9	For one desiring speed, with fish.
1.19.10	For one desirous of longevity, with the flesh Krikasa.
1.19.11	For one longing for brahmic glory, with the flesh Ata.
1.19.12	For one with all desires, with all.
1.19.13	The food of Brahmanas is a synonym for food.
2.1.11	Taking up the razor named Śiva, he says, "I am returning." He shaves with it. The one who knows the razor of Savitr, the king Soma, and Varuna, shaves with it, saying, "This is the life of this one, the old teeth as they are."
2.1.12	Shaving the hair, he throws it into a cow-dung ball, placing it to the north.
2.1.13	In this way, he shaves twice more, silently.
2.1.1	The ceremony of tonsuring the head of a Samvatsarika (a person who has completed his 16th year).
2.1.2	Or in the third year, when he is invincible.
2.1.3	The hair is cut off when he is sixteen years old.
2.1.4	Or according to the auspicious time of all.
2.1.5	Having fed the Brahmins, the mother takes the boy, dresses him in new clothes, holds him in her lap, and sits behind the fire.
2.1.6	Having offered the oblations of ghee, he sprinkles the cold water with hot water at the end of eating, saying, "O Aditi, sprinkle the hair with hot water and wind."
2.1.7	"Hair and beard" is said at the end of hair.
2.1.8	Here he places a lump of ghee, a lump of clarified butter, or curd.
2.1.14	And for the other two, the shaving etc.
2.1.15	Then after that, the three-life (mantra).
2.1.16	Then after that (the mantra) by which the wind blows from the north, the sun shines from the west, I shave you with the Brahman for life, for living, for good fame, for well-being.
2.1.17	Three times he shaves the head clockwise, facing the mirror, at the end of the hair.
2.1.9	Then taking the right hand, he sprinkles the cow with the verse, "May the divine waters, born of Savitri, sprinkle your body for long life and prosperity."
2.1.10	Placing three fresh blades of grass in the middle, he arranges them with a three-pronged fork, saying, "O herb."
2.1.18	When he cuts off the hair with the razor, he says, "Do thou cut off the hair of him who is being shaved, do thou cut off the head, do thou not take away his life."
2.1.19	And at the end of the hair, "The face."
2.1.20	With those waters he gives the razor to the one who is being shaved with the head raised, saying, "Do not cut."
2.1.21	The remaining hair is cut in an auspicious manner.
2.1.11	Taking up the razor named Śiva, he says, "I am returning." He shaves with it. The one who knows the razor of Savitr, the king Soma, and Varuna, shaves with it, saying, "This is the life of this one, the old teeth as they are."
2.1.12	Shaving the hair, he throws it into a cow-dung ball, placing it to the north.
2.1.13	In this way, he shaves twice more, silently.
2.1.22	Having placed the cow-dung ball with hair in a hidden place in the cow-pen, in a marsh or near water, he gives a boon to the preceptor.
2.1.23	A cow at the end of hair.
2.1.24	One should observe celibacy for a year, and shaving at the end of the hair for twelve nights, six nights, or three nights at least.
2.2.1	One should initiate a Brahmin at eight years, or at the eighth month of conception.
2.2.2	A Kshatriya at eleven years.
2.1.14	And for the other two, the shaving etc.
2.1.15	Then after that, the three-life (mantra).
2.1.16	Then after that (the mantra) by which the wind blows from the north, the sun shines from the west, I shave you with the Brahman for life, for living, for good fame, for well-being.
2.1.17	Three times he shaves the head clockwise, facing the mirror, at the end of the hair.
2.2.3	The Vaisya should be twelve years old.
2.2.4	Or according to the auspiciousness of all.
2.2.5	He should feed the Brahmins and bring him with his head covered and adorned.
2.2.6	After placing him behind the fire, he makes him recite "I have come to live the life of a celibate" and "I am a celibate".
2.1.18	When he cuts off the hair with the razor, he says, "Do thou cut off the hair of him who is being shaved, do thou cut off the head, do thou not take away his life."
2.1.19	And at the end of the hair, "The face."
2.1.20	With those waters he gives the razor to the one who is being shaved with the head raised, saying, "Do not cut."
2.1.21	The remaining hair is cut in an auspicious manner.
2.2.7	Then he makes him put on the garment, with the verse, "With what garment Brihaspati put on Indra, with that I put thee on for long life, for strength and lustre."
2.2.8	He ties the girdle, with the verse: "This (girdle) has come to me, purifying the colour, the purifying, repelling the ill-spoken, bestowing strength on the vital airs, the auspicious sister, the goddess, the girdle."
2.2.9	The young man, well-dressed, comes forth, he becomes better and better as he is born. The wise ones lead him with their minds, the poets with their minds, they who desire the gods.
2.2.10	Or silently.
2.1.22	Having placed the cow-dung ball with hair in a hidden place in the cow-pen, in a marsh or near water, he gives a boon to the preceptor.
2.1.23	A cow at the end of hair.
2.1.24	One should observe celibacy for a year, and shaving at the end of the hair for twelve nights, six nights, or three nights at least.
2.2.1	One should initiate a Brahmin at eight years, or at the eighth month of conception.
2.2.2	A Kshatriya at eleven years.
2.2.3	The Vaisya should be twelve years old.
2.2.4	Or according to the auspiciousness of all.
2.2.5	He should feed the Brahmins and bring him with his head covered and adorned.
2.2.6	After placing him behind the fire, he makes him recite "I have come to live the life of a celibate" and "I am a celibate".
2.2.11	The sacred thread of the sacrifice, the supreme purifier, which is Prajapati's natural thread in front, the life-giving, foremost, bright one, let it be released. May the sacred thread be strength and energy. You are the sacred thread of the sacrificial thread. I bind you with the sacred thread. Then he gives the antelope skin: "The eye of Mitra, the most enduring, the most powerful, the glorious, the aged, the blazing, the unstruck, the garment of the aged, I have put on the antelope skin, the garment of strength." He gives the staff: "The staff is the staff of the sacrifice. I bind you, the staff, with the staff."
2.2.7	Then he makes him put on the garment, with the verse, "With what garment Brihaspati put on Indra, with that I put thee on for long life, for strength and lustre."
2.2.8	He ties the girdle, with the verse: "This (girdle) has come to me, purifying the colour, the purifying, repelling the ill-spoken, bestowing strength on the vital airs, the auspicious sister, the goddess, the girdle."
2.2.12	He receives it with the formula, "The rod which has fallen on me from the sky, I take it back for life, for Brahman, for Brahmic glory."
2.2.13	Some perform the long Sattra at the time of initiation.
2.2.14	Then he fills the cup with water with the formula, “O waters, you are the strength."
2.2.15	Then he looks at the sun with the formula, "This is the eye.
2.2.9	The young man, well-dressed, comes forth, he becomes better and better as he is born. The wise ones lead him with their minds, the poets with their minds, they who desire the gods.
2.2.10	Or silently.
2.2.16	Then he places the heart on his right shoulder: "I place your heart in my vow. May your mind be in accordance with my mind. May you listen to my speech with a single mind. May Brihaspati unite you with me."
2.2.17	Then, taking his right hand, he asks, "What is your name?"
2.2.18	He replies, "I am so-and-so."
2.2.19	Then he asks him, "Whose student of Brahman are you?"
2.2.20	When he is told, "Yours," he says, "Indra is the student of Brahman, Agni is the teacher. I am your teacher. You are my student."
2.2.11	The sacred thread of the sacrifice, the supreme purifier, which is Prajapati's natural thread in front, the life-giving, foremost, bright one, let it be released. May the sacred thread be strength and energy. You are the sacred thread of the sacrificial thread. I bind you with the sacred thread. Then he gives the antelope skin: "The eye of Mitra, the most enduring, the most powerful, the glorious, the aged, the blazing, the unstruck, the garment of the aged, I have put on the antelope skin, the garment of strength." He gives the staff: "The staff is the staff of the sacrifice. I bind you, the staff, with the staff."
2.2.21	Then he gives him over to the elements: "I give you over to Prajapati, I give you over to the god Savitr, I give you to the waters, to the plants, I give you (over) to heaven and earth, I give you up to all the gods, I give you all over to all the elements, for safety."
2.2.12	He receives it with the formula, "The rod which has fallen on me from the sky, I take it back for life, for Brahman, for Brahmic glory."
2.2.13	Some perform the long Sattra at the time of initiation.
2.2.14	Then he fills the cup with water with the formula, “O waters, you are the strength."
2.2.15	Then he looks at the sun with the formula, "This is the eye.
2.3.1	Having circumambulated the fire, he sits down.
2.3.2	Having offered oblations of ghee in succession, at the end of eating, he instructs him thus: "O Brahmachari, eat water, perform the rite, do not sleep during the day, control your speech, add fuel to the fire, and eat water."
2.2.16	Then he places the heart on his right shoulder: "I place your heart in my vow. May your mind be in accordance with my mind. May you listen to my speech with a single mind. May Brihaspati unite you with me."
2.2.17	Then, taking his right hand, he asks, "What is your name?"
2.2.18	He replies, "I am so-and-so."
2.3.3	Then he recites the Savitri verse to him, facing towards the north, sitting facing the fire, having approached, looking at, and being looked at.
2.3.4	Some say: Standing to the right, sitting to the left.
2.3.5	Reciting the entire verse in the reverse order, repeating the third verse together.
2.3.6	In a year, six months, twenty-four days, twelve days, six days, or three days.
2.2.19	Then he asks him, "Whose student of Brahman are you?"
2.2.20	When he is told, "Yours," he says, "Indra is the student of Brahman, Agni is the teacher. I am your teacher. You are my student."
2.3.7	The Brāhmaṇa should recite the Gāyatrī verse immediately. Because the Brāhmaṇa is related to Agni, as stated in the Vedas.
2.3.8	The Tristubh verse for the Kṣatriya.
2.3.9	The Jagatī verse for the Vaiśya.
2.3.10	Or the Gāyatrī verse for all.
2.4.1	Here is the offering of Samit wood.
2.2.21	Then he gives him over to the elements: "I give you over to Prajapati, I give you over to the god Savitr, I give you to the waters, to the plants, I give you (over) to heaven and earth, I give you up to all the gods, I give you all over to all the elements, for safety."
2.4.2	With his hand he touches the fire. "He says, "O Agni, make me famous. Make me famous like you, O Agni, who are famous. Make me like you, O famous Agni. Like you, O Agni who are the guardian of the sacrifice of the gods, may I be the guardian of the Veda of men."
2.3.1	Having circumambulated the fire, he sits down.
2.3.2	Having offered oblations of ghee in succession, at the end of eating, he instructs him thus: "O Brahmachari, eat water, perform the rite, do not sleep during the day, control your speech, add fuel to the fire, and eat water."
2.4.3	Having circumambulated the fire, he rises and places the kindling wood, saying, "I have brought kindling wood to Agni, the great, the all-knowing. Just as you, O Agni, are kindled with kindling wood, so may I be kindled with life, intelligence, radiance, offspring, cattle, and brahmic glory. May my teacher, the son of life, be intelligent, not causing harm, glorious, radiant, and endowed with brahmic glory. Svāhā!"
2.3.3	Then he recites the Savitri verse to him, facing towards the north, sitting facing the fire, having approached, looking at, and being looked at.
2.3.4	Some say: Standing to the right, sitting to the left.
2.3.5	Reciting the entire verse in the reverse order, repeating the third verse together.
2.3.6	In a year, six months, twenty-four days, twelve days, six days, or three days.
2.4.4	Thus the second and the third.
2.4.5	This is the union.
2.4.6	As before, in the collection and sprinkling.
2.4.7	Having heated the hands and cleansed the mouth, "O Agni, you are the body, protect my body. O Agni, you are life-giving, give me life. O Agni, life-giving, you are Agni, give me life-giving. O Agni, give me radiance. O Agni, radiance-giving, you give me radiance. Whatever is deficient in my body, O Agni, fill that."
2.3.7	The Brāhmaṇa should recite the Gāyatrī verse immediately. Because the Brāhmaṇa is related to Agni, as stated in the Vedas.
2.3.8	The Tristubh verse for the Kṣatriya.
2.3.9	The Jagatī verse for the Vaiśya.
2.3.10	Or the Gāyatrī verse for all.
2.4.1	Here is the offering of Samit wood.
2.4.2	With his hand he touches the fire. "He says, "O Agni, make me famous. Make me famous like you, O Agni, who are famous. Make me like you, O famous Agni. Like you, O Agni who are the guardian of the sacrifice of the gods, may I be the guardian of the Veda of men."
2.4.8	May the god Savitar bestow on me intelligence; may the goddess Sarasvati bestow on me intelligence. May the two divine Asvins, wearing garlands of lotus flowers, bestow on me intelligence."
2.5.1	Herein is the practice of begging.
2.5.2	A brahmin should beg from one who is superior to him.
2.5.3	A kshatriya should beg from one equal to him.
2.5.4	And a vaishya should beg from one inferior to him.
2.5.5	There are three kinds of begging:
2.5.6	Six, twelve, or unlimited.
2.4.3	Having circumambulated the fire, he rises and places the kindling wood, saying, "I have brought kindling wood to Agni, the great, the all-knowing. Just as you, O Agni, are kindled with kindling wood, so may I be kindled with life, intelligence, radiance, offspring, cattle, and brahmic glory. May my teacher, the son of life, be intelligent, not causing harm, glorious, radiant, and endowed with brahmic glory. Svāhā!"
2.5.11	The holding of a staff, the serving of fire, the obedience to the teacher, and the practice of begging.
2.5.12	One should avoid honey, meat, fish, oil, sleeping on a high bed, sexual intercourse, and untruthful and improper speech.
2.5.13	One should practice Vedic celibacy for forty-eight years.
2.5.14	Twelve or twelve years for each Veda.
2.5.15	Or until one grasps it.
2.5.16	The garments are made of hemp, silk, or wool.
2.4.4	Thus the second and the third.
2.4.5	This is the union.
2.4.6	As before, in the collection and sprinkling.
2.4.7	Having heated the hands and cleansed the mouth, "O Agni, you are the body, protect my body. O Agni, you are life-giving, give me life. O Agni, life-giving, you are Agni, give me life-giving. O Agni, give me radiance. O Agni, radiance-giving, you give me radiance. Whatever is deficient in my body, O Agni, fill that."
2.4.8	May the god Savitar bestow on me intelligence; may the goddess Sarasvati bestow on me intelligence. May the two divine Asvins, wearing garlands of lotus flowers, bestow on me intelligence."
2.5.1	Herein is the practice of begging.
2.5.2	A brahmin should beg from one who is superior to him.
2.5.3	A kshatriya should beg from one equal to him.
2.5.4	And a vaishya should beg from one inferior to him.
2.5.5	There are three kinds of begging:
2.5.6	Six, twelve, or unlimited.
2.5.17	The skin of the black antelope is the upper garment of a Brāhmaṇa.
2.5.18	The skin of the tiger is that of a Kṣatriya.
2.5.19	The skin either of a goat or of a cow is that of a Vaiśya.
2.5.20	Or, the skin of a cow may be used by all, because it is the most important.
2.5.21	The girdle is made of muñja grass for a Brāhmaṇ.
2.5.22	The bow-string is that of a Ksatriya.
2.5.23	A muñja grass is that of a Vaisya.
2.5.24	In the absence of muñja grass, the girdle may be made of kusha grass, ashmantaka grass, and balbaja grass.
2.5.25	The staff is made of palāśa wood for a Brāhman.
2.5.7	Some say that the mother is the first.
2.5.8	Some say that after offering alms to the teacher, one should remain silent for the rest of the day.
2.5.9	Without harming, one should bring fire-sticks from the forest, place them in the fire as before, and release speech.
2.5.10	One should sleep on the ground, eating without salt or condiments.
2.5.26	The Bilva wood is for the Kshatriya.
2.5.27	The Udumbara wood is for the Vaishya. The length of the wood should be equal to the hair of the Brahmana, the forehead of the Kshatriya, and the nose of the Vaishya, or all of them may be of the same length.
2.5.28	When called by the teacher, one should rise and listen.
2.5.29	If the teacher is lying down, one should rise. If the teacher is sitting, one should stand. If the teacher stands, one should walk forward. If the teacher walks forward, one should run.
2.5.11	The holding of a staff, the serving of fire, the obedience to the teacher, and the practice of begging.
2.5.12	One should avoid honey, meat, fish, oil, sleeping on a high bed, sexual intercourse, and untruthful and improper speech.
2.5.13	One should practice Vedic celibacy for forty-eight years.
2.5.14	Twelve or twelve years for each Veda.
2.5.15	Or until one grasps it.
2.5.16	The garments are made of hemp, silk, or wool.
2.5.30	Thus living, he is said to be a Snātaka.
2.5.31	There are three kinds of Snātakas: one who has completed his studies, one who has completed the Vrata, and one who has completed both.
2.5.32	One who has completed the Veda but not the Vrata and returns is called a Vidyāsnātaka.
2.5.33-37	One who has completed the vow but not the Veda, and returns home, is called a Vratasnataka. One who has completed both is called a Vidya-Vratasnataka.
2.5.17	The skin of the black antelope is the upper garment of a Brāhmaṇa.
2.5.18	The skin of the tiger is that of a Kṣatriya.
2.5.19	The skin either of a goat or of a cow is that of a Vaiśya.
2.5.20	Or, the skin of a cow may be used by all, because it is the most important.
2.5.21	The girdle is made of muñja grass for a Brāhmaṇ.
2.5.22	The bow-string is that of a Ksatriya.
2.5.23	A muñja grass is that of a Vaisya.
2.5.24	In the absence of muñja grass, the girdle may be made of kusha grass, ashmantaka grass, and balbaja grass.
2.5.25	The staff is made of palāśa wood for a Brāhman.
2.5.38	From this point onwards, they are excluded from the Savitri-chanting.
2.5.39	They should not be initiated, taught, or officiated at sacrifices. They should not be dealt with.
2.5.40	If the time limit is exceeded, it is as prescribed.
2.5.41	The initiation and teaching of the offspring of those who have fallen from the Savitri chant for three generations is not allowed.
2.5.26	The Bilva wood is for the Kshatriya.
2.5.27	The Udumbara wood is for the Vaishya. The length of the wood should be equal to the hair of the Brahmana, the forehead of the Kshatriya, and the nose of the Vaishya, or all of them may be of the same length.
