1.1.1	We shall explain the Upanayana.
1.11.5	When the Trikakud eye-collyrium was produced on the Himālaya, then I anoint you with that, with the eye-collyriun and with radiance, on me, the mountain-man. He is anointed with the Trikakud collyrium. When that is not available, with whatever is available.
1.11.6	"When my mind has gone astray, he looks at it in a mirror."
1.11.7	Taking the bamboo stick with the formula, "For the god thee", he cleanses it thrice upwards with the formula, “Indra’s thunderbolt, may the Asvins protect thee.”
1.11.8	O Danda, protect us from the fear of thieves, serpents, birds, demons, pisacas, and human beings. Protect us from all fears. Destroy all thieves. You are born from all trees without fire. You are the destroyer of enemies. Destroy all groups of enemies, like Maghavan. He moves clockwise three times, raising his head higher and higher.
1.11.2	With the seasons, with the months, for life, for radiance, with the year's prosperity, with that do thou bless me. He takes up the earrings.
1.11.3	O plant, thou art the saviour, the supporter, the strong one, may it make me golden-coloured, dear to men, shining with holy lustre. Thou art the noose. He releases the gem from the neck.
1.11.4	O auspicious one, mount the auspicious one, adorning my face. Adorn my face and make it more radiant. Yama, the fire, has taken the thread. For her, for her desire, I release this with the Bhaga. With the two verses, he releases the garland.
1.11.9	"O Goddess, be established! Do not let me be tormented!" He puts on the sandals.
1.11.10	"You are the refuge of Prajapati, the shade of Brahma." He takes the umbrella.
1.11.11	"The staff that fell from me in the sky and on the ground, I take it again for life and strength." He takes the staff again if it falls from his hand.
1.12.1	They bring him a chariot, a horse, or an elephant.
1.11.5	When the Trikakud eye-collyrium was produced on the Himālaya, then I anoint you with that, with the eye-collyriun and with radiance, on me, the mountain-man. He is anointed with the Trikakud collyrium. When that is not available, with whatever is available.
1.11.6	"When my mind has gone astray, he looks at it in a mirror."
1.11.7	Taking the bamboo stick with the formula, "For the god thee", he cleanses it thrice upwards with the formula, “Indra’s thunderbolt, may the Asvins protect thee.”
1.11.8	O Danda, protect us from the fear of thieves, serpents, birds, demons, pisacas, and human beings. Protect us from all fears. Destroy all thieves. You are born from all trees without fire. You are the destroyer of enemies. Destroy all groups of enemies, like Maghavan. He moves clockwise three times, raising his head higher and higher.
1.12.3	"Thou art a horse, thou art a steed, thou art a bay," with these eleven names of horses, one should consecrate a horse if it is a horse.
1.12.4	"I sit upon thee with Indra's thunderbolt. Carry time, carry prosperity, carry me. Thou art an elephant, thou art the glory of an elephant, thou are the splendour of an elephant. May I be the glory and splendour of an elephant," with this one should consecrate an elephant if it is an elephant.
1.11.9	"O Goddess, be established! Do not let me be tormented!" He puts on the sandals.
1.11.10	"You are the refuge of Prajapati, the shade of Brahma." He takes the umbrella.
1.11.11	"The staff that fell from me in the sky and on the ground, I take it again for life and strength." He takes the staff again if it falls from his hand.
1.12.5	It goes to where those who are doing the honouring are.
1.12.6	"May the directions flow towards me, may all the truths come together, may all our desires be fulfilled, may our beloved ones flow towards us."
1.12.7	"He stands towards the directions. He says, "You are fame, may I be famous in you." He looks at him who is doing the honouring, as he approaches.
1.12.8	Then having prepared a dwelling for him, he says, "The fee."
1.12.9	He replies, "Do it."
1.12.10	They make it three-fold or five-fold for him.
1.12.11	"Curd, honey, ghee" is the three-fold.
1.12.12	"Curds, honey, ghee, water, barley flour" is the five-fold.
1.12.13	Having brought curd in a bowl, he brings honey.
1.12.2	"Thou art the Rathantara, thou art the Vamadevya, thou art the Brihat. The two Ankhas and the two Nyankhas are on both sides. This is your chariot, O Asvins. May it not be injured in happiness or in sorrow. May it go without injury and without hindrance, overcoming all obstacles. Here is firmness, here is support, here is delight, here may there be delight." He mounts the chariot. If he enters by chariot,
1.12.14	He places the articles of worship, namely, the foot-stool, water for washing the feet, water for sipping, water for rinsing the mouth, and honey-mixture, separately, taking them from the younger to the elder.
1.12.15	He says each one of them, "Kurch", "Anusandhi", "Anupkichaya" and "Vaca".
1.12.16	"Kurch" means foot-stool.
1.12.17	One sits facing east on it, saying, "May the teacher's seat be the support of the kingdom today."
1.12.3	"Thou art a horse, thou art a steed, thou art a bay," with these eleven names of horses, one should consecrate a horse if it is a horse.
1.12.4	"I sit upon thee with Indra's thunderbolt. Carry time, carry prosperity, carry me. Thou art an elephant, thou art the glory of an elephant, thou are the splendour of an elephant. May I be the glory and splendour of an elephant," with this one should consecrate an elephant if it is an elephant.
1.12.18	Then he says to him, "This is water for washing the feet."
1.12.19	A Śūdra or a Śūdra woman washes his feet, first the left foot of a Brāhmaṇa and the right foot of the others.
1.12.5	It goes to where those who are doing the honouring are.
1.12.6	"May the directions flow towards me, may all the truths come together, may all our desires be fulfilled, may our beloved ones flow towards us."
1.12.7	"He stands towards the directions. He says, "You are fame, may I be famous in you." He looks at him who is doing the honouring, as he approaches.
1.13.1	"Thou art the milking of Viraj, the milking in me. The milking of Viraj is in the feet." He who washes his feet, should touch his hands and himself, saying, "In me be splendour, power, energy, life, fame, lustre, glory, and strength."
1.13.2	Then he says to him, "This is the Arghya."
1.12.8	Then having prepared a dwelling for him, he says, "The fee."
1.12.9	He replies, "Do it."
1.12.10	They make it three-fold or five-fold for him.
1.12.11	"Curd, honey, ghee" is the three-fold.
1.12.12	"Curds, honey, ghee, water, barley flour" is the five-fold.
1.12.13	Having brought curd in a bowl, he brings honey.
1.13.3	He takes it back, saying, "May I be united with fame, with brilliance, with lustre, with milk. May I be dear to the people, the lord of cattle."
1.13.4	He sends the ocean back, saying, “May you go to your own place. May I be without a gap in progeny. May my milk not be spilled." He recites this mantra while the remaining (milk) is being poured.
1.13.5	Then he says to him, "This is for rinsing the mouth."
1.13.6	He rinses his mouth with the words, "Thou art the spread of nectar."
1.13.7	Then he says to him "This is the Madhuparka."
1.12.14	He places the articles of worship, namely, the foot-stool, water for washing the feet, water for sipping, water for rinsing the mouth, and honey-mixture, separately, taking them from the younger to the elder.
1.12.15	He says each one of them, "Kurch", "Anusandhi", "Anupkichaya" and "Vaca".
1.12.16	"Kurch" means foot-stool.
1.12.17	One sits facing east on it, saying, "May the teacher's seat be the support of the kingdom today."
1.12.18	Then he says to him, "This is water for washing the feet."
1.12.19	A Śūdra or a Śūdra woman washes his feet, first the left foot of a Brāhmaṇa and the right foot of the others.
1.13.8	Having taken it with both hands in the Savitrī-form, he places it on the navel of the earth, saying, "In the place of Ida." Having placed it on the earth, he says, "May I be the supreme eater of honey by this supreme form of honey, the supreme eater of food." Having joined the thumb and the middle finger three times in a clockwise direction, he eats it three times, saying, "I eat for brilliance, prosperity, fame, strength, and food." He gives the leftovers to the one who has a share in it.
1.13.9	"All this is the covering of nectar." He sips water with this verse.
1.13.10	Then he says to him, "This is a cow."
1.13.11	The rite of releasing it is done.
1.13.3	He takes it back, saying, "May I be united with fame, with brilliance, with lustre, with milk. May I be dear to the people, the lord of cattle."
1.13.4	He sends the ocean back, saying, “May you go to your own place. May I be without a gap in progeny. May my milk not be spilled." He recites this mantra while the remaining (milk) is being poured.
1.13.5	Then he says to him, "This is for rinsing the mouth."
1.13.6	He rinses his mouth with the words, "Thou art the spread of nectar."
1.13.7	Then he says to him "This is the Madhuparka."
1.13.8	Having taken it with both hands in the Savitrī-form, he places it on the navel of the earth, saying, "In the place of Ida." Having placed it on the earth, he says, "May I be the supreme eater of honey by this supreme form of honey, the supreme eater of food." Having joined the thumb and the middle finger three times in a clockwise direction, he eats it three times, saying, "I eat for brilliance, prosperity, fame, strength, and food." He gives the leftovers to the one who has a share in it.
1.13.12	Let the cow, the milch cow, the mother of the Rudras, the daughter of the Vasus, the sister of the Adityas, the navel of immortality, be praised for you, for the healing people. Do not kill the cow, the non-cow, Aditi. Drink water, eat grass, and let go of what is yours." This is said in the context of letting go.
1.13.9	"All this is the covering of nectar." He sips water with this verse.
1.13.10	Then he says to him, "This is a cow."
1.13.11	The rite of releasing it is done.
1.13.13	When the cow is being killed, he says, "May the cow be free from sin; may it remove my sin and that of this (person). May my enemy be killed. May my enemy be made to kill."
1.13.14	When the meat is being offered to him after preparing the food with some other meat, he says, “This is for the departed soul.”
1.13.15	That is the good, that is the Viraḍ food, that is the food of the gods, that is the nourishing food, that is to be given, that is the good. Having said this, he then says, "Feed the Brahmins."
1.13.16	When they have eaten, he serves them with the leftover food.
1.13.17	May heaven accept it. May earth give it. May earth accept it. May heaven give it. May the breath accept it. May the life accept it. May life eat it. May life drink it.
1.13.18	May Indra and Agni make my radiance. Having drunk as much as he wishes, he gives the leftovers to the one who is his guest.
1.13.19	He whom one desires not to be separated from, in whom all the worlds, past and future, are established, by him I take thee. I take thee with Brahman. Thou art mine. He takes it thus: "This is mine." Having sipped water,
1.14.1	One should take the right hand of one who has eaten.
1.13.12	Let the cow, the milch cow, the mother of the Rudras, the daughter of the Vasus, the sister of the Adityas, the navel of immortality, be praised for you, for the healing people. Do not kill the cow, the non-cow, Aditi. Drink water, eat grass, and let go of what is yours." This is said in the context of letting go.
1.13.13	When the cow is being killed, he says, "May the cow be free from sin; may it remove my sin and that of this (person). May my enemy be killed. May my enemy be made to kill."
1.13.14	When the meat is being offered to him after preparing the food with some other meat, he says, “This is for the departed soul.”
1.14.2	If one wishes to have a minister, a student, or a servant, one should go to his house in the evening, having bathed, wearing clean clothes, having spoken with a brahmin, and having waited for the day. Having urinated on the tip of a living plant, one should sprinkle the house three times while circumambulating it, saying: "You are surrounded by the mountains here, by your brother, by your sister, by all your relatives. You will be afflicted by the constant one, by the one who is angry, by the one without interruption, by the one with the root. You are surrounded by the one who praises, by the one praised by the root."
1.14.3	He places the living horn in the uncovered (place).
1.13.15	That is the good, that is the Viraḍ food, that is the food of the gods, that is the nourishing food, that is to be given, that is the good. Having said this, he then says, "Feed the Brahmins."
1.13.16	When they have eaten, he serves them with the leftover food.
1.14.4	If the ministers, pupils, or servants should run away, he should cry after them, "May he who has not come, come! May he who has not grown, grow! Indra is your cry, may he always cry after you. If you think otherwise of me, may the gods come down to you. Indra having bound you with a noose, may he again bring you to me."
1.13.17	May heaven accept it. May earth give it. May earth accept it. May heaven give it. May the breath accept it. May the life accept it. May life eat it. May life drink it.
1.13.18	May Indra and Agni make my radiance. Having drunk as much as he wishes, he gives the leftovers to the one who is his guest.
1.13.19	He whom one desires not to be separated from, in whom all the worlds, past and future, are established, by him I take thee. I take thee with Brahman. Thou art mine. He takes it thus: "This is mine." Having sipped water,
1.14.1	One should take the right hand of one who has eaten.
1.14.5	Then, having entered his own house, having placed a bundle of grass, he offers with the invocation "May the fire be kindled and may it be kindled."
1.14.6	Now, then, the protection of the wife.
1.14.7	Having made a paste of hard, firm, and strong substances, one should apply it to the wife's vagina while she is asleep, saying, "Indra, may your penis be false for others, except for me."
1.14.8	Now, here is the accomplishment of trade.
1.14.9	He offers for the sale of goods.
1.15.1	"O gods, we are selling our goods. The gods who desire wealth, may Soma, Agni, Indra, Brihaspati and Ishana place their radiance in it. Svāhā."
1.15.2	Now, here is the pacification of anger.
1.14.2	If one wishes to have a minister, a student, or a servant, one should go to his house in the evening, having bathed, wearing clean clothes, having spoken with a brahmin, and having waited for the day. Having urinated on the tip of a living plant, one should sprinkle the house three times while circumambulating it, saying: "You are surrounded by the mountains here, by your brother, by your sister, by all your relatives. You will be afflicted by the constant one, by the one who is angry, by the one without interruption, by the one with the root. You are surrounded by the one who praises, by the one praised by the root."
1.14.3	He places the living horn in the uncovered (place).
1.15.3	The body of that Raraṭyā, the destroyer of the angry one, may the Brahmacārin gods, the wise ones, control it. That which is in your mouth, the Raraṭa, as if piercing upwards, you strike, like a bowman at the sky, I am stretching your anger, like the heart. The sun and the sky and the earth, O Creator, we are taking your anger to them, like the embryo of the mare. Thus one recites against the angry one.
1.14.4	If the ministers, pupils, or servants should run away, he should cry after them, "May he who has not come, come! May he who has not grown, grow! Indra is your cry, may he always cry after you. If you think otherwise of me, may the gods come down to you. Indra having bound you with a noose, may he again bring you to me."
1.15.4	Now, then, the recitation of the Abhijana.
1.15.5	Having kindled a fire in the inner chamber at night and performed the rites up to the Vyāhṛtis, he offers with grains mixed with ghee, reciting: "May you be without tongue, may you be without tongue. I worship you with oblations. As I speak above, may he speak below. May he speak. Svāhā."
1.14.5	Then, having entered his own house, having placed a bundle of grass, he offers with the invocation "May the fire be kindled and may it be kindled."
1.14.6	Now, then, the protection of the wife.
1.14.7	Having made a paste of hard, firm, and strong substances, one should apply it to the wife's vagina while she is asleep, saying, "Indra, may your penis be false for others, except for me."
1.14.8	Now, here is the accomplishment of trade.
1.15.6	Then he recites over him: "I have taken your speech from the mouth, from the mind, from the heart, from the limbs, from the limbs. I have taken your speech wherever it is hidden. O Rudra, blue-crested hero, in the act, in the act may this tree be responsive to me, as if struck by lightning. Speak below, speak below, speak below the earth. Like a rock, struck by a rock, hidden by me. That is true, what I say. Speak below, you are mine."
1.14.9	He offers for the sale of goods.
1.15.1	"O gods, we are selling our goods. The gods who desire wealth, may Soma, Agni, Indra, Brihaspati and Ishana place their radiance in it. Svāhā."
1.15.2	Now, here is the pacification of anger.
1.15.7	Hirannyabahu, Subhaga, Jitaaksha, and Alaankara, seated in the midst of the gods, said to me, "Svāhā." Having embraced the assembly, he recites.
1.15.8	"Mine are the distant ones, mine are the near ones, this earth is mine, the earth is mine, Agni and Indra have accomplished the divine purpose." He looks at the assembly and recites directly.
1.15.3	The body of that Raraṭyā, the destroyer of the angry one, may the Brahmacārin gods, the wise ones, control it. That which is in your mouth, the Raraṭa, as if piercing upwards, you strike, like a bowman at the sky, I am stretching your anger, like the heart. The sun and the sky and the earth, O Creator, we are taking your anger to them, like the embryo of the mare. Thus one recites against the angry one.
1.16.1	Having seen the moon in the Darśa, having sipped water, holding water, he stands with four verses, "May you grow; your new and new birth is nourished by the Adityas and rays."
1.16.2	He mutters while shaking, "May the Dakṣa-minded ones be in me."
1.16.3	He muttles while throwing a stone, "You are a stone, I am a stone. May there be peace to you. Do not harm me."
1.15.4	Now, then, the recitation of the Abhijana.
1.15.5	Having kindled a fire in the inner chamber at night and performed the rites up to the Vyāhṛtis, he offers with grains mixed with ghee, reciting: "May you be without tongue, may you be without tongue. I worship you with oblations. As I speak above, may he speak below. May he speak. Svāhā."
1.16.4	Having cut off the thread of that (thread), one should destroy it with the breath of the mouth.
1.16.5	Those birds who fall with fear along with the Niṛṛtas, may they be destroyed by the auspicious and shining energy of Śiva. With this, one should recite the mantra. Having removed it from the hand with another (thread), one can wash it with water.
1.16.6	From the sky, from the great heaven, the drop of water has fallen on me for good, with the mind of Indra. I have come with the Brahman, protected by the good deed done. One should recite this if an unknown drop of water falls on him.
1.15.6	Then he recites over him: "I have taken your speech from the mouth, from the mind, from the heart, from the limbs, from the limbs. I have taken your speech wherever it is hidden. O Rudra, blue-crested hero, in the act, in the act may this tree be responsive to me, as if struck by lightning. Speak below, speak below, speak below the earth. Like a rock, struck by a rock, hidden by me. That is true, what I say. Speak below, you are mine."
1.16.7	If a fruit falls from the top of a tree, or if it falls from the sky, then it is the wind. If the tree is weak, and if the water is obstructing, then one should recite the mantra, "May the wind carry away the obstruction." If an unknown fruit falls on him,
1.16.8	One recites the mantra, "Salutations to the wind, to the one who resides in the path, to Rudra, salutations to Rudra who resides in the paths," while stepping onto a crossroads.
1.15.7	Hirannyabahu, Subhaga, Jitaaksha, and Alaankara, seated in the midst of the gods, said to me, "Svāhā." Having embraced the assembly, he recites.
1.15.8	"Mine are the distant ones, mine are the near ones, this earth is mine, the earth is mine, Agni and Indra have accomplished the divine purpose." He looks at the assembly and recites directly.
1.16.9	Obeisance to the lord of cattle, to the lord of beasts, to Rudra. Obeisance to Rudra, the lord of cattle. Thus in the case of a cow that has died.
1.16.10	Obeisance to the lord who is in the serpents, to the lord who moves in the wind, to Rudra, to the lord in the serpents. Thus in the serpent-slithering.
1.16.11	Obeisaence to the lord who dwells in the atmosphere, to the lord moving in the wind, obeisance to Rudra who dwells in the sky. Thus one should recite if the wind of dissolution comes to him.
1.16.4	Having cut off the thread of that (thread), one should destroy it with the breath of the mouth.
1.16.5	Those birds who fall with fear along with the Niṛṛtas, may they be destroyed by the auspicious and shining energy of Śiva. With this, one should recite the mantra. Having removed it from the hand with another (thread), one can wash it with water.
1.16.12	"Obeisance to the god of waters, to the god of wind, to Rudra. Obeisance to Rudra, the god of waters." Having plunged into a river with flowing water, he recites this.
1.16.13	"Obeisance to that god, to the god who is in the wind, to Ruddra. Obeisance to that god who is in Rudra." Having entered a variegated place, a place of divine worship, or a tree, he recites.
1.16.14	One should not eat after sunrise, and should remain silent during the day.
1.16.6	From the sky, from the great heaven, the drop of water has fallen on me for good, with the mind of Indra. I have come with the Brahman, protected by the good deed done. One should recite this if an unknown drop of water falls on him.
1.16.15	The Sūrya-abhinimṛktam is recited at night.
1.16.16	One should not touch the sacrificial post. If one touches it, one should recite the Durishtā Yajñas. If one touches one, one should say, "This is for you, O Vayu." If two, "These are for you, O Vayus." If many, "These are yours, O Vayus.
1.16.17	Whatever is uncalled for, called for, praised, lamented by birds, and whatever is uttered by the deer with his eyes, may it be a terror to our enemies. He recites this while going on a journey.
1.16.18	"O thou that singest like a Udgātṛ, like a son of Brahman, thou proclaimest at the Savanas. May there be welfare for us, O thou that art auspicious, may thy mind be favourable to us." Thus he mutters the inauspicious words.
1.16.19	"Thou, having entered into these beings, dost speak the divine speech. Thou dost proclaim to our enemies. Lead them to death, to death." Thus he muttters the single verse.
1.16.9	Obeisance to the lord of cattle, to the lord of beasts, to Rudra. Obeisance to Rudra, the lord of cattle. Thus in the case of a cow that has died.
1.16.10	Obeisance to the lord who is in the serpents, to the lord who moves in the wind, to Rudra, to the lord in the serpents. Thus in the serpent-slithering.
1.16.11	Obeisaence to the lord who dwells in the atmosphere, to the lord moving in the wind, obeisance to Rudra who dwells in the sky. Thus one should recite if the wind of dissolution comes to him.
1.16.20	Then he throws the flaming torch towards that direction, saying, "O Agni, do thou befriend Agni; O Death, do thou be friendly with Death." Having touched the water,
1.16.21	he stands near him with this Anuvaka, "Thou art Vibhu, the carrier."
1.16.12	"Obeisance to the god of waters, to the god of wind, to Rudra. Obeisance to Rudra, the god of waters." Having plunged into a river with flowing water, he recites this.
1.16.13	"Obeisance to that god, to the god who is in the wind, to Ruddra. Obeisance to that god who is in Rudra." Having entered a variegated place, a place of divine worship, or a tree, he recites.
1.16.14	One should not eat after sunrise, and should remain silent during the day.
1.17.1	If the one who is desired, or the one who is self-willed, or the one out of fear, speaks these words, may Indra and Agni, knowing through the Veda, make it auspicious for us in our homes. This is the Sālavrīki verse.
1.17.2	Stretching out his thighs, he falls down, and his left eye closes. What is this, I wonder? This is the Śakuni verse.
1.17.3	The golden-winged bird, the messenger of the gods, having circumambulated the village, may Kauśika speak to us for our welfare. Thus to Pingala.
1.16.15	The Sūrya-abhinimṛktam is recited at night.
1.16.16	One should not touch the sacrificial post. If one touches it, one should recite the Durishtā Yajñas. If one touches one, one should say, "This is for you, O Vayu." If two, "These are for you, O Vayus." If many, "These are yours, O Vayus.
1.16.17	Whatever is uncalled for, called for, praised, lamented by birds, and whatever is uttered by the deer with his eyes, may it be a terror to our enemies. He recites this while going on a journey.
1.17.4	Let my senses, my life, my wealth, my Brahman, and my riches return to me. Then let the fires of the Dhishnya be established in their proper places here itself, svāhā. May my soul, my life, and my breath return to me. May my intention return to me. The all-pervading fire has grown with rays. May it be within me. The banner of immortality, svāhā! Whatever food is eaten in the evening, that is not available in the morning due to hunger. May it not harm us. For that was not seen during the day. Svāhā to heaven. Thus, having seen an undesirable dream, one offers oblations with sesame mixed with ghee.
1.16.18	"O thou that singest like a Udgātṛ, like a son of Brahman, thou proclaimest at the Savanas. May there be welfare for us, O thou that art auspicious, may thy mind be favourable to us." Thus he mutters the inauspicious words.
1.16.19	"Thou, having entered into these beings, dost speak the divine speech. Thou dost proclaim to our enemies. Lead them to death, to death." Thus he muttters the single verse.
1.17.5	Now these are the expiations for the extraordinary (sins). The pigeon was bought, the honey-house was bought, the cow was bought, the post was bought, the anthill was bought.
1.16.20	Then he throws the flaming torch towards that direction, saying, "O Agni, do thou befriend Agni; O Death, do thou be friendly with Death." Having touched the water,
1.16.21	he stands near him with this Anuvaka, "Thou art Vibhu, the carrier."
1.17.6	Having bathed in the morning, wearing a clean garment, having waited for the day, having spoken with Brahmins, having kindled fire in the inner chamber, having recited the Vyāhṛtis, he offers this oblation to Varuna, O Agni, you are the truth. You are Agni, O Agni, You are Agni, you have come, O Prajapati, whatever excess there is in this rite. Here some offer the oblations of victory and prosperity, as before, having fed the Brahmins with food, having recited the auspicious benediction, prosperity, and success.
1.17.1	If the one who is desired, or the one who is self-willed, or the one out of fear, speaks these words, may Indra and Agni, knowing through the Veda, make it auspicious for us in our homes. This is the Sālavrīki verse.
1.17.2	Stretching out his thighs, he falls down, and his left eye closes. What is this, I wonder? This is the Śakuni verse.
1.17.3	The golden-winged bird, the messenger of the gods, having circumambulated the village, may Kauśika speak to us for our welfare. Thus to Pingala.
1.18.1	May Indra and Agni send you forth, may the Asvins protect you, may Brihaspati be your cowherd, may Pusan bring you back again. Thus he recites as the cows are being settled. "May Pusan follow us." Thus he recites.
1.18.2	"These cows that have come, free from disease, with abundant milk, may they flow like rivers, may they sprinkle like the ocean." Thus he waits for the approaching cows.
1.18.3	"Be ye established, be ye not shaken; do not shake me. May I not be deprived of you." Thus they are established.
1.18.4	"I see you with energy; may you see me with energy." Thus they are in the cattle-pen. "May I prosper your prosperity."
1.17.4	Let my senses, my life, my wealth, my Brahman, and my riches return to me. Then let the fires of the Dhishnya be established in their proper places here itself, svāhā. May my soul, my life, and my breath return to me. May my intention return to me. The all-pervading fire has grown with rays. May it be within me. The banner of immortality, svāhā! Whatever food is eaten in the evening, that is not available in the morning due to hunger. May it not harm us. For that was not seen during the day. Svāhā to heaven. Thus, having seen an undesirable dream, one offers oblations with sesame mixed with ghee.
1.18.5	Therefore, having kindled the fire among the cows, having performed up to the Vyāhṛtis, he offers with milk: "Blaze forth, O Jātavedas, destroying my misfortune, and bring my cattle. Grant life and the directions. Svāhā! May Jātavedā not harm us, our cattle, horses, men, and the world. Agni, bearing the light, come to us. May you protect us with splendor. Svāhā!" "This is the path of the waters. Salutations to your rays, O Agni."
1.17.5	Now these are the expiations for the extraordinary (sins). The pigeon was bought, the honey-house was bought, the cow was bought, the post was bought, the anthill was bought.
1.18.6	This is my truth, O Varuna. You are our Agni. You are our Indra. You are our Yama. You are our Varuna. You have come, O Agni. You are Agni. You have come to us, O Agni. O Prajapati, whatever transgression there has been in this rite. Here some perform the Jayā-invocation and the Upasthāna-invocation, saying, "The king is the supporter of the kingdom, as before."
1.19.1	The teacher's parents should be supported after the completion of the rites.
1.17.6	Having bathed in the morning, wearing a clean garment, having waited for the day, having spoken with Brahmins, having kindled fire in the inner chamber, having recited the Vyāhṛtis, he offers this oblation to Varuna, O Agni, you are the truth. You are Agni, O Agni, You are Agni, you have come, O Prajapati, whatever excess there is in this rite. Here some offer the oblations of victory and prosperity, as before, having fed the Brahmins with food, having recited the auspicious benediction, prosperity, and success.
1.19.2	He should take a wife with his parents' permission, who is of the same caste, who is not a blood-relation, who is not an ascetic, who is not of the same gotra.
1.19.3	In the five times of the day - morning, midday, afternoon, evening, and night - if he does something good, he makes it auspicious.
1.18.1	May Indra and Agni send you forth, may the Asvins protect you, may Brihaspati be your cowherd, may Pusan bring you back again. Thus he recites as the cows are being settled. "May Pusan follow us." Thus he recites.
1.18.2	"These cows that have come, free from disease, with abundant milk, may they flow like rivers, may they sprinkle like the ocean." Thus he waits for the approaching cows.
1.19.4	Having kindled the fire, having performed the rites up to the wearing of the garment, he sees the bride being brought in, saying, "This is the auspicious bride. Look at her. Having given her good fortune, go away."
1.19.5	The wife sits to the right of the husband.
1.19.6	He sprinkles her as before, when she has finished eating and is seated together.
1.18.3	"Be ye established, be ye not shaken; do not shake me. May I not be deprived of you." Thus they are established.
1.18.4	"I see you with energy; may you see me with energy." Thus they are in the cattle-pen. "May I prosper your prosperity."
1.18.5	Therefore, having kindled the fire among the cows, having performed up to the Vyāhṛtis, he offers with milk: "Blaze forth, O Jātavedas, destroying my misfortune, and bring my cattle. Grant life and the directions. Svāhā! May Jātavedā not harm us, our cattle, horses, men, and the world. Agni, bearing the light, come to us. May you protect us with splendor. Svāhā!" "This is the path of the waters. Salutations to your rays, O Agni."
1.18.6	This is my truth, O Varuna. You are our Agni. You are our Indra. You are our Yama. You are our Varuna. You have come, O Agni. You are Agni. You have come to us, O Agni. O Prajapati, whatever transgression there has been in this rite. Here some perform the Jayā-invocation and the Upasthāna-invocation, saying, "The king is the supporter of the kingdom, as before."
1.19.1	The teacher's parents should be supported after the completion of the rites.
1.19.7	Having recited the Vyāhṛtis, he offers: "May Agni, the first of the deities, come here. May he release his offspring from the noose of death. May this king Varuna consent to this, so that this woman may not weep for her grandson. Svāhā! May this woman be protected by Agni, the domestic fire. May he lead her offspring to a long life. May the mother live without being deprived of her presence. May she awaken to the joy of her grandson. Svāhâ! May there be no sound of crying in your house at night, except for those who cry for you. Do not lie down with your hair loose. May the wife of the living husband rule the world of the husband. May she see her offspring with a joyful mind. Svāhā!" "May the sky protect your back, the wind your thighs, and the Ashvins your breast while you are breastfeeding. May Savitar protect your sons. May Brihaspati protect you from the wearing of garments. May all the gods protect you from the rear. Svāhā!” "May the one who is childless release the death of her grandson, the sin, and the evil. Like a garland from the head, I release the evil against the enemies. Svāhā." "The Brahmana created by the gods, when being performed, I strike with it the pishachas who sit in the womb, the flesh-eating dead ones. I drive them away from the feet. May you live long. May your sons live. Svāhā.”
1.19.8	Having offered this oblation, he places the stone, saying, "Stand on this stone. Be firm like a stone. Crush the wicked ones. Bear the enemies."
1.19.9	Having spread two darbha-blades towards the east and west, with their tips towards the north, beyond the fire, they stand on them, facing each other.
1.19.4	Having kindled the fire, having performed the rites up to the wearing of the garment, he sees the bride being brought in, saying, "This is the auspicious bride. Look at her. Having given her good fortune, go away."
1.19.5	The wife sits to the right of the husband.
1.19.6	He sprinkles her as before, when she has finished eating and is seated together.
1.20.1	Facing east, he should take the hand of one facing west, or vice versa. If one desires to generate a male, one should take the thumb. If one desires a female, one should take all the fingers. If one desires both, one should take both the thumb and the fingers together with the hair. "O Sarasvati, like a horse, like a swift one, like a good one, I have placed you in front of the offspring of all beings. I take your hand for the sake of good offspring, so that I may be with my husband as long as the sun shines. Bhaga, Aryaman, Savitar, Purandhi, may you give me the household fire."
1.19.7	Having recited the Vyāhṛtis, he offers: "May Agni, the first of the deities, come here. May he release his offspring from the noose of death. May this king Varuna consent to this, so that this woman may not weep for her grandson. Svāhā! May this woman be protected by Agni, the domestic fire. May he lead her offspring to a long life. May the mother live without being deprived of her presence. May she awaken to the joy of her grandson. Svāhâ! May there be no sound of crying in your house at night, except for those who cry for you. Do not lie down with your hair loose. May the wife of the living husband rule the world of the husband. May she see her offspring with a joyful mind. Svāhā!" "May the sky protect your back, the wind your thighs, and the Ashvins your breast while you are breastfeeding. May Savitar protect your sons. May Brihaspati protect you from the wearing of garments. May all the gods protect you from the rear. Svāhā!” "May the one who is childless release the death of her grandson, the sin, and the evil. Like a garland from the head, I release the evil against the enemies. Svāhā." "The Brahmana created by the gods, when being performed, I strike with it the pishachas who sit in the womb, the flesh-eating dead ones. I drive them away from the feet. May you live long. May your sons live. Svāhā.”
1.19.8	Having offered this oblation, he places the stone, saying, "Stand on this stone. Be firm like a stone. Crush the wicked ones. Bear the enemies."
