#Author:Devapāla
#Text:Kāṭhagṛhyasūtrabhāṣya
#Comments:Kāṭhakagṛhyasūtra
#Edition:Kashmir Series of Texts and Studies, No. XLIX (1923)
#Data entry:Oliver Hellwig
#Notes:Currently covers only the first half of the mūla text.



1.1.[1]	vrataśabdo yamaniyamavācakaḥ /
14.5.[16]	iyamapi vedyādirūpā pṛthivī ṛte āśritā /
14.5.[17]	asāvityukte nāma pratīyāt /
14.5.[18]	kanyā ucyate asau śobhāvatyādisaṃjñitā /
14.5.[19]	iyaṃ pratyakṣatvena vartamānatvāt /
14.5.[20]	idaṃ bhūyaḥ satyaprakāśayoḥ // 5 //
14.6-8.[1]	vedisītāhradagoṣṭhoddhṛtānāmanyatamaṃ gṛhṇīyāccettadodvahedenām, itaragrāhiṇīṃ tu varjayet /
14.6-8.[2]	‘vedipiṇḍe hi vedārthakriyā sāhāyyamāvahet /
14.6-8.[3]	prajāvatīti sītāyāṃ goṣṭhapiṇḍe gavādikam //
14.6-8.[4]	hradapiṇḍe hṛdodbhūtakusumābharaṇocitā /
14.6-8.[5]	tṛptidā caityahetuśca bhartṛjīvanakāriṇī //
14.6-8.[6]	śmaśāne vidhavāvaśyaṃ dyūtabhūmau kalipriyā /
14.6-8.[7]	iriṇe nityasaṃtaptāvakīrṇā ca catuṣpathe /’
14.9.[1]	manyante ityadhyāhāraḥ /
14.9.[2]	gṛhṇatīmupayacchedityanuṣaṃgaḥ // 7 //
14.10.[1]	upayamaḥ svīkāraḥ, tatraivānukūlāni nakṣatrāṇi etānītyarthaḥ //
14.11.[1]	puṇyoktaṃ jyotiḥśāstroktaṃ yathāsambhavamanusartavyamityarthaḥ //
15.1.[1]	brāhmena vidhinā yā dīyate sā brāhmadeyā /
15.1.[2]	tasyāḥ prakṛṣṭe dāne vidhimitikartavyatāṃ vakṣyāmaḥ /
15.1.[3]	athetyadhikārārthaḥ /
15.1.[4]	brāhmo daiva ārṣaḥ prājāpatya āsuro gāndharvo rākṣasaḥ paiśāca ityaṣṭau vivāhāḥ /
15.1.[5]	tatra brāhmāsuravyatirekiṇāṃ ṣaṇṇāṃ vidhānaṃ suprathitaṃ neha vacanamarhati /
15.1.[6]	tena brāhmāsurayorevetikartavyatoktā /
15.1.[7]	tathāhi prasahyāpahārāt rākṣaso vivāhaḥ, tatra kiṃ prakārābhidhānena /
15.1.[8]	evamasaṃvijñātopagamātpaiśāco'pi prakāravacanānarho'tipāpatvāt /
15.1.[9]	svayamicchantyā sahecchāvataḥ saṃyogo gāndharvaḥ, tatrāpyasādhāraṇetikartavyatā /
15.1.[10]	saha dharmaścaryatāṃ, sahāpatyamutpādyatāṃ, dharme cārthe ca kāme ca na vyabhicaritavyamiti prājāpatyavidhiḥ prathitaḥ /
15.1.[11]	alaṃkṛtya kanyāntarvedi ṛtvije pradīyate, iti daivo vivāha uktaḥ smṛtikāraiḥ /
15.1.[12]	gomithunaṃ kanyāvate dadyādityārṣasya vidhānam // 1 //
15.2.[1]	śuklapakṣasya sambandhini praśaste jyotiḥśāstraviśuddhe divase parvaṇi vā paurṇamāsīrūpe, viṣṭaraviśeṣe pavitrārthamuttaradigagrāndarbhānāstīrya, teṣu tayordātṛpratigrahītrorupaviśet prāṅmukho bhūtvā /
15.2.[2]	kaḥ /
15.2.[3]	pratigrahītā /
15.2.[4]	kīdṛśaḥ /
15.2.[5]	sāmātyaḥ parijanasahitaḥ /
15.2.[6]	pradātā punaḥ pratyaṅmukha upaviśet tathaiva sāmātyo darbhānāstīryodagagrān // 2 //
15.3.[1]	tayordātṛpratigrahītrordakṣiṇadeśe uttarābhimukha upaviṣṭaḥ san ṛtvigviśeṣaḥ ācāryastayoḥ upayamanaṃ dātṛpratigrahītṛsambandhaṃ kārayet /
15.3.[2]	kiṃ kṛtvā /
15.3.[3]	dātṛpratigrahītrormadhye prāgagrānudagagrāṃśca darbhānāstīrya, teṣu ca darbheṣu kāṃsyapātryāmudakaṃ sannidhāya, tatrodakamadhye vrīhiḥ yavasthāvapanaṃ kṛtvā /
15.3.[4]	atha ‘udakaṃ sannidhāya’ iti sāmānyavacanātkaṃsasya kuto lābhaḥ? ‘kaṃse hiraṇyaṃ samupya’ iti darśanāt // 3 //
15.4.[1]	sameteṣu saṅghaṭiteṣu dātṛpratigrahītṛbandhuṣu satsu ṛtvigbrūyāt, dātustāvadidaṃ brūyāt kanyāsmai pradīyatāmiti, pratigrahītuḥ kanyāsmātpratigṛhyatāmiti /
15.4.[2]	tato dadāni te, dadāni te, dadāni te iti triruccārayeti dātāraṃ bodhayet /
15.4.[3]	dātā ca tathaiva kuryāt /
15.4.[4]	evaṃ pratigṛhṇāmi ityapi ṛtvijāveditaḥ pratigrahītā brūyāt /
15.4.[5]	‘triḥsatyā hi devāḥ’ iti śrutiḥ, ‘trirabhihitaṃ na vyabhicāri bhavati’ iti triruccāraṇamiṣṭamata eva sameteṣvāhetyuktam /
15.4.[6]	bahujanasannidhau dattāṃ pratigṛhītāṃ ca nāpahartuṃ tyaktuṃ vā śakṣyatīti // 4 //
15.5.[1]	etaddānapratigrahakarma yuṣmākaṃ satyamavyabhicaritamastviti laukikoktyā ṛtvika ‘samānā’ ityādi ṛgdvayaṃ japati, ubhau dātṛpratigrahītārau vīkṣamāṇaḥ //
15.5.[2]	samānā va ākūtāni samānā hṛdayāni vaḥ /
15.5.[3]	samānamastu vo mano yathā vaḥ susahāsati // 1 //
15.5.[4]	saṃ vo manāṃsi saṃ vratā samu cittānyākaram /
15.5.[5]	amī ye vivratāḥ sthana tānna sannamayāmasi // 2 //
15.5.[6]	anuṣṭubhau /
15.5.[7]	he dātṛpratigrahītārau vaḥ yuṣmākaṃ sambandhīnyākūtānyabhiprāyāḥ samānāstulyānyekarūpāṇi āsati santu, kasyacidapi kanyāpahārādyabhiprāyo duṣṭo mābhūdityarthaḥ /
15.5.[8]	evaṃ manaḥ samānamastu, ahaṃ ca vo yuṣmākaṃ tathā ā akaraṃ karomi japena, yathā su saha asati suṣṭu vaḥ sahabhāvo bhavati, tathā manāṃsi samākaraṃ, vratāni ca saṃmilitāni karomītyarthaḥ /
15.5.[9]	evaṃ cittāni caitanyāni samākaramiti yojyam /
15.5.[10]	ye ca yuṣmākaṃ madhye vivratā viruddhācārāḥ yūyamiti kecit, amī iti pratyakṣaṃ tāneva mukhavikārādinā durācārāndarśayati, sthana bhavatha, tānna sannamayāmasi netivarṇopajanaḥ tānvayaṃ sannayāmaḥ samyak natān kurmaḥ sadācārān saṃpādayāma ityarthaḥ // 5 //
16.1.[1]	pradānavidhirucyate iti śeṣaḥ /
16.1.[2]	śulkena mūlyena dīyate yā, sā śulkadeyā // 1 //
16.2.[1]	suvarṇaṃ vijigīṣayā parasparaṃ dadato dātṛpratigrahītārāvasuratvāt, dasyuvijigīṣupradhānatvāccāsurāṇāṃ rājasatvenānyonyopacāraṃ kuruta iti śasyate /
16.2.[2]	kanyāmūlyabhūtaṃ tu suvarṇaṃ vyatiharato niścinuto dvau dātṛpratigrahītārau sambhūyetyarthadvayaṃ tantreṇāvagamyate // 2 //
16.3.[1]	tatprakṛtaṃ hiraṇyaṃ prajābhyastvetyanena dadāti varaḥ kanyāyāḥ pitre, he hiraṇya prajārthaṃ tvāmahaṃ dadāni // 3 //
16.4.[1]	kanyāyāḥ pitā /
16.4.[2]	rāyaspoṣāya tvāṃ pratigṛhṇāmi // 4 //
16.5.[1]	tatkanyāmūlyabhūtaṃ hiraṇyaṃ pratigṛhītaṃ kāṃsyapātre nidhāya jalayuktaṃ ‘hiraṇyavarṇāḥ’ iti ṛgbhiścatasṛbhiḥ samavamṛśante upaspṛśanti ghorapāpaviśuddhaye /
16.5.[2]	bahuvacanaṃ sarvabaṃdhvapekṣaṃ sa rveṣāṃ pāpabhāgitvapradarśanāya /
16.5.[3]	hiraṇyavarṇā ityādyāḥ saṃmārjanāvasare vyākhyātāḥ // 5 //
16.5.[4]	prajābhyastvā dadāni /
16.5.[5]	rāyaspoṣāya vā pratigṛhṇāmi //
16.5.[6]	ityetāvantāveva mantrau kecitprayuñjate vākyaparisamāpteriṣe tvetyādivat, anyamate tu prajābhyastvānuprāṇantu tvaṃ ca prajāḥ anuprāṇihīti prathamasya, suprajārthaṃ ca vīryārthaṃ ca tvāmahaṃ pratigṛhāmīti dvitīyasya śeṣaḥ //
17.1.[1]	pāṭhakramādarthakramasya balīyastvāttadanusāreṇa vyākhyā kartavyā yathā jātaṃ janinā juhoti jātamatiprāṇitīti, tathāgnihotreṇa juhoti yavāgūmadhiśrayatīti /
17.1.[2]	tenāyamarthaḥ pādacatuṣṭayayukte bhadrapīṭhe śobhane āsane prāṅmukhyā upaviṣṭāyāścatasṛṣu dikṣu catasro'vidhavā bhavanti, vāmabhāge mātā, dakṣiṇabhāge pitā, agre guruḥ saṃskārasya kartā saptamaḥ /
17.1.[3]	teṣu yathāsanniveśaṃ sthiteṣu godāne bhavā gaudānikāstanmantraistāṃ guruḥ kanyāṃ sahasracchidrayuktena pavitreṇa pāvanena vastraviśeṣeṇa suprajastvāya gaudānikaireva mantraiḥ kaṭakakeyūrādibhiryathāvibhavamalaṃkṛtyāhatenānupabhuktena vāsasā pracchādya sthālīpākena gururjuhoti /
17.1.[4]	atra pallavacatuṣṭayaṃ vastrasya pavitrasya catasro'vidhavā avaṣṭabhnanti /
17.1.[5]	pitarau jalamabhiṣiñcataḥ /
17.1.[6]	gurumaṃtrapāṭhaṃ karoti /
17.1.[7]	snāpane'laṃkaraṇe ca gurureva prayojakakartā, tena homena samānakartṛkatvam /
17.1.[8]	ye tvalaṃkaraṇaṃ viparītalakṣaṇayā keśavapanaṃ vyācakṣate, amāṅgalikāste /
17.1.[9]	sthālīpākasyetyupādīyamānagatatvādekatvaṃ vivakṣitaṃ paśugataikatvavat /
17.1.[10]	juhotītyekavacanaṃ eka eva homo navasvapyāhutiṣu, iti pratyabhijñānabalena sūcayati, tenaivāhutīrnigadati /
17.1.[11]	viśvāvasave gandharvarājāyetyekaivāhutistena nava bhavanti /
17.1.[12]	indraḥ parameśvaraḥ /
17.1.[13]	indrāṇī śacī /
17.1.[14]	kamanīyaḥ kāmaḥ /
17.1.[15]	bhajanīyo bhagaḥ /
17.1.[16]	hrīrlajjā /
17.1.[17]	śrīḥ śrayaṇīyā /
17.1.[18]	lakṣaṇīyā lakṣmīḥ /
17.1.[19]	poṣaḥ puṣṭiḥ /
17.1.[20]	svāhā suhutamastu // 1 //
17.2.[1]	nāḍyādīni sarvāṇi vāditrāṇi gandhodakena sugandhinopalipya pūrvaṃ kanyaiva pravādayate /
17.2.[2]	vādyamāneṣu ca gurumaṃtraṃ paṭhati /
17.2.[3]	tatra nāḍī vaṃśaḥ, tūṇavo gomukho vādyaviśeṣaḥ /
17.2.[4]	maṃtrārthastu he dundubhe paṭaha svanaṃ vāyuṃ vada vādaya śabdaṃ kāraya /
17.2.[5]	kimartham /
17.2.[6]	suprajastvāya satprajārtham /
17.2.[7]	evaṃ he gomukha svanaṃ vadeti pūrvavat /
17.2.[8]	prakrīḍantu anyonyaṃ kanyāḥ sakhibhūtāḥ prakrāntavivāhayā kanyayā sahitāḥ /
17.2.[9]	tā api hi kanyā eva bhavitumarhanti samānaśīlānāṃ sakhitvasyānyonyāntaratvāt /
17.2.[10]	kīdṛśaḥ kanyāḥ /
17.2.[11]	sumanasyamānāḥ sumanaskā hṛṣṭā ityarthaḥ /
17.2.[12]	indrāṇyā saha indrāṇyapyatrotsave krīḍitumavataratvityāśāsyate /
17.2.[13]	sumaṃgalā maṃgalapradhānagītaghoṣiṇyaḥ //
17.2.[14]	atha gaudānikamaṃtrā vyākhyāyante yā āpo divyāḥ payasā saṃbabhūvuryā antarikṣyā uta pārthivāsaḥ /
17.2.[15]	tāsāṃ tvā sarvāsāṃ rucābhiṣiṃcāmi varcasā //
17.2.[16]	abhi tvā varcasāsicaṃ yajñena payasā saha /
17.2.[17]	yathāso mitravardhanastathā tvā savitākarat //
17.2.[18]	indrāya svāhā //
17.2.[19]	pūrvā virāṭ /
17.2.[20]	uttarānuṣṭup /
17.2.[21]	yā divyā divi bhavā āpo, yāśca antarikṣyā antarikṣe bhavāḥ, yāśca pārthivāsaḥ pārthivyaḥ, payasā sambabhūvuḥ kṣīreṇa yajñopayoginā sambhūtāḥ, tāsāṃ sarvāsāṃ rucā dīptyā varcasā ca sāreṇa balena he kanye tvāmabhiṣiñcāmi tvāmahamabhyasicamabhiṣiñcāmi yajñena payasā varcasā saha yajñādiyogyāṃ ca karomītyarthaḥ /
17.2.[22]	mitrasya mehanasya svargapaśuputrāderasau yajñādeśca vardhano yathā bhavati, tathā savitā āditya akarat tava karotu he kanye /
17.2.[23]	indrāya suhutamastu // 2 //
18.1-2.[1]	yajñamarhati yajñiyaḥ ‘yajñartvigbhyāṃ ghakhañau’ iti ghaḥ, yajñārhāṇāṃ vṛkṣāṇāṃ vaṭādīnāmanyatamasya sambandhinīṃ śākhāṃ sakṛdācchinnāṃ sūtratantunā prācyāṃ diśyāyatāṃ prasṛtāṃ sakṛdekenaiva prahāreṇa chinnāmekasāreṇa sūtratantunā pracchādya kanyāyai prayacchati ‘devasya tvā’ ityādinā ‘tāṃ prayacchāmi’ iti śabdāntena //
18.1-2.[2]	gururgṛhītaśākhāṃ kanyāmanumantrayate ‘yā te’ ityādinā /
18.1-2.[3]	he kanye yā te tava kācidalakṣmīralakṣaṇaṃ mātṛmayī pitṛmayī vā mātuḥ piturvā sakāśātsaṃkrāntā bījādidoṣāt anyato vā kutaścit saṃkrāntā, tāmahamanena mantreṇa nirbhajāmi tvāṃ prati nirbhāgāṃ karomi /
18.1-2.[4]	kimekakaḥ /
18.1-2.[5]	netyāha tiṣyeṇa devatayā sahakṛtaḥ, tathā nirṇudāmi niḥśeṣeṇa nudāmi apasārayāmi /
18.1-2.[6]	sā cāpasāritā satī dviṣantaṃ tava śatruṃ gacchatu /
18.1-2.[7]	alakṣaṇāpasāre codyatasya mama vighnāpasāraṇāya tiṣyabṛhaspatibhyāṃ namaskāro'stu /
18.1-2.[8]	anye tu ‘tiṣyabṛhaspatibhyāṃ namo namaḥ’ ityetaṃ yajurekadeśamācchidya śākhotsarge'pi prayuñjate //
18.3.[1]	sthāvarodakaṃ taḍāgādi /
18.3.[2]	tatra tasyāḥ śākhāyā utsargaḥ pratipattikarma śucau devagṛhe /
18.3.[3]	devagṛhaṃ madyopahāraśoṇitādinā apavitramapi sambhāvyeta, tadarthaṃ śucigrahaṇam //
19.1.[1]	haviṣyakalpa iti pāribhāṣikī karmaviśeṣasya saṃjñā // 1 //
19.2.[1]	varṣadaśakādūrdhvaṃ kumārī na sthāpayitavyā pitrā, agatyā vā dvādaśa varṣāṇi nātikramaṇīyāni // 2 //
19.3.[1]	brahmacaryāvasāne vivāhātpūrvaṃ gandharve nirmimittajalasrāviṇi deśe, devatāyatane vā laukiko dvāvagnī prajvālya, dvau paśū cchāgau kanyāsaṃskārārthamupākuryātpaśukalpavat, ekamaryamṇe dakṣiṇabhāgavartinyagnau, dvitīyaṃ prajāpataye uttaradigbhāgavartinyau /
19.3.[2]	itikartavyatāṃ samantravyākhyānāṃ paśukalpe eva vyākhyāsyāmaḥ //
19.4.[1]	pracurārthādyabhāve eka eva dvidaivataḥ paśurupākartavyaḥ /
19.4.[2]	avadānāni ca hṛdayādibhyo medo'ntebhyo dvādaśabhyo dvirdvirgrahītavyāni /
19.4.[3]	‘aryamaprajāpatibhyāṃ svāhā’ iti cohaḥ /
19.4.[4]	eka eva ca yogaḥ saṃhatayorekadeśatvadharmasamavāyāt /
19.4.[5]	ata evaca kecit hṛdayādibhyo dviguṇāni avadānāni necchanti // 4 //
19.5.[1]	dhanadaurgatye sati ahiṃsāniyame vā taṇḍulairvā kuryāt /
19.5.[2]	taṇḍulagrahaṇaṃ piṣṭakārtham // 5 //
19.6.[1]	yatraiva sthāne ājyabhāgābhyāṃ pūrvo mukhyapaśuḥ tatraiva piṣṭakapaśuḥ avadānānyapi hṛdayādibhyastadvat /
19.6.[2]	teṣāṃ ca śrapaṇahomau sarvadānyāpītikartavyatā raśanābandhayūpaniyojanopāyena viśasanādiḥ /
19.6.[3]	luptārthavarjaṃ haviḥ paśupuroḍāśasthāne sthālīpākastadapi yathāsthānaṃ paśupuroḍāśakrame, vapāhomasthāne tvājyahomaḥ //
19.7.[1]	sugandhacandanaghanasārādidravyayutenājyenāhutayo gandhāhutayaḥ, tābhiragnyādikāḥ saptadaśa devatā yajeta /
19.7.[2]	vātsīputra iti devatānāma yataḥ śabdaikasamadhigamyā devatā /
19.7.[3]	vibhaktivipariṇāmena caturthyantaiḥ svāhākārayuktaiḥ śabdairuddiśyāgnyādidevatā yaṣṭavyāḥ ‘agnaye khāhā’ ityādikaiḥ //
20.1.[1]	iyamapi pāribhāṣikī saṃjñā /
20.1.[2]	haviṣyeṇa vrīhyādinā puṇye'hani kriyamāṇatā śabdapravṛttinimittam // 1 //
20.2.[1]	udakasya samīpaṃ gatvā atidūrataḍāgādike tu grāme, yathopapatti yatropapadyate sthāne, tatra kṣīre sthālīpākaṃ kṛtvā māṃgalikabilvākṣoṭādiphalopetābhiḥ sarvauṣadhyādigandhayoginībhiścādbhirāmalakaiḥ kanyāṃ snāpayet /
20.2.[2]	saśiraskāmityanenānyadā strīṇāmaśiraskamapi snānaṃ bhavatīti sūcayati /
20.2.[3]	snāpanāhatavastrācchādanavyavadhānena ca sthālīpākena homaḥ, snānācca pūrvaṃ sthālīpāka iti vivakṣitaḥ kramaḥ /
20.2.[4]	caturthyā devatāpadapariṇāmaḥ svāhākāraśca pūrvavat /
20.2.[5]	jīvaputro'gnirityekaiva devatā jīvaḥ prāṇo vāyuḥ putro rakṣako'syeti bahuvrīhiranyapadārthapradhāno yogyaśca sannihito'gnirevānyapadārthaḥ /
20.2.[6]	mahārāja ityatra ‘na pūjanāt’ iti pratiṣedho nāsti niyamāśrayaṇāt ‘pūjāyāṃ svatigrahaṇaṃ kartavyam’ iti vacanāt anyathā hi paramarāja ityādāvapi ṭacaḥ pratiṣedhaḥ syāt /
20.2.[7]	ye ye tu mahārājā ityākārāntaṃ paṭhanti, te svatiniyamaṃ nādriyante //
21.1.[1]	ekā vivāhāhorātrarātristasyāḥ pūrvā yā dvitīyā rātriryasyāṃ pitā kanyāṃ vivāhayiṣyanbhavet vivāhayiṣyāmītyanenādhyavasāyena yuktaḥ, athavā yāṃ bhaviṣyantīṃ rātrimadhikṛtya pitā kanyāṃ vivāhayiṣyansyāttasyā yā pūrvā dvitīyā rātristāmāśrityetikartavyatāpravṛttaḥ san tasyāmeva rātryāmatīte madhyamapraharadvaye mahāniśākhye pūrvavatsthālīpākena yāgaṃ kuryāt gururagnyādibhyo devatābhyaḥ // 1 //
21.2.[1]	puṃso'pi tasyāṃ rātryāṃ saṃskārārthametayaivetikartavyatayā etā eva devatā yajeta kumbhādyāśca tisraḥ iti /
21.2.[2]	etāvāneva ca viśeṣaḥ striyo dvādaśāhutayaḥ, puṃsaḥ paṃcadaśa // 2 //
22.1.[1]	avidhavā jīvadbhartṛkāḥ /
22.1.[2]	śākamiśrāḥ piṃḍyaḥ śākapiṃḍya: ‘bhakṣyeṇa miśrīkaraṇam’ iti tatpuruṣaḥ /
22.1.[3]	catasro'ṣṭāviti ca prathamāntastrīpadasamānādhikaraṇam /
22.1.[4]	catasro'ṣṭau veti yathāsaṃbhavaṃ vikalpaḥ /
22.1.[5]	samasaṃkhyāniyamārthametat /
22.1.[6]	catuṣṭāṣṭatvaniyamārthamiti tu kecit /
22.1.[7]	tenāyamanvayaḥ anyūnāścatasṛbhyo'vidhavāḥ striyaḥ samasaṃkhyāḥ ṣaṭkavarjāḥ śākapiṃḍībhiranyaiśca yathāsambhavadbhirbhojanaviśeṣairbrāhmaṇānbhojayitvā vīṇayā vādyamānayā saha ye gāyanti tacchīlāstaiḥ saha saṃbhūtā bhūtvā maṃgalagānaṃ gāyeyuḥ /
22.1.[8]	brāhmaṇabhojanānantaraṃ maṃgalagānāvasaro'tra vivakṣito, natu samānakartṛtve'tīvādaraḥ tena te brāhmaṇānbhojayeyuranye vā, sarvathā brāhmaṇabhojanānantaraṃ maṃgalagānaṃ kartavyam /
22.1.[9]	apivā caturo nartanaṃ kuryāt caturo nartanapravīṇo nartanaṃ kuryāt yadi sauśīlyādiguṇayukto bhavet, viparyaye tu na tābhiḥ saha nartanaṃ kuryādityanenābhiprāyeṇāpivāśabdaḥ /
22.1.[10]	anuṣṭhānaṃ tvāryāvarte yathā dṛśyate, tathā brūmaḥ kanyāyā mātṛprabhṛtayo'ṣṭau catasro vāvidhavā yathāvibhavaṃ bhojayitvā brāhmaṇāṃścāvidhavābhiḥ saha vīṇāgāyibhiśca gāyanti nṛtyanti sotsāham /
22.1.[11]	tadanusāreṇāyamarthaḥ catasro'ṣṭau vā striyaḥ karmabhūtā brāhmaṇāṃśca śākapiṃḍībhiranyena ca bhojyaprakāreṇa bhojayitvā vīṇāgāyibhiḥ sahāvidhavābhiśca saṃgāyeyuḥ /
22.1.[12]	ke /
22.1.[13]	arthāt kanyāmātrādayaḥ /
22.1.[14]	apiveti samuccaye /
22.1.[15]	sakalo'sau strīgaṇaścaturaḥ sotsāho bhūtvā nartanaṃ kuryāt //
22.1.[16]	‘krīḍaṃ vaḥ’ ityanayā gāyatryānumantrayate /
22.1.[17]	vyākhyātā ceyaṃ kṛcchreṣu // 1 //
22.2.[1]	akṣatānāmanavahatānāṃ yavānāṃ saktubhiragniṃ puṣṭipatiṃ yajeta ‘agninā rayim’ ityetayarcā /
22.2.[2]	tathā prajāpatiṃ ‘prajāpate’ ityādimastreṇa /
22.2.[3]	etāvājyabhāgānte yāgau // 2 //
22.3.[1]	yatra nāmnā mantravarṇairvā devatānirdiṣṭā vivāhaprakaraṇokte karmaṇi, tatrāgniṃ puṣṭipatiṃ prajāpatiṃ ca yajeta prakṛtatvādakṣatasaktubhiḥ /
22.3.[2]	ājyabhāgānte bhaviṣyatsu prāsthānikādiṣvetadboddhavyam /
22.3.[3]	pūrvokteṣu tu kvacinnāmnā kvacinmantravarṇebhyo devatā sarveṣu pratītā //
22.3.[4]	agninā ijyamānenāhaṃ rayiṃ dhanamaśnavat ‘aśū vyāptau’ vyāpnuyām /
22.3.[5]	vyāptasya ca prāptasya poṣaṃ puṣṭiṃ dine dine aśnuyām /
22.3.[6]	kīdṛśaṃ rayim /
22.3.[7]	yaśasaṃ yaśaskaraṃ, vīravattamaṃ vīrapuruṣayuktaṃ, vīrairvā putrairatiśayena yuktam /
22.3.[8]	‘prajāpate nahi’ iti jātakarmaṇi vyākhyāsyate // 3 //
23.1.[1]	prasthānanimittaṃ prāsthānikaṃ karmānantaraṃ vakṣyata ityarthaḥ /
23.1.[2]	prasthānaṃ ca varasya śvaśuragṛhaprāptaye vivāhaṃ kartum // 1 //
23.2.[1]	tasminprāsthānike karmaṇi yathoktamupasamādhāya, agneḥ pūrvaṃ kartavyaṃ uddhatasya cāvokṣitasya ca parisaṃvāhanaparyukṣaṇaparistaraṇapūrvakamājyāhutipaṃcakena santanīhomaiścaikādaśabhiḥ saṃskaraṇamupasamādhānamucyate tatra jayaprabhṛtibhirmantrairhomaṃ kuryāt jayābhidhānānvā homān kuryāt ‘ākūtaṃ cākūtiśca’, ‘bṛhaspatipurohitāḥ’ ‘ṛtāṣāṭ’ ityādibhirmantrairjuhuyādityarthaḥ /
23.2.[2]	ete hi mantrāstatsādhyā vā homā jayābhyātarāṣṭrabhṛdājyabhāgādiśabdasādhyatayā prasiddhāḥ /
23.2.[3]	ājyabhāgānte cāgniṃ puṣṭipatiṃ prajāpatiṃ ca yajeta ‘sarvatrodvāhakarmasvanādiṣṭadevateṣu’ ityādisūtravacanaprāmāṇyāditi kecit /
23.2.[4]	anye tvāhuḥ sūtrakāraprāmāṇyādeva jayaśabdo'trāgniprajāpatidevatayorhomayoḥ paribhāṣyate ājyabhāgāntaṃ copasamādhānamiti /
23.2.[5]	kaścittvāha vivāhaprakaraṇe'ntarāntarā coditatvāt ājyabhāgāntāni karmāṇi kṛtvā puṣṭyarthamagnaye puṣṭipataye cākṣatasaktubhirhomaḥ kartavyaḥ sūtrakāravacanasaṃpratyayārthamiti /
23.2.[6]	anyathā hi nāmnā mantravarṇairvā sarvatra devatāvagamānnānādiṣṭadaivataṃ kiṃcidudvāhakarmasu karma vidyate iti sūtrārthasaṃpratyayābhāvaḥ syāt /
23.2.[7]	evaṃ jayahomeṣu kṛteṣu ājyabhāgānte varasya paścātsthitā satī bhaginī mukhyā upacaritā vā yathāsaṃbhavaṃ khaḍgakṣurikādīnāmanyatamaṃ śastraviśeṣaṃ haste tūṣṇīṃ gṛhītvā, tūṣṇīṃ sicamupariparidhānīyasya vāsaso bhrātuḥ sambandhino'ñcalaṃ gṛhṇāti paridhānadaśāṃ hastena spṛśatītyarthaḥ /
23.2.[8]	aṃcalagrahaṇamadṛṣṭasaṃskārārthaṃ śastragrahaṇamapi /
23.2.[9]	tathāca prāyastadeva śastramuttarakāle'pi rakṣārthaṃ śayanādisannidhau sthāpyamānamāryāvarte lakṣyate // 2 //
23.3.[1]	pūṣā mā prapathe pātvityādinā maṃtreṇodakasaṃmukhā vrajantītyarthaḥ // 3 //
23.4.[1]	udakāntaṃ prāpya udakopasparśanaṃ śirasi prakṣepaṇamācamanaṃ kṛtvā ‘prācī digagnirdevatā’ ityādinā mantreṇa yathādiśaṃ yā digyeṣāṃ gantavyā, tadabhidhāyinā mantreṇa yathāliṃgamabhidhāya varaprabhṛtayo gacchanti /
23.4.[2]	atra vivāhasya kārayitā yo guruḥ, sa eva pitā vā varasya maṃtrapāṭhe kartā //
23.4.[3]	pūṣā mā prapathe pātu pūṣā mā paśupāḥ pātu pūṣā mādhipatiḥ pātu //
23.4.[4]	puṣṇāti vardhayatīti pūṣā pṛthivī antarikṣaṃ dyauśca /
23.4.[5]	tathāca brāhmaṇam ‘iyaṃ vai pūṣā prapathe'ntarikṣaṃ paśupā dyauradhipatiḥ /’ iti /
23.4.[6]	etaddhi iyamityaparokṣanirdeśena prayuktasya pūṣaśabdasya mantre pṛthivyarthatāṃ darśayati /
23.4.[7]	antarikṣaṃ pūṣetyanenāpi madhyavartinā mantreṇa pūṣaśabdasyāntarikṣavṛttitvaṃ darśayati /
23.4.[8]	yathaiva hi bhūtāni puṣṇātīti pṛthvī pūṣā, tathaiva paśūnavakāśadānena pāti puṣṇātīti kṛtvā antarikṣaṃ pūṣā /
23.4.[9]	evaṃ dyaurapi pūṣā, sā hi sarvalokādhipatiḥ yato'sau sarvalokān vṛṣṭyādidvāreṇa puṣṇāti /
23.4.[10]	tenāyaṃ mantrārthaḥ pūṣā pṛthivī prapathe gantuṃ prastute pathi mārge māṃ pātu, tathā paśupā yaḥ pūṣā antarikṣalakṣaṇaḥ, so'pi māṃ pātu rakṣatu /
23.4.[11]	tathā adhipatiryaḥ pūṣā dyulakṣaṇaḥ so'pi māṃ pālayatu pathi gacchantam /
23.4.[12]	śanno devīrityādayo vyākhyātāḥ // 4 //
23.4.[13]	prācī digagnirdevatāgniṃ sa ṛcchatu yo maitasyā diśo‘bhidāsati, dakṣiṇā digindro devatendraṃ sa ṛcchatu yo maitasyā° pratīcī dik somo devatā somaṃ sa ṛcchatu yo maitasyā° udīcī dik mitrāvaruṇau devatā mitrāvaruṇau sa ṛcchatu yo maitasyā° ūrdhvā digbṛhaspatirdevatā bṛhaspatiṃ sa ṛcchatu yo maitasyā° iyaṃ digaditirdevatāditiṃ sa ṛcchatu yo maitasyā° //
23.4.[14]	yā prācī dik, tasyā agnirdevatā /
