#Author:Keśava
#Text:Kauśikasūtrapaddhati
#Comments:Kauśikasūtra
#Data entry:Arlo Griffiths
#Notes:Markup complete.
#Todo:final formatting! “'” is used for marking quotations and avagraha.


1.1.1.[1]	athaśabda ānantaryārthaḥ /
4.2.42.[1]	tantraṃ kṛtvā 'apeyaṃ rātrī' ityṛcā ghaṭaṃ sampātyābhimantrya gṛhādbahirāplāvayati /
4.2.42.[2]	abhyātānādyuttaratantram /
4.2.42.[3]	apararātra etat karma kuryāt kṣetriyavyādhau //
4.2.43.[1]	abhyātānāntaṃ kṛtvā 'babhrorarjunakāṇḍasya' ityṛcārjunakāṣṭhaṃ yavabusaṃ tilapiñjikāṃ caikatra trīṇi baddhvā sampātyābhimantrya badhnāti /
4.2.43.[2]	tata uttaratantram /
4.2.43.[3]	kṣetriyavyādhau /
4.2.43.[4]	abhyātānāntaṃ kṛtvā 'babhrorarjuna' ityṛcākṛtiloṣṭaṃ jīvakoṣaṇyāṃ baddhvā sampātyābhimantrya badhnāti /
4.2.43.[5]	tata uttaratantram /
4.2.43.[6]	abhyātānāntaṃ kṛtvā 'babhrorarjuna' ityṛcā valmīkamṛttikāṃ carmajīvakoṣaṇyāṃ baddhvā sampātyābhimantrya badhnāti /
4.2.43.[7]	tata uttaratantram /
4.2.43.[8]	ekasmin vyādhau sarvatra karmaṇāṃ vikalpaḥ /
4.2.43.[9]	jīvataḥ paśoścarma jīvakoṣaṇītyucyate /
4.2.43.[10]	ajāyāścarmāvervāśvāyā vā carmagrahaṇam /
4.2.43.[11]	mātṛpitṛvargādāyātaḥ kaulaḥ kulabhavaḥ /
4.2.43.[12]	sarvatra karmaṇāṃ vikalpaḥ //
4.2.43.[13]	bhaiṣajyeṣu dvitīyā kaṇḍikā //
4.3.1.[1]	'namaste lāṅgalebhyaḥ' ityṛcodakaghaṭamabhimantrya vṛṣabhayuktasya halasyādhastāt kṛtvā vyādhitaṃ tato'bhiṣiñcati /
4.3.1.[2]	kṣetriyasya bhaiṣajyam //
4.3.2-4.[1]	tasmin garte vyādhitamupaveśyācāmayati /
4.3.2-4.[2]	uttaratantram /
4.3.2-4.[3]	kṣetriyabhaiṣajyam /
4.3.2-4.[4]	abhyātānāntaṃ kṛtvā 'namaḥ sanisrasākṣebhyaḥ' ityṛcodakaghaṭaṃ sampātyābhimantryottarasampātān jaradgartaḥ ānayati /
4.3.2-4.[5]	śālātṛṇasahite garte vyādhitamavasiñcati /
4.3.2-4.[6]	ācamanaṃ ca /
4.3.2-4.[7]	yatra kvacit snānaṃ tatra sarvatrācamanam /
4.3.2-4.[8]	tata uttaratantram /
4.3.2-4.[9]	yatra yatra snānaṃ prokṣaṇaṃ ca tatra sarvatra bhaiṣajyeṣu śiraḥprabhati mārjanaṃ kuryāt yāvat pādau /
4.3.2-4.[10]	samāptaṃ kṣetriyasya bhaiṣajyam //
4.3.2-4.[11]	atha brahmagrahe bhaiṣajyamucyate
4.3.5.[1]	abhyātānāntaṃ kṛtvā 'daśavṛkṣa' iti sūktena vṛkṣavikalpena palāśādidaśavṛkṣaśakalāni gṛhītvā lākṣāhiraṇyena veṣṭitaṃ maṇiṃ kṛtvā sampātyābhimantrya badhnāti /
4.3.5.[2]	tata uttaratantram /
4.3.5.[3]	brahmagrahe bhaiṣajyam //
4.3.6.[1]	daśa brāhmaṇā atharvāṅgirasaḥ suhṛdo 'daśavṛkṣa' iti sūktaṃ japanto vyādhitaśarīramabhimṛśanti /
4.3.6.[2]	sarvagrahe brahmagrahe /
4.3.6.[3]	grahabhaiṣajyaṃ samāptam //
4.3.7.[1]	catuṣpathe gatvābhyātānāntaṃ kṛtvā 'kṣetriyāttvā' iti sūktenodakaghaṭaṃ sampātyābhimantrya kāmpīlaśakalāni vyādhitaparvaṇi dattvā piñjūlīr ghaṭe prakṣipya tato'bhiṣiñcati /
4.3.7.[2]	tata ācamanam /
4.3.7.[3]	uttaratantram /
4.3.7.[4]	kṣetriyagrahe //
4.3.8.[1]	'kṣetriyāttvā' iti sūktenodakaghaṭaṃ saha piñjūlībhirabhimantrya catuṣpathe vyādhitaṃ kṛtvāvasiñcati /
4.3.8.[2]	kṣetriye grahe kāmpīlaśakalairbandhayitvā /
4.3.8.[3]	kṣetriyabhaiṣajyam /
4.3.8.[4]	samāptāni kṣetriyabhaiṣajyāni //
4.3.8.[5]	udakatṛṣākrāntabhaiṣajyam ucyate
4.3.9-11.[1]	udita āditye prabhāte pṛṣṭhasaṃhitāvupaveśya dvau puruṣau /
4.3.9-11.[2]	prāṅmukhaṃ vyādhitaṃ pratyaṅmukhamavyādhitaṃ vaitasaśākhāsūpaveśya vaitase camase saktūdakaṃ prakṣipya vaitasaśalākābhyāṃ manthaṃ nirmathya tṛṣṇāgṛhītasya śirasi manthamupamathya 'pārthivasya' iti sūktena camasamabhimantrya tṛṣitāya prayacchati yasya vyādhirbhavati //
4.3.12.[1]	'pārthivasya' iti sūktenāpsūdakamabhimantryoddhṛtya pāyayati /
4.3.12.[2]	tṛṣārte bhaiṣajyam //
4.3.13.[1]	'savāsinau' iti sūktena manthamabhimantrya pāyayati /
4.3.13.[2]	vyādhitāvyādhitāvekavastraparihitau santau /
4.3.13.[3]	tṛṣārtabhaiṣajyāni samāptāni //
4.3.13.[4]	aruṣodaragaṇḍulabhaiṣajyāny ucyante
4.3.14.[1]	tantraṃ kṛtvā 'indrasya yā mahī' iti sūktena kṛṣṇacaṇakān ghṛtamiśrāñjuhoti /
4.3.14.[2]	tantravikalpaḥ //
4.3.15.[1]	'indrasya yā mahī' iti sūktena govālān /
4.3.15.[2]	citrite śare savyaṃ pariveṣṭya pāṣāṇena cūrṇayati //
4.3.16.[1]	tataḥ sūktaṃ japitvāgnau pratapati //
4.3.17.[1]	tataḥ sūktāntenāgnāvādadhāti //
4.3.18.[1]	'indrasya yā mahī' iti sūktena savye haste pāṃsūn kṛtvā dakṣiṇena vimṛjya dakṣiṇāmukhaḥ sthitaḥ sūktaṃ japitvā vyādhitasyopari kirati /
4.3.18.[2]	aruṣīgaṇḍulakānāṃ bhaiṣajyam //
4.3.19.[1]	'indrasya yā mahī' iti sūktena pāṃsūn mardayati hastābhyāṃ vyādhitaḥ //
4.3.20.[1]	'indrasya yā mahī' iti sūktena pālāśaudumbarādyāḥ samidha ādadhāti /
4.3.20.[2]	samāptā udarakṛmaya udaragaṇḍulakāśca dṛṣṭakṛmayaśca teṣāṃ bhaiṣajyam //
4.3.20.[3]	atha gokṛmibhaiṣajyānyucyante
4.3.21-23.[1]	prātaḥ 'udyannādityaḥ' iti sūktaṃ japitvā gonāmoccārayitvā yasya krimayaḥ /
4.3.21-23.[2]	'te hatāḥ' iti mantreṇa darbhairāhanti krimīṇāṃ mukham //
4.3.24.[1]	etanmadhyandine kuryāt //
4.3.25.[1]	ādityasammukho'parāhṇe etat /
4.3.25.[2]	trikāle karmasamāptiḥ /
4.3.25.[3]	gonāmagrahaṇam 'asau' iti sthāne //
4.3.26.[1]	'udyannādityaḥ' iti sūktena ghṛtamiśrān kṛṣṇacaṇakāñjuhoti /
4.3.26.[2]	kṛmibhaiṣajyam /
4.3.26.[3]	'udyannādityaḥ' iti sūktena kalmāṣaṃ śaraṃ govālaveṣṭitaṃ dhārayati /
4.3.26.[4]	tataḥ pāṣāṇena cūrṇayati /
4.3.26.[5]	tataḥ sūktena pratapati /
4.3.26.[6]	tataḥ sūktena japitvāgnāvādadhāti juhotītyarthaḥ /
4.3.26.[7]	kṛmibhaiṣajyam /
4.3.26.[8]	'udyannādityaḥ' iti sūktena pāṃsūnabhimantrya vāme haste kṛtvā dakṣiṇāmukhaḥ pāṃsunā kṛmivraṇaṃ mardayati /
4.3.26.[9]	'udyann ādityaḥ' iti sūktena palāśavṛkṣādisamidha ādadhāti /
4.3.26.[10]	samāptaṃ sarvakṛmibhaiṣajyam manuṣyagajahastyaśvādiyūkālikṣādiṣu kṛmibhaiṣajyam //
4.3.26.[11]	sarvavyādhibhaiṣajyam ucyate
4.3.27-28.[1]	ājyatantraṃ kṛtvā vyādhitaṃ parvasu baddhvā 'akṣībhyāṃ te' iti sūktenodapātraṃ sampātya tataḥ punaḥ sūktaṃ japitvāvasicya vyādhitasya parvagranthīn vimuñcati /
4.3.27-28.[2]	tata uttaratantram /
4.3.27-28.[3]	samāptam akṣiroganāsikākarṇamūlaśirojihvāgrīvārājayakṣmādisarvavyādhibhaiṣajyam /
4.3.27-28.[4]	'akṣībhyāṃ te' iti sūktenābhimantrayate vyādhitam /
4.3.27-28.[5]	sarvavyādhibhaiṣajyaṃ samāptam //
4.3.27-28.[6]	atha kṣetriyavyādhibhaiṣajyānyucyante
4.3.29.[1]	tantraṃ kṛtvā 'hariṇasya' iti sūktena hariṇaśṛṅgamaṇiṃ sampātyābhimantrya badhnāti /
4.3.29.[2]	tata uttaratantram /
4.3.29.[3]	kṣetriyabhaiṣajyam /
4.3.29.[4]	'hariṇasya' iti sūktena hariṇaśṛṅgeṇa sahodakamabhimantrya pāyayatyācāmayati ca /
4.3.29.[5]	athoṣākāla etat karma /
4.3.29.[6]	hariṇavarma śaṅkudhānaṃ prajvālyodake prakṣipya tato 'hariṇasya' ityabhimantrya vyādhitamavasiñcati /
4.3.29.[7]	mārjanamācamanaṃ ca /
4.3.29.[8]	kṣetriyabhaiṣajyam //
4.3.30.[1]	'hariṇasya' iti sūktena yavāñjuhoti pratyṛcaṃ rāśeraparimitān madhyāt sakṛd grāhyā yavā ityarthaḥ /
4.3.30.[2]	kṣetriyabhaiṣajyam //
4.3.31.[1]	'hariṇasya' iti sūktena bhaktamabhimantrya bhojane prapādya prayacchati /
4.3.31.[2]	samāptaṃ kṣetriyabhaiṣajyam /
4.3.31.[3]	bālarogagṛhīte ca //
4.3.31.[4]	maithunadoṣavyādhibhaiṣajyānyucyante
4.3.32.[1]	'muñcāmi tvā' iti sūktena pūtigandhamatsyasahitamodanamabhimantrya vyādhitāya prayacchati bhakṣaṇārthaṃ bhojanakāle //
4.3.33.[1]	'muñcāmi tvā' iti sūktenāraṇyakatilaiḥ prajvālitamudakaṃ pātre prakṣipati /
4.3.33.[2]	tato'bhimantryoṣākāle'vasiñcati vyādhitam /
4.3.33.[3]	maithunarājayakṣmaṇi bhaiṣajyam /
4.3.33.[4]	uṣākāla idaṃ karma /
4.3.33.[5]	'muñcāmi tvā' iti sūktenāraṇyaśaṇenāvajvālitamudakamabhimantryāvasiñcati /
4.3.33.[6]	mārjanamācamanaṃ ca /
4.3.33.[7]	maithunavyādhibhaiṣajyam /
4.3.33.[8]	'muñcāmi tvā' iti sūktenāraṇyagomayenāvajvālitamudakamabhimantryāvasiñcatyuṣākāle /
4.3.33.[9]	mārjanamācamanaṃ ca /
4.3.33.[10]	maithunavyādhibhaiṣajyam /
4.3.33.[11]	uṣākāle 'muñcāmi tvā' iti sūktena cityādyābhiḥ prajvālitamudakamabhimantrya vyādhitamavasiñcati /
4.3.33.[12]	mārjanamācamanaṃ ca /
4.3.33.[13]	kecit tilaśaṇādicaturṣu karmasvaraṇye'vasekamicchanti /
4.3.33.[14]	kecidgṛhe'vasekamicchanti /
4.3.33.[15]	vikalpaḥ /
4.3.33.[16]	samāptaṃ maithunavyādhibhaiṣajyam /
4.3.33.[17]	'muñcāmi tvā' iti sūktena vyādhitamabhimantrayate /
4.3.33.[18]	sarvavyādhibhaiṣajyam //
4.3.33.[19]	atha sarvabhaiṣajyānyucyante
4.3.34.[1]	abhyātānāntaṃ kṛtvā 'ā gāvaḥ' iti daśabhiḥ sūktairghaṭamudakapūrṇaṃ sampātyābhimantrya vyādhitamāplāvayati /
4.3.34.[2]	mārjanācamane smartavye /
4.3.34.[3]	abhyātānādyuttaratantram /
4.3.34.[4]	sarvavyādhibhaiṣajyam /
4.3.34.[5]	tantraṃ kṛtvā 'muñca śīrṣaktyāḥ' ityṛcodakaghaṭaṃ sampātyābhimantryāplāvayati vyādhitam /
4.3.34.[6]	abhyātānādyuttaratantram /
4.3.34.[7]	āplavane sarvatra mārjanācamane ca /
4.3.34.[8]	sarvavyādhibhaiṣajyaṃ samāptam //
4.3.34.[9]	tṛtīyā kaṇḍikā //27 //
4.4.0.[1]	skandaviṣabhaiṣajyānyucyante
4.4.1.[1]	takṣakadevatāyai namaskāraṃ kṛtvā tato 'brāhmaṇo jajñe' 'vāridam' iti sūktābhyāmudakamabhimantryācāmayati viṣakaram /
4.4.1.[2]	takṣakāya namaskāraṃ kṛtvā 'brāhmaṇo jajñe' 'vāridam' iti sūktābhyāmudakamabhimantrya samprokṣati viṣaduṣṭam /
4.4.1.[3]	skandaviṣabhaiṣajya //
4.4.2.[1]	'brāhmaṇo jajñe' 'vāridam' iti sūktābhyāṃ kṛmukavṛkṣaśakalaṃ sahodakamabhimantrya tata ācāmayati /
4.4.2.[2]	skandaviṣabhaiṣajyam /
4.4.2.[3]	'brāhmaṇo jajñe' 'vāridam' iti sūktābhyāṃ kṛmukavṛkṣaśakalaṃ sahodakamabhimantryābhyukṣati /
4.4.2.[4]	tato mārjanamācamanaṃ ca sarvaṃ tūṣṇīm /
4.4.2.[5]	dūrśāvajvālitamudakamabhimantrya vyādhitamavasiñcati /
4.4.2.[6]	mārjanācamane ca /
4.4.2.[7]	sarvaṃ tūṣṇīm /
4.4.2.[8]	'brāhmaṇo jajñe' iti sūktābhyāṃ jīrṇahariṇacarmāvajvālitamudake prakṣipya tamabhimantrya tato'vasiñcati /
4.4.2.[9]	viṣabhaiṣajyam /
4.4.2.[10]	'brāhmaṇo jajñe' 'vāridam' iti sūktābhyāṃ sammārjanikāvakaratṛṇairavajvālitamudakamabhimantryāvasiñcati /
4.4.2.[11]	skandaviṣabhaiṣajyam //
4.4.3.[1]	abhyātānāntaṃ kṛtvā 'brāhmaṇo jajñe' 'vāridam' iti sūktābhyāmudapātraṃ sampātyābhimantryāplāvayati viṣaduṣṭam /
4.4.3.[2]	viṣabhaiṣajyam /
4.4.3.[3]	'brāhmaṇo jajñe' 'vāridam' iti sūktābhyāṃ viṣaliptābhyāṃ phalābhyāṃ saktumanthamupamathya tato'bhimantrya pāyayati /
4.4.3.[4]	viṣabhaiṣajyam /
4.4.3.[5]	'brāhmaṇo jajñe' 'vāridam' iti sūktābhyāṃ madanaphalāni pratyṛcamabhimantrya bhakṣayati /
4.4.3.[6]	yathā chardayati tathā ca kartavyam /
4.4.3.[7]	skandaviṣabhaiṣajyam //
4.4.4.[1]	'brāhmaṇo jajñe' 'vāridam' iti sūktābhyāṃ haridrāṃ sarpiṣā sahitāmabhimantrya pāyayati /
4.4.4.[2]	samāptaṃ skandaviṣabhaiṣajyam //
4.4.4.[3]	atha śastrādyabhighāte rudhirapravāhe bhaiṣajyānyucyante
4.4.5.[1]	'rohaṇyasi' iti sūktena lākṣodakaṃ kvāthitamabhimantrya vyādhideśamavasiñcati /
4.4.5.[2]	uṣākāle karma /
4.4.5.[3]	asthibhaṅge rudhirapravāhe daṃśaśastrābhighātādau bhaiṣajyam //
4.4.6.[1]	'rohaṇyasi' iti pṛṣātakaṃ ghṛtamiśraṃ dugdhamabhimantrya pāyayati /
4.4.6.[2]	'rohaṇyasi' iti sūktena kṣīraṃ ghṛtamiśraṃ kṛtvā vyādhideśaṃ mrakṣati /
4.4.6.[3]	aṅgabhaṅge 'ṅgachede 'ṅgarudhirapravāhe 'ṅgābhighāte 'ṅgabhagne 'ṅgamūḍhābhighāte 'ṅgavṛkṣābhighāte muṣṭiloṣṭeṣṭikāpaśuśṛṅgāgnipāṣāṇalakuṭaśastrādyabhighāte rudhirapravāhe vā śarīrachedādau bhaiṣajyaṃ samāptam //
4.4.6.[4]	atha rakṣobhaiṣajyamucyate
4.4.7.[1]	tantraṃ kṛtvā 'ā paśyati' iti sūktena sadampuṣpāmaṇiṃ sampātyābhimantrya badhnāti /
4.4.7.[2]	abhyātānādyuttaratantram /
4.4.7.[3]	sadampuṣpā trisandhyā prasiddhā /
4.4.7.[4]	brahmagrahe kṣatriyagrahe vaiśyagrahe śūdragrahe vānyeṣāṃ vyantarāṇāṃ piśācānāṃ rakṣasāṃ ca bhaiṣajyaṃ samāptam //
4.4.7.[5]	atha sarvavyādhibhaiṣajyamucyate
4.4.8.[1]	abhyātānāntaṃ kṛtvā 'bhavāśarvau manve vām' iti sūktena saptarcenaikaikayarcā kāmpīlasaptapuṭakānudakapūrṇān sampātyarcarcā tataḥ pratyṛcamabhimantrya tato vyādhitamavasiñcati /
4.4.8.[2]	tataḥ puṭaṃ paścāt kṣipati /
4.4.8.[3]	evaṃ dvitīyamevaṃ tṛtīyam /
4.4.8.[4]	tata uttaratantram /
4.4.8.[5]	samāptaṃ sarvavyādhibhaiṣajyam //
4.4.8.[6]	sarvabhūtagrahabhaiṣajyamucyate
4.4.9.[1]	'tvayā pūrvam' iti sūktena śamīparṇacūrṇaṃ śamīphale kṛtvābhimantrya saktumadhye dadāti bhakṣārtham /
4.4.9.[2]	rakṣograhe bhaiṣajyam //
4.4.10.[1]	'tvayā pūrvam' iti sūktena śamīparṇacūrṇaṃ śamīphale kṛtvābhimantryālaṅkāre dadāti vyādhitasya /
4.4.10.[2]	sarvagrahabhaiṣajyam //
4.4.11.[1]	'tvayā pūrvam' iti sūktena śamīcūrṇaṃ kṛtvābhimantrya śālāṃ cūrṇaiḥ parikirati /
4.4.11.[2]	vyādhitasya śālām /
4.4.11.[3]	rakṣograhāpsarograhagandharvagrahasarvagrahabhaiṣajyaṃ samāptam //
4.4.11.[4]	athāmatigṛhīte bhaiṣajyamucyate
4.4.12.[1]	'utāmṛtāsuḥ' ityṛcā bhojanakāle bhaktamabhimantrya dadāti bhakṣaṇārtham prajñāpranaṣṭe'jñānagṛhīte'dharmagṛhīte trivarge ca vinaṣṭe dyūtakrīḍādyatipratte kubuddhibhaiṣajyam //
4.4.12.[2]	rājayakṣmaṇi śiroroge kuṣṭhāmaye sarvagātravedanāyāṃ bhaiṣajyamucyate
4.4.13.[1]	'yo giriṣvajāyathāḥ' iti sūktena 'triḥ śāmbubhyo aṅgirebhyaḥ' iti caturṛcena kuṣṭhapiṣṭaṃ navanītamiśraṃ kṛtvābhimantryāpratīhāraṃ vyādhitasya śarīraṃ pralimpati /
4.4.13.[2]	rājayakṣmaṇi śiroroge kuṣṭhāmaye sarvagātravedanāsu bhaiṣajyaṃ samāptam //
4.4.13.[3]	atha śastrādyabhighāte bhaiṣajyamucyate
4.4.14.[1]	'rātrī mātā' iti sūktena dugdhe lākṣāṃ kvāthayitvābhimantrya pāyayati /
4.4.14.[2]	śastrādyabhighāte pāṣāṇapatanābhighāte'gnidāhe sarvaśarīrābhighāte bhaiṣajyaṃ samāptam //
4.4.14.[3]	sūtikā strī ariṣṭakasya ca bhaiṣajyānyucyante
4.4.15.[1]	'brahma jajñānam' 'anāptā ye' 'sahasradhāra eva te' iti sūktena bhaktamabhimantrya dadāti bhakṣaṇārtham /
4.4.15.[2]	pūrvaṃ strī praveśya tūṣṇīṃ tataḥ paścāt kartā tūṣṇīṃ praviśya sūktena bhaktamabhimantrya dadyāt //
4.4.16.[1]	'brahma jajñānam' 'anāptā ye' 'sahasradhāra eva te' iti sūktena saktumanthamabhimantrya pāyayati /
4.4.16.[2]	tenaiva sūktenopasthānamādityasya /
4.4.16.[3]	'brahma jajñānam' iti sūktenodakamabhimantryācāmayati /
4.4.16.[4]	samāptaṃ strīprasavadoṣe sūtikāroge ca bhaiṣajyam /
4.4.16.[5]	adbhutadarśane doṣanāśanabhaiṣajyaṃ samāptam //
4.4.16.[6]	sarvādbhuteṣu bhaktakarma vācamanakarma vā kuryāt /
4.4.16.[7]	yāni carakādivaidyakeṣvadbhutāni paṭhyante'svasthaśārīraviṣaye teṣāṃ sarveṣāmiyaṃ śāntirbhaiṣajyaṃ bhavati /
4.4.16.[8]	yāni cādbhutāni śarīraroge jyotiṣe paṭhyante teṣāmapīdaṃ karma //
4.4.16.[9]	atha sarvavyādhibhaiṣajyamucyate
4.4.17.[1]	tantraṃ kṛtvā 'dive svāhā' iti sūktena catura udapātre sampātānānayati //
4.4.18-19.[1]	dvau sampātau bhūmau dattvā tataḥ sampātitāṃ bhūmimṛttikāṃ saṅgṛhya tata udapātre prakṣipya tato'bhimantraṇaṃ kṛtvā vyādhitamāplāvayati /
4.4.18-19.[2]	'dive svāhā' iti tribhiḥ svāhākārairekaḥ sampātaḥ /
4.4.18-19.[3]	tribhiḥ svāhākāraistrayaḥ sampātāḥ /
4.4.18-19.[4]	dvau dvābhyāmṛgbhyāṃ sampātau /
4.4.18-19.[5]	evaṃ ṣaḍ bhavanti /
4.4.18-19.[6]	abhyātānādyuttaratantram /
4.4.18-19.[7]	abhyātānāntaṃ kṛtvā 'imaṃ yavam' iti sūktenārdharcenārdharcena homaḥ /
4.4.18-19.[8]	udapātre sampātānānīya dvau bhūmau sampātau /
4.4.18-19.[9]	tau gṛhītvodapātre prakṣipya tato'bhimantraṇam /
4.4.18-19.[10]	tata āplāvayati vyādhitam /
4.4.18-19.[11]	abhyātānādyuttaratantram /
4.4.18-19.[12]	sarvavyādhibhaiṣajyam //
4.4.20.[1]	abhyātānāntaṃ kṛtvā 'dive svāhā' iti sūktena ṣaṭ sampātān karoti yavasahita udapātre caturaḥ sampātānānayati /
4.4.20.[2]	dvau sampātau bhūmau dattvā mṛttikāmudapātre prakṣipya tato'bhimantraṇamāplāvanaṃ ca /
4.4.20.[3]	abhyātānādyuttaratantram /
4.4.20.[4]	'dive svāhā' iti tribhiḥ svāhākārairekaḥ sampātaḥ /
4.4.20.[5]	anyat sarvaṃ yathārthaṃ kuryāt /
4.4.20.[6]	evaṃ ṣaṭ sarvatra kuryāt /
4.4.20.[7]	tantraṃ kṛtvā 'imaṃ yavam' iti sūktenārdharcena ṣaḍ homān kṛtvā catura udapātre sampātānānayati /
4.4.20.[8]	dvau pṛthivyām /
4.4.20.[9]	tāvudapātre prakṣipya tataḥ sūktenābhimantraṇam /
4.4.20.[10]	yavasahita udapātre sampātāḥ /
4.4.20.[11]	tato'bhiṣecanaṃ mārjanamācamanaṃ ca /
4.4.20.[12]	abhyātānādyuttaratantram /
4.4.20.[13]	sarvavyādhibhaiṣajyaṃ samāptam /
4.4.20.[14]	abhyātānāntaṃ kṛtvā 'imaṃ yavam' iti sūktena yavamaṇiṃ sampātyābhimantrya badhnāti /
4.4.20.[15]	tata uttaratantram /
4.4.20.[16]	śītajvarakṣudrajvarakāmajvaraśleṣmajvaragrīṣmajvara- varṣājvaradānadravyatyāgapratigrahayājanādhyayanādhyāpanayājyayājanabuddhidhvānte akṣipaṭalodvege strīṣu puruṣeṣu pāpalakṣaṇāpakāmahṛdaya- tāpaharṣaviṣādāpasmāreṣu /
4.4.20.[17]	sarvaśabdena kathyante /
4.4.20.[18]	sarvavyādhibhaiṣajyaṃ yatra ekasmin vyādhau bahūni karmāṇi vihitāni sarvasmin śāstre tatra sarvatra karmaṇāṃ vikalpaḥ /
4.4.20.[19]	yatrābhiṣeko'vasecanaṃ tatrācamanaṃ mārjanaṃ ca sarvatra //
4.4.20.[20]	caturthī kaṇḍikā //28 //
4.5.0.[1]	sarpaviṣabhaiṣajyam ucyate
4.5.1.[1]	takṣakāya namaskāraṃ kṛtvā 'dadirhi' ityṛcodakamabhimantryācāmayati sarpādiviṣabhaiṣajyam /
4.5.1.[2]	takṣakāya namaskāraṃ kṛtvā 'dadirhi' ityṛcodakamabhimantryāvasiñcati viṣadaṣṭam /
4.5.1.[3]	viṣabhaiṣajyam /
4.5.1.[4]	'dadirhi' ityṛcā kṛmukavṛkṣaśakalaṃ saṅghṛṣya tata udakaṃ ca prakṣipya tato'bhimantryāvasiñcati viṣadhāritam /
4.5.1.[5]	'dadirhi' ityṛcodakaṃ carmāgniprajvālitamabhimantrya vyādhitamavasiñcati /
4.5.1.[6]	'dadirhi' ity ṛcā hariṇajīrṇacarmāvajvālitam udakam abhimantryāvasiñcati /
4.5.1.[7]	'dadirhi' ity ṛcā mārjanikāvakaratṛṇāvajvālitodakam abhimantryāvasiñcati /
4.5.1.[8]	jaṅgamaviṣabhaiṣajyam /
4.5.1.[9]	abhyātānāntaṃ kṛtvā 'dadirhi' ityṛcodapātraṃ sampātya tataḥ pāyayati /
4.5.1.[10]	'dadirhi' ityṛcā saktumanthamūrdhvaphalābhyāṃ viṣaliptābhyāṃ mathitvābhimantrya pāyayati sarpadaṣṭam /
4.5.1.[11]	jaṅgamaviṣabhaiṣajyam /
4.5.1.[12]	'dadirhi' ityṛcā madanaphalamabhimantrya bhakṣayati chardanārtham /
4.5.1.[13]	jaṅgamaviṣabhaiṣajyam /
4.5.1.[14]	'dadirhi' ityṛcā haridrāṃ ghṛtaṃ ca sahābhimantrya pāyayati /
4.5.1.[15]	jaṅgamaviṣabhaiṣajyam //
4.5.2-3.[1]	'yatte apodakam' ityṛcāpradakṣiṇaṃ vyādhitaṃ parikrāmati /
4.5.2-3.[2]	viṣastambhanabhaiṣajyam /
4.5.2-3.[3]	viṣaṃ stambhitaṃ nānyenottārayituṃ śakyate vana vedamantreṇa //
4.5.4.[1]	'yatte apodakam' ityṛcaṃ japitvā śikhāṃ badhnāti /
4.5.4.[2]	viṣastambhanabhaiṣajyam /
4.5.4.[3]	'yatte apodakam' ityṛcaṃ japitvā śvetavastreṇa granthiṃ badhnāti /
4.5.4.[4]	viṣastambhanabhaiṣajyam /
4.5.4.[5]	'yatte apodakam' ityekāṃ japitvā śaṇastambe granthiṃ badhnāti /
4.5.4.[6]	viṣaṃ na visarpati /
4.5.4.[7]	deśasthitaṃ bhavati /
4.5.4.[8]	śarīre na sarpati /
4.5.4.[9]	viṣastambhanaṃ bhavati //
4.5.5.[1]	'vṛṣā me ravaḥ' ityṛcā yasmin sthāne daṣṭaṃ taṃ sthānaṃ pīḍayati ṛcaṃ japitvā /
4.5.5.[2]	deśādviṣamanyatra gacchati /
4.5.5.[3]	viṣanāśane bhaiṣajyam //
4.5.6.[1]	'cakṣuṣā te cakṣuḥ' ityṛcācāryastataḥ pradakṣiṇaṃ parikrāmati /
4.5.6.[2]	'apehyarirasi' ityṛcaṃ japitvā tṛṇāni prajvālya tato'herabhimukhaṃ kṣipati //
4.5.7.[1]	'apehyarirasi' ityṛcaṃ japitvā yato daṣṭastato jvalitatṛṇāni kṣipati daśane //
4.5.8.[1]	'kairāta pṛśne' ityṛcodakaṃ gṛhatṛṇāvajvālitamabhimantrya vyādhitaṃ pāyayati prokṣati ca //
4.5.9.[1]	'asitasya' ityṛcārtnījyāpāśaṃ sampātyābhimantrya badhnātyājyatantre /
4.5.9.[2]	viṣabhaiṣajyam //
4.5.10.[1]	'āligī ca viligī ca' 'urugalāyāḥ' iti dvābhyāṃ madhumakṣikāṃ madhuvṛkṣamṛttikāṃ cābhimantrya pāyayati //
4.5.11.[1]	'karṇā śvāvittadabravīt' ityṛcā śukasārikṛśānāṃ purīṣaṃ śvāvitpurīṣamityucyate /
4.5.11.[2]	purīṣamabhimantrya pāyayati viṣadaṣṭam //
4.5.12.[1]	'karṇā śvāvittadabravīt' ityṛcā śalalīmāṃsamabhimantrya prāśayati /
4.5.12.[2]	viṣanāśanabhaiṣajyam //
4.5.13.[1]	'tābuvaṃ na tābuvam' ityṛcālābumadhya udakaṃ prakṣipya tato'bhimantryācāmayati /
4.5.13.[2]	sarpaviṣabhaiṣajyam //
4.5.14.[1]	'tastuvaṃ na tastuvam' ityṛcālābuvṛntaṃ sampātyābhimantrya badhnātyājyatantre /
4.5.14.[2]	sarpaviṣadaṣṭam /
4.5.14.[3]	sarvatra karmaṇāṃ prayogo vikalpena na samuccayaḥ /
4.5.14.[4]	ekaṃ kuryād dve vā trīṇi vā sarvāṇi vā /
