#Text:Baudhāyanaśulbasūtra
#Edition:Kashikar
#Notes:i.e. BaudhŚS 30



30.1.1	atheme 'gnicayāḥ
30.10.46	pādeṣṭake ardheṣṭaketi pakṣapattrāṇāṃ prācīr vyatyāsaṃ cinuyāt
30.10.47	viśaye yad apacchinnaṃ tasminn ardheṣṭakāḥ pādeṣṭakāś copadadhyāt
30.10.48	śeṣam agniṃ caturbhāgīyābhiḥ pracchādayet
30.10.49	pādyābhiḥ sārdhyābhiḥ saṃkhyāṃ pūrayet
30.11.1	athāparaḥ
30.11.2	puruṣasya pañcamībhiḥ śatam aśītiḥ saptārdhaṃ ca sāratniprādeśaḥ saptavidhaḥ saṃpadyate
30.11.3	tāsāṃ pañcāśaddve cātmani
30.11.4	ardhacaturthyaḥ śirasi
30.11.5	pañcadaśa pucche
30.11.6	aṣṭapañcāśat sārdhyā dakṣiṇe pakṣa upadadhyāt
30.11.7	athottare
30.11.8	ardhavyāyāmena sraktīnām apacchedaḥ
30.11.9	saṃnataṃ puccham
30.11.10	pakṣayos tribhistribhir aratnibhir apanāmaḥ
30.11.11	adhyardhyābhiḥ ṣaṭṣaṭ pattrāṇi kuryāt
30.11.12	ākṛtiḥ śiraso nityā
30.11.13	atheṣṭakānāṃ vikārāḥ
30.11.14	puruṣasya pañcamyaḥ
30.11.15	tā evaikato 'dhyardhāḥ
30.11.16	tā evaikataḥ sapādāḥ
30.11.17	pañcamabhāgīyāyāḥ pādyāḥ sārdhyāḥ
30.11.18	tathādhyardhāyāḥ
30.11.19	tayoś cāṣṭamabhāgau tathā śleṣayed yathā tisraḥ sraktayo bhavanti
30.11.20	pañcamabhāgīyāyāś cāṣṭamyaḥ
30.11.21	tāni daśa
30.11.22	ātmani pañcamabhāgīyāḥ sārdhyā upadadhyāt
30.11.23	tathā pucche
30.11.24	pakṣayoś cādhyardhāḥ sārdhyāḥ
30.11.25	śirasi yāḥ saṃbhavanti
30.11.26	aparasmin prastāre pūrvayoḥ pakṣāpyayayor ekaikām ubhayīm upadadhyād ekaikām aparayoḥ
30.11.27	dvedve śirasaḥ pārśvayoḥ
30.11.28	pucchasyāvastād adhyardhāḥ prācīr yathāvakāśam
30.11.29	pārśvayoḥ pādyāḥ sāṣṭamabhāgāḥ
30.11.30	pakṣayoś cādhyardhāḥ sāvayavāḥ
30.11.31	śeṣaṃ yathāyogaṃ yathāsaṃkhyaṃ yathādharmaṃ copadadhyāt
30.12.1	kaṅkacita etenātmā pucchaṃ ca vyākhyātam
30.12.2	śirasi pañcopadadhyāt
30.12.3	tasyākṛtir vyākhyātā
30.12.4	saptapañcāśad dakṣiṇe pakṣa upadadhyāt
30.12.5	tathottare
30.12.6	vyāyāmena saprādeśena pakṣayor apanāmaḥ
30.12.7	pañcamabhāgīyārdhyābhiḥ ṣaṭṣaṭ pattrāṇi kuryāt
30.12.8	adhyardhāvaśiṣyate
30.12.9	tayā pucchasyāvastāt pādāv aratnimātrāv aratnyantarālau prādeśavyāsau bhavataḥ
30.12.10	tayor avastād abhito dvaudvāv aṣṭamabhāgau prāgbhedāv upadadhyāt
30.12.11	evaṃ sāratniprādeśaḥ saptavidhaḥ saṃpadyate
30.12.12	atheṣṭakānāṃ vikārāḥ
30.12.13	pañcamabhāgīyāḥ sāvayavāḥ
30.12.14	pādeṣṭakāṃ caturbhiḥ parigṛhṇīyād ardhaprādeśenādhyardhaprādeśena prādeśena prādeśasaviśeṣeneti
30.12.15	adhyardheṣṭakāṃ caturbhiḥ parigṛhṇīyād ardhavyāyāmena dvābhyām aratnibhyām aratnisaviśeṣeṇeti
30.12.16	tāḥ ṣaṭ
30.12.17	tāsāṃ caturaśrapādyāḥ sāṣṭamabhāgāḥ pādayor upadhāya śeṣaṃ yathāyogaṃ yathāsaṃkhyaṃ yathādharmaṃ copadadhyāt
30.13.1	alajacita etenātmā śiraḥ pucchaṃ ca vyākhyātaṃ padāv apoddhṛtya
30.13.2	triṣaṣṭir dakṣiṇe pakṣa upadadhyāt
30.13.3	tathottare
30.13.4	puruṣeṇa pakṣayor apanāmaḥ
30.13.5	aprasmād apanāmāt prāñcam aratniṃ mitvā tasmin spadyāṃ niyamyāparaṃ pakṣapattrāpacchedam anvāyacchet
30.13.6	evaṃ pañca pañcamyaḥ sārdhyā uddhṛtā bhavanti
30.13.7	pādeṣṭakām apanāma upadhāya tāsāṃ cturaśrapādyāḥ sāṣṭamabhāgā apoddhṛtya śeṣaṃ yathāyogaṃ yathāsaṃkhyaṃ yathādharmaṃ copadadhyāt
30.14.1	praugacitaṃ cinvīteti
30.14.2	yāvān agniḥ sāratniprādeśas tāvat praugaṃ kṛtvā tasyāparasyāḥ karaṇyā dvādaśeneṣṭakās tadardhavyāsāḥ kārayet
30.14.3	tāsām ardhyāḥ pādyāś ca
30.14.4	tāsāṃ dve ardheṣṭake bāhyasaviśeṣe cubuka upadadhyād ardhyāś cāntayoḥ
30.14.5	śeṣam agniṃ bṛhatībhiḥ pracchādayet
30.14.6	ardheṣṭakābhiḥ saṃkhyāṃ pūrayet
30.14.7	aparasmin prastāre 'parasminn anīke saptacatvāriṃśat pādeṣṭakā vyatiṣaktā upadadhyāt
30.14.8	cubuka ekāṃ śūlapādyām
30.14.9	dīrghe cetare catasraḥ svayamātṛṇṇāvakāśa upadadhyād ardhyāś cāntayoḥ
30.14.10	śeṣam agniṃ bṛhatībhiḥ prācībhiḥ pracchādayet
30.14.11	ardheṣṭakābhiḥ saṃkhyāṃ pūrayet
30.15.1	ubhayataḥpraugaṃ cinvīteti
30.15.2	yāvān agniḥ sāratniprādeśas tāvad ubhayataḥpraugaṃ kṛtvā
30.15.3	navamena tiryaṅmānyāḥ praugacitoktā vikārāḥ
30.15.4	tathopadhānam
30.15.5	aparasmin prastāre cubukayor dve pādeṣṭake upadadhyāt saṃdhyantayoś ca dīrghapādye
30.15.6	dīrghe cetare ca catasraḥ svayamātṛṇṇāvakāśa upadadhyād ardhyāś cāntayoḥ
30.15.7	śeṣam agniṃ bṛhatībhiḥ prācībhiḥ pracchādayet
30.15.8	ardheṣṭakābhiḥ saṃkhyāṃ pūrayet
30.16.1	rathacakracitaṃ cinvīteti vijñāyate
30.16.2	dvayāni tu khalu rathacakrāṇi bhavanti sārāṇi ca pradhiyuktāni ca
30.16.3	aviśeṣātte manyāmahe
30.16.4	anyatarasyākṛtir iti
30.16.5	athāgniṃ vimimīte
30.16.6	yāvān agniḥ sāratniprādeśas tāvatīṃ bhūmiṃ parimaṇḍalāṃ kṛtvā tasmin yāvat saṃbhavet tāvat samacaturaśraṃ kṛtvā tasya karṇyā dvādaśeneṣṭakāḥ kārayet
30.16.7	tāsāṃ ṣaṭ pradhāv upadhāya śeṣam aṣṭadhā vibhajet
30.16.8	aparaṃ prastāraṃ tathopadadhyād yathā pradhyanīkeṣu sraktayo bhavanti
30.16.9	athāparaḥ
30.16.10	puruṣārdhāt pañcadaśeneṣṭakāḥ samacaturaśrāḥ kārayen mānārthāḥ
30.16.11	tāsāṃ dve śate pañcaviṃśatiś ca sāratniprādeśaḥ saptavidhaḥ saṃpadyate
30.16.12	tāsv anyāś catuḥṣaṣṭim āvapet
30.16.13	tābhiḥ samacaturaśraṃ karoti
30.16.14	tasya ṣoḍaśeṣṭakā pārśvamānī bhavati
30.16.15	trayastriṃśad atiśiṣyante
30.16.16	tābhir antān sarvaśaḥ paricinuyāt
30.16.17	nābhiḥ ṣoḍaśa madhyamāḥ
30.16.18	catuḥṣaṣṭir arāḥ
30.16.19	catuḥṣaṣṭir vediḥ
30.16.20	nābhiḥ śeṣā
30.16.21	nābhim antataḥ parilikhet
30.16.22	nemim antataś cāntarataś ca parilikhya neminābhyor antarālaṃ dvātriṃśaddhā vibhajya viparyāsaṃ bhāgān uddharet
30.16.23	evam avāpa uddhṛto bhavati
30.16.24	nemiṃ catuḥṣaṣṭiṃ kṛtvā vyavalikhya madhye parikṛṣet
30.16.25	tā aṣṭāviṃśatiśataṃ bhavanti
30.16.26	arāṃś caturdhācaturdhā nābhim aṣṭadhā vibhajet
30.16.27	eṣa prathamaḥ prastāraḥ
30.16.28	aparasmin prastāre nābhim antataś caturthavelāyāṃ parikṛṣen nemim antarataḥ
30.16.29	nemim antarataś catuḥṣaṣṭiṃ kṛtvā vyavalikhet
30.16.30	arāṇāṃ pañcadhā vibhāga ā parikarṣaṇayoḥ
30.16.31	nemyām antarāleṣu dvedve nābhyām antarāleṣv ekaikām
30.16.32	yaccheṣaṃ nābhes tad aṣṭadhā vibhajet
30.16.33	sa eṣa ṣoḍaśakaraṇaḥ sāro rathacakracit
30.17.1	droṇacitaṃ cinvīteti vijñāyate
30.17.2	dvayāni tu khalu droṇāni bhavanti caturaśrāṇi ca parimaṇḍalāni ca
30.17.3	aviśeṣātte manyāmahe
30.17.4	anyatarasyākṛtir iti
30.17.5	athāgniṃ vimimīte
30.17.6	caturaśra ātmā bhavati
30.17.7	tasya trayaḥ puruṣās tribhāgonāḥ pārśvamānī
30.17.8	paścāttsarur bhavati
30.17.9	tasyārdhapuruṣo daśāṅgulāni ca prācī
30.17.10	tribhāgonaḥ puruṣa udīcīti
30.17.11	evaṃ sāratniprādeśaḥ saptavidhaḥ saṃpadyate
30.17.12	atheṣṭakānāṃ vikārāḥ
30.17.13	puruṣasya ṣaṣṭhyaḥ
30.17.14	tā evaikato 'dhyardhāḥ
30.17.15	tāsām ardhyās tiryagbhedāḥ puruṣasya caturthya iti
30.17.16	tāsāṃ tsaruśroṇyantarālayoḥ ṣaṭ ṣaṣṭīr upadhāya śeṣam agniṃ bṛhatībhiḥ pracchādayet
30.17.17	ardheṣṭakābhiḥ saṃkhyāṃ pūrayet
30.17.18	aparasmin prastāre dakṣiṇe 'ṃse 'dhyardhām udīcīm upadadhyāt
30.17.19	tathottare
30.17.20	pūrvasminn anīke ṣaḍbhāgīyā upadadhyāt
30.17.21	dakṣiṇottarayoś caturbhāgīyāḥ
30.17.22	tsaroḥ purastāt pārśvayor dve caturbhāgīye upadadhyāt
30.17.23	tayor avastād abhito dvedve adhyardhe viṣūcī
30.17.24	tayor avastān madhyadeśe dve ṣaṣṭhyau prācyau
30.17.25	śeṣam agniṃ bṛhatībhiḥ prācībhiḥ pracchādayet
30.17.26	ardheṣṭakābhiḥ saṃkhyāṃ pūrayet
30.18.1	athāparaḥ
30.18.2	puruṣasya ṣoḍaśībhir viṃśaśataṃ sāratniprādeśaḥ saptavidhaḥ saṃpadyate
30.18.3	tāsām ekām apoddhṛtya śeṣāḥ parimaṇḍalaṃ karoti
30.18.4	tat pūrveṇa rathacakracitā vyākhyātam
30.18.5	ṣoḍaśīṃ purastād viśaya upadhāya tayā saha maṇḍalaṃ parilikhet
30.18.6	yad avastād apacchinnaṃ tat purastād upadadhyāt
30.18.7	pradhīnāṃ saptadhā vibhāgaḥ
30.18.8	pradhimadhyamāḥ prakramavyāsā bhavanti
30.18.9	caturaśrāṇām ardhyābhiḥ saṃkhyāṃ pūrayet
30.18.10	aparasmin prastāre pradhimadhyamām oṣṭha upadhāya yad avastāt tad dvedhā vibhajet
30.18.11	sa eṣa navakaraṇo droṇacit parimaṇḍalaḥ
30.18.12	samūhyaparicāyyau pūrveṇa rathacakracitā vyākhyātau
30.18.13	samūhyasya dikṣu cātvālān khānayitvā tebhyaḥ purīṣaṃ samūhyopadadhyāt
30.18.14	paricāyya iṣṭakānāṃ deśabhedaḥ
30.18.15	taṃ sarvābhiḥ pradakṣiṇaṃ paricinuyāt
30.19.1	śmaśānacitaṃ cinvīteti vijñāyate
30.19.2	sarvam agniṃ caturaśrān pañcadaśa bhāgān kṛtvā teṣām ākhyātam upadhānam
30.19.3	tribhir bhāgair bhāgārdhavyāsaṃ dīrghacaturaśraṃ vihṛtya pūrvasyāḥ karaṇyā madhyāc chroṇī pratyālikhyāntāv uddharet
30.19.4	tasya daśadhā vibhāgaḥ
30.19.5	tāni viṃśatiḥ sarvo 'gniḥ saṃpadyate
30.19.6	aparasmin prastāre praugamadhye 'nūcīnaṃ vibhajet
30.19.7	tasya ṣaḍdhā vibhāgaḥ
30.19.8	te dve pārśvayor upadadhyāt
30.19.9	bhāgatṛtīyāyāmāś caturthavyāsāḥ kārayet
30.19.10	tāsām ardhyās tiryagbhedāḥ
30.19.11	tā antayor upadhāya śeṣam agniṃ bṛhatībhiḥ prācībhiḥ pracchādayet
30.19.12	ardheṣṭakābhiḥ saṃkhyāṃ pūrayet
30.19.13	ūrdhvapramāṇam agneḥ pañcamena vardhayet
30.19.14	tat sarvaṃ traidhā vibhajya dvayor bhāgayoś caturthena vā navamena vā caturdaśena veṣṭakāḥ kārayet
30.19.15	tābhiś catasro vā nava vā caturdaśa vā citīr upadhāya śeṣam avāñcam akṣṇayāpacchindyād ardham uddharet
30.19.16	tasya nityo vibhāgaḥ
30.19.17	yathāyogam iṣṭakānāṃ hrāsavṛddhī
30.20.1	kūrmacitaṃ cinvīta yaḥ kāmayeta brahmalokam abhijayeyam iti vijñāyate
30.20.2	dvayāḥ khalu kūrmā bhavanti vakrāṅgāś ca parimaṇḍalāś ca
30.20.3	aviśeṣātte manyāmahe
30.20.4	anyatarasyākṛtir iti
30.20.5	athāgniṃ vimimīte
30.20.6	caturaśra ātmā bhavati
30.20.7	tasya daśa prakramāḥ pārśvamānī bhavati
30.20.8	tasya dvābhyāṃdvābhyāṃ prakramābhyāṃ sraktīnām apacchedaḥ
30.20.9	pūrvasminn anīke prakramapramāṇāni catvāri caturaśrāṇi kṛtvā teṣāṃ ye antye te akṣṇayāpacchindyāt
30.20.10	evaṃ dakṣiṇata evaṃ paścād evam uttarataḥ
30.20.11	sa ātmā
30.20.12	śiraḥ pañcapadāyāmam ardhapuruṣavyāsam
30.20.13	tasyāṃsau prakrameṇaprakrameṇāpacchindyāt
30.20.14	sraktyapacchede pādān unnayet
30.20.15	tasya dvipadākṣṇayā tiraścī tad dviguṇāyāmam anūcī
30.20.16	tasya dvipadākṣṇayā pūrvam aṃsam apacchindyāt
30.20.17	etenetareṣāṃ pādānām apacchedā vyākhyātāḥ
30.20.18	aparayoḥ pādayor aparāv aṃsāv apacchindyāt
30.20.19	evaṃ sāratniprādeśaḥ saptavidhaḥ saṃpadyate
30.20.20	tasyeṣṭakāḥ kārayet puruṣasya caturthyaḥ
30.20.21	tāsām ardhyāḥ pādyāś ca
30.20.22	adhyardhapādyāś caturbhiḥ parigṛhṇīyāt prakrameṇa dvābhyāṃ padābhyāṃ padasaviśeṣeṇeti
30.20.23	te dve yathā dīrghasaṃśliṣṭe syātāṃ tathaikāṃ kārayet
30.20.24	dvipadākṣyaṇārdhena samacaturaśrām ekām
30.20.25	upadhāne śiraso 'gre caturaśrām upadadhyāt
30.20.26	haṃsamukhyāv avastāt
30.20.27	pañcapañca caturaśrā dvedve pādeṣṭake iti pādeṣūpadadhyāt
30.20.28	yadyad apacchinnaṃ tasminn ardheṣṭakā upadadhyāc cheṣam agniṃ caturbhāgīyābhiḥ pracchādayet
30.20.29	ardheṣṭakābhiḥ saṃkhyāṃ pūrayet
30.20.30	aparasmin prastāre śiraso 'gre haṃsamukhīm upadadhyāt pādeṣṭake abhitaḥ
30.20.31	tayor avastād abhito dvedve adhyardhapādye viṣūcī
30.20.32	tayor avastād abhitaś chedasaṃhite dve pādeṣṭake
30.20.33	dvedve dvipade tisrastisro 'rdheṣṭakā iti pādeṣūpadadhyāt
30.20.34	yadyad apacchinnaṃ tasminn ardheṣṭakāḥ padeṣṭakāś copadadhyāt
30.20.35	śeṣam agniṃ caturbhāgīyābhiḥ pracchādayet
30.20.36	ardheṣṭakābhiḥ saṃkhyāṃ pūrayet
30.21.1	athāparaḥ
30.21.2	puruṣasya ṣoḍaśībhir viṃśaśataṃ sāratniprādeśaḥ saptavidhaḥ saṃpadyate
30.21.3	tāsāṃ pañca ṣoḍaśīr apoddhṛtya śeṣāḥ parimaṇḍalaṃ karoti
30.21.4	tad uttareṇa droṇacitā vyākhyātam
30.21.5	atha tāḥ pañca ṣoḍaśyas tābhir avāntaradikṣu pādān unnayec chiraḥ purastāt
30.21.6	tāsāṃ parikarṣaṇaṃ vyākhyātam
30.21.7	pradhīnāṃ saptadhā vibhāgaḥ
30.21.8	pradhimadhyamāḥ prakramavyāsā bhavanti
30.21.9	yad atiriktaṃ saṃpadyate tac caturaśrāṇām adhyardhābhir yoyujyeta
30.21.10	aparasmin prastāre pādānāṃ śirovadvibhāgaḥ śirasaḥ pādavat
30.21.11	vyatyāsaṃ cinuyād yāvataḥ prastārāṃś cikīrṣet
30.21.12	kūrmasyānte tanupurīṣam upadadhyān madhye bahulam
30.21.13	etad eva droṇe viparītam
30.21.14	atha haika ekavidhaprabhṛtīn praugādīn bruvate
30.21.15	samacaturaśrān eka ācāryāḥ
30.21.16	tasya karaṇyā dvādaśeneṣṭakāḥ kārayet
30.21.17	tāsām ardhyāḥ pādyāś ca
30.21.18	athāśvamedhikasyāgneḥ puruṣābhyāso nāratniprādeśānām
30.21.19	prākṛto vā triguṇaḥ
30.21.20	tristāvo 'gnir bhavatīty ekaviṃśo 'gnir bhavatīty ubhayaṃ brāhmaṇam ubhayaṃ brāhmaṇam
