#Text:Gobhilagṛhyasūtra
#Edition:Knauer (DCS version)



1.1.1	athāto gṛhyakarmāṇy upadekṣyāmaḥ
2.5.8	yadartumatī bhavaty uparataśoṇitā tadā sambhavakālaḥ
2.5.9	dakṣiṇena pāṇinopastham abhimṛśed viṣṇur yoniṃ kalpayatv ity etayarcā garbhaṃ dhehi sinīvālīti ca
2.5.10	samāpyarcau sambhavataḥ
2.6.1	tṛtīyasya garbhamāsasyādisadeśe puṃsavanasya kālaḥ
2.6.2	prātaḥ saśiraskāplutodagagreṣu darbheṣu paścād agner udagagreṣu darbheṣu prācy upaviśati
2.6.3	paścāt patir avasthāya dakṣiṇena pāṇinā dakṣiṇam aṃsam anvavamṛśyānantarhitaṃ nābhideśam abhimṛśet pumāṃsau mitrāvaruṇāvityetayarcā
2.6.4	atha yathārtham
2.6.5	athāparam
2.6.6	prāgudīcyāṃ diśi nyagrodhaśuṅgām ubhayataḥphalām asrāmām akṛmiparisṛptāṃ triḥsaptair yavair māṣair vā parikrīyotthāpayet
2.6.7	yadyasi saumī somāya tvā rājñe parikrīṇāmi yady asi vāruṇī varuṇāya tvā rājñe parikrīṇāmi yady asi vasubhyo vasubhyas tvā parikrīṇāmi yadyasi rudrebhyo rudrebhyastvā parikrīṇāmi yady asy ādityebhya ādityebhyastvā parikrīṇāmi yady asi marudbhyo marudbhyas tvā parikrīṇāmi yadyasi viśvebhyo devebhyo viśvebhyas tvā devebhyaḥ parikrīṇāmi
2.6.8	oṣadhayaḥ sumanaso bhūtvāsyāṃ vīryaṃ samādhatteyaṃ karma kariṣyatītyutthāpya tṛṇaiḥ paridhāyāhṛtya vaihāyasīṃ nidadhyāt
2.6.9	dṛṣadaṃ prakṣālya brahmacārī vratavatī vā brahmabandhuḥ kumārī vāpratyāharantī pinaṣṭi
2.6.10	prātaḥ saśiraskāplutodagagreṣu darbheṣu paścād agner udagagreṣu darbheṣu prākśirāḥ saṃviśati
2.6.11	paścāt patir avasthāya dakṣiṇasya pāṇer aṅguṣṭhenopakaniṣṭhikayā cāṅgulyābhisaṃgṛhya dakṣiṇe nāsikāsrotasyavanayet pumān agniḥ pumān indra ityetayarcā
2.6.12	atha yathārtham
2.7.1	atha sīmantakaraṇaṃ prathamagarbhe
2.7.2	caturthe māsi ṣaṣṭhe 'ṣṭame vā
2.7.3	prātaḥ saśiraskāplutodagagreṣu darbheṣu paścād agner udagagreṣu darbheṣu prācy upaviśati
2.7.4	paścāt patir avasthāya yugmantam audumbaraṃ śalāṭugrathnam ābadhnāty ayam ūrjāvato vṛkṣa iti
2.7.5	atha sīmantam ūrdhvam unnayati bhūr iti darbhapiñjūlībhir eva prathamaṃ bhuvar iti dvitīyaṃ svar iti tṛtīyam
2.7.6	atha vīratareṇa yenāditer ity etayarcā
2.7.7	atha pūrṇacāttreṇa rākām aham ityetayarcā
2.7.8	triḥśvetayā ca śalalyā yās te rāke sumataya iti
2.7.9	kṛsaraḥ sthālīpāka uttaraghṛtas tam avekṣayet
2.7.10	kiṃ paśyasītyuktvā prajām iti vācayet
2.7.11	taṃ sā svayaṃ bhuñjīta
2.7.12	vīrasūr jīvasūr jīvapatnīti brāhmaṇyo maṅgalyābhir vāgbhir upāsīran
2.7.13	atha soṣyantīhomaḥ
2.7.14	pratiṣṭhite vastau paristīryāgnim ājyāhutī juhoti yā tiraścīty etayarcā vipaścit puccham abharad iti ca
2.7.15	pumān ayaṃ janiṣyate 'sau nāmeti nāmadheyaṃ gṛhṇāti
2.7.16	yat tad guhyam eva bhavati
2.7.17	yadāsmai kumāraṃ jātam ācakṣīrann atha brūyāt kāṅkṣata nābhikṛntanena stanapratidhānena ceti
2.7.18	vrīhiyavau peṣayet tayaivāvṛtā yayā śuṅgām
2.7.19	dakṣiṇasya pāṇer aṅguṣṭhenopakaniṣṭhikayā cāṅgulyābhisaṃgṛhya kumārasya jihvāyāṃ nimārṣṭīyam ājñeti
2.7.20	tathaiva medhājananaṃ sarpiḥ prāśayet
2.7.21	jātarūpeṇa vādāya kumārasya mukhe juhoti medhāṃ te mitrāvaruṇāv ityetayarcā sadasaspatim adbhutam iti ca
2.7.22	kṛntata nābhim iti brūyāt stanaṃ ca pratidhatteti
2.7.23	ata ūrdhvam asamālambhanam ā daśarātrāt
2.8.1	jananād yas tṛtīyo jyautsnas tasya tṛtīyāyāṃ prātaḥ saśiraskaṃ kumāram āplāvyāstamite vīte lohitimny añjalikṛtaḥ pitopatiṣṭhate
2.8.2	atha mātā śucinā vasanena kumāram ācchādya dakṣiṇata udañcaṃ pitre prayacchaty udakśirasam
2.8.3	anupṛṣṭhaṃ parikramyottarato 'vatiṣṭhate
2.8.4	atha japati yat te susīma iti yathāyaṃ na pramīyeta putro janitryā adhīti
2.8.5	udañcaṃ mātre pradāya yathārtham
2.8.6	atha ye 'ta ūrdhvaṃ jyautsnāḥ prathamoddiṣṭa eva teṣu pitopatiṣṭhate 'pām añjaliṃ pūrayitvābhimukhaś candramasam
2.8.7	yad adaś candramasīti sakṛd yajuṣā dvis tūṣṇīm utsṛjya yathārtham
2.8.8	jananād daśarātre vyuṣṭe śatarātre saṃvatsare vā nāmadheyakaraṇam
2.8.9	atha yas tat kariṣyan bhavati paścād agner udagagreṣu darbheṣu prāṅ upaviśati
2.8.10	atha mātā śucinā vasanena kumāram ācchādya dakṣiṇata udañcaṃ kartre prayacchaty udakśirasam
2.8.11	anupṛṣṭham parikramyottarata upaviśaty udagagreṣv eva darbheṣu
2.8.12	atha juhoti prajāpataye tithaye nakṣatrāya devatāyā iti
2.8.13	tasya mukhyān prāṇān saṃmṛśan ko 'si katamo 'sīty etaṃ mantraṃ japati
2.8.14	āhaspatyaṃ māsaṃ praviśāsāv ity ante ca mantrasya ghoṣavadādy antarantasthaṃ dīrghābhiniṣṭhānāntaṃ kṛtaṃ nāma dadhyāt
2.8.15	etad ataddhitam
2.8.16	ayug dāntaṃ strīṇām
2.8.17	mātre caiva prathamaṃ nāmadheyam ākhyāya yathārtham
2.8.18	gaur dakṣiṇā
2.8.19	kumārasya māsi māsi saṃvatsare sāṃvatsarikeṣu vā parvasvagnīndrau dyāvāpṛthivī viśvān devāṃś ca yajeta
2.8.20	daivatam iṣṭvā tithiṃ nakṣatraṃ ca yajeta
2.8.21	viproṣya jyeṣṭhasya putrasyobhābhyāṃ pāṇibhyāṃ mūrdhānaṃ parigṛhya japed yadā vā pitā ma iti vidyād upetasya vāṅgād aṅgāt sambhavasīti
2.8.22	paśūnāṃ tvā hiṅkāreṇābhijighrāmīty abhijighrya yathārtham
2.8.23	evam evāvareṣām
2.8.24	yathājyeṣṭhaṃ yathopalambhaṃ vā
2.8.25	striyās tūṣṇīṃ mūrdhany abhijighraṇaṃ mūrdhanyabhijighraṇam
2.9.1	athātas tṛtīye varṣe cūḍākaraṇam
2.9.2	purastācchālāyā upalipte 'gnir upasamāhito bhavati
2.9.3	tatraitāny upakﾱptāni bhavanti
2.9.4	ekaviṃśatir darbhapiñjūlya uṣṇodakakaṃsa audumbaraḥ kṣura ādarśo vā kṣurapāṇir nāpita iti dakṣiṇataḥ
2.9.5	ānaḍuho gomayaḥ kṛsaraḥ sthālīpāko vṛthāpakva ity uttarataḥ
2.9.6	vrīhiyavais tilamāṣair iti pṛthak pātrāṇi pūrayitvā purastād upanidadhyuḥ
2.9.7	kṛsaro nāpitāya sarvabījāni ceti
2.9.8	atha mātā śucinā vasanena kumāram ācchādya paścād agner udagagreṣu darbheṣu prācy upaviśati
2.9.9	atha yas tat kariṣyan bhavati paścāt prāṅ avatiṣṭhate
2.9.10	atha japaty āyam agāt savitā kṣureṇeti savitāraṃ manasā dhyāyan nāpitaṃ prekṣamāṇaḥ
2.9.11	uṣṇena vāya udakenaidhīti vāyuṃ manasā dhyāyann uṣṇodakakaṃsaṃ prekṣamāṇaḥ
2.9.12	dakṣiṇena pāṇināpa ādāya dakṣiṇāṃ kapuṣṇikām undaty āpa undantu jīvasa iti
2.9.13	viṣṇor daṃṣṭro 'sīty audumbaraṃ kṣuraṃ prekṣata ādarśaṃ vā
2.9.14	oṣadhe trāyasvainam iti sapta darbhapiñjūlīr dakṣiṇāyāṃ kapuṣṇikāyām abhiśiro'grā nidadhāti
2.9.15	tā vāmena pāṇinā nigṛhya dakṣiṇena pāṇinaudumbaraṃ kṣuraṃ gṛhītvādarśaṃ vābhinidadhāti svadhite mainaṃ hiṃsīr iti
2.9.16	yena pūṣā bṛhaspater iti triḥ prāñcaṃ prohaty apracchindan sakṛd yajuṣā dvis tūṣṇīm
2.9.17	athāyasena pracchidyānaḍuhe gomaye nidadhāti
2.9.18	etayaivāvṛtā kapucchalam
2.9.19	etayottarāṃ kapuṣṇikām
2.9.20	undanaprabhṛti tvevābhinivartayet
2.9.21	ubhābhyāṃ pāṇibhyāṃ mūrdhānaṃ parigṛhya japet tryāyuṣaṃ jamadagner iti
2.9.22	etayaivāvṛtā striyāḥ
2.9.23	tūṣṇīm
2.9.24	mantreṇa tu homaḥ
2.9.25	udaṅṅ agner utsṛpya kuśalīkārayanti yathāgotrakulakalpam
2.9.26	ānaḍuhe gomaye keśān kṛtvāraṇyaṃ hṛtvā nikhananti
2.9.27	stambe haike nidadhati
2.9.28	yathārtham
2.9.29	gaur dakṣiṇā
2.10.1	garbhāṣṭameṣu brāhmaṇam upanayet
2.10.2	garbhaikādaśeṣu kṣatriyaṃ
2.10.3	garbhadvādaśeṣu vaiśyam
2.10.4	ā ṣoḍaśād varṣād brāhmaṇasyānatītaḥ kālo bhavaty ā dvāviṃśāt kṣatriyasyā caturviṃśād vaiśyasya
2.10.5	ata ūrdhvaṃ patitasāvitrīkā bhavanti
2.10.6	nainān upanayeyur nādhyāpayeyur na yājayeyur naibhir vivaheyuḥ
2.10.7	yad ahar upaiṣyan māṇavako bhavati praga evainaṃ tad ahar bhojayanti kuśalīkārayanty āplāvayanty alaṃkurvanty ahatena vāsasācchādayanti
2.10.8	kṣaumaśāṇakārpāsaurṇāny eṣāṃ vasanāni
2.10.9	aiṇeyarauravājāny ajināni
2.10.10	muñjakāśatāmbalyo raśanāḥ
2.10.11	pārṇabailvāśvatthā daṇḍāḥ
2.10.12	kṣaumaṃ śāṇaṃ vā vasanaṃ brāhmaṇasya kārpāsaṃ kṣatriyasyāvikaṃ vaiśyasya
2.10.13	etenaivetarāṇi dravyāṇi vyākhyātāni
2.10.14	alābhe vā sarvāṇi sarveṣām
2.10.15	purastācchālāyā upalipte 'gnir upasamāhito bhavati
2.10.16	agne vratapata iti hutvā paścād agner udagagreṣu darbheṣu prāṅ ācāryo 'vatiṣṭhate
2.10.17	antareṇāgnyācāryau māṇavako 'ñjalikṛto 'bhimukha ācāryam udagagreṣu darbheṣu
2.10.18	tasya dakṣiṇato 'vasthāya mantravān brāhmaṇo 'pām añjaliṃ pūrayati
2.10.19	upariṣṭāccācāryasya
2.10.20	prekṣamāṇo japaty āgantrā sam aganmahīti
2.10.21	brahmacaryam āgām iti vācayati
2.10.22	ko nāmāsīti nāmadheyaṃ pṛcchati tasyācāryaḥ
2.10.23	abhivādanīyaṃ nāmadheyaṃ kalpayitvā
2.10.24	devatāśrayaṃ vā nakṣatrāśrayaṃ vā
2.10.25	gotrāśrayam apy eke
2.10.26	utsṛjyāpām añjalim ācāryo dakṣiṇena pāṇinā dakṣiṇaṃ pāṇiṃ sāṅguṣṭhaṃ gṛhṇāti devasya te savituḥ prasave 'śvinor bāhubhyāṃ pūṣṇo hastābhyāṃ hastaṃ gṛhṇāmy asāv iti
2.10.27	athainaṃ pradakṣiṇam āvartayati sūryasyāvṛtam anvāvartasvāsāv iti
2.10.28	dakṣiṇena pāṇinā dakṣiṇam aṃsam anvavamṛśyānantarhitāṃ nābhim abhimṛśet prāṇānāṃ granthir asīti
2.10.29	utsṛpya nābhideśam ahura iti
2.10.30	utsṛpya hṛdayadeśaṃ kṛśana iti
2.10.31	dakṣiṇena pāṇinā dakṣiṇam aṃsam anvālabhya prajāpataye tvā paridadāmy asāv iti
2.10.32	savyena savyaṃ devāya tvā savitre paridadāmy asāv iti
2.10.33	athainaṃ saṃpreṣyati brahmacāry asy asāv iti
2.10.34	samidham ādhehy apo 'śāna karma kuru mā divā svāpsīr iti
2.10.35	udaṅṅ agner utsṛpya prāṅ ācārya upaviśaty udagagreṣu darbheṣu
2.10.36	pratyaṅ māṇavako dakṣiṇajānvakto 'bhimukha ācāryam udagagreṣv eva darbheṣu
2.10.37	athainaṃ triḥ pradakṣiṇaṃ muñjamekhalāṃ pariharan vācayatīyaṃ duruktāt paribādhamānety ṛtasya goptrīti ca
2.10.38	athopasīdaty adhīhi bhoḥ sāvitrīṃ me bhavān anubravītv iti
2.10.39	tasmā anvāha paccho 'rdharcaśa ṛkśa iti
2.10.40	mahāvyāhṛtīś ca vihṛtā oṃkārāntāḥ
2.10.41	vārkṣaṃ cāsmai daṇḍaṃ prayacchan vācayati suśravaḥ suśravasaṃ mā kurv iti
2.10.42	atha bhaikṣaṃ carati
2.10.43	mātaram evāgre dve cānye suhṛdau yāvatyo vā saṃnihitāḥ syuḥ
2.10.44	ācāryāya bhaikṣaṃ nivedayate
2.10.45	tiṣṭhaty ahaḥśeṣaṃ vāgyataḥ
2.10.46	astamite samidham ādadhāty agnaye samidham ahārṣam iti
2.10.47	trirātram akṣārālavaṇāśī bhavati
2.10.48	tasyānte sāvitraś caruḥ
2.10.49	yathārtham
2.10.50	gaur dakṣiṇā
3.1.1	athātaḥ ṣoḍaśe varṣe godānam
3.1.2	cūḍākaraṇena keśāntakaraṇaṃ vyākhyātam
3.1.3	brahmacārī keśāntān kārayate
3.1.4	sarvāṇy aṅgalomāni saṃhārayate
3.1.5	gomithunaṃ dakṣiṇā brāhmaṇasya
3.1.6	aśvamithunaṃ kṣatriyasya
3.1.7	avimithunaṃ vaiśyasya
3.1.8	gaur vaiva sarveṣām
3.1.9	ajaḥ keśapratigrāhāya
3.1.10	upanayanenaivopanayanaṃ vyākhyātam
3.1.11	na tv ihāhataṃ vāso niyuktam
3.1.12	nālaṅkāraḥ
3.1.13	nācariṣyantaṃ saṃvatsaram upanayet
3.1.14	vārkṣaṃ cāsmai daṇḍaṃ prayacchann ādiśati
3.1.15	ācāryādhīno bhavānyatrādharmacaraṇāt
3.1.16	krodhānṛte varjaya
3.1.17	maithunam
3.1.18	upariśayyām
3.1.19	kauśīlavagandhāñjanāni
3.1.20	snānam
3.1.21	avalekhanadantaprakṣālanapādaprakṣālanāni
3.1.22	kṣurakṛtyam
3.1.23	madhumāṃse
3.1.24	goyuktārohaṇam
3.1.25	antar grāma upānahor dhāraṇam
3.1.26	svayamindriyamocanam iti
3.1.27	mekhalādhāraṇabhaikṣacaryadaṇḍadhāraṇasamidādhānodakopasparśanaprātarabhivādā ity ete nityadharmāḥ
3.1.28	godānikavrātikādityavrataupaniṣadajyaiṣṭhasāmikāḥ saṃvatsarāḥ
3.1.29	teṣu sāyaṃ prātar udakopasparśanam
3.1.30	ādityavrataṃ tu na caranty eke
3.1.31	ye caranty ekavāsaso bhavanti
3.1.32	ādityaṃ ca nāntardadhate 'nyatra vṛkṣaśaraṇābhyām
3.1.33	nāpo 'bhyavayanty ūrdhvaṃ jānubhyām aguruprayuktāḥ
3.2.1	dvādaśa mahānāmnikāḥ saṃvatsarāḥ
3.2.2	nava ṣaṭ trayaḥ
3.2.3	iti vikalpaḥ
3.2.4	saṃvatsaram apy eke
3.2.5	vrataṃ tu bhūyaḥ
3.2.6	pūrvaiś cecchrutā mahānāmnyaḥ
3.2.7	athāpi raurukibrāhmaṇaṃ bhavati
3.2.8	kumārān ha sma vai mātaraḥ pāyayamānā āhuḥ
3.2.9	śakvarīṇāṃ putrakā vrataṃ pārayiṣṇavo bhavateti
3.2.10	tāsv anusavanam udakopasparśanam
3.2.11	nānupaspṛśya bhojanaṃ prātaḥ
3.2.12	sāyam upaspṛśyābhojanam ā samidādhānāt
3.2.13	kṛṣṇavastraḥ
3.2.14	kṛṣṇabhakṣaḥ
3.2.15	ācāryādhīnaḥ
3.2.16	apanthadāyī
3.2.17	tapasvī
3.2.18	tiṣṭhed divā
3.2.19	āsīta naktam
3.2.20	varṣati ca nopasarpecchannam
3.2.21	varṣantaṃ brūyād āpaḥ śakvarya iti
3.2.22	vidyotamānaṃ brūyād evaṃrūpāḥ khalu śakvaryo bhavantīti
3.2.23	stanayantaṃ brūyān mahyā mahān ghoṣa iti
3.2.24	na sravantīm atikrāmed anupaspṛśan
3.2.25	na nāvam ārohet
3.2.26	prāṇasaṃśaye tūpaspṛśyārohet
3.2.27	tathā pratyavaruhya
3.2.28	udakasādhavo hi mahānāmnya iti
3.2.29	evaṃ khalu carataḥ kāmavarṣī parjanyo bhavati
3.2.30	aniyamo vā kṛṣṇasthānāsanapanthabhakṣeṣu
3.2.31	tṛtīye carite stotrīyām anugāpayet
3.2.32	evam itare stotrīye
3.2.33	sarvā vānte sarvasya
3.2.34	upoṣitāya saṃmīlitāyānugāpayet
3.2.35	kaṃsam apāṃ pūrayitvā sarvauṣadhīḥ kṛtvā hastāv avadhāya pradakṣiṇam ācāryo 'hatena vasanena pariṇahyet
3.2.36	pariṇahanānte vānugāpayet
3.2.37	pariṇaddho vāgyato na bhuñjīta trirātram ahorātrau vā
3.2.38	api vāraṇye tiṣṭhed āstamayāt
3.2.39	śvo bhūte 'raṇye 'gnim upasamādhāya vyāhṛtibhir hutvāthainam avekṣayet
3.2.40	agnim ājyam ādityaṃ brahmāṇam anaḍvāham annam apo dadhīti
3.2.41	svar abhivyakhyaṃ jyotir abhivyakhyam iti
3.2.42	evaṃ triḥ sarvāṇi
3.2.43	śāntiṃ kṛtvā gurum abhivādayate
3.2.44	so 'sya vāgvisargaḥ
3.2.45	anaḍvān kaṃso vāso vara iti dakṣiṇāḥ
3.2.46	prathame vikalpaḥ
3.2.47	ācchādayed gurum ity eke
3.2.48	aindraḥ sthālīpākas tasya juhuyād ṛcaṃ sāma yajāmaha ityetayarcā sadasaspatim adbhutam iti vobhābhyāṃ vā
3.2.49	anupravacanīyeṣv evam
3.2.50	sarvatrācāriṣaṃ tad aśakaṃ tenārātsam upāgām iti mantraviśeṣaḥ
3.2.51	āgneye 'ja aindre meṣo gauḥ pāvamāne parvadakṣiṇāḥ
3.2.52	pratyetyācāryaṃ sapariṣatkaṃ bhojayet
3.2.53	sabrahmacāriṇaś copasametān
3.2.54	jyeṣṭhasāmno mahānāmnikenaivānugāpanakalpo vyākhyātaḥ
3.2.55	tatraitāni nityavratāni bhavanti
3.2.56	na śūdrām upeyāt
3.2.57	na pakṣimāṃsaṃ bhuñjīta
3.2.58	ekadhānyam ekadeśam ekavastraṃ ca varjayet
3.2.59	uddhṛtābhir adbhir upaspṛśet
3.2.60	ādeśanāt prabhṛti na mṛṇmaye 'śnīyāt
3.2.61	na pibet
3.2.62	śravaṇād ity eke
3.3.1	prauṣṭhapadīṃ hastenopākaraṇam
3.3.2	vyāhṛtibhir hutvā śiṣyāṇāṃ sāvitryanuvacanaṃ yathopanayane
3.3.3	sāmasāvitrīṃ ca
3.3.4	somaṃ rājānaṃ varuṇam iti ca
3.3.5	āditaś chandaso 'dhītya yathārtham
3.3.6	akṣatadhānā bhakṣayanti dhānāvantaṃ karambhiṇam iti
3.3.7	dadhnaḥ prāśnanti dadhikrāvṇo 'kāriṣam iti
3.3.8	ācāntodakāḥ khāṇḍikebhyo 'nuvākyā anugeyāḥ kārayet
3.3.9	sāvitram ahaḥ kāṅkṣante
3.3.10	udagayane ca pakṣiṇīṃ rātrim
3.3.11	ubhayata eke trirātram
3.3.12	ācāryāṇāṃ codakotsecanam ubhayatra
3.3.13	śravaṇām eka upākṛtyaitam ā sāvitrāt kālaṃ kāṅkṣante
3.3.14	taiṣīm utsṛjanti
3.3.15	prāṅ vodaṅ vā grāmān niṣkramya yā āpo 'navamehanīyās tā abhyetyopaspṛśya chandāṃsy ṛṣīn ācāryāṃś ca tarpayeyuḥ
3.3.16	tasmin pratyupākaraṇe 'bhrānadhyāya ā punarupākaraṇācchandasaḥ
3.3.17	vidyutstanayitnupṛṣiteṣv ākālam
3.3.18	ulkāpātabhūmicalajyotiṣor upasargeṣu
3.3.19	nirghāte ca
3.3.20	aṣṭakāmāvāsyāsu nādhīyīran
3.3.21	paurṇamāsīṣu
3.3.22	tisṛṣu kārttikyāṃ phālgunyām āṣāḍhyāṃ ca
3.3.23	ahorātram
3.3.24	sabrahmacāriṇi ca prete
3.3.25	sve ca bhūmipatau
3.3.26	trirātram ācārye
3.3.27	upasanne tv ahorātram
3.3.28	gītavāditaruditātivāteṣu tatkālam
3.3.29	śiṣṭācāro 'to 'nyatra
3.3.30	adbhute kulapatyoḥ prāyaścittam
3.3.31	vaṃśamadhyamayor maṇike vā bhinne vyāhṛtibhir juhuyāt
3.3.32	duḥsvapneṣv adya no deva savitar ity etām ṛcaṃ japet
3.3.33	athāparam
3.3.34	cityayūpopasparśanakarṇakrośākṣivepaneṣu sūryābhyuditaḥ sūryābhinimlupta indriyaiś ca pāpasparśaiḥ punar mām aitv indriyam ity etābhyām ājyāhutī juhuyāt
3.3.35	ājyalipte vā samidhau
3.3.36	japed vā laghuṣu
3.4.1	brahmacārī vedam adhītya
3.4.2	upanyāhṛtya gurave
3.4.3	anujñāto dārān kurvīta
3.4.4	asagotrān
3.4.5	mātur asapiṇḍān
3.4.6	nagnikā tu śreṣṭhā
3.4.7	athāplavanam
3.4.8	uttarataḥ purastād vācāryakulasya parivṛtaṃ bhavati
3.4.9	tatra prāgagreṣu darbheṣūdaṅṅācārya upaviśati
3.4.10	prāg brahmacāry udagagreṣu darbheṣu
3.4.11	sarvauṣadhiviphāṇṭābhir adbhir gandhavatībhiḥ śītoṣṇābhir ācāryo 'bhiṣiñcet
3.4.12	svayam iva tu
3.4.13	mantravarṇo bhavati
3.4.14	ye apsv antar agnayaḥ praviṣṭā ity apām añjalim avasiñcati
3.4.15	yad apāṃ ghoraṃ yad apāṃ krūraṃ yad apām aśāntam iti ca
3.4.16	yo rocanas tam iha gṛhṇāmīty ātmānam abhiṣiñcati
3.4.17	yaśase tejasa iti ca
3.4.18	yena striyam akṛṇutam iti ca
3.4.19	tūṣṇīṃ caturtham
3.4.20	upotthāyādityam upatiṣṭhetodyan bhrājabhṛṣṭibhir ity etatprabhṛtinā mantreṇa
3.4.21	yathāliṅgaṃ vā viharan
3.4.22	cakṣur asīty anubadhnīyāt
3.4.23	mekhalām avamuñcata ud uttamaṃ varuṇa pāśam iti
3.4.24	brāhmaṇān bhojayitvā svayaṃ bhuktvā keśaśmaśruromanakhāni vāpayīta śikhāvarjam
3.4.25	snātvālaṃkṛtyāhate vāsasī paridhāya srajam ābadhnīta śrīr asi mayi ramasveti
3.4.26	netryau stho nayataṃ mām ity upānahau
3.4.27	gandharvo 'sīti vaiṇavaṃ daṇḍaṃ gṛhṇāti
3.4.28	ācāryaṃ sapariṣatkam abhyetyācāryapariṣadam īkṣate yakṣam iva cakṣuṣaḥ priyo vo bhūyāsam iti
3.4.29	upopaviśya mukhyān prāṇān saṃmṛśann oṣṭhāpidhānā nakulīti
3.4.30	atrainam ācāryo 'rhayet
3.4.31	goyuktaṃ ratham upasaṃkramya pakṣasī kūbarabāhū vābhimṛśed vanaspate vīḍvaṅgo hi bhūyā iti
3.4.32	āsthātā te jayatu jetvānīty ātiṣṭhati
3.4.33	prāṅ vodaṅ vābhiprayāya pradakṣiṇam āvṛtyopayāti
3.4.34	upayātāyārghyam iti kauhalīyāḥ
3.5.1	ata ūrdhvaṃ vṛddhaśīlī syād iti samastoddeśaḥ
3.5.2	tatraitāny ācāryāḥ parisaṃcakṣate
3.5.3	nājātalomnyopahāsam icchet
3.5.4	nāyugvā
3.5.5	na rajasvalayā
3.5.6	na samānarṣyā
3.5.7	nāparayā dvārā prapannam annaṃ bhuñjīta
3.5.8	na dviḥpakvam
3.5.9	na paryuṣitam
3.5.10	anyatra śākamāṃsayavapiṣṭavikārebhyaḥ
3.5.11	na varṣati dhāvet
3.5.12	nopānahau svayaṃ haret
3.5.13	nodapānam avekṣet
3.5.14	na phalāni svayaṃ pracinvīta
3.5.15	nāgandhāṃ srajaṃ dhārayet
3.5.16	anyāṃ hiraṇyasrajaḥ
3.5.17	na māloktām
3.5.18	srag iti vācayet
3.5.19	bhadram ity etāṃ vṛthāvācaṃ pariharet
3.5.20	mandram iti brūyāt
3.5.21	tatraite trayaḥ snātakā bhavanti
3.5.22	vidyāsnātako vratasnātako vidyāvratasnātaka iti
3.5.23	teṣām uttamaḥ śreṣṭhas tulyau pūrvau
3.5.24	nārdraṃ paridadhīta
3.5.25	naikaṃ paridadhīta
3.5.26	na manuṣyasya stutiṃ prayuñjīta
3.5.27	nādṛṣṭaṃ dṛṣṭato bruvīta
3.5.28	nāśrutaṃ śrutataḥ
3.5.29	svādhyāyavirodhino 'rthān utsṛjet
3.5.30	tailapātram ivātmānaṃ didhārayiṣet
3.5.31	na vṛkṣam ārohet
3.5.32	na pratisāyaṃ grāmāntaraṃ vrajet
3.5.33	naikaḥ
3.5.34	na vṛṣalaiḥ saha
3.5.35	na kāsṛtyā grāmaṃ praviśet
3.5.36	na cānanucaraś caret
3.5.37	etāni samāvṛttavratāni
3.5.38	yāni ca śiṣṭā vidadhyuḥ
3.6.1	gāḥ prakālyamānā anumantrayetemā me viśvatovīrya iti
3.6.2	pratyāgatā imā madhumatīr mahyam iti
3.6.3	puṣṭikāmaḥ prathamajātasya vatsasya prāṅ mātuḥ pralehanājjihvayā lalāṭam ullihya nigired gavāṃ śleṣmāsīti
3.6.4	puṣṭikāma eva samprajātāsu niśāyāṃ goṣṭhe 'gnim upasamādhāya vilayanaṃ juhuyāt saṃgrahaṇa saṃgṛhāṇeti
3.6.5	puṣṭikāma eva samprajātāsv audumbareṇāsinā vatsamithunayor lakṣaṇaṃ karoti puṃsa evāgre 'tha striyā bhuvanam asi sāhasram iti
3.6.6	kṛtvā cānumantrayeta lohitena svadhitineti
3.6.7	tantīṃ prasāryamāṇāṃ baddhavatsāṃ cānumantrayeteyaṃ tantī gavāṃ māteti
3.6.8	tatraitāny aharahaḥ kṛtyāni bhavanti
3.6.9	niṣkālanapraveśane tantīviharaṇam iti
3.6.10	goyajñe pāyasaś caruḥ
3.6.11	agniṃ yajeta pūṣaṇam indram īśvaram
3.6.12	ṛṣabhapūjā
3.6.13	goyajñenaivāśvayajño vyākhyātaḥ
3.6.14	yamavaruṇau devatānām atrādhikau
3.6.15	gandhair abhyukṣaṇaṃ gavāṃ gandhair abhyukṣaṇaṃ gavām
3.7.1	athātaḥ śravaṇākarma
3.7.2	paurṇamāsyāṃ kṛtyam
3.7.3	purastācchālāyā upalipya śālāgner agniṃ praṇayanti
3.7.4	abhitaścatvāryupalimpati
3.7.5	pratidiśam
3.7.6	sādhike prakrame
3.7.7	agnau kapālam ādhāya sakṛtsaṃgṛhītam yavamuṣṭiṃ bhṛjjaty anupadahan
3.7.8	paścād agner ulūkhalaṃ dṛṃhayitvāvahanty udvecam
3.7.9	sukṛtān saktūn kṛtvā camasa opya śūrpenāpidhāya nidadhāti
3.7.10	dakṣiṇapaścime antareṇa saṃcaraḥ
3.7.11	astamite camasadarvyāv ādāya śūrpaṃ cātipraṇītasyārdhaṃ vrajati
3.7.12	śūrpe saktūn āvapati camase codakam ādatte
3.7.13	sakṛtsaṃgṛhītān darvyā saktūn kṛtvā pūrva upalipta udakaṃ ninīya baliṃ nivapati yaḥ prācyāṃ diśi sarparāja eṣa te balir iti
3.7.14	upaninayaty apāṃ śeṣaṃ yathā baliṃ na pravakṣyatīti
