#Text:Hiraṇyakeśigṛhyasūtra
#Edition:Kirste (DCS version)



1.1.1	upanayanaṃ vyākhyāsyāmaḥ
1.12.2	rathaṃtaram asi vāmadevyam asi bṛhadasi / aṅkau nyaṅkāvabhitaḥ / ityeṣā / ayaṃ vām aśvinā ratho mā duḥkhe mā sukhe riṣat / ariṣṭaḥ svasti gacchatu vivighnann abhidāsataḥ / iha dhṛtir iha vidhṛtir iha rama iha ramatām / iti rathamātiṣṭhate yadi rathena praviśati
1.12.3	aśvo 'si hayo 'si mayo 'sīty ekādaśabhir aśvanāmabhir aśvaṃ yadyaśvena
1.12.4	indrasya tvā vajreṇābhyupaviśāmi vaha kālaṃ vaha śriyaṃ mābhivaha hastyasi hastiyaśasamasi hastivarcasam asi hastiyaśasihastivarcasī bhūyāsam / iti hastinaṃ yadi tena
1.12.5	tad gacchati yatrāsmā apacitiṃ kariṣyanto bhavanti
1.12.6	saṃsravantu diśo mayi samāgacchantu sūnṛtāḥ / sarve kāmā abhiyantu naḥ priyā abhisravantu naḥ priyāḥ / iti diśa upatiṣṭhate
1.12.7	yaśo 'si yaśo 'haṃ tvayi bhūyāsam / iti yo 'syāpacitiṃ kariṣyanbhavati tamabhyāgacchansamīkṣate
1.12.8	athāsmā āvasathaṃ kalpayitvā / arghaḥ / iti prāha
1.12.9	kuruta / iti pratyāha
1.12.10	kurvantyasmai trivṛtaṃ pāṅktaṃ vā
1.12.11	dadhi madhu ghṛtam iti trivṛt
1.12.12	dadhi madhu ghṛtam āpaḥ saktava iti pāṅktaḥ
1.12.13	kaṃse dadhyānīya madhvānayati
1.12.14	hrasīyasyānīya varṣīyasāpidhāyānūcīnāni pṛthagādāpayati kūrcaṃ pādyam arghyam ācamanīyaṃ madhuparka iti
1.12.15	anvaṅṅ anusaṃvṛjinā so 'nupakiṃcayā vācaikaikaṃ prāha
1.12.16	kūrcaḥ / iti kūrcam
1.12.17	tasminprāṅmukha upaviśati / rāṣṭrabhṛdasyācāryāsandī mā tvadyoṣam / iti
1.12.18	athāsmai / pādyam / iti prāha
1.12.19	tenāsya śūdraḥ śūdrā vā pādau prakṣālayati savyamagre brāhmaṇasya dakṣiṇamitarayoḥ
1.13.1	virājo doho 'si / mayi dohaḥ padyāyai virājaḥ / iti yo 'sya pādau prakṣālayati tasya hastāvabhimṛśyātmānaṃ pratyabhimṛśati / mayi teja indriyaṃ vīryam āyuḥ kīrtir varco yaśo balam / iti
1.13.2	athāsmai / arghyam / iti prāha
1.13.3	tat pratigṛhṇāti / ā māgan yaśasā saṃsṛja tejasā varcasā payasā ca / taṃ mā kuru priyaṃ prajānām adhipatiṃ paśūnām / iti
1.13.4	samudraṃ vaḥ prahiṇomyakṣitāḥ svāṃ yonim apigacchatāchidraḥ prajayā bhūyāsaṃ mā parāseci matpayaḥ / iti śeṣaṃ ninīyamānam anumantrayate
1.13.5	athāsmai / ācamanīyam / iti prāha
1.13.6	amṛtopastaraṇam asīty apa ācāmati
1.13.7	athāsmai / madhuparkaḥ / iti prāha
1.13.8	taṃ sāvitreṇobhābhyāṃ hastābhyāṃ pratigṛhya / pṛthivyāstvā nābhau sādayāmīḍāyāḥ pada iti pṛthivyāṃ pratiṣṭhāpya / yanmadhuno madhavyaṃ paramam annādyaṃ rūpaṃ tenāhaṃ madhuno madhavyena parameṇa rūpeṇa paramo madhavyo 'nnādo bhūyāsam / ityaṅguṣṭhenopamadhyamayā cāṅgulyā triḥ pradakṣiṇaṃ saṃyujya / tejase tvā śriyai yaśase balāyānnādyāya prāśnāmīti triḥ prāśya yo 'sya rātirbhavati tasmā ucchiṣṭaṃ prayacchati
1.13.9	sarvaṃ vā prāśyāmṛtāpidhānam asīty apa ācāmati
1.13.10	athāsmai / gauḥ / iti prāha
1.13.11	tasyāḥ karmotsargo vā
1.13.12	gaurdhenurbhavyā mātā rudrāṇāṃ duhitā vasūnāṃ svasādityānām amṛtasya nābhiḥ / pra ṇu vocaṃ cikituṣe janāya mā gām anāgām aditiṃ vadhiṣṭa / pibatūdakaṃ tṛṇānyattu / omutsṛjata / ityutsarge saṃśāsti
1.13.13	gaur asy apahatapāpmāpa pāpmānaṃ jahi mama cāmuṣya ca hataṃ me dviṣantaṃ hato me dviṣan / kuruta / iti kriyamāṇāyām
1.13.14	utsarge 'nyena māṃsenānnaṃ saṃskṛtyāthāsmai / bhūtam / iti prāha
1.13.15	tat subhūtaṃ virāḍannaṃ tanmā kṣāyi tan meśīya tanma ūrjaṃ dhās tat subhūtam / ityuktvāthāha / brāhmaṇān bhojayata / iti
1.13.16	teṣvasmai bhuktavatsvanusaṃvṛjinam annam āhārayati
1.13.17	tat pratigṛhṇāti / dyauste dadātu pṛthivī pratigṛhṇātu pṛthivī te dadātu prāṇaḥ pratigṛhṇātu prāṇastvāśnātu prāṇaḥ pibatu / iti
1.13.18	indrāgnī me varcaḥ kṛṇutām / iti yāvatkāmaṃ prāśya yo 'sya rātirbhavati tasmā ucchiṣṭaṃ prayacchati
1.13.19	yaṃ kāmayeta na vicchidyeteti / yasminbhūtaṃ ca bhavyaṃ ca sarve lokā iha śritāḥ / tena tvāhaṃ pratigṛhṇāmi tvāmahaṃ brahmaṇā tvā mahyaṃ pratigṛhṇāmy asāv ityācamya
1.14.1	bhuktavato dakṣiṇaṃ hastaṃ gṛhṇīyāt
1.14.2	yam amātyam antevāsinaṃ preṣyaṃ vā kāmayeta dhruvo me 'napāyī syāditi sa pūrvāhṇe snātaḥ prayatavastro 'haḥkṣānto brāhmaṇasaṃbhāṣo niśāyāṃ tasyāvasathaṃ gatvā jīvaśṛṅge prasrāvya triḥ pradakṣiṇam āvasathaṃ pariṣiñcan parikrāmet / pari tvā gireriha pari bhrātuḥ pari ṣvasuḥ / pari sarvebhyo jñātibhyaḥ pariṣīdaḥ kleṣyasi / śaśvat parikupilena saṃkrāmeṇāvicchidā / ūlena parimīḍho 'si parimīḍho 'syūlena / iti
1.14.3	anigupte jīvaśṛṅgaṃ nidadhāti
1.14.4	yasmā amātyā antevāsinaḥ preṣyā voddraveyus tān parikrośet / anupauhvadanupahvayen nivarto yo nyavīvṛdhaḥ / indro vaḥ parikrośaḥ parikrośatu sarvadā / yaditi māmatimanyadhvaṃ māyādevā avataran / indraḥ pāśena vaḥ siktvā mahyaṃ punar udājatu / iti
1.14.5	so 'tha svāgāraṃ praviśya saidhrakīṃ samidham ādhāya / ā vartana vartaya / ityākarṣaṇena juhoti
1.14.6	athāto dāraguptim
1.14.7	sthūrā dṛḍhā jārī cūrṇāni kārayitvā suptāyai yonim upavaped indrāyayāsya śepham alīkam anyebhyaḥ puruṣebhyo 'nyatra mad iti
1.14.8	athātaḥ paṇyasiddhiḥ
1.14.9	paṇyasyāpādāya juhoti
1.15.1	yadvo devāḥ prapaṇaṃ carāma devā dhanena dhanam icchamānāḥ / tasmin somo rucam ādadhātv agnirindro bṛhaspatirīśānaśca / svāheti
1.15.2	athātaḥ krodhavinayanam
1.15.3	yā ta eṣā rarāṭyā tanūr manyor mṛddhasya nāśinī tāṃ devā brahmacāriṇo vinayantu sumedhasaḥ / yatta etanmukhe mataṃ rarāṭam ud iva vidhyasi / ava dyām iva dhanvino hṛdo manyuṃ tanomi te / ahar dyauśca pṛthivī ca vidhe krodhaṃ nayāmasi / garbhamaśvataryā iva / iti kruddham abhimantrayate
1.15.4	athātaḥ saṃvādābhijayanam
1.15.5	niśāyām antarāgāre 'gnim upasamādhāya vyāhṛtiparyantaṃ kṛtvā kaṇair ājyamiśrair juhoti / avajihva nijihvikāva tvā haviṣā yaje / yathāham uttaro vadāmyadharo vad asau vadā / svāheti
1.15.6	athainaṃ saṃnidhāvabhijapati / ā te vācam āsyād ade manasyāṃ hṛdayād adhi / aṅgād aṅgāt te vācam ādade yatra yatra nihitā vāktāṃ ta ādade / rudra nīlaśikhaṇḍa vīra karmaṇi karmaṇīmaṃ me pratisaṃvādinaṃ vṛkṣam ivāśaninā jahi / adho vadādharo vadādhastād bhūmyā vada / adhopratir iva kūṭena nijasya nihito mayā / tatsatyaṃ yad ahaṃ bravīmy adharo matpadyasvāsāv iti
1.15.7	hiraṇyabāhuḥ subhagā jitākṣyalaṃkṛtā madhye / devānām āsīnārthaṃ mahyam avocat svāheti sabhām ālabhya japati
1.15.8	mama pare mamāpare mameyaṃ pṛthivī mahī / mamāgniś cendraśca divyam artham asādhayanniva / iti pariṣadam abhivīkṣate 'bhyeva japati
1.16.1	darśe candramasaṃ dṛṣṭvāpa ācamyāpo dhārayamāṇaḥ / ā pyāyasva / saṃ te / navo navo bhavati jāyamānaḥ / yamādityā aṃśumāpyāyayantīti catasṛbhirupatiṣṭhate
1.16.2	mayi dakṣakratū / iti jañjabhyamāno japati
1.16.3	sig asi nasi vajro namaste astu mā mā hiṃsīḥ / iti sicādhikṣipto japati
1.16.4	tasya tantumācchidya mukhavātena pradhvaṃsayet
1.16.5	ye pakṣiṇaḥ patayanti bibhyato nirṛtaiḥ saha / te mā śivena śagmena tejasondantu varcasā / iti vayasādhikṣipto japati tadanyena hastāt pramṛjyādbhiḥ prakṣālayīta
1.16.6	divo nu mā bṛhato antarikṣād apāṃ stoko abhyapatacchivāya / samindriyeṇa manasāhamāgāṃ brahmaṇā guptaḥ sukṛtā kṛtena / iti japed yadyenam avijñāto 'pāṃ stoko 'bhicchādayet
1.16.7	yadi vṛkṣāgrād abhyapatat phalaṃ yad vāntarikṣāt tad u vāyureva / yatrā vṛkṣastanuvai yatra vāsa āpo bādhantāṃ nirṛtiṃ parācaiḥ / iti japed yadyenam avijñātaṃ phalamabhipatet
1.16.8	namaḥ pathiṣade vāteṣave rudrāya namo rudrāya pathiṣada iti catuṣpatham avakramya japati
1.16.9	namaḥ paśuṣade vāteṣave rudrāya namo rudrāya paśuṣada iti śakṛddhatau
1.16.10	namaḥ sarpasade vāteṣave rudrāya namo rudrāya sarpasada iti sarpasṛpte
1.16.11	namo 'ntarikṣasade vāteṣave rudrāya namo rudrāyāntarikṣasada iti japed yady enaṃ saṃvartavāta āgacchet
1.16.12	namo 'psuṣade vāteṣave rudrāya namo rudrāyāpsuṣada iti nadīm udanvatīm avagāhya japati
1.16.13	namastatsade vāteṣave rudrāya namo rudrāya tatsada iti citraṃ deśaṃ devayajanaṃ vanaspatiṃ vākramya japati
1.16.14	sūryābhyudito 'hani nāśnīyād vāgyato 'hastiṣṭhet
1.16.15	sūryābhinimrukto rātrāvevam
1.16.16	na yūpamupaspṛśet / yady upaspṛśed duriṣṭaṃ yajñasya pratimuñcīta / yadyekam upaspṛśet / eṣa te vāyo / iti brūyād yadi dvau / etau te vāyū / iti yadi bahūn / ete te vāyavaḥ / iti
1.16.17	anihūtaṃ parihūtaṃ pariṣṭutaṃ śakunai ruditaṃ ca yat / mṛgasya śṛtamakṣṇayā taddviṣadbhyo bhayāmasīty adhvānam abhipravrajañjapati
1.16.18	udgāteva śakune sāma gāyasi brahmaputra iva savaneṣu śaṃsasi / svasti naḥ śakune astu śivo naḥ sumanā bhava / ityanabhipretaṃ śakunaṃ pratijapati
1.16.19	yadetadbhūtānyanvāviśya daivīṃ vācaṃ vadasi / dviṣato naḥ parāvada tānmṛtyo mṛtyave naya / ityekasṛkam
1.16.20	athāsmā ubhayata ādīptam ulmukaṃ tāṃ diśaṃ prati nirasyati / agne agninā saṃvadasva mṛtyo mṛtyunā saṃvadasva / ity apa upaspṛśya
1.16.21	athainamupatiṣṭhate / vibhūr asi pravāhaṇaḥ / ityetenānuvākena
1.17.1	yadīṣito yadi vā svakāmī bhayeḍako vadati vācam etāṃ tām indrāgnī brahmaṇā saṃvidānau śivāmasmabhyaṃ kṛṇutaṃ gṛheṣu / iti salāvṛkīm
1.17.2	prasārya sakthyau patasi savyamakṣi nipepi ca / meha kasyacanāmamad iti śakunim
1.17.3	hiraṇyapakṣaḥ śakunirdevānāṃ vasatiṃgamaḥ / grāmaṃ pradakṣiṇaṃ kṛtvā svasti no vada kauśika / iti piṅgalām
1.17.4	punarmāmaitvindriyaṃ punarāyuḥ punarbhagaḥ / punarbrāhmaṇamaitu mā punardraviṇamaitu mā / iti athaite dhiṣṇiyāso agnayo yathāsthānaṃ kalpantāmihaiva / svāhā / punarma ātmā punarāyurāgāt punaḥ prāṇaḥ punarākūtamāgāt / vaiśvānaro raśmibhir vāvṛdhāno 'ntas tiṣṭhatu me mano 'mṛtasya ketuḥ / svāhā / yadannamadyate sāyaṃ na tatprātaravati kṣudhaḥ / sarvaṃ tadasmānmā hiṃsīn na hi taddivā dadṛśe divaḥ / svāhā / ityanabhipretaṃ svapnaṃ dṛṣṭvā tilair ājyamiśrairjuhoti
1.17.5	athaitānyadbhutaprāyaścittāni bhavanti / kuptvā kapota upāvikṣat / madhvāgāra upāvikṣat / gaur gām adhaiṣīt / sthūṇā vyaraukṣīt / valmīka udaikṣīd ityevaṃrūpāṇi
1.17.6	sa pūrvāhṇe snātaḥ prayatavastro 'haḥkṣānto brāhmaṇasaṃbhāṣo 'ntarāgāre 'gnim upasamādhāya vyāhṛtiparyantaṃ kṛtvā juhotīmaṃ me varuṇa / tattvā yāmi / tvaṃ no agne / sa tvaṃ no agne / tvamagne ayāsi / prajāpate / yadasya karmaṇo 'tyarīricam / iti cātraike jayābhyātānān rāṣṭrabhṛta ityupajuhvati yathā purastāt / brāhmaṇān annena pariviṣya puṇyāhaṃ svastyayanam ṛddhim iti vācayitvā
1.18.1	indrāgnī vaḥ prasthāpayatām aśvināvabhirakṣatāṃ bṛhaspatir vo gopālaḥ pūṣā vaḥ punarudājatu / iti gāḥ pratiṣṭhamānā anumantrayate / pūṣā gā anvetu naḥ / iti ca
1.18.2	imā yā gāva āgamannayakṣmā bahusūvarīḥ / nadya iva sravantu samudra iva niṣiñcantu / iti gā āyatīḥ pratīkṣate
1.18.3	saṃsthā stha saṃsthā vo bhūyāsthācyutā stha mā mā cyoḍhvaṃ māhaṃ bhavatībhyaś cauṣīḥ / iti saṃsthitāḥ
1.18.4	ūrjā vaḥ paśyāmy ūrjā mā paśyata / iti goṣṭhagatāḥ / sahasrapoṣaṃ vaḥ puṣyāsam / iti ca
1.18.5	ato gavāṃ madhye 'gnim upasamādhāya vyāhṛtiparyantaṃ kṛtvā payasā juhoti / uddīpyasva jātavedo 'paghnannirṛtiṃ mama / paśūṃśca mahyam āvaha jīvanaṃ ca diśo diśa / svāhā / mā no hiṃsījjātavedo gāmaśvaṃ puruṣaṃ jagat / abibhrad agna āgahi śriyā mā paripātaya / svāhā / apām idaṃ nyayanam / namaste harase śociṣa iti ca
1.18.6	imaṃ me varuṇa / tattvā yāmi / tvaṃ no agne / sa tvaṃ no agne / tvamagne ayāsi / prajāpate / yad asya karmaṇo 'tyarīricam / iti cātraike jayābhyātānān rāṣṭrabhṛta ityupajuhvati yathā purastāt
1.19.1	samāvṛtta ācāryakulān mātāpitarau bibhṛyāt
1.19.2	tābhyām anujñāto bhāryām upayacchet sajātāṃ nagnikāṃ brahmacāriṇīm asagotrām
1.19.3	ahnaḥ pañcasu kāleṣu prātaḥ saṃgave madhyaṃdine 'parāhṇe sāyaṃ vaiteṣu yatkārī syāt puṇyāha eva kurute
1.19.4	agnim upasamādhāya paridhānāntaṃ kṛtvā vadhūm ānīyamānāṃ samīkṣate / sumaṅgalīr iyaṃ vadhūr imāṃ sameta paśyata / saubhāgyam asyai dattvāyāthāstaṃ viparetana / iti
1.19.5	dakṣiṇataḥ patiṃ bhāryopaviśati
1.19.6	ācāntasamanvārabdhāyāṃ pariṣiñcati yathā purastāt
1.19.7	vyāhṛtiparyantaṃ kṛtvā juhoti / agnir aitu prathamo devatānāṃ so 'syai prajāṃ muñcatu mṛtyupāśāt / tad ayaṃ rājā varuṇo 'numanyatāṃ yatheyaṃ strī pautram aghaṃ na rodāt / svāhā / imām agnis trāyatāṃ gārhapatyaḥ prajām asyai nayatu dīrgham āyuḥ / aśūnyopasthā jīvatām astu mātā pautram ānandam abhiprabudhyatām iyam / svāhā / mā te gṛhe niśi ghoṣa utthād anyatra tvad rudatyaḥ saṃviśantu / mā tvaṃ vikeśy ura āvadhiṣṭhā jīvapatnī patiloke virāja prajāṃ paśyantī sumanasyamānām / svāhā / dyaus te pṛṣṭhaṃ rakṣatu vāyur ūrū aśvinau ca stanaṃ dhayatas te putrān savitābhirakṣatu / ā vāsasaḥ paridhānād bṛhaspatir viśve devā abhirakṣantu paścāt / svāhā / aprajastāṃ pautramṛtyuṃ pāpmānam uta vāgham / śīrṣṇaḥ srajam ivonmucya dviṣadbhyaḥ pratimuñcāmi pāpam / svāhā / devakṛtaṃ brāhmaṇaṃ kalpamānaṃ tena hanmi yoniṣadaḥ piśācān / kravyādo mṛtyūn adharān pādayāmi dīrgham āyus tava jīvantu putrāḥ / svāhā / iti
1.19.8	imaṃ me varuṇa / tat tvā yāmi / tvaṃ no agne / sa tvaṃ no agne / tvam agne ayāsi / prajāpate / iti hutvāśmānam āsthāpayati / ātiṣṭhemam aśmānam aśmeva tvaṃ sthirā bhava / pramṛṇīhi durasyūn sahasva pṛtanāyataḥ / iti
1.19.9	apareṇāgniṃ dvayān darbhān pūrvāparān udagagrān saṃstīrya teṣu pūrvāparāv avatiṣṭhete
1.20.1	prāṅmukhaḥ pratyaṅmukhyā hastaṃ gṛhṇīyāt pratyaṅmukhaḥ prāṅmukhyā vā / yadi kāmayeta puṃso janayeyam ity aṅguṣṭhaṃ gṛhṇīyāt / yadi kāmayeta strīr ity aṅgulīḥ / yadi kāmayetobhayaṃ janayeyam ity abhīva lomāny aṅguṣṭhaṃ sahāṅgulibhir gṛhṇīyāt / sarasvati predam iva subhage vājinīvati tāṃ tvā viśvasya bhūtasya prajāyām asy agrataḥ / gṛhṇāmi te suprajāstvāya hastaṃ mayā patyā jaradaṣṭir yathāsat / bhago 'ryamā savitā puraṃdhir mahyaṃ tvādur gārhapatyāya devāḥ / iti
1.20.2	tām agreṇa dakṣiṇam aṃsaṃ pratīcīm abhyāvṛtyābhimantrayate / aghoracakṣur apatighny edhi śivā paśubhyaḥ sumanāḥ suvarcāḥ / jīvasūr vīrasūḥ syonā śaṃ na edhi dvipade śaṃ catuṣpade / tāṃ naḥ pūṣan śivatamāmerayasva yasyāṃ bījaṃ manuṣyā vapanti / yā na ūrū uśatī viśrayātai yasyām uśantaḥ praharema śepam / somaḥ prathamo vivide gandharvo vivida uttaraḥ / tṛtīyo 'gniṣ ṭe patis turīyo 'haṃ manuṣyajāḥ / somo 'dadād gandharvāya gandharvo 'gnaye 'dadāt / paśūṃś ca mahyaṃ putrāṃś cāgnir dadāty atho tvām / amūham asmi sā tvaṃ dyaur ahaṃ pṛthivī tvaṃ sāmāham ṛk tvaṃ tāv ehi saṃbhavāva saha reto dadhāvahai puṃse putrāya vettavai rāyaspoṣāya suprajāstvāya suvīryāya / imāṃ tvam indra mīḍhvaḥ suputrāṃ subhagāṃ kuru / daśāsyāṃ putrān ādhehi patim ekādaśaṃ kuru / iti
1.20.3	tāṃ yathāyatanam upaveśyāthāsyā añjalāv ājyenopastīrya lājān dvir āvapati / imāṃl lājān āvapāmi samṛddhikaraṇān mama / tubhyaṃ ca saṃvananaṃ tad agnir anumanyatām ayam / iti
1.20.4	abhighārya / iyaṃ nāry upabrūte 'gnau lājān āvapantī / dīrghāyur astu me patir edhantāṃ jñātayo mama / svāhā / iti tasyā añjalinā juhoti
1.20.5	ud āyuṣā / ity utthāpya / viśvā uta tvayā vayaṃ dhārā udanyā iva / atigāhemahi dviṣaḥ / iti pradakṣiṇam agniṃ parikramya tathaiva lājān āvapati
1.20.6	dvitīyaṃ parikramya tathaiva lājān āvapati
1.20.7	tṛtīyaṃ parikramya sauviṣṭakṛtīṃ juhoti
1.20.8	atraike jayābhyātānān rāṣṭrabhṛta ity upajuhvati yathā purastāt
1.20.9	tām apareṇāgniṃ prācīm udīcīṃ vā viṣṇukramān krāmayati
1.20.10	athaināṃ saṃśāsti / dakṣiṇena prakramya savyenānuprakrāma mā savyena dakṣiṇam atikrāmīḥ / iti
1.21.1	ekam iṣe viṣṇus tvānvetu / dve ūrje viṣṇus tvānvetu / trīṇi vratāya viṣṇus tvānvetu / catvāri māyobhavāya viṣṇus tvānvetu / pañca paśubhyo viṣṇus tvānvetu / ṣaḍ rāyaspoṣāya viṣṇus tvānvetu / sapta saptabhyo hotrābhyo viṣṇus tvānvetu / iti
1.21.2	saptamaṃ padam avasthāpya japati / sakhāyau saptapadāv abhūva sakhyaṃ te gameyaṃ sakhyāt te mā yoṣaṃ sakhyān me mā yoṣṭhāḥ / iti
1.21.3	athāsyā dakṣiṇena pādena dakṣiṇaṃ pādam avakramya dakṣiṇena hastena dakṣiṇam aṃsam upary upary anvavamṛśya hṛdayadeśam abhimṛśati yathā purastāt
1.21.4	prāṇānāṃ granthir asi sa mā visrasaḥ / iti nābhideśam
1.21.5	tām apareṇāgniṃ prācīm upaveśya purastāt pratyaṅ tiṣṭhann adbhiḥ prokṣati / āpo hi ṣṭhā mayobhuvaḥ / iti tisṛbhiḥ / hiraṇyavarṇāḥ śucayaḥ pāvakāḥ / iti catasṛbhiḥ / pavamānaḥ suvarjanaḥ / iti caitenānuvākena
1.21.6	atra bījāny adhiśrayanti
1.22.1	tāṃ tataḥ pravāhayanti pra vā hārayanti
1.22.2	samopyaitam agnim anuharanti
1.22.3	nityo dhāryaḥ
1.22.4	anugato manthyaḥ śrotriyāgārād vāhāryaḥ
1.22.5	upavāsaś cānugate bhāryāyāḥ patyur vā
1.22.6	āgāraṃ prāpyāthaināṃ saṃśāsti / dakṣiṇaṃ pādam agre 'tihara dehaliṃ mādhiṣṭhāḥ / iti
1.22.7	pūrvārdhe śālāyāṃ nyupyopasamādadhāti
1.22.8	apareṇāgniṃ lohitam ānaḍuhaṃ carma prācīnagrīvam uttaralomāstṛṇāti
1.22.9	tasmin prāṅmukhāv udaṅmukhau vopaviśataḥ / paścāt patiṃ bhāryopaviśati / iha gāvo niṣīdantv ihāśvā iha pūruṣāḥ / iho sahasradakṣiṇo 'pi pūṣā niṣīdatu / iti
1.22.10	vācaṃniyamāvāsāte ā nakṣatrāṇām udayāt
1.22.11	uditeṣu nakṣatreṣu prācīm udīcīṃ vā diśam upaniṣkramya / devīḥ ṣaḍ urvīḥ / iti diśa upatiṣṭhate
1.22.12	mā hāsmahi prajayā / iti nakṣatrāṇi
1.22.13	mā radhāma dviṣate soma rājan / iti candramasam
1.22.14	saptarṣayaḥ prathamāṃ kṛttikānām arundhatīṃ ye dhruvatāṃ ha ninyuḥ / ṣaṭkṛttikāmukhyayogaṃ vahantīyam asmākaṃ bhrājatv aṣṭamī / iti saptarṣīn upasthāya dhruvam upatiṣṭhate / dhruvakṣitir dhruvayor nidhruvam asi dhruvata sthitam / tvaṃ nakṣatrāṇāṃ methy asi sa mā pāhi pṛtanyataḥ / namo brahmaṇe dhruvāyācyutāyāstu namo brahmaṇaḥ putrāya prajāpataye namo brahmaṇaḥ putrebhyo devebhyas trayastriṃśebhyo namo brahmaṇaḥ putrapautrebhyo 'ṅgirobhyaḥ / yas tvā dhruvam acyutaṃ saputraṃ sapautraṃ brahma veda dhruvā asmin putrāḥ pautrā bhavanti / preṣyāntevāsino vasanaṃ kambalāni kaṃsaṃ hiraṇyaṃ striyo rājāno 'nnam abhayam āyuḥ kīrtir varco yaśo balaṃ brahmavarcasam annādyam ity etāni mayi sarvāṇi dhruvāṇy acyutāni santu
1.23.1	dhruvaṃ tvā brahma veda dhruvo 'ham asmiṃl loke 'smiṃś ca janapade bhūyāsam / acyutaṃ tvā brahma veda māham asmāl lokād asmāc ca janapadāc cyoṣi dviṣan me bhrātṛvyo 'smāl lokād asmāc ca janapadāc cyavatām / aceṣṭaṃ tvā brahma veda māham asmāl lokād asmāc ca janapadāc ceṣṭiṣi dviṣan me bhrātṛvyo 'smāl lokād asmāc ca janapadāc ceṣṭatām / avyathamānaṃ tvā brahma veda māham asmāl lokād asmāc ca janapadād vyathiṣi dviṣan me bhrātṛvyo 'smāl lokād asmāc ca janapadād vyathatām / nabhyaṃ tvā sarvasya veda nabhyam aham asya janapadasya bhūyāsam / madhyaṃ tvā sarvasya veda madhyam aham asya janapadasya bhūyāsam / tantiṃ tvā sarvasya veda tantir aham asya janapadasya bhūyāsam / methīṃ tvā sarvasya veda methy aham asya janapadasya bhūyāsam / nābhiṃ tvā sarvasya veda nābhir aham asya janapadasya bhūyāsam / yathā nābhiḥ prāṇānāṃ viṣūvān evam ahaṃ viṣūvān / ekaśataṃ taṃ pāpmānamṛcchatu yo 'smān dveṣṭi yaṃ ca vayaṃ dviṣmo bhūyāṃsi mām ekaśatāt puṇyāny āgacchantu / iti
1.23.2	atra manojñena sambhāṣyāgāraṃ prāpyāthainām āgneyena sthālīpākena yājayati
1.23.3	patny avahanti
1.23.4	śrapayitvābhighāryodvāsyāgnaye hutvāgnaye sviṣṭakṛte juhoti
1.23.5	tena brāhmaṇaṃ vidyāvantaṃ pariveveṣṭi
1.23.6	yo 'syāpacito bhavati tasmā ṛṣabhaṃ dadāti
1.23.7	nityam ata ūrdhvaṃ parvasv āgneyena sthālīpākena yajate
1.23.8	nityaṃ sāyaṃ prātar vrīhibhir yavair vā hastenaite āhutī juhoti / agnaye svāhā / prajāpataye svāhā / iti
1.23.9	saurīṃ pūrvāṃ prātar eke samāmananti
1.23.10	trirātram akṣārālavaṇāśināv adhaḥśāyināv alaṃkurvāṇau brahmacāriṇau vasataḥ
1.23.11	caturthyām apararātre 'gnim upasamādhāya prāyaścittiparyantaṃ kṛtvā nava prāyaścittīr juhoti
1.24.1	agne prāyaścitte tvaṃ prāyaścittir asi brāhmaṇas tvā nāthakāma upadhāvāmi yāsyai ghorā tanūs tāmito nāśaya svāhā / vāyo prāyaścitte tvaṃ prāyaścittir asi brāhmaṇas tvā nāthakāma upadhāvāmi yāsyai ninditā tanūstāmito nāśaya svāhā / āditya prāyaścitte tvaṃ prāyaścittir asi brāhmaṇas tvā nāthakāma upadhāvāmi yāsyai patighnī tanūstāmito nāśaya svāhā / āditya prāyaścitte vāyo prāyaścitte 'gne prāyaścitte 'gne prāyaścitte vāyo prāyaścitta āditya prāyaścitta iti
1.24.2	hutvāthāsyai mūrdhni saṃsrāvaṃ juhoti / bhūr bhagaṃ tvayi juhomi svāhā / bhuvo yaśastvayi juhomi svāhā / suvaḥ śriyaṃ tvayi juhomi svāhā / bhūr bhuvaḥ suvas tviṣiṃ tvayi juhomi svāheti
1.24.3	atraivodapātraṃ nidhāya pradakṣiṇam agniṃ parikramyāpareṇāgniṃ prācīm udīcīṃ vā saṃveśyāthāsyai yonim abhimṛśati / abhi tvā pañcaśākhena śivenāvidviṣāvatā / sāhasreṇa yaśasvinā hastenābhimṛśāmasi suprajāstvāya / iti
1.24.4	athainām upayacchate / saṃ nāmnaḥ saṃ hṛdayāni saṃ nābhiḥ saṃ tvacaḥ / saṃ tvā kāmasya yoktreṇa yuñjāny avimocanāya / iti
1.24.5	athaināṃ pariṣvajate / māmanuvratā bhava sahacaryā mayā bhava / yā te patighnī tanūrjāraghnīṃ tvetāṃ karomi / śivā tvaṃ mahyamedhi kṣurapavir jārebhyaḥ / iti
1.24.6	athāsyai mukhena mukhamīpsate / madhu he madhvidaṃ madhu jihvā me madhuvādinī / mukhe me sāraghaṃ madhu datsu saṃvananaṃ kṛtaṃ cākravākaṃ saṃvananaṃ yannadībhya udāhṛtam / yadyukto devagandharvastena saṃvaninau svake / iti
1.24.7	trirātraṃ malavadvāsasā brāhmaṇavyākhyātāni vratāni carati
1.24.8	caturthyāṃ snātāṃ prayatavastrām alaṃkṛtāṃ brāhmaṇasaṃbhāṣām ācamyopahvayate
