#Text:Śāṅkhāyanagṛhyasūtra
#Edition:Oldenberg (DCS version)



1.1.1	athātaḥ pākayajñān vyākhyāsyāmaḥ
1.26.19	viśvebhyo devebhyo 'ṣāḍhābhyaḥ
1.26.20	brahmaṇe 'bhijite
1.26.21	viṣṇave śravaṇāya
1.26.22	vasubhyo dhaniṣṭhābhyaḥ
1.26.23	varuṇāya śatabhiṣaje
1.26.24	ajāyaikapade proṣṭhapadābhyaḥ
1.26.25	ahirbudhnyāya proṣṭhapadābhyaḥ
1.26.26	pūṣṇe revatyai
1.26.27	aśvibhyām aśvinībhyām
1.26.28	yamāya bharaṇībhyaḥ
1.27.1	ṣaṣṭhe māsy annaprāśanam
1.27.2	ājam annādyakāmaḥ
1.27.3	taittiraṃ brahmavarcasakāmaḥ
1.27.4	mātsyaṃ javanakāmaḥ
1.27.5	ghṛtaudanaṃ tejaskāmaḥ
1.27.6	dadhimadhughṛtamiśram annaṃ prāśayet
1.27.7	annapate 'nnasya no dehy anamīvasya śuṣmiṇaḥ pra pradātāraṃ tāriṣa ūrjaṃ no dhehi dvipade catuṣpade yacciddhi mahaś cid imam agna āyuṣe varcase tigmam ojo varuṇa soma rājan mātevāsmā aditiḥ śarma yaṃsad viśve devā jaradaṣṭir yathāsad iti hutvā
1.27.8	agna āyūṃṣīty abhimantrya
1.27.9	udagagreṣu kuśeṣu syonā pṛthivi bhavety upaveśya
1.27.10	mahāvyāhṛtibhiḥ prāśanam
1.27.11	śeṣaṃ mātā prāśnīyāt
1.28.1	saṃvatsare cūḍākarma
1.28.2	tṛtīye vā varṣe
1.28.3	pañcame kṣatriyasya
1.28.4	saptame vaiśyasya
1.28.5	agnim upasamādhāya
1.28.6	vrīhiyavānāṃ tilamāṣāṇām iti pātrāṇi ca pūrayitvā
1.28.7	ānaḍuhaṃ ca gomayaṃ kuśabhittaṃ ca keśapratigrahaṇāyādarśaṃ navanītaṃ lohakṣuraṃ cottarata upasthāpya
1.28.8	saṃpṛcyadhvam ṛtāvarīr ūrmiṇā madhumattamāḥ pṛñcatīr madhunā payo mandrā dhanasya sātaya ity uṣṇāsv apsu śītā āsiñcati
1.28.9	āpa undantu jīvase dīrghāyutvāya varcase tryāyuṣaṃ jamadagneḥ kaśyapasya tryāyuṣam agastyasya tryāyuṣaṃ yad devānāṃ tryāyuṣaṃ tat te karomi tryāyuṣam ity asāv iti śītoṣṇābhir adbhir dakṣiṇaṃ keśapakṣaṃ trir abhyanakti
1.28.10	śalalyaike vijaṭān kṛtvā
1.28.11	navanītenābhyajya
1.28.12	oṣadhe trāyasvainam iti kuśataruṇam antardadhāti
1.28.13	keśān kuśataruṇaṃ cādarśena saṃspṛśya
1.28.14	tejo 'si svadhitiṣ ṭe pitā mainaṃ hiṃsīr iti lohakṣuram ādatte
1.28.15	yenāvapat savitā śmaśrv agre kṣureṇa rājño varuṇasya vidvān yena dhātā bṛhaspatir indrasya cāvapacchiraḥ tena brahmāṇo vapatedam adyāyuṣmān dīrghāyur ayam astu vīro 'sāv iti keśāgrāṇi chinatti kuśataruṇaṃ ca
1.28.16	evaṃ dvitīyam evaṃ tṛtīyam
1.28.17	evaṃ dvir uttarataḥ
1.28.18	nikakṣayoḥ ṣaṣṭhasaptame godānakarmaṇi
1.28.19	etad eva godānakarma yaccūḍākarma
1.28.20	ṣoﾱaśe varṣe 'ṣṭādaśe vā
1.28.21	tṛtīye tu pravapane gāṃ dadāty ahataṃ ca vāsaḥ
1.28.22	tūṣṇīm āvṛtaḥ kanyānām
1.28.23	prāgudīcyāṃ diśi bahvauṣadhike deśe 'pāṃ vā samīpe keśān nikhananti
1.28.24	nāpitāya dhānyapātrāṇi nāpitāya dhānyapātrāṇi
2.1.1	garbhāṣṭameṣu brāhmaṇam upanayeta
2.1.2	aiṇeyenājinena
2.1.3	garbhadaśameṣu vā
2.1.4	garbhaikādaśeṣu kṣatriyaṃ rauraveṇa
2.1.5	garbhadvādaśeṣu vaiśyaṃ gavyena
2.1.6	ā ṣoﾱaśād varṣād brāhmaṇasyānatītaḥ kālaḥ
2.1.7	ā dvāviṃśāt kṣatriyasya
2.1.8	ā caturviṃśād vaiśyasya
2.1.9	ata ūrdhvaṃ patitasāvitrīkā bhavanti
2.1.10	nainān upanayeyuḥ
2.1.11	nādhyāpayeyuḥ
2.1.12	na yājayeyuḥ
2.1.13	naibhir vyavahareyuḥ
2.1.14	ahatena vā sarvān mekhalinaḥ
2.1.15	mauñjī mekhalā brāhmaṇasya
2.1.16	dhanurjyā kṣatriyasya
2.1.17	ūrṇāsūtrī vaiśyasya
2.1.18	pālāśo bailvo vā daṇḍo brāhmaṇasya
2.1.19	naiyagrodhaḥ kṣatriyasya
2.1.20	audumbaro vaiśyasya
2.1.21	prāṇasaṃmito brāhmaṇasya
2.1.22	lalāṭasaṃmitaḥ kṣatriyasya
2.1.23	keśasaṃmito vaiśyasya
2.1.24	sarve vā sarveṣām
2.1.25	yenābaddhenopanayetācāryādhīnaṃ tat
2.1.26	parivāpyopaneyaḥ syāt
2.1.27	āplutyālaṃkṛtya
2.1.28	hutvā jaghanena agniṃ tiṣṭhataḥ prāṅmukha ācāryaḥ pratyaṅmukha itaraḥ
2.1.29	tiṣṭhaṃs tiṣṭhantam upanayet
2.1.30	mitrasya cakṣur dharuṇaṃ balīyas tejo yaśasvi sthaviraṃ samṛddham anāhanasyaṃ vasanaṃ cariṣṇu parīdaṃ vājy ajinaṃ dadhe 'ham
2.2.1	iyaṃ duruktāt paribādhamānā varṇaṃ pavitraṃ punatī na āgāt prāṇāpānābhyāṃ balam āviśantī sakhā devī subhagā mekhaleyam iti trir mekhalāṃ pradakṣiṇaṃ triḥ pariveṣṭya
2.2.2	granthir ekas trayo 'pi vāpi vā pañca
2.2.3	yajñopavītaṃ kṛtvā yajñopavītam asi yajñasya tvopavītenopanahyāmīti
2.2.4	añjalī pūrayitvāthainam āha ko nāmāsīti
2.2.5	asāv ahaṃ bho 3 itītaraḥ
2.2.6	samānārṣeya ity ācāryaḥ
2.2.7	samānārṣeyo 'haṃ bho 3 itītaraḥ
2.2.8	brahmacārī bhavān brūhīti
2.2.9	brahmacāry ahaṃ bho 3 itītaraḥ
2.2.10	bhūr bhuvaḥ svar ity asyāñjalāv añjalīṃs trīn āsicya
2.2.11	dakṣiṇottarābhyāṃ pāṇibhyāṃ pāṇī saṃgṛhya japati
2.2.12	devasya tvā savituḥ prasave 'śvinor bāhubhyāṃ pūṣṇo hastābhyām upanayāmy asāv iti
2.2.13	gaṇānāṃ tveti gaṇakāmān
2.2.14	āgantā mā riṣaṇyateti yodhān
2.2.15	mahāvyāhṛtibhir vyādhitān
2.3.1	bhagas te hastam agrabhīt savitā hastam agrabhīt pūṣā te hastam agrabhīt aryamā hastam agrabhīn mitras tvam asi dharmaṇāgnir ācāryas tavāsāvahaṃ cobhāv agna etaṃ te brahmacāriṇaṃ paridadāmīndraitaṃ te brahmacāriṇaṃ paridadāmy ādityaitaṃ te brahmacāriṇaṃ paridadāmi viśve devā etaṃ vo brahmacāriṇaṃ paridadāmi dīrghāyutvāya suprajāstvāya suvīryāya rāyaspoṣāya sarveṣāṃ vedānām ādhipatyāya suślokyāya svastaye
2.3.2	aindrīm āvṛtam āvarta ādityasyāvṛtam anvāvarta iti dakṣiṇaṃ bāhum anvāvṛtya
2.3.3	dakṣiṇena prādeśena dakṣiṇam aṃsam anvavahṛtyāriṣyataḥ te hṛdayasya priyo bhūyāsam iti hṛdayadeśam abhimṛśati
2.3.4	tūṣṇīṃ prasavyaṃ paryāvṛtya
2.3.5	athāsyordhvāṅguliṃ pāṇiṃ hṛdaye nidhāya japati
2.4.1	mama vrate hṛdayaṃ te dadhāmi mama cittam anu cittaṃ te astu mama vācam ekamanā juṣasva bṛhaspatiṣ ṭvā niyunaktu mahyam iti
2.4.2	kāmasya brahmacaryasyāsāv iti
2.4.3	tenaiva mantreṇa tathaiva paryāvṛtya
2.4.4	dakṣiṇena prādeśena dakṣiṇam aṃsam anvārabhya japati
2.4.5	brahmacāry asi samidham ādhehy apo 'śāna karma kuru mā divā suṣupthā vācaṃ yacchā samidādhānāt
2.4.6	eṣā te agne samid ity abhyādadhāti samidhaṃ tūṣṇīṃ vā
2.5.1	saṃvatsare sāvitrīm anvāha
2.5.2	trirātre
2.5.3	anvakṣaṃ vā
2.5.4	gāyatrīṃ brāhmaṇāyānubrūyāt
2.5.5	triṣṭubhaṃ kṣatriyāya
2.5.6	jagatīṃ vaiśyāya
2.5.7	sāvitrīṃ tv eva
2.5.8	uttareṇāgnim upaviśataḥ
2.5.9	prāṅmukha ācāryaḥ pratyaṅmukha itaraḥ
2.5.10	adhīhi bho 3 ity uktvā
2.5.11	ācārya oṃkāraṃ prayujyāthetaraṃ vācayati sāvitrīṃ bho 3 anubrūhīti
2.5.12	athāsmai sāvitrīm anvāha tat savitur vareṇyam ity etāṃ paccho 'rdharcaśo 'navānam
2.6.1	āpo nāma stha śivā nāma sthorjā nāma sthājarā nāma sthābhayā nāma sthāmṛtā nāma stha tāsāṃ vo 'śīya sumatau mā dhattety evaṃ trir apa ācamayya
2.6.2	svasti no mimītām iti pañcarcena daṇḍaṃ prayacchati
2.6.3	varo dakṣiṇā
2.6.4	pradakṣiṇam agniṃ paryāṇīya bhikṣate grāmaṃ
2.6.5	mātaraṃ tv eva prathamāṃ
2.6.6	yā vainaṃ na pratyācakṣīta
2.6.7	ācāryāya bhaikṣaṃ nivedayitvānujñāto guruṇā bhuñjīta
2.6.8	aharahaḥ samidādhānaṃ bhikṣācaraṇam adhaḥśayyā guruśuśrūṣeti brahmacāriṇo nityāni
2.7.1	athānuvācanasya
2.7.2	agner uttarata upaviśataḥ
2.7.3	prāṅmukha ācāryaḥ pratyaṅmukha itaraḥ
2.7.4	abhivādya pādāv ācāryasya pāṇī prakṣālya
2.7.5	dakṣiṇena jānunākramya mūle kuśataruṇān
2.7.6	dakṣiṇottarābhyāṃ pāṇibhyāṃ madhye parigṛhya
2.7.7	tānt savyenācāryo 'gre saṃgṛhya dakṣiṇenādbhiḥ pariṣiñcann athetaraṃ vācayati
2.7.8	sāvitrīṃ bho 3 anubrūhītītaraḥ
2.7.9	sāvitrīṃ te 'nubravīmīty ācāryaḥ
2.7.10	gāyatrīṃ bho 3 anubrūhītītaro gāyatrīṃ te 'nubravīmīty ācāryaḥ
2.7.11	vaiśvāmitrīṃ bho 3 anubrūhītītaro vaiśvāmitrīṃ te 'nubravīmīty ācāryaḥ
2.7.12	ṛṣīn bho 3 anubrūhītītara ṛṣīṃs te 'nubravīmīty ācāryaḥ
2.7.13	devatā bho 3 anubrūhītītaro devatās te 'nubravīmīty ācāryaḥ
2.7.14	chandāṃsi bho 3 anubrūhītītaraś chandāṃsi te 'nubravīmīty ācāryaḥ
2.7.15	śrutiṃ bho 3 anubrūhītītaraḥ śrutiṃ te 'nubravīmīty ācāryaḥ
2.7.16	smṛtiṃ bho 3 anubrūhītītaraḥ smṛtiṃ te 'nubravīmīty ācāryaḥ
2.7.17	śraddhāmedhe bho 3 anubrūhītītaraḥ śraddhāmedhe te 'nubravīmīty ācāryaḥ
2.7.18	evamevam ṛṣer yasya yasya yo yo mantro yaddevatyo yacchandāś ca tathā tathā taṃ taṃ mantram anubrūyāt
2.7.19	api vāvidann ṛṣidaivatacchandāṃsi tat savitur vareṇyam ity etāṃ paccho 'rdharcaśo 'navānam ity eṣeti samāpta āhācāryaḥ
2.7.20	evam ekaikam ṛṣim anuvākaṃ vānubrūyāt
2.7.21	kṣudrasūkteṣv anuvākam
2.7.22	yāvad vā gurur manyeta
2.7.23	ādyottame kāmaṃ sūkte vānubrūyād ṛṣeḥ
2.7.24	anuvākasya vā
2.7.25	ekaikaṃ sūktādāv iti
2.7.26	eṣā prabhṛtir iti kāmaṃ sūktādāv ācārya iti
2.7.27	etad ṛṣisvādhyāye vyākhyātam
2.7.28	samāpte kuśataruṇān ādāyānaḍuhena mūle kuṇḍaṃ kṛtvā yathāsūktaṃ kuśeṣv apo niṣiñcati
2.7.29	ahaḥśeṣaṃ sthānam upavāsaś ca
2.8.1	aparāhṇe 'kṣatadhānā bhikṣitvājyāhutidharmeṇāgnau pāṇinā juhuyāt sadasaspatim adbhutam iti pratyṛcaṃ sūktaśeṣeṇa
2.8.2	bhakṣair ācāryaṃ svastivācya
2.9.1	araṇye samitpāṇiḥ saṃdhyām āste nityaṃ vāgyata uttarāparābhimukho 'nvaṣṭamadeśam ā nakṣatrāṇāṃ darśanāt
2.9.2	atikrāntāyāṃ mahāvyāhṛtīḥ sāvitrīṃ svastyayanāni ca japitvā
2.9.3	evaṃ prātaḥ prāṅmukhas tiṣṭhann ā maṇḍaladarśanāt
2.10.1	udite prādhyayanam
2.10.2	aharahaḥ sāyaṃ prātaḥ
2.10.3	agnim upasamādhāya parisamuhya paryukṣya dakṣiṇaṃ jānv ācya
2.10.4	agnaye samidham ahārṣaṃ bṛhate jātavedase / sa me śraddhāṃ ca medhāṃ ca jātavedāḥ prayacchatu svāhā / edho 'sy edhiṣīmahi samid asi tejo 'si tejo mayi dhehi svāhā / samiddho māṃ samardhaya prajayā ca dhanena ca svāhā / eṣā te agne samit tayā vardhasva cā ca pyāyasva / vardhiṣīmahi ca vayam ā ca pyāsiṣīmahi svāheti
2.10.5	atha paryukṣya
2.10.6	agniḥ śraddhāṃ ca medhāṃ cāvinipātaṃ smṛtiṃ ca me / īḍito jātavedā ayaṃ śunaṃ naḥ samprayacchatv ity agnim upatiṣṭhate
2.10.7	sauparṇavratabhāṣitaṃ dṛṣṭaṃ vṛddhasaṃpradāyānuṣṭhitaṃ tryāyuṣaṃ pañcabhir mantraiḥ pratimantraṃ lalāṭe hṛdaye dakṣiṇaskandhe vāme ca tataḥ pṛṣṭhe ca pañcasu bhasmanā tripuṇḍraṃ karoti
2.10.8	sa eteṣāṃ vedānām ekaṃ dvau trīn sarvān vādhīte ya evaṃ hutvāgnim upatiṣṭhate
2.11.1	atha vratādeśanam
2.11.2	tasyopanayanena kalpo vyākhyātaḥ
2.11.3	na sāvitrīm anvāha
2.11.4	daṇḍapradānāntam ity eke
2.11.5	udagayane śuklapakṣe
2.11.6	ahorātraṃ brahmacaryam upetyācāryo 'māṃsāśī brahmacārī
2.11.7	caturdaśīṃ parihāpyāṣṭamīṃ ca
2.11.8	ādyottame caike
2.11.9	yāṃ vānyāṃ bhapraśastāṃ manyeta tasyāṃ śukriye brahmacaryam ādiśet
2.11.10	trirātraṃ brahmacaryaṃ cared dvādaśarātraṃ saṃvatsaraṃ vā yāvad vā gurur manyeta
2.11.11	śākvaraṃ tu saṃvatsaram
2.11.12	vrātikam aupaniṣadaṃ ca
2.11.13	pūrṇe kāle carite brahmacarye śaṃyor bārhaspatyānte vede 'nūkte rahasyaṃ śrāvayiṣyan kālaniyamaṃ cādeśena pratīyeta
2.12.1	kṛtaprātarāśasyāparāhṇe 'parājitāyāṃ diśi
2.12.2	hutvācāryo 'thainaṃ yāsv eva devatāsu parītto bhavati tāsv evainaṃ pṛcchaty agnāv indra āditye viśveṣu ca deveṣu caritaṃ te brahmacaryam
2.12.3	caritaṃ bho 3 iti pratyukte
2.12.4	paścād agneḥ purastād ācāryasya prāṅmukhe sthite 'hatena vāsasācāryaḥ pradakṣiṇaṃ mukhaṃ triḥ pariveṣṭya
2.12.5	upariṣṭād daśāḥ kṛtvā yathā na saṃbhraśyeta
2.12.6	trirātraṃ samidādhānaṃ bhikṣācaraṇam adhaḥśayyāṃ guruśuśrūṣāṃ cākurvan vāgyato 'pramatto 'raṇye devakule 'gnihotre vopavasasveti
2.12.7	atra haike tān eva niyamāṃs tiṣṭhato rātryām evopadiśanti
2.12.8	ācāryo 'māṃsāśī brahmacārī
2.12.9	trirātre nirvṛtte rātryāṃ vā grāmān niṣkrāman naitān īkṣetānadhyāyān
2.12.10	piśitāmaṃ caṇḍālaṃ sūtikāṃ rajasvalāṃ tedanīm apahastakān śmaśānaṃ sarvāṇi ca śavarūpāṇi yāny āsye na praviśeyuḥ svasya vāsān nirasan
2.12.11	prāgudīcīṃ diśam upaniṣkramya śucau deśe prāṅmukha ācārya upaviśati
2.12.12	udita āditye 'nuvācanadharmeṇa vāgyatāyoṣṇīṣiṇe 'nvāha
2.12.13	mahānāmnīṣv evaiṣa niyamaḥ
2.12.14	athottareṣu prakaraṇeṣu svādhyāyam eva kurvata ācāryasyetaraḥ śṛṇoti
2.12.15	uṣṇīṣaṃ bhājanaṃ dakṣiṇāṃ gāṃ dadāti
2.12.16	tvaṃ tam ity uccā divīti ca praṇavena vā sarvam
2.12.17	atra haike vaiśvadevaṃ caruṃ kurvate sarveṣu prakaraṇeṣu
2.12.18	yathāparīttam iti māṇḍūkeyaḥ
2.13.1	athāto daṇḍaniyamāḥ
2.13.2	nāntarā gamanaṃ kuryād ātmano daṇḍasya
2.13.3	atha ced daṇḍamekhalopavītānām anyatamad viśīryeta chidyeta vā tasya tat prāyaścittaṃ yad udvāhe rathasya
2.13.4	mekhalā ced asaṃdheyā bhavaty anyāṃ kṛtvānumantrayate
2.13.5	medhyāmedhyavibhāgajñe devi goptri sarasvati / mekhale 'skannam acchinnaṃ saṃtanuṣva vrataṃ mama / tvam agne vratabhṛcchucir agne devān ihāvaha / upa yajñaṃ haviś ca naḥ / vratāni bibhrad vratapā adābhyo bhavā no dūto ajaraḥ suvīraḥ / dadhad ratnāni sumṛﾱīko agne gopāya no jīvase jātaveda iti
2.13.6	upavītaṃ ca daṇḍe badhnāti
2.13.7	tad apy etat
2.13.8	yajñopavītaṃ daṇḍaṃ ca mekhalām ajinaṃ tathā / juhuyād apsu vrate pūrṇe vāruṇyarcā rasena vā
2.14.1	atha vaiśvadevaḥ
2.14.2	vyākhyāto homakalpaḥ
2.14.3	vaiśvadevasya siddhasya sāyaṃ prātar gṛhye 'gnau juhuyāt
2.14.4	agnaye svāhā somāya svāhendrāgnibhyāṃ svāhā viṣṇave svāhā bharadvājadhanvantaraye svāhā viśvebhyo devebhyaḥ svāhā prajāpataye svāhāditaye svāhānumataye svāhāgnaye sviṣṭakṛte svāheti hutvaitāsāṃ devatānām
2.14.5	atha vāstumadhye baliṃ hared etābhyaś caiva devatābhyo namo brahmaṇe brāhmaṇebhyaś ca vāstoṣpate pratijānīhy asmān iti vāstumadhye vāstoṣpataye ca
2.14.6	atha diśāṃ pradakṣiṇaṃ yathārūpaṃ baliṃ harati
2.14.7	nama indrāyaindrebhyaś ca namo yamāya yāmyebhyaś ca namo varuṇāya vāruṇebhyaś ca namaḥ somāya saumyebhyaś ca namo bṛhaspataye bārhaspatyebhyaś ca
2.14.8	athādityamaṇḍale namo 'ditaya ādityebhyaś ca namo nakṣatrebhya ṛtubhyo māsebhyo 'rdhamāsebhyo 'horātrebhyaḥ saṃvatsarebhyaḥ
2.14.9	pūṣṇe pathikṛte dhātre vidhātre marudbhyaś ceti dehalīṣu
2.14.10	viṣṇave dṛṣadi
2.14.11	vanaspataya ity ulūkhale
2.14.12	oṣadhībhya ity oṣadhīnāṃ sthāne
2.14.13	parjanyāyādbhya iti maṇike
2.14.14	namaḥ śriyai śayyāyāṃ śirasi pādato bhadrakālyai
2.14.15	anugupte deśe namaḥ sarvānubhūtaye
2.14.16	athāntarikṣe naktaṃcarebhya iti sāyam ahaścarebhya iti prātar ye devāsa iti ca
2.14.17	avijñātābhyo devatābhya uttarato dhanapataye ca
2.14.18	prācīnāvītī dakṣiṇataḥ śeṣaṃ ninayati ye agnidagdhā iti
2.14.19	devapitṛnarebhyo dattvā śrotriyaṃ bhojayet
2.14.20	brahmacāriṇe vā bhikṣāṃ dadyāt
2.14.21	anantaraṃ sauvāsinīṃ garbhiṇīṃ kumārān sthavirāṃś ca bhojayet
2.14.22	śvabhyaḥ śvapacebhyaś ca vayobhyaś cāvaped bhūmau
2.14.23	iti nānavattam aśnīyāt
2.14.24	naikaḥ
2.14.25	na pūrvam
2.14.26	tad apy etad ṛcoktaṃ mogham annaṃ vindate apracetā iti
2.15.1	ṣaṇṇāṃ ced arghyāṇām anyatama āgacched gopaśum ajam annaṃ vā yat sāmānyatamaṃ manyeta tat kuryāt
2.15.2	nāmāṃso 'rghaḥ syāt
2.15.3	adhiyajñam adhivivāhaṃ kurutety eva brūyāt
2.15.4	ācāryāyāgneyaḥ
2.15.5	ṛtvije bārhaspatyaḥ
2.15.6	vaivāhyāya prājāpatyaḥ
2.15.7	rājña aindraḥ
2.15.8	priyāya maitraḥ
2.15.9	snātakāyaindrāgnaḥ
2.15.10	yady apy asakṛt saṃvatsarasya somena yajeta kṛtārghyā evainaṃ yājayeyur nākṛtārghyāḥ
2.15.11	tad api bhavati
2.16.1	madhuparke ca some ca pitṛdaivatakarmaṇi / atraiva paśavo hiṃsyā nānyatrety abravīn manuḥ
2.16.2	ācāryaś ca pitā cobhau sakhā cānatithir gṛhe / te yad vidadhyus tat kuryād iti dharmo vidhīyate
2.16.3	naikagrāmīṇam atithiṃ viproṣyāgatam eva ca / upasthitaṃ gṛhe vidyād bhāryā yatrāgnayo 'pi vā
2.16.4	agnihotraṃ balivardāḥ kāle cātithir āgataḥ / bālāś ca kulavṛddhāś ca nirdahanty apamānitāḥ
2.16.5	anaḍvān agnihotraṃ ca brahmacārī ca te trayaḥ / aśnanta eva sidhyanti naiṣāṃ siddhir anaśnatām
2.16.6	devatāḥ puruṣaṃ gṛhyā aharahar gṛhamedhinam / bhāgārtham upasarpanti tābhyo nirvaptum arhati
2.17.1	tṛṇāny apy uñchato nityam agnihotraṃ ca juhvataḥ / sarvaṃ sukṛtam ādatte brāhmaṇo 'narcito vasan
2.17.2	odapātrāt tu dātavyam ā kāṣṭhāj juhuyād api / ā sūktād ānuvākād vā brahmayajño vidhīyate
2.17.3	nopavāsaḥ pravāse syāt patnī dhārayate vratam / putro bhrātāthavā patnī śiṣyo vāsya baliṃ haret
2.17.4	vaiśvadevam imaṃ ye tu sāyaṃ prātaḥ prakurvate / te arthair āyuṣā kīrtyā prajābhiś ca samṛdhnuyur iti
2.18.1	brahmacārī pravatsyann ācāryam āmantrayate
2.18.2	prāṇāpānayor ity upāṃśv om ahaṃ vatsyāmi bho 3 ity uccaiḥ
2.18.3	prāṇāpānā uruvyacās tvayā prapadye devāya tvā goptre paridadāmi deva savitar eṣa te brahmacārī taṃ te paridadāmi taṃ gopāyasva taṃ mā mṛdha ity upāṃśu
2.18.4	oṃ svastīty uccair ācāryaḥ svastīty uccair ācāryaḥ
3.1.1	snānaṃ samāvartsyamānasya
3.1.2	ānaḍuham ity uktaṃ tasminn upaveśya keśaśmaśrūṇi vāpayati lomanakhāni ca
3.1.3	vrīhiyavais tilasarṣapair apāmārgaiḥ sadāpuṣpībhir ity udvāpya
3.1.4	āpohiṣṭhīyenābhiṣicya
3.1.5	alaṃkṛtya
3.1.6	yuvaṃ vastrāṇīti vāsasī paridhāya
3.1.7	athāsmai niṣkaṃ badhnāty āyuṣyaṃ varcasyam
3.1.8	mamāgne varca iti veṣṭanam
3.1.9	gṛhaṃ gṛham ahaneti chattram
3.1.10	ārohatety upānahau
3.1.11	dīrghas te astv aṅkuśa iti vaiṇavaṃ daṇḍam ādatte
3.1.12	pratilīnas tad ahar āsīta
3.1.13	vanaspate vīḍvaṅgaḥ śāsa ittheti ratham ārohet
3.1.14	yatrainaṃ gavā vā paśunā vā arhayeyus tat pūrvam upatiṣṭheta
3.1.15	gobhyo vā samāvarteta phalavato vā vṛkṣāt
3.1.16	indra śreṣṭhāni draviṇāni dhehi syonā pṛthivi bhavety avarohati
3.1.17	īpsitam annaṃ tad ahar bhuñjīta
3.1.18	ācāryāya vastrayugaṃ dadyād uṣṇīṣaṃ maṇikuṇḍalaṃ daṇḍopānahaṃ chattraṃ ca
3.2.1	agāraṃ kārayiṣyann ihānnādyāya viśaḥ parigṛhṇāmīty udumbaraśākhayā triḥ parilikhya madhye sthaṇḍile juhoti
3.2.2	ko 'si kasyāsi kāya te grāmakāmo juhomi svāhā asyāṃ devānām asi bhāgadheyam itaḥ prajātāḥ pitaraḥ paretāḥ virāﾱ ajuhvad grāmakāmo na devānāṃ kiṃcanāntareṇa svāheti
3.2.3	sthūṇāgartān khānayitvā
3.2.4	udamanthān āsicya
3.2.5	imāṃ viminve amṛtasya śākhāṃ madhor dhārāṃ prataraṇīṃ vasūnām / emāṃ śiśuḥ krandaty ā kumāra emāṃ dhenuḥ krandatu nityavatsety udumbaraśākhāṃ ghṛtenāktāṃ dakṣiṇe dvārye garte nidadhāti
3.2.6	imām ucchrayāmi bhuvanasya śākhāṃ madhor dhārāṃ prataraṇīṃ vasūnām / emāṃ śiśuḥ krandaty ā kumāra emāṃ dhenuḥ krandatu pākavatsety uttarataḥ
3.2.7	evaṃ dvayordvayor dakṣiṇataḥ paścād uttarataś ca
3.2.8	imām aham asya vṛkṣasya śākhāṃ ghṛtam ukṣantīm amṛte minomi / emāṃ śiśuḥ krandaty ā kumāra ā syandantāṃ dhenavo nityavatsā iti sthūṇārājam ucchrayati
3.2.9	emaṃ kumāras taruṇa ā vatso bhuvanas pari / emam kumāras taruṇa ā vatso bhuvanas pari emaṃ parisrutaḥ kumbhyā ā dadhnaḥ kalaśair gaman
3.3.1	ihaiva sthūṇe pratitiṣṭha dhruvāśvāvatī gomatī sīlamāvatī / kṣeme tiṣṭha ghṛtam ukṣamāṇehaiva tiṣṭha nimitā tilvilā sthājirāvatī / madhye poṣasya tṛmpatāṃ mā tvā prāpann aghāyavaḥ / upahūtā iha gāva upahūtā ajāvayaḥ / atho annasya kīlāla upahūto gṛheṣu naḥ / rathantare pratitiṣṭha vāmadevye śrayasva bṛhati stabhāyeti / sthūṇārājam abhimṛśati
3.3.2	saṃmitasya sthūṇāḥ saṃmṛśati
3.3.3	satyaṃ ca śraddhā ceti pūrve
3.3.4	yajñaś ca dakṣiṇā ceti dakṣiṇe
3.3.5	balaṃ caujaś cety apare
3.3.6	brahma ca kṣatraṃ cety uttare
3.3.7	śrī stūpo dharma sthūṇārājaḥ
3.3.8	ahorātre dvāraphalake
3.3.9	saṃvatsaro 'pidhānam
3.3.10	ukṣā samudra ity abhyaktam aśmānaṃ stūpasyādhastān nikhanet
3.4.1	vāstoṣpatīye karmaṇi
3.4.2	agniṃ dadhāmi manasā śivenāyam astu saṃgamano vasūnām / mā no hiṃsī sthaviraṃ mā kumāraṃ śaṃ no bhava dvipade śaṃ catuṣpada iti gṛhyam agniṃ bāhyata upasamādhāya
3.4.3	prāgagreṣu naveṣu kuśeṣūdakumbhaṃ navaṃ pratiṣṭhāpya
3.4.4	ariṣṭā asmākaṃ vīrā mā parāseci no dhanam ity abhimantrya
3.4.5	rathantarasya stotriyeṇa punarādāyaṃ kakupkāraṃ tisraḥ pūrvāhṇe juhoti
3.4.6	vāmadevyasya madhyaṃdine
3.4.7	bṛhato 'parāhṇe
3.4.8	mahāvyāhṛtayaś catasro vāstoṣpata iti tisro 'mīvahā vāstoṣpate vāstoṣpate dhruvā sthūṇā sauviṣṭakṛtī daśamī sthālīpākasya rātrau
3.4.9	jyeṣṭhaṃ putram ādāya jāyāṃ ca sahadhānyaḥ prapadyeta
3.4.10	indrasya gṛhāḥ śivā vasumanto varūthinas tān ahaṃ prapadye saha jāyayā saha prajayā saha paśubhiḥ saha rāyaspoṣeṇa saha yan me kiṃcāsti tena
3.5.1	śagmaṃ śagmaṃ śivaṃ śivaṃ kṣemāya vaḥ śāntyai prapadye 'bhayaṃ no astu grāmo māraṇyāya paridadātu viśvāya mā paridehīti grāmān niṣkrāman
3.5.2	araṇyaṃ mā grāmāya paridadātu maha viśvāya mā paridehīti grāmaṃ praviśann ariktaḥ
