#Text:Pāraskaragṛhyasūtra
#Edition:Bakre (DCS version)



1.1.1	athāto gṛhyasthālīpākānāṃ karma
2.1.11	śivo nāmeti lohakṣuramādāya nivartayāmīti pravapati yenāvapatsavitā kṣureṇa somasya rājño varuṇasya vidvān / tena brahmāṇo vapatedam asyāyuṣyaṃ jaradaṣṭir yathāsaditi
2.1.12	sakeśāni pracchidyānaḍuhe gomayapiṇḍe prāsyatyuttarato dhriyamāṇe
2.1.13	evaṃ dviraparaṃ tūṣṇīm
2.1.14	itarayoścondanādi
2.1.15	atha paścāt tryāyuṣamiti
2.1.16	athottarato yena bhūriścarā divaṃ jyokca paścāddhi sūryam / tena te vapāmi brahmaṇā jīvātave jīvanāya suślokyāya svastaya iti
2.1.17	triḥ kṣureṇa śiraḥ pradakṣiṇaṃ pariharati samukhaṃ keśānte
2.1.18	yatkṣureṇa majjayatā supeśasā vaptvā vāvapati keśāñ chinddhi śiro māsyāyuḥ pramoṣīḥ
2.1.19	mukhamiti ca keśānte
2.1.20	tābhir adbhiḥ śiraḥ samudya nāpitāya kṣuraṃ prayacchati / akṣuṇvan parivapeti
2.1.21	yathāmaṅgalaṃ keśaśeṣakaraṇam
2.1.22	anuguptametaṃ sakeśaṃ gomayapiṇḍaṃ nidhāya goṣṭhe palvala udakānte vācāryāya varaṃ dadāti
2.1.23	gāṃ keśānte
2.1.24	saṃvatsaraṃ brahmacaryam avapanaṃ ca keśānte dvādaśarātraṃ ṣaḍrātraṃ trirātram antataḥ
2.2.1	aṣṭavarṣaṃ brāhmaṇam upanayed garbhāṣṭame vā
2.2.2	ekādaśavarṣaṃ rājanyam
2.2.3	dvādaśavarṣaṃ vaiśyam
2.2.4	yathāmaṅgalaṃ vā sarveṣām
2.2.5	brāhmaṇānbhojayettaṃ ca paryuptaśirasamalaṃkṛtamānayanti
2.2.6	paścādagneravasthāpya brahmacaryamāgām iti vācayati brahmacāry asānīti ca
2.2.7	athainaṃ vāsaḥ paridhāpayati yenendrāya bṛhaspatirvāsaḥ paryadadhād amṛtaṃ tena tvā paridadhāmyāyuṣe dīrghāyutvāya balāya varcasa iti
2.2.8	mekhalāṃ badhnīte / iyaṃ duruktam paribādhamānā varṇaṃ pavitraṃ punatī ma āgāt / prāṇāpānābhyāṃ balam ādadhānā svasā devī subhagā mekhaleyamiti
2.2.9	yuvā suvāsāḥ parivīta āgāt sa u śreyānbhavati jāyamānaḥ / taṃ dhīrāsaḥ kavaya unnayanti svādhyo manasā devayanta iti vā
2.2.10	tūṣṇīṃ vā
2.2.11	yajñopavītaṃ paramaṃ pavitraṃ prajāpater yat sahajaṃ purastāt / āyuṣyamagryaṃ pratimuñca śubhraṃ yajñopavītaṃ balam astu tejaḥ / yajñopavītam asi yajñasya tvā yajñopavītenopanahyāmītyathājinaṃ prayacchati mitrasya cakṣur dharuṇaṃ balīyas tejo yaśasvi sthaviraṃ samiddhaṃ anāhanasyaṃ vasanaṃ jariṣṇuḥ parīdaṃ vājyajinaṃ dadhe 'hamiti daṇḍaṃ prayacchati
2.2.12	taṃ pratigṛhṇāti yo me daṇḍaḥ parāpatadvaihāyaso 'dhi bhūmyāṃ tamahaṃ punar ādada āyuṣe brahmaṇe brahmavarcasāyeti
2.2.13	dīkṣāvadeke dīrghasatram upaitīti vacanāt
2.2.14	athāsyādbhir añjalināñjaliṃ pūrayati āpo hi ṣṭheti tisṛbhiḥ
2.2.15	athainaṃ sūryamudīkṣayati taccakṣuriti
2.2.16	athāsya dakṣiṇāṃsam adhi hṛdayam ālabhate / mama vrate te hṛdayaṃ dadhāmi / mama cittam anu cittaṃ te astu mama vācam ekamanā juṣasva bṛhaspatiṣ ṭvā niyunaktu mahyamiti
2.2.17	athāsya dakṣiṇaṃ hastaṃ gṛhītvāha ko nāmāsīti
2.2.18	asāvahaṃ bho iti pratyāha
2.2.19	athainam āha kasya brahmacāryasīti
2.2.20	bhavata ityucyamāna indrasya brahmacāryasyagnir ācāryas tavāham ācāryastavāsāv iti
2.2.21	athainaṃ bhūtebhyaḥ paridadāti prajāpataye tvā paridadāmi devāya tvā savitre paridadāmy adbhyas tvauṣadhībhyaḥ paridadāmi dyāvāpṛthivībhyāṃ tvā paridadāmi viśvebhyastvā devebhyaḥ paridadāmi sarvebhyastvā bhūtebhyaḥ paridadāmyariṣṭyā iti
2.3.1	pradakṣiṇamagniṃ parītyopaviśati
2.3.2	anvārabdha ājyāhutīrhutvā prāśanānte 'thainaṃ saṃśāsti brahmacāry asy apo 'śāna karma kuru mā divā suṣupthā vācaṃ yaccha samidham ādhehy apo 'śāneti
2.3.3	athāsmai sāvitrīm anvāhottarato 'gneḥ pratyaṅmukhāyopaviṣṭāyopasannāya samīkṣamāṇāya samīkṣitāya
2.3.4	dakṣiṇatas tiṣṭhata āsīnāya vaike
2.3.5	paccho 'rdharcaśaḥ sarvāṃ ca tṛtīyena sahānuvartayan
2.3.6	saṃvatsare ṣaṇmāsye caturviṃśatyahe dvādaśāhe ṣaḍahe tryahe vā
2.3.7	sadyastveva gāyatrīṃ brāhmaṇāyānubrūyād āgneyo vai brāhmaṇa iti śruteḥ
2.3.8	triṣṭubhaṃ rājanyasya
2.3.9	jagatīṃ vaiśyasya
2.3.10	sarveṣāṃ vā gāyatrīm
2.4.1	atra samidādhānam
2.4.2	pāṇināgniṃ parisamūhati agne suśravaḥ suśravasaṃ mā kuru yathā tvam agne suśravaḥ suśravā asyevaṃ māṃ suśravaḥ sauśravasaṃ kuru yathā tvamagne devānāṃ yajñasya nidhipā asyevamahaṃ manuṣyāṇāṃ vedasya nidhipo bhūyāsamiti
2.4.3	pradakṣiṇam agniṃ paryukṣyottiṣṭhant samidham ādadhāti agnaye samidham ahārṣaṃ bṛhate jātavedase / yathā tvamagne samidhā samidhyasa evam ahamāyuṣā medhayā varcasā prajayā paśubhirbrahmavarcasena samindhe jīvaputro mamācāryo medhāvyaham asāny anirākāriṣṇur yaśasvī tejasvī brahmavarcasyannādo bhūyāsaṃ svāheti
2.4.4	evaṃ dvitīyāṃ tathā tṛtīyām
2.4.5	eṣā ta iti vā samuccayo vā
2.4.6	pūrvavat parisamūhanaparyukṣaṇe
2.4.7	pāṇī pratapya mukhaṃ vimṛṣṭe tanūpā agne 'si tanvaṃ me pāhy āyurdā agne 'syāyur me dehi varcodā agne'si varco me dehi / agne yanme tanvā ūnaṃ tanma āpṛṇa
2.4.8	medhāṃ me devaḥ savitā ādadhātu medhāṃ me devī sarasvatī ādadhātu medhām aśvinau devāvādhattāṃ puṣkarasrajāviti
2.5.1	atra bhikṣācaryacaraṇam
2.5.2	bhavatpūrvāṃ brāhmaṇo bhikṣeta
2.5.3	bhavanmadhyāṃ rājanyaḥ
2.5.4	bhavadantyāṃ vaiśyaḥ
2.5.5	tisro 'pratyākhyāyinyaḥ
2.5.6	ṣaḍdvādaśāparimitā vā
2.5.7	mātaraṃ prathamāmeke
2.5.8	ācāryāya bhaikṣaṃ nivedayitvā vāgyato 'haḥśeṣaṃ tiṣṭhedityeke
2.5.9	ahiṃsann araṇyāt samidha āhṛtya tasminn agnau pūrvavad ādhāya vācaṃ visṛjate
2.5.10	adhaḥśāyy akṣārālavaṇāśī syāt
2.5.11	daṇḍadhāraṇamagniparicaraṇaṃ guruśuśrūṣā bhikṣācaryā
2.5.12	madhumāṃsamajjanoparyāsanastrīgamanānṛtādattādānāni varjayet
2.5.13	aṣṭācatvāriṃśadvarṣāṇi vedabrahmacaryaṃ caret
2.5.14	dvādaśa dvādaśa vā prativedam
2.5.15	yāvadgrahaṇaṃ vā
2.5.16	vāsāṃsi śāṇakṣaumāvikāni
2.5.17	aiṇeyam ajinam uttarīyaṃ brāhmaṇasya
2.5.18	rauravaṃ rājanyasya
2.5.19	ājaṃ gavyaṃ vā vaiśyasya
2.5.20	sarveṣāṃ vā gavyam asati pradhānatvāt
2.5.21	mauñjī raśanā brāhmaṇasya
2.5.22	dhanurjyā rājanyasya
2.5.23	maurvī vaiśyasya
2.5.24	muñjābhāve kuśāśmantakabalvajānām
2.5.25	pālāśo brāhmaṇasya daṇḍaḥ
2.5.26	bailvo rājanyasya
2.5.27	audumbaro vaiśyasya keśasaṃmito brāhmaṇasya lalāṭasaṃmitaḥ kṣatriyasya ghrāṇasaṃmito vaiśyasya sarve vā sarveṣām
2.5.28	ācāryeṇāhūta utthāya pratiśṛṇuyāt
2.5.29	śayānaṃ cedāsīna āsīnaṃ cettiṣṭhaṃstiṣṭhantaṃ cedabhikrāmann abhikrāmantaṃ cedabhidhāvan
2.5.30	sa evaṃ vartamāno 'mutrādya vasatyamutrādya vasatīti tasya snātakasya kīrtirbhavati
2.5.31	trayaḥ snātakā bhavanti vidyāsnātako vratasnātako vidyāvratasnātaka iti
2.5.32	samāpya vedam asamāpya vrataṃ yaḥ samāvartate sa vidyāsnātakaḥ
2.5.33	samāpya vratam asamāpya vedaṃ yaḥ samāvartate sa vratasnātakaḥ
2.5.34	ubhayaṃ samāpya yaḥ samāvartate sa vidyāvratasnātaka iti
2.5.35	ā ṣoḍaśādvarṣādbrāhmaṇasya nātītaḥ kālo bhavati
2.5.36	ā dvāviṃśādrājanyasya
2.5.37	ā caturviṃśādvaiśyasya
2.5.38	ata ūrdhvaṃ patitasāvitrīkā bhavanti
2.5.39	nainān upanayeyur nādhyāpayeyur na yājayeyur na caibhir vyavahareyuḥ
2.5.40	kālātikrame niyatavat
2.5.41	tripuruṣaṃ patitasāvitrīkāṇām apatye saṃskāro nādhyāpanaṃ ca
2.5.42	teṣāṃ saṃskārepsur vrātyastomeneṣṭvā kāmam adhīyīran vyavahāryā bhavantīti vacanāt
2.6.1	vedaṃ samāpya snāyāt
2.6.2	brahmacaryaṃ vāṣṭācatvāriṃśakam
2.6.3	dvādaśake 'pyeke
2.6.4	guruṇānujñātaḥ
2.6.5	vidhir vidheyastarkaśca vedaḥ
2.6.6	ṣaḍaṅgam eke
2.6.7	na kalpamātre
2.6.8	kāmaṃ tu yājñikasya
2.6.9	upasaṃgṛhya guruṃ samidho 'bhyādhāya pariśritasyottarataḥ kuśeṣu prāgagreṣu purastātsthitvāṣṭānām udakumbhānām
2.6.10	ye apsvantaragnayaḥ praviṣṭā gohya upagohyo mayūṣo manohā skhalo virujas tanūdūṣur indriyahātān vijahāmi yo rocanastamiha gṛhṇāmītyekasmād apo gṛhītvā
2.6.11	tenābhiṣiñcate / tena māmabhiṣiñcāmi śriyai yaśase brahmaṇe brahmavarcasāyeti
2.6.12	yena śriyamakṛṇutāṃ yenāvamṛśatāṃ surām / yenākṣyāvabhyaṣiñcatāṃ yadvāṃ tad aśvinā yaśa iti
2.6.13	āpo hi ṣṭheti ca pratyṛcam
2.6.14	tribhistūṣṇīm itaraiḥ
2.6.15	ud uttamam iti mekhalāmunmucya daṇḍaṃ nidhāya vāso 'nyat paridhāyādityamupatiṣṭhate
2.6.16	udyan bhrājabhṛṣṇur indro marudbhir asthāt prātaryāvabhir asthād daśasanir asi daśasaniṃ mā kurv āvidaṃ mā gamaya / udyan bhrājabhṛṣṇur indro marudbhirasthād divāyāvabhir asthācchatasanirasi śatasaniṃ mā kurv āvidaṃ mā gamaya / udyan bhrājabhṛṣṇur indro marudbhir asthāt sāyaṃyāvabhir asthāt sahasrasanirasi sahasrasaniṃ mā kurv āvidaṃ mā gamayeti
2.6.17	dadhitilānvā prāśya jaṭālomanakhāni saṃhṛtyaudumbareṇa dantān dhāveta / annādyāya vyūhadhvaṃ somo rājāyam āgamat / sa me mukhaṃ pramārkṣyate yaśasā ca bhagena ceti
2.6.18	utsādya punaḥ snātvānulepanaṃ nāsikayormukhasya copagṛhṇīte prāṇāpānau me tarpaya cakṣurme tarpaya śrotraṃ me tarpayeti
2.6.19	pitaraḥ śundhadhvamiti pāṇyor avanejanaṃ dakṣiṇā niṣicyānulipya japet / sucakṣā ahamakṣībhyāṃ bhūyāsaṃ suvarcā mukhena / suśrut karṇābhyāṃ bhūyāsamiti
2.6.20	ahataṃ vāso dhautaṃ vāmautreṇāchādayīta / paridhāsyai yaśodhāsyai dīrghāyutvāya jaradaṣṭirasmi / śataṃ ca jīvāmi śaradaḥ purūcī rāyaspoṣam abhisaṃvyayiṣya iti
2.6.21	athottarīyam / yaśasā mā dyāvāpṛthivī yaśasendrābṛhaspatī / yaśo bhagaśca māvindad yaśo mā pratipadyatāmiti
2.6.22	ekaṃ cet pūrvasyottaravargeṇa pracchādayīta
2.6.23	sumanasaḥ pratigṛhṇāti / yā āharajjamadagniḥ śraddhāyai medhāyai kāmāyendriyāya / tā ahaṃ pratigṛhṇāmi yaśasā ca bhagena ceti
2.6.24	athāvabadhnīte yad yaśo 'psarasām indraścakāra vipulaṃ pṛthu / tena saṃgrathitāḥ sumanasa ābadhnāmi yaśo mayīti
2.6.25	uṣṇīṣeṇa śiro veṣṭayate yuvā suvāsā iti
2.6.26	alaṅkaraṇamasi bhūyo 'laṅkaraṇaṃ bhūyāditi karṇaveṣṭakau
2.6.27	vṛtrasyetyaṅkte 'kṣiṇī
2.6.28	rociṣṇur asīty ātmānam ādarśe prekṣate
2.6.29	chatraṃ pratigṛhṇāti / bṛhaspateśchadirasi pāpmano mām antardhehi tejaso yaśaso māntardhehīti
2.6.30	pratiṣṭhe stho viśvato mā pātam ity upānahau pratimuñcate
2.6.31	viśvābhyo mā nāṣṭrābhyas paripāhi sarvata iti vaiṇavaṃ daṇḍamādatte
2.6.32	dantaprakṣālanādīni nityamapi vāsaśchatropānahaścāpūrvāṇi cenmantraḥ
2.7.1	snātasya yamānvakṣyāmaḥ
2.7.2	kāmāditaraḥ
2.7.3	nṛtyagītavāditrāṇi na kuryānna ca gacchet
2.7.4	kāmaṃ tu gītaṃ gāyati vaiva gīte vā ramata iti śruterhyaparam
2.7.5	kṣeme naktaṃ grāmāntaraṃ na gacchenna ca dhāvet
2.7.6	udapānāvekṣaṇavṛkṣārohaṇaphalaprapatanasaṃdhisarpaṇavivṛtasnānaviṣamalaṅghanaśuktavadanasaṃdhyādityaprekṣaṇabhaikṣaṇāni na kuryāt na ha vai snātvā bhikṣetāpa ha vai snātvā bhikṣāṃ jayatīti śruteḥ
2.7.7	varṣaty aprāvṛto vrajet ayaṃ me vajraḥ pāpmānamapahanaditi
2.7.8	apsvātmānam nāvekṣeta
2.7.9	ajātalomnīṃ vipuṃsīṃ ṣaṇḍhaṃ ca nopahaset
2.7.10	garbhiṇīṃ vijanyeti brūyāt
2.7.11	sakulamiti nakulam
2.7.12	bhagālamiti kapālam
2.7.13	maṇidhanur itīndradhanuḥ
2.7.14	gāṃ dhayantīṃ parasmai nācakṣīta
2.7.15	urvarāyām anantarhitāyāṃ bhūmāv utsarpaṃstiṣṭhan na mūtrapurīṣe kuryāt
2.7.16	svayaṃ praśīrṇena kāṣṭhena gudaṃ pramṛjīta
2.7.17	vikṛtaṃ vāso nāchādayīta
2.7.18	dṛḍhavrato vadhatraḥ syāt sarvata ātmānaṃ gopāyet sarveṣāṃ mitramiva śukriyam adhyeṣyamāṇaḥ
2.8.1	tisro rātrīrvrataṃ caret
2.8.2	amāṃsāśy amṛṇmayapāyī
2.8.3	strīśūdraśavakṛṣṇaśakuniśunāṃ cādarśanam asaṃbhāṣā ca taiḥ
2.8.4	śavaśūdrasūtakānnāni ca nādyāt
2.8.5	mūtrapurīṣe ṣṭhīvanaṃ cātape na kuryāt sūryāccātmānaṃ nāntardadhīta
2.8.6	taptenodakārthānkurvīta
2.8.7	avajyotya rātrau bhojanam
2.8.8	satyavadanameva vā
2.8.9	dīkṣito 'py ātapādīni kuryāt pravargyavāṃścet
2.9.1	athātaḥ pañca mahāyajñāḥ
2.9.2	vaiśvadevād annāt paryukṣya svāhākārair juhuyād brahmaṇe prajāpataye gṛhyābhyaḥ kaśyapāyānumataya iti
2.9.3	bhūtagṛhyebhyo maṇike trīn parjanyāyādbhyaḥ pṛthivyai
2.9.4	dhātre vidhātre ca dvāryayoḥ
2.9.5	pratidiśaṃ vāyave diśāṃ ca
2.9.6	madhye trīn brahmaṇe 'ntarikṣāya sūryāya
2.9.7	viśvebhyo devebhyo viśvebhyaśca bhūtebhyas teṣām uttarataḥ
2.9.8	uṣase bhūtānāṃ ca pataye param
2.9.9	pitṛbhyaḥ svadhā nama iti dakṣiṇataḥ
2.9.10	pātraṃ nirṇijyottarāparasyāṃ diśi ninayed yakṣmaitat ta iti
2.9.11	uddhṛtyāgraṃ brāhmaṇāyāvanejya dadyāddhanta ta iti
2.9.12	yathārhaṃ bhikṣukānatithīṃśca saṃbhajeran
2.9.13	bālajyeṣṭhā gṛhyā yathārhamaśnīyuḥ
2.9.14	paścād gṛhapatiḥ patnī ca
2.9.15	pūrvo vā gṛhapatiḥ / tasmād u svāṣṭaṃ gṛhapatiḥ pūrvo 'tithibhyo 'śnīyād iti śruteḥ
2.9.16	aharahaḥ svāhākuryād annābhāve kenacid ā kāṣṭhād devebhyaḥ pitṛbhyo manuṣyebhyaścodapātrāt
2.10.1	athāto 'dhyāyopākarma
2.10.2	oṣadhīnāṃ prādurbhāve śravaṇena śrāvaṇyāṃ paurṇamāsyāṃ śrāvaṇasya pañcamīṃ hastena vā
2.10.3	ājyabhāgāviṣṭvājyāhutīr juhoti
2.10.4	pṛthivyā agnaya ityṛgvede
2.10.5	antarikṣāya vāyava iti yajurvede
2.10.6	dive sūryāyeti sāmavede
2.10.7	digbhyaś candramasa ityatharvavede
2.10.8	brahmaṇe chandobhyaśceti sarvatra
2.10.9	prajāpataye devebhya ṛṣibhyaḥ śraddhāyai medhāyai sadasaspataye 'numataya iti ca
2.10.10	etadeva vratādeśanavisargeṣu
2.10.11	sadasaspatim ity akṣatadhānāstriḥ
2.10.12	sarve 'nupaṭheyuḥ
2.10.13	hutvā hutvaudumbaryas tisras tisraḥ samidha ādadhyur ārdrāḥ sapalāśā ghṛtāktāḥ sāvitryā
2.10.14	brahmacāriṇaśca pūrvakalpena
2.10.15	śaṃ no bhavantv ity akṣatadhānā akhādantaḥ prāśnīyuḥ
2.10.16	dadhikrāvṇa iti dadhi bhakṣayeyuḥ
2.10.17	sa yāvantaṃ gaṇam icchet tāvatas tilān ākarṣaphalakena juhuyāt sāvitryā śukrajyotir ity anuvākena vā
2.10.18	prāśanānte pratyaṅmukhebhya upaviṣṭebhya oṃkāram uktvā triśca sāvitrīm adhyāyādīn prabrūyāt
2.10.19	ṛṣimukhāni bahvṛcānām
2.10.20	parvāṇi chandogānām
2.10.21	sūktānyatharvaṇānām
2.10.22	sarve japanti saha no 'stu saha no 'vatu saha na idaṃ vīryavadastu brahma / indras tad veda yena yathā na vidviṣāmaha iti
2.10.23	trirātraṃ nādhīyīran
2.10.24	lomanakhānām anikṛntanam
2.10.25	eke prāg utsargāt
2.11.1	vāte 'māvāsyāyāṃ sarvānadhyāyaḥ
2.11.2	śrāddhāśane colkāvasphūrjadbhūmicalanāgnyutpāteṣv ṛtusandhiṣu cākālam
2.11.3	utsṛṣṭeṣvabhradarśane sarvarūpe ca trirātraṃ trisandhyaṃ vā
2.11.4	bhuktvārdrapāṇir udake niśāyāṃ saṃdhivelayorantaḥśave grāme 'ntar divākīrtye
2.11.5	dhāvato 'bhiśastapatitadarśanāścaryābhyudayeṣu ca tatkālam
2.11.6	nīhāre vāditraśabda ārtasvane grāmānte śmaśāne śvagardabholūkaśṛgālasāmaśabdeṣu śiṣṭācarite ca tatkālam
2.11.7	gurau prete 'po 'bhyaveyād daśarātraṃ coparamet
2.11.8	satānūnaptriṇi sabrahmacāriṇi ca trirātram
2.11.9	ekarātram asabrahmacāriṇi
2.11.10	ardhaṣaṣṭhān māsān adhītyotsṛjeyuḥ
2.11.11	ardhasaptamānvā
2.11.12	athemām ṛcaṃ japanti ubhā kavī yuvā yo no dharmaḥ parāpatat / parisakhyasya dharmiṇo vi sakhyāni visṛjāmaha iti
2.11.13	trirātraṃ sahoṣya vipratiṣṭheran
2.12.1	pauṣasya rohiṇyāṃ madhyamāyāṃ vāṣṭakāyām adhyāyān utsṛjeran
2.12.2	udakāntaṃ gatvādbhir devāṃśchandāṃsi vedānṛṣīnpurāṇācāryān gandharvānitarācāryānsaṃvatsaraṃ ca sāvayavaṃ pitṝn ācāryānsvāṃśca tarpayeyuḥ
2.12.3	sāvitrīṃ caturanudrutya viratāḥ sma iti prabrūyuḥ
2.12.4	kṣapaṇaṃ pravacanaṃ ca pūrvavat
2.13.1	puṇyāhe lāṅgalayojanaṃ jyeṣṭhayā vendradaivatyam
2.13.2	indraṃ parjanyamaśvinau maruta udalākāśyapaṃ svātikārīṃ sītām anumatiṃ ca dadhnā taṇḍulair gandhair akṣatair iṣṭvānaḍuho madhughṛte prāśayet
2.13.3	sīrā yuñjantīti yojayet
2.13.4	śunaṃ su phālā iti kṛṣet phālaṃ vālabheta
2.13.5	na vāgnyupadeśāvapanānuṣaṅgācca
2.13.6	agryam abhiṣicyākṛṣṭaṃ tadā kṛṣeyuḥ
2.13.7	sthālīpākasya pūrvavad devatā yajed ubhayor vrīhiyavayoḥ pravapan sītāyajñe ca
2.13.8	tato brāhmaṇabhojanam
2.14.1	athātaḥ śravaṇākarma
2.14.2	śrāvaṇyāṃ paurṇamāsyām
2.14.3	sthālīpākaṃ śrapayitvākṣatadhānāścaikakapālam puroḍāśaṃ dhānānāṃ bhūyasīḥ piṣṭvājyabhāgāviṣṭvājyāhutī juhoti
2.14.4	apa śveta padā jahi pūrveṇa cāpareṇa ca / sapta ca vāruṇīr imāḥ prajāḥ sarvāśca rājabāndhavaiḥ svāhā
2.14.5	na vai śvetasyādhyācāre 'hir dadarśa kaṃcana / śvetāya vaidarvyāya namaḥ svāheti
2.14.6	sthālīpākasya juhoti viṣṇave śravaṇāya śrāvaṇyai paurṇamāsyai varṣābhyaśceti
2.14.7	dhānāvantamiti dhānānām
2.14.8	ghṛtāktānsaktūnsarpebhyo juhoti
2.14.9	āgneyapāṇḍupārthivānāṃ sarpāṇām adhipataye svāhā śvetavāyavāntarikṣāṇāṃ sarpāṇāmadhipataye svāhābhibhūḥ sauryadivyānāṃ sarpāṇām adhipataye svāheti
2.14.10	sarvahutamekakapālaṃ dhruvāya bhaumāya svāheti
2.14.11	prāśanānte saktūnāmekadeśaṃ śūrpe nyupyopaniṣkramya bahiḥ śālāyāḥ sthaṇḍilam upalipyolkāyāṃ dhriyamāṇāyāṃ māntarā gamatety uktvā vāgyataḥ sarpān avanejayati
2.14.12	āgneyapāṇḍupārthivānāṃ sarpāṇāmadhipate 'vanenikṣva śvetavāyavāntarikṣāṇāṃ sarpāṇāmadhipate 'vanenikṣvābhibhūḥ sauryadivyānāṃ sarpāṇāmadhipate 'vanenikṣveti
2.14.13	yathāvaniktaṃ darvyopaghātaṃ saktūn sarpebhyo baliṃ harati
2.14.14	āgneyapāṇḍupārthivānāṃ sarpāṇāmadhipata eṣa te baliḥ śvetavāyavāntarikṣāṇāṃ sarpāṇāmadhipata eṣa te balir abhibhūḥ sauryadivyānāṃ sarpāṇām adhipata eṣa te baliriti
2.14.15	avanejya pūrvavat kaṅkataiḥ pralikhati
2.14.16	āgneyapāṇḍupārthivānāṃ sarpāṇām adhipate pralikhasva śvetavāyavāntarikṣāṇāṃ sarpāṇām adhipate pralikhasvābhibhūḥ sauryadivyānāṃ sarpāṇām adhipate pralikhasveti
2.14.17	añjanānulepanaṃ srajaś cāñjasvānulimpasva srajo 'pinahyasveti
2.14.18	saktuśeṣaṃ sthaṇḍile nyupyodapātreṇopaninīyopatiṣṭhate namo 'stu sarpebhya iti tisṛbhiḥ
2.14.19	sa yāvat kāmayeta na sarpā abhyupeyuriti tāvat saṃtatayodadhārayā niveśanaṃ triḥ pariṣiñcan parīyād apa śveta padā jahīti dvābhyām
2.14.20	darvīṃ śūrpaṃ prakṣālya pratapya prayacchati
2.14.21	dvāradeśe mārjayanta āpo hi ṣṭheti tisṛbhiḥ
2.14.22	anuguptam etaṃ saktuśeṣaṃ nidhāya tato 'stamite 'stamite 'gniṃ paricarya darvyopaghātaṃ saktūnsarpebhyo baliṃ hared āgrahāyaṇyāḥ
2.14.23	taṃ harantaṃ nāntareṇa gaccheyuḥ
2.14.24	darvyācamanaṃ prakṣālya nidadhāti
2.14.25	dhānāḥ prāśnanty asaṃsyūtāḥ
2.14.26	tato brāhmaṇabhojanam
2.15.1	prauṣṭhapadyām indrayajñaḥ
2.15.2	pāyasamaindraṃ śrapayitvāpūpāṃś cāpūpaiḥ stīrtvājyabhāgāv iṣṭvājyāhutīr juhotīndrāyendrāṇyā ajāyaikapade 'hirbudhnyāya prauṣṭhapadābhyaśceti
2.15.3	prāśanānte marudbhyo baliṃ haraty ahutādo maruta iti śruteḥ
2.15.4	āśvattheṣu palāśeṣu maruto 'śvatthe tasthur iti vacanāt
2.15.5	śukrajyotiriti pratimantram
2.15.6	vimukhena ca
2.15.7	manasā
2.15.8	nāmānyeṣāmetānīti śruteḥ
2.15.9	indraṃ daivīriti japati
2.15.10	tato brāhmaṇabhojanam
2.16.1	āśvayujyāṃ pṛṣātakāḥ
2.16.2	pāyasamaindraṃ śrapayitvā dadhimadhughṛtamiśraṃ juhotīndrāyendrāṇyā aśvibhyām āśvayujyai paurṇamāsyai śarade ceti
2.16.3	prāśanānte dadhipṛṣātakam añjalinā juhoti ūnaṃ me pūryatāṃ pūrṇaṃ me mā vyagātsvāheti
2.16.4	dadhimadhughṛtamiśram amātyā avekṣanta āyātvindra ityanuvākena
2.16.5	mātṛbhirvatsānsaṃsṛjya tāṃ rātrimāgrahāyaṇīṃ ca
2.16.6	tato brāhmaṇabhojanam
2.17.1	atha sītāyajñaḥ
2.17.2	vrīhiyavānāṃ yatra yatra yajeta tanmayaṃ sthālīpākaṃ śrapayet
2.17.3	kāmādījāno 'nyatrāpi vrīhiyavayor evānyataraṃ sthālīpākaṃ śrapayet
2.17.4	na pūrvacoditatvāt saṃdehaḥ
2.17.5	asaṃbhavād vinivṛttiḥ
2.17.6	kṣetrasya purastāduttarato vā śucau deśe kṛṣṭe phalānuparodhena
2.17.7	grāme vobhayasaṃprayogād avirodhāt
2.17.8	yatra śrapayiṣyannupalipta uddhatāvokṣite 'gnimupasamādhāya tanmiśrairdarbhaiḥ stīrtvājyabhāgāviṣṭvājyāhutīr juhoti
2.17.9	pṛthivī dyauḥ pradiśo diśo yasmai dyubhirāvṛtāḥ tam ihendram upahvaye śivā naḥ santu hetayaḥ svāhā / yanme kiṃcidupepsitamasmin karmaṇi vṛtrahan / tanme sarvaṃ samṛdhyatāṃ jīvataḥ śaradaḥ śataṃ svāhā / saṃpattir bhūtir bhūmirvṛṣṭirjyaiṣṭhyaṃ śraiṣṭhyaṃ śrīḥ prajām ihāvatu svāhā / yasyā bhāve vaidikalaukikānāṃ bhūtirbhavati karmaṇām / indrapatnīmupahvaye sītāṃ sā me tvanapāyinī bhūyāt karmaṇi karmaṇi svāhā / aśvāvatī gomatī sūnṛtāvatī bibharti yā prāṇabhṛto atandritā / khalamālinīm urvarām asmin karmaṇyupahvaye dhruvāṃ sā me tvanapāyinī bhūyātsvāheti
2.17.10	sthālīpākasya juhoti sītāyai yajāyai śamāyai bhūtyā iti
2.17.11	mantravatpradānamekeṣām
2.17.12	svāhākārapradānā iti śruter vinivṛttiḥ
2.17.13	staraṇaśeṣaṣu sītāgoptṛbhyo baliṃ harati purastādye ta āsate sudhanvāno niṣaṅgiṇaḥ / te tvā purastād gopāyantv apramattā anapāyino nama eṣāṃ karomyahaṃ balimebhyo harāmīmamiti
2.17.14	atha dakṣiṇato'nimiṣā varmiṇa āsate / te tvā dakṣiṇato gopāyantv apramattā anapāyino nama eṣāṃ karomyahaṃ balimebhyo harāmīmamiti
