#Text:Āśvalāyanagṛhyasūtra
#Edition:Stenzler (DCS version)



1.1.1	uktāni vaitānikāni gṛhyāni vakṣyāmaḥ
1.23.9	candramā me brahmā sa me brahmā brahmāṇaṃ tvāmuṃ vṛṇa iti brahmāṇam / ādityo me 'dhvaryur ity adhvaryum
1.23.10	parjanyo ma udgātā ity udgātāram
1.23.11	āpo me hotra āśaṃsinya iti hotrakān
1.23.12	raśmayo me camasādhvaryava iti camasādhvaryūn
1.23.13	ākāśo me sadasya iti sadasyam
1.23.14	sa vṛto japen mahan me 'voco bhargo me 'voco bhago me 'voco yaśo me 'vocaḥ stomaṃ me 'vocaḥ kﾱptiṃ me 'voco bhuktiṃ me 'vocas tṛptiṃ me 'vocaḥ sarvaṃ me 'voca iti
1.23.15	japitvāgniṣ ṭe hotā sa te hotā hotāhaṃ te mānuṣa iti hotā pratijānīte
1.23.16	candramās te brahmā sa te brahmā brahmā
1.23.17	evam itare yathādeśam
1.23.18	tan mām avatu tan māviśatu tena bhukṣiṣīyeti ca yājayiṣyan
1.23.19	nyastam ārtvijyam akāryam ahīnasya nīcadakṣiṇasya vyādhitasyāturasya yakṣmagṛhītasyānudeśyabhiśastasya kṣiptayonir iti caiteṣām
1.23.20	somapravākaṃ paripṛcchet ko yajñaḥ ka ṛtvijaḥ kā dakṣiṇeti
1.23.21	kalyāṇaiḥ saha samprayogaḥ
1.23.22	na māṃsam aśnīyur na striyam upeyur ā krator apavargāt
1.23.23	etenāgne brahmaṇā vāvṛdhasveti dakṣiṇāgnāvājyāhutiṃ hutvā yathārthaṃ pravrajet
1.23.24	evam anāhitāgnir gṛhya imām agne śaraṇim mīmṛṣo na ityetayarcā
1.24.1	ṛtvijo vṛtvā madhuparkam āharet
1.24.2	snātakāyopasthitāya
1.24.3	rājñe ca
1.24.4	ācāryaśvaśurapitṛvyamātulānāṃ ca
1.24.5	dadhani madhv ānīya
1.24.6	sarpir vā madhvalābhe
1.24.7	viṣṭaraḥ pādyam arghyam ācamanīyaṃ madhuparko gaur ity eteṣāṃ tris trir ekaikaṃ vedayante
1.24.8	ahaṃ varṣma sajātānāṃ vidyutām iva sūryaḥ / idaṃ tam adhitiṣṭhāmi yo mā kaścābhidāsatīty udagagre viṣṭara upaviśet
1.24.9	ākramya vā
1.24.10	pādau prakṣālāpayīta
1.24.11	dakṣiṇam agre brāhmaṇāya prayacchet
1.24.12	savyaṃ śūdrāya
1.24.13	prakṣālitapādo 'rghyam añjalinā pratigṛhyāthācamanīyena ācāmaty amṛtopastaraṇam asīti
1.24.14	madhuparkam āhriyamāṇam īkṣate mitrasya tvā cakṣuṣā pratīkṣa iti
1.24.15	devasya tvā savituḥ prasave 'śvinor bāhubhyāṃ pūṣṇo hastābhyāṃ pratigṛhṇāmīti tad añjalinā pratigṛhya savye pāṇau kṛtvā madhu vātā ṛtāyata iti tṛcenāvekṣya anāmikayā cāṅguṣṭhena ca triḥ pradakṣiṇam āloḍya vasavas tvā gāyatreṇa chandasā bhakṣayantv iti purastānnimārṣṭi
1.24.16	rudrāstvā traiṣṭubhena chandasā bhakṣayantv iti dakṣiṇataḥ
1.24.17	ādityāstvā jāgatena chandasā bhakṣayantv iti paścāt
1.24.18	viśve tvā devā ānuṣṭubhena chandasā bhakṣayantv ity uttarataḥ
1.24.19	bhūtebhyastveti madhyāttrirudgṛhya
1.24.20	virājo doho 'sīti prathamaṃ prāśnīyāt
1.24.21	virājo doham aśīya iti dvitīyam
1.24.22	mayi dohaḥ padyāyai virāja iti tṛtīyam
1.24.23	na sarvam
1.24.24	na tṛptiṃ gacchet
1.24.25	brāhmaṇāya udaṅ ucchiṣṭaṃ prayacchet
1.24.26	alābhe 'psu
1.24.27	sarvaṃ vā
1.24.28	athācamanīyenānvācāmaty amṛtāpidhānam asīti
1.24.29	satyaṃ yaśaḥ śrīr mayi śrīḥ śrayatām iti dvitīyam
1.24.30	ācāntodakāya gāṃ vedayante
1.24.31	hato me pāpmā pāpmā me hata iti japitvoṃ kuruteti kārayiṣyan
1.24.32	mātā rudrāṇāṃ duhitā vasūnām iti japitvom utsṛjatety utsrakṣyan
1.24.33	nāmāṃso madhuparko bhavati bhavati
2.1.1	śrāvaṇyāṃ paurṇamāsyāṃ śravaṇākarma
2.1.2	akṣatasaktūnāṃ navaṃ kalaśaṃ pūrayitvā darvīṃ ca baliharaṇīṃ nave śikye nidadhāti
2.1.3	akṣatadhānāḥ kṛtvā sarpiṣārdhā anakti
2.1.4	astamite sthālīpākaṃ śrapayitvaikakapālaṃ ca puroﾱāśam agne naya supathā rāye 'smān iti catasṛbhiḥ pratyṛcaṃ hutvā pāṇinaikakapālam acyutāya bhaumāya svāheti
2.1.5	avaplutaḥ syād āviṣpṛṣṭho vā
2.1.6	mā no agne 'vasṛjo aghāyety enam āśayenābhijuhoti
2.1.7	śaṃ no bhavantu vājino haveṣvityaktā dhānā añjalinā
2.1.8	amātyebhya itarā dadyāt
2.1.9	kalaśāt saktūnāṃ darvīṃ pūrayitvā prāg upaniṣkramya śucau deśe 'po 'vaninīya sarpadevajanebhyaḥ svāheti hutvā namaskaroti ye sarpāḥ pārthivā ye 'ntarikṣyā ye divyā ye diśyās tebhya imaṃ balim āhārṣaṃ tebhya imaṃ balim upākaromīti
2.1.10	pradakṣiṇaṃ parītya paścād baler upaviśya sarpo 'si sarpatāṃ sarpāṇām adhipatir asy annena manuṣyāṃstrāyase 'pūpena sarpān yajñena devāṃs tvayi mā santaṃ tvayi santaḥ sarpā mā hiṃsiṣur dhruvāmuṃ te paridadāmi
2.1.11	dhruvāmuṃ te dhruvāmuṃ ta ity amātyān anupūrvam
2.1.12	dhruva māṃ te paridadāmīty ātmānam antataḥ
2.1.13	nainam antarā vyaveyur ā paridānāt
2.1.14	sarpadevajanebhyaḥ svāheti sāyaṃ prātar baliṃ hared ā pratyavarohaṇāt
2.1.15	prasaṃkhyāya haike tāvato balīṃstadahareva upaharanti
2.2.1	āśvayujyām āśvayujīkarma
2.2.2	niveśanam alaṃkṛtya snātāḥ śucivāsasaḥ paśupataye sthālīpākaṃ nirupya juhuyuḥ paśupataye śivāya śaṃkarāya pṛṣātakāya svāheti
2.2.3	pṛṣātakam añjalinā juhuyād ūnaṃ me pūryatāṃ pūrṇaṃ me mopasadat pṛṣātakāya svāheti
2.2.4	sajūr ṛtubhiḥ sajūr vidhābhiḥ sajūr indrāgnibhyāṃ svāhā / sajūr ṛtubhiḥ sajūr vidhābhiḥ sajūr dyāvāpṛthivībhyāṃ svāhetyāhitāgner āgrayaṇasthālīpākaḥ
2.2.5	anāhitāgner api śālāgnau
2.3.1	mārgaśīrṣyāṃ pratyavarohaṇaṃ caturdaśyām
2.3.2	paurṇamāsyāṃ vā
2.3.3	niveśanaṃ punarnavīkṛtya lepanastaraṇopastaraṇair astamite pāyasasya juhuyur apa śveta padā jahi pūrveṇa cāpareṇa ca / sapta ca vāruṇīr imāḥ sarvāśca rājabāndhavīḥ svāhā / na vai śvetaś cābhyāgāre 'hir jaghāna kiṃcana / śvetāya vaidārvāya namaḥ svāheti
2.3.4	nātra sauviṣṭakṛt
2.3.5	abhayaṃ naḥ prājāpatyebhyo bhūyād ity agnim īkṣamāṇo japati
2.3.6	śivo naḥ sumanā bhaveti hemantaṃ manasā dhyāyāt
2.3.7	paścād agneḥ svastaraḥ svāstīrṇas tasminn upaviśya syonā pṛthivi bhaveti japitvā saṃviśet sāmātyaḥ prākśirā udaṅmukhaḥ
2.3.8	yathāvakāśam itare
2.3.9	jyāyāñjyāyān vānantaraḥ
2.3.10	mantravido mantrān japeyuḥ
2.3.11	saṃhāyāto devā avantu na iti triḥ
2.3.12	etāṃ dakṣiṇāmukhāḥ pratyaṅmukhā udaṅmukhāś caturtham
2.3.13	saṃhāya sauryāṇi svastyayanāni ca japitvānnaṃ saṃskṛtya brāhmaṇān bhojayitvā svastyayanaṃ vācayīta
2.4.1	hemantaśiśirayoścaturṇām aparapakṣāṇām aṣṭamīṣvaṣṭakāḥ
2.4.2	ekasyāṃ vā
2.4.3	pūrvedyuḥ pitṛbhyo dadyāt
2.4.4	odanaṃ kṛsaraṃ pāyasam
2.4.5	catuḥśarāvasya vāpūpān
2.4.6	udīratām avara ut parāsa ityaṣṭābhir hutvā yāvatībhir vā kāmayīta
2.4.7	atha śvobhūte 'ṣṭakāḥ paśunā sthālīpākena ca
2.4.8	apyanaḍuho yavasam āharet
2.4.9	agninā vā kakṣam upoṣet
2.4.10	eṣā me 'ṣṭaketi
2.4.11	na tv eva anaṣṭakaḥ syāt
2.4.12	tāṃ ha eke vaiśvadevīṃ bruvata āgneyīm eke sauryām eke prājāpatyām eke rātridevatām eke nakṣatradevatām eka ṛtudevatām eke pitṛdevatām eke paśudevatām eke
2.4.13	paśukalpena paśuṃ saṃjñapya prokṣaṇopākaraṇavarjaṃ vapām utkhidya juhuyād vaha vapāṃ jātavedaḥ pitṛbhyo yatraitān vettha nihitān parāke / medasaḥ kulyā upa enānt sravantu satyā etā āśiṣaḥ santu sarvāḥ svāheti
2.4.14	ataḥ avadānānāṃ sthālīpākasya cāgne naya supathā rāye 'smān iti dve / grīṣmo hemanta ṛtavaḥ śivā no varṣāḥ śivā abhayā śarannaḥ / saṃvatsaro 'dhipatiḥ prāṇado no 'horātre kṛṇutāṃ dīrgham āyuḥ svāhā / śāntā pṛthivī śivam antarikṣaṃ dyaur no devy abhayaṃ no astu / śivā diśaḥ pradiśa uddiśo na āpo vidyutaḥ paripāntu sarvataḥ svāhā / āpo marīcīḥ pravahantu no dhiyo dhātā samudro avahantu pāpam / bhūtaṃ bhaviṣyad abhayaṃ viśvam astu me brahmādhiguptaḥ svārākṣarāṇi svāhā / viśva ādityā vasavaś ca devā rudrā goptāro marutaḥ sadantu / ūrjaṃ prajām amṛtaṃ pinvamānaḥ prajāpatir mayi parameṣṭhī dadhātu svāhā / prajāpate na tvad etāny anyaḥ
2.4.15	sauviṣṭakṛtyaṣṭamī
2.4.16	brāhmaṇān bhojayed ityuktam
2.5.1	aparedyur anvaṣṭakyam
2.5.2	tasyaiva māṃsasya prakalpya dakṣiṇāpravaṇe 'gnim upasamādhāya pariśrityottarataḥ pariśritasya dvāraṃ kṛtvā samūlaṃ barhis trir apasalair avidhūnvan paristīrya havīṃṣyāsādayed odanaṃ kṛsaraṃ pāyasaṃ dadhimanthān madhumanthāṃś ca
2.5.3	piṇḍapitṛyajñakalpena
2.5.4	hutvā madhumanthavarjaṃ pitṛbhyo dadyāt
2.5.5	strībhyaśca surā cācāmam ity adhikam
2.5.6	karṣūṣveke dvayoḥ ṣaṭsu vā
2.5.7	pūrvāsu pitṛbhyo dadyāt
2.5.8	aparāsu strībhyaḥ
2.5.9	etena māghyāvarṣaṃ proṣṭhapadyā aparapakṣe
2.5.10	māsi māsi caivaṃ pitṛbhyo 'yukṣu pratiṣṭhāpayet
2.5.11	navāvarān bhojayet
2.5.12	ayujo vā
2.5.13	yugmān vṛddhipūrteṣu
2.5.14	ayugmān itareṣu
2.5.15	pradakṣiṇam upacāro yavais tilārthaḥ
2.6.1	ratham ārokṣyan nānā pāṇibhyāṃ cakre 'bhimṛśed ahaṃ te pūrvapādāvārabhe bṛhadrathantare te cakre
2.6.2	vāmadevyam akṣa ity akṣādhiṣṭhāne
2.6.3	dakṣiṇapūrvābhyām ārohed vāyoṣṭvā vīryeṇa ārohāmīndrasya ojasādhipatyeneti
2.6.4	raśmīṃt saṃmṛśed araśmikān vā daṇḍena brahmaṇo vas tejasā saṃgṛhṇāmi satyena vā saṃgṛhṇāmīti
2.6.5	abhipravartamāneṣu japet sahasrasaniṃ vājam abhivartasva ratha deva pravaha vanaspate vīḍvaṅgo hi bhūyā iti
2.6.6	etayānyānyapi vānaspatyāni
2.6.7	sthirau gāvau bhavatāṃ vīﾱurakṣa iti rathāṅgam abhimṛśet
2.6.8	sutrāmāṇaṃ pṛthivīṃ dyām anehasam iti nāvam
2.6.9	navarathena yaśasvinaṃ vṛkṣaṃ hradaṃ vāvidāsinaṃ pradakṣiṇaṃ kṛtvā phalavatīḥ śākhā āharet
2.6.10	anyad vā kauṭumbam
2.6.11	saṃsadam upayāyāt
2.6.12	asmākam uttamaṃ kṛdhīty ādityamīkṣamāṇo japitvāvarohet
2.6.13	ṛṣabhaṃ mā samānām ity abhikrāman
2.6.14	vayam adyendrasya proṣṭhā ity astaṃ yātyāditye
2.6.15	tad vo divo duhitaro vibhātīr iti vyuṣṭāyām
2.7.1	athāto vāstuparīkṣā
2.7.2	anūkharam avivadiṣṇu bhūma
2.7.3	oṣadhivanaspativat
2.7.4	yasmin kuśavīriṇaṃ prabhūtam
2.7.5	kaṇṭakikṣīriṇas tu samūlān parikhāya udvāsayet
2.7.6	apāmārgaḥ śākas tilvakaḥ parivyādha iti caitāni
2.7.7	yatra sarvata āpo madhye sametya pradakṣiṇaṃ śayanīyaṃ parītya prācyaḥ syanderann apravadatyas tat sarvasamṛddham
2.7.8	samavasrave bhaktaśaraṇaṃ kārayet
2.7.9	bahvannaṃ ha bhavati
2.7.10	dakṣiṇāpravaṇe sabhāṃ māpayet sādyūtā ha bhavati
2.7.11	yuvānastasyāṃ kitavāḥ kalahinaḥ pramāyukā bhavanti
2.7.12	yatra sarvatrāpaḥ prasyanderant sā svastyayanyadyūtā ca
2.8.1	athaitair vāstu parīkṣeta
2.8.2	jānumātraṃ gartaṃ khātvā tair eva pāṃsubhiḥ pratipūrayet
2.8.3	adhike praśastaṃ same vārttaṃ nyūne garhitam
2.8.4	astamite 'pāṃ pūrṇaṃ parivāsayet
2.8.5	sodake praśastam ārdre vārttaṃ śuṣke garhitam
2.8.6	śvetaṃ madhurāsvādaṃ sikatottaraṃ brāhmaṇasya
2.8.7	lohitaṃ kṣatriyasya
2.8.8	pītaṃ vaiśyasya
2.8.9	tat sahasrasītaṃ kṛtvā yathādiksamacaturasraṃ māpayet
2.8.10	āyatacaturasraṃ vā
2.8.11	tacchamīśākhayodumbaraśākhayā vā śaṃtātīyena triḥ pradakṣiṇaṃ parivrajan prokṣati
2.8.12	avicchinnayā codakadhārayā āpo hi ṣṭha mayobhuva iti tṛcena
2.8.13	vaṃśāntareṣu śaraṇāni kārayet
2.8.14	garteṣvavakāṃ śīpālam ity avadhāpayen na hāsya dāhuko bhavatīti vijñāyate
2.8.15	madhyamasthūṇāyā garte 'vadhāya prāgagrodagagrān kuśān āstīrya vrīhiyavamatīr apa āsecayed acyutāya bhaumāya svāheti
2.8.16	athainām ucchrīyamāṇām anumantrayeta ihaiva tiṣṭha nimitā tilvalāstām irāvatīm / madhye poṣasya tiṣṭhantī mā tvā prāpann aghāyavaḥ / ā tvā kumāras taruṇa ā vatso jāyatāṃ saha / ā tvā pariśritaḥ kumbha ā dadhnaḥ kalaśair ayann iti
2.9.1	vaṃśam ādhīyamānam
2.9.2	ṛtena sthūṇām adhiroha vaṃśa drāghīya āyuḥ prataraṃ dadhāna iti
2.9.3	sarvāsu catasṛṣu śilāsu maṇikaṃ pratiṣṭhāpayet pṛthivyā adhi saṃbhaveti
2.9.4	araṅgaro vāvadīti tredhā baddho varatrayā / irām u ha praśaṃsaty anirām apabādhatām iti vā
2.9.5	athāsminn apa āsecayed aitu rājā varuṇo revatībhir asmint sthāne tiṣṭhatu modamānaḥ / irāṃ vahanto ghṛtam ukṣamāṇā mitreṇa sākaṃ saha saṃviśantv iti
2.9.6	athainacchamayati
2.9.7	vrīhiyavamatībhir adbhir hiraṇyam avadhāya śaṃtātīyena triḥ pradakṣiṇaṃ parivrajan prokṣati
2.9.8	avicchinnayā codakadhārayā āpo hi ṣṭha mayobhuva iti tṛcena
2.9.9	madhye 'gārasya sthālīpākaṃ śrapayitvā vāstoṣpate pratijānīhyasmān iti catasṛbhiḥ pratyṛcaṃ hutvānnaṃ saṃskṛtya brāhmaṇān bhojayitvā śivaṃ vāstu śivaṃ vāstv iti vācayīta
2.10.1	uktaṃ gṛhaprapadanam
2.10.2	bījavato gṛhān prapadyeta
2.10.3	kṣetraṃ prakarṣayed uttaraiḥ proṣṭhapadaiḥ phālgunībhī rohiṇyā vā
2.10.4	kṣetrasyānuvātam kṣetrasya patinā vayam iti pratyṛcaṃ juhuyāj japed vā
2.10.5	gāḥ pratiṣṭhamānā anumantrayeta mayobhu vāto abhivātu usrā iti dvābhyām
2.10.6	āyatīr yāsām ūdhaś caturbilaṃ madhoḥ pūrṇaṃ ghṛtasya ca / tā naḥ santu payasvatīr bahvīr goṣṭhe ghṛtācyaḥ / upa maitu mayobhuva ūrjaṃ ca ojaś ca bibhratīḥ / duhānā akṣitaṃ payo mayi goṣṭhe niviśadhvaṃ yathā bhavāmy uttamaḥ / yā deveṣu tanvam airayanteti ca sūktaśeṣam
2.10.7	āgāvīyam eke
2.10.8	gaṇānām upatiṣṭhetāgurugavīnāṃ bhūtāḥ stha praśastāḥ stha śobhanāḥ priyāḥ priyo vo bhūyāsaṃ śaṃ mayi jānīdhvaṃ śaṃ mayi jānīdhvam
3.1.1	athātaḥ pañcayajñāḥ
3.1.2	devayajño bhūtayajñaḥ pitṛyajño brahmayajño manuṣyayajña iti
3.1.3	tad yad agnau juhoti sa devayajño yad baliṃ karoti sa bhūtayajño yat pitṛbhyo dadāti sa pitṛyajño yat svādhyāyam adhīte sa brahmayajño yan manuṣyebhyo dadāti sa manuṣyayajña iti
3.1.4	tān etān yajñān ahar ahaḥ kurvīta
3.2.1	atha svādhyāyavidhiḥ
3.2.2	prāg vodag vā grāmānniṣkramya apa āplutya śucau deśe yajñopavītyācamyāklinnavāsā darbhāṇāṃ mahad upastīrya prākkūlānāṃ teṣu prāṅmukha upaviśyopasthaṃ kṛtvā dakṣiṇottarau pāṇī saṃdhāya pavitravantau / vijñāyate 'pāṃ vā eṣa oṣadhīnāṃ raso yad darbhāḥ sarasam eva tad brahma karoti / dyāvāpṛthivyoḥ saṃdhim īkṣamāṇaḥ saṃmīlya vā yathā vā yuktam ātmānaṃ manyeta tathā yukto 'dhīyīta svādhyāyam
3.2.3	oṃpūrvā vyāhṛtayaḥ
3.2.4	sāvitrīm anvāha paccho 'rdharcaśaḥ sarvām iti tṛtīyam
3.3.1	atha svādhyāyam adhīyītarco yajūṃṣi sāmāny atharvāṅgiraso brāhmaṇāni kalpān gāthā nārāśaṃsīr itihāsapurāṇānīti
3.3.2	yad ṛco 'dhīte payaāhutibhir eva tad devatās tarpayati yad yajūṃṣi ghṛtāhutibhir yat sāmāni madhvāhutibhir yad atharvāṅgirasaḥ somāhutibhir yad brāhmaṇāni kalpān gāthā nārāśaṃsīr itihāsapurāṇānīty amṛtāhutibhiḥ
3.3.3	yad ṛco 'dhīte payasaḥ kulyā asya pitṝnt svadhā upakṣaranti yad yajūṃṣi ghṛtasya kulyā yat sāmāni madhvaḥ kulyā yad atharvāṅgirasaḥ somasya kulyā yad brāhmaṇāni kalpān gāthā nārāśaṃsīr itihāsapurāṇānītyamṛtasya kulyāḥ
3.3.4	sa yāvan manyeta tāvad adhītyaitayā paridadhāti namo brahmaṇe namo astv agnaye namaḥ pṛthivyai nama oṣadhībhyaḥ / namo vāce namo vācaspataye namo viṣṇave mahate karomīti
3.4.1	devatās tarpayati prajāpatir brahmā vedā devā ṛṣayaḥ sarvāṇi chandāṃsy oṃkāro vaṣaṭkāro vyāhṛtayaḥ sāvitrī yajñā dyāvāpṛthivī antarikṣam ahorātrāṇi saṃkhyāḥ siddhāḥ samudrā nadyo girayaḥ kṣetrauṣadhivanaspatigandharvāpsaraso nāgā vayāṃsi gāvaḥ sādhyā viprā yakṣā rakṣāṃsi bhūtāny evamantāni
3.4.2	atharṣayaḥ śatarcino mādhyamā gṛtsamado viśvāmitro vāmadevo 'trir bhāradvājo vasiṣṭhaḥ pragāthāḥ pāvamānyaḥ kṣudrasūktā mahāsūktā iti
3.4.3	prācīnāvītī
3.4.4	sumantujaiminivaiśampāyanapailasūtrabhāṣyabhāratamahābhāratadharmācāryā jānanti bāhavigārgyagautamaśākalyabābhravyamāṇḍavyamāṇḍūkeyā gargī vācaknavī vaḍavā prātītheyī sulabhā maitreyī kaholaṃ kauṣītakaṃ mahākauṣītakaṃ paiṅgyaṃ mahāpaiṅgyaṃ suyajñaṃ śāṅkhāyanam aitareyaṃ mahaitareyaṃ śākalaṃ bāṣkalaṃ sujātavaktram audavāhiṃ mahaudavāhiṃ saujāmiṃ śaunakam āśvalāyanaṃ ye cānye ācāryās te sarve tṛpyantv iti
3.4.5	pratipuruṣaṃ pitṝṃs tarpayitvā gṛhān etya yad dadāti sā dakṣiṇā
3.4.6	athāpi vijñāyate sa yadi tiṣṭhan vrajann āsīnaḥ śayāno vā yaṃ yaṃ kratum adhīte tena tena hāsya kratuneṣṭaṃ bhavati
3.4.7	vijñāyate tasya dvāvanadhyāyau yad ātmā aśucir yad deśaḥ
3.5.1	athāto 'dhyāyopākaraṇam
3.5.2	oṣadhīnāṃ prādurbhāve śravaṇena śrāvaṇasya
3.5.3	pañcamyāṃ hastena vā
3.5.4	ājyabhāgau hutvājyāhutīr juhuyāt sāvitryai brahmaṇe śraddhāyai medhāyai prajñāyai dhāraṇāyai sadasaspataye 'numataye chandobhya ṛṣibhyaś ceti
3.5.5	atha dadhisaktūn juhoti
3.5.6	agnim īḍe purohitam ity ekā
3.5.7	kuṣumbhakas tad abravīd āvadaṃs tvaṃ śakune bhadram āvada gṛṇānā jamadagninā dhāmaṃ te viśvaṃ bhuvanam adhiśritaṃ gantā no yajñaṃ yajñiyāḥ suśami yo naḥ svo araṇaḥ praticakṣva vicakṣvāgne yāhi marutsakhā yat te rājañ śṛtaṃ havir iti dvyṛcāḥ
3.5.8	samānī va ākūtir ity ekā
3.5.9	tacchaṃ yor āvṛṇīmaha ity ekā
3.5.10	adhyeṣyamāṇo 'dhyāpyair anvārabdha etābhyo devatābhyo hutvā sauviṣṭakṛtaṃ hutvā dadhisaktūn prāśya tato mārjanam
3.5.11	apareṇāgniṃ prākkūleṣu darbheṣu upaviśyodapātre darbhān kṛtvā brahmāñjalikṛto japet
3.5.12	oṃpūrvā vyāhṛtayaḥ sāvitrīṃ ca trir abhyasya vedādim ārabhet
3.5.13	tathotsarge
3.5.14	ṣaṇmāsān adhīyīta
3.5.15	samāvṛtto brahmacārikalpena
3.5.16	yathānyāyam itare
3.5.17	jāyopeyetyeke
3.5.18	prājāpatyaṃ tat
3.5.19	vārṣikam ity etad ācakṣate
3.5.20	madhyamāṣṭakāyām etābhyo devatābhyo 'nnena hutvāpo 'bhyavayanti
3.5.21	etā eva devatās tarpayanti
3.5.22	ācāryān ṛṣīn pitṝṃśca
3.5.23	etad utsarjanam
3.6.1	atha kāmyānāṃ sthāne kāmyāś caravaḥ
3.6.2	tān eva kāmān āpnoti
3.6.3	atha vyādhitasyāturasya yakṣmagṛhītasya vā ṣaḍāhutiś caruḥ
3.6.4	muñcāmi tvā haviṣā jīvanāya kam ity etena
3.6.5	svapnam amanojñaṃ dṛṣṭvādyā no deva savitar iti dvābhyām yacca goṣu duḥṣvapnyam iti pañcabhir ādityam upatiṣṭheta
3.6.6	yo me rājan yujyo vā sakhā veti vā
3.6.7	kṣutvā jṛmbhitvāmanojñaṃ dṛṣṭvā pāpakaṃ gandham āghrāyākṣispandane karṇadhvanane ca sucakṣā aham akṣībhyāṃ bhūyāsaṃ suvarcā mukhena suśrut karṇābhyāṃ mayi dakṣakratū iti japet
3.6.8	agamanīyāṃ gatvāyājyaṃ yājayitvābhojyaṃ bhuktvāpratigrāhyaṃ pratigṛhya caityaṃ yūpaṃ copahatya punar mām aitv indriyaṃ punar āyuḥ punar bhagaḥ / punar draviṇam aitu māṃ punar brāhmaṇam aitu māṃ svāhā / ime ye dhiṣṇyāso agnayo yathāsthānam iha kalpatām / vaiśvānaro vāvṛdhāno antar yacchatu me mano hṛdy antaram amṛtasya ketuḥ svāhety ājyāhutī juhuyāt
3.6.9	samidhau vā
3.6.10	japed vā
3.7.1	avyādhitaṃ cet svapantam ādityo 'bhy astam iyād vāgyato 'nupaviśan rātriśeṣaṃ bhūtvā yena sūrya jyotiṣā bādhase tama iti pañcabhir ādityam upatiṣṭhate
3.7.2	abhyudiyācced akarmaśrāntam anabhirūpeṇa karmaṇā vāgyata iti samānam uttarābhiś catasṛbhir upasthānam
3.7.3	yajñopavītī nityodakaḥ saṃdhyām upāsīta vāgyataḥ
3.7.4	sāyam uttarāparābhimukho 'nvaṣṭamadeśaṃ sāvitrīṃ japed ardhāstamite maṇḍala ā nakṣatradarśanāt
3.7.5	evaṃ prātaḥ
3.7.6	prāṅmukhas tiṣṭhann ā maṇḍaladarśanāt
3.7.7	kapotaś ced agāram upahanyād anupated vā devāḥ kapota iti pratyṛcaṃ juhuyāj japed vā
3.7.8	vayam u tvā pathaspata ity arthacaryāṃ cariṣyan
3.7.9	saṃ pūṣan viduṣeti naṣṭam adhijigamiṣan mūḍho vā
3.7.10	saṃ pūṣann adhvana iti mahāntam adhvānam eṣyan pratibhayaṃ vā
3.8.1	athaitānyupakalpayīta samāvartamāno maṇiṃ kuṇḍale vastrayugaṃ chatram upānadyugaṃ daṇḍaṃ srajam unmardanam anulepanam āñjanam uṣṇīṣam ity ātmane cācāryāya ca
3.8.2	yady ubhayor na vindetācāryāyaiva
3.8.3	samidhaṃ tvāhared aparājitāyāṃ diśi yajñiyasya vṛkṣasya
3.8.4	ārdrām annādyakāmaḥ puṣṭikāmas tejaskāmo vā brahmavarcasakāma upavātām
3.8.5	ubhayīm ubhayakāmaḥ
3.8.6	upari samidhaṃ kṛtvā gām annaṃ ca brāhmaṇebhyaḥ pradāya gaudānikaṃ karma kurvīta
3.8.7	ātmani mantrānt saṃnamayet
3.8.8	ekaklītakena
3.8.9	śītoṣṇābhir adbhiḥ snātvā yuvaṃ vastrāṇi pīvasā vasāthe ity ahate vāsasī ācchādyāśmanas tejo 'si cakṣur me pāhīti cakṣuṣī āñjayīta
3.8.10	aśmanas tejo 'si śrotraṃ me pāhīti kuṇḍale ābadhnīta
3.8.11	anulepanena pāṇī pralipya mukham agre brāhmaṇo 'nulimpet
3.8.12	bāhū rājanyaḥ
3.8.13	udaraṃ vaiśyaḥ
3.8.14	upasthaṃ strī
3.8.15	ūrū saraṇajīvanaḥ
3.8.16	anārtāsy anārto 'haṃ bhūyāsam iti srajam apibadhnīta
3.8.17	na māloktām
3.8.18	māleti ced brūyuḥ srag ity abhidhāpayīta
3.8.19	devānāṃ pratiṣṭhe sthaḥ sarvato mā pātam ity upānahāvāsthāya divaś chadmāsīti chatram ādatte
3.8.20	veṇur asi vānaspatyo 'si sarvato mā pāhīti vaiṇavaṃ daṇḍam
3.8.21	āyuṣyam iti sūktena maṇiṃ kaṇṭhe pratimucya uṣṇīṣaṃ kṛtvā tiṣṭhant samidham ādadhyāt
3.9.1	smṛtaṃ nindā ca vidyā ca śraddhā prajñā ca pañcamī / iṣṭaṃ dattam adhītaṃ ca kṛtaṃ satyaṃ śrutaṃ vratam / yad agneḥ sendrasya saprajāpatikasya saṛṣikasya saṛṣirājanyasya sapitṛkasya sapitṛrājanyasya samanuṣyasya samanuṣyarājanyasya sākāśasya sātīkāśasya sānukāśasya sapratīkāśasya sadevamanuṣyasya sagandharvāpsaraskasya sahāraṇyaiś ca paśubhir grāmyaiśca yan ma ātmana ātmani vrataṃ tan me sarvavratam idam aham agne sarvavrato bhavāmi svāheti
3.9.2	mamāgne varca iti pratyṛcaṃ samidho 'bhyādadhyāt
3.9.3	yatrainaṃ pūjayiṣyanto bhavanti tatraitāṃ rātrīṃ vaset
3.9.4	vidyānte gurum arthena nimantrya kṛtānujñātasya vā snānam
3.9.5	tasyaitāni vratāni bhavanti
