#Text:Mānavagṛhyasūtra
#Edition:Knauer (DCS version)



1.1.1	upanayanaprabhṛti vratacārī syāt
1.13.6	sukiṃśukaṃ śalmaliṃ viśvarūpaṃ hiraṇyavarṇaṃ suvṛtaṃ sucakram / āroha sūrye amṛtasya lokaṃ syonaṃ patye vahatuṃ kṛṇuṣva / ity ārohayati
1.13.7	anu mā yantu devatā anu brahma suvīryam / anu kṣatraṃ tu yad balam anu mām aitu yad yaśaḥ / iti prāṅ abhiprayāya pradakṣiṇam āvartayati
1.13.8	prati mā yantu devatāḥ prati brahma suvīryam / prati kṣatraṃ tu yad balaṃ prati mām aitu yad yaśaḥ / iti yathāstaṃ yantam anumantrayate
1.13.9	amaṅgalyaṃ ced atikrāmati anu mā yantv iti japati
1.13.10	namo rudrāya grāmasada iti grāme imā rudrāyeti ca
1.13.11	namo rudrāyaikavṛkṣasada ity ekavṛkṣe / ye vṛkṣeṣu śaṣpiñjarā iti ca
1.13.12	namo rudrāya śmaśānasada iti śmaśāne / ye bhūtānām adhipataya iti ca
1.13.13	namo rudrāya catuṣpathasada iti catuṣpathe / ye pathāṃ pathirakṣaya iti ca
1.13.14	namo rudrāya tīrthasada iti tīrthe / ye tīrthāni pracarantīti ca
1.13.15	yatrāpas taritavyā āsīdati samudrāya vaiṇave sindhūnāṃ pataye namaḥ / namo nadīnāṃ sarvāsāṃ patye / viśvāhā juṣatāṃ viśvakarmaṇām idaṃ haviḥ svaḥ svāhety apsūdakāñjalīn ninayati / amṛtaṃ vā āsye juhomy āyuḥ prāṇe 'pyamṛtaṃ brahmaṇā saha mṛtyuṃ tarati / prāsahād iti riṣṭir iti muktir iti mukṣīyamāṇaḥ sarvaṃ bhayaṃ nudasva svāheti triḥ parimṛjyācāmati
1.13.16	yadi nāvā taret sutrāmāṇam iti japet
1.13.17	yadi rathākṣaḥ śamyāṇī vā riṣyetānyad vā rathāṅgaṃ tatraivāgnim upasamādhāya jayaprabhṛtibhir hutvā sumaṅgalīr iyaṃ vadhūr iti japed vadhvā saha vadhūṃ sameta paśyata
1.13.18	vyutkrāma panthāṃ jaritāṃ javena śivena vaiśvānara iḍayāsyāgrataḥ / ācāryo yena yena pathā prayāti tena tena saha / ity ubhāveva vyutkrāmataḥ
1.13.19	gobhiḥ sahāstamite grāmaṃ praviśanti brāhmaṇavacanād vā
1.14.1	aparasminnahnaḥ saṃdhau gṛhān pratipādayīta
1.14.2	prati brahmann iti pratyavarohati
1.14.3	maṅgalāni prādurbhavanti
1.14.4	goṣṭhāt saṃtatām ulaparājiṃ stṛṇāti
1.14.5	rathād adhy opāsanāt / yeṣv adhyeti pravasanyeṣu saumanasaṃ mahat / tenopahvayāmahe te no jānantvāgatam / iti tayābhyupaiti
1.14.6	gṛhānahaṃ sumanasaḥ prapadye vīraṃ hi vīravataḥ suśevā / irāṃ vahantī ghṛtam ukṣamāṇās teṣv ahaṃ sumanāḥ saṃvasāma / ityabhyāhitāgniṃ sodakaṃ sauṣadham āvasathaṃ pratipadyate rohiṇyā mūlena vā yadvā puṇyoktam
1.14.7	paścād agne rohite carmaṇy ānaḍuhe prāggrīve lomato darbhān āstīrya teṣu vadhūm upaveśayaty api vā darbheṣveva
1.14.8	athāsyai brahmacāriṇam upastha āveśayati / somenādityā balinaḥ somena pṛthivī mahī / asau nakṣatrāṇām eṣām upasthe soma āhitaḥ / iti
1.14.9	athāsya tilataṇḍulānāṃ phalamiśrāṇām añjaliṃ pūrayitvotthāpyāthāsyai dhruvam arundhatīṃ jīvantīṃ sapta ṛṣīniti darśayet
1.14.10	acyutā dhruvā dhruvapatnī dhruvaṃ paśyema sarvataḥ / dhruvāsaḥ parvatā ime dhruvā strī patikuleyam / iti tasyāṃ samīkṣamāṇāyāṃ japati
1.14.11	śvobhūte prājāpatyaṃ payasi sthālīpākaṃ śrapayitvā tasya juhoti / ājyaśeṣe dadhi samānīya tena hutaśeṣeṇa
1.14.12	cakrīvānaḍuhau vā me vāṅ maitu te manaḥ / cākravākaṃ saṃvananaṃ tannau saṃvananaṃ kṛtamiti / yajamānas triḥ prāśnāty avaśiṣṭaṃ tūṣṇīṃ patnī
1.14.13	aparāhṇe piṇḍapitṛyajñaḥ sa vyākhyātaḥ
1.14.14	saṃvatsaraṃ brahmacaryaṃ carato dvādaśarātraṃ trirātram ekarātraṃ vā
1.14.15	athāsyai gṛhān visṛjet
1.14.16	yoktrapāśaṃ viṣāya tau saṃnipātayet / apaśyaṃ tvā manasā cekitānaṃ tapaso jātaṃ tapaso vibhūtam / iha prajām iha rayiṃ rarāṇaḥ prajāyasva prajayā putrakāma / apaśyaṃ tvā manasā dīdhyānāṃ svāyāṃ tanūṃ ṛtviye bādhamānām / upa mām uccā yuvatir babhūyāḥ prajāyasva prajayā putrakāme / prajāpatis tanvaṃ me juṣasva tvaṣṭā devaiḥ sahamāna indraḥ / viśvedevair ṛtubhiḥ saṃvidānaḥ puṃsāṃ bahūnāṃ mātarau syāva / ahaṃ garbham adadhām oṣadhīṣv ahaṃ viśveṣu bhuvaneṣvantaḥ / ahaṃ prajā ajanayaṃ pṛthivyā ahaṃ janibhyo aparīṣu putrān / iti stryādivyatyāsaṃ japati
1.14.17	karad iti bhasadam abhimṛśati
1.14.18	jananīty upajananam
1.14.19	bṛhad iti jātaṃ pratiṣṭhitam
1.14.20	etena dharmeṇa ṛtāvṛtau saṃnipātayet
1.15.1	tṛtīye garbhamāse 'raṇī āhṛtya ṣaṣṭhe 'ṣṭame vā jayaprabhṛtibhir hutvā paścād agner darbheṣv āsīnāyāḥ patnyāḥ sarvān pramucya keśān navanītenābhyajya triśyetayā śalalyā śamīśākhayā ca sapalāśayā punaḥ patnīm agnir adāditi sīmantaṃ karoti
1.16.1	aṣṭame garbhamāse jayaprabhṛtibhir hutvā phalaiḥ snāpayitvā yā oṣadhaya ity anuvākenāhatena vāsasā pracchādya gandhapuṣpair alaṃkṛtya phalāni kaṇṭhe vai saṃsṛjyāgniṃ pradakṣiṇaṃ kuryāt
1.16.2	prajāṃ me narya pāhīti mantreṇopasthānaṃ kṛtvā guṇavato brāhmaṇān bhojayet
1.16.3	phalāni dakṣiṇāṃ dadyāt
1.16.4	tataḥ svastyayanaṃ ca
1.16.5	yo gurus tam arhayet
1.17.1	putre jāte varaṃ dadāti
1.17.2	araṇibhyām agniṃ mathitvā tasminn āyuṣyahomāñjuhoti
1.17.3	agner āyur asīty anuvākena pratyṛcaṃ pratiparyāyam ekaviṃśatim ājyāhutīr juhoti
1.17.4	ājyaśeṣe dadhimadhvapo hiraṇyaśakalenopahatya triḥ prāśāpayati
1.17.5	aśmā bhava paraśur bhava hiraṇyam astṛtaṃ bhava / vedo vai putranāmāsi sa jīva śaradaḥ śatam / iti prādeśenādhyadhi pratimukhaṃ pradakṣiṇaṃ sarvato 'bhyuddiśati
1.17.6	palāśasya madhyamaparṇaṃ praveṣṭya tenāsya karṇayor japet / bhūs te dadāmīti dakṣiṇe bhuvas te dadāmīti savye svaste dadāmīti dakṣiṇe bhūr bhuvaḥ svas te dadāmīti savye
1.17.7	iṣaṃ pinvorjaṃ pinveti stanau prakṣālya pradhāpayet
1.18.1	daśamyāṃ rātryāṃ putrasya nāma dadhyād ghoṣavad ādyantarantasthaṃ dvyakṣaraṃ caturakṣaraṃ vā tryakṣaraṃ dāntaṃ kumārīṇām
1.18.2	tenābhivādayituṃ tyaktvā pitur nāmadheyaṃ yaśasyaṃ nāmadheyaṃ devatāśrayaṃ nakṣatrāśrayaṃ devatāyāśca pratyakṣaṃ pratiṣiddham
1.18.3	snātvā sahaputro 'bhyupaiti
1.18.4	athainam abhimṛśati / agneṣṭvā tejasā sūryasya varcasā viśveṣāṃ tvā devānāṃ kratunābhimṛśāmīti prakṣālitapāṇir navanītenābhyajyāgnau pratāpya brāhmaṇāya procyābhimṛśediti śrutiḥ
1.18.5	varaṃ kartre dadāti
1.18.6	aṅgād aṅgāt sambhavasi hṛdayādadhi jāyase / ātmā vai putranāmāsi sa jīva śaradaḥ śatam / iti pravāsād etya putrasya mūrdhani japet
1.18.7	na madhumāṃse prāśnīyād ā paśubandhāt
1.18.8	saṃvatsare cājāvibhyām agnidhanvantarī yajet
1.19.1	athādityadarśanam
1.19.2	caturthe māsi payasi sthālīpākaṃ śrapayitvā tasya juhoti
1.19.3	ādityaḥ śukra udagāt purastāt / haṃsaḥ śuciṣat / yaded enamiti / sūryasya juhoti
1.19.4	ud u tyaṃ jātavedasam ity etayopasthāyādityābhimukhaṃ darśayet / namas te astu bhagavan śataraśme tamonuda / jahi me deva daurbhāgyaṃ saubhāgyena māṃ saṃyojayasva / iti
1.19.5	atha brāhmaṇatarpaṇam
1.19.6	ṛṣabho dakṣiṇā
1.20.1	athānnaprāśanam
1.20.2	pañcame ṣaṣṭhe vā māsi payasi sthālīpākaṃ śrapayitvā snātam alaṃkṛtam ahatena vāsasā pracchādyānnapate 'nnasya no dehīti hutvā hiraṇyena prāśayed annāt parisruta ity ṛcā
1.20.3	ratnasuvarṇopaskarāṇy āyudhāni darśayet
1.20.4	yadīcchet tad upasaṃgṛhṇīyāt
1.20.5	tato brāhmaṇabhojanam
1.20.6	vāso dakṣiṇā
1.21.1	tṛtīyasya varṣasya bhūyiṣṭhe gate cūḍāḥ kārayet / udagayane jyautsne puṇye nakṣatre 'nyatra navamyām
1.21.2	jayaprabhṛtibhir hutvā / uṣṇena vāyur udakened yajamānasyāyuṣā / savitā varuṇo dadhad yajamānāya dāśuṣe / ity uṣṇā apo 'bhimantrayate
1.21.3	aditiḥ keśān vapatv āpa undantu jīvase / dhārayatu prajāpatiḥ punaḥ punaḥ svastaye / ity abhyundati
1.21.4	oṣadhe trāyasvainam iti dakṣiṇasmin keśānte darbhamantardadhāti
1.21.5	svadhite mainaṃ hiṃsīr iti kṣureṇābhinidadhāti
1.21.6	yenāvapat savitā kṣureṇa somasya rājño varuṇasya keśān / tena brāhmaṇo vapatv āyuṣmān ayaṃ jaradaṣṭir astu / yena pūṣā bṛhaspater indrasya cāyuṣe 'vapat / tena te vapāmyāyuṣe dīrghāyutvāya jīvase / yena bhūyaś caraty ayaṃ jyok ca paśyati sūryaḥ / tena te vapāmyāyuṣe suślokyāya svastaye / iti tisṛbhistriḥ pravapati
1.21.7	yat kṣureṇa vartayatā sutejasā vaptar vapasi keśān / śunddhi śiro māsyāyuḥ pramoṣīḥ / iti lauhāyasaṃ kṣuraṃ keśavāpāya prayacchati
1.21.8	mā te keśān anugād varca etat tathā dhātā dadhātu te / tubhyam indro varuṇo bṛhaspatiḥ savitā varca ādadhuḥ / iti pravapato 'numantrayate
1.21.9	suhṛtparigrāhaṃ haritagośakṛtpiṇḍe samavacinoti
1.21.10	uptvāya keśān varuṇasya rājño bṛhaspatiḥ savitā viṣṇur agniḥ / tebhyo nidhānaṃ mahataṃ na vindann antarā dyāvāpṛthivyor apasyuḥ / iti prāgudīco hriyamāṇān anumantrayate
1.21.11	arikte patny āśleṣayed iti śrutiḥ
1.21.12	varaṃ kartre dadāti pakṣmaguḍaṃ tilapiślaṃ ca keśavāpāya
1.21.13	etena tu kalpena ṣoḍaśe varṣe godānam agniṃ vādhyeṣyamāṇasyāgnir godāniko maitrāyaṇir iti śrutiḥ
1.21.14	aditiḥ śmaśru vapatv ity ūhena śmaśru pravapati śunddhi mukhamiti ca
1.22.1	saptame navame vopāyanam
1.22.2	āgantrā samaganmahi prathamam artiṃ yuyotu naḥ / ariṣṭāḥ saṃcaremahi svasti caratā diśaḥ / svastyā gṛhebhyaḥ / ity uptakeśena snātenāktenābhyaktenālaṃkṛtena yajñopavītinā sametya japati
1.22.3	athāsmai vāsaḥ prayacchati / yā akṛntan yā atanvan yā āvan yā avāharan / yāś ca gnā devyo 'ntān abhito 'tatananta / tās tvā devyo jarase saṃvyayantv āyuṣmann idaṃ paridhatsva vāsaḥ / ity ahataṃ vāsaḥ paridhāpyānvārabhyāghārāv ājyabhāgau hutvājyaśeṣe dadhy ānīya dadhikrāvṇo akāriṣam iti dadhi triḥ prāśnāti
1.22.4	ko nāmāsītyāha
1.22.5	nāmadheye prokte devasya tvā savituḥ prasave 'śvinor bāhubhyāṃ pūṣṇo hastābhyāṃ hastaṃ gṛhṇāmy asāv iti hastaṃ gṛhṇan nāma gṛhṇāti prāṅmukhasya pratyaṅmukha ūrdhvas tiṣṭhann āsīnasya dakṣiṇam uttānaṃ dakṣiṇena nīcāriktam ariktena / savitā te hastam agrahīt / asāv agnir ācāryas tava / deva savitar eṣa te brahmacārī tvaṃ gopāya samāvṛtat / kasya brahmacāry asi / prāṇasya brahmacāry asi / kas tvā kam upanayate / kāya tvā paridadāmi / kasmai tvā paridadāmi / tasmai tvā paridadāmi / bhagāya tvā paridadāmi / aryamṇe tvā paridadāmi / savitre tvā paridadāmi / sarasvatyai tvā paridadāmi / indrāgnibhyāṃ tvā paridadāmi / viśvebhyas tvā devebhyaḥ paridadāmi / sarvebhyas tvā devebhyaḥ paridadāmi / iti paridadāti
1.22.6	brahmaṇo granthir asi sa te mā visrasad iti hṛdayadeśam ārabhya japati / prāṇānāṃ granthirasīti prāṇadeśam
1.22.7	ṛtasya goptrī tapasas tarutrī ghnatī rakṣaḥ sahamānā arātīḥ / sā naḥ samantam abhiparyehi bhadre dhartāras te subhage mekhale mā riṣāma / iti mauñjīṃ pṛthvīṃ triguṇāṃ mekhalām ādatte
1.22.8	yuvā suvāsā iti mekhalāṃ pradakṣiṇaṃ triḥ parivyayati
1.22.9	puṃsas trīn granthīn badhnāti
1.22.10	iyaṃ duruktāt paribādhamānā varṇaṃ purāṇaṃ punatī ma āgāt / prāṇāpānābhyāṃ balam ābhajantī śivā devī subhage mekhale mā riṣāma / iti tasyāṃ parivītāyāṃ japati / mama vrate te hṛdayaṃ dadhātu mama cittam anu cittaṃ te astu / mama vācam ekavrato juṣasva bṛhaspatiṣṭvā niyunaktu mahyam / iti
1.22.11	yajñiyasya vṛkṣasya daṇḍaṃ pradāya kṛṣṇājinaṃ cādityam upasthāpayati / adhvanām adhvapate śraiṣṭhyasya svasty asyādhvanaḥ pāram aśīya / tac cakṣur devahitaṃ purastācchukram uccarat / paśyema śaradaḥ śataṃ jīvema śaradaḥ śatam / śṛṇuyāma śaradaḥ śataṃ prabravāma śaradaḥ śatam / adīnāḥ syāma śaradaḥ śataṃ bhūyaśca śaradaḥ śatāt / yā medhāpsaraḥsu gandharveṣu ca yan manaḥ / daivī yā mānuṣī medhā sā mām āviśatām ihaiva / iti
1.22.12	abhidakṣiṇam ānīyāgneḥ paścāt / ehy aśmānam ātiṣṭhāśmeva tvaṃ sthiro bhava / kṛṇvantu viśve devā āyuṣṭe śaradaḥ śatam / iti dakṣiṇena pādenāśmānam āsthāpayati
1.22.13	paścād agner mahad upastīrya sūpasthalaṃ kṛtvā prāṅ āsīnaḥ pratyaṅṅāsīnāyānuvācayati gāyatrīṃ sāvitrīm api hyeke triṣṭubham api hyeke jagatīm om ity uktvā vyāhṛtibhiśca
1.22.14	tāṃ trir avagṛhṇīyāt tāṃ dvir avakṛtya tāṃ sakṛt samasyet pādaśo 'rdharcaśaḥ sarvām antena
1.22.15	yat tisṛṇāṃ prātar anvāha yad dvayor yad ekasyāḥ saṃvatsare dvādaśāhe ṣaḍahe tryahe vā tasmāt sadyo 'nūcyeti śrutiḥ
1.22.16	varaṃ kartre dadāti kāṃsyaṃ vasanaṃ ca
1.22.17	yasya tu medhākāmaḥ syāt palāśaṃ navanītenābhyajya tasya chāyāyāṃ vācayet / suśravaḥ suśravā asi / yathā tvaṃ suśravaḥ suśravā asi evaṃ māṃ suśravaḥ sauśravasaṃ kuru / yathā tvaṃ devānāṃ vedānāṃ nidhipo asi / evam ahaṃ manuṣyāṇāṃ vedānāṃ nidhipo bhūyāsam / iti
1.22.18	adhīte ha vā ayam eṣāṃ vedānām ekaṃ dvau trīn sarvān veti / yam evaṃ vidvāṃsam upanayatīti śrutiḥ
1.22.19	vyākhyātaṃ brahmacaryam
1.22.20	atha bhaikṣaṃ carate mātaram evāgre yāś cānyāḥ suhṛdo yāvatyo vā saṃnihitāḥ syuḥ
1.22.21	ācāryāya bhaikṣam upakalpayate tenānujñāto bhuñjīteti śrutiḥ
1.23.1	atha dīkṣā cāturhautṛkī saṃvatsaram
1.23.2	caturhotṝn svakarmaṇo juhuyāt saha ṣaḍḍhotrā saptahotāram
1.23.3	antato vrataṃ pradāyādito dvāvanuvākāv anuvācayet
1.23.4	evam evoddīkṣāṃ juhuyāt
1.23.5	atha dīkṣāgnikī dvādaśarātram
1.23.6	yuñjānaḥ prathamaṃ mana ity aṣṭau hutvākūtam agniṃ prayujaṃ svāheti ṣaḍ juhoti viśvo devasya neturiti saptamīm
1.23.7	vrataṃ pradāyādito 'ṣṭāv anuvākān anuvācayet
1.23.8	triṣavaṇam udakam āharet trīṃs trīn kumbhān
1.23.9	ekena vāsasāntarhitāyāṃ bhūmau śayīta bhasmani karīṣe sikatāsu vā
1.23.10	nodakam abhyaveyāt
1.23.11	samāpte ghṛtavatāpūpeneṣṭvā vātsapraṃ vācayet
1.23.12	tato ghṛtavadbhir apūpair brāhmaṇān bhojayet
1.23.13	evam evoddīkṣāṃ juhuyāt
1.23.14	atha dīkṣāśvamedhikī dvādaśarātram
1.23.15	vaitasamidhmam upasamādhāya navamenānuvākena hutvā ṣaṣṭhenopasthāpya vrataṃ pradāyādita ekaviṃśatyanuvākān anuvācayet
1.23.16	triṣavaṇam aśvasya ghāsam āharet trīṃs trīn pūlān
1.23.17	ekena vāsasānantarhitāyāṃ bhūmau śayīta bhasmani karīṣe sikatāsu vā
1.23.18	yā oṣadhayaḥ sam anyā yanti punantu mā pitaro 'gner manva iti caturbhir anuvākair apo 'bhimantrya snānam ācaret
1.23.19	evam evoddīkṣāṃ juhuyāt
1.23.20	śādaṃ dadbhir iti caturdaśānuvākān anuvācayet
1.23.21	rahasyam adhyeṣyamāṇaḥ pravargyam
1.23.22	ādeśe yathā purastād vyākhyātam
1.23.23	āditaḥ pañcaviṃśatyanuvākān anuvācayet
1.23.24	traividyakam upanayanena vyākhyātam
1.23.25	āditas trīn anuvākān anuvācayet
1.23.26	vyākhyātāni vratāni vyākhyātāni vratāni
1.23.27	ud uttamaṃ varuṇapāśam iti mekhalām unmuñcati
2.1.1	audvāhikaṃ pretapitā śālāgniṃ kurvīta
2.1.2	anyatra tataḥ prete pitari prajvalanto 'gniṃ jāgarayeyuḥ parvaṇi jyautsne puṇye nakṣatre 'nyatra navamyāḥ
2.1.3	snātaḥ śucir ahatavāsāḥ
2.1.4	vāgyatāvaraṇipāṇī jāgṛtaḥ
2.1.5	avakāśe 'kṣatān yavānpiṣṭvā mantham āyauty anālambam ikṣuśalākayā bahulam
2.1.6	hiraṇyapāṇiṃ savitāraṃ vāyumindraṃ prajāpatim / viśvāndevānaṅgiraso havāmahe / amuṃ kravyādaṃ śamayantvagnim / iti manthenāgnimavasiñcati
2.1.7	somo rājā vibhajatūbhāgnir vibhājayan / ihaivāstu havyavāhano 'gniḥ kravyādaṃ nudasva / iti kaṭe kṛtāyāṃ vāgniṃ samāropya prahiṇoti
2.1.8	kravyādamagniṃ prahiṇomi dūraṃ yamarājyaṃ gacchatu ripravāhaḥ / ihaivāyamitaro jātavedā devebhyo havyā vahatu prajānan / ityagnimādāya dakṣiṇāpratyaggharanti
2.1.9	sahādhikaraṇair yanti
2.1.10	svakṛta iriṇe / sīse malimlucāmahe śiromimupabarhaṇe / avyāmasitāyāṃ mṛṣṭvāstaṃ pretasudānavaḥ / iti sīsam upadhāne nyasyādhyadhi
2.1.11	dhāmno dhāmna iti tisṛbhiḥ parogoṣṭhaṃ mārjayante
2.1.12	anapekṣamāṇāḥ pratyāyanti
2.1.13	nalairvetasaśākhayā vā padāni lopayante / mṛtyoḥ padāni lopayante yad etad rāghīya āyuḥ pratiraṃ dadhānāḥ / āpyāyamānāḥ prajayā dhanena śuddhāḥ pūtā bhavantu yajñiyāsaḥ
2.1.14	anaḍvāhaṃ plavamanvārabhadhvaṃ yenāvepatsaramā rapantī / iti
2.1.15	agnyāyatanam uddhatyāvokṣyāgnyādheyikyān pārthivān saṃbhārān nivapaty ūṣasikatavarjam
2.1.16	araṇibhyām agniṃ mathitvā hiraṇyaśakalaṃ ca nyupya prāgudayād upasthakṛto bhūriti jvalantamādadhāti
2.1.17	gaur vāsaḥ kāṃsyaṃ ca dakṣiṇā
2.2.1	prāgudañcaṃ lakṣaṇam uddhatyāvokṣya sthaṇḍilaṃ gomayenopalipya maṇḍalaṃ caturasraṃ vāgniṃ nirmathyābhimukhaṃ praṇayet
2.2.2	darbhāṇāṃ pavitre mantravadutpādyāgneyaṃ sthālīpākaṃ śrapayati
2.2.3	pavitrāntarhite 'pa ānīya taṇḍulānopya mekṣaṇena pradakṣiṇaṃ paryāyuvañjīvataṇḍulaṃ śrapayati
2.2.4	ghṛtenānutpūtena navanītena votpūtena śṛtamabhighāryottarata udvāsayati
2.2.5	imaṃ stomamarhata ityagniṃ parisamuhya paryukṣya paristīrya paścād agner ekavad barhiḥ stṛṇāti
2.2.6	udakprāktūlāndarbhānprakṛṣya dakṣiṇāṃstathottarānagreṇāgniṃ dakṣiṇairuttarānavastṛṇāti
2.2.7	dakṣiṇato'gnerbrahmaṇe saṃstṛṇātyaparaṃ yajamānāya paścārdhe patnyai
2.2.8	uttarataḥ saṃstīrṇe pavitre sruksruvāvājyasthālīṃ prakṣālya saṃstīrṇe dve dve prayunakti
2.2.9	tūṣṇīṃ dakṣiṇata ājyaṃ nirūpya mantravatparyagniṃ kṛtvā tūṣṇīṃ sruksruvau saṃmṛjyādabdhena tvā cakṣuṣāvekṣa iti patnyājyamavekṣate
2.2.10	tūṣṇīm adhiśrityopādhiśritya paścādagnerupasādya mantravad utpūyāvekṣate
2.2.11	tejo 'sītyājyaṃ yajamāno 'vekṣate
2.2.12	ājyasthālyāṃ sruvaṃ nidhāyāgreṇa sthālīpākam anvāyātayatyapareṇa mekṣaṇam
2.2.13	tūṣṇīṃ prāñcamidhmamupasamādhāya brahmāṇamāmantrya oṃ juhudhītyukte dakṣiṇena hastenāntareṇa jānunī prāṅāsīna āghārau juhoti prājāpatyamuttarārdhe prāñcaṃ manasaindraṃ dakṣiṇārdhe prāñcameva
2.2.14	athājyabhāgau juhotyāgneyamuttarārdhe saumyaṃ dakṣiṇārdhe samāvanakṣṇau
2.2.15	yukto vaha yadākūtam iti dvābhyāmagniṃ yojayitvā nakṣatramiṣṭvā nakṣatradevatāṃ yajet tithiṃ tithidevatām ṛtum ṛtudevatāṃ ca
2.2.16	upastīryāpa upaspṛśya mekṣaṇena sthālīpākasyāvadyati madhyāt pūrvārdhād dvitīyaṃ paścārdhāttṛtīyaṃ yadi pañcāvadānasya
2.2.17	avattamabhighārya sthālīpākaṃ pratyabhighārayati
2.2.18	agnaye svāheti madhye juhoti
2.2.19	yo devānāmasīti raudrasya
2.2.20	jayānhutvājyasya sviṣṭakṛte samavadyatyuttarārddhāt sakṛd dvimātram / dvirvā yadi pañcāvadānasya
2.2.21	avattaṃ dvirabhighārya nāta ūrdhvaṃ sthālīpākaṃ pratyabhighārayati
2.2.22	agnaye sviṣṭakṛte svāhety asaṃsaktam uttarārdhapūrvārdhe juhoti
2.2.23	mekṣaṇaṃ darbhāṃś cādhāyānumatibhyāṃ vyāhṛtibhiśca tvaṃ no agne sa tvaṃ no agne ayāś cāgne 'sīty etābhirjuhuyāt
2.2.24	vi te muñcāmi raśanāṃ vi raśmīniti ca hutvā pavitre 'nuprahṛtyājyenābhijuhoti
2.2.25	edho'syedhiṣīmahīti samidhamādadhāti samidasi samedhiṣīmahīti dvitīyām
2.2.26	apo adyānvacāriṣamityupatiṣṭhate
2.2.27	āpohiṣṭhīyābhirmārjayet
2.2.28	pūrṇapātram dakṣiṇā
2.2.29	barhiranupraharati
2.2.30	etena sthālīpākena sthālīpākāḥ sarve vyākhyātāḥ
2.3.1	agnaye svāheti sāyaṃ juhoti prajāpataya iti dvitīyām
2.3.2	sūryāya svāheti prātaḥ prajāpataya iti dvitīyām
2.3.3	agnīṣomīyaḥ sthālīpākaḥ paurṇamāsyām aindrāgno 'māvāsyāyām ubhayatra cāgneyaḥ āgantuḥ pūrvaḥ paurṇamāsyām uttaro 'māvāsyāyām
2.3.4	āśvayujyāṃ paurṇamāsyāṃ prātarnityeṣu sthālīpākeṣu sthālīpākam anvāyātayati
2.3.5	tasyāgniṃ rudraṃ paśupatimīśānaṃ tryambakaṃ śaradaṃ pṛṣātakaṃ gā iti yajati
2.3.6	dadhighṛtamiśraḥ pṛṣātakas tasyā no mitrāvaruṇā pra bāhaveti ca hutvāmbhaḥ sthāmbho vo bhakṣīyeti gāḥ prāśāpayati
2.3.7	avasṛṣṭāśca vaseyuḥ
2.3.8	brāhmaṇān ghṛtavad bhojayet
2.3.9	nāniṣṭvāgrayaṇena navasyāśnīyāt
2.3.10	parvaṇyāgrayaṇaṃ kurvīta vasante yavānāṃ śaradi vrīhīṇām
2.3.11	agrapākasya payasi sthālīpākaṃ śrapayitvā tasya juhoti sajūr agnīndrābhyāṃ svāhā sajūr viśvebhyo devebhyaḥ svāhā sajūrdyāvāpṛthivībhyāṃ svāhā sajūḥ somāya svāheti
2.3.12	śaradi somāya śyāmākānāṃ vasante veṇuyavānāmubhayatra vājyena
2.3.13	vatsaḥ prathamajo dakṣiṇā
2.3.14	brāhmaṇa eva haviḥśeṣaṃ bhuñjīteti śrutiḥ
2.4.1	paśunā yakṣyamāṇaḥ pākayajñopacārāgnim upacarati
2.4.2	paśubandhavat tūṣṇīmāvṛd devatāhomavarjam
2.4.3	prokṣyānumānyopapāyya paryagniṃ kṛtvā śāmitraṃ praṇīya vapāśrapaṇībhyām udañcaṃ prakramamāṇam anvārabhante
2.4.4	saṃjñapyamānam avekṣate
2.4.5	saṃjñaptaṃ snapayitvā yathādaivataṃ vapām utkṛtya śrapayitvāghārāvājyabhāgau hutvā jātavedo vapayā gaccha devāṃs tvaṃ hi hotā prathamo babhūva / ghṛtasyāgne tanvā saṃbhava satyāḥ santu yajamānasya kāmāḥ svāhā / iti vapāṃ juhoti
2.4.6	svāhā svāheti parivapyau
2.4.7	sthālīpākam anvāyātayati samānadevataṃ paśunā
2.4.8	taddhutāvājyabhāgau
2.4.9	aniruktaḥ sviṣṭakṛt
2.4.10	pāśubandhikānāmavadānānāṃ rasasyāvadāya daivataiḥ pracarya vasāhomaśeṣeṇa diśaḥ pratiyajati yathā vājinena vanaspatimājyasya
2.4.11	jayānhutvā tryaṅgāṇāṃ sviṣṭakṛte samavadyati
2.4.12	sthālīpākena śeṣo vyākhyātaḥ
2.4.13	paśoḥ paśureva dakṣiṇā
2.5.1	raudraḥ śaradi śūlagavaḥ
2.5.2	prāgudīcyāṃ diśi grāmasyāsakāśe niśi gavāṃ madhye taṣṭo yūpaḥ
2.5.3	prāksviṣṭakṛto 'ṣṭau śoṇitapuṭān pūrayitvā namaste rudra manyava itiprabhṛtibhir aṣṭabhir anuvākair dikṣvantardikṣu copaharet
2.5.4	nāśṛtaṃ grāmamāharet
2.5.5	śeṣaṃ bhūmau nikhanedapi carma
2.5.6	ayūpān eke pākayajñapaśūn āhuḥ
2.6.1	athāto dhruvāśvakalpaṃ vyākhyāsyāmaḥ
2.6.2	āśvayujyāṃ paurṇamāsyām
2.6.3	ṛtvig avyaṅgaḥ snātaḥ śucirahatavāsāḥ
