#Text:Vaikhānasagṛhyasūtra
#Edition:Caland
#Notes:1-3 from DCS (with corrections), 4ff. directly from TITUS; sentence splits according to Caland added by O. Hellwig.



1.1.1	atha niṣekādisaṃskārānvyākhyāsyāmaḥ
1.19.14	sapta te agne ṛtudhā neti pūrṇāhutī
1.19.15	agnirbhuktam ity upa juhvām ājyaṃ gṛhītvāgnirjīrṇamiti juhvā carumavadāya hutvā samaṅtāṃ barhiriti srāvayañjuhoti
1.19.16	tato vāmena sruvaṃ gṛhītvā dakṣiṇenājyapātraṃ saṃgṛhyāgnerupari dhārayannājyaśeṣamindrāya svāheti juhuyāt
1.20.1	tatpātreṇādhāvamādāya sruveṇāntaritam agnis tṛpyatv ity upāgni paścimato vedistṛpyatviti vedyāṃ dyaus tṛpyatv ity ākāśe pṛthivī tṛpyatviti bhūmau brahmādyāstṛpyantāmiti dakṣiṇasyāṃ tarpayati
1.20.2	praṇītāyāṃ dakṣiṇasyāṃ daivenāpo gṛhītvauṣadhivanaspatigandharvāpsarasaścaiva tṛpyantām ity uttarasyāṃ vedyāṃ tarpayati
1.20.3	tathottarasyāṃ praṇītāyāṃ sāpasavyam apo gṛhītvā paitṛkeṇa dakṣiṇataḥ pitaraḥ pitāmahāḥ prapitāmahāścākṣayyamastu tṛpyantāmiti dakṣiṇasyāṃ tarpayati
1.20.4	prāsāvīr ityantaiś caturbhiḥ pravāhaṇaṃ kṛtvā dakṣiṇādipraṇidhyor upāntāṅguṣṭhānāmikābhiḥ pavitram akṣataṃ gṛhītvā pavitramasi pūrṇamasi sadasi sarvamasīti paryāyato juhotyakṣitam asīti praṇidhim uttarāṃ cālayitvā tadādhāvena prācyāṃ diśi dakṣiṇāyāṃ diśi pratīcyāṃ diśy udīcyāṃ diśy ūrdhvāyāṃ diśy adho'dharādharair iti yathādiśaṃ pariṣicya māhaṃ prajāmiti gṛhītvā dakṣiṇapraṇidhau svalpam ādhāvaṃ srāvayitvā svāṃ yonimiti dakṣiṇapraṇidhyāṃ jalamudakapātre srāvayati
1.20.5	āpohiṣṭhādinā tad adbhiḥ prokṣya praṇidhī visarjayati
1.21.1	punardevebhyo havyaṃ vahety agner darśanena sruvaṃ visṛjya
1.21.2	varṣiṣṭhā gahvareṣṭho 'gnimiti varṣiṣṭhasamidhau juhuyād ūrdhvaṃ yajñaṃ nayatamityūrdhvasamidhau
1.21.3	paścimataḥ paridhimapanayetyevaṃ dakṣiṇata uttarataśca paridhīn
1.21.4	paścimato viṣṇoḥ sadanamasītyevaṃ dakṣiṇata uttarataḥ prācyāmiti ca paristaraṇabarhiṣaḥ sarvānparisamūhyāpyāyantāmiti juhoti
1.21.5	śudhyantāṃ pitṛṣadanaṃ śudhyantāṃ devasadanamityavicchinnamāstīrya nairṛte dahet
1.21.6	avicchinnena brahmavarcasāyeti
1.21.7	bhūtiḥ smeti bhasma gṛhītvā lalāṭahṛdbāhukaṇṭhādīnādityaḥ somo nama ity ūrdhvāgram ālipyāpo hi ṣṭheti prokṣya oṃ ca me svara iti bālakṛtaṃ veti cāgniṃ pūrvavadādityaṃ copasthāya punarvedimūlamāsādyāgniṃ vaiśvānarasūktenopasthāya praṇāmaṃ kuryāditi kriyānte homaḥ
1.21.8	oṃ ca me svara iti laukikāgnivisarjanamiti vijñāyate
2.1.1	atha śārīreṣu saṃskāreṣv ṛtusaṃgamanavarjaṃ nāndīmukhaṃ kuryāt
2.1.2	śvaḥ kartāsmīti garbhādhānādikriyāṃ yadahaḥ karoti tad ahar nandī bhavati
2.1.3	tasyā mukhaṃ sarvadevapitṛdaivatyaṃ nāndīmukhamabhyudayaśrāddhaṃ daivikavatkaroti
2.1.4	pūrvedyureva pūrvāhṇe yugmān brāhmaṇān suprakṣālitapāṇipādāñchrotriyān annena pariveṣyātheḍāmabhyukṣyāthāvanīdamiti maṇḍalānyupalipyāstvāsanamityāsanāni sadarbhayavāni nidhāya teṣvāsīnān puṣpādyair yathopapādam alaṃkaroti
2.1.5	śuklabaliśvetasarṣapadadhitaṇḍulamityāmananti catuḥśuklametadādāyāgnerdakṣiṇato 'gnaye somāya prajeśāya viśvebhyo devebhya ṛṣibhyaḥ pitṛbhyo bhūtebhyaḥ sarvābhyo devatābhyo nama ityantena tannāmnā puṣpādibhir abhyarcya baliṃ dadāti
2.2.1	carumapūpādi ca nivedyodakumbhaṃ dhārāsv ity adbhir āpūrya namaḥ sulomīti pāpmano 'pahatyai sapallavaṃ kūrcaṃ pavitramābharaṇaṃ tasminnidadhāti
2.2.2	pratisarāṃ kutapasya dukūlasya vā trivṛtāṃ puṣpādyapi saṃbhṛtyādāya juhuyādṛco 'gne nayādy agnidevatyāḥ somo dhenvādi saumadaivatyā brahma jajñānādi brahmadaivatye rudram anyam ityādi rudradaivatye ato devādi viṣṇudaivatyā ā no viśvādi viśvedevadaivatyā yataḥ svam asītyādi saptarṣidaivatyā ye bhūtā ityādi bhūtadaivatyā vyāhṛtīragnaye kavyavāhanāya somāya pitṛmate yamāya cāṅgiraspataye ete ya iha pitara uśantastvā sā no dadātvityṛcaḥ pitṛdaivatyāḥ pṛthivīgatebhyaḥ pitṛbhyo 'ntarikṣagatebhyaḥ pitāmahebhyo divigatebhyaḥ prapitāmahebhyaḥ svadhā namaḥ svāheti pitṛbhyaḥ paitṛkam upavītī hutvā vyāhṛtīḥ sāmānyato devatābhyastābhyo 'ṣṭābhyo juhoti
2.2.3	pātreṣvājyabhāgaṃ sruveṇābhighārya dvir devaśeṣaṃ pitṛbhyaḥ prāgantaṃ kṣiptvā tadaṅguṣṭhena taccaruṃ sparśayati
2.2.4	tato namaskṛtyā satyena rajaseti kṣīreṇa dadhnā vā śvetamannaṃ brāhmaṇānbhojayet
2.2.5	anutthitebhyaḥ samūhyocchiṣṭaṃ śodhayitvācāntānanumānya puṇyāhaṃ vācayitvā svastisūktena tāmabhimṛśya svastidā viśaspatiriti pratisarāṃ badhnāti
2.2.6	nāndīmukhebhyaḥ pitṛbhyaḥ svadhā namo nāndīmukhebhyaḥ pitāmahebhyaḥ svadhā namo nāndīmukhebhyaḥ prapitāmahebhyaḥ svadhā nama ityukte svadhāstviti prativadato devāntaṃ visarjayati
2.2.7	tenodakumbhenāparedyuḥ snāyāt
2.2.8	nāndīmukhamiti vijñāyate
2.3.1	atha garbhādhānādivarṣe pañcame brahmavarcasakāmamāyuṣkāmamaṣṭame navame śrīkāmaṃ vasante brāhmaṇam upanayītaikādaśe grīṣme rājanyaṃ dvādaśe śaradi vaiśyam ā ṣoḍaśādbrāhmaṇam ā dvāviṃśāt kṣatriyam ā caturviṃśādvaiśyamiti vā
2.3.2	atīte sāvitrīpatitā bhavanti
2.3.3	teṣām uddālakaprāyaścittam
2.3.4	dvau māsau yāvakena māsaṃ kṣīreṇāmikṣayārdhamāsamaṣṭarātraṃ ghṛtenāyācitaṃ ṣaḍrātraṃ trirātram udakenopavāsam ahorātraṃ vartata ity etad uddālakam
2.3.5	anena vāśvamedhāvabhṛthasnānena vā vrātyastomena veṣṭvā punargarbhādhānādisaṃskārānkṛtvā śuddhā upaneyāḥ sāvitrīpatitā bhavantīti vijñāyate
2.4.1	brāhmaṇasya pālāśo bailvo vā keśānto nirvraṇo 'numṛṣṭo 'nudvejano yūpavad avakro daṇḍaḥ kṛṣṇamṛgasyājinaṃ mauñjī mekhalā
2.4.2	kṣatriyasya naiyagrodho lalāṭānto daṇḍo rauravamajinaṃ maurvī mekhalā
2.4.3	vaiśyasyaudumbaro nāsikānto daṇḍo bāstavam ajinaṃ śāṇī mekhalā
2.4.4	oṃ bhūrbhuvaḥ suvas tatsavituriti sāvitrī oṃ bhūrbhuvaḥ suvas tat savitur āpo jyotī rasa iti prāṇāyāma oṃ bhūrbhuvaḥ suvaḥ svāheti vyāhṛtiḥ
2.4.5	agnaye samidhamiti dve agnaye samidhāviti catvāryagnaye samidha iti samidādhānametāni brāhmaṇasya
2.4.6	oṃ bhūrbhuvastatsavituriti sāvitrī
2.4.7	oṃ bhūrbhuvastatsavitustejo jyotī rasa iti prāṇāyāmaḥ
2.4.8	oṃ bhūrbhuvaḥ svāheti vyāhṛtiḥ
2.4.9	agnaye samidhamiti dve agnaye samidhāviti samidādhānametāni kṣatriyasya
2.4.10	oṃ bhūstatsavituriti sāvitrī
2.4.11	oṃ bhūstatsavituragnirjyotī rasa iti prāṇāyāmaḥ
2.4.12	oṃ bhūḥ svāheti vyāhṛtiḥ
2.4.13	agnaye samidhamiti samidādhānametāni vaiśyasya bhavanti
2.5.1	proṣṭhapadahastāv aśvinyanūrādhāpūrvottarapunarvasū mṛgaśiro vā yāvanti puṃnāmāni nakṣatrāṇi tatrāgner vāyavyām upavītājinamekhalāhatavastradaṇḍaśarāvāśmasamiddarbhādisambhārān darbheṣu saṃbhṛtya saṃ ca tve jagmuriti prokṣayati
2.5.2	athājyenāghāraṃ hutvācāntaṃ maṅgalayuktaṃ kumāram āsayitvāgner nairṛtyāṃ mastake darbhau prāguttarāgrau vinyasya saromāṇaṃ darbham indra śastramiti caturbhiḥ pradakṣiṇaṃ caturdiśaṃ chittvā yenāvapadyatkṣureṇeti sarvato vapati nādho jatroḥ
2.5.3	gośakṛdyukte śarāve keśāngṛhṇīyāt
2.5.4	yatra mauṇḍyaṃ śikhābhrūvarjam ā nakhaṃ vapati
2.5.5	snātvācāntaṃ puṇyāhaṃ vācayitvā bhuktavantam āsayati dakṣiṇe kumāram
2.5.6	atha paristīryāyurdā agna āyurdā deveti pradhānaṃ pañca vāruṇaṃ vyāhṛtiparyantaṃ juhoti
2.5.7	ātiṣṭheti vāyavyām aśma pādāṅguṣṭhena dakṣiṇena sparśayati
2.5.8	yā akṛntanniti vastram iyam duruktāditi mekhalāṃ parīdam ity uttarīyaṃ yajñopavītamityupavītaṃ mitrasya cakṣuriti kṛṣṇājinaṃ tasmai dadāti
2.6.1	tato vidhivadācamanaṃ kārayitvā sadasyānanujñāpya devasya tveti bāhū ālabhyottare prāṅmukhaḥ prāṅmukham upanayīta
2.6.2	āyuṣ ṭe viśvata iti dakṣiṇapāṇiṃ gṛhītvoddharati
2.6.3	agniṣ ṭe hastam agrabhīditi visarjati
2.6.4	asāv apo 'śānety ācāraṃ mama hṛdaya iti tasya hṛdayasparśanaṃ kṛtvā bhūrbhuvaḥ suvaḥ suprajā iti praśaṃsati
2.6.5	bhūr ṛkṣu tveti bhuvo yajuḥṣu tveti suvaḥ sāmasu tvetīṣṭutasta ity analasya ta itīdaṃ vatsyāva iti ṣaḍbhiḥ karṇe japitvā nāma śarmāntaṃ kuryāt
2.6.6	agnir āyuṣmān ityādikaiḥ pañcabhir dakṣiṇahaste kaniṣṭhādyaṅgulyagrāṇi paryāyeṇa visṛjed āyurdā iti dakṣiṇe karṇe pratiṣṭha vāyāviti vāme ca japati
2.6.7	svasti devetyagniṃ pradakṣiṇaṃ kārayitvā dakṣiṇe niveśya rāṣṭrabhṛd asīti kūrcaṃ dattvā śaṃ no devīr iti prokṣya mūlahomaṃ vyāhṛtiparyantaṃ juhoti
2.6.8	aditis te kakṣyāmiti hutaśeṣaṃ bhojayitvā yoge yoge tavastaram ity ācamanaṃ dadāti
2.6.9	śatam in nv ityādityaṃ namaskṛtyāgantrā samaganmahīti pradakṣiṇaṃ kārayitvā śakāya tvety uttamāṅgam abhimṛśyādhīhi bho iti tena prārthito gururathāha sāvitrīṃ bho iti śiṣyam anuśāsti
2.6.10	gaṇānāṃ tveti gaṇamukhyamojo 'sīti sāvitrīṃ pāvakā naḥ sarasvatīti sarasvatīṃ ca praṇamya yathoktaṃ sāvitrīṃ paccho 'rdharcaśo vyastāṃ samastāmadhyāpayet
2.7.1	dhātādipūrvaṃ savitre kāṇḍarṣaye sadasaspatim ā devo yātv abhīvṛtaṃ sa ghā no vi janāñchyāvā vi suparṇo bhagaṃ dhiyamiti sāvitravratasūktam agne vāyav indrāditya vratānāmiti sāvitravratabandhaṃ pañcabhir vyāhṛtyantaṃ juhoti
2.7.2	agnaye samidhamiti dve agnaye samidhāviti catvāry agnaye samidha iti sapta pālāśāṅkurāṇi ghṛtāktāni juhoti
2.7.3	sūrya eṣa te putra ityādityaṃ darśayati
2.7.4	aṣṭābhiḥ samidbhir homakarmaṇi śiṣyaṃ yojayet
2.7.5	yathā heti dakṣiṇādipradakṣiṇaṃ vediṃ parimṛjya pūrvavatparistṛṇāti vyāhṛtīr eṣā te medhāṃ ma indro dadātv apsarāsv ā māṃ medhetyaṣṭau juhoti
2.7.6	yathā heti tathā parimṛjya prāsāvīr ityantaiś caturbhiḥ pravāhaṇaṃ kṛtvā bhūtiḥ smeti bhasmālipyāpo hi ṣṭheti prokṣya yatte agne tejas tenety agnim ud vayam ityādityaṃ copatiṣṭheta
2.7.7	nityaṃ sāyaṃ prātar evaṃ juhuyād yato brahmadattam idam ijyam agnihotram etanmūlāstadagnaya iti brahmavādino vadanti
2.8.1	agniṣ ṭa āyuriti daṇḍamindro marudbhir iti śarāvaṃ kaṭhinaṃ vā bhaikṣapātraṃ dadyāt
2.8.2	bhavati bhikṣāṃ dehīti brāhmaṇo brūyāt kṣatriyo bhikṣāṃ bhavati dehīti vaiśyo bhikṣāṃ dehi bhavatīti
2.8.3	maunavratena brāhmaṇebhyo bhaikṣamāmam itarebhyo gṛhṇīyāt
2.8.4	yasya ta iti gurur bhaikṣam ādāya suśrava iti prokṣayati
2.8.5	haviṣāpūpalājasamāyutena mindāhutī hutvāntahomo hūyate
2.8.6	maunavratenā saṃdhyāgamāttiṣṭhati
2.8.7	tasmā āśramadharmāṇyācakṣīta
2.8.8	coditātikrame daṇḍena na hanyādduṣṭavākyairna śapaty atikramānurūpaṃ kṛcchramādiśati
2.8.9	guruṇā śiṣyo rakṣitavyo yasmācchiṣyakṛtaṃ duritaṃ prāpnoty avaśyam akurvantaṃ śiṣyaṃ tyajati
2.8.10	anyathā tyāge patnīputraśiṣyāṇāṃ patati
2.8.11	kāṣāyājinayoranyataravāsā jaṭī śikhī vā mekhalī daṇḍī sūtrājinadhārī brahmacārī śucir akṣāralavaṇāśī yathokteṣu varṇeṣu brahmacāridharmāṇyanutiṣṭhatīti vijñāyate
2.9.1	atha pārāyaṇavratāni
2.9.2	caturthe pañcame saptame vā puṇye puṃnāmni nakṣatre śiṣyam ācāntaṃ puṇyāhaṃ vācayitvāgniṃ paristīrya prāṅmukham upaveśayati
2.9.3	tasyottare mātā brahmacārī vāsīta
2.9.4	dhātādipūrvaṃ sāvitravratasūktam agne vāyav indrāditya vratānām ity ūhitvācāriṣaṃ visarjayāmīti sāvitravratavisargaṃ hutvā pūrvāṇi sūtradaṇḍādīny apsu visṛjya snātāya navānyupavītādīni pūrvavad dattvā tam adbhir abhyukṣya dakṣiṇe niveśya dhātādipūrvaṃ prajāpataye kāṇḍarṣaye sadasaspatiṃ prajāpate na tvad rayīṇāṃ patiṃ prajāpate tvaṃ nidhipās taveme lokāḥ prajāpatiṃ prathamaṃ yo rāya ity agnyādiṣu pañcasu prājāpatyam ity ubhayatrohitvā vārṣikaṃ prājāpatyavratabandhaṃ hutvā śiṣyeṇa vrataṃ bandhayati varṣe varṣe
2.9.5	tathaiva vratavisargaṃ hutvā tat tad vrataṃ visṛjyānyadvrataṃ badhnāti
2.10.1	somāya kāṇḍarṣaye sadasaspatiṃ somo dhenum aṣāḍhaṃ tvaṃ soma kratubhir yā te dhāmāni haviṣā tvamimā oṣadhīr yā te dhāmāni divīti sūktaṃ saumyavratasya
2.10.2	agnaye kāṇḍarṣaye sadasaspatimagne naya pra vaḥ śukrāyācchā giro 'gne tvamasmadagne tvaṃ pāraya pra kāravo mananeti sūktamāgneyavratasya
2.10.3	viśvebhyo devebhyaḥ kāṇḍarṣaye sadasaspatim ā no viśve śaṃ no devā ye savituragne yāhi dyauḥ pitar viśve devāḥ śṛṇuteti sūktaṃ vaiśvadevavratasya
2.10.4	brahmaṇe kāṇḍarṣaye sadasaspatiṃ brahma jajñānaṃ pitā virājāṃ brahma devānantarasmin brahman devāś catasra iti sūktaṃ brāhmavratasya
2.10.5	ṛtaṃ ca satyaṃ ca devakṛtasya yan me garbhe tarat sa mandīti prājāpatye vasoḥ pavitraṃ pavasva viśvacarṣaṇa iti saumye jātavedasa ityāgneye viṣṇornu kaṃ sahasraśīrṣā tvamagne rudrā tvāhārṣamiti vaiśvadeve ekākṣaraṃ tvakṣariteti brāhme tattadvratadaivatyaṃ svādhyāyasūktaṃ tattatkāṇḍaṃ cādhīyīta
2.11.1	tathaiva dhātādivratavisargaṃ hutvā brāhmavrataṃ visṛjya navānyupavītādīni pūrvavaddattvā pravargyadevatābhyaḥ kalpayāmi sāṃrājyai kalpayāmi mahāvīrāya kalpayāmi pṛthivyai kalpayāmi svāhetyuttare somāya kalpayāmi pitṛbhyaḥ kalpayāmi pitṛbhyo mantrapatibhyaḥ kalpayāmi rudrāya kalpayāmi rudrāya rudrahotre kalpayāmi svāheti dakṣiṇe cāhutīr etā hutvāgne vratapate śukriyavrataṃ bandhayāmīti śukriyavrataṃ ṣāṇmāsikaṃ traimāsikaṃ vā badhnīyāt
2.11.2	citaḥ stha paricitaḥ sthetyādinānuvākena śiro 'hatena vāsasāveṣṭayedyathainamahaḥ sūryo nābhitapenmukham asya
2.11.3	tasmād rephāyati
2.11.4	strīśūdrābhyām anabhibhāṣya śukriyabrāhmaṇāruṇanārāyaṇādyāraṇyakāṇḍam adhīyīta iti vratapārāyaṇaṃ vijñāyate
2.12.1	athāṣāḍhopākarma kuryāt
2.12.2	āpūryamāṇapakṣe riktāparvaṇī varjayitvā budhavāre tithiṃ gṛhṇāti
2.12.3	tatrāghāraṃ hutvāgniṃ paristīrya śiṣyaṃ vāpayitvā snātaṃ puṇyāhaṃ vācayitvā prokṣaṇaiḥ prokṣyāgniṃ pradakṣiṇaṃ kārayitvā kūrcaṃ dadāti
2.12.4	āsayitvā dakṣiṇe śaṃ no devīriti prokṣya pradhānāḥ pañcāśadāhutīr ājyacarubhyām akṣatadhānābhyāṃ vā juhotyagnaye pṛthivyai ṛgvedāya yajurvedāya sāmavedāyātharvaṇavedāya vāyave 'ntarikṣāya divasāya sūryāya digbhyaś candramase 'dhyāyāyānadhyāyāyādhyāyadevatāyā anadhyāyadevatāyai śraddhāyai medhāyai dhāraṇāyā ācāryāya chandasa ṛṣibhyaḥ saptarṣibhyo munibhyo gurubhyo 'horātrebhyo 'rdhamāsebhyo māsebhya ṛtubhyaḥ saṃvatsarebhyaḥ parivatsarebhya idāvatsarebhya idvatsarebhyo vatsarebhyo brahmaṇe sāvitryai prajāpataya uśanase cyavanāya bṛhaspataye somāyāṅgirase darbhāya śaṅkhāya likhitāya sthūlaśirase vainateyāya śikhina īśvarāyādhikṛtādhidevatābhyaḥ sadasaspatimadbhutaṃ priyamindrasya kāmyam saniṃ medhāmayāsiṣaṃ svāheti pūrvavat prājāpatyavratabandhaṃ dhātādi pañca vāruṇaṃ mūlahomaṃ sviṣṭākāraṃ ca hutvā hutaśeṣam aditiste kakṣyāmiti bhojayitvā yoge yoge tavastaram ityācamanaṃ dadāti
2.12.5	atha prāṅmukham udaṅmukhaṃ vā brahmāñjaliṃ kārayitvā dakṣiṇam adhyāsīnaṃ vedānvedau vedaṃ vā sūtrasahitam adhyāpayati
2.12.6	antarāpyevam adhyāpayitukāmo hutvādhyāpayet
2.12.7	ardhapañcamānardhaṣaṣṭhān vā māsān adhyāyānupākurvīta
2.12.8	ata ūrdhvaṃ śukleṣu
2.12.9	kāmaṃ tu vedāṅgāni
2.12.10	iti vedopākaraṇam
2.12.11	atha śrāvaṇe paurṇamāsyāmagniṃ paristīrya śiṣyaṃ vāpayitvā snātaṃ puṇyāhaṃ vācayitvā pūrvavad vratabandhaṃ dhātādi pañca vāruṇaṃ mūlahomaṃ sviṣṭākāraṃ ca juhoti
2.12.12	adhyayanapārāyaṇāyeti śrāvaṇam
2.12.13	tathaiva naiṣṭhiko yāvajjīvam āśramadharmāṇy anutiṣṭhetopākurvāṇo vedamadhītya snāyāditi vijñāyate
2.13.1	atha samāvartanaṃ vyākhyāsyāmaḥ
2.13.2	udagayana āpūryamāṇapakṣe tiṣyottareṣu citrāviśākhayorhastarohiṇyormṛgaśirasi vā nakṣatre yatrāpas tatrāgāre goṣṭhe vāghāraṃ hutvāgniṃ paristīrya tathaiva dhātādivratavisargaṃ hutvā vayaḥ suparṇā iti vastrāvakuṇṭhanaṃ mocayitvā śukriyavrataṃ visṛjati
2.13.3	imaṃ stomaṃ tryāyuṣaṃ jamadagneriti pradhānaṃ pañca vāruṇaṃ mūlahomāntaṃ hutvodvayaṃ tamasa ud u tyam ity etābhyām ādityam upasthāyod uttamam ityuttarīyam athā vayamiti sūtradaṇḍādīny apsu visṛjya śivo nāmāsīti kṣuramupalena karṣayitvā sākṣatair ādhāvaiḥ śivā na iti śiro 'ñjayitvā godānam apa undantvoṣadhe trāyasva yatkṣureṇeti caturdiśaṃ yenāvapaditi sarvato nakhāntaṃ vapati
2.13.4	śarāve sānaḍuhagośakṛti keśādīny ādāyedam aham amuṣyety udumbaradarbhayor mūle goṣṭhe vā gūhayet
2.13.5	annādyāya vyūhadhvamiti dantadhāvanam audumbareṇa kāṣṭhena karoti śītoṣṇābhir adbhir āpo hi ṣṭhetyādibhir ṛgbhis tisṛbhiḥ snāpayitvā hiraṇyapavamānābhyāṃ prokṣayatīti
2.13.6	pūrvaṃ tathā pradhānānhutvā purodayādādityasya brāhmavrataṃ visṛjya śukriyavratasya grahaṇavisargāvityeke
2.14.1	divi śrayasvetyahate vāsasī gandhābharaṇādīni ca prokṣya namo grahāyeti gandhaṃ gṛhītvā prācīnamañjaliṃ kṛtvāpsarassviti gātrāṇyanulepayet tejovat sava iti vastraṃ paridhāya somasya tanūr asīty uttarīyaṃ gṛhṇāti
2.14.2	pūrvavan mekhalādīny ādadīta
2.14.3	ābharaṇakuṇḍalamaṇīn badareṇa suvarṇena vā kṛtānācchādya darbheṇa badhnīyāt
2.15.1	tadagnāvupari dhārayann āyuṣyaṃ varcasyam uccairvādi śunamahaṃ priyaṃ meyam oṣadhīti pañcabhirjuhuyāt
2.15.2	samrājaṃ ca virājaṃ cetyudakapātre pariplāvya ṛtubhiriṣṭvārtavairiyamoṣadhīti tābhyāṃ kuṇḍalābhyāṃ dakṣiṇādikarṇayoralaṃkaroti
2.15.3	śubhika iti maṇinā kaṇṭhamāmucyedaṃ brahma punīmaha ity aṅgulīyakaṃ gṛhītvā yad āñjanam iti dakṣiṇaṃ cakṣur yan me mana iti vāmaṃ cāñjanenāñjayitvemāḥ sumanasa iti srajamādāya devasya tvety ādarśamavekṣeta
2.15.4	tenaiva vaiṇavaṃ daṇḍamṛjuṃ gṛhṇīyāt
2.15.5	indrasya vajro 'sīti vegavejam iti trir unmārṣṭi
2.15.6	upānahāvity upānahāvāruhya prajāpateḥ śaraṇaṃ bhuvaḥ punātviti dvābhyāṃ chattraṃ gṛhṇīyād yo me daṇḍa iti punardaṇḍaṃ pramāde satyāharet
2.15.7	tato vāhanaṃ pūjayitvā pratiṣṭhe stho devatānām ity abhimṛśya rathaṃtaramasīti ratham aśvo 'si hayo 'sīty aśvam indrasya tvā vajreṇeti hastinam āruhyāvataret
2.15.8	abhyāgatam uttamaṃ kanyāpradaḥ saṃ sravantviti nirīkṣya yaśo 'sītyāvasathe viṣṭaraṃ kūrcaṃ pādyamarghyamācamanīyaṃ madhuparkaṃ ca saṃkalpayati
2.16.1	tatropaveśya rāṣṭrabhṛdasīti kūrcaṃ dattvāpaḥ pādāviti pādau savyādi prakṣālayati
2.16.2	sa dhautapādo virāja iti svahastena taddhastaṃ parimṛśya tenātmano hṛdayam abhimṛśati
2.16.3	tato mayi teja ity arghyam ācamanīyaṃ cādadīta
2.16.4	ā mā gan yaśaseti madhuparkaṃ dadyāt
2.16.5	devasya tveti pratigṛhya yanmadhuno madhavyamiti prāśnīyāt
2.16.6	yoge yoga ityācamyācamed amṛtāpidhānamasīti
2.16.7	dhenuṃ baddhvā gaur dhenuriti tṛṇamuṣṭiṃ pradāya gaur asy apahateti saṃspṛśya tat subhūtam iti visarjayati
2.16.8	virāja iti pādyadānam ā mā gan yaśasety ācamanam amṛtopastaraṇam asīti madhuparkadānaṃ pṛthivīti tasyānnasaṃkalpanam amṛtāpidhānamasīti mukhavāsadānamiti viśeṣa ityeke
2.17.1	dyaus tvā dadātviti brāhmaṇānbhojayitvā indrāgnī me varca ity eṣāṃ praṇāmaṃ kuryāt
2.17.2	puṇyāhaṃ vācayitvājyena vyāhṛtīr hutvā bāndhavaiḥ saha dhāma bhuñjīta
2.17.3	madhudhāmnoścodanāyāṃ toyapiṣṭau pratinidhī gṛhṇīyād yasmād āpo vai sarvā devatāḥ sarvārthasādhakā iti vedyarthaṃ saṃbhārārthaṃ pṛthivī vanaspatayaḥ paśvartham oṣadhaya iti vedānuśāsanaṃ bhavati
2.18.1	atha prāṇāgnihotravidhānam
2.18.2	svayaṃjyotirātmā yajamānaḥ
2.18.3	buddhiḥ patnī
2.18.4	hṛdayapuṇḍarīkaṃ vediḥ
2.18.5	romāṇi darbhāḥ
2.18.6	prāṇo gārhapatyo 'pāna āhavanīyo vyāno 'nvāhārya udānaḥ sabhyaḥ samāna āvasathya iti pañcāgnayo bhavanti
2.18.7	jihvādīndriyāṇi yajñapātrāṇi rasādayo viṣayā havīṃṣi
2.18.8	asya phalam omarthāvāptiḥ
2.18.9	tadevam ekādhvaryurātmayajñaṃ saṃkalpyāmṛtopastaraṇam asīty annaṃ prokṣyānnasūktenābhimṛśyorjaskaram ity ādhāvaṃ pītvāṅguṣṭhānāmikāmadhyamair ādāyānnaṃ prāṇāya svāhāpānāya svāhā vyānāya svāhodānāya svāhā samānāya svāheti pañcāhutīḥ pātraṃ spṛśanneva hutvorjaskaramiti punaścādhāvaṃ pītvāśnīyāt
2.18.10	ācamyāpo gṛhītvādityābhimukham oṃ prāṇān āpyāyasvety udaram abhimṛśet
2.18.11	dakṣiṇena karāṅguṣṭhāgreṇāṇor aṇīyāniti dakṣiṇapādāṅguṣṭhe saṃsrāvayet
2.18.12	evaṃ sāyaṃ prātaḥ prāṇāgnihotraṃ yajeta
2.18.13	ātmayājinām idam ijyam agnihotraṃ yāvajjīvakamiti brahmavādino vadanti
2.18.14	tadevaṃ bhuktvā gacchantamanṛṇo brahmapadamabhyetīti sāmapūrvaṃ mātā pitā gururvā paitṛkādikam ṛṇatrayaṃ jāyamānasya brāhmaṇasya sahajātamityuktvā vārayediti vijñāyate
3.1.1	athātaḥ pāṇigrahaṇam
3.1.2	aṣṭau vivāhā bhavanti brāhmo daivaḥ prājāpatya ārṣa āsuro gāndharvo rākṣasaḥ paiśāca iti
3.1.3	yadabhirūpaṃ vṛttavayaḥsampannam āhūyārhayitvā kanyālaṃkṛtā dāsyate sa brāhma iti gīyate
3.1.4	yadṛtvijo yajñasyātmano 'laṃkṛtya kanyāṃ pratipādayati sa daivaḥ
3.1.5	yugapaddharmānuvartinau syātāmiti vācānumānyāgnikāryaṃ svayaṃ kṛtvā yatkanyāmarhayitvā dadyātsa prājāpatyo bhavati
3.1.6	yadgomithunenaikena dvābhyāṃ vā kanyāṃ dadāti tamārṣamācakṣate
3.1.7	yatkanyāmābharaṇamāropya śaktyā bandhubhyo dhanaṃ dattvāharate tamāsuramāmananti
3.1.8	kāmayogo yadubhayoḥ sa gāndharvaḥ
3.1.9	prasahya yatkanyāharaṇaṃ sa rākṣasaḥ
3.1.10	suptāṃ pramattāṃ vā rahasi yadgacchati sa paiśāco bhavatīti
3.1.11	eteṣāṃ prathame catvārastoyapradānapūrvakāḥ śastā brāhmaṇasya netare jaghanyāḥ
