#Text:Bhāradvājagṛhyasūtra
#Edition:Salomons (DCS version)



1.1.1	upanayanaṃ vyākhyāsyāmaḥ
1.20.2	athāsyā apavṛttārtho 'pavṛttārthāyai mukhena mukhaṃ saṃnidhāya prāṇity etaṃ prāṇam apānihīti
1.20.3	taṃ sā pratyapāniti
1.20.4	athāsyā ācāntodakāyai pāṇī prakṣālyābhimṛśati karad dadhacchivena tvā pañcaśākhena hastenāvidviṣāvatā sāhasreṇa yaśasvinābhimṛśāmi suprajāstvāyeti bhasaddeśam
1.20.5	yadā malavadvāsā syād athaināṃ brāhmaṇapratiṣiddhāni vratāni saṃśāsti yāṃ malavadvāsasam iti
1.20.6	caturthyāṃ snātāṃ prayatavastrāṃ brāhmaṇasaṃbhāṣāṃ saṃ te manasā mana ity etenānuvākenopasaṃviśati
1.20.7	sarvāṇy upāyanāni mantravanti bhavantītyāśmarathyaḥ
1.20.8	yaccādau yaccartāvityālekhanaḥ
1.21.1	athāsyāḥ prathamagarbhiṇyāś caturthe māsi sīmantaṃ kurvanti
1.21.2	āpūryamāṇapakṣe puṇye nakṣatre payasi sthālīpākaṃ śrapayitvāntarāgāre 'gnim upasamādhāya jayābhyātānān rāṣṭrabhṛta iti hutvaitā āhutīr juhoti bhūrbhuvaḥ suvaḥ prajāpata iti catasraḥ
1.21.3	treṇyā śalalyā trīṇi darbhapuñjīlāni śalālugrapsam ity upaniyamyordhvaṃ sīmantam unnayati / bhūrbhuvaḥ suvo rākām ahaṃ yāste rāke / soma eva no rājety āhur brāhmaṇīḥ prajāḥ / vivṛttacakrā āsīnās tīreṇa yamune taveti tīreṇāsau taveti vā yasyās tīre vasati
1.21.4	purastād agner etāni nidhāya trīn odanān uddhṛtya sarpiṣopasicyopanidadhāty udaśarāvaṃ caturtham
1.21.5	teṣām ekaikam avekṣamāṇāṃ pṛcchati kiṃ paśyasīti
1.21.6	putrāṃśca paśūṃśceti pratyāha
1.21.7	teṣām ekaṃ brāhmaṇān bhojayed ekaṃ brāhmaṇīr ekaṃ saha kumāraiḥ sā prāśnāti
1.21.8	vāgyata āsta ā nakṣatrāṇām udayāt
1.21.9	uditeṣu nakṣatreṣviti samānam
1.22.1	atha puṃsavanam
1.22.2	tṛtīye māsi caturthādau vā tiṣyeṇa vā hastena vānurādhair vottarair vā proṣṭhapadaiḥ
1.22.3	nyagrodhāvarodham āhṛtyānavasnātayā kumāryā dṛṣatputre dṛṣatputreṇa peṣayitvāntarāgāre 'gnim upasamādhāya jayābhyātānān rāṣṭrabhṛta iti hutvaitā āhutīr juhoti yas tvā hṛdā kiriṇeti catasraḥ
1.22.4	apareṇāgniṃ prācīm uttānāṃ nipātyāthāsyā dakṣiṇe nāsikāchidre 'ṅguṣṭhenānunayati puṃsavanam asy amuṣyā iti
1.22.5	sā hety āha
1.22.6	pumāṃsam eva janayati
1.22.7	atha kṣipraṃsuvanam
1.22.8	yajñopavītaṃ kṛtvāpa ācamyānāprītena śarāveṇānusrotasam udakam āhṛtya pattas tūryantīṃ nidhāya mūrdhañchoṣyantīm abhimṛśati daśabhis tvāṅgulibhir abhimṛśāmi daśamāsyāya sūtavā iti
1.22.9	athainām adbhir avokṣati / yathaiva vātaḥ pavate yathā samudra ejati / evaṃ kumāra ejatu saha jarāyuṇāvapadyatām iti
1.22.10	atha yadyaparā na patet pāṇinodakam ādāya mūrdhanyenām avasiñcet tilade 'vapadyasva na māṃsam asi no dalam avapadyasvāsāviti
1.22.11	yadi garbhaḥ sraṃsed ārdreṇa pāṇinā trir ūrdhvaṃ nābher unmṛjet / parāñcaṃ tvā nārvāñcaṃ tvaṣṭā badhnātu bandhanaiḥ / sa ṛtūn upaśeṣva daśamāso 'vīraheti
1.23.1	vijātāyāḥ paridāṃ karoti
1.23.2	dakṣiṇārdhe 'gārasyāgnim upasamādhāya sarṣapān phalīkaraṇamiśrān añjalāvadhyupya juhoti / śaṇḍo marka upavīras tuṇḍikera ulūkhalaḥ / cyavano naśyatād itaḥ svāheti
1.23.3	evaṃ dvitīyām evaṃ tṛtīyām
1.23.4	athāparām / keśinī śvalominī khajābojopakāśinī / apeta naśyatād itaḥ svāheti
1.23.5	evaṃ dvitīyāmevaṃ tṛtīyām
1.23.6	athāparām / aryamṇaḥ kumbhīpātraḥ pātrapāṇir nipuṇiḥ / apeta naśyatād itaḥ svāheti
1.23.7	evaṃ dvitīyāmevaṃ tṛtīyām
1.23.8	athāparām / miśravāsasaḥ kauberakā rakṣorājena preṣitāḥ / grāmaṃ sajānayo gacchantīcchanto 'paridākṛtān svāhā / etān ghnataitān gṛhṇītety ayaṃ brāhmaṇo dūtaḥ / tān agniḥ paryasarat tān indras tān bṛhaspatiḥ / tān ahaṃ veda brāhmaṇaḥ pramṛśataḥ kūṭadantān vikeśān lambanastanān svāhā / naktaṃcāriṇa uraspeśāñchūlahastān kapālapān / pūrva eṣāṃ pitaityuccaiḥ śrāvyakarṇakaḥ / mātā jaghanyā sarpati grāme vidhuram icchantī svāhā / pradoṣacāriṇī svasā saṃdhinā prekṣate kulam / yā svapantaṃ bodhayati yasyai vijātāyāṃ manaḥ / tāsāṃ tvaṃ kṛṣṇavartmane klomānaṃ hṛdayaṃ yakṛt / agne akṣīṇi nirdaha svāheti
1.23.9	evam eva niṣkrāmati ca prapadyamāne cāvapatāhar ahar ā nirdaśatāyā iti
1.24.1	sā yadi pumāṃsaṃ janayati tam abhimṛśati vṛdhad iti
1.24.2	madhyamaṃ palāśapalāśaṃ saṃveṣṭya tenāsya dakṣiṇaṃ karṇam ājapati bhūs tvayi dadhāmīti
1.24.3	bhuvas tvayi dadhāmīty uttaram
1.24.4	suvas tvayi dadhāmīti dakṣiṇam
1.24.5	api vottaram eva dviḥ sakṛd eva dakṣiṇam
1.24.6	athainam abhimantrayate / aśmā bhava paraśur bhava hiraṇyam astṛtaṃ bhava / vedo vai putranāmāsi sa jīva śaradaḥ śatam / medhāṃ te devaḥ savitā medhāṃ devī sarasvatī / medhāṃ te aśvināvubhāv ādhattāṃ puṣkarasrajau / vedo vai putranāmāsi sa jīva śaradaḥ śatam iti
1.24.7	athainaṃ dadhi madhu ghṛtamiti saṃsṛjya tribhir darbhapuñjīlair hiraṇyena vā triḥ prāśayaty apāṃ tvauṣadhīnāṃ rasaṃ prāśayāmy āyur varco yaśo medhāṃ tvayi dadhāmi savitrā prasūtas tvaṣṭā vīram adhāt sa me śatāyur edhi bhūr bhuvaḥ suvar iti
1.24.8	athāsya dakṣiṇena hastena dakṣiṇaṃ hastam abhīvāṅguṣṭham abhīva lomāni gṛhṇāty agnir āyuṣmān ity etair mantraiḥ
1.24.9	navanītena pāṇī abhyajya hiraṇyaṃ haste kṛtvā
1.25.1	agnau pratāpyābhimṛśati / agnes tvā tejasā sūryasya varcasendrasyendriyeṇa viśveṣāṃ tvā devānāṃ kratunābhimṛśāmi / aṅgād aṅgāt sambhavasi hṛdayād adhi jāyase / ātmā vai putranāmāsi sa jīva śaradaḥ śatam iti
1.25.2	athainaṃ vātsapreṇābhimṛśati divas parītyanuvākena
1.25.3	yatra śete tad abhimṛśati / veda te bhūmi hṛdayaṃ divi candramasi śritam / vedāmṛtasya goptāraṃ māhaṃ pautramaghaṃ rudam iti
1.25.4	athainaṃ mātur upastha ādadhāti / mā te putraṃ rakṣo vadhīn mā dhenur atyāsāriṇī / priyā dhanasya bhūyā edhamānā sve vaśa iti
1.25.5	stanaṃ pratidhāpayati / ayaṃ kumāro jarāṃ dhayatu dīrghamāyuḥ / tasmai tvaṃ stana prapyāyāyur varco yaśo balam iti
1.25.6	saṃviṣṭābhyāṃ paridāṃ karoti nāmayati na rudati yatra vayaṃ vadāmasi yatra cābhimṛśāmasīti
1.25.7	śirasta udakumbhaṃ nidadhāty āpaḥ supteṣu jāgrata rakṣāṃsi nirito nudadhvamiti
1.25.8	naitāsām apām udakārthaṃ kurvanti
1.25.9	atha yadi ciraṃ na vijāyate srajamenāṃ darśayet
1.25.10	parimuktāyāṃ kṣipram evopanirharet
1.25.11	yadā yadā sūtikārogaḥ syād dakṣiṇasya padas taptodakena pārṣṇiṃ kledayitvā tadā tadā taṃ deśam avamārṣṭi yatrāsyā duḥkhaṃ bhavati dhanurmaṭacī puruṣasya hastayor ekaśataṃ śṛṇor aṅga te dhāpayitāras tvaṃ rogasyeśiṣe tvam u rogasya sūtikārogabhaiṣajyam asyamuṣyā iti
1.26.1	upanirharanti sūtikāgnim aupāsanam atiharanti
1.26.2	sa eṣa uttapanārtho bhavati
1.26.3	nāsmin kiṃ cana karma kriyate
1.26.4	daśamyāṃ snātau mātāputrau
1.26.5	śucyagāraṃ kurvanti
1.26.6	upanirharantyaupāsanaṃ sūtikāgnim atiharanti
1.26.7	antarāgāre 'gnim upasamādhāya jayābhyātānān rāṣṭrabhṛta iti hutvaitā āhutīrjuhoti dhātā dadātu no rayim ity aṣṭau
1.26.8	daśamyāṃ putrasya nāma dadhāti dvyakṣaraṃ caturakṣaraṃ vā ghoṣavadādy antarantasthaṃ dīrghābhiniṣṭānāntam
1.26.9	taddhi pratiṣṭhitam iti vijñāyate
1.26.10	pitā mātetyagre 'bhivyāhareyātām
1.26.11	vijñāyate mama nāma prathamaṃ jātavedaḥ pitā mātā ca dadhatur yad agra iti
1.26.12	dve nāmanī kuryāt
1.26.13	vijñāyate ca tasmād dvināmā brāhmaṇo 'rdhuka iti
1.26.14	nakṣatranāma dvitīyaṃ syāt
1.26.15	anyatarad guhyaṃ syād anyatareṇainam āmantrayeran
1.27.1	viproṣya hariṇī dūrve ādāya gṛhān upodeti / gṛhā mā bibhīta mā vepiḍhvam ūrjaṃ bibhrata emasi / ūrjaṃ bibhrad vaḥ sumanāḥ suvarcā gṛhān emi manasā modamānaḥ / yeṣāṃ pravasann adhyeti yeṣu saumanaso bahuḥ / gṛhān upahvayāmahe te no jānantu jānataḥ / ime gṛhāḥ prati jīveṣv asthur ūrjaṃ bibhrato jagataḥ suśevāḥ / eha vatsaḥ krandatv ā kumāra ā dhenavo bahulā nityavatsāḥ / upahūtaṃ goaśvam upahūtā ajāvayaḥ / atho annasya kīlāla upahūto gṛheṣu me / ūrjaṃ bibhrata emasy ūrjā vaḥ saṃsṛjāmi ramadhvaṃ mā bibhītaneti
1.27.2	tṛṇe prāsyati
1.27.3	śivā upamitaḥ pramitaś ca santviti dvārye saṃmṛśati
1.27.4	kṣemāya vaḥ śivaḥ śāntyai prapadya iti prapadyate dakṣiṇapūrvābhyām anuvīkṣate
1.27.5	abhayaṃ vo 'stv abhayaṃ me astviti bhāryāṃ saṃgacchamānām anumantrayate viśvā uta tvayā vayam ity etayā
1.27.6	putraṃ saṃgacchamānam anumantrayate 'ṅgād aṅgāt sambhavasīti dvābhyām
1.27.7	athainaṃ mūrdhaṃs trir avajighret paśūnāṃ tvā hiṃkāreṇābhijighrāmi prajāpataye tvā hiṃkāreṇābhijighrāmi prajāpatis ta āyur dadhātu sa me śatāyur edhi bhūr bhuvaḥ suvar iti
1.27.8	sarvebhyaḥ prāṇebhyo jātāsi sā jīva śaradaḥ śatam iti duhituḥ
1.27.9	athainaṃ ṣaṣṭhe māsy annaṃ prāśayati
1.27.10	tasya sa eva prāśanakalpo yo medhājanana etāvan nānā bhūr ity agre prāśayati bhuva iti dvitīyaṃ suvar iti tṛtīyam
1.28.1	athāsya sāṃvatsarikasya cauḍaṃ kurvanti yatharṣi yathopajñaṃ vā
1.28.2	vijñāyate ca yatra bāṇāḥ saṃpatanti kumārā viśikhā iveti bahuśikhā iveti
1.28.3	athānnaṃ saṃskṛtya brāhmaṇān bhojayitvāśiṣo vācayitvāntarāgāre 'gnim upasamādhāya jayābhyātānān rāṣṭrabhṛta iti hutvaitā āhutīr juhoti pūrṇā paścād imaṃ me varuṇa tat tvā yāmi tvaṃ no agne sa tvaṃ no agne tvam agne 'yāsy anabhiśastīś ca yad asya karmaṇo 'tyarīricaṃ prajāpata iti
1.28.4	uttamāṃ hutvā gurave varaṃ dadāti
1.28.5	apareṇāgniṃ gomayapiṇḍaṃ sarvabījānīty upaniyamya sarvabījānām agraṃ gomayapiṇḍe nyupya śītoṣṇā apaḥ samānīya tābhir asya dakṣiṇaṃ godānam unatty āpa undantu jīvase dīrghāyutvāya varcasa iti
1.28.6	treṇyā śalalyā vinīya trīṇi darbhapuñjīlāny ūrdhvāgrāṇy upaniyacchati
1.28.7	oṣadhe trāyasvainaṃ svadhite mainaṃ hiṃsīriti lohitāyasaṃ kṣuraṃ tiryañcaṃ nidhāya pravapati / yad ṛṣīṇāṃ tryāyuṣaṃ jamadagneḥ kaśyapasya tryāyuṣam / yad devānāṃ tryāyuṣaṃ tan me 'stu tryāyuṣam / yena pūṣā bṛhaspater agner indrasya cāyuṣe 'vapat tena te vapāmyasau dīrghāyutvāya varcasa iti / evam evottaraṃ godānaṃ vāpayate
1.28.8	keśān vāpayitvā gomayapiṇḍe nidadhāti
1.28.9	athainaṃ gomayapiṇḍaṃ goṣṭha udakānta udumbaramūle darbhastambe vā nidadhāti
1.28.10	athainaṃ snātam alaṃkurvanti
2.1.1	śravaṇakarma vyākhyāsyāmaḥ
2.1.2	śrāvaṇyāṃ paurṇamāsyām upakalpayate 'kṣatadhānāś cākṣatasaktūṃśca jātyaṃ cāñjanam
2.1.3	astamita āditye 'ntarāgāre 'gnim upasamādhāya jayābhyātānān rāṣṭrabhṛta iti hutvākṣatadhānānāṃ cākṣatasaktūnāṃ ca samavadāyābhighārya juhoti
2.1.4	āgneyāya pāṇḍarāya pārthivānāmadhipataye svāheti prathamāmāhutiṃ juhoti
2.1.5	śvetāya vāyavyāyāntarikṣāṇām adhipataye svāheti dvitīyām
2.1.6	abhibhuve sūryāya divyānāmadhipataye svāheti tṛtīyām
2.1.7	upaniṣkramya sthaṇḍila evaitā āhutīr juhoti
2.1.8	api vā samīcī nāmāsi prācī digiti sarpāhutīḥ
2.1.9	prāśanārthā dhānā upakalpyākṣatadhānāś cākṣatasaktūṃśca jātyaṃ cāñjanaṃ sthaṇḍile nyupyābhimantrayate namo 'stu sarpebhya iti tisṛbhiḥ
2.1.10	tato yāvantaṃ deśaṃ kāmayata imaṃ sarpā nāgaccheyuriti taṃ saṃtatayodadhārayānupariṣiñcaty apa śveta padā jahi pūrveṇa cāpareṇa ca / sapta ca mānavairimāstisraśca rājabandhavaiḥ / na vai śvetasyādhyācāre 'hir dadaṃśa kāṃcana / śvetāya vaidarvyāya nama iti
2.1.11	tata etā dhānā asametyāvagiranti yāvanto havirucchiṣṭāśā bhavanti
2.1.12	tata etāṃścaturo māsānsarpebhyo baliṃ haranti
2.1.13	saktūn vaivamarthān kurvantyapi vā yadyadannaṃ kriyate tasya tasya
2.2.1	tata āgrahāyaṇyāṃ paurṇamāsyām evam evaitat karma kriyate
2.2.2	yad anyad dhānāprāśanāt pariṣecanād iti sarvaṃ tat kriyate
2.2.3	āgneyena sthālīpākena parvasu yajate
2.2.4	tasya purastāt sviṣṭakṛta etā āhutīr juhoti / iḍāyāḥ padaṃ ghṛtavaccarācaraṃ jātavedaḥ / havir idaṃ juṣasva / ye grāmyāḥ paśavo viśvarūpās teṣāṃ saptānām iha rantir astu / puṣṭyai svāhā / yāṃ devāḥ pratinandanti rātriṃ dhenumivāyatīm / saṃvatsarasya yā patnī sā no astu sumaṅgalī svāhā / paurṇamāsī pūrayantyāyātyaparāparam / ardhamāsānvibhajantī sā naḥ pūrṇābhirakṣatu svāhā / śivā paśubhyo dārebhyaḥ śivā naktaṃ śivā divā / saṃvatsaraṃ kalpayantī sā naḥ kāmadughā bhavatsvāhā / pūrṇā paścāttvamagne ayāsi prajāpate
2.2.5	iti tisrastataḥ sauviṣṭakṛtaṃ juhoti / agnaye sviṣṭakṛte svāheti
2.2.6	atha hemantapratyavarohaṇam
2.2.7	yatra pratyavarokṣyanbhavati tadupatiṣṭhate / prati kṣatre pratitiṣṭhāmi rāṣṭre pratyaśveṣu pratitiṣṭhāmi goṣu / prati prajāyāṃ pratitiṣṭhāmi bhavye / syonā pṛthivi no bhavānṛkṣarā niveśanī / yacchā naḥ śarma saprathā iti
2.3.1	śālākarma vyākhyāsyāmaḥ
2.3.2	śālāṃ kārayiṣyamāṇa āpūryamāṇapakṣe puṇye nakṣatre brāhmaṇānannena pariviṣya parilikhyehaiva dhruvāṃ niminomi śālāṃ kṣeme tiṣṭhatu ghṛtamukṣamāṇā / tāṃ tvā śāle sarvavīrāḥ suvīrā ariṣṭavīrā anusaṃcarema / iti dakṣiṇāṃ dvārasthūṇāmucchrayati / ihaiva dhruvā pratitiṣṭha śāle 'śvavatī gomatī sūnṛtāvatī / ūrjasvatī payasvatī ghṛtavatyucchrayasva mahate saubhagāyeti
2.3.3	uttarāmā tvā kumārastaruṇa ā vatso jagatā saha / ā tvā parisrutaḥ kumbha ā dadhnaḥ kalaśīr ayan / iti saṃmite abhimṛśati
2.3.4	evameva sthūṇārājāvucchrayatyevamabhimṛśati
2.3.5	ṛtena sthūṇāvadhiroha vaṃśogro virājannapasedha śatrūn / athāsmabhyaṃ sarvavīrāṃ rayiṃ dāḥ / iti pṛṣṭhavaṃśamadhiropayati
2.3.6	mānasya patni śaraṇā syonā devebhir vimitāsyagre / tṛṇaṃ vasānā sumanā asastvaṃ śaṃ na edhi dvipade śaṃ catuṣpada iti channāmabhimṛśati
2.4.1	agārapraveśaṃ vyākhyāsyāmaḥ
2.4.2	āpūryamāṇapakṣe puṇye nakṣatre 'ntarāgāre 'gnim upasamādhāya jayābhyātānān rāṣṭrabhṛta iti hutvaitā āhutīrjuhoti vāstoṣpata iti dve
2.4.3	vāstoṣpate prataraṇo na edhi gayasphāno gobhir aśvebhir indo / ajarāsas te sakhye syāma piteva putrānprati no juṣasva svāhā / paraṃ mṛtyo anuparehi panthāṃ yaste sva itaro devayānāt / vāstoṣpate śṛṇvate te bravīmi mā naḥ prajāṃ rīriṣo mota vīrān svāheti
2.4.4	bhūmimabhimṛśati prati kṣatre prati tiṣṭhāmi rāṣṭra iti dvābhyām / idaṃ śreyo 'vasānaṃ yadāgāṃ syone me dyāvāpṛthivī abhūtām / anamīvāḥ pradiśaḥ santu mahyaṃ gomad dhanavad aśvavad ūrjasvat suvīravad iti caitayā
2.4.5	ahataṃ vāsa ācchādya tadvāstu parimāpayet ṛtaṃ vṛṇīṣva māvāryaṃ mā no hiṃsīḥ kadācana / syonā pṛthivi bhavānṛkṣarā niveśanī / yacchā naḥ śarma saprathā iti
2.4.6	ud āyuṣā svāyuṣetyupotthāyopasamūhya brāhmaṇānannena pariveṣayet
2.5.1	tatpūrvaṃ vāstuśamanam
2.5.2	athānyat
2.5.3	śaraṇe kṛta udumbarapalāśāni sasuṣirāṇi yavaiḥ saha gomayaṃ śāḍvalaṃ rāsabhaṃ madhu caivātra saptamaṃ tairagāraṃ vāstu ca pariprokṣet
2.5.4	pūrṇa udadhirbhavati prajvalito 'gnir bhavati
2.5.5	brāhmaṇamagre praveśayati
2.5.6	brāhmaṇamāha praviśānīti
2.5.7	praviśatu bhavān āyuṣā varcasā śriyāvṛta iti brāhmaṇānumataḥ praviśati bhūḥ prapadye bhuvaḥ prapadye śriyaṃ prapadye śrīrmā praviśatviti
2.5.8	brāhmaṇam anu praviśya jayābhyātānānrāṣṭrabhṛta iti hutvāgniṃ devānāṃ mahayati / agnir devānām adhipatiḥ purīṣyo havyavāhanaḥ / taṃ tvaimi śaraṇaṃ deva saputraḥ saha jñātibhiḥ svāhā / sadāsabhāryaḥ sāmātyaḥ sāyām agnaye svāheti
2.5.9	agniṃ mahayitvātha rājānam īḍate / tvaddattaṃ vai balaṃ rājye tvatpūrtamiha jīvate / hiraṇyavarṇa haryakṣa arthaṃ mahyaṃ sādhaya svāhā / kuberāya svāhā mahārājāya svāhā vaiśravaṇāya svāheti
2.5.10	rājānaṃ mahayitvāthendraṃ devānāṃ mahayati trātāram indram indraṃ viśvā avīvṛdhanniti
2.5.11	indraṃ mahayitvā viśvān devān mahayati viśve devā viśve devā iti dvābhyāṃ viśvān devān mahayitvā
2.6.1	atha pañcedhmānabhyādhāya juhoti / medhāṃ manasi juhomi svāhā / mano medhāyāṃ juhomi svāhā / śraddhāṃ tapasi juhomi svāhā / tapaḥ śraddhāyāṃ juhomi svāhā / mṛtyor mukhaṃ vidadhāmi svāhā / ye devāḥ puraḥsado 'gninetrā rakṣohaṇas te naḥ pāntu te no 'vantu tebhyo namas tebhyaḥ svāhā / śāntam idam avasānaṃ prapadye svāhā / ye devā dakṣiṇāsado ye devāḥ paścātsado ye devā uttarasado ye devā upariṣado bṛhaspatinetrā rakṣohaṇas te naḥ pāntu te no 'vantu tebhyo namas tebhyaḥ svāhā / śāntam idam avasānaṃ prapadye svāhā / pūrṇā paścād imaṃ me varuṇa tat tvā yāmi tvaṃ no agne sa tvaṃ no agne tvam agne ayāsy ayāś cāgne 'sy anabhiśastīś ca yad asya karmaṇo 'tyarīricaṃ prajāpata iti
2.6.2	uttamāṃ hutvā brāhmaṇān annena pariveṣayet
2.6.3	yad vāstu garhitaṃ yatra vānyaḥ paribhavet tatrāpi sukham āsīta śamayan vāstvṛtāvṛtau
2.6.4	etaddhaumyasya vacanam asitasya turaṅgasya ca muneḥ kāvyasya dālbhyasya
2.6.5	naitad vidvān parābhavet
2.7.1	śvagrahaprāyaścittam
2.7.2	śvopaspṛṣṭe tad yajñopavītaṃ kṛtvāpa ācamyānāprītena śarāveṇānusrotasam udakam āhṛtyātha sabhāyāṃ madhye 'dhidevanam uddhatyāvokṣyākṣān nyupyākṣeṣu hiraṇyaṃ nidhāyopariṣṭāt sabhāyāṃ vyūhya tṛṇāni tena kumāram anvavahṛtyākṣeṣūttānaṃ nipātya dadhnā lavaṇodakamiśreṇābhyukṣya japati
2.7.3	āghnanti kaṃsaṃ dakṣiṇataḥ
2.7.4	kurkuraḥ sukurkuraḥ kurkuro bālabandhanaḥ / upariṣṭād yadejāya tṛtīyasyām ito divi / aulaba it tam upāhvayāthārjīcchyāmaḥ śabalaḥ / adhorāma ulumbalaḥ sārameyo ha dhāvati samudram iva cākaśat / bibhran niṣkaṃ ca rukmaṃ ca śunām agraṃ subīriṇaḥ / subīriṇa sṛja sṛjaikavrātya śunaka sṛja chat / tat satyaṃ yat tvendro 'bravīd gā spāśayasveti tās tvaṃ spāśayitvāgacchas taṃ tvābravīd avidahā ityavidaṃ hīti varaṃ vṛṇīṣveti kumāram evāhaṃ varaṃ vṛṇa ityabravīḥ
2.7.5	nigṛhya bāhū plavase dyām iva cākaśat / bibhran niṣkaṃ ca rukmaṃ ca śunām agraṃ subīriṇaḥ / subīriṇa sṛja sṛjaikavrātya śunaka sṛja chat / tat satyaṃ yat te saramā mātā lohitaḥ pitā / amī ye ke sarasyakā avadhāvati tṛtīyasyāmito divi / tekaś ca sasaramataṇḍulaḥ kulaśca vikulaś cārjunaś ca lohitaś ca / utsṛjemaṃ śucīmanas tvaṃ piśaṅgalohitaḥ / dulā ha nāma vo mātā maṇḍākako ha vaḥ pitā / chadapehi sīsarama sārameya namaste astu sīsara / saṃ takṣā hanti cakrī vo na sīsarīdata / chadapehi sīsarama sārameya namaste astu sīsara / samaśvā vṛṣaṇaḥ pado na sīsarīdata / śvānam cchādanna puruṣaṃ chad iti triḥ prātarmadhyaṃdine sāyam
2.7.6	agado haiva bhavatītyāha
2.7.7	tataḥ kuryād yadi nāgadaḥ syāt
2.8.1	śūlagavaṃ vyākhyāsyāmaḥ
2.8.2	āpūryamāṇapakṣe puṇye nakṣatre payasi sthālīpākaṃ śrapayitvā prācīṃ vodīcīṃ vā diśam upaniṣkramya sthaṇḍilaṃ kalpayitvāgnim upasamādhāya saṃparistīryāpareṇāgniṃ dve kuṭī kṛtvā śūlagavam āvāhayati / ā tvā vahantu harayaḥ sucetasaḥ śvetair aśvaiḥ saha ketumadbhiḥ / vātājirair mama havyāya śarvom iti
2.8.3	dakṣiṇasyāṃ śūlagavam uttarasyāṃ mīḍhuṣīṃ madhye jayantam
2.8.4	yathoḍham udakāni pradāya trīn odanān uddhṛtya yathoḍham evopasparśayaty upaspṛśatu mīḍhvān mīḍhuṣe svāhopaspṛśatu mīḍhuṣī mīḍhuṣyai svāhā jayantopaspṛśa jayantāya svāheti
2.8.5	śūlagavasyāgnim abhyudāhṛtya juhoti bhavāya devāya svāhā śarvāya devāya svāheśānāya devāya svāhogrāya devāya svāhā bhīmāya devāya svāhā rudrāya devāya svāhā paśupataye devāya svāhā mahate devāya svāheti
2.9.1	patny odanasya patnībhyo juhoti bhavasya devasya patnyai svāhā śarvasya devasya patnyai svāheśānasya devasya patnyai svāhograsya devasya patnyai svāhā bhīmasya devasya patnyai svāhā rudrasya devasya patnyai svāhā paśupater devasya patnyai svāhā mahato devasya patnyai svāheti
2.9.2	jayantāya svāheti madhyamasya juhoti
2.9.3	sarveṣām odanānāṃ sakṛt sakṛt samavadāyābhighārya juhoty agnaye sviṣṭakṛte svāheti
2.9.4	athopatiṣṭhate svasti naḥ pūrṇamukhaḥ parikrāmatv iti
2.9.5	athātaḥ parṇavihāraḥ
2.9.6	gṛhapopaspṛśa gṛhapāya svāhā gṛhapy upaspṛśa gṛhapyai svāhā jayantopaspṛśa jayantāya svāheti ṣaṭ palāśāni
2.9.7	athāparāṇi ghoṣiṇa upaspṛśata ghoṣibhyaḥ svāhā śvāsina upaspṛśata śvāsibhyaḥ svāhā vicinvanta upaspṛśata vicinvadbhyaḥ svāhā pracinvanta upaspṛśata pracinvadbhyaḥ svāhā samaśnanta upaspṛśata samaśnadbhyaḥ svāheti daśa
2.9.8	athāparāṇi devasenā upaspṛśata devasenābhyaḥ svāheti daśaiva
2.9.9	athāparāṇi yā ākhyātā devasenā yāś cānākhyātāś ca tā upaspṛśata tābhyaḥ svāheti daśaiva
2.10.1	athāparāṇi dvārapopaspṛśa dvārapāya svāhā dvārapy upaspṛśa dvārapyai svāheti catvāri
2.10.2	atha parṇapuṭaṃ kṛtvā tasminn upastīrṇābhighāritam odanapiṇḍaṃ samavadāya parogoṣṭhe vṛkṣa āsajati niṣaṅgiṇa upaspṛśata niṣaṅgibhyaḥ svāheti
2.10.3	athopatiṣṭhate namo niṣaṅgiṇa iṣudhimata iti
2.10.4	apratīkṣam etyāthānvāsāribhyo juhoty anvāsāriṇa upaspṛśatānvāsāribhyaḥ svāheti dve palāśe
2.10.5	athopatiṣṭhate namas te rudra manyava ity etair ekādaśabhir anuvākaiḥ prathamottamābhyāṃ vā
2.10.6	abhita etam agniṃ gā sthāpayati yathā dhūmam ājighreyur iti
2.10.7	ājyaśeṣam odanaśeṣam udakumbhaśeṣam ity ekadhā samavanīyodumbaraśākhayā pradakṣiṇaṃ gās triḥ prokṣati śivaṃ gobhyaḥ śivaṃ gopataya iti
2.10.8	ṛṣabhasya pṛṣṭhe śeṣaṃ ninayaty etaṃ yuvānam ity etābhiḥ pañcabhiḥ
2.10.9	athātaḥ kṣaitrapatyasya gavāṃ mārge 'nagnau kṣetrasya patiṃ yajate kṣetrasya pataye svāheti caturṣu saptasu vā palāśeṣu
2.10.10	taṃ tathāvāhayati yathā śūlagavam
2.10.11	tūrṇaṃ yajate
2.10.12	pāko devaḥ
2.10.13	upatiṣṭhate kṣetrasya patinā vayam iti dvābhyām
2.10.14	athainaṃ kṣaitrapatyaṃ ye sanābhayo bhavanti te prāśnanti yathā vaiṣāṃ kuladharmo bhavati
2.11.1	amāvāsyāyām aparāhṇe māsiśrāddham aparapakṣasya vāyukṣv ahaḥsu
