#Text:Khādiragṛhyasūtra
#Edition:Sastri 1913 (DCS version)



1.1.1	athāto gṛhyā karmāṇi
3.3.24	samāptāyāṃ dakṣiṇaiḥ pārśvaiḥ saṃviśeyus tristrirabhyātmamāvṛtya
3.3.25	svastyayanāni kuryuḥ
3.3.26	tato yathārthaṃ syāt
3.3.27	ūrdhvam āgrahāyaṇyās tisrastāmisrāṣṭamyo 'ṣṭakā ityācakṣate
3.3.28	tāsu sthālīpākāḥ
3.3.29	aṣṭau cāpūpāḥ prathamāyām
3.3.30	tān aparivartayan kapāle śrapayet
3.3.31	uttamāyāṃ śākamanvāhārye
3.3.32	aṣṭakāyai svāheti juhuyāt
3.4.1	madhyamāyāṃ gauḥ
3.4.2	tāṃ purastādagneḥ pratyaṅmukhīmavasthāpya juhuyād yatpaśava iti
3.4.3	hutvā cānumantrayetānu tveti
3.4.4	yavamatībhir adbhiḥ prokṣed aṣṭakāyai tvā juṣṭaṃ prokṣāmīti
3.4.5	prokṣyolmukena parihṛtya prokṣaṇīḥ pāyayet
3.4.6	udaṅṅutsṛpya pratyakchirasam udakpādīṃ saṃjñapayet
3.4.7	saṃjñaptāyāṃ juhuyād yatpaśuriti
3.4.8	tasyāḥ patnī srotāṃsi prakṣālayet
3.4.9	pavitre antardhāyotkṛtya vapāmuddhārayet
3.4.10	yajñiyasya vṛkṣasya viśākhāśākhābhyāṃ parigṛhyāgnau śrapayet
3.4.11	prasṛtāyāṃ viśaset
3.4.12	uktamupastaraṇābhighāraṇaṃ yathā sviṣṭakṛtaḥ
3.4.13	aṣṭakāyai svāheti juhuyāt
3.4.14	sarvāṅgebhyo 'vadānānyuddhārayet
3.4.15	na savyātsakthnaḥ
3.4.16	na klomnaḥ
3.4.17	savyaṃ sakthi nidhāya
3.4.18	pṛthaṅmekṣaṇābhyāmavadānāni sthālīpākaṃ ca śrapayitvā
3.4.19	kaṃse rasaṃ prasrāvya
3.4.20	plakṣaśākhāsvavadānāni kṛtvā
3.4.21	ekaikasmāt kaṃse 'vadyet
3.4.22	sthālīpākācca
3.4.23	caturgṛhītamaṣṭagṛhītaṃ vātra juhuyād agnāviti
3.4.24	kaṃsātparābhir dvābhyāṃ dvābhyām ekaikāmāhutim
3.4.25	sauviṣṭakṛtamaṣṭamyā
3.4.26	vaha vapāmiti pitrye vapāhomaḥ
3.4.27	jātaveda iti daivatye
3.4.28	tadādeśam anājñāte
3.4.29	yathāṣṭakāyā iti
3.4.30	paśureva paśordakṣiṇā
3.4.31	sthālīpākasya pūrṇapātram
3.5.1	navamīṃ daśamīṃ vānvaṣṭakyam
3.5.2	dakṣiṇapūrvabhāge parivārya tatrottarārdhe mathitvāgniṃ praṇayet
3.5.3	sakṛdgṛhītān vrīhīn sakṛt phalīkṛtān prasavyam udāyuvaṃ śrapayet
3.5.4	amuṣmācca sakthno māṃsamiti
3.5.5	dakṣiṇodvāsya na pratyabhighārayet
3.5.6	paścādagnerdakṣiṇatastisraḥ karṣūḥ khanyāccaturaṅgulam adhastiryak
3.5.7	tāsāṃ purastādagniṃ praṇayet
3.5.8	stṛṇuyāt
3.5.9	karṣūśca
3.5.10	paścādagneḥ svastaraṃ dakṣiṇāgraistṛṇairdakṣiṇāpravaṇamāstīrya bṛsīm upari nidadhyāt
3.5.11	tasminnekaikamāharet
3.5.12	kaṃse samavadāya mekṣaṇenopaghātaṃ juhuyāt svāhā somāya pitṛmate svāhāgnaye kavyavāhanāyeti
3.5.13	savyenolmukaṃ dakṣiṇataḥ karṣūṣu nidadhyād apahatā iti
3.5.14	pūrvasyāṃ karṣvāṃ pituḥ
3.5.15	madhyamāyāṃ pitāmahasyottamāyāṃ prapitāmahasya
3.5.16	udapātrāṇyapasalavi karṣūṣu ninayedekaikasya nāmoktvāsāv avanenikṣva ye cātra tvānu yāṃśca tvamanu tasmai te svadheti
3.5.17	tathaiva piṇḍānnidhāya japed atra pitaro mādayadhvaṃ yathābhāgamāvṛṣāyadhvamiti
3.5.18	uktvodaṅṅāvarteta savyaṃ bāhumupasaṃhṛtya prasavyamāvṛtya
3.5.19	upatāmya kalyāṇaṃ dhyāyannabhiparyāvartamāno japet amīmadanta pitaro yathābhāgamāvṛṣāyiṣateti
3.5.20	tisro darbhapiñjūlīrañjane nighṛṣya karṣūṣu nidadhyādyathāpiṇḍam
3.5.21	tailaṃ surabhi ca
3.5.22	piṇḍaprabhṛti yathārtham ūhet
3.5.23	atha nihnavanam
3.5.24	pūrvasyāṃ karṣvāṃ dakṣiṇottānau pāṇī kṛtvā namo vaḥ jīvāya namo vaḥ pitaraḥ śūṣāyeti
3.5.25	savyottānau madhyamāyāṃ namo vaḥ pitaro ghorāya namo vaḥ pitaro rasāyeti
3.5.26	dakṣiṇottānau paścimāyāṃ namo vaḥ pitaraḥ svadhāyai namo vaḥ pitaro manyava iti
3.5.27	añjaliṃ kṛtvā namo va iti
3.5.28	sūtratantūn karṣūṣu nidadhyādyathāpiṇḍam etadva iti
3.5.29	ūrjaṃ vahantīr iti karṣūranumantrayeta
3.5.30	madhyamaṃ piṇḍaṃ putrakāmāṃ prāśayed ādhatteti
3.5.31	abhūnno dūta ityulmukamagnau prakṣipet
3.5.32	dvaṃdvaṃ pātrāṇyatihareyuḥ
3.5.33	eṣa eva piṇḍapitṛyajñakalpaḥ
3.5.34	gṛhye 'gnau haviḥ śrapayet
3.5.35	tata evātipraṇayet
3.5.36	ekā karṣūḥ
3.5.37	na svastaraḥ
3.5.38	indrāṇyā sthālīpākasyaikāṣṭaketi juhuyāt
4.1.1	kāmyeṣu ṣaḍbhaktāni trīṇi vā nāśnīyāt
4.1.2	nityaprayuktānām āditaḥ
4.1.3	upariṣṭātsānnipātike
4.1.4	evaṃ yajanīyaprayogeṣu
4.1.5	ardhamāsavratī
4.1.6	aśaktau peyamekaṃ kālam
4.1.7	araṇye prapadaṃ japedāsīnaḥ prāgagreṣu
4.1.8	evaṃ brahmavarcasakāmaḥ
4.1.9	yathoktaṃ paśukāmaḥ
4.1.10	sahasrabāhuriti paśusvastyayanakāmo vrīhiyavau juhuyāt
4.1.11	yenecchetsahakāraṃ kautomatenāsya mahāvṛkṣaphalāni parijapya dadyāt
4.1.12	ardhamāsavratī paurṇamāsyāṃ rātrau nābhimātraṃ pragāhyāvidāsini hrade 'kṣatataṇḍulānāsyena juhuyād udake vṛkṣa iveti pañcabhiḥ pārthivaṃ karma
4.1.13	prathamayādityam upatiṣṭhedbhogakāmo 'rthapatau prekṣamāṇe
4.1.14	dvitīyayākṣatataṇḍulānāditye pariviṣyamāṇe bṛhatpattrasvastyayanakāmaḥ
4.1.15	tṛtīyayā candramasi tilataṇḍulān kṣudrapaśusvastyayanakāmaḥ
4.1.16	caturthyādityam upasthāya gurumartham abhyuttiṣṭhet
4.1.17	pañcamyādityam upasthāya gṛhāneyāt
4.1.18	anakāmamāraṃ nityaṃ japet bhūriti
4.1.19	yajanīye juhuyān mūrdhno 'dhi ma iti ṣaḍbhir vāmadevyargbhir mahāvyāhṛtibhiḥ prājāpatyayā ca
4.1.20	alakṣmīnirṇodaḥ
4.1.21	akṣeme pathyapehīti japet parāhṇeṣu
4.1.22	yaśo 'ham ityādityam upatiṣṭhed yaśaskāmaḥ pūrvāhnamadhyandināparāhṇeṣu
4.1.23	prātarahṇasyeti yathārtham ūhet
4.1.24	āditya nāvam iti sandhyopasthānaṃ svastyayanam
4.1.25	udyantaṃ tveti pūrvāṃ pratitiṣṭhantaṃ tveti paścimām
4.2.1	ardhamāsavratī tāmisrādau brāhmaṇānāśayet vrīhikaṃsaudanam
4.2.2	tasya kaṇānaparāsu sandhyāsu pratyaggrāmāt sthaṇḍilamupalipya bhalāyeti juhuyādbhallāyeti ca
4.2.3	evamevāparasmiṃstāmisrādau
4.2.4	brahmacaryam ā samāpteḥ
4.2.5	ācitaśataṃ bhavati
4.2.6	gaure bhūmibhāge brāhmaṇo lohite kṣatriyaḥ kṛṣṇe vaiśyo 'vasānaṃ joṣayet samaṃ lomaśam aniriṇam aśuṣkam
4.2.7	yatrodakaṃ pratyagudīcīṃ pravarteta
4.2.8	akṣīriṇaḥ kaṇṭakinaḥ kaṭukāścātrauṣadhayo na syuḥ
4.2.9	darbhasaṃmitaṃ brahmavarcasyam
4.2.10	bṛhattṛṇairbalyam
4.2.11	mṛdutṛṇaiḥ paśavyam
4.2.12	yatra vā svayaṃ kṛtāḥ śvabhrāḥ sarvato 'bhimukhāḥ syuḥ
4.2.13	prāgdvāraṃ dhanyaṃ yaśasyaṃ codagdvāraṃ putryaṃ paśavyaṃ ca dakṣiṇāpaścimadvāre sarve kāmā anudvāraṃ gehadvāram
4.2.14	asaṃlokī syāt
4.2.15	payaso haviḥ
4.2.16	kṛṣṇā ca gauḥ
4.2.17	ajo vā śvetaḥ pāyasa eva vā
4.2.18	madhye veśmano vasāṃ pāyasaṃ cājyena miśramaṣṭagṛhītaṃ juhuyād vāstoṣpata iti
4.2.19	yāśca parāḥ
4.2.20	saptālakṣmīnirṇode tābhiśca
4.2.21	hutvā diśāṃ balīn nayet
4.2.22	avāntaradiśāṃ cordhvāvācibhyāṃ ca
4.2.23	evaṃ saṃvatsare saṃvatsare navayajñayorvā
4.2.24	vaśaṃgamāvityetābhyāmāhutī juhuyādyamicchedvaśamāyāntaṃ tasya nāma gṛhītvāsāv iti vaśī hāsya bhavati
4.3.1	ardhamāsavratī paurṇamāsyāṃ rātrau śaṅkuśataṃ juhuyād ekākṣaryayāyasānvayakāmaḥ
4.3.2	khādirānāyuṣkāmo 'thāparam
4.3.3	prāṅvodaṅvā grāmānniṣkramya sthaṇḍilaṃ samūhya parvate vāraṇyair gomayais tāpayitvāṅgārān apohyāsyena juhuyāt
4.3.4	dvādaśa grāmā jvalite
4.3.5	tryavarā dhūme
4.3.6	kambūkān sāyaṃ prātar juhuyān nāsya vṛttiḥ kṣīyate
4.3.7	idamahamimamiti paṇyahomaṃ juhuyāt
4.3.8	pūrṇahomaṃ yajanīye juhuyāt
4.3.9	indrāmavadād iti sahāyakāmaḥ
4.3.10	aṣṭarātropoṣitaḥ prāṅvodaṅvā grāmāccatuṣpathe samidhyāgnim audumbara idhmaḥ syāt sruvacamasau ca juhuyād annaṃ vā iti śrīrvā iti
4.3.11	grāme tṛtīyām annasyeti
4.3.12	ādhipatyaṃ prāpnoti
4.3.13	upatāpinīṣu goṣṭhe pāyasaṃ juhuyāt
4.3.14	akṣeme pathi vastradaśānāṃ granthīnkuryāt sahāyināṃ ca svastyayanāni
4.3.15	kṣudhe svāhety etābhyām āhutisahasraṃ juhuyādācitasahasrakāmaḥ
4.3.16	vatsamithunayoḥ purīṣeṇa paśukāmo 'vimithunayoḥ kṣudrapaśukāmaḥ
4.3.17	haritagomayena sāyaṃ prātar juhuyān nāsya vṛttiḥ kṣīyate
4.4.1	viṣavatā daṣṭam adbhir abhyukṣan japen mā bhaiṣīriti
4.4.2	snātakaḥ saṃviśan vaiṇavaṃ daṇḍamupanidadhyāt tura gopāyeti svastyayanam
4.4.3	hatasta iti krimivantaṃ deśam adbhir abhyukṣan japet
4.4.4	paśūnāṃ ced aparāhne sītāloṣṭamāhṛtya tasya prātaḥ pāṃsubhiḥ pratiṣkiran japet
4.4.5	madhuparkaṃ pratigṛhīṣyann idamahamimāmiti pratitiṣṭhan japet
4.4.6	arhayatsu vā
4.4.7	viṣṭarapādyārghyācamanīyamadhuparkāṇāmekaikaṃ trirvedayante
4.4.8	gāṃ ca
4.4.9	udañcaṃ viṣṭaramāstīrya yā oṣadhīr ityadhyāsīta
4.4.10	pādayordvitīyayā dvau cet
4.4.11	apaḥ paśyet yato devīriti
4.4.12	savyaṃ pādamavasiñcet savyamiti
4.4.13	dakṣiṇaṃ dakṣiṇamiti
4.4.14	ubhau śeṣeṇa
4.4.15	annasya rāṣṭrirasīty arghyaṃ pratigṛhṇīyāt
4.4.16	yaśo 'sīty ācamanīyam
4.4.17	yaśaso yaśo 'sīti madhuparkam
4.4.18	triḥ pibed yaśaso mahasaḥ śriyā iti
4.4.19	tūṣṇīṃ caturtham
4.4.20	bhūyo 'pipāya brāhmaṇāyocchiṣṭaṃ dadyāt
4.4.21	gāṃ veditāmanumantrayeta muñca gām ity amuṣya cety arhayitur nāma brūyāt
4.4.22	evam ayajñe
4.4.23	kuruteti yajñe
4.4.24	ācārya ṛtvik snātako rājā vivāhyaḥ priya iti ṣaḍarghyāḥ
4.4.25	pratisaṃvatsarān arhayet
4.4.26	punaryajñavivāhayośca punaryajñavivāhayośca
