#Text:Kauśikasūtra
#Edition:Bloomfield (DCS version)



1.1.1	atha vidhiṃ vakṣyāmaḥ
4.4.20	sayave cottareṇa yavaṃ badhnāti
4.5.1	dadir hīti takṣakāyetyuktam
4.5.2	dvitīyayā grahaṇī
4.5.3	savyaṃ parikrāmati
4.5.4	śikhāsici stambān udgrathnāti
4.5.5	tṛtīyayā prasarjanī
4.5.6	caturthyā dakṣiṇam iti daṃśma tṛṇaiḥ prakarṣyāhim abhinirasyati
4.5.7	yato daṣṭaḥ
4.5.8	pañcamyā valīkapalalajvālena
4.5.9	ṣaṣṭhyārtnījyāpāśena
4.5.10	dvābhyāṃ madhūdvāpān pāyayati
4.5.11	navamyā śvāvitpurīṣam
4.5.12	triḥśuklayā māṃsaṃ prāśayati
4.5.13	daśamyālābunācamayati
4.5.14	ekādaśyā nābhiṃ badhnāti
4.5.15	madhulāvṛṣaliṅgābhiḥ khalatulaparṇīṃ saṃkṣudya madhumanthe pāyayati
4.5.16	uttarābhir bhuṅkte
4.5.17	dvāraṃ sṛjati
4.5.18	agnis takmānam iti lājān pāyayati
4.5.19	dāve lohitapātreṇa mūrdhni saṃpātān ānayati
4.5.20	ote ma iti karīramūlaṃ kāṇḍenaikadeśam
4.5.21	grāmāt pāṃsūn
4.5.22	paścād agner mātur upasthe musalabudhnena navanītānvaktena triḥ pratīhāraṃ tālūni tāpayati
4.5.23	śigrubhir navanītamiśraiḥ pradegdhi
4.5.24	ekaviṃśatim uśīrāṇi bhinadmīti mantroktam
4.5.25	uśīrāṇi prayacchati
4.5.26	ekaviṃśatyā sahāplāvayati
4.5.27	ā yaṃ viśantīti vayoniveśanaśṛtaṃ kṣīraudanam aśnāti
4.5.28	pari dyām iveti madhuśībhaṃ pāyayati
4.5.29	japañca
4.5.30	asthisraṃsam iti śakalenāpsviṭe saṃpātavatāvasiñcati
4.6.1	ābaya iti sārṣapaṃ tailasaṃpātaṃ badhnāti
4.6.2	kāṇḍaṃ pralipya
4.6.3	pṛktaṃ śākaṃ prayacchati
4.6.4	catvāri śākaphalāni prayacchati
4.6.5	kṣīraleham āṅkte
4.6.6	aśnāti
4.6.7	agner ivetyuktaṃ dāve
4.6.8	imā yās tisra iti vṛkṣabhūmau jātā jvālenāvasiñcati
4.6.9	śīrṣaphāṇṭākṣaiḥ
4.6.10	nikaṭābhyām
4.6.11	kṛṣṇaṃ niyānam ityoṣadhyābhiścotayate
4.6.12	mārutānām apyayaḥ
4.6.13	himavata iti syandamānā anvīpam āhārya valīkaiḥ
4.6.14	pañca ca yā iti pañca pañcāśataṃ paraśuparṇān kāṣṭhair ādīpayati
4.6.15	kapāle praśṛtaṃ kāṣṭhenālimpati
4.6.16	kiṃstyaśvajāmbīlodakarakṣikāmaśakādībhyāṃ daṃśayati
4.6.17	niśy ava mā pāpman iti titauni pūlyānyavasicyāpavidhya
4.6.18	aparedyuḥ sahasrākṣāyāpsu balīṃstrīn puroḍāśasaṃvartāṃścatuṣpathe 'vakṣipyāvakirati
4.7.1	yas te mada iti śamīlūnapāpalakṣaṇayoḥ śamīśamyākenābhyudya vāpayati
4.7.2	adhiśiraḥ
4.7.3	antardāva iti samantam agneḥ karṣvām uṣṇapūrṇāyāṃ japaṃstriḥ parikramya puroḍāśaṃ juhoti
4.7.4	prāgnaye preta upadadhīta
4.7.5	vaiśvānarībhyāṃ pāyanāni
4.7.6	asthād dyaur ity apavātāyāḥ svayaṃsrastena gośṛṅgeṇa saṃpātavatā japan
4.7.7	yāṃ te rudreti śūline śūlam
4.7.8	ut sūrya iti śamībimbaśīrṇaparṇyāvadhi
4.7.9	dyauś ca ma ity abhyajyāvamārṣṭi
4.7.10	sthūṇāyāṃ nikarṣati
4.7.11	idam id vā ity akṣataṃ mūtraphenenābhyudya
4.7.12	prakṣipati
4.7.13	prakṣālayati
4.7.14	dantarajasāvadegdhi
4.7.15	stambarajasā
4.7.16	apacita ā susrasa iti kiṃstyādīni
4.7.17	lohitalavaṇaṃ saṃkṣudyābhiniṣṭhīvati
4.7.18	antarikṣeṇeti pakṣahataṃ mantroktaṃ caṅkramayā
4.7.19	kīṭena dhūpayati
4.7.20	glaur ity akṣatena
4.7.21	vīhi svām ity ajñātāruḥ śāntyudakena saṃprokṣya manasā saṃpātavatā
4.7.22	yā oṣadhaya iti mantroktasyauṣadhībhir dhūpayati
4.7.23	madhūdaśvit pāyayati
4.7.24	kṣīrodaśvit
4.7.25	ubhayaṃ ca
4.7.26	devā adur iti valmīkena bandhanapāyanācamanapradehanam uṣṇeṇa
4.7.27	yathā mano 'va diva ity ariṣṭena
4.7.28	devī devyāṃ yāṃ jamadagnir iti mantroktāphalaṃ jīvyalākābhyām amāvāsyāyāṃ kṛṣṇavasanaḥ kṛṣṇabhakṣaḥ purā kākasaṃpātād avanakṣatre 'vasiñcati
4.8.1	yas te stana iti jambhagṛhītāya stanaṃ prayacchati
4.8.2	priyaṅgutaṇḍulān abhyavadugdhān pāyayati
4.8.3	agnāviṣṇū somārudrā sinīvāli vi te muñcāmi śumbhanīti mauñjaiḥ parvasu baddhvā piñjūlībhir āplāvayati
4.8.4	avasiñcati
4.8.5	tiraścirājer iti mantroktam
4.8.6	ākṛtiloṣṭavalmīkau parilikhya
4.8.7	pāyanāni
4.8.8	apacitām iti vaiṇavena dārbhyūṣeṇa kṛṣṇorṇājyena kālabundai stukāgrair iti mantroktam
4.8.9	caturthyābhinidhāyābhividhyati
4.8.10	jyāstukājvālena
4.8.11	yaḥ kīkasā iti piśīlavīṇātantrīṃ badhnāti
4.8.12	tantryā kṣitikām
4.8.13	vīriṇavadhrīṃ svayaṃmlānaṃ triḥ samasya
4.8.14	apsu ta iti vahantyor madhye vimite piñjūlībhir āplāvayati
4.8.15	avasiñcati
4.8.16	uṣṇāḥ saṃpātavatīr asaṃpātāḥ
4.8.17	namo rūrāyeti śakunīniveṣīkāñjimaṇḍūkaṃ nīlalohitābhyāṃ sūtrābhyāṃ sakakṣaṃ baddhvā
4.8.18	śīrṣaktim ity abhimṛśati
4.8.19	uttamābhyām ādityam upatiṣṭhate
4.8.20	indrasya prathama iti takṣakāyety uktam
4.8.21	paidvaṃ prakarṣya dakṣiṇenāṅguṣṭhena dakṣiṇasyāṃ nastaḥ
4.8.22	ahibhaye sicyavagūhayati
4.8.23	aṅgād aṅgād ity ā prapadāt
4.8.24	daṃśmottamayā nitāpyāhim abhinirasyati
4.8.25	yato daṣṭaḥ
4.8.26	oṣadhivanaspatīnām anūktāny apratiṣiddhāni bhaiṣajyānām
4.8.27	aṃholiṅgābhiḥ
4.8.28	pūrvasya putrakāmāvatokayor udakānte śāntā adhiśiro 'vasiñcati
4.8.29	āvrajitāyai puroḍāśapramandālaṃkārān saṃpātavataḥ prayacchati
4.9.1	vaṣaṭ te pūṣann iti catura udapātre saṃpātān ānīya caturo muñjān mūrdhni vibṛhati prācaḥ
4.9.2	pratīcīr iṣīkāḥ
4.9.3	chidyamānāsu saṃśayaḥ
4.9.4	uṣṇenāplāvayati dakṣiṇāt keśastukāt
4.9.5	śālān granthīn vicṛtati
4.9.6	ubhayataḥ pāśaṃ yoktram ābadhnāti
4.9.7	yadi somasyāsi rājñaḥ somāt tvā rājño 'dhikrīṇāmi yadi varuṇasyāsi rājño varuṇāt tvā rājño 'dhikrīṇāmīty ekaviṃśatyā yavaiḥ srajaṃ parikirati
4.9.8	anyā vo anyām avatv anyānyasyā upāvata sadhrīcīḥ savratā bhūtvāsyā avata vīryam iti saṃnayati
4.9.9	mā te riṣan khanitā yasmai ca tvā khanāmasi / dvipāccatuṣpād asmākaṃ mā riṣad devy oṣadhe / srajo nāmāsi prajāpatiṣṭvām akhanad ātmane śalyasraṃsanam / tāṃ tvā vayaṃ khanāmasy amuṣmai tvā śalyasraṃsanam ity astamite chattreṇa vāntardhāya phālena khanati
4.9.10	atra tava rādhyatām ity agram avadadhāti
4.9.11	iha mameti mūlam upayacchati
4.9.12	ekasare 'nupalīḍhe kumāraḥ
4.9.13	darbheṇa pariveṣṭya keśeṣūpacṛtati
4.9.14	evaṃ ha vibṛhaśākavṛṣe
4.9.15	avapanne jarāyuṇyupoddharanti
4.9.16	srajenauṣadhikhananaṃ vyākhyātam
4.9.17	catvāryumāphalāni pāṇāv adbhiḥ ścotayate
4.9.18	saṃvartamāneṣu kumāraḥ
4.9.19	brāhmaṇāyano 'ṅgānyabhimṛśati
4.9.20	puṃnāmadheye kumāraḥ
4.10.1	idaṃ janāsa ity asyai śiṃśapāśākhāsūdakānte śāntā adhiśiro 'vasiñcati
4.10.2	āvrajitāyai
4.10.3	nissālām ity avatokāyai kṛṣṇavasanāyai triṣu vimiteṣu prāgdvārapratyagdvāreṣv apsu saṃpātān ānayati
4.10.4	palāśe sīseṣūttarān
4.10.5	sīsānyadhiṣṭhāpyāplāvayati
4.10.6	nidhāya kṛṣṇaṃ vrajati
4.10.7	ādīpya brahmā
4.10.8	evaṃ pūrvayoḥ pṛthaksaṃbhārye
4.10.9	śākhāsūktam
4.10.10	paścād agner abhitaḥ kāṇḍe iṣīke nidhāyādhyadhi dhāyine audumbarīr ādhāpayati
4.10.11	uttamāvrajitāyai
4.10.12	pativedanāni
4.10.13	ā no agna ity āgamakṛśaram āśayati
4.10.14	mṛgākharād vedyāṃ mantroktāni saṃpātavanti dvāre prayacchati
4.10.15	udakaṃse vrīhiyavau jāmyai niśi hutvā dakṣiṇena prakrāmati
4.10.16	paścād agneḥ prakṣālya saṃdhāvya saṃpātavatīṃ bhagasya nāvam iti mantroktam
4.10.17	saptadāmnyāṃ saṃpātavatyāṃ vatsān pratyantān pracṛtantī vahati
4.10.18	ahatena saṃpātavatā ṛṣabham abhyasyati
4.10.19	udardayati yāṃ diśam
4.10.20	jāmyai pra yad eta ity āgamakṛśaram
4.10.21	imā brahmeti svasre
4.10.22	ayam āyātīti purā kākasaṃpātād aryamṇe juhoti
4.10.23	antaḥsraktiṣu balīn haranti
4.10.24	āpatanti yataḥ
4.11.1	puṃsavanāni
4.11.2	rajaudvāsāyāḥ puṃnakṣatre
4.11.3	yena vehad iti bāṇaṃ mūrdhni vibṛhati badhnāti
4.11.4	phālacamase sarūpavatsāyā dugdhe vrīhiyavāvavadhāya mūrchayitvādhyaṇḍe bṛhatīpalāśavidaryau vā pratinīya paidvam iva
4.11.5	parvatād diva ity āgamakṛśaram āśayati
4.11.6	yugatardmanā saṃpātavantaṃ dvitīyam
4.11.7	khe lūnāṃśca palāśatsarūn nivṛtte nighṛṣyādhāya śiśne grāmaṃ praviśati
4.11.8	śamīm aśvattha iti mantrokte 'gniṃ mathitvā puṃsyāḥ sarpiṣi paidvam iva
4.11.9	madhumanthe pāyayati
4.11.10	kṛṣṇorṇābhiḥ pariveṣṭya badhnāti
4.11.11	yantāsīti mantroktaṃ badhnāti
4.11.12	ṛdhaṅmantra ity ekā yatheyaṃ pṛthivy acyuteti garbhadṛṃhaṇāni
4.11.13	jambhagṛhītāya prathamāvarjaṃ jyāṃ trir udgrathya badhnāti
4.11.14	loṣṭān anvṛcaṃ prāśayati
4.11.15	śyāmasikatābhiḥ śayanaṃ parikirati
4.11.16	yām icched vīraṃ janayed iti dhātṛvyābhir udaram abhimantrayate
4.11.17	prajāpatir iti prajākāmāyā upasthe juhoti
4.11.18	lohitājāpiśitānyāśayati
4.11.19	prapāntāni
4.11.20	yau te māteti mantroktau badhnāti
4.11.21	yathedaṃ bhūmyā adhi yathā vṛkṣaṃ vāñcha me yathāyaṃ vāha iti saṃspṛṣṭayor vṛkṣalibujayoḥ śakalāvantareṣusthakarāñjanakuṣṭhamadughareṣmamathitatṛṇam ājyena saṃnīya saṃspṛśati
4.11.22	uttudas tvety aṅgulyopanudati
4.11.23	ekaviṃśatiṃ prācīnakaṇṭakān alaṃkṛtān anūktān ādadhāti
4.11.24	kūdīprāntāni sasūtrāṇi
4.11.25	navanītānvaktaṃ kuṣṭhaṃ trir ahnaḥ pratapati trirātre
4.11.26	dīrghotpale 'vagṛhya saṃviśati
4.11.27	uṣṇodakaṃ tripāde pattaḥ prabadhyāṅguṣṭhābhyām ardayañśete
4.11.28	pratikṛtim āvalekhanīṃ dārbhyūṣeṇa bhāṅgajyena kaṇṭakaśalyayolūkapattrayāsitālakāṇḍayā hṛdaye vidhyati
4.12.1	sahasraśṛṅga iti svāpanam
4.12.2	udapātreṇa saṃpātavatā śālāṃ saṃprokṣyāparasmin dvārapakṣe nyubjati
4.12.3	evaṃ nagnaḥ
4.12.4	ulūkhalam uttarāṃ sraktiṃ dakṣiṇaśayanapādaṃ tantūn abhimantrayate
4.12.5	asthād dyaur iti niveṣṭanam
4.12.6	āveṣṭanena vaṃśāgram avabadhya madhyamāyāṃ badhnāti
4.12.7	śayanapādam utpale ca
4.12.8	ākṛṣṭe ca
4.12.9	ākarṣeṇa tilāñjuhoti
4.12.10	idaṃ yat preṇya iti śiraḥkarṇam abhimantrayate
4.12.11	keśān dhārayati
4.12.12	bhagena mā nyastikedaṃ khanāmīti sauvarcalam oṣadhivacchuklaprasūnaṃ śirasyupacṛtya grāmaṃ praviśati
4.12.13	rathajitām iti māṣasmarān nivapati
4.12.14	śarabhṛṣṭīr ādīptāḥ pratidiśam abhyasyatyarvācyā āvalekhanyāḥ
4.12.15	bhagam asyā varca iti mālāniṣpramandadantadhāvanakeśam īśānahatāyā anustaraṇyā vā kośam ulūkhaladaraṇe triśile nikhanati
4.12.16	mālām upamathyānvāha
4.12.17	trīṇi keśamaṇḍalāni kṛṣṇasūtrena vigrathya triśile 'śmottarāṇi vyatyāsam
4.12.18	athāsyai bhagam utkhanati yaṃ te bhagaṃ nicakhnus triśile yaṃ catuḥśile idaṃ tam utkhanāmi prajayā ca dhanena ceti
4.12.19	imāṃ khanāmīti bāṇāparṇīṃ lohitājāyā drapsena saṃnīya śayanam anuparikirati
4.12.20	abhi te 'dhām ity adhastāt palāśam upacṛtati
4.12.21	upa te 'dhām ity uparyupāsyati
4.12.22	kāmaṃ vineṣyamāṇo 'pāghenāsaṃkhyātāḥ śarkarāḥ parikiran vrajati
4.12.23	saṃmṛdnañjapati
4.12.24	asaṃmṛdnan
4.12.25	īrṣyāyā dhrājiṃ janād viśvajanīnāt tvāṣṭreṇāham iti pratijāpaḥ pradānābhimarśanāni
4.12.26	prathamena vakṣaṇāsu mantroktam
4.12.27	agner iveti paraśuphāṇṭam
4.12.28	ava jyām iveti dṛṣṭvāśmānam ādatte
4.12.29	dvitīyayābhinidadhāti
4.12.30	tṛtīyayābhiniṣṭhīvati
4.12.31	chāyāyāṃ sajyaṃ karoti
4.12.32	ayaṃ darbha ity oṣadhivat
4.12.33	agne jātān iti na vīraṃ janayet prānyān iti na vijāyetety aśvatarīmūtram aśmamaṇḍalābhyāṃ saṃghṛṣya bhakte 'laṃkāre
4.12.34	sīmantam anvīkṣate
4.12.35	api vṛśceti jāyāyai jāram anvāha
4.12.36	klībapade bādhakaṃ dhanur vṛścati
4.12.37	āśaye 'śmānaṃ praharati
4.12.38	tṛṣṭika iti bāṇāparṇīm
4.12.39	ā te dada iti mantroktāni saṃspṛśati
4.12.40	api cānvāhāpi cānvāha
5.1.1	ambayo yantīti kṣīraudanotkucastambapāṭāvijñānāni
5.1.2	sāṃgrāmikaṃ vedivijñānam
5.1.3	venas tad iti pañcaparveṣukumbhakamaṇḍalustambakāmpīlaśākhāyugedhmākṣeṣu pāṇyor ekaviṃśatyāṃ śarkarāsvīkṣate
5.1.4	kumbhamahatena pariveṣṭyādhāya śayane vikṛte saṃpātān atinayati
5.1.5	anatīkāśam avacchādyārajovitte kumāryau yena haretāṃ tato naṣṭam
5.1.6	evaṃ sīre sākṣe
5.1.7	loṣṭānāṃ kumārīm āha yam icchasi tam ādatsveti
5.1.8	ākṛtiloṣṭavalmīkau kalyāṇam
5.1.9	catuṣpathād bahucāriṇī
5.1.10	śmaśānānna ciraṃ jīvati
5.1.11	udakāñjaliṃ ninayety āha
5.1.12	prācīnam apakṣipantyāṃ kalyāṇam
5.2.1	jarāyuja iti durdinam āyan pratyuttiṣṭhati
5.2.2	anvṛcam udavajraiḥ
5.2.3	asyulmukakiṣkurūn ādāya
5.2.4	nagno lalāṭam unmṛjānaḥ
5.2.5	utsādya bāhyato 'ṅgārakapāle śigruśarkarā juhoti
5.2.6	kerārkāvādadhāti
5.2.7	varṣaparītaḥ pratilomakarṣitas triḥ parikramya khadāyām arkaṃ kṣipraṃ saṃvapati
5.2.8	namas te astu yas te pṛthu stanayitnur ity aśaniyuktam apādāya
5.2.9	prathamasya somadarbhakeśānīkuṣṭhalākṣāmañjiṣṭhībadaraharidraṃ bhūrjaśakalena pariveṣṭya manthaśirasyurvarāmadhye nikhanati
5.2.10	dadhi navenāśnāty ā saṃharaṇāt
5.2.11	āśāpālīyaṃ tṛtīyāvarjaṃ dṛṃhaṇāni
5.2.12	bhaumasya dṛtikarmāṇi
5.2.13	puroḍāśān aśmottarān antaḥsraktiṣu nidadhāti
5.2.14	ubhayān saṃpātavataḥ
5.2.15	sabhābhāgadhāneṣu ca
5.2.16	asaṃtāpe jyotirāyatanasyaikato 'nyaṃ śayāno bhaumaṃ japati
5.2.17	iyaṃ vīrud iti madughaṃ khādann aparājitāt pariṣadam āvrajati
5.2.18	nec chatrur iti pāṭāmūlaṃ pratiprāśitam
5.2.19	anvāha
5.2.20	badhnāti
5.2.21	mālāṃ saptapalāśīṃ dhārayati
5.2.22	ye bhakṣayanta iti pariṣadyekabhaktam anvīkṣamāṇo bhuṅkte
5.2.23	brahma jajñānam ity adhyāyān upākariṣyann abhivyāhārayati
5.2.24	prāśam ākhyāsyan
5.2.25	brahmodyaṃ vadiṣyan
5.2.26	mamāgne varca iti vibhuṅkṣyamāṇaḥ pramattarajjuṃ badhnāti
5.2.27	sabhā ca meti bhakṣayati
5.2.28	sthūṇe gṛhṇāty upatiṣṭhate
5.2.29	yad vadāmīti mantroktam
5.2.30	aham asmīty aparājitāt pariṣadam āvrajati
5.3.1	dūṣyā dūṣir asīti srāktyaṃ badhnāti
5.3.2	purastād agneḥ piśaṅgaṃ gāṃ kārayati
5.3.3	paścād agner lohitājam
5.3.4	yūṣapiśitārtham
5.3.5	mantroktāḥ
5.3.6	vāśākāmpīlasitīvārasadaṃpuṣpā avadhāya
5.3.7	dūṣyā dūṣir asi ye purastād īśānāṃ tvā samaṃ jyotir uto asy abandhukṛt suparṇas tvā yāṃ te cakrur ayaṃ pratisaro yāṃ kalpayantīti mahāśāntim āvapate
5.3.8	niśyavamucyoṣṇīṣyagrataḥ prokṣan vrajati
5.3.9	yatāyai yatāyai śāntāyai śāntivāyai bhadrāyai bhadrāvati syonāyai śagmāyai śivāyai sumaṅgali prajāvati suśīme 'haṃ vāmābhūr iti
5.3.10	abhāvād apavidhyati
5.3.11	kṛtyayāmitracakṣuṣā samīkṣan kṛtavyadhanīty avaliptaṃ kṛtyayā vidhyati
5.3.12	uktāvalekhanī
5.3.13	dūṣyā dūṣir asīti darvyā triḥ sārūpavatsenāpodakena mathitena gulphān pariṣiñcati
5.3.14	śakalenāvasicya yūṣapiśitānyāśayati
5.3.15	yaṣṭibhiścarma pinahya praiṣakṛt parikramya bandhān muñcati saṃdaṃśena
5.3.16	anyatpārśvīṃ saṃveśayati
5.3.17	śakalenoktam
5.3.18	abhyakteti navanītena mantroktam
5.3.19	darbharajjvā saṃnahyottiṣṭhaivety utthāpayati
5.3.20	savyena dīpaṃ dakṣiṇenodakālābvādāya vāgyatāḥ
5.3.21	praiṣakṛd agrataḥ
5.3.22	anāvṛtam
5.3.23	agoṣpadam
5.3.24	anudakakhātam
5.3.25	dakṣiṇāpravaṇe vā svayaṃdīrṇe vā svakṛte veriṇe 'nyāśāyāṃ vā nidadhāti
5.3.26	alābunā dīpam avasicya yathā sūrya ity āvṛtyāvrajati
5.3.27	tiṣṭhaṃstiṣṭhantīṃ mahāśāntim uccair abhinigadati
5.3.28	marmāṇi samprokṣante
5.3.29	kṛṣṇasīreṇa karṣati
5.3.30	adhi sīrebhyo daśa dakṣiṇā
5.3.31	abhicāradeśā mantreṣu vijñāyante tāni marmāṇi
5.4.1	yad adaḥ saṃprayatīr iti yenecchennadī pratipadyeteti prasiñcan vrajati
5.4.2	kāśadividhuvakavetasān niminoti
5.4.3	idaṃ va āpa iti hiraṇyam adhidadhāti
5.4.4	ayaṃ vatsa itīṣīkāñjimaṇḍūkaṃ nīlalohitābhyāṃ sakakṣaṃ baddhvā
5.4.5	ihettham ity avakayā pracchādayati
5.4.6	yatredam iti ninayati
5.4.7	mārutaṃ kṣīraudanaṃ mārutaśṛtaṃ mārutaiḥ paristīrya mārutena sruveṇa mārutenājyena varuṇāya trir juhoti
5.4.8	uktam upamanthanam
5.4.9	dadhimanthaṃ baliṃ hṛtvā saṃprokṣaṇībhyāṃ prasiñcan vrajati
5.4.10	pāṇinā vetreṇa vā pratyāhatyopari nipadyate
5.4.11	ayaṃ te yonir ity araṇyor agniṃ samāropayati
5.4.12	ātmani vā
5.4.13	upāvaroha jātavedaḥ punar devo devebhyo havyaṃ vaha prajānan ānandino modamānāḥ suvīrā indhīmahi tvā śaradāṃ śatānīty upāvarohayati
5.4.14	yāṃ tvā gandharvo akhanad vṛṣaṇas te khanitāro vṛṣā tvam asy oṣadhe vṛṣāsi vṛṣṇyāvati vṛṣaṇe tvā khanāmasīty ucchuṣmāparivyādhāv āyasena khanati
5.4.15	dugdhe phāṇṭāvadhijyam upastha ādhāya pibati
5.4.16	mayūkhe musale vāsīna ity ekārkasūtram ārkaṃ badhnāti
5.4.17	yāvadaṅgīnam ity asitaskandham asitavālena
5.4.18	ā vṛṣāyasvety ubhayam apyeti
5.5.1	samutpatantu pranabhasveti varṣakāmo dvādaśarātram anuśuṣyet
5.5.2	sarvavrata upaśrāmyati
5.5.3	maruto yajate yathā varuṇaṃ juhoti
5.5.4	oṣadhīḥ saṃpātavatīḥ praveśyābhinyubjati
5.5.5	viplāvayeta
5.5.6	śvaśiraeṭakaśiraḥkeśajaradupānaho vaṃśāgre prabadhya yodhayati
5.5.7	udapātreṇa saṃpātavatā saṃprokṣyāmapātraṃ tripāde 'śmānam avadhāyāpsu nidadhāti
5.5.8	ayaṃ te yonir ā no bhara dhītī vety artham utthāsyann upadadhīta
5.5.9	japati
5.5.10	pūrvāsvaṣāḍhāsu gartaṃ khanati
5.5.11	uttarāsu saṃcinoti
5.5.12	ādevanaṃ saṃstīrya
5.5.13	udbhindatīṃ saṃjayantīṃ yathā vṛkṣam aśanir idam ugrāyeti vāsitān akṣān nivapati
5.5.14	ambayo yanti śaṃbhumayobhū hiraṇyavarṇā yad adaḥ punantu mā sasruṣīr himavataḥ prasravanti vāyoḥ pūtaḥ pavitreṇa śaṃ ca no mayaś ca no anaḍudbhyas tvaṃ prathamaṃ mahyam āpo vaiśvānaro raśmibhir ity abhivarṣaṇāvasecanānām
5.5.15	uttamena vācaspatiliṅgābhir udyantam upatiṣṭhate
5.5.16	snāto 'hatavasano niktvāhatam ācchādayati
5.5.17	dadāti
5.5.18	yathā māṃsam iti vacanam
5.5.19	vatsaṃ saṃdhāvya gomūtreṇāvasicya triḥ pariṇīyopacṛtati
5.5.20	śiraḥkarṇam abhimantrayate
5.5.21	vātaraṃhā iti snāte 'śve saṃpātān abhyatinayati
5.5.22	palāśe cūrṇeṣūttarān
5.5.23	ācamayati
5.5.24	āplāvayati
5.5.25	cūrṇair avakirati
5.5.26	trir ekayā ceti
5.6.1	bhadrād adhīti pravatsyann upadadhīta
5.6.2	japati
5.6.3	yānaṃ saṃprokṣya vimocayati
5.6.4	dravyaṃ saṃpātavad utthāpayati
5.6.5	nirmṛjyopayacchati
5.6.6	ubhā jigyathur ity ārdrapādābhyāṃ sāṃmanasyam
5.6.7	yānena pratyañcau grāmān pratipādya prayacchati
5.6.8	āyātaḥ samidha ādāyorjaṃ bibhrad ity asaṃkalpayann etya sakṛd ādadhāti
5.6.9	ṛcaṃ sāmety anupravacanīyasya juhoti
5.6.10	yuktābhyāṃ tṛtīyām
5.6.11	ānumatīṃ caturthīm
5.6.12	samāvartanīyasamāpanīyayoścaiṣejyā
5.6.13	apo divyā iti paryavetavrata udakānte śāntyudakam abhimantrayate
5.6.14	astamite samitpāṇir etya tṛtīyavarjaṃ samidha ādadhāti
5.6.15	idāvatsarāyeti vratavisarjanam ājyaṃ juhuyāt
5.6.16	samidho 'bhyādadhyāt
5.6.17	idāvatsarāya parivatsarāya saṃvatsarāya prativedayāma enat / yad vrateṣu duritaṃ nijagmimo durhārdaṃ tena śamalenāñjmaḥ / yan me vrataṃ vratapate lulobhāhorātre samadhātāṃ ma enat / udyan purastād bhiṣag astu candramāḥ sūryo raśmibhir abhigṛṇātv enat / yad vratam atipede cittyā manasā hṛdā / ādityā rudrās tan mayi vasavaś ca samindhatām / vratāni vratapataya upākaromy agnaye / sa me dyumnaṃ bṛhad yaśo dīrgham āyuḥ kṛṇotu me / iti vratasamāpanīr ādadhāti
5.6.18	trirātram arasāśī snātavrataṃ carati
5.6.19	nir lakṣmyam iti pāpalakṣaṇāyā mukham ukṣatyanvṛcaṃ dakṣiṇāt keśastukāt
5.6.20	palāśena phalīkaraṇān hutvā śeṣaṃ pratyānayati
5.6.21	phalīkaraṇatuṣabusāvatakṣaṇāni savyāyāṃ pādapārṣṇyāṃ nidadhāti
5.6.22	apanodanāpāghābhyām anvīkṣan pratijapati
5.6.23	dīrghāyutvāyeti mantroktaṃ badhnāti
5.7.1	karśaphasyeti piśaṅgasūtram araludaṇḍaṃ yad āyudham
5.7.2	phalīkaraṇair dhūpayati
5.7.3	ati dhanvānīty avasānaniveśanānucaraṇātinayanejyā
5.7.4	vāstoṣpatīyaiḥ kulijakṛṣṭe dakṣiṇato 'gneḥ saṃbhāram āharati
5.7.5	vāstoṣpatyādīni mahāśāntim āvapate
5.7.6	madhyame garte darbheṣu vrīhiyavam āvapati
5.7.7	śāntyudakaśaṣpaśarkaram anyeṣu
5.7.8	ihaiva dhruvām iti mīyamānām ucchrīyamāṇām anumantrayate
5.7.9	abhyajyeti mantroktam
5.7.10	pūrṇaṃ nārīty udakumbham agnim ādāya prapadyante
5.7.11	dhruvābhyāṃ dṛṃhayati
5.7.12	śaṃbhumayobhubhyāṃ viṣyandayati
5.7.13	vāstoṣpate pratijānīhy asmān svāveśo anamīvo na edhi / yat tvemahe prati nas tajjuṣasva catuṣpado dvipada āveśayeha / anamīvo vāstoṣpate viśvā rūpāṇy āviśan / sakhā suśeva edhi naḥ / iti vāstoṣpataye kṣīraudanasya juhoti
5.7.14	sarvānnāni brāhmaṇān bhojayati
5.7.15	maṅgalyāni
5.7.16	ye agnaya iti kravyādanupahata iti palāśaṃ badhnāti
5.7.17	juhoti
5.7.18	ādadhāti
5.7.19	udañcanenodapātryāṃ yavān adbhir ānīyollopam
5.7.20	ye agnaya iti pālāśyā darvyā mantham upamathya kāmpīlībhyām upamanthanībhyām
5.7.21	śamanaṃ ca
5.8.1	ya ātmadā iti vaśāśamanam
5.8.2	purastād agneḥ pratīcīṃ dhārayati
5.8.3	paścād agneḥ prāṅmukha upaviśyānvārabdhāyai śāntyudakaṃ karoti
5.8.4	tatraitat sūktam anuyojayati
5.8.5	tenainām ācāmayati ca samprokṣati ca
5.8.6	tiṣṭhaṃstiṣṭhantīṃ mahāśāntim uccair abhinigadati
5.8.7	ya īśe paśupatiḥ paśūnām iti hutvā vaśām anakti śirasi kakude jaghanadeśe
5.8.8	anyatarāṃ svadhitidhārām anakti
5.8.9	aktayā vapām utkhanati
5.8.10	dakṣiṇe pārśve darbhābhyām adhikṣipatyamuṣmai tvā juṣṭam iti yathādevatam
5.8.11	nissālām ity ulmukena triḥ prasavyaṃ pariharaty anabhipariharan ātmānam
