#Text:Kāṭhakāraṇyaka
#Edition:Witzel 2004 (DCS version)
#Notes:The original section name “2.5-7” was abbreviated to “2.5”, to keep the key format consistent.



2.1.1	yuñjate mana ity āhavanīye juhoti
2.5.138	yan na prāśnīyād ahavis syāt
2.5.139	avajighret
2.5.140	ubhayam eva karoti
2.5.141	yajamāna eva prāśnāti
2.5.142	brahmavarcasam evātman dhatte
2.5.143	saṃsādyamānāyānubrūhīty āha
2.5.144	pratiṣṭhāyā ahne tvā sūryāya tvā rātryai tvā nakṣatrebhyas tvety ahorātre sūryanakṣatrāṇi caiva bhāginaḥ karoti
3.1.1	gharmājaṭharānnādam māsmiñ jane kurutam annādo 'ham asmiñ jane bhūyāsam iti
3.1.2	indrāgnī vai devānāṃ gharmājaṭharau
3.1.3	tā annādyasyeśāte
3.1.4	tā asmā annādyam prayacchataḥ
3.1.5	annādo bhavati ya evaṃ veda
3.1.6	kavīmātariśvānā puṣṭivantaṃ māsmiñ jane kurutam
3.1.7	puṣṭivān aham asmiñ jane bhūyāsam iti
3.1.8	... vai devānāṃ kavīmātariśvānau
3.1.9	tau puṣṭer īśāte
3.1.10	tā asmai puṣṭim prayacchataḥ
3.1.11	puṣṭivān bhavati ya evaṃ veda
3.1.12	arkāsadhasthā cakṣuṣmantam māsmiñ jane kurutam
3.1.13	cakṣuṣmān aham asmiñ jane bhūyāsam iti
3.1.14	mitrāvaruṇā vai devānām arkāsadhasthā
3.1.15	tau cakṣuṣa īśāte
3.1.16	tā asmai cakṣuḥ prayacchataḥ
3.1.17	cakṣuṣmān bhavati ya evaṃ veda
3.1.18	pitarāmātarā śrotravantaṃ māsmiñ jane kurutaṃ
3.1.19	śrotravān aham asmiñ jane bhūyāsam iti
3.1.20	dyāvāpṛthivī vai devānāṃ pitarāmātarau
3.1.21	tau śrotrasyeśāte
3.1.22	tā asmai śrotraṃ prayacchataḥ
3.1.23	śrotravān bhavati ya evaṃ veda
3.1.24	yamāṅgirasā āyuṣmantaṃ māsmiñ jane kurutam
3.1.25	āyuṣmān aham asmiñ jane bhūyāsam iti
3.1.26	yamaś caiva varuṇaś ca devānāṃ yamāṅgirasau
3.1.27	tā āyuṣa īśāte
3.1.28	tā asmā āyuḥ prayacchataḥ
3.1.29	āyuṣmān bhavati ya evaṃ veda
3.1.30	aśyāma te gharma madhumataḥ pitumato namas te astu mā mā hiṃsīr ity ātmano 'hiṃsāyai
3.1.31	jyotir asi vanaspatīnāṃ rasa iti madhunā prathamam pūrayati
3.1.32	vanaspatīnāṃ vā eṣa puṣpaphalānām raso yan madhu
3.1.33	tenaivainaṃ samardhayati
3.1.34	tad āhāyur vai madhu
3.1.35	āyur agnau pradadhyāt pramāyukas syād iti
3.1.36	yad āha āyur mayi dhehīti āyur evātman dhatte
3.1.37	āyuṣmān bhavati
3.1.38	jyotir bhā asy apām oṣadhīnāṃ rasa iti ghṛtena dvitīyam
3.1.39	etad vā etasya priyaṃ dhāma tenaivainaṃ samardhayati yad āha cakṣur mayi dhehīti
3.1.40	cakṣur evātman dhatte
3.1.41	cakṣuṣmān bhavati
3.1.42	... iti dadhnā tṛtīyam
3.1.43	etad vā etasya priyaṃ dhāma tenaivainaṃ samardhayati yad āhorjam mayi dhehīti
3.1.44	ūrjam ... evātman dhatte
3.1.45	ūrjasvān bhavati
3.1.46	ugraś ca dhuniś cety araṇye 'nuvākyo gaṇaś śāntyai
3.1.47	agne vratapate vāyo vratapate sūrya vratapata iti
3.1.48	ete vai devānāṃ vratapatayaḥ
3.1.49	tebhya eva procyāvāntaradīkṣām upaiti
3.1.50	pṛthivī samid iti yathāyajuḥ
3.2.1	ahaḥ ketunā juṣatāṃ sujyotir jyotiṣām svāheti rauhiṇaṃ juhoti
3.2.2	asau vā ādityo 'hnāṃ ketuḥ
3.2.3	rātrī ketunā juṣatām sujyotir jyotiṣāṃ svāheti rauhiṇaṃ juhoti
3.2.4	candramā vai rātrīṇāṃ ketuḥ
3.2.5	cakṣuṣī vā ete pravargyasya yat sūryācandramasau
3.2.6	cakṣuṣī rauhiṇau
3.2.7	cakṣuṣor eva cakṣur dadhāti
3.2.8	namo rudrāya diviṣade yasya varṣam iṣava iti
3.2.9	varṣaṃ vā eṣa iṣūḥ kṛtvā prajā hinasti yadograṃ varṣati
3.2.10	tasmai nama iti varṣam eva śivaṃ karoti
3.2.11	tena mā samara iti mā sambādhe samāgamāmety evaitad āha
3.2.12	namo rudrāyāntarikṣasade yasya vāta iṣava iti
3.2.13	vātaṃ vā eṣa iṣūḥ kṛtvā prajā hinasti yadograṃ vāti
3.2.14	tasmai nama iti vātam eva śivaṃ karoti
3.2.15	tena mā samara iti mā sambādhe samāgamāmety evaitad āha
3.2.16	namo rudrāya pṛthivīṣade yasyānnam iṣava ity annaṃ vā eṣa iṣūḥ kṛtvā prajā hinasti yadogram
3.2.17	... tasmai nama iti annam eva śivaṃ karoti
3.2.18	tena mā samara iti mā sambādhe samāgamāmety evaitad āha
3.2.19	ṛco yajūṃṣi sāmāni ... stutibhir evainaṃ ...
3.2.20	yad brahmaṇaś śṛṇavo bhūr iti brahmavarcasam evātman dhatte
3.2.21	tasmān nāśrotriye pravṛñjyāt
3.2.22	na vā eṣa tarhi śrutabrahmā bhavati
3.2.23	atra bhūyiṣṭhabhāja iha te syāmeti vedānām evainaṃ bhāginaṃ karoti
3.2.24	tasmād āhur adhvaryur vā adhvaraṃ vedādhvaryur anyeṣām agraṇīr bhavati
3.2.25	acikradad vṛṣā harir mahān mitro na darśata iti yad vā eṣa varuṇo bhūtvā prajā abhitapen na kaṃcanāvaśiṃsyāt
3.2.26	mitra eva bhūtvā prajā abhitapati
3.2.27	saṃ sūryeṇa didyutad iti sūryasyeva vā eṣa etasya prakāśo bhavati yasyaiṣa pravṛjyate
3.2.28	sarvā vā etarhy etasmin devatā adhvaryor dadhigharma āśaṃsante mahyaṃ grahīṣyati mahyaṃ grahīṣyatīti
3.2.29	devatā evainam abhidhyāyantīs tā enam abhāgā īśvarā hiṃstoḥ
3.2.30	yad etābhyāṃ sarvadevatyābhyāṃ gṛhṇāti yam indraṃ yāvatīti devatā eva bhāginīḥ karoty ātmano 'hiṃsāyai
3.2.31	sarvam āyur eti ya evaṃ veda
3.3.1	pūṣṇa āghṛṇaye svāheti pañcāhutīr juhoti
3.3.2	pūṣā vai rudraḥ
3.3.3	rudra āghṛṇiḥ
3.3.4	etāni vai rudrasya ugrāṇi nāmāni
3.3.5	... udvāsanaṃ kariṣyan sarvābhyo devatābhya eva niravadayate
3.3.6	sarvam āyur eti ya evaṃ veda
3.3.7	yā te gharma divi śug yā jāgate chandasi yā saptadaśe stome yā havirdhāne tān ta etad avayaje tasyai svāhety amuṣyā evainam etaj jāgatācchandasas saptadaśāt stomāddhavirdhānāc ca rudraṃ niravadayate
3.3.8	sarvam āyur eti ya evaṃ veda
3.3.9	yā te gharmāntarikṣe śug yā traiṣṭubhe chandasi yā pañcadaśe stome yāgnīdhre tān ta etad avayaje tasyai svāhety antarikṣād evainam etat traiṣṭubhāc chandasaḥ pañcadaśāt stomād āgnīdhrāc ca rudraṃ niravadayate
3.3.10	sarvam āyur eti ya evaṃ veda
3.3.11	yā te gharma pṛthivyāṃ śug yā gāyatre chandasi yā trivṛti stome yā sadasi tān ta etenāvayaje tasyai svāhety asyā evainam etad gāyatrāc chandasas trivṛtas stomāt sadasaś ca rudraṃ niravadayate
3.3.12	sarvam āyur eti ya evaṃ veda
3.3.13	anv adya no anumata iti pratiṣṭhite juhoti
3.3.14	iyaṃ vā anumatiḥ
3.3.15	iyaṃ pratiṣṭhā
3.3.16	asyām evaṃ pratitiṣṭhati
3.4.1	madhunā prathamam pūrayati
3.4.2	etad vā etasya priyaṃ dhāma
3.4.3	tenaivainaṃ samardhayati
3.4.4	... iti prāñcam abhyudānayanti
3.4.5	eṣa vai devalokaḥ
3.4.6	devalokam evainam abhyudānayanti
3.4.7	patnīm udānayanty asthūritvāya
3.4.8	vāsasā patnīṃ pracchādayati
3.4.9	sarvadevatyaṃ vai vāsaḥ
3.4.10	sarvābhir evaināṃ devatābhis samardhayati
3.4.11	sāma saṃpreṣyati
3.4.12	upagāyanam evāsyaitat
3.4.13	atho ny evāsmai hnuvate 'bhiprayānti divas tvā paraspām antarikṣasya tanvam pāhi pṛthivyās tvā dharmaṇā vayam anukrāmāma suvitāya navyasa iti
3.4.14	imāṃllokān mā hiṃsīr ity evaitad āha
3.4.15	prāṇam me pāhīty ātmana evaitām āśiṣam āśāste
3.4.16	vyadhve dvitīyam upayanty abhiprayānti
3.4.17	brahmaṇas tvā paraspāṃ kṣatrasya tanvaṃ pāhi viśas tvā dharmaṇā vayam anukrāmāma suvitāya navyasa iti
3.4.18	prajām mā hiṃsīr ity evaitad āha
3.4.19	vyānam me pāhīty ātmana evaitām āśiṣam āśāste
3.4.20	upaprāpya tṛtīyam upayanty abhiprayānti
3.4.21	prāṇasya tvā paraspāṃ cakṣuṣas tanvam pāhi / śrotrasya tvā dharmaṇā vayam anukrāmāma suvitāya navyasa iti
3.4.22	prāṇān mā hiṃsīr ity evaitad āha
3.4.23	apānam me pāhīty ātmana evaitām āśiṣam āśāste
3.4.24	... vedā bhavanti
3.4.25	keśān evainān tat karoty abhitaḥ kapālāni
3.4.26	kapālāny eva tat karoty abhito rukmau nidadhāti
3.4.27	cakṣuṣī eva tat karoti
3.4.28	paścāc caruṣṭhālī nidadhāti
3.4.29	āsyam eva tat karoti
3.4.30	paścāt sruvaṃ nidadhāti
3.4.31	grīvām eva tat karoti
3.4.32	abhitaḥ śaphau nidadhāti
3.4.33	aṃsā eva tat karoti
3.4.34	srucau bāhū karoti sātmatvāya
3.4.35	abhito dhavitre bhavataḥ
3.4.36	pārśve eva tat karoti
3.4.37	madhya upayāmo rajjvoś ca vaiṇavāni bhavanti
3.4.38	udaram eva tat karoti
3.4.39	paścād auṣṭhyau nidadhāti
3.4.40	upastham eva tat karoti
3.4.41	abhito mayūkhā bhavanti
3.4.42	jaṅghe ūrū eva tat karoti
3.4.43	abhito dhṛṣṭī nidadhāti
3.4.44	pādā eva tat karoti
3.4.45	madhye dhavitram nidadhāti
3.4.46	nābhim eva tat karoti
3.4.47	upary āsandīm nidadhāti
3.4.48	ura eva tat karoti
3.4.49	kṛṣṇājinena pracchādayati
3.4.50	brahmaṇo vā etad rūpam yat kṛṣṇājinam
3.4.51	brahmaṇaivainam pracchādayati
3.4.52	muñjaiḥ pracchādayati
3.4.53	ūrg vai muñjāḥ
3.4.54	ūrjaivainaṃ pracchādayati
3.4.55	dadhnā saṃsṛjati satejastvāya
3.4.56	āghātuka enaṃ rudro bhavati
3.4.57	haṃsavat karoti
3.4.58	asau vā ādityo haṃsāḥ ... pariṣiñcan paryeti
3.4.59	valgur asi vayodhāyā iti
3.4.60	vaya evāsyaitad ardhayati
3.4.61	śiśur janadhāyā iti rūpam evāsyaitan mahimānaṃ vyācaṣṭe
3.4.62	yadi vayāṃsy upāsīran gharmam etāḥ prajā upāsiṣyanta iti vidyāt
3.4.63	tasmād vayobhyaḥ parirakṣeta
3.4.64	asṛṅmukho vi gā iveti dvābhyāṃ juhuyāt
3.4.65	mṛtyur vai yamaḥ
3.4.66	svenaivainam bhāgadheyena śamayati
3.4.67	śaṃ ca vakṣi pari ca vakṣīty āśiṣam evāśāste
3.4.68	sumitrā na āpa ity apa utsiñcanti
3.4.69	sumitrā evaināḥ karoti
3.4.70	durmitrās tasmai santv iti yasyām asya diśi dveṣyas syāt tāṃ diśam parāsiñcet
3.4.71	durmitrā evaināḥ karoti
3.4.72	etat te gharmānnam etat purīṣam iti ghṛtaṃ vai dadhi
3.4.73	madhv ity etasyānnam
3.4.74	tenaivainaṃ samardhayati
3.4.75	tena tvaṃ vardhasvety annādyenaivainaṃ samardhayati
3.4.76	vardhiṣīmahi ca vayam ā ca pyāyiṣīmahīty āśiṣam evāśāste
3.4.77	rantir nāmāsīti
3.4.78	etad vai rudrasya śivo nāma
3.4.79	... ity ātmana evaitām āśiṣam āśāste
3.4.80	indur dakṣaś śyena ṛtāvā hiraṇyapakṣas somapīthānu mehy edho 'sy edhiṣīmahīti rudram eva niravadayante
3.4.81	naivainaṃ śucārpayanti
3.4.82	samid asi samedhiṣīmahīty āśiṣam evāśāste
3.4.83	punar tejo mayi dhehīti teja evātman dhatte
3.4.84	ud u tyaṃ jātavedasam iti daśāhutīr juhoti
3.4.85	daśākṣarā virāṭ
3.4.86	annaṃ virāṭ
3.4.87	virājy evānnādye pratitiṣṭhati
3.4.88	kiṃ dīkṣayā spṛṇotīty āhuḥ kim avāntaradīkṣayeti
3.4.89	ātmānam eva dīkṣayā spṛṇoti prajām avāntaradīkṣayā
3.4.90	dvādaśa vā eṣa varṣāṇi dīkṣito bhavati yo brahmacārī
3.4.91	tasya vā eṣā dīkṣā yad avāntaradīkṣā
3.4.92	mekhalām ābadhnāte daṇḍam upayacchati
3.4.93	samidha āharati
3.4.94	punar adhyāharati
3.4.95	audumbarīr bhavanti
3.4.96	ūrg vā udumbaraḥ
3.4.97	ūrjam eva brahmacāriṇi nidadhāti
3.4.98	parṇamayīr bhavanti
3.4.99	brahmavarcasaṃ vai parṇaḥ
3.4.100	brahmavarcasam eva brahmacāriṇi nidadhāti
3.4.101	śamīmayīr bhavanti
3.4.102	tejo vai śamī
3.4.103	teja eva brahmacāriṇi nidadhāti
3.4.104	agne vratapate pṛthivī samid iti prathamāṃ samidham ādadhāti
3.4.105	agnir vai devānām pṛthivyāyāṃ vratapatiḥ
3.4.106	tasmā eva procya vrataṃ carati
3.4.107	vratyo bhavati
3.4.108	vāyo vratapate antarikṣas samid iti dvitīyāṃ samidham ādadhāti
3.4.109	vāyur vai devānām antarikṣe vratapatiḥ
3.4.110	tasmā eva procya vrataṃ carati
3.4.111	vratyo bhavati
3.4.112	sūrya vratapate dyaus samid iti tṛtīyāṃ samidham ādadhāti
3.4.113	sūryo vai devānām amuṣmiṃlloke vratapatiḥ
3.4.114	tasmā eva procya vrataṃ carati
3.4.115	vratyo bhavati
3.4.116	nābhivyāharati
3.4.117	nābhiprekṣate
3.4.118	teja evātman dhatte
3.4.119	parvaṇi tiṣṭhed divā āsīta naktaṃ satejastvāya
3.4.120	agninādityena ca śrītam aśnāti
3.4.121	havir vai dīkṣitaḥ
3.4.122	havir evātti
3.4.123	samāpte 'nvāha
3.4.124	pra vā itarebhyo lokebhyaś cyavate yo brahmacārī
3.4.125	yad ita ūrdhvaṃ samidha ādadhāty amuṣmiṃs tena loke pratitiṣṭhati
3.4.126	yad amuto 'rvāṅ pratyādadhāty asmiṃs tena loke pratitiṣṭhati
3.4.127	yadā garmuto virohati tadānubrūyāt
3.4.128	hariṇo yadā yavam atti tadānubrūyāt
3.4.129	sūkaro yadā bisam atti tadānubrūyāt
3.4.130	rūpasamṛddhim evānvāha
3.4.131	tejasā vā eṣa prajayā paśubhir brahmavarcasenānnādyena ca vyṛdhyate yo brahmacārī
3.4.132	yan nābhivyāharati nābhiprekṣate tejo evātman dhatte
3.4.133	yat kanyām abhivyāharaty abhiprekṣate prajām evātman dhatte
3.4.134	yad vatsam abhivyāharaty abhiprekṣate paśūn evātman dhatte
3.4.135	yadādityam abhivyāharaty abhiprekṣate brahmavarcasam evātman dhatte
3.4.136	yat kṣīraudanam abhivyāharaty abhiprekṣate 'nnādyam evātman dhatte
3.4.137	atho tejasvī prajāvān paśumān brahmavarcasy anūrādho bhavati ya evaṃ veda
3.4.138	... āyurdā āyur me dehīty āyur evātman dadhate
3.4.139	... pravṛjyamān ... upadhāya mārjayati
3.4.140	... tādevāvyādhi prāṇadāḥ prāṇaṃ me dehīti prāṇam evātman dadhate
3.4.141	vyānadā vyānaṃ me dehīti vyānam evātman dadhate
3.4.142	apānadā apānaṃ me dehīty apānam evātman dadhate
3.4.143	cakṣurdāś cakṣur me dehīti cakṣur evātman dadhate
3.4.144	śrotradāś śrotraṃ me dehīti śrotram evātman dadhate
3.4.145	varcodā varco me dehīti varca evātman dadhate
3.4.146	āyuṣe naḥ punar dehīty āyur evātman dadhate
3.4.147	atho 'visraṃsāyaivāpradāhāya namo rudrāyeti
3.4.148	rudraṃ vai devā yajñān nirabhajan
3.4.149	sa dhanur avaṣṭabhyātiṣṭhat
3.4.150	tasyendro vamrirūpeṇa dhanurjyām achinat
3.4.151	sa ghṛṅṅ akarot
3.4.152	tasyārtiś śira utpipeṣa
3.4.153	sa pravargyo 'bhavat
3.4.154	yan mahatīr devatā vīryavatīs tasmān mahāvīraḥ
3.4.155	yad dhanur ghṛṅṅ akarot tasmād gharmaḥ
3.4.156	yat pravṛjyate tasmāt pravargyaḥ
3.4.157	tasmād yas sapravargyeṇa yajñena yajate rudrasya śira upadadhāti
3.4.158	nainaṃ rudra āruko bhavati ya evaṃ veda
3.4.159	... śukriyāṇāṃ vā etāni śukriyāṇi
3.4.160	tacchukriyāṇāṃ śukriyatvam
3.4.161	tebhir devāḥ purastād yajñasya prāvṛñjata
3.4.162	yat prāvṛñjata tasmāt pravargyāṇi tasmāt pravargyaḥ
3.4.163	tasmād yas sapravargyeṇa yajñena yajate mukhyo brahmavarcasī bhavati
3.4.164	eṣa vāva tarhi yajña āsīd yad eṣa jyotiṣṭomaḥ
3.4.165	tad yathā vā idam agner jātād agnayo 'nye vihriyanta evam asmād anye yajñakratavaḥ prajāyante
3.4.166	tasmāj jyotiṣṭome pravṛñjyād yajñasyordhvatvāya
3.4.167	nokthye pravṛñjyāt
3.4.168	prajā vai paśava ukthāni
3.4.169	yad ukthye pravṛñjyāt prajāṃ cāsya paśūṃś ca nirdahet
3.4.170	tasmāt prajākāmāya paśukāmāya na pravṛñjyāt
3.4.171	asau vā ādityo rudro mahāvīraḥ
3.4.172	rudrād eva prajām paśūn parivṛṇakti
3.4.173	tasmād vāsasā patnīm pracchādayati prajāyā apradāhāya
3.4.174	sarvatopakrame pravṛñjyāt
3.4.175	bhūr bhuvas svar namo vāce namo vācaspataya iti vāg vai sarasvatī
3.4.176	yā vāg uditā yā cānuditā tasyai vāce nama iti
3.4.177	... nama ṛṣibhyo mantrakṛdbhyo mantravidbhya iti
3.4.178	... mā mām ṛṣayo mantrakṛto mantravidaḥ parādur iti
3.4.179	... daivīṃ vācam udyāsam iti daivīm eva vācaṃ vadati
3.4.180	śivām ajasrām iti śivām evainām ajasrāṃ karoti
3.4.181	juṣṭāṃ devebhya iti devebhya evaināṃ juṣṭāṃ karoti
3.4.182	svadhāvatīm pitṛbhya iti pitṛbhya evaināṃ svadhāvatīṃ karoti
3.4.183	śuśrūṣeṇyāṃ manuṣyebhya iti manuṣyebhya evaināṃ śuśrūṣeṇyāṃ karoti
3.4.184	tam mā devā avantu śobhāyai pitaro 'numadantv ity anv enaṃ devā avanti śobhāyai pitaro 'numadanti
3.4.185	sucakṣā aham akṣibhyāṃ suvarcā mukhena suśrut karṇābhyāṃ bhūyāsam iti yathāyajuḥ
3.4.186	apavarge 'pi mārjayante
3.4.187	śivā naś śantamā bhava sumṛḍīkā sarasvatīti vāg vai sarasvatī
3.4.188	vācaiva prayanti vācodyanti
3.4.189	brahmaṇa upastaraṇam asi brahmaṇe tvopastṛṇāmīti prajāyā eva paśūnām upastaraṇaṃ karoti
3.4.190	iḍāyai vāstv asīti pratiṣṭhityai
3.4.191	ā vāta vāhi bheṣajaṃ vi vāta vāhi yad rapa iti prāṇo vai vāyuḥ
3.4.192	prāṇam evāsya bhūyiṣṭhaṃ karoti
3.4.193	āpo hi ṣṭhā mayobhuva iti
3.4.194	... ṛco yajūṃṣi sāmānīti
3.4.195	tad vai tredhā vihito yad vedaḥ
3.4.196	... kalpate 'smai tredhā yogakṣemaḥ prajāyāḥ paśūnāṃ viśaḥ
3.4.197	... athaiṣa vrataṃ cariṣyann araṇyam paretya śucau bhūmyavakāśe grāmād achadir darśe 'dhyāpayati
3.4.198	mṛtyor vā eṣa goṣṭho yad grāmo 'thaiṣa devānāṃ yad araṇyam
3.4.199	apa punarmṛtyuṃ jayati ya evaṃ veda
3.4.200	udita āditye pūrvāhṇe pūrvapakṣa udagayane 'dhīyīta
3.4.201	etad vai triśukriyam
3.4.202	triśukriyo bhavati ya evaṃ veda
3.4.203	nābhreṣu na samauhe na gavām ante na parvopaparvayor ātmano 'hiṃsāyai
3.4.204	na mṛtaṃ dvipadāṃ catuṣpadām praty ātmano 'hiṃsāyai
3.4.205	na mṛtaṃ dvipadāṃ catuṣpadāṃ māṃsam asthi lohitaṃ caṇḍālam aśuci vā dṛṣṭvā
3.4.206	amedhyāni vā etāni medhyatvāya
3.4.207	na pūrvedyur māṃsam attvā
3.4.208	na pūrvedyur abrahmacaryam upetya
3.4.209	na tad ahaḥ pūrvāhṇe keśaśmaśrū lomanakhāni vāpayen nāvalikhen nāñjyān nābhyañjyān na snāyāt tejaso 'navabhraṃśāya
3.4.210	na grāmyāṇām paśūnāṃ saṃdarśanenāśāntikṛtas saṃsṛjeta
3.4.211	... pātrāṇi kārayet
3.4.212	tapo vai dīkṣā
3.4.213	tapasaivāsya prayunakti
3.4.214	uttaratas tiṣṭhati
3.4.215	tasmin mukhyaṃ mahāvīraṃ prayunakty anvaham itarau
3.4.216	gāyatro vā eteṣām prathamas traiṣṭubho dvitīyo jāgatas tṛtīyaḥ
3.4.217	anvaham eva yathāpūrvaṃ chandāṃsi yunakti
3.4.218	śiro vā etad yajñasya yat pravargyaḥ
3.4.219	tasya kapālāni kapālāni keśā vedau dhavitre karṇau dhavitradaṇḍau nāsike rukmau cakṣuṣī sauvarṇo dakṣiṇaṃ rājata uttaraṃ mahāvīrāḥ kaṇṭhā āsyaṃ caruṣṭhālī hanū śaphā aniṣṭubdhī aṣṭhīvantau daṃṣṭrā mayūkhā dantā yad gharme nidadhāti jihvopayāmo rajjvoś ca vaiṇavāni snāvāni puroḍāśo mastiṣkaḥ
3.4.220	yad aṅgārair abhyūhati tan māṃsaṃ keśā vedā ājyaṃ majjā payasī meda ṛco rūpaṃ yajūṃṣi prāṇās sāmāni jyotīṃṣi diśaś śrotram
3.4.221	ete ca vai yajñaś śīrṣaṇvān
3.4.222	śīrṣaṇyo mukhyo bhavati ya evaṃ veda
3.4.223	etad vā etacchiraḥ
3.4.224	nāsmād u ... āhus te bhaga cakṣuṣī tābhyāṃ vipaśya mām abhīti
3.4.225	... tasya sūryacandramāsāv eva cakṣuṣī
3.4.226	... yad etat sāragham madhu tena rūpam anajmi te tena rūpam anagdhi ma iti rūpam evāsyaitan mahimānaṃ vyācaṣṭe
3.4.227	devānāṃ kratubhir devābhyañjanair abhyañje bhagavan nāmāsīty etad vai rudrasya priyaṃ nāmadheyam
3.4.228	priyeṇaivainaṃ nāmadheyena devābhyañjanais samanakti
3.4.229	tasya ta ṛcaś ca yajūṃṣi sāmāni cety ṛco yajūṃṣi sāmānīty evaitad āha
3.4.230	vāg agnā anyac cakṣus sūrye 'nyat sūrye 'nyad agnā anyad agnā anyad agnā anyad iti cakṣuṣī evāsyaitad uddharṣayati
3.4.231	andho hi bhagaḥ
3.4.232	nāsyāndhāḥ prajā jāyante
3.4.233	bhagavān bhūyāsam iti cakṣur evātman dhatte
3.4.234	airo 'si cakṣur asi śrotram asi purandhir nāma vāg asīti śāsty evainam
3.4.235	tasmācchiṣṭāḥ prajā jāyante
3.4.236	yena śatakratur bhāgam upajuhve tena tvopahvaye bhageti rudraṃ vai devā nirabhajan
3.4.237	sa devān āyatayābhiparyāvartata
3.4.238	te devā etena nāmadheyena priyeṇa dhāmnopahvayan yat pravargyaḥ
3.4.239	svenaivainaṃ nāmadheyena priyeṇa dhāmanopahvayate
3.4.240	tad vāṃ narā sanaye daṃsa ugram āviṣkṛṇomi tanyatur na vṛṣṭim
3.4.241	dadhyaṅ ha yan madhv ātharvaṇo vām aśvasya śīrṣṇā sumatim avocat
3.4.242	agnir īśe vāsavyasyāgnir mahas saubhagasya tāny asmabhyaṃ rāsata iti
3.4.243	... agnir vai rudraḥ
3.4.244	sa vāsavyas saubhaga ... devāś ca vā asurāś ca samāvad eva pravargye 'kurvata
3.4.245	yad eva devā akurvata tad asurā akurvata
3.4.246	te devā etān avakāśān apaśyan
3.4.247	tair etasmin yajñe gharme rucite 'vaikṣata
3.4.248	te devā abhavan parāsurā abhavan
3.4.249	yat pravargyam etair avakāśair avekṣate bhavati prajāvān paśumān madhavyo bhavati
3.4.250	daśa prācīr daśa bhāsi dakṣiṇeti diśām avaruddhyai
3.4.251	ko ha tad veda yāvanta ime lokāḥ
3.4.252	sarvān eva lokān etair avakāśair avarunddhe
3.4.253	daśa prācīr daśa bhāsi dakṣiṇā daśa pratīcīr daśa bhāsy udīcīr daśordhvā bhāsi sumanasyamāna iti tejo vai bhāḥ
3.4.254	teja evāsyaitad uddharṣayati
3.4.255	sa naḥ prajāṃ paśūn pāhy ahṛṇīyamāna iti prajāyāḥ paśūnāṃ gopīthāya
3.4.256	prajāvān paśumān bhavati ya evaṃ veda yaḥ pravargyopaniṣadaṃ veda
3.4.257	devā vai mahāvīrād rucitād abibhayus sarvān no 'yaṃ tejasoddhakṣyatīti
3.4.258	te prajāpatim upādhāvan
3.4.259	sa prajāpatir abravīd anyenainam upatiṣṭhata śivo bhaviṣyatīti
3.4.260	... bhūr bhuvas svar iti
3.4.261	... bhuvo 'dhāyīti
3.4.262	... nṛmṇāyi nṛmṇam iti prajā vai nṛmṇā paśavo nṛmṇam
3.4.263	prajābhyaś caivainam etat paśubhyaś ca rudraṃ niravadayate
3.4.264	nidhāyy ovā nidhāyy oveti vai sāmnodgāyati
3.4.265	tenaiva nidhau pratitiṣṭhate
3.4.266	e svar jyotī3r ity asau vā āditya etaj jyotiḥ
3.4.267	tenaivainaṃ samardhayati
3.4.268	etā vā etasya priyās tanvaḥ
3.4.269	tābhir evainaṃ samardhayati
3.4.270	etā vā etasyāniruktās stutayaḥ
3.4.271	tābhir evainam abhiṣṭuvanti
3.4.272	etā vā etasyāniruktās stutayo yat svar jyotiḥ
3.4.273	tābhir evainam abhivyāharanti
3.4.274	etāni vā etasyāniruktāni nāmadheyāni bhuvo nṛmṇo nidhis svar jyotiḥ
3.4.275	tam eva pratyakṣam ṛdhnuvanti
3.4.276	ayaṃ vai loko gārhapatyo 'sā āhavanīyaḥ
3.4.277	yanti vā ete 'smāllokāt
3.4.278	ya etaṃ gārhapatye haviṣkṛtya prāñcam uddhṛtyaitenāhavanīye caranti
3.4.279	ta etam punas saṃsthāpya pracaranti
3.4.280	tvam agne gṛhapata iti gārhapatyam upatiṣṭhate 'sminneva loke pratitiṣṭhati
3.4.281	... eṣa vā apāṃ yonis sayonitvāya
3.4.282	yaṃ kāmayate tejasvī bhūyāsam brahmavarcasī bhūyāsam iti tasyaitam uduhya mādhyandine savane pravargyeṇa careta
3.4.283	tejo vai brahmavarcasaṃ pravargyaḥ
3.4.284	teja eva brahmavarcasam avarunddhe
3.4.285	yadi prayuñjyād ānuṣṭubho 'sīti caturtham piṇḍaṃ kuryāt
3.4.286	vāg vā anuṣṭup
3.4.287	vācam eva yajñamukhe yunakti
3.4.288	dvaidham pātrāṇi kārayet
3.4.289	tāny ā sutyāyās tiṣṭheyur ayātayāmatvāya
3.4.290	āgnīdhre pravṛñjyāt
3.4.291	āgnīdhre rocyeta
3.4.292	āgnīdhre 'dhiśriyeta
3.4.293	āgnīdhrāyatano vā eṣaḥ
3.4.294	etarhi sva evāsmā āyatane rucaṃ dadhāti
3.4.295	auttaravedike juhoti
3.4.296	svargo vai loka auttaravedikaḥ svargasya lokasya samaṣṭyai
3.4.297	etasminn eva prāg avabhṛthāt pātrāṇi saṃcinoti
3.4.298	dakṣiṇata upa hohaty āhavanīyam
3.4.299	pātrāṇi saṃcinoti
