#Text:Śāṅkhāyanāraṇyaka
#Edition:DCS version



1.1.1	prajāpatir vai saṃvatsaraḥ
2.18.30	brahmanyeva tad brahma pratiṣṭhāpayanti
2.18.31	te 'mṛtatvam āpnuvanti ya etad ahar upayanti ya etad ahar upayanti
3.1.1	citro ha vai gāṅgyāyanir yakṣyamāṇa āruṇiṃ vavre
3.1.2	sa ha putraṃ śvetaketuṃ prajighāya yājayeti
3.1.3	taṃ hābhyāgataṃ papraccha gotamasya putra asti saṃvṛtaṃ loke yasmin mā dhāsyasi anyatamo vādhvā tasya mā loke dhāsyasīti
3.1.4	sa hovāca nāham etad veda hantācāryaṃ pṛcchānīti
3.1.5	sa ha pitaram āsādya papracchetīti māprākṣīt kathaṃ pratibravāṇīti
3.1.6	sa hovāca aham apyetan na veda
3.1.7	sadasyeva vayaṃ svādhyāyam adhītya harāmahe yan naḥ pare dadati
3.1.8	ehyubhau gamiṣyāva iti
3.1.9	sa hi samitpāṇiś citraṃ gāṅgyāyaniṃ praticakrama upāyānīti
3.1.10	taṃ hovāca brahmārho 'si gotama yo na mānam upāgāḥ
3.1.11	ehi vyeva tvā jñapayiṣyāmīti
3.2.1	sa hovāca ye vai ke cāsmāllokāt prayanti candramasam eva te sarve gacchanti
3.2.2	teṣāṃ prāṇaiḥ pūrvapakṣa āpyāyate
3.2.3	tān aparapakṣeṇa prajanayati
3.2.4	etad vai svargasya lokasya dvāraṃ yaccandramāḥ
3.2.5	taṃ yaḥ pratyāha tam atisṛjate
3.2.6	atha yo na pratyāha tam iha vṛṣṭir bhūtvā varṣati
3.2.7	sa iha kīṭo vā pataṅgo vā matsyo vā śakunir vā siṃho vā varāho vā paraśvā vā śārdūlo vā puruṣo vānyo vā teṣu teṣu sthāneṣu pratyājāyate yathākarma yathāvidyam
3.2.8	tam āgataṃ pṛcchati ko 'sīti
3.2.9	taṃ pratibrūyāt / vicakṣaṇād ṛtavo reta ābhṛtaṃ pañcadaśāt prasūtāt pitryāvataḥ / tan mā puṃsi kartary erayadhvaṃ puṃsā kartrā mātari māsiṣikta
3.2.10	sa jāyamāna upajāyamāno dvādaśatrayodaśopamāsaḥ
3.2.11	dvādaśatrayodaśena pitrā saṃ tad vide 'haṃ prati tad vide 'haṃ tan ma ṛtavo 'mṛtyava ārambhadhvam
3.2.12	tena satyena tena tapasā ṛtur asmi ārtavo 'smi
3.2.13	ko 'si tvam asmīti tam atisṛjate
3.3.1	sa etaṃ devayānaṃ panthānam āpadyāgnilokam āgacchati
3.3.2	sa vāyulokam
3.3.3	sa varuṇalokam
3.3.4	sa indralokam
3.3.5	sa prajāpatilokam
3.3.6	sa brahmalokam
3.3.7	tasya vā etasya brahmalokasyāro hradaḥ muhūrtā yaṣṭihāḥ vijarā nadī ilyo vṛkṣaḥ sālajyaṃ saṃsthānam aparājitam āyatanam indraprajāpatī dvāragopau vibhu pramitam vicakṣaṇāsandī amitaujāḥ paryaṅkaḥ priyā ca mānasī pratirūpā ca cākṣuṣī puṣpāṇyādāyāvayato vai ca jagāni ambāś cāmbāyavīś cāpsarasaḥ ambayā nadyaḥ
3.3.8	tam itthaṃvid āgacchati
3.3.9	taṃ brahmāha abhidhāvata mama yaśasā
3.3.10	vijarāṃ vā ayaṃ nadīṃ prāpat
3.3.11	na vā ayaṃ jarayiṣyatīti
3.4.1	taṃ pañca śatānyapsarasāṃ pratiyanti śataṃ phalahastāḥ śatam āñjanahastāḥ śataṃ mālyahastāḥ śataṃ vāsohastāḥ śataṃ cūrṇahastāḥ
3.4.2	taṃ brahmālaṅkāreṇālaṃkurvanti
3.4.3	sa brahmālaṅkāreṇālaṃkṛto brahma vidvān brahmābhipraiti
3.4.4	sa āgacchatyāraṃ hradam
3.4.5	taṃ manasātyeti
3.4.6	tam itvā saṃprativido majjanti
3.4.7	sa āgacchati muhūrtān yaṣṭihān
3.4.8	te 'smād apadravanti
3.4.9	sa āgacchati vijarāṃ nadīm
3.4.10	tāṃ manasaivātyeti
3.4.11	tat sukṛtaduṣkṛte dhunuvāte
3.4.12	tasya priyā jñātayaḥ sukṛtam upayanti apriyā duṣkṛtam
3.4.13	tad yathā rathena dhāvayan rathacakre paryavekṣeta evam ahorātre paryavekṣeta evaṃ sukṛtaduṣkṛte sarvāṇi ca dvandvāni
3.4.14	sa eṣa visukṛto viduṣkṛto brahma vidvān brahmaivābhipraiti
3.5.1	sa āgacchatīlyaṃ vṛkṣam
3.5.2	taṃ brahmagandhaḥ praviśati
3.5.3	sa āgacchati sālajyaṃ saṃsthānam
3.5.4	taṃ brahmarasaḥ praviśati
3.5.5	sa āgacchatyaparājitam āyatanam
3.5.6	taṃ brahmayaśaḥ praviśati
3.5.7	sa āgacchatīndraprajāpatī dvāragopau
3.5.8	tāv asmād apadravataḥ
3.5.9	sa āgacchati vibhu pramitam
3.5.10	taṃ brahmatejaḥ praviśati
3.5.11	sa āgacchati vicakṣaṇām āsandīm
3.5.12	bṛhadrathantare sāmanī pūrvau pādau śyaitanaudhase cāparau
3.5.13	vairūpavairāje anūcye
3.5.14	śākvararaivate tiraścī
3.5.15	sā prajñā prajñayā hi vipaśyati
3.5.16	sa āgacchatyamitaujasaṃ paryaṅkam
3.5.17	sa prāṇaḥ
3.5.18	tasya bhūtaṃ ca bhaviṣyacca pūrvau pādau śrīś cerā cāparau
3.5.19	bhadrayajñāyajñīye śīrṣaṇye
3.5.20	bṛhadrathantare anūcye
3.5.21	ṛcaś ca sāmāni ca prācīnātānāni yajūṃṣi tiraścīnāni
3.5.22	somāṃśavaḥ upastaraṇam
3.5.23	udgītho 'paśrayaḥ
3.5.24	śrīr upabarhaṇam
3.5.25	tasmin brahmāste
3.5.26	tam itthaṃvid pādenaivāgra ārohati
3.5.27	taṃ brahmā pṛcchati ko 'sīti
3.5.28	taṃ pratibrūyāt
3.6.1	ṛtur asmi
3.6.2	ārtavo 'smi
3.6.3	ākāśād yoneḥ sambhūto bhāryāyai retaḥ saṃvatsarasya tejobhūtasya bhūtasyātmā
3.6.4	bhūtasya bhūtasya tvam ātmāsi
3.6.5	yas tvam asi so 'ham asmi
3.6.6	tam āha ko 'ham asmīti
3.6.7	satyam iti brūyāt
3.6.8	kiṃ tad yatsatyam iti
3.6.9	yad anyad devebhyaśca prāṇebhyaś ca tat sat
3.6.10	atha yad devāś ca prāṇāśca tat tyam
3.6.11	tad ekayā vācābhivyāhriyate sattyam iti
3.6.12	etāvad idaṃ sarvam
3.6.13	idaṃ sarvam asmītyevainaṃ tad āha
3.6.14	tad etacchlokenābhyuktam
3.7.1	yajūdaraḥ sāmaśirā asāv ṛṅmūrtir avyayaḥ / sa brahmeti vijñeya ṛṣir brahmamayo mahān iti
3.7.2	tad āha kena me pauṃsnāni nāmānyāpnoṣīti
3.7.3	prāṇeneti brūyāt
3.7.4	kena napuṃsakānīti
3.7.5	manaseti
3.7.6	kena strīnāmānīti
3.7.7	vāceti
3.7.8	kena gandhān iti
3.7.9	ghrāṇeneti
3.7.10	kena rūpāṇīti
3.7.11	cakṣuṣeti
3.7.12	kena śabdān iti
3.7.13	śrotreṇeti
3.7.14	kenānnarasān iti
3.7.15	jihvayeti
3.7.16	kena karmāṇīti
3.7.17	hastābhyām iti
3.7.18	kena sukhaduḥkhe iti
3.7.19	śarīreṇeti
3.7.20	kenānandaṃ ratiṃ prajātim iti
3.7.21	upastheneti
3.7.22	kenetyā iti
3.7.23	pādābhyām iti
3.7.24	kena dhiyo vijñātavyaṃ kāmān iti
3.7.25	prajñayaiveti brūyāt
3.7.26	tam āhāpo vai khalu me loko 'yaṃ te 'sāv iti
3.7.27	sā yā brahmaṇo jitir yā vyaṣṭiḥ tāṃ jitiṃ jayati tāṃ vyaṣṭiṃ vyaśnute ya evaṃ veda ya evaṃ veda
4.1.1	prāṇo brahmeti ha smāha kauṣītakiḥ
4.1.2	tasya vā etasya prāṇasya brahmaṇo mano dūtam cakṣur goptṛ śrotraṃ śrāvayitṛ vāk pariveṣṭrī
4.1.3	sa yo ha vā etasya prāṇasya brahmaṇo mano dūtaṃ veda dūtavān bhavati
4.1.4	yaś cakṣur goptṛ goptṛmān bhavati
4.1.5	yaḥ śrotraṃ śrāvayitṛ saṃśrāvayitṛmān bhavati
4.1.6	yo vācaṃ pariveṣṭrīṃ pariveṣṭrīmān bhavati
4.1.7	tasmai vā etasmai prāṇāya brahmaṇa etā devatā ayācamānāya baliṃ haranti
4.1.8	evaṃ haivāsmai sarvāṇi bhūtānyayācamānāyaiva baliṃ haranti ya evaṃ veda
4.1.9	tasyopaniṣan na yāced iti
4.1.10	tad yathā grāmaṃ bhikṣitvālabdhvopaviśen nāham ato dattam aśnīyām iti ta evainam upamantrayante ye purastāt pratyācakṣīran
4.1.11	eṣa dharmo 'yācato bhavati
4.1.12	annadās tvevainam upamantrayante dadāma ta iti
4.2.1	prāṇo brahmeti ha smāha paiṅgyaḥ
4.2.2	tasya vā etasya prāṇasya brahmaṇo vāk parastāc cakṣur ārundhate
4.2.3	cakṣuḥ parastācchrotraṃ ārundhate
4.2.4	śrotraṃ parastān mana ārundhate
4.2.5	manaḥ parastāt prāṇa ārundhate
4.2.6	tasmai vā etasmai prāṇāya brahmaṇa etā devatā ayācamānāya baliṃ haranti
4.2.7	evaṃ haivāsmai sarvāṇi bhūtānyayācamānāyaiva baliṃ haranti ya evaṃ veda
4.2.8	tasyopaniṣan na yāced iti
4.2.9	tad yathā grāmaṃ bhikṣitvālabdhvopaviśen nāham ato dattam aśnīyām iti ta evainam upamantrayante ye purastāt pratyācakṣīran
4.2.10	eṣa dharmo 'yācato bhavati
4.2.11	annadās tvevainam upamantrayante dadāma ta iti
4.3.1	athāta ekadhanāvarodhanam
4.3.2	ya ekadhanam abhidhyāyāt paurṇamāsyāṃ vāmāvāsyāyāṃ vā śuddhapakṣe vā puṇye nakṣatra eteṣām ekasmin parvaṇyagnim upasamādhāya parisamuhya paristīrya paryukṣya dakṣiṇaṃ jānvācya sruveṇājyāhutīr juhoti
4.3.3	vāṅ nāma devatāvarodhinī sā me 'muṣmād idam avarundhyāt tasyai svāhā
4.3.4	prāṇo nāma devatāvarodhinī sā me 'muṣmād idam avarundhyāt tasyai svāhā
4.3.5	śrotraṃ nāma devatāvarodhinī sā me 'muṣmād idam avarundhyāt tasyai svāhā
4.3.6	mano nāma devatāvarodhinī sā me 'muṣmād idam avarundhyāt tasyai svāhā
4.3.7	prajñā nāma devatāvarodhinī sā me 'muṣmād idam avarundhyāt tasyai svāhā
4.3.8	atha dhūmagandhaṃ prajighrāyājyalepanenāṅgānyanuvimṛjya vācaṃyamo 'bhipravrajyārthaṃ brūyād dūtaṃ vā prahiṇuyāt
4.3.9	labhate haiva
4.4.1	athāto daivaḥ smaraḥ
4.4.2	yasya priyo bubhūṣed yasyai yeṣāṃ vā yāsāṃ vaiteṣām evaikasmin parvaṇyetayaivāvṛtaitā ājyāhutīr juhoti
4.4.3	vācaṃ te mayi juhomyasau svāhā
4.4.4	prāṇaṃ te mayi juhomyasau svāhā
4.4.5	mayi cakṣus te juhomyasau svāhā
4.4.6	śrotraṃ te mayi juhomyasau svāhā
4.4.7	manas te mayi juhomyasau svāhā
4.4.8	prajñāṃ te mayi juhomyasau svāheti
4.4.9	atha dhūmagandhaṃ prajighrāyājyalepanenāṅgānyanuvimṛjya vācaṃyamo 'bhipravrajya saṃsparśaṃ jigamiṣet
4.4.10	abhivātād vā tiṣṭhet sambhāṣamāṇaḥ
4.4.11	priyo haiva bhavati
4.4.12	smarante haivāsya
4.5.1	athātaḥ saṃyamanaṃ prātardanam
4.5.2	āntaram agnihotram ityācakṣate
4.5.3	yāvad vai puruṣo bhāṣate na tāvat prāṇituṃ śaknoti
4.5.4	prāṇaṃ tadā vāci juhoti
4.5.5	yāvad vai puruṣaḥ prāṇiti na tāvad bhāṣituṃ śaknoti
4.5.6	vācaṃ tadā prāṇe juhoti
4.5.7	ete anante amṛte āhutī jāgracca svapaṃśca saṃtataṃ juhoti
4.5.8	atha yā anyā āhutayo 'ntavatyas tāḥ karmamayyo hi bhavanti
4.5.9	taddha smaitat pūrve vidvāṃso 'gnihotraṃ na juhavāṃcakruḥ
4.6.1	ukthaṃ brahmeti ha smāha śuṣkabhṛṅgāraḥ
4.6.2	tad ṛg ityupāsīta
4.6.3	sarvāṇi hāsmai bhūtāni śraiṣṭhyāyābhyarcyante
4.6.4	tad yajur ityupāsīta
4.6.5	sarvāṇi hāsmai bhūtāni śraiṣṭhyāya yujyante
4.6.6	tat sāma ityupāsīta
4.6.7	sarvāṇi hāsmai bhūtāni śraiṣṭhyāya saṃnamante
4.6.8	tacchrīr ityupāsīta
4.6.9	tad yaśa ityupāsīta
4.6.10	tat teja ityupāsīta
4.6.11	tad yathaitacchrīmattamaṃ yaśasvitamaṃ tejasvitamam iti śastreṣu bhavati evaṃ haiva sa sarveṣu bhūteṣu śrīmattamo yaśasvitamastejasvitamo bhavati ya evaṃ veda
4.6.12	tad etad aiṣṭikaṃ karma yam ātmānam adhvaryuḥ saṃskaroti tasmin yajurmayaṃ pravayati
4.6.13	yajurmaya ṛṅmayaṃ hotā
4.6.14	ṛṅmaye sāmamayam udgātā
4.6.15	sa eṣa trayyai vidyāyā ātmā
4.6.16	eṣa u evaitad indrasyātmā bhavati ya evaṃ veda
4.7.1	athātaḥ sarvajitaḥ kauṣītakes trīṇyupāsanāni bhavanti
4.7.2	sarvajiddha sma kauṣītakir udyantam ādityam upatiṣṭhate yajñopavītaṃ kṛtvodakam ānīya triḥ prasicyodakapātram
4.7.3	vargo 'si pāpmānaṃ me vṛṅgdhīti
4.7.4	etayaivāvṛtā madhye santam
4.7.5	udvargo 'si pāpmānaṃ ma udvṛṅgdhīti
4.7.6	etayaivāvṛtāstaṃ yantam
4.7.7	saṃvargo 'si pāpmānaṃ me saṃvṛṅgdhīti
4.7.8	tad yad ahorātrābhyāṃ pāpaṃ karoti saṃ tad vṛṅkte
4.7.9	tatho evaivaṃ vidvān etayaivāvṛtādityam upatiṣṭhate
4.7.10	yad ahorātrābhyāṃ pāpaṃ karoti saṃ tad vṛṅkte
4.8.1	atha māsi māsy amāvāsyāyāṃ vṛttāyāṃ paścāccandramasaṃ dṛśyamānam upatiṣṭhetaitayaivāvṛtā
4.8.2	haritatṛṇe vā pratyasya / yan me susīmaṃ hṛdayaṃ divi candramasi śritam / manye 'haṃ māṃ tad vidvāṃsaṃ māhaṃ putryam aghaṃ rudam / iti
4.8.3	na hyasmāt pūrvā prajā praitīti nu jātaputrasya
4.8.4	athājātaputrasya / āpyāyasva sametu te saṃ te payāṃsi sam u yantu vājāḥ yam ādityā aṃśum āpyāyayantītyetās tisra ṛco japitvā māsmākaṃ prāṇena prajayā paśubhir āpyāyayiṣṭhāḥ / yo 'smān dveṣṭi yaṃ ca vayaṃ dviṣmas tasya prāṇena prajayā paśubhir āpyāyayasvetyaindrīm āvṛtam āvarta ādityasyāvṛtam anvāvarta iti dakṣiṇaṃ bāhum anvāvartate
4.9.1	atha paurṇamāsyāṃ purastāccandramasaṃ dṛśyamānam upatiṣṭhetaitayaivāvṛtā
4.9.2	somo rājāsi vicakṣaṇaḥ pañcamukho 'si prajāpatiḥ
4.9.3	brāhmaṇas ta ekaṃ mukhaṃ tena mukhena rājño 'tsi / tena mukhena māṃ annādaṃ kuru
4.9.4	rājā ta ekaṃ mukhaṃ tena mukhena viśo 'tsi / tena mukhena māṃ annādaṃ kuru
4.9.5	śyenas ta ekaṃ mukhaṃ tena mukhena pakṣiṇo 'tsi / tena mukhena māṃ annādaṃ kuru
4.9.6	agniṣ ṭa ekaṃ mukhaṃ tena mukhenemaṃ lokam atsi / tena mukhena māṃ annādaṃ kuru
4.9.7	tvayi pañcamaṃ mukhaṃ tena mukhena sarvāṇi bhūtānyatsi / tena mukhena mām annādaṃ kuru / māsmākaṃ prāṇena prajayā paśubhir apakṣeṣṭhāḥ
4.9.8	yo 'smān dveṣṭi yaṃ ca vayaṃ dviṣmas tasya prāṇena prajayā paśubhir apakṣīyasveti / daivīm āvṛtam āvarta ādityasyāvṛtam anvāvarta iti dakṣiṇaṃ bāhum anvāvartate
4.10.1	atha saṃvekṣyan jāyāyai hṛdayam abhimṛśet / yat te susīme hṛdayaṃ śritam antaḥ prajāpatau / tenāmṛtatvasyeśāne mā tvaṃ putryam aghaṃ nigā iti
4.10.2	na hyasyāḥ pūrvā prajā praitīti
4.11.1	atha proṣyāyan putrasya mūrdhānam abhijighret / aṅgād aṅgāt sambhavasi hṛdayād adhijāyase / ātmā vai putranāmāsi sa jīva śaradaḥ śatam / iti nāmāsya dadhāti
4.11.2	aśmā bhava paraśur bhava hiraṇyam astṛtaṃ bhava / tejo vai putranāmāsi sa jīva śaradaḥ śatam / iti nāmāsya gṛhṇāti
4.11.3	athainaṃ parigṛhṇāti / yena prajāpatiḥ prajāḥ paryagṛhṇāt tad ariṣṭyai tena tvā parigṛhṇāmi asāv iti
4.11.4	athāsya dakṣiṇe karṇe japati / asme prayandhi maghavann ṛjīṣin iti
4.11.5	indra śreṣṭhāni draviṇāni dhehīti savye
4.11.6	mā bhetthā mā vyathiṣṭhāḥ śataṃ śarada āyuṣaḥ / jīvasva putra te nāmnā mūrdhānam abhijighrāmīti / trir asya mūrdhānam abhijighret
4.11.7	gavāṃ tvāṃ hiṃkāreṇābhihiṅkaromīti / trir asya mūrdhānam abhihiṅkaroti
4.12.1	athāto daivaḥ parimaraḥ
4.12.2	etad vai brahma dīpyate yad agnir jvalati
4.12.3	athaitan mriyate yan na jvalati
4.12.4	tasyādityam eva tejo gacchati vāyuṃ prāṇaḥ
4.12.5	etad vai brahma dīpyate yad ādityo dṛśyate
4.12.6	athaitan mriyate yan na dṛśyate
4.12.7	tasya candramasam eva tejo gacchati vāyuṃ prāṇaḥ
4.12.8	etad vai brahma dīpyate yaccandramā dṛśyate
4.12.9	athaitan mriyate yan na dṛśyate
4.12.10	tasya vidyutam eva tejo gacchati vāyuṃ prāṇaḥ
4.12.11	etad vai brahma dīpyate yad vidyud vidyotate
4.12.12	athaitan mriyate yan na vidyotate
4.12.13	tasyādiśa eva tejo gacchati vāyuṃ prāṇaḥ
4.12.14	tā vā etāḥ sarvā devatā vāyum eva praviśya vāyau mṛtvā na mṛcchante
4.12.15	tasmād eva punarudīrate
4.12.16	ityadhidaivam
4.12.17	athādhyātmam
4.13.1	etad vai brahma dīpyate yad vācā vadati
4.13.2	athaitan mriyate yan na vadati
4.13.3	tasya cakṣur eva tejo gacchati
4.13.4	prāṇaṃ prāṇaḥ
4.13.5	etad vai brahma dīpyate yaccakṣuṣā paśyati
4.13.6	athaitan mriyate yan na paśyati
4.13.7	tasya śrotram eva tejo gacchati
4.13.8	prāṇaṃ prāṇaḥ
4.13.9	etad vai brahma dīpyate yacchrotreṇa śṛṇoti
4.13.10	athaitan mriyate yan na śṛṇoti
4.13.11	tasya mana eva tejo gacchati
4.13.12	prāṇaṃ prāṇaḥ
4.13.13	etad vai brahma dīpyate yanmanasā dhyāyati
4.13.14	athaitan mriyate yan na dhyāyati
4.13.15	tasya prāṇam eva tejo gacchati
4.13.16	prāṇaṃ prāṇaḥ
4.13.17	tā vā etāḥ sarvā devatāḥ prāṇam eva praviśya prāṇe mṛtvā na mṛcchante
4.13.18	tasmād eva punar udīrate
4.13.19	tad yad iha vā evaṃ vidvāṃsam ubhau parvatāv abhipravarteyātāṃ dakṣiṇaścottaraś ca tustūrṣamāṇau na hainaṃ stṛṇvīyātām
4.13.20	atha ya enaṃ dviṣanti yāṃś ca svayaṃ dveṣṭi ta evainaṃ parimriyante
4.14.1	athāto niḥśreyasādānam
4.14.2	etā ha vai devatā ahaṃśreyase vivadamānā asmāccharīrād uccakramuḥ
4.14.3	taddha papāta śuṣkaṃ dārubhūtaṃ śiśye
4.14.4	athainad vāk praviveśa
4.14.5	tad vācā vadacchiśya eva
4.14.6	athainaccakṣuḥ praviveśa
4.14.7	tad vācā vadaccakṣuṣā paśyacchiśya eva
4.14.8	athainacchrotraṃ praviveśa
4.14.9	tad vācā vadaccakṣuṣā paśyacchrotreṇa śṛṇvacchiśya eva
4.14.10	athainan manaḥ praviveśa
4.14.11	tad vācā vadaccakṣuṣā paśyacchrotreṇa śṛṇvan manasā dhyāyacchiśya eva
4.14.12	athainat prāṇaḥ praviveśa
4.14.13	tat tata eva samuttasthau
4.14.14	tā vā etāḥ sarvā devatāḥ prāṇe niḥśreyasaṃ viditvā prāṇam eva prajñātmānam abhisaṃbhūya sahaivaitaiḥ sarvair asmāccharīrād uccakramuḥ
4.14.15	te vāyupratiṣṭhā ākāśātmānaḥ svar īyuḥ
4.14.16	tatho evaivaṃ vidvān prāṇe niḥśreyasaṃ viditvā prāṇam eva prajñātmānam abhisaṃbhūya sahaivaitaiḥ sarvair asmāccharīrād utkrāmati
4.14.17	sa vāyupratiṣṭha ākāśātmā svar eti
4.14.18	sa tad gacchati yatraite devāḥ
4.14.19	tat prāpya yad amṛtā devāḥ tad amṛto bhavati ya evaṃ veda
4.15.0	athātaḥ pitāputrīyaṃ saṃpradānam iti cācakṣate
4.15.1	pitā putraṃ preṣyann āhvayati
4.15.2	navais tṛṇair agāraṃ saṃstīryāgnim upasamādhāyodakumbhaṃ sapātram upanidhāyāhatena vāsasā saṃpracchannaḥ pitā śete
4.15.3	etya putra upariṣṭād abhinipadyata indriyair indriyāṇi saṃspṛśya
4.15.4	api vāsmā āsīnāyābhimukhāyaiva sampradadyāt
4.15.5	athāsmai samprayacchati
4.15.6	vācaṃ me tvayi dadhānīti pitā
4.15.7	vācaṃ te mayi dadha iti putraḥ
4.15.8	prāṇaṃ me tvayi dadhānīti pitā
4.15.9	prāṇaṃ te mayi dadha iti putraḥ
4.15.10	cakṣur me tvayi dadhānīti pitā
4.15.11	cakṣus te mayi dadha iti putraḥ
4.15.12	śrotraṃ me tvayi dadhānīti pitā
4.15.13	śrotraṃ te mayi dadha iti putraḥ
4.15.14	annarasān me tvayi dadhānīti pitā
4.15.15	annarasāṃste mayi dadha iti putraḥ
4.15.16	karmāṇi me tvayi dadhānīti pitā
4.15.17	karmāṇi te mayi dadha iti putraḥ
4.15.18	sukhaduḥkhe me tvayi dadhānīti pitā
4.15.19	sukhaduḥkhe te mayi dadha iti putraḥ
4.15.20	ānandaṃ ratiṃ prajātiṃ me tvayi dadhānīti pitā
4.15.21	ānandaṃ ratiṃ prajātiṃ te mayi dadha iti putraḥ
4.15.22	ityāṃ me tvayi dadhānīti pitā
4.15.23	ityāṃ te mayi dadha iti putraḥ
4.15.24	dhiyo vijñātavyaṃ kāmān me tvayi dadhānīti pitā
4.15.25	dhiyo vijñātavyaṃ kāmāṃste mayi dadha iti putraḥ
4.15.26	mano me tvayi dadhānīti pitā
4.15.27	manas te mayi dadha iti putraḥ
4.15.28	prajñāṃ me tvayi dadhānīti pitā
4.15.29	prajñāṃ te mayi dadha iti putraḥ
4.15.30	yad u vā upābhigadaḥ syāt samāsenaiva brūyāt
4.15.31	prāṇān me tvayi dadhānīti pitā
4.15.32	prāṇāṃs te mayi dadha iti putraḥ
4.15.33	atha dakṣiṇāvṛd upaniṣkrāmati
4.15.34	taṃ pitānumantrayate
4.15.35	yaśo brahmavarcasaṃ kīrtis tvā juṣatām iti
4.15.36	athetaraḥ savyam anvaṃsam abhyavekṣate
4.15.37	pāṇināntardhāya vasanāntena vā pracchādya svargāṃllokān kāmān āpnuhīti
4.15.38	sa yadyagadaḥ syāt putrasyaiśvarye pitā vaset pari vā vrajet
4.15.39	yadyu vai preyāt tathaivainaṃ samāpayeyuḥ yathā samāpayitavyo bhavati yathā samāpayitavyo bhavati
5.1.1	pratardano ha vai daivodāsir indrasya priyaṃ dhāmopajagāma yuddhena ca pauruṣeṇa ca
5.1.2	taṃ indra uvāca pratardana varaṃ vṛṇīṣveti
5.1.3	sa hovāca pratardanaḥ tvam eva me vṛṇīṣva yaṃ tvaṃ manuṣyāya hitatamaṃ manyasa iti
5.1.4	taṃ indra uvāca na vai varo 'varasmai vṛṇīte
5.1.5	tvam eva vṛṇīṣveti
5.1.6	avaro vai kila ma iti hovāca pratardanaḥ
5.1.7	atho khalvindraḥ satyād eva neyāya
5.1.8	satyaṃ hīndraḥ
5.1.9	taṃ hendra uvāca mām eva vijānīhi
5.1.10	etad evāhaṃ manuṣyāya hitatamaṃ manye yo māṃ vijānīyāt
5.1.11	triśīrṣāṇaṃ tvāṣṭram ahanam arurmukhān yatīn sālāvṛkebhyaḥ prāyaccham
5.1.12	bahvīḥ saṃdhā atikramya divi prahlādīyān atṛṇaham antarikṣe paulomān pṛthivyāṃ kālakhañjān
5.1.13	tasya me tatra na loma canāmīyata
5.1.14	sa yo māṃ veda na ha vai tasya kena ca karmaṇā loko mīyate na steyena na bhrūṇahatyayā na mātṛvadhena na pitṛvadhena
5.1.15	nāsya pāpaṃ cakruṣo mukhān nīlaṃ vyetīti
5.2.1	sa hovāca prāṇo 'smi prajñātmā
5.2.2	taṃ mām āyur amṛtam ityupāssva
5.2.3	āyuḥ prāṇaḥ
5.2.4	prāṇo vā āyuḥ
5.2.5	yāvaddhyasmin śarīre prāṇo bhavati tāvad āyuḥ
5.2.6	prāṇena hyevāsmiṃlloke 'mṛtatvam āpnoti prajñayā satyaṃ saṃkalpaṃ
5.2.7	sa yo mām āyur amṛtam ityupāste sarvam āyur asmiṃlloka eti
5.2.8	āpnotyamṛtatvam akṣitiṃ svarge loke
5.2.9	taddhaika āhur ekabhūyaṃ vai prāṇā gacchantīti
5.2.10	na hi kaścana śaknuyāt sakṛd vācā nāma prajñāpayituṃ cakṣuṣā rūpaṃ śrotreṇa śabdaṃ manasā dhyātum
5.2.11	ekabhūyaṃ vai prāṇā bhūtvaivaikaikam etāni sarvāṇi prajñāpayantīti
5.2.12	vācaṃ vadantīṃ sarve prāṇā anuvadanti
5.2.13	cakṣuḥ paśyat sarve prāṇā anupaśyanti
5.2.14	śrotraṃ śṛṇvat sarve prāṇā anuśṛṇvanti
5.2.15	mano dhyāyat sarve prāṇā anudhyāyanti
5.2.16	prāṇaṃ prāṇantaṃ sarve prāṇā anuprāṇanti
5.2.17	evam u haitad iti hendra uvāca
5.2.18	asti tveva prāṇānāṃ niḥśreyasam iti
5.3.1	jīvati vāgapetaḥ
5.3.2	mūkān hi paśyāmaḥ
5.3.3	jīvati cakṣurapetaḥ
5.3.4	andhān hi paśyāmaḥ
5.3.5	jīvati śrotrāpetaḥ
5.3.6	badhirān hi paśyāmaḥ
5.3.7	jīvati mano'petaḥ
5.3.8	bālān hi paśyāmaḥ
5.3.9	jīvati bāhucchinnaḥ
5.3.10	jīvatyūrucchinnaḥ
5.3.11	ityevaṃ hi paśyāma iti
5.3.12	atha khalu prāṇa eva prajñātmedaṃ śarīraṃ parigṛhyotthāpayati
5.3.13	tasmād etad evoktham upāsīteti
5.3.14	saiṣā prāṇe sarvāptiḥ
5.3.15	yo vai prāṇaḥ sā prajñā
5.3.16	yā vai prajñā sa prāṇaḥ
5.3.17	tasyaiṣaiva dṛṣṭiḥ
5.3.18	etad vijñānam
5.3.19	yatraitat puruṣaḥ suptaḥ svapnaṃ na kaṃcana paśyati athāsmin prāṇa evaikadhā bhavati
5.3.20	tad enaṃ vāk sarvair nāmabhiḥ sahāpyeti
5.3.21	cakṣuḥ sarvai rūpaiḥ sahāpyeti
5.3.22	śrotraṃ sarvaiḥ śabdaiḥ sahāpyeti
5.3.23	manaḥ sarvair dhyānaiḥ sahāpyeti
5.3.24	sa yadā pratibudhyate
5.3.25	yathāgner jvalataḥ sarvā diśo visphuliṅgā vipratiṣṭheran evam evaitasmād ātmanaḥ prāṇā yathāyatanaṃ vipratiṣṭhante prāṇebhyo devā devebhyo lokāḥ
