#Text:Aitareyāraṇyaka
#Edition:DCS version



1.1.1.1	om
1.3.8.12	sahasradhā pañcadaśāny uktheti pañca hi daśato bhavanti yāvad dyāvāpṛthivī tāvad it tad iti yāvatī vai dyāvāpṛthivī tāvān ātmā
1.3.8.13	sahasradhā mahimānaḥ sahasram ity ukthāny eva tad anumadati mahayati
1.3.8.14	yāvad brahma viṣṭhitaṃ tāvatī vāg iti yatra ha kva ca brahma tad vāg yatra vā vāk tad vā brahmety etat tad uktaṃ bhavati
1.3.8.15	eṣāṃ vā eṣāṃ sūktānāṃ navarcaṃ prathamaṃ nava vai prāṇāḥ prāṇānāṃ kﾱptyai
1.3.8.16	ṣaﾱṛcaṃ bhavati ṣaḍ vā ṛtava ṛtūnām āptyai
1.3.8.17	pañcarcaṃ bhavati pañcapadā paṅktiḥ paṅktir vā annam annādyasyāvaruddhyai
1.3.8.18	tṛco bhavati
1.3.8.19	trayo vā ime trivṛto lokā eṣām eva lokānām abhijityai
1.3.8.20	tā abhisaṃpadyante bṛhatīṃ chando 'mṛtaṃ devalokam eṣa ātmā
1.3.8.21	evam u haivaivaṃvid etayaiva saṃpadāmṛtam evātmānam abhisaṃbhavati sambhavati
1.4.1.1	atha sūdadohāḥ
1.4.1.2	prāṇo vai sūdadohāḥ prāṇena parvāṇi saṃdadhāti
1.4.1.3	athāto grīvāḥ
1.4.1.4	tā ācakṣate yathāchandasam uṣṇiha iti
1.4.1.5	atha sūdadohāḥ
1.4.1.6	prāṇo vai sūdadohāḥ prāṇena parvāṇi saṃdadhāti
1.4.1.7	athātaḥ śiraḥ
1.4.1.8	tad gāyatrīṣu bhavaty agraṃ vai chandasāṃ gāyatry agram aṅgānāṃ śiraḥ
1.4.1.9	tad arkavatīṣu bhavaty agnir vā arkaḥ
1.4.1.10	tā nava bhavanti navakapālaṃ vai śiraḥ
1.4.1.11	daśamīṃ śaṃsati tvak keśā ity eva sā bhavati
1.4.1.12	atho stomātiśaṃsanāyā eva
1.4.1.13	tau trivṛc ca stomo bhavato gāyatraṃ ca chanda etayor vai stomachandasoḥ prajātim anu sarvam idaṃ prajāyate yad idaṃ kiñca prajātyai
1.4.1.14	prajāyate prajayā paśubhir ya evaṃ veda
1.4.1.15	atha sūdadohāḥ
1.4.1.16	prāṇo vai sūdadohāḥ prāṇena parvāṇi saṃdadhāti
1.4.1.17	athāto vijavaḥ
1.4.1.18	tā virājo bhavanti tasmāt puruṣaḥ puruṣam āha vi vā asmāsu rājasi grīvā vai dhārayasīti stabhamānaṃ vā yad vā dutāḥ saṃbāḍhatamāḥ satyo 'nnatamāṃ pratyacyante 'nnaṃ hi virāḍ annam u vīryam
1.4.1.19	atha sūdadohāḥ
1.4.1.20	prāṇo vai sūdadohāḥ prāṇena parvāṇi saṃdadhāti
1.4.2.1	athāto dakṣiṇaḥ pakṣaḥ
1.4.2.2	so 'yaṃ lokaḥ so 'yam agniḥ sā vāk tad rathantaraṃ sa vasiṣṭhas tacchataṃ tāni ṣaḍ vīryāṇi bhavanti
1.4.2.3	saṃpāta eva kāmānām abhyāptyai pratiṣṭhityā annādyāya paṅktiḥ
1.4.2.4	atha sūdadohāḥ
1.4.2.5	prāṇo vai sūdadohāḥ prāṇena parvāṇi saṃdadhāti
1.4.2.6	athāta uttaraḥ pakṣaḥ
1.4.2.7	so 'sau lokaḥ so 'sāv ādityas tan manas tad bṛhat sa bharadvājas tacchataṃ tāni ṣaḍ vīryāṇi bhavanti
1.4.2.8	saṃpāta eva kāmānām abhyāptyai pratiṣṭhityā annādyāya paṅktiḥ
1.4.2.9	tā ūnātiriktau bhavato vṛṣā vai bṛhad yoṣā rathantaram atiriktaṃ vai puṃso nyūnaṃ striyai tasmād ūnātiriktau bhavataḥ
1.4.2.10	atho ekena ha vai pattreṇa suparṇasyottaraḥ pakṣo jyāyāṃs tasmād ekayarcottaraḥ pakṣo bhūyān bhavati
1.4.2.11	atha sūdadohāḥ
1.4.2.12	prāṇo vai sūdadohāḥ prāṇena parvāṇi saṃdadhāti
1.4.2.13	athātaḥ puccham
1.4.2.14	tā ekaviṃśatir dvipadā bhavanty ekaviṃśatir hīmāni pratyañci suparṇasya pattrāṇi bhavanti
1.4.2.15	atho ekaviṃśo vai stomānāṃ pratiṣṭhā pratiṣṭhā pucchaṃ vayasām
1.4.2.16	dvāviṃśīṃ śaṃsati pratiṣṭhayor eva tad rūpaṃ kriyate tasmāt sarvāṇi vayāṃsi pucchena pratitiṣṭhanti pucchenaiva pratiṣṭhāyotpatanti pratiṣṭhā hi puccham
1.4.2.17	sa eṣa dvābhyāṃ daśinībhyāṃ virāḍbhyām anayor dvāviṃśyor dvipadayor ayaṃ puruṣaḥ pratiṣṭhitaḥ
1.4.2.18	tasya yat suparṇarūpaṃ tad asya kāmānām abhyāptyai
1.4.2.19	atha yat puruṣarūpaṃ tad asya śriyai yaśase 'nnādyāyāpacityai
1.4.2.20	atha sūdadohāḥ
1.4.2.21	atha dhāyyā
1.4.2.22	atha sūdadohāḥ
1.4.2.23	vṛṣā vai sūdadohā yoṣā dhāyyā tad ubhayataḥ sūdadohasā dhāyyāṃ pariśaṃsati tasmād dvayo retaḥ siktam sad ekatām evāpyeti yoṣām evābhy ata ājānā hi yoṣātaḥ prajānā tasmād enām atra śaṃsati
1.4.3.1	gāyatrīṃ tṛcāśītiṃ śaṃsaty ayaṃ vai loko gāyatrī tṛcāśītir yad evāsmiṃlloke yaśo yan maho yan mithunaṃ yad annādyaṃ yāpacitis tad aśnavai tad āpnavāni tad avaruṇadhai tan me 'sad iti
1.4.3.2	atha sūdadohāḥ
1.4.3.3	prāṇo vai sūdadohāḥ prāṇenemaṃ lokaṃ saṃtanoti
1.4.3.4	bārhatīṃ tṛcāśītiṃ śaṃsaty antarikṣaloko vai bārhatī tṛcāśītir yad evāntarikṣaloke yaśo yan maho yan mithunaṃ yad annādyaṃ yāpacitis tad aśnavai tad āpnavāni tad avaruṇadhai tan me 'sad iti
1.4.3.5	atha sūdadohāḥ
1.4.3.6	prāṇo vai sūdadohāḥ prāṇenāntarikṣalokaṃ saṃtanoti
1.4.3.7	auṣṇihīṃ tṛcāśītiṃ śaṃsaty asau vai loko dyaur auṣṇihī tṛcāśītir yad evāmuṣmiṃlloke yaśo yan maho yan mithunaṃ yad annādyaṃ yāpacitiḥ yad devānāṃ daivaṃ tad aśnavai tad āpnavāni tad avaruṇadhai tan me 'sad iti
1.4.3.8	atha sūdadohāḥ
1.4.3.9	prāṇo vai sūdadohāḥ prāṇenāmuṃ lokaṃ saṃtanoti saṃtanoti
1.5.1.1	vaśaṃ śaṃsati vaśe ma idaṃ sarvam asad iti
1.5.1.2	tā ekaviṃśatir bhavanty ekaviṃśatir hi tā antar udare vikṛtayaḥ
1.5.1.3	atho ekaviṃśo vai stomānāṃ pratiṣṭhā pratiṣṭhodaram annādyānām
1.5.1.4	tā vichandaso bhavanti vikṣudram iva vā antastyam aṇīya iva ca sthavīya iva ca
1.5.1.5	tāḥ praṇāvaṃ chandaskāraṃ yathopapādaṃ śaṃsati yathopapādam iva vā antastyaṃ hrasīya iva ca drāghīya iva ca
1.5.1.6	atha sūdadohāḥ prāṇo vai sūdadohāḥ prāṇena parvāṇi saṃdadhāti
1.5.1.7	tām atrotsṛjati dvādaśakṛtvaḥ śastvā dvādaśavidhā vā ime prāṇāḥ sapta śīrṣaṇyā dvau stanyau trayo 'vāñco 'tra vai prāṇā āpyante 'tra saṃskriyante tasmād enām atrotsṛjati
1.5.1.8	indrāgnī yuvaṃ su na ity aindrāgnā ūrū urvaṣṭhīve pratiṣṭhe
1.5.1.9	tāḥ ṣaṭpadā bhavanti pratiṣṭhāyā eva dvipratiṣṭho vai puruṣaś catuṣpādāḥ paśavo yajamānam eva tad dvipratiṣṭhaṃ catuṣpātsu paśuṣu pratiṣṭhāpayati
1.5.1.10	dvitīyā saptapadā bhavati tāṃ gāyatrīṃ cānuṣṭubhaṃ ca karoti brahma vai gāyatrī vāg anuṣṭub brahmaṇaiva tad vācaṃ saṃdadhāti
1.5.1.11	triṣṭubham antataḥ śaṃsati vīryaṃ vai triṣṭub vīryeṇaiva tat paśūn parigacchati tasmāt paśavo vīryam anūpatiṣṭhanta īryatāṃ caivābhyutthānaṃ ca
1.5.2.1	pra vo mahe mandamānāyāndhasa ity aindre niṣkevalye nividaṃ dadhāti pratyakṣāddhyeva tad ātman vīryaṃ dhatte
1.5.2.2	tās triṣṭubjagatyo bhavanti
1.5.2.3	tad āhur atha kasmāt triṣṭubjagatīṣu nividaṃ dadhātīti
1.5.2.4	na ha vā etasyāhna ekaṃ chando nividaṃ dādhāra na vivyāceti tasmāt triṣṭubjagatīṣu nividaṃ dadhāti
1.5.2.5	tad etad ahas trinivitkaṃ vidyād vaśo nivid vālakhilyā nivin nivid eva nivid evam enat trinivitkaṃ vidyāt
1.5.2.6	atha sūkte vane na vā yo ny adhāyi cākan yo jāta eva prathamo manasvān iti tayor asty anne samasya yad asan manīṣā ity annādyasyāvaruddhyai
1.5.2.7	athāvapanam ete antareṇaindrīṇāṃ daśatīnāṃ triṣṭubjagatīnāṃ bṛhatīsampannānāṃ yāvatīr āvapante tāvanty ūrdhvam āyuṣo varṣāṇi jīvanty etena haivāvapanenāyur āpyate
1.5.2.8	prajāṃ me paśavo 'rjayann iti tv eva sajanīyam anuśaṃsati
1.5.2.9	tārkṣyaṃ śaṃsati svastyayanaṃ vai tārkṣyaḥ svastitāyai svastyayanam eva tat kurute
1.5.2.10	ekapadāṃ śaṃsaty ekadhedaṃ sarvam asānīty atho sarvāṃ chandaskṛtim āpnavānīti
1.5.2.11	indraṃ viśvā avīvṛdhann iti padānuṣaṅgās tāḥ saptānuṣajati sapta vai śīrṣan prāṇāḥ śīrṣann eva tat prāṇān dadhāty aṣṭamīṃ nānuṣajati vāg aṣṭamī nen me vāk prāṇair anuṣaktāsad iti tasmād u sā vāk samānāyatanā prāṇaiḥ saty ananuṣaktā
1.5.2.12	virājaḥ śaṃsaty annaṃ vai virājo 'nnādyasyāvaruddhyai
1.5.2.13	vāsiṣṭhena paridadhāti vasiṣṭho 'sānīti
1.5.2.14	eṣa stomo maha ugrāya vāha iti mahadvatyā rūpasamṛddhayā
1.5.2.15	dhurīvātyo na vājayann adhāyīty anto vai dhur anta etad ahar etasyāhno rūpam
1.5.2.16	indra tvāyam arka īṭṭe vasūnām ity arkavatyā rūpasamṛddhayā
1.5.2.17	divīva dyām adhi naḥ śromataṃ dhā iti yatra ha kva ca brahmaṇyā vāg udyate taddhāsya kīrtir bhavati yatraivaṃ vidvān etayā paridadhāti tasmād evaṃ vidvān etayaiva paridadhyāt
1.5.3.1	tat savitur vṛṇīmahe 'dyā no deva savitar iti vaiśvadevasya pratipadanucarāv aikāhikau rūpasamṛddhau bahu vā etasminn ahani kiñca kiñca vāraṇaṃ kriyate śāntyā eva śāntir vai pratiṣṭhaikāhaḥ śāntyām eva tat pratiṣṭhāyām antataḥ pratitiṣṭhanti
1.5.3.2	pratitiṣṭhati ya evaṃ veda yeṣāṃ caivaṃ vidvān etaddhotā śaṃsati
1.5.3.3	tad devasya savitur vāryaṃ mahad iti sāvitram anto vai mahad anta etad ahar etasyāhno rūpam
1.5.3.4	katarā pūrvā katarāparāyor iti dyāvāpṛthivīyaṃ samānodarkaṃ samānodarkaṃ vā etad ahar etasyāhno rūpam
1.5.3.5	anaśvo jāto anabhīśur ukthya ity ārbhavam
1.5.3.6	rathas tricakra iti yad etat trivat tad anto vai trivad anta etad ahar etasyāhno rūpam
1.5.3.7	asya vāmasya palitasya hotur iti vaiśvadevaṃ bahurūpaṃ bahurūpam vā etad ahar etasyāhno rūpam
1.5.3.8	gaurīr mimāya salilāni takṣatīty etadantam
1.5.3.9	ā no bhadrāḥ kratavo yantu viśvata iti vaiśvadevaṃ nividdhānam aikāhikaṃ rūpasamṛddhaṃ bahu vā etasminn ahani kiñca kiñca vāraṇaṃ kriyate śāntyā eva śāntir vai pratiṣṭhaikāhaḥ śāntyām eva tat pratiṣṭhāyām antataḥ pratitiṣṭhanti
1.5.3.10	pratitiṣṭhati ya evaṃ veda yeṣāṃ caivaṃ vidvān etaddhotā śaṃsati
1.5.3.11	vaiśvānarāya dhiṣaṇām ṛtāvṛdha ity āgnimārutasya pratipad anto vai dhiṣaṇānta etad ahar etasyāhno rūpam
1.5.3.12	prayajyavo maruto bhrājadṛṣṭaya iti mārutaṃ samānodarkaṃ samānodarkaṃ vā etad ahar etasyāhno rūpam
1.5.3.13	jātavedase sunavāma somam iti jātavedasyāṃ purastāt sūktasya śaṃsati svastyayanaṃ vai jātavedasyā svastitāyai svastyayanam eva tat kurute
1.5.3.14	imaṃ stomam arhate jātavedasa iti jātavedasyaṃ samānodarkaṃ samānodarkaṃ vā etad ahar etasyāhno rūpam ahno rūpam
2.1.1.1	eṣa panthaitat karmaitad brahmaitat satyam
2.1.1.2	tasmān na pramādyet tan nātīyāt
2.1.1.3	na hy atyāyan pūrve ye 'tyāyaṃs te parābabhūvuḥ
2.1.1.4	tad uktam ṛṣiṇā
2.1.1.5	prajā ha tisro atyāyam īyur ny anyā arkam abhito viviśre / bṛhaddha tasthau bhuvaneṣv antaḥ pavamāno harita ā viveśeti
2.1.1.6	prajā ha tisro atyāyam īyur iti yā vai tā imāḥ prajās tisro atyāyam āyaṃs tānīmāni vayāṃsi vaṅgāvagadhāś cerapādāḥ
2.1.1.7	ny anyā arkam abhito viviśra iti tā imāḥ prajā arkam abhito niviṣṭā imam evāgnim
2.1.1.8	bṛhaddha tasthau bhuvaneṣv antar ity ada u eva bṛhad bhuvaneṣv antar asāv ādityaḥ
2.1.1.9	pavamāno harita ā viveśeti vāyur eva pavamāno diśo harita āviṣṭaḥ
2.1.2.1	uktham uktham iti vai prajā vadanti tad idam evoktham iyam eva pṛthivīto hīdaṃ sarvam uttiṣṭhati yad idaṃ kiñca
2.1.2.2	tasyāgnir arko 'nnam aśītayo 'nnena hīdaṃ sarvam aśnute
2.1.2.3	antarikṣam evoktham antarikṣaṃ vā anupatanty antarikṣam anudhāvayanti tasya vāyur arko 'nnam aśītayo 'nnena hīdaṃ sarvam aśnute
2.1.2.4	asāv eva dyaur uktham amutaḥpradānāddhīdaṃ sarvam uttiṣṭhati yad idaṃ kiñca tasyāsāv ādityo 'rko 'nnam aśītayo 'nnena hīdaṃ sarvam aśnute
2.1.2.5	ity adhidaivatam
2.1.2.6	athādhyātmam
2.1.2.7	puruṣa evoktham ayam eva mahān prajāpatir aham uktham asmīti vidyāt
2.1.2.8	tasya mukham evokthaṃ yathā pṛthivī tathā
2.1.2.9	tasya vāg arko 'nnam aśītayo 'nnena hīdaṃ sarvam aśnute
2.1.2.10	nāsike evokthaṃ yathāntarikṣaṃ tathā
2.1.2.11	tasya prāṇo 'rko 'nnam aśītayo 'nnena hīdaṃ sarvam aśnute
2.1.2.12	tad etad bradhnasya viṣṭapaṃ yad etan nāsikāyai vinatam iva
2.1.2.13	lalāṭam evokthaṃ yathā dyaus tathā
2.1.2.14	tasya cakṣur arko 'nnam aśītayo 'nnena hīdaṃ sarvam aśnute
2.1.2.15	samānam aśītayo 'dhyātmaṃ cādhidaivataṃ cānnam evānnena hīmāni sarvāṇi bhūtāni samanantī3ṃ annenemaṃ lokaṃ jayaty annenāmuṃ tasmāt samānam aśītayo 'dhyātmaṃ cādhidaivataṃ cānnam eva
2.1.2.16	tad idam annam annādam iyam eva pṛthivīto hīdaṃ sarvam uttiṣṭhati yad idaṃ kiñca
2.1.2.17	yaddha kiñcedaṃ prertā3i tad asau sarvam atti yad u kiñcātaḥ praitī3ṃ tad iyaṃ sarvam atti seyam ity ādyāttrī
2.1.2.18	attā ha vā ādyo bhavati
2.1.2.19	na tasyeśe yan nādyād yad vainaṃ nādyuḥ
2.1.3.1	athāto retasaḥ sṛṣṭiḥ
2.1.3.2	prajāpate reto devā devānāṃ reto varṣaṃ varṣasya reta oṣadhaya oṣadhīnāṃ reto 'nnam annasya reto reto retaso retaḥ prajāḥ prajānāṃ reto hṛdayaṃ hṛdayasya reto mano manaso reto vāg vāco retaḥ karma tad idaṃ karma kṛtam ayaṃ puruṣo brahmaṇo lokaḥ
2.1.3.3	sa irāmayo yaddhīrāmayas tasmāddhiraṇmayaḥ
2.1.3.4	hiraṇmayo ha vā amuṣmiṃlloke sambhavati hiraṇmayaḥ sarvebhyo bhūtebhyo dadṛśe ya evaṃ veda
2.1.4.1	taṃ prapadābhyāṃ prāpadyata brahmemaṃ puruṣaṃ yat prapadābhyāṃ prāpadyata brahmemaṃ puruṣaṃ tasmāt prapade tasmāt prapade ity ācakṣate śaphāḥ khurā ity anyeṣāṃ paśūnām
2.1.4.2	tad ūrdhvam udasarpat tā ūrū abhavatām
2.1.4.3	uru gṛṇīhīty abravīt tad udaram abhavat
2.1.4.4	urv eva me kurv ity abravīt tad uro 'bhavat
2.1.4.5	udaraṃ brahmeti śārkarākṣyā upāsate hṛdayaṃ brahmety āruṇayo brahmāhaiva tā3i
2.1.4.6	ūrdhvaṃ tv evodasarpat tacchiro 'śrayata yacchiro 'śrayata tacchiro 'bhavat tacchirasaḥ śirastvam
2.1.4.7	tā etāḥ śīrṣañchriyaḥ śritāś cakṣuḥ śrotraṃ mano vāk prāṇaḥ
2.1.4.8	śrayante 'smiñchriyo ya evam etac chirasaḥ śirastvaṃ veda
2.1.4.9	tā ahiṃsantāham uktham asmy aham uktham asmīti
2.1.4.10	tā abruvan hantāsmāccharīrād utkrāmāma tad yasminn utkrānta idaṃ śarīraṃ patsyati tad ukthaṃ bhaviṣyatīti
2.1.4.11	vāg udakrāmad avadann aśnan pibann āstaiva
2.1.4.12	cakṣur udakrāmad apaśyann aśnan pibann āstaiva
2.1.4.13	śrotram udakrāmad aśṛṇvann aśnan pibann āstaiva
2.1.4.14	mana udakrāman mīlita ivāśnan pibann āstaiva
2.1.4.15	prāṇa udakrāmat tat prāṇa utkrānte 'padyata
2.1.4.16	tad aśīryatāśārītī3ṃ tac charīram abhavat taccharīrasya śarīratvam
2.1.4.17	śīryate ha vā asya dviṣan pāpmā bhrātṛvyaḥ parāsya dviṣan pāpmā bhrātṛvyo bhavati ya evaṃ veda
2.1.4.18	tā ahiṃsantaivāham uktham asmy aham uktham asmīti
2.1.4.19	tā abruvan hantedaṃ punaḥ śarīraṃ praviśāma tad yasmin naḥ prapanna idaṃ śarīram utthāsyati tad ukthaṃ bhaviṣyatīti
2.1.4.20	vāk prāviśad aśayad eva
2.1.4.21	cakṣuḥ prāviśad aśayad eva
2.1.4.22	śrotraṃ prāviśad aśayad eva
2.1.4.23	manaḥ prāviśad aśayad eva
2.1.4.24	prāṇaḥ prāviśat tat prāṇe prapanna udatiṣṭhat tad uktham abhavat
2.1.4.25	tad etad ukthā3ṃ prāṇa eva
2.1.4.26	prāṇa uktham ity eva vidyāt
2.1.4.27	taṃ devā abruvaṃs tvam uktham iti tvam idaṃ sarvam asi tava vayaṃ smas tvam asmākam asīti
2.1.4.28	tad apy etad ṛṣiṇoktam
2.1.4.29	tvam asmākaṃ tava smasīti
2.1.5.1	taṃ devāḥ prāṇayanta sa praṇītaḥ prātāyata prātāyītī3ṃ tat prātar abhavat samāgād itī3ṃ tat sāyam abhavad ahar eva prāṇo rātrir apānaḥ
2.1.5.2	vāg agniś cakṣur asāv ādityaś candramā mano diśaḥ śrotraṃ sa eṣa prahitāṃ saṃyogo 'dhyātmam imā devatā ada u āvir adhidaivatam ity etat tad uktaṃ bhavati
2.1.5.3	etaddha sma vai tad vidvān āha hiraṇyadan vaido na tasyeśe yan mahyaṃ na dadyur iti prahitāṃ vā aham adhyātmaṃ saṃyogaṃ niviṣṭaṃ vedaitaddha tat
2.1.5.4	anīśānāni ha vā asmai bhūtāni baliṃ haranti ya evaṃ veda
2.1.5.5	tat satyaṃ sad iti prāṇas tīty annaṃ yam ity asāv ādityas tad etat trivṛt trivṛd iva vai cakṣuḥ śuklaṃ kṛṣṇaṃ kanīniketi
2.1.5.6	sa yadi ha vā api mṛṣā vadati satyaṃ haivāsyoditaṃ bhavati ya evam etat satyasya satyatvaṃ veda
2.1.6.1	tasya vāk tantir nāmāni dāmāni tad asyedaṃ vācā tantyā nāmabhir dāmabhiḥ sarvaṃ sitaṃ sarvaṃ hīdaṃ nāmānī3ṃ sarvaṃ vācābhivadati
2.1.6.2	vahanti ha vā enaṃ tantisambaddhā ya evaṃ veda
2.1.6.3	tasyoṣṇig lomāni tvag gāyatrī triṣṭum māṃsam anuṣṭup snāvāny asthi jagatī paṅktir majjā prāṇo bṛhatī sa chandobhiś channo yac chandobhiś channas tasmāc chandāṃsīty ācakṣate
2.1.6.4	chādayanti ha vā enaṃ chandāṃsi pāpāt karmaṇo yasyāṃ kasyāṃcid diśi kāmayate ya evam etac chandasāṃ chandastvaṃ veda
2.1.6.5	tad uktam ṛṣiṇā
2.1.6.6	apaśyaṃ gopām ity eṣa vai gopā eṣa hīdaṃ sarvaṃ gopāyati
2.1.6.7	anipadyamānam iti na hy eṣa kadācana saṃviśati
2.1.6.8	ā ca parā ca pathibhiś carantam ity ā ca hy eṣa parā ca pathibhiś carati
2.1.6.9	sa sadhrīcīḥ sa viṣūcīr vasāna iti sadhrīcīś ca hy eṣa viṣūcīś ca vasta imā eva diśaḥ
2.1.6.10	ā varīvarti bhuvaneṣv antar ity eṣa hy antar bhuvaneṣv āvarīvarti
2.1.6.11	atho āvṛtāso 'vatāso na kartṛbhir iti sarvaṃ hīdaṃ prāṇenāvṛtam
2.1.6.12	so 'yam ākāśaḥ prāṇena bṛhatyā viṣṭabdhas tad yathāyam ākāśaḥ prāṇena bṛhatyā viṣṭabdha evaṃ sarvāṇi bhūtāny ā pipīlikābhyaḥ prāṇena bṛhatyā viṣṭabdhānīty evaṃ vidyāt
2.1.7.1	athāto vibhūtayo 'sya puruṣasya
2.1.7.2	tasya vācā sṛṣṭau pṛthivī cāgniś cāsyām oṣadhayo jāyante 'gnir enāḥ svadayatīdam āharatedam āharatety evam etau vācaṃ pitaraṃ paricarataḥ pṛthivī cāgniś ca
2.1.7.3	yāvad anu pṛthivī yāvad anv agnis tāvān asya loko bhavati nāsya tāval loko jīryate yāvad etayor na jīryate pṛthivyāś cāgneś ca ya evam etāṃ vāco vibhūtiṃ veda
2.1.7.4	prāṇena sṛṣṭāv antarikṣaṃ ca vāyuś cāntarikṣaṃ vā anu caranty antarikṣam anu śṛṇvanti vāyur asmai puṇyaṃ gandham āvahaty evam etau prāṇaṃ pitaraṃ paricarato 'ntarikṣaṃ ca vāyuś ca
2.1.7.5	yāvad anv antarikṣaṃ yāvad anu vāyus tāvān asya loko bhavati nāsya tāval loko jīryate yāvad etayor na jīryate 'ntarikṣasya ca vāyoś ca ya evam etāṃ prāṇasya vibhūtiṃ veda
2.1.7.6	cakṣuṣā sṛṣṭau dyauś cādityaś ca dyaur hāsmai vṛṣṭim annādyaṃ samprayacchaty ādityo 'sya jyotiḥ prakāśaṃ karoty evam etau cakṣuḥ pitaraṃ paricarato dyauś cādityaś ca
2.1.7.7	yāvad anu dyaur yāvad anv ādityas tāvān asya loko bhavati nāsya tāval loko jīryate yāvad etayor na jīryate divaś cādityasya ca ya evam etāṃ cakṣuṣo vibhūtiṃ veda
2.1.7.8	śrotreṇa sṛṣṭā diśaś ca candramāś ca digbhyo hainam āyantī3ṃ digbhyo viśṛṇoti candramā asmai pūrvapakṣāparapakṣān vicinoti puṇyāya karmaṇa evam ete śrotraṃ pitaraṃ paricaranti diśaś ca candramāś ca
2.1.7.9	yāvad anu diśo yāvad anu candramās tāvān asya loko bhavati nāsya tāval loko jīryate yāvad eteṣāṃ na jīryate diśāṃ ca candramasaś ca ya evam etāṃ śrotrasya vibhūtiṃ veda
2.1.7.10	manasā sṛṣṭā āpaś ca varuṇaś cāpo hāsmai śraddhāṃ saṃnamante puṇyāya karmaṇe varuṇo 'sya prajāṃ dharmeṇa dādhāraivam ete manaḥ pitaraṃ paricaranty āpaś ca varuṇaś ca
2.1.7.11	yāvad anv āpo yāvad anu varuṇas tāvān asya loko bhavati nāsya tāval loko jīryate yāvad eteṣāṃ na jīryate 'pāṃ ca varuṇasya ca ya evam etāṃ manaso vibhūtiṃ veda
2.1.8.1	āpā3 ity āpa iti tad idam āpa evedaṃ vai mūlam adas tūlam ayaṃ pitaite putrā yatra ha kva ca putrasya tat pitur yatra vā pitus tad vā putrasyety etat tad uktaṃ bhavati
2.1.8.2	etaddha sma vai tad vidvān āha mahidāsa aitareya āhaṃ māṃ devebhyo veda o mad devān vedetaḥpradānā hy eta itaḥ saṃbhṛtā iti
2.1.8.3	sa eṣa giriś cakṣuḥ śrotraṃ mano vāk prāṇas taṃ brahmagirir ity ācakṣate
2.1.8.4	girati ha vai dviṣantaṃ pāpmānaṃ bhrātṛvyaṃ parāsya dviṣan pāpmā bhrātṛvyo bhavati ya evaṃ veda
2.1.8.5	sa eṣo 'suḥ sa eṣa prāṇaḥ sa eṣa bhūtiś cābhūtiś ca
2.1.8.6	taṃ bhūtir iti devā upāsāṃcakrire te babhūvus tasmāddhāpyetarhi supto bhūr bhūr ity eva praśvasiti
2.1.8.7	abhūtir ity asurās te ha parābabhūvuḥ
2.1.8.8	bhavaty ātmanā parāsya dviṣan pāpmā bhrātṛvyo bhavati ya evam veda
2.1.8.9	sa eṣa mṛtyuś caivāmṛtaṃ ca
2.1.8.10	tad uktam ṛṣiṇā
2.1.8.11	apāṅ prāṅ eti svadhayā gṛbhīta ity apānena hy ayaṃ yataḥ prāṇo na parāṅ bhavati
2.1.8.12	amartyo martyenā sayonir ity etena hīdaṃ sarvaṃ sayoni martyāni hīmāni śarīrāṇī3ṃ amṛtaiṣā devatā
2.1.8.13	tā śaśvantā viṣūcīnā viyantā ny anyaṃ cikyur na ni cikyur anyam iti nicinvanti haivemāni śarīrāṇī3ṃ amṛtaivaiṣā devatā
2.1.8.14	amṛto ha vā amuṣmiṃl loke sambhavaty amṛtaḥ sarvebhyo bhūtebhyo dadṛśe ya evaṃ veda ya evaṃ veda
2.2.1.1	eṣa imaṃ lokam abhyārcat puruṣarūpeṇa ya eṣa tapati prāṇo vāva tad abhyārcat prāṇo hy eṣa ya eṣa tapati
2.2.1.2	taṃ śataṃ varṣāṇy abhyārcat tasmācchataṃ varṣāṇi puruṣāyuṣo bhavanti taṃ yac chataṃ varṣāṇy abhyārcat tasmācchatarcinas tasmāc chatarcina ity ācakṣata etam eva santam
2.2.1.3	sa idaṃ sarvaṃ madhyato dadhe yad idaṃ kiñca sa yad idaṃ sarvaṃ madhyato dadhe yad idaṃ kiñca tasmān mādhyamās tasmān mādhyamā ity ācakṣata etam eva santam
2.2.1.4	prāṇo vai gṛtso 'pāno madaḥ sa yat prāṇo gṛtso 'pāno madas tasmād gṛtsamadas tasmād gṛtsamada ity ācakṣata etam eva santam
2.2.1.5	tasyedaṃ viśvaṃ mitram āsīd yad idaṃ kiñca tad yad asyedaṃ viśvaṃ mitram āsīd yad idaṃ kiñca tasmād viśvāmitras tasmād viśvāmitra ity ācakṣata etam eva santam
2.2.1.6	taṃ devā abruvann ayaṃ vai naḥ sarveṣāṃ vāma iti taṃ yad devā abruvann ayaṃ vai naḥ sarveṣāṃ vāma iti tasmād vāmadevas tasmād vāmadeva ity ācakṣata etam eva santam
2.2.1.7	sa idaṃ sarvaṃ pāpmano 'trāyata yad idaṃ kiñca sa yad idaṃ sarvaṃ pāpmano 'trāyata yad idaṃ kiñca tasmād atrayas tasmād atraya ity ācakṣata etam eva santam
2.2.2.1	eṣa u eva bibhradvājaḥ prajā vai vājas tā eṣa bibharti yad bibharti tasmād bharadvājas tasmād bharadvāja ity ācakṣata etam eva santam
