#Text:Baudhāyanadharmasūtra
#Edition:Hultzsch
#Notes:DCS version



1.1.1	upadiṣṭo dharmaḥ prativedam
1.11.39	śunopahataḥ sacelo 'vagāheta
1.11.40	prakṣālya vā taṃ deśam agninā saṃspṛśya punaḥ prakṣālya pādau cācamya prayato bhavati
1.11.41	athāpy udāharanti / śunā daṣṭas tu yo vipro nadīṃ gatvā samudragām / prāṇāyāmaśataṃ kṛtvā ghṛtaṃ prāśya viśudhyati / suvarṇarajatābhyāṃ vā gavāṃ śṛṅgodakena vā / navaiś ca kalaśaiḥ snātvā sadya eva śucir bhavet / iti
1.12.1	abhakṣyāḥ paśavo grāmyāḥ
1.12.2	kravyādāḥ śakunayaś ca
1.12.3	tathā kukkuṭasūkaram
1.12.4	anyatrājāvibhyaḥ
1.12.5	bhakṣyāḥ śvāvidgodhāśaśaśalyakakacchapakhaḍgāḥ khaḍgavarjāḥ pañca pañcanakhāḥ
1.12.6	tatharśyahariṇapṛṣatamahiṣavarāhakuluṅgāḥ kuluṅgavarjāḥ pañca dvikhuriṇaḥ
1.12.7	pakṣiṇas tittirikapotakapiñjalavārdhrāṇasamayūravāraṇā vāraṇavarjāḥ pañca viṣkirāḥ
1.12.8	matsyāḥ sahasradaṃṣṭraś cilicimo varmibṛhacchiromaśakarirohitarājīvāḥ
1.12.9	anirdaśāhasaṃdhinīkṣīram apeyam
1.12.10	vivatsānyavatsayoś ca
1.12.11	āvikam auṣṭrikam aikaśapham apeyam
1.12.12	apeyapayaḥpāne kṛcchro 'nyatra gavyāt
1.12.13	gavye tu trirātram upavāsaḥ
1.12.14	paryuṣitaṃ śākayūṣamāṃsasarpiḥśṛtadhānāguḍadadhimadhusaktuvarjam
1.12.15	śuktāni tathājāto guḍaḥ
1.12.16	śrāvaṇyāṃ paurṇamāsyām āṣāḍhyāṃ vopākṛtya taiṣyāṃ māghyāṃ votsṛjeyuḥ / utsṛjeyuḥ
1.13.1	śucim adhvaraṃ devā juṣante
1.13.2	śucikāmā hi devāḥ śucayaś ca
1.13.3	tad eṣābhivadati / om / śucī vo havyā marutaḥ śucīnāṃ śuciṃ hinomy adhvaraṃ śucibhyaḥ / ṛtena satyam ṛtasāpa āyañśucijanmānaḥ śucayaḥ pāvakāḥ / iti
1.13.4	ahataṃ vāsasāṃ śuci / tasmād yat kiṃ cejyāsaṃyuktaṃ syāt sarvaṃ tad ahatair vāsobhiḥ kuryāt
1.13.5	prakṣālitopavātāny akliṣṭāni vāsāṃsi patnīyajamānāv ṛtvijaś ca paridadhīran
1.13.6	evaṃ prakramād ūrdhvam
1.13.7	dīrghasomeṣu sattreṣu caivam
1.13.8	yathāsamāmnātaṃ ca
1.13.9	yathaitad abhicaraṇīyeṣv iṣṭipaśusomeṣu lohitoṣṇīṣā lohitavāsasaś cartvijaḥ pracareyuś citravāsasaś citrāsaṅgā vṛṣākapāv iti ca
1.13.10	agnyādhāne kṣaumāṇi vāsāṃsi teṣām alābhe kārpāsikāny aurṇāni vā bhavanti
1.13.11	mūtrapurīṣalohitaretaḥprabhṛtyupahatānāṃ mṛdādbhir iti prakṣālanam
1.13.12	vāsovat tārpyavalkalānām
1.13.13	valkalavat kṛṣṇājinānām
1.13.14	na parihitam adhirūḍham aprakṣālitaṃ prāvaraṇam
1.13.15	nāpalpūlitaṃ manuṣyasaṃyuktaṃ devatrā yuñjyāt
1.13.16	ghanāyā bhūmer upaghāta upalepanam
1.13.17	suṣirāyāḥ karṣaṇam
1.13.18	klinnāyā medhyam āhṛtya pracchādanam
1.13.19	caturbhiḥ śudhyate bhūmir gobhir ākramaṇāt khananād dahanād abhivarṣaṇāt
1.13.20	pañcamāc copalepanāt ṣaṣṭhāt kālāt
1.13.21	asaṃskṛtāyāṃ bhūmau nyastānāṃ tṛṇānāṃ prakṣālanam
1.13.22	parokṣopahatānām abhyukṣaṇam
1.13.23	evaṃ kṣudrasamidhām
1.13.24	mahatāṃ kāṣṭhānām upaghāte prakṣālyāvaśoṣaṇam
1.13.25	bahūnāṃ tu prokṣaṇam
1.13.26	dārumayāṇāṃ pātrāṇām ucchiṣṭasamanvārabdhānām avalekhanam
1.13.27	ucchiṣṭalepopahatānām avatakṣaṇam
1.13.28	mūtrapurīṣalohitaretaḥprabhṛtyupahatānām utsargaḥ
1.13.29	tad etad anyatra nirdeśāt
1.13.30	yathaitad agnihotre gharmocchiṣṭe ca dadhigharme ca kuṇḍapāyinām ayane cotsargiṇām ayane ca dākṣāyaṇayajñe ceḍādadhe ca catuścakre ca brahmaudaneṣu ca teṣu sarveṣu darbhair adbhiḥ prakṣālanam
1.13.31	sarveṣv eva somabhakṣeṣv adbhir eva mārjālīye prakṣālanam
1.13.32	mūtrapurīṣalohitaretaḥprabhṛtyupahatānām utsargaḥ
1.14.1	mṛnmayānāṃ pātrāṇām ucchiṣṭasamanvārabdhānām avakūlanam
1.14.2	ucchiṣṭalepopahatānāṃ punardahanam
1.14.3	mūtrapurīṣalohitaretaḥprabhṛtyupahatānām utsargaḥ
1.14.4	taijasānāṃ pātrāṇāṃ pūrvavat parimṛṣṭānāṃ prakṣālanam
1.14.5	parimārjanadravyāṇi gośakṛnmṛdbhasmeti
1.14.6	mūtrapurīṣalohitaretaḥprabhṛtyupahatānāṃ punaḥkaraṇam
1.14.7	gomūtre vā saptarātraṃ pariśāyanaṃ mahānadyāṃ vā
1.14.8	evam aśmamayānām
1.14.9	alābubilvavināḍānāṃ govālaiḥ parimārjanam
1.14.10	naḍaveṇuśarakuśavyūtānāṃ gomayenādbhir iti prakṣālanam
1.14.11	vrīhīṇām upaghāte prakṣālyāvaśoṣaṇam
1.14.12	bahūnāṃ tu prokṣaṇam
1.14.13	taṇḍulānām utsargaḥ
1.14.14	evaṃ siddhahaviṣām
1.14.15	mahatāṃ śvavāyasaprabhṛtyupahatānāṃ taṃ deśaṃ puruṣānnam uddhṛtya / pavamānaḥ suvarjana iti / etenānuvākenābhyukṣaṇam
1.14.16	madhūdake payovikāre ca pātrāt pātrāntarānayane śaucam
1.14.17	evaṃ tailasarpiṣī ucchiṣṭasamanvārabdhe udake 'vadhāyopayojayet
1.14.18	amedhyābhyādhāne samāropyāgniṃ mathitvā pavamāneṣṭiḥ
1.14.19	śaucadeśamantrāvṛdarthadravyasaṃskārakālabhedeṣu pūrvapūrvaprādhānyam / pūrvapūrvaprādhānyam
1.15.1	uttarata upacāro vihāraḥ
1.15.2	tathāpavargaḥ
1.15.3	viparītaṃ pitryeṣu
1.15.4	pādopahataṃ prakṣālayet
1.15.5	aṅgam upaspṛśya sicaṃ vāpa upaspṛśet
1.15.6	evaṃ chedanabhedanakhanananirasanapitryarākṣasanairṛtaraudrābhicaraṇīyeṣu
1.15.7	na mantravatā yajñāṅgenātmānam abhipariharet
1.15.8	abhyantarāṇi yajñāṅgāni
1.15.9	bāhyā ṛtvijaḥ
1.15.10	patnīyajamānāv ṛtvigbhyo 'ntaratamau
1.15.11	yajñāṅgebhya ājyam ājyāddhavīṃṣi havirbhyaḥ paśuḥ paśoḥ somaḥ somād agnayaḥ
1.15.12	yathākarmartvijo na vihārād abhiparyāvarteran
1.15.13	prāṅmukhaś ced dakṣiṇam aṃsam abhiparyāvarteta
1.15.14	pratyaṅmukhaḥ savyam
1.15.15	antareṇa cātvālotkarau yajñasya tīrtham
1.15.16	acātvāla āhavanīyotkarau
1.15.17	tataḥ kartāro yajamānaḥ patnī ca prapadyeran
1.15.18	visaṃsthite
1.15.19	saṃsthite ca saṃcaro 'nutkaradeśāt
1.15.20	nāprokṣitam aprapannaṃ klinnaṃ kāṣṭhaṃ samidhaṃ vābhyādadhyāt
1.15.21	agreṇāhavanīyaṃ brahmayajamānau prapadyete
1.15.22	jaghanenāhavanīyam ity eke
1.15.23	dakṣiṇenāhavanīyaṃ brahmāyatanaṃ tadapareṇa yajamānasya
1.15.24	uttarāṃ śroṇim uttareṇa hotuḥ
1.15.25	utkara āgnīdhrasya
1.15.26	jaghanena gārhapatyaṃ patnyāḥ
1.15.27	teṣu kāle kāla eva darbhān saṃstṛṇāti
1.15.28	ekaikasya codakamaṇḍalur upāttaḥ syād ācamanārthaḥ
1.15.29	vratopeto dīkṣitaḥ syāt
1.15.30	na parapāpaṃ vaden na krudhyen na roden mūtrapurīṣe nāvekṣeta
1.15.31	amedhyaṃ dṛṣṭvā japati / abaddhaṃ mano daridraṃ cakṣuḥ sūryo jyotiṣāṃ śreṣṭho dīkṣe mā mā hāsīr iti
1.15.32	atha yady enam abhivarṣati / undatīr balaṃ dhattaujo dhatta balaṃ dhatta mā me dīkṣāṃ mā tapo nirvadhiṣṭeti
1.16.1	catvāro varṇā brāhmaṇakṣatriyaviṭśūdrāḥ
1.16.2	teṣāṃ varṇānupūrvyeṇa catasro bhāryā brāhmaṇasya
1.16.3	tisro rājanyasya
1.16.4	dve vaiśyasya
1.16.5	ekā śūdrasya
1.16.6	tāsu putrāḥ savarṇānantarāsu savarṇāḥ
1.16.7	ekāntaradvyantarāsv ambaṣṭhograniṣādāḥ
1.16.8	pratilomāsv āyogavamāgadhavaiṇakṣattṛpulkasakukkuṭavaidehakacaṇḍālaḥ
1.16.9	ambaṣṭhāt prathamāyāṃ śvapākaḥ
1.16.10	ugrād dvitīyāyāṃ vaiṇaḥ
1.16.11	niṣādāt tṛtīyāyāṃ pulkasaḥ
1.16.12	viparyaye kukkuṭaḥ
1.16.13	niṣādena niṣādyām ā pañcamāj jāto 'pahanti śūdratām
1.16.14	tam upanayet ṣaṣṭhaṃ yājayet
1.16.15	saptamo 'vikṛtabījaḥ samabījaḥ sama ity eṣāṃ saṃjñāḥ krameṇa nipatanti
1.16.16	triṣu varṇeṣu sādṛśyād avrato janayet tu yān / tān sāvitrīparibhraṣṭān vrātyān āhur manīṣiṇaḥ / vrātyān āhur manīṣiṇa iti
1.17.1	rathakārāmbaṣṭhasūtogramāgadhāyogavavaiṇakṣattṛpulkasakukkuṭavaidehakacaṇḍālaśvapākaprabhṛtayaḥ
1.17.2	tatra savarṇāsu savarṇāḥ
1.17.3	brāhmaṇāt kṣatriyāyāṃ brāhmaṇo vaiśyāyām ambaṣṭhaḥ śūdrāyāṃ niṣādaḥ
1.17.4	pāraśava ity eke
1.17.5	kṣatriyād vaiśyāyāṃ kṣatriyaḥ śūdrāyām ugraḥ
1.17.6	vaiśyācchūdrāyāṃ rathakāraḥ
1.17.7	śūdrād vaiśyāyāṃ māgadhaḥ kṣatriyāyāṃ kṣattā brāhmaṇyāṃ caṇḍālaḥ
1.17.8	vaiśyāt kṣatriyāyām āyogavo brāhmaṇyāṃ vaidehakaḥ / kṣatriyād brāhmaṇyāṃ sūtaḥ
1.17.9	tatrāmbaṣṭhograyoḥ saṃyoge bhavatyanulomaḥ
1.17.10	kṣattṛvaidehakayoḥ pratilomaḥ
1.17.11	ugrāj jātaḥ kṣattryāṃ śvapākaḥ
1.17.12	vaidehakād ambaṣṭhāyāṃ vaiṇaḥ
1.17.13	niṣādācchūdrāyāṃ pulkasaḥ
1.17.14	śūdrān niṣādyāṃ kukkuṭaḥ
1.17.15	varṇasaṃkarād utpannān vrātyān āhur manīṣiṇaḥ / vrātyān āhur manīṣiṇa iti
1.18.1	ṣaḍbhāgabhṛto rājā rakṣet prajāḥ
1.18.2	brahma vai svaṃ mahimānaṃ brāhmaṇeṣv adadhād adhyayanādhyāpanayajanayājanadānapratigrahasaṃyuktaṃ vedānāṃ guptyai
1.18.3	kṣatre balam adhyayanayajanadānaśastrakośabhūtarakṣaṇasaṃyuktaṃ kṣatrasya vṛddhyai
1.18.4	viṭsv adhyayanayajanadānakṛṣivāṇijyapaśupālanasaṃyuktaṃ karmaṇāṃ vṛddhyai
1.18.5	śūdreṣu pūrveṣāṃ paricaryām
1.18.6	patto hy asṛjyanteti
1.18.7	sarvatodhuraṃ purohitaṃ vṛṇuyāt
1.18.8	tasya śāsane varteta
1.18.9	saṃgrāme na nivarteta
1.18.10	na karṇibhir na digdhaiḥ praharet
1.18.11	bhītamattonmattapramattavisaṃnāhastrībālavṛddhabrāhmaṇair na yudhyeta
1.18.12	anyatrātatāyinaḥ
1.18.13	athāpy udāharanti / adhyāpakaṃ kule jātaṃ yo hanyād ātatāyinam / na tena bhrūṇahā bhavati manyus tan manyum ṛcchati / iti
1.18.14	sāmudraśulko varaṃ rūpam uddhṛtya daśapaṇaṃ śatam
1.18.15	anyeṣām api sārānurūpyeṇānupahatya dharmyaṃ prakalpayet
1.18.16	abrāhmaṇasya pranaṣṭasvāmikaṃ rikthaṃ saṃvatsaraṃ paripālya rājā haret
1.18.17	avadhyo vai brāhmaṇaḥ sarvāparādheṣu
1.18.18	brāhmaṇasya brahmahatyāgurutalpagamanasuvarṇasteyasurāpāneṣu kusindhabhagasṛgālasurādhvajāṃs taptenāyasā lalāṭe 'ṅkayitvā viṣayān nirdhamanam
1.18.19	kṣatriyādīnāṃ brāhmaṇavadhe vadhaḥ sarvasvaharaṇam ca
1.18.20	teṣām eva tulyāpakṛṣṭavadhe yathābalam anurūpān daṇḍān prakalpayet
1.19.1	kṣatriyavadhe gosahasram ṛṣabhādhikaṃ rājña utsṛjed vairaniryātanārtham
1.19.2	śataṃ vaiśye daśa śūdra ṛṣabhaś cātrādhikaḥ
1.19.3	śūdravadhena strīvadho govadhaś ca vyākhyāto 'nyatrātreyyā vadhād dhenvanaḍuhoś ca
1.19.4	vadhe dhenvanaḍuhor ante cāndrāyaṇaṃ caret
1.19.5	ātreyyā vadhaḥ kṣatriyavadhena vyākhyātaḥ
1.19.6	haṃsabhāsabarhiṇacakravākapracalākakākolūkamaṇḍūkaḍiḍḍikaḍerikāśvababhrunakulādīnāṃ vadhe śūdravat
1.19.7	lokasaṃgrahaṇārthaṃ yathā dṛṣṭaṃ śrutaṃ vā sākṣī sākṣyaṃ brūyāt
1.19.8	pādo 'dharmasya kartāraṃ pādo gacchati sākṣiṇam / pādaḥ sabhāsadaḥ sarvān pādo rājānam ṛcchati / rājā bhavaty anenāś ca mucyante ca sabhāsadaḥ / eno gacchati kartāraṃ yatra nindyo ha nindyate
1.19.9	sākṣiṇaṃ caivam uddiṣṭaṃ yatnāt pṛcched vicakṣaṇaḥ
1.19.10	yāṃ rātrim ajaniṣṭhās tvaṃ yāṃ ca rātriṃ mariṣyasi / etayor antarā yat te sukṛtaṃ sukṛtaṃ bhavet / tat sarvaṃ rājagāmi syād anṛtaṃ bruvatas tava
1.19.11	trīn eva ca pitṝn hanti trīn eva ca pitāmahān / sapta jātān ajātāṃś ca sākṣī sākṣyaṃ mṛṣā vadan
1.19.12	hiraṇyārthe anṛte hanti trīn eva ca pitāmahān / pañca paśvanṛte hanti daśa hanti gavānṛte / śatam aśvānṛte hanti sahasraṃ puruṣānṛte / sarvaṃ bhūmyanṛte hanti sākṣī sākṣyaṃ mṛṣā vadan
1.19.13	catvāro varṇāḥ putriṇaḥ sākṣiṇaḥ syur anyatra śrotriyarājanyapravrajitamānuṣyahīnebhyaḥ
1.19.14	smṛtau pradhānataḥ pratipattiḥ
1.19.15	ato 'nyathā kartapatyam
1.19.16	dvādaśarātraṃ taptaṃ payaḥ pibet kūśmāṇḍair vā juhuyād iti / kūśmāṇḍair vā juhuyād iti
1.20.1	aṣṭau vivāhāḥ
1.20.2	śrutaśīle vijñāya brahmacāriṇe 'rthine dīyate sa brāhmaḥ
1.20.3	ācchādyālaṃkṛtya / eṣā saha dharmaś caryatām iti / prājāpatyaḥ
1.20.4	pūrvāṃ lājāhutiṃ hutvā gobhyāṃ sahārṣaḥ
1.20.5	dakṣiṇāsu nīyamānāsv antarvedy ṛtvije sa daivaḥ
1.20.6	dhanenopatoṣyāsuraḥ
1.20.7	sakāmena sakāmāyā mithaḥ saṃyogo gāndharvaḥ
1.20.8	prasahya haraṇād rākṣasaḥ
1.20.9	suptāṃ mattāṃ pramattāṃ vopagacched iti paiśācaḥ
1.20.10	teṣāṃ catvāraḥ pūrve brāhmaṇasya teṣv api pūrvaḥ pūrvaḥ śreyān
1.20.11	uttareṣām uttara uttaraḥ pāpīyān
1.20.12	atrāpi ṣaṣṭhasaptamau kṣatradharmānugatau tatpratyayatvāt kṣatrasya
1.20.13	pañcamāṣṭamau vaiśyaśūdrāṇām
1.20.14	ayantritakalatrā hi vaiśyaśūdrā bhavanti
1.20.15	karṣaṇaśuśrūṣādhikṛtatvāt
1.20.16	gāndharvam apy eke praśaṃsanti sarveṣāṃ snehānugatatvāt
1.21.1	yathā yukto vivāhas tathā yuktā prajā bhavatīti vijñāyate
1.21.2	athāpy udāharanti / krītā dravyeṇa yā nārī sā na patnī vidhīyate / sā na daive na sā pitrye dāsīṃ tāṃ kāśyapo 'bravīt
1.21.3	śulkena ye prayacchanti svasutāṃ lobhamohitāḥ / ātmavikrayiṇaḥ pāpā mahākilbiṣakārakāḥ / patanti narake ghore ghnanti cāsaptamaṃ kulam / gamanāgamanaṃ caiva sarvaṃ śulke vidhīyate
1.21.4	paurṇamāsyaṣṭakāmāvāsyāgnyutpātabhūmikampaśmaśānadeśapatiśrotriyaikatīrthaprayāṇeṣv ahorātram anadhyāyaḥ
1.21.5	vāte pūtigandhe nīhāre ca nṛttagītavāditraruditasāmaśabdeṣu tāvantaṃ kālam
1.21.6	stanayitnuvarṣavidyutsaṃnipāte tryaham anadhyāyo 'nyatra varṣākālāt
1.21.7	varṣākāle 'pi varṣavarjam ahorātrayoś ca tatkālam
1.21.8	pitryapratigrahabhojanayoś ca taddivasaśeṣam
1.21.9	bhojaneṣv ā jaraṇam
1.21.10	pāṇimukho hi brāhmaṇaḥ
1.21.11	athāpy udāharanti / bhuktaṃ pratigṛhītaṃ ca nirviśeṣam iti śrutiḥ
1.21.12	pitaryuparate trirātram
1.21.13	dvayam u ha vai suśravaso 'nūcānasya reto brāhmaṇasyordhvaṃ nābher adhastād anyat / sa yad ūrdhvaṃ nābhes tena haitat prajāyate yad brāhmaṇān upanayati yad adhyāpayati yad yājayati yat sādhu karoti / sarvāsyaiṣa prajā bhavati / atha yad avācīnaṃ nābhes tena hāsyaurasī prajā bhavati / tasmācchrotriyam anūcānam aprajo 'sīti na vadanti
1.21.14	tasmād dvināmā dvimukho vipro dviretā dvijanmā ceti
1.21.15	śūdrāpapātraśravaṇasaṃdarśanayoś ca tāvantaṃ kālam
1.21.16	naktaṃ śivāvirāve nādhīyīta svapnāntam
1.21.17	ahorātrayoś ca saṃdhyayoḥ parvasu ca nādhīyīta
1.21.18	na māṃsam aśnīyān na striyam upeyāt
1.21.19	parvasu hi rakṣaḥpiśācā vyabhicāravanto bhavantīti vijñāyate
1.21.20	anyeṣu cādbhutotpāteṣv ahorātram anadhyāyo 'nyatra mānasāt
1.21.21	mānase 'pi jananamaraṇayor anadhyāyaḥ
1.21.22	athāpy udāharanti / hantyaṣṭamī hy upādhyāyaṃ hanti śiṣyaṃ caturdaśī / hanti pañcadaśī vidyāṃ tasmāt parvaṇi varjayet / tasmāt parvaṇi varjayed iti
2.1.1	athātaḥ prāyaścittāni
2.1.2	bhrūṇahā dvādaśa samāḥ
2.1.3	kapālī khaṭvāṅgī gardabhacarmavāsā araṇyaniketanaḥ śmaśāne dhvajaṃ śavaśiraḥ kṛtvā kuṭīṃ kārayet / tām āvaset / saptāgārāṇi bhaikṣaṃ caran svakarmācakṣāṇas tena prāṇān dhārayet / alabdhvopavāsaḥ
2.1.4	aśvamedhena gosavenāgniṣṭutā vā yajeta
2.1.5	aśvamedhāvabhṛthe vātmānaṃ pāvayet
2.1.6	athāpy udāharanti / amatyā brāhmaṇaṃ hatvā duṣṭo bhavati dharmataḥ / ṛṣayo niṣkṛtiṃ tasya vadanty amatipūrvake / matipūrvaṃ ghnatas tasya niṣkṛtir nopalabhyate
2.1.7	apagūrya caret kṛcchram atikṛcchraṃ nipātane / kṛcchraṃ cāndrāyaṇaṃ caiva lohitasya pravartane / tasmān naivāpagureta na ca kurvīta śoṇitam iti
2.1.8	nava samā rājanyasya
2.1.9	tisro vaiśyasya
2.1.10	saṃvatsaraṃ śūdrasya
2.1.11	striyāś ca
2.1.12	brāhmaṇavad ātreyyāḥ
2.1.13	gurutalpagas tapte lohaśayane śayīta
2.1.14	sūrmiṃ vā jvalantīṃ śliṣyet
2.1.15	liṅgaṃ vā savṛṣaṇaṃ parivāsyāñjalāv ādhāya dakṣiṇāpratīcyor diśor antareṇa gacched ā nipatanāt
2.1.16	stenaḥ prakīrya keśān saidhrakam musalam ādāya skandhena rājānaṃ gacched anena māṃ jahīti / tenainaṃ hanyāt
2.1.17	athāpy udāharanti / skandhenādāya musalaṃ steno rājānam anviyāt / anena śādhi māṃ rājan kṣatradharmam anusmaran / śāsane vā visarge vā steno mucyeta kilbiṣāt / aśāsanāt tu tad rājā stenād āpnoti kilbiṣam iti
2.1.18	surāṃ pītvoṣṇayā kāyaṃ dahet
2.1.19	amatyā pāne kṛcchrābdapādaṃ caret punarupanayanaṃ ca
2.1.20	vapanavrataniyamalopaś ca pūrvānuṣṭhitatvāt
2.1.21	athāpy udāharanti / amatyā vāruṇīṃ pītvā prāśya mūtrapurīṣayoḥ / brāhmaṇaḥ kṣatriyo vaiśyaḥ punaḥsaṃskāram arhati
2.1.22	surādhāne tu yo bhāṇḍe apaḥ paryuṣitāḥ pibet / śaṅkhapuṣpīvipakvena ṣaḍahaṃ kṣīreṇa vartayet
2.1.23	guruprayuktaś cen mriyeta gurus trīn kṛcchrāṃś caret
2.1.24	etad evāsaṃskṛte
2.1.25	brahmacāriṇaḥ śavakarmaṇā vratāvṛttir anyatra mātāpitror ācāryāc ca
2.1.26	sa ced vyādhīyīta kāmaṃ guror ucchiṣṭaṃ bhaiṣajyārthe sarvaṃ prāśnīyāt
2.1.27	yenecchet tena cikitset
2.1.28	sa yadā gadī syāt tad utthāyādityam upatiṣṭheta / haṃsaḥ śuciṣad iti / etayā
2.1.29	divā retaḥ siktvā trir apo hṛdayaṃgamāḥ pibed retasyābhiḥ
2.1.30	yo brahmacārī striyam upeyāt so 'vakīrṇī
2.1.31	sa gardabhaṃ paśum ālabheta
2.1.32	nairṛtaḥ paśuḥ puroḍāśaś ca rakṣodevato yamadevato vā
2.1.33	śiśnāt prāśitram apsv avadānaiś carantīti vijñāyate
2.1.34	api vāmāvāsyāyāṃ niśy agnim upasamādhāya dārvihomikīṃ pariceṣṭāṃ kṛtvā dve ājyāhutī juhoti / kāmāvakīrṇo 'smy avakīrṇo 'smi kāma kāmāya svāhā / kāmābhidrugdho 'smy abhidrugdho 'smi kāma kāmāya svāheti
2.1.35	hutvā prayatāñjaliḥ kavātiryaṅṅ agnim abhimantrayeta / saṃ mā siñcantu marutaḥ sam indraḥ saṃ bṛhaspatiḥ / saṃ māyam agniḥ siñcatv āyuṣā ca balena cāyuṣmantaṃ karotu meti
2.1.36	athāsya jñātayaḥ pariṣady udapātraṃ ninayeyur asāv aham itthaṃbhūta iti / caritvāpaḥ payo ghṛtaṃ madhu lavaṇam ity ārabdhavantaṃ brāhmaṇā brūyuś caritaṃ tvayeti / om itītaraḥ pratyāha / caritanirveśaṃ savanīyaṃ kuryuḥ
2.1.37	sagotrāṃ ced amatyopagacchen mātṛvad enāṃ bibhṛyāt
2.1.38	prajātā cet kṛcchrābdapādaṃ caritvā / yan ma ātmano mindābhūt / punar agniś cakṣur adād iti / etābhyāṃ juhuyāt
2.1.39	parivittaḥ parivettā yā cainaṃ parivindati / sarve te narakaṃ yānti dātṛyājakapañcamāḥ
2.1.40	parivittaḥ parivettā dātā yaś cāpi yājakaḥ / kṛcchradvādaśarātreṇa strī trirātreṇa śudhyatīti
2.2.1	atha patanīyāni
2.2.2	samudrasaṃyānam
2.2.3	brahmasvanyāsāpaharaṇam
2.2.4	bhūmyanṛtam
2.2.5	sarvapaṇyair vyavaharaṇam
2.2.6	śūdrasevanam
2.2.7	śūdrābhijananam
2.2.8	tadapatyatvaṃ ca
2.2.9	eteṣām anyatamaṃ kṛtvā
2.2.10	caturthakālā mitabhojinaḥ syur apo 'bhyaveyuḥ savanānukalpam / sthānāsanābhyāṃ viharanta ete tribhir varṣais tad apaghnanti pāpam
2.2.11	yad ekarātreṇa karoti pāpaṃ kṛṣṇaṃ varṇaṃ brāhmaṇaḥ sevamānaḥ / caturthakāla udakābhyavāyī tribhir varṣais tad apahanti pāpam
2.2.12	athopapātakāni
2.2.13	agamyāgamanaṃ gurvīsakhīṃ gurusakhīm apapātrāṃ patitāṃ ca gatvā bheṣajakaraṇaṃ grāmayājanaṃ raṅgopajīvanaṃ nāṭyācāryatā gomahiṣīrakṣaṇaṃ yac cānyad apy evaṃ yuktaṃ kanyādūṣaṇam iti
2.2.14	teṣāṃ tu nirveśaḥ patitavṛttir dvau saṃvatsarau
2.2.15	athāśucikarāṇi
2.2.16	dyūtam abhicāro 'nāhitāgner uñchavṛttitā samāvṛttasya bhaikṣacaryā tasya caiva gurukule vāsa ūrdhvaṃ caturbhyo māsebhyas tasya cādhyāpanaṃ nakṣatranirdeśaś ceti
2.2.17	teṣāṃ tu nirveśo dvādaśa māsān dvādaśa ardhamāsān dvādaśa dvādaśāhān dvādaśa ṣaḍahān dvādaśa tryahān dvādaśāhaṃ ṣaḍahaṃ tryaham ahorātram ekāham iti yathā karmābhyāsaḥ
2.2.18	atha patitāḥ samavasāya dharmāṃś careyur itaretarayājakā itaretarādhyāpakā mitho vivahamānāḥ / putrān saṃniṣpādya brūyur vipravrajatāsmat ta evam āryān sampratipatsyatheti
2.2.19	athāpi na sendriyaḥ patati
2.2.20	tad etena veditavyam / aṅgahīno 'pi sāṅgaṃ janayet
2.2.21	mithyaitad iti hārītaḥ
2.2.22	dadhidhānīsadharmāḥ striyaḥ syuḥ / yo hi dadhidhānyām aprayataṃ paya ātacya manthati na tacchiṣṭā dharmakṛtyeṣūpayojayanti
2.2.23	evam aśuci śukraṃ yan nirvartate na tena saha saṃprayogo vidyate
2.2.24	aśuciśukrotpannānāṃ teṣām icchatāṃ prāyaścittiḥ
2.2.25	patanīyānāṃ tṛtīyo 'ṃśaḥ strīṇām aṃśas tṛtīyaḥ
2.2.26	athāpy udāharanti / bhojanābhyañjanād dānād yad anyat kurute tilaiḥ / śvaviṣṭhāyāṃ kṛmir bhūtvā pitṛbhiḥ saha majjatīti
2.2.27	pitṝn vā eṣa vikrīṇīte yas tilān vikrīṇīte / prāṇān vā eṣa vikrīṇīte yas taṇḍulān vikrīṇīte / sukṛtāṃśān vā eṣa vikrīṇīte yaḥ paṇamāno duhitaraṃ dadāti
2.2.28	tṛṇakāṣṭham avikṛtaṃ vikreyam
2.2.29	athāpy udāharanti / paśavaś caikatodantā aśmā ca lavaṇoddhṛtaḥ / etad brāhmaṇa te paṇyaṃ tantuś cārajanīkṛta iti
2.2.30	pātakavarjaṃ vā babhruṃ piṅgalāṃ gāṃ romaśāṃ sarpiṣāvasicya kṛṣṇais tilair avakīryānūcānāya dadyāt
2.2.31	kūśmāṇḍair vā dvādaśāham
2.2.32	yad arvācīnam eno bhrūṇahatyāyās tasmān mucyata iti
2.2.33	pātakābhiśaṃsane kṛcchraḥ
2.2.34	tadabdo 'bhiśaṃsituḥ
2.2.35	saṃvatsareṇa patati patitena samācaran / yājanādhyāpanād yaunān na tu yānāsanāśanād iti
2.2.36	amedhyaprāśane prāyaścittir naiṣpurīṣyam / tat saptarātreṇāvāpyate
2.2.37	apaḥ payo ghṛtaṃ parāka iti pratitryaham uṣṇāni sa taptakṛcchraḥ
2.2.38	tryahaṃ prātas tathā sāyam ayācitaṃ parāka iti kṛcchraḥ
2.2.39	prātaḥ sāyam ayācitaṃ parāka iti trayaś catūrātrāḥ sa eṣa strībālavṛddhānāṃ kṛcchraḥ
