#Text:Gautamadharmasūtrapariśiṣṭa
#Edition:Aiyangar 1948
#Data entry:Oliver Hellwig



2.1.1	athāto dharmaśeṣān vyākhyāsyāmaḥ
2.13.6	yo vā svakarma parityajya parakarma samāśrayedanāpadi patitaḥ saḥ prakīrtitaḥ
2.13.7	pitṛtyāgī devatyāgī gurūṇāmapyapūjako gobrāhmaṇastrīvadhakṛd apaviddha iti kīrtitaḥ
2.13.8	āśākarastvadātā dātuśca pratiṣedhakaḥ [śaraṇāgataṃ yastyajati sa caṇḍālaḥ prakīrtitaḥ]
2.13.9	eteṣāmannamabhojyam
2.13.10	bhuktvā cāndrāyaṇaṃ caret
2.13.11	avaliptasya mūrkhasya duṣṭavṛttasyāśraddhadhānasyānnaṃ yo bhuṅkte sa bhrūṇahā bhavati
2.13.12	yativānaprasthapāśupatānām annam abhojyam
2.13.13	ye balād vandīkṛtā mlecchacaṇḍāladasyubhir aśubhaṃ gavādiprāṇihiṃsanarūpaṃ karma kāritās taducchiṣṭabhojanaṃ kharoṣṭraviḍvarāhāmiṣabhakṣaṇaṃ tatstrīṇāṃ tathā saṃgas tatstrībhiśca saha bhojanaṃ tatra māsoṣite dvijātau prājāpatyaṃ viśodhanam
2.14.1	avratasyānnam aputrasyānnaṃ bhuktvā trirātram abhojanam
2.14.2	alābukumbhīphalaraktaśigruraktamūlakaśvetavṛntākavanyavṛntākoṣaralavaṇaṃ hiṅgukarpūravarjitaniryāsān na bhakṣayet
2.14.3	matipūrvabhakṣaṇābhyāse prājāpatyam
2.14.4	akāmataḥ sakṛdbhakṣaṇe copavāsaḥ
2.14.5	paśupuroḍāśāder bhakṣaṇe 'nārtvijya ekopavāsaḥ
2.14.6	ghṛtaṃ vā yadi vā tailaṃ vipro nādyānnakhacyutam
2.14.7	adyāc cet tulyaṃ gomāṃsabhakṣaṇaiḥ
2.14.8	pūrvavat prāyaścittam
2.14.9	ekena pāṇinā dattaṃ ghṛtaṃ tailaṃ lavaṇaṃ pānīyaṃ pāyasaṃ ca nāśnīyāt
2.14.10	pītaśeṣaṃ pānīyaṃ pītvā brāhmaṇas trirātraṃ vrataṃ kuryāt
2.14.11	vāmahastena tathā
2.14.12	pādaśeṣaṃ pītaśeṣaṃ śaucaśeṣaṃ jalaṃ surāsamaṃ paryagnikaraṇaṃ vinā
2.14.13	vastrāṇām ekapuruṣodvāhyabhārādhikānāṃ sthūlānām anyeṣāṃ ca bahūnāṃ caṇḍalādispṛṣṭānāṃ valkakṛtāṃ ca prokṣaṇācchuddhiḥ
2.14.14	śvetasūkṣmavastreṣu paṇyeṣv anūtaneṣu viśatāṃ bahutvam
2.14.15	citravastreṣvekādaśasu bahutvam
2.14.16	paṇyeṣu nūtaneṣu tato nyūnatvādapi bahutvam
2.14.17	sauvarṇarajatayoś caṇḍālodakīrajasvalocchiṣṭasparśe triḥsaptabhasmabhir udakena ca śuddhiḥ
2.14.18	kāṃsyāder āvartanam
2.14.19	tāmrasyāmlodakācchuddhiḥ
2.14.20	pittalasyāpi sauvarṇavat
2.14.21	trapusīsāyasānāṃ bhasmajalābhyām
2.14.22	dhānyam ekapuruṣoddharaṇabhārādhikaṃ caṇḍālādispṛṣṭaṃ prokṣaṇācchudhyet
2.14.23	ekapuruṣabhāraṃ prakṣālanācchudhyet
2.15.1	dhānye gṛhasthite gṛhadāhe sati dagdhe tatra narapaśumaraṇe taddhānyaṃ tyājyam
2.15.2	kusūlagarbhasthaṃ bhūmigarbhastham abhyukṣaṇācchudhyati
2.15.3	śāṇaṃ pāṇitalaṃ [palamaṣṭa] mānaṃ prasthamāḍhakaṃ droṇaṃ [droṇī] khārī ceti pūrvapūrvacaturguṇam
2.15.4	droṇapramāṇanirmite cānne śvagokharaviḍvarāhagrāmakukkuṭakākādispṛṣṭe spṛṣṭamātram uddhṛtya śeṣam annaṃ paryagnikṛtvā sahasragāyatryābhimantritajalaiḥ pavamānaḥ suvarjana ity anuvākena sakṛd abhimantritair vā jalair abhyukṣyaitad annaṃ śuddham astv iti vipravacanaṃ labdhvā śudhyet
2.15.5	evam adhikānnasyāpi
2.15.6	ghṛtadadhikṣīrāṇi śūddhabhāṇḍasthitāni dvijabhāṇḍaprakṣepaṇācchudhyanti
2.15.7	guḍalavaṇādīnāṃ paryagnikaraṇam
2.15.8	bālā upanayanād arvāk śuddhāḥ
2.15.9	śūrpavastravāyusparśanam anāyuṣyam apuṇyaṃ ca
2.15.10	evaṃ vastrakeśanakhādikam
2.15.11	divā svastriyaṃ gatvā matyā savastro 'po 'vagāhya prāṇāyāmena śudhyet
2.15.12	amatyā cet snānamātram
2.15.13	vipraṃ vādena nirjitya trirātropavāsaḥ
2.15.14	vipraṃ hantuṃ daṇḍodyame kṛcchram
2.15.15	tāḍane tv atikṛccham
2.15.16	asṛkpāte kṛcchrātikṛcchre
2.15.17	pramādena brāhmaṇaprahāre tūpopya snātvā prasādayet
2.15.18	asaṃnihitajaladeśe 'psv agnau viṇmūtram avaśaḥ karoti sacelaṃ snātvā gāṃ spṛṣṭā śudhyati
2.15.19	matyopavaset
2.15.20	matyā sūryodaye svapne tiṣṭhan sāvitrīṃ japann upavaset
2.15.21	snānādikarmalopa upavāsaḥ
2.15.22	aṣṭaśatajapo vā jīrṇamalavadvāsaso dhāraṇe
2.15.23	ṛtau bhāryāyā agamane 'rdhakṛccham
2.15.24	dīpapraśamanaṃ puṃsaḥ kūṣmāṇḍachedanaṃ striyaḥ kulakṣayakaraṃ bhaved dhruvam
2.16.1	asnātvā bhojane riktakamaṇḍaluvahane copavāsaḥ
2.16.2	ekapaṅktau viṣameṇānnapradāne nadīpravāhabandhanādau vivāhavighnakaraṇe sameṣu viṣamapūjākaraṇe ca bhaikṣyānnena prājāpatyaṃ caret
2.16.3	amedhyagandhāghrāṇe prāṇāyāmam
2.16.4	kunakhī śyāvadantakaś ca kṛcchraṃ caritvā nakhāntāṃś coddharet
2.16.5	patitādipaṅktibhojana upoṣya pañcagavyam
2.16.6	nīlavastradhāraṇe caivam
2.16.7	kambale paṭṭavastre ca nailyaṃ na doṣaḥ
2.16.8	pālāśakāṣṭhakṛtapādukāpīṭhādyupayoge trirātram
2.16.9	guruśiṣyayoḥ svādhyāye sānāyyadohanakāle vivāhe varakanyayor antarāgamane 'bhyāse cāndrāyaṇam
2.16.10	anabhyāse tūpavāsaḥ
2.16.11	duḥsvapnāriṣṭadarśanādau ghṛtaṃ hiraṇyaṃ ca dadyāt
2.16.12	nābhiṃ vinānyagātreṣu tṛṇavṛkṣasamudbhavaḥ
2.16.13	mūrdhni kāṃsyānāṃ cūrṇanam
2.16.14	muṇḍanam
2.16.15	nagnatā
2.16.16	malināmbaradhāritvam
2.16.17	abhyaṅgaḥ
2.16.18	uccātprapatanam
2.16.19	dolārohaṇam
2.16.20	arjanaṃ padmalohānām
2.16.21	hayānāṃ ca māraṇam
2.16.22	raktapuṣpadrumacaṇḍālavarāhabhallūkakharoṣṭrāṇām ārohaṇam
2.16.23	pakvamāṃsatailakṛsarāṇāṃ bhakṣaṇam
2.16.24	nartanahasanavivāhagītagānāni
2.16.25	tantrīvādyavyatiriktavādyavādanam
2.16.26	sroto'vagāhanam
2.16.27	gomayavārisnānam
2.16.28	paṅkodakamajjanam
2.16.29	mahītoyasnānam
2.16.30	mātur jaṭharapraveśaḥ
2.16.31	śakradhvajacandrasūryāṇāṃ patanam
2.16.32	divyāntarikṣabhaumotpātaḥ
2.16.33	devabrāhmaṇabhūpālaprajānāṃ prakopanam
2.16.34	kumāryāliṅganam
2.16.35	puruṣamaithunam
2.16.36	svagātrāṇāṃ hāniḥ
2.16.37	dakṣiṇadiggamanam
2.16.38	vyādhipīḍanam
2.16.39	phalāpaharaṇam
2.16.40	śāḍvalaśoṣaṇam
2.16.41	gṛhapatanam
2.16.42	piśācakravyādavānaraiḥ krīḍanam
2.16.43	parād abhibhavaḥ
2.16.44	vyasanam
2.16.45	kāṣāyavastradhāraṇam
2.16.46	kāṣāyadravyakrīḍanam
2.16.47	snehāvagāhanam
2.16.48	evamādiṣu duḥsvapneṣu sahiraṇyājyapātre yan me mana iti mukham avalokya brāhmaṇāya dadyāt
2.16.49	anuhavaṃ parihavamiti sahasrakṛtvo vā japet
2.17.1	aṅgavaṅgakaliṅgadeśān gatvā punaḥ saṃskāramarhati
2.17.2	ātmanaḥ śakṛd vīkṣeta cet sūryaṃ brāhmaṇaṃ gāṃ vā paśyeta
2.17.3	agniṃ khaṭvāder adhaḥ kṛtvā darbhaiś ca pādau saṃmṛjyopavaset
2.17.4	kṣatriyavaiśyayor abhivādane tūpavāsaḥ
2.17.5	śūdrābhivādane tu trirātram
2.17.6	śayyārūḍhapādukopānahāropitapādocchiṣṭāndhakārasthaśrāddhakṛjjapahomadevatāpūjāniratājyasamitpuṣpakuśāgnyambumṛdannapāṇikaṃ viprasamūhastha cābhivādya trirātram
2.17.7	etat prāyaścittam abhivādyābhivādakayor api samānam
2.17.8	aśucirnābhivādayet
2.17.9	pitṛkāryāṇi kurvan
2.17.10	śayānaśca
2.17.11	saṃkrāntyādiniṣiddhakāle 'bhyaṅgabhojanamaithunādau sāvitrīsahasram apsu japet
2.17.12	caṇḍālarajakādispṛṣṭasparśe tūpavāsaḥ
2.17.13	abhyāse trirātram
2.17.14	yūpaṃ caṇḍālaṃ devalakaṃ vittārthaṃ devapūjakaṃ brāhmaṇaṃ ca spṛṣṭvā sacelasnānam
2.17.15	etadviṣṇvarcakaviṣayam
2.17.16	sūryacandrādyarcakānāṃ sadyaḥpatanam
2.17.17	tīrthayātrāṃ vinā śatayojanād adhikadūradeśago mahāpathikaḥ
2.17.18	prahasane 'nṛtabhāṣaṇe 'dhovāyusamutsarge mārjārasparśe karma kurvann apa upaspṛśet
2.18.1	bhuñjānasya mastake 'medhyapatane tadannaṃ tyaktvā nadyāṃ snātvā prāṇāyāmatrayam
2.18.2	bhuñjānasyāsagotrasparśane tadannaṃ tyaktvodakaṃ spṛśet
2.18.3	gotrasparśe tu bhojanād viramya śuddhiḥ
2.18.4	bhuñjānasyocchiṣṭasparśane snānaṃ japaṃ ca kṛtvā dinānte ghṛtaprāśanam
2.18.5	caṇḍālādisparśe tvasnātvā bhojane cāndrāyaṇam
2.18.6	asaṃbhāṣyaiḥ saṃbhāṣaṇe puṇyakṛto manasā dhyāyet
2.18.7	brāhmaṇena vā saṃbhāṣeta
2.18.8	vinā yajñopavītenāmatyābbhakṣaṇe prāṇāyāmatrayam
2.18.9	bhojane naktam
2.18.10	bhuktvānācamyotthāne sadyaḥsnānam
2.18.11	indracāpaṃ palaśāgniṃ parasmai darśayitvopoṣya dhanurdaṇḍaṃ dakṣiṇāṃ ca dadyāt
2.18.12	apsu svapratibimbaṃ dṛṣṭvā mayi teja iti japet
2.18.13	kṣutvā bhuktvā suptvānṛte 'pi cācāmet
2.18.14	iti prakīrṇakaprāyaścittam
2.19.1	anṛtaṃ madyagandhaṃ divā svāpaṃ divā maithunaṃ nagnastrīdarśanaṃ paśvādisaṃgaṃ dṛṣṭvā vṛṣalānnaṃ ca punāti bahiḥsaṃdhyā hyupāsitā
2.19.2	agner manveti sūktaṃ jalamadhye sthitaḥ san japet
2.19.3	vitantugamanadoṣān mucyate
2.19.4	atha sarvapāpakṣayakarā mantrāḥ
2.19.5	viśvāni deva savitariti
2.19.6	ākṛṣṇeneti
2.19.7	ṛcaṃ vācaṃ prapadye mano yajuḥ prapadya ṛtaṃ prapadya iti
2.19.8	tathā gāyatrīsahasraṃ mahāpātakeṣu
2.19.9	prakīrṇakādiṣu śatam
2.19.10	athāpy udāharanti
2.19.11	śatajapyā mahādevī sarvapāpapraṇāśanī / sahasrajapyā ca tathā upapātakanāśanī
2.19.12	japyāyutaṃ tathā daivī sarvakalmaṣanāśanī / lakṣaṃ japyā tu sā devī mahāpātakanāśanī
2.19.13	suvarṇasteyakṛd vipro brahmahā gurutalpagaḥ / surāpaś ca viśudhyanti lakṣaṃ japtvā na saṃśaya iti
2.19.14	ekādaśānāṃ rudrānuvākānāṃ samūho rudraikādaśinī
2.19.15	sā ca viśeṣataḥ sarvapāpaharā
2.19.16	ekādaśaguṇān vāpi rudrān āvṛtya dharmavit / mahadbhyaḥ sa tu pāpebhyo mucyate nātra saṃśayaḥ
2.19.17	mahāpātakeṣv ekādaśāvṛttikathanād atipātakādiṣu caturthāśo hrāsaḥ kalpyaḥ
2.20.1	pākayajñā vidhiyajñāḥ sarve te japayajñasya ṣoḍaśīṃ kalāṃ nārhanti
2.20.2	sarveṣāṃ yajñānām uttamo japayajñaḥ
2.20.3	yakṣarākṣasapiśācā atibhīṣaṇā grahāśca japinaṃ nopasarpanti
2.20.4	dūrād eva ca prayānti
2.20.5	sasāgarakāñcanasaṃpūrṇapṛthivīdānādadhikaṃ puṇyaṃ sakṛdrudrajapāt
2.20.6	sahasrābdatapaścaryādadhikaṃ puṇyaṃ sakṛdrudrajapād bhavati
2.20.7	koṭigodānādadhikaṃ puṇyaṃ sakṛdrudrajapāt
2.20.8	sarvayajñatapodānatīrthāni rudrajapasya ṣoḍaśīṃ kalāṃ nārhanti
2.20.9	kṛṣṇājine sarpirmadhuhiraṇyatilān nikṣipya yastu viprāya dadāti sa sarvaṃ duṣkṛtaṃ tarati
2.20.10	ādau vedasvīkaraṇaṃ vicāro 'bhyasanaṃ japo dānaṃ viprebhya iti vedābhyāsaḥ pañcadhā
2.20.11	brahmāham asmīti lakṣaṇaṃ yaḥ kuryādātmacintanaṃ sarvapātakaṃ harati yathā tamaḥ sūryodaye sūryodaye
