#Text:Bhāradvājaśrautasūtra
#Edition:Kashikar
#Data entry:F. Voegeli
#Notes:Sandhis around Mantras restored. 13.13ff. digitized and proofread by O. Hellwig.



1.1.1	darśapūrṇamāsau vyākhyāsyāmaḥ
4.16.4	etenaiva brahmābhimṛśati
4.17.1	anūyājasamidham ādhīyamānām abhimantrayata eṣā te agni samit tayā vardhasva cā ca pyāyasva / vardhatāṃ ca te yajñapatir ā ca pyāyatām / vardhiṣīmahi ca vayamā ca pyāsiṣīmahīti
4.17.2	āhitāyām āhavanīyaṃ yaṃ te agna āvṛścāmy ahaṃ vā kṣipitaś caran / prajāṃ ca tasya mūlaṃ ca nīcair devā nivṛścata // agne yo no 'bhidāsati samāno yaś ca niṣṭayaḥ / idhmasyeva prakṣāyato mā tasyoccheṣi kiṃcana // yo māṃ dveṣṭi jātavedo yaṃ cāhaṃ dviṣma yaś ca mām / sarvāṃs tān agne saṃdaha yaṃś cāhaṃ dveṣmi ye ca mām // iti
4.17.3	idhmasaṃnahanaṃ hutam anumantrayate vedir barhiḥ śritaṃ havir idhmaḥ paridhayaḥ srucaḥ / ājyaṃ yajña ṛco yajur yājyāś ca vaṣaṭkārāḥ / saṃ me saṃnatayo namantām idhmasaṃnahane hute // iti
4.17.4	anūyājānām iṣṭam anumantrayate barhiṣo 'haṃ devayajyayā prajāvān bhūyāsam ity etaiḥ pratimantram
4.17.5	srucau vyūhyamāne vājatībhyām abhimantrayate vājasya mā prasaveneti dvābhyām
4.17.6	paridhīn ajyamānān abhimantrayate vasūn devān yajñenāpriprem / rudrān devān yajñenāpriprem / ādityān devānyajñenāpreprem iti
4.18.1	prastaram ajyamānam abhimantrayate samaṅktāṃ barhir haviṣā ghṛtena samādityair vasubhiḥ saṃ marudbhiḥ / sam indreṇa viśvebhir devebhir aṅktāṃ divyaṃ nabho gacchatu yat svāhā // iti
4.18.2	yatrābhijānāty agnir idaṃ havir juṣateti tan nigadāṃnigadāṃ devatām anumantrayate 'gner aham ujjitim anūjjeṣam ity etair mantrair yathādevatam
4.18.3	yarhi hotā yajamānasya nāma gṛhṇīyāt tarhi brūyād emā agmann āśiṣo dohakāmā iti
4.18.4	purastād apāttaṃ tṛṇam anuprahriyamāṇām anumantrayate divaḥ khīlo 'vatataḥ prthivyā adhyutthitaḥ / tenā sahasrakāṇḍena dviṣantaṃ śocayām asi / dviṣan me bahu śocatv oṣadhe mo ahaṃ śucam // iti
4.18.5	paridhiṣu prahriyamāṇeṣv āhavanīyam abhimantrayate vi te muñcāmi raśanā vi raśmīn iti
4.18.6	śaṃyuvākam abhimantrayate viṣṇoḥ śaṃyor ahaṃ devayajyayā yajñena pratiṣṭhāṃ gameyam iti
4.18.7	saṃsrāvabhāgān iṣṭāh anumantrayata iṣṭo yajño bhṛgubhir draviṇodā yatibhir āśīrdā vasubhir āśīrvānarthavabhiḥ / aṅgiraso māsya yajñasya prātar anuvākari ahauṣuḥ / tasya gacchatv ado ma āgamyād iti / yat kāmayate tasya nāma gṛhṇāti
4.19.1	antarvedi vedaṃ nidhāyābhimṛśati vedo 'si vittir asi videyety etair mantraiḥ
4.19.2	videyety ato 'nantaraṃ yad yad bhrātṛvyasyābhidhyāyet tasya nāma gṛhṇīyāt
4.19.3	patnīsaṃyājānām iṣṭam anumantrayate / somasyāhaṃ devayajyayeti prathamam / tvaṣṭur ahaṃ devayajyayeti divitīyam
4.19.4	rākāyā ahaṃ devayajyayā prajāvān bhūyāsam iti rākām / sinīvālyā ahaṃ devayajyayā paśumān bhūyāsam iti sinīvālīm / kuhvā ahaṃ devayajyayā puṣṭimān paśumān bhūyāsam iti kuhūm / etā eva tisraḥ patny anumantrayate mantāṃś ca saṃnamayati
4.19.5	uttamau patnīsaṃyājāv iṣṭāv anumantrayate devānāṃ patnīr agnir gṛhapatir yajñasya nithunaṃ tayor ahaṃ devayajyayā mithunena pra bhūyāsam iti
4.19.6	ājyeḍām anumantrayata iḍāsmān anu vastāṃ ghṛtena yasyāḥ pade punate devayantah / vaiśvānarī śakvarī vāvṛdhān apo yajñam asthita vaiśvadevī // iti
4.19.7	yā sarasvatī viśobhagīnā tasyāste bhaktivāno bhūyāsmeti phalīkaraṇahome hute mukhaṃ vimṛṣṭe
4.19.8	hute samiṣṭayajuṣi yajamānabhāgaṃ prāśnāti saṃ yajñapatir āśiṣeti
4.19.9	yadi yajamānaḥ pravaset prajāpatir vibhān nāma lokas tasmiṃs tvā dadhāmi saha yajamāneneti dhruvāyāṃ yajamānabhāgam avadhāya samiṣṭayajuṣā saha juhuyāt
4.20.1	purā pūrṇapātrāñ japati yajña śaṃ ma upa ca yajña śivo me saṃtiṣṭhasva sviṣṭo me saṃtiṣṭhasvāriṣṭome saṃtiṣṭhasva // yajña namas te yajña namo namaś ca te yajña / saṃtiṣṭhasva syonena me saṃtiṣṭhasva subhūtena me saṃtiṣṭhasva brahmavarcasena me saṃtiṣṭhasva yajñasyārddhim anu saṃtiṣṭhasva / upa te yajña nama upa te nama upa te nama iti
4.20.2	antarvedi praṇītā āsannā abhimṛśati ko vo 'yokṣīt sa vo vimuñcatv iti
4.20.3	athāsūpariṣṭāt saṃtatām udakadhārāṃ srāvayati sad asi san me bhūyā iti
4.20.4	athaināṃ pratidiśaṃ vyutsiñcati prācyāṃ diśi devā ṛtvijo mārjayantām ity etair mantrair yathārūpam
4.20.5	avaśiṣṭā antarvedi ninayati samudraṃ vaḥ prahiṇomi svāṃ yonim apigacchata / acchidraḥ prajayā bhūyāsaṃ māparāseci mat payaḥ // iti
4.20.6	mukhaṃ vimṛṣṭe yad apsu te sarasvati goṣv aśveṣu yan madhu / tena me vājinīvatī mukham aṅdhi sarasvati // iti
4.20.7	dakṣiṇe vedyante dakṣiṇena padā prāṅ viṣṇukramān krāmati viṣṇoḥ kramo 'sīty etais tribhir mantraiḥ / tiṣṭhaṃś caturthaṃ japati
4.20.8	tata ādityam upatiṣṭhate 'ganma suvaḥ suvar aganmeti pratipadya saṃ jyotiṣābhūvam ity antena
4.21.1	udyann adya mitramahaḥ saptnān me anīnaśaḥ / divainān vidyutā jahi nimrocann adharān kṛdhi // udyann adya vi nobhaja pitā putrebhyo yathā / dīrghāyus tvasya heśiṣe tasya no dehi sūrya // udyann adya mitramaha ārohann uttarāṃ divam / hrdrogaṃ mama sūrya harimāṇaṃ ca nāśaya // śukeṣu me harimāṇaṃ ropaṇākāsu dadhmasi / atho hāridraveṣu me har
4.21.2	pradakṣiṇam āvartate 'indrīm āvṛtam anvāvarte puṇyā bhavantu yā lakṣmīḥ parābhabantu yāḥ pāpīr iti
4.21.3	yady abhicared idam aham manuṣyām uṣyāyaṇasya śucā prāṇaṃ niveṣṭayāmīti dakṣiṇasya padaḥ pārṣṇyā niveṣṭayet
4.21.4	anvāhāryapacanam abhimantrayate 'gne vahne svaditaṃ nastanaye pituṃ paca / śaṃ tokāya tanuve syonaḥ // iti
4.21.5	tejo 'si ity abhiparyāvṛtyāhavanīyam abhimantrayate sam ahaṃ prajayā saṃ mayā prajeti
4.21.6	samiddho agne me dīdihi sameddhā te agne dīdyāsam ity upasamidhya vasumān yajño vasīyān bhūyāsam ity upasthāya gārhapatyam abhimantrayate 'gna āyuṃṣi pavasa iti pratipadya śataṃ himā ity antena
4.21.7	putrasya nāma gṛhṇāti tām āśiṣamā śāse tantave jyotiṣmatīm ity ajātaputraḥ / tām āśiṣamā śāse 'muṣmai jyotiṣmatīm iti jātaputraḥ
4.21.8	atha yadi bahuputraḥ syāt sarveṣāṃ nāmāni gṛhṇīyāj jyotiṣe tantave tveti
4.22.1	antarvedy āsīno 'tīmokṣān japati ye devā yajñahana ity etān
4.22.2	sarvaṃ vihāram abhimantrayate kas tvā sa tvā vi muñcatv iti
4.22.3	atraike yajamānabhāgasya prāśanaṃ samāmananti
4.22.4	sāṃnāyyayor api brāhmaṇo yajamānaḥ prāśnīyāt / idaṃ haviḥ prajananaṃ me astu daśavīraṃ sarvagaṇaṃ svastaye / ātmasani prajāsani paśusany abhayasani lokasani vṛṣṭisani // agniḥ prajāṃ bahulāṃ me karotv annaṃ payo reto asmāsu dhatta / rāyaspoṣam iṣam ūrjam asmāsu dīdharat // iti śṛṭasya / dadhikrāvṇo akāriṣam iti
4.22.5	tato vrataṃ visṛjate
4.22.6	dakṣiṇatas tiṣṭhann āhavanīyam abhimantrayate 'gne vratapate vratam acāriṣam iti
4.22.7	sa eṣa brāhmaṇasyaiva syān netarayor varṇayoḥ
4.22.8	vāyo vratapata iti vāyum upatiṣṭhate / āditya vratapata ity ādityam / vratānāṃ vratapata ity āhavanīyam
4.22.9	yajñasya punarālambhaṃ japati yajño babhuva sa ā babhūveti
4.22.10	prāṅ utkramya brūyād gomāṃ agna ity etām
4.22.11	yathānvavetam upaniṣkrāmann āha brāhmaṇāṃs tarpayitavā iti
4.22.12	tat khalv idaṃ yajamānaṃ na pravasato vidyata ity āśmarathyaḥ / athālekhanaḥ / evaṃvihitam evāsya pravasato yājamānaṃ bhavati / etāvan nānā / yāni saṃspṛśya karmāṇy adhvaryus tāni kuryāt
4.22.13	yajamānaḥ kāle tāṃ diśam abhimukho mantrān japet / prāṅmukhas tv eva viṣṇukramān gomatīm iti brūyād gomatīm iti brūyāt
5.1.1	agnīn ādhāsyamāno yo 'śvatthaḥ śamīgarbho bhūmiṃ mūlenāspṛṣṭas tasyāraṇī āharet / anāspṛṣṭa ity ekeṣām
5.1.2	yo aśvatthaḥ śamīgarbha ity etayā
5.1.3	uttarayā vā
5.1.4	brāhmaṇavyākhyātāḥ saṃbhārāḥ sapta pārthivāḥ sapta vānaspatyāḥ
5.1.5	tān āharati vaiśvānarasya rūpaṃ pṛthivyāṃ parisrasety etair mantrair yathārūpam
5.1.6	yaṃ tvā samabharaṃ jātaveda ity etayā saṃbhṛtaṃ saṃbhṛtaṃ yajamāno 'bhimṛśati
5.1.7	kṛttikāsu brāhmaṇa ādadhīta yaḥ kāmayeta mukhyo brahmavarcasī syām iti
5.1.8	rohiṇyām ādadhīta yaḥ kāmayeta sarvān rohān rohayeyam iti
5.1.9	mṛgaśīrṣa ādadhīta yaḥ kāmayeta śrīmāṇ syām iti
5.1.10	yaḥ purā bhadraḥ san pāpīyān syāt sa punar vasvor ādadhīta
5.1.11	yaḥ kāmayeta dānakāmā me prajāḥ syur iti sa pūrvayoḥ phalgunyor ādadhīta
5.1.12	yaḥ kāmayeta bhagī syām iti sa uttarayor ādadhīta
5.1.13	viparītam ekek samāmananti
5.1.14	hasta ādadhīta yaḥ kāmayeta pra me dīyeteti
5.1.15	yo bhrātṛvyavān syāt sa citrāyām ādadhīta
5.1.16	citrāyāṃ rājanya ādadhītety ekeṣām
5.1.17	viśākhayor ādadhīta prajākāmo 'nurādheṣv ṛddhikāmaḥ proṣṭhapadeṣu pratiṣṭhākāma iti vijñāyate
5.1.18	sūryanakṣatra eva syād ity ekeṣām
5.2.1	vasante brāhmaṇa ādadhīta
5.2.2	grīṣme hemante vā rājanyaḥ
5.2.3	śaradi vaiśyaḥ
5.2.4	varṣāsu rathakāraḥ
5.2.5	śiśiraḥ sārvavarṇikaḥ
5.2.6	atha yadi somena yakṣyamāṇaḥ syān na rtūn sūrkṣen na nakṣatram / yasminn eva kasmiṃś cid ṛtāv ādadhīta
5.2.7	amāvāsyāyāṃ vaiva paurṇamāsyām ādadhīta
5.2.8	yā pūrvābhyāṃ phalgunībhyāṃ paurṇamāsī syān na tasyām ādadhīta
5.2.9	vidyate caturthasya varṇasyāgnyādheyam ity ekam / na vidyata ity aparam
5.2.10	na jīvapitur agnyādheyaṃ vidyata ity ekam / vidyata ity aparam
5.2.11	udavasāyāgnīn ādhadhīta śālīnaḥ / na yāyāvara ādriyeta
5.2.12	prācīnapravaṇaṃ devayajanam adhyavasyate 'peta vīteti
5.2.13	tasminn udīcīṃ śālāṃ mītvāgreṇa madhyamaṃ vaṃśaṃ gārhapatyāyatanaṃ karoti
5.2.14	agreṇa gārhapatyāyatanam āhavanīyāya
5.2.15	aṣṭāsu prakrameṣu brāhamaṇo 'gnim ādadhīta / ekādaśasu rājanyaḥ / dvādaśasu vaiśyaḥ
5.2.16	caturviṃśatyām ādheya iti vijñāyate
5.2.17	aparimita ity ekeṣām
5.2.18	cakṣurnimita ity ekeṣām
5.2.19	dakṣiṇataḥ purastād vitṛtīyadeśe nedīyasi gārhapatyāyatanād dakṣiṇāgner āyatanaṃ karoti
5.2.20	agreṇāhavanīyāyatanaṃ samyaṃ minvati
5.2.21	agreṇa sabhyam āvasatham
5.2.22	tato yajamānaḥ keśaśmaśru vāpayate
5.2.23	kṣaume vasānau jāyāpatī agnim ādadhīyātām
5.2.24	te dakṣiṇākāle 'dhvaryave dattaḥ
5.2.25	purastād brāhmaudanikāt paridadhīyātām ity ekam / purastāt saṃbhāranivapanād ity apāram
5.2.26	yasmin nakṣatre 'gnim ādhāsyamānaḥ syāt tasya purastāt saṃvatsare dvādaśāhe caturahe tryahe dvyahe vaikāhe vā
5.3.1	adhivṛkṣasūrya aupāsanād agnim āhṛtyāpareṇa gārhapatyāyatanaṃ brahamaudanikam ādadhāti
5.3.2	niśāyām carmaṇi pājake vā brahmaudanaṃ catuḥśarāvaṃ tūṣṇīṃ nirvapati
5.3.3	api vā devasya tvā savituḥ prasave 'śvinor bāhubhyāṃ pūṣṇo hastābhyāṃ brahmaṇe prāṇāya juṣṭaṃ nirvapāmīti prathamam
5.3.4	brahmaṇe 'pānāyeti dvitīyam
5.3.5	brahmaṇe vyānāyeti tṛtīyam
5.3.6	brahṃaṇa iti caturtham / nirupya kṣīre śrapayati
5.3.7	caturṣu vodapātreṣu
5.3.8	na nirṇenekti nāvasañcatīty ekeṣām
5.3.9	jīvataṇḍulam iva śrapayitvoddhṛtya juhoti pra vedhase kavaya iti
5.3.10	athainaṃ caturdhā vyuddhṛtya sarpiṣopasicyān abhyucchindann iva caturbhya ārṣebhya upaharati
5.3.11	tebhyaḥ prāśitavadbhyaḥ samānaṃ varaṃ dadāti
5.3.12	brahmaudanaśeṣa ājyam ānīya citriyasyāśvatthasya samidhas tisra ārdrāḥ sapalāśāḥ stibhikavatīḥ prādeśamātrīr brahmaudane vivṛtyādadhāti
5.3.13	samidhāgniṃ duvasyateti gāyatrībhir brāhmaṇasya triṣṭugbhī rājanyasya jagatībhir vaiśyasya
5.3.14	sa etad vrataṃ caret
5.3.15	āgnyādheyān na māṃsam aśnīyān na striyam upeyāt
5.3.16	nāsyāgniṃ gṛhādd hareyur nānyata āhareyuḥ
5.3.17	naiṣo 'gnir anugaccchet
5.3.18	na prayāyāt
5.3.19	yady anu vā gacchet prayāyādevam eva brahmaudanaṃ paktvaiva samidha ādhāya bharaṇaśeṣaṃ samāpyāgnīn ādadhīta
5.3.20	yady enaṃ saṃvatsare nopanamed evam eva kuryāt
5.3.21	yas taṃ śvo 'gnim ādhāsyansyāt sa etāṃ rātriṃ vrataṃ carati
5.3.22	na māṃsam aśnāti na striyam upaiti noparyāste / jugupsetānṛtāt
5.3.23	adhvaryur eva vrataṃ cared ity ekam / sarva ity aparam
5.4.1	gārhapatyāyatane kalmāṣam ajaṃ badhnāti prajā agne saṃvāsayety etayā
5.4.2	vīṇātūṇavair etāṃ rātriṃ yajamānaṃ jāgarayanti puṇyaiś ca nīthyaiḥ
5.4.3	śalkais tāṃ rātrim agnim indhīta śalkair agnim indhānety etayā
5.4.4	tasminn upavyuṣam araṇī niṣṭapej jātavedo bhuvanasya reta iti dvābhyām
5.4.5	anugamayaty etam agnim
5.4.6	yajamānāyāraṇī prayacchaty agnī rakṣāṃsi sedhatīti
5.4.7	te yajamānaḥ pratīkṣate mahī viśpatnī sadane ṛtasyeti
5.4.8	ārohataṃ daśatam ity etayā pratigṛhyottarābhyām abhimantrayate
5.4.9	tato vācaṃ yacchaty anṛtāt satyam upaimīti
5.4.10	vāgyata āsta āgner manthanāt
5.4.11	tata ātmany agniṃ gṛhṇāte adhvaryur yajamānaś ca mayi gṛhṇāmy agre agnim iti dvābhyām
5.4.12	agnyāyatanāny uddhanty uddhanyamānam asyā amedhyam iti
5.4.13	uddhatyāvokṣati śaṃ no devīr abhiṣṭaya ity etayā
5.4.14	śuṣkeṣūpavāteṣu saṃbhārān nivapati
5.4.15	dvaidhaṃ vibhajyārdhān pūrveṣv ardhān aparayoḥ
5.4.16	agner bhasmāsy agneḥ purīṣam asīti gārhapatyāyatane sikatā nivapati
5.4.17	evam anvāhāryapacanāyatana evam āhavanīyāyatane evaṃ sabhyāvasathyayoḥ
5.4.18	evam anupūrvāṇy evaiṣv ata ūrdhvaṃ karmāṇi kriyante
5.5.1	ekaikaśaḥ pārthivān nivapati
5.5.2	saṃjñānam asi kāmadharaṇam ity ūṣān
5.5.3	nivapan yad adaś candram asi kṛṣṇaṃ tad ihāstv iti manasā dhyāyati
5.5.4	udehy agna ity ākhūtkaram
5.5.5	yat pṛthivyā anāmṛtam iti gārhapatyāyatane valmīkavapāṃ nivapati
5.5.6	yad antarikṣasyānāmṛtam ity anvāhāryapacanāyatane
5.5.7	yad divo 'nāmṛtam itītareṣu
5.5.8	ut samudrād iti sūdam
5.5.9	iyaty agra āsīr iti varāhavihatam
5.5.10	ado devīti śarkarāḥ
5.5.11	śarkarā nivapan yaṃ dviṣyāt taṃ dhyāyet
5.5.12	uttareṇa saṃbhārān sauvarṇān hiraṇyaśakalānupāsyati yās te śivās tanuvo jātaveda iti
5.5.13	ekaikam ādhāyādhāya rajataṃ dveṣyāyāti prayacchati
5.5.14	yadi dveṣyaṃ nādhigacched atipravidhyet
5.5.15	evaṃ saṃsṛjya vānaspatyān nivapati puṣkaraparṇam aśvattham udumbaraṃ palāśaṃ śamīṃ vikaṅkatam aśanihatasya vṛkṣasya kāṣṭham itaḥ prathamaṃ jajñe agnir ity etayā
5.5.16	sarvān saṃbhārān saṃprayauti saṃ yā vaḥ priyās tanuvaḥ // saṃ vaḥ sṛjāmi hṛdayānīti dvābhyām
5.6.1	brāhmaudanikasya bhasmāpodūhya daśahotrāraṇī samavadhāyopatiṣṭhaty aśve 'gniṃ manthati sahāgne 'gninā jāyasveti
5.6.2	mathyamāne caturhotṝn yajamānaṃ vācayati
5.6.3	jāte varaṃ dadāti
5.6.4	jātam abhiprāṇiti prajāpates tvā prāṇenābhiprāṇimīti
5.6.5	athainaṃ hastābhyāṃ parigṛhṇāty ajījanann amṛtaṃ martyāsa iti
5.6.6	tataḥ prāñcam uddhṛtyānuditaṃ āditye rathantare gīyamāna āsīnaḥ saṃbhāreṣu gārhapatyam ādadhāti
5.6.7	bhṛgūṇāṃ tvā vratapate vratenādadhāmīti bhārgavasyādadhyāt / aṅgirasāṃ tvā vratapate vratenādadhāmīti yo brāhmaṇa āṅgirasaḥ syāt / ādityānāṃ tvā devānāṃ vratapate vratenādadhāmīty anyāsāṃ brāhmaṇīnāṃ prajānām / varuṇasya tvā rājño vratapate vratenādadhāmīti rājñaḥ / indrasya tvendriyeṇa vratapate vratenādadhāmīti rājanyasya
5.6.8	saṃbhāreṣv eva sarvān agnīn ādadhāti
5.7.1	yatha rṣyādhānenādhāya vyāhṛtībhyām adadhāti bhūr bhuva iti
5.7.2	tataḥ sarparajñībhyāṃ bhūmir bhūmnety etayā ca dvitīyayā ca
5.7.3	etābhyām evāhitaṃ yajamāna upatiṣṭhate
5.7.4	tato gharmaśirasā gharmaḥ śira iti
5.7.5	etenaivāhitaṃ yajamāna upatiṣṭhate
5.7.6	tata etābhir antata ādadhāti
5.7.7	ṛtaṃ stṝṇāmi purīṣam // sugārhapatya iti caitābhyām
5.7.8	ahaṃ tvad asmīty āhitaṃ yajamāna upatiṣṭhate
5.7.9	tato 'śvasya dakṣiṇe karṇe 'gnitanūr yajamānaṃ vācayati yā vājinn agneḥ pavamānā paśuṣu priyā tanūs tām āvaha // yā vājinn agneḥ pāvakāpsu priyā tanūs tām āvaha // yā vājinn agneḥ sūrye śuciḥ priyā tanūs tām āvaha // iti
5.7.10	gārhapatya idhmam ādīpyāhavanīyam udyacchata ojase balāya tvodyaccha iti
5.7.11	uddhriyamāṇe vāmadevyaṃ gāyati
5.7.12	uparīvāgnim udgṛhṇīyād uddharan
5.7.13	nāsyadaghnam atiharet
5.7.14	udyatam idhmam upayataṃ dhārayanti
5.7.15	athānvāhāryapacanaṃ yataḥ kutaś cāhṛtyordhvañjur ādadhāti
5.7.16	araṇībhyāṃ vā mathitvā
5.7.17	yatha rṣyādhānenādhāya vyāhṛtyādadhāti bhuva iti
5.7.18	tataḥ sarparajñībhyāṃ bhūmir bhūmnety etayā ca tṛtīyayā ca
5.7.19	etābhyām evāhitaṃ yajamāna upatiṣṭhate
5.7.20	tato gharmaśirasā vātaḥ prāṇa iti
5.7.21	etenaivāhitaṃ yajamāna upatiṣṭhate
5.8.1	tato 'śvaprathamāḥ prāñco 'bhipravrajati prācīm anu pradiśaṃ prehi vidvān ity etayā / divaḥ pṛthivyāḥ pary antarikṣād ity etābhiś catasṛbhiḥ
5.8.2	jānudaghne 'gre haraty atha nābhidaghne 'thāsyadaghne
5.8.3	nāgniṃ cādityaṃ ca vyaveyāt
5.8.4	pūrvam agniṃ harati paścād anveti
5.8.5	dakṣiṇato brahmā rathaṃ vartayati rathacakraṃ vā bṛhaspate pari dīyā ratheneti
5.8.6	etāṃ vāpratirathasya rcaṃ brahmā japatīty ekeṣām
5.8.7	tathā rathaṃ vartayati yāvac cakraṃ triḥ parivartate
5.8.8	yaḥ sapatnavān bhrātṛvyavān syāt tasya punaś cakraṃ triḥ parivartayet
5.8.9	samayādhve varaṃ dadāti
5.8.10	samayādhve hiraṇyaṃ nyasyātikrāmati nāko 'si bradhnaḥ saṃkramaṇaḥ pratiṣṭhā yajamānasyeti
5.8.11	uttareṇa saṃbhārān dakṣiṇena padā prāñcam aśvam ākramayaty abhyasthād iti
5.8.12	etasminn eva pade pradakṣiṇam āvartyottarayā pratyañcam ākramayati
5.8.13	pārśvata ākramayed yathāhitasyāgner aṅgārāḥ padam abhyavavarteran
5.8.14	yady aśvo na syād balīvarda evaitat karma kuryāt
5.8.15	ajasya pada ādheya iti vijñāyate
5.8.16	kamaṇḍalupada ity ekeṣām
5.8.17	aśvam upasaṃgṛhya purastāt pratyaṅmukhaḥ prahvas tiṣṭhan bṛhati gīyamāne
5.9.1	ardhodite sūrya āhavanīyam ādadhāti
5.9.2	sarvodite brahmavarcasakāmasyādadhyāt
5.9.3	yatha rṣyādhānenādhāya vyāhṛtībhir ādadhāti bhūr bhuvaḥ suva iti
5.9.4	tataḥ sarparāñjībhyāṃ bhūmir bhūmna ity etayā ca caturthyā ca
5.9.5	etābhyām evāhitaṃ yajamāna upatiṣṭhate
5.9.6	tato gharmaśirasy arkaś cakṣur iti
5.9.7	etenaivāhitaṃ yajamāna upatiṣṭhate
5.9.8	prāṇaṃ tvāmṛta ādadhāmīti ca dvābhyām
5.9.9	antata ādhāyopatiṣṭhata ānaśe vyānaśa iti
5.9.10	nihite vārvavantīśyaite gāyati
5.9.11	nāhitam agnim anabhihutam upaspṛśet / ājyena cauṣadhībhiś ca śamatiyatavya iti vijñāyate
5.9.12	yā te agne paśuṣu pavamānā priyā tanūr yā pṛthivyāṃ yāgnau yā rathaṃtare yā gāyatre chandasīdaṃ te tām avarundhe / tasyai te svāhā // yā te agne 'psu pāvakā priyā tanūr yāntarikṣe yā vāyau yā vāmadevye yā traiṣṭubhe chandasīdaṃ te tām avarundhe / tasyai te svāhā // yā te agne sūrye śuciḥ priyā tanūr yā divi yāditye yā bṛhati yā jāgate chandasī
5.10.1	ājyena cauṣadhībhiś ca śamayitvāhavanīyāt sabhyāvasathyau yatha rṣyādhānenādadhāti
5.10.2	araṇībhyāṃ vā mathitvā
5.10.3	sabhāyāṃ sabhyam āvasatha āvasathīyam
5.10.4	dakṣiṇāgnau sabhyāvasthyayor iti vijñāyate
5.10.5	yajñāyajñiyaṃ gāyed ity ekam / sarveṣv ity aparam
5.10.6	brahmāgnyādheye sāmāni gāyed iti vijñāyate
5.10.7	nāgnyādheye sāmāni gāyed ity ekeṣām
5.10.8	agnipavamānībhis tisṛbhis tisra āśvatthyīḥ samidha ādadhāty agna āyūṃṣi pavasa ity etābhis tisṛbhiḥ
5.10.9	śamīmayyas tisraḥ samidho ghṛtānvaktā ādadhāti samudrād dūrbhir ity etābhis tisṛbhiḥ
5.10.10	preddho agne dīdihi puro na ity audumbarīm / vidhema te parame janmann agna iti vaikaṅkatīm / tāṃ savitar vareṇyasya citrām iti śamīmayīm
5.10.11	sarveṣv ekaikām
5.10.12	prātar agnihotrasyāvṛtā tūṣṇīm agnihotraṃ juhoti
5.10.13	araṇye 'nuvākyābhir ghorābhis tanūbhir yajamāna āhavanīyam upatiṣṭhate yās te agne ghorās tanuvas tābhir amuṃ gaccheti brūyād yaṃ dviṣyāt
5.11.1	tiraḥ pavitram ājyaṃ nirupyotpūya sruvaṃ ca juhūṃ ca niṣṭapya saṃmṛjya caturgṛhītena sruvaṃ pūrayitvā dvādaśagṛhītena vā pūrṇāhutiṃ juhoti / sapta te agne samidhaḥ sapta jihvā ity etām anudrutya svāhākāraṇe juhoti
5.11.2	hutāyāṃ pūrṇāhutau varaṃ dadāti
5.11.3	evam evāta ūrdhvaṃ darvihomeṣu nirvapaty utpunāti niṣṭapati saṃmārṣṭy antataḥ svāhākāraṃ dadhāti
5.11.4	yān pratinigadya juhoty ete darvihomā bhavanti yāṃś ca juhotīti codayet
5.11.5	tato yajamāna āhavanīyam upatiṣṭhate ye te agne śive tanuvau virāṭ ca svarāṭ cety anuvākaśeṣeṇa
5.11.6	tata etām āhutiṃ ye agnaye divo ye pṛthivyā iti
5.11.7	bhāsvato virājakramair upatiṣṭhate 'tharva pituṃ me gopāyety anvāhāryapacanam / narya prajāṃ me gopāyeti gārhapatyam / śaṃsya paśūn me gopāyety āhavanīyam / sapratha sabhāṃ me gopāyeti sabhyam / ahe budhnaya mantraṃ me gopāyety āvasathīyam / pañcāgnīn iti ca sarvān
5.12.1	āgneyasya tantraṃ prakramayati
5.12.2	samānamā nirvapaṇāt
5.12.3	āgneyam aṣṭākapālaṃ nirvapati
5.12.4	niruptaṃ havir upasannam aprokṣitaṃ bhavaty atha sabhyāvasathyayor madhye 'dhidevanam uddhatyāvokṣyākṣān nyupyākṣeṣu hiraṇyaṃ nidhāya vyūhya samūhya juhoti niṣasāda dhṛtavratety etayā
5.12.5	śataṃ yajamānāyākṣān prayacchann āha vrīhibhyo gāṃ dīvyatāhiṃsantaḥ parvāṇi viśasateti
5.12.6	tad yajamānaḥ kṛtaṃ vijityottiṣṭhati
5.12.7	gāmasya tad ahaḥ sabhāyāṃ dīvyeyuḥ
5.12.8	tasyāḥ paruṃṣi na hiṃsyuḥ
5.12.9	tāṃ sabhāsadbhya upaharet
5.12.10	tayā yad gṛhṇīyāt tad ubhayam annaṃ saṃskṛtya brāhmaṇān bhojayet
5.12.11	āvasathe madhye pariṣado hiraṇyaṃ nidhāyābhijuhoti pra nūnaṃ brahmaṇaspatir ity etayā
5.12.12	tato yajamāno 'gnīn upatiṣṭhate kalpetāṃ dyāvāpṛthivī // ye agnayaḥ samanasa iti dvābhyām
5.12.13	samānamā dakṣiṇākālāt
5.12.14	vardhamānā dakṣiṇā deyeti vijñāyate
5.12.15	agnīdhe 'gra upabarhaṇaṃ sārvasūtraṃ dadāti
5.12.16	ajaṃ cāśvaṃ brahmaṇe
5.12.17	dhenuṃ hotre
5.12.18	anaḍvāham adhvaryave
5.12.19	mithunau gāvau vāso ratham iti sarvebhyaḥ
5.12.20	ṣaḍ vā dvādaśa vā caturviṃśatir vāgnyādheye dakṣiṇā bhavanti
