#Text:Vaikhānasaśrautasūtra
#Edition:Caland
#Data entry:F. Voegeli; sections 8-9, 11ff by O. Hellwig



1.1.1	athāgnyādheyaṃ vyākhyāsyāmaḥ
4.6.5	nāgnim abhiprokṣet
4.6.6	pūrvavat pātrāṇi prokṣati
4.6.7	vātasya dhrājir asīti kṛṣṇājinam ādāyāvadhūtaṃ rakṣa ity ūrdhvagrīvaṃ bahir viśasanam utkare trir avadhūnoti
4.6.8	adityās tvag asīti purastāt pratīcīnagrīvam uttaralomopastṛṇāti
4.6.9	adhiṣavaṇam asīty anutsṛjan tasminn ulūkhalam adhivartayati
4.6.10	agnes tanūr asīty anutsṛjann ulūkhale havir āvapati trir mantreṇa tūṣṇīṃ caturtham
4.6.11	adrir asīti musalam ādāyāva rakṣo divaḥ sapatnaṃ badhyāsam iti trir avahanti
4.6.12	haviṣkṛd ehīti trir haviṣkṛtam āhvayati brāhmaṇasya haviṣkṛd āgahīti rājanyasya haviṣkṛd ādraveti vaiśyasya haviṣkṛd ādhāveti rathakārasya
4.6.13	haviṣkṛtā vācaṃ visṛjya kas tvā yunakti sa tvā yunaktv iti yajamāno yajñayogena yajñaṃ yunakti
4.7.1	prādurbhūteṣu taṇḍuleṣūccaiḥ samāhantavā iti saṃpreṣyati
4.7.2	adrir asi ślokakṛd ity āgnīdhro 'śmānam ādāyeṣam āvadorjam āvadeti vṛṣāraveṇa dṛṣad upale samāhanti śamyayā vā dvir dṛṣadi sakṛd upalāyām
4.7.3	triḥ saṃcārayan nava kṛtvaḥ saṃpādayati
4.7.4	uttuṣān kṛtvā varṣavṛddham asīti purastād uttarato vā śūrpam upayacchati
4.7.5	varṣavṛddhāḥ stheti puroḍāśyān abhimṛśya prati tvā varṣavṛddhaṃ vetv ity udvapati
4.7.6	parāpūtaṃ rakṣa ity utkare niṣpunāti
4.7.7	praviddhaṃ rakṣaḥ parādhmātā amitrā iti śūrpāt tuṣān kapāle dhvaṃsayati rakṣasāṃ bhāgo 'sīti tena tuṣāpūritenottaram aparam avāntaradeśam adhastāt kṛṣṇājinasya savyena pāṇinā tuṣān upavapati nānvīkṣate
4.7.8	avabāḍhaṃ rakṣa ity avabādhate
4.7.9	raudrākṣasanairṛtapaitṛkachedanabhedanakhanananirasanāvaghrāṇātmābhimarśanāni ca kṛtvā sarvatrāpa upaspṛśet
4.7.10	abhyukṣya kapālaṃ nidadhāti
4.7.11	vāyur va iti vivinakti
4.7.12	devo va iti pātryāṃ taṇḍulān praskandayati
4.7.13	adabdhena vaś cakṣuṣāvapaśyāmīty avekṣya viviktān avahantre prayacchaṃs triṣphalīkartavā iti saṃpreṣyati
4.7.14	devebhyaḥ śundhadhvaṃ devebhyaḥ śumbhadhvaṃ devebhyaḥ śudhyadhvam iti tribhis triṣphalīkaroti
4.8.1	suphalīkṛtān prakṣālya triṣphalīkriyamāṇānām ity antarvedi triḥ prakṣālanaṃ ninayati
4.8.2	kṛṣṇājinakalpo vyākhyātaḥ
4.8.3	divaḥ skambhanir asīti kṛṣṇājina udīcīnakumbāṃ śamyāṃ nidhāya dhiṣaṇāsi parvatyeti tasyāṃ prācīṃ dṛṣadaṃ paścārdhenādhivartayati
4.8.4	dhiṣaṇāsi pārvateyīti dṛṣady upalāṃ pūrvavad anutsṛjan
4.8.5	aṃśavaḥ stha madhumanta iti taṇḍulān avekṣya devasya tveti dṛṣadi yathādevataṃ taṇḍulān adhivapati trir mantreṇa tūṣṇīṃ caturtham
4.8.6	prāṇāya tveti prācīṃ prohaty apānāya tveti pratīcīṃ vyānāya tveti madhyadeśe dīrghām anv iti prācīm antataḥ
4.8.7	ata ūrdhvaṃ yathāsukhaṃ pinaṣṭi
4.8.8	devo va iti kṛṣṇājine piṣṭāni praskandayet
4.8.9	adabdhena tvā cakṣuṣāvekṣa ity avekṣyāsaṃvapantī piṃṣāṇūni kurutād iti haviḥpeṣīṃ saṃpreṣyati
4.8.10	sā pinaṣṭi
4.8.11	atra madantīr adhiśrayati
4.8.12	gārhapatye havīṃṣi śrapayati
4.8.13	dhṛṣṭir asīty upaveṣam ādāyāpahataṃ rakṣa ity abhimantrya tenāpareṇāgneḥ pratyañcāv aṅgārau vyasyāpāgne 'gnim iti dakṣiṇam aṅgāraṃ nirasyāpa upaspṛśyā devayajaṃ vahety avaśiṣṭam avasthāpya dhruvam asīti tasmin kapālam upadadhāti
4.9.1	nirdagdham iti tasminn aṅgāram adhivartayati dhartram asi iti tasmāt pūrvaṃ dharuṇam asīti tasmāt pūrvam
4.9.2	aṣṭākapālasya dve madhyamād dakṣiṇe trīṇy uttarāṇi dakṣiṇayor dharmāsīti pūrvaṃ marutāṃ śardha ity aparam
4.9.3	yantram asīty uttareṣām aparaṃ viśvābhya iti pūrvaṃ cid asīti madhyamam
4.9.4	tata uttara ekādaśakapālasyāṣṭākapālavat trīṇy upadadhāti cid asīti tat pūrvaṃ caturthaṃ yathoktam avāntaradeśeṣu
4.9.5	citaḥ sthety avaśiṣṭāni
4.9.6	bhṛgūṇām aṅgirasām iti vedena kapāleṣv aṅgārān adhyūhati
4.9.7	yāni gharma ity anudrutyendravāyū yuṅktām iti kapālāni yunakti
4.9.8	pātryāṃ niṣṭapyopavātāyāṃ pavitrāntarhitāyāṃ devasya tveti kṛṣṇājināt piṣṭāni yathādevataṃ saṃvapati trir mantreṇa tūṣṇīṃ caturtham
4.9.9	saṃvapan vācaṃ yacchaty abhivāsayan visṛjate
4.9.10	devo va iti prokṣaṇīvat piṣṭāny utpūya sruveṇa praṇītābhya ādāya vedenopayamya sam āpa iti piṣṭeṣu ninayati
4.9.11	yadi praṇītā na vidyeran yāḥ kāś cāpo mantreṇotpūya tābhiḥ saṃnayed ity āpatkalpaḥ
4.9.12	adbhyaḥ pari prajātāḥ stheti madantīr ninayati
4.9.13	sam adbhiḥ pracyadhvam iti pradakṣiṇaṃ pariplāvayati
4.10.1	janayatyai tvā saṃyaumīti saṃyutya makhasya śiro 'sīti piṇḍaṃ kṛtvā yathābhāgaṃ vyāvartethām iti vibhajati
4.10.2	samau piṇḍau kṛtvedam agnaya ity āgneyam abhimṛśatīdam amuṣmā iti yathādevatam
4.10.3	idam ahaṃ senāyā iti vedena dakṣiṇakapālayogād aṅgārān apohaty uttarasmāc ca
4.10.4	makhasya śiro 'sīti dakṣiṇaṃ piṇḍam ādāya gharmo 'si viśvāyur iti dakṣiṇasminn adhiśrayati
4.10.5	evam uttaram
4.10.6	anuccam anatinīcaṃ kūrmasyeva pratikṛtiṃ karoti
4.10.7	uru prathasveti yāvatkapālaṃ prathayati
4.10.8	pātryām apa ānīya tvacaṃ gṛhṇīṣveti pradakṣiṇaṃ salepādbhiḥ ślakṣṇīkurvann anatikṣārayann anuparimārṣṭi
4.10.9	dadhy upanidhāyāntaritaṃ rakṣa ity ulmukena triḥ sarvāṇi havīṃṣi paryagnikaroti
4.10.10	devas tvā savitā śrapayatv iti dakṣiṇaṃ puroḍāśaṃ darbhair abhijvalayañ chrapayati
4.10.11	agne havyaṃ rakṣasveti gārhapatyāgnim abhimantrayate
4.10.12	saṃ brahmaṇā pṛcyasveti vedena puroḍāśe sāṅgāraṃ bhasmābhivāsayati
4.10.13	avidahantaḥ śrapayateti vācaṃ visṛjate
4.10.14	aṅguliprakṣālanaṃ pātranirṇejanaṃ colmukenābhitapya hṛtvāntarvedi sphyenodīcīs tisro lekhāḥ kṛtvaikatāya svāheti tribhiḥ paścāt tisṛṣu lekhāsv asaṃsṛṣṭaṃ ninayati
4.11.1	apareṇāhavanīyaṃ yajamānāyatām aparimitāṃ vā vediṃ karoti yāvad arthavistārāṃ
4.11.2	yajamāna idaṃ tasmai harmyaṃ karomīti vedideśam abhimṛśati
4.11.3	adhvaryur ayaṃ veda iti vedam ādāya vedena vediṃ vividur iti vediṃ purastāt triḥ saṃmārṣṭi
4.11.4	catuḥśikhaṇḍeti yajamānaḥ saṃmṛjyamānām anumantrayate
4.11.5	adhvaryuḥ pūrvārdhād veder vitṛtīyadeśāt stambayajur harati
4.11.6	devasya tveti sphyam ādāyendrasya bāhur asīty abhimantrya vāyur asīti tasya darbheṇāgraṃ tīkṣṇīkṛtya pṛthivyai varmāsīti prāgagram udagagraṃ vā darbhaṃ nidhāya pṛthivi devayajanīti tasmin sphyena prahṛtyāpahato 'rarur iti sphyena sadarbhamūlān pāṃsūn apādāya vrajaṃ gaccheti harati
4.11.7	yo mā hṛdeti yajamāno hriyamāṇam abhimantrayate
4.11.8	varṣatu te dyaur ity adhvaryur vedim avekṣate varṣatu te parjanya iti yajamānaṃ ca
4.11.9	namo diva ity āgnīdhra uttarataḥ prakrame 'parimite vottānau hastau kṛtvopaviśati
4.11.10	tasyāñjalāv adhvaryur badhāna deva savitar iti sadarbhamūlān pāṃsūn nivapati
4.11.11	apahato 'raruḥ pṛthivyā ity āgnīdhro nyuptaṃ sthaṇḍile nikṣipyābhigṛhṇāti
4.11.12	sa utkaro bhavati
4.11.13	evaṃ dvitīyam
4.11.14	idam āpaḥ śivā iti dvitīyaṃ prahṛtyāpahato 'raruḥ pṛthivyai devayajanyā ity ādāyāpahatā yātudhānā ity ābhigṛhṇāti dvitīyam
4.12.1	drapsas te divaṃ mā skān iti tṛtīyaṃ prahṛtyāpahato 'raruḥ pṛthivyā adevayajana ity ādāyāpahato 'ghaśaṃsa ity abhigṛhṇāti
4.12.2	tūṣṇīṃ caturthaṃ sarvaṃ tṛṇaṃ haraty ararus te divaṃ mā skān iti caturtham abhigṛhṇāti
4.12.3	vedeḥ pūrvaṃ parigrāhaṃ parigṛhṇāti vasavas tveti sphyena dakṣiṇataḥ prācīṃ likhati
4.12.4	yajñasya tveti parigṛhyamāṇāṃ yajamāno 'numantrayate
4.12.5	rudrās tvety adhvaryuḥ paścād udīcīṃ lekhāṃ likhaty ādityās tvety uttarataḥ prācīṃ
4.12.6	te 'gninā prāñco 'jayann ity uktam
4.12.7	prāñcau vedyaṃsāv unnayaty abhita āhavanīyaṃ pratīcī śroṇī abhito gārhapatyaṃ madhye saṃnatā vedir vediḥ
5.1.1	imāṃ narāḥ kṛṇuteti saṃpreṣya devasya savituḥ sava iti vedeḥ sphyenottamāṃ tvacam uddhanti
5.1.2	yad udghnanta iti yajamāna uddhanyamānām anumantrayate
5.1.3	dvyaṅgulāṃ caturaṅgulāṃ rathavartmamātrīṃ prādeśamātrīṃ vaitā iyatīr nātikhanet
5.1.4	pitṛdevatyātikhātety uktam
5.1.5	dakṣiṇato varṣīyasīṃ purīṣavatīṃ prācīnapravaṇām udīcīnapravaṇāṃ prāgudakpravaṇāṃ vā vediṃ karoti
5.1.6	yan mūlam atiriktaṃ sphyena tac chinatti na nakhena
5.1.7	yat purīṣam atiriktam utkaraṃ tad gamayati
5.1.8	āhāryapurīṣāṃ paśukāmasya vediṃ karoti
5.1.9	yat prāk khananāt tat kṛtvā yad āharet tan mantreṇa khanet
5.1.10	bhūmir bhūtveti yajamānaḥ kṛtāṃ vedim anumantrayate
5.1.11	adhvaryur brahmann uttaraṃ parigrāhaṃ parigrahīṣyāmīty āmantrya bṛhaspate parigṛhāṇa vedim iti tena prasūta ṛtam asīti tribhiḥ pūrvavad vediṃ parigṛhṇāti
5.2.1	viparītau parigrāhāv eke
5.2.2	dhā asīti vediṃ sphyena pratīcīṃ yoyupyeta
5.2.3	purā krūrasyety abhimantrya paścārdhe vedeḥ pūrveṇa vitṛtīyadeśe sphyaṃ tiryañcaṃ stabdhvā prokṣaṇīr āsādayety āgnīdhraṃ saṃpreṣyati
5.2.4	āgnīdhro havanyāṃ tiraḥ pavitram apa ānīyodañcaṃ sphyam apakṛṣyāntarvedi havanīṃ dhārayan sphyasya vartmany upaninīyartasadhaḥ stheti sphyapade sādayati
5.2.5	yaṃ dviṣyāt taṃ dhyāyet
5.2.6	śatabhṛṣṭir asīty utkare sphyam udasyati
5.2.7	yaṃ dviṣyāt taṃ dhyāyet
5.2.8	īḍenyakratūr iti yajamānaḥ prokṣaṇīr āsādyamānā anumantrayate
5.2.9	āgnīdhro hastāv avanenekti
5.2.10	nānavanijya pātrāṇi saṃmṛśati na ca vedim ā staraṇāt sphyaṃ prakṣālayati nāgraṃ parimṛśati
5.2.11	āhavanīyam uttareṇa praṇītā idhmābarhir upasādayati prāgagraṃ dakṣiṇam idhmam uttaraṃ barhiḥ
5.2.12	vedāgraiḥ sruvaṃ srucaś ca saha saṃmārṣṭi
5.2.13	aniśitāḥ stha sapatnakṣayaṇīr ity abhimantrya ghṛtācīreteti dakṣiṇena pāṇinā sruvaṃ juhūpabhṛtau savyena dhruvāṃ prāśitraharaṇaṃ vedāgrāṇi cādāya pratyuṣṭam iti gārhapatye niṣṭapya goṣṭhaṃ mā nirmṛkṣam iti sruvam agrair antarato 'bhyākāraṃ sarvato bilam abhisamāhāraṃ nirlepaṃ trir abhitaḥ saṃmārṣṭi bāhyato mūlair daṇḍam
5.2.14	vācaṃ prāṇam iti juhūṃ cakṣuḥ śrotram ity upabhṛtaṃ prajāṃ yonim iti dhruvāṃ tūṣṇīṃ prāśitraharaṇam
5.2.15	pūrvavat srucaḥ prāśitraharaṇaṃ ca niṣṭapyottarato vediśroṇyāṃ nidadhāti
5.3.1	divaḥ śilpam iti prokṣitāni sruksaṃmārjanāny agnau praharati
5.3.2	apareṇa gārhapatyaṃ dakṣiṇataḥ patnīm udaṅmukhīm upaveśyāśāsānā saumanasam iti mauñjena yoktreṇānyatarataḥ pāśenordhvajñum āsīnāṃ prāṅmukhīṃ tiṣṭhantīṃ vā saṃnahyet
5.3.3	pūṣā te granthiṃ grathnātv ity uttarato nābher niṣṭarkyaṃ granthiṃ kṛtvā dakṣiṇato nābheḥ parikarṣati
5.3.4	patny ācamyāgne gṛhapata iti tiṣṭhantī gārhapatyam upasthāya devānāṃ patnīr iti devapatnīś cendrāṇīvety udaṅmukhy anvāste
5.3.5	suprajas tvā vayam iti japati mama putrā iti ca
5.3.6	pūṣā te bilaṃ viṣyatv ity āgnīdhraḥ sarpirdhānasya bilam apāvṛtyedaṃ viṣṇur vicakrama ity anvāhāryapacane 'dhiśrityāditir asy acchidrapatrety ājyasthālīm ādāya mahīnāṃ paya iti tasyāṃ pavitravatyāṃ prabhūtam ājyaṃ nirvapati
5.3.7	iṣe tveti dakṣiṇārdhe gārhapatyasyādhiśrityorje tvety apādāya vedenopayamya mahīnāṃ payo 'sīti patnīṃ pradarśayati
5.3.8	tat sā nimīlya vīkṣyānucchūsanty avekṣate
5.3.9	tejo 'sīty uttarārdhe 'dhiśritya tejase tvety apādāya tejo 'nuprehīty āhavanīyam abhyuddrutyāgnis te tejo mā vinaid ity āhavanīye 'dhiśrityāgner juhvāsīty uttareṇa prokṣaṇīḥ sphyasya vartman sādayati
5.3.10	īḍenyakratūr iti yajamāna āsādyamānā anumantrayate
5.4.1	yadi sāṃnāyyasyājyasya vānyatra barhiṣaḥ purottamāt prayājāt skandet saṃ tvā siñcāmīti tasya svayaṃ saṃbhṛtya bhūpataye svāheti tribhiḥ skannam anumantrayate
5.4.2	adhvaryuyajamānāv ājyam asīti nimīlya vīkṣyānucchūsantāv ājyam avekṣete
5.4.3	śukram asīti tribhir udagagrābhyāṃ pavitrābhyām adhvaryuḥ punarāhāram ājyaṃ trir utpunāti
5.4.4	devo va iti triḥ prokṣaṇīr adbhir ājyam iti yajamāna ājyam apaś cotpūyamānā anumantrayate
5.4.5	adhvaryur antarvedi samaṃbilaṃ juhūṃ dhārayamāṇa ājyasthālyā vedenopayamya sruveṇa śukraṃ tvā śukrāyām iti catuḥ pañcakṛtvo vā juhvāṃ prabhūtam ājyaṃ gṛhṇāti
5.4.6	pañcānāṃ tvā vātānām iti catuḥ pañcakṛtvo vā yajamāno japati
5.4.7	adhvaryur jyotis tvā jyotiṣi dhāmne dhāmna iti madhyadeśe dhārayamāṇa upabhṛty aṣṭau daśakṛtvo vālpiṣṭhaṃ gṛhṇāti
5.4.8	pañcānāṃ tvartūṇām iti trīn yajamāno japati pañcānāṃ tvā salilānāṃ pañcānāṃ tvā pṛṣṭhānām iti ca dvau caros tvā pañcabilasyeti pañca
5.4.9	adhvaryur arcis tvārciṣīti catuḥ pañcakṛtvo vā bhūmau pratiṣṭhitāyāṃ dhruvāyāṃ bhūyiṣṭhaṃ gṛhṇāti
5.4.10	suprajāstvāya tvā gṛhṇāmīti catuḥ pañca vā yajamāno japati
5.5.1	bahirvedy anyatrotkarād ājyāni sādayaty ājyasthalīṃ ca praticīnaṃ harati
5.5.2	tathā prokṣaṇīr abhimantrya brahmāṇam āmantrya tena prasūto muktagranthīn idhmān kṛṣṇo 'sīti triḥ prokṣati tathā vedir asīti vediṃ barhir asīti barhiḥ
5.5.3	antarvedi purogranthi tad āsādayati
5.5.4	sumanaso yajamānāya santv iti yajamāno barhir abhimantrayate
5.5.5	adhvaryur dive tveti barhiragraṃ prokṣaty antarikṣāya tveti madhyaṃ pṛthivyai tveti mūlam
5.5.6	yajamāno 'śiśrema barhir iti prokṣyamāṇaṃ barhir abhimantrayate
5.5.7	adhvaryur barhiragrāṇi havanyāṃ prasicya mūlāni prasecayati
5.5.8	poṣāya tveti saha havanyā purastāt pratyañcaṃ granthiṃ pratyukṣati
5.5.9	svadhā pitṛbhya iti veder dakṣiṇāyāḥ śroṇeḥ saṃtatam ottarasyā apāṃ śeṣaṃ ninayati
5.5.10	pūṣā te granthiṃ viṣyatv iti barhiṣo granthiṃ viṣyati
5.5.11	viṣṇoḥ stūpo 'sīti karṣann ivāhavanīyaṃ prati prastaram ādatte
5.5.12	yajamāne prāṇāpānau dadhāmīti prastare pavitre apisṛjya prāṇāpānābhyāṃ tvā satanuṃ karomīti brahmaṇe prayacchati
5.6.1	brahmā yajamānāya
5.6.2	tṛṇair antardhāyākṣṇayā śulbaṃ ca nidhāyorṇāmradasaṃ tvā stṛṇāmīti bahulam anatidṛśnaṃ prāgapavargaṃ pratyagapavargaṃ vā barhiṣā vediṃ stṛṇāti
5.6.3	ūrṇāmṛdu prathamānaṃ catuḥśikhaṇḍeti dvābhyāṃ stīryamāṇāṃ yajamāno 'numantrayate
5.6.4	adhvaryur agrair mūlāny abhicchādayan tridhātu pāñcadhātu vā kṛtvā dhātau dhātau mantram āvartayati
5.6.5	śivā ca ma iti stīrṇāṃ vediṃ yajamāno 'numantrayate
5.6.6	adhvaryur anūyājārthe prāñcāv aṅgārau nirūhyāhavanīyaṃ kalpayitvā prastaraṃ dhārayan gandharvo 'sīty udagagraṃ madhyamaṃ paridhiṃ paridadhāti
5.6.7	asmin yajña upa bhūya iti dhruvo 'si dhruvo 'ham iti dvābhyāṃ yajamāno madhyamaṃ paridhim anumantrayate
5.6.8	adhvaryur indrasya bāhur asīti mitrāvaruṇau tveti dakṣiṇottarau prāgagrau saṃspṛṣṭau madhyamena dakṣiṇam āhavanīyam abhyagram uttaram avāgram
5.6.9	asmin yajña ugro 'sy asmin yajñe 'bhibhūr asīti yajamāno 'numantrayate yathā madhyamam
5.6.10	adhvaryuḥ sūryas tvā purastāt pātv iti sūryeṇa purastāt paridadhāti
5.6.11	yunajmi tvā yan me agna iti dvābhyāṃ yajamāno 'gniṃ yunakti
5.7.1	vītihotram iti dakṣiṇām ūrdhvām ādhārasamidham ādadhāti samidasyāyuṣe tvety uttarāṃ tūṣṇīṃ vā
5.7.2	tejiṣṭhā ta iti parihitam agniṃ yajamāno 'numantrayate
5.7.3	adhvaryur viśo yantre stha iti samāv anantargarbhau darbhau vidhṛtī udagagre nidadhāti
5.7.4	vicchinadmi viśo yantre nudamāne iti dvābhyāṃ yajamāno 'bhimantrayate
5.7.5	vasūnāṃ rudrāṇām ity adhvaryus tayoḥ prastaraṃ sādayati
5.7.6	ayaṃ prastara iti sādyamānaṃ yajamānaḥ
5.7.7	juhūr asīty adhvaryuḥ prastare juhūṃ sādayati
5.7.8	āroha patho juhūr asi ghṛtācī gāyatriyāmnīti dvābhyāṃ sādyamānāṃ juhūṃ yajamānaḥ
5.7.9	upabhṛd asi ghṛtācīty adhvaryur upabhṛtam adhastād vidhṛtyoḥ pratikṛṣṭatarām iva sādayati
5.7.10	upariṣṭāt prastara ity eke
5.7.11	avāhaṃ bādhe subhṛd asy upabhṛd iti dvābhyāṃ sādyamānāṃ yajamānaḥ
5.7.12	dhruvāsi ghṛtācīty adhvaryur dhruvāṃ sādayati
5.7.13	yo mā vācā manasā dhruvāsi dharaṇī dhanasyeti dvābhyāṃ sādyamānāṃ yajamānaḥ
5.7.14	ṛṣabho 'si śākvara ity adhvaryuḥ sruvaṃ sādayati
5.8.1	syono me sīdāyaṃ sruva iti dvābhyāṃ sruvaṃ yajamānaḥ
5.8.2	iyaṃ sthālīty adhvaryur ājyasthālīṃ sādayati
5.8.3	tayaiva yajamānaḥ
5.8.4	etā asadann ity adhvaryuḥ sannāḥ sruco 'bhimantrayate viṣṇūni sthety ājyāni ca
5.8.5	atha sasruvām ājyasthālīm ādāya savyena vedam apareṇa gārhapatyam upaviśya kapālavad vedena dakṣiṇasmāt puroḍāśād aṅgārān apohyottarasmād apohati
5.8.6	sūrya jyotir iti puroḍāśam abhimantryāpyāyatāṃ ghṛtayonir ity āgneyaṃ puroḍāśam abhighārayati tūṣṇīm uttaraṃ yas ta ātmeti śṛtam
5.8.7	syonaṃ te sadanaṃ karomīti pātryām upastīryārdraḥ prathasnur iti puroḍāśam abhindann aparyāvartayann udvāsayati
5.8.8	vedena bhasma pramṛjya tasmin sīdeti pātryām upastīrṇe puroḍāśaṃ nidadhāti
5.8.9	tūṣṇīṃ yavamayaṃ puroḍāśam
5.8.10	irā bhūtiḥ pṛthivyai raso motkramīd iti kapālāny ekaikaśo 'bhighāryaikaṃ dve trīṇīty ādibhiḥ saṃkhyāyodvāsayati śṛtaṃ ca dadhi ca
5.8.11	devas tvā savitā madhvānaktv iti sruveṇa puroḍāśaṃ sarvato 'nakti
5.8.12	sruveṇa hasta ājyam avadāya puroḍāśam adhastād abhyajyālaṃkaroty ājyena śṛtaṃ ca dadhi ca
5.9.1	ājyena sruvaṃ pūrayitvāntareṇa puroḍāśāv āsādya sarvāṇi havīṃṣi pātryāṃ saṃgṛhya bhūr bhuvaḥ suvar iti vyāhṛtībhir havīṃṣy apareṇa sruco 'ntarvedyāsādayet prathamataḥ
5.9.2	athā saṃvatsare
5.9.3	itarakāleṣu caturhotrā paurṇamāsyāṃ pañcahotrāmāvāsyāyāṃ priyeṇa nāmnā priyaṃ sada āsīdety etebhyo 'nyaddhaviḥ
5.9.4	apareṇa srucaḥ puroḍāśau dakṣiṇasyāṃ śroṇyāṃ śṛtam uttarasyāṃ dadhi
5.9.5	ayaṃ veda ity agreṇa dhruvāṃ vedaṃ nidhāya vedyantān paristīrya paribhojanīyān darbhān ādāya hotṛṣadanaṃ kalpayati
5.9.6	yajño 'sīty āgneyam āsannaṃ yajamāno 'bhimṛśati prajāpatir asīty agnīṣomīyam idam indriyam amṛtam iti prātardohaṃ yat pṛthivīm acarad iti dadhi yo naḥ kanīya ity aindrāgnam ayaṃ yajña iti sarvāṇi mamāgna iti vihavyena ca paurṇamāsyām abhimṛśati caturhotrā pañcahotrāmāvāsyāyām
5.9.7	hotar ehīty adhvaryur hotāram āmantryāgnaye samidhyamānāyānubrūhīty saṃpreṣyati saṃpreṣyati
6.1.1	athāsīno 'dhvaryur idhmād ekaikāṃ samidham ādāya praṇave praṇave prati sāmidhenyādadhāti yāvat pañcadaśa
6.1.2	anūyājebhya ekāṃ samidham avaśinaṣṭi
6.1.3	purastād upariṣṭād vā sāmidhenīnāṃ yajamāno daśahotāraṃ vyācakṣīta
6.1.4	āṅgiraso māsya yajñasyeti madhya ucchuṣmo agna iti samidhyamānam agnim anumantrayate samiddho agnir āhuta iti samiddham
6.1.5	ājuhotety ucyamāne 'dhvaryur idhmaśeṣaṃ prakṣipya vedenāhavanīyaṃ trir upavājyānūktāsu sāmidhenīṣu sruveṇa dhruvāyā ājyam ādāya vedenopayamyottaraṃ paridhisandhiṃ spṛṣṭvā prajāpataye svāheti manasā saṃtatam ṛjuṃ jyotiṣi prājāpatyam āghāram āghārayati
6.2.1	mano 'si prājāpatyam iti sruvāghāraṃ yajamāno 'numantrayate
6.2.2	āpyāyatāṃ dhruvā ghṛtenety adhvaryuḥ sruveṇājyasthālyā ājyam ādāya dhruvām āpyāyayati
6.2.3	sarvatraivam
6.2.4	agnīn paridhīṃś cāgniṃ ca tris triḥ saṃmṛḍḍhīti saṃpreṣyati
6.2.5	idhmasaṃnahanāni sphya upasaṃgṛhyāgnīdhraḥ pradakṣiṇam anuparikrāman paridhīn saṃmārṣṭi madhyamam udañcaṃ prāñcāv itarau
6.2.6	agne vājajid ity agniṃ triḥ saṃmārṣṭi
6.2.7	sarveṣu homeṣūpabhṛtā juhūm upayacchaty asaṃśabdayan mukhato 'bhininīyopabhṛti juhūm avadhāya
6.2.8	hoṣyaṃs tenaiva pratininīya nābhiṃ prati srucau dhārayate
6.2.9	samaṃ prāṇair ity eke
6.3.1	sruvāghāram āghārayiṣyan bhuvanam asīti juhūpabhṛtāv agreṇa devebhyaḥ prācīnam añjaliṃ karoti svadhā pitṛbhya iti pitṛbhyo dakṣiṇam
6.3.2	apareṇāhavanīyaṃ dakṣiṇena padā dakṣiṇātikrāmati savyenodaṅ
6.3.3	juhv ehīti juhūm ādatta upabhṛd ehīty upabhṛtam
6.3.4	suyame me adyety upabhṛti juhūm avadhāyāgnāviṣṇū ity anavakrāman prastaraṃ dakṣiṇātikramya viṣṇoḥ sthānam asīty avasthāyāntarvedi dakṣiṇaṃ pādaṃ tat spṛṣṭaprapadaṃ savyaṃ kṛtvordhvas tiṣṭhann anvārabdhe yajamāne dakṣiṇaṃ paridhisaṃdhiṃ spṛṣṭveśānāntaṃ samārabhyordhva iti pūrvavad aindram āghārayati
6.3.5	hutvābhiprāṇiti
6.3.6	bṛhad bhā iti srucam udgṛhṇāti
6.3.7	vāg asy aindrīti yajamāno 'numantrayate
6.3.8	adhvaryuḥ srucāv asaṃsparśayan pāhi māgna ity udaṅmukhaḥ pratyākrāmati
6.3.9	ete evākramaṇapratyākramaṇe mantravatī
6.3.10	makhasya śiro 'sīti juhvā dhruvāṃ triḥ samanakti
6.4.1	sruveṇa dhruvāyā unnītaṃ rāya ity ājyam ādāya suvīrāya svāheti juhūṃ pratyabhighārayati yajñena yajñaḥ saṃtata iti juhvā dvis trir vā dhruvām
6.4.2	yathāsthānaṃ srucau sādayati
6.4.3	sphyopasaṃnaddhānīdhmasaṃnahanāni vedeś ca tṛṇam avyantam ādāyottarato 'dhvaryuḥ pravarāyāvasthāya ka idam adhvaryur bhaviṣyatīti japati
6.4.4	tāny anvārabhyādhvaryoḥ paścād avasthāyāgnīdhraḥ ka idam agnīd iti
6.4.5	adhvaryur brahman pravarāyāśrāvayiṣyāmīty āmantrya vācaspate vācam āśrāvayeti tena prasūta āśrāvayo śrāvaya śrāvayeti vāśrāvayati
6.4.6	astu śrauṣaḍ ity agnīd utkare dakṣiṇāmukhas tiṣṭhan sphyaṃ dhārayan pratyāśrāvayati
6.4.7	sarvatraivam āśrutapratyāśrute bhavataḥ
6.4.8	ūrdhvajñum āsīnaṃ hotāram adhvaryur agnir devo hoteti vṛṇīte 'muvad amuvad iti yathā yajamānasyārṣeyaṃ saha pravareṇa trīn anantarān iti
6.4.9	ūrdhvān mantrakṛto 'dhvaryur vṛṇīte 'muto 'rvāco hoteti vijñāyate
6.4.10	api vaikaṃ dvau trīn pañca
6.4.11	na caturo vṛṇīte na pañcātipravṛṇīte
6.5.1	purohitasya pravareṇa pravṛṇīte
6.5.2	anājñātabandhor ācāryapravareṇāpi vā manuvad iti pravṛṇīte
