#Text:Hiraṇyakeśiśrautasūtra
#Data entry:M. Fushimi
#Notes:Up to Praśna 10 (inclusive), the text counts by Praśna/Paṭala/Chapter, without giving a Sūtra counter. Starting with Praśna 11, it uses Praśna/Chapter and a Sūtra counter. We systematized the numbering by ignoring the Paṭala counters in 1-10, and adding Sūtra counters in this range. The following chapters are missing in the edition: 2.[7].18, 5.[3].9. Praśnas 19, 20 are missing in the digital text.



1.1.1	yajñaṃ vyākhyāsyāmaḥ
6.18.15	vayaṃ soma vrate tava manas tanūṣu bibhrataḥ / prajāvanto aśīmahīti mukhaṃ vimṛṣṭe saṃ tvam agne sūryasya varcasāgathā iti ca
6.18.16	saṃpaśyāmi prajā aham iti
6.19.1	manuṣyān upatiṣṭhate
6.19.2	ambha sthāmbo vo bhakṣīyeti paśūn
6.19.3	revatī ramadhvam ity antarāgnī tiṣṭhañ japati
6.19.4	saṃhitāsi viśvarūpīr iti gām ālabhate vatsaṃ vā
6.19.5	upa tvāgne divediva iti ṣaḍbhir gāyatrībhir dvipadābhir gārhapatyam upatiṣṭhate
6.19.6	ūrjā vaḥ paśyāmy ūrjā mā paśyateti goṣṭhaṃ
6.19.7	bhuvanam asi sahasrapoṣaṃpuṣi sahasrapoṣasyeśiṣe tasyās te bhūyiṣṭhabhājo bhūyāsmeti punar eva gām ālabhate vatsaṃ vā
6.19.8	mahi trīṇām avo 'stu dyukṣaṃ mitrasyāryamṇaḥ / durādharṣaṃ varuṇasya / nahi teṣām amā cana nādhvasu vāraṇeṣu / īśe ripur aghaśaṃsaḥ / te ha putrāso aditeḥ śarma yacchantv ajasram / pra dāśuṣe vāryāṇīti māhitreṇa tṛcenopatiṣṭhate tat savitur vareṇyam iti sāvitryā somānaṃ svaraṇam ity eṣā somānaṃ svaraṇaṃ kṛṇuhi brahmaṇaspate / kakṣīvantaṃ ya auśijaḥ / yo revān yo amīvahā vasuvit puṣṭivardhanaḥ / sa naḥ siṣaktu yas turaḥ / mā naḥ śaṃso araruṣo dhūrtiḥ praṇaṅ martyasya / rakṣā ṇo brahmaṇaspata iti brāhmaṇaspatyābhir upatiṣṭhate kadācana starīr asi kadācana prayucchasīti dve pari tvāgne puraṃ vayam ity eṣā pari te dūḍhabho ratho 'smāṃ aśnotu viśvataḥ / yena rakṣasi dāśuṣa iti paryāvartyāntata upatiṣṭhate
6.19.9	dūḍhabhavatīm uttamām eke samāmananti nimṛdo 'si ny ahaṃ taṃ mṛdhāsaṃ yo 'smān dveṣṭi yaṃ ca vayaṃ dviṣma iti purastāt prapadenāvagṛhṇīyād yadi śreyasā spardheta prabhūr asi prāhaṃ tam abhi bhūyāsaṃ yo 'smān dveṣṭi yaṃ ca vayaṃ dviṣma iti dakṣiṇataḥ pado 'vagṛhṇīyād yadi sadṛśena spardhetābhibhūr asy abhy ahaṃ tam abhibhūyāsaṃ yo 'smān dveṣṭi yaṃ ca vayaṃ dviṣma iti paścāt pārṣṇyāvagṛhṇīyād yadi pāyīyasā spardheta
6.20.1	pūṣā mā paśupāḥ pātu pūṣā mā pathipāḥ pātu pūṣā mādhipāḥ pātu pūṣā mādhipatiḥ pātv iti japitvā
6.20.2	prācī dig agnir devatā yo maitasyai diśo bhidāsād agniṃ sa ṛcchatv agnir me tasyai diśo gopāyatu
6.20.3	dakṣiṇā dig indro devatā yo maitasyai diśo bhidāsād indraṃ sa ṛcchatv indro me tasyai diśo gopāyatu
6.20.4	pratīcī diṅ maruto devatā yo maitasyai diśo bhidāsān marutaḥ sa ṛcchatu maruto me tasyai diśo gopāyantu
6.20.5	udīcī diṅ mitrāvaruṇau devatā yo maitasyai diśo bhidāsān mitrāvaruṇau sa ṛcchatu mitrāvaruṇau me tasyai diśo gopāyetām
6.20.6	ūrdhvā dig bṛhaspatir devatā yo maitasyai diśo bhidāsād bṛhaspatiṃ sa ṛcchatu bṛhaspatir me tasyai diśo gopāyatu
6.20.7	iyaṃ dig aditir devatā yo maitasyai diśo bhidāsād aditiṃ sa ṛcchatv aditir me tasyai diśo gopāyatv iti diśa upasthāya
6.20.8	dharmo mā dharmiṇaḥ pātu vidharmo mā vidharmiṇaḥ pātv āyuś ca prāyuś ca cakṣuś ca vicakṣuś ca prāṇaś cāpānaś ca prāñ cāvāñ coruga urugo 'rkasya te vayaṃ vācā saṃ bhaktena gamemahy acchinno daivyas tantur mā manuṣyaś chedi divyād dhāmno mā chitsi mām āyuṣā jyotiṣe tantave tvāsāv anu mā jyotiṣā tanv ity antarāgnī tiṣṭhañ japaty agna āyūṃṣy agne pavasvety āgnipāvamānībhyāṃ gārhapatyam upatiṣṭhate 'gne gṛhapata iti ca tām āśiṣam āśāse tantave jyotiṣmatīm ity ajātaputro brūyāt tām āśiṣam āśāse 'muṣmai jyotiṣmatīm iti jātaputro bahuputraḥ sarveṣāṃ putrāṇāṃ nāmāny anudrutya jyotiṣmatīm ity antato vadati sāyaṃsāyam upatiṣṭhate
6.21.1	api vā divaitat
6.21.2	bhūr bhuvaḥ suvaḥ suprajāḥ prajayā bhūyāsaṃ suvīro vīraiḥ suvarcā varcasā supoṣaḥ poṣair iti vā kāmam aindro vittād iti vā śraddhā me mā vyagād iti vā bhartuṃ vaḥ śakeyam iti vā
6.21.3	tat sarvaṃ kṛtākṛtam
6.21.4	prātaravanekena prātarurupastheyaḥ
6.21.5	tatrādhiśrita unnīyamāne vā
6.21.6	vihavyasyāditaś catasṛbhir upasthāya
6.21.7	apāṃ pata iti trīn udakāñjalīn ninayati pratiṣiktā arātaya iti triḥ pariṣiñcati kālāya vāṃ jaitriyāya vām iti pāṇī prakṣālayata idam ahaṃ duradmanyāṃ niḥplāvayāmīty apa ācamya niṣṭhīvati bhrātṛvyāṇāṃ sapatnānām iti punar eva pāṇī prakṣālayata indriyavatīm adyāhaṃ vācam udyāsam iti yathārūpaṃ prāṇāyatanāni saṃmṛjyottareṇānuvākenopatiṣṭhate tatrārvāgvasoḥ svasti te pāram aśīyeti trir āvartayaty asau svasti te 'stv asau svasti te 'stv iti sarveṣāṃ putrāṇāṃ nāmāni gṛhṇāti trir ekaikasya purastād agnīṣomīyād vihavyasyottarābhiś catasṛbhir upasthāyānuvākaśeṣeṇopatiṣṭhate
6.21.8	tasmāt purā prātaragnihotre nopāvarohed ity ekeṣām
6.21.9	agnes tṛṇāny apacinoti tejasvī brahmavarcasī bhavatīti vijñāyate
6.22.1	ṛte gṛhasya pravāsaṃ vyākhyāsyāmaḥ
6.22.2	agnīn samādhehīti saṃpreṣyati pravatsyan bhāsvata upatiṣṭhate mama nāma prathamaṃ jātaveda iti catasṛbhir āhavanīyaṃ paśūn me śaṃsya pāhi tān me gopāyāsmākaṃ punar āgamād ity āhavanīyam upasthāyābhiprāṇyāgne sahasrākṣety upatiṣṭhate prajāṃ me narya pāhi tāṃ me gopāyāsmākaṃ punar āgamād iti gārhapatyam upasthāyābhiprāṇyāgne gṛhapata ity upatiṣṭhate 'nnaṃ me budhnya pāhi tan me gopāyāsmākaṃ punar āgamād iti dakṣiṇāgnim upasthāyābhiprāṇyāgne vahna ity upasthāya virājakramair upatiṣṭhate yathā purastād imān me mitrāvaruṇā gṛhān gopāyataṃ yuvam / avinaṣṭān avihṛtān pūṣainān abhirakṣatv asmākaṃ punar āgamād ity antarāgnī tiṣṭhañ japati mā pragāma patho vayaṃ mā yajñād indra sominaḥ / māṃtasthur no arātayaḥ / ud asmāṃ uttarān nayāgne ghṛtenāhuta / rāyaspoṣeṇa saṃsṛja prajayā ca bahūn kṛdhīti prakrāmati sakāśe 'gnīnāṃ vācaṃ yacchaty asakāśe visṛjate vratakāleṣu vrataṃ carati
6.22.3	ṛtuṃ pratyupatiṣṭhate
6.22.4	yady anupasthitāgnir āpadyate pravāsaḥ
6.22.5	ihaiva san tatra sato vo agnayaḥ prāṇena vācā manasā bibharmi / tiro mā santam āyur mā prahāsīj jyotiṣā vo vaiśvānareṇopatiṣṭha ity upatiṣṭhate
6.22.6	proṣya
6.22.7	samidho dhārayan viśvadānīm ābharanto 'nātureṇa manasā / agne mā te prativeśā riṣāmeti vihāram abhyetya sakāśe 'gnīnāṃ vācaṃ yacchati sakāśe visṛjate 'gnīn samādhehīti saṃpreṣyati
6.23.1	jvalata upatiṣṭhate namas te astu mīḍhuṣe namas ta upasadvane / agne śumbhasva tanvā saṃ mā rayyā saṃsṛjety upasamindhe 'gneḥ samid asy abhiśastyā mā pāhīty etais tribhis tisraḥ samidha ādadhyād indhānās tvā śataṃ himā iti caturthīṃ mano jyotir juṣatām ity adhvaryur āhutiṃ juhoti yadi daśamīm atipravasati mama nāma tava ca jātaveda iti catasṛbhir āhavanīyaṃ paśūn me śaṃsyājugupas tān me punar dehīty āhavanīyam upasthāyābhyapānyāgne sahasrākṣety upātiṣṭhate prajāṃ me naryājugupas tāṃ me punar dehīti gārhapatyam upasthāyābhyapānyāgne gṛhapata ity upatiṣṭhate 'nnaṃ me budhnājugupas tan me punar dehīti dakṣiṇāgnim upasthāyābhyapānyāgne vahna ity upasthāya virājakramair upatiṣṭhate yathā purastād imān me mitrāvaruṇā gṛhān ajugupataṃ yuvam / avinaṣṭān avihṛtān pūṣainān abhyarākṣīd āsmākaṃ punar āgamād ity antarāgnī tiṣṭhañ japati gopāyājugupa iti sarvatrānuṣajati gopāyeti vā
6.23.2	athaikeṣāṃ vijñāyate kaḥ śreyāṃsaṃ viṣuptaṃ bodhayiṣyatīty aprāduṣkṛtānām evopasthānaṃ syād abhayaṃkarābhayaṃ me kuru svasti me 'stu pravatsyāmīti pravatsyann abhayaṃkarābhayaṃ me 'kārṣīḥ svasti me 'stu prāvātsyam iti proṣya
6.24.1	gṛhā mā bibhīta mā vepīḍhvam ūrjam bibhrata emasi / ūrjaṃ bibhrad vasuvaniḥ sumedhā gṛhān emi manasā modamānaḥ / yeṣām abhyeti pravasan yeṣu saumanaso babhuḥ / gṛhān upahvayāmahe te no jānantu jānataḥ / upahūtā iha gāva upahūtā ajāvayaḥ / atho annasya kīlāla upahūto gṛheṣu naḥ / upahūtā bhūrisakhāḥ sakhāyaḥ svādusaṃmudaḥ / ariṣṭāḥ sarvapūruṣā gṛhā naḥ santu sarvadā / ūrjasvantaḥ payasvanta irāvanto hasāmudraḥ / anaśyā atṛṣyā gṛhā māsmad bibhītaneti grāhān abhyeti kṣemāya vaḥ śāntyai prapadye śivaṃ śagmaṃ śaṃyoḥ śaṃyor iti praviśati na tad ahar āgataḥ kalahaṃ karoti gṛhānahaṃ sumanasaḥ prapadye vīraghno vīratamaḥ suśevān / irāṃ vahantaḥ sumanasyamānās teṣv ahaṃ sumanāḥ saṃviśāmīti saṃviśati viśvā uta tvayā vayaṃ dhārā udanyā iva / atigāhemahi dviṣa iti bhāryāṃ samīkṣate
6.25.1	āgrayaṇeṣṭau vatsaṃ prathamajaṃ dadāti nānātantre śyāmāke vabhruṃ piṅgalam madhuparkaṃ madhumanthaṃ dadhimanthaṃ kṣīraudanasya vā pātraṃ kṣaumaṃ vāso varṣādhṛtaṃ bhadrān naḥ śreyaḥ samanaiṣṭa devā iti vrīhīṇāṃ prāśnāty agniḥ prathamaḥ prāśnātu sa hi veda yathā haviḥ / śivā asmabhyam oṣadhīḥ kṛṇotu viśvacarṣaṇir iti śyāmākānām etamu tyaṃ madhunā saṃyutaṃ yavaṃ sarasvatyā adhi manāv acarkṛṣuḥ / indra āsīt sīrapatiḥ śatakratuḥ kīnāśā āsan marutaḥ sudānava iti yavānām
6.25.2	yathāvikāraṃ paśāv ekādaśa prayājān anumantrayate
6.25.3	caturaś caturbhir āditaś caturthasyānumantraṇena duraḥprabhṛtīṃś catura uttamenetarān
6.25.4	svarvid asi svar vittvā svar ihi svar mahyaṃ svaḥ paśubhyo lokavid asi lokaṃ vittvā lokam ihi lokaṃ mahyaṃ lokaṃ paśubhyo gātuvid asi gātuṃ vittvā gātum ihi gātuṃ mahyaṃ gātuṃ paśubhyo nāthavid asi nāthaṃ vittvā nātham ihi nāthaṃ mahyaṃ nāthaṃ paśubhyo na vā uv etan mriyasa āśānāṃ tvā viśvā āśā iti paśau saṃjñapyamāne japati hutāyāṃ vapāyāṃ paraṃ dadāti tisro vā dakṣiṇā nayet
6.25.5	yathāvikāraṃ paśāv ekādaśānūyājān anumantrayate trīṃstrīn ekaikena prathamena daśamam uttamenottamam
6.25.6	śṛṅgāṇīvec chṛṅgiṇāṃ saṃdadṛśrire caṣālavantaḥ svaravaḥ pṛthivyām / te devāsaḥ svaravas tasthivāṃso namaḥ sakhibhyaḥ sannān māvagāteti
6.26.1	hutaṃ svarum upatiṣṭhata āśāsānaḥ suvīryam iti saṃsthite yūpam
6.26.2	cāturmāsyeṣv anaḍvāham anaḍuho vā hiraṇyaṃ vaiśvānare dadāti dhenuṃ pārjanye yathāvikāraṃ nava prayājān anumantrayate caturaś caturbhir āditaś caturthasyānumantraṇena duraḥprabhṛtīṃś catura uttamenottamaṃ vatsaṃ prathamajaṃ vaiśvadeve dadāti yathāvikāraṃ navānūyājān anumantrayate trīṃstrīn ekaikena
6.26.3	tad ṛtaṃ tat satyaṃ tad vrataṃ tac chakeyaṃ tena śakeyaṃ tena rādhyāsam iti sarvatra keśeṣūpyamāneṣu japati caturo māsān nānṛtaṃ vadati na māṃsam aśnāti na striyam upaiti noparyāste jugupsetānṛtāt prāṅ śete na madhv aśnāti nāñjīta nābhyañjītartau jāyām upeyāt sarveṣāṃ cāturmāsyānām etāny antarālavratāni bhavanti dhenuṃ varuṇapraghāseṣu dadāty ṛṣabhaṃ pravayasaṃ sākamedheṣu yasya ravate juhoti tam eva paurṇādarvye 'śvaṃ śvetam āditye gāṃ vā śvetaṃ ṣaḍgavaṃ dvādaśagavaṃ vā sīram uṣṭārau voṣṭāraṃ vānyataraṃ śunāsīrīye 'śvaṃ śvetaṃ saurye gāṃ vā śvetaṃ tadabhāve 'gauḥ śvetaḥ syāc chvetaḥ syāt
7.1.1	sarvakāmo 'gniṣṭomaḥ
7.1.2	yugapat kāmayeta
7.1.3	āhārapṛthaktve vā
7.1.4	tena vasantevasante yajeta
7.1.5	tasya nānupakrāntayor darśapūrṇamāsayor āhāraḥ
7.1.6	sa prathamaḥ somānām
7.1.7	atirātram eke prathamaṃ yajñam adhīyate
7.1.8	amāvāsyāyāṃ yajanīye 'hani dīkṣate paurṇamāsyāṃ yajanīye 'hani sutyam ahaḥ
7.1.9	amāvāsyāyāṃ paurṇamāsyāṃ vā
7.1.10	yadi tv ekā dīkṣā dve tisraś catasro 'parimitā vā tatrāparvaṇi sutyam ahar dīkṣā vā
7.1.11	mahan me 'voco yaśo me 'voco bhargo me 'voco bhuktiṃ me 'vocaḥ stomaṃ me 'vocaḥ sarvaṃ me 'vocas tan māvatu tan mā viśatu tena bhukṣiṣīyeti vṛtovṛto japati
7.1.12	devo devam etu somaḥ somam etv ṛtasya pathā vihāya dauṣkṛtyam ity abhipravrajati
7.1.13	padvā nāmāsi srutiḥ somasaraṇī somaṃ gameyam iti panthānam ātiṣṭhate
7.1.14	pitaro bhūr iti triḥ pitṝn abhimantrayate
7.1.15	dīkṣiṣyamāṇasyāgnir yajurbhir iti dvādaśa saṃbhārayajūṃṣi juhoti
7.1.16	saptahotāraṃ manasānudrutya sagrahaṃ hutvā dīkṣaṇīyām iṣṭiṃ nirvapati
7.1.17	āgnāvaiṣṇavam ekādaśakapālam āgnāvaiṣṇavaṃ vā ghṛtecarum
7.1.18	saptadaśa sāmidhenyaḥ
7.1.19	na yajamānabhāgam avadyati sarveṣu saumikeṣv iṣṭipaśubandheṣu
7.1.20	nānvāhāryaṃ dadāti
7.1.21	dhruvāyāḥ śeṣaṃ karoti
7.1.22	patnīsaṃyājāntā dīkṣaṇīyā saṃtiṣṭhate bhakṣayitvājyeḍāṃ viramanti
7.1.23	dhārayaty āhavanīyam
7.1.24	prācīnavaṃśaṃ vimitaṃ viminvanti
7.1.25	pariśrayantaḥ sraktiṣv atīrokān kurvanti
7.1.26	uttarapūrvam avāntaradeśaṃ prati pañcamam
7.1.27	dikṣu dvārāṇi
7.1.28	ekadvārāḥ kāmyāḥ kalpāḥ
7.1.29	prāgdvāraṃ svargakāmasya dakṣiṇādvaraṃ pitṛlokakāmasya pratyagdvāraṃ manuṣyalokakāmasyodagdvāraṃ prajākāmasyottarataḥpurastād yaḥ kāmayetobhayorlokayor ṛdhnuyām iti
7.1.30	sarvatodvāraṃ yaḥ kāmayeta sarvāsu dikṣv ṛdhunyām iti
7.1.31	pratimāyāś ca kurvanti dikṣu praghāṇarūpāṇi
7.1.32	uttareṇa prāgvaṃśaṃ pariśrite yajamānasya keśaśmaśrūṇi vāpayate
7.1.33	śmaśrūṇy agre vāpayate 'thopapakṣāv atha keśān
7.1.34	āpa undantu jīvasa iti dakṣiṇaṃ godānam unatti
7.1.35	oṣadhe trāyasvainam ity ūrdhvāgrām oṣadhim antardadhāti
7.1.36	svadhite mainaṃ hiṃsīr iti kṣureṇābhinidadhāti
7.1.37	devaśrūr etāni pravapa iti pravapati
7.2.1	abhyantaraṃ nakhāni nikṛntate hastyān agre 'tha padyāni savyasyāgre kaniṣṭhikāto 'tha dakṣiṇasya
7.2.2	sa yadāktākṣo bhavaty athainam ekaviṃśatyā darbhapuñjīlais tredhā vibhaktais triḥ saptabhiḥsaptabhiḥ pāvayati citpatis tvā punātv ity etair mantrair dvir ūrdhvaṃ nābher unmārṣṭi sakṛd avāṅ avamārṣṭy acchidreṇa pavitreṇeti sarvatrānuṣajati
7.2.3	taṃ prāgvaṃśaṃ prapādyātra dīkṣṇīyām eke samāmananti
7.2.4	dhruvāśeṣād ākūtyai prayuje 'ganaye svāheti sruveṇa catasro dīkṣāhutīr juhoti
7.2.5	āpo devīr iti srucā pañcamīm
7.2.6	viśve devasya netur iti ṣaṣṭhīṃ dvādaśagṛhītena srucaṃ pūrayitvā bilāvakāśāṃ vā kṛtvottamasruve 'bhipūrayatyupottame vā
7.2.7	kṛṣṇājinasya dakṣiṇaṃ pūrvapādam antar māṃsaṃ pariṣīvyati
7.2.8	dve vā viṣūcī māṃsasaṃhite karoti
7.2.9	indra śākvara gāyatrīṃ prapadye tāṃ te yunajmīndra śākvara triṣṭubhaṃ prapadye tāṃ te yunajmīndra śākvara jagatīṃ prapadye tāṃ te yunajmīndra śākvarānuṣṭubhaṃ prapadye tāṃ te yunajmīndra śākvara paṅktiṃ prapadye tāṃ te yunajmīty antarvedi kṛṣṇājinaṃ prācīnagrīvam uttaralomāstṛṇāti
7.2.10	tadārūḍhe yajamāne patnyāḥ śirasi jālaṃ pratimuñcati
7.2.11	tām ahatena kṣaumeṇa vāsasordhvavāsyena dīkṣayati
7.2.12	śaramuñjānāṃ mekhalā trivṛdveṇī kāryā
7.2.13	ūrg asīti tayā yajamānaṃ nābhideśe triḥ pradakṣiṇaṃ parivyayati dvir ity eke pūṣā te granthiṃ prathnātv ity uttarato nābher niṣṭarkyaṃ granthiṃ kṛtvā sa te māsthād iti dakṣiṇato nābheḥ parikarṣati yaṃ dviṣyāt taṃ dhyāyet
7.2.14	saṃ tvā nahyāmīti patnīṃ saṃnahyati yathā darśapūrṇamāsayoḥ
7.2.15	indrasya yonir asīti trivalaṃ pañcavalaṃ vā kṛṣṇaviṣāṇāṃ yajamānāya prayacchaty ābadhnāti vā
7.2.16	patnyāḥ śirasi jālaṃ yathā suṣṭhu kalpayati
7.3.1	audumbaro dīkṣitadaṇḍo yo vā kaścana vṛkṣaḥ phalagrahis tasya
7.3.2	muṣṭimātro mukhena saṃmatiś cubukadaghno vā
7.3.3	ūrdhvasūr asi vānaspatyaḥ sudyumno dyumnaṃ yajamānāya dhehīti taṃ yajamānāya pradāya saṃbhārayajūṃṣi vācayati juhoti caitair mantraiḥ
7.3.4	taṃ vāgyatam adīkṣiṣṭāyaṃ brāhmaṇo 'sāv āmuṣyāyaṇo 'muṣya putro 'muṣya pautro 'muṣya naptāmuṣyāḥ putro 'muṣyāḥ pautro 'muṣyā napteti trir upāṃśv āvedayati trir uccaiḥ
7.3.5	asāv iti nāma gṛhṇāty āmuṣyāyaṇa iti pitur nāmadheyena
7.3.6	yaḥ kaścid dīkṣate brāhmaṇa ity evāvedayet
7.3.7	devāñ janam agan yakṣas tato mā yajñasyāśīr āgacchatu gandharvāñ janam agan yajñas tato mā yajñasyāśīr āgacchatu pitṝñ janam agan yajñas tato mā yajñasyāśīr āgacchatv apa oṣadhīr vanaspatīñ janam agan yajñas tato mā yajñasyāśīr āgacchatu pañcajanāñ janam agan yajñas tato mā yajñasyāśīr āgacchatu vardhatāṃ bhūtir dadhnā ghṛten muñcatu yajño yajñapatim aṃhaso bhūpataye svāhety abhimantrayate yady anyatra kṛṣṇājinād āsīta nityavṛttāv ata ūrdhvam
7.3.8	agnīñ jyotiṣmataḥ kuruta dīkṣita vācaṃ yaccha patni vācaṃ yaccheti purodayam adhivṛkṣasūrye ca vratapradaḥ saṃpreṣyati
7.3.9	udite 'stamite ca vrataṃ dohayati vatsasyaikaṃ stanam avaśeṣya
7.3.10	gārhapatye dīkṣitasya vrataṃ śrapayati patnyā dakṣiṇāgnau
7.3.11	apareṇāhavanīyaṃ vratam atyāhṛtya dīkṣitāya prayacchati
7.3.12	bhadrād abhi śreyaḥ prehīti dīkṣitaṃ prayātam anumantrayate
7.3.13	dīkṣitasya yūpaṃ chinatti yathā nirūḍhapaśubandhe
7.3.14	na yūpāhutiṃ juhoti homārthām ṛcaṃ japitvābhipravrajati
7.3.15	api vājyam araṇī cādāya yūpasyāntike 'gniṃ mathitvā yūpāhutiṃ hutvā yūpaṃ chinatti
7.3.16	krīte vā rājanyāhavanīye yūpāhutiṃ hutvā yūpaṃ chinatti
7.3.17	agnīṣomīyasavanīyayor anūbandhyāyāś ca
7.4.1	samāno yūpaḥ svarur āhavanīyo hṛdayaśūlaś ca
7.4.2	apavṛtte dīkṣāparimāṇe
7.4.3	uttaravedideśa uparavāṇāṃ vā lohitam ānaḍuhaṃ carma prācīnagrīvam uttaralomāstīrya tasya dakṣiṇe pakṣe rājānaṃ nyupyottarata udakumbhaṃ nidhāya sarvataḥ pariśrityodīcīṃ dvāraṃ kṛtvā somavikrayiṇaṃ prapādayati kautsaṃ śūdraṃ vā
7.4.4	somavikrayin somaṃ śodhayeti saṃpreṣyati śundha somam āpannaṃ nirasyeti vā śundha somam āpannaṃ nirasyeti vā
7.4.5	yad anyad aṃśubhyas tad apoddharati
7.4.6	nādhvaryuḥ somaṃ vicinuyān nāsya puruṣo na yajamāno na yajamānasyāmātyā na vicīyamānasyopadraṣṭāro bhavanti
7.4.7	prāyaṇīyāprabhṛtiṣv avabhṛthānteṣv iṣṭipaśubandheṣu vratopāyanaṃ jāgaraṇaṃ patnīsaṃnahanam āraṇyāśanaṃ ca na vidyate
7.4.8	sarvāṇy uttarāsu kriyante
7.4.9	savanīye paśau savanīyeṣu ca puroḍāśeṣu nāgnyanvādhānaṃ vidyate
7.5.1	prāyaṇīyāyās tantraṃ prakramayati
7.5.2	tatra yāvat kriyate tad vyākhyāsyāmaḥ
7.5.3	agnīn anvādhāyedhmābarhir āharati
7.5.4	saptadaśa sāmidhenyo nānūyājasamidham upasaṃnahyati yady anūyājā na bhavanti
7.5.5	vedaṃ kṛtvāgnīn paristīrya pāṇī prakṣālyolaparājīṃ stīrtvā yathārthaṃ pātrāṇi prayunakti sthālīṃ kapālānāṃ sthāne prayunakti
7.5.6	nirvapaṇakāle 'dityai prāyaṇīyaṃ caruṃ nirvapati payasi śrapayati
7.5.7	caturgṛhītāny ājyāni gṛhṇāti yady anūyājā na bhavanti
7.5.8	ṣaḍḍhotrā prāyaṇīyam āsādayati
7.5.9	sarvam idhmam ādadhāti sarvam aupabhṛtaṃ samānayate yady anūyājā na bhavanti
7.5.10	ājyabhāgāṃś caturo yajati pathyāṃ svastiṃ purastād agniṃ dakṣiṇataḥ somaṃ paścāt savitāram uttarato 'ditiṃ madhye haviṣā sthālīṃ niṣkāsaṃ mekṣaṇaṃ ca nidadhāti
7.5.11	dhruvāyāḥ śeṣaṃ karoti
7.5.12	śaṃyvantā kṛtsnā vā
7.5.13	na yajamānabhāgam avadyati yadi śaṃyvantā
7.5.14	atra rājño nivapanam eke samāmananti
7.5.15	dhruvāśeṣāc caturgṛhītaṃ pañcagṛhītaṃ vā gṛhītveyaṃ te śukratanūr iti darbheṇa hiraṇyaṃ niṣṭarkyaṃ baddhvājye 'vadadhāti
7.5.16	upakl̥ptā somakrayaṇī samaṅgā bandhumatī yathāgnīṣomīyo babhrur aruṇā rohiṇī vopadhvastā prapīnātha vā rohiṇī piṅgākṣī babhrulomnī śvitropakāśā pṛśnivālā pṛśniśaphaikahāyanī dvihāyanī trihāyaṇī vā jūr asīti tām īkṣamāṇa etac caturgṛhītaṃ juhoti
7.5.17	aparaṃ caturgṛhītaṃ gṛhītvā śukram asy amṛtam asīti hiraṇyaṃ ghṛtād uddharati
7.5.18	vaiśvadevaṃ havir ity abhimantrayate
7.5.19	havir asi vaiśvadevam ity avekṣate
7.5.20	sūryasya cakṣur āruham iti sahiraṇyena pāṇinādityam upatiṣṭhate
7.6.1	cid asīti somakrayaṇīṃ saṃśāsti
7.6.2	mitras tvā padi badhnātv iti dakṣiṇe pūrvapāde badhnāti
7.6.3	pūṣādhvanaḥ pātv iti nayati yatra somo 'baddhām akarṇagṛhītāṃ baddhāṃ vā karṇagṛhītām
7.6.4	tasyā vasvy asīty etair mantrair dakṣiṇena pūrvapādena ṣaṭ padāny anunikrāmati
7.6.5	bṛhaspatis tvā sumne raṇvatv iti saptamaṃ padam abhigṛhṇāti
7.6.6	tasmin hiraṇyaṃ nidhāya pṛthivyās tvā mūrdhann ājigharmīty etac caturgṛhītaṃ juhoti
7.6.7	apādāya hiraṇyaṃ parilikhitam iti sphyena padaṃ parilikhati yāvad ghṛtam anu visṛtaṃ bhavati tūṣṇīṃ viṣāṇayā cānuparilikhyāsme rāya iti sthālyāṃ padaṃ nivapati
7.6.8	padāyatane sahiraṇyau pāṇī prakṣālya tve rāya iti padaṃ yajamānāya prayacchati
7.6.9	tote rāya iti yajamānaḥ patniyai
7.6.10	māhaṃ rāyaspoṣeṇa viyoṣam iti patnī pradīyamānaṃ pratīkṣate
7.6.11	saṃ devi devyorvaśyā paśyasveti somakrayaṇyā patnīṃ saṃkhyāpayati
7.6.12	unnambhaya pṛthivīm iti pada udapātraṃ ninīya traidhaṃ padaṃ prativibhajya gārhapatyasya śīte bhasmani tṛtīyam upavapaty āhavanīye tṛtīyam
7.6.13	pratiṣiddham ekeṣām āhavanīye
7.6.14	tṛtīyaṃ patniyai prayacchati tat sā gṛheṣu nidhatte
7.6.15	sūryasya cakṣur āruham ity atrādityopasthānam eke samāmananti
7.6.16	api panthām agasmahīti pariśritena śakaṭena cchadiṣmatoddhṛtapūrvaphalakena rājānam accha yāti
7.6.17	uttareṇa rājānaṃ śakaṭaṃ mukhena pratiṣṭhapyāmātyo 'sīty abhimantrayata āsmāko 'sīti vā
7.6.18	aṃśunā te aṃśuḥ pṛcyatām ity aṃśūn samudvapati
7.6.19	uttareṇa rājānaṃ carmaṇi kṣaumaṃ vāso 'hataṃ mahad dviguṇaṃ caturguṇaṃ vā prācīnadaśam upariṣṭāddaśam āstīryābhi tyaṃ devam iti tasmin sahiraṇyena pāṇināticchandasarcā rājānaṃ mimīta ekaikayāṅgulyā prasāritayā
7.6.20	sarvāsv aṅguṣṭham upanigṛhṇāti
7.6.21	yayā prathamaṃ na tayā pañcamaṃ tayaiva daśamam
7.6.22	pañcakṛtvo yajuṣā mimīte pañcakṛtvas tūṣṇīm
7.6.23	prajābhyas tveti pariśiṣṭān aṃśūn upasamūhati
