#Text:Mānavaśrautasūtra
#Data entry:M. Fushimi



1.1.1.1	uttarata upacāro vihāraḥ
1.6.2.8	ambhaḥ sthāmbho vo bhakṣīyeti vatsam ālabhate
1.6.2.9	upa tvāgne divediva ity aṣṭābhir gārhapatyam upatiṣṭhate
1.6.2.10	ūrjā vaḥ paśyāmīti gām ālabhate
1.6.2.11	mahi trīṇām avo 'stv ity āhavanīyam upatiṣṭhate
1.6.2.12	nimrado 'sīti yathopadiṣṭaṃ brāhmaṇena
1.6.2.13	pūṣā mā pathipāḥ pātv ity ekaikenopatiṣṭhate pṛthivīm antarikṣaṃ divaṃ ca
1.6.2.14	prācī dig agnir devateti pratidiśaṃ yathāmnātaṃ // dharmo mā dharmaṇaḥ pātv iti ca yathāmnātam
1.6.2.15	upaviśyāntarāgnī jyotiṣe tantave tveti japati
1.6.2.16	sāyaṃ patny anvāste na prātaḥ
1.6.2.17	śvobhūte / sūryapatnīr upāsaran devīr uṣasa āyatīḥ / tā mā yajñasya mātaro 'bhiṣiñcantu varcasā / varcasā draviṇena ca devīr mām abhiṣiñcantu / dviṣanto radhyantāṃ mahyaṃ mā tv ahaṃ dviṣṭāṃ radham / ṛṣir asmy ekavīro virājo 'smi nṛṣāsahiḥ / āvalgo 'smi saṃvalgo vajro hāsmi sapatnahā / sapatnān ahanaṃ ripūn pratiṣiktā arātayaḥ / pratiṣiktā arātayo 'riṣṭāḥ saṃcaremahi / arvāgvasur iti trir uktvā vihavyasya catasra ṛco japati
1.6.2.18	yo yajamāno na śreyān syāt sa vihavyenopatiṣṭheta
1.6.3.1	daśāvarā rātrīr uṣitvā sahadhanaḥ prayāsyann ādhāyāneyāny anapohyāny apoddhṛtyordhvaṃ prātarāhuteḥ sarveṣu yukteṣv amīvahā vāstoṣpate vāstoṣpata ity ete nigadyāhutiṃ juhoti / tubhyaṃ tā aṅgirastama viśvāḥ sukṣitayaḥ pṛthak / agne kāmāya yemire / iti dvitīyām
1.6.3.2	pravatsyann ayaṃ te yonir ṛtviya ity araṇyoḥ samāropayati / yadi gataśrīḥ sarvān
1.6.3.3	yā te agne yajñiyā tanūs tayehy ārohātmanātmānam achā vasūni kurvann aryā purūṇi yajño bhūtvā yajñam āsīda svaṃ yoniṃ bhuva ājāyamānaḥ svakṣaya ehīty ātmani vā samāropayati
1.6.3.4	saṃkṣāpyāvadāhyān prayāya samavihāro yāyāvaraḥ prayāti
1.6.3.5	upāvaroha jātavedaḥ punas tvaṃ devebhyo havyā vahatu prajānan / āyuḥ prajāṃ rayim asmāsu dhehy ajasro dīdihi no duroṇe / iti manthiṣyañ japati
1.6.3.6	evam evāharahar adhvānam eṣyan samāropayaty upāvaroheti ca
1.6.3.7	agnīñ jyotiṣmataḥ kurv ity uktvā pravatsyañ jvalata upatiṣṭhate // ahirbudhnya mantraṃ me pāhi taṃ me gopāyāsmākaṃ punar āgamād ity āvasathyam upatiṣṭhate saprathaḥ sabhāṃ me pāhi tāṃ me gopāyāsmākaṃ punar āgamād iti sabhyaṃ paśūn me śaṃsya pāhīty āhavanīyaṃ prajāṃ me narya pāhīti gārhapatyam annaṃ me budhya pāhīti dakṣiṇāgnim
1.6.3.8	imān me mitrāvaruṇau gṛhān gopāyataṃ yuvam ity antarāgnī tiṣṭhañ japati
1.6.3.9	mama nāma prathamaṃ jātavedaḥ pitā mātā ca dadhatur nv agre / tat tvaṃ bibhṛhi punar ā mamaitos tavāham agne bibharāṇi nāma / ity āhavanīyam upatiṣṭhate
1.6.3.10	mā pragāma patho vayaṃ mā yajñād indra sominaḥ / mānta sthur no arātayaḥ / ity abhipravrajyāgnisakāśe vācaṃ yachaty asakāśe vācaṃ visṛjati
1.6.3.11	pravasan homavelāyāṃ pratidiśam agnīn upatiṣṭhate
1.6.3.12	viśvadānīm ābharanto 'nātureṇa manasā / agne mā te prativeśā riṣāma / iti pratyetya samidhāv āharaty asakāśe vācaṃ yachaty agnisakāśe visṛjati
1.6.3.13	agniṃ samādhehīty uktvā bhasma tva upatiṣṭhate
1.6.3.14	ahirbudhnya mantraṃ me 'jugupas taṃ me punar dehīty āvasathyam upatiṣṭhate saprathaḥ sabhāṃ me 'jugupas tāṃ me punar dehīti sabhyaṃ paśūn me śaṃsyājugupa ity āhavanīyaṃ prajāṃ me naryājugupa iti gārhapatyam annaṃ me budhyājugupa iti dakṣiṇāgnim
1.6.3.15	imān me mitrāvaruṇau gṛhāñ jugupataṃ yuvam ity antarāgnī tiṣṭhañ japati
1.6.3.16	tava ca nāma mama ca jātavedo vāsasī iva vivasānau carāvaḥ / te hi bibhṛvo mahase jīvase ca yathāyathaṃ nau tan nau jātavedaḥ / iti samidho 'gniṣv ādadhat tūṣṇīṃ sabhyāvasathyayoḥ
1.6.3.17	samilliṅgair itareṣūpasthāya cen na pravaset punaretyopatiṣṭheta
1.6.3.18	yady anupasthitāgniḥ pravāsam āpadyeta / ihaiva saṃs tatra santaṃ tvāgne hṛdā vācā manasā bibharmi / tiro me yajña āyur mā prahāsīr vaiśvānarasya tvā cakṣuṣopatiṣṭhe / ity upatiṣṭhate
1.6.4.1	parvaṇy āgrayaṇaṃ kurvīta vasante yavānāṃ śaradi vrīhīṇām
1.6.4.2	agrapākasyeṣṭvā navasyāśnīyāt
1.6.4.3	siddham ā nirvapaṇāt
1.6.4.4	āgnendrān nirvapati vaiśvadevān dyāvāpṛthivīyān
1.6.4.5	śaradi somāya śyāmākānām anyasyāṃ pātryām
1.6.4.6	nānābījānāṃ dharmaṃ vidhāsyāmo vaṣaṭkārapradānānāṃ caikakapālānāṃ ca
1.6.4.7	pṛthag abhimarśanaṃ nānābījānām
1.6.4.8	mukhyeṣu haviṣkṛtam āhvayati
1.6.4.9	āvapanaprabhṛti phalīkaraṇāntam ekaikasya niṣpavaṇāntaṃ yavānām
1.6.4.10	siddham opadhānāt
1.6.4.11	āgnendrāya dvādaśakapālāny upadadhāty ekaṃ dyāvāpṛthivīyāya
1.6.4.12	siddham ādhiśrayaṇāt
1.6.4.13	āgnendram adhiśritya vaiśvadevaṃ carum adhiśrayati
1.6.4.14	pavitrāntarhite paya ānīya taṇḍulān opyāṅguṣṭhaparvamātraṃ kūtīpalāśamātraṃ vā dyāvāpṛthivīyam adhiśritya saumyaṃ carum adhiśrayati
1.6.4.15	pavitrāntarhite 'pa ānīya taṇḍulān opya mekṣaṇena pradakṣiṇaṃ carū śrapayati
1.6.4.16	siddham odvāsanāt
1.6.4.17	ekakapālam anyasyāṃ pātryām alaṃkurvann abhipūrayati
1.6.4.18	pracaraṇavelāyāṃ barhiṣi sādayitvopastīryaikakapālaṃ sakṛt sarvam avadyati
1.6.4.19	āśayasyānvāsicya dvir abhighāryopāṃśv ekakapālena pracarya vaṣaṭkṛte madhye pāṇinā juhoty ṛjuṃ pratiṣṭhitam āśayenābhijuhoti
1.6.4.20	yadi paryāvarteta brāhmaṇavyākhyātam
1.6.4.21	prāk sviṣṭakṛtaḥ ṣaḍ ājyāhutīr juhoti / śatāyudhāya śatavīryāya śatotaye 'bhimātiṣāhe / śataṃ yo naḥ śarado nayad indro viśvasya duritasya pāram / ime catvāro rajaso vimāne 'ntarā dyāvāpṛthivī viyantu panthānaḥ / teṣām ajyānaṃ yatamo na āvahāt tasmai no devāḥ paridatta viśve / vasanto grīṣmo madhumanti varṣāḥ śarad dhemantaḥ suvite dadhātu / teṣām ṛtūnāṃ śataśāradānāṃ nivāta eṣām abhayāḥ syāma / saṃvatsarāya parivatsarāyedāvatsarāyānuvatsarāyodvatsarāya kṛṇutā bṛhan namaḥ / teṣāṃ vayaṃ sumatau yajñiyānāṃ jyogjīvā ahatāḥ syāma / iyaṃ svastiḥ saṃvatsarīyā parivatsarīyedāvatsarīyānuvatsarīyodvatsarīyā / sā naḥ pipartv ahṛṇīyamānaināhnedam ahar aśīya / ā naḥ prajāṃ janayatu prajāpatir iti ṣaṣṭhī
1.6.4.22	ekakapālāśayasya sviṣṭakṛte samavadyatīḍāyai ca
1.6.4.23	yajamāna iḍāyāḥ prāśnāti
1.6.4.24	etam u tyaṃ madhunā saṃyutaṃ yavaṃ sarasvatyā adhi manāv acarkṛṣuḥ / indra āsīt sīrapatiḥ śatakratuḥ kīnāśā āsan marutaḥ sudānavaḥ / iti yavānām
1.6.4.25	bhadrānnaḥ śreyaḥ samanaiṣṭa devās tvayāvasena samaśīmahi tvā / sa no mayobhūḥ pitur āviveśa śivas tokāya tanvo na edhi / iti vrīhīṇām
1.6.4.26	agniḥ prāśnātu prathamaḥ sa hi veda yathā haviḥ / śivā asmabhyam oṣadhīḥ kṛṇotu viśvacarṣaṇiḥ / iti śyāmākānāṃ vasante veṇuyavānām
1.6.4.27	vatsaḥ prathamajo dakṣiṇā
1.6.4.28	bubhukṣan śyāmākeneṣṭvā babhruṃ piṅgalaṃ vatsataraṃ dadyād vasanaṃ ca
1.6.5.1	āhiteṣu vyṛdhyamānaḥ pūrvāṃ paurṇamāsīm upoṣyāgnaye vaiśvānarāya dvādaśakapālaṃ nirvapet
1.6.5.2	paurṇamāsyāṃ jvalato visṛjet
1.6.5.3	agnyādheyena punarādheyaṃ vyākhyātam
1.6.5.4	vikārān anukramiṣyāmaḥ
1.6.5.5	yathāmnātaṃ varṣāsu śaradi punarvasvor anurādhāsu vā
1.6.5.6	saṃbhāreṣu darbhān upolapān kuryāt
1.6.5.7	parigītaṃ parigītaṃ // yat tvā kruddhaḥ parovapa manyuneti tisṛbhis triḥ saminddhe
1.6.5.8	punas tvādityā rudrā vasavaḥ samindhatām iti prāk pūrṇāhuteḥ ṣaṭ saṃtatihomāñ juhoti
1.6.5.9	āgneyam eva pañcakapālaṃ vibhaktīḥ prayājānuyājeṣv āgneyāv ājayabhāgau
1.6.5.10	punar ūrjā nivartasveti purastāt prayājānām āhutiṃ juhoti
1.6.5.11	dakṣiṇākāle punarutsyūtaṃ vāso deyaṃ punarṇavo rathaḥ punarutsṛṣṭo 'naḍvān sauvarṇaśātamāniko rukmo 'gnyādheyikyaś ca dakṣiṇāḥ
1.6.5.12	saha rayyā nivartasvety upariṣṭād anuyājānāṃ catasra āhutīr juhoti
1.6.5.13	akāmavichinne na samindhanīḥ kuryāt
1.6.5.14	sarvatrārambhaṇīyā sarvatrārambhaṇīyā
1.7.1.1	cāturmāsyāny ārapsyamānaḥ pūrvā paurṇamāsīm upoṣyāgnaye vaiśvānarāya dvādaśakapālaṃ nirvapati pārjanyaṃ ca carum
1.7.1.2	apaḥ praṇeṣyan pañcahotāraṃ manasānudrutya juhoti
1.7.1.3	dhenur anaḍvāṃś ca dakṣiṇā
1.7.1.4	siddheṣṭiḥ saṃtiṣṭhate
1.7.1.5	prācīnapravaṇe vaiśvadevena yajeta phālgunyāṃ caitryāṃ vasante vā
1.7.1.6	nopavasathe cāturmāsyeṣu keśaśmaśru yajamāno vāpayate
1.7.1.7	vratopetasya śākhām āhṛtya vatsān apākaroti
1.7.1.8	āpyāyadhvam aghnyā devebhyo viśvebhyo devebhyo bhāgam iti gāḥ prārpayati
1.7.1.9	prasūnaḥ prastaraḥ / tredhā saṃnaddham idhmābarhir dvau bhāgau tūṣṇīṃ saṃnahyāsaṃnaddhaṃ tṛtīyaṃ tad ekadhā mantreṇa saṃnahyati tūṣṇīm idhmam
1.7.1.10	samānaṃ dohanam
1.7.1.11	tisṛṣu dugdhāsu bahu dugdhi viśvebhyo devebhyo havir iti trir uktvā vācaṃ visṛjate
1.7.1.12	viśvebhyas tvā devebhyo bhāgaṃ somenātanacmīty ātanakti
1.7.1.13	siddham ā pātraprayojanāt
1.7.1.14	carukapālaṃ prayunakti dvitīyam ājyasthālīṃ pṛṣadājyāya srucaṃ copabhṛto 'nantarā
1.7.1.15	siddham ā nirvapaṇāt
1.7.1.16	āgneyo 'ṣṭākapāla itiprabhṛtīni pañca nirvapati marudbhyaḥ svatavadbhyaḥ saptakapālaṃ dyāvāpṛthivīyam ekakapālam
1.7.1.17	siddham ādhivapanāt
1.7.1.18	prāg adhivapanāc caravyān apāyātayati
1.7.1.19	adhyupya kapālāny upadadhaḥti
1.7.1.20	prātardohaṃ dohayati
1.7.1.21	utpūtānāṃ pūṣṇe piṣṭāny apāyātayati
1.7.1.22	caruṣu piṣṭabhāk pūṣā sarvatra
1.7.1.23	anupūrvaṃ havīṃṣy adhiśrayati
1.7.1.24	mārutam adhiśritya tapte prātardohe sāyaṃdoham ānīyāmikṣāṃ karoti
1.7.1.25	etenāmikṣā sarvatra vyākhyātā
1.7.1.26	ājyaṃ nirupya pṛṣadājyāya dadhi nirvapati samānadharmam ājyena
1.7.1.27	siddham ā srucāṃ saṃmārjanāt
1.7.1.28	samānaṃ saṃmārjanam upabhṛtaḥ pṛṣadājyadhānyāś ca
1.7.1.29	siddham ājyagrahebhyaḥ
1.7.1.30	caturgṛhītāny ājyāni pṛṣadājyadhānyāṃ dvir upastīrya dadhy ānīya sakṛd abhighārayan pṛṣat karoti
1.7.1.31	sakṛd upastīrya dvir abhighārayed varṣāsu
1.7.1.32	siddham ājyānāṃ sādanāt
1.7.1.33	samānaṃ sādanam upabhṛtaḥ pṛṣadājyadhānyāś ca
1.7.1.34	siddham odvāsanāt
1.7.1.35	prāg abhighāraṇād āmikṣāṃ vivājināṃ kṛtvotkare vājinam āsādayati
1.7.1.36	alaṃkṛtyānupūrvaṃ havīṃṣy abhyudāharati
1.7.1.37	siddham ābhimarśanāt
1.7.1.38	prāg abhimarśanān nirmanthena pracarati
1.7.1.39	uttarasya paścātparidhisaṃdher agner janitram asīty adhimanthanaṃ śakalam avasthāpayati
1.7.1.40	vṛṣaṇau stha iti tatra prāñcāv aprachinnaprāntau darbhau nidhāyorvaśy asīti tayor udaktūlām adharāraṇiṃ paścāt prajananāṃ mūlata uttarāraṇim āyur asīty ājyasthālyā [ ājyena ] bile snehayáṃs triḥ samanakti
1.7.1.41	purūravā asīti saṃdadhāti
1.7.1.42	agnaye mathyamānāyānubrūhīty anuvācayati
1.7.1.43	gāyatram asi triṣṭub asi jagad asīti pradakṣiṇaṃ trir adhimanthati
1.7.1.44	agnaye jātāyeti jāte
1.7.1.45	agnaye prahriyamānāyeti prahriyamāṇe
1.7.1.46	agreṇottaraṃ paridhim anvavahṛtyānvārabdhe yajamāne vācayan bhavataṃ naḥ samanasāv iti svāhākārāntena prahṛtya śakalam agnāv adhyasyati
1.7.1.47	agnā agniś caratīti sruveṇābhijuhoti
1.7.1.48	pūrṇasruvaṃ sādayitvā pañcahotrā cāturmāsyāny abhimarśayati
1.7.2.1	siddham ā prayājebhyaḥ
1.7.2.2	āśrāvaṃ nava prayājān yajati
1.7.2.3	trīn hutvā samānayati trīn hutvā samānayati / dvau hutvā sarvaṃ samānīyaikaṃ hutvātyākramyānupūrvaṃ havīṃṣy abhighārayaty antataḥ pṛṣadājyaṃ nopabhṛtam
1.7.2.4	siddham ā pracaraṇāt
1.7.2.5	upāṃśu sāvitraikakapālābhyāṃ pracarati
1.7.2.6	siddham ā sviṣṭakṛtaḥ
1.7.2.7	prāk sviṣṭakṛto madhave svāhetiprabhṛtīni māsanāmāni juhoti catvāri vaiśvadeve catvāri varuṇapraghāseṣu catvāri sākamedheṣvekaṃ śunāsīrye
1.7.2.8	dakṣiṇākāle vatsaḥ prathamajo dakṣiṇā
1.7.2.9	siddham ānuyājebhyaḥ
1.7.2.10	pṛṣadājyaṃ juhvām ānīyāśrāvaṃ navānuyājān yajati
1.7.2.11	vājavatyopabhṛtā saha pṛṣadājyadhānīṃ nigṛhṇāti vyudgṛhṇāti saṃpragṛhṇāti nirasyati
1.7.2.12	ghṛtācyau stho yajamānasya dhuryau pātam iti vedyaṃsayoḥ srucau vimuñcati
1.7.2.13	sruci camase vāntarvedy ūrdhvas tiṣṭhan barhir anuviṣiñcan vājinaṃ gṛhṇāti
1.7.2.14	vājibhyo 'nubrūhīty anuvācayati
1.7.2.15	āśrāvya vājino yajeti preṣyati
1.7.2.16	vaṣaṭkṛtānuvaṣṭkṛte hutvoccheṣeṇa diśaḥ pratiyajati diśaḥ svāheti dikṣu pūrvārdhād upakramya pradakṣiṇaṃ pañcamena madhye ṣaṣṭhena pūrvārdhe
1.7.2.17	śeṣaṃ samadhā vibhajyopahūtopahvayasvety uktvopahūtā upahvayadhvam iti vā
1.7.2.18	ā mā viśantv indava ā galdā dhamanīnām / rasena me rasaṃ pṛṇa vājino me yajñaṃ vahān / ity ṛtvijaḥ prāśnanti yajamānaś ca / hotā prathamo bhakṣayate
1.7.2.19	siddham ā samiṣṭayajuṣaḥ
1.7.2.20	dvir dhruvām āpyāyyaiṣa te yajño devā gātuvida iti dve samiṣṭayajuṣī juhoti
1.7.2.21	saṃvatsarīyāṃ svastim āśāsa ity āha yajamānaḥ
1.7.2.22	siddheṣṭiḥ saṃtiṣṭhate
1.7.2.23	sadyaḥ paurṇamāsīṃ saṃsthāpya / ṛtam eva parameṣṭhy ṛtaṃ nātyeti kiṃcana / ṛte samudra āhitaḥ samudreṇa pṛthivī dṛḍhā / agnis tigmena śociṣā tapa ākrāntam uṣṇihā / śiras tapasy āhitaṃ vaiśvānarasya tejasi / ṛtenāsya nivartaya satyena parivartaya tapasāsyānuvartaya / śivenāsyopavartaya śagmenāsyābhivartaya / iti triśyetayā śalalyā lauhāyasena kṣureṇa nivartayati keśān vapati śmaśrūṇi
1.7.2.24	tad ṛtaṃ tat satyaṃ tañ śakeyaṃ tena śakeyaṃ tena rādhyāsaṃ tan me rādhyatām iti japati yajamānaḥ
1.7.2.25	caturo māsān na māṃsam aśnāti na striyam upaiti noparyāste / jugupsetānṛtāt prāṅ śete / madhv aśnāty ṛtau bhāryām upaiti
1.7.3.1	varuṇapraghāsāś caturṣu māseṣu
1.7.3.2	vaiśvadevikaṃ vidhānam
1.7.3.3	pañca saṃcarāṇām
1.7.3.4	mārutyai pratiprasthātā vatsān apākaroty adhvaryur vāruṇyai
1.7.3.5	pṛthag idhmābarhiṣī saṃnahyataḥ / sakṛt saṃnaddhaṃ pratiprasthātā
1.7.3.6	yathākālaṃ pṛthag dohayataḥ
1.7.3.7	siddham ā pātraprayojanāt
1.7.3.8	pṛthak pātrāṇi prayunakti sruvapañcamāḥ srucaḥ pratiprasthātā dve carusthālyau sphyaṃ vedaṃ ca
1.7.3.9	siddham ā nirvapaṇāt
1.7.3.10	pañca saṃcarāṇi nirupyādhvaryur aindrāgnaṃ dvādaśakapālaṃ nirvapati kāyam ekakapālam
1.7.3.11	yathākālam āmikṣe pṛthak saṃpādayataḥ
1.7.3.12	siddham ābhivāsanāt
1.7.3.13	piṣṭalepaṃ nidhāyāgreṇāhavanīyaṃ triṣu prakrameṣv aparimite vāvakāśe pṛṣṭhyāśaṅkuṃ nihatya vedādānaprabhṛti vediṃ vidadhāti ṣaṭśayāṃ prācīṃ catuḥśayāṃ paścāt triśayāṃ purastāt
1.7.3.14	pūrvārdhe vedyā vitṛtīyamātre 'ratnimātrīṃ caturdiṣṭim uttaravediṃ vidadhāti
1.7.3.15	agreṇotkaraṃ prakramamātre veder uddhaty āvokṣya cātvālaṃ śamyayā parimimīte taptāyanī me 'sīti dakṣiṇato vittāyanī me 'sīti paścād avatān mā nāthitam ity uttarato 'vatād vyathitam iti purastāt
1.7.3.16	agne aṅgira iti purastāt pratyaṅmukhaś cātvālaṃ sphyenābhihanti
1.7.3.17	āyunā nāmnehīti pāṃsūn pāṇau kurute
1.7.3.18	vasavas tvā harantv itiprabhṛtibhiḥ prāṅmukha uttaravedyāṃ nivapati // yo dvitīyasyām iti dvitīyaṃ yas tṛtīyasyām iti tṛtīyaṃ samānam anyat tūṣṇīṃ caturtham
1.7.3.19	vider agne nabho nāma yat ta iti jānudaghnam ṛjuṃ caturasraṃ khātvottaravedyāṃ nivapati
1.7.3.20	siṃhīr asi mahiṣīr asīty uttaravediṃ karoti
1.7.3.21	tasyāṃ madhye prādeśamātriṃ caturasrāṃ nābhiṃ karoti
1.7.3.22	devebhyaḥ śundhasvety adbhir avokṣate
1.7.3.23	devebhyaḥ śumbhasveti sikatābhiḥ prarocayati
1.7.3.24	āpo ripraṃ nirvahateti nābher adhi prāgudīcīr apo niḥsārayati
1.7.3.25	pratiprasthātā dakṣiṇāṃ vediṃ karoty ottarasmāt parigrahād aratnimātram antarā
1.7.3.26	same prācī bhavato yathā havīṃṣi saṃbhaveyus tathā tiraścī
1.7.3.27	eka utkaraḥ
1.7.3.28	apareṇottarāṃ stambayajur harati
1.7.3.29	prokṣaṇīḥ saṃskṛtyendraghoṣās tvā purastād vasubhiḥ pāntv itiprabhṛtibhiḥ prāṅmukha uttaravediṃ prokṣati pradakṣiṇam uttarair anuparikrāman
1.7.3.30	pratiparikramya pitṝṇāṃ bhāgadheyīḥ stheti śeṣaṃ dakṣiṇata uttaraveder ninayati
1.7.3.31	hiraṇyam antardhāya pañcagṛhītena nābhiṃ vyāghārayati siṃhīr asi sapatnasāhī svāhetiprabhṛtibhir dakṣiṇe 'ṃse savyāyāṃ śroṇau dakṣiṇāyāṃ śroṇau savye 'ṃse madhye pañcamam
1.7.3.32	bhūtebhyas tvety ūrdhvāṃ srucam udgṛhṇāti
1.7.3.33	āhavanīye 'gnipraṇayanāni pratyādhattaḥ
1.7.3.34	nābhiṃ pautadāravaiḥ paridadhāti // viśvāyur asīti madhyamaṃ dhruvakṣitir asīti dakṣiṇam acyutakṣid asīty uttaram
1.7.3.35	agner bhasmāsy agne purīṣam asīti saṃbhārān nivapati pūtadāruguggulakerusugandhitejanaṃ vṛṣṇer alūnapūrvasyāntarāśṛṅgād ūrṇāstukam
1.7.3.36	vibhrāḍ bṛhat pibatv iti saṃbhārān abhimṛśati
1.7.3.37	cātvālād upayamanīḥ kurute vedipurīṣāt pratiprasthātā
1.7.3.38	agnaye praṇīyamānāyānubrūhīty anuvācayaty agnibhyāṃ vā
1.7.3.39	trir anūktāyām agnipraṇayanāny udyachataḥ
1.7.3.40	adhvaryur āgnīdhrāya pradāya / yat te pāvaka cakṛmā kaccid āgaḥ pūrvo yaḥ sann aparo bhavāsi / ghṛtena tvaṃ tanvaṃ vardhayasva mā mā hiṃsīr adhigataṃ purastāt / svāhā / iti śeṣe juhoti
1.7.3.41	agnipraṇayanāny ādāya prācīm anu pradiśaṃ prehi vidvān iti harataḥ
1.7.3.42	ūrṇāvantam ity ucyamāne / yajñaḥ praty u ṣṭhāt sumatau matīnāṃ yatrāvahanti kavayaḥ purūṇi / dīrgham āyur yajamānāya vindāthāsīdasva mahate sībhagāya / iti saṃbhāreṣv agniṃ nidadhāty avokṣya pratiprasthātā samayā dakṣiṇasyāḥ pūrvārdhe
1.7.3.43	manuṣvat tvā nidhīmahi manuṣvat samidhīmahi / agne manuṣvad aṅgiro devān devāyate yajamānāya svāhā / iti samidhāvādadhataḥ
1.7.3.44	agneḥ kulāyam asīti dakṣiṇata āhavanīyasyopayamanīr nivapati
1.7.3.45	ulaparājibhyām āhavanīyau paristīrya sapta te agne samidha iti pūrṇāhutī juhutaḥ
1.7.3.46	pratiprasthātā dakṣiṇasyā veder uttarasyāḥ śroṇer adhi sphyena sakṛt saṃbhinatty ottarasyā dakṣiṇasmād aṃsāt
1.7.3.47	pṛthak karmāṇi kurutaḥ
1.7.3.48	adhvaryuḥ praiṣān āha
1.7.3.49	piṣṭalepau ninīyottarau parigrāhau parigṛhṇītaḥ
1.7.3.50	siddham ājyagrahebhyaḥ
1.7.3.51	caturgṛhītāny ājyāni pṛṣadājyavanti gṛhṇāti
1.7.3.52	siddham ājyānāṃ sādanāt
1.7.4.1	uttarato gārhapatyasya pratiprasthātāmayavapiṣṭānāṃ dadhnā karambhapātrāṇi karoty ekoddhīny aṅguṣṭhaparvamātrāṇi yāvanto 'mātyā yajamānasyaikaṃ cādhikam
1.7.4.2	śamīparṇaiḥ pūrayitvā śūrpe nidadhāti
1.7.4.3	meṣaṃ kṛtvā meṣīṃ karoti yāvanti pulliṅgāni śavayeran strīliṅgāni meṣyāḥ pratiprasthātā
1.7.4.4	prakṣālyorṇāḥ śleṣayataḥ
1.7.4.5	paraḥśatāni paraḥsahasrāṇi cāgrataḥ śamīparṇāni nivapataḥ
1.7.4.6	visrāvyāmikṣe pātryor avadhattaḥ
1.7.4.7	vāruṇyai niṣkāṣaṃ śiṣṭvā payasyayoḥ karīrasaktūn āvapataḥ
1.7.4.8	mārutyāṃ meṣamavadadhāti vāruṇyāṃ meṣīm
1.7.4.9	āsādayantau vipariharata aindrāgnaṣaṣṭhāny uttarasyāṃ mārutīṃ pratiprasthātā dakṣiṇasyāṃ vāruṇyekakapālāv uttarasyām ubhayatra nirmathyaḥ
1.7.4.10	siddham ā saṃmārjanāt
1.7.4.11	saṃmṛṣṭa uttarasmin pratiprasthātā gārhapatyānte pṛchati patni kati te kāntā yadi mithyā vakṣyasi priyatamas te saṃsthāsyatīti / yaṃ nirdiśet taṃ varuṇo gṛhṇātv iti brūyāt
1.7.4.12	praghāsyān havāmaha iti patnī
1.7.4.13	karambhapātrāṇy ādāyāpareṇa vihāraṃ dakṣiṇātikramyāgreṇa dakṣiṇam agniṃ purastāt pratyañcāv avatiṣṭhete śūrpaṃ śirasoravadhāya
1.7.4.14	mo ṣū ṇa indreti japati yajamāna uttaratas tiṣṭhan
1.7.4.15	yad grāme yad araṇya iti juhutaḥ śūrpeṇa karambhapātrāṇi
1.7.4.16	akran karma karmakṛta iti vyutkrāmataḥ
1.7.4.17	saṃmṛṣṭe dakṣiṇasmin siddham ā pravarāt
1.7.4.18	adhvaryuḥ pravṛṇīte
1.7.4.19	siddham ā pracaraṇāt
1.7.4.20	ājyabhāgābhyāṃ pracaryopāste pratiprasthātā
1.7.4.21	adhvaryur aindrāgnaṣaṣṭhaiḥ pracarati
1.7.4.22	mārutyai pratiprasthātā saṃpreṣyan pracarati
1.7.4.23	tasyāḥ pūrveṇāvadānena saha meṣīm avadyaty adhvaryur uttareṇa vāruṇyā meṣam
1.7.4.24	ekakapālena pracarya māsanāmāni juhoti
1.7.4.25	ubhayatra sviṣṭakṛtsamānīyeḍām
1.7.4.26	mithunau gāvau dakṣiṇā
1.7.4.27	siddham ā vājināt
1.7.4.28	ubhau vājibhyāṃ pracarataḥ
1.7.4.29	śeṣe samānīya bhakṣayanti
1.7.4.30	siddhaṃ patnīsaṃyājebhyaḥ
1.7.4.31	adhvaryuḥ patnīḥ saṃyājayaty ūhena patnīṃ vedayor vācayaty ūhena yajamāno 'numantrayate
1.7.4.32	siddham ā samiṣṭayajurbhyaḥ
1.7.4.33	trir dhruvām āpyāyya yajña yajñaṃ gachaiṣa te yajño devā gātuvida iti trīṇi samiṣṭayajūṃṣi juhoti dakṣiṇasmin pratiprasthātā
1.7.4.34	ājyaśeṣe samānīya sruksruvāv ājyasthālīm ādatte pratiprasthātā tuṣaniṣkāṣam āgnīdhraḥ srucam adhvaryuḥ
1.7.4.35	uruṃ hi rājā varuṇaś cakāreti cātvālāt prayanto japanti
1.7.4.36	śataṃ te rājann ity apaḥ parādṛśya tiṣṭhanto 'vabhṛthe pracaranti
1.7.4.37	sthāvarāsu tṛṇaṃ prāsyāpsu juhoti
1.7.4.38	agner anīkam iti caturgṛhītasya sraucam āghāram āghārayati
1.7.4.39	apabarhiṣaḥ prayājānuyājān yajati
1.7.4.40	ājyabhāgābhyāṃ pracarya tuṣaniṣkāṣasyāvadāya varuṇaṃ yajati śeṣeṇāgnīvaruṇau sviṣṭakṛtsthāne
1.7.4.41	tadantā saṃtiṣṭhate
1.7.4.42	vicṛttau varuṇasya pāśa ity apo 'ntād viṣyanti // pratyasto varuṇasya pāśa iti pratyasyanti // namo varuṇasya pāśāyeti namas kurvanti
1.7.4.43	dhāmnodhāmna iti tisṛbhiḥ parogoṣṭhaṃ mārjayante
