#Text:Śāṅkhāyanaśrautasūtra
#Edition:Hillebrandt 1885–1899 (Reprint 1981)
#Data entry:M. Tokunaga
#Notes:Text of the edition restored by S. Sellmer; only l has been changed to ḍ where appropriate. Translation (Caland) completely aligned. Footnote positions are corrected, but the footnotes themselves are not. Some chapters in Book 14 are only summarized by Caland and thus not included in the translation.



1.1.1	yajñaṃ vyākhyāsyāmaḥ
3.20.5	yad brāhmaṇo jugupsur na bhakṣayed etad duṣṭasya lakṣaṇam
3.20.6	tasyāpaḥ pratipat
3.20.7	śeṣe vidyamāne tena samāpanam
3.20.8	śeṣābhāve 'nyad utpādayet
3.20.9	tasmin dravye 'vidyamāne yat sāmānyatamaṃ manyeta tat pratinidadhyāt
3.20.10	eṣa pratinidhīnāṃ dharmaḥ
3.20.11	avikāraś ca śabdānām
3.20.12	aprattadaivate duṣṭe nāvṛttir asti hautrasyānyad dhaviḥ saṃskṛtya prayacched devatāyai
3.20.13	nāvṛttiḥ prattadoṣe 'sti lupyate sviṣṭakṛd iḍaṃ bhakṣāś ca
3.20.14	ājyena param
3.20.15	anyāsu devatāsv iṣṭāsu duṣṭena vā śeṣavati tantre pradānam āvartate
3.20.16	sarveṣṭir aśeṣe
3.20.17	kṛtasyānāvṛttir guṇalope saṃnipātapradhānatvāt
3.20.18	mantraṃ nānujapet
3.20.19	anujaped it jātūkarṇyaḥ
3.20.20	anyābhyo gṛhīte 'nyāsu vāvāhitāsu coditābhyaḥ prayacched ājyenāvāhitā yajet
3.21.1	iṣṭipaśubandheṣu some ca prāyaścittaṃ brahmā juhoti
3.21.2	ṛgvede ced doṣaḥ syād bhūḥ svāheti gārhapatye
3.21.3	yajur vede ced bhuvaḥ svāhety anvāhāryapacane
3.21.4	some tv āgnīdhrīye
3.21.5	sāmavede cet svaḥ svāhety āhavanīye
3.21.6	bhūr bhuvaḥ svaḥ svāhety ajñāyamāne doṣe
3.21.7	anupasthāya prasarge pratidiśam upasthānam
3.21.8	upasthāyāprasarge yathā proṣya
3.21.9	samārohyāprasarge manthanam
3.21.10	nāraṇyor asty upasthānam
3.21.11	nāhomenānijyayā vāgnīn utsṛjet
3.21.12	prāyaścittaṃ tu kṛtvātītāni karmāṇi pratinidadhyāt pratinidadhyāt
4.1.1	patnī yajamānau vratyam
4.1.2	aśnīyātaṃ prāgvatsāpākaraṇāt
4.1.3	yad anyan māṃsalavaṇamithunamāṣebhyo yena ca dravyeṇa yakṣyamāṇaḥ syāt
4.2.1	agnīn anvādadhātīṣṭipaśubandheṣu pūrveḍyuḥ
4.2.2	āhavanīye mahāvyāhṛtyottamayā
4.2.3	prathamayā gārhapatye
4.2.4	dakṣiṇāgnau madhyamayā
4.2.5	dvedve ca tūṣṇīm
4.2.6	āhavanīye daśamīṃ samastābhiḥ
4.2.7	mahāvyāhṛtīnāṃ vā sthāne catasro vihavyasyānupūrvyeṇa
4.2.8	upasthānaṃ ca śeṣeṇa
4.2.9	apa naḥ śośucad agham iti saptāgne naya yas tvā hṛdā tvaṃ no agne adharād iti vā daśabhiḥ
4.2.10	prāgnaye vācam imaṃ stomam iti copasthānaṃ sūktābhyām
4.2.11	tūṣṇīṃ prāgahīyam
4.2.12	mahāvyāhṛtibhiḥ paiṅgyam
4.2.13	kauṣītakaṃ vihavyena
4.2.14	āruṇam uttamam
4.3.1	piṇḍapitṛ yajño 'parāhṇe 'māvāsyāyām
4.3.2	dakṣiṇāgneḥ purastāc chūrpaṃ sthālīṃ sphyaṃ pātrīm ulūkhalamusale ca saṃsādya
4.3.3	gārhapatyasya paścād dakṣiṇa agneṣu kuśeṣuṣphyaṃ nidhāya
4.3.4	upariṣṭād vrīhīn pātryām
4.3.5	purastāc chūrpe sthālīm
4.3.6	ācya savyaṃ jānu nīcā muṣṭinā vrīhīn gṛhṇāti pitṝn dhyāyan
4.3.8	yathādhobilāśṛtaḥ sa syāt patnyā sakṛt phalīkṛtān dakṣiṇāgnau śrapayitvābhighārya pratyañcam udvāsyāvasavi parisamuhya paristīrya paryukṣya dakṣiṇaṃ jānv ācya yajñopavītī prāṅ āsīno mekṣaṇena juhoti
4.4.1	agnaye kavya vāhanāyasvāhā somāya pitṛmate svāhā yamāyāṅgirasvate pitṛmate svāheti
4.4.2	mekṣaṇam anuprahṛtya dakṣiṇā dakṣiṇāgner apahatā asurā rakṣāṃsi vediṣada iti sphyenonmṛjyābhyukṣya / ye rūpāṇi pratimuñcamānā asurāḥ santaḥ svadhayā caranti / parāpuro nipuro ye bharanty agniṣṭāṃl lokāt pra ṇudāty asmāt / ity ulmukam unmṛṣṭasya dakṣiṇārdhe nidhāya mūle kuśān sakṛl lūnān unmṛṣṭe nidhāyāsāv avanenikṣva ye ca tvām atrānv iti pitur nāmādiśya kuśeṣv apo niṣiñcaty avācīnapāṇinā
4.4.3	evaṃ dakṣiṇataḥ pitāmahasya
4.4.4	prapitāmahasya ca
4.4.5	asāv etat te ye ca tvām atrānv iti piṇḍān yathāvanejitaṃ nidhāya
4.4.6	ubhāv ekasmin pitṛbhede
4.4.7	na jīvapitur asti
4.4.8	na jīvāntarhitāya
4.4.9	tebhyo vā pitā tebhyaḥ putraḥ
4.4.10	homāntaṃ vā
4.4.11	atra pitaro mādayadhvaṃ yathābhāgaṃ pitara āvṛṣāyadhvam iti
4.4.12	udaṅ paryāvṛtya
4.4.13	trir ā tam anādāsitvā
4.4.14	amīmadanta pitaro yathābhāgam avīvṛṣateti pratiparyāvṛtya
4.4.15	tathaivāvanejya
4.5.1	namo vaḥ pitaro jīvāya namo vaḥ pitaraḥ śoṣāya / namo vaḥ pitaro ghorāya namo vaḥ pitaro rasāya / namo vaḥ pitaro balāya namo vaḥ pitaromṛtyave / namo vaḥ pitaro manyave namo vaḥ pitaraḥ svadhāyai / namo vaḥ pitaraḥ pitaro namo vaḥ / ye 'tra pitaraḥ pitaraḥ stha yūyaṃ teṣāṃ śreṣṭhā bhūyāstha / ya iha pitaro manuṣyā vayaṃ teṣāṃ śreṣṭhā bhūyāsma / yā atra pitaraḥ svadhā yuṣmākaṃ sā / ya iha pitara edhatur asmākaṃ sa / gṛhān naḥ pitaroḍatta iti
4.5.2	etad vaḥ pitaro vāso vadhvaṃ pitara iti trīṇi sūtrāṇy upanyasya
4.5.3	ūrjaṃ vahantīr amṛtaṃ ghṛtaṃ payaḥ kīlālaṃ parisrutam / svadhā stha tarpayata naḥ pitṝn ity udakaśeṣaṃ ninīya
4.5.4	avaghrāya piṇḍān
4.5.5	avadhāya prāśnīyāt
4.5.6	brāhmaṇāya vā dadyāt
4.5.7	apo vābhyavaharet
4.5.8	madhyamapiṇḍaṃ patnī putrakāmā prāśnīyāt / ā dhatta pitaro garbhaṃ kumāraṃ puṣkarasrajam / yatheha puruṣo 'sat // iti
4.5.9	ulmukam agnau kṛtvā
4.5.10	sakṛd ācchinān anuprahṛtya
4.5.11	agnihotraṃ yavāgvaiva sāyaṃprātaḥ
4.5.12	svayaṃhomaś ca parvaṇi
4.5.13	etenaiva dharmeṇānāhitāgneḥ piṇḍapitṛyajñaḥ kriyeta
4.6.1	dakṣiṇatonyāyaṃ brahmakarma
4.6.2	paścāt tu pitryāyām
4.6.3	yajamānanimitto viparyayaḥ
4.6.4	agreṇa yajamānam āsanam
4.6.5	samānaṃ hotrā tṛṇanirasanam
4.6.6	tathopaveṣanam
4.6.7	karmādau deśapṛthaktve ca
4.6.8	prāg agratā vikāraḥ
4.6.9	bṛhaspatir brahmā sa yajñaṃ pātu sa yajñapatiṃ sa māṃ pātu bṛhaspatir daivo brahmāhaṃ mānuṣo bhūr bhuvaḥ svar o3m ity upaviśya
4.6.10	sākṣyaṃ ca sarvakarmaṇām
4.6.11	mantravatsu vāgyamanam
4.6.12	sarvāsu gatiṣu yathā vrajanty anyathā tataḥ pratyāyanti
4.6.13	anusamety agnau praṇīyamāne
4.6.14	sahedhmenopaveśanam
4.6.15	aśvo brahmaṇo 'gny ādheye
4.6.16	sarveṣāṃ vā
4.6.17	karmaprasavāyāmantrita om ity uktvā yathākarma prasauti
4.7.1	praṇītākāle vāgyamanam
4.7.2	haviṣkṛtā visargaḥ
4.7.3	iṣṭe ca sviṣṭakṛtyānuyājaprasavena visargaḥ
4.7.4	mitrasya tvā cakṣuṣā pratīkṣa iti prāśitraṃ pratīkṣya
4.7.5	devasya tvā savituḥ prasave 'śvinor bāhubhyāṃ pūṣṇo hastābhyāṃ pratigṛhṇāmīti prtigṛhya
4.7.6	pṛthivyās tvā nābhau sādayāmy adityā upastha iti prāgdaṇḍaṃ sthaṇḍile nidhāya
4.7.7	upakaniṣṭhikayāṅguṣṭhena ca prāśitraṃ gṛhītvā
4.7.8	agneṣ ṭvāsyena prāśnāmīti prāśyāsaṃkhādan
4.7.9	śāntir asīty ācamya
4.7.10	prāṇān saṃmṛśati
4.7.11	prāṇapā asi prāṇaṃ me pāhīti nāsike mukhaṃ ca
4.7.12	cakṣuṣpā asi cakṣur me pāhīti cakṣuṣī
4.7.13	śrotrapā asi śrotraṃ me pāhīti śrotre
4.7.14	indrasya tvā jaṭhare sādayāmīti nābhim
4.7.13	śrotrapā asi śrotraṃ me pāhīti śrotre
4.7.14	indrasya tvā jaṭhare sādayāmīti nābhim
4.7.15	ko 'dāt kasmā adāt kāmo 'dāt kāmāyādāt / kāmo dātā kāmaḥ pratigrahītā kāmaitat ta ity anvāhāryaṃ pratigṛhya
4.7.16	brahman prasthāsyāmīty uktaḥ
4.7.17	deva savitar etaṃ te yajñaṃ prāhur bṛhaspataye brahmaṇe tena yajñam ava tena yajñapatiṃ tena mām ava devena savitrā prasūta iti japitvoṃ pratiṣṭheti prasauti
4.7.18	praṇītāsu vimuktāsūtsarjanaṃ brahmaṇaḥ
4.7.19	prāśanaṃ brahmabhāgasya
4.8.1	adabdhena tvā cakṣuṣāvapaśyāmi rāyaspoṣāya suprajāstvāya suvīryāyāgner jihvāsi suhūr devebhyo dhāmnedhāmne me bhava yajuṣeyajuṣa ity ājyam avekṣate patnī
4.8.2	tejo 'si śukram asy amṛtam asi vaiśvadevam asīty āsannaṃ vedau yajamānaḥ
4.8.3	dhruvā asadan nṛtasya yonau sukṛtasya loke tā viṣṇo pāhi pāhi yajñaṃ pāhi yajñapatim ity āsannāni havīṃṣy abhimṛśya / pāhi māṃ yajñanyam ity ātmānam / vṛṣṭir asi pāpmanāṃ me vṛśca vidyāsi vidya me pāpmānam ity ācamya / agne vratapate vrataṃ cariṣyāmi tac chakeyaṃ tan me rādhyatām / idma aham anṛtāt satyam upaimīty āhavanīye samidham ādhāya vācaṃ yacchati
4.8.4	agne vāyo vidyuc candramaḥ salokatāṃ vo 'śīyeti dhyāyāt
4.8.5	yatkāmo vā syāt
4.8.6	anupadasyam annādyam āpnavānīty ākāśaṃ samudraṃ vā
4.9.1	mahīdam indra indriyaṃ dadhātv asmān rāyo maghavānaḥ sacantām / asmākaṃ santv āśiṣaḥ satyā naḥ santv āśiṣaḥ // itīḍāyām upahūyamānāyām
4.9.2	bradhna pinvasva prāṇaṃ me pāhi prajāṃ me pāhi paśūn me pāhi brahma me dhukṣva kṣatraṃ me dhukṣva viśo me dhukṣva diśāṃ kḷptir asi diśo me kalpantāṃ kalpantāṃ me diśas tāsu kḷptāsu rādhyāsam / atra pitaro mādayadhvaṃ yathābhāgaṃ pitara āvṛṣāyadhvam iti barhiṣadaṃ puroḍāśam abhimṛśya
4.9.3	amīmadanta pitaro yathābhāgam avīvṛṣateti pratyavadhāya
4.9.4	prajāpater bhāgo 'sy ūrjasvān payasvān akṣitir asi mā me kṣeṣṭhāmutrā amuṣmiṃl loka iha cety anvāhāryam abhimṛśya
4.9.5	anuyājeṣv iṣṭeṣu vyūhita srucāv agner agnīṣomayor ujjitim anūjjeṣaṃ vājasya mā prasavena prohāmīty uttānena dakṣiṇena juhūṃ prācīm agnir agnīṣomau tam apanudantu yo 'smān dveṣṭi yaṃ ca vayaṃ dviṣmo vājasyainaṃ prasavenāpohāmīti nīcā savyenopabhṛtaṃ pratīcīm
4.9.6	yathādevatam anyatra
4.9.7	aniṣṭe gṛhapatau gārhapatye sruveṇa juhoti
4.10.1	yaṃ vāṃ devā akalpayann ūrjo bhāgaṃ śatakratū / idaṃ vāṃ tena prīṇāmi tasya tṛmpatam ahāhāhuhū svāhā / gandharvābhyāṃ nārīṣ ṭābhyām ahāhāhuhūbhyāṃ svāhā / agne pṛthivyā adhipate vāyo 'ntarikṣasyādhipate savitaḥ prasavānām adhipate sūrya nakṣatrāṇām adhipate somauṣadhīnām adhipate tvaṣṭaḥ samidhāṃ rūpāṇām adhipate mitra satyānām adhipate varuṇa dharmāṇām adhipate indra jyeṣṭhānām adhipate prajāpate prajānām adhipate devā deveṣu parākramadhvam
4.10.2	prathamā dvitīyeṣu parākramadhvam ity evam ekottaram aikādaśabhyaḥ
4.10.3	viśve devās trayastriṃśās trir ekādaśina uttarottaravartmāna uttarasatvāno viśve vaiśvānara viśve viśvamahasa iha māvatāsmin brahmaṇy asmin kṣatre 'smin karmaṇy asyām āśiṣy asyāṃ pratiṣṭhāyām asyāṃ devahūtyām ayaṃ me kāmaḥ samṛdhyatāṃ svāheti yatkāmo bhavati
4.10.4	prajāpata iti caturthī
4.11.1	ā pyāyatāṃ dhruvā haviṣā ghṛtena yajñaṃyajñaṃ prati devayaḍbhyo / sūryāyā ūdho 'dityā upastha urudhārā pṛthivī yajñe 'smin // ity āpyāyayati dhruvām
4.11.2	samiṣṭayajur hūyamānam anvārabhate
4.11.3	sadasi san me bhūyāḥ sarvam asi sarvaṃ me bhūyāḥ pūrṇam asi pūrṇaṃ me bhūyā akṣitir asi mā me kṣeṣṭhā amutrā amuṣmiṃl loka iha ceti pūrṇapātram abhimṛśya diśo vyudukṣati
4.11.4	prācyā diśā saha devā ṛtvijo mārjayantām / dakṣiṇayā diśā saha māsāḥ pitaro mārjayantām / prātīcyā diśā saha gṛhāḥ paśavo mārjayantām / udīcyā diśā sahāpa oṣadhayo vanaspatayo mārjayantām / ūrdhvayā diśā saha yajñaḥ saṃvatsaro yajñapatir mārjayantām iti
4.11.5	sakṛtsakṛn mantreṇa dvirdvis tūṣṇīm
4.11.6	āpohiṣṭhīyābhis tisṛbhir abhimṛśya / acchāyaṃ vo yayor ojaseti prācīr ninīyodīcīr vā / samudraṃ vaḥ pra hiṇomi svāṃ yonim abhi gacchata / ariṣṭā asmākaṃ vīrā mā parā seci no dhanam // ity abhimantrya / śaṃnodevīyābhiś catasṛbhir uro 'bhimṛśya / sam indra naḥ saṃ varcasā payasā saṃ tanūbhir aganmahi manasā saṃ śivena / tvaṣṭā sudatro vi dadhātu rāya iti prāṇān / anu no mārṣṭu tanvo yad viliṣṭam // iti mukhaṃ vimṛjya / viṣṇukramān kramate
4.12.1	dakṣiṇād vedeḥ śroṇideśād āhavanīyāt
4.12.2	divi viṣṇur vyakraṃsta jāgatena chandasā tam aham anu vyakraṃsi tato nirbhaktaḥ sa yo 'smān dveṣṭi yaṃ ca vayaṃ dviṣma ity abhyuddhṛtya dakṣiṇaṃ pādaṃ hīnataraṃ savyam
4.12.3	antarikṣe viṣṇur vyakraṃsta traiṣṭubhena cchandaseti dvitīyam
4.12.4	pṛthivyāṃ viṣṇur vyakraṃsta gāyatreṇa cchandaseti tṛtīyam
4.12.5	dikṣu viṣṇur vyakraṃstānuṣṭubhena cchandaseti tiryag vikrāmati
4.12.6	samāna udarkaḥ
4.12.7	aganma svar iti prāṅ īkṣate
4.12.8	saṃ jyotiṣābhūmety āhavanīyam
4.12.9	sam ahaṃ prajayā saṃ mayā prajā sam ahaṃ rāyaspoṣeṇa saṃ mayā rāyaspoṣo vasur yajño vasīyān bhūyāsam iti prāṅ eva
4.12.10	svayaṃbhūr asi śreṣṭho raśmir āyurdā asyāyur me dehi varcodā asi varco me dehi tanūpā asi tanvaṃ me pāhīdam aham ābhyo digbhyo 'syai divo 'smād antarikṣād asmād annādyād asyai pratiṣṭhāyai dviṣantaṃ bhrātṛvyaṃ nirbhajāmi nirbhakto dviṣan bhrātṛvya ity ādityam upasthāya / aindrīm āvṛtam āvarta ādityasyāvṛtam anvāvarta iti dakṣiṇaṃ bāhum anvāvṛtya / savyāvṛd etya gārhapatyam / agne gṛhapate sugṛhapatir ahaṃ tvayāgne gṛhapatinā bhūyāsaṃ sugṛhapatis tvaṃ mayāgne gṛhapatinā bhūyāḥ / asthūri no gārhapatyāni santu / śataṃ himā mahyam amuṣyād iti putraṇāmāny abhivyāhṛtya / bhūr bhuvaḥ svaḥ saṃ mā kāmena gamayety asyāṅgāram upaspṛśya / yajño babhūva sa ā babhūva sa pra jajñe sa u vāvṛdhe punaḥ / sa devānām adhipatir babhūva so 'smān adhipatīn kṛṇotu // iti japitvā / tathaivācamya / agne vratapate vratam acāriṣaṃ tad aśakaṃ tenārātsaṃ ya evāsmi so 'smīty āhavanīye samidham ādhāya / visṛjya vācam
4.13.1	yo no dūre dveṣṭi yo no anti samāno niṣṭyo araṇaś cid agne / idhmasyeva prakhyāyato mā tasyoccheṣi kimcana / ity āhavanīyasya vikṣāmāṇy upasamasya / gomāṁ agna iti tṛcaṃ japati / ud vayaṃ tac cakṣuḥ saṃdṛśas te mā cchitsi yat te tapas tasmai te mā vṛkṣīty ādityam upasthāya / tathaivāvṛtya / savyāvṛd upaviśya / idaṃ haviḥ prajananaṃ me astu daśavīraṃ sarvagaṇaṃ svastaye / ātmasani prajāsany abhayasani paśusani lokasani / agniḥ prajāṃ bahulāṃ me karotv annaṃ payo reto asmāsu dhatta // iti payobhakṣaṃ prajātikāmaḥ
4.13.2	dadhikrāvṇo akāriṣam iti vā saṃbubhūṣan dadhibhakṣam
4.13.3	saṃ yajñapatir āśiṣeti yajamānabhāgaṃ prāśnāti
4.13.4	samiṣṭayajuṣā saha pravasati juhoti
4.14.1	jīvataḥ karmāṇi
4.14.2	visamāpte ced abhipreyān maraṇāntam ekāheṣu nāsti tasya samāpanam
4.14.3	āhavanīye sarvāṇi havīṃṣy anuprahṛtya
4.14.4	saṃhārya romanakhāni pretasya
4.14.5	āplutyālaṃkṛtya
4.14.6	dakṣiṇasyāṃ diśi dakṣiṇāpravaṇe deśe dakṣiṇaprākpravaṇe vā
4.14.7	apeta vīteti palāśaśākhayā vimṛjya
4.14.8	sphyenonmṛjyābhyukṣya
4.14.9	prāgdakṣiṇācīṃ citiṃ kṛtvā
4.14.10	purastād āhavanīyaṃ paścān nidhāya gārhapatyaṃ dakṣiṇato dakṣiṇāgnim
4.14.11	antareṇa gārhapatyaṃ dakṣiṇāgniṃ ca hṛtvā
4.14.12	uttānaṃ citau nipātya
4.14.13	dakṣiṇataḥ paścād vā gām anustaraṇīm ajāṃ vā rohiṇīṃ dakṣiṇāmukhīṃ probhya
4.14.14	jīvantyāḥ saṃjñaptāyā vā vṛkkau pṛṣṭhata uddhṛtya
4.14.15	anvāhāryapacane kavoṣṇau kṛtvāti dravety ṛgbhyāṃ pāṇyor ādhāya
4.14.16	prāṇāyataneṣu hiraṇyaśakalān kṛtvā
4.14.17	agner varmeti vapayā mukhaṃ pracchādya
4.14.18	dakṣiṇe pāṇau juhūm
4.14.19	upabhṛtaṃ savye
4.14.20	dhruvām urasi
4.14.21	agnihotrahavaṇīṃ kaṇṭhe
4.14.22	sruvau nāsikayoḥ
4.14.23	prāśitraharaṇaṃ dakṣiṇe karṇe
4.14.24	praṇītāpraṇayanaṃ savye
4.14.25	śirasi kapālāni
4.14.26	apsu grāvāṇaḥ
4.14.27	udare samavattadhānīm
4.14.28	pārśvayoḥ pātryau
4.14.29	sphyaṃ dakṣiṇe pārśve
4.14.30	kṛṣṇājinaṃ savye
4.14.31	upasthe araṇī
4.14.32	ūrvor aṣṭhīvatoś colūkhalamusale
4.14.33	pādayoḥ śūrpaśakaṭe
4.14.34	patto 'gnihotrapā trāṇi
4.14.35	tāni ghṛtena pṛṣadājyena ca pūrayitvā
4.14.36	ayaṃ vai tvat tvam asmād ayaṃ te yonis tvam asya yoniḥ / jātavedo vahasvainaṃ sukṛtāṃ yatra lokaḥ / ayaṃ vai tvām ajanayad ayaṃ tvad adhijāyatām asau svāhety upohanty agnibhiḥ
4.15.1	mainam agna iti saṃpradīpte daśa japitvā savyāvṛto 'navekṣamāṇāḥ prāgudañcaḥ prakrāmanti
4.15.2	mṛtyoḥ padam ity anumantrayate dvābhyām
4.15.3	āpo hi ṣṭhā sanā ca somety udakaṃ spṛśanti sūktābhyām anaman nimajjanto 'saṃdhāvamānāḥ
4.15.4	asāv etat ta ity ekam udakāñjaliṃ pradāya / āpo asmān ity utkramya / ahataṃ vāsaḥ paridhāya / tac cakṣur ity ādityam upasthāya / kaniṣṭhapūrvāḥ pratyāyanti
4.15.5	udapātre dūrvā yavasarṣapāṇy opyārdre gomaye nidhāyāśmanvatīty abhyaktam aśmānam agnim udapātraṃ ca saṃmṛśanti
4.15.6	adhaḥśayyā haviṣyabhakṣatā pratyūhanaṃ ca karmaṇāṃ vaitānavarjam ekarātraṃ trirātraṃ navarātraṃ vāvā saṃcayanād vratāni
4.15.7	nāghāhāni vardhayeyur iti ha smāha kauṣītakiḥ
4.15.8	aparapakṣe saṃcityāyujāsu rātriṣu / yaṃ tvam agna iti dvābhyāṃ sakṣīreṇodakenāsthīni nirvāpya / purāṇe kumbhe śarīrāṇy opya
4.15.8	ut te stabhnāmīti loṣṭenāpidhāya / ucchvañcasveti khāte nikhāya / ucchvañcamāneti parimite 'vadhāya / araṇye nikhananti
4.15.9	śarīreṣv adṛśyamāneṣu trīṇi ṣaṣṭiśatāni palāśavṛntāni
4.15.10	teṣām āvāpasthānam
4.15.11	catvāriṃśac chirasi
4.15.12	grīvāyāṃ daśa
4.15.13	aṃsānvaṃsayor bāhvoḥ śatam
4.15.14	urasi triṃśat
4.15.15	jaṭhare viṃśatiḥ
4.15.16	ṣaḍ vṛṣaṇayoḥ
4.15.17	śiśne catvāri
4.15.18	ūrvoḥ śatam
4.15.19	triṃśaj jānujaṅghāṣṭhīvatoḥ
4.15.20	pādāṅgulīṣu viṃśatiḥ
4.15.21	evaṃ trīṇi ṣaṣṭiśatāni bhavanti
4.15.22	puruṣākṛtiṃ kṛtvorṇāṣūtraiḥ pariveṣṭya yavacūrṇaiḥ pralipya sarpiṣābhyajyāgnibhiḥ saṃkurvanti
4.15.23	icchan patnīṃ pūrvamāriṇīm agnibhiḥ saṃskṛtya sāṃtapanena vānyām ānīya tataḥ punar ādadhīta
4.16.1	vratāpavarge paridhikarma
4.16.2	ānaḍuhaṃ rohitaṃ carmodaggrīvaṃ prāggrīvaṃ vottaraloma paścād agner upastīrya upaviśanti kuśān vaivam agrān
4.16.3	antareṇāgniṃ caitāṃś cābhyaktam aśmānaṃ nidhāya / śamyāḥ paridhīn kṛtvā / śamīm ayam idhmaṃ palāśaṃ vā / vāraṇena sruveṇa kāṃsyena vā juhoti
4.16.4	upasthakṛtaḥ samanvārabdheṣu
4.16.5	imaṃ jīvebhyaḥ / paraitu mṛtyur amṛtaṃ ma ā gād vaivasvato no abhayaṃ kṛṇotu / parṇaṃ vanaspater ivābhi naḥ śīyatāṃ rayiḥ / sacatāṃ naḥ śacīpatiḥ // yāś cāruṇe daśānvādhāna iti
4.16.6	dvādaśa hutvā
4.16.6	yathāhānīti dakṣiṇam anvaṃsaṃ dvābhyāṃ samīkṣya / añjanaṃ sarpiṣā saṃninīya / kuśaiḥ strīṇām akṣīṇy anaktīm ā nārīr iti / sakṛtsakṛn mantreṇa dvirdvis tūṣṇīm
4.16.7	uttiṣṭha brahmaṇaspata iti dvābhyāṃ brāhmaṇasya dakṣiṇaṃ bāhum anvārabdhān uttiṣṭhato 'numantrayate
4.16.8	anaḍuho vā puccham
4.16.9	anaḍvān ahataṃ vāsaḥ kāṃsyaś ca dakṣiṇā
4.16.10	dakṣiṇato vittaṃ ni vartadhvam iti sūktena pratyenāḥ pradakṣiṇaṃ triḥ paryeti
4.16.11	pratyenasi paridhikarma
4.17.1	rudraṃ gavā yajate svastyayanāya
4.17.2	śūlagava ity ācakṣate
4.17.3	śuddhapakṣa upoṣya puṇye nakṣatre prāgudīcyāṃ diṣi
4.17.4	agniṃ mathitvā prāñcaṃ praṇīya
4.17.5	purastāt palāśaśākhāṃ sapalāśāṃ nikhāya
4.17.6	tasyā uttarataḥ paśum upasthāpya
4.17.7	rudrāya tvā juṣṭam upākaromi
4.17.8	rudrāya tvā juṣṭaṃ prokṣāmi
4.17.9	rudrāya tvā juṣṭaṃ niyunajmīti niyunakti palāśaśākhāyām
4.17.10	paryagnikṛtam udañcaṃ nayanti
4.17.11	taṃ saṃjñapayanti prākśirasam udakpādaṃ pratyakśirasaṃ vodakpādam aravamāṇam
4.17.12	yat paśur māyum akṛtoro vā padbhir ā hate / agnir mā tasmād enaso jātavedāḥ pra muñcatu // svāheti ravamāṇe juhoti
4.17.13	vapām uddhṛtya prakṣālya pūrve 'gnau śrapayitvābhighāryodvāsya śivaṃśivam iti triḥ paryukṣyājyāhutīr juhoti
4.18.1	yā tiraścī ni padyate ahaṃ vidharaṇī iti / tāṃ ghṛtasya dhārayā yuje samardhamīm aham // svāhā
4.18.2	yasyedaṃ sarvaṃ tam imaṃ havāmahe / sa me kāmān kāmapatiḥ pra yacchatu // svāheti dvitīyām
4.18.3	agne pṛthivyā adhipata iti tṛtīyām
4.18.4	prajāpata iti caturthīm
4.18.5	trīṇi palāśa palāśāni madhyamāni saṃtṛḍyopastīrya / vapām avadhāyābhighārya / yāvatām aham īśe yāvanto me amātyāḥ / tebhyas tvā deva vande tebhyo no deva mṛḍa / veda te pitaraṃ veda mātaraṃ dyaus te pitā pṛthivī mātā / tasmai te deva bhavāya śarvāya paśupataya ugrāya devāya mahate devāya rudrāyeśānāyāśanaye svāheti vapāṃ hutvā / anupraharati palāśāni
4.18.6	vapāśrapaṇyau ca
4.18.7	darśāya te pratidarśāya svāhety uttarām ājyāhutiṃ hutvā tathaiva paryukṣati
4.18.8	paścime 'gnau sthālīpākaṃ śrapayati
4.18.9	uttarato 'vadānāni
4.18.10	sthālīpākaṃ yūṣaṃ māṃsam ājyam iti saṃninīya śaṃyoḥ śaṃyor iti triḥ paryukṣya juhoti
4.19.1	bhavāya svāhā śarvāya svāhā rudrāya svāheśānāya svāhāgnaye sviṣṭakṛte svāheti
4.19.2	tathaiva paryukṣya
4.19.3	tāny eva saṃninīya
4.19.4	agnau paścime
4.19.5	bhavānyai svāhā śarvāṇyai svāhā rudrāṇyai svāheśānānyai svāhāgnāyyai svāheti
4.19.6	samānaṃ paryukṣaṇam
4.19.7	ṣaḍ ā vikartanāt palāśāni prāgudañci nidhāya / teṣu lohitamiśram ūvadhyam avadhāya / rudrasenābhyo 'nudiśati
4.19.8	āghoṣiṇyaḥ pratighoṣiṇyaḥ saṃghośiṇyo vicinvatyaḥ śvasanāḥ kravyāda eṣa vo bhāgas taṃ juṣadhvaṃ svāheti
4.19.9	yajamānaś copatiṣṭhate
4.20.1	bhūpate bhuvapate bhuvanapate bhūtapate bhūtānāṃ pate mahato bhūtasya pate mṛḍa no dvipade ca catuṣpade ca paśave mṛḍa naś ca dvipadaś ca catuṣpadaś ca paśūn yo 'smān dveṣṭi yaṃ ca vayaṃ dviṣmo durāpūro 'si sacchāyo 'dhināmena
4.20.1	tasya te dhanur hṛdayaṃ mana iṣavaś cakṣur visargas taṃ tvā tathā veda namas te 'stu somas tvāvatu mā mā hiṃsīḥ / yāv araṇye patayato vṛkau jañjabhatāv iva / mahādevasya putrābhyāṃ bhavaśarvābhyāṃ namaḥ
4.20.2	kad rudrāyemā rudrāyā te pitar imā rudrāya sthira dhanvana iti ca sūktāni
4.20.3	varo dakṣiṇā
