#Text:Drāhyāyaṇaśrautasūtra
#Edition:Reuter, Vira
#Data entry:?



1.1.1	atha vidhyavyapadeśe sarvakratvadhikāraḥ
8.1.32	bṛhaduttamaṃsamūḍhe
8.1.33	āṣkāraṇidhanātpūrvaṃ kaulmalabarhiṣam
8.1.34	āndhīgavācchyāvāśvam
8.1.35	upottamaṃ samūḍhe
8.2.1	ānūpopakramā bṛhatī pañcame
8.2.2	mānavātpūrvaṃ hārāyaṇam
8.2.3	madhuścunnidhanādākatnapāram
8.2.4	upottamaṃ samūḍhe
8.2.5	bṛhataḥ pūrve traya ekarcāḥ
8.2.6	rathantarāduttare
8.2.7	ṣaṣṭhe ca bṛhato vyūḍhe
8.2.8	nityau ca śaśakarṇau tṛtīye
8.2.9	pṛṣṭhye 'bhīvartakāleye bṛhatīṣvanukalpayediti gautamaḥ
8.2.10	neti dhānaṃjayyaḥ
8.2.11	vyūhannānukalpayediti śāṇḍilyāyanaḥ
8.2.12	ekaviṃśatyahakāriṇa upariṣṭādabhijitaḥ pṛṣṭhyamupayanti prāk ca viśvajitaḥ svarasāmnaścokthyān
8.2.13	abhijidviśvajitau vyatiharantyeke
8.2.14	abhijito rathantarapṛṣṭhasya rāthantarī pratipaddhoturājyaṃ ca
8.2.15	abhivāyumityauśanam
8.2.16	jyotiṣṭomaṃ param
8.2.17	sujñānamuṣṇihi
8.2.18	śyāvāśvāt pūrve gaurīvitabṛhatī
8.2.19	svayoninī rathantaravṛhatī svarasāmasveke
8.2.20	svarapṛṣṭhāścetsvārasāmikeṣu pṛṣṭhastotrīyeṣu yathāsvam
8.2.21	svārāṇi cārbhavāntyāni
8.2.22	dvaigatagautamayoḥ sthāne rathantaram
8.2.23	antarikṣasya gautamam
8.2.24	svarasya bṛhaddvitīye
8.2.25	nityaśca sāmatṛcaḥ
8.2.26	audalatvāṣṭrīsāmnoruddhāraḥ
8.2.27	viṣuvato divaike prātaranuvākamupākurvanti
8.2.28	bahirasyaike bahiṣpavamānena stuvate
8.2.29	agnirindrāyopāsmai pavasva vāca iti stotrīyaṃ śuṅgāḥ
8.2.30	vāta āvātviti māṣaśarāvayaḥ
8.2.31	yajñāyajñīyabhāse vyatiharantyeke
8.2.32	baṇ mahāṃ asi sūrya indram id devatātaye śrāyanta iva sūryamiti mahādivākīrtyasya stotrīyā vikalpante
8.3.1	bṛhatpṛṣṭhaścedagniyavatī pratipat
8.3.2	tṛtīyāt sāhasrādājyāni nityairvikalpante
8.3.3	utsedhasthāne rathantaram
8.3.4	tasya mahādivākīrtyam
8.3.5	ayaṃ somaḥ iti pārtham
8.3.6	ābhijātāni pṛṣṭhāni
8.3.7	indrakratau śyaitam
8.3.8	goḥ kakubuṣṇihau
8.3.9	uddharati pipīlikamadhyam
8.3.10	śyāvāśvavikarṇagaurīvitāndhīgavaudalabhāsānyanuṣṭhubhi
8.3.11	audalasthāne vā vāṅnidhanaṃ krauñcam
8.3.12	araṇyegeye tṛcayoḥ
8.3.13	vratātpare
8.3.14	viśvajiti yajñāyajñīyabṛhatī vyatiharantyeke
8.3.15	bṛhatpṛṣṭhaścettṛtīyāt sāhasrāt prātaḥsavanaṃ
8.3.16	kāleyasthāne samantam
8.3.17	ayaṃ soma iti pārtham
8.3.18	ābhijitāni pṛṣṭhāni
8.3.19	indrakratau śyaitam
8.3.20	goḥ kakubuṣṇihau
8.3.21	uddharati pipīlikamadhyām
8.3.22	anuṣṭupprabhṛti vratāt
8.3.23	uttare pakṣasyayanavikalpāḥ
8.3.24	abhiplavapṛṣṭhyān pratilomānupayantyaharāvṛttakāriṇaḥ
8.3.25	pṛṣṭhyābhiplavānanulomān māsāvṛttakāriṇaḥ
8.3.26	go āyuṣī ca vyatiharanti
8.3.27	uttamaṃ saṃbhāryaṃ kurvan saptamānmāsān pṛṣṭhyābhiplavānuddharet
8.3.28	pañcāyanamāsān kṛtvā daśarātramiśrādabhiplavamuddharet
8.3.29	tathā sati pūrve pakṣasi vikalpaḥ
8.3.30	ṣaṣṭhādabhiplavapṛṣṭhyānuddhatya caturviṃśādvitīyādahnaḥ uttarān kuryāt
8.3.31	samau pakṣau cikīrṣan pañcāyanamāsān kṛtvā daśarātramiśraṃ māsamuddharet
8.3.32	pañcadaśau pakṣau vratasyāparimātkam
8.3.33	bṛhatpṛṣṭhaṃ viśvajitam
8.3.34	viśvajita āyuṣameka upayanti
8.3.35	tathā sati go āyuṣoraikāhike bṛhatyau
8.3.36	daśarātrameka āvartayanti
8.3.37	tasmādvrataṃ yadā paraṃ vratānte mānasaṃ sāṃvargajitā gotamāḥ
8.4.1	jyotiṣām ayanavikalpāḥ
8.4.2	tatra yadādito 'ntatastadūrdhvaṃ viṣuvataḥ
8.4.3	māsi māsyādyasyābhiplavasya sthāne trikadrukāḥ sa ṣaṭtriṃśadūno nākṣatraḥ
8.4.4	saptaviṃśino hi māsāḥ
8.4.5	ṣaṣṭhādyasyābhiplavasya sthāne jyotirgauśca jyotirevāvṛtte sa navono nākṣatra eva trayodaśī
8.4.6	yugmamāseṣvādyasyābhiplavasya sthāne tatpañcāhaḥ sa ṣaḍanaścāndramasaḥ
8.4.7	ṣaṣṭhādau trikadrukānabhiplavaṃ copadadhyāt so 'ṣṭādaśādhikaḥ paurṇamāsī prasavastairyagayanika ādityasya
8.4.8	utsarjanāni māsi māsi
8.4.9	yathānta evamāvṛttānāmādiḥ
8.4.10	pūrveṣvabhiplaveṣu ṣaṣṭhamaharukthyaṃ kṛtvāgniṣṭomamuttame
8.4.11	tadvaikatrikastomam
8.4.12	asṛkṣateti bahiṣpavamānam
8.4.13	gāyatraṃ gāyatryāmāśvamaiḍaṃ bṛhatyāṃ goṣṭho vā
8.4.14	ayā ruceti gāyatrapārśvamārbhavaḥ
8.4.15	savanavidhaṃ paśuṃ kurvannuttamamabhiplavapañcāhaṃ kṛtvā ṣaṣṭhasthāne savanavidhaḥ paśuḥ
8.4.16	prathamaṃ vābhiplavapaccāhaṃ kṛtvā māsānte savanavidhaḥ paśuḥ
8.4.17	sarvānūnāneke
8.4.18	prathamaṃ vābhiplavapañcāhaṃ kuryuḥ
8.4.19	ahanī vā samasyeyurabhiplavapṛṣṭhyayoḥ sāṃnipātike
8.4.20	abhiplavayoruttame
8.4.21	tathā satyekādaśyāṃ pūrvapakṣasya dīkṣitvā trayodaśa dīkṣāḥ kurvīran
8.4.22	saptadaśa vā
8.4.23	vyatyāsaṃ vā pūrṇo nān
8.4.24	ūnapūrṇānāvṛttāñchālaṃkāyaninaḥ
8.4.25	ekāṣṭakādīkṣiṇa upasargiṇaḥ
8.4.26	te tūṣṇīmevatrĩśamaharāsīran
8.4.27	savanavidhena vā paśunā yajeran
8.4.28	adhvaryubahvacaiḥ samayaṃ kṛtvā dīkṣerannevamavilopo bhavatīti bhavatīti
9.1.1	pṛṣṭhye rathamativaheyuḥ paścāt prāñcaṃ dakṣiṇato vodañcaṃ bahirvedi rathantarasya stotre
9.1.2	bṛhato dundubhimāhanyuḥ
9.1.3	upavājayamānā vairūpeṇa stuvīrannupavājyamānā vā
9.1.4	vācayitvā yajamānaṃ vātaṃ vāta ā vātviti tṛcenānumantrayeta
9.1.5	vairājasya stotra upākṛta uparyanūruśakalaṃ nidhāya tṛṇe ca tasyopari tiraścīmaraṇiṃ nidhāyādhyātmaṃ prajananaṃ kṛtvā triḥpradakṣiṇamabhimanthedgāyatraṃ chando 'nuprajāyasva traiṣṭubhaṃ jāgatamānuṣṭubhaṃ vairājamiti gautamaḥ
9.1.6	caturbhiriti dhānaṃjayyaḥ
9.1.7	tribhiriti śāṇḍilyaḥ
9.1.8	araṇyoḥ sandhānamālabhyopajighreratpāṇī tejo 'si tejo mayi dhehīti
9.1.9	mathyamāne stomaṃ yuñjyāt
9.1.10	jāte stuvīran
9.1.11	vācayitvā yajamānaṃ punarūrjā nivartasva punaragna iṣāyuṣā / punarnaḥ pāhyaṃhasaḥ // saha rathyā nivartasvāgne pinvasva dhārayā viśvapsnyā viśvataspari ityanumantryābhijuhuyāt
9.1.12	taduktaṃ brāhmaṇena
9.1.13	svāhākāreṇottarām
9.1.14	apaḥ sāvakā upanidhāya mahānāmnībhiḥ stuvīran
9.1.15	yo yaḥ sāmāṅgaṃ brūyātsa udasnaṣaṃ janayet
9.1.16	vācayitvā yajamānaṃ tā ninayedāstāve 'nādhṛṣṭāsi tāṃ tvā somo rājāvatu yāmapīthā upatiṣṭhanta āpo ye śākvarā ṛṣabhā ye svarājaste arṣantu te varṣantu te kṛṇvantviṣamūrjaṃrāyaspoṣaṃ tadvideyeti / samanyā yantīti vā samudraṃ vaḥ prahiṇomīti vā
9.1.17	sarvairvā
9.1.18	aṣṭhīvatoravakā upoheran
9.1.19	chadiṣi varṣākāmo 'dhyāsayediti śāṇḍilyaḥ
9.1.20	goṣṭhe paśukāmaḥ
9.1.21	sabhāyāṃ yaśaskāmaḥ
9.1.22	śmaśāne 'bhicaran
9.2.1	vāravantīyasya stotre dhenuḥ saṃvāśayeyurdakṣiṇataḥ kṛtvottarato vatsān
9.2.2	pūrveṇa sadaḥ saṃsṛjya paścimenāgnīdhrīyamudīcīstyajeyuḥ
9.2.3	vācayitvā yajamānaṃ gonāmabhiranumantrayeta havye kāmye candre jyota iḍerantejuṣṭe sūnari mayi vo rāyaḥ śrayantāmiḍa ehyadita ehi juṣṭe juṣṭiṃ te gameyamupahūtā upahavaṃ vośīyeti
9.2.4	saharṣabhā iti vā
9.2.5	ubhābhyāṃ vā
9.2.6	adbhiścedupākuryustā ninayedāstāva āpo hiṣṭhīyābhiḥ
9.2.7	ṣaṣṭhe 'hani saṃsthite 'bahuvādinaḥ syuḥ
9.2.8	na cādhīyīrannottarasyāhna upākaraṇāt
9.2.9	sarpirmadhubhyāmṛtvijo bhojayedahīneṣvanyatareṇa vā
9.2.10	sarpiṣaiva tṛtīyasavane satreṣu
9.2.11	etasyānyatarasmĩstryahe 'ti grāhyāṇāṃ bhakṣayeyuḥ stutvā pṛṣṭhena
9.2.12	viṣuvadvratayośca
9.2.13	triṣṭupachandasā pūrvaṃ camasebhyaḥ
9.2.14	anyatra caitasmin kāle yānāhareyuḥ
9.2.15	sahadharmaiḥ sarvatra pṛṣṭhyaḥ syāt
9.2.16	daśamavrate ca
9.2.17	abhīvartastotrīyānābhiplavikān pṛṣṭhye śaṃsayed brāhmaṇācchaṃsinā kāleyarco 'cchāvākena sarvatra yadā pavamāne syātām
9.2.18	sarvatrendrakratuṃ brāhmaṇācchaṃsinordhvaṃ viṣuvataḥ prāgatirātrāt
9.3.1	viśvajiti vairāje dharmmān kuryāt
9.3.2	itareṣvapi pṛṣṭheṣvityācāryamatiḥ
9.3.3	saptame 'hanyagnerarko 'dhyardheḍaṃ ca somasāma maukṣasya pūrvayoḥ
9.3.4	mokṣasomasāmanī gāyatrasyottarayoragnerakastisṛṣviti vā
9.3.5	sākamaśveḍānāṃ saṃkṣārau vyatiharantyeke
9.3.6	surūpakrauñca ekarcayoreke
9.3.7	navamasya jyautiṣṭomaḥ paryāsaḥ sāptamika ityeke
9.3.8	tasya bṛhatyāmaraṇyegeyāni tṛceṣu pṛṣṭhaṃ ca
9.3.9	vāsiṣṭhamadhyāsyāyām
9.3.10	vaiyaśvaṃ prāgbhargādābhīśavaṃ yaśasaḥ
9.3.11	saptaiva tṛceṣu vairājāmityaparam
9.3.12	dardgatamaso 'rko 'ntyaḥ sāmarājaṃ vā
9.3.13	pṛṣṭhasyottarayordīrghatamaso 'rko māṇḍavaṃ caiḍaṃsāmarāje 'ntye
9.3.14	daśamasya bahiṣpavamānaṃ dvitīyaprabhṛtīnāṃ pañcānāmahnāmanurūpāḥ prathamācca bahiṣpavamānaṃ tannavarcam
9.3.15	anurūpeṣu tṛcāḥ pratilomāḥ ṛco navarca iti gautamaḥ
9.3.16	sarvatra tṛcā iti dhānaṃjayyaḥ
9.3.17	yathādhītaṃ navarcamiti śāṇḍilyāyanaḥ
9.3.18	sarvatrarcaḥ pratilomā iti śāṇḍilyaḥ
9.3.19	apratibhāmetasminnahanyanuṣṭupmātrāṃ kṛtvācakṣīran
9.3.20	jyāyasicchandasi lumpeyurakṣarāṇi
9.3.21	kanīyasyabhyasyeyuḥ
9.3.22	vācaiva vibrūyurdhānaṃjayyo vāganuṣṭuviti hi brāhmaṇaṃ bhavati
9.3.23	agniṣṭomasāmnā stutvā prāk patnīsaṃyājebhyo yadebhiḥ prasṛte parārdhyaṃ vrajitaṃ syāttadgatvā pratyāvrajya manasānutsāhe huteṣu patnīsaṃyājeṣu gārhapatya udgātā juhuyād upasṛjan dharuṇaṃ mātre mātaraṃ dharuṇo dhayan rāyaṣpoṣamiṣamūrjamasmāsu dīdharatsvāheti pūrvāṃ svāhākāreṇottarām
9.4.1	āhavanīyaṃ gatvā’yaṃsahohā iti trir udgātā gāyet
9.4.2	nidhanamitarāvanūpeyātām
9.4.3	abhidakṣiṇamāvṛtya pūrvayā dvārā sadaḥ praviśeyuḥ
9.4.4	yadādhvaryurupākuryāttadā mānasena stuvīran
9.4.5	āyaṃ gauḥ pṛśnirakramīditi gāyatreṇa
9.4.6	pṛthak stotrīyābhyo hiṃkāram
9.4.7	trikeṇa stomenāstomayogāyajamānavācanākuśāvidhānena
9.4.8	pratihāravelāyāṃ pratihartāpānyāt
9.4.9	uttamāṃ prastutyaiṣeti hotāramīkṣeta
9.4.10	sarvametasmin stotre manasā kuryuḥ samīkṣaṇena vijñāpayantaḥ
9.4.11	yamadhvaryurbhakṣaṃ prayacchan manyeta tasya manasopahūya kastvā kaṃ bhakṣayāmīti bhakṣayeyuḥ
9.4.12	brahmodyaṃ vadantīti
9.4.13	gāyatrīṃ trirbūrayuriti dhānaṃjayyaḥ
9.4.14	caturhotāramabhiperatyaitaditi gautamaḥ
9.4.15	take vā kathayeyuryathāśvatrirātra iti śāṇḍilyaḥ
9.4.16	prajāpatiṃ parivadanti
9.4.17	pāpaiḥ karmabhirityeke na tvavīmahe
9.4.18	api vādhvaryubahvacānāṃ kiṃcitsyāt
9.4.19	etasyāṃ velāyāṃ varān vṛṇīran manasā yāniccheyuḥ
9.4.20	abhayaṃ dhānaṃjayyaḥ sarvakāmānaparādhāt
9.4.21	uttarata udgātaudumbarīṃ gṛhṇīyāt paścāt pratihartā dakṣiṇato brahmā purastāditare sarve
9.4.22	atha japeyuriha dhṛtiriha svadhṛtiriha rantiriha ramadhvaṃ mayi dhṛtirmayi svadhṛtirmayi ramo mayi ramadhvamiti vobhau vā
9.4.23	vāgyatā apidhāya dvāre āsīrannānakṣatrapravacanāt
9.4.24	prokte nakṣatre pūrvayā dvāropaniṣkramya subrahmaṇyāpraṇavairvācaṃ visṛjeranniti dhānaṃjayyaḥ
9.4.25	śrutvaivāhūyamānāya iti śāṇḍilyaḥ
9.4.26	varavaraṇavāgyamane yajamāna eva kuryādahīneṣu
9.4.27	kṛtvetare yathārthaṃ kṛtvetare yathārtham
10.1.1	mahāvratasya pṛṣṭha upākṛte yuktvā stomaṃ parimādo gāyed iti bhāḍitāyanaḥ
10.1.2	pratigṛhya tṛṇe ayuktveti gautamaśāṇḍilyau dhānaṃjayyaś ca
10.1.3	prāg eva stotropākaraṇād ity eke
10.1.4	dakṣiṇenāgnīdhrīyaṃ gatvottareṇāgniṃ prāṇaprabhṛtibhir upatiṣṭheraṃs tad uktaṃ brāhmaṇena
10.1.5	sarvāṇy udgātā sakṛt sakṛd gāyen nidhanam itarāv anūpeyātām
10.1.6	api madhye nidhaneṣu
10.1.7	ādyantastubdheṣu padāya padāya stobhet
10.1.8	tenaiva pratyāvrajya puccham
10.1.9	vratapakṣayoḥ pūrveṇa dakṣiṇaṃ pakṣam
10.1.10	uttaram api kakṣam upatiṣṭheran
10.1.11	viśve devā iti vasiṣṭhasya nihavam ūhet
10.1.12	cātvālam upasthāyottareṇāgnīdhrīyaṃ gatvā paścāt tiṣṭhantaḥ
10.1.13	tata eva pratyaṅmukhā iti dhānaṃjayyaḥ
10.1.14	tasyottamaṃ nidhanam ā tamitor upeyuḥ
10.1.15	pūrveṇa havirdhāne purastāt pratyaṅmukhāḥ paścād itareṇa
10.1.16	tata evekṣamāṇā mārjālīyaṃ nāke suparṇam iti yad dvandveṣu
10.1.17	yathā havirdhāne tathā sadaḥ
10.1.18	antarvedi pratyaṅmukhā gārhapatyam iti dhānaṃjayyaḥ
10.1.19	tasyaiva paścāt tiṣṭhanta iti śāṇḍilyaḥ
10.1.20	indraprabhṛti pratyakṣaṃ nidhanam upeyuḥ
10.2.1	atha rājānaṃ saṃnāhayet
10.2.2	tasya dvyavarārdhyau rathāv anuyāyinau syātām
10.2.3	pūrveṇa devayajanaṃ saṃnahyerann anye tasmāt
10.2.4	dakṣiṇena pariyāyuḥ
10.2.5	pūrveṇa patnīśālām udgātā gatvā dakṣiṇe vedyante prāñco darbhān saṃstīrya teṣv enaṃ prāṅmukham upaveśayet
10.2.6	athāsmai varmābhiharet
10.2.7	anyaṃ vābhiharantam anumantrayetottiṣṭha rājan parivarmāsy aśvayukto ratho vitato daiva ākhaṇo viśāṃ rājā brāhmaṇa edhi gopteti
10.2.8	paścimena pariyāhītyuktvā tenaiva pratyāvrajyottara enaṃ vedyante 'vasthāpya brūyāddhastatraṃ badhnīṣvojjyamāyudhaṃ kuruṣva trīniṣūnupakalpayasvāyasmayānanyameva kaṃ caturthamiti
10.2.9	pratidhatsveti brūyāt
10.2.10	taṃ pratidadhānam anumantrayeta vaiṇāvatāya pratidhatsva śaṃkuṃ māpaproṣṭha moteti paptadbrahmaṇo guptyai vidhṛtyai dhārayātreti
10.2.11	saṃbhṛtyātiṣṭheti brūyāt
10.2.12	uttareṇāgnīdhrīyaṃ pūrvāpare carmaṇī vibadhnīyur dakṣiṇena rathapathaṃ śiṣṭvā
10.2.13	taṃ brūyāt pradakṣiṇaṃ devayajanaṃ parīyā pūrvaṃ carmāgamaneṣu vidhyerekakenottarottaryanatipātayannaparasmā itare yathābhiperatamasyeyustṛtīyena vidhvodaṅ prayāyāstadā caturthamiṣuṃ yāṃ diśaṃ manyethāstāmasyeravabrahmadviṣo jahīti gā dṛṣṭvāvatiṣṭhethāstatra tvā visraṃbhayeyuḥ
10.2.14	brāhmaṇamuktvemaṃ hiṅkāravelāyāṃ kārayeyuḥ
10.3.1	bhūmidundubhimāvrajet
10.3.2	paścādāgnīdhrīyasyārdhamantarvedi śvabhrasya khātaṃ syādardhaṃ bahirvedi
10.3.3	ārṣabheṇottaralomnā carmaṇā pihitaḥ syāt
10.3.4	tvaṃ vāgasi
10.3.4	ye naḥ satre anindiṣurdīkṣāyāṃ śrānta āsite / arāddhiṃ tebhyo dundubhe rāddhimasmabhyamāvada // iti / parāvada dviṣantaṃ snarāṃ vācaṃ parāvadāthāsmabhyaṃ sumitryāṃ vācaṃ dundubhe kalyāṇīṃ kīrtimāvadeti / parāvada dviṣato vādyaṃ durhārdo yo viṣūkuho 'thāsmabhyaṃ puṣṭĩrāddhiṃ śriyamāvada dundubhe ityenametairmantraiḥ pṛthagāhatya bāladhānena
10.3.5	anyaṃ vā ghnantamanumantrayeta
10.3.6	apa upaspṛśya yathaitaṃ pratyāvrajya paścāttiṣṭhanto 'gnimupatiṣṭherannamaste gāyatrāya yatte puro yatte śiro namaste rathantarāya yatte dakṣiṇato yatte dakṣiṇaḥ pakṣo namaste bṛhate yatte uttarato yatta uttaraḥ pakṣo namaste yajñāyajñīyāya yatte paścādyatte pucchaṃ namaste vāmadevyāya yasta ātmā yatte madhyamityetaiḥ pṛthagaṅgānyanvartham
10.3.7	atha sarvaṃ samastena tasmaite subhoḥ subhuvo bhūyāsma / nāmāsi nāma bhūyāsam / āvirasyāvirmā kuru / savitaḥ pramā suva / yāṃ manuṣyāṇāṃ bhūtau saṃpaśyasi teṣvabhibhūyāsam / śriyaṃ mayi dhehīti
10.3.8	upasthāya sadaḥ praviśeyuḥ
10.4.1	aparayā dvāraudumbarīm āsandīṃ mauñjavivānām atihareyuḥ
10.4.2	yajñiyasya vṛkṣasyaudumbarābhāve
10.4.3	muñjābhāve dārbham
10.4.4	tasya prādeśamātrāḥ pādāḥ
10.4.5	aratnimātrāṇītarāṇyaṅgāni
10.4.6	dakṣiṇenaudumbarīṃ hutvā tasyā uttarato nidadhyuḥ
10.4.7	tāmuttareṇodgātā gatvā paścādupaviśya bhūmispṛśo 'syāḥ pādānkṛtvā katnarcānadhastādupohyābhimṛśedbahadrathantare te pūrvo pādau śyaitanaudhase aparau vairūpavairāje anūcī śākvara raivate tiraścī ityetaiḥ pṛthagaṅgāni
10.4.8	vivayanamālabhyarcaḥ prāñca ātānā yajūṃṣi tiryañcaḥ sāmānyāstāraṇaṃśrīrupabarhaṇaṃ vākovākyamatilokā vāravantīyaṃsaṃdhayo rājanamātmā pratiṣṭhā yajñāyajñīyamiti
10.4.9	tāṃ mukhenorasā bāhubhyāmiti spṛṣṭvārohed vasavastvā gāyatreṇa chandasārohantu / tānanvadhirohāmi / rājyāya rudrāstvā traiṣṭubhena chandasārohantu / tānanvadhirohāmi / vairājyāyādityāstvā jāgatena chandasārohantu / tānanvadhirohāmi / svārājyāya viśvetvā devā ānuṣṭubhena chandasārohantu / tānanvadhirohāmi sāmrājyāyeti
10.4.10	athaitaireva devatā udasya rājyaśabdaṃ cāmunā tvā chandasārohāmīti vairājapañcamairiti gautamaḥ
10.4.11	caturbhiriti dhānaṃjayyaḥ
10.4.12	tribhiriti śāṇḍilyaḥ
10.4.13	āruhya japetsyonāmāsadaṃsukhadāmāsadaṃ namaste 'stu mā mā hĩsīriti
10.4.14	tasminnārohati katnarcānāroheyuḥ praṣṭhī brahmā gṛhapatiḥ
10.4.15	āsandyā vyākhyātaṃ dravyaṃ vāṇasya dravyaṃ vāṇasya
11.1.1	rohitenānuḍuhenottaralomnā carmaṇā pihitaḥ syāt
11.1.2	tasya daśasu paścācchidreṣu daśa daśa tantryo baddhāḥ syurmauñjyo dārbhyo vā
11.1.3	triṣviti śāṇḍilyaścatustriṃśanmadhyame trayastriṃśatāvabhitaḥ iti
11.1.4	purastādekakaśastāstraidhaṃ vibhajya bhūrbhuvaḥ svarityetābhiḥ pṛthaguttarottaryudūhet
11.1.5	tamabhimṛśedvadovada vadāvadī vado vadoruḥ pṛthuḥ sugaḥ sugantvaḥ karmaḥ karaṇaḥ karaḥ karasyurabhīṣāṭ cā bhīṣāhīcābhimātihaścābhimātihā ca sāsahiśca sahīyāṃśca sahasvāṃśca sahamānāścodvayāśca bṛhadvayāśca savayāśca bṛhadvayāścaindrīṃ vācaṃ bṛhatīṃ viśvarūpāṃ śatāyuṣīṃ pravada devavāṇeti
11.1.6	śithilāṃstantūnāyacchet ebhirno vāṇatantubhiḥ śataṃ rāddhīrihāvada / arātsma sarve 'tārṣma jīvā jyotiraśīmahi iti
11.1.7	vāksarvaṃ mano jyotirmāno bhadra iti japitvā vādayedindreṇatayeṣīkayā vetasaśākhayā ca sapalāśayā
11.1.8	mūlato yā svayaṃ vakrā sendraṇatā
11.1.9	prāṇāya tvetyūrdhvamullikhedapānāya tvetyavāñcam
11.1.10	vyānāya tveti triḥsaṃllikhyodañcaṃ vāṇaṃ prohedbrāhmaṇamuktvā imamullikhannāsveti
11.2.1	āhata dundubhīn pravadantu vīṇā iti brūyāt
11.2.2	alābuvīṇāṃ vakrakapiśīrṣṇyau ca pūrvasyāṃ dvāri bahiḥ sadasam
11.2.3	vakrākapiśīrṣṇyau dundubhīṃśca pratimantrayetayo vakrāyāṃ kapiśīrṣṇyāṃ dundubhau ca yacca vādyam / snaṣo yo mahato mahāṃstena no rāddhi māvada iti
11.2.4	mahāvīṇāpiśīlavīṇe cāparasyāmantariti gautamaśāṇḍilyau bahiriti dhānaṃjayyaḥ
11.2.5	alābuvīṇāpiśīlavīṇe ca pratimantrayetālābuvīṇāpiśīlī ca yaṃ mantramadhijagmatustenedamupagāyatāṃ te sāma mahayiṣyata iti
11.2.6	paścimenopagātṝn dve dve ekakā patnī kāṇḍavīṇāṃ picchorāṃ ca vyatyāsaṃ vādayet
11.2.7	upamukhaṃ picchorāṃ vādanena kāṇḍamayīm
11.2.8	tā apaghāṭilā ityācakṣate
11.2.9	tāḥ pratimantrayeta yāṃ patnyapaghāṭilāṃ mṛdukaṃ vādayiṣyati sārātimapabādhatāṃ dviṣantaṃ taijanitvagiti
11.2.10	sarvamanuvīkṣamāṇo japedākrandā ulūlayaḥ prakośā yacca ceṣṭati sarvā satrasya sā rāddhistathedaṃsāma gīyata iti
11.2.11	japedeva suparṇo 'smi garutmān peramāṃ vācaṃ vadiṣyāmi bahu kariṣyantīṃ bahu kariṣyantsvargamayiṣyantīṃ svargamayiṣyan māmimān yajamā nāniti
11.3.1	brāhmaṇo 'bhigaraḥ pūrvasyāṃ sadaso dvāri pratyaṅmukha upaviśed vṛṣalo 'pagaro 'parasyāṃ prāṅmukhaḥ
11.3.2	sa brūyānnārātsurime satriṇa iti
11.3.3	arātsurityabhigaraḥ
11.3.4	dakṣiṇena mārjālīyamaryo 'ntarvedi dakṣiṇāmukhastiṣṭhet
11.3.5	bahirvedi śūdra udaṅmukhaḥ
11.3.6	aryābhāve yaḥ kaścāryo varṇaḥ
11.3.7	tau śvetaṃ parimaṇḍalaṃ carma vyāyacchetām / śūdraḥpūrvaḥ
11.3.8	pūrveṇāgnīdhrīyaṃ brahmacāryantarvedyudaṅmukhastiṣṭhedbahirvedi puṃścalī dakṣīṇāmukhī
11.3.9	sā brūyādduścaritinnavakīrṇinniti
11.3.10	dhiktvā jālmi puṃścali grāmasya mārjani puruṣasya puruṣasya śiśnapraṇejanīti brahmacārī
11.3.11	evam ā tṛtīyaṃ vyatyāsam
11.3.12	sarveṣāṃ karmaṇi niṣṭhite tadevābhigarastrirbūrayāt
11.3.13	avasṛjya śūdraḥ pradravet
11.3.14	taṃ tenaivāvakṣiṇuyāt
11.3.15	yathābhiperatamitarāṃ brahmacāryākrośet
11.3.16	paścimenāgnīdhrīyaṃ bahirvedi pariśrite mithunau saṃbhavetāṃ yau varṇau labheran
11.3.17	gṛhapaterdāsyo 'bhīṣṭā vā navānudaharaṇānpūrayitvā pradakṣiṇaṃ mārjālīyaṃ parīyurhaimahā3idaṃ madhvidaṃ madhviti vadatyaḥ
11.3.18	pañcāvarārdhyāḥ pañcaśataṃ parārdhyāḥ pañcaviṃśatirvā
11.3.19	tābho 'pi vīṇā vādayeyuḥ
11.3.20	sarvāsu sraktiṣu dundubhīnābadhnīyuḥ
11.3.21	uttarottari vāco vyāharayeyuryāvatīradhi gaccheyuḥ
11.3.22	snaṣāṃśca
11.3.23	hiṃkāramanvabhigaraprabhṛtayaḥ kṛtvā yathārthaṃsyuḥ
11.3.24	āstotrāntātku‚mbhanyaḥ sarve ca snaṣāḥ
11.4.1	pañcaviṃśe caturviṃśasyottame paryāye paricarāyāmāvapediti gautamaḥ
11.4.2	āvāpasthāna iti dhānaṃjayyaḥ
11.4.3	prathamasyāvāpasthāna iti śāṇḍilyaḥ
11.4.4	caturviṃśena vā stutvā madhyamāmahiṃkṛtāṃ tṛcasya prastuyāt
11.4.5	sa āskando nāma
11.4.6	taṃ na kuryāditi śāṇḍilyāyanaḥ
11.4.7	uttamāyāṃ stotrīyāyāṃ prastutāyāṃ pādāvupāharet
11.4.8	saha nidhanena bhūmau pratiṣṭhāpayet
11.4.9	āhriyamāṇe bhakṣe pratilomairārohaṇīyairavaruhya japenmahī dyauḥ pṛthivī ca na imaṃ yajñaṃ ‚mamikṣatāmpipṛtāṃ no bharīmabhiriti
11.4.10	adha āsīnāḥ śeṣeṇa stuvīran
11.4.11	udayanīye 'tirātre saṃsthite 'vabhṛthamabhyaveyuḥ
