#Text:Kātyāyanaśrautasūtra
#Data entry:M. Fushimi



1.1.1	athāto 'dhikāraḥ
4.14.13	madhye nigṛhyodgṛhyopaviśya samidham ādadhāty agnijyotiṣaṃ tvā vāyumatīṃ prāṇavatīṃ svargyāṃ svargāyopadadhāmi bhāsvatīm iti
4.14.14	pradīptām abhijuhoty agnir jyotir iti sajūr iti vā
4.14.15	agnir varca iti brahmavarcasakāmasya
4.14.16	kūrce nidhāya gārhapatyam avekṣate hoṣyann asmin
4.14.17	tūṣṇīm uttarāṃ bhūyasīm
4.14.18	bhūyiṣṭhaṃ sruci
4.14.19	dviḥ prakampya nidadhāti
4.14.20	upamṛjya srucaṃ kūrce nimārṣṭi namo devebhyaḥ
4.14.21	svadhā pitṛbhya iti dakṣiṇata uttānam
4.14.22	apa upaspṛśyetarayoś ca puṣṭikāmaḥ
4.14.23	sthālyāḥ sruveṇeha puṣṭiṃ puṣṭipatir dadhātv iha prajāṃ ramayatu prajāpatir agnaye gṛhapataye rayimate puṣṭipataye svāheti gārhapatye
4.14.24	tūṣṇīṃ dvitīyām
4.14.25	agnaye 'nnādāyānnapataye svāheti dakṣiṇāgnau tūṣṇīṃ dvitīyām
4.14.26	anāmikayā dviḥ prāśnāti
4.14.27	utsṛpya nirleḍhyācamyotsiñcati devān jinva pitṝn jinva tṛtīyām udukṣati saptaṛṣīn jinveti
4.14.28	caturthī kūrcasthāne trir niṣiñcaty agnaye pṛthivīkṣite svāhā pṛthivyā amṛtaṃ juhomi svāhāmṛte 'mṛtaṃ juhomi svāheti
4.14.29	sruksruvam āhavanīye pratapya nidadhāti
4.14.30	samidha ādadhāti sarveṣu yathāparyukṣitamṃ samid asi samiddho me 'gne dīdihi samedhā te agne dīdyāsām iti
4.14.31	vāgyato dohaprabhṛty āhomāt kṣīrahotā cet
4.15.1	prātar juhoty anudite
4.15.2	antareṇāparāgnī gatvā dakṣiṇena vā pradakṣiṇaṃ gārhapatyaṃ parītyopaviśati yajamānaḥ
4.15.3	patnī ca yathādeśam
4.15.4	apa ācāmati vṛṣṭir asi vṛśca me pāpmānaṃ satyena vratam upaimy āpaḥ satyaṃ mayi vratam iti
4.15.5	vācaṃ visṛjya punar ācāmati vidyud asi vi me pāpmānaṃ jahy apo 'vabhṛtham abhyupaimi mayi satyaṃ goṣu me vratam iti
4.15.6	unnayāmīty āha prātaḥ
4.15.7	prāksaṃsthaṃ samitparyukṣaṇaṃ dhārā ca
4.15.8	ubhayatra vā
4.15.9	agniśabde sūryaḥ
4.15.10	rātryuṣasāhneti vā
4.15.11	jyotiḥ sūrya iti vā prātaḥ
4.15.12	prathamāstamite paryudayaṃ ca svargakāmasya
4.15.13	tamo 'bhyaye sāyaṃ juhuyād viyati prātar āyuṣkāmasya
4.15.14	antaḥpaśau paśukāmasya sāyamprātaḥ
4.15.15	śayāne śrīkāmasya prātaḥ
4.15.16	prathamasamiddhe dhūpyamāne prajāsu nihatyeva sahasānnam atsyataḥ
4.15.17	bhūyiṣṭhārciṣi gṛhītveva sahasā
4.15.18	pradīptatame śrīyaśaskāmasya
4.15.19	arciḥpratyavāye maitreṇānnam atsyataḥ
4.15.20	aṅgāreṣu cākaśyamāneṣu brahmavarcasakāmasya
4.15.21	payasā svargakāmaḥ paśukāmo vā
4.15.22	yavāgvā grāmakāmaḥ
4.15.23	taṇḍulair balakāmaḥ
4.15.24	dadhnendriyakāmaḥ
4.15.25	anadhiśrayaṇaṃ ca śrutisāmarthyābhyām
4.15.26	ghṛtena tejaskāmaḥ
4.15.27	saṃvatsaraṃ juhuyād eteṣām ekaikena kāmasaṃyoge
4.15.28	sāyamprātar vā
4.15.29	dakṣiṇena praveśanam agnihotreṣṭiṣu
4.15.30	sāyamprātar āhavanīyasyāsanopasthāne
4.15.31	śayyāsanaṃ vā gārhapatye
4.15.32	saṃvrajan manasopasmṛtya dakṣiṇāgnim
4.15.33	anaśitvā prātarmuhūrtaṃ sabhāsanaṃ sabhyasya
4.15.34	bhasmoddhṛtam upeyāt
4.15.35	svayaṃ vā juhuyāt
4.15.36	upavasathe niyamaḥ
5.1.1	cāturmāsyaprayogaḥ phālgunyām
5.1.2	vaiśvānarapārjanyau nirupyechan
5.1.3	vaiśvānaro dvādaśakapālaḥ
5.1.4	carur uttaraḥ
5.1.5	āgneyaḥ
5.1.6	saumyaś caruḥ
5.1.7	sāvitro dvādaśakapālo 'ṣṭākapālo vā
5.1.8	sārasvataś caruḥ
5.1.9	pauṣṇaś caruḥ prapiṣṭānām
5.1.10	dvidevato 'pi niyamasāmarthyāt
5.1.11	ardhapiṣṭaṃ vobhayasāmarthyāt
5.1.12	saumāpauṣṇadarśanāc ca
5.1.13	apiṣṭo vā devatānyatvāt
5.1.14	saumāpauṣṇe vacanāt
5.1.15	etāni sarvatra
5.1.16	marudbhyaḥ svatavadbhyaḥ saptakapālaḥ
5.1.17	māruto vā
5.1.18	vaiśvadevī payasyā
5.1.19	dyāvāpṛthivīya ekakapālaḥ
5.1.20	etadvaiśvadevam
5.1.21	prācīnapravaṇe
5.1.22	ahatavāsāḥ
5.1.23	patnī ca
5.1.24	te eva varuṇapraghāseṣv api
5.1.25	tredhā barhiḥ saṃnahya punar ekadhā
5.1.26	kuśaprasvaḥ prastara upasaṃnaddhaḥ
5.1.27	āsādyāgnimanthanam
5.1.28	agner janitram iti śakalam ādāya vedyāṃ karoti
5.1.29	vṛṣaṇāv iti kuśataruṇe tasmin
5.1.30	urvaśy asīty adharāraṇiṃ tayoḥ
5.1.31	āyur asīty uttarayājyasthālīṃ saṃspṛśya purūravā ity abhinidhānaṃ tayā
5.2.1	agnaye mathyamānāyānuvācayati
5.2.2	manthati gāyatreṇeti pratimantraṃ triḥ pradakṣiṇam
5.2.3	jāte jātāyeti
5.2.4	prahriyamānāyeti prāsyan
5.2.5	bhavataṃ na iti prāsyati
5.2.6	agnāv agnir iti juhoti sthālyāḥ sruveṇa
5.2.7	navaprayājaṃ navānuyājam
5.2.8	varuṇapraghāsā mahāhaviś ca
5.2.9	trīṇi samiṣṭayajūṃṣi juhoti devā gātuvido yajña yajñam eṣa ta iti
5.2.10	pásu ca
5.2.11	yāṃ āvaha iti vā paśau
5.2.12	ekaṃ vā vaiśvadeve
5.2.13	parvasaṃsthāsu vapanaṃ vā prāgantyāt
5.2.14	apareṇa dakṣiṇāgniṃ dakṣiṇaṃ godānam undati savitrā prasūtā daivyā āpa undantu te tanūṃ dīrghāyutvāya varcasa iti
5.2.15	tryeṇyā śalalyā vinīya trīṇi kuśataruṇāny antardadhāty oṣadha iti
5.2.16	tryāyuṣam iti yajamāno japati
5.2.17	śivo nāmeti lohakṣuram ādāya nivartayāmīti vapati
5.2.18	evaṃ paścād uttarataś ca
5.2.19	gṛheṣu paurṇamāsaṃ samārūḍhanirmathitayos tathā cet
5.2.20	prajākāmasyāpi vaiśvadevam
5.2.21	eke 'dhaḥprāṅśāyī madhvāśy ṛtujāyopāyī māṃsastryanṛtāni varjayed udakābhyavāyaṃ ca prāg avabhṛthāt
5.3.1	āṣāḍhām ayaṃ te yonir iti samārohyodavasāya nirmathya varuṇapraghāsāḥ
5.3.2	pūrvedyur dakṣiṇāgnau nistuṣām abhṛṣṭayavānāṃ karambhapātrakaraṇam
5.3.3	yāvanto yajamānagṛhyā ekādhikāni
5.3.4	prajāyāṃ vā jātaśruteḥ
5.3.5	trīṇi vā nityatvāt
5.3.6	meṣamithunaṃ ca
5.3.7	anaiḍakīr ūrṇāḥ prakṣālyāśleṣayet tayoḥ
5.3.8	kuśorṇā vābhāve
5.3.9	āhavanīyasya purastād vedī karoti
5.3.10	prādeśo 'ntarā
5.3.11	pṛtho vā
5.3.12	rathamātry uttarā
5.3.13	caturaratnir vā paścāt sapta prācī ṣaḍ vā trayaḥ purastāt
5.3.14	teṣāṃ madhye śaṅkuḥ
5.3.15	aparimitā vā
5.3.16	sphyādy ā saṃmarśanāt karoti
5.3.17	ubhayor eka utkaraḥ
5.3.18	apareṇa vediṃ pratiprasthātuḥ saṃcaraḥ
5.3.19	uttaravediṃ nivapaty uttarasyām
5.3.20	śamyām ādāya cātvālaṃ mimīte pūrveṇotkaraṃ saṃcaraṃ parihāpya
5.3.21	śamyām udīcīṃ nidadhāti
5.3.22	purastāc ca
5.3.23	dakṣiṇataḥ prācīm
5.3.24	uttarataś ca
5.3.25	sphyenāntarlikhati taptāyanīti pratimantram
5.3.26	vided agnir iti cātvāle praharati sphyenānvārabdhe
5.3.27	agne aṅgira iti purīṣaṃ harati hastena ca
5.3.28	yo 'syām iti nivapati pūrvārdhe śaṅkusahitam
5.3.29	agnīd utkaravat tūṣṇīṃ hṛtam
5.3.30	evaṃ dvir aparam
5.3.31	dvitīyasyāṃ tṛtīyasyām iti viśeṣaḥ
5.3.32	anu tveti caturthaṃ yathārtham āhṛtya siṃhy asīti vyūhaty uttaravediṃ śamyāmātrīm
5.3.33	vitṛtīyām aparimitāṃ yugamātrīṃ yajamānadaśapadyāṃ vā
5.3.34	some vottare vyapasphuraṇaśruteḥ
5.3.35	asambhavāc ca
5.3.36	madhye nābhiṃ karoti prādeśasamāṃ catuḥsraktim
5.3.37	prokṣaty uttaravediṃ sikatāś ca prakirati siṃhy asīti pratimantram
5.4.1	channā vasati
5.4.2	prātaḥ pañcagṛhītaṃ gṛhītvāgnī praṇayatīdhmābhyām upayamya
5.4.3	sarvaṃ vā vibhajya prākṛtatvāt
5.4.4	praṇayanaṃ somād vācyatvāt
5.4.5	prakṛter vānāmatvāt
5.4.6	grahaṇaṃ guṇārtham uttaravedyagninidhānāt
5.4.7	ājyaprokṣaṇīr udyamyāgnī cāhāgnibhyāṃ prahriyamāṇābhyām anubrūhy ekasphyayānūdehīti
5.4.8	triruktāyāṃ yathāvedi haraṇam
5.4.9	pratiprasthātā sphyena likhaty ā vediśroṇeḥ
5.4.10	uttaraveder vā
5.4.11	vedyantare sthitvodaṅṅ uttaravediṃ prokṣatīndraghoṣa iti pratimantraṃ pratidiśaṃ yathāliṅgam
5.4.12	dakṣiṇāṃsasahitaṃ bahirvedi śeṣaṃ niṣiñcatīdam ahaṃ taptaṃ vār iti
5.4.13	amum ity abhicaran
5.4.14	nābhyāḥ śroṇyaṃseṣu pañcagṛhītaṃ juhoty akṣṇayā dakṣiṇe 'ṃse śroṇyāṃ śroṇyām aṃse madhye ca hiraṇyaṃ paśyant siṃhy asīti pratimantram
5.4.15	bhūtebhyas tveti srucam udyachati
5.4.16	nābhiṃ paitudāravaiḥ paridadhāti pūrvavad dhruvo 'sīti pratimantram
5.4.17	agneḥ purīṣam iti nivapati gulgulusugandhitejanavṛṣṇestukāś copari śīrṣaṇyā abhāve 'nyāḥ
5.4.18	teṣv agniṃ nidadhāti
5.4.19	uddhatāvokṣite dakṣiṇam
5.4.20	upayamanīr upanivapati
5.4.21	praṇītād yataḥ
5.4.22	vratopāyanaṃ vākṛtaṃ cet
5.4.23	nityebhyo 'dhikāny aindrāgnaḥ payasye vāruṇīṃ mārutī kāya ekakapālaḥ
5.4.24	nānājyanirvapaṇam
5.4.25	dakṣiṇaṃ pratiprasthātuḥ
5.4.26	dhruvāyāḥ purastāt pṛṣadājyam ājyaṃ dadhimiśraṃ pañcagṛhītaṃ jyotir asīti samidantena
5.4.27	anuyājārthaṃ sarvatra
5.4.28	aupabhṛtāsādanam
5.4.29	priyeṇa dhāmneti vāviśeṣopadeśāt
5.4.30	uttaraṃ vāparakālatvāt
5.4.31	pratiprasthātā ca
5.4.32	na vā
5.4.33	praṇītāpatnīsaṃnahanāgnimanthanāśrutapratyāśrutapraiṣayajamānavācanahotṛṣadanavaraṇaprāśitrāṅguliparvāñjanāvāntareḍābhāgāparāgnyavabhṛthān na pratiprasthātā
5.4.34	kṛtānukaro 'nyatra dakṣiṇasyām
5.5.1	vājine niṣicyobhayoḥ karīrāṇy āvapati śamīpalāśamiśrāṇi
5.5.2	meṣamithunaṃ ca
5.5.3	mārutyāṃ meṣam
5.5.4	sarvāṇi havīṃṣy uttarasyām āsādayati
5.5.5	mārutīṃ sahājyāṃ pratiprasthātā dakṣiṇasyām
5.5.6	saṃmārjanāya preṣite 'saṃmṛṣṭe pratiprasthātā patnīm āneṣyann āha kena carasīti
5.5.7	saṃstutān ācaṣṭe
5.5.8	tṛṇāni vodgṛhṇāti pratisaṃstutam
5.5.9	anākhyātam ahitaṃ jñātibhya iti śruteḥ
5.5.10	ākhyāte praghāsina ity enāṃ vācayati nayan
5.5.11	karambhapātrāṇi juhoti śūrpeṇa mūrdhani kṛtvā dakṣiṇe 'gnau pratyaṅmukhī jāyāpatī vā dakṣiṇenāhṛtya tīrthena pūrveṇa vedim apareṇa vā yad grāma iti
5.5.12	mo ṣū ṇa iti yajamāno japati
5.5.13	akran karmety enāṃ vācayati pratinayan
5.5.14	āgate saṃmārjanādy ājyabhāgābhyām
5.5.15	srukpāṇir āste pratiprasthātā
5.5.16	havirbhiś carati
5.5.17	payasyāpracaraṇakāle meṣau vyatiharataḥ
5.5.18	anyatareṇāvadānena saha meṣam
5.5.19	savyena srucau gṛhītvā pratiprasthātur vāso dakṣiṇena marudbhyo 'nuvācayati
5.5.20	vāruṇīvad avadānam
5.5.21	havirbhiś carita ubhau sviṣṭakṛtprabhṛti
5.5.22	iḍām avadāya pratiprasthātre pra[yacha]ti
5.5.23	tatra pratiprasthātā mārutyāḥ
5.5.24	sruco vyūhato 'dhvaryū
5.5.25	samāsicya vājinabhakṣaḥ
5.5.26	adhvaryuvikārātpratiprasthātā bhakṣeṣu
5.5.27	maitrāvaruṇaś ca hotradhvaryuvikārāt
5.5.28	samiṣṭayajūṃṣi tūṣṇīṃ dakṣiṇasyām
5.5.29	vāruṇīniṣkāṣeṇāvabhṛtham
5.5.30	tūṣṇīm etyābhyavetya majjayaty avabhṛtheti
5.5.31	jāyāpatī snāto 'majjantau
5.5.32	anyo'nyasya pṛṣṭhe dhāvataḥ
5.5.33	anye vāsasī paridadhāte
5.5.34	pūrve dadyād adhikṛtebhyo yasmā ichet
5.5.35	yathetam etyāhavanīye samidādhānaṃ devānāṃ samid asīti
5.5.36	patnī ca gārhapatye tūṣṇīm
5.5.37	dhenur dakṣiṇā
5.5.38	aśvaḥ
5.5.39	ṣaṭ
5.5.40	dvādaśa vā
5.6.1	kārttikyāṃ sākamedhā dvyaham
5.6.2	pūrvedyuḥ pūrvāhṇe 'gnaye 'nīkavate puroḍāśaḥ
5.6.3	marudbhyaḥ sāṃtapanebhyo madhyandine caruḥ
5.6.4	samiṣṭayajurantaṃ bhavati
5.6.5	barhiranupraharaṇavarjaṃ vā
5.6.6	idhmasthāne śakalaparidhi nidhāya marudbhyo gṛhamedhibhyaḥ sāyaṃ caruḥ payasi
5.6.7	sāṃnāyyavat
5.6.8	tūṣṇīṃ vaikacodanāt
5.6.9	śruteś ca
5.6.10	śrapayitvābhighāryodvāsya śarāvayor uddharati
5.6.11	pātyorvā
5.6.12	āsecane madhye kṛtvā sarpir āsiñcaty ājyārtham
5.6.13	yāvaduktam ataḥ
5.6.14	staraṇayajuṣā vedim abhimṛśya tūṣṇīṃ vā kṛtatvāt paridhiparidhānam
5.6.15	śakalāny ādhāya matyoddhṛtāv āsādayati
5.6.16	sruksruvaṃ ca saṃmārṣṭi
5.6.17	anudvāsya vā saṃmārjanam
5.6.18	ājyabhāgābhyāṃ carati
5.6.19	āgneyaṃ dakṣiṇāt
5.6.20	saumyamuttarāt
5.6.21	gṛhamedhisviṣṭakṛtau cājyabhāgavat samāvadānau
5.6.22	apratyabhighāraṇaṃ ca
5.6.23	anuddhṛtya vā
5.6.24	sahitam ājyam adhiśrayati
5.6.25	udvāsyobhayam āsādayati
5.6.26	na prāśitram
5.6.27	iḍāntaṃ bhavati
5.6.28	pūrve mārjanamupahūya
5.6.29	prāśnanti yuktāḥ
5.6.30	yajamānagṛhyā haviruchiṣṭāśā ṛtvijo brāhmaṇāś cānye bahuścet
5.6.31	ariktāṃ sthālīṃ nidadhāti
5.6.32	sāṃtapanīyāṃ saṃsthāpya
5.6.33	prātar vā śeṣabhāvāt
5.6.34	mātṛbhir vatsānt saṃsṛjya nivānyāvatsaṃ badhnāti
5.6.35	yavāgvāgnihotrahomaḥ
5.6.36	prātar hutvāhutvā vā sthālyāṃ darvyādatte pūrṇā darvīti
5.6.37	ṛṣabhamāhvayitavai brūyāt
5.6.38	rute juhoti
5.6.39	avyāharati brahmā juhudhītyāha
5.6.40	dehi ma iti juhoti
5.6.41	ṛṣabho dakṣiṇā
5.7.1	marudbhyaḥ krīḍibhyaḥ saptakapālaḥ
5.7.2	adityai caruḥ
5.7.3	anyatrāpi
5.7.4	samānabarhiṣī vā kālakarmaikatvāt
5.7.5	mahāhavir udavasāya nirmathya
5.7.6	pūrvedyur vā
5.7.7	nityebhyo 'dhikāni
5.7.8	aindrāgnaḥ
5.7.9	māhendraś caruḥ
5.7.10	vaiśvakarmaṇa ekakapālaḥ
5.7.11	uttaravedyagnipraṇayanamanthanapṛṣadājyaṃ ca varuṇapraghāsavat
5.7.12	ṛṣabho dakṣiṇā
5.8.1	pitṛyajña upāṃśu caraṇam
5.8.2	purastād upacāraḥ
5.8.3	brahmayajamānayoś ca
5.8.4	pūrvavad vā
5.8.5	apatnīkaḥ
5.8.6	dakṣiṇāgnir āhavanīyavat
5.8.7	pūrveṇāhavanīyaṃ praṇītāḥ pariharati
5.8.8	arthavac ca
5.8.9	pitṛbhyaḥ somavadbhyaḥ ṣaṭkapālaḥ
5.8.10	somāya vā pitṛmate
5.8.11	pitṛbhyo barhiṣadbhyo dhānāḥ
5.8.12	pitṛbhyo 'gniṣvāttebhyo manthaḥ
5.8.13	catur vā grahaṇam
5.8.14	gārhapatyasya purastād avahananapeṣaṇe
5.8.15	dakṣiṇārdhe kapālopadhānam
5.8.16	dhānābharjanaṃ dakṣiṇāgnau
5.8.17	śrapaṇapeṣaṇaviparyāse 'pi dharmāḥ
5.8.18	abhimṛśyārdhāḥ piṣṭvā nivānyādugdhe sakṛnmathita ekaśalākayā manthaḥ
5.8.19	agrahaṇaṃ manthasya tato 'rdhāḥ piṃṣantīti śruteḥ
5.8.20	grahaṇaṃ vā coditatvāt
5.8.21	dakṣiṇena dakṣiṇāgniṃ parivṛtam udagdvāraṃ tanmadhye vediṃ karoty avāntaradiksraktim āptyānte
5.8.22	dakṣiṇāgniṃ madhye 'syāḥ karoti
5.8.23	praṇītānuharaṇam
5.8.24	brahmayajamānau cānugachataḥ
5.8.25	sphyādānādi karoti
5.8.26	yajñopavītyājyagrahaṇe
5.8.27	dvir vopabhṛti
5.8.28	prāggranthi barhiḥ
5.8.29	visraṃsya yūnaṃ cāgre gṛhītvā tri stṛṇann agniṃ paryeti
5.8.30	prastaramātraṃ śiṣṭvā tāvat pratiparyeti
5.8.31	taṃ stṛṇāty avidhṛtim
5.8.32	prāksaṃsthaṃ havirāsādanam
5.8.33	sāmidhenipraiṣādy ājyabhāgābhyāṃ yajñopavītinaḥ sarve
5.8.34	paścāt parīto brahmayajamānau
5.8.35	purastād agnīt
5.8.36	āśrāvya sīda hotar ity eva brūyāt
5.8.37	apabarhiṣaḥ prayājāḥ
5.8.38	anuyājāś ca
5.8.39	asamānayanaṃ vā barhiḥsaṃyogāt
5.8.40	pratyag atītya juhoti
5.9.1	havirbhiś cariṣyantaḥ prativiparyanti
5.9.2	sarvebhyo 'vadyati yathāpūrvaṃ somavadbhyo madhyāt sakṛtsakṛt
5.9.3	sahāvadadhāti
5.9.4	dvir abhighāraṇam
5.9.5	anatikramaṇaṃ ca
5.9.6	somāya vā pitṛmate
5.9.7	evaṃ barhiṣadbhya uttarato dhānāmanthapuroḍāśānām
5.9.8	agniṣvāttebhyo dakṣiṇato manthapuroḍāśadhānānām
5.9.9	purastād agnaye kavyavāhanāya yathāpūrvam
5.9.10	sa sviṣṭakṛt
5.9.11	oṃ svadhety astu svadheti vāśrutapratyāśrute
5.9.12	svadhā nama iti vaṣaṭkāraḥ
5.9.13	mantham upahūya hotādhvaryur brahmāgnīd avaghrāyaṃ nidadhati
5.9.14	prāśitram avadāyeḍāṃ vā
5.9.15	sarve prāśnanti vā
5.9.16	vediṃ triḥ pariṣiñcaty udapātreṇādhvaryur yajamāno vā
5.9.17	sraktiṣu pitravanejanaṃ pariṣicyapariṣicya pūrvavat
5.9.18	uttarāparasyāṃ prathamam
5.9.19	savye samavadāya sarvebhyo yathāvaniktaṃ piṇḍān dadāty asāv etat ta iti
5.9.20	uttarapūrvasyāṃ pāṇī nimṛṣṭe 'tra pitara iti
5.9.21	yajñopavītinaḥ sarve niṣkramyodañco 'kṣann amīmadantety āhavanīyam upatiṣṭhante dvābhyām
5.9.22	mano nv āhvāmaha iti gārhapatyaṃ tisṛbhiḥ
5.9.23	prācīnāvītī praviśyāmīmadanteti dātā japati
5.9.24	avanejya pūrvavat pradakṣiṇaṃ nīviṃ visraṃsya namo va ity añjaliṃ karoti
5.9.25	ṣaḍ vā namaskārān
5.9.26	gṛhān naḥ pitaro datteti ca
5.9.27	brahmāmantraṇādi prāk srugvyūhanāt prayājavad yajñopavītiviparyayaṃ kṛtvā
5.9.28	na prastaram ādatte
5.9.29	anupraharety ukte na kiṃ canānupraharati
5.9.30	tūṣṇīm ātmānaṃ saṃspṛśati
5.9.31	upaspṛśya paridhīn nānupraharati
5.9.32	śamyvantaṃ bhavati
5.9.33	barhiḥparidhy agnau prāsyati
5.9.34	haviruchiṣṭaṃ ca
5.9.35	apsu
5.9.36	prāśyaṃ vā
5.10.1	traiyambakān
5.10.2	nirvapati raudrān ekakapālān yāvanto yajamānagṛhyā ekādhikān
5.10.3	caturo vā
5.10.4	udaṅmukhaḥ sarvam
5.10.5	devāṃś ca
5.10.6	juhotayaḥ
5.10.7	avaṣaṭkārān
5.10.8	aktān vā
5.10.9	pātryāṃ kṛtvā dakṣiṇāgnyulmukam ādāya catuṣpathe palāśapattramadhyamena homaḥ
5.10.10	sarveṣām avadānaṃ sakṛtsakṛd atiriktavarjam
5.10.11	akteṣu miśraṇam
5.10.12	eṣa ta iti juhoti
5.10.13	atiriktam ākhūtkara upakiraty eṣa iti
5.10.14	āgamyāva rudram adīmahīti japati
5.10.15	agniṃ triḥ pariyanti pitṛvat savyorūn āghnānās tryambakam iti
5.10.16	devavac caitenaiva dakṣiṇān āghnānāḥ
5.10.17	kumāryaś cottareṇobhayatra patikāmā bhagakāmā vā
5.10.18	raudrān yajamāno 'ñjalinodasyaty agoḥprāpaṇam
5.10.19	pratigṛhṇāty enān
5.10.20	aśakya upasparśanam
5.10.21	mūtayoḥ kṛtvā veṇuyaṣṭyāṃ kupe vāsajyobhayata sthāṇuvṛkṣavaṃśavalmīkānām anyatamasminn utkṣepaṇavad āsajaty etat ta iti
5.10.22	kṛttivāsā iti
5.10.23	anapekṣam etyopaspṛśanty apaḥ
5.11.1	śunāsīrīyam ataḥ
5.11.2	yadechet
5.11.3	paurṇamāsadharmā barhirvarjam
5.11.4	nityebhyo 'dhikāni
5.11.5	śunāsīrābhyāṃ dvādaśakapāla indrāya vā śunāsīrāya
5.11.6	vāyavyaṃ payaḥ
5.11.7	laukikaṃ pratidhukśruteḥ
5.11.8	nāvirodhāt
5.11.9	prakṛtidarśanāc ca
5.11.10	yavāgūr vā
5.11.11	saurya ekakapālaḥ
5.11.12	sīraṃ ṣaḍyogaṃ dakṣiṇā
5.11.13	oṣṭārau vā
5.11.14	śveto 'śvaḥ sauryasyābhāve gauḥ
5.11.15	saṃvatsarepsoḥ phālgunyuddṛṣṭe śunāsīrīyeṇeṣṭvā somena paśuneṣṭyā vā yajeta paurṇamāsyām
5.11.16	āvṛttir anījānasya
5.11.17	phālgunyupavasathe śunāsīrīyam
5.11.18	prātar vaiśvadevam
5.11.19	sapaśuṣu paśutantraṃ prādhānyāt
5.11.20	pūrvedyur vaiśvadeve paśukam
5.11.21	sadyo vā
5.11.22	vaiśvadevaḥ paśuḥ
5.11.23	paśupuroḍāśam anu havīṃṣi nirvapati
5.11.24	teṣāṃ sviṣṭakṛdbhūyastvāt
5.11.25	yathoktam aviruddham
5.11.26	hṛdayaśūlānte vapanam
5.11.27	varuṇapraghāseṣu vāruṇaḥ
5.11.28	mahāhaviṣi māhendraḥ
5.11.29	śunāsīrābhyāṃ caturthaḥ
5.11.30	purastād vā parvaṇaḥparvaṇaḥ
5.11.31	ante vā
5.12.1	mitravindā śrīrāṣṭramitrāyuṣkāmasya daśahaviḥ
5.12.2	āgneyaḥ
5.12.3	saumyaś caruḥ
5.12.4	vāruṇo daśakapālaḥ
5.12.5	carur vāyāvaḥ
5.12.6	maitraś caruḥ
5.12.7	aindra ekādaśakapālaḥ
5.12.8	bārhaspatyaś caruḥ
5.12.9	sāvitro dvādaśakapālo 'ṣṭākapālo vā
5.12.10	pauṣṇaś caruḥ
5.12.11	sārasvataś caruḥ
5.12.12	tvāṣṭro daśakapālaḥ
5.12.12	ekaṃ pradānam
5.12.13	samasyānuvācanam
5.12.14	yajeti ca
5.12.15	praiṣāś ca
5.12.16	uttare nigamā yatheṣṭaṃ joṣaṇāśruteḥ
5.12.17	anulomā vā codanāguṇatvāt
5.12.18	pañcadaśa sāmidhenyaḥ
5.12.19	puṣṭimantāv ājyabhāgāv agninā rayim aśnavat poṣam eva divedive yaśasaṃ vīravattamaṃ gayasphāno amīvahā vasuvit puṣṭivardhanaḥ sumitraḥ soma no bhaveti
5.12.20	haviṣo 'nuvākyāgniḥ somo varuṇo mitra indro bṛhaspatiḥ savitā yaḥ sahasrī pūṣā no gobhir avasā sarasvatī tvaṣṭā rūpāṇi samanktu yajñair iti
5.12.21	yājyā tvaṣṭā rūpāṇi dadatī sarasvatī pūṣā bhagaṃ savitā me dadātu bṛhaspatir dadad indro balaṃ me mitraḥ kṣatraṃ varuṇaḥ somo agnir iti
5.13.1	tvaṣṭā rūpāṇāṃ rūpakṛd rūpapatī rūpeṇa paśūn asmin yajñe mayi dadhātu svāheti
5.13.2	virājau saṃyājyai
5.13.3	sahasravatyau vā nū no rāsva sahasravat tokavat puṣṭimad vasu dyumad agne suvīryaṃ varṣiṣṭham anupakṣitam uta no brahmann aviṣa uktheṣu devahūtamaḥ śaṃ naḥ śocā marudvṛdho 'gne sahasrasātama iti
5.13.4	daśa dakṣiṇā
5.13.5	sahasraṃ vā
6.1.1	paśvijyā saṃvatsaresaṃvatsare prāvṛṣi
6.1.2	āvṛttimukhayor vā
6.1.3	gṛheṣu
6.1.4	yūpāhutiṃ juhoti caturgṛhītaṃ sruveṇa voru viṣṇav iti
6.1.5	ājyaśeṣam ādāya satakṣā gacchati
6.1.6	yūpam abhimṛśaty aty anyān iti
6.1.7	prāṅ tiṣṭhann abhimantrayate vā
6.1.8	pālāśaṃ bahulaparṇam aśuṣkāgram ūrdhvaśakalaśākhaṃ madhyāgropanatam abraṇam
6.1.9	abhāve khadirabilvarauhitakān
6.1.10	khadirābhāve soma itarān
6.1.11	sruveṇopaspṛśati viṣṇave tveti
6.1.12	oṣadha iti kuśataruṇaṃ tiraskṛtya svadhita iti paraśunā praharati
6.1.13	prathamaśakalaṃ nidadhāti
6.1.14	anakṣastambhaṃ vṛścati
6.1.15	ekajam
6.1.16	dyāṃ mā lekhīr iti patantam abhimantrayate
6.1.17	na dakṣiṇā patet
6.1.18	ayaṃ hi tveti śodhanam
6.1.19	abhimantraṇaśeṣo vāviśeṣopadeśāt
6.1.20	atas tvam ity āvraścane juhoti
6.1.21	yūpe vā tatsaṃskārāt
6.1.22	sthāṇau śruteś ca
6.1.23	parivāsyāchedanaṃ punaḥ
6.1.24	tryaratniḥ
6.1.25	caturaratnir vā
6.1.26	ekāratniprabhṛtīn eke
6.1.27	aṣṭāśriṃ karoty uparavarjam
