#Text:Āpastambaśrautasūtra
#Data entry:M. Fushimi



1.1.1	athāto darśapūrṇamāsau vyākhyāsyāmaḥ
7.28.8	māṃsīyanti ha vā agnayo 'juhvato yajamānasya / te yajamānam eva dhyāyanti / yajamānaṃ saṃkalpayanti / pacanti ha vā anyeṣv agniṣu vṛthāmāṃsam / athaiteṣāṃ nānyā māṃsāśā vidyate / yasyo caite bhavanti taṃ tato nānījānaṃ paśunā saṃvatsaro 'tīyāt / āyuṣyo ha vā asyaiṣa ātmaniṣkrayaṇa iti vājasaneyakaṃ bhavati bhavati
8.1.1	akṣayyaṃ ha vai cāturmāsyayājinaḥ sukṛtaṃ bhavati
8.1.2	phālugunyāṃ paurṇamāsyāṃ caitryāṃ vā vaiśvadevena yajate
8.1.3	pūrvasmin parvaṇi pañcahotāraṃ manasānudrutyāhavanīye sagrahaṃ hutvānvārambhaṇīyām iṣṭiṃ nirvapati vaiśvānaraṃ dvādaśakapālaṃ pārjanyaṃ ca carum
8.1.4	vaiśvānaro na ūtyā pṛṣṭo divīti vaiśvānarasya yājyānuvākye // parjanyāya pragāyata divas putrāya mīḍhuṣe / sa no yavasam icchatu // acchā vada tavasaṃ gīrbhir ābhiḥ stuhi parjanyaṃ namasāvivāsa / kanikradad vṛṣabho jīradānū reto dadhātv oṣadhīṣu garbham iti pārjanyasya // hiraṇyaṃ vaiśvānare dadāti dhenuṃ pārjanye / siddham iṣṭiḥ saṃtiṣṭhate
8.1.5	prācīnapravaṇe vaiśvadevena yajate
8.1.6	paśubandhavad gārhapatyād agniṃ praṇayan nodyatahomaṃ juhoti
8.1.7	ūrṇāvantaṃ prathamaḥ sīda yonim iti hotur abhijñāyāhavanīyāyatana ūrṇāstukāṃ nidhāya tasyām agniṃ pratiṣṭhāpayati
8.1.8	nānuttaravedike pāśukaṃ praṇayanaṃ vidyata ity aparam
8.1.9	agnīn anvādhāya śākhām āhṛtya vaiśvadevyā āmikṣāyā vatsān apākaroti
8.1.10	prasūmayaṃ barhiḥ prastaraś ca
8.1.11	tredhā saṃnaddhaṃ punar ekadhā
8.1.12	tasmin mantraḥ
8.1.13	tathedhmaḥ
8.1.14	trayoviṃśatidāruḥ
8.1.15	trīn kalāpān saṃnahyaikadhā punaḥ saṃnahyati
8.1.16	pūrvavad vaiśvadevyāḥ sāyaṃdohaṃ dohayati
8.2.1	śvo bhūte pātrasaṃsādanakāle pālāśaṃ vājinapātraṃ prayunakti srucaṃ vā
8.2.2	nirvapaṇakāla āgneyam aṣṭākapālam iti yathāsamāmnātam aṣṭau havīṃṣi nirvapati
8.2.3	teṣāṃ pauṣṇāntāni pañca saṃcarāṇi
8.2.4	piṣṭānāṃ pauṣṇaṃ śrapayati
8.2.5	tapte prātardohe sāyaṃdoham ānayati
8.2.6	yat saṃvartate sāmikṣā / yad anyat tad vājinam
8.2.7	paśuvat saṃpraiṣaḥ / tathājyāni
8.2.8	pṛṣadājye vikāraḥ / mahīnāṃ payo 'sīti pṛṣadājyadhānyāṃ dvir ājyaṃ gṛhṇāti dvir dadhi sakṛd ājyam
8.2.9	udvāsanakāla āmikṣāṃ saṃhatya dvayoḥ pātrayor uddhṛtya vājinaikadeśenopasiñcati
8.2.10	alaṃkaraṇakāla ājyenaikakapālam abhipūrayaty āviḥpṛṣṭhaṃ vā kṛtvā vyāgṛtībhir havīṃṣy āsādayati
8.2.11	utkare vājinam
8.2.12	pañcahotrā yajamānaḥ sarvāṇi havīṃṣy āsannāny abhimṛśati
8.2.13	paśuvan nirmathyaḥ sāmidhenyaś ca
8.2.14	nava prayājāḥ
8.2.15	caturthottamāv antareṇa paśukāś catvāro duraḥprabhṛtayaḥ praiṣapratīkayājyāḥ
8.2.16	paśuvat samānayanam
8.2.17	pracaraṇakāla upāṃśu sāvitreṇa pracarya pūrvavad ekakapālena pracarati
8.2.18	madhuś ca mādhavaś ceti caturbhir māsanāmabhir ekakapālam abhijuhoti
8.2.19	dakṣiṇākāle prathamajaṃ vatsaṃ dadāti mithunau vā gāvau
8.2.20	pṛṣadājyaṃ juhvām ānīya pṛṣadājyadhānīm upabhṛtaṃ kṛtvā tena navānūyājān yajati
8.3.1	aṣṭāv ādyāḥ pāśukāḥ praiṣavarjam
8.3.2	uttamenottamam
8.3.3	devān yajeti prathamaṃ saṃpreṣyati / yaja yajetītarān
8.3.4	saṃvatsarīṇāṃ svastim āśāste / divyaṃ dhāmāśāsta iti sūktavākasyāśiḥṣu hotānuvartayate
8.3.5	evaṃ yajamāno japati / āśāsa iti mantraṃ saṃnamati
8.3.6	paridhīn prahṛtya saṃsrāvāntaṃ kṛtvā vājinapātra upastīryāntarvedi barhir anuviṣiñcan vājinaṃ gṛhṇāti
8.3.7	nābhighārayati
8.3.8	vājibhyo 'nubrūhi vājino yajeti saṃpraiṣau / vaṣaṭkṛte camasena juhoti / srucā vānuviṣicyamānayānuvaṣaṭkṛte ca
8.3.9	ūrdhvajñur āsīno 'navānaṃ hotā yajati
8.3.10	vājinasyāgne vīhīty anuyajati
8.3.11	trayāṇāṃ ha vai haviṣāṃ sviṣṭakṛtena samavadyati somasya vājinasya gharmasyeti
8.3.12	udrekeṇa paśubandhavad diśaḥ pratījyāntarvedi śeṣaṃ sarve samupahūya bhakṣayanti
8.3.13	asāvasāv upahvayasveti karmanāmadheyenāmantrayate
8.3.14	upahūta iti prativacanaḥ
8.3.15	hotā prathamo bhakṣayati yajamāna uttamaḥ / yajamānaḥ prathamaś cottamaś cety eke
8.3.16	vājināṃ bhakṣo avatu vājo asmāṁ retaḥ siktam amṛtaṃ balāya / sa na indriyaṃ draviṇaṃ dadhātu mā riṣāma vājinaṃ bhakṣayantaḥ / tasya te vājibhir bhakṣaṃkṛtasya vājibhiḥ sutasya vājipītasya vājinasyopahūtasyopahūto bhakṣayāmīti bhakṣayati
8.3.17	paśuvat samiṣṭayajūṃṣi
8.3.18	siddham iṣṭiḥ saṃtiṣṭhate
8.4.1	śvo bhūte paurṇamāsyeṣṭvā prasūtā devena savitrā daivyā āpa undantu te tanuṃ dīrghāyutvāya varcasa ity upodya tryeṇyā śalalyekṣukāṇḍenekṣuśalākayā vā lauhena ca kṣureṇaudumbareṇa ni keśān vartayate vāpayate śmaśrūṇi
8.4.2	ṛtam eva parameṣṭhy ṛtaṃ nātyeti kiṃcana / ṛte samudra āhita ṛte bhūmir iyaṃ śritā // agnis tigmena śociṣā tapa ākrāntam uṣṇihā / śiras tapasy āhitaṃ vaiśvānarasya tejasā // ṛtenāsya nivartaye satyena parivartaye / tapasāsyānuvartaye śivenāsyopavartaye śagmenāsyābhivartaya iti nivartayati
8.4.3	tad ṛtaṃ tat satyaṃ tad vrataṃ tac chakeyaṃ tena śakeyaṃ tena rādhyāsam iti yajamāno japati / brāhmaṇa ekahoteti cānuvākam
8.4.4	tasya parvasv antarālavratāni
8.4.5	na māṃsam aśnāti na striyam upaiti
8.4.6	ṛtve vā jāyām
8.4.7	noparyāste
8.4.8	jugupsetānṛtāt
8.4.9	prāṅ śete
8.4.10	madhv aśnāti
8.4.11	madhvaśanaṃ syād ity ekam / vyañjanārtham ity aparam
8.4.12	ṛtuyājī vā anyaś cāturmāsyayājy anyaḥ
8.4.13	yo vasanto 'bhūt prāvṛḍ abhūc charad abhūd iti yajate sa ṛtuyājī / atha yaś caturṣucaturṣu sa cāturmāsyayājī // vasante vaiśvadevena yajate prāvṛṣi varuṇapraghāsaiḥ / śaradi sākamedhair iti vijñāyate
8.5.1	tataś caturṣu māseṣv āṣāḍhyāṃ śravaṇāyāṃ vodavasāya varuṇapraghāsair yajate
8.5.2	prarūḍhakakṣe yaṣṭavyam iti bahvṛcabrāhmaṇaṃ bhavati
8.5.3	tasya vaiśvadevavatkalpaḥ
8.5.4	vedau kṛtvāgreṇa gārhapatyaṃ same prācī vedī bhavataḥ
8.5.5	uttarām adhvaryuḥ karoti dakṣiṇāṃ pratiprasthātā / uttare vihāre 'dhvaryuś carati dakṣiṇe pratiprasthātā
8.5.6	ubhayatra kṛtsnaṃ tantram
8.5.7	api patnīsaṃyājāḥ
8.5.8	ekavat saṃpraiṣaḥ
8.5.9	dvivad brahmānujānāti
8.5.10	dvyaṅgulaṃ tryaṅgulaṃ caturaṅgulaṃ pṛthamātraṃ rathavartmamātraṃ sītāmātraṃ prādeśamātreṇa vā tiryagasaṃbhinne vedī bhavataḥ
8.5.11	antarā vedī pratiprasthātuḥ saṃcaraḥ
8.5.12	apareṇottarāṃ vediṃ stambayajur haran nādhvaryum abhipariharati
8.5.13	utkare nivapati
8.5.14	samāna utkaraḥ
8.5.15	pañcartvijaḥ
8.5.16	yad evādhvaryuḥ karoti tat pratiprasthātā
8.5.17	yat kiṃca vācākarmīṇam adhvaryur eva tat kuryāt
8.5.18	yugapatkālān vā nigadān
8.5.19	sādhāraṇadravyāṃś ca saṃskārān
8.5.20	prāguttarāt parigrāhāt kṛtvaikasphyayā vedī anusaṃbhinatti / daksiṇasyā uttarāyai śroṇeḥ prakramyā dakṣiṇād aṃsād uttarasyāḥ
8.5.21	uttarasyāṃ vedyāṃ paśubandhavad uttaravedim upavapati
8.5.22	kāle paśubandhavad gārhapatyād agnī praṇayataḥ
8.5.23	nodyatahomau juhutaḥ
8.5.24	antarā vedī pratiprasthātā pratipadyate / uttareṇottarāṃ vedim adhvaryuḥ
8.5.25	pūrvo 'dhvaryur uttaravedyām agniṃ pratiṣṭhāpayati / jaghanyaḥ pratiprasthātā dakṣiṇasyām
8.5.26	agnīn anvādhāya pṛthak śākhe āharataḥ
8.5.27	tathedhmābarhiṣī
8.5.28	marutyāḥ pratiprasthātā vatsān apākaroti / vāruṇyā adhvaryuḥ
8.5.29	śamīmayyo hiraṇmayyo vā sruvo bhavanti
8.5.30	yathādevataṃ sāyaṃdohau dohayataḥ
8.5.31	sadyaskālā vā varuṇapraghāsāḥ
8.5.32	evaṃ sati laukikena dadhnāmikṣākarma syāt
8.5.33	prātardohavikāram eka āmikṣāpayasyam āhuḥ
8.5.34	nirvapaṇakāla āgneyam aṣṭākapālam iti navottarāṇi havīṃṣi nirvapati
8.5.35	sarve yavā bhavanti
8.5.36	api vā pauṣṇaḥ karambhapātrāṇi meṣāv iti yavānāṃ vrīhīṇām itarāṇi
8.5.37	etasmin kāle pratiprasthātā tūṣṇīṃ karambhapātrārthān yavān nirvapati
8.5.38	yajuṣādhvaryur meṣārthān / meṣyarthān pratiprasthātā
8.5.39	tayor āmikṣāvad daivatam
8.5.40	āmapeṣāṇāṃ patnī karambhapātrāṇi karoti
8.5.41	yāvanto yajamānasyāmātyāḥ sastrīkās tāvanty ekātiriktāni
8.5.42	āmapeṣāṇāṃ meṣapratikṛtī bhavataḥ
8.5.43	meṣam adhvaryuḥ karoti meṣīṃ pratiprasthātā
8.6.1	striyāḥ strivyañjanāni
8.6.2	puṃsaḥ puṃvyañjanāni
8.6.3	api vā pūrvedyur anvāhāryapacane vituṣān iva yavān kṛtvā teṣām īṣadupataptānāṃ patnī karambhapātrāṇi karoti
8.6.4	atrāpi meṣaṃ meṣīṃ ca karotīti vājasaneyakam
8.6.5	aindrāgnaparyantāny adhiśrityaikādaśasu kapāleṣu meṣīm adhiśrayati / aṣṭāsu meṣam
8.6.6	kumbhīpākyau vā bhavataḥ
8.6.7	kāyam ekakapālam adhiśrityāpyebhyo ninīyāgnī praṇayata iti vājasaneyakam
8.6.8	paśuvat saṃpraiṣaḥ / tathājyāni
8.6.9	pṛṣadājye vikāraḥ / mahīnāṃ payo 'sīti pṛṣadājyadhānyāṃ sakṛd ājyaṃ gṛhṇāti / dvir dadhi dvir ājyam
8.6.10	yady u vai śravaṇāyāṃ saṃsṛjya gṛhṇīyāt
8.6.11	udvāsanakāle 'naiḍakībhir ūrṇābhir meṣapratikṛtī lomaśau kurutaḥ
8.6.12	tadabhāve kuśorṇā niśleṣya mārutyāṃ meṣam avadadhāti / vāruṇyāṃ meṣīm
8.6.13	athābhyāṃ śamīparṇakarīrāṇy upavapati paraḥśatāni paraḥsahasrāṇi vā
8.6.14	karaṃbhapātreṣu cānvopyāṣṭāv uttarasyāṃ vedyāṃ havīṃṣy āsādayati
8.6.15	ekāṃ mārutīṃ pratiprasthātā dakṣiṇasyāṃ karambhapātrāṇi ca
8.6.16	atra meṣapratikṛtī vyatiharataḥ
8.6.17	mārutyāṃ meṣīm avadadhāti / vāruṇyāṃ meṣam
8.6.18	paśuvan nirmanthyau sāmidhenyaś ca nava prayājānūyājāḥ
8.6.19	praghāsyān havāmaha iti pratiprasthātā patnīm udānayaty etac ca vācayati
8.6.20	tāṃ pṛcchati patni kati te jārā iti
8.6.21	yān ācaṣṭe tān varuṇo gṛhṇātv iti nirdiśati
8.6.22	yaj jāraṃ santaṃ na prabrūyāt priyaṃ jñātiṃ rundhyāt / asau me jāra iti nirdiśet / nirdiśyaivainaṃ varuṇapāśena grāhayatīti vijñāyate
8.6.23	saṃmṛṣṭa uttaro 'gnir bhavaty asaṃmṛṣṭo dakṣiṇaḥ / athāntarā vedī gatvā yajamānaḥ patnī cottareṇa vottarāṃ vedim aiṣīke śūrpe karambhapātrāṇy opya śīrṣann adhinidhāya purastāt pratyañcau tiṣṭhantau dakṣiṇe 'gnau śūrpeṇa juhutaḥ
8.6.24	mo ṣū ṇa indreti yajamānaḥ puro'nuvākyām anvāha / yad grāma ity ubau yājyām
8.6.25	akran karma karmakṛta iti viparāyantau japataḥ
8.6.26	api vādhvaryuḥ pratiprasthātā vā juhuyāt / anvārabheyātām itarau
8.6.27	atra dakṣiṇam agniṃ saṃmārṣṭi
8.6.28	aindrāgnaparyantaiḥ pracaryāramaty adhvaryuḥ
8.6.29	atha pratiprasthātā pūrveṇa sahāvadānena mārutyāḥ sarvāṃ meṣīm avadyati / uttareṇa śamīparṇakarīrāṇi
8.6.30	atha pracaryāramati
8.6.31	athādhvaryuḥ pūrveṇa sahāvadānena vāruṇyāḥ sarvaṃ meṣam avadyati / uttareṇa śamīparṇakarīrāṇi / atha pracarati
8.7.1	kāyānubrūhi kaṃ yajety ekakapāle saṃpraiṣau
8.7.2	nabhaś ca nabhasyaś ceti caturbhir māsanāmabhir ekakapālam abhijuhoti
8.7.3	tad u haike pṛthag iḍe niravadyanti / tad u tathā na kuryāt / saptānāṃ haviṣāṃ samavadāyādhvaryuḥ pratiprasthātre prayacchati / tasmin pratiprasthātā mārutyā anvavadadhāti
8.7.4	upahūtāṃ prāśnanti
8.7.5	yaḥ pravayā ivarṣabhaḥ sa dakṣiṇā
8.7.6	kāmaṃ tu tato bhūyo dadyāt
8.7.7	dhenur dakṣiṇety eke
8.7.8	parivatsarīṇāṃ svastim āśāste / divyaṃ dhāmāśāsta iti sūktavākasyāśiḥṣu hotānuvartayate / evaṃ yajamāno japati / āśāsa iti mantraṃ saṃnamati
8.7.9	ubau vājinābhyāṃ pracarataḥ
8.7.10	śesau samavanīyottare vihāre pūrvavad bhakṣayanty ā mā viśantv indava ā galgā dhavanīnāṃ rasena me rasaṃ pṛṇa / tasya te vājibhir bhakṣaṃkṛtasyeti samānam
8.7.11	pūrṇapātravarjaṃ pūrvavadiṣṭiṃ saṃsthāpayati
8.7.12	pūrṇapātrasya sthāne saumiko 'vabhṛthaḥ
8.7.13	caturgṛhītāny ājyāni
8.7.14	vāruṇyai niṣkāsena tuṣaiś cāvabhṛtham avayanti
8.7.15	tuṣā ṛjīṣadharmaṃ labhante
8.7.16	vāruṇam ekakapālam eke samāmananti
8.7.17	nāyurdāṃ nābhipravrajanamantraṃ na sāma gāyati
8.7.18	sarvā diśo 'vabhṛthagamanam āmnātam
8.7.19	nodīcīr abhyavetyā ity eke
8.7.20	yāṃ diśaṃ gaccheyus tathāmukhāḥ pracareyur ity eke
8.7.21	vahantīnāṃ sthāvarā abhyavetyāḥ
8.7.22	tadabhāve yāthākāmī
8.7.23	udakānte staraṇāntāṃ vediṃ kṛtvā tasyāṃ havīṃṣi sādayati
8.7.24	api vā na vediḥ
8.7.25	śataṃ te rājan bhiṣajaḥ sahasram ity apo dṛṣṭvā japati
8.7.26	abhiṣṭhito varuṇasya pāśa ity udakāntam abhitiṣṭhante
8.7.27	apaḥ pragāhya tiṣṭhanto 'vabhṛthena caranti
8.7.28	tṛnaṃ prahṛtya srauvam āghārayati
8.7.29	yadi vā purā tṛṇaṃ syāt tasmiñ juhuyāt
8.8.1	agnīd apas triḥ saṃmṛḍḍhīti saṃpreṣyati
8.8.2	āpo vājajito vājaṃ vaḥ sariṣyantīr vājaṃ jeṣyantīr vājinīr vājajito vājajityāyai saṃmārjmy apo annādā annādyāyeti mantraṃ saṃnamati
8.8.3	agner anīkam apa āviveśeti srucyam āghārayati
8.8.4	vāg asy āgneyīty anumantrayate yajamānaḥ
8.8.5	lupyate pravaraḥ
8.8.6	apabarhiṣaḥ prayājān iṣṭvāpsumantāv ājyabhāgau yajati
8.8.7	apsv agna ity eṣā / apsu me somo abravīd antar viśvāni bheṣajā / agniṃ ca viśvaśaṃbhuvam āpaś ca viśvabheṣajīr ity apsumantau
8.8.8	niṣkāsasyāvadāya varuṇam iṣṭvā kṛtsnaṃ niṣkāsam avadāyāgnīvaruṇau sviṣṭakṛdarthe yajati
8.8.9	nottaraṃ kriyate
8.8.10	api vaupabhṛtaṃ juhvām ānīyāpabarhiṣāv anūyājau yajati
8.8.11	devau yajeti prathamaṃ saṃpreṣyati / yajety uttaram
8.8.12	tuṣāṇāṃ sthālīṃ pūrayitvāpsūpamārayati samudre te hṛdayam apsv antar iti
8.8.13	api vā na saumiko 'vabhṛthaḥ / tūṣṇīṃ tuṣaniṣkāsam apsūpavapet
8.8.14	imaṃ viṣyāmīti patnī yoktrapāśaṃ vimuñcate
8.8.15	devīr āpa ity avabhṛthaṃ yajamāno 'bhimantrya sumitrā na āpa oṣadhaya ity apaḥ pragāhya saśiraskāv anupamakṣantau snātaḥ patnī yajamānaś ca
8.8.16	anyo'nyasya pṛṣṭhe pradhāvataḥ
8.8.17	kāmam ete vāsasī yasmai kāmayeyātāṃ tasmai dadyātām / na hi dīkṣitavasane bhavata iti vājasaneyakam
8.8.18	udvayaṃ tamasasparīty ādityam upasthāya pratiyuto varuṇasya pāśa ity udakāntaṃ pratyasitvā samidhaḥ kṛtvāpratīkṣās tūṣṇīm etyaidho 'sy edhiṣīmahīty āhavanīye samidha ādhāyāpo anvacāriṣam ity upatiṣṭhante
8.8.19	atra paurṇamāsyeṣṭvondanādi pūrvavan nivartanam
8.8.20	sarvaṃ vā vāpayet
8.8.21	mantrādir vikriyate / yad gharmaḥ paryavartayad antān pṛthivyā divaḥ / agnir īśāna ojasā varuṇo dhītibhiḥ saha / indro marudbhiḥ sakhibhiḥ saha // agnis tigmeneti samānam
8.8.22	api vā snātvoptvā keśaśmaśrūṇy araṇyor agnīn samāropyodavasāya nirmathya paurṇamāsena yajate
8.8.23	yajño ha vā eṣa yad varuṇaparaghāsā na hy avakalpate yad uttaravedyām agnihotraṃ juhuyād iti vājasaneyakam
8.9.1	tataś caturṣu māseṣu pūrvasmin parvaṇy upakramya dvyahaṃ sākamedhair yajate
8.9.2	agnaye 'nīkavate puroḍāśam aṣṭākapālaṃ nirvapati sākaṃ sūryeṇodyatā
8.9.3	sākaṃ vā raśmibhiḥ pracaranti
8.9.4	siddham iṣṭiḥ saṃtiṣṭhate
8.9.5	marudbhyaḥ sāṃtapanebhyo madhyaṃdine carum
8.9.6	na barhir anupraharati
8.9.7	siddham iṣṭiḥ saṃtiṣṭhate
8.9.8	marudbhyo gṛhamedhibhyaḥ sarvāsāṃ dugdhe sāyaṃ carum
8.9.9	yat sāṃtapanasya barhis tad gṛhamedhīyasya
8.9.10	api vā nedhmābarhir bhavati / na sāmidhenīr anvāha / na prayājā ijyante nānūyājāḥ
8.9.11	ayajuṣkeṇa vatsān apākṛtyāpavitreṇa gā dohayati
8.9.12	sa vai khalu parṇaśākhayā vatsān apākṛtya pavitrayati saṃdohya yathaitad amāvāsyāyāṃ kriyate taṃ caruṃ śrapayatīty eke
8.9.13	agnīn anvādhāya vedaṃ kṛtvāgnīn paristīrya pāṇiprakṣālanādi karma pratipadyate / yathārthaṃ pātrāṇi prayunakti
8.9.14	sthālīṃ kapālānāṃ sthāne
8.9.15	nirvapaṇakāle
8.10.1	caturo muṣṭīn nirupya bahv anvāvapati
8.10.2	kapālānām upadhānakāle prathamena kapālamantreṇa carum upadadhāti / dhruvo 'sīti mantraṃ saṃnamati / piṣṭānām utpavanakāle taṇḍulān utpunāti
8.10.3	adhiśrayaṇakāle prātardohavat sarvā yajamānasya gā dohayitvā tasmiñ chrapayati
8.10.4	saṃpraiṣakāle yad anyad idhmābarhiṣas tat saṃpreṣyati / ājyagrahaṇakāle dhruvāyām eva gṛhṇāti
8.10.5	prokṣaṇīr abhimantrya brahmāṇam āmantrya vediṃ prokṣya prokṣaṇīśeṣaṃ ninīya pavitre apisṛjyāntarvedi vidhṛtī nidhāya dhruvāṃ sruvaṃ ca sādayati
8.10.6	etāv asadatām iti mantraṃ saṃnamati
8.10.7	udvāsanakāle śaraṃ nidhāya yāvanto yajamānasyāmātyās tāvata odanān uddharati
8.10.8	ato bhūyaso yadi bahur odano bhavati
8.10.9	uddhṛtān utpūtān alaṃkṛtān abhighāritān āsādayati
8.10.10	dakṣiṇāgnau patnyāḥ prativeśam odanaṃ pacati
8.10.11	taṃ nābhighārayati
8.10.12	dvayor uddharaṇaṃ vājasaneyinaḥ samāmananti / dakṣiṇād eva maruto gṛhamedhino yajati
8.11.1	uttarasmāt sviṣṭakṛtam
8.11.2	odanayor nimne kṛtvā tatrājyam ānīya tata ājyārthān kuruta ājyasthālyā veti vājasaneyakam
8.11.3	evaṃ kurvan na dhruvāyāṃ gṛhṇīyāt
8.11.4	ājyabhāgābhyāṃ pracarya juhvām upastīrya sarvataḥ samavadāya maruto gṛhamedhino yajati
8.11.5	sarveṣām uttarārdhāt sakṛtsakṛd avadāyāgniṃ sviṣṭakṛtam
8.11.6	na prāśitraṃ na yajamānabhāgam
8.11.7	iḍāntaḥ saṃtiṣṭhate
8.11.8	ye yajamānasyāmātyā havirucchiṣṭāśās ta odanaśeṣān prāśnanti / ṛtvijo 'nye vā brāhmaṇāḥ
8.11.9	prāśnanti brāhmaṇā odanaṃ yaḥ sthālyām
8.11.10	suhitā etāṃ rātriṃ vasanti pratītā anavartimukhinaḥ
8.11.11	prativeśā api pacante
8.11.12	gā abhighnate
8.11.13	āñjate 'bhyañjate
8.11.14	anu vatsān vāsayanti
8.11.15	aniṣkasitāṃ sthālīṃ nidadhāti
8.11.16	apramṛṣṭaṃ darvyudāyuvanam anvavadadhāti
8.11.17	parācīnarātre 'bhivānyāyā agnihotryai ca vatsau badhnāti
8.11.18	vyuṣṭāyāṃ purāgnihotrāt pūrṇadarvyeṇa caranti / hute vā
8.11.19	śaraniṣkāsasya darvīṃ pūrayitvarṣabham āhūya tasya ravate pūrṇā darvi parāpatety anudrutyottarayā gārhapatye juhuyāt
8.11.20	yady ṛṣabho na rūyād brahmā brūyāj juhudhīti
8.11.21	yasya ravate juhoti tāṃ dakṣiṇāṃ dadāti
8.11.22	marudbhyaḥ krīḍibhyaḥ svatavadbhyo vā puroḍāśaṃ saptakapālaṃ nirvapati / sākaṃ sūryeṇodyatā sākaṃ vā raśmibhiḥ pracaranti / siddham iṣṭiḥ saṃtiṣṭhate
8.12.1	tato mahāhaviṣas tantraṃ prakramayati
8.12.2	tasya vāruṇapraghāsikenottareṇa vihāreṇa kalpo vyākhyātaḥ
8.12.3	nirvapaṇakāla āgneyam aṣṭākapālam ity aṣṭāv uttarāṇi havīṃṣi nirvapati
8.12.4	aindrasya caroḥ sthāna indrāya vṛtraghne carum eke samāmananti // agne ver hotraṃ ver dūtyam ūrdhvo adhvare sthāt / avatāṃ tvā dyāvāpṛthivī ava tvaṃ dyāvāpṛthivī / sviṣṭakṛd indrāya devebhyo bhava juṣāṇo asya haviṣo ghṛtasya vīhi svāheti srucyam āghārayati // vāg asy āgneyīty anumantrayate yajamānaḥ
8.12.5	sahaś ca sahasyaś ceti caturbhir māsanāmabhir ekakapālam abhijuhoti / dhenur dakṣiṇarṣabho vā pravayāḥ / idāvatsarīṇāṃ svastim āśāste / divyaṃ dhāmāśāsta iti sūktavākasyāśiḥṣu hotānuvartayate / evaṃ yajamāno japati / āśāsa iti mantraṃ saṃnamati
8.12.6	aindrāgnatuṣān apsu pratipādayati
8.12.7	siddham iṣṭiḥ saṃtiṣṭhate
8.13.1	tadānīm eva pitṛyajñasya tantraṃ prakramayati
8.13.2	vedaṃ kṛtvāgreṇānvāhāryapacanaṃ yajamānamātrīṃ catuḥsraktiṃ vediṃ karoti
8.13.3	pratidiśaṃ sraktayo 'vāntaradeśān prati madhyāni
8.13.4	uddhatā khātā bhavati
8.13.5	na prācī vedir uddhatyā / pitṛyajño hi / na dakṣiṇā / yajño hi / ubhe diśāv antaroddhatyā / ubhaye hi devāś ca pitaraś cejyanta iti vijñāyate
8.13.6	ye ke ca devasaṃyuktā mantrā devebhyaḥ pitṛbhya iti tān saṃnamati / yathā bhavati pṛthivi devapitṛyajanīti
8.13.7	avikāro vā paravākyaśravaṇāt
8.13.8	prāguttarāt parigrāhāt kṛtvā dakṣiṇāgner agnim āhṛtya madhye vedyā upasamādadhāti
8.13.9	etasmin pitṛyajña āhavanīyakarmāṇi kriyante
8.13.10	agnīn anvādhāyedhmābarhir āharati
8.13.11	samūlaṃ barhir dāti
8.13.12	upamūlalūnaṃ vā
8.13.13	varṣīyān arthād idhmo drāghīyāṃś ca
8.13.14	agnīn paristīrya pāṇiprakṣālanādi karma pratipadyate / yathārthaṃ pātraprāyogaḥ
8.13.15	nirvapaṇakāle sarvato vediṃ pariśrityottareṇa dvāraṃ kṛtvā dakṣiṇataḥ prācīnāvītī havīṃṣi nirvapati / uttarato vā / yajñopavītī somāya pitṛmata iti yathāsamāmnātam
8.13.16	athaikeṣām / somāya pitṛmata ājyaṃ pitṛbhyo barhiṣadbhyaḥ ṣaṭkapālaṃ pitṛbhyo 'gniṣvāt tebhyo dhānā agnaye kavyavāhanāya yamāya vā manthaṃ yamāyāṅgirasvate pitṛmate
8.13.17	udakumbhaḥ prokṣaṇībhājanaṃ bhavati
8.13.18	prokṣaṇyudrekeṇa yavān saṃyutya triṣphalīkṛtāṃs taṇḍulān vibhāgamantreṇa vibhajya dhānārthān nidhāyetarān piṣṭāni kṛtvā dakṣiṇārdhe gārhapatyasya ṣaṭkapālāny upadhāya dakṣiṇāgnau prathamena kapālamantreṇa dhānārthaṃ kapālam adhiśrayati
8.13.19	adhiśrayaṇakāle 'dhiśrayaṇamanatreṇa taṇḍulān opya bahurūpā dhānāḥ karoti
8.13.20	vidahyamānāḥ pariśerata iti vijñāyate
8.14.1	saṃpraiṣakāle patnīvarjaṃ saṃpreṣyati
8.14.2	ājyagrahaṇakāla uttareṇa gārhapatyaṃ caturgṛhītāny ājyāni gṛhṇāti
8.14.3	prokṣaṇīnām abhimantraṇādi karma pratipadyate
8.14.4	staraṇakāle barhiṣā triḥ prasavyaṃ vediṃ stṛṇan paryeti
8.14.5	auddhavān dhārayamāṇas trir astṛṇan pratiparyeti
8.14.6	auddhavaḥ prastaraḥ
8.14.7	prastarasya grahaṇasādane tūṣṇīm
8.14.8	na vidhṛtī
8.14.9	dvau paridhī paridadhāti
8.14.10	madhyamottarau
8.14.11	sarvān vā
8.14.12	yadi sarvān āvāhanakāle paridhīṁr aporṇv iti vābhijñāya dakṣiṇaṃ madhyame paridhāv upasamasyet
8.14.13	udvāsanakāle dhānā udvāsya vibhāgamantreṇa vibhajyārdhā ājyena saṃyauti
