1.1.1	Prajāpati is the year;
7.8.1	Then follow the imprecations.
7.8.2	One should know that breath is the beam.
7.8.3-4	If one who calls this breath the beam should revile another, if he think himself strong, he says, 'Thou hast grasped breath, the beam. Thou canst not be fain to grasp breath, the beam.'
7.8.5	Then he should say to him, 'Breath, the beam, will forsake thee.'
7.8.6	Again, if he think himself weak, he should say, ' Thou hast been fain to grasp breath, the beam. That thou hast not been able to grasp. Breath, the beam, will forsake thee.'
7.8.7	But whatever, whether speaking or not, he says to him, it is ceṛtain that it shall be accomplished.
7.8.8	He should not, however, say anything save what is favourable to a Brāhmaṇa. Only in exceeding prosperity may he speak thus to a Brāhmaṇa. ' Not even in exceeding prosperity. Let there be honour to Brāhmaṇas,' says Sauravīra Māṇḍukeya.
7.9.1	If another revile him who calls breath the beam, if he think him strong, he says, 'I have been fain to grasp breath, the beam; thou canst not be fain to grasp it.'
7.9.2	Then he should say to him, 'Breath, the beam, will forsake thee.'
7.9.3-4	Again, if he think him weak, he should say to him, 'Thou hast been fain to grasp breath, the beam. That thou hast not been able to grasp. Breath, the beam, will forsake thee.'
7.9.5	But whatever, whether speaking or not,' he says to him, it is ceṛtain that it shall be accomplished.
7.9.6	He should not, however, say anything save what is favourable to a Brāhmaṇa. Only in exceeding prosperity may he speak thus to a Brāhmaṇa. ' Not even in exceeding prosperity. Let there be honour to Brāhmaṇas,' says Sauravīra Māṇḍukeya.
7.10.1	Then follow the declarers of the Nirbhuja.
7.10.2	The Nirbhuja rests on earth, the Pratrnna on heaven, the Ubhayamantarena on the atmosphere.
7.10.3-4	If a man who recites the Nirbhuja revile another, he should say to him, 'Thou hast offended earth, the deity; earth, the deity, will punish thee.'
7.10.5	If a man who recites the Pratrnna revile another, he should say to him, 'Thou hast offended heaven, the deity; heaven, the deity, will punish thee.'
7.10.6	If a man who recites the Ubhayamantarena revile another, he should say thus to him, 'Thou hast offended the atmosphere, the deity; the atmosphere, the deity, will punish thee.'
7.10.7	For when he manifests the Sandhi, that is the form of the Nirbhuja;
7.10.8	when he utters the two syllables in their natural form, that is the form of the Pratrnna and the original;
7.10.9	in the Ubhayamantarena both are included.
7.10.10	He who desires proper food should recite the Nirbhuja; who desires heaven, the Pratrnna; who desires both, the Ubhayamantarena.
7.10.11	Again, if he who recites the Nirbhuja revile another,he should say to him, 'Thou hast fallen from the two lower stations.'
7.10.12	If he who recites the Pratrnna revile another, he should say to him, 'Thou hast fallen from the two higher places,'
7.10.13	But for him who recites the Ubhayamantarena there is no rebuke possible.
7.10.14	But whatever, whether speaking or not, he says to him, it is ceṛtain that it shall be accomplished. He should not, however, say anything save what is favourable to a Brāhmaṇa. Only in exceeding prosperity may he speak thus to a Brāhmaṇa. 'Not even in exceeding prosperity.
7.10.15	Let there be honour to Brāhmaṇas,' says Sauravīra Māṇḍukeya.
7.11.1	Then the reciters of the Nirbhuja say,
7.11.2	'The first syllable is the symbol of the former, the latter of the latter.
7.11.3	That which is between the letters y and v is the union.'
7.11.4	He who knows thus this union is united with children, cattle, glory, holiness, the world of heaven. He lives all his days.
7.12.1	'Then we say, "we are reciters of the Nirbhuja,"' says Hrasva Māṇḍukeya,
7.12.2	'the first syllable is the symbol of the former, the latter of the latter.
7.12.3	The mora between the former and latter forms, that by which one makes diṣṭinct the Sandhi, that by which one diṣṭinguishes what is a mora and what is not, that by which one diṣṭinguishes accent from accent, that is the union.'
7.12.4	He who knows thus this union is united with children, cattle, glory, holiness, the world of heaven. He lives all his days.
7.13.1	Then says his son Madhyama, the son of Prātibodhī, who lived in Magadha, 'The first syllable is the symbol of the former, the latter of the latter.
7.13.2	The mora which declares the Sandhi is the gliding. I recognise the gliding as the union.'
7.13.3-5	That is declared in a Ṛc: Give us not up to those who, foes in ambuscade, are greedy for the wealth of him who sits at ease, Who cherish in their heart abandonment of gods. Bṛhaspati, the Sāman is the highest known.'
7.13.6	He who knows thus this union is united with children, cattle, glory, holiness, the world of heaven. He lives all his days.
7.14.1	'Speech is united with breath,' says Kauṇṭharavya,
7.14.2	'breath with the blowing (air), the blowing (air) with the all-gods, the all-gods with the world of heaven, the world of heaven with Brahman. This is the progressive union.'
7.14.3	He who knows thus this union, even so is united with children, cattle, glory, holiness, the world of heaven, like this progressive union.
7.14.4	If, at the instigation of another or for his own sake, he recites, then in reciting he should know 'The union has gone to heaven; of him who knows the gods,' so will it be for his reciting.'
7.14.5	This, indeed, is it by this progress.
7.15.1	'The mother is the form of the former, the father of the latter. The child is the union,' says Bhāṛgava.
7.15.2	All that is declared to be one.
7.15.3	For the mother and the father and the child are this all.
7.15.4	This is the Aditi union.
7.15.5	For Aditi is this all, whatever this universe is.
7.15.6	This is declared in a Ṛc: 'Aditi is the heaven, Aditi atmosphere, Aditi is the mother, the father, and the son,
7.15.7	Aditi is all gods, Aditi the five races, Aditi all that hath been born and shall be born.'
7.15.8	He who knows thus this union is united with children, cattle, glory, holiness, the world of heaven. He lives all his days.
7.16.1	'The wife is the symbol of the former, the husband of the latter. The son is the union, the seed the joining, the begetting the joiner,' says Sthavira Śākalya.
7.16.2	This is the Prajāpati union.
7.16.3	He who knows thus this union is increased with children, cattle, glory, holiness, the world of heaven. He lives all his days.
7.17.1	'Offspring is the symbol of the former, faith of the latter. Action is the union, truth the joiner,' says Kaśyapa.
7.17.2	This is the truth union.
7.17.3	They say the gods are of true unions.
7.17.4	He who knows thus this union is united with children, cattle, glory, holiness, the world of heaven. He lives all his days.
7.18.1	'Speech is the union,' says Pañcālacanda.
7.18.2	By speech, indeed, the Vedas are united, by speech the metres, by speech he unites friends.
7.18.3-4	When he studies or speaks, then breath is in speech, then speech absorbs breath.
7.18.5	Again, when he sleeps or is silent, then speech is in breath, then breath absorbs speech; they absorb each other.
7.18.6	This is declared in a Ṛc: 'One of these birds hath passed into the sea of air; thence he looks round and views this universal world.
7.18.7-8	With simple heart I have beheld him close at hand; his mother him absorbs, and her he too absorbs.'
7.18.9	Speech, indeed, is the mother, breath the child.
7.18.10	He who knows thus this union is united with children, cattle, glory, holiness, the world of heaven. He lives all his days.
7.19.1	'The union is made by the symbol of Bṛhat and Rathantara,' says Taṛksya.
7.19.2	Speech, indeed, is the symbol of the Rathantara, breath of the Bṛhat.
7.19.3	By both, indeed, is the union made, by speech and breath.
7.19.4	For the sake of this Upanisad one watches cows for a year,' says Taṛksya.
7.19.5	He who knows thus this union is united with children, cattle, glory, holiness, the world of heaven. He lives all his days.
7.20.1	'Movement is the symbol of the former, stopping of the latter. Rest is the union,' says Jāratkārava Āṛtabhāga.
7.20.2	In this union there are united dhvaṃsis, nimeṣas, kāṣṭhās, seconds, minutes, hours, days and nights, half-months, months, seasons, and years.
7.20.3	This union unites these times;
7.20.4	time unites movement, stopping, and rest.
7.20.5	By movement, stopping, and rest, all this is united.
7.20.6	So far as regards the deities.
7.20.7	Now as regards the self. The past is the symbol of the former, the future of the latter. The present is the union. This is the time union.
7.20.8	This is declared in a Ṛc:— 'Great is that secret name, and far extending, whereby thou madest all present and future.
7.20.9-10	The light he loveth that was made aforetime, the five tribes whom he loveth well have entered.'
7.20.11	He who knows thus this union is united with children, cattle, glory, holiness, the world of heaven. He lives all his days.
7.21.1	Then follows the saying of Vāliśikhāyani.
7.21.2	'There are, then, five gross elements,' says Vāliśikhāyani,
7.21.3	'the earth, wind, ether, water, light. These are united with each other.
7.21.4	Again, the others, the small ones, are united with the gross elements. This is the union of all elements.
7.21.5	He who knows thus this union is united with children, cattle, glory, holiness, the world of heaven. He lives all his days.
7.22.1	'The whole of speech is Brahman,' says Lauhikya.
7.22.2	Whatever sounds there are, let him know to be speech.
7.22.3	This a Ṛṣi declares :— 'I with the Rudras and the Vasus fare.'
7.22.4	This speech is all sounds.
7.22.6	He who knows thus this union is united with children, cattle, glory, holiness, the world of heaven. He lives all his days.
8.1.1	Om. 'Breath is the beam,' says Sthavira Śākalya.
8.1.2	'Just as all the other beams rest on the main-beam, so the whole self rests on this breath.
8.1.3	Of this self breath is the symbol of the sibiḍānts, the bones of the mutes, the marrow of the vowels, the flesh and blood, the fourth element, of the semi-vowels.'
8.1.4	'But we have heard of a triad only,' says Hrasva Māṇḍukeya.
8.1.5	Of this triad, on one side there are three hundred and sixty joinings, on the other the same; these make up seven hundred and twenty.
8.1.6	Seven hundred and twenty, indeed, are the days and nights of the year.
8.1.7	Thus he obtains the days and nights of the year.
8.1.8	This is the self, commensurate with the year, composed of the eye, the ear, the metres, the mind, speech.
8.1.9	He who knows thus this self, commensurate with the year, composed of the eye, the ear, the metres, the mind, speech, wins union, and communion with the year, residence in the same world, and simiḍārity of form.
8.1.10	He becomes rich in sons and cattle. He lives all his days. So taught Āruṇikeya.
8.2.1	Then follows (the teaching of) Kauṇṭharavya.
8.2.2	There are three hundred and sixty letters,
8.2.3	three hundred and sixty sibiḍānts,
8.2.4	three hundred and sixty unions.
8.2.5	What we have called letters, they are the days.
8.2.6	What we have called sibiḍānts, they are the nights.
8.2.7	What we have called unions, they are the unions of days and nights.
8.2.8	So far as regards the deities.
8.2.9	Now as regards the self. What we have called letters as regards the deities, these are bones as regards the self.
8.2.10	What we have called sibiḍānts as regards the deities, these are marrow as regards the self.
8.2.11	This indeed is the chief breath, marrow. This is seed. Without breath, indeed, seed cannot be won.
8.2.12	If without breath seed were effused, it would decay, it would not be productive.
8.2.13	What we have called unions as regards the deities, these are joints as regards the self.
8.2.14	Of this triad, bones, marrow, joints, on this side there are five hundred and forty unions, on that side the same;
8.2.15	this makes a thousand and eighty.
8.2.16	One thousand and eighty Bṛhati verses the singers produce on this day as the (hymn of the) day.
8.2.17	This is the self, commensurate with the day, composed of the eye, the ear, the metres, the mind, speech.
8.2.18	He who knows thus this self, commensurate with the day, composed of the eye, the ear, the metres, the mind, speech, wins union and communion with the days, residence in the same world, and simiḍārity of form.
8.2.19	He becomes rich in cows and cattle. He lives all his days.
8.3.1	'There are four persons,' says Vātsya, 'the person of the body, the person of the metres, the person of the Vedas, the great person.'
8.3.2	What we have called the person of the body is the corporeal self. Of it the essence is this incorporeal intelligent self.
8.3.3	What we have called the person of the metres is the alphabet.
8.3.4	Of it the letter a is the essence.
8.3.5	What we have called the person of the Vedas is that by which one knows the Vedas, the Ṛgveda, the Yajurveda, the Sāmaveda. Of it the Brahman (n.) is the essence.
8.3.6	Therefore one should take as priest a Brahman priest fullest of Brahman, who can know the unusual in the sacrifice.
8.3.7	What we have called the great person is the year. Of it yonder sun is the essence.
8.3.8	The incorporeal intelligent self here and yonder sun are the same, so one should know.
8.3.9	This is declared in a Ṛc.—
8.4.1	'The brilliant presence of the gods has risen, the eye of Mitra, Varuṇa, and Agni.
8.4.2-3	The soul of all that moveth not or moveth, the sun hath filled the air and earth and heaven.'
8.4.4	'Thus do I deem the union duly made,' says Vātsya. Him the BahvṚcas seek in the Mahad Uktha, him the Adhvaryus in the fire, him the Chandogas in the Mahāvrata, him on earth, him in the atmosphere, him in the heaven, him in the fire, him in the wind, him in the moon, him in the Nakṣatras, him in the waters, him in the plants, him in all beings, him in the letters, him they worship as Brahman.
8.4.5	This is declared in a Ṛc.-
8.5.1	'Looking upon the loftier light above the darkness we have come
8.5.2-3	To Sūrya, god among the gods, the light that is most excellent.'
8.5.4	This is the self, commensurate with the letters, composed of the eye, the ear, the metres, the mind, speech.
8.5.5-6	He who thus this self, commensurate with the letters, composed of the eye, the ear, the metres, the mind, speech, recites to another, his Vedas lose their savour, he has no part in speech, no part in what is studied.
8.5.7	This is declared in a Ṛc.—
8.6.1	'No part in speech hath he who hath abandoned his own dear friend who knows the truth of friendship.
8.6.2-3	Even if he hears him, still in vain he listens; naught knows he of the path of righteous action.'
8.6.4-5	In his study there is no part of speech, so he says. Therefore one should not recite (the litany of) that day for another, nor pile up the fire, nor celebrate the Mahāvrata, lest he be torn away from his self.
8.6.6	'This incorporeal self here and yonder sun are one,' we have said. When these two are seen apart,
8.7.1	The sun appears like the moon, its rays do not shine forth,
8.7.2	the sky is leaden like madder,
8.7.3	the anus is gaping,
8.7.4	'the self is on the point of death, it will not live long,' so one should know.
8.7.5	Whatever he considers should be done, he should do.
8.7.6-7	Again, if he sees himself in a mirror or water with a crooked head or without a head, or cannot see himself, he should know that it is so.
8.7.8	Again, if his shadow is pieṚced, or he throws no shadow, he should know that it is so.
8.7.9	Again, if the sun appears pieṚced like the nave of a chariot wheel, he should know that it is so.
8.7.10	Again, if the fire appears black like the neck of a peacock, or if amid a laṛge cloud he should see as it were brightness, or when there is no cloud see lightning,
8.7.11	or in cloudy weather see it not,
8.7.12	he should know that it is so.
8.7.13	Again, if closing his eyes he does not see motes, as it were, he should know that it is so.
8.7.14	Again, if he shut his ears and listen,
8.7.15	and does not then hear a noise as of burning fire or the sound of a chariot, he should know that it is so.
8.7.16	Again, if the pupils of the eyes appear inverted or doubly crooked, or cannot be seen, he should know that it is so.
8.7.17	'The unheard, unthought, unknown, unseen, undirected, soundless hearer, thinker, knower, seer, director, sounder, the inner self of all beings, he is my soul,' so should one know.
8.7.18	He departing enters into this incorporeal intelligent self, and abandons the other corporeal self.
8.7.19	This is the Upanisad of speech as a whole.
8.7.20-21	All these, indeed, are Upaniṣads of speech as a whole, but this one they call so especially.
8.8.1	The mutes are the form of earth, the sibiḍānts of the atmosphere, the vowels of the heaven.
8.8.2	The mutes are the form of Agni, the sibiḍānts of Vāyu, and the vowels of Āditya.
8.8.3	The mutes are the form of the Ṛgveda, the sibiḍānts of the Yajurveda, the vowels of the Sāmaveda.
8.8.4	The mutes are the form of the Rathantara, the sibiḍānts of the Vamadevya, the vowels of the Bṛhat.
8.8.5	The mutes are the form of expiration, the sibiḍānts of inspiration, the vowels of Vyāna.
8.8.6	The mutes are the form of expiration, the sibiḍānts of inspiration, the vowels of mind. 'The mutes are the form of expiration, the sibiḍānts of inspiration, the vowels of Udana,' says Punardatta.
8.8.7	He, indeed, knows speech as a whole who knows this.
8.9.1	Again, there is this divine lute. That human lute is an imitation of it.
8.9.2	As this has a sounding-boardand is tightly strung, so has that a sounding-board and is tightly strung.
8.9.3	As this has a head, so that has a head.
8.9.4	As this has a spine, so that has a bridge.
8.9.5	As this has a belly, so that has a cavity.
8.9.6	As this has mouth, nose, and eyes, so that has holes.
8.9.7	As this has joints, so that has finger-catches and covers.
8.9.8	As this has fingers, so that has strings.
8.9.9	As this has a tongue, so that has a sounder.
8.9.10	As this has sounds, so that has sounds.
8.9.11	As this is covered with a hairy skin, so that is covered with a hairy skin.
8.9.12	For with a hairy skin they used of old to cover lutes.
8.9.13	This is the divine lute.
8.9.14	He who knows thus this divine lute becomes exceedingly famous; his renown fills the earth; men hearken to him when he speaks in the assemblies, (saying), 'Let this be done which he desires.' Where Aryan speech is uttered they know him there.
8.10.1	Then follows the saying of Tandavindava.
8.10.2	As a lute struck by an unskilled player fulfils not the full purpose of a lute, so speech set in motion by an unskilled speaker fulfils not the full purpose of speech.
8.10.3	As a lute struck by a skilled player fulfils the full purpose of a lute, so speech set in motion by a skilled speaker fulfils the full purpose of speech.
8.10.4	'Of this lute the splendour is the union,' says the son of Kātyāyanī, Jātūkarṇya.
8.10.5	Now Kṛtsna Hārīta sets forth a Brāhmaṇa.
8.11.1	Prajāpati having created creatures fell to pieces. He united himself by means of the metres.
8.11.2	Because he united himself by means of the metres, there is the union.
8.11.3	Of this union the letter na is strength, the letter sa breath, the self the union.
8.11.4	As for this modification (in which gross are) combined with minute (elements), they are nails, hairs, consonants.
8.11.5	If he should be in doubt whether to say it with a na or without a na, let him say it with a na.
8.11.6	So if he should be in doubt whether to say it with a sa or without a sa, let him say it with the sa.
8.11.7	Knowing these two letters na and sa one should study the Ṛc verses according to the Saṃhitā text. Let him know that it is lifegiving.
8.11.8	Again, speech is the Itihāsapurāṇa, and whatever else there is of holy work; this should one study; let him know this also (to be lifegiving).
8.11.9	'In that we study the Ṛc verses according to the Saṃhitā and speak forth the recitation of Māṇḍukeya, so we secure the letters na and sa,' says Hrasva Māṇḍukeya.
8.11.10	Again, 'In that we study the Ṛc verses according to the Saṃhitā and learn the recitation, so we secure the letters na and sa,' says Sthavira Śākalya.
8.11.11	Knowing that the Kāvaṣeyas say, 'For what purpose shall we sacrifice, for what purpose shall we study ? For in speech we offer breath, in breath speech. The souṚce is also the scene of disappearance.'
8.11.12	' These Saṃhitās one should not proclaim to one who is not a pupil, who is not a pupil for a year, who is not a student, who is not a knower of the Vedas, who is not to be a teacher,' so say the teachers.
9.1.1	Om.
9.1.2-3	We crave of Savitṛ the god this treasure much to be enjoyed.
9.1.4-5	The best, all-yielding, conquering gift of Bhaga gladly we would win.
9.1.6-7	May we attain the excellent glory of Savitṛ the god:
9.1.8	So may he stimulate our prayers.
9.1.9-10	Mind undeceived, living eye, sun best of lights. Consecration harm me not.
9.2.1	He who knows the highest and best becomes highest and best among his own (people).
9.2.2	Breath indeed is the highest and best.
9.2.3	He who knows the most excellent becomes the most excellent among his own (people). 
9.2.4	He who knows the support finds support both in this world and in that. The eye indeed is support.
9.2.5	He who knows obtainment, his desires are obtained together for him. The ear indeed is obtainment.
9.2.6	He who knows the resort becomes the resort of his own (people). Mind indeed is the resort.
9.2.7	These deities approached Prajāpati and said, 'Who indeed is the best of us ?'
9.2.8	Prajāpati said, 'He is the best on whose departure the body considers itself worst as it were.'
9.3.1	Speech departed.
9.3.2	They were like dumb men, speechless, breathing with breath, seeing with the eye, hearing with the ear, thinking with the mind.
9.4.1	Sight departed.
9.4.2	They were like blind men, sightless, breathing with breath, speaking with speech, hearing with the ear, thinking with the mind.
9.5.1	Hearing departed.
9.5.2	They were like deaf men, devoid of hearing, breathing with breath, speaking with speech, seeing with the eye, thinking with the mind.
9.6.1	Mind departed.
9.6.2	They were like infants, without mind, breathing with breath, speaking with speech, seeing with the eye, hearing with the ear.
9.7.1	Breath departed.
9.7.2	Then just as a fine steed from the Indus strains the pin of his hobbles,so he strained the breaths.
9.7.3	They assembled and said, 'Lord, depart not.'
9.7.4	Breath said, 'What will be my food ?'
9.7.5	'All there is up to dogs, up to birds.'
9.7.6	'What will be my clothing ?' 'The waters,' they replied.
9.7.7	Therefore a man about to eat purifies himself before and after with water.
9.7.8	He is eager to take his clothing, for he is not naked.
9.7.9	This Satyakāma Jābala declared to Gośruta Vaiyāghrapādya and said,
9.7.10	'If one declared this to a dry stump, there would arise from it branches, there would spring up blossoms.'
9.7.11	'Spring forth, tree, with a hundred blossoms. Harm not the sky, harm not the atmosphere,' says Yājñavālkya.
9.8.1	Now if one desires to obtain something impoṛtant, after consecrating himself for three nights, on the night of new moon, having mixed with curds and honey a mess of all sorts of herbs, having built up the fire, having swept (the place of sacrifice), having scattered (grass) about, having sprinkled water, bending the right knee, he places the mess in a vessel to the north of the fire, sacrifices, and pours into the mess the remainder of the oblation.
9.8.2	'Svadhā to the highest and best,' (with these words) having sacrificed in the fire, he should pour the rest into the mess.
9.8.3	'Svadhā to support,' (with these words) having sacrificed in the fire, he should pour the rest into the mess.
9.8.4	'Svadhā to obtainment,' (with these words) having sacrificed in the fire, he should pour the rest into the mess.
9.8.5	Having eaten, (repeating) by quarter-verses ' We crave of Savitṛ,' he sips, (repeating) by quarter-verses 'The excellent (glory) of Savitṛ,' the fourth being accompanied by the Vyāhṛtis. Then he washes the vessel and goes to rest on a skin or on the bare ground.
9.8.6	If he sees a woman, he should know that his rite is successful.
10.1.1-2	Then follows the internal Agnihotṛa relating to the self. So they describe it.
10.1.3	These deities, indeed, are established in man; fire in speech, wind in breath, sun in the eye, moon in the mind, the quarters in the ear, the waters in the seed.
10.1.4	In all of these is offering made by him who knowing this eats and drinks and makes to eat and drink.
10.1.5	He eats, he drinks, he delights, he causes delight.
10.2.1	He delighted delights speech,
10.2.2	speech delighted delights fire,
10.2.3	fire delighted delights earth,
10.2.4	earth delighted whatever is covered by earth. Present, future, past, all that he delights,
10.2.5	who knowing this eats and drinks and makes to eat and drink. He eats, he drinks, he delights, he causes delight.
10.3.1	He delighted delights breath,
10.3.2	breath delighted delights wind,
10.3.3	wind delighted delights ether,
10.3.4	ether delighted all that is covered by ether. Present, future, past, all that he delights,
10.3.5	who knowing this eats and drinks and makes to eat and drink. He eats, he drinks, he delights, he causes delight.
10.4.1	He delighted delights the eye,
10.4.2	the eye delighted delights the sun,
10.4.3	the sun delighted delights the sky, the sky delighted whatever is covered by the sky. Present, future, past, all that he delights,
10.4.4	who knowing this eats and drinks and makes to eat and drink. He eats, he drinks, he delights, he causes delight.
10.5.1	He delighted delights the mind,
10.5.2	the mind delighted delights the moon,
10.5.3	the moon delighted delights the Nakṣatras,
10.5.4	the Nakṣatras delighted delight the months,
10.5.5	the months delighted delight the half-months,
10.5.6	the half-months delighted delight the days and nights,
10.5.7	the days and nights delighted delight the seasons,
10.5.8	the seasons delighted delight the year,
10.5.9	the year delighted whatever is covered by the year. Present, future, past, all that he delights,
10.5.10	who knowing this eats and drinks and makes to eat and drink. He eats, he drinks, he delights, he causes delight.
10.6.1	He delighted delights the ear,
10.6.2	the ear delighted delights the quarters,
10.6.3	the quarters delighted delight the intermediate quarters,
10.6.4	the intermediate quarters what is covered by the intermediate quarters. Present, future, past, all that he delights,
10.6.5	who knowing this eats and drinks and makes to eat and drink. He eats, he drinks, he delights, he causes delight.
10.7.1	He delighted delights seed,
10.7.2	seed delighted delights the waters,
10.7.3	the waters delighted delight the rivers,
10.7.4	the rivers delighted delight the ocean,
10.7.5	the ocean delighted whatever is covered by the ocean. Present, future, past, all that he delights,
10.7.6	who knowing this eats and drinks and makes to eat and drink. He eats, he drinks, he delights, he causes delight.
10.8.1	He delighted is the tenfold, Virāj-like, Agnihotṛa.
10.8.2	His expiration is the Āhāvaniya (fire),
10.8.3	his inspiration the Gārhapatya, his Vyāna the Anvāhāryapacana, his mind the smoke, his anger the flame, his teeth the coals, his faith the milk, his speech the brand, his truth the oblation, his intelligent self the essence.
10.8.4	That Virāj-like, tenfold, Agnihotṛa is offered.
10.8.5	Him it sends to the world of heaven, which is mounted by these two ascents, who knowing this eats and drinks and makes to eat and drink.
10.8.6	Now if one, knowing not this Agnihotṛa, sacrifices, it is with him as though he pushed aside the coals and made oblation in the ashes.
11.1.1	Prajāpati elevated this person.
11.1.2	In him he made these deities to dwell, in his speech fire, in his expiration wind, in his inspiration the lightning, in his Udana Parjanya, in his eye the sun, in his mind the moon, in his ear the quarters, in his body the earth, in his seed the waters, in his strength Indra, in his anger Iśāna, in his head the ether, in his self Brahman (n.).
11.1.3	As a great jar of ambrosia stands swelling, so he stood.
11.1.4	Then these deities considered, 'What shall this person do with us, or what we with him?
11.1.5	Come, let us depart from the body.'
11.1.6	They departed.
11.1.7	Then this body was, as it were empty, and perforated on all sides. Prajāpati reflected, 'The body is not capable of standing these gaps.
11.1.8	Come, I will vex them with hunger and thirst.'
11.1.9	Them he vexed;
11.1.10	they, being vexed and finding no joy, again entered this person.
11.2.1	(Saying), 'Speech is mine,' fire entered.
11.2.2	(Saying), 'Expiration is mine,' wind entered.
11.2.3	(Saying), 'Inspiration is mine,' lightning entered.
11.2.4	(Saying), 'The Udana is mine,' Parjanya entered.
11.2.5	(Saying), 'The eye is mine,' the sun entered.
11.2.6	(Saying), 'The mind is mine,' the moon entered.
11.2.7	(Saying), 'The ear is ours,' the quarters entered.
11.2.8	(Saying), 'The body is mine,' the earth entered.
11.2.9	(Saying), 'The seed is ours,' the waters entered.
11.2.10	(Saying), 'The strength is mine,' Indra entered.
11.2.11	(Saying), 'Anger is mine,' Iśāna entered.
11.2.12	(Saying), 'The head is mine,' the ether entered.
11.2.13	(Saying), 'The self is mine,' Brahman entered.
11.2.14	As a great green tree stands with its roots moistened, so he stood.
11.3.1	Now a man when he is to die before the year's end, sees visions of the year.
11.3.2	His shadow is crooked, or is not seen at all.
11.3.3	He may see either light, as it were, in a great cloud or lightning without a cloud, or not see lightning in a cloud.
11.3.4	Closing his eyes he does not see motes, as it were.
11.3.5	Or closing his ears he does not hear a noise, as it were.
11.3.6	He has no joy in this world; his mind pleases him not.
11.3.7	These are the waking visions.
11.4.1	Then follow the dream visions.
11.4.2	He sees a black man with black teeth. He kills him, a boar kills him, a monkey kills him. He devours stalks; having devoured them he spits them forth. He carries a single lotus. Wearing a wreath of spikenard, he drives towards the south a cow with its calf.
11.4.3	If he sees any of the following things, a yellow-looking or black woman, with loosened hair, or shaved, anointing with sesamum oil, a garment dyed with safflower, singing, a buffalo carriage, going to the south, etc., having looked at them he fasts, cooks milk in a pot, using the milk of a cow which has a calf like itself, but on no account of a black cow, piles up the fire, sweeps out (the place of sacrifice), scatters grass, sprinkles water around, and, bending the right knee, offers oblations of ghee by means of a ladle.
11.5.1	'In my speech rests fire, svaḥa.
11.5.2	In my expiration rests wind, svaḥa.
11.5.3	In my inspiration rests the lightning, svaḥa.
11.5.4	In my Udana rests Parjanya, svaḥa.
11.5.5	In my eye rests the sun, svaḥa.
11.5.6	In my mind rests the moon, svaḥa.
11.5.7	In my ear rest the quarters, svaḥa.
11.5.8	In my body rests the earth, svaḥa.
11.5.9	In my seed rest the waters, svaḥa.
11.5.10	In my strength rests Indra, svaḥa.
11.5.11	In my anger rests Iśāna, svaḥa.
11.5.12	In my head rests the ether, svaḥa.
11.5.13	In my self rests Brahman (n.), svaḥa,'
11.5.14	(he repeats), and then pouring the remainder of the ghee into the pot of milk he offers the pot of milk, ladling it out.
11.6.1	'In my speech rests fire, speech in the heart, the heart in the self. That is the truth of the deities. I shall not die against my will. May I be rich in food, an eater of food, svaḥa.
11.6.2	In my expiration rests wind, expiration in the heart, the heart in the self. That is the truth of the deities. I shall not die against my will. May I be rich in food, an eater of food, svaḥa.
11.6.3	In my inspiration rests the lightning, inspiration in the heart, the heart in the self. That is the truth of the deities. I shall not die against my will. May I be rich in food, an eater of food, svaḥa.
11.6.4	In my Udana rests Parjanya, Udana in the heart, the heart in the self. That is the truth of the deities. I shall not die against my will. May I be rich in food, an eater of food, svaḥa.
11.6.5	In my eye rests the sun, the eye in the heart, the heart in the self. That is the truth of the deities. I shall not die against my will. May I be rich in food, an eater of food, svaḥa.
11.6.6	In my mind rests the moon, mind in the heart, the heart in the self. That is the truth of the deities. I shall not die against my will. May I be rich in food, an eater of food, svaḥa.
11.6.7	In my ear rest the quarters, the ear in the heart, the heart in the self. That is the truth of the deities. I shall not die against my will. May I be rich in food, an eater of food, svaḥa.
11.6.8	In my body rests the earth, the body in the heart, the heart in the self. That is the truth of the deities. I shall not die against my will. May I be rich in food, an eater of food, svaḥa.
11.6.9	In my strength rests Indra, strength in the heart, the heart in the self. That is the truth of the deities. I shall not die against my will. May I be rich in food, an eater of food, svaḥa.
11.6.10	In my anger rests Iśāna, anger in the heart, the heart in the self. That is the truth of the deities. I shall not die against my will. May I be rich in food, an eater of food, svaḥa.
11.6.11	In my head rests the ether, the head in the heart, the heart in the self. That is the truth of the deities, I shall not die against my will. May I be rich in food, an eater of food, svaḥa.
11.6.12	In my self rests Brahman (n.), the self in the heart, svaḥa,'
11.6.13	(he repeats), and sacrifices by consuming the remains of the pot of milk.
12.1.1	Om. May that splendour of the elephant, of great power, manifest itself which was born from Aditi's body. That all those have given to me, the Ādityas in unison with Aditi.
12.1.2	The great splendour that is deposited in thee, Jātavedas, with that splendour do thou make me resplendent.
12.1.3	The splendour that is in man, that is deposited in elephants, the splendour in gold and kine, in me be that splendour of the elephant.
12.1.4	The glory that there is in golden dice, in cows and horses, in the Sura being purified, in me be that splendour of the elephant.
12.1.5	In me be radiance, in me greatness, in me the glory of the sacrifice, in me may Prajāpati make that fast as the heaven in the sky.
12.2.1	May the Aśvins anoint me with the honey of bees, with milk, that a honey-sweet voice I may utter among the folk.
