1.1.1	Prajapati is the year.
4.3.2	One who desires to acquire wealth should offer oblations of ghee at the full moon, new moon, or on any auspicious lunar day, having kindled the fire at one of these Parvan days, having surrounded it, having spread it, having sprinkled it, having touched the right knee, and having taken up the ladle.
4.3.3	Speech is the deity that obstructs. May it be released from that for me. To her, svāhā.
4.3.4	Breath is the deity that obscures. May it be liberated from that for me, to her, svāha.
4.3.5	Hearing is the deity that veils. May it be freed from that for me to her, svāh
4.3.6-7	The deity named Mind is the obstruction. May it release me from that. To her, svāhā. The deity named Wisdom is the obstruction. May it release me from it. To her, Svāhā.
4.3.8	Then, having smelled the smoke-scent, having anointed the limbs with ghee, having gone forth silently, one should speak the purpose or send a messenger.
4.3.9	One certainly obtains it.
4.4.1	Now, then, the divine Cupid.
4.4.2	He who is dear to him, he who desires to be dear to him, or to whomsoever of them he is dear, on one of their Parvan days, with the same covering, he offers these oblations of ghee.
4.4.3	I offer your speech to me, svāhā.
4.4.4	I offer up your breath to me, svāhà.
4.4.5	I offer you your sight to me, svähà.
4.4.6	I make an offering of your hearing to me, sväha.
4.4.7	I offer your mind to me, svāhā.
4.4.8	I offer your wisdom to me, svāhêti.
4.4.9	Then, having smelled the smoke, he should rub his limbs with ghee and proceed silently, desiring to touch.
4.4.10	He should stand in the wind or speak while standing.
4.4.11	He becomes dear.
4.4.12	They remember him.
4.5.1	Now, then, the restraining of the breath at dawn.
4.5.2	They call it the internal Agnihotra.
4.5.3	As long as a man speaks, he cannot breathe.
4.5.4	Then he offers the breath into speech.
4.5.5	As long a man breathes, he cannot speak.
4.5.6	Then he makes an offering of speech into the breath.
4.5.7	These are the endless, immortal oblations; he offers them constantly, whether awake or asleep.
4.5.8	And those other oblations which are limited, they are indeed made of action.
4.5.9	Now, those who knew this in ancient times did not offer Agnihotra.
4.6.1	Sukhabhrigara said, "It is the praise."
4.6.2	One should worship it as a Rig.
4.6.3	All beings worship him for supremacy.
4.6.4	One should meditate on that as the Yajur Veda.
4.6.5	All beings are yoked to him for supremacy. 
4.6.6	One should meditate that as the Sama Veda.
4.6.7	All being bow down to him for supremacy
4.6.8	One should meditate it as prosperity.
4.6.9	One should meditae on that as fame.
4.6.10	He should worship it as the brilliance.
4.6.11	Just as in the case of weapons, it is said to be the most glorious, most famous, and most brilliant, so also he becomes the most glorious, famous, and brilliant among all beings, he who knows this.
4.6.12	This is the ritualistic act of the Adhvaryu priest, who purifies himself, and in which he recites the Yajurveda.
4.6.13	The Hotṛ is made of Yajus and Ṛk.
4.6.14	The Udgātṛ is made of Ṛk and Sāman.
4.6.15	This indeed is the Self of the three Vedas.
4.6.16	He who knows this becomes the Self of Indra.
4.7.1	Now, here are the three forms of worship of Sarvajita Kausītaki.
4.7.2	All-conqueror, Kauṣītaki, having tied the sacrificial thread, having brought water, sprinkles it three times and the water vessel.
4.7.3	"You are the class, remove my sin."
4.7.4	Having covered it with this, he is in the middle.
4.7.5	"You have removed, remove my sin from here."
4.7.6	Having covered him with this, he goes to the setting sun.
4.7.7	"You are the covering, do you cover up my sin."
4.7.8	Whatever sin he commits during the day and night, that he covers up.
4.7.9	Similarly, one who knows this, standing near the sun covered by clouds,
4.7.10	whatever sin he commits during day and night, he covers it up.
4.8.1	Then, when the new moon has passed, and the moon is seen again, he should stand facing it with the same formula.
4.8.2	Or he should place it on green grass, with the verse, "My heart, O Susima, is in heaven and in the moon. I think it is there. May I know it. May I not grieve for my son."
4.8.3	For there is no one born before him, and he is not born before her.
4.8.4	Then having recited these three verses, "May you grow, may you be united, may your streams be united, may the forces be united. The Adityas are making the rays grow", he says, "May they not make us grow with our life, progeny and cattle. May they make grow the one who hates us and whom we hate, with his life, progeny and animals." Having recited the verse of Indra, he turns to the right, saying, "May I turn to the right of the sun's covering." He turns the right arm.
4.9.1	Then, on the full moon day, when the moon is visible, one should stand before it with this very (mantra).
4.9.2	"O King Soma, you are the discerning one, you are the five-faced Prajapati."
4.9.3	"Brahmana is one face, with that face you are the king. With that face, make me a food-eater."
4.9.4	The king, with one face, ate with that face. With that face, make me an eater of food.
4.9.5	The hawk, with one face ate with that face the birds. With that face make me an eater.
4.9.6	Fire, with one face consumed with that face this world. With that face
4.9.7	You have five faces. By that face you have conquered all beings. By that face make me an eater of food. Do not deprive us of life, offspring, and cattle.
4.9.8	"He who hates us and whom we hate, may he perish with his life, progeny and cattle." He turns the divine covering. He turns the covering of the sun. He turns the right arm.
4.10.1	Then, looking at her, he should touch her heart, saying, "Whatever is your heart, well-guarded, resting within Prajapati, by that may you be the mistress of immortality. May you not be afflicted by the sin of being a daughter."
4.10.2	For she does not have a previous offspring.
4.11.1-2	Then, when going away, he should smell the head of his son. "You have arisen from limb to limb, you are born from the heart. Your name is indeed the Self. Live for a hundred autumns." Thus he gives his name. "He becomes a stone, he becomes an axe, he becomes gold spread out. Your name is the brilliance. Live for a hun-dred autumns." Thus, he takes his name.
4.11.3	Then he embraces him with the formula, "With that wherewith Prajapati embraced the creatures, for non-injury, I embrace thee."
4.11.4	He mutters on his right ear, "O Indra, do thou bestow on us wealth, O bountiful one, O giver of wealth."
4.11.5	On the left ear, "Do thou bestow on us the best wealth."
4.11.6	Do not be afraid, do not be anxious. Live for a hundred autumns. Live, son, by your name. I smell your head." He should smell his head three times.
4.11.7	"I smell you with the sound of cows." He should smell him three times.
4.12.1	Now, then, the divine farewell.
4.12.2	This indeed is the Brahman that shines when the fire burns.
4.12.3	But when it does not burn, it dies.
4.12.4	Its light goes to the sun and its breath to the wind.
4.12.5	This indeed is the Brahman which shines when the sun is seen.
4.12.6	But when the sun is not seen, it dies. 
4.12.7	Its light goes into the moon and its breath to wind.
4.12.8	This indeed is the Brahman that shines, which is seen as the moon.
4.12.9	But this indeed dies when it is not seen.
4.12.10	Its light goes to the lightning, and its breath to the wind.
4.12.11	This indeed is the Brahman which shines, which is the lightning that flashes.
4.12.12	But this dies when it does not flash.
4.12.13	Its light then goes to the directions, and its breath goes to the wind.
4.12.14	All these deities enter into the wind, and when they die in the wind, they do not die.
4.12.15	From that very (wind) they again emerge.
4.12.16	Thus it is in the case of the gods.
4.12.17	Now, as regards the individual.
4.13.1	This indeed shines forth as Brahman, when it speaks through speech.
4.13.2	But when it does not speak, then it dies.
4.13.3	Of that, the eye alone is the brilliance.
4.13.4	The breath goes to the breath.
4.13.5	This indeed is the shining Brahman, which one sees with the eye.
4.13.6	But that which one does not see, that indeed dies.
4.13.7	Its light goes to the ear.
4.13.8	The vital airs go to the vital airs.
4.13.9	This indeed is the shining Brahma, which one hears with the ear.
4.13.10	But that one does not hear, that indeed dies
4.13.11	Its light goes into the mind.
4.13.12	The vital breaths go to the vital breaths.
4.13.13	This indeed is the Brahman that shines when one meditates with the mind.
4.13.14	But when one does not meditate, it dies.
4.13.15	Its radiance goes to the breath alone.
4.13.16	Breath goes to the breath.
4.13.17	All these deities enter the breath and do not die when the breath dies.
4.13.18	Therefore, they emerge again.
4.13.19	Now, if the two mountains, the southern and the northern, were to move towards him who knows thus, desiring to crush him, they would not be able to crush him.
4.13.20	And those who hate him and whom he himself hates, they alone perish around him.
4.14.1	Now, then, about the attainment of the highest good.
4.14.2-8	These very deities, disputing about what is best for them, departed from this body. It fell down dry, like a piece of wood, and was burnt. Then speech entered it. It spoke with speech, and was burnt as it was. Then the eye entered it. Then it saw with the eye, and was burnt, as it was. Then the ear entered it.
4.14.9	He spoke with speech, saw with sight, heard with hearing, and meditated with mind.
4.14.10	Then the mind entered him.
4.14.11	He spoke with speech, looked with sight, heard through hearing, meditated with mind, and meditated through mind.
4.14.12	Then Prana entered him.
4.14.13	Then he arose from that very place.
4.14.14	All the gods, knowing that the highest good is in the breath, having united themselves with the breath as the knower of the Self, and having emerged together with all these from this body,
4.14.15	they, established in the wind, having the Self in space, went to heaven.
4.14.16	Similarly, one who knows thus, having known the supreme good in the vital breath, having become the vital breath itself as the Self of Wisdom, he departs from this body along with all these.
4.14.17	He, established in the wind, having the space as the Self, goes to heaven.
4.14.18	He goes to that place where these gods are.
4.14.19	Having attained that, he becomes immortal, like the gods who are immortal, he who knows thus.
4.15.0	Now, then, the giving of the father to the son, which is called the giving of the son.
4.15.1	The father, about to send the son, calls him.
4.15.2	Having spread the house with fresh grass, having kindled the fire, having placed the water pot with the vessel, covered with a new garment, the father lies down.
4.15.3	The son comes and lies down on top, touching the senses with the senses.
4.15.4	Or he may give it to one who is seated facing him.
4.15.5	Then he gives it to him, saying:
4.15.6	"I entrust my speech to you." The father says this.
4.15.7	"I entrust your speech to me." The son says this.
4.15.8	“I entrust my life to you.” The father says this
4.15.9	“I entrust your life to me.” The son says this
4.15.10	“ I entrust my sight to you.” The Father says this
4.15.11	"Your eyes are in me," said the son.
4.15.12	"My ears are in you," said the father.
4.15.13	"Your ears are in me," replied the son.
4.15.14	"My tastes are in you," the father said.
4.15.15	"Your tastes are in me," the son replied.
4.15.16	"My actions are in you," declared the father.
4.15.17	"Your actions are in me," declared the son.
4.15.18	"May my happiness and sorrow be in you." Thus said the father.
4.15.19	"May your happiness and sorrow be with me." Thus said the son.
4.15.20	"May joy, delight, and progeny be in you." The father said.
4.15.21	"May my joy, delight, progeny be with you." The son said.
4.15.22	"Let there be affection in you." The Father said.
4.15.23	"Affection be with me." The son said.
4.15.24	"O father, I shall place my mind in you, so that you may know my desires."
4.15.25	"O son, I shall place your desires in me, so that you know my desires." "
4.15.26	"O father, I will place my mind in You."
4.15.27	"O Son, I will place your mind in me." "
4.15.28	"I will place my wisdom in you, O father."
4.15.29	"O father I will place your wisdom in me."
4.15.30	If he is to be a teacher, he should say this in brief.
4.15.31	"The father says, "I entrust my life to you."
4.15.32	The son says, "I place your life in me."
4.15.33	Then he exits, turning to the right.
4.15.34	The father blesses him, saying,
4.15.35	"May fame, spiritual radiance, and glory be yours."
4.15.36	Then the other one looks at the left shoulder.
4.15.37	Covering with the hand or with the end of the garment, he says, "May you attain the heavenly worlds and desires."
4.15.38	If he is not dead, the father may live in the son's wealth or go around it.
4.15.39	If he does die, they should conclude it as it should be concluded.
5.1.1	Pratardana, the son of Daivoda, attained Indra's beloved abode through battle and manly effort.
5.1.2	Indra said to him, "Pratardana, choose a boon."
5.1.3	Pratardana replied, "You yourself choose for me what you think is most beneficial for a human."
5.1.4	Indra said, "One does not choose a boon for oneself.
5.1.5	You yourself choose."
5.1.6	"Prārdana said, "You are indeed inferior to me."
5.1.7	"But Indra went away from the truth itself."
5.1.8	"For Indra is truth."
5.1.9	"He said to him, "Know me." He said, "I know you." He said to him, "Know me." "I know." He said again, "Know." He said,"I know."]
5.1.10	"He said, "Know yourself." He said "I know myself." He said "Know yourself." "Know yourself."
5.1.11	I killed the three-headed Tvashtra, and gave the ascetics with faces of animals to the jackals.
5.1.12	Having passed many boundaries in heaven, I killed the Prahladins; in the atmosphere, the Paulomains; on earth, the Kalakhanjas.
5.1.13	Not even a hair of me was harmed there.
5.1.14	He who knows me, for him there is no world of the dead. No one is affected by any action, neither by stealing, nor by killing an embryo, nor by killing one's mother, nor by killing his father.
5.1.15	No sin comes out of his mouth.
5.2.1	He said, "I am the life-force, the self-knowing one."
5.2.2	Worship me as the life-force and immortality.
5.2.3	Life is the life-force.
5.2.4	The breath is indeed life.
5.2.5	For as long as the breath is in this body, so long is life.
5.2.6	For by the breath one attains immortality in this world, and by wisdom one attains truth and resolve.
5.2.7	He who worships me as life and immortality, attains all life in this world.
5.2.8	He attains immortality and the unshakable world of heaven.
5.2.9	They say that the vital airs go to one place.
5.2.10	For no one can know by speech, by sight, by hearing, or by mind.
5.2.11	They say that the vital breaths, having become one, know all these things one by one.
5.2.12	When speech speaks, all the vital breaths follow.
5.2.13	The eyes see, and all the vital airs look on.
5.2.14	The ears hear, and all the vitals airs listen.
5.2.15	The mind thinks, and all the vitial airs think.
5.2.16	The vital air breathes, and all the other vital airs breathe.
5.2.17	Thus it is, said Indra.
5.2.18	There is indeed the highest good of the vital airs.
5.3.1	He who is deprived of speech lives.
5.3.2	We see the dumb.
5.3.3	One who is without eyes lives.
5.3.4	We see the blind.
5.3.5	One who has no ears lives.
5.3.6	We behold the deaf.
5.3.7	One who does not have the mind lives.
5.3.8	We perceive the children.
5.3.9	One who lacks arms lives.
5.3.10	One who loses his legs lives.
5.3.11	Thus we see.
5.3.12	Then indeed, the vital force itself, which is the Self of knowledge, having taken hold of this body, raises it up.
5.3.13	Therefore, one should worship this alone.
5.3.14	This is the attainment of everything in the vital force.
5.3.15	He who is the vital force, that is knowledge.
5.3.16	And what is knowledge, that is the vital force. 
5.3.17	This is his vision.
5.3.18	This is knowledge.
5.3.19	Where this person, sleeping, sees no dream at all, then in him the Prāṇa becomes one-fold.
5.3.20	Then speech comes to him with all names.
5.3.21	The eye comes to him with forms.
5.3.22	The ear comes to him with sounds.
5.3.23	The mind comes to him with meditations.
5.3.24	When he awakens,
5.3.25	Just as sparks fly from a burning fire in all directions, so do the vital airs from this Self, in accordance with their respective locations. From the vital airs come the gods, and from the gods the worlds.
5.3.26	This Self is indeed the Self of Knowledge, which, having encompassed this body, raises it up.
5.3.27	Therefore, one should worship this alone.
5.3.28	This is the attainment of all in the vital breath.
5.3.29	He who is the vital breath, that is wisdom.
5.3.30	She who is wisdom, that is the vital breath. This is its accomplishment.
5.3.31	This is knowledge.
5.3.32	When this man, being afflicted and about to die, comes to weakness and confusion, they say, "The mind has departed."
5.3.33	He does not hear.
5.3.34	He does not see.
5.3.35	He does no speak with speech.
5.3.36	He does
5.3.37	not meditate.
5.3.38	Then in him, Prāṇa alone becomes one-fold.
5.3.39	Then speech comes to him with all names.
5.3.40	The eye comes to him with the forms.
5.3.41	The ear comes to him with sounds.
5.3.42	The mind comes to him with meditations.
5.3.43	When he departs from this body, he departs with all of them.
5.4.1	All names are released in him through speech.
5.4.2	One obtains all names through speech.
5.4.3	All smells are released in him by means of the breath.
5.4.4	One obtains smells through the breath.
5.4.5	All forms are released in him with the eye.
5.4.6	One obtains forms through the eye.
5.4.7	All sounds are released in the ear.
5.4.8	One obtains all sounds through the ear.
5.4.9	All thoughts are released in the mind.
5.4.10	One obtains through the mind all thoughts.
5.4.11	For these two dwell together in this body and depart together.
5.4.12	Now we shall explain how all beings become one for that knowledge.
5.5.1	Speech alone is one of its limbs that has been raised up.
5.5.2	Its name is prescribed later on, the entire mass of beings.
5.5.3	Breath alone is one of his limbs that has been lifted up.
5.5.4	Its smell is prescribed later on as the entire mass of things.
5.5.5	The eye alone is one of her limbs that has been elevated.
5.5.6	Its form is beyond that, the mere elements that have been rejected.
5.5.7	The ear is the only limb of it that has been raised up.
5.5.8	Sound is beyond it, the mere elements rejected.
5.5.9	The tongue is the only limb that has been raised.
5.5.10	The taste of food is beyond it, rejected elements.
5.5.11	The hands are the only limbs that have been raised.
5.5.12	Their function is beyond it, discarded elements.
5.5.13	The body itself is the only limb of it which is raised up.
5.5.14	Its happiness and unhappiness are set aside beyond the body.
5.5.15	The genitals themselves are the only limb of them which is raised up,
5.5.16	Its joy, delight, and procreation are set aside beyond them.
5.5.17	The feet themselves are the only limbs of it which are raised up.
5.5.18	The gait is set aside beyond them.
5.5.19	The mind alone is its one limb that has been raised up.
5.5.20	Beyond that, his intellect and desires are well-established as mere elements.
5.6.1	Having ascended speech with wisdom, one attains all names through speech.
5.6.2	Having ascended the life force with wisdom, one obtains all smells through the life force.
5.6.3	Having ascended sight with wisdom, one gets all forms through sight.
5.6.4	Having ascended the ear with wisdom, he attains all sounds with the ear.
5.6.5	Having ascended the tongue with wisdom, he obtains all tastes with the tongue.
5.6.6	Having ascended both hands with wisdom, he performs all actions with the hands.
5.6.7	Having ascended his body with wisdom, he experiences happiness and suffering with the body.
5.6.8	Having mounted the seat with wisdom, one attains joy, delight, and progeny through the seat.
5.6.9	Having mounted the feet with wisdom, one obtains all the feet through the feet.
5.6.10	Having mounted mind with wisdom, one gains all the contemplated things through the mind.
5.7.1	For there is nothing that can be accomplished by speech other than wisdom.
5.7.2	He says, "My mind was elsewhere."
5.7.3	I did not know this name.'
5.7.4	For the breath, when it is known, does not make known any smell.
5.7.5	He says, 'My mind was elsewhere.'
5.7.6	'I did not know this smell.'
5.7.7	The eye, when it is cognized, does not make any form known.
5.7.8	He says 'My mind was somewhere else.'
5.7.9	I did not know this form."
5.7.10	For the ear, which is not a knower, cannot make any sound known.
5.7.11	He says, "My mind was elsewhere."
5.7.12	"I did not know this sound."
5.7.13	For the tongue, which is not the knower, cannot know any taste of food.
5.7.14	He says "My mind was somewhere else."
5.7.15	I did not know this taste of food."
5.7.16	For the hands, when they are made to know, do not make any action known.
5.7.17	"Our mind was elsewhere," they said.
5.7.18	"You did not know this action of the boat."
5.7.19	For the body, when it is made to know, does not make known any pleasure or pain.
5.7.20	"My mind was elsewhere," he said.
5.7.21	I did not know whether it was happiness or unhappiness.
5.7.22	For the wise man cannot experience pleasure, joy, or delight in his feet.
5.7.23	He says, 'My mind was elsewhere.'
5.7.24	I did not know whether this was pleasure or joy.
5.7.25	For the sage cannot experience pleasure, delight, or joy in his feet.
5.7.26	Elsewhere, the mind was not. Thus he says.
5.7.27	"You have understood this boat."
5.7.28	For a mind that is understood does not succeed in anything. One who is understood does not understand.
5.8.1	"One who seeks to know speech."
5.8.2	One should know the speaker.
5.8.3	"One seeks to know smell."
5.8.4	One should understand the sniffer.
5.8.5	"One seeking to know form."
5.8.6-14	Know the seer. "Not the sound is to be known." Know the hearer. "Not taste is to be known." Know the knower of taste. "Not action is to be known." Know the doer. " Not pleasure and pain are to be known." Know the expansion of pleasure and pain.
5.8.15	He who seeks to know neither pleasure, nor delight, nor procreation.
5.8.16	He who knows the knower of pleasure, delight, and procreation.
5.8.17	"He who seeks to know not that."
5.8.18	He who knows that.
5.8.19	"He seeks to know not the mind."
5.8.20	He who is the knower.
5.8.21	These ten are the only elements of the real, in the higher knowledge.
5.8.22	The ten elements of knowledge are in the higher reality.
5.8.23	If there were only the elements, there would be no consciousness.
5.8.24	Or if there were only consciousness, there would be only the elements.
5.8.25	For without the other, form would not be established.
5.8.26	They are not different.
5.8.27	Just as the spokes of a chariot are fixed in the nave,
5.8.28	and the nave is fixed in the spokes.
5.8.29	In the same way, these elements are fixed in consciousness, and consciousness is fixed in the elements.
5.8.30	The Prajnas are deposited in the Prāṇa.
5.8.31	This very Prāṇa is the Self, the knower, the infinite, the immortal, the deathless. It does not become greater by good deeds, nor smaller by bad deeds.
5.8.32	For this alone makes one do good deeds, by which one is led to the higher worlds.
5.8.33	This alone makes one do bad deeds, by which he is led to the lower worlds.
6.1.3	He approached Ajatashatru Kaashi and said, "I will teach you the Vedas."
6.1.4	Ajatashatru replied, "I will give you a thousand."
6.1.5	Janaka is called Janaka because people run towards him.
6.2.1	In the sun, the great; in the moon, food; in lightning, truth; in thunder, sound; in the wind, Indra; in space, the full; in fire, the one who is not harmed by poison; in water, brilliance.
6.2.2	Thus is the divine.
6.2.3	Then, in the body, the reflection is in the mirror, the second is in the shadow, the sound is in the echo, death is in the dream, Yama is in the body, Prajapati is in the right eye, speech is in the left eye, and truth is in the left.
6.3.1	Balaki said, "I worship that person who is in the sun."
6.3.2	Ajātaśatru said to him, "Do not debate with him."
6.3.3	"I worship him as the one who stands above all beings, wearing white garments and standing above all beings."
6.3.4	He who worships him in this way becomes the head of all beings.
6.4.1	Bālāki said, "I worship that person who is in the moon."
6.4.2	Ajātaśatru said, "Do not debate with me about this.
6.4.3	I worship him as the Self of food."
6.4.4	He who worships him thus becomes the Self of food.
6.5.1	Bālāki said, "I worship that person who is in the lightning."
6.5.2	Ajātaśatru said, "Do not debate with me about this.
6.5.3	I worship him as the Self of Truth."
6.5.4	He who worships him thus becomes the Self of Truth.
6.6.1	Bālāki said, "I worship that person who is in the thunder."
6.6.2	Ajātaśatru said to him, "Do not debate with me about this.
6.6.3	I worship him as the Self of sound."
6.6.4	He who worships him thus becomes the Self of sound.
6.7.1	Bālāki said, "I worship that person who is in the wind."
6.7.2	Ajātaśatru said, "Do not debate with me about this.
6.7.3	I worship him as Indra, the unconquered, the invincible army."
6.7.4	He who worships him thus becomes victorious, invincible, and the conqueror of others.
6.8.1	Balāki said, "I worship that person who is in the sky."
6.8.2	Ajātaśatru said, "Do not debate with me about this.
6.8.3	I worship this Brahman as complete and unchanging."
6.8.4	He who worships him thus, is filled with progeny, cattle, fame, spiritual splendour, heaven, and all life.
6.9.1	Balaki said, "I worship that person who is in the fire."
6.9.2	Ajatashatru said, "Do not debate with him.
6.9.3	I worship him as one who is able to withstand poison."
6.9.4	He who worships him thus, becomes immune from poison.
6.10.1	Balaki said, "I worship that person who is in the water."
6.10.2	Ajatashatru said, "Do not debate with me about this.
6.10.3	I worship him as the Self of brilliance."
6.10.4	He who worships him in this way becomes the Self of brilliance.
6.10.5	Thus is the divine aspect.
6.10.6	Now the human aspect.
6.11.1	Balaki said, "I worship that person who is seen in the mirror."
6.11.2	Ajatashatru said, "Do not debate with me about this.
6.11.3	I worship him as a suitable one."
6.11.4	He who worships him in this way, his offspring is born as suitable and not unsuitable.
6.12.1	Bālāki said, "I worship the man who is in the shadow."
6.12.2	Ajātaśatru said, "Do not debate with him.
6.12.3	I worship him as the second who is not departing."
6.12.4	He who worships him thus obtains the second.
6.12.5	He becomes one who has the second.
6.13.1	Balāki said, "I worship that person who is heard in an echo."
6.13.2	Ajātaśatru said, "Do not debate with him.
6.13.3	I worship him as Asura."
6.13.4	He who worships him in this way does not become confused before his time.
6.14.1	Bālāki said, "I worship that person who is in sound."
6.14.2	Ajātaśatru said, "Do not debate with him.
6.14.3	I worship him as Death."
6.14.4	He who worships him thus does not die before his time.
6.15.1	Balaki said, "I worship that by which a sleeping man moves in a dream."
6.15.2	Ajatashatru said, "Do not argue with him.
6.15.3	I worship him as Yama, the king."
6.15.4	He who worships him thus, is made by him the foremost of all.
6.16.1	Bālāki said, "I worship the person who is in this body."
6.16.2	Ajātaśatru said, "Do not debate with me about this.
6.16.3	I worship him as Prajapati."
6.16.4	He who worships him thus is born with offspring, cattle, fame, and radiance, and attains heaven and all life.
6.17.1	Balāki said, "I worship the person in the right eye."
6.17.2	Ajātaśatru said, "Do not debate with me about this.
6.17.3	I worship him as the self of speech, the self of fire, the self of light."
6.17.4	He who worships him thus becomes the self of all these.
6.18.1	Balāki said, "I worship the person who is in the left eye."
6.18.2	Ajātaśatru said, "Do not debate with me about this."
6.18.3	"The self is truth, the self is lightning, the self is brilliance."
6.18.4	He who worships in this way becomes the self of all these.
6.19.1	Then indeed Bālāki became silent.
6.19.2	Ajaṭasatru said to him, "Is this the extent of Bālāka?"
6.19.3	Bālāki said, "This is the extent."
6.19.4	Ajaṭa-satru said to him, "You have deceived me. I will tell you about Brahman.
6.19.5	He said, "He who is the creator of these men, he alone knows what is to be done."
6.19.6	Then Balaaki, with a bundle of sacred grass in his hand, came to him and said, "I am coming."
6.19.7	Ajatashatru said to him, "I think it is against the rules that a Kshatriya should approach a Brahmana.
6.19.8	Come, I will teach you."
6.19.9	He went forth, taking hold of his hand.
6.19.10	They came to a sleeping man.
6.19.11	Ajātaśatru addressed him, saying, "O Soma, king of the great white-robed ones!"
6.19.12	He was indeed a student.
6.19.13	He was indeed struck with a stick.
6.19.14	He rose up from there.
6.19.15	Ajātaśatru asked him, "Where did this man lie down, O Bālāka, where he was found, and whence he came?"
6.19.16	"The arteries of the man, O Hita, extend from the heart to the navel. They are as fine as a hair split into a thousand parts.
6.19.17	The white, black, yellow and red ones are located in the body of the one who is tawny.
6.19.18	When he sleeps and sees no dream, then it happens.
6.20.1	Then this Prāṇa becomes one-fold in him.
6.20.2	Then Speech comes to him with all names.
6.20.3	The eye comes to him with the forms.
6.20.4	The ear comes to him with sounds.
6.20.5	The mind goes with all the meditations.
6.20.6	When he awakens, as from a burning fire sparks go out in all directions, even so from this Self the Prāṇas go out to their respective places, from the Prāṇās the gods, from the gods the worlds.
6.20.7	This is the same as the Self, the Self of the form of knowledge, has entered this body from the hairs to the nails.
6.20.8	Just as a razor is placed in its sheath or a garment is placed in its box, in the same way, this Self of the form knowledge has entered this body, from the hairs to nails.
6.20.9	These beings partake of this Self as their own, just as the dependents partake of the merchant.
6.20.10	Just as the merchant partakes of his dependents, or the dependents partake of their merchant,
6.20.11	in the same way, this Self, which is the knower, partakes of these selves.
6.20.12	In the same way, these selves partake of this Self.
6.20.13	As long as Indra did not know this Self, the Asuras overpowered him.
6.20.14	When he knew it, then he killed the Asuras, conquered them, and attained supremacy over all the gods, sovereignty, and lordship.
6.20.15	In the same way, one who knows this destroys all evil and attains the supreme sovereignty and lordship over all beings.
6.20.16	He who knows this, he who knows this.
7.1.1	Om, I shall speak the truth.
7.1.2	I shall speak the truth
7.1.3	May that protect me, may that protect the speaker, may that protect me, and may that protect the one who speaks.
7.1.4	May radiance be in me, may greatness be in me.
7.1.5	Speech is established in my mind.
7.1.6	Mind is established in my speech.
7.1.7	May I be revealed, revealed in me.
7.1.8	May the Veda be my guide.
7.1.9	May you not harm me.
7.1.10	I spend the day and night with this knowledge.
7.1.11	O Agni, Ida is homage, Ida is homage.
7.1.12	Salutations to the sages, the creators of mantras, the lords of mantras, to the gods.
7.1.13	May Sarasvati be gracious to us, may she be kind. May we not be deprived of her sight.
7.1.14	The mind is unassailable, the eye is pure, the sun is the best of lights.
7.1.15	Do not harm me in the consecration.
7.2.1	Now, indeed, the Upanishad of the Samhita.
7.2.2	The earth is the eastern form, the sky is the northern form, the wind is the Samhita. This is said by Shuravarir Mandukkeya.
7.2.3	Ākāśa is the same as Saṃhita. This was known by Māṇḍavya. He thought, "It has been taken away from me. It is not equal to my son."
7.2.4	"It has been taken from me" was known by Āgastya.
7.2.5	Because the wind and space are the same as the father and son.
7.2.6	This is the Adhidevata.
7.2.7	Now the Adhyātma.
7.2.8	The mouth is the former form, the mind is the latter form, and the breath is the union, says Mandukkeya, the son of Shourava.
7.2.9	Then his son said, "The mind first praises, then the voice speaks."
7.2.10	Therefore the mind is the former form and the voice is the latter form. The mind and the voice are the union.
7.2.11	This horse-chariot, yoked with the Prishti-horses, united with mind, speech and breath, carries one to the heavenly world.
7.2.12	He who knows this union, is united with offspring, cattle, fame, brahminical lustre, and the heavenly world. He attains the whole of life. Thus it is said in the Mandukya Upanishad.
7.3.1	Now, the Shakalya Upanishad.
7.3.2	Earth is the former form, Heaven is the latter form, Wind is the union, Rain is the junction, the Controller is the binder.
7.3.3	And indeed, when the powerful cloud rains down rain, it is there.
7.3.4	The heaven and earth are the binders. This is the (relation) with the gods.
7.3.5	Now the (relation) to the self.
7.3.6	This man is the entire egg.
7.3.7	It has two openings.
7.3.8	Herein, this is the former form, this is the later form.
7.3.9	Herein, this is space in between.
7.3.10	Just as space is between heaven and earth, so the breath is dependent on this space, just as the wind is dependent on that space.
7.3.11	Just as these three luminaries are in the sky, so these three luminaries in the man.
7.3.12	Just as that divine sun, so this eye on the head.
7.3.13	Just as that lightning in the sky, so this heart in the self.
7.3.14	Just as this fire on the earth, so this semen in the anus.
7.3.15	Thus having determined the self everywhere, he says: This is the former form, this is the later form, the mind, speech, and the breath are indeed united.
7.3.16	This horse-chariot, yoked to the Prishti-horses, united with mind, speech and breath, carries one to the heavenly world.
7.3.17	He who knows this union, is united with offspring, cattle, fame, radiance, heaven and the world. He attains the whole of life.
7.4.1	Earth is the former form, Heaven is the latter form, Wind is the union, the directions are the junction, the Sun is the union-junction. This is the view of Vaishvamitra.
7.4.2	Thus is the Adhidevata (the Supreme Being).
7.4.3	Now the Adhyatma (the Supreme Self).
7.4.4	Speech is the former form; Mind is the latter form; Breath is the union; Ear is the junction; Eye is the union-juncture.
7.4.5	He who knows this Samhita is united with progeny, cattle, fame, spiritual glory, heaven, and the world. He attains the full span of life.
