1.1.1	The Dharma has been taught in the Vedas.
1.20.14	Because the Vaiśyas are not restrained in their wives.
1.20.15	Because they are authorized to cultivate and serve.
1.20.16	Some praise the Gandharva (marriage) because it is followed by affection of all.
1.19.12	If one lies for the sake of gold, one kills three ancestors. If one lies for cattle, one kills five. If one lies about cows, one kills ten. If one lies regarding horses, one kills a hundred. If one lies concerning men, one kills a thousand. If one lies on the earth, one kills everything. A witness who speaks falsely.
1.21.1	It is understood that the marriage is proper and the progeny is proper.
1.21.2	But it is also said: "A woman bought with money is not a wife, she is not for the gods, she is not a relative. The Kasyapas said she is a slave."
1.21.3	Those who, deluded by greed, give their daughters in marriage for a dowry, are sinners who sell themselves, great sinners, they fall into a terrible hell and destroy seven generations of their family. All going and coming is prescribed in the dowry.
1.19.13	The four castes, except the Śrotriya, the Rājanya, the ascetic and the human, shall be the witnesses.
1.19.14	In Smṛti, the practice is mainly followed.
1.19.15	Therefore, it is to be done otherwise.
1.19.16	One should drink milk boiled for twelve nights, or offer oblations with Kūṣmāṇḍa.
1.20.1	There are eight kinds of marriages.
1.21.4	There is no study for a day and a night in the case of the full moon, the eight days, the new moon, fire-disaster, earthquake, cremation ground, the death of the king, the preceptor, and the going to a single holy place.
1.21.5	In the case of wind, bad smell, mist, dance, singing, playing of musical instruments, crying, and the sound of Sama, there is no study for that much time.
1.21.6	In the event of thunder, rain, lightning, and their combination, there is no studying for three days, except during the rainy season.
1.20.2	The Brahmanical gift is given to the Brahmachari who is known to be learned and virtuous and is in need.
1.20.3	After covering and adorning him, this is the Dharma of Prajapati: "May it be practiced together."
1.20.4	Having offered the first oblation of rice grains, the gift is given with cows.
1.20.5	When the Dakshina is being taken inside the altar, it is the gift of the Rtuvij.
1.20.6	When satisfied with wealth, it is the Asura.
1.21.7	Even in the rainy season, except during the rainy season, and for a day and night.
1.21.8	And for the rest of the day after receiving alms from a father.
1.21.9	In eating, until one is satiated.
1.21.10	For a brahmin, the hand is the mouth.
1.21.11	But they also say, "What is eaten and what is received are the same," so says the Veda.
1.21.12	For three nights after the death of a father.
1.20.7	The Gandharva marriage is the union of a willing man with a willing woman.
1.20.8	The Rākṣasa marriage is the abduction of a willing woman by force.
1.20.9	The Paiśāca marriage is the union with a sleeping, intoxicated or distracted woman.
1.20.10	Of these four, the first is the best for a Brāhmaṇa, and the first is better than the second, and so on.
1.20.11	The later ones are worse than the earlier.
1.20.12	Here also the sixth and seventh are followed by the duties of the Kṣatriya, because the Kṣatriyas are based on them.
1.20.13	The fifth and eighth are for the Vaiśyas and Śūdras.
1.20.14	Because the Vaiśyas are not restrained in their wives.
1.20.15	Because they are authorized to cultivate and serve.
1.20.16	Some praise the Gandharva (marriage) because it is followed by affection of all.
1.21.13	Now, indeed, the semen of Suśravas Anūcānas is divided into two parts, one above the navel and the other below. By that which is above the navel, this progeny is produced, when he initiates Brahmanas, when he teaches them, when he performs sacrifices for them, when he does good to them. All his progeny becomes prosperous. But by that which is below the navel, his progeny becomes prosperous only in his own family. Therefore, they do not say that a Brahmana who is a student and has no progeny is a Brahmana who has no progeny.
1.21.1	It is understood that the marriage is proper and the progeny is proper.
1.21.2	But it is also said: "A woman bought with money is not a wife, she is not for the gods, she is not a relative. The Kasyapas said she is a slave."
1.21.14-18	Therefore, a brahmin is named twice, has two faces, has two organs, and is born twice. For as long as one hears or sees a shudra, one should not study at night until the end of sleep. One should not study at the junctions of day and night, or on holy days. One should neither eat meat nor approach a woman.
1.21.3	Those who, deluded by greed, give their daughters in marriage for a dowry, are sinners who sell themselves, great sinners, they fall into a terrible hell and destroy seven generations of their family. All going and coming is prescribed in the dowry.
1.21.19	It is known that on the Parvas, Rakshasas and Pisachas become unfaithful.
1.21.20	And on other occasions of miracles, there is no study for a day and night, except for mental study.
1.21.21	There is no study even in mental study at the time of birth and death.
1.21.22	And they say: The eighth day kills the teacher, the fourteenth day kills the disciple, the fifteenth day kills knowledge. Therefore one should avoid the Parvan days. Therefore one should abstain from the Parvan days."
2.1.1	Now then, the expiations.
2.1.2	One who has killed a fetus for twelve years.
1.21.4	There is no study for a day and a night in the case of the full moon, the eight days, the new moon, fire-disaster, earthquake, cremation ground, the death of the king, the preceptor, and the going to a single holy place.
1.21.5	In the case of wind, bad smell, mist, dance, singing, playing of musical instruments, crying, and the sound of Sama, there is no study for that much time.
1.21.6	In the event of thunder, rain, lightning, and their combination, there is no studying for three days, except during the rainy season.
2.1.3	One should make a hut in a cemetery, using the head of a corpse as a flag, and live in it. One should wander for alms, practicing one's own duties, and sustain one's life with that. If one does not obtain (alms), one should fast.
2.1.4	One should perform a horse sacrifice, a cow sacrifice, or an Agniṣṭoma sacrifice.
1.21.7	Even in the rainy season, except during the rainy season, and for a day and night.
1.21.8	And for the rest of the day after receiving alms from a father.
1.21.9	In eating, until one is satiated.
1.21.10	For a brahmin, the hand is the mouth.
1.21.11	But they also say, "What is eaten and what is received are the same," so says the Veda.
1.21.12	For three nights after the death of a father.
2.1.5	One should purify oneself in the waters of the horse sacrifice.
2.1.6	And they also say: "Having killed a Brahmin unintentionally, one becomes sinful according to Dharma. The sages speak of atonement for that in the case of unintentional killing, but no atonement is found for intentional killing."
1.21.13	Now, indeed, the semen of Suśravas Anūcānas is divided into two parts, one above the navel and the other below. By that which is above the navel, this progeny is produced, when he initiates Brahmanas, when he teaches them, when he performs sacrifices for them, when he does good to them. All his progeny becomes prosperous. But by that which is below the navel, his progeny becomes prosperous only in his own family. Therefore, they do not say that a Brahmana who is a student and has no progeny is a Brahmana who has no progeny.
2.1.7	And having vomited, he should perform the Kṛcchra, the Ati-Kṛcchra, and the Cāndrāyaṇa, in the case of falling. And the Kṛcchhra and the Cāṇḍrāyaṇa, in the flow of blood. Therefore, one should not vomit, nor should one cause blood to flow.
2.1.8	Nine months for a king.
2.1.9	Three for a Vaiśya.
2.1.10	One year for a Śūdra.
2.1.11	And for a woman.
2.1.12	Like a Brāhmaṇa, for an Ātreyyā.
2.1.13	One who has had intercourse with his teacher's wife should lie on a heated iron bed.
2.1.14	Or he should embrace a blazing flame.
2.1.15	Or, having removed the penis along with the testicles, he should go between the southern and western directions, carrying a pot of water, until he falls down.
2.1.16	A thief, having scattered his hair, taking a mallet of iron, and going with it on his shoulder to the king, saying, “Strike me with this,” he may strike him with it.
1.21.19	It is known that on the Parvas, Rakshasas and Pisachas become unfaithful.
1.21.20	And on other occasions of miracles, there is no study for a day and night, except for mental study.
1.21.21	There is no study even in mental study at the time of birth and death.
2.1.17	But they say, “Taking a club in his hand, the thief would follow the king. ‘Punish me, O king, remembering the duty of the warrior class.’ Whether he is punished or released, the thief is freed from sin. But if the king does not punish him, he incurs the sin of the thief.”
2.1.18	One should burn the body with hot liquor.
1.21.22	And they say: The eighth day kills the teacher, the fourteenth day kills the disciple, the fifteenth day kills knowledge. Therefore one should avoid the Parvan days. Therefore one should abstain from the Parvan days."
2.1.1	Now then, the expiations.
2.1.2	One who has killed a fetus for twelve years.
2.1.19	If one drinks alcohol without the permission of the teacher, one should perform the Kṛcchra penance for a month and then be re-initiated.
2.1.20	The omission of the vow and rules of shaving is due to having performed it earlier.
2.1.21	It is also said: Having drunk alcohol without the permission, having eaten urine and feces, a Brahmin, a Kshatriya, or a Vaishya deserves to be re-initiated.
2.1.3	One should make a hut in a cemetery, using the head of a corpse as a flag, and live in it. One should wander for alms, practicing one's own duties, and sustain one's life with that. If one does not obtain (alms), one should fast.
2.1.4	One should perform a horse sacrifice, a cow sacrifice, or an Agniṣṭoma sacrifice.
2.1.5	One should purify oneself in the waters of the horse sacrifice.
2.1.6	And they also say: "Having killed a Brahmin unintentionally, one becomes sinful according to Dharma. The sages speak of atonement for that in the case of unintentional killing, but no atonement is found for intentional killing."
2.1.22	If one drinks water that has been kept in a vessel belonging to a Suradha, one should subsist on milk boiled with Shankhapushpi for six days.
2.1.23	If a student dies while under the care of his teacher, the teacher should perform three Krichchhra penances.
2.1.24	This is also applicable in the case of an unsanctified person.
2.1.25	A student who performs the funeral rites of a dead person, except for his mother, father, or teacher, loses his vow.
2.1.26	If he falls ill, he may eat all the leftovers of his teacher for the purpose of medicine.
2.1.27	He should be treated with whatever he desires.
2.1.28	When he is sick, he should rise and stand facing the sun, reciting the verse "O swan, dwelling in purity..."
2.1.29	If one has emitted semen during the day, one should drink water three times, reciting the verses "The waters that enter the heart..."
2.1.7	And having vomited, he should perform the Kṛcchra, the Ati-Kṛcchra, and the Cāndrāyaṇa, in the case of falling. And the Kṛcchhra and the Cāṇḍrāyaṇa, in the flow of blood. Therefore, one should not vomit, nor should one cause blood to flow.
2.1.8	Nine months for a king.
2.1.9	Three for a Vaiśya.
2.1.10	One year for a Śūdra.
2.1.11	And for a woman.
2.1.12	Like a Brāhmaṇa, for an Ātreyyā.
2.1.30	One who is a celibate and approaches a woman becomes an Avakīrṇī.
2.1.31	He should offer a donkey as a sacrificial animal.
2.1.32	The animal is Niṛti, the cake is Rakṣo-deity or Yama-deity.
2.1.33	It is known that the meat is cut from the penis and is offered in water with offerings.
2.1.16	A thief, having scattered his hair, taking a mallet of iron, and going with it on his shoulder to the king, saying, “Strike me with this,” he may strike him with it.
2.1.34	Or, having kindled the fire in the forest on the new-moon day, having performed the rite of kindling the fire with wood, he offers two oblations of ghee, saying, "I am scattered by desire, I am scattered by desire. O desire, to desire, svāhā. I am afflicted by desire, I have been afflicted by desire. O Desire, to Desire, svāhā."
2.1.17	But they say, “Taking a club in his hand, the thief would follow the king. ‘Punish me, O king, remembering the duty of the warrior class.’ Whether he is punished or released, the thief is freed from sin. But if the king does not punish him, he incurs the sin of the thief.”
2.1.18	One should burn the body with hot liquor.
2.1.35	Having offered the oblation, he should recite the following verse with folded hands: "May the Maruts sprinkle me, may Indra, may Brihaspati, may Agni sprinkle me with life and strength. May he make me long-lived."
2.1.36	Then his relatives, having brought a vessel of water to the assembly, he would say, "I have done thus and thus." The Brahmanas would say, "You have done this." The other one would reply, "Om." They would perform the Savaniya rite of completion.
2.1.19	If one drinks alcohol without the permission of the teacher, one should perform the Kṛcchra penance for a month and then be re-initiated.
2.1.20	The omission of the vow and rules of shaving is due to having performed it earlier.
2.1.21	It is also said: Having drunk alcohol without the permission, having eaten urine and feces, a Brahmin, a Kshatriya, or a Vaishya deserves to be re-initiated.
2.1.37	If a man has intercourse with a woman of the same clan, he should support her as if she were his mother.
2.1.38	If she becomes pregnant, he should perform the Kṛcchra penance for a year and a month, and then offer oblations with the verses, "What was mine, that has become yours. Agni has given me sight again."
2.1.39	Those who give away their daughters in marriage, those who perform the marriage rites, and those who receive the bride - all of them go to hell, along with the giver and the officiating priest.
2.1.22	If one drinks water that has been kept in a vessel belonging to a Suradha, one should subsist on milk boiled with Shankhapushpi for six days.
2.1.23	If a student dies while under the care of his teacher, the teacher should perform three Krichchhra penances.
2.1.24	This is also applicable in the case of an unsanctified person.
2.1.25	A student who performs the funeral rites of a dead person, except for his mother, father, or teacher, loses his vow.
2.1.26	If he falls ill, he may eat all the leftovers of his teacher for the purpose of medicine.
2.1.27	He should be treated with whatever he desires.
2.1.28	When he is sick, he should rise and stand facing the sun, reciting the verse "O swan, dwelling in purity..."
2.1.29	If one has emitted semen during the day, one should drink water three times, reciting the verses "The waters that enter the heart..."
2.2.9-10	Having performed any one of these, they should eat in moderation at the fourth time of the day, and drink water, following the ritual of the Savana. Engaging in dwelling and sitting, they can destroy that sin in three years.
2.2.11-12	The sin which a Brāhmaṇa commits in one night by serving a Kṛṣṇa-varṇa (i.e. a Śūdra) is removed by him in three years by bathing at the proper time.
2.1.34	Or, having kindled the fire in the forest on the new-moon day, having performed the rite of kindling the fire with wood, he offers two oblations of ghee, saying, "I am scattered by desire, I am scattered by desire. O desire, to desire, svāhā. I am afflicted by desire, I have been afflicted by desire. O Desire, to Desire, svāhā."
2.1.35	Having offered the oblation, he should recite the following verse with folded hands: "May the Maruts sprinkle me, may Indra, may Brihaspati, may Agni sprinkle me with life and strength. May he make me long-lived."
2.2.13	Going to a forbidden woman, to a friend of the Guru, to a friend who is a Guru, to an unworthy woman, to a fallen woman, and administering medicine, performing village sacrifices, living by the stage, being a teacher of dancing, protecting cows and buffaloes, and any other similar act that defiles a virgin, are the causes of loss of caste.
2.2.14	But their penance is the practice of the fallen, for two years.
2.2.15	Now the causes of impurity:
2.1.36	Then his relatives, having brought a vessel of water to the assembly, he would say, "I have done thus and thus." The Brahmanas would say, "You have done this." The other one would reply, "Om." They would perform the Savaniya rite of completion.
2.2.16	Gambling, sorcery, living on alms by one who has not kindled the sacred fire, living on alms after the prescribed period of study, living in the house of a preceptor for more than four months, and teaching and astrology to one who has not completed the prescribed period of Vedic study.
2.2.17	The period of their service is twelve months, twelve half-months, twelve days, twelve six-day periods, twelve three-day periods, one day, six days, three days, one day and night, one day.
2.1.37	If a man has intercourse with a woman of the same clan, he should support her as if she were his mother.
2.1.38	If she becomes pregnant, he should perform the Kṛcchra penance for a year and a month, and then offer oblations with the verses, "What was mine, that has become yours. Agni has given me sight again."
2.1.39	Those who give away their daughters in marriage, those who perform the marriage rites, and those who receive the bride - all of them go to hell, along with the giver and the officiating priest.
2.2.18	Then those who have fallen would live together, practising the duties, being each other's priests, each other's teachers, and marrying each other. Having produced sons, they would say, "O brahmins, go forth from here." They would thus be in agreement with the noble ones.
2.2.19	But if one who has fallen does not fall again,
2.2.20	then it should be known that even one who is deficient in limbs can produce a complete child.
2.2.9-10	Having performed any one of these, they should eat in moderation at the fourth time of the day, and drink water, following the ritual of the Savana. Engaging in dwelling and sitting, they can destroy that sin in three years.
2.2.24	For those who have been born from impure semen, there is expiation if they so desire.
2.2.25	For those who have fallen, the third part is for women, the third part.
2.2.26	And they also say: "Whatever one does with sesame seeds other than eating and anointing, one becomes a worm in dog excrement and sinks with one's ancestors."
2.2.11-12	The sin which a Brāhmaṇa commits in one night by serving a Kṛṣṇa-varṇa (i.e. a Śūdra) is removed by him in three years by bathing at the proper time.
2.2.27	He who sells sesamum seeds is selling his ancestors. He who sells rice is selling his life. He who gives his daughter in marriage is selling his share of good deeds.
2.2.28	Grass and wood may be sold without being altered.
2.2.29	But they also quote: "The cattle have one tooth, and the salt-extracted stone; this is your merchandise, O Brahman, and the thread is made of wool."
2.2.30	One should give a cow to a student who has committed a sin, after anointing her with clarified butter and sprinkling her with black sesame seeds.
2.2.31	Or for twelve days with Kūṣmāṇḍa.
2.2.13	Going to a forbidden woman, to a friend of the Guru, to a friend who is a Guru, to an unworthy woman, to a fallen woman, and administering medicine, performing village sacrifices, living by the stage, being a teacher of dancing, protecting cows and buffaloes, and any other similar act that defiles a virgin, are the causes of loss of caste.
2.2.14	But their penance is the practice of the fallen, for two years.
2.2.15	Now the causes of impurity:
2.2.32	One is freed from the sin of abortion, if one performs this penance.
2.2.33	One should perform the Kṛcchra penance for the accusation of a major sin.
2.2.34	The accuser should perform it for a year.
2.2.35	One falls down in a year, if one performs the rites of teaching and officiating at sacrifices, but not the rites of riding, sleeping and eating, of one who has fallen down.
2.2.17	The period of their service is twelve months, twelve half-months, twelve days, twelve six-day periods, twelve three-day periods, one day, six days, three days, one day and night, one day.
2.2.36	The expiation for eating impure food is the Naishadha penance, which is completed in seven days.
2.2.37	Drinking water, milk, ghee, and performing the Paraka penance for three days each, consecutively, is the Taptakrichchhra penance.
2.2.38	Eating only in the morning and evening for three days, without begging, is the Krichchhra penance.
2.2.18	Then those who have fallen would live together, practising the duties, being each other's priests, each other's teachers, and marrying each other. Having produced sons, they would say, "O brahmins, go forth from here." They would thus be in agreement with the noble ones.
2.2.19	But if one who has fallen does not fall again,
2.2.20	then it should be known that even one who is deficient in limbs can produce a complete child.
2.2.39-43	The three Prāgāka, Prāgāmaka and Prāgāmaika are the Kṛcchra for women, children and old people. One should eat as much as one takes at a time. This is the Ati-Kṛcchra. The third is the Abbhāsa. This is the Kṛcchrātikṛcchra. The Kṛcchra is the drinking of water three times. Sleeping on the ground.
2.2.21	This is false, says Hārīta.
2.2.22	Women are like the curd-pot, for when a man, without effort, churns milk in a curd-pot, the remaining milk is not used for any religious purpose.
2.2.23	Similarly, the semen that is produced from impurity is not used in conjunction with it.
2.2.44	Wearing only one cloth, shaving the hair, beard, body hair and nails.
2.2.45	This is the same for women, except for shaving the hair.
2.3.1	One who is always bathing, always wearing the sacred thread, always studying, avoiding the food of a vrsala, having intercourse during the season, and offering oblations according to the prescribed method, does not fall from the world of Brahman.
2.2.24	For those who have been born from impure semen, there is expiation if they so desire.
2.2.25	For those who have fallen, the third part is for women, the third part.
2.2.26	And they also say: "Whatever one does with sesame seeds other than eating and anointing, one becomes a worm in dog excrement and sinks with one's ancestors."
2.3.2	Manu divided the inheritance among his sons, so says the Śruti.
2.3.3	All of them should get equal shares, because there is no distinction.
2.3.4	The eldest son should take the best or the most beautiful.
2.3.5	Therefore, the Śruti says that the eldest son should be given wealth without any condition.
2.3.6	The eldest should take one out of ten.
2.3.7	The others should divide equally.
2.2.27	He who sells sesamum seeds is selling his ancestors. He who sells rice is selling his life. He who gives his daughter in marriage is selling his share of good deeds.
2.2.28	Grass and wood may be sold without being altered.
2.3.8	The division of inheritance is to be done with the permission of the father, if the father is alive.
2.3.9	The eldest share is to be given to the cows, horses, goats and sheep of the four castes.
2.3.10	When there is a union of a woman of different castes and a son, the inheritance should be divided after dividing it into ten parts, taking four, three, two and one respectively.
2.3.11	If an illegitimate son is born, those of the same caste should take one-third of the share.
2.3.12	If the son of a co-wife is superior to the son of the next wife, then he shall take the share of the elder.
2.3.13	For the superior son is the protector of the others.
2.2.32	One is freed from the sin of abortion, if one performs this penance.
2.2.33	One should perform the Kṛcchra penance for the accusation of a major sin.
2.2.34	The accuser should perform it for a year.
2.2.35	One falls down in a year, if one performs the rites of teaching and officiating at sacrifices, but not the rites of riding, sleeping and eating, of one who has fallen down.
2.3.14-15	If a son is born to a woman of the same caste as himself, begotten by himself, he should know that he is his own son. Or they say: "You are born from limb to limb, you are born from the heart, you are named the Self, live for a hundred autumns." Accepting that a son is born from a daughter, he is the son of the daughter, another grandson.
2.2.36	The expiation for eating impure food is the Naishadha penance, which is completed in seven days.
2.2.37	Drinking water, milk, ghee, and performing the Paraka penance for three days each, consecutively, is the Taptakrichchhra penance.
2.2.38	Eating only in the morning and evening for three days, without begging, is the Krichchhra penance.
2.3.16	But they say that the son of a prostitute should offer the first ball of rice to his mother, the second to his father, and the third to his grandfather.
2.3.17	He who is born after the death of his father, or by a eunuch or a sick man, or with the consent of another, in his own field, is called a field-born son.
2.3.18	He has two fathers and two families, and he inherits the property of both.
2.2.39-43	The three Prāgāka, Prāgāmaka and Prāgāmaika are the Kṛcchra for women, children and old people. One should eat as much as one takes at a time. This is the Ati-Kṛcchra. The third is the Abbhāsa. This is the Kṛcchrātikṛcchra. The Kṛcchra is the drinking of water three times. Sleeping on the ground.
2.3.19	If one offers the balls of rice to two fathers, then the names of the two fathers should be mentioned in each ball. If one offers six balls, then one should not be confused.
2.3.20	A child is given by the mother and father or by one of them for the purpose of offspring.
2.3.21	If one gives a child to another who is similar and has desire, then that is artificial.
2.2.44	Wearing only one cloth, shaving the hair, beard, body hair and nails.
2.2.45	This is the same for women, except for shaving the hair.
2.3.1	One who is always bathing, always wearing the sacred thread, always studying, avoiding the food of a vrsala, having intercourse during the season, and offering oblations according to the prescribed method, does not fall from the world of Brahman.
2.3.22	One born in secret in a house and discovered later is called a hidden-born.
2.3.23	One who is abandoned by his parents or by one of them and is adopted for the sake of progeny is called an abandoned.
2.3.24	One born to a woman who has not been given away, who has not been abandoned, is called a natural-born.
2.3.2	Manu divided the inheritance among his sons, so says the Śruti.
2.3.3	All of them should get equal shares, because there is no distinction.
2.3.4	The eldest son should take the best or the most beautiful.
2.3.5	Therefore, the Śruti says that the eldest son should be given wealth without any condition.
2.3.6	The eldest should take one out of ten.
2.3.7	The others should divide equally.
2.3.25	One born to a woman who is married to another man is called “born with the mother” (sahoḍha).
2.3.26	One who is bought from his parents or from one of them for the purpose of having a child is called “bought” (kṛta).
2.3.27	One born to a woman whose husband has been abandoned or who has died and who has taken another husband is called “born again” (punaḥ-bhavam).
2.3.8	The division of inheritance is to be done with the permission of the father, if the father is alive.
2.3.9	The eldest share is to be given to the cows, horses, goats and sheep of the four castes.
2.3.10	When there is a union of a woman of different castes and a son, the inheritance should be divided after dividing it into ten parts, taking four, three, two and one respectively.
2.3.11	If an illegitimate son is born, those of the same caste should take one-third of the share.
2.3.12	If the son of a co-wife is superior to the son of the next wife, then he shall take the share of the elder.
2.3.13	For the superior son is the protector of the others.
2.3.28	One who gives himself to another, without the consent of his parents, is called a self-given son.
2.3.29	A Niṣāda is born from a Śūdra woman of a Brāhmaṇa father.
2.3.30	Sons born of a Śūdra mother are called Pārasava.
2.3.31	They also quote: The sons of an unmarried girl, the son of a remarried woman, the son of an adulteress, the son of one who has given herself away, the son of the union of two consenting parties, the son of concealment, and the son of one abandoned—these are said to be entitled to inheritance.
2.3.14-15	If a son is born to a woman of the same caste as himself, begotten by himself, he should know that he is his own son. Or they say: "You are born from limb to limb, you are born from the heart, you are named the Self, live for a hundred autumns." Accepting that a son is born from a daughter, he is the son of the daughter, another grandson.
2.3.32	The son of a Śūdra woman by a Śūdra father is called a Kānīna, the son of a Śudra woman by a Vaiśya father is called a Sahōḍha, the son of an unmarried Śūdra woman is called a Kṛta, the son of the wife of a Śūtra by a Śūtra is called a Paunarbhava, the son of one who has given himself up is called a Svayandatta, and the son of a Niṣāda woman is called a Gotrabhāja.
2.3.33	Among these, the first is called the son of a Upajāṅghā.
2.3.16	But they say that the son of a prostitute should offer the first ball of rice to his mother, the second to his father, and the third to his grandfather.
2.3.17	He who is born after the death of his father, or by a eunuch or a sick man, or with the consent of another, in his own field, is called a field-born son.
2.3.18	He has two fathers and two families, and he inherits the property of both.
2.3.34	Now, O father of women, I am jealous of women, not of old, because in Yama's abode they say to the son of the creator, "The one who gives seed takes the son to Yama's abode." Therefore, those who are afraid of other men's seed should protect their own wives.
2.3.19	If one offers the balls of rice to two fathers, then the names of the two fathers should be mentioned in each ball. If one offers six balls, then one should not be confused.
2.3.20	A child is given by the mother and father or by one of them for the purpose of offspring.
2.3.21	If one gives a child to another who is similar and has desire, then that is artificial.
2.3.22	One born in secret in a house and discovered later is called a hidden-born.
2.3.23	One who is abandoned by his parents or by one of them and is adopted for the sake of progeny is called an abandoned.
2.3.24	One born to a woman who has not been given away, who has not been abandoned, is called a natural-born.
2.3.37	They should be supported by the past practices, by food and clothing.
2.3.38	And those who are blind, dull, impotent, afflicted by disease, etc.
2.3.39	Those who are not engaged in action.
2.3.40	Except those who have fallen and their offspring.
2.3.41	There is no interaction with the fallen.
2.3.42	But he should support even a fallen mother, without speaking to her.
2.3.43	Daughters should inherit the ornaments of their mother or other things.
2.3.44	A woman has no independence.
2.3.45	It is said: A father protects her in childhood, a husband protects her in youth, and a son protects her in old age. A woman is not fit to be independent.
2.3.46	The Vedas say that women are without senses and without inheritance.
2.3.25	One born to a woman who is married to another man is called “born with the mother” (sahoḍha).
2.3.26	One who is bought from his parents or from one of them for the purpose of having a child is called “bought” (kṛta).
2.3.27	One born to a woman whose husband has been abandoned or who has died and who has taken another husband is called “born again” (punaḥ-bhavam).
2.3.47	Those who strive for the welfare of their husbands should conquer the heavenly world.
2.3.48	In violation, there is Kṛcchra.
2.3.49	One should perform Cāndrāyaṇa for a Śūdra.
2.3.50	For a Vaiśya and others, one should perform Kṛcchra, Ati-Kṛcchra, etc., in reverse order.
2.3.51	For men belonging to the Brāhmaṇa and other castes, there is celibacy for one year.
2.3.52	One should burn a Śūdra with a fire of cow-dung.
2.3.53	Here is also a statement:
2.3.28	One who gives himself to another, without the consent of his parents, is called a self-given son.
2.3.29	A Niṣāda is born from a Śūdra woman of a Brāhmaṇa father.
2.3.30	Sons born of a Śūdra mother are called Pārasava.
2.3.31	They also quote: The sons of an unmarried girl, the son of a remarried woman, the son of an adulteress, the son of one who has given herself away, the son of the union of two consenting parties, the son of concealment, and the son of one abandoned—these are said to be entitled to inheritance.
2.4.1	The punishment for a non-Brahmin is to be taken in the form of his body.
2.4.2	The wives of all castes are to be protected more than wealth.
2.4.3	But there is no killing of the wives of actors or those who enter the stage, because they are connected with them, and they move even those who are hidden.
2.4.4	Women are pure and incomparable; they are never defiled. Their monthly flow removes sins every month.
2.4.5	Soma gave them purity, Gandharva gave them the art of singing, and Agni gave them the right to eat everything. Therefore, women are free from sin.
2.3.32	The son of a Śūdra woman by a Śūdra father is called a Kānīna, the son of a Śudra woman by a Vaiśya father is called a Sahōḍha, the son of an unmarried Śūdra woman is called a Kṛta, the son of the wife of a Śūtra by a Śūtra is called a Paunarbhava, the son of one who has given himself up is called a Svayandatta, and the son of a Niṣāda woman is called a Gotrabhāja.
2.3.33	Among these, the first is called the son of a Upajāṅghā.
2.3.34	Now, O father of women, I am jealous of women, not of old, because in Yama's abode they say to the son of the creator, "The one who gives seed takes the son to Yama's abode." Therefore, those who are afraid of other men's seed should protect their own wives.
2.4.6	If a woman has no children, she should abandon her husband in the tenth year, if she has children of another man, in the twelfth year, if her children are dead, in the fifteenth year, and if she speaks unpleasant words, immediately.
2.4.7	A widow should avoid honey, meat, wine, and salt for a year, and should sleep on the ground.
2.4.8	Maudgalyāyana says for six months.
2.4.9	Beyond that, if a woman has no son, she should conceive a son with the permission of her elders.
2.3.35	Be not negligent, guard this thread; let not the seeds of others be sown in your field. The son of the progenitor becomes the son in the next world; he who knows the truth makes this thread fruitful.
2.3.36	For those who have not yet begun to transact business, they should deposit their shares along with the interest, well-concealed, until they are able to transact business.
2.4.10	But they say that a woman who has given birth to a son, who is free from menstrual impurity, whose offspring have died, and who is not desirous, should not be engaged.  The fruit of her is not found.
2.4.11	The sister of the mother, the father, the brother, the sister, the daughter-in-law, the maternal aunt, the wife of a friend, these are the forbidden ones.
2.4.12	For approaching the forbidden ones, the expiation is Kṛcchra, Atikṛcchra, and Cāndrāyaṇa.
2.3.37	They should be supported by the past practices, by food and clothing.
2.3.38	And those who are blind, dull, impotent, afflicted by disease, etc.
2.3.39	Those who are not engaged in action.
2.3.40	Except those who have fallen and their offspring.
2.3.41	There is no interaction with the fallen.
2.3.42	But he should support even a fallen mother, without speaking to her.
2.4.13	This explains the intercourse with a Cāṇḍāla woman.
2.4.14	But they also quote: A Brāhmaṇa who has gone to a Cāṇdālī, eaten and accepted gifts, falls due to ignorance, but by knowledge he attains equality.
2.4.15	Going to the wife of his father, preceptor, or king, out of carelessness, he becomes a preceptor-slayer. The redemption is as stated before.
2.3.43	Daughters should inherit the ornaments of their mother or other things.
2.3.44	A woman has no independence.
2.3.45	It is said: A father protects her in childhood, a husband protects her in youth, and a son protects her in old age. A woman is not fit to be independent.
2.3.46	The Vedas say that women are without senses and without inheritance.
2.4.16	One who is unable to earn a living by teaching, officiating at sacrifices, and receiving gifts should live by the duties of a warrior, because of the proximity of the duties of a brahmin.
2.4.17	Gautama says, "No," because the duties of a kshatriya are very harsh for a brahmin. Here is the text:
2.4.18	But they say, "In the case of a cow or a brahmin, or in the case of a mixture of castes, the brahmin and the kshatriya may take up arms, considering dharma."
2.3.47	Those who strive for the welfare of their husbands should conquer the heavenly world.
2.3.48	In violation, there is Kṛcchra.
2.3.49	One should perform Cāndrāyaṇa for a Śūdra.
2.3.50	For a Vaiśya and others, one should perform Kṛcchra, Ati-Kṛcchra, etc., in reverse order.
2.3.51	For men belonging to the Brāhmaṇa and other castes, there is celibacy for one year.
2.3.52	One should burn a Śūdra with a fire of cow-dung.
2.3.53	Here is also a statement:
2.4.19	The livelihood of a vaiśya should be followed, because of its proximity.
2.4.20	A farmer should be before the morning meal.
2.4.21	He should not strike with the two ends of the plough, which are without nostrils, and should repeatedly raise it.
