1.1.1	Now the duties of the castes and stages of life.
2.3.6	Having established a forest hermitage in a secluded place in the forest, on a mountain, or on the banks of a river, one should make the Agni Kundas as described.
2.3.7	Taking the fire along with his wife and with the requisite articles, he retires to the forest hermitage.
2.4.1	Having sprinkled the fire-place, dug out the lines, drawn six lines, placed a piece of gold and grains, he should place the fire for the ascetic.
2.3.3	Having stood, he takes the staff of the deity with the two formulas, "Thou art the staff of the god," "Thou art the firm staff." He takes the staff of Vishnu, which is straight, without bends, and is joined with one of the five, seven or nine joints.
2.3.4	"With which the gods," he takes the water-pot and the pot for holding earth, as before. He takes the umbrella and the sandals.
2.4.2	He collects wild, royal, and tree-grown herbs, the Kūlika grass, the Śaṇa grass, the ancient Kuśa and Darbha grass, the wool-like grass, the bark of the Plakṣa tree, fragrant incense, Guggula resin, pieces of gold, and the sunstone.
2.4.3	Having taken the priests of the Vanaprastha stage, having kindled the fire, having established the three fires, or the five fires, in the order of Agni-adheya, having offered two oblations twice, he offers regularly twice a day with only forest-gathered oblations.
2.3.5	Having kindled the fires, Gārhapatya and others, and having offered Agnihotra, he offers Prajapatya and Viṣṇu Sūkta in the Āhavanīya fire, saying "Svāhā to Agni, Svāhā to Soma, Svāhā Viṣṇu" and then places the fires in the Āraṇya fire.
2.3.6	Having established a forest hermitage in a secluded place in the forest, on a mountain, or on the banks of a river, one should make the Agni Kundas as described.
2.3.7	Taking the fire along with his wife and with the requisite articles, he retires to the forest hermitage.
2.4.1	Having sprinkled the fire-place, dug out the lines, drawn six lines, placed a piece of gold and grains, he should place the fire for the ascetic.
2.4.4	The ascetic in the forest observes ten rules of conduct, viz., bathing, cleanliness, study, austerity, giving, sacrifice, seclusion, restraint of the senses, vow, and silence. He also observes ten virtues, viz., truthfulness, non-violence, honesty, forgiveness, self-control, satisfaction, kindness, gentleness, non-injury, and sweetness.
2.4.2	He collects wild, royal, and tree-grown herbs, the Kūlika grass, the Śaṇa grass, the ancient Kuśa and Darbha grass, the wool-like grass, the bark of the Plakṣa tree, fragrant incense, Guggula resin, pieces of gold, and the sunstone.
2.4.5	With devotion, meditating on Vishnu, not abandoning the Agnihotra and Sramana fire twice a day, abandoning village food, having resolved to eat only forest herbs, fruits, roots, and vegetables, he says, "The earth is covered," and in the afternoon, either himself or his wife cooks the oblation.
2.4.3	Having taken the priests of the Vanaprastha stage, having kindled the fire, having established the three fires, or the five fires, in the order of Agni-adheya, having offered two oblations twice, he offers regularly twice a day with only forest-gathered oblations.
2.4.6	After the Vaiśvadeva rite, having fed the guests who have arrived, he eats in moderation.
2.5.1	He should not eat at night.
2.5.2	Having spread darbha grass, grass, and leaves below, a well-behaved person should sleep alone with his well-behaved wife.
2.5.3	He serves her.
2.5.4	He should avoid approaching her.
2.4.4	The ascetic in the forest observes ten rules of conduct, viz., bathing, cleanliness, study, austerity, giving, sacrifice, seclusion, restraint of the senses, vow, and silence. He also observes ten virtues, viz., truthfulness, non-violence, honesty, forgiveness, self-control, satisfaction, kindness, gentleness, non-injury, and sweetness.
2.5.5	Like a mother, without desire, looking upward, with controlled semen, and with controlled senses,
2.5.6	One should offer the Darsha-Pūrnamāsa, Cāturmāsya, Nakṣatra-Iști, Āgrayana-Iști, and the Vanauṣadhi (rites) with wild herbs, in sequence, as before.
2.5.7	By means of roots, fruits, leaves, flowers, which are ripe in their own time and have fallen by themselves, he should continue his life and practice austerities more and more, which are distinguished by fruits etc.
2.4.5	With devotion, meditating on Vishnu, not abandoning the Agnihotra and Sramana fire twice a day, abandoning village food, having resolved to eat only forest herbs, fruits, roots, and vegetables, he says, "The earth is covered," and in the afternoon, either himself or his wife cooks the oblation.
2.4.6	After the Vaiśvadeva rite, having fed the guests who have arrived, he eats in moderation.
2.5.1	He should not eat at night.
2.5.2	Having spread darbha grass, grass, and leaves below, a well-behaved person should sleep alone with his well-behaved wife.
2.5.3	He serves her.
2.5.4	He should avoid approaching her.
2.5.5	Like a mother, without desire, looking upward, with controlled semen, and with controlled senses,
2.5.6	One should offer the Darsha-Pūrnamāsa, Cāturmāsya, Nakṣatra-Iști, Āgrayana-Iști, and the Vanauṣadhi (rites) with wild herbs, in sequence, as before.
2.5.9	The difference between a householder and a monk is that the latter has the fire of asceticism.
2.5.10	And the one without a wife, like a monk, having offered oblations into the fire, having thrown the forest and other vessels, having entrusted his wife to his son, having placed the fires on himself, having collected the bark garment, the sacred thread, etc., and the alms bowl, having gone to the forest without fire and without a wife, he should dwell in the forest.
2.5.7	By means of roots, fruits, leaves, flowers, which are ripe in their own time and have fallen by themselves, he should continue his life and practice austerities more and more, which are distinguished by fruits etc.
2.5.11	This is the root of austerities, and therefore the fire of austerities is called the fire of austeries.
2.6.1	When one becomes desirous of yoga, having reflected on birth, death, old age, etc., after one has become old, childless, or widowed, beyond seventy years, then one should renounce.
2.6.2	Or, having entrusted his wife to his son, and having fixed his mind on the Supreme Self, he should renounce from the forest.
2.5.8	Then having placed all the fires in the Āraṇyā fire, having collected all the fires from the earth and from the trees with all the mantras of Samvāpa, having churned the fire with this procedure and with the mantras of Agniādheya, having placed the Śrāmaṇaka fire in the place of the Sabyā fire, one should bring it.
2.6.3	Having shaved himself in accordance with the prescribed manner, having performed the Prajapati rite outside the village, having taken the three staffs, the bag, the saffron robe, the water-pot, the impure, the clay-pot, and the alms-bowl in the morning, having eaten the three-layered meal, having fasted, having bathed and offered Agnihotra and Vaishvadev oblations on the next day in the morning, he should offer the Vaishvanara oblation in twelve potsherds.
2.5.9	The difference between a householder and a monk is that the latter has the fire of asceticism.
2.5.10	And the one without a wife, like a monk, having offered oblations into the fire, having thrown the forest and other vessels, having entrusted his wife to his son, having placed the fires on himself, having collected the bark garment, the sacred thread, etc., and the alms bowl, having gone to the forest without fire and without a wife, he should dwell in the forest.
2.5.11	This is the root of austerities, and therefore the fire of austerities is called the fire of austeries.
2.6.1	When one becomes desirous of yoga, having reflected on birth, death, old age, etc., after one has become old, childless, or widowed, beyond seventy years, then one should renounce.
2.6.4	Having performed the Homa of the Full-oblation in the Ahavaniya fire after consecrating the clarified butter in the Garhapatya fire, he offers the Purusha-sutra and then offers with the mantra, "To Agni, Soma, Dhruva, Dhruva-making, the Supreme Self, Narayana, Svāhā."
2.7.1	Taking four spoonfuls in the ladle and spoon, one should offer to all the fires with the mantra, "Oṃ svāhā."
2.6.2	Or, having entrusted his wife to his son, and having fixed his mind on the Supreme Self, he should renounce from the forest.
2.7.2	The sacrificial vessels, except those made of clay and stone, are to be thrown into the Ahavaniya fire.
2.7.3	A householder who has not yet kindled the sacred fires, or one who is living in a forest hermitage, should offer oblations in the fire of a fellow ascetic and then throw the vessels into it.
2.6.3	Having shaved himself in accordance with the prescribed manner, having performed the Prajapati rite outside the village, having taken the three staffs, the bag, the saffron robe, the water-pot, the impure, the clay-pot, and the alms-bowl in the morning, having eaten the three-layered meal, having fasted, having bathed and offered Agnihotra and Vaishvadev oblations on the next day in the morning, he should offer the Vaishvanara oblation in twelve potsherds.
2.7.4	Having recited the Savitri verse in the reverse order of the half-verses, and then in the forward order, he should enter the hermitage for alms.
2.7.5	Standing within the altar, he should smell each of the fires, starting with the Garhapatya, three times, reciting "O Agni, you who are worthy of sacrifice," and then place them on himself, reciting "May we be of one mind with you."
2.6.4	Having performed the Homa of the Full-oblation in the Ahavaniya fire after consecrating the clarified butter in the Garhapatya fire, he offers the Purusha-sutra and then offers with the mantra, "To Agni, Soma, Dhruva, Dhruva-making, the Supreme Self, Narayana, Svāhā."
2.7.1	Taking four spoonfuls in the ladle and spoon, one should offer to all the fires with the mantra, "Oṃ svāhā."
2.7.6	Having thrice uttered the formula, "The earth, the midregion, the heaven, I have deposited," and having thrice uttered the formula of the Prāṣaṅga rite, he should drink water once with his right hand, perform Ācamana, and then thrice release the water in the form of a handful.
2.7.7	He gives the girdle, four or one sacred thread, the antelope skin, and the upper garment, as before.
2.7.2	The sacrificial vessels, except those made of clay and stone, are to be thrown into the Ahavaniya fire.
2.7.3	A householder who has not yet kindled the sacred fires, or one who is living in a forest hermitage, should offer oblations in the fire of a fellow ascetic and then throw the vessels into it.
2.8.1	"O god, may thy staff protect me, my friend." With three (verses) he takes the staff. "That which is beyond the dust, the sieve by which the gods." The sieve. "By which the gods, the light." The water-pot. He takes the pot and the clay-vessel.
2.8.2	Having bathed, one should perform the Aghāmarṣaṇa rite with the Aghārmarṣaṇa Sūkta.
2.7.4	Having recited the Savitri verse in the reverse order of the half-verses, and then in the forward order, he should enter the hermitage for alms.
2.7.5	Standing within the altar, he should smell each of the fires, starting with the Garhapatya, three times, reciting "O Agni, you who are worthy of sacrifice," and then place them on himself, reciting "May we be of one mind with you."
2.8.3	Having sipped water, performed sixteen breath-control exercises, and recited the Savitri mantra a thousand or hundred times, he then takes the alms bowl, which may be made of gourd, wood, or clay.
2.8.4-6	Then, having offered libations to the gods with the seven Vyāhrtis beginning with Pranava, and having offered libations with the first four to the ancestors with the words "Svāhā," one should worship the sun with the words "We have risen from darkness." Having released the water-offering, one should give protection to all beings.
2.7.6	Having thrice uttered the formula, "The earth, the midregion, the heaven, I have deposited," and having thrice uttered the formula of the Prāṣaṅga rite, he should drink water once with his right hand, perform Ācamana, and then thrice release the water in the form of a handful.
2.7.7	He gives the girdle, four or one sacred thread, the antelope skin, and the upper garment, as before.
2.8.7	The ascetic, devoted to the Self, eating alms, controlling himself, and practicing restraint, sees the Supreme Self by means of meditation.
2.9.1	The righteous conduct is always
2.9.2	Wearing the sacred thread on the right ear, sitting with the knees raised, facing north during the day and south during the night, one should relieve oneself in a place covered with grass, keeping urine and feces separate.
2.8.1	"O god, may thy staff protect me, my friend." With three (verses) he takes the staff. "That which is beyond the dust, the sieve by which the gods." The sieve. "By which the gods, the light." The water-pot. He takes the pot and the clay-vessel.
2.8.2	Having bathed, one should perform the Aghāmarṣaṇa rite with the Aghārmarṣaṇa Sūkta.
2.8.3	Having sipped water, performed sixteen breath-control exercises, and recited the Savitri mantra a thousand or hundred times, he then takes the alms bowl, which may be made of gourd, wood, or clay.
2.8.4-6	Then, having offered libations to the gods with the seven Vyāhrtis beginning with Pranava, and having offered libations with the first four to the ancestors with the words "Svāhā," one should worship the sun with the words "We have risen from darkness." Having released the water-offering, one should give protection to all beings.
2.8.7	The ascetic, devoted to the Self, eating alms, controlling himself, and practicing restraint, sees the Supreme Self by means of meditation.
2.9.1	The righteous conduct is always
2.9.2	Wearing the sacred thread on the right ear, sitting with the knees raised, facing north during the day and south during the night, one should relieve oneself in a place covered with grass, keeping urine and feces separate.
2.10.1	A Brāhmaṇa should sip water with the water held in the heart, a Kṣatriya with that held in the throat, and a Vaiśya with that held at the palate.
2.10.2	Having sprinkled oneself, one should release the water towards the sun and circumambulate the sun.
2.9.3	He should not perform it in a river, a cowpen, a path, a shadow, ashes, water, a kuśa grass, or a darbha grass.
2.9.4	He should not perform it while looking at a cow, a brahmin, water, fire, wind, the sun, a star, the moon.
2.10.3	Having restrained the breath on the left side of the water and fire, one should recite the Gayatri three times, beginning with Om and ending with the seven Vyahrtis, along with the head.
2.10.4	That is the Pranayama.
2.10.5	Having performed three or one Pranayama, one becomes pure.
2.9.5	Holding the penis with the left hand, he should rise and sit on the side of water. The celibate or householder should apply mud to the penis twice, to both hands twice, and to the anus six times, and perform cleanliness with water drawn from the same source.
2.9.6	He should wash his left hand ten times, both hands, and then wash the mud with water.
2.10.6	One who has recited the Savitri mantra one hundred, ten or eight times at dusk and dawn, is freed from the sins of the day and night.
2.10.7	A twice-born person who neglects the worship of the twilight becomes equal to a Shudra.
2.10.8	A student should greet by reciting his own name, saying "I am so-and-so".
2.9.7	For a monk in the forest, it is doubled.
2.9.8	At night, it is half of what is mentioned.
2.9.9	In the emission of semen, cleanliness should be done like urine.
2.9.10	Some say it should be done three times.
2.9.11	He, wearing the sacred thread, facing east or north, having defecated elsewhere, washes his feet and hands with water and earth as before, and sips water with a mantra.
2.10.9	Touching the ear to the right foot of the teacher with the right hand, and the left foot with the left hand, and bending the head, he salutes, holding the feet above the knees.
2.10.10	He should bless him, saying, "May you live long, O gentle one."
2.10.11	One who does not bless should not be saluted.
2.10.12	Mother, father, teacher, and learned ones should be saluted daily.
2.10.1	A Brāhmaṇa should sip water with the water held in the heart, a Kṣatriya with that held in the throat, and a Vaiśya with that held at the palate.
2.10.2	Having sprinkled oneself, one should release the water towards the sun and circumambulate the sun.
2.11.1	Other relatives, having gone away and returned, should be greeted.
2.11.2	The elder brother, maternal uncle, father-in-law, and father-in-laws are to be honoured like a father. The paternal aunt, maternal aunt, elder wife, and elder sister are to be honoured as mothers.
2.11.3	The mother is the best of all, and the teacher is the best.
2.10.3	Having restrained the breath on the left side of the water and fire, one should recite the Gayatri three times, beginning with Om and ending with the seven Vyahrtis, along with the head.
2.10.4	That is the Pranayama.
2.10.5	Having performed three or one Pranayama, one becomes pure.
2.11.4	One should not touch a young woman or the ground while saluting.
2.11.5	By saluting the venerable ones, one attains longevity, knowledge, strength, health, and auspiciousness.
2.11.6	One should not wear the sacred thread, girdle, deer skin, or staff held by others.
2.10.6	One who has recited the Savitri mantra one hundred, ten or eight times at dusk and dawn, is freed from the sins of the day and night.
2.10.7	A twice-born person who neglects the worship of the twilight becomes equal to a Shudra.
2.10.8	A student should greet by reciting his own name, saying "I am so-and-so".
2.11.7	Having taken up the study of the Veda beginning with the Pranava, he should not study on the new moon day, full moon day, the fourteenth day of the dark and bright fortnights, and the eighth day of the dark fortnight.
2.11.8	There is no prohibition on studying during daily recitation and offering of oblations.
2.10.9	Touching the ear to the right foot of the teacher with the right hand, and the left foot with the left hand, and bending the head, he salutes, holding the feet above the knees.
2.10.10	He should bless him, saying, "May you live long, O gentle one."
2.10.11	One who does not bless should not be saluted.
2.10.12	Mother, father, teacher, and learned ones should be saluted daily.
2.11.9	When a cat, a mongoose, a frog, a snake, a jackal, a boar, or a cow enters the house, there is impurity for a day and night. The period of impurity lasts until the house is cleaned. In the case of the three Ashtakas, when the preceptor or a relative dies, there is no study for three days.
2.11.1	Other relatives, having gone away and returned, should be greeted.
2.11.2	The elder brother, maternal uncle, father-in-law, and father-in-laws are to be honoured like a father. The paternal aunt, maternal aunt, elder wife, and elder sister are to be honoured as mothers.
2.11.3	The mother is the best of all, and the teacher is the best.
2.11.4	One should not touch a young woman or the ground while saluting.
2.11.5	By saluting the venerable ones, one attains longevity, knowledge, strength, health, and auspiciousness.
2.11.6	One should not wear the sacred thread, girdle, deer skin, or staff held by others.
2.12.2	One should not study when one is on a tree, in a boat, or on a bed; when one has stretched out one's feet; when one is urinating, defecating, or ejaculating; when there is a dead body in the village; when one is eating forbidden food; when one is vomiting; when one is in a cemetery; when there is thunder at dusk; when there is an earthquake; when there is fire in the directions; when there is lightning or hail; when there is rain of blood, stones, or dust; when there is eclipse of the sun or moon by Rahu.
2.11.7	Having taken up the study of the Veda beginning with the Pranava, he should not study on the new moon day, full moon day, the fourteenth day of the dark and bright fortnights, and the eighth day of the dark fortnight.
2.11.8	There is no prohibition on studying during daily recitation and offering of oblations.
2.12.3	The Veda is conducive to welfare here and hereafter.
2.12.4	It should be studied.
2.12.5	At the end, having dismissed the Praṇava, he speaks.
2.12.6	Having offered oblations in the worldly fire, the mendicant should eat the pure food that bestows wisdom, silently.
2.11.9	When a cat, a mongoose, a frog, a snake, a jackal, a boar, or a cow enters the house, there is impurity for a day and night. The period of impurity lasts until the house is cleaned. In the case of the three Ashtakas, when the preceptor or a relative dies, there is no study for three days.
2.12.1	When the husband, wife, son, or a disciple of the teacher dies, there is a day of suspension of study in the human sacrifice and in the śrāddha meal. There is no suspension of study in case of death of a relative or a friend.
2.13.1	At midday, having washed his feet and hands in pure water, having purified his limbs, he should immerse himself in the water, saying, "May the waters purify me."
2.13.2	Having sipped water, he should bow to Vishnu with the mantras of the Vaishnavas, "Vishnu with golden horns" and to Varuna, and having performed the Agharshana rite with the Agharshanasukta, he should bathe, saying, "These waters are auspicious."
2.12.2	One should not study when one is on a tree, in a boat, or on a bed; when one has stretched out one's feet; when one is urinating, defecating, or ejaculating; when there is a dead body in the village; when one is eating forbidden food; when one is vomiting; when one is in a cemetery; when there is thunder at dusk; when there is an earthquake; when there is fire in the directions; when there is lightning or hail; when there is rain of blood, stones, or dust; when there is eclipse of the sun or moon by Rahu.
2.13.3	The four orders of life perform the daily ablutions according to the rules laid down before. They also perform the ablutions for specific purposes and for specific occasions.
2.13.4	Having covered himself with a washed garment, having sipped water as before, having sprinkled himself, having performed the Pranayama, having recited the Savitri, he should worship the Sun while sitting or standing.
2.12.3	The Veda is conducive to welfare here and hereafter.
2.12.4	It should be studied.
2.12.5	At the end, having dismissed the Praṇava, he speaks.
2.12.6	Having offered oblations in the worldly fire, the mendicant should eat the pure food that bestows wisdom, silently.
2.13.5	Having worshipped the gods with the right hand, the Brahmins with the Brahmic water, Narayana and others with the divine water, Viswamitra and others with the water of the well, and the ancestors with the water of ancestors, one who is going to perform the Brahma-yajna should recite the first three chapters of the Yajur-veda as much as he desires, saying "To the sun, to the sun" and should study.
2.13.6	He should study the Vedic mantras beginning with the verses "What is prescribed, what is true, what is real, what is eternal" and so on.
2.13.7	The Brahma-yajna is the beginning of all sacrifices.
2.13.8	Therefore, it should be performed by Brahmins from the time of Upanayana onwards.
2.13.9	One should bathe in a river, a sacred place, a pond, a lake, or a pool.
2.13.1	At midday, having washed his feet and hands in pure water, having purified his limbs, he should immerse himself in the water, saying, "May the waters purify me."
2.13.2	Having sipped water, he should bow to Vishnu with the mantras of the Vaishnavas, "Vishnu with golden horns" and to Varuna, and having performed the Agharshana rite with the Agharshanasukta, he should bathe, saying, "These waters are auspicious."
2.14.1	One should take five lumps of clay from the water of another person and bathe.
2.14.2	In a well, on its bank, or in a pot, one should sprinkle oneself three times.
2.14.3	One should not bathe naked or while still unclean.
2.14.4	One should also not sleep like that.
2.14.5	One who is sick should not plunge into water.
2.13.3	The four orders of life perform the daily ablutions according to the rules laid down before. They also perform the ablutions for specific purposes and for specific occasions.
2.13.4	Having covered himself with a washed garment, having sipped water as before, having sprinkled himself, having performed the Pranayama, having recited the Savitri, he should worship the Sun while sitting or standing.
2.14.6	When a sick person is bathing for some reason, the healthy person should enter the water ten or twelve times and then touch the sick person after rinsing.
2.14.7	Then he becomes purified.
2.14.8	After the two-time offering, having washed his feet and rinsed his mouth, he should sit facing east or west on a square, well-smeared mandala and place a pure vessel.
2.13.5	Having worshipped the gods with the right hand, the Brahmins with the Brahmic water, Narayana and others with the divine water, Viswamitra and others with the water of the well, and the ancestors with the water of ancestors, one who is going to perform the Brahma-yajna should recite the first three chapters of the Yajur-veda as much as he desires, saying "To the sun, to the sun" and should study.
2.14.9	There he places the food and worships it.
2.14.10	Placing one or two feet on the ground, he sprinkles it in the evening, saying, "I sprinkle you with truth, O pleased one." In the morning, he sprinkles it, saying, "With truth, O one who is pleased." Having drunk water in the morning, having offered the Pranahomas according to the prescribed method, he eats the food without fault.
2.13.6	He should study the Vedic mantras beginning with the verses "What is prescribed, what is true, what is real, what is eternal" and so on.
2.13.7	The Brahma-yajna is the beginning of all sacrifices.
2.13.8	Therefore, it should be performed by Brahmins from the time of Upanayana onwards.
2.13.9	One should bathe in a river, a sacred place, a pond, a lake, or a pool.
2.14.11	Having drunk water, one should sip water and rinse the mouth, saying, "May I enjoy the covering of nectar."
2.14.12	One who is naked, lying down, standing, not bathing, not reciting, not offering oblations, with dry feet, or facing north does not eat.
2.14.13	One should not eat food in a broken vessel, stale food, or food that is on a bed, seat, or lap.
2.14.14	One should drink water with cupped hands.
2.14.1	One should take five lumps of clay from the water of another person and bathe.
2.14.2	In a well, on its bank, or in a pot, one should sprinkle oneself three times.
2.14.3	One should not bathe naked or while still unclean.
2.14.4	One should also not sleep like that.
2.14.5	One who is sick should not plunge into water.
2.14.6	When a sick person is bathing for some reason, the healthy person should enter the water ten or twelve times and then touch the sick person after rinsing.
2.14.7	Then he becomes purified.
2.14.8	After the two-time offering, having washed his feet and rinsed his mouth, he should sit facing east or west on a square, well-smeared mandala and place a pure vessel.
2.14.15	One should not eat food touched by an outcast, a person in an impure state, or a person in an unclean state, or food touched by a person in a state of impurity or a dead body.
2.15.1	Sesamum, barley, curd, and honey are not to be eaten at night.
2.15.2	Food that has been kept overnight can be eaten if it is mixed with ghee or curd.
2.15.3	Food that is infested with worms, hair, or insects, or that has been touched by a cow, or that has beeen eaten by birds, or that has beem sprinkled with ashes, is purified.
2.15.4	In the case of food that has been defiled by dogs, crows, etc., one should take only as much as is needed for a person, remove it from there, and sprinkle it with ashes and water, reciting, "May Pavamana be the best." Then, touching it with a darbha grass blade, one should take it.
2.14.11	Having drunk water, one should sip water and rinse the mouth, saying, "May I enjoy the covering of nectar."
2.14.12	One who is naked, lying down, standing, not bathing, not reciting, not offering oblations, with dry feet, or facing north does not eat.
2.14.13	One should not eat food in a broken vessel, stale food, or food that is on a bed, seat, or lap.
2.14.14	One should drink water with cupped hands.
2.15.5	The milk of a cow that has calved within ten days, the milk of a she-camel, and the milk of a female of a one-hoofed animal, and the bulbous roots, garlic, onion, and the Vidanga fruit, and the fish and meat not mentioned, should be avoided.
2.15.6	Meat that is left over from a sacrifice should be eaten.
2.15.7	One should avoid food touched by an outcast, or touched by those who follow the outcasts, or the food of those (outcasts).
2.15.8	The food of those who follow their own duties and are in conformity with the Śūdras should be accepted by one who is hungry.
2.15.9	One should not accept even cooked food from those who are in conflict with the rules, even if one is hungry.
2.15.10	He abandons what has been touched or mixed by them, and what has been cooked by others.
2.14.15	One should not eat food touched by an outcast, a person in an impure state, or a person in an unclean state, or food touched by a person in a state of impurity or a dead body.
2.15.1	Sesamum, barley, curd, and honey are not to be eaten at night.
2.15.2	Food that has been kept overnight can be eaten if it is mixed with ghee or curd.
2.15.3	Food that is infested with worms, hair, or insects, or that has been touched by a cow, or that has beeen eaten by birds, or that has beem sprinkled with ashes, is purified.
2.15.11	Performing the duties as enjoined in the Vedas and Smritis, he gradually practices Dharma by means of his mental, verbal and physical actions.
3.1.1	A householder should wear two sacred threads, carry a bamboo staff, a water pot.
3.1.2	After bathing with his wife, he should perform the domestic rites in the domestic fire and the Vedic rites in the Vedic fires.
2.15.4	In the case of food that has been defiled by dogs, crows, etc., one should take only as much as is needed for a person, remove it from there, and sprinkle it with ashes and water, reciting, "May Pavamana be the best." Then, touching it with a darbha grass blade, one should take it.
3.1.3-7	After the evening oblation, he should feed the guests who have arrived and eat moderately, and then lie down with his wife. He should not sleep with wet feet, with his head towards the north. He should approach his own wife on the days of her menstrual cycle. At the beginning, he should avoid intercourse, sitting, and sleeping with his wife for three nights during her menstrual cycle. He should not approach other men's wives.
2.15.5	The milk of a cow that has calved within ten days, the milk of a she-camel, and the milk of a female of a one-hoofed animal, and the bulbous roots, garlic, onion, and the Vidanga fruit, and the fish and meat not mentioned, should be avoided.
2.15.6	Meat that is left over from a sacrifice should be eaten.
2.15.7	One should avoid food touched by an outcast, or touched by those who follow the outcasts, or the food of those (outcasts).
3.1.8	By having intercourse with another man's wife, one's life, prosperity, and spiritual radiance are destroyed.
3.1.9	One does not eat with one's wife.
3.1.10	One should not look at her yawning or naked.
3.1.11	One avoids false speech.
3.1.12	There is no greater sin than falsehood, and no greater Dharma than truth.
2.15.8	The food of those who follow their own duties and are in conformity with the Śūdras should be accepted by one who is hungry.
2.15.9	One should not accept even cooked food from those who are in conflict with the rules, even if one is hungry.
2.15.10	He abandons what has been touched or mixed by them, and what has been cooked by others.
3.1.13	All beings should live without harming each other, for the sake of purity. One should live as a cultivator, a pot-holder, or a horse-keeper.
3.1.14	A twice-born person should not touch fallen or low-caste people.
3.1.15	One should not look at the rising or setting sun.
3.1.16	One should circumambulate gods, teachers, Brahmins, ghee, milk, curd, earth, water, firewood, Darbha grass, fire, and trees.
2.15.11	Performing the duties as enjoined in the Vedas and Smritis, he gradually practices Dharma by means of his mental, verbal and physical actions.
3.1.1	A householder should wear two sacred threads, carry a bamboo staff, a water pot.
3.1.2	After bathing with his wife, he should perform the domestic rites in the domestic fire and the Vedic rites in the Vedic fires.
3.2.1	It should be given to the king, the preceptor, the best of the learned, the sick, those bearing a burden, and pregnant women.
3.2.2	The paths are purified by the rays of the wind and the sun.
3.2.3	One should not use the seats and beds of others without giving them.
3.2.4	If one uses what has not been given, one loses one-fourth of one's merit.
3.2.5	One should never wear clothes, garlands, shoes, or an umbrella that have been used by others.
3.1.3-7	After the evening oblation, he should feed the guests who have arrived and eat moderately, and then lie down with his wife. He should not sleep with wet feet, with his head towards the north. He should approach his own wife on the days of her menstrual cycle. At the beginning, he should avoid intercourse, sitting, and sleeping with his wife for three nights during her menstrual cycle. He should not approach other men's wives.
3.2.6	One should not heat the feet in the fire, nor should one blow on it with the mouth, nor touch it with the foot. One should not do it below the feet.
3.2.7	One should not throw urine, feces, pus, blood, semen, phlegm, or the remains of the body into the fire, water, or a temple.
3.2.8	One should neither see a naked woman nor urine and feces.
3.1.8	By having intercourse with another man's wife, one's life, prosperity, and spiritual radiance are destroyed.
3.1.9	One does not eat with one's wife.
3.1.10	One should not look at her yawning or naked.
3.1.11	One avoids false speech.
3.1.12	There is no greater sin than falsehood, and no greater Dharma than truth.
3.2.9	One who is impure should not look at the sun, moon, planets, stars, or constellations.
3.2.10	One should not step on the shadow of a deity, a teacher, a student, one who has taken the sacred thread ceremony, a king, or a superior cow.
3.2.11	One should neither show nor speak of a rainbow to another person.
3.2.12	One should wake up a sleeping person.
3.2.13	One does not travel alone.
3.2.14	One should allow a cow to graze in another person's field and should not stop a calf from suckling.
3.1.13	All beings should live without harming each other, for the sake of purity. One should live as a cultivator, a pot-holder, or a horse-keeper.
3.1.14	A twice-born person should not touch fallen or low-caste people.
3.1.15	One should not look at the rising or setting sun.
3.1.16	One should circumambulate gods, teachers, Brahmins, ghee, milk, curd, earth, water, firewood, Darbha grass, fire, and trees.
3.2.15	He should not wear clothes that are worn out or dirty.
3.3.1	He should avoid playing with dice, smoking the funeral pyre, and tormenting children.
3.3.2	He should not stand on hair, beard, cotton, charcoal, bones, feces, urine, pus, blood, semen, phlegm, or leftovers.
3.3.3	If his body is smeared with filth, he should wash it with clay and water until he is no longer worried about the smell of the filth.
3.2.1	It should be given to the king, the preceptor, the best of the learned, the sick, those bearing a burden, and pregnant women.
3.2.2	The paths are purified by the rays of the wind and the sun.
3.2.3	One should not use the seats and beds of others without giving them.
3.2.4	If one uses what has not been given, one loses one-fourth of one's merit.
3.2.5	One should never wear clothes, garlands, shoes, or an umbrella that have been used by others.
3.3.4	One should not live with the enemies of the fallen, the ignorant, the unrighteous.
3.3.5	One should not touch the remnants, the impure, the gods, the cows, the Brahmins, or the fires.
3.3.6	One should neither despise nor criticize the gods, the Vedas, the royal preceptors, the mothers, the fathers, and the learned Brahmins.
3.3.7	The despiser and the critic perish.
3.2.6	One should not heat the feet in the fire, nor should one blow on it with the mouth, nor touch it with the foot. One should not do it below the feet.
3.2.7	One should not throw urine, feces, pus, blood, semen, phlegm, or the remains of the body into the fire, water, or a temple.
3.2.8	One should neither see a naked woman nor urine and feces.
3.3.8	He should not strike or abuse any being.
3.3.9	He should not quarrel with his teacher, parents, their relatives, brothers, maternal uncles, preceptors, priests, etc.
3.3.10	Among all kinds of purity, the purity of a man, the purity of his wife, and the purity of his food are the most important.
3.3.11	The vessels made of gems, gold, silver are purified by water or by touching fire.
3.3.12	The vessels made of copper, bell metal, iron etc. are purified by means of acid water. The vessels made of wood and ivory are purified by means the rubbing with the right hand or by washing.
3.2.9	One who is impure should not look at the sun, moon, planets, stars, or constellations.
3.2.10	One should not step on the shadow of a deity, a teacher, a student, one who has taken the sacred thread ceremony, a king, or a superior cow.
3.2.11	One should neither show nor speak of a rainbow to another person.
3.2.12	One should wake up a sleeping person.
